[2026-06-12 12:20:41] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-11
正在获取论文...
[arXiv] 2026-06-11 | Multi-Field Hybrid Retrieval-Augmented Generation for Maritime Accident Root Cause Analysis
[IEEE] 2026-6-11 | Accelerating Top-K Subgraph Matching With Topology-Aware Pruning and Parallel Processing
[IEEE] 2026-6-11 | MELT-FSIL: Adaptive Hybrid-Loss Few-Shot Learning for Inclusive Sign Language Control in Autonomous Vehicles
[IEEE] 2026-6-11 | Spatial-Frequency Structure-Aware Deep Hashing with Adaptive Gated Fusion (SF-AGDH) for Remote Sensing Image Retrieval
[IEEE] 2026-6-11 | Automatic Reconstruction Algorithms for
                    <i>in vivo</i>
                    Skeletal Muscle 3D-SWEI Data
[IEEE] 2026-6-11 | ISPSD 2026 Committees
[IEEE] 2026-6-11 | Real-Time Output Linearization in Adaptive Predictive Control for Variable Rate Control of Agricultural Sprayers
[ACM] 2026-6-11 | Robustness in TinyML: A Systematic Literature Review
[IEEE] 2026-6-11 | Unleash Your Potential
[IEEE] 2026-6-11 | CaRLi-V: Camera-RADAR-LiDAR Point-Wise 3D Velocity Estimation
[IEEE] 2026-6-11 | Federated and Privacy-Preserving Cross-Project Defect Prediction with Heterogeneous Features_supp1-3692541.pdf
[IEEE] 2026-6-11 | Prescribed Performance-Based Sampled-Data Adaptive Fuzzy Control for Incommensurate Uncertain Air Handling Units in HVAC
[IEEE] 2026-6-11 | SYN Cookie Mechanism for Transmission Control Protocol SYN Flood Mitigation in LEO Satellite Networks Using Hypatia Simulator
[IEEE] 2026-6-11 | Screen-Printed Electrodes for Advanced Sensing: Multiphysics Approach and Experimental Validation
[IEEE] 2026-6-11 | Automated Multi-Class Nail Disease Detection using Deep Learning Architectures
[IEEE] 2026-6-11 | Adaptive Hybrid Swarm-Reinforcement Learning Model for Public Basketball Courses Teaching Based on TPACK Framework
[IEEE] 2026-6-11 | Resource-Efficient Network Intrusion Detection for IoT Edge Devices: Balancing Precision and Latency
[IEEE] 2026-6-11 | Motorcycle-Specific Real-Time Multi-Task ADAS Using Single-Camera Vision and Risk Fusion
[IEEE] 2026-6-11 | Design Constraints for a Si/SiC Fusion Switch With Realistic Boundary Conditions
[IEEE] 2026-6-11 | An Integrated Deep Learning Architecture for Illumination-Aware Object Detection
[IEEE] 2026-6-11 | Design of a High Performance Nano Band Microstrip Antenna with Three Rectangular Side Slots for THz Applications
[IEEE] 2026-6-11 | Intelligence Resource Management in 5G/6G D2D-SIoET Network Through Centralized Training with Decentralized Execution Multi-Agent Reinforcement Learning
[IEEE] 2026-6-11 | Green-NAS: A Global-Scale Multi-Objective Neural Architecture Search for Robust and Efficient Edge-Native Weather Forecasting
[IEEE] 2026-6-11 | EffiNet-Insect: A System for Agricultural Insect Identification Using EfficientNet
[IEEE] 2026-6-11 | An Intelligent and Optimized Reconciliation Technique for Enhanced Secret Key Rates in Quantum Key Distribution
[IEEE] 2026-6-11 | Machine Learning-Assisted Sampling Frequency Optimization for Traveling-Wave Fault Analysis in Two-Ended Power Transmission Networks
[IEEE] 2026-6-11 | Conjunctiva Image Analysis for Anemia Detection: Evaluation on Eyes-Defy &amp; CP-AnemiC
[IEEE] 2026-6-11 | Design &amp; Development of an AI-ML Driven Image Processing Framework for Accurate Brain Tumor Detection Using UFBI, IoT &amp; SFA
[IEEE] 2026-6-11 | Trust in AI Recommendations on Social Media and Green Purchase Intention: Evidence from Social Commerce Users in Vietnam
[IEEE] 2026-6-11 | Impact of Cell Orientation on 1.2 kV 4H-SiC MOSFETs with Channeling Implanted Deep P-well
[IEEE] 2026-6-11 | Analysis of Body Diode in Trench Field Plate MOSFETs and Reverse Recovery Charge Reduction by Shrinking the Cell Pitch
[IEEE] 2026-6-11 | Efficient Text-to-Image Retrieval Using CLIP Embeddings: A Comparative Study of Faiss Indexes
[IEEE] 2026-6-11 | Attention-Enhanced Hybrid Collaborative Filtering for Personalized Recommendation of Chinese Traditional Culture
[IEEE] 2026-6-11 | Gesture Controlled Robotic Hand Designed for Enhancing Industrial Automation and Innovation
[IEEE] 2026-6-11 | Distributed Collaborative Search for Heterogeneous UAVs in Dynamic Disaster Environments
[IEEE] 2026-6-11 | An Interpretable Ensemble Learning Framework for Predicting Academic Performance: Quantifying Social Media's Influence Through Explainable AI
[IEEE] 2026-6-11 | WaveCaps-RF: A Wavelet Capsule-Enhanced Random Forest Framework for Multi-Class Android Malware Detection
[IEEE] 2026-6-11 | Measuring Generalization in Cow Behavior Recognition with LOCO and Day-Blocked Splits Using Cow Nose Ring Dataset
[IEEE] 2026-6-11 | Machine Learning-Based Comparative Study for Predicting Earthquake Probability
[IEEE] 2026-6-11 | Tasmanian Devil Integrated Greylag Goose Optimization for Secure and Energy Efficient Clustering and Routing in Wireless Sensor Network
[IEEE] 2026-6-11 | Agentic AI Frameworks: Orchestration Architectures and Autonomous LLM-Based Reasoning Systems
[IEEE] 2026-6-11 | RepAir: A Framework for Airway Segmentation and Discontinuity Correction in CT
[IEEE] 2026-6-11 | Dual-Core Hexagonal PCF-SPR Biosensor with Concave Bilayer Coating for Hemoglobin Detection
[IEEE] 2026-6-11 | Machine Learning Based Prediction of Flight Cancellations Under Adverse Weather Conditions
[IEEE] 2026-6-11 | CardioTML: ESP32-Based TinyML Wearable System for Early Identification of Cardiac Risk to Enhance Well-Being and Support Healthcare
[IEEE] 2026-6-11 | Surrogate Validation of a Graph Attention Network (GATv2) for Detecting Psychotic Biomarkers: Implications for Early Diagnosis in Maternal Mental Health
[IEEE] 2026-6-11 | Hybrid-TPR-ABE: a Blockchain-Enabled Verifiable Framework with Differential Privacy for Secure Healthcare IoT Analytics
[IEEE] 2026-6-11 | LTRA: A Lightweight Reputation-Enhanced Transmission Random Access Protocol for Low-Altitude Aviation Networks
[IEEE] 2026-6-11 | Hybrid Convolutional Model for Vegetation Height Estimation Using InSAR Data
[IEEE] 2026-6-11 | Multimodal Fusion of Structural and Diffusion MRI for Intelligence Prediction
[IEEE] 2026-6-11 | An Explainable Hybrid CNN–Vision Transformer Framework for Lung Cancer Classification on LungHist700
[IEEE] 2026-6-11 | Neural Implicit Surface Reconstruction for Satellite Imagery with Adaptive Normal Priors
[IEEE] 2026-6-11 | 450 V/18 mΩ Radiation Hardened P-GaN Gate HEMT With Single-Event Hardness at 82 MeV•cm
                    <sup>2</sup>
                    /mg
[IEEE] 2026-6-11 | Blockchain-Based E-Voting System Using Hyperledger Fabric
[IEEE] 2026-6-11 | Non-Small Cell Lung Cancer Recurrence Prediction from CT Scans Using a Hybrid CNN-Vision Transformer Model
[IEEE] 2026-6-11 | Smart Industrial Liquid Level Solution for Textile and Process Industry
[IEEE] 2026-6-11 | An Enhanced U-Net Architecture for Semantic Segmentation of Aerial Images from Egypt
[IEEE] 2026-6-11 | Intelligent Document Querying with LLMs and Speech Input: A Scalable Semantic Framework
[IEEE] 2026-6-11 | Towards a Unified AI Framework for Autism Support: System Design and Pilot Evaluation
[IEEE] 2026-6-11 | Research on Automatic Fault Diagnosis System for Marine Electrical Equipment Based on Computer Vision
[IEEE] 2026-6-11 | Explainable and Trustworthy AI for Data-Driven Infrastructure Decision-Making
[IEEE] 2026-6-11 | 1.2 kV 3D Quasi-Planar Trench SiC MOSFET with P-Body Layer as Trench Protection
[IEEE] 2026-6-11 | Meta-Ensemble Transformer Framework for Multi-Class Mental Health Disorder Classification on Social Media
[IEEE] 2026-6-11 | Comparative Load Flow Analysis of a 6-Bus Power System Using MATLAB and ETAP
[IEEE] 2026-6-11 | Explainable Deep Learning Based Tomato Leaf Disease Detection Using Transfer Learning
[IEEE] 2026-6-11 | CompenKNet: An Intelligent State Estimation Method with Model Errors Compensation
[IEEE] 2026-6-11 | An Intelligent Machine Learning Approach to Guide Patients Toward the Appropriate Level of Healthcare in Bangladesh
[IEEE] 2026-6-11 | Lecturify AI: Smart Lectures to Multiple Choice Questions Generator
[IEEE] 2026-6-11 | Hierarchical Risk-Aware Transformer Actor Critic Framework for Intelligent Financial Management and Decision Making
[ACM] 2026-6-11 | The Next Frontier for AI-Generated Kernels: Correctness
[IEEE] 2026-6-11 | Secondary Throughput Maximization for an UAV Based Cooperative Jammer in RIS aided Energy Harvesting in Secured Cognitive Radio Networks
[IEEE] 2026-6-11 | Trihedral Corner Reflector Capped by Photonic Crystal Resonator for Mm-Wave Angular Sensing
[IEEE] 2026-6-11 | Diameter–Modulus–Coupled Sensitivity Enhancement of Thin-Diameter Fibers in Low-Modulus Hydrophones
[IEEE] 2026-6-11 | ETRLO-3D: Efficient Transparent 3D Reconstruction with Limited Observations
[IEEE] 2026-6-11 | Electromagnetic Properties Inspection during Heat Treatment Cooling Process Using Pulsed Eddy Current Testing
[IEEE] 2026-6-11 | TransPortal: A Portable Portal-Based Locomotion Technique
[IEEE] 2026-6-11 | Confidence-Driven Sensorless Adaptive Optics for Target Recognition Using SPGD Optimization
[IEEE] 2026-6-11 | Model-Free End-to-End Learning for Probabilistic Shaping in IM/DD Systems
[IEEE] 2026-6-11 | Domain Adversarial Neural Networks for Gender-Fair Speech Emotion Recognition
[IEEE] 2026-6-11 | Agent-Based Model for Real-Time Forest Fire, Early Warning and Alerting System
[IEEE] 2026-6-11 | AI-Powered Secure e-Voting System with Facial Recognition for Real-Time Voting Authentication
[IEEE] 2026-6-11 | Secure Ultrasound Video Steganography Using Fractal Star Sweep and Deep Learning
[IEEE] 2026-6-11 | An IoT-Based System for Parkinson's Disease Detection Employing Hybrid Machine Learning Models
[IEEE] 2026-6-11 | Intelligent Algorithm-Driven XR Film Content Production and User Precision Reach Mechanism
[IEEE] 2026-6-11 | Federated Graph-Transformer Synergy for Early Alzheimer's Detection: A Dual-Modal Approach
[IEEE] 2026-6-11 | Analysis of College Students' Physical Exercise Behavior Characteristics based on Convergence-Feedback Ant Colony Optimization
[IEEE] 2026-6-11 | Predictive Analysis of Nifty Stock Trends Using Ensemble Methods
[IEEE] 2026-6-11 | Trap-Based Modeling and Mechanisms of Non-Monotonic Hot-Carrier Degradation in Cryogenic CMOS Devices_supp1-3701063.docx
[IEEE] 2026-6-11 | COSMO: Contrastive Satellite Image Embedding Techniques Reflecting Expert Weather Bulletins
[IEEE] 2026-6-11 | FedDPI-SH: A Quality and Similarity Aware Federated Learning Framework for Medical Image Analysis
[IEEE] 2026-6-11 | HBA: Hijacking-based Backdoor Attack for Vertical Federated Learning
[IEEE] 2026-6-11 | Reliability Assessment of Multi-state Performance Sharing Systems with Lag Dependence under Epistemic Uncertainty
[IEEE] 2026-6-11 | TNOD: A High-Precision Tri-Modal Dataset for Non-Cooperative Object
[IEEE] 2026-6-11 | Synergistic Prompting for Complementarity and Consistency in Incomplete Multi-View Clustering
[IEEE] 2026-6-11 | Reconfigurable Wideband-to-Narrowband Filter Low-Noise Amplifier With Intrinsic Switch-Off Operation
[IEEE] 2026-6-11 | Distributed Scenario Q-Learning Control for Multiagent Systems with Uncertain Cost Functions
[IEEE] 2026-6-11 | Design of Adaptive Steady-State Fading Memory Filter for Servo Drive Systems Under Maneuvering Conditions
[IEEE] 2026-6-11 | On usage of artificial intelligence on pulmonary diseases in neonates: a systematic literature review
[IEEE] 2026-6-11 | Administrative Committee Information
[IEEE] 2026-6-11 | Enabling Large Step Strain Demodulation with High Bandwidth Utilization Ratio for Single-shot DAS
[IEEE] 2026-6-11 | Voltage-Based Synchronous Rectification for a Resonant FB DC Transformer with Output-Parallel Resonant Capacitor
[IEEE] 2026-6-11 | State Space Models over Directed Graphs_supp1-3702346.pdf
[IEEE] 2026-6-11 | Editorial: TPEL Special Section on Visionary Papers: Setting the Course for the Next Generation of Power Electronics Innovation
[IEEE] 2026-6-11 | Interpreting what Attention Mechanisms “Know” in Language Models: A Systematic Review
[IEEE] 2026-6-11 | 2026 IEEE 56th International Symposium on Multiple-Valued Logic (ISMVL)
[IEEE] 2026-6-11 | Physics-Informed Model Reduction With Coriolis/Centripetal Force Terms Cancellation in 4PPa-2PaR Parallel Manipulator
[IEEE] 2026-6-11 | Strengthening Treatment Adherence in Clubfoot Management Through AI-Supported Co-Production: A Conceptual Perspective
[IEEE] 2026-6-11 | Enhancing Security in Multicasting Over Nakagami-0.5 Fading Channel with Opportunistic Relaying and SC Diversity Scheme
[IEEE] 2026-6-11 | Brain Tumor Detection Using Vision Transformer and CNN with Explainability
[IEEE] 2026-6-11 | A DFT Clock Control Block Design and Implementation for Scan-Based Testing
[IEEE] 2026-6-11 | Benchmarking Local Vision-Language Models on an Edge Device for the Visually Impaired
[IEEE] 2026-6-11 | A Hierarchical Transformer–CNN Fusion Model for Classification of Mustard Leaves: Distinguishing Healthy, Abiotic Disorder, and Alternaria Leaf Blight Disease
[IEEE] 2026-6-11 | Anomaly-Based Network Intrusion Detection Using Random Forests
[IEEE] 2026-6-11 | Optimization of Artificial Intelligence Algorithms Based Federated Graph Learning
[IEEE] 2026-6-11 | LatentGW-RiskNet: A Latent Fingerprint–Based Autoencoder Framework for Three-Class Groundwater Risk Assessment
[IEEE] 2026-6-11 | Minimization of Reversible Logic Circuits Using A* with Lookahead
[IEEE] 2026-6-11 | Intelligent Macrocell-Femtocell Handover Management Using Deep Reinforcement Learning
[IEEE] 2026-6-11 | Role of Best Reconfigurable Intelligent Surface in Enhancing Secure Outage Performance of Rayleigh Fading Channels
[IEEE] 2026-6-11 | Zero-Shot Personalized Speech Synthesis via High-Fidelity Speech Guidance
[IEEE] 2026-6-11 | Space-Filling Experimental Design and Optimization Strategy for Complex Constrained Environments
[IEEE] 2026-6-11 | Deep Hybrid Forecasting Engine for Real-Time Enterprise Revenue Prediction and Business Trend Analysis
[IEEE] 2026-6-11 | A Hybrid Stacking-Based Framework for Multiclass Road Accident Severity Prediction with Interpretable SHAP Analysis
[IEEE] 2026-6-11 | CT-CoherXAI: A Coherence-Driven, Explainable Ensemble Framework for Lung Cancer Classification from Chest CT Images
[IEEE] 2026-6-11 | A Comparative Study of Deep Learning Models for Automated Identification of Indigenous Flowers of Bangladesh
[IEEE] 2026-6-11 | Vision Transformer-Based Detection of Lung Diseases from Chest X-Ray Images
[IEEE] 2026-6-11 | Fish Farm Pro: Sustainable Vertical Aquaculture Practices for Improving Fish Farming Productivity in Bangladesh
[IEEE] 2026-6-11 | A Coupled-Charge Driven Reverse-Recovery SPICE Model for SiC MOSFETs Considering Quasi-Floating Channel Effects
[IEEE] 2026-6-11 | Mapping the Landscape of Machine Learning Research Through Clustering
[IEEE] 2026-6-11 | Lower-Voltage-Stress Reduced-Switch 31-Level Cascaded Inverter for EV and Aircraft Systems
[IEEE] 2026-6-11 | A Machine Learning Stacking Ensemble for Cerebral Stroke Prediction and Early Risk Assessment
[IEEE] 2026-6-11 | IoT-Based Smart Aquaculture Monitoring and Automation System
[IEEE] 2026-6-11 | Spectral-Thermal Dynamics and Urban Heat Island Evolution in New Damietta, Egypt
[IEEE] 2026-6-11 | High-Speed Multi-Level Signaling Using a Two-Dimensional Symbol Map and Intermediate-Level Inserted Symbol Representation
[IEEE] 2026-6-11 | NeuroFusionNet and CNN-Based Models for Detecting Cassava Leaves Disease: Insights using Grad-CAM Explainability
[IEEE] 2026-6-11 | Development of an IoT Based Transformer-Centric General-Purpose Thermal and Electrical Safety System
[IEEE] 2026-6-11 | Design of an External Sensing Configuration for a Broad Range of Circular PCF SPR Biosensors
[IEEE] 2026-6-11 | Bank Customer Churn Prediction Using a Reproducible and Explainable Machine Learning Framework
[IEEE] 2026-6-11 | Inter-Arrival Time Driven Intrusion Detection for DoS Traffic in Cloud Networks Using Smote-Enhanced Deep Learning Optimization
[IEEE] 2026-6-11 | DAPT-XLMR: A Domain-Adaptive Transformer Framework for Binary Depression Detection in Bangla–English-Banglish Code-Mixed Social Media Texts
[IEEE] 2026-6-11 | Spatio-Temporal Impact of Agroclimatic Variables on Rice Yield in Bangladesh: A Comparative Machine Learning Approach
[IEEE] 2026-6-11 | Research on quality prediction of industrial processes based on deep learning with missing data
[IEEE] 2026-6-11 | State-of-the-Art Deep Learning Architectures for Brain Tumor Segmentation: A Review
[IEEE] 2026-6-11 | Explainable Multi-Modal Ensemble Learning for Flood Prediction from SAR and Optical Satellite Imagery
[IEEE] 2026-6-11 | Real-Time Detection Algorithm of Metal Surface Minor Defects Based on Improved YOLOv8
[ACM] 2026-6-11 | Editors' Introduction
[ACM] 2026-6-11 | Liquid Democracy: An Annotated Reading List
[IEEE] 2026-6-11 | Guessing-Flipping Decoding Framework for Short Polar Codes in 6G
[IEEE] 2026-6-11 | A Unified Full Speed Domain Rotor Position and Speed Estimation Method Based on Adaptive Multifrequency State Observer for IPMSM Sensorless Drives
[IEEE] 2026-6-11 | Martian Mineral Formation Analysis Based on Martian Mineral Corpus and Knowledge Graph_supp1-3702055.pdf
[IEEE] 2026-6-11 | Multi-Dimensional Perception of Two-Channel Skin-Stretch: Effects of Cue Pattern and Spatial Configuration
[IEEE] 2026-6-11 | A 27-year Longitudinal Study on the Structure of the Internet Topology: Scale-freeness and Preferential Attachment
[IEEE] 2026-6-11 | An Analytical Theory of Avalanche Breakdown in p-n Junctions Derived From Semiconductor Band Structure_supp1-3698391.pdf
[IEEE] 2026-6-11 | Dual-Mode Linear Cross-Polarization Converter-Based Highly Sensitive Refractive Index Sensor_supp1-3700132.docx
[IEEE] 2026-6-11 | Accurate Approximation of Higher-Order Statistics of Channel Capacity in Log-Normal Fading
[IEEE] 2026-6-11 | LLM-Guided Adaptive Compensator: Bringing Adaptivity to Robotic Feedback Control With Large Language Model_supp2-3700674.mp4
[IEEE] 2026-6-11 | ANN-Cache: Accelerating Approximate Nearest Neighbor Search Via Caching_supp1-3700562.pdf
[IEEE] 2026-6-11 | Resilient Edge Intelligence for Industrial IoT: A Non-Parametric MoE-Based Training–Inference Co-Design Framework for Multimodal Data
[IEEE] 2026-6-11 | PELS Membership
[IEEE] 2026-6-11 | Volumetric Near-Field Electromagnetic Sensing of Creatinine in Urine Using a 3D-Printed Bifilar Helical Platform
[IEEE] 2026-6-11 | QANet: A Neural Framework for Quality Assessment of Instance Segmentation in Microscopy Imaging
[ACM] 2026-6-11 | <b>Relationships Between the Busy Beaver Function and Mathematics I: What is the Smallest</b>
                    <i>n</i>
                    such that BB(n) &gt;
                    <sup>...</sup>
                    ?
[ACM] 2026-6-11 | LLM-Integrated Declarative Program Analysis
[IEEE] 2026-6-11 | Design and Analysis of a Broadband Corner-Modified Square Patch Antenna for Sub-6 GHz 5G Applications
[IEEE] 2026-6-11 | Spatially Adaptive Tensor Regularization for Sanjiangyuan-1 Multispectral Image Destriping to Enhance AI Interpretation
[IEEE] 2026-6-11 | Explainable Deep Learning for Accurate Multi-Crop Leaf Disease Classification in Intelligent Agricultural Systems
[IEEE] 2026-6-11 | Freezetune ASR: A Selective Freezing and Genetic Algorithm (GA) Based Selective Fine Tuning for Accent Robust English Speech Recognition
[IEEE] 2026-6-11 | Multi-Class Kidney Disease Classification from CT Images Using Explainable Deep Learning
[IEEE] 2026-6-11 | Big Data Analysis for Forest Cover Prediction with PySpark
[IEEE] 2026-6-11 | Ai-Powered Simulation for Smart City Traffic Flow Management
[IEEE] 2026-6-11 | Enhanced Feature Selection for Motor Imagery-Based Brain-Computer Interface: A Comparative Study of Hippopotamus Optimization Algorithm with Riemannian and CSP Techniques
[IEEE] 2026-6-11 | MC-BCNet: MobileNet Family-Based Feature-Fusion CNN with Grad-CAM and Monte Carlo Dropout for Efficient Breast Cancer Screening
[IEEE] 2026-6-11 | Explainable Gradient-Boosted Malware Detection Using SHAP and Static PE Features
[IEEE] 2026-6-11 | Bayesian Wind Forecast Correction for Real-Time CVaR-Based UAV Path Replanning Using Onboard Telemetry
[IEEE] 2026-6-11 | Visual Orientation Posterior for Post-Retrieval UAV Geo-Localization
[IEEE] 2026-6-11 | SwinEffNet: A Hybrid Transformer-CNN Architecture for Lemon Leaf Disease
[IEEE] 2026-6-11 | DysLSTM: A Deep Sequential Framework for Dyslexia Prediction with Comparative Analysis of Baseline and Advanced Models
[IEEE] 2026-6-11 | Face Recognition Using Pre-Trained CNN Embeddings and a Custom Deep Neural Network
[IEEE] 2026-6-11 | A Data Mining Driven Machine Learning Framework: Intelligent Early Detection of Kidney and Liver Diseases Using Electronic Health Records
[IEEE] 2026-6-11 | Trend and Anomaly Detection of Weather Variables and Their Agro-Implications for Mango Cultivation in Rajshahi
[IEEE] 2026-6-11 | Automated Vegetation Encroachment Monitoring in Power Line Corridors Using Deep Semantic Segmentation of Uav Imagery
[IEEE] 2026-6-11 | Research on the Development of Satellite Communication Network Technology for Low-Altitude Economy
[IEEE] 2026-6-11 | A Real-Time Go-Based Active Scraper for OEM Vulnerability Detection in Converged IT–OT Environments
[IEEE] 2026-6-11 | Optimized Random Number Generator for Power and Area Efficiency
[IEEE] 2026-6-11 | Machine Learning - Driven Student Ranking for Efficient University Accommodation Allocation
[IEEE] 2026-6-11 | EffiViT-Hybrid: A CNN–Transformer Framework for Pancreatic Cancer Detection from CT Images
[IEEE] 2026-6-11 | SONIC: Event-Driven Gate-Level Simulator of Ternary VLSI Circuits using Delta Cycles
[IEEE] 2026-6-11 | Distributed consensus filtering against hybrid attack under FlexRay transmission strategy
[IEEE] 2026-6-11 | Optimizing Probability Breast Cancer Diagnosis based Random Forest using Ant Colony Algorithm
[IEEE] 2026-6-11 | Spatiotemporal Modelling of Urban Crime: Chicago and Los Angeles
[IEEE] 2026-6-11 | A Control-Oriented High-Power-Factor Interleaved PFC-PSFB EV Charger for Intelligent Two-Wheeler Charging Applications
[IEEE] 2026-6-11 | Integrated Multi-Modal Ensemble (IMME) for Zero-Day Attack Detection in IIoT
[IEEE] 2026-6-11 | Cross-Domain Few-Shot Adaptation of Siamese Networks for Robot Initial Localization
[IEEE] 2026-6-11 | A Novel Notched-Gate LDMOS for Robust Reliability via Electric Field Modulation and Low Gate Charge on 55-nm BCD Platform
[IEEE] 2026-6-11 | Adaptive Neural Network with Dynamic Feature Weighting for Enhanced Power Grid Stability Prediction
[IEEE] 2026-6-11 | Generative Feature Imputing—A Technique for Error-Resilient Semantic Communication
[IEEE] 2026-6-11 | Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford's Law and Topological Analysis with Machine Learning Ensembles
[IEEE] 2026-6-11 | PestVRrice: A Unity3D-Based Virtual Reality System for Paddy Field Pest Identification and Farmer Training
[IEEE] 2026-6-11 | Centroid Stability Index-Driven Mahalanobis Clustering for Robust Mental Health Assessment of College Students
[IEEE] 2026-6-11 | Automated Detection of Pelvic Bone Metastases in Radionuclide Bone Scan Images Using a Dual-Stream Cross-Attention Transformer Model
[IEEE] 2026-6-11 | Deep Ensemble Learning for Early Crops Leaf Disease Classification and Risk Reduction
[IEEE] 2026-6-11 | A Multimodal Large Language Model Approach for Cross-modal Alignment of Remote Sensing Imagery and Open Source Intelligence
[IEEE] 2026-6-11 | A Proposed Tuning Algorithm for Closed-Loop VFDs to Reduce Input Current THD Using LC Filtering
[IEEE] 2026-6-11 | Design and Development of High-Current E-mode GaN p-FET and Complementary Logic Circuits on UID-GaN/AlGaN Platform
[IEEE] 2026-6-11 | A Comparative Study of Classical and Hybrid Quantum Machine Learning Models for Skin Lesion Classification Using Latent Feature Embeddings
[IEEE] 2026-6-11 | Parametric Analysis and Variety Classification of Rice Grains Using Machine Learning and Deep Learning Models
[IEEE] 2026-6-11 | CardioGuard: An Intelligent System for Early Heart Disease Prediction
[IEEE] 2026-6-11 | Machine Learning Meets XAI: Grad-CAM Visualization for Enhanced Lung and Colon Cancer Detection
[IEEE] 2026-6-11 | Near-Infrared Spectroscopy with Chemometrics for Non-Destructive Classification of Mineral, Purified, and Tap Water
[IEEE] 2026-6-11 | Event-Triggered YOLO Segmentation for Measuring Drop-Induced Cavities Over Submerged Sediments
[IEEE] 2026-6-11 | A Large Language Model-Driven Reinforcement Learning Framework for Intelligent Employee Performance Optimization
[IEEE] 2026-6-11 | RBE-Sent: A Synthetic Roman Bengali-English Code-Mixed Dataset For Sentiment Analysis
[IEEE] 2026-6-11 | t-SNE-Based Analysis of Brain State Dynamics During Reading of AI vs Human Writing
[IEEE] 2026-6-11 | Automated Clinical Discharge Summary Generation
[IEEE] 2026-6-11 | Development of a Compact Slotted Patch Antenna for Early Stage Breast Tumor Detection Using Microwave Technology
[IEEE] 2026-6-11 | MediVoiceAI: A Real-Time, Confidence-Aware Voice Assistant for Healthcare Front-Desk Automation Using Large Language Models
[IEEE] 2026-6-11 | TomatoNet-R50: A ResNet50-Based Deep Learning Architecture for the Detection of Tomato Leaf Disease
[IEEE] 2026-6-11 | A Hybrid Quantum-Post-Quantum Framework for Secure Data Encryption Using Adaptive Steganography
[IEEE] 2026-6-11 | Fine-Tuning Pre-Trained Faster R-CNN to Reduce False Positives in Guardrail Damage Detection from Dashcam Images
[IEEE] 2026-6-11 | A Comprehensive Precision Agriculture Framework: Automated Plant Disease Identification and Categorization Through Cutting Edge Deep Learning Frameworks
[IEEE] 2026-6-11 | Federated AI Framework for Distributed Smart Healthcare at the Edge
[IEEE] 2026-6-11 | Privacy-Aware Edge-Based Intelligent Video Analytics for Scalable Crowd Management in Smart Cities
[IEEE] 2026-6-11 | Faster R-CNN-Based Fracture Localization in Radiographs Using a Resnet-50 Backbone
[IEEE] 2026-6-11 | Design and Optimization of Novel Heterostructure SPR Sensor for Wide-Range Refractive Index Sensing
[IEEE] 2026-6-11 | Differential Performance Analysis of Schmitt-Trigger-Based SRAM Arrays for Low-Power Applications
[IEEE] 2026-6-11 | Identify Imaging-Genomics Association in Adolescents via Decentralized Parallel Independent Component Analysis
[IEEE] 2026-6-11 | SCM-Label: A Spectral Correction-based Pseudo-Label Generation Method for Dual-Polarization SAR Image Colorization
[IEEE] 2026-6-11 | Transfer Learning-Based Explainable Deep Learning Model for Lung Cancer Detection Using CT Scan Images
[IEEE] 2026-6-11 | A GaN Device with Self-Generated Negative Voltage for Enhanced Turn-Off Reliability
[ACM] 2026-6-11 | SIGACT News Complexity Theory Column 129
                    <b>Compressing Correlated Randomness</b>
[IEEE] 2026-6-11 | Hybrid Kinematic and Muscular Null Space for Simultaneous Control of Natural and Extra Degrees of Freedom
[IEEE] 2026-6-11 | A General Analysis of Passive Component Sizing for Current-Sourced Buck Converters
[IEEE] 2026-6-11 | Emerging Tech Ad
[IEEE] 2026-6-11 | Study on the Peeling Mechanism of Aged Layer Removal from Silicone Rubber Sheds Using Pulsed Laser
[ACM] 2026-6-11 | A Survey of Cloud-Edge Collaborative Scheduling Strategies for Cyber-Physical Production Systems
[ACM] 2026-6-11 | Testing LLM-Generated Distributed Protocol Code
[IEEE] 2026-6-11 | Conference Committee
[IEEE] 2026-6-11 | FedAdapt: Unsupervised Federated Domain Adaptation for Cross-Satellite Hyperspectral Image Classification_supp1-3702427.pdf
[IEEE] 2026-6-11 | Guest Editorial: Introduction to the Special Section on Near-Field Antenna Systems for Communications and Sensing
[IEEE] 2026-6-11 | Get Published in the
                    <i>IEEE Open Journal of Power Electronics</i>
[IEEE] 2026-6-11 | MST-YOLO: A Lightweight Multi-Scale Feature Fusion-Based YOLOv8 for Small-Target Detection in UAV Aerial Images
[IEEE] 2026-6-11 | Effect and Mechanism of SiO
                    <sub>2</sub>
                    Polishing Slurry on Chemical Mechanical Polishing Technology in Semiconductor Manufacturing
[IEEE] 2026-6-11 | Catching Hackers by Watching Watts: A Measurement Study of Power-Only Attack Detection on Consumer IoT Devices
[IEEE] 2026-6-11 | Learn to Generate Complementary March Tests
[IEEE] 2026-6-11 | Decentralized MNO Resource Management for B5G HetNets
[IEEE] 2026-6-11 | Hybrid CNN-BiLSTM with Attention Mechanism and Ensemble Learning for Multi-Symptom Disease Prediction: A Comparative Analysis
