[2026-08-19 09:35:19] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-18
正在获取论文...
[arXiv] 2026-08-18 | Quantum simulation of slow analytic time-dependent Hamiltonians
[arXiv] 2026-08-18 | Variable Star Polarimetry with PICSARR-2
[arXiv] 2026-08-18 | Generalized Non-linear Bayesian Pulsar Timing with Enterprise
[arXiv] 2026-08-18 | Language Has Two Parameters: Narrative-Induced Semantic Plasticity and Phase-Sensitive Interpretation
[arXiv] 2026-08-18 | Optimize Your Sampling: Tuned Diffusion Sampling with Bayesian Optimization
[arXiv] 2026-08-18 | Scalable Heteroskedastic Gaussian Process Models for Large Inhomogeneous Datasets
[arXiv] 2026-08-18 | Energy-efficient, Reconfigurable Optoelectronic Artificial Synapses Based on MoWS$_2$ Alloy for Pattern Recognition and Color Image Filtering Applications
[arXiv] 2026-08-18 | A rainbow version of Lehel's conjecture
[arXiv] 2026-08-18 | A note on the partial sum of bounded Dirichlet series
[arXiv] 2026-08-18 | Three-qubit entanglement in the Bethe-Heitler process
[arXiv] 2026-08-18 | Recirculation
[arXiv] 2026-08-18 | Nearly Sample-Optimal Estimators for Quantum Rényi and Tsallis Entropies
[arXiv] 2026-08-18 | Resonant Untrapping of Active Polymers in Breathing Lattices
[arXiv] 2026-08-18 | BrainNorm: A Foundation Model that knows Normal via Semantic Atlas Pretraining
[arXiv] 2026-08-18 | TENET: Telegram Mini App (in)security
[arXiv] 2026-08-18 | Neuro-symbolic learning over OWL 2 DL via consequence-based compilation to differentiable circuits
[arXiv] 2026-08-18 | Channel Modeling for Phase-Based Ranging
[arXiv] 2026-08-18 | General Semantic Knowledge Infusion for Spatio-Temporal Traffic Forecasting
[arXiv] 2026-08-18 | The Influence of Agent Models on the Complexity of Bus Routing
[arXiv] 2026-08-18 | Non-rectifiable Delone sets under pointwise co-Lipschitz bijections
[arXiv] 2026-08-18 | Multi-turn Conversational AI from Text to Multimodal Interaction: Data, Models, Evaluation, and Open Challenges
[ACM] 2026-8-18 | Post-Quantum Cryptography Transition Influencing Factors: A Case Study of Philippine Banks
[ACM] 2026-8-18 | On Mixed-Precision Iterative Methods and Analysis for Nearly Completely Decomposable Markov Processes
[ACM] 2026-8-18 | Generating and Evaluating Sustainable Procurement Criteria for the Swiss Public Sector using In-Context Prompting with Large Language Models
[IEEE] 2026-8-18 | QoS-Aware Self-Adaptive Random Early Detection for Congestion Control in Networks with Multiple Classes of Traffic
[IEEE] 2026-8-18 | ICSCAI 2026 Cover Page
[IEEE] 2026-8-18 | A Heterogeneously Integrated Balanced Doherty Power Amplifier With Reconfigurable Adaptive Bias for 5G-Advanced Power Class 1 Terminals
[IEEE] 2026-8-18 | Electromagnetic Environment Knowledge Construction and Channel Prediction: A Model-Data Dual-Driven Approach Toward 6G Digital Twin Channel
[IEEE] 2026-8-18 | Front Cover
[IEEE] 2026-8-18 | Title Page
[IEEE] 2026-8-18 | Ninth-Fold Frequency Multiplication in a Relativistic K-Band Gyrotron
[IEEE] 2026-8-18 | Scalar-Metric-Based Digital Predistortion Model Extraction Using Out-of-Band Power-Driven Stochastic Optimization
[IEEE] 2026-8-18 | Design and Stabilization of a High-Power mm-Wave Enlarged Coaxial Cavity Extended Interaction Oscillator
[IEEE] 2026-8-18 | Progress and Perspectives on Flexible Polyaniline Structures for EMI Shielding and Microwave Absorption
[IEEE] 2026-8-18 | Impact Analysis and Suppression of APC Deviation on High-resolution Spaceborne SAR Imaging
[ACM] 2026-8-18 | Proceedings of the 2026 11th International Conference on Intelligent Information Technology
[IEEE] 2026-8-18 | Author Index
[IEEE] 2026-8-18 | A Monocular Depth Estimation Framework for Improved Underwater Fish Biomass Assessment
[IEEE] 2026-8-18 | Controllability Analysis for Vision State Space Models: A Structural Interpretability Framework
[IEEE] 2026-8-18 | Machine Learning System for Real-Time Customer Churn Forecast in Subscription Businesses
[IEEE] 2026-8-18 | Unbalance Control for Interconnection Distribution Areas Based on Generalized $\mathrm{i}_{\mathrm{p}}-\mathrm{i}_{\mathrm{q}}$ Decomposition
[IEEE] 2026-8-18 | Prompt Engineering for Cohesive and Factually Reliable Neural Text Generation: a 2025–2026 Structured Review with Gherkin-Inspired Prompt Design
[IEEE] 2026-8-18 | A Novel Verification Method for Debug Tracing-in Close Chassis System
[IEEE] 2026-8-18 | Correlation Analysis of Body Mass Index With Atrial Depolarization Amplitude using Atrial Lead System
[IEEE] 2026-8-18 | Application of Linear Algebra and Matrix Theory in Designing Efficient Machine Learning Algorithms and Neural Networks
[IEEE] 2026-8-18 | An IoMT-Enabled Early Warning Framework for Real-Time Maternal and Neonatal Risk Prediction
[IEEE] 2026-8-18 | Graph Neural Networks for Threat Intelligence and Cyber-Attack Path Prediction
[IEEE] 2026-8-18 | PQC-Based Secure Access Manager for IJTAG Network
[IEEE] 2026-8-18 | Semantic and Normal Constrained Point Cloud Registration and Parametric BIM Updating Method for High-Rise Curtain Walls
[IEEE] 2026-8-18 | Design and Preliminary Experimental Validation of a 3D-Printed Resistive Pressure Sensor for Embedded Aerospace Monitoring
[IEEE] 2026-8-18 | DFT-Enhanced Spare Cell Architecture for Scan-Integrated ECO and Leakage Optimization in SoCs
[IEEE] 2026-8-18 | Multi-source Feature Fusion and GNN-Ensemble Learning Framework for Internet Financial Fraud Detection
[IEEE] 2026-8-18 | A Blockchain-Enabled Start-up AYUSH Portal using Smart Contract–based Data Security and Federated Access Control
[IEEE] 2026-8-18 | An Algorithm for Converting Fuzzy Queries in Natural Language into JSON Format Using Vectorization Technology
[IEEE] 2026-8-18 | Agentic Multi-Layer Synergistic Architecture for Financial-Business Integration: A Large Language Model and Multi-Agent System Approach
[IEEE] 2026-8-18 | IoT based RFID-Enabled Smart System for Energy Efficiency and Security in Classrooms and Laboratories
[IEEE] 2026-8-18 | Design and Experimental Verification of 5G RF Interference Suppression Structure for Power-Communication Shared Tower
[IEEE] 2026-8-18 | Integrating AI Technologies in Literacy Instruction: Benefits and Challenges
[IEEE] 2026-8-18 | Multi-Strategy Optimization for Coordinated Smoke Screen Deployment in UAV Countermeasure Systems
[IEEE] 2026-8-18 | Comprehensive Optimization Control of Nonlinear Losses in PMSM Direct Drive Systems
[IEEE] 2026-8-18 | Ethical Considerations and Regulatory Challenges of AI in Financial Accounting
[IEEE] 2026-8-18 | Federated Learning: Collaborative Training Models for Privacy-Preserving Machine Learning
[IEEE] 2026-8-18 | Rethinking RTL DFT: A Discrete RTL Flow for Parallel DFT Integration
[IEEE] 2026-8-18 | An Early Warning Model for Thermal Runaway of New Energy Vehicle Batteries Based on Edge Intelligence
[IEEE] 2026-8-18 | SARGASSIA System Prototyping: From Hardware Specification to Laboratory Validation
[IEEE] 2026-8-18 | Digital Dystopias: Examining AI’s Portrayal in Contemporary Literature
[IEEE] 2026-8-18 | Research on the Application of Quantum Cryptography in Protecting Smart Meter Data in Power Systems
[IEEE] 2026-8-18 | Using Binary Neural Networks for fast Image Classification in Resource-Constrained Environments
[IEEE] 2026-8-18 | NGram-MoSE: Efficient Remote Sensing Super-Resolution via N-Gram Context and Mixture-of-Experts
[IEEE] 2026-8-18 | Adaptive Fusion Algorithm of Unmanned Aerial Vehicle Lidar and Visual Data for Quantifying Damage to Old Building Structures
[IEEE] 2026-8-18 | Thermal Analysis and Design Study for the GENESIS Passive Laser Retroreflector (P-LRR) Unit
[IEEE] 2026-8-18 | Battery Management Systems for Electric Vehicles: Architectures, Estimation Techniques, and Emerging Trends
[IEEE] 2026-8-18 | The Weight of Emotions: Investigation on How Narrative Storytelling Can Influence Emotions in Obesity Awareness Animations
[IEEE] 2026-8-18 | Design of Pet Automatic Feeding System Based on Single Chip Microcomputer
[IEEE] 2026-8-18 | Deep Learning Approaches for Identifying Cybersecurity Risks in IoT Systems
[IEEE] 2026-8-18 | Radiation Shielding Properties of Synthetic Lunar Regolith Analog: Gamma Attenuation Tests for ISRU-Based Habitat Design
[IEEE] 2026-8-18 | Handling Class Imbalance in Diabetic Readmission Prediction Using SMOTified-GAN and Guided Neural Networks
[IEEE] 2026-8-18 | Artificial Intelligence–Driven Cultural Heritage Preservation through Deep Learning and Data Analytics for Sustainable Tourism and Folklore Management
[IEEE] 2026-8-18 | Verbatim-Anchored Knowledge Graph Construction via Semantic Functional Segmentation for Power Marketing Policy Documents
[IEEE] 2026-8-18 | A $3.3 \mu$ Vrms Noise, 0.4 ppm/°C TC Bandgap Reference with Chopper Technique and Linear Current Compensation
[IEEE] 2026-8-18 | Pulse Loss Problem and Solution in Phase Shift Control of Dual Active Bridge Based on DSP
[ACM] 2026-8-19 | Rapid Deployment of Nodal Seismometers Based on a Stepwise Optimization Model
[ACM] 2026-8-19 | Image-Based Domain Adaptive Vulnerability Detection via Graph Centrality Representation
[ACM] 2026-8-19 | Explosive Yield Inversion Based on Transformer Model with Blast Wave Physical Constraints
[ACM] 2026-8-18 | Adaptive Query Optimization with Artificial Intelligence in PostgreSQL
[ACM] 2026-8-18 | Patient Acuity Monitoring System for Improved Nurse-to-Patient Staffing and Assignment
[ACM] 2026-8-18 | Automatic Test Case Generation from Verified Event-B Models for Smart Contract Access Control Policies
[ACM] 2026-8-18 | Prompt Programming for Cultural Bias and Alignment of Large Language Models
[IEEE] 2026-8-18 | Control Gain Distribution among Driver Nodes as a Hidden Degree of Freedom in Pinning Control of Complex Networks
[IEEE] 2026-8-18 | Dissolved Gas Patterns in Oil-Breaking On-Load Tap-Changers
[IEEE] 2026-8-18 | Front Cover
[IEEE] 2026-8-18 | IEEE Technology and Engineering Management Society
[IEEE] 2026-8-18 | HRWKV-Net: A Hybrid Receptance Weighted Key–Value Network for Remote Sensing Image Super-Resolution
[IEEE] 2026-8-18 | Optimizing Few-Shot Novel View Synthesis with Human-Perceptual Preferences
[IEEE] 2026-8-18 | Distributed Stochastic Optimization of Strategic Contracting and Spot Bidding in Sequential Electricity Markets_supp1-3724253.pdf
[IEEE] 2026-8-18 | Data-Driven Predictive Security Analytics Using Machine Learning for Proactive Threat Detection and Risk Management in Cyber Ecosystems
[ACM] 2026-8-19 | SMT-Based Traffic Scheduling for Time-Sensitive Networking
[ACM] 2026-8-19 | Design of Intelligent Path of “Walking Ideological and Political Course” + Red Archives Collaborative Education Based on Knowledge Map Construction Algorithm
[IEEE] 2026-8-18 | A CNN-RNN Hybrid Network Model for Atrial Fibrillation Risk Prediction Based on Cohort Follow-up Data
[IEEE] 2026-8-18 | A Unified Fault Detection and Repair Framework for Memristor-Based Non-Volatile Memories
[IEEE] 2026-8-18 | Multi-Agent Reinforcement Learning Based on Weak-Tie Topology Reconstruction and Three-Branch Feature Fusion
[IEEE] 2026-8-18 | Dual-Quaternion-Based Multiplicative Unscented Kalman Filtering (DQ-MUKF) for Relative Navigation in Small Groups of Interacting Objects
[IEEE] 2026-8-18 | Global Knowledge Service and Intelligent Decision Support Architecture for Industry Education Integration Platform Based on Knowledge Graph
[IEEE] 2026-8-18 | Machine Learning Algorithms for Advanced Threat Detection in Cloud Environments
[IEEE] 2026-8-18 | Multimodal AI-Driven Adaptive Assessment System for Personalized E-Learning Environments
[IEEE] 2026-8-18 | A Multi-Index Evaluation Approach for Theoretical Line Loss Estimation in Distribution Station Areas with Distributed Photovoltaic Integration
[IEEE] 2026-8-18 | Copy-move Forgery Detection Based on Trust Density Clustering
[IEEE] 2026-8-18 | Bibliometrics analysis on AI and Marketing
[IEEE] 2026-8-18 | Research on a Security Assessment Model for Symmetric Cryptographic Algorithms Based on Machine Learning
[IEEE] 2026-8-18 | The effect of cloud assistance in developing efficient wearable device with high level communication
[IEEE] 2026-8-18 | Research on the Construction and Analysis of a Customer Call Corpus in Mobile Customer Service
[IEEE] 2026-8-18 | The Future of Infrastructure: Advancing Civil Engineering Through Artificial Intelligence Solutions
[IEEE] 2026-8-18 | Quantum Machine Learning for Ultra-Fast Cryptography and Network Security
[IEEE] 2026-8-18 | A Methodology for Automatic Test Case Generation in Intelligent Connected Vehicle Cybersecurity Testing Based on Large Language Models
[IEEE] 2026-8-18 | Movable-Signals and Movable Antennas for Multiuser Covert Communications
[IEEE] 2026-8-18 | Enabling Flow Automation for HBM Testing Using A Plug-n-Play DFT Interface
[IEEE] 2026-8-18 | A Comparative Study of AI-Driven Decision-Making Models in Strategic Business Management and Operations
[IEEE] 2026-8-18 | Supply Chain Multi-level Inventory Collaborative Optimization Algorithm Based on Graph Convolutional Network
[IEEE] 2026-8-18 | Reconstruction and Practice of Cloud Computing Teaching Mode for Engineering Ability Training
[IEEE] 2026-8-18 | Contribution of Simple and Complex Spikes of Purkine Cells to the Formation of the Bold Response of the Cerebellum: Energy Modeling of Neurovascular Conjugation
[IEEE] 2026-8-18 | A Comprehensive Analysis of Machine Learning Techniques for Optimizing and Personalizing Gym Workouts and Fitness Regimens
[IEEE] 2026-8-18 | A Power Grid "Wartime" Emergency Repair Site Safety Monitoring System Based on Parallel Supervision Mode and Machine Vision
[IEEE] 2026-8-18 | Exploring Differential Evolution Algorithm with Fitness-and Position-Based Selection in Search of Best Test Pattern for Combinational ATPG
[IEEE] 2026-8-18 | Space Activities at the ENEA Calliope Gamma Irradiation Facility
[IEEE] 2026-8-18 | Design Optimization of 1 kW Axial Flux Permanent Magnet Generator Using Genetic Algorithm and Fuzzy Logic
[IEEE] 2026-8-18 | An Intelligent Computational Pipeline for Epitaxial Layer Thickness Estimation via Multi-Angle Spectral Interferometry
[IEEE] 2026-8-18 | Optical Communication in Data Centers: HighSpeed Transmission Technologies
[IEEE] 2026-8-18 | Developing a System for Evaluating the Personal Effect of Treatment Based on a Mixture of Experts and a Siamese Network
[IEEE] 2026-8-18 | Machine Predictive Maintenance Based on Multivariate Gaussian Anomaly Detection
[IEEE] 2026-8-18 | Mapping the Research Landscape of AI Pedagogy: A Bibliometric Analysis Using Scopus Data
[IEEE] 2026-8-18 | Multi-Agent Digital Twin Architecture for Collaborative Diagnosis in Cyber-Physical Manufacturing Systems
[IEEE] 2026-8-18 | Subway Passenger Traffic Prediction Based on Learning Rate Optimization of Three Tree Models
[ACM] 2026-8-19 | Shallow Water Delta Oil and Gas Reservoir Prediction
[ACM] 2026-8-19 | A Comparative Study of Policy-Based Reinforcement Learning Algorithms for Chinese Single-Stock Trading
[ACM] 2026-8-19 | Visualization Analysis of Research Hotspots and Trends of Chemistry Education Based on CiteSpace
[ACM] 2026-8-19 | A Quantum-inspired Language Model Based on Transformer and Unitary Evolution for Question-answering
[ACM] 2026-8-19 | Source-Free Domain Adaptive Fundus Image Segmentation with Disagreement-Guided Mask Consistency and Boundary Curvature Regularization
[ACM] 2026-8-18 | Enhanced Rice Leaf Disease Classification through Ensemble Deep Learning and Advanced Data Augmentation
[ACM] 2026-8-18 | SplitSight: Multi-Dimensional Verification for Client-Side TLS Interception
[IEEE] 2026-8-18 | Cloud-Edge Cooperative Distributed NMPC for Disturbance Rejection in Heterogeneous Vehicle Platoons
[IEEE] 2026-8-18 | Transport Efficiency for Networks Obtained by Vertex Merging Operation
[IEEE] 2026-8-18 | Multi-View Edge Inference in Low-Altitude Airspace: Joint UAV Deployment and Model Architecture Optimization
[IEEE] 2026-8-18 | Message
[IEEE] 2026-8-18 | EDOG-Map: Evidential Dynamic Occupancy Grid Mapping for Consumer-Grade UAV Navigation in Dynamic Environments
[IEEE] 2026-8-18 | ES-CLAKA: A Certificateless Authentication and Key Agreement Scheme with Enhanced Security
[IEEE] 2026-8-18 | Composite Generalized Quadratic Noise Modulation via Signal Addition: Towards Higher-Dimensional Noise Modulations
[IEEE] 2026-8-18 | GMSMO: Multi-Objective Evolutionary Adversarial Attacks for Remote Sensing Images_supp1-3724225.pdf
[IEEE] 2026-8-18 | Robust Transfer Learning for Lithium-ion Battery Core Temperature Estimation with Limited Data
[IEEE] 2026-8-18 | SGNet-DCL: A Neural-Network-Aided Consistent and High-Accuracy Fully Distributed Cooperative Localization Method
[IEEE] 2026-8-18 | Parameter OptimizationMethod for Shunt Reactors ConsideringMultiple Operating Scenarios of Double-Circuit Lines on the Same Tower
[IEEE] 2026-8-18 | Journal of Lightwave Technology Information for Authors
[IEEE] 2026-8-18 | A Multi Symptom Embedding Approach for Interpretable Zero-Shot Fault Diagnosis in Complex Mechanical Systems
[IEEE] 2026-8-18 | Effect of Strain on the DC and AC Behavior of an n-Type FinFET Using a Quantum-Corrected Full-Band Monte Carlo Simulation
[ACM] 2026-8-18 | Evaluating Software Architecture Diagram Connectivity with Vision Large Language Models
[ACM] 2026-8-18 | Agents as Documents: Swarm Orchestration for Secure Automation within a Hypermedia Workspace
[IEEE] 2026-8-18 | Modeling Underwater Sound Propagation: a Review
[IEEE] 2026-8-18 | Attention-Based Multimodal Deepfake Detection Using Spatial, Frequency and Audio Features
[IEEE] 2026-8-18 | Applying AI and Advanced Data Analytics for Innovations in Food Engineering:mproving Food Quality and Nutritional Value
[IEEE] 2026-8-18 | Design and Control of EV Charging Station Using Integration of Renewable Energy Source &amp; Diesel Power
[IEEE] 2026-8-18 | Numerical Modeling of the Deorbiting Stages of the KazEOSat-2 Satellite
[IEEE] 2026-8-18 | Smart Digital Platforms for Art Education: Integrating AI, Virtual Museums, and Traditional Pedagogy of Art in India
[IEEE] 2026-8-18 | Preliminary Feasibility Study of an Instrument for Dust Particle Detection Based on Laser Barrier and SiPM Sensing Unit
[IEEE] 2026-8-18 | Advancement in AI and Automation Skills
[IEEE] 2026-8-18 | Prediction of Degradation Trend of Pumped Storage Units Based on MIC-OVMD-BiLSTM
[IEEE] 2026-8-18 | GenAI-Powered Vulnerability Prediction in Virtualized Cloud Infrastructure
[IEEE] 2026-8-18 | Attosecond Electron Dynamics via Structure-Preserving Heterogeneous Computing on Domestic DCU Platforms
[IEEE] 2026-8-18 | Quantifying User-Level Coordination in the Spread of Misinformation on X (Twitter)
[IEEE] 2026-8-18 | Adaptive Source-Channel Coding for Semantic Communications
[IEEE] 2026-8-18 | Securing Cloud-based Networks: A Comparative Study of Encryption Techniques and Access Control Mechanisms
[IEEE] 2026-8-18 | Design of Learning Analytics Data Lakehouse System for Learning Activity Data Based on Virtual Learning Contents
[IEEE] 2026-8-18 | Two-Layer MILP–MPC Optimization for Grid-Connected PV–BESS Fast EV Charging Stations
[IEEE] 2026-8-18 | Research on Cybersecurity Risk Assessment of Vehicular Heterogeneous Networks Based on FAHP
[IEEE] 2026-8-18 | A Graphene-Based Frequency Selective Surface for Transmission and Reflection Control in the sub-THz Frequency Band
[IEEE] 2026-8-18 | Study on UGV to improve Blind-Corner Safety System for palleting Warehouse Autonomous Robots
[IEEE] 2026-8-18 | Research on Ground Cloud Image Recognition Based on Weak Supervision and Knowledge Distillation
[IEEE] 2026-8-18 | A Methodology for Robust Testing of Through Glass Vias (TGV) on Glass Substrate-Based 3D Chiplets
[IEEE] 2026-8-18 | Architecture of Hierarchical Digital Twins Based on PBA-PINN Models
[IEEE] 2026-8-18 | AI-Driven Chatbots in Education: Enhancing Student Engagement and Support
[IEEE] 2026-8-18 | Resource Assessment and Levelized Cost Analysis of Floating Solar Photovoltaics in Vietnam
[IEEE] 2026-8-18 | Research on Electronic Sensing Protection Device for Barbell Bench Press Based on Sensors
[IEEE] 2026-8-18 | AhBot - A GenAI Solution to support Flipped Learning
[IEEE] 2026-8-18 | AI and Machine Learning in Legal Practice: Transforming Case Analysis and Predictive Analytics
[IEEE] 2026-8-18 | A Novel Plug-in Module Architecture for Extending Automatic Test Equipment Capability to Wireless Testing of Pin-Less Semiconductor Devices
[IEEE] 2026-8-18 | Anti-Collision Early Warning Method for Port Cranes Based on Monocular Vision and RANSAC-PnP Algorithm
[IEEE] 2026-8-18 | Triangular Cross-Section Serpentine Flow Fields: A Geometric Paradigm for Enhanced Water Management in PEMFCs
[IEEE] 2026-8-18 | A Water Knowledge Retrieval Method and System Based on Large Language Model
[IEEE] 2026-8-18 | Multimodal Deep Learning for Osteoporosis Detection: A Comparative Analysis of CNN and ResNet50-based Hybrid Architectures
[IEEE] 2026-8-18 | AI-Based Predictive Maintenance Model for Industrial Systems
[IEEE] 2026-8-18 | A Data-Driven Approach to Customer Segmentation using RFM and K-Means++ Clustering
[IEEE] 2026-8-18 | Research on Prediction Method of Internet of Things Time Series Data Based on Neural Network
[IEEE] 2026-8-18 | Acoustic Signal Characterization for Tool Wear Monitoring in Manual CFRP Drilling
[IEEE] 2026-8-18 | Constraint-Based Functional Testing of Encrypted Memory Systems Using Magic Square Patterns
[IEEE] 2026-8-18 | Online Detection Method for Thermal Spot Faults in Photovoltaic Modules Based on Improved PSO-SVM
[ACM] 2026-8-19 | An AI-Driven Framework for Dance Movement Generation Based on Motion Capture and Affective Computing
[ACM] 2026-8-19 | A Multimodal Recommendation System Based on Transformer And Dimensionality Reduction Clustering Algorithm for Clothing Similarity Retrieval
[ACM] 2026-8-19 | Research of Smart Helmets for Delivery Personnel
[ACM] 2026-8-18 | Safe Invoice Data Extraction: FPR-Constrained Validation with VLM Denoising
[ACM] 2026-8-18 | Distributional Fairness in Recommender Systems using Energy Distance
[ACM] 2026-8-18 | Recipe Recommendation in Menu Sequences Using Box Embeddings and Fine-Tuned BERT on Knowledge Graphs
[ACM] 2026-8-18 | CrisisWatch: An app for Safer and Smarter Cities
[IEEE] 2026-8-18 | Efficient and Green Service Function Chain Deployment and Scheduling for Mobile Edge Computing
[IEEE] 2026-8-18 | <i>ApproxLeak:</i>
                    Stealing or Shielding? Power Side-Channel Analysis of Approximate Neural Hardware
[IEEE] 2026-8-18 | Journal of Lightwave Technology Publication Information
[IEEE] 2026-8-18 | Skeletonized Nested Iterative Solver for Characteristic Modes of Multi-scale Metallic-Dielectric Objects
[IEEE] 2026-8-18 | Title Page
[IEEE] 2026-8-18 | Estimating Parameters of Ground Moving Targets by Exploiting Shadow Features in Terahertz Video SAR
[IEEE] 2026-8-18 | On the Capacity of Erasure-prone Quantum Storage with Erasure-prone Entanglement Assistance
[IEEE] 2026-8-18 | 2026 International Conference on Emerging Trends in Information, Communication &amp; Systems (ICETICS)
[IEEE] 2026-8-18 | Design, Simulation, and Experimental Characterization of a Three-Electrode Planar Spark-Gap Microswitch
[IEEE] 2026-8-18 | Measurement-Based Analysis and Design Guidelines for Guard-Ring-Assisted SPAD Pixels in 180-nm CMOS Technology
[IEEE] 2026-8-18 | Modeling and Design of a Novel High-Current-Density Twisted-Core Inductor for Voltage Regulator Module
[IEEE] 2026-8-18 | HEAL: A Hierarchical Approach to Shortening Block Open Time on Multi-Tenant SSDs
[IEEE] 2026-8-18 | Table of Content
[IEEE] 2026-8-18 | On-Orbit Computing and Caching: A Distributed Regret Learning Approach
[IEEE] 2026-8-18 | Collision-Isolated Asynchronous Access for High-Density IoT Networks
[IEEE] 2026-8-18 | On-Chip Microcomb-Powered Reconfigurable Ultra-Wideband Radar Waveform Synthesis
[IEEE] 2026-8-18 | LSTM-Based Junction Temperature Monitoring and Thermal Damage Estimation for SiC MOSFETs
[IEEE] 2026-8-18 | PointLIBERO: Unlocking Spatial Awareness in VLAs with a Novel 3D Dataset and a Lightweight Framework_supp1-3724338.pdf
[IEEE] 2026-8-18 | Towards Heterogeneous-Degradation-Robust Image Fusion with Controllable Generative Modulation
[IEEE] 2026-8-18 | Integrating Swin Transformers and Wavelet CNNs for Hierarchical Global–Local Mammographic Image Analysis
[IEEE] 2026-8-18 | Spatiotemporal variation of near-surface NO
                    <sub>2</sub>
                    in Northeast Asia under extreme scenarios: A comparative analysis of China and South Korea for the pre-, co-, and post- COVID-19 pandemic
[IEEE] 2026-8-18 | Cross-Attentive Auto Encoder-based Data Fusion for IoMT System
[IEEE] 2026-8-18 | Advanced Predictive Analytics of Antibacterial Activity in Todarodes pacificus Chitosan Nanoparticles via Spectroscopy and ML
[IEEE] 2026-8-18 | Advancements in AI for 6G Networks
[IEEE] 2026-8-18 | Empirical Study of Pipeline Component Trade-offs in Small Language Model Code Generation
[IEEE] 2026-8-18 | Predictive Financial Health Evaluation of Companies Using Random Forest and Logistic Regression Techniques
[IEEE] 2026-8-18 | Lunar Transfer Orbit Navigation Augmentation Via Surface Beacon: Reimagining LuGRE
[IEEE] 2026-8-18 | Cognitive Deep Learning Engine for Autonomous Software Vulnerability Detection
[IEEE] 2026-8-18 | Physio-JEPA for ICU Signals: Temporal Multimodal Explainability and the Temporal Range Coherence Metric for Ventricular Tachycardia Alarm Validation
[IEEE] 2026-8-18 | A Comparative Analysis of Machine Learning Models for Credit Default Prediction
[IEEE] 2026-8-18 | A Technical Implementation of MR Allotment using ML
[IEEE] 2026-8-18 | Affective Computing and Quantification Based on Multi-Dimensional Light-Shadow Features
[IEEE] 2026-8-18 | A Generative AI Application for Automated Academic Advising: Transcript Analysis and Course Recommendation
[IEEE] 2026-8-18 | A Novel Hardware Design for Effective Supply Voltage Glitch Injection
[IEEE] 2026-8-18 | Optimized Convolutional Neural Networks for Alzheimer's Disease Classification: Integrating Attention Mechanisms and Transfer Learning
[IEEE] 2026-8-18 | Adapting Stem Education with AI-Driven Tutoring Systems in Secondary Schools
[IEEE] 2026-8-18 | Blockchain in Educational Record Management: Secure and Decentralized Solutions
[IEEE] 2026-8-18 | Topology optimization of 3D printing structure
[IEEE] 2026-8-18 | Machine Learning Approaches to Interpreting Familial Bonds and Emotional Signatures in Anita Desai’s Rosarita
[IEEE] 2026-8-18 | Corrections to “Analysis of Mobile Phone Geolocation Methods Used in US Courts”
[IEEE] 2026-8-18 | An AI-Enabled Patient-Centric Treatment Planning Model for Personalized and Adaptive Healthcare Management
[IEEE] 2026-8-18 | A Statistical Approach to Flexible Management in the AI Era
[IEEE] 2026-8-18 | Simulation and Application of ROS Communication Based on Medical Scenarios
[IEEE] 2026-8-18 | A Method for Confirming the Completeness of Software Reliability Requirements Based on Mission Profile and Failure Mode
[IEEE] 2026-8-18 | Design and Metrological Characterisation of an Ultra-Stable Power Conditioning and Distribution Unit for Smallsat Platforms
[IEEE] 2026-8-18 | YİB-High Altitude Balloon-Radiation Monitoring and Test Platform: Developments in Design and Flight Results
[IEEE] 2026-8-18 | Data-Driven Deorbiting Compliance Classification of LEO Satellites: Framework and Sensitivity to Tracking Data Uncertainty
[IEEE] 2026-8-18 | Research on Lightweight Algorithm for Multi-Source Data Consistency Verification of Power Work Orders Using AI Large Language Model
[IEEE] 2026-8-18 | Artificial Intelligence and Emotional Intelligence in Employee Engagement: using Machine Learning to Improve Workplace Satisfaction
[IEEE] 2026-8-18 | Fine-Tuned MobileNetV2 with Enhanced Feature Learning for Multi-Class Dental Disease Classification
[IEEE] 2026-8-18 | MEKA: Energy-Efficient Multi-Engine CRYSTALS-Kyber Accelerator for Smart-Energy IoT Edge Gateways
[IEEE] 2026-8-18 | Research on Target Tracking and Strike System for Mobile Robots
[IEEE] 2026-8-18 | Machine Learning Techniques for Diabetes Prediction: Algorithms, Feature Engineering, and Predictive Healthcare Analytics
[IEEE] 2026-8-18 | Graph Neural Networks for Detecting Financial Fraud in Transaction Networks
[IEEE] 2026-8-18 | Research on Carbon Footprint Accounting of Multi-Voltage Class Electrical Transformers and Data Quality Evaluation Method Based on Isomorphic Mapping
[IEEE] 2026-8-18 | Guarding the Gateway: Securing MCP-Mediated RAG Pipelines Against Injection with the Guru Framework
[IEEE] 2026-8-18 | Bridge Sim to Real Robot Manipulation: A Tri Level Hybrid Framework Combining Vision Language Models &amp; RL with Deterministic Control
[ACM] 2026-8-19 | A Lightweight YOLOv8-Based Camera Backbone for Efficient BEVFusion
[ACM] 2026-8-19 | Software Engineering for Self-Adaptive Robotics: A Research Agenda
[ACM] 2026-8-19 | Adaptive Computational-Intelligence Framework for Rhythmic Motor-Cognitive Assessment Using Generative AI
[ACM] 2026-8-19 | Resilience Evaluation of Eco-Cultural Space in Guangxi Ethnic Villages Based on Deep Learning
