[2026-06-02 12:43:30] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-01
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202606010000+TO+202606012359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-6-1 | Reliable Receiver Design for Frequency-Selective Channels under Bursty Impulsive Noise
[NO] 88/1000 | Energy Efficient Control of Electric Heaters in Biogas Reactors
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 89/1000 | Resilient Distributed Optimal Power Flow Algorithm Against False Data Injection Attacks
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 90/1000 | Demographic Bias in Generative Data Augmentation: A Study of Makeup and Hairstyle Transfer Models
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 91/1000 | Dual-Feature Shop Scheduling Based on Heterogeneous Cooperative Subpopulation Algorithm
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 92/1000 | Lightweight and Highly Scalable Campus Service WeChat Mini Program Architecture Design and Practice for Private Universities
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 93/1000 | Traffic Estimation Methods for Intelligent Transport
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 94/1000 | Inter-firm Innovation Collaboration: A Bibliometric Analysis of Research Evolution and Emerging Trends Based on CiteSpace
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 95/1000 | Digital Governance Capability, End-User Analytics Use on Scalable Information Systems, and Organizational Performance: Evidence from Chinese Manufacturing Firms
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 96/1000 | Suite of Ingestible Devices Opens Window to the Gut Nervous System, Microbiome
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 97/1000 | Dynamic Event-Triggered MPC for Nonlinear Systems: Application to Vehicle Active Suspensions
                    <sup>*</sup>
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 98/1000 | The Impact of Quality Control, Curated Gene Sets, and Statistical Frameworks on Alzheimer’s Disease Gene Expression Analysis in Single-Cell Data
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 99/1000 | A Containerized Multimodal Architecture for On-Device Driver-State Feedback with ROS 2 and Edge AI Services
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 100/1000 | Perception and Acceptance of Quadruped Robots Based on Indirect Exposure
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 101/1000 | Modern Trends in the Use of Hydrogen as a Motor Fuel: Analysis, Recent Advancementsand Prospects
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 102/1000 | Disaster Response Gross Motor, Fine Motor and Tactile Workload Prediction Using Multi-layer Perceptrons
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 103/1000 | Intelligent Safe Optimal Control Towards Koopman Operator-Driven Nonlinear Systems with Asymmetric State and Input Constraints
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 104/1000 | From Episodic Screening to Continuous Insight: AI Architectures for Colorectal Care
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 105/1000 | Impact of Renewable Integration on Day-Ahead and Real-Time Market Prices under One- and Two-Price Imbalance Settlements
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 106/1000 | Mathematical Modeling of Negative Environmental Consequences Due to Thermal Radiation
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 107/1000 | SAFE-GUARD: Audio Emotion Recognition System for Real-Time Public Place Abuse Detection
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 108/1000 | Generative AI-driven Group Emotion Recognition: A Comparative Analysis of Holistic and Compositional Strategies
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 109/1000 | Automated Detection of Hip Replacements and Fiducial Markers in Pelvic CT Scans: A Comparative Study of Rule-Based vs Deep Learning Approaches
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 110/1000 | Lightweight LLM Adaptation for Intrusion Detection via Token-Efficient Flow Representation
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 111/1000 | CNnotator: LLM-Guided Memory Safety Annotation Synthesis
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 112/1000 | Beyond Accuracy: Characterizing Code Comprehension Capabilities in (Large) Language Models
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 113/1000 | Poster: Toward robust, fast, scalable autonomous plastics sorting
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 114/1000 | The 14th International Workshop on News Recommendation and Analytics (INRA 2026)
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 115/1000 | DestiRec: User Interaction with a Travel Destination Recommender System
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 116/1000 | On the Role of Dwell Time for Implicitly Profiling Museum Visitors
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 117/1000 | Evaluating Persona Consistency and Emotion Understanding in Small Language Models
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 118/1000 | A New Quantum Efficient Fault Tolerant Parity Preserving Clifford + T ALU
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 119/1000 | Cyberlogic: A Foundational Framework for Cross-Space Logic in the Cyber-Physical-Social-Thinking Hyperspace
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 120/1000 | Convergence of Large Language Models, Internet of Things, and Process Mining: A Systematic Literature Review_supp2-3696767.xlsx
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 121/1000 | Force-Level Fusion of a Diffusion Transformer Model with a Learnable Social Force Model based Elastic Strip for Safe Trajectory Prediction
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 122/1000 | Essential Proteins Prediction Using Features Synergy Model and GO Pure Centrality
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 123/1000 | Design, Modeling, and Validation of a 6-DoF Wearable Puncture Robot
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 124/1000 | Model Predictive Control for Constrained Linear Positive Systems on Graphs
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 125/1000 | Reconstruction of Graph Signals on Complex Manifolds with Kernel Methods
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 126/1000 | LEABS : A Latency- and Resource-Aware Bi-Directional Service Scheduling Framework for Relay Chains in the Internet of Vehicles
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 127/1000 | AdRo-FL: Secure and Informed Client Selection for Federated Learning under Adversarial Aggregator_supp1-3696080.pdf
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 128/1000 | Intermittent Event-Triggered Fixed-Time Containment Control for Disturbed Second-Order Multi-Agent Systems Under DoS Attacks
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 129/1000 | Mechanistic Insights into Voltage Maintaining Performance of Dielectric Films: Material Dependence and Field Effects_supp1-3698069.docx
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 130/1000 | Parallel Secure Pattern Matching with Differential Privacy and Consistency Checking
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 131/1000 | Comprehensive comparison of acceleration voltage of selected dielectric liquids as a critical non-standard parameter describing dielectric properties of insulating liquids
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 132/1000 | DSFF: Dynamic–Static Feature Fusion Framework for Robust Cross-Dataset Deepfake Detection
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 133/1000 | An Agentic Framework for Efficient and Scalable Web Content Classification
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 134/1000 | Granular Convolutional Neural Networks: Interpretable Classification with Uncertainty Quantification
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 135/1000 | Perception of Gendered Voice and Expressed Apology in Warehouse Robots
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 136/1000 | Discrete quantum-classical walks for link prediction
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 137/1000 | Analysis of Routing Problems in Payment Channels and Optimization of the Payment System in Trading Platforms of Microgrid Networks
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 138/1000 | Comparative Analysis of Autonomous Robotic and Manual Techniques for Ultrasonic Sacral Osteotomy: A Preliminary Study
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
