[2026-05-05 10:47:41] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-04
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605040000+TO+202605042359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-5-4 | Research on Spectrum Sensing Method for Non-Cooperative Targets Correction
[ACM] 2026-5-5 | MeLt: Language Expert Specialization in Multilingual Mixture-of-Experts Models via Contrastive-Guided Training
[IEEE] 2026-5-4 | An Entropy Transformed Pareto Distribution for Measuring Wealth Inequality
[IEEE] 2026-5-4 | MPPT Performance of P&amp;O and PSO in Tilted Standalone PV Systems with Battery Under Shading
[IEEE] 2026-5-4 | Study the Effect of Current Source Driver on the Performance of Traction Inverter
[IEEE] 2026-5-4 | Design and Thermal Characterization of Al6061-T6 Reinforced with Graphene, SiC, and B
                    <sub>4</sub>
                    C Nanoparticles for Electric Vehicle Battery Enclosure
[IEEE] 2026-5-4 | Adaptive Analytical Control and Optimization of STATCOM in Solar-Fed Transmission Lines Under Outlier Scenarios
[IEEE] 2026-5-4 | Investigations on Effect of Shaft-Mounted Position Sensor Unbalance on SRM Performance and Its Remedy
[IEEE] 2026-5-4 | Power Quality Enhancement of Hybrid Pv-Wind-Battery-Fcs-Ae Based Standalone Microgrid Under the Operation With Various Loads
[IEEE] 2026-5-4 | MQTT-Enabled Smart Net Metering for V2G with Predictive Analytic
[IEEE] 2026-5-4 | Semantic Spatial Object Interpretation for Indoor Environments using Sensor Fusion
[IEEE] 2026-5-4 | High Voltage Conversion Ratio Non-Isolated Common-Ground Bidirectional DC-DC Converter
[IEEE] 2026-5-4 | Solid-State and AI-Driven Advances in EV Battery Ecosystems: Road to 2030
[IEEE] 2026-5-4 | A Computational Study on CT-CV Charging of Lithium-Ion Batteries with Temperature Regulation
[IEEE] 2026-5-4 | BiLSTM-Based Load Forecasting for Individual Appliances in Smart Homes
[IEEE] 2026-5-4 | Design and Analysis of Coreless Double-D Coil for Dynamic Wireless Power Transfer in Electric Vehicles Under Misalignment
[IEEE] 2026-5-4 | Scalar Control of Induction Motor with Current Limiting Feature
[IEEE] 2026-5-4 | Modeling and Integration of Regenerative Braking for Motor Through SCMIC-Based Hybrid PV/ Battery System
[IEEE] 2026-5-4 | Efficient Frequency Regulation of Shipboard Microgrid Utilizing One-Third Method Based Tuning Rules
[IEEE] 2026-5-4 | Stability and Power Quality Reinforcement in Offshore Wind Farms Using Battery-Supported E-STATCOM
[IEEE] 2026-5-4 | Enhanced Modeling and Implementation of Incremental Encoder-Based FOC for PMSM Drives
[ACM] 2026-5-4 | Empowerment over Automation in AI Summarization of Online Reviews
[ACM] 2026-5-4 | A Survey on Adversarial Attack and Defense in Image Classification
[ACM] 2026-5-4 | Small-Sample Customer Review Modeling in C2M Using PCA and LightGBM
[IEEE] 2026-5-4 | A High-Efficiency Broadband Rectifier With a Coupled-Feedback Network
[IEEE] 2026-5-4 | Integrated Sensing and Communications for Unsourced Random Access: Fundamental Limits and Practical Model
[IEEE] 2026-5-4 | LumaDiff: A Luminance-Aware Diffusion Model for Maritime Image Restoration
[IEEE] 2026-5-4 | A Microwave Sensing System Based on Transmitarray Antennas for Detecting Low-Density Contaminants in Food Packaged Products
[IEEE] 2026-5-4 | Near-HBM Tensor Core Acceleration for Fine-Grained Sparse Matrix-Matrix Multiplication
[IEEE] 2026-5-4 | EMBC Special Issue: Investigating High-Order Behaviors in Multivariate Cardiovascular Interactions via Nonlinear Prediction and Information-Theoretic Tools_supp1-3689598.pdf
[IEEE] 2026-5-4 | A Novel Ultra High-Gain DC–DC Converter for Fuel Cell Electrical Vehicles
[IEEE] 2026-5-4 | Kalman-Based Forecasting of Stock Market Trend
[IEEE] 2026-5-4 | Strategic Bidding for Virtual Power Plant in Energy Markets Using New Hybrid MGFO Technique for Energy Scheduling
[IEEE] 2026-5-4 | Effect of Inertia on Power System with Renewable Energy Integration
[IEEE] 2026-5-4 | A Novel Lightweight Symmetric Encryption and Decryption Hardware for CPS Application Security
[IEEE] 2026-5-4 | New Scheme of Health Monitoring for SiC Based Three-Phase Inverter
[IEEE] 2026-5-4 | ZA-ASFE Based Advanced Technique for 1-Phase Grid Connected SPV System
[IEEE] 2026-5-4 | Fusion-Based Switched Kalman Filter for State-of-Charge Estimation in Electric Vehicles Under Dynamic Conditions: A Real-Time Validation
[IEEE] 2026-5-4 | Dual-Loop PD Control for Time Delayed Double Integrating Processes Using a Smith Predictor
[IEEE] 2026-5-4 | Design and Implementation of a Multi-Protocol Architecture for Scalable IoT Systems
[IEEE] 2026-5-4 | Optimal Placement of PMUs Using AO Algorithm by Considering Data Traffic and Cost Installation Indices in Smart Grid
[IEEE] 2026-5-4 | A Novel Single-Stage AC-AC Converter Topology with Reduced Voltage Stress for Solid-State Transformers
[IEEE] 2026-5-4 | Crowd Monitoring and Control Using Joint Face Super-Resolution, Head Pose Estimation and Face Verification
[IEEE] 2026-5-4 | A LiDAR-Inertial Mapping and Voice-Driven Goal-Setting Framework for Autoware-Based Autonomous Vehicles
[IEEE] 2026-5-4 | Model-Free Variable Impedance Control of Redundant Manipulators for Soft Tissue Puncture
[IEEE] 2026-5-4 | A Subjective and Objective Evaluation of Viewing Distance and 4K Video Quality_supp1-3689431.pdf
[IEEE] 2026-5-4 | Architectural Strategies for Automotive Predictive Maintenance: Balancing System Efficiency and Security through Advanced Risk Analysis
[IEEE] 2026-5-4 | Development of an infrared trace gas detection system adapted to a six degree-of-freedom rotary Stewart parallel robot
[IEEE] 2026-5-4 | Time-Varying Graph Signal Reconstruction with Temporal Filter Identification
[IEEE] 2026-5-4 | CC-SDSN: a Collaborative Control Plane for Software Defined LEO Satellite Networks
[IEEE] 2026-5-4 | Front Cover
[IEEE] 2026-5-4 | Early Functional Safety and PPA evaluation for faster digital design development
[IEEE] 2026-5-4 | Distance-Domain Degrees of Freedom in Near-Field Region
[IEEE] 2026-5-4 | Optimal Design of a High-Efficiency Permanent Magnet Assisted Synchronous Reluctance Motor Considering Anti-Demagnetization Performance
[IEEE] 2026-5-4 | NVC-1B: Scaling up Neural Video Coding Models
[IEEE] 2026-5-4 | An automatic identification method for linear discontinuities on high-steep slopes based on thermal infrared imaging: A case study in the Jinsha River suture zone
[IEEE] 2026-5-4 | DHTM: Decrypting Hashing Training Method for valid localization of encrypted images
[ACM] 2026-5-4 | An Intelligent Biomedical Imaging System for 3D Assessment of Mitral Valve Morphology: A Real-Heart Approach to Digital Accuracy
[ACM] 2026-5-4 | Graph Neural Network Surrogates for Reconstructing Full-Field CFD Flow Fields from Inflow Data
[ACM] 2026-5-4 | Two-Stage Deep Energy Optimization for UAV-Assisted Edge Computing: JointTask Offloading and Deployment
[IEEE] 2026-5-4 | Data-Driven Digital Twin for Real-Time Condition and Stability Monitoring of a PV-Integrated Boost Converter System Using ED-LSTM-A
[IEEE] 2026-5-4 | An Overlap Timing-Based Control Scheme for Active Current Source Gate Driver
[IEEE] 2026-5-4 | Optimal Sizing of PV, Wind Power, and Battery Storage for Coordinated EV Charging Stations with Distribution System
[IEEE] 2026-5-4 | Adaptive Field Weakening-Based Advanced DTC for IPMSM Drives with MTPA and Adaptive Flux Hysteresis Control Under Voltage-Constrained Wide-Speed Operation
[IEEE] 2026-5-4 | Power Factor Correction by Phase Angle Regulation and Mitigation of Voltage Fluctuations Using MLI Based DVR
[IEEE] 2026-5-4 | Evaluating Bifacial Perovskite Solar Cell Performance Under Dual-Side Illumination
[IEEE] 2026-5-4 | Optimized Operation of Multi-Carrier Energy Systems with Renewable and Demand Response Uncertainties
[IEEE] 2026-5-4 | Comparative Analysis of Six Phase Symmetric and Asymmetric Induction Motor Under DTC
[IEEE] 2026-5-4 | Improving Grid Compliance and Economic Efficiency Using Energy Storage Under DSM Regulation 2024
[IEEE] 2026-5-4 | Integration of Solar and Wind Power with Virtual Synchronous Generators for Improved Transient Stability and Virtual Inertia Support
[IEEE] 2026-5-4 | Cooperative Energy Exchange of a Heterogeneous Prosumer Microgrids for Mutual Economic Energy Share
[IEEE] 2026-5-4 | Switched-Capacitor Based Common-Ground Nine-Level Boosting Inverter (SCCGI)
[IEEE] 2026-5-4 | Evaluation of a $\pm 5 \text{kV}$ Solid-State-Based 200 Ns Duration Pulse Generator
[IEEE] 2026-5-4 | Identifiable Single Particle Model with Electrolyte Dynamics
[IEEE] 2026-5-4 | Advanced Phase-Lead Augmented PI Control for High-Precision 2-DOF Turret Positioning
[IEEE] 2026-5-4 | Channel Group-wise Exciting Network for Video-based Dorsal Hand Re-identification in Uncontrollable Environment
[IEEE] 2026-5-4 | An IEEE 802.15.4/4z-Compliant UWB All-Digital Transmitter With Hybrid FIR Filtering
[IEEE] 2026-5-4 | Reference Model-Based Cyber-Attack Detection for Stochastically Uncertain Wind Turbine Systems
[IEEE] 2026-5-4 | Enhancing Durability and Payload Capacity of Tendon-Driven Continuum Robots Using Multimaterial Soft-Rigid Hybrid Structure_supp1-3683602.mp4
[IEEE] 2026-5-4 | Soft Robotic Proprioceptive Posture and Positioning Enhancement via Distributed Multifield Magnetic Inductive Sensing
[IEEE] 2026-5-4 | UnderwaterDG: Domain Generalized Semantic Segmentation in Underwater Scenes via Decoupling Visibility and Appearance
[IEEE] 2026-5-4 | Leveraging Image-text Pairs for Generalized Category Discovery in Medical Image Classification
[IEEE] 2026-5-4 | Equivalence of Left- and Right-Invariant Extended Kalman Filters on Matrix Lie Groups
[IEEE] 2026-5-4 | Uncertainty-Aware Channel Modeling and Riemannian Joint Optimization of BS Position and Antenna Orientation for Multi-UAV mmWave Communication
[IEEE] 2026-5-4 | A Cavity-Length-Matched Phase Demodulation Scheme for High-Fineness Fabry-Pérot Sensor
[IEEE] 2026-5-4 | Breaking the Black Box: Interpretable AI Achieves Superior Hemorrhage Detection with the Compensatory Reserve Measurement
[IEEE] 2026-5-4 | ClinPatch-AD: Token-Level Fusion of 3D MRI Patch Transformers and Clinical Scores for Subject-Wise Alzheimer’s Disease Screening
[IEEE] 2026-5-4 | On the Improvement of Gate Fidelity in Spin Qubits with Two-Level Fluctuators at Higher Temperatures
[IEEE] 2026-5-4 | Resilient and Interpretable Power Fingerprinting for IoT DDoS Defense
[IEEE] 2026-5-4 | JustListIt: A Trust-Enhanced Digital Marketplace Transforming Zimbabwe's Real Estate Through Emerging Technologies
[IEEE] 2026-5-4 | Explainability-Guided Untargeted Attacks on Knowledge Graph Embedding_supp1-3689651.pdf
[IEEE] 2026-5-4 | Effectiveness of Machine Learning for Water Demand Forecasting: A Case Study of Beitbridge Town
[IEEE] 2026-5-4 | Towards Energy-Efficient Collaborative Inference and Fine-tuning: Matching Model Compression and Offloading with Resource Availability
[IEEE] 2026-5-4 | Annotating Spatial Multi-Omics Spot-Level Niche Types Using Bi-View Retrieval-Augmented Generation With SpotTypeLLM_supp1-3689143.docx
[ACM] 2026-5-5 | Test Case Generation Method Based on the Synergy of Generative Model and Gradient Attack
[ACM] 2026-5-5 | Digital Recognition System of Traditional Chinese Patterns Based on Variant YOLOv8 Model
[ACM] 2026-5-5 | Key Technologies in Aircraft Acoustic Fingerprint Recognition
[ACM] 2026-5-4 | Universal Deep Learning Frameworks for Multi-Disease Classification in Neurology: From Alzheimer's to Brain Tumors
[ACM] 2026-5-4 | CSN-ESA: A State-Aware Orchestration Framework for Gradient Computing Radii in 200km-2000km Scale Networks
[ACM] 2026-5-4 | Multi-Attention-Enhanced CNN-LSTM Model for Air Quality Index Forecasting
[IEEE] 2026-5-4 | Reinforcement Learning Control with Self-Regulated Prescribed Performance for Input-Saturated Systems under External Disturbances
[IEEE] 2026-5-4 | Inflection Frequency and Defect Density Based Assessment of Acid-Aged Nanofluids
[ACM] 2026-5-4 | Beyond Cultural Targeting: The Role of Cultural and Intersectional Identity among Hispanic Users of Fitness Applications
[IEEE] 2026-5-4 | List of Papers
[IEEE] 2026-5-4 | Maritime Dual Band Multifunctional Radar System: Effective Resource Allocation and Management
[IEEE] 2026-5-4 | Deep reinforcement learning with action chunking for long-horizon flexible job shop scheduling
[IEEE] 2026-5-4 | Torque Performance Improvement via Amplitude-Phase Collaborative Modulation From the Perspective of Excitation-Source Offset in Asymmetric Salient-Pole PMSMs
[IEEE] 2026-5-4 | Real-Time Automatic Train Regulation of Metro Lines with Bifurcations and Short-Turning under Continuous Communication.
[IEEE] 2026-5-4 | A Near-Field ISAR Measurement Method Using Array-Synthesized Cylindrical Waves with Environmental Coupling Analysis
[IEEE] 2026-5-4 | Using Information and Communication Technology (ICT) to Deter Birds in Crops in the Rural Areas of Zimbabwe
[IEEE] 2026-5-4 | Audible Focal Spot Generation via a Metasurface-enabled Parametric Array Loudspeaker_supp2-3689544.mov
[IEEE] 2026-5-4 | A Piecewise Linearization Approach of Inherent Decoupled Triple-Active Bridge for Power Management of Grid-Connected Renewable Energy Sources
[IEEE] 2026-5-4 | Addressing Structural Distribution Shift in Explanations for Graph Neural Networks
[IEEE] 2026-5-4 | Petrophysical-Parameters Prediction via Viscoelastic Prestack Waveform Inversion based on Stratified Media
[ACM] 2026-5-4 | A Comparative Study of NLP-Based Models: Popularity Trends in Pop Mart Comments
[ACM] 2026-5-4 | INSTANT: Inference-Aware Fast Feedforward Networks
[IEEE] 2026-5-4 | Application of Artificial Intelligence Techniques in Smart Interactions Between the EV and Grid Using V2G and G2V Modes: A Comprehensive Review
[IEEE] 2026-5-4 | Fuzzy Logic-Based Hybrid Electric Vehicle with Battery and PEMFC Source for Performance Enhancement
[IEEE] 2026-5-4 | MachineLearning - Based State of Charge Estimation for Li-Ion Batteries and Validation by Historical Data and Synthetic Data
[IEEE] 2026-5-4 | Techno-Economic and Environmental Analysis of a Stand-Alone Hybrid PV-Wind-Diesel Microgrid for Electrification Using PSO, EHO, and QPSO
[IEEE] 2026-5-4 | Optimum Off-Grid Hybrid Renewable Energy System with Hydrogen Generation Using a Chaotic Brown Bear Algorithm
[IEEE] 2026-5-4 | Hexagonal Linear Electromagnetic Actuator for Vehicular Suspension Systems
[IEEE] 2026-5-4 | Optimization of Battery Thermal Management in Electric Vehicles: a Model Predictive Control Approach Integrated With Particle Swarm Optimization
[IEEE] 2026-5-4 | Cascaded H Bridge Converter for STATCOM and Multiport EV Charging Applications and Its Capacitor Voltage Balance Technique During Uneven Loading Conditions
[IEEE] 2026-5-4 | Interpretable Deep Learning Models for Battery Soh Estimation Using Explainable AI
[IEEE] 2026-5-4 | Improved High Gain Next-Gen DC-DC Converter for DC-BUS Applications
[IEEE] 2026-5-4 | Energy Management of a PV-Battery-Fuel Cell-Diesel Hybrid System for DC Microgrid Applications
[IEEE] 2026-5-4 | Three-Phase ETOSSI-Controlled Solar-Battery Grid System for Power Quality Enhancement and Seamless EV Charging Transition
[IEEE] 2026-5-4 | A Seamless Transition of Microgrid Using Dedicated Resynchronization Distributed Generation Based on Droop Control
[IEEE] 2026-5-4 | A Non-Isolated Hybrid DC-DC Converter with Continuous Current and High Efficiency for EV Chargers
[IEEE] 2026-5-4 | Secure Data Exchange in Smart Metering: A DLMS/COSEM TCP/IP Wrapper Based Approach
[IEEE] 2026-5-4 | Order Diminution of Higher-Order Islanded Microgrids Using Hybrid Truncation-Routh and Factor Division Approach
[ACM] 2026-5-4 | DNCF: Fine-Grained Embedding-Driven Rating Prediction Model for User Behavior Analysis
[ACM] 2026-5-4 | Unsupervised Method of Transformer-based Multimodal Representation Learning for Acoustic Event Classification and Blind Acoustic Scene Classification
[ACM] 2026-5-4 | Occlusion-Aware Face Retrieval: Identity Restoration through Generative Inpainting
[ACM] 2026-5-4 | Research on Heterogeneous Data Schema Matching Method Based on Deep Learning and Knowledge Graph
[ACM] 2026-5-4 | Beyond the Bite: Developing a System for Assessing Burger Image Attractiveness
[IEEE] 2026-5-4 | Reverse Engineering of Industrial Protocols From Network Traffic
[IEEE] 2026-5-4 | The Simons Observatory: Characterization of All DC/RF Routing Wafers for Detector Modules
[IEEE] 2026-5-4 | A New Adaptive Model Order Reduction Technique for Fast Frequency Domain Electromagnetic Computation
[IEEE] 2026-5-4 | Breaking the Communication-Accuracy Trade-off: A Sparsified Information Diffusion Framework for Multi-Agent Collaborative Perception
[IEEE] 2026-5-4 | 5 Questions: Jon Wagner: What it takes to Design eVTOL Motors
[IEEE] 2026-5-4 | Entanglement: A Brief History of Human Connection
[IEEE] 2026-5-4 | Near Real-Time Spike-Driven Synaptic Plasticity for CTT-Based Neuromorphic Systems
[IEEE] 2026-5-4 | IEEE Transactions on Neural Networks and Learning Systems Publication Information
[IEEE] 2026-5-4 | Performance Evaluation of a High-Sensitivity Preclinical PET/CT Scanner
[IEEE] 2026-5-4 | Quarternion Maximum Versoria Criterion Algorithm for Channel Estimation Under Non-Gaussian Noise
[IEEE] 2026-5-4 | Keyword Index
[IEEE] 2026-5-4 | A Low-Cost IoT and Machine Learning Enabled Automated Irrigation System for Precision Agriculture in Resource-Constrained Environments
[IEEE] 2026-5-4 | Unveiling Misinformation Sharing on Social Media: A Framework and Research Agenda_supp1-3676157.pdf
[IEEE] 2026-5-4 | Binary Dispersed Array Codes for Distributed Storage Systems
[IEEE] 2026-5-4 | Distilling 10-m Land Cover Maps from Multi-Source Consensus via AlphaEarth Embeddings and Noise-Aware Weak Supervision
[IEEE] 2026-5-4 | Detecting Land Use Change in Protected Areas Using Deep Learning and Big Earth Observation Data
[IEEE] 2026-5-4 | Design and Analysis of a Triple-Gain Seven-Level Switched Capacitor Inverter for PV Application
[IEEE] 2026-5-4 | Design and Simulation of $15 \text{kV} / 5 ~\mathrm{A}$ DC Power Supply for Residual Ion Dump Using Modular Multilevel Converter
[IEEE] 2026-5-4 | Enhanced State of Charge Estimation for Electric Vehicle Batteries using Temperature-Integrated Coulomb Counting Method
[IEEE] 2026-5-4 | Machine Learning Enhanced Phase-Shift Optimization Control in Bidirectional Multi-Level DAB Converter for EV Charger Application
[IEEE] 2026-5-4 | Integrating Water-Solid TENGs into Green Energy Systems: Insights from Experiment and Machine Learning
[IEEE] 2026-5-4 | A Novel Data-Driven Machine Learning Framework for SOC Estimation in EV Batteries: A White-Box Approach Using Elastic Net Regression
[IEEE] 2026-5-4 | Digital Twin Enabled Adaptive Control and Thermal Management for EV Power Converters
[IEEE] 2026-5-4 | Comparative Analysis of Classical MOR Methods for MIMO Hydro Power System
[IEEE] 2026-5-4 | Traveling Wave Based Fault Type Classification for Networks Connected with Inverter Based Resources
[IEEE] 2026-5-4 | A Comprehensive Review on Pantograph-Catenary Arc Detection and Classification in High-Speed Railway Traction Systems
[IEEE] 2026-5-4 | Low-Cost Flat-Type Interior Permanent Magnet Machine with Hybrid Permanent Magnet Material
[IEEE] 2026-5-4 | A Variable Duty Cycle-Controlled Hybrid Metaheuristic MPPT Approach for Photovoltaic Power Optimization
[IEEE] 2026-5-4 | Modeling of Series-Connected Split-Phase Induction Motor Under Open-Circuit Fault
[IEEE] 2026-5-4 | Performance Analysis of Non-Isolated Bidirectional DC-DC Converters for Renewable Energy Application
[IEEE] 2026-5-4 | Performance Evaluation of Cuckoo Search-Based MPPT in Ladder-Configured PV Arrays Under Partial Shading Conditions
[IEEE] 2026-5-4 | Torque Ripple Reduction of Switched Reluctance Motor with Stator Pole and Rotor Pole Shaping
[IEEE] 2026-5-4 | Design of a Robust Nonlinear Attack Estimator for Grid-Tied Inverters using a Friction Observer for Grid-Tied Inverters
[IEEE] 2026-5-4 | Damping of Sub Synchronous Oscillation Serving to DFIG Based Type 3 Wind System
[IEEE] 2026-5-4 | Genetic Algorithm-Optimized Fuzzy Control of Battery Storage Systems for Virtual Inertia Emulation in Microgrids
[ACM] 2026-5-5 | Research on Visual Symbol Exploration and Cultural and Creative Design Innovation of Quanzhou Lanterns Empowered by AIGC
[ACM] 2026-5-4 | ERDOR:Energy-Efficient Routing Protocol for Wireless Sensor Networks Based on Regional Division and Dynamic Optimization
[ACM] 2026-5-4 | Load Balancing for Distributed Software-Defined Networking for Internet of Things Based on Dynamic Binary Consistent Hash Algorithm
[ACM] 2026-5-4 | MOCF: Modeling and Optimization Collaborative Time Series Forecasting Framework
[ACM] 2026-5-4 | Combining Vision-Language Models and Deep Fusion Networks for Multilingual Hate Meme
[IEEE] 2026-5-4 | DRS-UAD: A Defect–Response Evaluation Framework for Unsupervised Anomaly Detection Under Missing Data and Noise
[IEEE] 2026-5-4 | MONI: Toward Competition Softening and Congestion Mitigation for Federated Learning in MEC-Enabled IIoT
[IEEE] 2026-5-4 | CARVE: Content-Adaptive Rate-Variable Encoding for Neural Speech Codecs
[IEEE] 2026-5-4 | Contributors
[IEEE] 2026-5-4 | Resilience Analysis of Closed-Loop Multiagent Systems Under Replay Attacks in the Context of Consensus Tracking
[IEEE] 2026-5-4 | University Faculty Perceptions of Core Concepts in Introductory Programming Courses
[IEEE] 2026-5-4 | Unsupervised Aspect-Based Sentiment Analysis through LLM: A Case Study of an Unlabeled Portuguese Beer Database
[IEEE] 2026-5-4 | Stochastic-Sampling-Based Event-Triggered Control for Switching Reaction–Diffusion Neural Networks
[IEEE] 2026-5-4 | LSGLM: An efficient threat detection method based on large-scale graph parallelized learning
[IEEE] 2026-5-4 | R
                    <sup>2</sup>
                    GCN: Rich Relational Knowledge Graph Representation Learning
[IEEE] 2026-5-4 | A Non-Learned Multi-Band Relative Contrastive Loss for Speech Enhancement
[IEEE] 2026-5-4 | Modified Tuna Swarm Optimization Based Volt-VAr Optimization in Radial Distribution System Using Energy Storage Systems
[IEEE] 2026-5-4 | Evaluating PWM Strategies for Enhanced Performance in Three-Phase Modular Multilevel Converter
[IEEE] 2026-5-4 | Intelligent ANN Control Technique for Grid Integrated Solar PV System
[IEEE] 2026-5-4 | Analysis and Control of NIBB-Converter Assisted Improved Triple Active Bridge Converter for Two-Port Application
[IEEE] 2026-5-4 | Smart Energy Management System for Green Microgrids with Different Energy Storage Devices
[IEEE] 2026-5-4 | AI-Driven Predictive Maintenance for Boost-Luo Converter-Fed Motor Drives in Renewable Energy Systems
[IEEE] 2026-5-4 | A Comparative Analysis of HDLC and TCP/IP Communication Profiles for DLMS/COSEM-Based Smart Metering Systems
[IEEE] 2026-5-4 | Grid-Tied Solar Water Pumping System Using Sensorless PMSM and IAVSLMS Algorithm
[IEEE] 2026-5-4 | Stability Analysis of GFLI and GFMI Integrated with Weak-AC Grid and Under SSO Phenomenon
[IEEE] 2026-5-4 | A Modified Hysteresis Controller for SRM Drive Fed from AHB Converter
[IEEE] 2026-5-4 | Fuel Cell Integrated High Gain and Mitigated Device Stress Quadratic Boost Converter
[IEEE] 2026-5-4 | Optimal Energy Management of Grid-Connected Microgrid, Including Conventional and Non-Conventional Energy Sources, using Demand Response
[IEEE] 2026-5-4 | Impedance-Based Topology Identification for Radial Distribution Networks Using Smart Meter Data
[IEEE] 2026-5-4 | Dual Solar Based Isolated Battery Charger for Vehicle Integrated Photovoltaics Application
[IEEE] 2026-5-4 | Evaluating Hybrid Grid-Scale Energy Storage Solutions for India's 2025 Power Requirements
[IEEE] 2026-5-4 | Mathematical Modeling and Drying Kinetics in Thermal Energy Storage-Assisted Greenhouse Solar Dryer
[IEEE] 2026-5-4 | Cross Diagonal Pattern Reconfiguration for Multilevel Inverter Fed Two-Stage PV Water Pumping System
[IEEE] 2026-5-4 | Energy Efficient Control of Photovoltaic Integrated Low Voltage Distribution Network
[IEEE] 2026-5-4 | SoC Estimation of Li-Ion Batteries Using Golden Jackal Algorithm Tuned Support Vector Machine
[IEEE] 2026-5-4 | Critical Voltage Stability Index Based μPMU Placement in Active Distribution Network
[ACM] 2026-5-4 | Corneal Segmentation from Ocular Staining Images Using UNet++ with Ellipse Parametric Regression Loss
[ACM] 2026-5-4 | Deep Learning Control of Steam–Molten Salt Energy Networks
[IEEE] 2026-5-4 | Na-IRSTD: Enhancing Infrared Small Target Detection via Native-Resolution Feature Selection and Fusion
[IEEE] 2026-5-4 | Design of a Multi-Angle Multi-Depth Flow Phantom for Ultrasound Flow Calibration
[ACM] 2026-5-4 | Enhancing Cognitive Apprenticeship Through Generative AI: An Empirical Study of Student Perceptions and Learning Outcomes
[IEEE] 2026-5-4 | Confined Space Underwater Positioning Using Collaborative Robots: A Proposed System_supp1-3683271.mp4
[IEEE] 2026-5-4 | New Sphere-Packing Bounds for Finite-Blocklength Coding over Additive Noise Channels
[ACM] 2026-5-4 | Research on Ultra-Short Baseline Omnidirectional Hydroacoustic Ranging Multi-Element Array Layout
[ACM] 2026-5-4 | Research on the Fusion Framework of Digital Twin and the Internet of Things based on Bibliometric
[ACM] 2026-5-4 | Evaluation Method for the Effectiveness Contribution Rate of Information Processing System in Air Defense Early Warning Systems
[ACM] 2026-5-4 | Integrating Deep Learning Techniques for Optimizing Supply Chain Management in the Global Economy
[ACM] 2026-5-4 | Big Data Analytics–Based Early Warning System for Hypertension Progression
[ACM] 2026-5-4 | A Data-Driven Multi-Criteria Decision Support Framework for Food Packaging Visual Design Using AHP–QFD
[IEEE] 2026-5-4 | Dual-wavelength Generation in NPR Mode-locked Fiber Laser Relying on Active Insertion Loss Control
[IEEE] 2026-5-4 | Finite-Horizon Distributed Optimal Consensus Control of Discrete-Time Homogeneous Multi-Agent Systems
[IEEE] 2026-5-4 | Theoretical and experimental study of the freestanding-mode triboelectric nanogenerators for humidity sensors
[IEEE] 2026-5-4 | Resource-Efficient Adaptive Security for Rolling-Shutter VLC Sensors Using Lightweight Reinforcement Learning
[IEEE] 2026-5-4 | Scattered-Power Substructure Characteristic Mode Formulation via Hybrid Vector Spherical Wave–MoM Method: Comparative Analysis of Scattering-Matrix- and Impedance-Matrix-Based Formulations
[IEEE] 2026-5-4 | A Sector-Grounded Metasurface Windshield Antenna with Uniform Downtilted Beam for Wide-Azimuth V2X Coverage
[IEEE] 2026-5-4 | Gas Component Detection and Calibration Technology for GIS Based on Optical Frequency Comb
[IEEE] 2026-5-4 | QoS-Aware UAV Service Scheduling for Timely IoT Data Aggregation in Dynamic Environments
[IEEE] 2026-5-4 | Attitude-Position Integrated Control for Spacecraft Formation With Predefined-Time Convergence
[IEEE] 2026-5-4 | GKit-SSRDecoder: an open-source C/C++-based PPP-B2b and HAS decoding and formatted product generation software
[IEEE] 2026-5-4 | A Measurement-Oriented Spatio-Temporal Subspace Network for Monitoring Nonstationary Industrial Processes
[IEEE] 2026-5-4 | Life Extension of Lithium-ion Battery for Automotive Applications using Hybrid Energy Storage Systems
[IEEE] 2026-5-4 | Satellite-Ground Collaborative Learning: An Empirical Study on Remote Sensing Vision-Language Model
[IEEE] 2026-5-4 | Task Graph Maximum Likelihood Estimation for Procedural Activity Understanding in Egocentric Videos
[IEEE] 2026-5-4 | DSIGAN: A Dual Branch Style Injection Generative Adversarial Network for Pan-sharpening
[IEEE] 2026-5-4 | Few-shot Remote Sensing Image Scene Classification Based on Zigzag Scanning Feature Sequence and Riemannian Kernel Fisher Discriminant Analysis
[IEEE] 2026-5-4 | VecComp: Vector Computing via MIMO Digital Over-the-Air Computation
[IEEE] 2026-5-4 | Table of Contents
[IEEE] 2026-5-4 | Performance Comparison of High-Gain DC-DC Converters for PV Fed EV Off-Board Chargers
[IEEE] 2026-5-4 | A Comprehensive Study of Battery Health Indicators Extraction Using Partial Charging Curve
[IEEE] 2026-5-4 | Smart Thermal Regulation in EV Batteries Using Real-Time Digital Twin Feedback for Enhanced Performance
[IEEE] 2026-5-4 | A Control Strategy for Input Voltage Unbalance in Three-Phase PWM Rectifiers Based on Adaptive Periodic Current Fluctuation Suppression
