[2026-07-31 11:29:59] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-30
正在获取论文...
[arXiv] 2026-07-30 | Diversifying Personalized Research Ideation against AI-Induced Homogenization
[arXiv] 2026-07-30 | Recall Before You Rank: Similarity-Guided Top-$K$ Reuse for Efficient Long-Context Attention
[arXiv] 2026-07-30 | A Critical Quantitative Landis Estimate for the One-Dimensional Quarter-Laplacian
[arXiv] 2026-07-30 | ICLE++: Modeling Fine-Grained Traits for Holistic Essay Scoring
[arXiv] 2026-07-30 | Mediation Analysis with Multiple Mediators Subject to Missing Not at Random
[arXiv] 2026-07-30 | Witness Evidence Portfolios: Single-Prefill Risk Detection for Closed Multimodal Answers
[arXiv] 2026-07-30 | Understanding Submodular Information Measure Based Objectives for Representation Learning: A Variance and Separation Perspective
[arXiv] 2026-07-30 | A spectral-compensated scheme for space-parameter Poisson noise functionals: error bounds and complexity estimates
[arXiv] 2026-07-30 | Not as Sweet by Another Name: An Empirical Study of Format Robustness in LLM Document Workflows
[arXiv] 2026-07-30 | Metric Rigidity in Anchored Sobolev Spaces on Intervals
[arXiv] 2026-07-30 | Radar-Aided Near-Field Beam Prediction via Beam Map Learning for XL-MIMO V2I Communications
[arXiv] 2026-07-30 | MMOOC: A Comprehensive Benchmark for Out-of-Context Evaluation in Multimodal Large Language Models
[arXiv] 2026-07-30 | Depolarization Induced by Rapid Polarization Angle Swings: A Common Feature of Pulsars and Fast Radio Bursts?
[arXiv] 2026-07-30 | MedXplore: Towards Reliable and Unbiased Generalized Category Discovery in Medical Imaging
[arXiv] 2026-07-30 | An $S^2 \times S^2$ embedding
[arXiv] 2026-07-30 | Regularized Bulk Universality versus Bounded-Disorder Nonuniversality for Annealed Complexity of Spherical $p$-Spin Landscapes
[arXiv] 2026-07-30 | Small value probabilities of additive and derivative martingales in supercritical branching Brownian motions and super Brownian motions
[arXiv] 2026-07-30 | Analog Courant Numbers and their Role in Analog Computing
[arXiv] 2026-07-30 | LimICE: Integrating LLM into ICE Framework for Efficient Loop Invariant Inference
[arXiv] 2026-07-30 | Unbiased Data-Driven Determination of the Nuclear Dipole Amplitude in the Color Glass Condensate
[arXiv] 2026-07-30 | World Action Planner: Generalizable Decision-Making with Action-Conditioned World Models
[arXiv] 2026-07-30 | A Systems Engineering Framework for Vision-Language-Enabled UAV Triage and Disaster Response
[arXiv] 2026-07-30 | Prox: Training-Free FFN Activation Sparsity via Approximate Intermediate-Channel Salience in LLMs
[arXiv] 2026-07-30 | A criterion for the well-posedness of McKean-Vlasov stochastic differential equations
[arXiv] 2026-07-30 | Echoverse: Deep, Evolving Environments for Training Computer-Use Agents at Scale
[arXiv] 2026-07-30 | GVR-Coder: A Visual-Feedback Framework for Structured SVG Generation in Complex Document and Meeting Scenarios
[arXiv] 2026-07-30 | Poset-refined majorization relations
[arXiv] 2026-07-30 | $L^p$ Liouville theorems for pluriharmonic functions on gradient Kähler-Ricci solitons
[arXiv] 2026-07-30 | Angular Momentum Evolution from Core to Disk Scales in the Early Phase of Star Formation: Constraints from HH 212, HH 211, and B335
[arXiv] 2026-07-30 | SKILL-KD: Contrastive Skill Distillation for LLM Agents
[arXiv] 2026-07-30 | Global exponential turnpike properties for optimal control of the viscous Burgers equation
[arXiv] 2026-07-30 | When AI Does the Work, What Is Learning For? Post-Instrumental Learning and the Risk of Capacity Dissolution
[arXiv] 2026-07-30 | Enhancing Irregular Time Series Forecasting with Continuous-Time Modeling Framework
[arXiv] 2026-07-30 | MUL-T: Decoding Spatial Cellular Architecture in Multiplexed Tissue Images
[arXiv] 2026-07-30 | Scaling, Lock-In, and Proxy Compliance: A Political Economy of Responsible AI
[arXiv] 2026-07-30 | Constructing linear codes from digraphs and groups
[arXiv] 2026-07-30 | Folding representations of reflected diffusions
[arXiv] 2026-07-30 | Multi-Agent Reinforcement Learning for Base Station Placement in TDOA-Based Localization
[arXiv] 2026-07-30 | Observation of Moiré Time Crystal in Floquet-driven Rydberg Atomic Gases
[arXiv] 2026-07-30 | It's All Just Vectorization: einx, a Universal Notation for Tensor Operations
[arXiv] 2026-07-30 | Geometric View on Integrated Cascaded Channel of IRS-Aided Communications
[arXiv] 2026-07-30 | $Σ$-Mem: An Online Reliability Memory for LLM-based Multi-Agent Systems
[arXiv] 2026-07-30 | Exponential Advantage of Multipartite Entanglement over Quantum Communication with Applications to Bounded-Storage Cryptography
[arXiv] 2026-07-30 | The ordered F-system for the F-method and differential symmetry breaking operators for $(GL(3,\mathbb{R}), GL(2,\mathbb{R}))$
[arXiv] 2026-07-30 | Complementary Matrix-Gated QKAN Fast-Weight Programmers for Quantum Dynamics Forecasting
[arXiv] 2026-07-30 | Compact Representation of Mipmapped SVBRDFs via Shared Gaussians
[arXiv] 2026-07-30 | VizPilot: Automated Onboarding for SVG-based Composite Visualizations using Multimodal LLMs
[arXiv] 2026-07-30 | Benign on Label, Malicious by Design: Clean-Label Dormant-to-Activated Backdoor via Machine Unlearning with Removable Camouflage
[arXiv] 2026-07-30 | Freidlin-Wentzell collision-laws between self-stabilizing diffusions
[arXiv] 2026-07-30 | Meta-Task: Turning Terminal Task Synthesis into a Terminal Task for Scalable Agent Training
[arXiv] 2026-07-30 | One Anchor for All: Unified Multilingual and Multimodal Safety Alignment for LVLMs
[arXiv] 2026-07-30 | IFHierBench: Hierarchical Instruction Following for Large Language Models
[arXiv] 2026-07-30 | The semi-inducibility of the blue--blue--red path on four vertices
[arXiv] 2026-07-30 | Integrating Contextual Embeddings into Evaluation of Expressive MIDI Piano Performances
[arXiv] 2026-07-30 | A Quantum Mechanical Approach to the Computation of Rovibrational Spectra of Diatomic Molecules in Strong Magnetic Fields
[arXiv] 2026-07-30 | The Existence and Stability of Generalized Multi-Source Weber Problems
[arXiv] 2026-07-30 | Unifying Adversarially Robust Model Experts in Vision-Language Models
[arXiv] 2026-07-30 | MMHBench: A Multi-Perspective Benchmark for Mental Health Understanding in Long-Form Videos
[arXiv] 2026-07-30 | RoboBRIDGE: A Modular Framework for Bridging Policies to Robust Real-World Robotic Agents
[arXiv] 2026-07-30 | Beating the Bad-Cavity Limit via Auxiliary-Emitter Linewidth Squeezing
[arXiv] 2026-07-30 | Establishing an independent measurement traceability for 60-Co Air Kerma
[arXiv] 2026-07-30 | Thermal Breaking of the I-Love Universality for Hot White Dwarfs
[arXiv] 2026-07-30 | The nucleus of a semisymmetric quasigroup
[arXiv] 2026-07-30 | A Recursive Construction Improving the Lower Bound on the Shannon Capacity of $C_7$
[arXiv] 2026-07-30 | Orca: Neural Operators for Causal Reasoning in Continuous Time
[arXiv] 2026-07-30 | Creative Task Cards for Reflection, Self-Efficiency and Self-Regulation in CS1 Introductory Programming: Initial Insights
[arXiv] 2026-07-30 | Back to All-Entity Ranking: Sampler-Dependent Evaluation in Continuous-Time Dynamic Graphs
[arXiv] 2026-07-30 | EEG-EditBench: Probing Visual Information in EEG-Image Retrieval Models with Controlled Image Edits
[arXiv] 2026-07-30 | Optimal binding function for (cap,even hole)-free graphs with no short odd holes
[arXiv] 2026-07-30 | Quantum machine learning interatomic potential: Application of variational quantum algorithm
[arXiv] 2026-07-30 | Ensemble theory of thermodiffusion
[arXiv] 2026-07-30 | MUGEN: A Unified Framework for Efficient Motion Understanding and Generation
[arXiv] 2026-07-30 | Mesh Adaptation on Hybrid Unstructured Meshes for Immersed Boundary Methods
[arXiv] 2026-07-30 | Maximum Likelihood and Bayesian Estimation for State-Space Models Using the Non-Gaussian Filter
[arXiv] 2026-07-30 | Mixed metric dimension of $2$-connected graphs
[arXiv] 2026-07-30 | Inference-Time Agentic Decision Rules Beat Longer Evolving Search for Multi-Image Medical Reasoning
[arXiv] 2026-07-30 | Strategies for Milestone-driven Start-ups in Multi-activity Settings
[arXiv] 2026-07-30 | DeepResearch Agent System
[arXiv] 2026-07-30 | Drawing-Recode: Annotation Grounding for Parametric CAD Code Generation from Raster 2D CAD Drawings
[arXiv] 2026-07-30 | Evaluating Agentic Bioinformatics through Function, Evidence, and Validation
[arXiv] 2026-07-30 | Confinement and String Breaking in the Compact Abelian Higgs Model
[arXiv] 2026-07-30 | Cross-Embodiment Transfer via Behavior-Aligned Representations
[arXiv] 2026-07-30 | AI Literacy: An Exercise in Power-Knowledge
[arXiv] 2026-07-30 | Structural Validation of LLM-Generated Microservice Decompositions Using Source-Code Dependencies
[arXiv] 2026-07-30 | Non-partitioned e-detectors for nonparametric sequential change detection
[arXiv] 2026-07-30 | Systematic derivation of the Boltzmann equation for electroweak baryogenesis
[arXiv] 2026-07-30 | HARGO: Heterogeneity-Aware Reward-Guided Optimization for RL Post-Training of LLMs on HPC Tasks
[arXiv] 2026-07-30 | Charge-exchange reactions with pion and kaon beams in the NA64h experiment at CERN
[arXiv] 2026-07-30 | Effects of gold cluster intercalation in graphene: stationary waves and modified QPI features
[arXiv] 2026-07-30 | Tycho: Active Abstraction with Programmatic World Models for ARC-AGI-3
[arXiv] 2026-07-30 | Intertwined magnetoresistance and Hall multifunctionality in a non-coplanar magnetic Weyl semimetal DyB4
[arXiv] 2026-07-30 | The Capacity of a Family of Sticky Channels
[arXiv] 2026-07-30 | JWST's Constraints on the Substellar IMF in NGC 2024
[arXiv] 2026-07-30 | The geometric classification of left-symmetric algebras and superalgebras
[arXiv] 2026-07-30 | Uncertainty quantification for trustworthy deep learning: Methods and measures
[arXiv] 2026-07-30 | Quantum Arago-Fresnel interference of displaced spin states of photons
[arXiv] 2026-07-30 | Boundary-Induced Apparent Risk Aversion in Nonergodic Multiplicative Growth
[arXiv] 2026-07-30 | Qwen-UI-Agent Technical Report: Toward Next-Generation Real-World Centric Foundation GUI Agents
[arXiv] 2026-07-30 | Security of World-Model-Based Embodied AI: A Lifecycle of Threats, Defenses, and Evaluation
[arXiv] 2026-07-30 | Generalized Hilbert operators on Hardy spaces
[arXiv] 2026-07-30 | Reduced-Observation Approximation of Near-Field Gaussian Covariance Matrices
[arXiv] 2026-07-30 | Vibe-FDTR: An agent-oriented framework for reproducible frequency-domain thermoreflectance data analysis
[arXiv] 2026-07-30 | Finite-time blow-up for the mass-critical half-wave equation with negative energy
[arXiv] 2026-07-30 | Light-Front approach to $4d$ massless Higher-Spin interactions
[arXiv] 2026-07-30 | Searching in HI for Massive Low Surface Brightness Galaxies: II. Completing the UGC Sample
[arXiv] 2026-07-30 | Technology-Enhanced Tabletop Exercises for Cybersecurity Education: Lessons Learned
[arXiv] 2026-07-30 | An Interval-Score ROC Curve for Assessment, Calibration and Ensembling of Probabilistic Forecasts
[arXiv] 2026-07-30 | On The Most Discriminative Boolean Functions for Correlated Sources
[arXiv] 2026-07-30 | Stochastic Average Consensus Filtering and Distributed State Estimation for Boolean Control Networks
[arXiv] 2026-07-30 | ReGenVC: End-to-End Real-Time Generative Video Coding at Ultra-Low Bitrate
[arXiv] 2026-07-30 | Hyperbolicity of complements of orbits in Anosov flows
[arXiv] 2026-07-30 | Asymmetric Communication: Large Language Models and Language Games
[arXiv] 2026-07-30 | Interval Decompositions for Multipersistence Modules over Finite Posets and Robustness of Sheaf Data on Simplicial Complexes
[arXiv] 2026-07-30 | Projection-Regularized Indirect Data-Driven Predictive Control
[arXiv] 2026-07-30 | Approximate sampling from decoded quantum interferometry via Markov chain Monte Carlo methods
[arXiv] 2026-07-30 | BlueprintRepair: Typed Local Edits for Failed Lean Proof Blueprints
[arXiv] 2026-07-30 | Beyond Rephrasing: Book-Level Organization Improves Synthetic Textbook Data for Mid-Training
[arXiv] 2026-07-30 | Comment on the preprint: First Limits on Axion Dark Matter from a DALI Prototype arXiv:2603.21951
[arXiv] 2026-07-30 | Meteosat Third Generation imagery improves CNN-based SSI retrieval
[arXiv] 2026-07-30 | AISPA: User-Centric System Prompt Auditing for Large Language Model Applications
[arXiv] 2026-07-30 | Extraction of $σ_{TT}$ for Proton, Neutron, Deuteron and $^3$He from Quasi-real Photon Scattering
[arXiv] 2026-07-30 | $\mathbb Q\setminus\mathbb Z$ is diophantine over $\mathbb Q$ with $7$ unknowns
[arXiv] 2026-07-30 | Using Theory of Mind to Arbitrate between Social and Non-social Learning
[arXiv] 2026-07-30 | Set-theoretic universes and paradoxes in 2-topoi
[arXiv] 2026-07-30 | Train Often, Deploy Selectively: Forward-Gated Model Replacement in Crypto Markets
[arXiv] 2026-07-30 | Finite Pinwheel Covering
[arXiv] 2026-07-30 | Rethinking Inference-Time Scaling in Local Computer-Use Agents: Failure Modes and Compute Tradeoffs
[arXiv] 2026-07-30 | Quantum Fidelity-per-Cost: A Metric for Evaluation of Quantum Computing Systems
[arXiv] 2026-07-30 | Relativistic transport near moving interfaces
[arXiv] 2026-07-30 | Doubly Robust Functional Representation Learning for Longitudinal Causal Inference with Irregular Histories
[arXiv] 2026-07-30 | Sequent-style tableaux for first-order logic: structural analysis, cut admissibility, and the correspondence with LK
[arXiv] 2026-07-30 | Three Texture Zeros in the Hermitian Dirac sector within Type-I Seesaw Mechanism
[arXiv] 2026-07-30 | Joint measurement of cosmic-ray muons and seismic w av es at laboratory scale
[arXiv] 2026-07-30 | Graph Neural Network Force Fields for Spin Dynamics in Metallic Magnets
[arXiv] 2026-07-30 | The Diagnostic Temperature Discrepancy as a Kinetic Measurement: Shape, Transport, and Termination of the Suprathermal Electron Tail
[arXiv] 2026-07-30 | Dynamical flattening of halo density cusps by Q-ball dark matter
[arXiv] 2026-07-30 | Creative Transformation in Literary Texts: Modelling Change Across Representational Levels
[arXiv] 2026-07-30 | Beyond Hand-Derived Inequalities: Decision Diagrams for Cut Generation in Binary Polynomial Optimization
[arXiv] 2026-07-30 | Spacetime Layout and Logical Compilation of Color Code
[arXiv] 2026-07-30 | InfoOps Bench: A live information operations safety benchmark
[arXiv] 2026-07-30 | Beyond monomial $α$-attractors
[arXiv] 2026-07-30 | X-ray Absorption Variability in NGC 1142: Another Constraint on the Nature of the Torus/Broad-Line Region in Active Galactic Nuclei
[arXiv] 2026-07-30 | Beyond Sentiment: Structured Information Extraction from Financial News
[arXiv] 2026-07-30 | Stage-Replay Divergence Follows the KV Cache: Fixed-Prefix Precision Controls and Bidirectional Cache Transplantation
[arXiv] 2026-07-30 | Matching Trace Element Distribution to Mineralogical Phases in Ancient Biotechnology-Derived Metallic Salts: a Multimodal Analysis
[arXiv] 2026-07-30 | A subspace approach to data-driven predictive control for linear parameter-varying systems
[arXiv] 2026-07-30 | Observation of long-lived spin order in nanoconfined water
[arXiv] 2026-07-30 | From Exact Diagonalization to DMRG: A Complete Numerical Study of the Transverse-Field Ising Model
[arXiv] 2026-07-30 | Machines that know they are aging: a framework for hardware-aware autonomous intelligence
[arXiv] 2026-07-30 | Quantum Steering and Nonlocal Correlations Between Non-Interacting Delocalized Electrons Under Rashba Spin-Orbit Interaction
[arXiv] 2026-07-30 | Magnetic Reconnection Process in Partially Ionized Fluids: Insights from the Solar Chromosphere
[arXiv] 2026-07-30 | CoLAS: Multimodal Corroboration of Latent Asset Signals for Financial Trading
[arXiv] 2026-07-30 | Lipschitz-free spaces over products of sequences
[arXiv] 2026-07-30 | Binary neutron stars in the next-generation era: Multi-messenger detection prospects and constraints on the equation of state, mass distribution, and cosmology
[arXiv] 2026-07-30 | Vertex volumes, lattice-minima tails, and height zeta functions for the standard arithmetic quotient of $\operatorname{PGL}_d$
[arXiv] 2026-07-30 | Hydration-Controlled Layer Stacking in (NH$_3$)$_2$Cu$_5$(SeO$_3$)$_2$(OH)$_6$(H$_2$O)$_{2+x}$ ($x$ = 0, 1, and 3)
[arXiv] 2026-07-30 | Covariant variation and its applications
[arXiv] 2026-07-30 | QQWorld: Quantile-Quantile Matching for World Model Regularization
[arXiv] 2026-07-30 | Windowed thinning and query complexity for the bouncy particle and Zigzag samplers
[arXiv] 2026-07-30 | Real-time Pre-Correlation GNSS Interference Classification with Lightweight Learned Algorithms
[arXiv] 2026-07-30 | Ginzburg's conjecture on the unramified computation of Eulerian integrals
[arXiv] 2026-07-30 | Nearly optimal quantum circuits for Boolean oracles
[arXiv] 2026-07-30 | Missing Descendants in the Carrollian Conformal Family
[arXiv] 2026-07-30 | Segment-level thermal sensitivity analysis for exo-Earth coronagraphy with segmented space telescopes
[arXiv] 2026-07-30 | Counterdiabatic Driving under Variational Frame Dressing
[arXiv] 2026-07-30 | SemAnCorr: Semantic Anchored Correspondence for Zero-Shot Manipulation Skill Transfer
[arXiv] 2026-07-30 | Optimal Execution with Passive Market Impact
[arXiv] 2026-07-30 | The Study of Quasi-Periodic Pulsations in Solar and Stellar Flares with SKA
[arXiv] 2026-07-30 | Interacting Quantum Symmetric Exclusion Process
[arXiv] 2026-07-30 | SAFViT: Spatial Attention Fusion Gating for Vision Transformer-Based Nucleus Segmentation and Classification
[arXiv] 2026-07-30 | MemTxn: A Transaction Boundary for Source-Supported Updates and Complete-State Recovery in Agent Memory
[arXiv] 2026-07-30 | CLVisc Agent for autonomous relativistic hydrodynamics studies
[arXiv] 2026-07-30 | Deep Learning for Accelerated Long-Horizon Forecasting of Multicomponent Multiphase Microstructure Evolution in High-Entropy Alloys
[arXiv] 2026-07-30 | Significant ordinary Nernst effect contribution to spin-orbit torque harmonic Hall measurements in metallic structures
[arXiv] 2026-07-30 | Thermal or Non-thermal? Diffuse emission in the infall region of stacked galaxy groups
[arXiv] 2026-07-30 | Degenerate Limits of Scalar-Tensor Gravity
[arXiv] 2026-07-30 | Can AI Follow In Einstein's Footsteps?
[arXiv] 2026-07-30 | Annotating Topical Legal Insights from Case Proceedings
[arXiv] 2026-07-30 | From Understanding to Action: Feedback-Grounded Policy Discovery for Generative Recommendation
[arXiv] 2026-07-30 | Neural Network Approximation of Solutions to Fractional Parabolic Partial Differential Equations
[arXiv] 2026-07-30 | CXR-Retrieve: Compositional Text-to-Image Retrieval in Chest Radiography
[arXiv] 2026-07-30 | CHARGE: Leveraging CWE Hierarchies for Hardware Security SystemVerilog Assertion Generation
[arXiv] 2026-07-30 | VocalRender: Score-Native Singing Voice Synthesis for Real-World Composition
[arXiv] 2026-07-30 | Private Face Recognition Training Dataset Publication via Identity-Decoupled and Geometry-Preserving Face Distillation
[arXiv] 2026-07-30 | The International Lunar Reference System
[arXiv] 2026-07-30 | Hierarchical Latent Reasoning for LLM-based Recommendation
[arXiv] 2026-07-30 | Long-term high-resolution spectroscopic monitoring of the evolved metal-poor binary PS Gem
[arXiv] 2026-07-30 | Exact Incompatibility-Breaking Criterion for Unital Qubit Channels
[arXiv] 2026-07-30 | Chance-Constrained Nonlinear Covariance Control via Robust Linearization Remainder Bounds
[arXiv] 2026-07-30 | Three-Photon Bayesian Imaging of Ortho-Positronium
[arXiv] 2026-07-30 | Sharp Bounds for Totally Invariant Cycles of Projective Varieties
[arXiv] 2026-07-30 | A Sparse Glimpse of the Whole: Train-Free Self-Speculative Decoding
[arXiv] 2026-07-30 | Nonlinear Fourier spectral signatures of rogue waves observed in Bose-Einstein condensates
[arXiv] 2026-07-30 | Laplacian Bounds for the Dissociation Number of Regular Graphs of Matrix Rings
[arXiv] 2026-07-30 | Phase Retrieval in $\mathbb C^4$ Requires Exactly Eleven Measurements
[arXiv] 2026-07-30 | VESTIGE: A Knowledge-Guided Masking Strategy for Corruption-Aware Fine-Tuning of Genomic Transformers, Validated on Ancient DNA Reconstruction
[arXiv] 2026-07-30 | NMINE: Normalized Mutual Information Neural Estimation
[arXiv] 2026-07-30 | MECA: A Mechanism-Centered Agent for Constructing Well-Specified and Valuable Mathematical Conjectures
[arXiv] 2026-07-30 | Albilich: Steerable Proof-State Orchestration for LLM-Based Mathematical Research with CAS Integration
[arXiv] 2026-07-30 | Calibrate Before Reason: Robust Visual Token Reduction against Semantic Drift in VLMs
[arXiv] 2026-07-30 | RefineSVG: Visual Feedback-Driven Reinforcement Learning for Image-to-SVG Generation
[arXiv] 2026-07-30 | DP-LENS: A Density-Aware Polyfocal Lens with Topology-Driven Auto-Routing for Occlusion Management in Immersive 3D Analytics
[arXiv] 2026-07-30 | Unconventional and Fragile Magnetic Exciton in a van der Waals Quantum Magnet
[arXiv] 2026-07-30 | Nuclear dimension, pure infiniteness and real rank for higher rank graph $C^*$-algebras
[arXiv] 2026-07-30 | Quadruply Bonded Mo2 Molecules: An Innate Emitter-Resonator Quantum System in Free Space
[arXiv] 2026-07-30 | Restoring Collaborative Signals in Semantic-ID Generative Recommendation via Personalized Natural Language
[arXiv] 2026-07-30 | Tight Sample Complexity for Low-Rank Adaptation: Matching Bounds and Rank Selection
[arXiv] 2026-07-30 | Stop Shipping AI Agents on Faith: Capability Is Not Production Readiness
[arXiv] 2026-07-30 | Can Large Language Models Resolve Real Java Merge Conflicts? An Evaluation with a Calibrated LLM-as-Judge
[arXiv] 2026-07-30 | Volume Stability for Hyperbolic Manifolds and Applications to General Relativity
[arXiv] 2026-07-30 | Rational higher order Whitehead products of mapping spaces and defining systems
[arXiv] 2026-07-30 | Looped Transformers with Source-Centered State Evolution
[arXiv] 2026-07-30 | Magnetic dipole moments as probes of doubly-bottom molecular pentaquarks
[arXiv] 2026-07-30 | LoopMemGR: From Behavior Logs to Evolving Memory for Generative Recommendation
[arXiv] 2026-07-30 | Effect of biharmonic coupling in frequency-weighted Kuramoto oscillators
[arXiv] 2026-07-30 | Design and testing progress towards the first flight of the rocket experiment demonstration of a Soft X-ray Polarimeter (REDSoX)
[arXiv] 2026-07-30 | HealthCAT: An Interpretable Encoder-only Transformer Framework for Health Indicator Prediction and Temporal Interpretation of Wearable Sensor Data
[arXiv] 2026-07-30 | BlindPSNR: A No-Reference Fidelity Predictor for Low-Light Image Enhancement
[arXiv] 2026-07-30 | An Exploration Graph with Continuous Refinement for Efficient Multimedia Retrieval
[arXiv] 2026-07-30 | AWARE-FX: An Auditable Knowledge-Guided AI System for Measuring Corporate Foreign-Exchange Hedging Disclosure
[arXiv] 2026-07-30 | Single-crystal structural phase diagram of stoichiometric bilayer nickelate La3Ni2O7 under hydrostatic pressure
[arXiv] 2026-07-30 | Revisiting the Adversarial Robustness of Graph-Based Traffic Forecasting
[arXiv] 2026-07-30 | SU(3)-structures on quotients of 3-Sasakian manifolds
[arXiv] 2026-07-30 | Search for high-mass dilepton resonances in $pp$ collisions at $\sqrt{s}=13.6$ TeV combined with 13 TeV results using the ATLAS detector
[arXiv] 2026-07-30 | Coupled Spin-Density-Wave and Bond-Order Driven Metal-Insulator Transition in Altermagnetic CsCr$_2$S$_2$O
[arXiv] 2026-07-30 | Measuring Distortion in the Empty Regions of Dimensionality Reduction Scatterplots with the Gap Index
[arXiv] 2026-07-30 | Post-Newtonian Roche-Lobe-Overflow Prescription for Compact Binary Mass Transfer and the Corresponding Gravitational Waveforms
[arXiv] 2026-07-30 | From Textual Requirements to Microservice Architectures - A Comprehensive Evaluation of LLM-Based Design Synthesis
[arXiv] 2026-07-30 | Semi-Supervised Learning for Molecular Graphs via Ensemble Consensus
[arXiv] 2026-07-30 | Obstructions to Spin(7) Nahm transforms on tori
[arXiv] 2026-07-30 | Snapshot plots: displaying summary tables as parallel univariate plots with consistent color highlighting
[arXiv] 2026-07-30 | Bootstrap inference in autoregressive duration models
[arXiv] 2026-07-30 | Filling the Pareto-Optimal Front for Affordance Segmentation on Embedded Devices Using RGB-D Cameras
[arXiv] 2026-07-30 | A Novel Approach to Instrumental Variable Estimation: TEAM-IV
[arXiv] 2026-07-30 | Beyond Visual Ambiguity: Guiding Robust Monocular Depth Estimation in Challenging Scenarios via Detailed Long Captions
[arXiv] 2026-07-30 | On Sirakov's equal-frequency uniqueness conjecture
[arXiv] 2026-07-30 | Grid-Forming Converter DC-link Control Considering the Primary Energy Source
[arXiv] 2026-07-30 | Understanding Is Done Early: A Depth Division of Labor in Large Language Models and Its Use for Unbounded-Context Memory
[arXiv] 2026-07-30 | Causal Architecture Dynamics Prior to Arrival of Self-replicators in a Model of Catalytic Networks Relevant to Origin-of-Life
[arXiv] 2026-07-30 | Identifying a Level-up Pathway for AI-assisted Counterspeech through Elaboration
[arXiv] 2026-07-30 | Voice AI in Firms: A Natural Field Experiment on Automated Job Interviews
[arXiv] 2026-07-30 | Bridging Probabilistic LLMs and Deterministic Statistical Validation: The PROVE Multi-Agent Framework for Clinical Trial Reporting
[arXiv] 2026-07-30 | Causal Discovery with Inverted Self-attention for Multivariate Time Series
[arXiv] 2026-07-30 | Scaling Vision-Language Models Is Not Enough to Mitigate Bias
[arXiv] 2026-07-30 | Homogeneous and Isotropic Linearized Gravity as a Caldeira--Leggett System
[arXiv] 2026-07-30 | Toward Annotation-Efficient Continuous Emotion Arousal Quantification via Group-Level EEG Dynamic Neural Synchrony
[arXiv] 2026-07-30 | Fidelity Is Not Safety: Gently-Compressed LLMs Pass Every Data-Free Quality Guard Yet Invent Procedure Steps in Agentic Execution
[arXiv] 2026-07-30 | The MADRS Pipeline: Supporting Depression Assessment in Clinical Trials
[arXiv] 2026-07-30 | Persistent Gaussian Perturbations Prevent Oversmoothing in Recurrent Graph Neural Networks
[arXiv] 2026-07-30 | Bipolar HII regions Produced by Cloud-Cloud Collisions
[arXiv] 2026-07-30 | The optimality of an (s, S) hiring policy on a workforce planning problem with fixed recruitment costs and binomial turnover
[arXiv] 2026-07-30 | Roles of $a_0(980)^+ f_0(500,980)$ and $a_1(1260)^+η$ production mechanisms in decay $D_s^+ \to π^+ π^0 π^0 η$
[arXiv] 2026-07-30 | A Mathematical Framework for Reading the Autopsias' Meta - Compositional System
[arXiv] 2026-07-30 | OPLD: On-Policy Latent Distillation for Multimodal Reasoning
[arXiv] 2026-07-30 | Regularity of Diophantine quadruples over $\mathbb{Q}(i)[X]$
[arXiv] 2026-07-30 | Detecting Solar-Like Oscillations in the Highest Mass TESS Giants
[arXiv] 2026-07-30 | SmartGen: Seamless Disaggregated LLM Inference with Selective KV Cache Transfer
[arXiv] 2026-07-30 | Efficient atom rearrangements for quantum error correction primitives with a single AOD
[arXiv] 2026-07-30 | Data-Driven Dead-Zone Compensation via Projection in Predictive Control Setting
[arXiv] 2026-07-30 | AI Sycophancy and Decisions
[arXiv] 2026-07-30 | Convolutional Neural Shading for High-Quality 3D Reconstruction from Multi-View Images
[arXiv] 2026-07-30 | ConMem: Contribution-Aware Memory for Long-Horizon Manufacturing Inspection Logs
[arXiv] 2026-07-30 | Towards Practical Algorithm Selection for Unsupervised Domain Adaptation in Medical Imaging
[arXiv] 2026-07-30 | The First Measurement of Jet Collimation Profiles in an X-ray Binary: the Case of SS 433
[arXiv] 2026-07-30 | Powering Net-Zero 6G: Packetized Energy Management for Grid-Interactive Telecom Infrastructure
[arXiv] 2026-07-30 | Impact of Kaon Condensation on the Thermal Evolution of the CCO in HESS J1731--347 Supernova Remnant
[arXiv] 2026-07-30 | ESBT: A Scalable and Deterministic Sequence CRDT for Distributed Collaborative Editing
[arXiv] 2026-07-30 | PCAP-LM: An LLM-Native Text Representation for TLS Bulk Traffic Analysis
[arXiv] 2026-07-30 | Focal-Plane Diagnostics of Atmospheric and Dome-Induced Turbulence: Exploring techniques and applications
[arXiv] 2026-07-30 | CCFormer: Efficient Cross-Field Interaction and Hierarchical Sequence Compression for Industrial Recommendation at Tencent
[arXiv] 2026-07-30 | Stimulus-Evoked Network Dynamics in Human Cortical Organoids: From a Graph-Computational Framework to Repeated-Stimulation Depression
[arXiv] 2026-07-30 | Cataclysmic variables from SRG/eROSITA: new systems from eRASS1
[arXiv] 2026-07-30 | Tight UGC Thresholds for Geometric Stabbing Problems
[arXiv] 2026-07-30 | Fractional Doppler Effects on OTFS-NOMA HetNets with Mixed-Mobility Users
[arXiv] 2026-07-30 | Temporal Concentration from Rollout Errors: Implicit Preference Optimization for Text-to-Video Diffusion
[arXiv] 2026-07-30 | VIG-RL: Learning to Search and Insert for Verified Image Grounding
