[2026-08-25 21:16:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-24
正在获取论文...
[arXiv] 2026-08-24 | A Cap-Move Reformulation of Ling's Proof of Samuels' Conjecture
[arXiv] 2026-08-24 | White Paper on a Novel FFA-Based CEBAF Upgrade to 22 GeV
[arXiv] 2026-08-24 | Spectrum-Aware Bounds on Invertibility for Privacy-Enhancing Instance Encoding
[arXiv] 2026-08-24 | Formalizing and Automating Fine-Grained Move Refactorings Across Methods
[arXiv] 2026-08-24 | Walking on the DARKSIDE
[arXiv] 2026-08-24 | Giant Surface-driven Nonlinear Hall Effect in BiTeCl at Room Temperature
[arXiv] 2026-08-24 | Transform-Based Multilinear Algebra via Tensor Decomposition
[arXiv] 2026-08-24 | Multisensor Measurement of Train Driver Mental Fatigue: From Simulation to Reality
[arXiv] 2026-08-24 | Nonlocality is the missing design rule for topological photonics
[arXiv] 2026-08-24 | Scalar charge bounds for extremal black hole formation
[arXiv] 2026-08-24 | DPIAgent: Divide, Protocol, Isolate for Agentic Reproduction Test Generation
[arXiv] 2026-08-24 | CERTIoT-6G: Continuous Cybersecurity Certification for IoT Devices in 5G/6G Networks
[arXiv] 2026-08-24 | Artificial intelligence-based predictive fuel blending control for flare gas mitigation
[arXiv] 2026-08-24 | First-Principles Electron-Magnon Coupling with Machine-Learning Hamiltonians: From Band Renormalization to Transport
[arXiv] 2026-08-24 | Flesch-Kincaid Readability Depends Only on the Topic Distribution in Long Texts under Topic Models
[arXiv] 2026-08-24 | Exact Quasiprobability Hierarchy of the Double-Morse Oscillator: From Potential Geometry to Operator Ordering
[arXiv] 2026-08-24 | Design of a Biomimetic Joint-Covering Skin with Tissue-Like Structure to Enhance Proprioception in a Musculoskeletal Humanoid
[arXiv] 2026-08-24 | Grounding Free-Form Instructions for Fashion Complementary Image Generation
[arXiv] 2026-08-24 | Evaluating SAT Solver Metrics as Predictors of Human-Perceived Nonogram Difficulty
[arXiv] 2026-08-24 | Dual-Orthogonality Waveforms for Integrated Communication and Imaging in Dynamic Multipath Channels
[arXiv] 2026-08-24 | Dynamic Topic Modeling for Cross-Corpus Temporal Analysis
[arXiv] 2026-08-24 | A deterministic sin^2-type algorithm for complex cubic irrationalities with exact periodicity certificates
[arXiv] 2026-08-24 | On the maximum size of 2-weakly compatible split systems
[arXiv] 2026-08-24 | Hidden in the Request: Explaining Unethical LLM Compliance through Token Relevance
[arXiv] 2026-08-24 | Automated Construction of FAIR Digital Object Knowledge Graphs from Flat Cultural Heritage Records
[arXiv] 2026-08-24 | A note on the ultra log-concavity of matroid intersection
[arXiv] 2026-08-24 | How Replicable Are Statistically Significant Findings?
[arXiv] 2026-08-24 | Is Next-Chunk Reasoning RL Really Better than SFT? Revisiting Training Strategies under no-CoT Data
[arXiv] 2026-08-24 | Does the Actuality of Life Favor Many Actual Histories?
[arXiv] 2026-08-24 | E2S-Pruner: Progressive Two-Stage Evidence Fusion for Visual Token Pruning in Vision-Language Models
[arXiv] 2026-08-24 | Retrieval-Augmented Classification of Environmental Mitigations in Hydropower Licensing Documents
[arXiv] 2026-08-24 | Electrostatic control of Li+ density and transport rate in double-gated van der Waals devices
[arXiv] 2026-08-24 | What is mathematics now, and what should it be?
[arXiv] 2026-08-24 | Euclidean Rings
[arXiv] 2026-08-24 | Universality of superdiffusion in simple random graphs
[arXiv] 2026-08-24 | Cognitive Profiling of LRMs' Reasoning Traces Using Bloom's Taxonomy
[arXiv] 2026-08-24 | Guided Riemannian Optimization (GuRO): Bridging Model Predictive Control and Decision Transformers
[arXiv] 2026-08-24 | Universality of the conformal anomaly
[arXiv] 2026-08-24 | Statistics of Temperature Extremes and Implications for Electrical Power Infrastructure in Continental France
[arXiv] 2026-08-24 | Toward a Foundation Plug-and-Play Prior for Computed Tomography Reconstruction via a Multimodal Diffusion Model
[arXiv] 2026-08-24 | Towards Automated Cyber Threat Intelligence Elicitation in Underground Forums
[arXiv] 2026-08-24 | CyberFactory: Scaling Cyber Security Capabilities with Instances from the Wild
[arXiv] 2026-08-24 | NetConfArena: An Executable Benchmark for LLM Agents in Closed-Loop Network Configuration
[arXiv] 2026-08-24 | Zeroth-Order Nonsmooth Nonconvex Optimization with Convex Liftings and Its Application to State-Feedback $H_\infty$ Policy Optimization
[arXiv] 2026-08-24 | Leveraging UAV Autonomy for Minimum 4D Flight Authorization Volumes
[arXiv] 2026-08-24 | Spinning Quadrotor: Hover Thrust Augmentation with Passive Lifting Surfaces
[arXiv] 2026-08-24 | Conformal Risk Minimization for Semi-Supervised Domain Adaptation via Optimal Transport
[arXiv] 2026-08-24 | Counter with Evidence! A Multi-Agent Memory Efficient Reasoning Framework for Hate Category Informed Counterspeech Generation
[arXiv] 2026-08-24 | Spectral stability of empirical metric-measure Laplacians
[arXiv] 2026-08-24 | An AI-Assisted Migration Framework for Transforming Legacy Scientific Applications into Reusable Cloud-Based Workflows
[arXiv] 2026-08-24 | An end-to-end-trained vision-language model for native-language prostate pathology report generation
[arXiv] 2026-08-24 | Energy scaling laws for thin elastic sheets with topological defects
[arXiv] 2026-08-24 | Distributed Trajectory Planning and Resource Allocation for Dynamic Multi-UAV Collaborative Computing
[arXiv] 2026-08-24 | Z1 oscillations and charge state in electronic stopping power from first principles
[arXiv] 2026-08-24 | A Third-Quantized Description of Spacetime Wormholes in AdS/CFT
[arXiv] 2026-08-24 | Reconstructing the Auger UHECR Dipole: A Hybrid Analysis of 4LAC AGNs and Nearby Starburst Galaxies
[arXiv] 2026-08-24 | Training-Free Pseudo-Fusion for Composed Image Retrieval with Diffusion Models and Multimodal Large Language Models
[arXiv] 2026-08-24 | Loopy: Seamless Video Loop Generation via Anchored Looping Shift of Positional Embedding
[arXiv] 2026-08-24 | Effects of near-surface sedimentary structure on Newtonian noise for the Einstein Telescope: a 2-D numerical study
[arXiv] 2026-08-24 | Closed-Form Predicate-Level Shapley Attribution for Sliding-Window Aggregates
[arXiv] 2026-08-24 | POOL: Propagated Uncertainty Over Lookalikes
[arXiv] 2026-08-24 | Extreme Ultrafast Dynamics of the Refractive Index in Transparent Conductive Oxides: Theory and Experiment
[arXiv] 2026-08-24 | From Maxwell Fluid to Kelvin Voigt Solid: A Transient Network Model of Condensate Aging and Morphology Transition in Phase Separation
[arXiv] 2026-08-24 | Convexification of mixed-integer quadratic optimization via decision diagrams
[arXiv] 2026-08-24 | Numerical Evaluation of ZX Calculus Optimization for Solovay Kitaev Quantum Circuit Synthesis
[arXiv] 2026-08-24 | Generative Design of Liquid-Cooling Channels for Thermal Management of 2.5D and 3D Integrated Advanced Packaging
[arXiv] 2026-08-24 | Can We Perform Online RL for Image Editing without Editing Rewards?
[arXiv] 2026-08-24 | Timing, Polarization, and Single-Pulse Properties of Long-Period FAST Pulsars
[arXiv] 2026-08-24 | Spatio-temporal Path Optimization for Stabilizer-Code-Protected Quantum Networks
[arXiv] 2026-08-24 | MOSH-WM: Mask-Grounded Soft-Hamiltonian Dynamics for Object-Centric World Models
[arXiv] 2026-08-24 | The Cone Generated by Positive Semidefinite Mean Polynomials
[arXiv] 2026-08-24 | Logistic Regression Equivalent Weights for Survey Inference: Construction and Asymptotic Properties
[arXiv] 2026-08-24 | Frontiers in FinTech: Multimodal Foundation Models for Financial Reporting and Decision Science
[arXiv] 2026-08-24 | Classification of Brauer graph algebras under stable equivalence of Morita type
[arXiv] 2026-08-24 | Height functions on singular surfaces parameterized by smooth maps $\mathcal{A}$-equivalent to $H_k$
[arXiv] 2026-08-24 | The Wave Kinetic Theory for Quasilinear MMT Equation
[arXiv] 2026-08-24 | CacheRouter: A Dual-Path Tool Routing Architecture with Cache-Preserving Main-Model Isolation for Long-Tail Tool Discovery
[arXiv] 2026-08-24 | Double/Debiased Machine Learning for Functional-Form-Robust Spatial Autoregression
[arXiv] 2026-08-24 | Volterra Sweeping Processes with Multivalued Perturbations under Compactness Conditions
[arXiv] 2026-08-24 | Identifying Probability Localization Dynamics via Structured Stochastic Liftings
[arXiv] 2026-08-24 | Soft GRAND under Channel Switching and Drift
[arXiv] 2026-08-24 | On the feasibility of model-based feedback control of vertical instability growth rate using out-vessel coils in ARC-like scenarios
[arXiv] 2026-08-24 | Semistable $J$-equation on Kähler threefold
[arXiv] 2026-08-24 | Fock-state filtering of squeezed states: enhanced nonclassicality and effects of a thermal bath
[arXiv] 2026-08-24 | Cultural Moment Benchmark: Evaluating Video Cultural Reasoning and Grounding in Southeast Asia
[arXiv] 2026-08-24 | Existence of weak solutions to the generalized SQG equations in Sobolev spaces
[arXiv] 2026-08-24 | Modeling quasielastic lepton-nucleus interactions with ab initio spectral functions from infinite nuclear matter
[arXiv] 2026-08-24 | Macro-Action Topological Navigation under Noisy Localization using Reinforcement Learning
[arXiv] 2026-08-24 | Female Nomination and Party Vote Share in US Gubernatorial Elections
[arXiv] 2026-08-24 | Beyond Verdicts: A Graph-Based Analysis of Human and LLM Reasoning in Scientific Fact-Checking
[arXiv] 2026-08-24 | Dynamic Markdown Strategies for Perishable Products: Waste Reduction versus Profitability
[arXiv] 2026-08-24 | Unlearning Is Not Just Erasing: Temporal Decoupling via Generation Inequality
[arXiv] 2026-08-24 | On the binary representation of powers of $3$
[arXiv] 2026-08-24 | A Combinatorial Origin of Locality
[arXiv] 2026-08-24 | The dyadic denominator law for the phase constants of the Jacobi zeros
[arXiv] 2026-08-24 | Displacement-field-driven reconstruction of low energy transport in few-layer PtSe2
[arXiv] 2026-08-24 | Free-Energy-Gated Plasticity for Real-Time Online Motor Learning in Physical Human--Robot Interaction
[arXiv] 2026-08-24 | Real-Time Density--Source Mapping for Open Electron--Photon Systems
[arXiv] 2026-08-24 | From weighted Carlson-Levin inequalities to weighted Gagliardo-Nirenberg inequalities
[arXiv] 2026-08-24 | Hypergraph Embedding Indexing for Efficient Dense Vector Retrieval
[arXiv] 2026-08-24 | `It from Bit': is there a second law of quantum complexity?
[arXiv] 2026-08-24 | What Process Evaluation of Coding Agents Actually Measures: Action, Task, and Step Are Three Different Levels
[arXiv] 2026-08-24 | $\mathscr{PT}$-symmetric hydrodynamics of odd viscous liquids and their oscillator counterparts
[arXiv] 2026-08-24 | What Proves You Wrong: Benchmarking Language Models on Falsifiable Research Ideation
[arXiv] 2026-08-24 | Microscopic study of quasifission dynamics in hot fusion reactions for synthesizing superheavy nuclei with Z = 112-120
[arXiv] 2026-08-24 | Geometry-calibrated equilibrium sensing for inverse design of nonlocal topological photonic lattices
[arXiv] 2026-08-24 | Bounded Harmonic Functions on Products with a Parabolic Factor
[arXiv] 2026-08-24 | Execution-Anchored Hallucination Calibration Reranking for Verilog Code Generation
[arXiv] 2026-08-24 | AirMoE: Realizing Over-the-Air Distributed Mixture-of-Experts Inference at the Wireless Edge
[arXiv] 2026-08-24 | fdWasserstein: Optimal Transport Methods for Covariance Operators of Functional Data
[arXiv] 2026-08-24 | Data Shared Neighbourhood Selection for multi-condition network inference
[arXiv] 2026-08-24 | AraDetox: A Multi-Dialect Arabic Detoxification Dataset
[arXiv] 2026-08-24 | Randomization tests for model specification in causal inference under network interference
[arXiv] 2026-08-24 | Helson Forms and Integral Operators on Bergman Spaces of Dirichlet Series
[arXiv] 2026-08-24 | Geometric formulation for the relativistic kinetic theory of photons
[arXiv] 2026-08-24 | Large-Small Model Collaboration for Zero-Shot Surgical Phase Recognition
[arXiv] 2026-08-24 | Stochastic Separability of Embedding Manifolds
[arXiv] 2026-08-24 | UniMem: Unifying Multimodal Memory and Control for Vision-Language-Action Models
[arXiv] 2026-08-24 | Note on Boltzmann's H-Theorem and Detailed Balance Dynamics
[arXiv] 2026-08-24 | SAVER: Selective Auditing of Verbal Evidence for Error Recovery in VLM Change Reasoning
[arXiv] 2026-08-24 | Bouncing shellworld embedded in charged AdS spacetime
[arXiv] 2026-08-24 | RIBOSPAN: A Long-Context RNA Foundation Model for Versatile RNA Modeling
[arXiv] 2026-08-24 | Topological space-time waves in complex channels
[arXiv] 2026-08-24 | $Δ$ resonance contributions to QED radiative corrections in neutron and inverse beta decay
[arXiv] 2026-08-24 | Polymer-Linked Nanoparticle Networks Running on Heat Can Act as Computing Devices
[arXiv] 2026-08-24 | Hierarchy-Aware Supervised Uncertainty Estimation for Black-box LLM Taxonomic Reasoning
[arXiv] 2026-08-24 | Evaluating cross-encoders for semantic similarity assessment in psychological questionnaiers
[arXiv] 2026-08-24 | DIME: Query-Efficient Framework for Membership Inference on Diffusion Models
[arXiv] 2026-08-24 | Long-time dynamics toward a generic composite wave for the inflow problem of the Navier--Stokes--Fourier system
[arXiv] 2026-08-24 | CaRGo-T: Causal Reasoning Graph-of-Thought improves Multimodal Humor Comprehension
[arXiv] 2026-08-24 | Integration-by-parts identities in the presence of measurement delta functions
[arXiv] 2026-08-24 | Movable Gate MOSFETs as Readout Devices for Cantilever-Based Nano-Electromechanical Sensors
[arXiv] 2026-08-24 | Quantics tensor cross interpolation for high-order strong-coupling expansions
[arXiv] 2026-08-24 | Impact of Carbon Contamination on the Low-Temperature Electric Conduction of the Spark-Plasma Sintered Barium Titanate Ceramics
[arXiv] 2026-08-24 | Development of an adaptive optics testbed at MPIA for the ELT/Planetary Camera and Spectrograph (PCS)
[arXiv] 2026-08-24 | The Cartan determinant conjecture for representation-finite algebras
[arXiv] 2026-08-24 | A Dual-Expert Strategy Integrating LLMs to Mitigate Negative Transfer in Cross-Domain Sequential Recommendation
[arXiv] 2026-08-24 | The reflective hull of the two-element chain in DCPO: properness, maximal Γ-faithfulness, and an internal reflection formula
[arXiv] 2026-08-24 | Statistical Machine Translation Systems of English-Pnar Language Pair : Some Insights of the Emperical Study
[arXiv] 2026-08-24 | A Multi-Viewpoint Modeling Framework for Digital Twin Integration and Reuse with LLM-Assisted Compatibility Analysis
[arXiv] 2026-08-24 | Remarks on quantum scalar field theory for a uniformly accelerated reference frame and a Schwarzschild black hole
[arXiv] 2026-08-24 | Molecular LLM Agents: From Architectural Design to Scientific Autonomy
[arXiv] 2026-08-24 | Shaping the Evolutionary Dynamics of Robot Morphology via Adaptive Control Learning
[arXiv] 2026-08-24 | Dynamics of an internally actuated elastic particle in a plane Poiseuille flow
[arXiv] 2026-08-24 | Partial-Moment PINNs for Caldeira--Leggett Parameter Learning in Quantum Brownian Motion
[arXiv] 2026-08-24 | Reasoning-Oriented Post-Training and Inference-Time LoRA Rescaling for Audio-Dependent Question Answering
[arXiv] 2026-08-24 | Interplay of Magnetic Order, Structural Stability, and Orbital Ordering in BaFe2X3 (X = S and Se)
[arXiv] 2026-08-24 | AgentWeave: Routing Before Reasoning for Efficient Function Calling in Tool-Rich Language Models
[arXiv] 2026-08-24 | Grounding Isn't Knowing: Do VLMs Need Object Localization for Spatial Reasoning?
[arXiv] 2026-08-24 | From Generation to Simulation: How Far Are World Models from Being True Simulators?
[arXiv] 2026-08-24 | Observational Evidence for the Kinematic Memory of Cosmic Filaments from Satellite Orbital Orientations
[arXiv] 2026-08-24 | Areal-time disruption prediction and mitigation system for the EXL-50U spherical torus
[arXiv] 2026-08-24 | Diagonal Frog meets ADI: trading matrix exponentials for rational maps in the Fokker--Planck equation
[arXiv] 2026-08-24 | AffAdapt: AFFect-driven ADAPTive AI Personas for Seamless Conversations
[arXiv] 2026-08-24 | FashionKG-RAG: Knowledge Graph-Enhanced Retrieval-Augmented Generation for Fashion Question Answering
[arXiv] 2026-08-24 | The Colossus with Feet of Clay: Debunking Encrypted Traffic Classifiers under PQC Evolution
[arXiv] 2026-08-24 | RACO: Reliability-Aware Coarse-Goal Optimization for Inspection-Oriented UAV Vision-Language Navigation
[arXiv] 2026-08-24 | VikPath: A Vision Kansformer Framework for Effective Obstacle Avoidance in Self-Supervised Pathfinding
[arXiv] 2026-08-24 | Hyperbolic Hierarchical Clustering for Visual Representation Learning
[arXiv] 2026-08-24 | FIDES: A Concordance Protocol for LLM-Generated Trading Strategies
[arXiv] 2026-08-24 | Distribution of zeros of holomorphic functions and resonances in logarithmic regions for Schroedinger operators on Euclidean space
[arXiv] 2026-08-24 | Breakdown of Edgeworth Expansion in Finite-Blocklength Regime and Exact Absorption via $q$-Deformation
[arXiv] 2026-08-24 | Tracking molecular hydrogen formation from ionized water in real time
[arXiv] 2026-08-24 | Spotter: Efficient Urban Visual Localization via Geo-Referenced Facade Landmarks in GPS-Degraded Environments
[arXiv] 2026-08-24 | How Much Regularization Survives Averaging? Update Masking in Federated Learning
[arXiv] 2026-08-24 | Spatiotemporally Decoupled Autoregressive Diffusion Model for Human Motion Generation
[arXiv] 2026-08-24 | AI-Assisted Extraction of Follow-up Observations from GCN Circulars in Astro-COLIBRI
[arXiv] 2026-08-24 | An Approach to Study the Structural Consistency of Triangle Badness Functions and Distance Metrics
[arXiv] 2026-08-24 | EvoWiki: Incremental State Overwriting and Traceable Question Answering for Cross-Meeting Knowledge Evolution
[arXiv] 2026-08-24 | Progressively Learning Heterogeneous Skills in a Unified Latent Space
[arXiv] 2026-08-24 | Big Pieces of Regular Parabolic (bi-)Lipschitz Images is Equivalent to Parabolic Uniform Rectifiability
[arXiv] 2026-08-24 | Enhanced intrinsic spin-orbit driving of a Loss-DiVincenzo qubit near the spin-valley hotspot in Si/SiGe
[arXiv] 2026-08-24 | FDTBX - Computational Tools for Simulation of X-ray Fiber Diffraction Patterns from Atomic Coordinates
[arXiv] 2026-08-24 | The parabolic Dini-$β$ condition and absolute continuity of surface and caloric measure
[arXiv] 2026-08-24 | The Photon Gas in Classical Mechanics: A Statistical-Mechanical Treatment of Classical Field Theory
[arXiv] 2026-08-24 | Coset geometries acting on their elements: The $j$-diagonals twisting
[arXiv] 2026-08-24 | Conformal and Noncommutative Gravity from Gauge Symmetry Breaking and SO(2,16) Unification
[arXiv] 2026-08-24 | AI Surrogate Modeling for Real-Time Tokamak Equilibrium Prediction: Benchmarking Neural Architectures and Validation on EXL-50U
[arXiv] 2026-08-24 | Predicted High $n$-Type $zT$ and Ultralow Lattice Thermal Conductivity in A$_2$AgIrCl$_6$ (A = Cs, Rb)
[arXiv] 2026-08-24 | SGHA: A Single-Loop Fully First-Order Algorithm for Nonconvex-Strongly-Convex Bilevel Optimization
[arXiv] 2026-08-24 | The Achilles tendon enthesis rebuilds its mineralization front on reloading but retains a nanoscale imprint of unloading
[arXiv] 2026-08-24 | Learning Spherical Occupancy Profiles for Multi-View 3D Reconstruction and Generation
[arXiv] 2026-08-24 | Logarithmic Velocity Alignment on Riemannian Manifolds
[arXiv] 2026-08-24 | EchoWM: Open and Enterable Omnimodal World Models
[arXiv] 2026-08-24 | The Eaton--Moretó Conjecture Holds True for \(p\)-Solvable Groups
[arXiv] 2026-08-24 | CatchBench: When Can an Agent Failure Be Caught?
[arXiv] 2026-08-24 | Change Detection in Probability Flow ODE: Online Testing in Diffusion Latent Spaces
[arXiv] 2026-08-24 | Critical Strichartz estimates for orthonormal systems
[arXiv] 2026-08-24 | An Exactness Barrier for ZX-Calculus Optimization of Synthesized Clifford+T Circuits
[arXiv] 2026-08-24 | A tight bound for affine-linearity, via universal ballot matrices
[arXiv] 2026-08-24 | Extreme mixing enables broadband high-temperature electromagnetic absorption in high-entropy perovskites
[arXiv] 2026-08-24 | GuidedFlow: An Attention-Guided Framework for Anomaly Detection in Additive Manufacturing
[arXiv] 2026-08-24 | A Topological Magnonic Black-White Hole Crystal
[arXiv] 2026-08-24 | Thermochemical constraints on a primordial-origin of gas-rich debris disks
[arXiv] 2026-08-24 | Mechanistic Phase-Field Modelling of Woven-Domain Formation in Ferroelectric Material
[arXiv] 2026-08-24 | The Loop-Gain Matrix: Coupled Rebalancing Feedback and the Blind Spots of Scalar Stability Monitoring
[arXiv] 2026-08-24 | Learning to Control Coupled-Dynamics Environments with Joint Markov Decision Processes
[arXiv] 2026-08-24 | Weak coupling theory of nickel-based 327 superconductors
[arXiv] 2026-08-24 | Risk-Aware Reranking for Agentic Tool Retrieval
[arXiv] 2026-08-24 | A Process-Aware Hybrid Si/IGO Monolithic-3D 6T SRAM with BEOL Pass-Gates for the 2nm Node
[arXiv] 2026-08-24 | Periodic Spin Dynamics and Duty-Cycle Optimization in a PWM Bell--Bloom Magnetometer
[arXiv] 2026-08-24 | Run-and-tumble particles with preferred reorientation
[arXiv] 2026-08-24 | On the Threat Model of Weird Generalization and Emergent Misalignment
[arXiv] 2026-08-24 | Fidelity susceptibility of Su-Schrieffer-Heeger model with further neighbour hopping term
[arXiv] 2026-08-24 | Preparing for the Early eVolution Explorer: Photometric Diagnostics of Magnetospheric Accretion Geometry in Young Stellar Objects
[arXiv] 2026-08-24 | Provably adaptive sampling with uniform and remasking discrete diffusion models
[arXiv] 2026-08-24 | Inertial Manifold Neural Operator for Dissipative Time-Dependent Partial Differential Equations
[arXiv] 2026-08-24 | How AI Assistance Affects Human Skill Development: A Study of Learning with Logic Puzzles
[arXiv] 2026-08-24 | The number and average length of subpaths in graphs
[arXiv] 2026-08-24 | Bound States in Exactly Solvable Polaritonic Models
[arXiv] 2026-08-24 | Disentangling propagation effects from Fast Radio Burst spectra: An analysis on simulated data
[arXiv] 2026-08-24 | Energy and CO2 Footprint of Climate Model Intercomparison Projects
[arXiv] 2026-08-24 | Action-Aligned Retrieval with Pairwise Multimodal Reranking for Text-Based Person Anomaly Search
[arXiv] 2026-08-24 | Sharp Complete Modified Log-Sobolev Inequalities on Classical and Quantum Tori
[arXiv] 2026-08-24 | Periodic approximation of Lyapunov exponents for cocycles admitting invariant holonomies
[arXiv] 2026-08-24 | StrategyBench: Evaluating Explicit Strategy Induction in Large Language Models
[arXiv] 2026-08-24 | Evaluating the effects of policy interventions subject to early adoption: A case study of prescription drug monitoring programs and opioid dispensing
[arXiv] 2026-08-24 | Machine Learning Assisted Inverse Design of Pixelated mmWave Patch Antennas
[arXiv] 2026-08-24 | Eigenvalue asymptotics and uniform eigenfunction bounds for the fractional Laplacian in the interval
[arXiv] 2026-08-24 | Cramer-Rao Inequality Generalizes the Equilibrium Energy Fluctuation-Response Relation to Nonequilibrium Steady States
[arXiv] 2026-08-24 | Interaction-mediated Co-existence of Altermagnetism and Topology
[arXiv] 2026-08-24 | AT-ADD: A Benchmark and Challenge for Robust and All-Type Audio Deepfake Detection
[arXiv] 2026-08-24 | Towards Comprehensive Basketball Understanding
[arXiv] 2026-08-24 | Quantum-enhanced sensing in a driven-dissipative system via chiral waveguide
[arXiv] 2026-08-24 | On the graded center of $D(G)^c$
[arXiv] 2026-08-24 | Inertial synchronization of networked oscillators in arbitrary dimensions
[arXiv] 2026-08-24 | Explicit construction of orbit equivalence for rank-one actions
[arXiv] 2026-08-24 | Robustness of IR Models to Collection Growth
[arXiv] 2026-08-24 | SkillAlchemy: Open-World Agent Skill Creation
[arXiv] 2026-08-24 | Adaptive Item-based Collaborative Structures via Noise Rescheduling in Diffusion for Generative Recommendation
[arXiv] 2026-08-24 | Quantifying the dimensionality of multiparticle entanglement via partition rank
[arXiv] 2026-08-24 | On a slight weakening of Kripke-Platek Set Theory
[arXiv] 2026-08-24 | Towards a Densing Law for User Representation Learning at Billion-Scale Capacity
[arXiv] 2026-08-24 | Quantum-Geometric Length Scale for Long-distance Squeezing in Bosonic Bogoliubov Systems
[arXiv] 2026-08-24 | A Fully Reconfigurable RF Vector Modulator based Wideband Phase Shifter for NextG Beamforming Phased Array in Satellite Communications (SATCOM)
[arXiv] 2026-08-24 | Modalities Should Talk to Each Other: Dual-Stream Multimodal Learning for Long-Horizon Influenza Forecasting
[arXiv] 2026-08-24 | Breakout/Interchange Reconnection as a driver of Jets, Fast CME, and Solar Energetic Particles
[arXiv] 2026-08-24 | Dynamic Nevanlinna-Pick Theory, Covariance Dilations, and Non-commutative Varieties
[arXiv] 2026-08-24 | Becoming Good Stewards of Information: A framework for integrating ethical, civic, and professional formation throughout the statistics and data science curriculum
[arXiv] 2026-08-24 | Beyond the Mirror: Balancing Interaction Modality and Avatar Fidelity in Public 3D Virtual Try-On Systems
[arXiv] 2026-08-24 | IntentQA: Intent Question Answering in Videos by Cognitive Context Reasoning
[arXiv] 2026-08-24 | Perturbative Anomaly Inflow on Orbifolds
[arXiv] 2026-08-24 | Mycelial Search: A Graph-Structured Metaheuristic for Continuous Optimisation
[arXiv] 2026-08-24 | Kerr Black Hole Uniqueness
[arXiv] 2026-08-24 | The ALMA EGO-10 Survey of Massive Protoclusters: Correlation of 1.3 mm Continuum Source Clustering with Evolutionary State
[arXiv] 2026-08-24 | Stably exotic fillings of 3-manifolds
[arXiv] 2026-08-24 | Probing the transport properties of Cantor-Wu alloys by means of femtosecond and nanosecond laser ablation
[arXiv] 2026-08-24 | Quaternionic Hermitian Band Geometry in Four Dimensions: Realization on $S^4$ and Obstruction on $T^4$
[arXiv] 2026-08-24 | Sensitivity Limits for $φ$-OTDR
[arXiv] 2026-08-24 | Dark-Mode Control of Contrasting Entanglement and Bell Nonlocality between Mechanical Oscillators
[arXiv] 2026-08-24 | Correlation inequalities for transversal field models with application to quantum glasses
[arXiv] 2026-08-24 | Multiscale Quasiparticle Electronic Structure and Excitonic Properties of CdSe Nanoclusters
[arXiv] 2026-08-24 | Disentangling isospin violation in charmonia decaying into $Ξ\overline Ξ$ pairs
[arXiv] 2026-08-24 | A quantitative replica-symmetric bound of Sherrington--Kirkpatrick model in the entire de Almeida--Thouless region
[arXiv] 2026-08-24 | A pedagogical introduction to invariant theory and finite-$N$ holography
[arXiv] 2026-08-24 | X-ray driven displacive excitation of coherent phonons
[arXiv] 2026-08-24 | Free-Energy Differences from Nonequilibrium Fluctuations in High Dissipation
[arXiv] 2026-08-24 | Spin volumes of minimal strata and Chiodo integrals
[ACM] 2026-8-24 | Real-World Clutter Improves Egocentric Distance Judgments in Optical See-Through Augmented Reality
[ACM] 2026-8-24 | Spatial Audio Feedback for Discrete Rotation Technique in Virtual Reality
[IEEE] 2026-8-24 | Table of Contents
[IEEE] 2026-8-24 | Research on Reliability Assessment method of RB IGCT in Hybrid Commutated Converter
[IEEE] 2026-8-24 | A Meta-Learning Based Adaptive Hybrid Evolutionary Algorithm for Dynamic Resource Configuration in Regional Industrial Cluster
[IEEE] 2026-8-24 | Intelligent Hybrid Image Enhancement for Smart Consumer Devices Using Classical and AI-Based Super-Resolution
[IEEE] 2026-8-24 | Fractal-Driven Chaotification Model for Lightweight Pseudo-Random Number Generator
[IEEE] 2026-8-24 | Automated Discovery of Finite State Automata for the Control of Discrete Event Systems
[IEEE] 2026-8-24 | PrivNN: Efficient Privacy-preserving Neural Network Inference Using Flexible Ciphertext Packing
[IEEE] 2026-8-24 | DecompGrind: A Decomposition Framework for Robotic Grinding via Cutting-Surface Planning and Contact-Force Adaptation
[IEEE] 2026-8-24 | SIFMAP: Parallel CNN Inference using Sub-Input-Feature Maps in PIM
[IEEE] 2026-8-24 | Semantic-Aware Telemetry and Resource Co-Design for ISAC-Enabled UAV Swarms
[IEEE] 2026-8-24 | Two-Sided Conditional Values-at-Risks for Risk-Aware Control of Non-Gaussian Stochastic Systems
[IEEE] 2026-8-24 | SatelliteSFL: A Parallel Split Federated Learning Approach for Satellite-Terrestrial Networks
[IEEE] 2026-8-24 | Adaptive Uncertainty Calibration and Exemplar Management for Bridging Open Set Recognition and Incremental Learning
[IEEE] 2026-8-24 | Upcycling Noise for Federated Unlearning
[IEEE] 2026-8-24 | IRNet-BFGS: A Compensation Method for Vector Magnetometer Systems of Autonomous Vehicles with Dynamic Interference Suppression
[IEEE] 2026-8-24 | A Fully Programmable Dual Channel CMOS Neurostimulator With Ultra Low Charge Mismatch
[IEEE] 2026-8-24 | 2026 IEEE International Conference on Joint Cloud Computing (JCC)
[IEEE] 2026-8-24 | Transformer Winding Fault Diagnosis Based on AFM Gray Conversion and NIN-CNN Network
