[2026-07-09 12:12:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-08
正在获取论文...
[arXiv] 2026-07-08 | Innovating Risk Modelling for Global Funds
[arXiv] 2026-07-08 | Stress calculation in linear scaling DFT: convergence and dynamics
[arXiv] 2026-07-08 | Where to Intervene? Benchmarking Fairness-Aware Learning on Differentially Private Synthetic Tabular Data
[arXiv] 2026-07-08 | Interaction of vortex rings generated by two unsynchronised drop impacts
[arXiv] 2026-07-08 | From 2D to 3D: Recovering Turbulent Density Dispersions from Noisy Data
[arXiv] 2026-07-08 | Restricted Dynamic Geometric Complexity: Certificates for Structured Preconditioning
[arXiv] 2026-07-08 | DiffCVE: Diffusion-based Compressed Video Enhancement
[arXiv] 2026-07-08 | Clinical Translation of Brain-Computer Interface in China: A Landscape Analysis of Investigator-Initiated Trials, Registered Clinical Trials, and Regulatory Approval
[arXiv] 2026-07-08 | Granularity in Actoin: Graphing sources for social history
[arXiv] 2026-07-08 | Stage-Aware Adaptation and Distribution Calibration for Subject-Driven Personalized Text-to-Image Generation
[arXiv] 2026-07-08 | Formation of holographic vortex in a rotating shell-shaped superfluid
[arXiv] 2026-07-08 | Emergent superconductivity upon disordering a topological insulator
[arXiv] 2026-07-08 | The Technological Turn in Mathematics
[arXiv] 2026-07-08 | Stable Matchings with Minimum Utility Gap
[arXiv] 2026-07-08 | Probability and statistics in Greece
[arXiv] 2026-07-08 | Hints for string breaking in QCD
[arXiv] 2026-07-08 | Descendability and descent in topological weaves
[arXiv] 2026-07-08 | Sparse Attention for Dense Open-Vocabulary Prediction in CLIP
[arXiv] 2026-07-08 | Distributed Sparse Interventions in Language Models
[arXiv] 2026-07-08 | Density effects in precision laser spectroscopy of exotic helium atoms
[arXiv] 2026-07-08 | Prospect for Detection of Strongly Lensed Multi-messenger Signals of Binary Neutron Star Mergers
[arXiv] 2026-07-08 | ColorFM: An Optimization-to-Learning Framework for Color Transfer via Flow Matching
[arXiv] 2026-07-08 | On the Gross-Pitaevskii model with a moving impurity: Cauchy problem and superfluidity criterion
[arXiv] 2026-07-08 | Certifying Ghosts: How Cybersecurity AI Agents Break the EU Cyber Resilience Act
[arXiv] 2026-07-08 | Seeing and Reflecting: Multimodal Memory-Enhanced Agent Collaboration for Recommendation
[arXiv] 2026-07-08 | CompoVista: A Composition-Graph-Based Visual Analytics System for Compositional Analysis of Traditional Chinese Paintings
[arXiv] 2026-07-08 | ThermoDSE: A Thermal-Aware and Comprehensive Design Space Exploration for Chiplet-Based DNN Accelerators
[arXiv] 2026-07-08 | Relative homotopy moment maps
[arXiv] 2026-07-08 | Phonon scattering mechanisms in WTe$_2$ observed by ultrafast coherent phonon spectroscopy
[arXiv] 2026-07-08 | Inverse Low-Dimensional Manifold Reconstruction Framework for Spatiotemporal Reconstruction of Compressible Physical Fields
[arXiv] 2026-07-08 | PriGo: Test-Time Primitive Guidance to Diffusion and Flow Policies for Adaptive Robotic Manipulation
[arXiv] 2026-07-08 | Cyber Dynamics I: Finite Macrostates for Behavioral Anomaly Detection in Network Telemetry
[arXiv] 2026-07-08 | Testing General Relativity with GWTC-4.0 through mixture models
[arXiv] 2026-07-08 | Sharp spectral Moon--Moser-type theorems in the linear range via feasible graph parameters
[arXiv] 2026-07-08 | Deanonymizing Monero Transactions in Tor Network
[arXiv] 2026-07-08 | Progressive Crystallization: Turning Agent Exploration into Deterministic, Lower-Cost Workflows in Production
[arXiv] 2026-07-08 | EvoOMG: An Evolution-Oriented Multi-Agent Guidance Framework for Heterogeneous Legacy-and-MLO Wi-Fi Networks
[arXiv] 2026-07-08 | Probe-Conditioned Memory for Actuator-Deadband-Aware Koopman MPC in Industrial Sealing
[arXiv] 2026-07-08 | A low-energy effective Hamiltonian for Landau quasiparticles: II Application to the contact Fermi gas
[arXiv] 2026-07-08 | On the Principles of Deep Feedforward ReLU Networks
[arXiv] 2026-07-08 | Intrinsic Green's Learning: Supervised Learning on Manifolds via Inverse PDE
[arXiv] 2026-07-08 | Gauge-Invariant Learnable Spectral Positional Encodings for Directed Graphs via Hermitian Block Krylov Subspaces
[arXiv] 2026-07-08 | Gimitest: A Comprehensive Tool for Testing Reinforcement Learning Policies
[arXiv] 2026-07-08 | Learning social norms enhances compatibility in dynamic human-AI coordination
[arXiv] 2026-07-08 | Primordial black hole in Lorentz-violating theories: Insights from Bumblebee gravity
[arXiv] 2026-07-08 | Dissociating the Internal Representations of Sycophancy in LLMs
[arXiv] 2026-07-08 | Size focusing in core-shell precipitates: A phase-field study
[arXiv] 2026-07-08 | Ego-Human Motion Prediction with 3D-Aware LLM
[arXiv] 2026-07-08 | Robust Federated Learning Under Real-World Client Churn
[arXiv] 2026-07-08 | HPR-SAM: Hierarchical Probabilistic Representation Learning for Prompt-free SAM-based Medical Image Segmentation
[arXiv] 2026-07-08 | Robust Indicators of Spatial Association
[arXiv] 2026-07-08 | Continual Learning With Participation Privacy: An Auditable Buffering-Aggregation Recipe
[arXiv] 2026-07-08 | Wall tension of a Bose-Einstein condensate: Effects of quantum fluctuations and finite-range interactions
[arXiv] 2026-07-08 | Detection of Quasiperiodic Oscillations in the Blazar PKS 0735+178 with TESS
[arXiv] 2026-07-08 | Inclusive Charmless Non-Leptonic B Decays at NLO within and beyond the Standard Model
[arXiv] 2026-07-08 | Enhanced sampling and cryo-EM data resolve magnesium binding to RNA
[arXiv] 2026-07-08 | A search for narrowband technosignatures from LTT 3780 with the Allen Telescope Array and the Karl G. Jansky Very Large Array
[arXiv] 2026-07-08 | Weakly supervised machine learning for model-agnostic searches of new phenomena in the $γ$-ray sky
[arXiv] 2026-07-08 | On Turán Number of Graphs with Small Minimum Feedback Vertex Numbers
[arXiv] 2026-07-08 | Decoupling Conversational Dynamics in Full-Duplex Spoken Models through Reinforcement Learning
[arXiv] 2026-07-08 | Prior-matched evaluation of operational Earth-observation classifiers: a three-number reporting method demonstrated on Sentinel-1 internal-wave detection
[arXiv] 2026-07-08 | Small Language Model-based Control for BBR over Low Earth Orbit Satellite Internet
[arXiv] 2026-07-08 | Hadronic and partonic composition of QCD matter across the crossover
[arXiv] 2026-07-08 | Disturbance-aware Motion Planning for Over-actuated Underwater Vehicles Exploiting Actuation Redundancy for High-fidelity 3D Reconstruction
[arXiv] 2026-07-08 | Dynamical structure factor with a pumping approach on a trapped-ion quantum computer
[arXiv] 2026-07-08 | Weight-Space Physics: Interpretable Hypernetworks for Lattice Quantum Field Theories
[arXiv] 2026-07-08 | Bringing robustness to end-user programming
[arXiv] 2026-07-08 | A coarse block-cut tree theorem
[arXiv] 2026-07-08 | Operational Reframing and Approval-Framed Delegation in Multi-Agent LLM Safety
[arXiv] 2026-07-08 | Phase-Selected Efficient Single-Photon Frequency Conversion via Local Fano Resonance in a Two-Giant-Atom Waveguide-QED System
[arXiv] 2026-07-08 | Ethaline deep eutectic solvent under nanoconfinement: Unveiling structural and dynamical changes
[arXiv] 2026-07-08 | Structural Adversarial Attacks on Relational Deep Learning under Integrity Constraints
[arXiv] 2026-07-08 | A modified Moss rule highlights underexplored classes of high refractive index materials
[arXiv] 2026-07-08 | Weak Limited Augmented Zarankiewicz Number
[arXiv] 2026-07-08 | Multiplication Beyond Groups: Stratified Fourier Mechanisms in Transformer Circuits
[arXiv] 2026-07-08 | A solvmanifold with a left-invariant complex structure whose universal cover is not Stein
[arXiv] 2026-07-08 | The twin paradox in the vicinity of rotating black holes
[arXiv] 2026-07-08 | Identifying the MPC-Liquidity Gradient in High-Quality Data
[arXiv] 2026-07-08 | Making Implicit Preservation Intent Explicit in Conversational Image Editing
[arXiv] 2026-07-08 | Behavior Leverage Imbalance in Multi-Teacher On-Policy Distillation
[arXiv] 2026-07-08 | An Automated Framework for Generating Stealthy Cell-Embedded Hardware Trojans
[arXiv] 2026-07-08 | Riemannian Geometry for Pre-trained Language Model Embeddings
[arXiv] 2026-07-08 | AnchorPrune: Relevance-Anchored Contextual Expansion for Visual Token Pruning
[arXiv] 2026-07-08 | Latent graph encoding of multimodal neuroimaging features with generative AI architectures
[arXiv] 2026-07-08 | Numerical solutions of an accurate diffuse interface model of the incompressible resistive MHD free surface flow
[arXiv] 2026-07-08 | Learning Turbulence Closures with Physics-Informed Neural Networks for the Rayleigh-Taylor Transition to Turbulence
[arXiv] 2026-07-08 | SHTA: Semantic Hard Token Correction and Center Alignment for Semi-Supervised Medical Image Segmentation
[arXiv] 2026-07-08 | EscFOA: Enhancing Spatial Learning for Visually Impaired Learners via Generative Spatial Audio in 360-Degree Educational Environments
[arXiv] 2026-07-08 | Route survival and spectral modification of finite-depth salt-finger plume forests under imposed mean shear
[arXiv] 2026-07-08 | Physics-guided spatiotemporal neural models for fuel density prediction
[arXiv] 2026-07-08 | Thermodynamic Limits on Reliable Signaling by Biochemical Traveling Waves
[arXiv] 2026-07-08 | Surface-Reconstruction-Driven Insulating Behavior in Metallic Charge-Density-Wave 1T-TaSe$_{2}$
[arXiv] 2026-07-08 | Kinetic Processes to Radio Burst: First Observational-driven Study in Coronal Loops
[arXiv] 2026-07-08 | UP: Unbounded Positive Asymmetric Optimization for Breaking the Exploration-Stability Dilemma
[arXiv] 2026-07-08 | On difference-differential Lax pairs and integrals of Painlevé equations in finite characteristic
[arXiv] 2026-07-08 | XRISM Reveals a Kinematically Coherent Core System of the Nearby Cool-Core Cluster Abell 2199
[arXiv] 2026-07-08 | Solvable Lie algebras obtained by quivers and Einstein metrics
[arXiv] 2026-07-08 | Quantum Sampling Architecture for Protein Structure Reconstruction on Utility-Scale Hardware
[arXiv] 2026-07-08 | Subspace Consensus of Matrix-Weighted Networks
[arXiv] 2026-07-08 | Magnetic field generation by the Rayleigh-Taylor instability in laser-driven planar plastic targets
[arXiv] 2026-07-08 | End-to-End LLM Flight Planning with RAG-based Memory and Multi-modal Coach Agent
[arXiv] 2026-07-08 | Faber Krahn inequality of Robin eigenvalue of the Weighted Laplacian
[arXiv] 2026-07-08 | Invariant Measures for Soliton Systems Generated by Mealy Automata
[arXiv] 2026-07-08 | Visualizing modified spin-wave wavefronts near magnetic defects and domains using nitrogen-vacancy centers
[arXiv] 2026-07-08 | Comprehensive Evaluation of Large Language Model Responses: A Multi-Factor Scoring System
[arXiv] 2026-07-08 | Transfer Learning for Linear Discriminant Analysis with a Shared Classification Signal
[arXiv] 2026-07-08 | Anyon-induced non-Hermitian topological phases
[arXiv] 2026-07-08 | Harish-Chandra images of orthosymplectic Sugawara operators and Casimir elements
[arXiv] 2026-07-08 | LoCA: Spatially-Aware Low-Rank Convolutional Adaptation of Vision Foundation Models
[arXiv] 2026-07-08 | Causal Inference for Case Studies in Behavioral Health
[arXiv] 2026-07-08 | Optimal rates of uniform convergence for weighted Birkhoff averages via almost all rotations
[arXiv] 2026-07-08 | New Cross-Sensory Approach to Designing Restorative Virtual Environments
[arXiv] 2026-07-08 | A simple algorithmic framework for disambiguation of finite automata
[arXiv] 2026-07-08 | Correlation Localization in Waveguide QED with Delayed Interactions
[arXiv] 2026-07-08 | Finding a stationary point of a stochastic convex problem
[arXiv] 2026-07-08 | Best-Arm Identification with Generative Proxy
[arXiv] 2026-07-08 | Mining Workflow Graphs for Black-Box Boundary Testing of Conversational LLM Agents
[arXiv] 2026-07-08 | Social-spatial dependencies for learning visual navigation
[arXiv] 2026-07-08 | Analytic Spread via Linear Matroids
[arXiv] 2026-07-08 | GeoGS-SLAM: Geometry-Only Gaussian Splatting for Dense Monocular SLAM
[arXiv] 2026-07-08 | Turing mechanisms in a multimode open quantum system
[arXiv] 2026-07-08 | A Unified Fully Reconfigurable Architecture for Wireless Powered Communication Networks
[arXiv] 2026-07-08 | A machine learning approach to estimating HI deficiency in galaxies
[arXiv] 2026-07-08 | RLVP: Penalize the Path, Reward the Outcome
[arXiv] 2026-07-08 | An improved fully one-sided diffuse-interface immersed boundary method with target-value reconstruction for compressible flows
[arXiv] 2026-07-08 | Higher Semiadditive Character Theory
[arXiv] 2026-07-08 | On rank two Kleinian groups with three parabolics
[arXiv] 2026-07-08 | InductWave: Inductive Multi-Hop Logical Query Answering on Knowledge Graphs
[arXiv] 2026-07-08 | Neural-Spectral Discovery of Rotating Black Holes Beyond General Relativity
[arXiv] 2026-07-08 | VCDP: Variation-Conditioned Distributional Proxy Learning for Semi-Supervised Medical Image Segmentation
[arXiv] 2026-07-08 | Positional Determinacy with Colored Vertices: a 1-to-2-Player Lift
[arXiv] 2026-07-08 | Transformer-based segmentation of prosodic boundaries in Brazilian Portuguese
[arXiv] 2026-07-08 | Dark Neutrons as Dark Matter: Collisions in Halos and Direct Detection from Dark CP Violation
[arXiv] 2026-07-08 | Evaluating Static and Process Evidence for Code Authorship in Programming Education
[arXiv] 2026-07-08 | Agentic Data Environments
[arXiv] 2026-07-08 | Gap-Majority Lemmas in Communication Complexity
[arXiv] 2026-07-08 | Sparse Delta Memory: Scaling the State of Linear RNNs through Sparsity
[arXiv] 2026-07-08 | JAX-FVM: A differentiable, entropy-stable finite volume solver on unstructured meshes for compressible flows
[arXiv] 2026-07-08 | The existence of some directed strongly regular graphs on 108 vertices
[arXiv] 2026-07-08 | Physics-Audited Agentic Discovery in Scientific Machine Learning
[arXiv] 2026-07-08 | PLED-VINS: A Point-Line Event-Based Visual Inertial SLAM for Dynamic Environments
[arXiv] 2026-07-08 | Vectorizing Quantum Control: A RISC-V Vector Extension Architecture for Scalable Qubit Systems
[arXiv] 2026-07-08 | Multi-Agent AI Control: Distributed Attacks Hamper Per-Instance Monitors
[arXiv] 2026-07-08 | BUS: Brain-Inspired Unsupervised Self-Reflection for Advanced Multimodal Reasoning
[arXiv] 2026-07-08 | HumAIN: Human-Aware Implicit Social Robot Navigation
[arXiv] 2026-07-08 | Observation of Self-Similarity in the Magnetic Fields Generated by the Ablative Nonlinear Rayleigh-Taylor Instability
[arXiv] 2026-07-08 | Magnetotransport Properties of Iron-Based Ladder Compounds BaFe2S3 and BaFe2Se3 under High Pressure
[arXiv] 2026-07-08 | Neutrino cuboid for normal mass ordering and tribimaximal flavor mixing
[arXiv] 2026-07-08 | Norm Bounds for Sparse Random Tensors and Spectral Gap of Random Hypergraphs
[arXiv] 2026-07-08 | Euclid Quick Data Release (Q1). Searching for radio-selected \Euclid-dark galaxies in the EDF-N
[arXiv] 2026-07-08 | Multimodal Voice Activity Projection for Turn-Taking in Social Robots with Voice-Activity-Related Pretrained Encoders
[arXiv] 2026-07-08 | InfraQR: Edge-Placed QR-Inspired Structured Patch Attacks on Infrared Vision-Language Models
[arXiv] 2026-07-08 | TouchWorld: A Predictive and Reactive Tactile Foundation Model for Dexterous Manipulation
[arXiv] 2026-07-08 | Evaluation and Assignment with Networked Competition and Spillovers
[arXiv] 2026-07-08 | Nowcasting PM2.5 in Beijing Using Synchronous Covariates and Lagged Features: Model Comparison and Variable Selection Stability
[arXiv] 2026-07-08 | Machine learning pipeline for identifying tracks of muons and hadrons at GRAPES-3 muon telescope
[arXiv] 2026-07-08 | Mathematical models for CAR T immunotherapy and CD19 dynamics in leukemia: a comparative analysis
[arXiv] 2026-07-08 | Airy functions from quantum M-theory
[arXiv] 2026-07-08 | Safe Reinforcement Learning using Ideas from Model Predictive Control
[arXiv] 2026-07-08 | Unraveling Machine Behavior by Multi-Level Bias Analysis and Detection: Methodology and Application to Computer Vision
[arXiv] 2026-07-08 | The Subversive Role of Excessive External Shear in Concealing Lensing Anomalies
[arXiv] 2026-07-08 | Co-LMLM: Continuous-Query Limited Memory Language Models
[arXiv] 2026-07-08 | Exploiting Spanning Trees for Directed Acyclicity
[arXiv] 2026-07-08 | Non-Hermitian Edge State Endocytosis
[arXiv] 2026-07-08 | Multi-channel collective dissipation via the symmetric irreducible representation of SU(4)
[arXiv] 2026-07-08 | Tracing the Evolution of the Balmer Break from Cosmic Dawn to Cosmic Noon with JWST
[arXiv] 2026-07-08 | Breaking Database Lock-in: Agentic Regeneration of High Performance Storage Readers for Database Bypass
[arXiv] 2026-07-08 | Minimum Norm Interpolation via The Local Theory of Banach Spaces: The Role of Gaussianity
[arXiv] 2026-07-08 | Agent Delivery Engineering Predictive Reliability Framework
[arXiv] 2026-07-08 | Scaling WaterLily.jl with MPI and an improved geometric multigrid solver
[arXiv] 2026-07-08 | Max Out GRPO Signal: Adaptive Trace Prefix Control for Hard Reasoning Problems
[arXiv] 2026-07-08 | A category of locally convex Lie algebroids
[arXiv] 2026-07-08 | PeTeR: Post-Training Robustification of Probabilistic Circuits
[arXiv] 2026-07-08 | Subsolar-mass binary mergers of strange stars and neutron stars: gravitational waves and ejecta
[arXiv] 2026-07-08 | Robustness to Model Uncertainties Drives More Rapid CO2 Emissions Reductions
[arXiv] 2026-07-08 | Athinization of irreducible $\widehat{\mathfrak{gl}}_n$-modules with dominant highest weights
[arXiv] 2026-07-08 | Time-state superposition in non-equilibrium fluidized granular matter
[arXiv] 2026-07-08 | Thermal-response Functions and the Peierls-Boltzmann Equation for Second Sound and Phonon Hydrodynamics in Graphene
[arXiv] 2026-07-08 | Optimal rates of decay at infinity for solutions to Schrödinger equations
[arXiv] 2026-07-08 | An optimal control approach for neural network architecture adaptation with a posteriori error estimation
[arXiv] 2026-07-08 | Future Confidence Distillation in Large Language Models
[arXiv] 2026-07-08 | Embedded Blockchain Infrastructure Management (eBIM): A RISC-V-Empowered Hardware--Software Co-Design Framework Towards Trustworthy Blockchain
[arXiv] 2026-07-08 | Unconditional well-posedness of the stochastic Korteweg-de Vries equation on the real line
[arXiv] 2026-07-08 | On possible values of the group complexity function of infinite words
[arXiv] 2026-07-08 | Loop Equations Characterize Random Matrix Statistics
[arXiv] 2026-07-08 | Dual Latent Memory in Vision-Language-Action Models for Robotic Manipulation
[arXiv] 2026-07-08 | Approximability of Electrical Distribution Network Reconfiguration for General Graphs
[arXiv] 2026-07-08 | Universal Central Limit Theorem for non-exchangeable interacting diffusions
[arXiv] 2026-07-08 | Quantum Software Engineering in Practice: FPGA and AI Integration for Quantum Certification
[arXiv] 2026-07-08 | Induced packing treewidth
[arXiv] 2026-07-08 | What Makes a Good Bug Report for an AI Agent?
[arXiv] 2026-07-08 | Unveiling the Spin-Valley Structure of Dipolar Exciton Ladders in R-stacked WSe$_2$/WS$_2$ Moiré Heterobilayers
[arXiv] 2026-07-08 | Fidelity Analysis of Adiabatically Driven Donor Spins as Two-Qubit and Ququart Systems
[arXiv] 2026-07-08 | Cardiac MRI Through-Plane Super-Resolution Guided by Reference and Memory
[arXiv] 2026-07-08 | Unconditional Lower Bounds for Degree Fault Tolerant Spanners
[arXiv] 2026-07-08 | Transient and Variable Ultra-luminous X-ray Sources in NGC 4552
[arXiv] 2026-07-08 | On Computing Minimum Wheeler DFA From Their Language
[arXiv] 2026-07-08 | DNA handles bias force-dependent looping times
[arXiv] 2026-07-08 | Strain-tunable charge localization coupled to complex magnetic orders in EuAl$_4$
[arXiv] 2026-07-08 | Generating Personalized Lower-Limb Kinematics Across Walking Speeds Using Subject-Conditioned Diffusion
[arXiv] 2026-07-08 | Context-Aware Slum Mapping in Sub-Saharan Africa Using Sentinel-1 Texture and Local Climate Zones
[arXiv] 2026-07-08 | Creativity from Friction: Human-AI Interaction for Exploratory Structural Design
[arXiv] 2026-07-08 | Stability and Convergence of Optimistic Exponential Weights with Asymmetric Step Sizes in Bimatrix Games
[arXiv] 2026-07-08 | Accelerating Industrial Finite Element Simulations of Electric Machines based on Runtime Analysis
[arXiv] 2026-07-08 | Fast Rates for Semi-Supervised Learning via Data-Augmentation Graph Regularization
[arXiv] 2026-07-08 | Stability of Flow Models for Graph Signals
[arXiv] 2026-07-08 | Adjusting for Outcome Reporting Bias in Meta-analysis: A Multiple Imputation Approach
[arXiv] 2026-07-08 | Structure-Guided Gauss-Network Method: Linear Advection-Reaction Equation
[arXiv] 2026-07-08 | Crossover and Changeover in Spin-1 Kitaev-$Γ$ Chain with Uniaxial Single-ion Anisotropy
[arXiv] 2026-07-08 | Nonlinear Dynamics of Hopfion for Frequency Multiplication
[arXiv] 2026-07-08 | GIFT: Geometry-Informed Low-precision Gradient Communication for LLM Pretraining
[arXiv] 2026-07-08 | Möb Homogeneous Analytic Hilbert Modules over the Bidisc
[arXiv] 2026-07-08 | Chemical diversity of dense cores in Orion B: The role of the environment
[arXiv] 2026-07-08 | Discovering Geometric Biases in 3D Face Reconstruction: A Curvature-Aware Spectral Framework for Fairness Evaluation
[ACM] 2026-7-8 | A cross-vendor implementation of PopSift using SYCL
[ACM] 2026-7-8 | Brief Announcement: Energy-Time Trajectories: A Tool to Understand Complex Parallel Efficiency
[IEEE] 2026-7-8 | Geometry-Based Bistatic Range Association for Multi-Target Localization in Distributed HFSWR
[IEEE] 2026-7-8 | Design and Evaluation of UWB Sensors for Mobile Positioning
[IEEE] 2026-7-8 | Virtual Distinguished Lecturers Series
[IEEE] 2026-7-8 | FS-DICP: A Fast and Simple Point-to-Point Iterative Closest Point algorithm with Doppler Velocity
[IEEE] 2026-7-8 | HAP Organization
[IEEE] 2026-7-8 | A DSP-Optimized Ultra-Power-Efficient Feature Extractor Alternative to LSM Reservoirs for Neuromorphic ECG Classification_supp1-3711063.pdf
[IEEE] 2026-7-8 | DFENet: Dual-Modal Feature Enhancement Network for Camouflaged Object Detection
[IEEE] 2026-7-8 | Calendar
[IEEE] 2026-7-8 | Cross-modal Joint Quantization for Emotion Recognition with Arbitrarily Missing Modalities
[IEEE] 2026-7-8 | Conversational Stance Detection for Rumour and Misinformation Analysis: Datasets, Conversational Modelling, Evaluation Protocols, and Emerging LLM Challenges
[IEEE] 2026-7-8 | Preface
[IEEE] 2026-7-8 | A Rectifier-Side Resistance Measurement-Based Method for Self-Initiated Fault Recovery in LCC-HVDC Systems
[IEEE] 2026-7-8 | Efficient Constant Envelope Precoding for Massive MU-MIMO with 1-bit DAC
[IEEE] 2026-7-8 | Application of an Improved Cloud Drift Optimization Algorithm Based on Multi-Strategy Fusion in Multi-Threshold Segmentation of Remote Sensing Images
[IEEE] 2026-7-8 | From Indoor Point Clouds to BIM: A Review of Scan-To-BIM Automated Reconstruction Methods
[IEEE] 2026-7-8 | Utilisation of Artificial Intelligence Tools in Teaching Entrepreneurial Skills: Experiences from a Pilot Course
[IEEE] 2026-7-8 | Research on Inversion Techniques for Detection Blind Zones in Airborne Fire-Control Radar Under High-PRF Mode
[IEEE] 2026-7-8 | What Makes Software Bugs Escape Testing? Evidence from a Large-Scale Empirical Study
[IEEE] 2026-7-8 | Color Matters: Trigger Color Affects Success in Federated Backdoor Attacks
[IEEE] 2026-7-8 | Meshless h-adaptive Solution for non-Newtonian Natural Convection in a Differentially Heated Cavity
[IEEE] 2026-7-8 | Market-Based Replanning for Safety-Critical UAV Swarms in Search and Rescue Missions
[IEEE] 2026-7-8 | Experimental Evaluation of Signal Design for Vital Signs Detection with an OFDM-Based ISAC System
[IEEE] 2026-7-8 | An Empirical Analysis of Deep Learning Models for Early Skin Cancer Detection
[IEEE] 2026-7-8 | Integrating Satellite Remote Sensing and Ground-Based Measurements for Indian Monsoon Dynamics: A Statistical Framework and Deep Learning Comparison
[IEEE] 2026-7-8 | Unsupervised Clustering of Sentinel-1 SAR Data for Enhanced Land Cover Analysis
[IEEE] 2026-7-8 | Conditional GAN-Based Semantic Change Detection in Satellite Imagery
[IEEE] 2026-7-8 | Enhancing Visual Accessibility of Projected Educational Content in Teaching Environments Using Software-Based Visual Interaction
[IEEE] 2026-7-8 | Graph Neural Network Mapping of Social Entrepreneurship Ecosystems for Scalable Impact
[IEEE] 2026-7-8 | A Robust Medical Image Watermarking Framework Using Multi-Region Feature Embedding and Translation Alignment
[IEEE] 2026-7-8 | UFMC and OFDM Based Communication Method for Electric Vehicle: V2V Communication
[IEEE] 2026-7-8 | Synergistic Utilization of Optical and Synthetic Apperture Data Towards Generation of Continuous Vegetation Profile
[IEEE] 2026-7-8 | Cross-Modal Weak Supervision Training of UAV Detection Model for Degraded Environments
[IEEE] 2026-7-8 | Typhoon Trajectories: Unveiling Patterns in Pressure and Path
[IEEE] 2026-7-8 | Reflections on the Shifting Experiences of Scientific Infrastructure
[IEEE] 2026-7-8 | Design and Implementation of an Adaptive Simulation System with Dynamic Difficulty Adjustment for Strategy Training
[IEEE] 2026-7-8 | Zero-Shot UAV Landing Zone Detection Using YOLOv12 and Vision-Language Transformers
[IEEE] 2026-7-8 | Fuzzy Logic-Based Cell Voltage Equalization for Lead-Acid Battery Management Systems
[IEEE] 2026-7-8 | A Naive Economics Perspective on Nonfungible Tokens
[IEEE] 2026-7-8 | Artificial Intelligence in Public Relations: A Bibliometric Analysis of Research Trends and Thematic Structures
[IEEE] 2026-7-8 | SDHSI-Net: Learning Better Representations for Hyperspectral Images Via Self-Distillation
[IEEE] 2026-7-8 | Frequency-locked Loop With Kalman-based OSG Immune To The DC-Offset
[IEEE] 2026-7-8 | An In-Depth Comparative Analysis of Deep Learning Object Detection Models for Autonomous Vehicles: Performance Evaluation, Accuracy, and Real-Time Constraints
[IEEE] 2026-7-8 | Intelligent Literature Mining Using AI for Real-Time Drug Repurposing in Data-Driven Healthcare Applications
[IEEE] 2026-7-8 | Apparent vs Genuine Stability in PU Feature Selection
[IEEE] 2026-7-8 | OptiMAC: Adaptive Security Optimization for Message Authentication Code in Adversarial Environment
[IEEE] 2026-7-8 | Building Innovation Ecosystems: The Contribution of Polytechnic University of Castelo Branco to Regional Development
[IEEE] 2026-7-8 | Radar Waveform Design Based on Multi-Pulse Joint Frequency and Phase Optimization
[IEEE] 2026-7-8 | Adaptive Multi-Objective Energy Management in Renewable-Integrated Microgrids Using Deep Q-Network Learning
[IEEE] 2026-7-8 | Sudden Disruptions of Large Language Model-Based Systems: Lessons Learned
[IEEE] 2026-7-8 | Evolving Programming Education with AL Opportunities and Challenges of LLM-Integrated Assessment Systems
[IEEE] 2026-7-8 | A Distributed Resource Sharing Mechanism for Enhanced Edge Computing in VANETs
[IEEE] 2026-7-8 | Hybrid Human-AI Framework for Personalized Feedback and Student Learning Enhancement via Exercise Assessment in Programming Education
[IEEE] 2026-7-8 | APT Detection via Cloud-Edge Synergy and Hybrid Distance Clustering
[ACM] 2026-7-9 | “I like using GenAI as a tool, but with the feeling that I’m better than it”: Exploring How Students Negotiate Computing Identity in the Age of GenAI
[ACM] 2026-7-8 | Efficient Parallel (Δ + 1)-Edge-Coloring
[IEEE] 2026-7-8 | Real-Time Multi-Drone Replanning for Disruption Management in Urban Aerial Logistics Networks
[IEEE] 2026-7-8 | ARIADNE: Reconstruction of Stateful Web Attacks via Goal-Oriented State Search
[IEEE] 2026-7-8 | DTBF: Combining Local Statistical Artifacts and Concept Alignment for Synthetic Image Detection_supp1-3710437.pdf
[IEEE] 2026-7-8 | CVaR-Constrained Lyapunov Scheduling for Downlink Finite-Blocklength URLLC
[IEEE] 2026-7-8 | Front Cover
[IEEE] 2026-7-8 | Distributed Adaptive Gradient Tracking for Stochastic Non-Convex Optimization over Directed Networks
[IEEE] 2026-7-8 | Field-Balanced Windings for High-Frequency Transformers
[IEEE] 2026-7-8 | Probabilistic Condition-Aware Dual-Branch Model for Multipath-Resilient Wireless Localization
[IEEE] 2026-7-8 | Investigation of Demagnetization Characteristics of Dual Three-Phase Fractional-Slot SPM Wind Generators Under Three-Phase Short-Circuit Faults
[IEEE] 2026-7-8 | Quasi-300 kW P-band Photoconductive Microwave Power Device with Enhanced Lifetime via Mesh-electrode
[IEEE] 2026-7-8 | Probabilistic Monocular and Multi-View Network with Reliability-Aware Cost Volume Fusion for Depth Estimation
[IEEE] 2026-7-8 | A Gradient-Guided Spatio-Temporal Graph Convolutional Network for Population-Level Major Depressive Disorder Classification
[IEEE] 2026-7-8 | IEEE Transactions on Neural Networks and Learning Systems Information for Authors
[IEEE] 2026-7-8 | Synergistic Enhancement of
