[2026-05-30 10:47:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-29
正在获取论文...
[ACM] 2026-5-29 | BeamFormer: Transformer-based Beam Management for 6G Networks
[ACM] 2026-5-29 | An Anaglyph Add-on for the Pupil Labs Neon – Comparison to Stationary Eye-Tracking Setups for Stereoscopic Presentation using Binocular Rivalry
[ACM] 2026-5-29 | Image-free approach to gaze estimation based on Laser Feedback Interformetry (LFI)
[ACM] 2026-5-29 | Learning to Allocate Reusable Resources under Stochastic Rewards and Durations
[IEEE] 2026-5-29 | 2026Q3 Issue of the IEEE Transactions on Circuits and Systems for Artificial Intelligence
[IEEE] 2026-5-29 | IEEE Computer Science and Engineering Awards
[IEEE] 2026-5-29 | AI-Enabled Digital Twin-Driven Handover and Resource Allocation in Multi-LEO Satellite Networks
[IEEE] 2026-5-29 | UAV-Based Multispectral Object Tracking with Positive-Negative Prompt Mining Network
[IEEE] 2026-5-29 | Model-Free Predictive Current Control of a Hybrid Excited Axial Flux PM Motor Based on Multiregional Disturbance Observer
[IEEE] 2026-5-29 | Enhancing Adaptive Video Streaming through Bandwidth Prediction with Deep Reinforcement Learning
[ACM] 2026-5-29 | AdaSprite: Resource-efficient Online Co-Adaptation for V2I Systems Under Large-scale Data Drifts
[IEEE] 2026-5-29 | AE-IPP: Adversarial Example Enabled Identity Privacy Preserving with MmWave Signals
[ACM] 2026-5-30 | Challenges in Reviewing Research Utilising Maps Visualizations: A Case Study of Cholera
[ACM] 2026-5-30 | Gradual Domain Adaptation for Graph Learning
[ACM] 2026-5-30 | AI and the future of work
[ACM] 2026-5-30 | Recognition-based Image Authentication Using Masked Images as a Robust Alternative to PINs
[IEEE] 2026-5-29 | Packets and Process: What Network Security and Engineering Get Wrong About Each Other
[ACM] 2026-5-30 | Building Explainable User Interfaces
[ACM] 2026-5-29 | Music Meets Science at ACM Multimedia 2025
[ACM] 2026-5-29 | Towards Fast and Fully Automatic Drone Mapping
[ACM] 2026-5-29 | cPMEM: A Design of Byte-Addressable Persistent Memory with Compute Express Link for Data Center Applications
[ACM] 2026-5-29 | AquaScope: Reliable Underwater Image Transmission on Mobile Devices
[IEEE] 2026-5-29 | Accuracy of Quantifying Hypotension During Surgery Using Physiological Sensor Data
[IEEE] 2026-5-29 | Secrecy Rate Maximization for UAV-Assisted ISAC Networks against Mobile Eavesdropper
[IEEE] 2026-5-29 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization_supp4-3691061.mp4
[IEEE] 2026-5-29 | SignMoD: Sign Language Video Generation via Mixture of Diffusion
[IEEE] 2026-5-29 | EMG-Informed Musculoskeletal Modeling for Joint Stiffness Estimation Toward Rehabilitation Robot
[IEEE] 2026-5-29 | Two-Stage Current Limiting Method for Fault Ride-Through Enhancement of Virtual Synchronous Generator
[IEEE] 2026-5-29 | Implications of the Reciprocity Theorem for Reconfigurable Intelligent Surfaces
[IEEE] 2026-5-29 | Multiband Hybrid Metasurface for Enhanced Second-Harmonic Generation via Coupled Gap Surface Plasmon Modes
[IEEE] 2026-5-29 | Front Cover
[IEEE] 2026-5-29 | A Heterogeneous Cell-Free Massive MIMO System With mmWave Access Points: Cost Efficiency and Deployment Optimization
[ACM] 2026-5-30 | Adapting an Ecological Belonging Intervention to an Introductory Computer Science Course
[ACM] 2026-5-30 | Trustable, Reproducible, and Intelligent Information Visualization Systems (TRI-IVIS)
[ACM] 2026-5-30 | The BrutARlist: Exploring How and Why Individuals Alter a Known Brutalist Building with Augmented Reality
[ACM] 2026-5-30 | FantasIA: Immersive, Child-driven Social Stories in Interactive Smart Spaces
[ACM] 2026-5-30 | Effects of Progress Bar Thickness on Users' Perception of Waiting Time
[ACM] 2026-5-30 | Can sonification aid the perception of complex visual networked data? A tool for the interactive exploration of bibliometric data
[ACM] 2026-5-30 | AR Data Ribbon: Break the Frame and Unroll Data in the Air
[IEEE] 2026-5-29 | Physics-Guided Self-Supervised Statistical Residual Learning for Sonar Despeckling with Improved Generalization_supp1-3697693.pdf
[IEEE] 2026-5-29 | Local Semantics Refinement of Adaptive Representations for Robust Noisy Label Learning
[IEEE] 2026-5-29 | Adaptive Fuzzy Control for Triadic Interaction of Soft Exosuit-assisted Locomotion
[IEEE] 2026-5-29 | IEEE Control Systems Society Information
[ACM] 2026-5-29 | EyeGestureLogin: Spontaneous Hands‑Free Gaze‑Based Lock Pattern Authentication for Public Displays
[ACM] 2026-5-29 | Understanding Password Preferences, Memorability, and Security through a Human-Centered Lens
[ACM] 2026-5-29 | OpenGazeLab: An Interactive Toolkit for Gaze Analysis and Event Detection
[IEEE] 2026-5-29 | Dualformer: Efficient Feature Extractor for Complex-valued Blind Communication Signal Analysis
[IEEE] 2026-5-29 | Efficient Serverless Federated Learning with Edge Model Migration on Non-IID Data
[IEEE] 2026-5-29 | IEEE Society on Social Implications of Technology
[IEEE] 2026-5-29 | Applying Deep Learning-based Sonar Image Analysis to Exploration of Hydrothermal Activities
[IEEE] 2026-5-29 | Blockchain-Enhanced PUF Authentication for IoT Devices
[ACM] 2026-5-29 | A Large-Scale Multimodal Dataset and Benchmarks for Human Activity Scene Understanding and Reasoning
[ACM] 2026-5-29 | WiMirror: Towards 802.11-Compliant RIS Control Using Compressed Beamforming Reports
[ACM] 2026-5-29 | Assessing Resilience in Authoritative DNS Infrastructure Supporting Government Services
[ACM] 2026-5-29 | Information Design for Prosocial Behavior
[IEEE] 2026-5-29 | Value Unchained: Four Steps to Turn AI Productivity Into Business Value
[ACM] 2026-5-30 | Exploring AI-Supported Artistic Practices through Human-Centred AI
[ACM] 2026-5-30 | The Rice-Paper Layer (RPL): Intention Segmentation for Human-AI Co-Creation in Generative AI
[ACM] 2026-5-30 | Mixed Reality for Cultural Heritage: Digitizing Takamatsuzuka Kofun and Exploring Its Murals
[ACM] 2026-5-29 | Do Expert Gaze Patterns Causally Improve Lap Times in Circuit Driving?
[ACM] 2026-5-29 | ClearSkies: A Preliminary Study of Gaze-Mapped Scene Segmentation in Training Aircraft Cockpits
[ACM] 2026-5-29 | Objective Detection of Parafoveal Oculomotor Dysfunction in Parkinson’s Disease Using a Novel Retinal Eye Tracker
[IEEE] 2026-5-29 | Blind Channel Estimation Using an Image-to-Image Translation Network for OFDM Systems
[IEEE] 2026-5-29 | An Integrated Approach to Data Protection Risk Assessment in the Maritime Industry: A DPIA-Based Approach
[IEEE] 2026-5-29 | Uni-RCM: Unified Reference-guided Cross-modal Mapping for Multi-Class Anomaly Detection
[IEEE] 2026-5-29 | Mobile-Aptus: Confidence-Driven Proactive and Robust Interaction in MLLM-based Mobile-Using Agents
[IEEE] 2026-5-29 | Angle Error Correction Method for AFM Flatbed Scanner Based on High Line Density Grating Calibrator_supp1-3697056.docx
[IEEE] 2026-5-29 | Exploring the soft magnetic properties of various iron-silicon alloys manufactured via SLM
[IEEE] 2026-5-29 | RDL-free Glass Interposer for Heterogeneous Integration
[IEEE] 2026-5-29 | Three-Level Parallel PWM-Interleaved SiC Inverter With CMV Mitigation For Aerospace Applications
[IEEE] 2026-5-29 | From Fragmented Concepts to Structured Insights: A Three-Layer Readiness Taxonomy across Disciplines
[IEEE] 2026-5-29 | An Isolated Bidirectional DC-DC Converter With Zero Nonactive Power Loss and Reduced Current Stress for Electric Vehicle Applications
[ACM] 2026-5-29 | Summer School on Multimodal Foundation Models and Generative AI Second Edition
[ACM] 2026-5-29 | Surface Characterization with mmWave Signals
[ACM] 2026-5-29 | Lower Bounds for Adaptive Relaxation-Based Algorithms for Single-Source Shortest Paths
[IEEE] 2026-5-29 | Intentional Technology Use
[IEEE] 2026-5-29 | More Than Human: The Influence of Nonhuman Romances on Player Choices in Western Role-Playing Games
[ACM] 2026-5-30 | User-friendly Design of Distributed Systems: A Visual Interface for Composing Networks of Personal Devices
[ACM] 2026-5-30 | Visualizing Parametric Density through Three-dimensional Amplitude Spectrum Slopes in Urban Canyons
[ACM] 2026-5-30 | Beyond Visual Interfaces: Designing Multisensory Experiences
[ACM] 2026-5-30 | poli:bit: a No-Code Toolkit for Creating Phygital Artefacts for Preschools
[ACM] 2026-5-29 | Predicting User Perception based on Stimuli-Independent Saccade Transitions
[ACM] 2026-5-29 | Expanding the Range of Pre-Trained Gaze Estimation via Lightweight On-Device Fine-Tuning
[ACM] 2026-5-29 | Insecurity of Lost/Stolen Phone Reporting Services: Vulnerabilities, Attacks, and Countermeasures
[ACM] 2026-5-29 | SAIL: Redesigning Collaborative Language Inference with a Single Server-to-Mobile Handoff
[ACM] 2026-5-29 | Solving Scarce Wireless Signal Dilemma in Model Training using Cross-Modal Learning Leveraging Limited Video Data
[ACM] 2026-5-29 | Gaze Prediction as Time-Series Forecasting for Virtual Reality Applications: Quantifying Performance Variability and Extreme-Case Errors
[IEEE] 2026-5-29 | Crowd Counting Network Based on Multi-scale Gated Aggregation and Progressive Refinement
[IEEE] 2026-5-29 | Robust Low-Tubal-Rank Tensor Sensing via Preconditioned Subgradient Descent
[IEEE] 2026-5-29 | Radiation Detection Performance of Gamma Rays From Melt- and Solution-Grown Inorganic Perovskite CsPbBr
                    <sub>3</sub>
                    Semiconductor Detectors
[IEEE] 2026-5-29 | Extending the Theory of Super-Regenerative Oscillators for Short-Range Radar Sensors
[IEEE] 2026-5-29 | IEEE Computer Graphics and Applications
[IEEE] 2026-5-29 | Magnetic Network Modeling and Analysis of EE Core Based on Vector Magnetic Circuit Theory
[IEEE] 2026-5-29 | An Improved Reinforcement Learning Approach for Cost Function Optimization in Multiobjective FCS-MPC of PMSM Drives
[IEEE] 2026-5-29 | Spatial Sensitivity of Magnetoelectric Composite Under Non-Uniform Magnetic Excitation
[IEEE] 2026-5-29 | Time–Load Joint Optimization for Accelerating Resilient Restoration of Distribution Grids: A Three-Stage Decentralized Human–Robot–Mobile Power Sources Heterogeneous Collaboration Recovery Support System
[IEEE] 2026-5-29 | The Missing Foundation of Machine Learning Engineering
[IEEE] 2026-5-29 | Teaching Justice: Reimagining STEM Education for Ethical AI Systems
[ACM] 2026-5-30 | VISPEK: a Visual Interactive System for Progressive Ensemble K-Means Clustering
[ACM] 2026-5-30 | Advanced Visual Interfaces for Cultural Heritage (AVI-CH) 2026
[ACM] 2026-5-30 | Remote Grandparents: A Tangible Interactive Experience for Intergenerational Connection at a Distance
[ACM] 2026-5-30 | Evaluating Chinese Large Language Models: The Influence of Persona Assignment on Stereotypes and Safeguards
共写入 829 条记录，保存到 papers/paper2026-05-29.json。
论文获取成功，文件路径: papers/paper2026-05-29.json
正在筛选、翻译并发送邮件...
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 1/829 | BeamFormer: Transformer-based Beam Management for 6G Networks
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 2/829 | Gaze Estimation from Optical Path Length using Neural Network Inversion
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 3/829 | Who You Are is How You Look: Implicit User Identification by Comparing Actual Gaze with Personalized Saliency Maps
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 4/829 | Cross-Modal Analysis of Typography Effects on Visual Attention based on TVA and Task-Evoked Pupillary Responses (TEPR)
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 5/829 | JPEG Column: 109th JPEG Meeting in Nuremberg, Germany
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 6/829 | In Memoriam: Richard A. Tapia (1939-2026)
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 7/829 | Ground-Based GNSS-R Oil Spill Experiments: Methodology and Results
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 8/829 | FASENet: A Frequency Aware and Shape Enhanced Deep Network for Mapping Farmland Ditch from High-Resolution Remote Sensing Imagery
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 9/829 | Diffusion Graph Transformer for Learning Controllability Robustness in Large-Scale Networks
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 10/829 | High-Efficiency Laser Wireless Power Transfer System with Automatic Tracking for Smart Grids_supp2-3696300.mp4
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 11/829 | High-Efficiency Laser Wireless Power Transfer System with Automatic Tracking for Smart Grids_supp1-3696300.mp4
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 12/829 | BFRN-IoV: Blockchain and Fog-Enabled Route Navigation for Digital Twin-Based Internet of Vehicles
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 13/829 | Opportunistic RIS-Assisted Transmission Scheduling for Multiuser Wireless Network via Binary Linear Programming
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 14/829 | BIRCH-AE: A Hierarchical Ensemble Framework for Scalable E-Commerce User Segmentation with Autoencoder-Enhanced Feature Learning
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 15/829 | MARTA: Multi-Person Activity Recognition With mmWave Based on Temporal Attention
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 16/829 | Jointly Optimizing Migration and Offloading for Digital Twin-Enabled Internet of Vehicles
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 17/829 | Energy-Efficient Task Allocation for Green Aerial Edge Computing Based on Metaverse Users: A Mean Field Game Approach
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 18/829 | Passivity-Based Tracking Control of a Planetary Rover with Robotic Arm_supp1-3694402.mp4
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 19/829 | Front Cover
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 20/829 | Can Multipath TCP Congestion Control do better without adhering to its First Design Principle?
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 21/829 | CAP: Detecting Network Device Misconfigurations with Context-Aware Prompting of LLMs
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 22/829 | POMACS V10, N2, June 2026 Editorial
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 23/829 | Optimized Real-Time Current Commutation Method for Concentric Winding Moving-Coil Maglev Planar Motor Based on Improved Active Set Algorithm
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 24/829 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization_supp1-3691061.mp4
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 25/829 | Glaucoma Diagnosis and Progression Prediction Based on Deep Multimodal Fusion and Collaborative Attention Mechanism
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 26/829 | Research on the Diagnosis and Localization Method of Cross-Bonding Cable Defects Based on Three-Phase Differential Frequency Excitation
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 27/829 | A Long-Range Detection Method for Blueberries Based on an Improved YOLOv11n Model
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 28/829 | On Enumerating Feasible Permutations for Rank Modulation Codes in DNA storage via Hyperplane Arrangements
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 29/829 | Optimizing Heat-Assisted Magnetic Recording Plasmonic Structures via Deep Generative Models
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 30/829 | Low-Earth Orbit Satellite Network Analysis with Random LOS and NLOS Channels
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 31/829 | EVDI++: Event-based Video Deblurring and Interpolation via Self-Supervised Learning
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 32/829 | Complementary Grid Forming: Inertia Gathered from Constrained Resources
