[2026-06-23 12:08:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-22
正在获取论文...
[arXiv] 2026-06-22 | Emergence of Common Noise: Quantitative Conditional Propagation of Chaos
[arXiv] 2026-06-22 | A first-exit proof of Cusick's sum-of-digits conjecture
[arXiv] 2026-06-22 | Symbol Rate-Code Rate Trade-offs for IM/DD 200G/400G per Lane LPO Transceivers
[arXiv] 2026-06-22 | Detection of actinides in CEMP-rs stars
[arXiv] 2026-06-22 | On the accuracy of measurements of electron temperature by Thomson scattering diagnostic in the plasma core of the ITER tokamak
[arXiv] 2026-06-22 | A Catalogue of the Lie Amaldi Classification with Structures Identified
[arXiv] 2026-06-22 | Polynomial Dice Loss for Medical Image Segmentation
[arXiv] 2026-06-22 | Bounding Classical and Quantum Correlations in Bayesian Networks with Quasiprobabilities
[arXiv] 2026-06-22 | Adaptive Hard-Soft Physics-Informed Neural Networks for Robust Boundary-Constrained PDE Solving
[arXiv] 2026-06-22 | Order-Restricted Bayesian Ordinal Regression for the Modeling of Neuron Degeneration in Caenorhabditis elegans
[arXiv] 2026-06-22 | A Relaxed Quadratic-Program-based Framework for Trajectory Tracking of Unicycle Robots with Singularity Avoidance
[arXiv] 2026-06-22 | Graded differential polynomial rings
[arXiv] 2026-06-22 | Superhuman AI for Generals.io Using Self-Play Reinforcement Learning
[arXiv] 2026-06-22 | A Methodology to Quantify Interscale Energy Transfer at Solid Boundaries
[arXiv] 2026-06-22 | When Staking Rewards Compound: Measuring the Impact of Ethereum's Pectra Upgrade
[arXiv] 2026-06-22 | Galactic Cosmic Ray Transport in the Giant Circumgalactic Medium Halo
[arXiv] 2026-06-22 | Uncertainty-based Debiasing and Unlearning for Decontamination
[arXiv] 2026-06-22 | The Anatomy of the CTC Oracle Gap: Acoustic Exhaustion and Linguistic Recovery
[arXiv] 2026-06-22 | Step-Edge Passivation and Quantitative Raman Mapping of Transfer Quality in Aligned Graphene Nanoribbons
[arXiv] 2026-06-22 | EHR-Complex: Benchmarking Medical Agents for Complex Clinical Reasoning
[arXiv] 2026-06-22 | URecJPQ: Memory-efficient Multimodal Recommendation Models through RecJPQ in Large-Scale Scenarios
[arXiv] 2026-06-22 | Fibredness of 3-manifolds is in NP
[arXiv] 2026-06-22 | A Bayesian Phase I/II basket design with robust information borrowing to identify subtrial-specific optimal biological doses
[arXiv] 2026-06-22 | BoxCtrl: 3D-Aware Visual Prompting for Geometric Image Editing
[arXiv] 2026-06-22 | On Ulam's Segment Motion Problem
[arXiv] 2026-06-22 | Conceptual Design of an Ecosystem for Real Farm Data Collection toward Agricultural AI Foundation Models
[arXiv] 2026-06-22 | Wireless Personal Agent: Extending Wireless Intelligence from Networks to Terminals
[arXiv] 2026-06-22 | SteerVTE: Seamless Video Text Editing with Style and Glyph Control
[arXiv] 2026-06-22 | Spiral Domains and Lavaurs-Type Renormalization for Parabolic Germs of $\mathbb{C}^2$
[arXiv] 2026-06-22 | Predator-associated cues promote host riding, and coupling to mobile hosts improves survival in an epizoic limpet
[arXiv] 2026-06-22 | SPADE: Structure-Prior Adaptive Decision Estimation
[arXiv] 2026-06-22 | MuPPET: A Benchmark for Contextual Privacy of LLM Assistants in Multi-Party Conversations
[arXiv] 2026-06-22 | Universal Interatomic Potentials as Configuration-Space Generators for One-Shot and Iterative Fine-Tuning of Ab Initio-Accurate Material-Specific Models
[arXiv] 2026-06-22 | Turing-region preservation in matrix-oriented splitting methods for reaction-diffusion systems
[arXiv] 2026-06-22 | CFPO: Counterfactual Policy Optimization for Multimodal Reasoning
[arXiv] 2026-06-22 | Bridge the Gaps: Heterogeneous Attributed Graph Clustering via Quaternion Representation Learning
[arXiv] 2026-06-22 | Improving Long-Context Retrieval with Multi-Prefix Embedding
[arXiv] 2026-06-22 | Application of Machine Learning for the Identification of 2D Colloidal Assemblies: A Case Study on Particles of Distinct Shapes
[arXiv] 2026-06-22 | AI-driven Optimisation of Quality of Recovery (QoR) in Remote Patient Monitoring
[arXiv] 2026-06-22 | Recollements of Triangulated Categories and the Singularity Category of a Triangular Matrix Category
[arXiv] 2026-06-22 | Thermodynamic inference from noisy single-molecule time series
[arXiv] 2026-06-22 | RECALL: Recovery Experience Collection for Active Lifelong Learning in Vision-Language-Action Models
[arXiv] 2026-06-22 | A quantum algorithm for one-shot signatures
[arXiv] 2026-06-22 | Vera: A Layered Diffusion Model for Content-Preserving Video Editing
[arXiv] 2026-06-22 | Virtual Surjection and the $n$-$(n+1)$-$(n+2)$ Theorem for Profinite Groups
[arXiv] 2026-06-22 | Two-Stage Optimization for Dynamic Line Rating and Energy Storage Deployment
[arXiv] 2026-06-22 | Decentralized Autonomous Traffic Management through Corridor Networks
[arXiv] 2026-06-22 | Cubic Jordan algebras are not a series
[arXiv] 2026-06-22 | Skewness tunes the small-drift record rate of random walks and Lévy flights
[arXiv] 2026-06-22 | Affine quantization of the dynamical Reissner--Nordström region
[arXiv] 2026-06-22 | The location of the largest exponential spacing and Euler's generalized pentagonal numbers
[arXiv] 2026-06-22 | Structure-Aware Variance Reduction for Unbiased Randomized Hamiltonian Simulation
[arXiv] 2026-06-22 | Sensor-Stack Limits on Contactless In-Bed Body Position: A 20-Subject Multimodal Radar + Thermal LOSO Characterization
[arXiv] 2026-06-22 | An Open-Source LFSR-Based Stochastic Leaky Integrate-and-Fire Neuron in SkyWater 130 nm: Design, Stochastic Characterisation, and Rate Coding
[arXiv] 2026-06-22 | Composition: Building Community with Arts, Math, and Code (Experience Report)
[arXiv] 2026-06-22 | Scaling State-Space Models from Lines to Paragraphs: An Ablation of Mamba-based OCR
[arXiv] 2026-06-22 | DSWIM:Efficient and Stable Deterministic Computation of Warm Inflation Perturbations
[arXiv] 2026-06-22 | Arbor: Explicit Geometric Conditioning for Controllable 3D Asset Generation
[arXiv] 2026-06-22 | Source-Free Detection and Impact Analysis of Compiler Optimization Problems in Mobile Applications
[arXiv] 2026-06-22 | Variance or Standard Deviation? Shell Geometry and Global-Scale Priors in High-Dimensional Shrinkage
[arXiv] 2026-06-22 | Projection-Based Reconstruction for Achieving High-Order Accuracy from Low-Order DGSEM Simulations
[arXiv] 2026-06-22 | High-quality single crystals of the kagome metals Ni$_3$In and Ni$_3$Sn grown from Pb flux
[arXiv] 2026-06-22 | Anomalous charge density wave in a two-dimensional superatomic superconductor
[arXiv] 2026-06-22 | CADRE: Stable, Parameter Efficient Adaptation of Medical Vision Language Models with Bounded Forgetting and Prior Drift
[arXiv] 2026-06-22 | From Reconstruction to Decision: A Post-Encoder Plug-in Adapter for Curvilinear Segmentation
[arXiv] 2026-06-22 | Continuity equations in the Generalised Lagrangian Mean theory
[arXiv] 2026-06-22 | Magnetic-Free Quantum Interference and Universal Josephson Diode Effect Driven by a Supercurrent Gauge Field
[arXiv] 2026-06-22 | On Two Approaches to Cluster Structures on Partial Flag Varieties
[arXiv] 2026-06-22 | C^2GR: Coupled Comprehensive Generative Replay for a Continually Learnable Universal Segmentation Model
[arXiv] 2026-06-22 | High performance construction materials fracture and high cycle fatigue assessment based on accelerated PF-CZM
[arXiv] 2026-06-22 | Boolean degree one functions on the Grassmann scheme
[arXiv] 2026-06-22 | NLO Angular Impulse and Leading Singularities to all orders in spin for Kerr Black Holes
[arXiv] 2026-06-22 | Sort-Stratified Semantics for Temporal Conflict Detection in ODRL Policies
[arXiv] 2026-06-22 | Cross-Architectural Mixture-of-Experts with Adaptive Soft Routing for Plant Leaf Disease Classification
[arXiv] 2026-06-22 | The Expected Number of Pairwise Stable Networks
[arXiv] 2026-06-22 | When Agents Commit Too Soon: Diagnosing Premature Commitment in LLM Agents
[arXiv] 2026-06-22 | MythraGen: Two-Stage Retrieval Augmented Art Generation Framework
[arXiv] 2026-06-22 | Bianchi groups and automorphisms of rank-four $K3$ surfaces
[arXiv] 2026-06-22 | Intent-Governed Tool Authorization for AI Agents
[arXiv] 2026-06-22 | Intend, Reflect, Refine: An Adaptive Multimodal Reflection Framework for Autonomous Driving
[arXiv] 2026-06-22 | Agent-as-a-Router: Agentic Model Routing for Coding Tasks
[arXiv] 2026-06-22 | Explainable AI in Speaker Recognition -- Attention Map Visualisation and Evaluation
[arXiv] 2026-06-22 | Learning Graphs through Continuous Information Entropy Fields
[arXiv] 2026-06-22 | IViT: A Novel Interpretable Visual Transformer for Skin Disease Detection
[arXiv] 2026-06-22 | On a generalized incompressible model in two dimensions
[arXiv] 2026-06-22 | PHOEBI: An Open-World Benchmark for Bacterial Identification in Phase-Contrast Microscopy
[arXiv] 2026-06-22 | Partial-twuality polynomial interpolation for binary delta-matroids
[arXiv] 2026-06-22 | CLI-Universe: Towards Verifiable Task Synthesis Engine for Terminal Agents
[arXiv] 2026-06-22 | DJM: Compact Base Meshes for Displacement Mapping using Triangle Jacobians
[arXiv] 2026-06-22 | Testing the Generalization and Domain Stability of Compact Feature Representations for Photometric Supernova Classification
[arXiv] 2026-06-22 | DynamicMem: A Long-Horizon Memory Benchmark in Real-World Settings
[arXiv] 2026-06-22 | When AUC 0.998 Is Not Enough: A Candidate Evaluation Protocol for Hidden-State Probes of Indirect Prompt Injection in Multimodal Computer-Use Agents
[arXiv] 2026-06-22 | Locally conservative redistribution limiting and applications to the approximation of conservation equations, Part II
[arXiv] 2026-06-22 | Cloak: Zero-Shot Cross-Embodiment Manipulation by Masking the End-Effector from the VLA
[arXiv] 2026-06-22 | OrthoMotion:Disentangling Camera and Subject Motion via Geometry Semantics Orthogonal Attention
[arXiv] 2026-06-22 | The Urban-Rural Divide in the Age of Artificial Intelligence: Assessing the Effects of Technology and Automation on Regional Labor Markets
[arXiv] 2026-06-22 | DBT-Bleed: Dual-Branch Temporal Modeling with Key-Frame Selection for Surgical Bleeding Detection
[arXiv] 2026-06-22 | A Conservative Time-Accurate Local Time-Stepping DG Scheme Based on a Weakly Compressible Model for Unsteady Low-Mach-Number Flows
[arXiv] 2026-06-22 | Policy-as-Data: Learning Generalizable HOI Diffusion Models from Simulated Physics
[arXiv] 2026-06-22 | Measuring Behavior Portability in Large Language Models
[arXiv] 2026-06-22 | Semiparametric Efficiency Theory as Differential Calculus on a Space of Probability Distributions
[arXiv] 2026-06-22 | Pricing the Unpriced Asset: A Standards-Based Method for Valuing Enterprise Data under IAS 38 and IAS 2
[arXiv] 2026-06-22 | Black Hole Occupation Fraction: Dependence on Black Hole Mass Threshold, Environment, Resolution and Redshift
[arXiv] 2026-06-22 | Endogenous Randomness from Adversarial Market Learning
[arXiv] 2026-06-22 | A Closed Image Characterization of Locally Finite Groups via Linear Cellular Automata
[arXiv] 2026-06-22 | GroundEval: A Deterministic Replacement for LLM-as-Judge in Stateful Agent Evaluation
[arXiv] 2026-06-22 | Lifting E-Graphs: A Function Isn't a Constant
[arXiv] 2026-06-22 | Protecting Qubits from Purcell Decay via Permanent Dipoles
[arXiv] 2026-06-22 | When Confidence Takes the Wrong Path: Diagnosing Retrieval-State Lock-In in RAG
[arXiv] 2026-06-22 | Normalized solutions for a nonlinear Dirac equation with an inhomogeneous nonlinearity
[arXiv] 2026-06-22 | Hyperbolic solitons on trans-Sasakian space forms and its submanifolds
[arXiv] 2026-06-22 | Position: Correct Answer, Wrong Mechanism -- When AI Scientists Defend General Claims Their Own Data Contradicts
[arXiv] 2026-06-22 | Betti-Whittaker periods of the contragredient representations for $\textrm{GL}(n)$
[arXiv] 2026-06-22 | Recent Hadron Spectroscopy Results from the Belle and Belle II experiments
[arXiv] 2026-06-22 | Bihamiltonian structure of the $(n,1)$-type rational reductions of the 2D-Toda hierarchy
[arXiv] 2026-06-22 | Performance Evaluation of Selection Strategies for Inter-Satellite Paths in Walker-Delta Constellations
[arXiv] 2026-06-22 | Managing Procedural Memory in LLM Agents: Control, Adaptation, and Evaluation
[arXiv] 2026-06-22 | MambaADv2: Evolving Duality-enhanced State Space Model for Unsupervised Anomaly Detection
[arXiv] 2026-06-22 | AI-Empowered UAV-Assisted Backscatter Localization and ISAC for Zero-Energy IoT: A Comprehensive Survey
[arXiv] 2026-06-22 | Enormous Fluid Antenna Systems (E-FAS) for Wireless Sensing: Channel Modeling and Conditional Estimation Limits
[arXiv] 2026-06-22 | TTFT-Aware Graph Chain-of-Thought:Distance-Indexed Neural A* for Low-Hallucination Multi-Hop Medical Reasoning
[arXiv] 2026-06-22 | Compression and Retrieval: Implicit Memory Retrieval for Video World Models
[arXiv] 2026-06-22 | Fingerprints of an Imbert-Fedorov-like effect in the tunneling transmission of Rarita-Schwinger semi-metals
[arXiv] 2026-06-22 | AdaReP:Adaptive Re-Planning under Model Mismatch for Neural World-Model Predictive Control
[arXiv] 2026-06-22 | MotionHalluc: Diagnosing Kinematic Hallucinations in Fine-Grained Motion Reasoning
[arXiv] 2026-06-22 | Some Results about the Expressivity of Preference-Incomplete Structured Argumentation Frameworks
[arXiv] 2026-06-22 | HALAS: A Human-Annotated Dataset of Hallucinations of Modern ASR Systems
[arXiv] 2026-06-22 | UECP: Uncertainty-Enhanced Collaborative Perception
[arXiv] 2026-06-22 | Gaussian Process Differential Ensembles for Joint Inference on Curves, Derivatives, and Integrals
[arXiv] 2026-06-22 | Physics-Guided Spatiotemporal State Space Modeling for Lookahead Molten Pool Segmentation in Laser Wire-Feed Welding
[arXiv] 2026-06-22 | Spectral-capacitary bounds for homological recovery from reflected Brownian trajectories
[arXiv] 2026-06-22 | ScalingAttention: Discovering Intrinsic Sparse Attention Topology for Video Diffusion Transformers
[arXiv] 2026-06-22 | Scalable Online Flight Trajectory Optimization via Sequential Quadratic Programming for Urban Air Mobility in Ultra Low-Altitude Airspace
[arXiv] 2026-06-22 | From Point Estimates to Distributions: GMM Pooling for MIL in Preterm Birth Prediction
[arXiv] 2026-06-22 | Bicyclic biskew braces
[arXiv] 2026-06-22 | Machine Translation and Post-Editing: Comparative Evaluation of Different MT Systems and Post-Editor Groups in Specialised Translation
[arXiv] 2026-06-22 | Diffusions with resetting boundaries: ergodic control and renewal optimization
[arXiv] 2026-06-22 | Subject-Level Unknown-Identity Identification from Leap Motion Controller 2 Hand Landmarks
[arXiv] 2026-06-22 | Learning the distance for ABC and localized neural posterior estimation
[arXiv] 2026-06-22 | Understanding Parallel Samplers in Masked Diffusion via Random Walks on Graphs
[arXiv] 2026-06-22 | TaLK: Text-attributed Graph Dataset Distillation via Coupling Language Model with Graph-Aware Kernel
[arXiv] 2026-06-22 | MOCAP: Wafer-Scale-Chip-Oriented Memory-Orchestrated Chunked Pipelining Framework for Prefill-Only LLM Inference
[arXiv] 2026-06-22 | Attacking the Trusted Imagination: Oracle-Level Integrity Attacks on Imagine-then-Act World Models
[arXiv] 2026-06-22 | LLM-as-a-Judge for Reliable and Explainable Offline Evaluation in Top-K Recommendation
[arXiv] 2026-06-22 | PG-MAP: Joint MAP Optimization for Inference-Time Alignment of Diffusion and Flow-Matching Models
[arXiv] 2026-06-22 | Affine Rota-Baxter groups and affine skew braces
[arXiv] 2026-06-22 | Domain-incremental audio classification using domain-specific experts and prototype classifier
[arXiv] 2026-06-22 | The kurtosis of normal variance-mean mixtures
[arXiv] 2026-06-22 | CoorDex: Coordinating Body and Hand Priors for Continuous Dexterous Humanoid Loco-Manipulation
[arXiv] 2026-06-22 | Open Problem: Is AdamW Effective Under Heavy-Tailed Noise?
[arXiv] 2026-06-22 | Teaching LLMs String Matching, Backtracking, and Error Recovery to Deduce Bases and Truth Tables for the Combinatorially Exploding Bit Manipulation Puzzles
[arXiv] 2026-06-22 | GeoFidelity-Bench: Evaluating Segment-Level Geographic Fidelity in Text-to-Image Street-View Generation
[arXiv] 2026-06-22 | Action-BED: Task-Driven Bayesian Experimental Design with Singly Intractable Objectives
[arXiv] 2026-06-22 | Position-Space Renormalization and Half-Space Truncations in $φ^4_4$
[arXiv] 2026-06-22 | The EDGE-CALIFA Survey: Star Formation Efficiency and Galaxy Quenching across 62 Main Sequence, Green Valley, and Red Galaxies
[arXiv] 2026-06-22 | TailorMind: Towards Preference-Aligned Multimodal Content Generation
[arXiv] 2026-06-22 | Convolution Operators on Weighted Hahn Spaces
[arXiv] 2026-06-22 | Interfacial-melt stability as a thermodynamic prerequisite for solid-state synthesis
[arXiv] 2026-06-22 | Isometrization of Tensor Network States via Gauge Propagation
[arXiv] 2026-06-22 | Predicate Importance Estimation and Decoupled Rationale-Score Distillation for Entity Alignment
[arXiv] 2026-06-22 | Graph-Enhanced Large Language Models for Spatial Search
[arXiv] 2026-06-22 | Log-concavity and tunneling: adiabatic quantum optimization for convex functions (with a spike)
[arXiv] 2026-06-22 | When Does Intrinsic Self-Correction Help? A Task-Sensitive Analysis
[arXiv] 2026-06-22 | Examining AI-generated historical narratives and their reception through the example of history POVs on TikTok
[arXiv] 2026-06-22 | Quantifying the Agreement Between Data-Influence and Data-Similarity to Understand LLM Behavior
[arXiv] 2026-06-22 | High-Stability Deformable Mirrors for Correcting Non-Axisymmetric Residual Aberrations in Thermal Compensation of Future Gravitational Wave Interferometers
[arXiv] 2026-06-22 | Path-dependent Affine Processes
[arXiv] 2026-06-22 | Free-running single-cavity dual combs with Hz-level relative linewidth
[arXiv] 2026-06-22 | On the construction and representation of social welfare orders satisfying consequentialist equity axioms
[arXiv] 2026-06-22 | Binary binomial equivalence via hyperplane arrangements
[arXiv] 2026-06-22 | Flowing With Purpose: Latent Action Guided Flow Matching Policies For Robotic Manipulation
[arXiv] 2026-06-22 | Signatures of unconventional magnetism in the layered metallic ferromagnet LaCrSb$_3$ from ferromagnetic resonance spectroscopy
[arXiv] 2026-06-22 | ReasoningLens: Hierarchical Visualization and Diagnostic Auditing for Large Reasoning Models
[arXiv] 2026-06-22 | Imaging aerosolized viruses with an X-ray free-electron laser using single-particle rotational invariants
[arXiv] 2026-06-22 | Distribution-Aware Diffusion-LLM for Robust Ultra-Long-Term Time Series Forecasting
[arXiv] 2026-06-22 | Scattered wave functions and worldline instantons for particle production in curved spacetime
[arXiv] 2026-06-22 | Energy-Based Transformers as Predictors of Reading Difficulty
[arXiv] 2026-06-22 | A Note on Quaternions over Commutative Rings
[arXiv] 2026-06-22 | Exact and Fast Subset Selection Algorithms for the Bi-objective Integral R2 Indicator
[arXiv] 2026-06-22 | TooBad: Backdoor Diffusion Models with Ultra-Low Poison Rate and Imperceptible Trigger
[arXiv] 2026-06-22 | The fractional Porous Medium Equation on graphs
[arXiv] 2026-06-22 | Changing Modalities: Adapting Remote Sensing Models to New Satellites and Sensors
[arXiv] 2026-06-22 | Dissociation of NaCl in supercritical aqueous fluids of moderate and high concentrations: A molecular dynamics study
[arXiv] 2026-06-22 | Abstract representational geometry supports inference in large language models
[arXiv] 2026-06-22 | Don't Listen to Me: A Lightweight, Low-Latency Model for Own-Voice Cancellation in Far-Field Speech Enhancement
[arXiv] 2026-06-22 | VideoAgent: All-in-One Framework for Video Understanding and Editing
[arXiv] 2026-06-22 | Online forecast reconciliation using linear models
[arXiv] 2026-06-22 | A sharp product bound for non-trivial cross-intersecting families
[arXiv] 2026-06-22 | A Compact Two-Stage Fourth-Order Two-Derivative IMEX Method with Mixed Compatibility, High Implicit-Solve Efficiency,and Enhanced Stiff Decay
[arXiv] 2026-06-22 | Test-Driven, AI-Assisted Learning: Replacing Lectures with Weekly Closed-Book Tests
[arXiv] 2026-06-22 | The Barnard's Star Planetary System: Stability, Composition, and Evolution of Four Sub-Earth Exoplanets
[arXiv] 2026-06-22 | Structured Real Snaith Equivalences
[arXiv] 2026-06-22 | Kohn-Luttinger like superconductivity in twisted bilayer graphene at large twist angles
[arXiv] 2026-06-22 | When the black holes align: a subpopulation of aligned massive binary black holes observed via gravitational waves
[arXiv] 2026-06-22 | GRIMIP: A General Framework for Instance-Specific Configuration of MIP Solvers Using LLMs
[arXiv] 2026-06-22 | Infinite $τ$-tilting theory
[arXiv] 2026-06-22 | IOI: Decoupling Kinematics and Physics for Interactive World Models
[arXiv] 2026-06-22 | A Set-Theoretic Approach to Detecting Logic Bugs in DBMS Inner Join Optimizations
[arXiv] 2026-06-22 | Flow6D: Discrete-to-Continuous Flow Matching for Efficient and Accurate Category-Level 6D Pose Estimation
[arXiv] 2026-06-22 | Towards a Bathroom-Centered Human-Building Digital Twin Framework for Indoor Safety Analysis
[arXiv] 2026-06-22 | Identifying vulnerable nodes for hypergraph dismantling via higher-order competition dynamics
[arXiv] 2026-06-22 | Transfer learning-based method for automated ewaste recycling in smart cities
[arXiv] 2026-06-22 | Dark matter from the quadratic spinor Lagrangian II: A spin-3/2 no-go and the uniqueness of the spin-1/2 candidate
[arXiv] 2026-06-22 | Ranking Companion: A Visual Analytics Approach to Item-Based Ranking with Hybrid Item Selection
[arXiv] 2026-06-22 | Dynamic multi-agent deep reinforcement learning-based pricing and incentivization approach in multimodal transportation networks
[arXiv] 2026-06-22 | P-JEPA: Procedural Video Representation Learning via Joint Embedding Predictive Architecture
[arXiv] 2026-06-22 | LP-NavOA: Integrated Local Navigation and Obstacle Avoidance for Humanoid Robots under Limited Perception
[arXiv] 2026-06-22 | A conjecture on the action of Hecke operators
[arXiv] 2026-06-22 | Quantum Key Distribution Without Shared Reference Frame Under Unital Noise
[arXiv] 2026-06-22 | HOLMES: Evaluating Higher-Order Logical Reasoning in LLMs
[arXiv] 2026-06-22 | A Hybrid Intrusion Detection System for Electric Vehicle Charging Infrastructure
[arXiv] 2026-06-22 | Wess-Zumino terms in 0+1 SU(N) superspin systems
[arXiv] 2026-06-22 | Multi-objective Bayesian optimisation of a double-layer target for quasi-monoenergetic TNSA protons
[arXiv] 2026-06-22 | An Acoustic Landmark Database of the English Lexicon via Articulatory Synthesis
[arXiv] 2026-06-22 | Path-following Control of a Quadrotor using Quasi-Static Transverse Feedback Linearization
[arXiv] 2026-06-22 | Coupling Heterarchical Granular Dynamics and Computational Fluid Dynamics
[arXiv] 2026-06-22 | NGPS: Structure-Preserving Self-Supervised Denoising via Neighbor-Guided Patch Sampling
[arXiv] 2026-06-22 | Tackling "AI against sustainability"
[arXiv] 2026-06-22 | FlowTTS-GRPO: Online Reinforcement Learning with Multi-Objective Reward Optimization for Flow-Matching Based Text-to-Speech
[arXiv] 2026-06-22 | Private Information Retrieval from Joint Systematic MDS-Coded with Non-Colluding Servers: Bounds and Constructions
[arXiv] 2026-06-22 | UniFS: Unified Fast-to-Slow Hierarchical Architecture for Vision-Language-Action Models
[arXiv] 2026-06-22 | DE-FIVE: Detecting Malicious Image Prompts via Fourier Features and Image Vector Embeddings
[arXiv] 2026-06-22 | GeoRouteNet: Geometry-Enhanced Non-Autoregressive Neural Solver for the Traveling Salesman Problem
[arXiv] 2026-06-22 | LoCC: Detection and Localization of Lip-Syncing Deepfakes via Counterfactual Frame Consistency
[arXiv] 2026-06-22 | Noise is Signal: Density-Based Outliers as Leading Indicators of Occupational Emergence in Labor Market Text
[arXiv] 2026-06-22 | Highly filamentary H{\,\small I} gas in the circumgalactic medium and intragalactic medium around NGC 4631
[arXiv] 2026-06-22 | Measurement of Born cross sections for $e^+e^-\to p\bar p$ at $\sqrt{s} =3.510-4.946$ GeV
[arXiv] 2026-06-22 | Observation of $ψ(3770)\to p\bar p$ and Measurement of Electromagnetic Form Factors of Proton at $\sqrt{s} = 3.510-4.946$ GeV
[arXiv] 2026-06-22 | Development of a Neural Network-Based Background Suppression Technique for $ΣN$ Cusp Spectroscopy at J-PARC
[arXiv] 2026-06-22 | Factored Sparse Approximate Inverse Preconditioning via Spectral Optimization
[arXiv] 2026-06-22 | Temporal Logic Guidance for Action-Only Diffusion Policies with World Models
[arXiv] 2026-06-22 | AutoDex: An Automated Real-World System for Dexterous Grasping Data Collection
[arXiv] 2026-06-22 | Semantic Browsing: Controllable Diversity for Image Generation
[arXiv] 2026-06-22 | PsyBridge: A Hybrid Intelligent Framework for Multi-Dimensional Mental Health Assessment and Decision Support
[arXiv] 2026-06-22 | Statistical Proof as a Window into Human-AI Collaboration: Practical Insights and a Community Agenda
[arXiv] 2026-06-22 | The Dataset Friction Framework: measuring user-facing friction as a complement to FAIR
[arXiv] 2026-06-22 | EnterpriseClawBench: Benchmarking Agents from Real Workplace Sessions
[arXiv] 2026-06-22 | Revisiting the 'Lensing is Low' Problem with UNIONS
[arXiv] 2026-06-22 | Genuine certification of incompatible quantum instruments through sequential communication tasks
[arXiv] 2026-06-22 | AI Exposure Scores: what they measure, what they miss, and what comes next
[arXiv] 2026-06-22 | Sharp Inequalities for Products of Principal Minors of Positive Definite Matrices
[arXiv] 2026-06-22 | Semiclassical decay of de Sitter space into black holes with vortex-deformed horizons
[arXiv] 2026-06-22 | dVLA-RL: Reinforcement Learning over Denoising Trajectories for Discrete Diffusion Vision-Language-Action Models
[arXiv] 2026-06-22 | Observables and conformal properties of dark matter admixed isentropic neutron stars
[arXiv] 2026-06-22 | Nonarchimedean groups and the axiom of choice
[arXiv] 2026-06-22 | One country, multiple portraits: representativeness in GPS-based mobility data is source-specific and spatially dependent
[arXiv] 2026-06-22 | Polycepta: Object-Centric Appearance Estimation for Multi-Object Tracking
[arXiv] 2026-06-22 | Data analysis methods for powder x-ray diffraction intensity under laser-driven dynamic compression at Omega and NIF laser facilities
[arXiv] 2026-06-22 | Helical Domain-Wall-Ring Networks Reshape Superconducting Correlations
[arXiv] 2026-06-22 | Against Proxy Optimization
[arXiv] 2026-06-22 | Random dimension reduction and learning symmetric properties of quantum states
[arXiv] 2026-06-22 | Influence of Harris disorder on quantum-critical superconductivity
[arXiv] 2026-06-22 | Corotating Interaction Regions (CIRs): evolution over a solar lifetime
[arXiv] 2026-06-22 | A Watermark for Vision-Language-Action and World Action Models
[arXiv] 2026-06-22 | SVD-Surgeon: Optimal Singular-Value Surgery for Large Language Model Compression
[arXiv] 2026-06-22 | LangMAP: A Language-Adaptive Approach to Tokenization
[arXiv] 2026-06-22 | Digital Twins Need Feedback
[arXiv] 2026-06-22 | Observing a 542-day transiting giant with large TTVs: The 2025 transit of HIP 41378 f and new constraints on the outer system
[arXiv] 2026-06-22 | The Energy Consumption of Transformer Fine-Tuning: A Roofline-Inspired Scaling Model
[arXiv] 2026-06-22 | Direct and Indirect Influence on Likes in Social Media
[arXiv] 2026-06-22 | Riemannian Positive Mass Theorem in All Dimensions in the Presence of Low-Codimension Singularities
[arXiv] 2026-06-22 | Scaling patch analysis of turbulent kinetic energy budget equation in wall-bounded flows
[arXiv] 2026-06-22 | Collapsed Effective Operators for Higher-order Structures
[arXiv] 2026-06-22 | Hollow-Core Fiber in Direct-Detection Optical Networks: Technology Readiness, Deployment Drivers, and Adoption Outlook
[arXiv] 2026-06-22 | Cost of one-relator groups
[arXiv] 2026-06-22 | UniverSat: Resolution- and Modality-Agnostic Transformers for Earth Observation
[arXiv] 2026-06-22 | DVL-DeepONet: A Physics-Guided Operator Learning for Resilient Underwater Navigation
[arXiv] 2026-06-22 | Ensuring Open Source Integrity: The Intersection of Copy-Based Reuse and License Compliance
[arXiv] 2026-06-22 | Geometric and Statistical Thermo Field Dynamics in de Sitter Spacetime
[arXiv] 2026-06-22 | Sublinearly Structured Deep Neural Networks Achieve Feature Learning Consistency for Compositional Functions
[arXiv] 2026-06-22 | Tighter Bounds for Algorithmic Complexity Estimation Using a Reusable Code-Based Block Decomposition Method
[arXiv] 2026-06-22 | From Lab to Landscape: Assessing the Impact of Pesticides on Pollinator Populations Based on Laboratory Data by Combining ALMaSS and BufferGUTS
[arXiv] 2026-06-22 | Prethermal rotating-frame solid echo in a dipolar nuclear-spin network
[arXiv] 2026-06-22 | Neutron Star Mass-Radius Constraints for EXO 0748$-$676 from 2008-2025 Quiescent X-ray Spectra
[arXiv] 2026-06-22 | TriggerBench: Investigating Prospective Memory for Large Language Models
[arXiv] 2026-06-22 | Dark matter from the quadratic spinor Lagrangian I: Geometric mass for a gravitationally produced spin-1/2 fermion
