[2025-11-21 09:10:51] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-20
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202511200000+TO+202511202359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[IEEE] 2025-11-20 | Section 3: Medical Decision Support Systems. Intelligent Systems in Healthcare
[IEEE] 2025-11-20 | IEEE Moving
[IEEE] 2025-11-20 | Universal Stabilization for Maximum Entropy Optimization in Reinforcement Learning
[IEEE] 2025-11-20 | Conference Calendar
[IEEE] 2025-11-20 | Impact of Shift-Angle Topologies on the Performance of PCB-Embedded Solenoid Inductors
[IEEE] 2025-11-20 | SFDA-rPPG: Source-Free Domain Adaptive Remote Physiological Measurement with Spatio-Temporal Consistency
[IEEE] 2025-11-20 | Fully Distributed Protocols for Multiagent Systems Subject to Actuator Faults With Intermittent Communication
[IEEE] 2025-11-20 | A Dynamic Frequency Modulation Algorithm based on Deep Reinforcement Learning for FDA-assisted Satellite Covert Communication
[IEEE] 2025-11-20 | Charts-of-Thought: Enhancing LLM Visualization Literacy through Structured Data Extraction
[IEEE] 2025-11-20 | A Multi-Site Ultra-Miniaturized Circularly Polarized Triple-Band MIMO Antenna for High Data-Rate IoMT Applications
[IEEE] 2025-11-20 | The Munich Microfluidics Toolkit: Design Automation and Simulation Tools for Microfluidic Devices
[IEEE] 2025-11-20 | Invited Paper: Toward Secure In-Sensor Intelligence: Threats and Defenses in SNNs
[IEEE] 2025-11-20 | Analysis of HRV Parameters Calculation at Different Sampling Rates of the ECG Signal
[IEEE] 2025-11-20 | Ethical Challenges of Digital Twins in Medicine - Normative Guideline for Glaucoma Management
[IEEE] 2025-11-20 | Magnetic Levitation with Affordable Components: an Education-Oriented SISO System Case Study
[IEEE] 2025-11-20 | Decentralized Educational Certification Platform using Blockchain, Dynamic NFTs, and AI-Based Assessment
[ACM] 2025-11-20 | Runtime Verification and Runtime Enforcement
[IEEE] 2025-11-20 | IEEE SSCS Seoul Chapter Hosts DL Prof. Tetsuya Iizuka [Chapters]
[IEEE] 2025-11-20 | 2025 29th International Conference on System Theory, Control and Computing (ICSTCC)
[IEEE] 2025-11-20 | KEM-22: An Efficient Post-Quantum ML-KEM Hardware Accelerator on 22nm ASIC
[IEEE] 2025-11-20 | SCAWaveNet: A Spatial-Channel Attention-Based Network for Global Significant Wave Height Retrieval
[IEEE] 2025-11-20 | Organizing Committee HotI 2025
[IEEE] 2025-11-20 | Optimizing Data Collection for Bodily Emotion Recognition: A Comparative Study_supp1-3634675.docx
[IEEE] 2025-11-20 | Design of an Intelligent Wireless Channel State Information Sensing System to Prevent Bedsores
[IEEE] 2025-11-20 | An Efficient Wideband Algorithm for Dielectric Objects: PMCHWT Combined with FDM and AWE
[IEEE] 2025-11-20 | Front Cover
[IEEE] 2025-11-20 | Nondimensional Analysis of Particle Behavior in a T-Type Optofluidic Chip_supp2-3628023.avi
[IEEE] 2025-11-20 | TDHF: Task-Driven Hierarchical Image Fusion Under Low-Light Conditions
[IEEE] 2025-11-20 | Mechanical Behavior of the KSTAR Magnets for Long-Pulse Discharges
[ACM] 2025-11-20 | Accounting Professional Judgment: Core Issues of Financial Accounting Intelligent Robots
[IEEE] 2025-11-20 | Confidential LLM Inference: Performance and Cost Across CPU and GPU TEEs
[IEEE] 2025-11-20 | Design and accuracy trade-offs in Computational Statistics
[IEEE] 2025-11-20 | Target Circuit Matching in Large-Scale Netlists Using GNN-Based Region Prediction
[IEEE] 2025-11-20 | BMCFuzz: Hybrid Verification of Processors by Synergistic Integration of Bound Model Checking and Fuzzing
[IEEE] 2025-11-20 | Invited paper - Connecting the D.O.T.S.: Design of fluidic circuit boards for multi-OoC platforms using CAD Tools for Standardization
[IEEE] 2025-11-20 | Building Reasoning LLMs for Hardware Design Generation via Function-Aligned Differentiated Revision
[IEEE] 2025-11-20 | Docking and Molecular Dynamics Study of Silk Fibroin Interactions with Carbon Nanotube
[IEEE] 2025-11-20 | The Role of Neural Network in Classifying Electroencephalography
[IEEE] 2025-11-20 | Seeing Through Designs: Attention-Based Knowledge Transfer for Preference-Guided Microarchitecture Search
[IEEE] 2025-11-20 | Parallel Non-Integer Multiple-Cell-Height Node Remapping
[IEEE] 2025-11-20 | Invited Paper: Security Under the Lens: Vulnerabilities in In-Sensor Computing Systems
[IEEE] 2025-11-20 | SCArmor: Layer-Bit Joint Hardening with a Fast Genetic Optimization for Cost-Efficient and High-Reliable SC-DCNN Circuits
[IEEE] 2025-11-20 | LEAF: Lightweight and Efficient Hardware Accelerator for Signature Verification of FALCON
[IEEE] 2025-11-20 | Noise Suppression in Biomedical Signals Based on Modified Empirical Mode Decomposition
[IEEE] 2025-11-20 | Real-Time Object Avoidance Algorithm Using Computer Vision for the Visually Impaired Through Audio Feedback
[IEEE] 2025-11-20 | An Algorithm for Predicting Sudden Cardiac Death Using Heart Rate Variability Parameters
[IEEE] 2025-11-20 | A Physical Phantom of a Premature Baby for Simulation Studies of Thermophysical Processes in Neonatal Incubators
[IEEE] 2025-11-20 | Invited Paper: Towards Generative AI for Analog and RF IC Design: From Spec to Layout
[IEEE] 2025-11-20 | How Do Errors Impact NN Accuracy on Non-Ideal Analog PIM? Fast Evaluation via an Error-Injected Robustness Metric
[IEEE] 2025-11-20 | (Invited) Generalized GPU-Accelerated Dynamic Programming with Application to Mixed-Cell-Height Detailed Placement
[IEEE] 2025-11-20 | Non-Negative AdderNet: Algorithm-Hardware Co-design for Lightweight Defense of Adversarial Bit-Flip Attacks
[IEEE] 2025-11-20 | Synthesis of Standard Cells of Minimum Delay
[IEEE] 2025-11-20 | MASIM: An Energy-Efficient Multi-Array Scheduler for SIMD Logic-in-Memory Architectures
[IEEE] 2025-11-20 | MAHL: Multi-Agent LLM-Guided Hierarchical Chiplet Design with Adaptive Debugging
[ACM] 2025-11-20 | Enhancing Image Captioning through Bridging Image-Text Gap and Reducing Hallucinations
[IEEE] 2025-11-20 | AI-Based Surrogate Modeling for Closed-Loop Control of Effluent Ammonium Concentration in Wastewater Treatment
[IEEE] 2025-11-20 | MoldSafe: An IoT Solution For Detecting Mold Growth
[IEEE] 2025-11-20 | QQ: Is 2-bit Enough? Exploiting Quantization to Enhance Computation and Memory Efficiency in Quantum Simulation
[IEEE] 2025-11-20 | Mitigating Resource Contention for Responsive On-device Machine Learning Inferences
[IEEE] 2025-11-20 | HybNet: A Deep Learning-Based Backbone Feature Extractor for Breast Cancer Classification From Ultrasound Images
[IEEE] 2025-11-20 | Personalized Control using Fractional Calculus for Patients Experiencing Surgical Stimuli
[IEEE] 2025-11-20 | Author response for "Improving New Zealand’s Vegetation Mapping Using Weakly Supervised Learning"
[IEEE] 2025-11-20 | CLiSent: A Novel Framework for Cross-Lingual Sentiment Analysis and Outlier Opinion Detection Using Transfer Learning
[IEEE] 2025-11-20 | Strategies for Enhancing the Resilience of Distribution Networks through Multi-resource Coordination under Extreme Weather Conditions
[IEEE] 2025-11-20 | IEEE CASS and SSCS Joint Student Branch Chapter at IST [Chapters]
[IEEE] 2025-11-20 | A Single-Frequency Amplitude-Modulated RFID Portable Backscatter Surface Scanner for Near-Field Permittivity Imaging
[IEEE] 2025-11-20 | A Novel Transposition Framework for Consumers to Enhance Energy Harvesting in PV System Under Heterogeneous Irradiation Conditions
[IEEE] 2025-11-20 | Defocus-Resistant Computational Imaging With Wavefront-Coding Metalens
[IEEE] 2025-11-20 | MiKA-HAD: Minority-Augmented KAN-Based Hybrid Self-Supervised Framework for Hyperspectral Anomaly Detection
[IEEE] 2025-11-20 | Bispectral Analysis for Subsurface Defect Detection Using a Differential-Excitation PECT Probe
[IEEE] 2025-11-20 | From Single Faults to System Level Compound Faults: Train Bogie System Fault Diagnosis with Multi Mode l Fusion
[IEEE] 2025-11-20 | A Method to Detect Buffer Traps by the Hysteresis Window of p-GaN HEMTs
[IEEE] 2025-11-20 | ICCAD 2025 TOC
[IEEE] 2025-11-20 | Impact-Aware Dual-Arm Manipulation: A Framework for Fast Package Handling
[IEEE] 2025-11-20 | ICCAD 2025 Cover Page
[IEEE] 2025-11-20 | OrthoHueHashChain: Distortion-Aware Hybrid Video Similarity with On-Chain Provenance
[IEEE] 2025-11-20 | CCTS: A Cross-Chain Collaborative Data Transfer Channel based on Asynchronous Confirmation Transaction Stacks
[IEEE] 2025-11-20 | Transformer-Based Phase Space Graph Convolutional Network for Modulation Recognition
[IEEE] 2025-11-20 | TripleMixer: A Triple-Domain Mixing Model for Point Cloud Denoising under Adverse Weather
[IEEE] 2025-11-20 | Section 5: Innovation Management and Quality Assurance in Healthcare
[ACM] 2025-11-20 | Synthetic Dataset and Enhanced YOLOv11 for Robust Financial Document Layout Analysis
[ACM] 2025-11-20 | Voronoi Rooms: Dynamic Visibility Modulation of Overlapping Spaces for Telepresence
[IEEE] 2025-11-20 | An Offset-free Data-enabled Predictive Control Approach to Closed-loop Glucose Management for Subjects with Type 1 Diabetes
[IEEE] 2025-11-20 | Proceedings
[IEEE] 2025-11-20 | Program Committee
[IEEE] 2025-11-20 | Train Positioning Method Based on Calibrated UWB Ranging Model in Tunnel Environment
[IEEE] 2025-11-20 | Fully-Covered Adversarial Camouflage against Remote Sensing Detection via Physics-Driven Rendering and Pyramid Training
[IEEE] 2025-11-20 | Probing the Visualization Literacy of Vision Language Models: the Good, the Bad, and the Ugly_supp2-3634791.pdf
[IEEE] 2025-11-20 | Circuits Without Borders: How IEEE SSCS Germany Is Powering Innovation [Chapters]
[IEEE] 2025-11-20 | A Neurostimulator for Deep Brain Stimulation with Wide Load Current and Impedance Adaptation Capability
[ACM] 2025-11-20 | Basketball Video Analysis Based on YOLO and Transformer Framework
[ACM] 2025-11-20 | Formal Verification of a Pacemaker
[IEEE] 2025-11-20 | Contribution-Aware Incentive Mechanism for Clustered Federated Learning: A Stackelberg Game Approach
[IEEE] 2025-11-20 | A High-Precision Joint Amplitude-Phase Extraction Method for GAFDEM Signals Based on Frequency-Domain Masking and Hilbert Transform
[IEEE] 2025-11-20 | bittide: Control Time, Not Flows
[IEEE] 2025-11-20 | Time-Domain Versus Voltage-Domain Data Conversion: Principles, opportunities, and challenges
[IEEE] 2025-11-20 | Silicon Photonic Accelerated Memory Pooling for Efficient Compute Resource Allocation
[IEEE] 2025-11-20 | 3D-MoE: Accelerating Multi-Expert Activated LLMs on 3D In/Near-Memory Computing Architecture via Hybrid Parallelism
[IEEE] 2025-11-20 | MiCo: End-to-End Mixed Precision Neural Network Co-Exploration Framework for Edge AI
[IEEE] 2025-11-20 | Hummingbird: A Smaller and Faster Large Language Model Accelerator on Embedded FPGA
[IEEE] 2025-11-20 | DIVE: Dynamic Information-Guided Variable Expansion for Deeper Analog Circuit Optimization
[IEEE] 2025-11-20 | DeepCell: Self-Supervised Multiview Fusion for Circuit Representation Learning
[IEEE] 2025-11-20 | LaZagna: An Open-Source Framework for Flexible 3D FPGA Architectural Exploration
[IEEE] 2025-11-20 | Augmented Co-Simulation for Fast Functional and System-Level Verification of HLS Accelerators
[IEEE] 2025-11-20 | Transferable Parasitic Estimation via Graph Contrastive Learning and Label Rebalancing in AMS Circuits
[IEEE] 2025-11-20 | Ultrafast Density Gradient Accumulation in 3D Analytical Placement with Divergence Theorem
[IEEE] 2025-11-20 | Correlation and Accuracy Study on a Large Defect Detection Dataset
[IEEE] 2025-11-20 | Voltage-Mode Control of Boost Converter With Zero Steady-State Error: A Predictive Solution
[IEEE] 2025-11-20 | Utilizing Barrier Phases in Set-Based Transient Power Grid Stability Analysis
[IEEE] 2025-11-20 | Evaluation of Non-Alcoholic Fatty Liver Disease from Ultrasound Images Based on Deep Learning
[IEEE] 2025-11-20 | Algorithmic Methods for Realistic Synthetic Neuronal Dendrite Surface Generation
[IEEE] 2025-11-20 | Numerical Simulation of High-frequency Current Flow Processes in Dental Tissues Affected by Caries
[IEEE] 2025-11-20 | Development of Electrical Impedance Caliperometry Methods for Assessing Skin-Fat Layer Properties
[IEEE] 2025-11-20 | FlexTEE: Dynamically Enhancing Metadata Locality Through Affine Address Transformation for Heterogeneous &amp; Secure AI Platforms
[IEEE] 2025-11-20 | Tasa: Thermal-aware 3D-Stacked Architecture Design with Bandwidth Sharing for LLM Inference
[IEEE] 2025-11-20 | Database Structure for Studying Foci of Contamination by Protective Devices
[IEEE] 2025-11-20 | ICSTCC 2025 Committees
[IEEE] 2025-11-20 | Sponsors: HotI 2025
[IEEE] 2025-11-20 | A Comprehensive Review of Wireless Power Transfer Techniques for Electric Vehicle Charging
[IEEE] 2025-11-20 | Multivariate Multifractal Spectrum Based on Detrended Fluctuation Analysis for Multivariate Short Non-stationary Time Series
[IEEE] 2025-11-20 | Privacy-Preserving Residential Short-Term Load Forecasting with Missing Data Tolerance
[IEEE] 2025-11-20 | Collaborating across Domains and Roles: an Interview Study of Visualization Design Practices
[IEEE] 2025-11-20 | Age-Critical Joint Communication and Computation Offloading for Satellite-Integrated Internet
[IEEE] 2025-11-20 | Advancing Data Governance: A Comprehensive Process Capability Model and Case Validation_supp1-3634688.docx
[IEEE] 2025-11-20 | A Comprehensive Review on Recent Advances in Insulation Materials and Pressboard Technologies for Power Transformers
[IEEE] 2025-11-20 | RAIN4C: A Multi-Layer Framework Integrating Satellite and Aerial Networks for Reliable Communications in Emergency Scenarios
[IEEE] 2025-11-20 | Vehicle state-based control for modern automotive platforms: bridging research and industrial applications
[IEEE] 2025-11-20 | From Concept to Practice: an Automated LLM-aided UVM Machine for RTL Verification
[ACM] 2025-11-20 | Research on the application of asset pricing models in the cryptocurrency market
[ACM] 2025-11-20 | Deep Learning-Based Financial Risk Prediction: A Hybrid Approach
[IEEE] 2025-11-20 | A Machine Learning Solution for Humanoid Robot Control Leveraging Multi-Objective Optimization
[IEEE] 2025-11-20 | Novel Convolutional Neural Network Architecture for Mental Disorder Classification
[IEEE] 2025-11-20 | Reinforcement Learning Control for a Two Rotor Aerodynamic System
[IEEE] 2025-11-20 | Digital Product Passport Data Transfer via Dataspace Connector: Technical Implementation and Analysis
[IEEE] 2025-11-20 | LambdaGo: A Functional Extension of the Go Programming Language
[IEEE] 2025-11-20 | ScanNow: A Scan Window-Based Sparse Matrix Multiplication Accelerator Design
[IEEE] 2025-11-20 | SAGE: Saliency-Aware Grouping for Efficient Mapping of LLMs on Analog Compute-in-Memory
[IEEE] 2025-11-20 | (Invited Paper) AnaFlow: Agentic LLM-based Workflow for Reasoning-Driven Explainable and Sample-Efficient Analog Circuit Sizing
[IEEE] 2025-11-20 | Design of Machine Learning Accelerators as RISC-V Extensions using an Open Source Tool Flow
[IEEE] 2025-11-20 | RTPU: Unifying Non-Private and Private Inference with Reconfigurable Architecture
[IEEE] 2025-11-20 | MIRAGE: Microarchitectural Footprints for Detecting Adversarial Attacks in One-Shot Inference
[IEEE] 2025-11-20 | Invited Paper: CMOS 2.0 - Redefining the Future of Scaling
[IEEE] 2025-11-20 | NUA-Timer: Pre-Synthesis Timing Prediction Under Non-Uniform Input Arrival Times
[IEEE] 2025-11-20 | Invited Paper: Mindful AI for Pervasive Health and Wellbeing (PHW)
[IEEE] 2025-11-20 | Micro-LED Data Interconnect for Scale-Up Networks with Record Energy Efficiency
[IEEE] 2025-11-20 | Hybrid Physics-Guided Data-Driven Estimation of Wave-Induced Doppler Shifts for SAR Ocean Surface Current Retrieval
[IEEE] 2025-11-20 | Maintaining Predictable QoS for Online Service Provisioning in Non-Terrestrial Networks via Safe Transfer Learning
[ACM] 2025-11-20 | Gathering Requirements for Stress Management in Autistic Adults for the Development of Augmented Reality Self-Interventions
[IEEE] 2025-11-20 | Integrating ChatGPT in an Educational Platform to Provide Learning Support and Promote Critical Thinking
[IEEE] 2025-11-20 | Development of a Software Algorithm for Processing and Analysis of Video Photoplethysmogram Signals
[IEEE] 2025-11-20 | Module for Automated Assessment of Visual Function Safety in the Diagnosis of Multiple Sclerosis
[IEEE] 2025-11-20 | Possibilities of Recording Peripheral Blood Flow and Oxidative Metabolism of Biological Tissues under the Orthostatic Effects during Cosmonaut Training
[IEEE] 2025-11-20 | Blockchains: An overview of the technology, circuit primitives, and future opportunities
[IEEE] 2025-11-20 | Toward Spectrally Efficient and Physically Reconfigurable Architectures for Multibeam-Waveform Co-Design in Joint Communication and Sensing: Circuit and system tradeoffs for time-, frequency-, code-, and direct-RF array processing in JCAS/ISAC
[IEEE] 2025-11-20 | GS2Poly: Textured Polygonal Building Reconstruction Guided by Gaussian Opacity Fields
[IEEE] 2025-11-20 | ConvGA: Convolution Network Guided Genetic Algorithm for Optimal PDN Decoupling Design
[IEEE] 2025-11-20 | Sensorless Control for Dual Three-Phase PMSM Based on Anti-Windup Controller and Gain-Adaptive Super-Twisting Sliding Mode Observer
[IEEE] 2025-11-20 | Graph Neural Network Compression via Cross-Modal Distillation for On-Device mmWave Human Activity Recognition
[IEEE] 2025-11-20 | A Stable Model Reference Adaptive Controller Developed for a Prosthetic Hand Wrist
[IEEE] 2025-11-20 | CEDA Currents [IEEE News]
[IEEE] 2025-11-20 | Self-Calibrating Recombination-Type Fiber-Optic Vibration Sensor Based on FBG and F–P Cavity Integrated Structure for Extreme Environments
[IEEE] 2025-11-20 | Amplitude–Phase Spectral Attention with Self-Calibrating Spatial–Frequency Fusion for Robust Remote Sensing Change Detection
[IEEE] 2025-11-20 | iDRKAN: Interpretable miRNA-Disease Association Prediction Based on Dual-Graph Representation Learning and Kolmogorov–Arnold Network_supp1-3634550.docx
[IEEE] 2025-11-20 | Development of a Positioning System for a Portable CNC Milling Robot in Woodworking Applications
[IEEE] 2025-11-20 | RC Delay-Based Gate Voltage Modulation in Hybrid 1T-1R Memory Device for Precise Multi-Level Control
[IEEE] 2025-11-20 | Decision letter for "Improving New Zealand’s Vegetation Mapping Using Weakly Supervised Learning"
[IEEE] 2025-11-20 | Decision letter for "Improving New Zealand’s Vegetation Mapping Using Weakly Supervised Learning"
[IEEE] 2025-11-20 | ICSTCC 2025 Welcome
[IEEE] 2025-11-20 | ExactMap: Enhancing Delay Optimization in Parallel ASIC Technology Mapping
[IEEE] 2025-11-20 | ApproxGNN: A Pretrained GNN for Parameter Prediction in Design Space Exploration for Approximate Computing
[IEEE] 2025-11-20 | Efficient Beamforming Refinement for Limited Feedback FDD Massive MIMO: An Online Alternating Exploration-Estimation Approach
[IEEE] 2025-11-20 | LP-Spec: Leveraging LPDDR PIM for Efficient LLM Mobile Speculative Inference with Architecture-Dataflow Co-Optimization
[IEEE] 2025-11-20 | BARQ: Boundary-Aware Regularized Training for Accurate Inference on Computing-in-Memory Accelerators with Low-Precision A/D Conversion
[IEEE] 2025-11-20 | Educational Tool for Simplifying Block Diagrams in MATLAB Simulink
[IEEE] 2025-11-20 | Sampling Representation of CT Images by the Receptive Field Occupation Number Model
[IEEE] 2025-11-20 | A Geometry-Material Aware Point Cloud Transformer for Large-scale Unstructured Thermal Analysis in 2.5D ICs
[IEEE] 2025-11-20 | Designing with Deception: ML- and Covert Gate-Enhanced Camouflaging to Thwart IC Reverse Engineering
[IEEE] 2025-11-20 | Active Feedback Amps [Shop Talk: What You Didn’t Learn in School]
[IEEE] 2025-11-20 | Differentiable Physical Optimization
[IEEE] 2025-11-20 | Real-Time Fatigue and Attention Assessment Via Eye Tracking
[IEEE] 2025-11-20 | Ball-Plate Control System Design and Implementation for Educational Purposes
[IEEE] 2025-11-20 | CNN-Based Early Fusion with Intensity Features for Road Surface Classification
[IEEE] 2025-11-20 | Novel Phase Error Estimation Methods for Azimuth Multichannel SAR Based on Weighted Subspace Fitting
[IEEE] 2025-11-20 | How Much Can Backhaul Empty Electric Trucks Reduce Charging Wait Times for Private Electric Cars During Intercity Travels?
[IEEE] 2025-11-20 | Compression and Computing Strategy Optimization in Remote Sensing Satellite Systems
[IEEE] 2025-11-20 | A LCC-Series Compensation Network Optimization for Dipole Couplers in Autonomous Underwater Vehicles
[IEEE] 2025-11-20 | From Shrinking to Reinventing: How the IEEE Nanotechnology Council Is Shaping the Future [IEEE News]
[IEEE] 2025-11-20 | Integrating Recurrent-KAN with SAM Adapter for Blind Hyperspectral Unmixing
[IEEE] 2025-11-20 | Thermal Fault Diagnosis for Lithium-ion Batteries Based on Spatiotemporal Temperature Gradient
[IEEE] 2025-11-20 | IssueCourier: Multi-Relational Heterogeneous Temporal Graph Neural Network for Open-Source Issue Assignment
[IEEE] 2025-11-20 | DHIG: A Dynamic Hypergraph and Informer-GRU Framework for Flotation Grade Prediction in Industrial Processes
[IEEE] 2025-11-20 | Write, Rank, or Rate: Comparing Methods for Studying Visualization Affordances
[IEEE] 2025-11-20 | Adaptive Suppression of Subsynchronous Oscillations in VSG-DFIG Systems Using Hamiltonian Model-Based Approach
[IEEE] 2025-11-20 | TrialCompass: Visual Analytics for Enhancing the Eligibility Criteria Design of Clinical Trials
[IEEE] 2025-11-20 | Particle-in-Cell Simulation of an S-Band Dual-Magnetron Cooperative Phase-Locking System With Discrete Phase Transition Characteristics
[IEEE] 2025-11-20 | Message from General Chairs
[IEEE] 2025-11-20 | Continuous On-Chip Learning in Neural Networks using SOT-MRAM based CIM Architectures
[IEEE] 2025-11-20 | A Complete Modeling Methodology for Full-chip Parasitic Extraction
[IEEE] 2025-11-20 | G-Contour: GPU Accelerated Contour Tracing For Large-Scale Layouts
[IEEE] 2025-11-20 | Unveiling the Mask: Trusted Semiconductor Manufacturing through Wafer-Level Mask-Set Attestation
[IEEE] 2025-11-20 | TETRIS: On-Device Trainable Energy-Efficient FPGA Accelerator for Trustworthy and Real-Time Instance Segmentation
[IEEE] 2025-11-20 | Quantitative Cost Model and Cost Optimization Methods for Multi-Technology-Node Architecture
[IEEE] 2025-11-20 | HLSTester: Efficient Testing of Behavioral Discrepancies with LLMs for High-Level Synthesis
[IEEE] 2025-11-20 | Clay: High-level ASIP Framework for Flexible Microarchitecture-Aware Instruction Customization
[IEEE] 2025-11-20 | Underbrake Fault Detection in Automotive Systems using Advanced Neural Network Architectures
[IEEE] 2025-11-20 | Prompt, Fab, Flex: Agentic LLMs for Flexible Electronics Design
[IEEE] 2025-11-20 | Comparative study of classical coverage methods applied to trapezoidal environments
[IEEE] 2025-11-20 | Experimental Evaluation of an Overactuated Quadrotor TiltRotor Using a Didactic Gyroscopic Testbench
[IEEE] 2025-11-20 | Fuzzy Models for Assessing the Protective Functions of the Body Based on Its Antioxidant Status for Medical Expert Systems
[IEEE] 2025-11-20 | Processing of Images of Radiocontrast Coronary Angiography Using the Dual Spectral Scanning Method
[IEEE] 2025-11-20 | A hardware and Software Complex for Automated Analysis of the Functional State of Feet Based on Computer Plantograms
[IEEE] 2025-11-20 | Comparison of Neural Network and Hybrid Approaches in Analyzing Spine Radiographs of Osteoporosis Diagnosis
[IEEE] 2025-11-20 | Method for Real Time and Continuous Assessment of Arterial Stiffness
[ACM] 2025-11-20 | Preface
[ACM] 2025-11-20 | Lab—Application Programming with the Altera HAL
[IEEE] 2025-11-20 | Robust Image-Based Visual Servoing for Redundant Robots With Unknown Structure
[IEEE] 2025-11-20 | Improvement of Spiking Neural Network With Bit Planes And Color Models
[IEEE] 2025-11-20 | Self-Wearing Adaptive Garments via Soft Robotic Unfurling_supp1-3634909.mp4
[IEEE] 2025-11-20 | SIT-LMPC: Safe Information-Theoretic Learning Model Predictive Control for Iterative Tasks_supp1-3634881.mp4
[IEEE] 2025-11-20 | Lyapunov-based Control Barrier Functions for Real-Time Safe Navigation in Three-dimension Complex Environments_supp1-3634911.mp4
[IEEE] 2025-11-20 | JTBot: A Flexible-Rigid Junction Tensegrity Robot for Unstructured Pipeline Inspection
[IEEE] 2025-11-20 | SceneCluster: Interactive Scene Synthesis by Clustering Groups of Furniture Objects_supp1-3634829.mp4
[IEEE] 2025-11-20 | VolMoVis: Real-Time Volume Generation and Motion Visualization with Dynamic Tomographic Reconstruction
[IEEE] 2025-11-20 | Low Excess Noise Al
                    <sub>0.8</sub>
                    In
                    <sub>0.2</sub>
                    As
                    <sub>0.31</sub>
                    Sb
                    <sub>0.69</sub>
                    Avalanche Photodiodes Lattice Matched to InAs
[IEEE] 2025-11-20 | Experimental Studies of an Axially Symmetric Magnetized Cylindrical Capacitively Coupled Plasma Discharge
[IEEE] 2025-11-20 | Beyond Log Scales: toward Cognitively Informed Bar Charts for Orders of Magnitude Values
[IEEE] 2025-11-20 | Hybrid Deep Learning–SDR Sensing Framework for Noninvasive Human Emotion Recognition in Harsh Outdoor Working Environment
[IEEE] 2025-11-20 | Refined Dual-Step Calibration of MEMS Mirrors for Precision High-Resolution Beam Steering
[ACM] 2025-11-20 | Mediating Role of Organizational Resilience: Investigating the Impact of Enterprise Risk Management Practices on Small and Medium Enterprises Performance in Guangdong's Manufacturing Sector
[ACM] 2025-11-20 | Research on Probability Distribution Prediction Model of Commodity Sales based on MCMC and DBN
[IEEE] 2025-11-20 | Invited Paper: Resource Management on Heterogeneous Chiplets Systems
[IEEE] 2025-11-20 | EntoBench: A Benchmark Suite and Evaluation Framework for Insect-Scale Robotics
[IEEE] 2025-11-20 | Invited Paper: Multi-Agent Generative Synthesis for Analog/RF Circuit: from Scalable Topology Generation to Efficient Inverse Design
[IEEE] 2025-11-20 | Snake-3D: Differentiable Learning for Cross-Tier Logic Path Snaking Optimization in 3D ICs
[IEEE] 2025-11-20 | Application of Neural Networks for Differential Diagnosis of Inflammatory Bowel Diseases by Analyzing Endoscopic and Histological Images
[IEEE] 2025-11-20 | Stochastic Model Predictive Control with Direct Feedforward Compensation: Harvesting Idle Resources in High-Performance Computing
[IEEE] 2025-11-20 | Using ATP Bioluminescence and Fast Protein and Metabolites Liquid Chromatography for Determination of Free (Extracellular) Dietary Nucleotides in Ready-to-eat Fish and Meat Food as a Potential Factor Influencing Malignant Tumor Growth
[IEEE] 2025-11-20 | Exploring Gradient Boosting Machine for Parkinson’s Disease Classification Using Accelerometer Data
[IEEE] 2025-11-20 | Ultrasound Interaction with Cortical Bone: A Fully Theoretical Framework
[IEEE] 2025-11-20 | MPC for Pursuit Problem with Unknown Target Dynamics Partially-Identified by Ego-Centric Polar Measurements
[IEEE] 2025-11-20 | e-boost: Boosted E-Graph Extraction with Adaptive Heuristics and Exact Solving
[IEEE] 2025-11-20 | Routing-Aware Placement for Zoned Neutral Atom-based Quantum Computing
[IEEE] 2025-11-20 | Multidisciplinary Bear Deterrent System
[IEEE] 2025-11-20 | Double-Integral Synergetic Control with Integral Backstepping for Robust PMSM Performance
[IEEE] 2025-11-20 | Invited Paper: Hardware-Software Co-Design for Highly Optimized, Customized, and Reliable AI Systems
[IEEE] 2025-11-20 | Hyper-Redundant Arm Control for Load Grasping
[IEEE] 2025-11-20 | SSCS Partners With EPICS in IEEE to Support Service Learning Projects Impacting Both Students and Communities [Society News]
[IEEE] 2025-11-20 | Physics-Enhanced Neural Network Compact Model for Fast and Flexible Transistor Modeling
[IEEE] 2025-11-20 | Two-Stage Temporal and Correlation Analysis: Enhancing Battery Health and Life Prediction with MINE-Graph-Mamba
[IEEE] 2025-11-20 | AdaptGeo: Parameter-Efficient Cross-View Geo-Localization via Frozen Foundation Model and Transformer Adapter
[IEEE] 2025-11-20 | Visual Reinforcement Learning with Multi-Objective Representation Alignment
[IEEE] 2025-11-20 | A Short-Circuit-Avoiding SVPWM Algorithm for Transformerless Back-to-Back Cascaded H-bridge Converter to Reduce Current THD
[ACM] 2025-11-20 | Research on Personalized Recommendation System for B2C E-commerce Based on Online Consumer Behavior
[ACM] 2025-11-20 | Residual Temporal Coupled Matrix Factorization for Financial Asset Recommendation
[IEEE] 2025-11-20 | Comparative Study of Closed-Loop System Identification Methods for Real-Time Embedded Mechatronic Applications
