[2026-09-16 23:19:54] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-15
正在获取论文...
[arXiv] 2026-09-15 | NeuroTS-Net: Multi-Class Semantic Segmentation of Pediatric Brain Tumors in Multi-Modal MRI
[arXiv] 2026-09-15 | Exact Black Branes in General Dimensions in Higher-Curvature Scalar-Tensor Gravity
[arXiv] 2026-09-15 | A Fully Analytic Expression for the 2PN N-Body Hamiltonian
[arXiv] 2026-09-15 | The chemistry of embrittlement: How hydrogen dwindles cohesion in iron during fracture
[arXiv] 2026-09-15 | FreqSpaNet: Frequency and Spatial Learning of SFPF for Physical Layer Hardware Integrity Detection
[arXiv] 2026-09-15 | Kemeny's constant via matrix compression and eigenvalue interlacing
[arXiv] 2026-09-15 | Bias-Induced Crossover in Absolute Capacity of Dense Associative Memory
[arXiv] 2026-09-15 | JustFit: 200K-Token LLM Serving on a 24 GiB Laptop with Just-in-Time State Management
[arXiv] 2026-09-15 | Convergence in Hölder norms for Markovian approximations of stochastic Volterra equations
[arXiv] 2026-09-15 | Generalized amenability in quantum groups
[arXiv] 2026-09-15 | Whitney fold and cusp for algebraic surfaces, and singularities of discriminants
[arXiv] 2026-09-15 | Relaxed coparking functions and Stanley's conjecture for matroid $h$-vectors
[arXiv] 2026-09-15 | Reduced-Space Multi-Fidelity Bayesian Optimization of Process Simulation Models
[arXiv] 2026-09-15 | Hadwiger's classification theorem on the sphere via signed orthoscheme decompositions
[arXiv] 2026-09-15 | Hamilton-Jacobi Reachability for Hybrid Systems: Unified Goal-Driven Control with Safety Guarantees
[arXiv] 2026-09-15 | Tracking the Unseen: An Occlusion-Robust Framework for Target Tracking Under Full and Long-Term Occlusion
[arXiv] 2026-09-15 | Pseudometric-Weighted Correlation Clustering via Spectral Preclustering
[arXiv] 2026-09-15 | The price of anarchy in the max-distance network creation game is not constant
[arXiv] 2026-09-15 | PrecPack: An Efficient Open-Source Exact Solver for Bin Packing with Generalized Precedence Constraints
[arXiv] 2026-09-15 | Compact Proof of the Positivity of Quasi-Local Masses for a class of Initial Data
[arXiv] 2026-09-15 | Topological Modular Forms Constrain Threshold States in Extremal $\mathcal{N}=1$ AdS$_3$ Gravity
[arXiv] 2026-09-15 | Hybrid Variational Quantum Circuits for Multivariate Regression and High-Dimensional Data Reconstruction
[arXiv] 2026-09-15 | Low-energy brane decoupling in AdS flux vacua
[arXiv] 2026-09-15 | Fixed Point Theorems in Quaternionic Geometry
[arXiv] 2026-09-15 | Type-IV Code Clone Detection via Layer-Wise Non-Contrastive Representation Learning
[arXiv] 2026-09-15 | Self-Emergence Agent Architecture:Behavior-Inertia HMM, Reflexive Metacognition,and Social-Contrastive Self-Modeling
[arXiv] 2026-09-15 | Small degree isogenies between conjugate principally polarized superspecial abelian surfaces
[arXiv] 2026-09-15 | From Transient Prompts to Persistent Control: Scientific Poster Generation via Recursive Semantic-Geometric Contracts
[arXiv] 2026-09-15 | Can We Stop The Ads? Taxonomy and Characterization of Smartphone Splash Ads and Existing Countermeasures
[arXiv] 2026-09-15 | Zero-shot narrative detection in social messaging
[arXiv] 2026-09-15 | Generalised quantum Stein's lemma more robust than ever
[arXiv] 2026-09-15 | When AI Becomes Hard to Understand: Cognitive Demands in Real-World Human-AI Conversations
[arXiv] 2026-09-15 | Conformal Policy Learning with Distribution-Free Safety Guarantees
[arXiv] 2026-09-15 | ConteXtuAlity: an open source Python package for contextuality
[arXiv] 2026-09-15 | Extracting ontology-compliant knowledge from scientific text describing irradiated materials using large language models
[arXiv] 2026-09-15 | Semiparametric Efficient Inference under Non-Informative Complex Survey Designs
[arXiv] 2026-09-15 | On complemented subspaces of $L_1[0,1]$
[arXiv] 2026-09-15 | A fast radio burst from a non-targeted low-frequency survey
[arXiv] 2026-09-15 | After the Party: Governing What a Viral Agent-Skill Ecosystem Left Behind
[arXiv] 2026-09-15 | Characterising mortality dynamics across countries and time using a multi-stage clustering approach
[arXiv] 2026-09-15 | Calibrate Once, Fly Any Team: Residual-Grounded Low-Fidelity Training for Cooperative Drone Swarms
[arXiv] 2026-09-15 | CAD-Based Relation Learning and Geometric-Symbolic Planning for Robotic Assembly
[arXiv] 2026-09-15 | The anisotropic Calderón problem: rigidity near the Euclidean metric
[arXiv] 2026-09-15 | High-energy QCD phenomenology with next-to-leading order BFKL eigenfunctions
[arXiv] 2026-09-15 | An Exemplar of a Digital Twin in Mechanical Engineering: Understanding Model Hybridization
[arXiv] 2026-09-15 | Gopakumar-Vafa invariants and Macdonald formula II
[arXiv] 2026-09-15 | Trajectory CPHD Filtering for Multiple Turning Vehicles With Decoupled Orientation and Axial-Scale Estimation
[arXiv] 2026-09-15 | ECHO: Early-layer Collaborative Hierarchical Orchestration with Bonus Logits in Speculative Decoding
[arXiv] 2026-09-15 | Covariate Selection for Doubly Robust Double/debiased Machine Learning Estimators for Causal Inference
[arXiv] 2026-09-15 | Self-Distilled Pronunciation and Accent Control for Neural Text-to-Speech
[arXiv] 2026-09-15 | Easy to Catch a Liar, Hard to Clear an Honest One: Language Models Diagnosing a Corrupted Reward Channel from a Verified Record
[arXiv] 2026-09-15 | InfoTaxa: Information-Calibrated Label-Free Clustering for Fine-Grained Visual Taxonomy
[arXiv] 2026-09-15 | FluxVLA Engine: A One-Stop VLA Engineering Platform for Embodied Intelligence
[arXiv] 2026-09-15 | Pushing the Dose Limit of Atomic-Resolution Imaging: A 4D-STEM case study of NaCl
[arXiv] 2026-09-15 | Mapping AI Economic Complexity
[arXiv] 2026-09-15 | EventEgoHands++: Event-based Egocentric 3D Hand Mesh Reconstruction with Real Dataset
[arXiv] 2026-09-15 | Error Bounds for Boundary-Stopped Positive Cubature Schemes for Hamilton--Jacobi--Bellman Equations
[arXiv] 2026-09-15 | LoopSpec: Pipelined Self-Speculative Decoding for Looped Transformers
[arXiv] 2026-09-15 | Multimodal Cultural Heritage Architectural Style Classification for Residential Buildings in the UAE Based on CLIP Embeddings and SVM
[arXiv] 2026-09-15 | MOCC-R1: Reinforcing Reasoning-Response Consistency for Multimodal Counselor Response Generation
[arXiv] 2026-09-15 | Finite Borel asymptotic dimension of bounded-to-one commutative monoid actions
[arXiv] 2026-09-15 | Proper classes of non-embeddable continua
[arXiv] 2026-09-15 | Forbidden Subspaces in Quantum State Smoothing
[arXiv] 2026-09-15 | Fingers as Legs: Learning Self-Supported Locomotion and Manipulation with an Anthropomorphic Hand
[arXiv] 2026-09-15 | Floquet Theory and Average Hamiltonian Theory Revisited: Equivalence, Convergence and Applications to NMR
[arXiv] 2026-09-15 | On Strong Bi-Lipschitz Triviality of Deformations
[arXiv] 2026-09-15 | Classical Communication Protocol based on Joint Classical-Quantum Coding
[arXiv] 2026-09-15 | Nilpotent Jacobian maps in dimension three and stable tameness in block extensions
[arXiv] 2026-09-15 | Affect-Prototype Guided Fusion for Open-Vocabulary Incomplete Multi-modal Emotion Recognition
[arXiv] 2026-09-15 | A general decay form and absolute nuclear stability
[arXiv] 2026-09-15 | Dark Matter Inelastic Scattering with Nuclei for Direct Detection
[arXiv] 2026-09-15 | What Breaks Under Pruning in Smart Homes, and When? Evaluating LLM Degradation Across Architectures and Task Complexity
[arXiv] 2026-09-15 | Exceptional Topology Survives Strong Hermitian Fields in Radiative Atomic Arrays
[arXiv] 2026-09-15 | FlashVector: Agent for Hierarchical Model Serving Stack Optimization
[arXiv] 2026-09-15 | A tensor square theorem for characters of $\operatorname{GL}_{n}(q)$
[arXiv] 2026-09-15 | ResLRP: The Role of Residual Cancellation in Attribution Instability in Vision Transformers
[arXiv] 2026-09-15 | Two-qubit gates for the soft 0-π qubit
[arXiv] 2026-09-15 | One-Step Generative CSI Prediction
[arXiv] 2026-09-15 | Stable by Construction: Variational Latent Markov Operators for Long-Horizon PDE Prediction
[arXiv] 2026-09-15 | Implementation of a 300 kA Pulsed Power Supply
[arXiv] 2026-09-15 | Mixed local-nonlocal eigenvalue problems in the Heisenberg group: spectral theory and singular multiplicity
[arXiv] 2026-09-15 | LOTUSim-Energy: A Maritime Simulator for Human-Drone Interaction in Autonomous Offshore Operation \&amp; Maintenance
[arXiv] 2026-09-15 | AI for Science with GPT-6 Astra: Thermal Design and Electrothermal Analysis of 2D CFET
[arXiv] 2026-09-15 | Taking dimuon production in DIS to NNLO precision
[arXiv] 2026-09-15 | An Empirical Study of Counterfactual Self-Explanations in LLMs
[arXiv] 2026-09-15 | Alpha-Core Breakup in the Strong Decay of \({}_{ΛΛ}^{6}\mathrm{He}\) to a Deeply Bound \(H\) Dibaryon
[arXiv] 2026-09-15 | Fejér-Rogosinski theorem for the Neil algebra
[arXiv] 2026-09-15 | The forced colouring function of a graph
[arXiv] 2026-09-15 | Symbolic Separation: Grounding Deep Agents in Knowledge Graphs for Trustworthy Operational Data Analytics
[arXiv] 2026-09-15 | Probabilistic Error Cancellation for Single-Mode Gottesman-Kitaev-Preskill Codes
[arXiv] 2026-09-15 | Interactive Memory Learning for Long-Term Conversations
[arXiv] 2026-09-15 | Conformal structures and rigidity of complete stable minimal hypersurfaces
[arXiv] 2026-09-15 | Sample-Conditioned Representation Selection for Audio Few-Shot Learning
[arXiv] 2026-09-15 | Byzantine Reliable Broadcast with Causal Ordering
[arXiv] 2026-09-15 | Toland duality and particle approximations for signed Wasserstein barycenters
[arXiv] 2026-09-15 | Bio-Inspired Palette Evolution in Indirectly Encoded Substrates: Timescale Compatibility Shapes Activation Function Discovery
[arXiv] 2026-09-15 | Beyond "ChatGPT Can Make Mistakes": Designing Interventions to Support Metacognitive Monitoring in AI-Assisted Work
[arXiv] 2026-09-15 | Repurposing Unified Topological Signatures for Graph Representation Learning
[arXiv] 2026-09-15 | Modular functoriality for finite groups
[arXiv] 2026-09-15 | Budgeted Express-Mesh: Traffic-Aware Link Placement and Deadlock-Free Adaptive Routing
[arXiv] 2026-09-15 | On Cowling's $L^p$-integrability conjecture for Kunze--Stein groups
[arXiv] 2026-09-15 | Near-Optimal Nonconvex Matrix Completion
[arXiv] 2026-09-15 | Trajectory Statistics Govern Mechanical Power Transfer in Active Baths
[arXiv] 2026-09-15 | Block-count constrained harmonic sums: spectral expansion and block-directed Euler-Maclaurin
[arXiv] 2026-09-15 | Constant sized support state distillation with qubit recycling
[arXiv] 2026-09-15 | BeWater: Effective Protesters Navigate Watersheds in Street Networks
[arXiv] 2026-09-15 | Around the water snowline: I. Effects of dynamical and chemical interplay on mid-infrared water spectra of protoplanetary discs
[arXiv] 2026-09-15 | Symmetry-Aware Likelihood-Orbit Aggregation for Selective Left-Right Claim Verification
[arXiv] 2026-09-15 | From Consensus-Based Optimization to Particle Swarm Optimization: Convergence Guarantees under Drift-Diffusion Coupling
[arXiv] 2026-09-15 | Overcoming technical adoption barriers for mobile service robots in rehabilitation
[arXiv] 2026-09-15 | Limiting shape of alternating sign matrices
[arXiv] 2026-09-15 | Autoformalizing Argumentative Material Inferences
[arXiv] 2026-09-15 | Design and Simulation Study of the Hadronic Calorimeter for the EicC Zero Degree Calorimeter
[arXiv] 2026-09-15 | Pushing HST to the limit: Detection completeness and morphology robustness of faint galaxies in the EGS field
[arXiv] 2026-09-15 | Structural Negative Transfer in Federated Graph Neural Networks: Diagnosis, Causal Investigation, and the Limits of Divergence-Aware Mitigation
[arXiv] 2026-09-15 | The UV-to-FIR environments of nearby Type Ia supernovae with the DustPedia Galaxy Catalogue -- I. Local versus global host properties
[arXiv] 2026-09-15 | Synchronization of PLC Subsystems with the Timing Distribution System at the European XFEL
[arXiv] 2026-09-15 | Outage Analysis of RSMA-Enabled Terrestrial Users Under Co-Channel Interference from HAPS
[arXiv] 2026-09-15 | Quark fracture function at small $x$ from the Color Glass Condensate
[arXiv] 2026-09-15 | AeroLat: Channel-Aware Latent Space Semantic Communication for Decentralized UAV Swarms
[arXiv] 2026-09-15 | High-Fidelity Video Quality Assessment with VQA-Specific Saliency
[arXiv] 2026-09-15 | Repurposing Deep Limit Order Book Forecasting for Scenario-Conditioned Market Impact Modeling
[arXiv] 2026-09-15 | Cybersecurity in Power Grids: Standards and Research Challenges
[arXiv] 2026-09-15 | Verbalizing Subliminal Learning Effects Using Text Optimization
[arXiv] 2026-09-15 | Evaluating Mesh Reconstruction Methods for Crop Phenotyping
[arXiv] 2026-09-15 | High-Multiplicity Bin Packing is FPT
[arXiv] 2026-09-15 | NeuroSymbEAD: A Large Scale Neuro-Symbolic Caption Dataset for Omni-Directional Embodied Autonomous Driving
[arXiv] 2026-09-15 | Improved Regular Expression Matching with Simple Backreferences
[arXiv] 2026-09-15 | An Efficient Symbolic Algorithm for Computing Lyapunov Constants in Planar Switching Systems
[arXiv] 2026-09-15 | Portable Vector NV-Diamond Magnetometer for Shot-Noise-Limited, Drift-Free Operation in Unshielded Environments
[arXiv] 2026-09-15 | RiskChainBench: A Benchmark for Obfuscated Platform Message Restoration and Evidence-Grounded Web Investigation
[arXiv] 2026-09-15 | Breaking Down a Relationship Break-up: Potential Landscape as a Physics-Inspired Dynamical Model of Interpersonal Communication
[arXiv] 2026-09-15 | Gravitational lensing of gravitational waves by galaxy clusters
[arXiv] 2026-09-15 | Cascade: Hierarchical Recoverability Control for Large Language Model Unlearning
[arXiv] 2026-09-15 | Static output-feedback stabilization is NP-hard
[arXiv] 2026-09-15 | Exploring nucleon spin by Drell-Yan process
[arXiv] 2026-09-15 | Artificial Intelligence-Enabled Space Robot Operations: Technologies, Challenges and Prospects
[arXiv] 2026-09-15 | JewelTry: Mask-Free Scale Aware Jewelry Virtual Try-On
[arXiv] 2026-09-15 | Revisiting nuclear chirality in $^{128}$Cs with relativistic configuration-interaction density functional theory
[arXiv] 2026-09-15 | EgoPathBench: Evaluating Zero-Shot Egocentric Waypoint Decision-Making in Vision-Language Models
[arXiv] 2026-09-15 | ExecuCritic: Calibrated Critic Shaping for Code Generation with Verifiable Rewards
[arXiv] 2026-09-15 | A 420 GOPS/W CGRA with a Configurable MAC and Dynamic Truncation
[arXiv] 2026-09-15 | A Vision-Language Foundation Model for Precise and Comprehensive Brain Tumor Diagnosis from Preoperative Multimodal Data
[arXiv] 2026-09-15 | Nonlinear Photocurrent Spectroscopy and Polarization-Tunable Shift Current in the Layered Semiconductor $\mathrm{CuScP_2S_6}$
[arXiv] 2026-09-15 | Efficient Text-to-Image Generation: An Adaptive Step Schedule Controller for Diffusion Models
[arXiv] 2026-09-15 | Thermodynamic topological classification of magnetically charged slowly rotating Kerr black holes in nonlinear electrodynamics with a cosmological constant
[arXiv] 2026-09-15 | Query-Aware Source-Risk Triage for Retrieval-Augmented Generation
[arXiv] 2026-09-15 | The MAL Simulator: Cyber Operations Simulation based on Attack & Defense Graphs
[arXiv] 2026-09-15 | ReliGRec: Reliability-Oriented LLM-Based Generative Recommendation via User-Risk-Aware Prompt Routing
[arXiv] 2026-09-15 | PunGraph: Retrieval-Enhanced Phonetic-Semantic Graph Reasoning for Pun Understanding
[arXiv] 2026-09-15 | Concurrent daytime and nighttime heatwaves in the late 21st century over the CORDEX-East Asia phase 2 domain using multi-GCM and multi-RCM chains
[arXiv] 2026-09-15 | Partial projected ensembles reveal slow tilt-constrained information spreading
[arXiv] 2026-09-15 | XMPIaaS: Towards Cloud Native MPI via Cooperative Process Migration
[arXiv] 2026-09-15 | Orbital-resolved superexchange and topological magnon bands in MXene Fe$_2$C
[arXiv] 2026-09-15 | Symbolic Ensemble Learning Enables Discovery of Fast Accurate Physics-Based Interatomic Potentials
[arXiv] 2026-09-15 | Competence-Preserving Resume Perturbations Expose Presentation Sensitivity in LLM Screening
[arXiv] 2026-09-15 | UniDex-ViTac: Learning Unified Visuo-Tactile Dexterous Manipulation Policy from Human Video Data
[arXiv] 2026-09-15 | Beyond the Name: Demographic Leakage in De-Identified Résumés and Evaluation Artifacts in LLM Bias Audits
[arXiv] 2026-09-15 | Certified Inference and Training for Deep Equilibrium Networks: A Continuation Framework with Polynomial Complexity Guarantees
[arXiv] 2026-09-15 | Deterministic Ground-State Search in a Spatial Photonic Ising Machine by Phase Retrieval
[arXiv] 2026-09-15 | Closing the gap: A two-site MLC matching study for Varian TrueBeam Linear Accelerators
[arXiv] 2026-09-15 | Extending the Córdoba-Martínez-Zoroa IPM Blow-Up to Uniformly Space-Time Smooth Forcing
[arXiv] 2026-09-15 | HairCS: Reconstructing Strand-Based Hair from Hair Cards
[arXiv] 2026-09-15 | Weak in the Presence of Beauty: Gravitational waves from the mergers of black holes and neutron stars as a messenger
[arXiv] 2026-09-15 | Cyclic Riemannian nilmanifolds are naturally reductive
[arXiv] 2026-09-15 | Stringy Gauge Structures
[arXiv] 2026-09-15 | PCap: Personalized Retrieval-Stage Diversity Capping in Facebook Marketplace
[arXiv] 2026-09-15 | Adaptive Bayesian Partner Selection for Federated Clinical Centers
[arXiv] 2026-09-15 | Enskog kinetic theory in a model of confined granular mixtures. Heat flux and some applications
[arXiv] 2026-09-15 | TecoPrompt: Temporal-Conservative Prompt Learning for Vision-Language Models
[arXiv] 2026-09-15 | A Data-free Universal Prior over Syntactic Structures
[arXiv] 2026-09-15 | CoAdapt: An LLM-based Framework for Adaptive Collaborative Perception in IIoT Robotic Swarms
[arXiv] 2026-09-15 | The Fourth Continuous Bounded Cohomology of the Complex Symplectic Group
[arXiv] 2026-09-15 | On $t$-sumfree sequences
[arXiv] 2026-09-15 | What Breaks Local Watermarks? A Robustness Benchmark for Local Invisible Image Watermarking
[arXiv] 2026-09-15 | Adapting to Decision-Relevant Non-Stationarity in Decentralized Heterogeneous Bandits
[arXiv] 2026-09-15 | Formalization of Landau damping in the Vlasov--Poisson equations in Lean
[arXiv] 2026-09-15 | Smarter by the Moment: Environment-Driven Dynamic Policies for Continual LLM Improvement
[arXiv] 2026-09-15 | The study of AF And. I. Hydrogen abundance constraints and dynamically-consistent wind model of the hot state
[arXiv] 2026-09-15 | Available but Unclaimed: An Empirical Study of Human-AI Synergy
[arXiv] 2026-09-15 | Glueballs: hadrons without quarks
[arXiv] 2026-09-15 | Noise2Noise Revisited: Training Pair Distributions Dominate Loss Choice in Self-Supervised Denoising
[arXiv] 2026-09-15 | Unifying Semantic Priors and High-Frequency Traces: Enhancing V-JEPA with Mixture-of-Experts for Robust Synthetic Image Forensics
[arXiv] 2026-09-15 | Exact Labelled Layer-Order Classification for Period-2 Mountain--Valley Assignments on 2 x 2k Maps
[arXiv] 2026-09-15 | Counterexamples and symmetry for uneven orthogonal mass partitions in the plane
[arXiv] 2026-09-15 | Constant Swap Regret in General-Sum Games via Optimistic Transition Matrices
[arXiv] 2026-09-15 | Prime-power congruences for level-one eigenforms
[arXiv] 2026-09-15 | A Systematic Evaluation of Machine Learning Methods for Fault Detection and Line Identification in Electrical Power Grids
[arXiv] 2026-09-15 | Strongly multiplicative sets, idempotent localizations, and $S$-prime phenomena
[arXiv] 2026-09-15 | Japanese Stroke LLM Evaluation: A Conversational Benchmark for Safe Stroke Care in Japanese Using Large Language Models
[arXiv] 2026-09-15 | Subspaces of $L^1$ spanned by the even and odd levels of the Haar system
[arXiv] 2026-09-15 | The Closer, the Better: Engineering RGB Thermometric Performance in Tb3+, Eu3+-Doped MOFs
[arXiv] 2026-09-15 | When Agents See Differently: Exposing UI Desynchronization Threats in Mobile Agents
[arXiv] 2026-09-15 | Improved Separations between Quantum and Classical Communication Complexity of Total Functions
[arXiv] 2026-09-15 | Distribution of squarefree integers with double congruence conditions
[arXiv] 2026-09-15 | Reconstruction through a coisotropic reduction: the missing momentum on a Poincaré section as a branched covering
[arXiv] 2026-09-15 | Cyclotron-Frequency Stability via Single-Ion Fluorescence in a Penning Trap with a Cryogen-Free Superconducting Magnet
[arXiv] 2026-09-15 | Continuous-Time Machine Learning: A Unified Mathematical Perspective
[arXiv] 2026-09-15 | Point vortex dynamics in quasi-periodic channels: transporting trajectories and ergodic distribution of equilibria
[arXiv] 2026-09-15 | Ambiguity Function Analysis of OFDM Signals With Pilots and Data Payloads
[arXiv] 2026-09-15 | Efficient 3D Whole-Body PET Image Denoising via Conditional Rectified Flow With Optimized Sampling Strategy
[arXiv] 2026-09-15 | Radial Stress and the Innermost Stable Circular Orbit of a Bardeen Black Hole in a Dark Matter Halo: A First-Order Response Criterion
[arXiv] 2026-09-15 | When can a power series be analytically continued?
[arXiv] 2026-09-15 | Anchored Sequential Deliberation
[arXiv] 2026-09-15 | The Local-to-Global AD-k Conjecture is Resolved
[arXiv] 2026-09-15 | Marginal maximum likelihood estimation and asymptotic theory for latent variable models in high dimensions
[arXiv] 2026-09-15 | From Public Evidence to Contractual Outcome: First and Stable Decidability on Kalshi
[arXiv] 2026-09-15 | Arc-analytic functions on locally closed semialgebraic sets
[arXiv] 2026-09-15 | Quantum Simulation of Two-Dimensional Free Dirac Hamiltonian in Multimode Circuit QED
[arXiv] 2026-09-15 | Vanilla Scotogenic Model at the future Muon Collider
[arXiv] 2026-09-15 | Modality-Autoregressive World-Action Models
[arXiv] 2026-09-15 | Coupling spherical p-spin systems
[arXiv] 2026-09-15 | Renormalizing small ball events for branching random walk
[arXiv] 2026-09-15 | An Equivariant Landweber Exact Functor Theorem for Abelian Compact Lie Groups
[arXiv] 2026-09-15 | Higher abelian gauge theory in BV formalism
[arXiv] 2026-09-15 | Molecular Decomposition of the Area Compressibility Modulus of Lipid Membranes
[arXiv] 2026-09-15 | Chern bounds and tangent geometry of polarized Calabi-Yau threefolds
[arXiv] 2026-09-15 | Constraints on the central engine of merger-driven long gamma-ray bursts
[arXiv] 2026-09-15 | Proof of the singularity conjecture for discrete subgroups of $\mathrm{SL}_2(\mathbb{R})$
[arXiv] 2026-09-15 | Stellar Ages of M Dwarf Hosts of Temperate Sub-Neptunes
[arXiv] 2026-09-15 | Computations of Floer Lasagna Modules for Traces of Negative L-Space Knots
[arXiv] 2026-09-15 | ENCP: Episode-Normalized Conformal Prediction for Vision-and-Language Navigation
[arXiv] 2026-09-15 | Antidistinguishability of states in General Probabilistic Theories
[arXiv] 2026-09-15 | Hysteresis and trap emission in dc-biased integrated lithium niobate electro-optic modulators
[arXiv] 2026-09-15 | Bridging the Gap Between Homogeneous and Heterogeneous Asynchronous Optimization Is Surprisingly Difficult
[arXiv] 2026-09-15 | Coupled Calibration and Learning: Mitigating Teacher Bias in LLM Distillation without Target-Domain Reward Feedback
[arXiv] 2026-09-15 | An Extended Chiral Mean-Field Model with Medium-Modified Thermal Mesons for Hot and Dense Hadronic Matter
[arXiv] 2026-09-15 | On Counting Independent Sets in Regular Hypergraphs
[arXiv] 2026-09-15 | An abelian envelope without the quotient property
[arXiv] 2026-09-15 | Improved $L^p$ bounds for the helical maximal function in dimensions $n \geq 5$
[arXiv] 2026-09-15 | Gaussian Processes for Modelling Spatial Fields with Robot Swarms
[arXiv] 2026-09-15 | Tables Decoded: DELTA for Structure, TARQA for Understanding
[arXiv] 2026-09-15 | Finite-Sample Hausdorff Bounds and Hadamard Sensitivity for Regressions with MNAR Covariates
[arXiv] 2026-09-15 | Fast, optimal readout of a tethered optomechanical pressure sensor
[arXiv] 2026-09-15 | ORCA: Occlusion-Aware Refinement and Completion for Novel View Synthesis
[arXiv] 2026-09-15 | Graphlets as structural fingerprints of complex networks
[arXiv] 2026-09-15 | Overlap structure of mixed even $p$-spin models
[arXiv] 2026-09-15 | Quandles associated with group actions
[arXiv] 2026-09-15 | Right Tool, Right Job: Native-Language Evaluation, Tokenizer Sensitivity, and Methodological Findings from a French-Only BabyLM
[arXiv] 2026-09-15 | Learning-Guided Planning in Large Dynamic Action Spaces: Budgeted Tree Search for One-to-Many Mobile Charging
[arXiv] 2026-09-15 | Equivalence of Pseudo- and Approximate Amenability in Banach Algebras
[arXiv] 2026-09-15 | Counting Closures in Spanish Trills: A Multi-Corpus Acoustic Study
[arXiv] 2026-09-15 | SSC-Priors: Exploring Semantic and Visibility Priors to Boost Lidar Semantic Scene Completion
[arXiv] 2026-09-15 | An Integrative Multidimensional Conceptualization of Telework Behavior: A Systematic Review and Grounded Theory Approach
[arXiv] 2026-09-15 | QAC0 Can Prepare Every Logarithmic-Qubit State
[arXiv] 2026-09-15 | On testing the incentive compatibility of single-parameter allocation mechanisms
[arXiv] 2026-09-15 | Residual Fault Adaptation for Dexterous In-Hand Manipulation Under Runtime Joint Faults
[arXiv] 2026-09-15 | Nonlocal intrinsic Harnack estimates
[arXiv] 2026-09-15 | Coding Agents Have Converged: Why the SWE-bench Leaderboard Can No Longer Order Its Top Entries, and What to Measure Instead
[arXiv] 2026-09-15 | Predictable Modelling and Analysis of Software-defined Vehicle Implementations
[arXiv] 2026-09-15 | OPEN-1B: A Fully Auditable Training Run
[arXiv] 2026-09-15 | Subspace methods for min-max problems
[arXiv] 2026-09-15 | Data-Driven Stress Testing of Intermodal Freight Networks Using GAN-Generated Disruption Scenarios
[arXiv] 2026-09-15 | XPACE: Joint World and Action Modeling from Heterogeneous Experience
[arXiv] 2026-09-15 | On the extended Shi arrangement of type $B_{\ell}$
[arXiv] 2026-09-15 | A Vector-Vector-Axial Anomaly in 4D
[arXiv] 2026-09-15 | Bound-State Engineered Quantum Batteries Against Decoherence
[arXiv] 2026-09-15 | A Spatiotemporal Extension of the Neuromorphic DBSCAN Implementation
[arXiv] 2026-09-15 | Multiscale Reconstruction of Multiplex Networks with Higher-Order Interactions
[ACM] 2026-9-15 | Real-Time Aerobics Training Monitoring System Based on a Lightweight CNN Algorithm and Motion Data
[ACM] 2026-9-15 | Study on the Assessment of Geohazard Susceptibility in Baoting Using Machine Learning Methods
[ACM] 2026-9-15 | Design and Implementation of a Multi-Source Data Fusion and Federated Learning-Based Precision Financial Aid Decision Support System for Universities
[ACM] 2026-9-15 | The Current State and Future Prospects of Research on Digitalization of Education Based on CiteSpace Visualisation Analysis
[ACM] 2026-9-15 | Interface Design of Cognitive Training System Based on Age-Friendly Design Principles: A Case Study of “Nostalgic Time”
[ACM] 2026-9-15 | A Deep Learning-Based Method for Precise 3D Capture of Dance Movements
[ACM] 2026-9-15 | Research on Collaborative Vehicle-Drone Delivery Path Optimization for Urban Pharmaceutical Logistics
[ACM] 2026-9-15 | Research on Skeleton Extraction of Real Traffic Network Based on Network Structure Dissimilarity
[ACM] 2026-9-15 | A Directional Consistency-Constrained Jump Point Search Algorithm for Path Planning in Grid Environments
[ACM] 2026-9-15 | An LLM-and-RAG Based Assistant for Writing Related Work Sections in Deep Learning-Based Medical Image Analysis
[ACM] 2026-9-15 | Stock Yield Prediction Model Based on Machine Learning Algorithm
[ACM] 2026-9-15 | LightGBM-Based Pigment Color Matching Optimization Driven by Molecular Characterization and Spectral Features
[ACM] 2026-9-15 | Research on Simulation Modeling Methods for the Multi-process Coal Supply Chain under Rail-sea Intermodal Transport
[ACM] 2026-9-15 | Brain Tumor Image Segmentation Method Based on Joint Optimization of Diffusion Model and Segmentation Network
[ACM] 2026-9-15 | Scalable and Adaptive Log-based Anomaly Detection: A Synergistic Approach
[IEEE] 2026-9-15 | Robust CCAA Based MIMO Radar Architecture with Computationally Efficient Scene Adaptive Division Multiple Access in the Presence of Target Mismatch
[IEEE] 2026-9-15 | EGH-Net: Energy-Guided Hypergraph for Two-View Correspondence Learning
[IEEE] 2026-9-15 | SparseQ: Jensen-Shannon Divergence Guided Query Sparsified-Attention with Convolutional Distilling for Medical Image Segmentation
[IEEE] 2026-9-15 | A $\boldsymbol{\Pi}$-Type-Capacitor-Network-Based Decoupling Circuit for AGV Wireless Charging Systems With Single-Input Dual-Output Dipole-Coils Couplers
[IEEE] 2026-9-15 | Enhanced Robustness of MEMS Resonant Accelerometers with Adaptive Dual-loop System
[IEEE] 2026-9-15 | Sensing to Action: Cognitive Processing for Multispectral Sensors
[ACM] 2026-9-15 | Level of Autonomy and Reliability in Co-located Multiple Robot Operation: A Five-Level Framework and Practical Design Guidance
