[2026-05-12 11:22:26] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-11
正在获取论文...
[arXiv] 2026-05-11 | Coarse Menger property of quasi-minor excluded graphs and length spaces
[IEEE] 2026-5-11 | LGDTI-Net A Lesion-Aware Dynamic Transformer Framework for Precise Small Kidney Lesion Segmentation in Multi-Centre Medical Imaging
[IEEE] 2026-5-11 | Fusion of EfficientNetB0 and ResNet50 for Enhanced Deepfake Video Detection
[IEEE] 2026-5-11 | A Cumulative Exposure Assessment Method for Low-Frequency Magnetic Field for Electric Vehicles Based on Peak Detection
[IEEE] 2026-5-11 | Comparative Study of Power Quality Metrics in Different Loads across V2G and G2V Scenarios
[IEEE] 2026-5-11 | A Dual-Channel Entity Relation Extraction Framework with Relation Perception
[IEEE] 2026-5-11 | Deep Learning for Knee Osteoarthritis Detection and Severity Grading: A Comprehensive Study Using Radiographic Imaging and Grad-CAM Interpretability
[IEEE] 2026-5-11 | Attention-Enhanced EfficientNetB3 for Diabetic Retinopathy Classification using Fundus Image
[IEEE] 2026-5-11 | Hybrid Motion Synthesis for Speech-to-Sign Translation Using Deterministic Linguistic Parsing and Gated Recurrent Units
[IEEE] 2026-5-11 | A Self-Powering-First Power Management Scheme for Energy Harvesting Systems with Zero Standby Power Consumption
[IEEE] 2026-5-11 | AI-Powered Forecasting Models, Optimizing Working Capital, Supply Chain Financing
[IEEE] 2026-5-11 | A Wavelet-Statistical Method for EEG Signal Classification of Mental Stress in Cognitive Tasks
[IEEE] 2026-5-11 | Multi-Agent Collaborative Scheduling and Emission Reduction Mechanism for Minimizing the Carbon Footprint of Regional Electricity-Heat-Gas Coupled Systems
[IEEE] 2026-5-11 | Real-Time Implementation of ANFIS-Backstepping MPPT for PV-SEPIC Converters
[IEEE] 2026-5-11 | Efficient Multi Task Molecular Toxicity Prediction Using 2D Graph Isomorphism Networks with Virtual Node Augmentation and Stratified Learning
[IEEE] 2026-5-11 | A Hybrid Deep Learning Framework for Multi-Class Lung Disease Classification
[IEEE] 2026-5-11 | Real-Time Adaptive Self-Calibration of Automotive MIMO Radars Using Machine Learning
[IEEE] 2026-5-11 | Medical IoT Authentication and Security Through Three Point Authentication and Access Token
[IEEE] 2026-5-11 | Hybrid Transformer-Detection-Prompt Pipeline for HighPrecision Segmentation of Renal Microvasculature in Histopathology Imaging
[IEEE] 2026-5-11 | Leveraging Vision Transformer to Classify Cancer Stages from Breast Ultrasound Images
[IEEE] 2026-5-11 | Enhancing Forest Fire Prediction Through Explainable Ai-Driven Feature Selection: A Case Study in Khenchela Province, Algeria
[IEEE] 2026-5-11 | Human-Digital Twin Symbiosis Using Cognitive AI for Smart Manufacturing
[IEEE] 2026-5-11 | Electric Vehicle-Based Frequency Regulation: A Sustainable Approach for the Power Grid
[IEEE] 2026-5-11 | A Vision-based System for Monitoring Kitchen Hygiene
[IEEE] 2026-5-11 | BanglaMM-Disaster: A Multimodal Transformer-Based Deep Learning Framework for Multiclass Disaster Classification in Bangla
[IEEE] 2026-5-11 | Dynamic 5G Bandwidth Allocation in SDN Using Round Robin Heuristic: A Quality-of-Service Optimization Approach
[IEEE] 2026-5-11 | Hybrid Residual CNN with Convolutional Attention for Kannada Text Recognition
[IEEE] 2026-5-11 | Comparative Performance Analysis of Dual-Band GPS Phased Array Configurations with MVDR Beamforming
[IEEE] 2026-5-11 | Long-Term Meteorological Disaster Prediction for Low-Altitude Routes in Complex Micrometeorology Environments Using Deep Temporal Models
[IEEE] 2026-5-11 | Lightweight Joint Optimization of Clustering and Trajectory for UAV-Assisted WSNs
[IEEE] 2026-5-11 | Ayurvedic Herb Identification and Classification App using Machine Vision
[IEEE] 2026-5-11 | Cavum Septum Pellucidum Instance Segmentation By Brain Point Detection
[IEEE] 2026-5-11 | Adaptive Message Optimization in WhatsApp Marketing Using Multi-Armed Bandit Algorithms
[IEEE] 2026-5-11 | Towards Actionable Fashion AI: A Holistic, End-to-End Style Recommendation Assistant
[IEEE] 2026-5-11 | DV-mBERT: A Reproducible and Transparent Framework for Code-Mixed Bangla Smishing Detection with Meta-Feature Fusion and FGM Robustness
[IEEE] 2026-5-11 | Building Trust in Automated Decision-Making: Explainable AI as a Compliance-First Adoption Strategy
[ACM] 2026-5-12 | ImMTDiff: A Diffusion Model-Based Anomaly Detection Method for Industrial Control Systems
[ACM] 2026-5-12 | Adaptive Thresholding Strategies for Performance-Aware Client Selection in Federated Learning
[ACM] 2026-5-12 | A Systematic Explainable AI (XAI) Rule Translational Methodology for DDOS Detection
[ACM] 2026-5-12 | KPI-Adaptive Reinforcement Learning for Handover Optimization in Ultra-Dense 5G Networks
[ACM] 2026-5-12 | Bridging Social Work and Robotics: A Collaborative Service Framework for Smart Eldercare with IoT Integration
[ACM] 2026-5-12 | A Method of Excel Report Generating Based on ActiveX in LabVIEW
[ACM] 2026-5-12 | Research on the Construction of an Industrial Design Talent Training System for AI-Assisted Digital Prototype Iteration*
[ACM] 2026-5-12 | DPU-Net for Privacy-Preserving Speech Enhancement: Dual-Path Modeling With Cross-Attention
[ACM] 2026-5-12 | Invasive Liver Cancer Recognition via Adaptive Transfer Learning
[ACM] 2026-5-12 | Time-Course Effect of Simulated Microgravity on Cognition and Neurovascular Changes in Elderly Mice
[ACM] 2026-5-12 | Explainable AI-Assisted Triage in Emergency Departments Using Multi-Modal Clinical Data
[ACM] 2026-5-12 | Design and Implementation of An Educational Institution Curriculum Management System Based on Django
[ACM] 2026-5-11 | A Framework and Dataset for Contextual Post-OCR Correction
[ACM] 2026-5-11 | Enhancing Student Satisfaction with Student Services on The Digital Platform: A Case Study at a Vietnamese University
[IEEE] 2026-5-11 | IEEE Microwave and Wireless Technology Letters publication
[IEEE] 2026-5-11 | Axial-Field Switched-Reluctance Machine for In-Wheel Motor Applications: Hybrid Analytical Modeling (Reluctance Network and formal Analytical solution) and Inductance Measurements
[IEEE] 2026-5-11 | Stochastic Analysis of Cramér-Rao Lower Bound for Positioning in mmWave-THz HetNets
[IEEE] 2026-5-11 | Capacity-Optimized Design of Reconfigurable Antenna Patterns for MU-MIMO Systems
[IEEE] 2026-5-11 | Next-Generation Solid-State Transformers for Powering Artificial Intelligence Data Centers: A Survey of Emerging Topologies
[IEEE] 2026-5-11 | IEEE Innovation Testbed
[IEEE] 2026-5-11 | A Calibration-Free Multi-Expert System for Automated Diopter Measurement: Overcoming Noise-Induced Binocular Inconsistency
[IEEE] 2026-5-11 | Variable Selection-Based Recursive Method for Adaptive Quality-Related Fault Detection_supp1-3689128.pdf
[IEEE] 2026-5-11 | Micro-Amplitude Wave Detection Based on Nonlinear Representation and Underdetermined Blind Reconstruction
[IEEE] 2026-5-11 | Online Meteorological Forecasting Model Using Multi-feature Information Gain PSO and Evolving Fuzzy Systems
[IEEE] 2026-5-11 | Multi-pass Volume Reconstruction for Freehand Ultrasound: Demonstration in Simulation, Phantom, and In
                    <i>Vivo</i>
                    Kidney
[IEEE] 2026-5-11 | 2026 IEEE 8th International Conference on Communications, Information System and Computer Engineering (CISCE)
[IEEE] 2026-5-11 | Distributional Stability of Tangent-Linearized Gaussian Inference on Smooth Manifolds
[IEEE] 2026-5-11 | Capturability as Controlled-Invariant Sets: Recursive Feasibility for Variable-Stepping Time S2S NMPC
[IEEE] 2026-5-11 | A Phase Change Coupled Model for Plasma Arc Erosion on SF
                    <sub>6</sub>
                    Circuit Breaker Electrodes under Turbulent Flow
[IEEE] 2026-5-11 | Over-the-Air Diagnosis of Defective Elements in Intelligent Reflecting Surface
[IEEE] 2026-5-11 | Robust Manipulation of Deformable Linear Objects
[IEEE] 2026-5-11 | Tangram: Encryption-friendly SNARK framework under Pedersen committed engines_supp1-3691113.pdf
[IEEE] 2026-5-11 | A Lightweight OBB-based SAR Ship Detection Network based on Feature Enhancement and Cross-Scale Fusion
[ACM] 2026-5-12 | Hate Speech Detection and Classification in Devanagari Nepali and English YouTube Comments
[IEEE] 2026-5-11 | AI-Powered Smart and Secure E-Assessment Framework for Academic Institutions
[IEEE] 2026-5-11 | Integrating Psychoanalysis with AI for Cognitive Threat Detection in Cyber Environments
[IEEE] 2026-5-11 | Multi-Objective Carbon-Aware Genetic Scheduling for Green University Data Centers
[IEEE] 2026-5-11 | Scalable Causal Tracing and Reproducible Episodes for Multi-Agent Systems
[IEEE] 2026-5-11 | From Classification to Localization: A Weakly Supervised Deep Framework for Interpretable Chest X-ray Analysis
[IEEE] 2026-5-11 | Design and Implementation of an ERP-Based Smart Car Rental Management System for Digital Tourism Platforms
[IEEE] 2026-5-11 | Towards Transparent Human Activity Recognition: An Evaluation of Machine and Deep Learning Frameworks Enhanced with Explainable AI
[IEEE] 2026-5-11 | XAI Based Early Menopause Detection using Super Learner and Discriminant Analysis
[IEEE] 2026-5-11 | AI-Enhanced Intrusion Detection and Prevention Systems in the Age of Quantum Cyber Threats
[IEEE] 2026-5-11 | A Few-Shot Transfer-Learning Approach for Industrial Defect Detection Using YOLOv12
[IEEE] 2026-5-11 | OptiGait-LGBM: An Efficient Ensemble Learning Approach of Gait-based Person Re-identification in Non-Overlapping Regions
[IEEE] 2026-5-11 | Reducing Motion Artifacts in MRI: From Conventional Techniques to Deep Learning-Based Solutions
[IEEE] 2026-5-11 | Beyond Chunk-level RAG: Hierarchical Document-aware Retrieval for Indian Legal Judgments
[IEEE] 2026-5-11 | AMMHAS: An Adaptive Multimodal Framework for Mental Health Assessment with LLM-Based Interpretability
[IEEE] 2026-5-11 | Dynamic Modeling and Experimental Validation of ARMROV: Pitch/Roll Stability for Underwater Hull Cleaning
[IEEE] 2026-5-11 | Material Strength Prediction Model for Weathering Steel Pipe Rod Based on Machine Learning Algorithm
[IEEE] 2026-5-11 | AeroTrack - AI-Driven AQI Monitoring System
[IEEE] 2026-5-11 | Comparative Analysis using on Phishing URL’s using Machine Learning and Deep Learning
[IEEE] 2026-5-11 | Protecting Healthcare Networks from Cyber Threats: How to Use AI and Blockchain to Enable Safe Patient Data Exchange
[IEEE] 2026-5-11 | A Multimodal Structural Intelligence Model for Formal Narrative Mapping Across Text and Film Domains
[IEEE] 2026-5-11 | Implement Augmented Reality (AR) Interfaces in Disaster-Resilient Edge-Cloud Computing: An Innovative Interactive System for Emergency Operations First Responders
[IEEE] 2026-5-11 | Multi-Service Routing Optimization in SDN Based on Multi-Agent Deep Reinforcement Learning
[IEEE] 2026-5-11 | AgentBRTA: An LLM and RAG-Based Conversational Agent for Bangladesh Road Transport Authority
[IEEE] 2026-5-11 | Micro-Expressions with Swin-T on CASME II: Spatial Heads and Temporal Modelling
[IEEE] 2026-5-11 | A Method for Implementing Scene Annotation and Classification Based on Raw Scenario Files
[IEEE] 2026-5-11 | SnoposNet: Sleep Posture Recognition from Snoring Signals
[IEEE] 2026-5-11 | A Vision Transformer–GAN Framework for Robust Gait Recognition under Multi-Gait Conditions
[IEEE] 2026-5-11 | Analysis of the Impact of Core BP/LTP Protocol Parameters on Transmission Performance in Satellite Communications
[IEEE] 2026-5-11 | A Two-Stage Transfer Learning EfficientNet-B0 Model for Dermatoscopic Image Classification
[IEEE] 2026-5-11 | A Hybrid YOLOv7–Swin Transformer Architecture Optimized by Cuckoo and Pelican Algorithms for Diabetic Retinopathy Grading
[ACM] 2026-5-12 | Optimizing Medical Record Data for Improved Diagnosis Utilizing Large Language Models Gemma 3 to improve Health Disease Care
[ACM] 2026-5-12 | Engineering a Safe and Explainable ML-Based Insulin Recommender for Clinical Deployment
[ACM] 2026-5-12 | Lightweight Deep Learning for Real-Time Multi-Task Analysis of Upper Endoscopic Videos
[ACM] 2026-5-12 | Nonlinear Analysis of Heart Rate Variability Time Series of Young Subjects During Physical Activity
[ACM] 2026-5-12 | Unsupervised Drug-Likeness Prediction via Graph Neural Networks
[ACM] 2026-5-12 | Proceedings of the 2026 6th International Conference on Computer Network Security and Software Engineering
[ACM] 2026-5-12 | WebLMigrate: An Automated Script Migration Approach for Web User Interfaces Based on Large Language Model
[ACM] 2026-5-12 | Visual Analysis of the Application of Foreign Virtual Simulation Technology in Nursing Practice Teaching Over the Past Decade Based on Citespace
[ACM] 2026-5-12 | Automatic Recognition and Bilingual Alignment of Intangible Cultural Heritage Terminology Using Transformer-CRF Hybrid Model
[ACM] 2026-5-11 | Text vs. 3D Models: Comparing Traditional and 3D-Printed Learning Materials in Primary Science Education
[IEEE] 2026-5-11 | Welcome Message from the ICCI 2026 General Chairs
[IEEE] 2026-5-11 | SPICSCON 2025 Cover Page
[IEEE] 2026-5-11 | Predictive Local Multiple Attention For Real-time Risk Assessment in Autonomous Driving
[IEEE] 2026-5-11 | ComSoc Membership
[IEEE] 2026-5-11 | Breast Cancer Biomarker Discovery Using an Enhanced Quantum-Based Avian Navigation Optimizer and Ensemble Learning Model
[IEEE] 2026-5-11 | A Hybrid SRU-Transformer-Conv1d Architecture for High-Speed Signal Transient Prediction With Uncertainty Quantification
[IEEE] 2026-5-11 | 2026 International Conference on Data Science, Agents and Artificial Intelligence (ICDSAAI)
[IEEE] 2026-5-11 | TinyVBS: Design and Implementation of a Palm-Sized Pneumatic Variable Buoyancy System for 100-Meter-Depth Operation in Compact Marine Robot
[IEEE] 2026-5-11 | Lighting-Robust Behavioral Cloning via Bayesian Visual Encoding for Robot Manipulation
[IEEE] 2026-5-11 | TransACO: Transformer-Guided Ant Colony Algorithm for Combinatorial Optimization
[IEEE] 2026-5-11 | HiPAN: Hierarchical Posture-Adaptive Navigation for Quadruped Robots in Unstructured 3D Environments
[IEEE] 2026-5-11 | A Compact Thermal Model and a New Cooling Factor Metric for Active Antennas
[IEEE] 2026-5-11 | Energy-Efficient Multi-Robot Coverage Path Planning of Non-Convex Regions of Interests
[IEEE] 2026-5-11 | Table of Contents
[IEEE] 2026-5-11 | E-Link: A 256-ch Mini-Pedestal Connector for High-Density Soft Neural Interfaces
[IEEE] 2026-5-11 | ReCoTR: Reducing Semantic Cognitive Shift via Dual-Consensus Token Compression for Remote Sensing Image-Text Retrieval
[IEEE] 2026-5-11 | PGM: Physics-Informed Generative Meta-model for Few-shot SAR Target Recognition
[IEEE] 2026-5-11 | An Automated FM Reception and Audio Processing System for Distributed Broadcast Supervision
[IEEE] 2026-5-11 | Road Lane Detection System Using OpenCV By Enhancing Input Quality
[IEEE] 2026-5-11 | Hybrid Big Data-LLM Framework for Intelligent Scientific Literature Mining
[IEEE] 2026-5-11 | Smart Crop Recommendation System using TabNet and LLM Integration
[IEEE] 2026-5-11 | Enhancing Product Recommendations with Transformer-Based Sentiment Analysis
[IEEE] 2026-5-11 | PDXAI: Parkinson’s Disease Prediction by employing Deep learning with Enhanced XAI
[IEEE] 2026-5-11 | Edge-Enabled Multi-Source Sensing IoT System with Adaptive Sampling for Ecological Monitoring
[IEEE] 2026-5-11 | A BERT Model for Chinese Named Entity Recognition in Electronic Information Equipment*
[IEEE] 2026-5-11 | Biomedical Relation Extraction via Cluster-Description Co-Evolution Hierarchical RAG
[IEEE] 2026-5-11 | Design of a Gated-VDD Assisted SRAM Cell for Enhanced Standby Power Efficiency
[IEEE] 2026-5-11 | Recognition of Underwater Acoustics Targets via Random Forest with Continuous Spectrum Peak Features
[IEEE] 2026-5-11 | Vision-Based Floor Number Recognition and Elevator Interaction System for Indoor Service Robots
[IEEE] 2026-5-11 | Adaptive Real-Time Sign Language Recognition Using Deep Learning and Temporal Modeling
[IEEE] 2026-5-11 | IRS-Assisted UAV Integrated Sensing and Secure Communication Systems
[IEEE] 2026-5-11 | Physical-Constraint-Guided VC-OMP for Ultra-Reliable Short-Packet Communications
[IEEE] 2026-5-11 | Faults Detection in Wireless Sensor Networks (WSN) Using One Dimensional Convolution Neural Network CNN-1D
[IEEE] 2026-5-11 | Frequency Domain Anti-Jamming Decision for Satellite Communication Based on MLSTM-DQN
[IEEE] 2026-5-11 | Critical Factor Influencing AI Adoption in Thai SMEs: Insights from a Delphi Study
[IEEE] 2026-5-11 | A Comprehensive Analysis and Rainfall Forecasting in Cox’s Bazar using Seasonal ARIMA Model
[IEEE] 2026-5-11 | Interpretable Transformer-Based Model Management for Recommender Systems
[IEEE] 2026-5-11 | DRL-driven Fault-tolerant Routing Strategy in LEO Mega-constellation
[IEEE] 2026-5-11 | Digital Twin Models for Personalized Healthcare Diagnosis, Treatment, and Prognosis
[IEEE] 2026-5-11 | On Average Symbol Error Rate of Terahertz Communications Using Compound Channel Model
[IEEE] 2026-5-11 | Optimization Accuracy of DDoS Attacks using Boosting Algorithm in Cloud Computing
[IEEE] 2026-5-11 | Employ Deep Learning for Remote Sensing: Land Use Classification and Change Detection Using Multiband Aerial Photographs
[IEEE] 2026-5-11 | Uncertainty-Aware Deep Learning for Robust Intracranial Haemorrhage Subtype Classification
[IEEE] 2026-5-11 | Engineering Analysis and System Architecture Innovation of LFMCW Radar via Geometric Modeling and Integrated Sensing-Communication Design
[IEEE] 2026-5-11 | Energy-Efficient Resource Accounting for IoT-Based AMI Using Federated Reinforcement Learning and TinyML Optimization
[IEEE] 2026-5-11 | Bayesian Coordination Failure under Belief Asymmetry in Multi-Agent Systems
[IEEE] 2026-5-11 | Optimize Accuracy of Fingerprint Feature Extraction for Biometrics using Convolution Network
[IEEE] 2026-5-11 | Parallel Block-Based Binary Locally Repairable Codes for Scalable and Efficient Distributed Storage
[IEEE] 2026-5-11 | Thirsty AI Challenge for a Sustainable Future
[IEEE] 2026-5-11 | Enhancing Aspect-Based Sentiment Analysis Through Knowledge Graphs and Multiview Representation Learning
[IEEE] 2026-5-11 | Reliable LLM-Powered Decision Engines for Large-Scale Supply Chain Operations: Architecture, Safety, and Performance Guarantees
[IEEE] 2026-5-11 | Estimating Competing TCP Flows and Bandwidth in Multi-Link Paths: An Indirect Probing Approach
[IEEE] 2026-5-11 | Adaptive Solar Forecasting: A Data-Driven Exploration of Model Generalizability across diverse US climates
[IEEE] 2026-5-11 | Construction of an Intelligent Recommendation System for Personalized Training Plans for Sports Rehabilitation Patients Based on Graph Neural Networks
[IEEE] 2026-5-11 | Security–Resource Management in DNA–Optical Cryptosystems for Constrained IoT Devices
[IEEE] 2026-5-11 | Apply Augmented Reality (AR) to Image Processing: Making Visual Feedback Available in Real-Time for Industrial Quality Control on Production Lines
[IEEE] 2026-5-11 | A Low-Cost Wearable Insole System Using FSR for Real-Time Gait Analysis
[IEEE] 2026-5-11 | Finance-Inspired Throughput &amp; Cost Optimization for Edge-AI Traffic Systems
[IEEE] 2026-5-11 | Effectiveness Analysis of Countermeasures Against Active Suppression Jamming for Airborne Satellite Navigation Systems
[IEEE] 2026-5-11 | Defect Detection in Solar Photovoltaic Panels using Computer Vision
[IEEE] 2026-5-11 | Advanced Intelligent frameworks for comprehensive detection and mitigation of zero-day attack vulnerabilities in complex networked environments
[IEEE] 2026-5-11 | Clock Synchronization Technology for Wireless Rotor Load Measurement of Unmanned Helicopters Based on Ultra-Wideband Communications
[IEEE] 2026-5-11 | Square Labyrinth Shaped Rotationally Symmetric Metamaterial Absorber for Organic Solvent Sensing
[ACM] 2026-5-12 | Dual-Manifold Alignment Contrastive Learning for Knee Osteoarthritis Prediction
[ACM] 2026-5-12 | Short-distance logistics prediction and scheduling scheme generation based on stacked LSTM and hybrid genetic algorithm
[ACM] 2026-5-12 | Semiotic-Guided Dynamic Prompt Optimization for AI-Generated Cultural Character Design
[ACM] 2026-5-12 | FedDebug: A Systematic Real-Time Debugging Framework for Federated Learning
[ACM] 2026-5-12 | In Silico Study of Hemagglutinin Gene of AIVs H5N1 Subtype Indonesian Isolates: Sequence-Based Phylogeny Analysis and Receptor Binding Prediction
[ACM] 2026-5-12 | Research on Fire Detection Algorithm Development for Video Surveillance Systems in Campus Environments
[ACM] 2026-5-11 | 2D Animation as an Effective Interactive Learning Material in English Vocabulary for 3rd Grade Students
[ACM] 2026-5-11 | UTAUT2-Based Analysis of LMS Adoption Among Undergraduate TVET Students in Less Urbanized Regions in China
[ACM] 2026-5-11 | Opportunities and Challenges of Generative Artificial Intelligence (GAI) in Digital Arts
[IEEE] 2026-5-11 | Table of Contents
[IEEE] 2026-5-11 | Joint Cyber-Physical Data-Driven Enhanced Cyber Attack Detection for Power Systems
[IEEE] 2026-5-11 | Exploring the Impact of RIS-Scattering on NOMA-Enabled ISABC System
[IEEE] 2026-5-11 | Artificial Intelligence in Organizations: A Systematic Review of Operationalizing Generative Artificial Intelligence Capabilities for Organizational Performance
[IEEE] 2026-5-11 | Self-Powered Narrowband Perovskite Photodetector Using Photon Field Modulation Layer
[IEEE] 2026-5-11 | Wireless Smart Stent for Real-Time In-Stent Pressure Monitoring and Endoleak Detection
[IEEE] 2026-5-11 | Emoception: Selective Affective Layer Fine-Tuning of Video Vision Transformers for Player Arousal Change Recognition from Gameplay Footage
[IEEE] 2026-5-11 | A fusion method of GNSS-IR sea surface height using the Carrier and SNR
[IEEE] 2026-5-11 | IEEE Collabratec
[IEEE] 2026-5-11 | Guest Editorial: Large AI Models for Communications: Part 2
[IEEE] 2026-5-11 | Improved Localization of Partial Discharge Sources Using Powered Superlets
[IEEE] 2026-5-11 | Intrinsic Bayesian Errors-in-Variables Under Anisotropic Noise
[IEEE] 2026-5-11 | Optimizing Mobile Food Ordering Experience via UX-Oriented Sequential Interaction Design and Usability Evaluation
[IEEE] 2026-5-11 | A Hybrid Multi-Modal Framework for Fake Social Media Account Detection using BERT, ResNet, and Social Network Analysis
[IEEE] 2026-5-11 | A Comprehensive Benchmark and Comparative Analysis of Pre-processing Methods for Deep Learning-Based Skin Lesion Detection
[IEEE] 2026-5-11 | Big Data &amp; Analytics, Data Automation Recent Trends: Smart Memory Offloading for Enhanced Data Processing Throughput
[IEEE] 2026-5-11 | An Optimized Technique for Iris Spoof Detection in a Biometrics System through a Siamese Network
[IEEE] 2026-5-11 | Human-in-the-Loop Automation Patterns for Financial Services Using Camunda + Modern Java UIs
[IEEE] 2026-5-11 | AI-Driven Decision Support System for Sustainable Multi-Modal Transportation Management under Uncertainty and Time-Window Constraints
[IEEE] 2026-5-11 | Explainability First Parkinson’s Analytics: SHAP Driven Attributions from Telemonitoring and Voice Signals
[IEEE] 2026-5-11 | Randomized Masked HRM-RSA Encryption and Decryption with Hidden Exponentiation
[IEEE] 2026-5-11 | A Hybrid Deep Learning Approach for Fake News Detection Using LSTM, BiLSTM, and CNN-BiLSTM Models
[IEEE] 2026-5-11 | An AI-Driven Framework for Threat Detection and Traffic Flow Optimization in Smart City IoT Networks
[IEEE] 2026-5-11 | Lateral Automation Techniques and Technologies for Autonomous Vehicles
[IEEE] 2026-5-11 | A Comprehensive Review of AI-Driven Approaches for Crop Disease Detection and Management
[IEEE] 2026-5-11 | A Mobile-Based Food Ordering System with Enhanced User Experience and Usability: Design and Evaluation of JETFOOD
[IEEE] 2026-5-11 | Innovations in AI with Machine Learning for Smart Retail: Analysing Consumer Behaviour and Forecasting Demand from Video and Transaction Data
[IEEE] 2026-5-11 | MSCSE-YOLO: A Small Object Detection Network for UAV Imagery Based on Multi-Scale Spatial Context and Semantic-Guided Enhancement
[IEEE] 2026-5-11 | Research on Embedded Network Security Defense Mechanism Based on the Synergy of Cortex-M MPU and LwIP
[IEEE] 2026-5-11 | Real-Time Currency Identification for Visually Impaired Users Using a Lightweight YOLOv5-Based Object Detection System
[IEEE] 2026-5-11 | Detection and Classification of Cracks on Ship Hulls Using Artificial Intelligence
[IEEE] 2026-5-11 | A Unified Machine Learning Framework for Vehicle Insurance Claim Fraud Detection
[IEEE] 2026-5-11 | Ethical AI Governance Models for Federated Multi-Agent Ecosystems
[IEEE] 2026-5-11 | MO-DEEF: A Novel Fuzzy-Hybrid Metaheuristic Optimization Algorithm for Internet of Things-Enabled Wireless Sensor Networks
[IEEE] 2026-5-11 | Evaluation of Whisper-based Kannada ASR: Challenges, Analysis, and Future Directions
[IEEE] 2026-5-11 | Boundary-Aware Clause Segmentation for Zero-Shot Legal Clause Discovery Using Natural Language Inference
[IEEE] 2026-5-11 | Transformer-Based Sentiment Classification for Innovative Customer Feedback Analysis in Thai Cosmetic Industry
[IEEE] 2026-5-11 | Dynamic Adaptive Prediction of RFA Pump Parameters and Wideband Gain Optimization Based on Deep Neural Networks
[IEEE] 2026-5-11 | Machine Learning Based Hotel Booking Decision Prediction and Recommendation Framework
[IEEE] 2026-5-11 | AI-Powered Predictive Marketing: Enhancing Customer Engagement Through Data Intelligence
[IEEE] 2026-5-11 | Privacy-Aware Prompt Masking Interface for Secure Large Language Model Interactions
[IEEE] 2026-5-11 | Enhancement Of Image Watermarking Using White Box Cryptography
[IEEE] 2026-5-11 | Efficient Hybrid Metaheuristic Model for Early Detection of Breast Cancer in Mammograms
[IEEE] 2026-5-11 | Predicting the Unpredictable: A Big Data Approach to Airline Delay Analysis
[IEEE] 2026-5-11 | Solar-Powered NPK Detection System for Precision Agriculture
[IEEE] 2026-5-11 | Optimal NER systems: BenchMarking Transformer Based models and Traditional Models on BioMedical Corpus
[IEEE] 2026-5-11 | Tomato Ripeness Detection Using YOLOv8 and Edge-Aware Texture Mapping for Smart Agriculture
[IEEE] 2026-5-11 | Research on Leather Defect Detection Algorithm Based on GND-YOLOv11
[IEEE] 2026-5-11 | An Empirical Study on Rough Set Theory for Feature Selection and Classification Model Optimization
[IEEE] 2026-5-11 | Prediction and Analysis of Indoor NO2 Concentration Based on PCA-ANN Model
[IEEE] 2026-5-11 | Multi-Scale Cross-Modal Alignment for Automatic Modulation Classification
[IEEE] 2026-5-11 | Multi-Resolution Feature Learning for Traffic Light Recognition via Wavelet-Enhanced CNN
[IEEE] 2026-5-11 | Automatic Hybrid Extractive-Abstractive News Headline Generation Using a BiLSTM-Attention-LSTM Sequence-to-Sequence Architecture
[IEEE] 2026-5-11 | HPNA: A Hybrid PSO–NSGA-II Optimization Framework with Adaptive Diversity Preservation for Multi-Objective UAV Three-Dimensional Path Planning
[ACM] 2026-5-12 | Research on the Innovation of Physical Education Teaching Models Enabled by AI Technology from the Perspective of the Integration of Sports and Education
[ACM] 2026-5-12 | REINTERPRETING TRADITION: THE INNOVATIVE INTEGRATION OF CHINESE AESTHETICS IN TOURISM SOUVENIR PACKAGING DESIGN
[ACM] 2026-5-12 | Online System for Tension Monitoring and Fatigue Analysis of Mooring Lines
[ACM] 2026-5-12 | Modeling and Experimental Validation of Spatial Characteristics of Very Low-Frequency Marine Ambient Noise in Complex Seabed Environments
[ACM] 2026-5-12 | A Hybrid AI-Assisted Analytical Approach for Instrument Validation in Vocational Education Using R and Shiny
[ACM] 2026-5-12 | Non-Invasive Continuous Blood Pressure Monitoring for Critically Ill Patients
[ACM] 2026-5-12 | Epitope Prediction and Structural Analysis of Outer Membrane Protein A (AbOmpA) as a Vaccine Candidate against Multidrug-Resistant Acinetobacter baumannii
[ACM] 2026-5-12 | Comparative Effects of Low-Intensity Focused Ultrasound Targeting PPN and STN on Motor Disorders in 6-OHDA Lesioned Mice
[ACM] 2026-5-11 | The Impact of Generative AI-Supported Experiential Learning on Secondary School Teachers' AI Competence Self-Efficacy in Mainland China: A Quasi-Experimental Study
[ACM] 2026-5-11 | KanAR: An Augmented Reality App for Japanese Learning Beginners
[ACM] 2026-5-11 | An AI-Driven Multi-Modal Framework for Creative Game Design Education
[ACM] 2026-5-11 | AI Technology Adoption Among Multimedia Arts Students' Capstone Writing: An Application of the UTAUT Model
[IEEE] 2026-5-11 | Design and Analysis of MEMS Accelerometer for Bridge Structural Health Monitoring (SHM)
[IEEE] 2026-5-11 | Predictive Maintenance and Operational Efficiency in Wind Energy using Machine Learning
[IEEE] 2026-5-11 | A MERN Stack Framework for Real Estate Platforms Leveraging Conversational AI and Predictive Analytics
[IEEE] 2026-5-11 | Advanced Optimization and Load Forecasting in Smart Industrial Grids: Employ AI for Enhancing Energy Efficiency in IIoT
