[2026-06-15 15:16:43] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-14
正在获取论文...
[ACM] 2026-6-14 | Unified Detection of Synthetic and Manipulated Images via Dual-Stream Artifact Fusion
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 39/181 | Imaginaries for Sharing and Repair Practices
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 40/181 | Operational Governance Controls for AI Data Operations: A Scenario-Based Review Framework
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 41/181 | Context-Aware Visual Redaction Pipeline: Leveraging Vision-Language Models for High-Fidelity Content Inpainting
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 42/181 | POSITIVE4Rec: Incorporating the Recency Effect with Positional Inductive Bias for Sequential Recommendation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 43/181 | Art Evening: An Artistic Space for Dialogue and Conviviality
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 44/181 | Monitoring Irrigated Wheat in Afghanistan: Systematic Literature Review
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 45/181 | Beyond the Veneer of Competence: How Structured Prompting Fosters Knowledge Transfer in LLM-Augmented Education
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 46/181 | Visibilize-ing Care Festival
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 47/181 | The Coexistence Archive: Traces of the Participatory Design Conference
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 48/181 | Creative Dialogical Spaces for Agonism - Embodied Making and Material Dialogue in Contexts of Conflict and Transformation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 49/181 | Feature Selection for HMM Regime Detection: An Empirical Characterisation of Volatility and Trend Features in Equity Markets
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 50/181 | MOSAIV: Multi-Agent LLM Swarms for Automated Multimedia News Verification
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 51/181 | Wavelet-Based Multiresolution Analysis of Commodity Market Dependencies: Gold, Silver and WTI Crude Oil
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 52/181 | The Pasts and Futures of Latin American Participatory Design: Thinking and Making Participation from Where Our Feet Stand
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 53/181 | Design Fiction for Peace
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 54/181 | A Decomposed Retrieval-Edit-Rerank Framework for Chord Generation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 55/181 | Assessing Color Vision Test in Large Vision-language Models
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 56/181 | Proceedings of the 5th ACM International Workshop on Multimedia AI against Disinformation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 57/181 | Context-Aware Hybrid Probabilistic Model for Portfolio-Based Recognition of Prior Learning
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 58/181 | PDC Place Maranhão (BR) - Lisbon (PT) 2026: Participatory Design as a Driver of Community-Centred Approaches
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 59/181 | Personalized Health Insurance Recommendation with Retrieval-Augmented Generation: A Study of Lexical, Dense, and Hybrid Retrieval
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 60/181 | SatCLA: A Collaborative LLM-Driven Framework for Annotation of LEO Satellite Imagery
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 61/181 | Retrieval of LoRA Models based on Layer-Wise Weight Embedding without Metadata
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 62/181 | Transfer Learning for Constellation Recognition: A Comparative Study of Lightweight CNNs on Small-Scale Astronomical Image Data
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 63/181 | PDC Place 2026 - Copenhagen
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 64/181 | A Structured Prompt Design Algorithm for Contextual Health Data Extraction in Elderly Virtual Companion Systems
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 65/181 | Setting the Killjoy Table
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 66/181 | Drifting Bodies through Algorithms: Participatory Choreographies for Embodied Experiences of Coexistence
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 67/181 | Filo: Weaving Connections
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 68/181 | TrackAnon: Towards Consistent Full-Body Anonymization
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 69/181 | Hyperbolic and Evidence-Prioritized Experts for Large Vision-Language Models
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 70/181 | Parameter-Efficient Adaptation with Proxy Anchors for Cross-Domain Few-Shot Learning
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 71/181 | Placing through Participatory Design Research.
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 72/181 | Ethics, Values and Culture Symposium
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 73/181 | Cemetery of Good Intentions
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 74/181 | Smart Shopping: Design of an Automated Cart System using EM-18 RFID Reader Module
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 75/181 | Semi-Automatic Correction of 3D Tubular Structure Skeletons via Component-Wise MST and Filtered Delaunay Triangulation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 76/181 | Adaptive Spatial-Channel Masked Reconstruction Knowledge Distillation for Dense Prediction
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 77/181 | Global-Regional Dual Hashing for Unsupervised Visual-Textual Retrieval via Concept Similarity Guidance
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 78/181 | DTSR: High-Frequency Prior-Based Dynamic Texture Synthesis for Real-World Image Super-Resolution
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 79/181 | A Persona-based Automated Evaluation Framework for Intelligent AI Teaching Assistants
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 80/181 | Lilit to Ramakien: A Five-Work Benchmark for LLM Understanding of Classical Thai Literature
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 81/181 | Design and Implementation of Fynix Trans-Lens: A Wearable Edge-IoT Translation Glasses System for Real-Time Multilingual Communication
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 82/181 | Proceedings of the 14th International Conference on Advances in Information Technology
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 83/181 | Managing Hallucination Risk in LLM-Generated Outputs: The Roles of Prompting Literacy, Trust Calibration, and Verification Behavior
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 84/181 | Beyond SDG's: Pluriversal Interspecies Council for Post-Development Futures
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 85/181 | Duration-Aware Student-t Hidden Semi-Markov Modeling for Financial Time-Series Decision Support: Rolling-Window Evidence from S&amp;P 500 Open-to-Open Trading
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 86/181 | Engaging in Peace, Dialogue, and Coexistence
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 87/181 | "3DFoodColorMatch": A demo for color transformation of plant-based meat substitutes using 3D food printing technology.
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 88/181 | The Encounter - The Mobile Neighbourhood House on Wheels
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 89/181 | Forecasting Surgical ICU Bed Availability Using Routine Operational Data and Machine Learning: A Temporal Validation Study
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 90/181 | Cross-Modal Emotion Discrepancy Detection: Detecting When Voice Reveals Emotions That Text Conceals
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 91/181 | The Narrated Atlas of the Cantico Trail
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 92/181 | FMD-AL: Cold-Start Active Learning based on Foundation Model
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 93/181 | Dynamic Toll Lane Configuration Using Q-Learning in SUMO-Based Bangkok Case Study
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 94/181 | Analyzing ESG Cluster Characteristics of Thai Equity Market Sectors using Unsupervised Machine Learning
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 95/181 | SCORE: Soccer Curriculum for Ordinal Affect Recognition with Evidence
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 96/181 | DINOTrack: Leverage Differential Attention for Noise-Aware Visual Tracking with DINOv3
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 97/181 | DDL-Net: A Task-Balanced Panoptic Perception Network with Channel-Reorganized Attention in Autonomous Driving
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 98/181 | Participatory Design Narratives: Embracing Emotions, Politics and Passions Towards Dialogue and Coexistence
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 99/181 | Empathy Games: Exploring Alternate Practices of Feeling for Others
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 100/181 | Deterministic Blackboard Pipelines with Specialized LLM Knowledge Sources: A Generalizable Architecture for Intelligent Multi-Stage Reasoning
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 101/181 | Making Invisible Work Visible: A Rule-Based Digital Coordination Model for Inclusive Back-Office Workplaces
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 102/181 | Keep Your Memories, Lose the Evidence: Privacy-Aware Lifelogging
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 103/181 | SAFE AI: Designing a Gender-Responsive and Child-Safe AI Framework
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 104/181 | A Parameter-Efficient Cascaded Framework for Mosquito Species Identification using MFCC Features
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 105/181 | Vulnerability Analysis for CBT Exam System
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 106/181 | SlimNet: High-Quality and Efficient Object Removal by Eliciting Latent Capabilities of Diffusion Models
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 107/181 | Model-Specific Echo Chamber Formation Patterns in Repeated LLM Agent Networks
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 108/181 | From Data Governance to Contract-Constrained AI Systems: Architecture and Evaluation for Enterprise NL-to-SQL with AI-Ready Data Models
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 109/181 | Collective Somatic Counterpoint
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 110/181 | EC-RAG: Evidence-Centric Retrieval-Augmented Generation for Medical Visual Question Answering
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 111/181 | Thai Threat News Classification Using Open-Source LLMs: A Comparative Evaluation of Models and Prompt Strategies
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 112/181 | A Generative AI Tool for Constructing Web Frontend with Integration of Quality Feedback Loop
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 113/181 | Extending Dialogue Beyond the Prison: The San Vittore Situated Vocabulary
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 114/181 | An Elephant in the Room: A Participative Visualisation of the Collaborations Between Politecnico di Milano and Companies Fuelling Israel's Violence Against Palestinians
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 115/181 | Risk-Aware Medical Question Answering as a Reliability-Critical Decision Process
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 116/181 | Proceedings of the 2026 International Conference on Multimedia Retrieval
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 117/181 | Entropy-aware Mutual Student Co-training for Source-free Domain Adaptation in Medical Image Segmentation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 118/181 | Adapting Vision Transformer Models for Thai Cat Breed Classification via Dataset Augmentation and Class Cardinality Reduction
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 119/181 | Re-Commoning the Rural
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 120/181 | AMRF: A Software Architecture for Autonomous Mobile Robot Fleet Management in Warehouse Environments
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 121/181 | Lumina: Seasonal Color Analysis System with Explainable Machine Learning
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 122/181 | AI Exposure, Role Change, and Innovation Behaviour in a Large Norwegian Bank: A Job Demands--Resources Perspective
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 123/181 | Comparative Analysis of Algorithms and Implementation for Course Recommendation System
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 124/181 | Enhancing AI Chatbots for Privacy Compliance: Implementing a Prototype for Retrieving Regulations from EU GDPR, Thailand PDPA, and Australian APPs through Local LLMs and RAG Techniques
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 125/181 | Coexistence RAVE: Relational Attunements, Vibrations &amp; Entanglements
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 126/181 | Cross-View Collaborative Recommendation with Multimodal and Multi-Scale User Behaviors
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 127/181 | YDANet: Leveraging YCbCr Color Space and Dual-Path Attention Network for Depth Completion
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 128/181 | Melodies of Coexistence: Community Music and Stop-Motion Animation Workshop for Family Dialogue in Suburban China
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 129/181 | KOPNet++: Ordinal Contrastive Learning for Intermediate-Stage Detection in Knee Osteoporosis Grading
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 130/181 | Hybrid GCN-LSTM for Privacy-Preserving Fall Detection in Human Pose-Based Elderly Monitoring Systems
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 131/181 | DocForensic: A VMamba-Wavelet Cross-Attention Network for Document Image Tampering Localization
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 132/181 | Discovery of Visually Novel Content in Developing News Stories
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 133/181 | MAFNet: Multi-frequency Adaptive Fusion Network for Real-time Stereo Matching
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 134/181 | Query-Guided Conflict Inference and Incongruity-Aware Alignment for Implicit Hate Speech Detection in Videos
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 135/181 | Efficient Rationale-based Retrieval: On-policy Distillation from Generative Rerankers based on JEPA
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 136/181 | Machine Learning-Based Prediction of Settled Water Turbidity for Optimizing Alum Dosage in Drinking Water Treatment
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 137/181 | Phebe: A Multi-Agent Natural Language Interface for Interactive Data Visualization
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 138/181 | Data Localization in Practice: A Network Benchmarking Study of Cloud Compliance Costs for Thai Public Sector
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 139/181 | BSR-CLIP: Background-Calibrated Structural Reasoning for Zero-Shot Visual-Language Anomaly Detection
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 140/181 | VideoCreator: An Agentic System for Multi-turn Video Production
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 141/181 | Towards Scalable and Adaptive Multi-Teacher Distillation for Text-to-Video Retrieval
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 142/181 | Playful Public Interactions for Unfolding Conversations about Digital Health
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 143/181 | Reworlding Milano
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 144/181 | Pluriversal Mapping
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 145/181 | When Memes Manipulate: Multimodal Tools of Disinformation
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 146/181 | Exploring Peace, Dialogue and Coexistence. Situated Actions in Milan and Worldwide
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 147/181 | Enhancing LLM Tutors with Retrieval-Augmented Generation and Chain-of-Verification for Curriculum-Grounded Formative Feedback: A Case Study on Thai Health Education
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 148/181 | Scenes of the Unseen
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 149/181 | Prompt Compression for Diffusion Large Language Models: An Empirical Evaluation of LLMLingua-2 and LLaDA
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 150/181 | Prototyping Place-based Pathways towards Peace Cultivating Change through Counterstorying
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 151/181 | Stock Price Prediction from Multi Data Sources Using LSTM, FinBERT and BERTweet
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 152/181 | FreSCo: Joint Frequency-Aware and Spatial Control for Image Zero-Shot Style Transfer
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 153/181 | More-Than-Human and Long-Term Living Together
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 154/181 | Utopian Epistles on Dissent, Disagreement, and Disillusionment
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 155/181 | Real-Time Monitoring and Analysis of Rehabilitation Exercises from a Smartphone Camera Video Stream
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 156/181 | CompArt: Operationalizing Aesthetic Alignment in Text-to-Image Generation via Principles of Art
