[2026-06-26 11:45:10] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-25
正在获取论文...
[arXiv] 2026-06-25 | CLIR: Liveness-Driven and Structure-Aware Fuzzing for the Cranelift Compiler
[arXiv] 2026-06-25 | Cm-wavelength Studies of Molecular Gas and Star Formation at High Redshift with the SKA
[arXiv] 2026-06-25 | Floquet-Engineered Chern Insulator in two-dimensional $d_{x^2-y^2}$-Wave Altermagnets
[arXiv] 2026-06-25 | From Weights to Features: SAE-Guided Activation Regularization for LLM Continual Learning
[arXiv] 2026-06-25 | Agents That Know Too Much: A Data-Centric Survey of Privacy in LLM Agents
[arXiv] 2026-06-25 | Portfolio Optimization for Commodity ETFs under Heavy-Tailed Returns
[arXiv] 2026-06-25 | Central charges $C_J$ and $C_T$ in QED$_d$-GNY model and scalar QED$_d$
[arXiv] 2026-06-25 | Sketched Linear Contrastive Learning: Approximation, Optimization, and Statistical Scaling
[arXiv] 2026-06-25 | TaskTok: Delving into Task Tokens for Task-driven Image Restoration
[arXiv] 2026-06-25 | HiLSVA: Design and Evaluation of a Human-in-the-Loop Agentic System for Scientific Visualization
[arXiv] 2026-06-25 | EcoTable: Cost-effective Table Integration in Data Lakes for Natural Language Queries
[arXiv] 2026-06-25 | Self-improving properties for the fractional $p$-Laplacian via nonlinear commutators
[arXiv] 2026-06-25 | LogicIR: Logic Gate Networks for Image Restoration
[arXiv] 2026-06-25 | A multiplicative ergodic theorem in random and simultaneous dynamics
[arXiv] 2026-06-25 | Bridging Handheld and Teleoperated Supervision for Contact-Rich Manipulation via State-Gated Experts
[arXiv] 2026-06-25 | A Boundary-Consistent Two-Zone Electron Kernel for Distant Pulsar Contributions to Positron Flux and Anisotropy
[arXiv] 2026-06-25 | SharQ: Bridging Activation Sparsity and FP4 Quantization for LLM Inference
[arXiv] 2026-06-25 | The SKA View of the Sunyaev-Zeldovich Effect from Massive Cosmic Halos
[arXiv] 2026-06-25 | WQ-Fusion: Dynamic Gated Attention for Cross-Domain Audio Representation
[arXiv] 2026-06-25 | PhyEditBench: A Real-World Multi-Stage Benchmark for Physics-Aware Image Editing
[arXiv] 2026-06-25 | ConcoLixir: Reactive LLM Discovery Oracles for Python Concolic Testing
[arXiv] 2026-06-25 | Scattering theory for cavity-assisted spin-motion-photon interactions
[arXiv] 2026-06-25 | Too cheap to meter? A stochastic analysis of projected future fusion costs
[arXiv] 2026-06-25 | TESLA-for-5G: Broadcast Authentication for 5G Networks Using TESLA
[arXiv] 2026-06-25 | Boundary-Aware Context Grounding for A Low-Channel EEG Agent
[arXiv] 2026-06-25 | NeuraDock Visual Cognitive Load Agent Tutorial: A Quality-Gated Open-Source EEG Workflow for Alpha Dynamics and Real-Time Applications
[arXiv] 2026-06-25 | Qualitative analysis of positive singular solutions for a critical elliptic system in a punctured ball
[arXiv] 2026-06-25 | Forget, Anticipate and Adapt: Test Time Training for Long Videos
[arXiv] 2026-06-25 | The Negative Triangularity Tokamak Path for Fusion Pilot Plants: Experimental Progress and Future Prospects
[arXiv] 2026-06-25 | TinyCNNDeep: Lightweight Attention-Based CNN for EEG Classification of Eye States and Sleep Deprivation
[arXiv] 2026-06-25 | Same Scrutiny, More Time: Eye Tracking Insights into Reviewing LLM-Labelled Code
[arXiv] 2026-06-25 | Evaluation-Strategy Gap in Fault Diagnosis of Deep Learning Programs
[arXiv] 2026-06-25 | Do more heads imply better performance? An empirical study of team thought leaders' impact on scientific team performance
[arXiv] 2026-06-25 | Extracting Problem and Method Sentence from Scientific Papers: A Context-enhanced Transformer Using Formulaic Expression Desensitization
[arXiv] 2026-06-25 | Geometric Gradient Rectification for Safe Open-Set Semi-Supervised Learning
[arXiv] 2026-06-25 | Einstein World Models
[arXiv] 2026-06-25 | Term-Centric Hierarchy Induction from Heterogeneous Corpora
[arXiv] 2026-06-25 | Spectral expansion of LQG heat trace and KPZ scaling
[arXiv] 2026-06-25 | Angle Estimation via WFRFT Spatial-Domain Basis Decomposition: Breaking the Rayleigh Resolution Limit with Structured Waveform Diversity
[arXiv] 2026-06-25 | On a counterexample to a conjecture of J. Harris for octic surfaces
[arXiv] 2026-06-25 | Focusing on What Matters: Saliency-Harnessing Accurate Routing for Diffusion MoE
[arXiv] 2026-06-25 | UAV-MapFusion: RTK-Aligned Uncertainty-Aware Coarse-to-Fine Multi-Session UAV Mapping
[arXiv] 2026-06-25 | Challenging chiral EFT with tritium beta decay
[arXiv] 2026-06-25 | A Deterministic Control Plane for LLM Coding Agents
[arXiv] 2026-06-25 | Influence of Park's Two-Temperature Model Control Temperature on the Flow Properties in Hypersonic Reentry Conditions
[arXiv] 2026-06-25 | DNSMOS-C: Improving End-to-end Speech Quality Models via Contrastive Learning
[arXiv] 2026-06-25 | Modeling Local, Global, and Cross-Modal Context in Multimodal 3D MRI
[arXiv] 2026-06-25 | Supernova remnants in the new radio astronomy era
[arXiv] 2026-06-25 | RIS-Assisted Proactive Handover for Reliable mmWave Wireless Networks
[arXiv] 2026-06-25 | The Emerging Population of High-energy Emitting Radio Galaxies
[arXiv] 2026-06-25 | Excursion-set structure factor of the auroral electric field
[arXiv] 2026-06-25 | Context-Aware Synthesis of Optimization Pipelines for Warehouse Optimization
[arXiv] 2026-06-25 | An Information-Theoretic Metric for Semantic Value of Spatiotemporal Information
[arXiv] 2026-06-25 | HF Etching and Silanization: Evidence for the Role of Surface Hydroxyl Groups in Silicon Nitride Resonator Loss
[arXiv] 2026-06-25 | A sharp order-three obstruction to the aggregation of conditional price-of-risk attribution
[arXiv] 2026-06-25 | Identifying the Unknown: Prompt-Free Open Vocabulary Anomaly Recognition for Robot-Object Interaction
[arXiv] 2026-06-25 | Probing inflationary particle production with the CMB power spectrum
[arXiv] 2026-06-25 | Characterizing robotic positioners under the influence of changing gravity vectors for future spectroscopic surveys
[arXiv] 2026-06-25 | On quasi-holomorphic homotopies of immersions of 3-manifolds into 5-manifolds
[arXiv] 2026-06-25 | Optimizing Experimental Design for Causal Effect Estimation with Partial Measurements
[arXiv] 2026-06-25 | Feeding and Feedback in Dwarf Galaxies (FeeD) -- I. Evidence of nuclear ultra-fast and galaxy-scale outflows in the dwarf galaxy Arp 151
[arXiv] 2026-06-25 | KARLA: Knowledge-base Augmented Retrieval for Language Models
[arXiv] 2026-06-25 | Structured Secant Methods to Select Smoothing Parameters For General Smooth Models
[arXiv] 2026-06-25 | From Vajrayana Tara to Bengali Baul: A Computational Study of Lexical Transmission Across Buddhist, Shakta, and Vaishnava Traditions in Bengal
[arXiv] 2026-06-25 | Second-order Methods for Multiobjective Composite Optimization: Preconditioning Strategies, Subspace Variants and Inexact Solutions
[arXiv] 2026-06-25 | Mixed Third-Order Flux Laws for Dual Cascade in the Stochastic SQG Equation
[arXiv] 2026-06-25 | Recycling singular and projection subspaces for pseudospectra computation
[arXiv] 2026-06-25 | Hydrogen segregation around a straight screw dislocation in bcc iron
[arXiv] 2026-06-25 | Multiple testing
[arXiv] 2026-06-25 | An Orthogonal Approximate Message Passing Framework for Multiuser Communications
[arXiv] 2026-06-25 | Non-Hermiticity of an anomalous superradiant phase
[arXiv] 2026-06-25 | $e$-polynomials of character varieties
[arXiv] 2026-06-25 | An Iterative Dual-Channel Neural Quantum State Algorithm for Selected Configuration Interaction
[arXiv] 2026-06-25 | NO molecule in massive star forming regions
[arXiv] 2026-06-25 | Sinkhorn-Knopp balancing with generalised martingale-type constraints
[arXiv] 2026-06-25 | Chromatic expansion with Bessel operator of fractional order
[arXiv] 2026-06-25 | TRUST: Item-Calibrated Interval Evidence for Temporal Session-Based Recommendation
[arXiv] 2026-06-25 | Smaller Models, Unexpected Costs: Trade-offs in LLM Quantization for Automated Program Repair
[arXiv] 2026-06-25 | Evidence for possible N2 basal flow beneath Pluto northern Sputnik Planitia
[arXiv] 2026-06-25 | From Approximate Floquet Engineering to Full Floquet Theory: Coherent Control of Chiral Spin Systems in Spintronics
[arXiv] 2026-06-25 | RecallRisk-BERT: A Multi-Task Framework for Post-Report Medical Device Recall Triage
[arXiv] 2026-06-25 | On Parameterized Verification Over Tree Topologies
[arXiv] 2026-06-25 | High Multiplicity Trigger for Long-Lived Particles in CMS detector
[arXiv] 2026-06-25 | Loss-aware pulse sequence optimization for generating photonic Fock states
[arXiv] 2026-06-25 | Rapidity-even directed flow splitting of protons and antiprotons as a probe of baryon stopping in relativistic heavy-ion collisions
[arXiv] 2026-06-25 | Safe Autoregressive Image Generation with Iterative Self-Improving Codebooks
[arXiv] 2026-06-25 | PhysReflect-VLA: Physical Feasibility and Self-Reflective Regulation for Reliable Vision-Language-Action Policies
[arXiv] 2026-06-25 | Estimation of High Dimensional Bounded Discrete Graphical Models via Regularized Generalized Score Matching
[arXiv] 2026-06-25 | Welterweight Go: Boxing, Structural Subtyping, and Generics (Extended Version)
[arXiv] 2026-06-25 | Joint Learning of Experiential Rules and Policies for Large Language Model Agents
[arXiv] 2026-06-25 | Fast summation on rectangular cuboids with arbitrary periodicity in the DMK framework
[arXiv] 2026-06-25 | Rate-2/3 Girth-8 (3,18)-Regular Quantum LDPC Codes from Two-Branch Finite-Field Bases and CPM Lifts
[arXiv] 2026-06-25 | Algorithms for Threshold Group Testing
[arXiv] 2026-06-25 | Maker-Breaker Sabotage Game
[arXiv] 2026-06-25 | Occupation-Time Fluctuations of an Age-Dependent Branching System Driven by Poisson Immigration
[arXiv] 2026-06-25 | An Arbitrary-Lagrangian-Eulerian solver for relativistic detonation waves
[arXiv] 2026-06-25 | Behind the Mask: A Taxonomic Analysis of Activities in Online Social Networks
[arXiv] 2026-06-25 | Neural Networks for Inverse Design of Cascaded-Mode Near-Field Landscapes
[arXiv] 2026-06-25 | Residual GPU Cache State on Apple M4 Pro
[arXiv] 2026-06-25 | Beyond Global Divergences: A Local-Mass Perspective on Bayesian Inference
[arXiv] 2026-06-25 | SubdivAR: Autoregressive Next-Scale Prediction for Neural Mesh Subdivision
[arXiv] 2026-06-25 | PanoImager: Geometry-Guided Novel View Synthesis and Reconstruction from Sparse Panoramic Views
[arXiv] 2026-06-25 | Parametric Open Source Games
[arXiv] 2026-06-25 | On Meyniel's Conjecture in Random Hypergraphs
[arXiv] 2026-06-25 | Solarsystem: A Validated Lightweight Python Package for Planetary Positions and Solar-Lunar Event Calculations
[arXiv] 2026-06-25 | Scalability of Morality: A Particle-Based Numerical Study on the Decoupling of Law and Ethics in Large-Scale Populations
[arXiv] 2026-06-25 | ShareLock: A Stealthy Multi-Tool Threshold Poisoning Attack Against MCP
[arXiv] 2026-06-25 | Improving General Role-Playing Agents via Psychology-Grounded Reasoning and Role-Aware Policy Optimization
[arXiv] 2026-06-25 | SMR: Scheduler with Multi-Channel Map-Encoded Reinforcement Learning for Radio Telescopes
[arXiv] 2026-06-25 | Time-domain evolution of Lorenz-gauge metric perturbations: taming the $\ell=m=1$ gauge instability
[arXiv] 2026-06-25 | A Generalization Theory for JEPA-Based World Models
[arXiv] 2026-06-25 | Hidden critical and Morse equivalence behind duality: Theory and Applications
[arXiv] 2026-06-25 | HI Galaxy Science with the SKA
[arXiv] 2026-06-25 | How to access astronomical observation facilities ?
[arXiv] 2026-06-25 | Enabling self-supervised learned primal dual with Noise2Inverse
[arXiv] 2026-06-25 | Electric-Field Switchable Magnetic Spin Hall Effect
[arXiv] 2026-06-25 | Unison: Benchmarking Unified Multimodal Models via Synergistic Understanding and Generation
[arXiv] 2026-06-25 | Climate-Driven Mortality Forecasting Using Deep Learning
[arXiv] 2026-06-25 | When Does Quality-Aware Multimodal Fusion Matter? A Leakage-Safe Diagnostic for Decision-Level Dependence
[arXiv] 2026-06-25 | The Tilted Playing Field for Women in Science
[arXiv] 2026-06-25 | 3D Spatial Pattern Matching
[arXiv] 2026-06-25 | SatSplatDiff: Geometry-preserving generative refinement for high-fidelity satellite Gaussian Splatting
[arXiv] 2026-06-25 | Causality and the Equivalence Principle for Higher Energy Scattering
[arXiv] 2026-06-25 | Plasmonic coated scatterers for tunable coherent perfect absorption
[arXiv] 2026-06-25 | Hierarchical Muon: Tiled Newton-Schulz Updates for Efficient Muon Optimization
[arXiv] 2026-06-25 | Probing Probability Geometry with Schwinger--Dyson Identities: Score Mismatch, Fisher Information, and Configurational Temperature
[arXiv] 2026-06-25 | Typical distances in high-genus triangulations
[arXiv] 2026-06-25 | 3D Magnetic Field Vectors in Space: Bubbles, Clouds, and Filaments
[arXiv] 2026-06-25 | Classification of homogeneous almost complex $4$-manifolds with non-degenerate torsion bundle
[arXiv] 2026-06-25 | Not All Actions Are Equal: Rethinking Conditioning for Dexterous World Model
[arXiv] 2026-06-25 | Amplified moments of the Riemann zeta function
[arXiv] 2026-06-25 | OctoSense: Self-Supervised Learning for Multimodal Robot Perception
[arXiv] 2026-06-25 | ViQ: Text-Aligned Visual Quantized Representations at Any Resolution
[arXiv] 2026-06-25 | Proactivity and pinning in the non-reciprocal XY model with vision anisotropy
[arXiv] 2026-06-25 | Sculpting NeRF Geometry: Human-Preference Fine-Tuning of a 3D-Aware Face GAN
[arXiv] 2026-06-25 | Self-Sifting quantum key distribution
[arXiv] 2026-06-25 | Exploring dynamics of individual vortices in a superconductor via a levitated magnetic transducer
[arXiv] 2026-06-25 | How Good Can Linear Models Be for Time-Series Forecasting?
[arXiv] 2026-06-25 | BetXplain: An Explanation-Annotated Dataset for Detecting Manipulative Betting Advertisements on Social Media
[arXiv] 2026-06-25 | Sparse Sensor Placement for Reducing Forecast Errors in Ensemble Kalman Filtering
[arXiv] 2026-06-25 | The SPOTLIGHT Multibeam Real-Time Transient Detection System
[arXiv] 2026-06-25 | Non-colliding space-time inhomogeneous Markov chains
[arXiv] 2026-06-25 | Conjecture About Arbitrary Even-Order Convexity of $w$-Optimization of the Split CIF
[arXiv] 2026-06-25 | Ion firehose and ion cyclotron instability with subtracted-Kappa distributions
[arXiv] 2026-06-25 | Tilikum: Transaction Fair Ordering on a DAG without Weak Edges
[arXiv] 2026-06-25 | NOVA: A Verification-Aware Agent Harness for Architecture Evolution in Industrial Recommender Systems
[arXiv] 2026-06-25 | Realistic Time-Domain Synthesis of Gravitational-Wave Detector Glitches using Class-Conditional Derivative Generative Adversarial Networks
[arXiv] 2026-06-25 | Sharp endpoint multilinear estimates for oscillatory integrals and spectral clusters
[arXiv] 2026-06-25 | DnA: Denoising Attention for Visual Tasks
[arXiv] 2026-06-25 | Benign Landscape of Quadratic Programs with Orthogonality Constraints and Its Application to Heteroscedastic Probabilistic PCA
[arXiv] 2026-06-25 | AgentX: Towards Agent-Driven Self-Iteration of Industrial Recommender Systems
[arXiv] 2026-06-25 | Minkowski-Type Wasserstein Metrics and Barycenters for Location-Scale Mixtures with Application to Domain Adaptation
[arXiv] 2026-06-25 | Computating decomposition groups and inertia groups using Newton polygons
[arXiv] 2026-06-25 | Strong counterexamples to Mubayi's supersaturation conjecture in every uniformity
[arXiv] 2026-06-25 | Scalable Operator Learning via Nyström Approximation With Denoising Applications
[arXiv] 2026-06-25 | Unitarity Cuts, t-channel Divergences and the KLN Theorem for Unstable Particles
[arXiv] 2026-06-25 | Theory-Scale Auto-Formalization of Logics for Computer Science
[arXiv] 2026-06-25 | HERETIX: A Hermetic, Enriched, Rare-Event Time Projection Chamber in Xenon
[arXiv] 2026-06-25 | Artin monoids, their homomorphisms and twins
[arXiv] 2026-06-25 | A Forward-Only Construction of Semilinear Inductive Invariants for VAS
[arXiv] 2026-06-25 | Transforming X-ray Binary Astrophysics with SKA+VLBI
[arXiv] 2026-06-25 | Conservation law of super-Lorentz charges
[arXiv] 2026-06-25 | ReasonCLIP-58M: Visually Grounded Commonsense Reasoning Supervision for CLIP
[arXiv] 2026-06-25 | Massive Cosmological Correlators from Flat Space: a Laplace-Space Approach
[arXiv] 2026-06-25 | On the simple derivation of the Casimir effect
[arXiv] 2026-06-25 | A $q$-ary Local Criterion for the Radius-One Limited Permutation Channel and Almost-Optimal Binary Block-Concatenation Codes
[arXiv] 2026-06-25 | Hardware Design for Table Tennis Robot Capable of Beating Professional Players
[arXiv] 2026-06-25 | GRAINS: Storage-Aware Algorithm-Architecture Co-Design Enabling High-Performance and Low-Cost Graph-Based Genome Analysis
[arXiv] 2026-06-25 | A direct proof of Mono-Rolen-Stumpenhusen and new constructions via the Maass raising operators
[arXiv] 2026-06-25 | On the Continuity of the Probabilistic Bisimilarity Distance
[arXiv] 2026-06-25 | Syntactic Belief Update as the Driver of Garden Path Processing Difficulty
[arXiv] 2026-06-25 | Graph Neural Networks Applications Across Domains: All Insights You Need
[arXiv] 2026-06-25 | Explaining Temporal Graph Neural Networks via Feature-induced Information Flow
[arXiv] 2026-06-25 | A Process Harness for Uplifting Legacy Workflows to Agentic BPM: Design and Realization in CUGA FLO
[arXiv] 2026-06-25 | HarmVideoBench: Benchmarking Harmful Video Understanding in Large Multimodal Models
[arXiv] 2026-06-25 | Linear Code Conversion in the Merge Regime: General Bounds and Reed--Muller Constructions
[arXiv] 2026-06-25 | De la Vallée Poussin type approximation for solving some Fredholm integral equations
[arXiv] 2026-06-25 | Redshift-Dependent Intrinsic Dispersion in the Quasar UV/X-ray Luminosity Relation
[arXiv] 2026-06-25 | Stochastic Gradient Optimization with Model-Assisted Sampling
[arXiv] 2026-06-25 | Theorem of Wantzel
[arXiv] 2026-06-25 | Asymptotics of the Selberg Zeta function on the spin moduli space
[arXiv] 2026-06-25 | Scott complexity of trees of finite rank via degrees of categoricity
[arXiv] 2026-06-25 | Frequency Phase Transfer for Future Millimetre Arrays with Arbitrary Frequency Ratios
[arXiv] 2026-06-25 | Connection between the GKSL master equation and the Landauer formula
[arXiv] 2026-06-25 | The Ising Model Coupled to 2D Gravity: Critical Partition Function
[arXiv] 2026-06-25 | On the Reproducibility of Quantum Software Defect Datasets: A Case Study of Bugs4Q
[arXiv] 2026-06-25 | Proposal-Conditioned Latent Diffusion for Closed-Loop Traffic Scenario Generation
[arXiv] 2026-06-25 | Heavy-Ball Q-Learning with Residual Weighting Correction
[arXiv] 2026-06-25 | A possible approach to overcome the saturation of the neutron yield in a Plasma Focus and to achieve breakeven
[arXiv] 2026-06-25 | Start of orbit librations and the bar growth timescale
[arXiv] 2026-06-25 | Data-Free Reservoir Features for Efficient Long-Horizon Cold-Start Continual Learning
[arXiv] 2026-06-25 | Inherited Circuits, Learned Semantics: How Fine-Tuning Creates Evasion Vulnerabilities Invisible to Standard Evaluation
[arXiv] 2026-06-25 | Discrete Space-Time Wave Kernels and Trace Identities on Regular Graphs
[arXiv] 2026-06-25 | Retention Profiles and KL Contraction Bounds in Finite Markov Chains
[arXiv] 2026-06-25 | On prime divisors of character degrees and codegrees
[arXiv] 2026-06-25 | Half-Life Measurements of $^{110}$Sn, $^{113}$Sn, $^{117\mathrm{m}}$Sn, and $^{123\mathrm{m}}$Sn Produced via Photon Activation of Natural Tin
[arXiv] 2026-06-25 | The Line Emission Terahertz Observatory (LETO): Exploring the lifecycle of the ISM and the origins of water
[arXiv] 2026-06-25 | Unveiling a cosmic tango: Integral field spectroscopy and numerical simulations of Arp 143's interaction
[arXiv] 2026-06-25 | Conditional Leibniz Derivative Estimation with an Application to American Call Min-Options
[arXiv] 2026-06-25 | Formalizing a Many-Sorted Hybrid Polyadic Modal Logic in Lean
[arXiv] 2026-06-25 | On the independence of the slow and fast scales in multiple-scale expansions, with application to Van der Pol's equation
[arXiv] 2026-06-25 | Rémy's diffusion on Brownian trees
[arXiv] 2026-06-25 | Adaptive Utility driven Resource Orchestration for Resilient AI (AURORA-AI)
[arXiv] 2026-06-25 | Event-Aware Instructed Assistant for Referring Video Segmentation
[arXiv] 2026-06-25 | Local and nonlocal STM transport signatures of spin polarization in second order topological superconductors
[arXiv] 2026-06-25 | Where Do Models Find Happiness? Emotion Vectors in Open-Source LLMs
[arXiv] 2026-06-25 | In-Context Model Predictive Generation: Open-Vocabulary Motion Synthesis from Language Models to Physics
[arXiv] 2026-06-25 | Computer Vision for MOBA Analytics: A Dataset and Baseline for Visibility Analysis in Dota 2
[arXiv] 2026-06-25 | Protocol Prying: Systematic Vulnerability Research in the Apple AirDrop and Android Quick Share Proximity Transfer Protocols
[arXiv] 2026-06-25 | Holistic Multivariance Decomposition: Adapting Mode Interrelations in Low-Rank Tensor Approximations
[arXiv] 2026-06-25 | Broad-band Spectral Modeling of Large-Scale X-ray Jets in High-Redshift Quasars: An MHD-Informed Approach
[arXiv] 2026-06-25 | The Shift to Agentic AI: Evidence from Codex
[arXiv] 2026-06-25 | Mismatched Exponents for Deterministic and Randomised Noise-Guessing Decoding
[arXiv] 2026-06-25 | What Holds Back Brain-Computer Interfaces? Uncovering Challenges and Opportunities in BCI-controlled Games for Cerebral Palsy Rehabilitation
[arXiv] 2026-06-25 | Exact Comparison of Explanatory Strength of Two Dependent Predictors
[arXiv] 2026-06-25 | VLBI with SKAMPI, the SKA-Mid MPIfR dish demonstrator
[arXiv] 2026-06-25 | Chai: Agentic Discovery of Cryptographic Misuse Vulnerabilities
[arXiv] 2026-06-25 | PortraitGen: Exemplar-Driven GRPO with Dual-Reward Guidance for Photorealistic Portrait Generation
[arXiv] 2026-06-25 | Game Changers: Designing and Measuring Dynamic Feedback To Help Users Self-Regulate in a VR Pointing Game
[arXiv] 2026-06-25 | GEOALIGN: Geometric Rollout Curation for Robust LLM Reinforcement Learning
[arXiv] 2026-06-25 | Neural Texture Compression using Hypernetworks
[arXiv] 2026-06-25 | Confidence-Aware Tool Orchestration for Robust Video Understanding
[arXiv] 2026-06-25 | Incremental Tensor-Train Compression from Streaming TT-Formatted Data: Applications to Reduced-Order Modeling
[arXiv] 2026-06-25 | Generative Retrieval via Diffusion Transformer with Metric-Ordered Sequence Training and Hybrid-Policy Preference Optimization
[arXiv] 2026-06-25 | The Sharp Edges of Calabi-Yau Manifolds: Designing Symmetric Models for Ricci-flat Metrics
[arXiv] 2026-06-25 | Local well-posedness for fractional regularizations of hyperbolic systems of equations
[arXiv] 2026-06-25 | Optimizing Human-Machine Interface for Real-Time AI Support in the Operating Room: the CVS Copilot
[arXiv] 2026-06-25 | MedSWFlow: An Open-Source LLM Workflow for Drafting Medical Social Work Case Plans
[arXiv] 2026-06-25 | Human adaptive variability stabilises collective traffic dynamics
[arXiv] 2026-06-25 | Rolling Shutter Relative Pose Estimation Made Practical
[arXiv] 2026-06-25 | Low-Threshold Degenerate Optical Parametric Oscillations in Bichromatically-Pumped Normal-Dispersion Photonic-Crystal Microresonator
[arXiv] 2026-06-25 | Humanoid-DART: Humanoid Loco-Manipulation using Diffusion-guided Augmentation through Relabeling and Tracking
[arXiv] 2026-06-25 | Data-driven inference of Hopf normal form representations from oscillatory time series
[arXiv] 2026-06-25 | On Periodic Geodesics of Half-Lie Groups
[arXiv] 2026-06-25 | voxmap-studio: An open-source speaker diarization annotation tool with built-in cost instrumentation
[arXiv] 2026-06-25 | Data-Driven Duration Management -- Term Structure Forecasting Using Machine Learning
[arXiv] 2026-06-25 | The Educational Proof Assistant Waterproof in an Introductory Proof Course: Proof Construction and Learning Processes
[arXiv] 2026-06-25 | An Experimental Assessment of the Spatial and Frequency Selectivity of Reconfigurable Intelligent Surfaces
[arXiv] 2026-06-25 | Stochastic gravitational wave spectrum from cosmic string emitting gauge bosons and Majorana fermions
[arXiv] 2026-06-25 | OPID: On-Policy Skill Distillation for Agentic Reinforcement Learning
[arXiv] 2026-06-25 | MergeLLL: A Hierarchical Divide-and-Conquer Framework for LLL-Based Lattice Reduction
[arXiv] 2026-06-25 | Magnetic Cloud Boundary Identification Using a Local-Normalized Magnetic Field Parameter
[arXiv] 2026-06-25 | Escaping Iterative Parameter-Space Noise: Differentially Private Learning with a Hypernetwork
[arXiv] 2026-06-25 | Controlled chemical vapor deposition for synthesis of emerging Mo(W)Te2 systems
[arXiv] 2026-06-25 | Calibrated Harmonic Overlaid Implicit Neural Representations for Multi-Dimensional Data
[arXiv] 2026-06-25 | Grouped Reverse Importance Sampling for the Partition Function
[arXiv] 2026-06-25 | Dimension Spectrum of Continued fraction Expansions with Coefficients restricted to the Fibonacci Sequence
[arXiv] 2026-06-25 | Depth-Semantic Alignment and Affinity-Guided Fusion for Structured Radar Point Cloud Generation
[arXiv] 2026-06-25 | Coherent collective response in many-qubit systems for dark matter detection
[arXiv] 2026-06-25 | Retrieval-Warmed Energy-Based Reasoning: A Five-Arm Ablation Methodology for Diffusion-as-Inference on Structured Reasoning Tasks
[arXiv] 2026-06-25 | Localizing RL-Induced Tool Use to a Single Crosscoder Feature
[arXiv] 2026-06-25 | Epiphany-Aware KV Cache Eviction Without the Attention Matrix
[arXiv] 2026-06-25 | The Growing Self-Reliance of Chinese Innovation
[arXiv] 2026-06-25 | A Causal Foundation Model for Structure and Outcome Prediction
[arXiv] 2026-06-25 | DanceOPD: On-Policy Generative Field Distillation
[arXiv] 2026-06-25 | Cultivating logical catalysts for fault-tolerant dyadic phase rotations
[arXiv] 2026-06-25 | Specific absorption rate of uniaxial single-domain nanomagnets: stochastic spin dynamics versus linear response theory
[arXiv] 2026-06-25 | RayPE: Ray-Space Positional Encoding for 3D-Aware Video Generation
[arXiv] 2026-06-25 | Exact subsystem dynamics in the deterministic Floquet-PXP model
[arXiv] 2026-06-25 | Gelfand-Shilov spaces and operators with ultradifferential weighted symbols on non-compact manifolds
[arXiv] 2026-06-25 | Geometric bulk-edge correspondence for $\mathbb{Z}_2$-topological insulators
[arXiv] 2026-06-25 | See & Sniff: Learning Visuo-Olfactory Representations
[arXiv] 2026-06-25 | Curves contained in a quartic determinantal surface containing a line
[arXiv] 2026-06-25 | AI Healthcare Chatbots as Information Infrastructure: A Large-Scale Study of User-Reported Breakdowns
[arXiv] 2026-06-25 | Reading the Same Data Differently: Interpretive Labor Across System Boundaries in Electronic Monitoring
[arXiv] 2026-06-25 | Strong coupling between propagating spin wave and microwave photons in a superconducting resonator
[arXiv] 2026-06-25 | Astrochemical Study of Early Embedded Disks
[arXiv] 2026-06-25 | How Surprising Is Historical Italian to Language Models? Tokenization Tax, Comprehension Tax, and a Simple Mitigation
[arXiv] 2026-06-25 | Resilient Output Containment under Undisclosed Leader Dynamics and Actuator Attacks
[arXiv] 2026-06-25 | Investigation on the temperature dependence of substrate-induced in-plane uniaxial magnetic anisotropy in Ni thin films grown on 128° Y-cut LiNbO3
[arXiv] 2026-06-25 | Quantum computer architecture with ions in tweezer arrays
[arXiv] 2026-06-25 | RSPC: A Benchmark for Modeling Stress and Psychiatric Conditions in Digitally Mediated Relationships using Psychiatrist Annotations
[arXiv] 2026-06-25 | Methodological Frontiers in 21-cm Intensity Mapping: the Treatment of Systematics and Foreground Contamination
[arXiv] 2026-06-25 | A hardware-safety-gated system for LLM-written native ARTIQ control code on a trapped-ion platform
[arXiv] 2026-06-25 | CARVE: Content-Aware Recurrent with Value Efficiency for Chunk-Parallel Linear Attention
[arXiv] 2026-06-25 | Compositionality and the lexicon in evolutionary semantics
[arXiv] 2026-06-25 | UniFormer: Efficient and Unified Model-Centric Scaling for Industrial Recommendation
[arXiv] 2026-06-25 | Risk-Aware Selective Multimodal Driver Monitoring with Driver-State World Modeling
[arXiv] 2026-06-25 | Intracranial Aneurysm Classification and Segmentation via Tri-Axial ROI and Multi-Task Learning
[arXiv] 2026-06-25 | Extended Structure in E+A Galaxies Via Image Stacking
[arXiv] 2026-06-25 | SegFold: Accelerating Sparse GEMM with a Fine-Grained Dynamic Dataflow
[arXiv] 2026-06-25 | Learning Motion Feasibility from Point Clouds in Cluttered Environments
[arXiv] 2026-06-25 | An algebraic study of ideals of weak graph homomorphisms
[arXiv] 2026-06-25 | Adaptive Randomized Pivoting for Tensor Singular Value Decomposition Model
[arXiv] 2026-06-25 | Idefix-Free Languages and Their Application in External Contextual Grammars
