[2026-08-06 11:23:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-05
正在获取论文...
[arXiv] 2026-08-05 | Coupled quintessence from an axion dark sector
[arXiv] 2026-08-05 | A variation of Eichler's proof of the Baker-Campbell-Hausdorff formula
[arXiv] 2026-08-05 | The Effect of Perceived Race and Gender on Police Language Use: Experimental Evidence from VR Simulations
[arXiv] 2026-08-05 | Polynomial Link Invariants via Decategorification of Subquandle Quiver Filtrations
[arXiv] 2026-08-05 | scikit-rom: An Open-Source Python Platform for Teaching and Prototyping Projection-Based Reduced-Order Modeling
[arXiv] 2026-08-05 | Revisiting Incremental Linearization for Nonlinear Integer Arithmetic
[arXiv] 2026-08-05 | Observation of the Moon and Sun shadows with cosmic rays at an average energy of $\text{7}{\times}\text{10}^\text{17}\,$eV
[arXiv] 2026-08-05 | Above-ground Biomass Estimation with Geospatial Foundation Models
[arXiv] 2026-08-05 | Intervals of uniform Turán densities
[arXiv] 2026-08-05 | Continual-Learning Physics-Informed Neural Networks for Parameterized Partial Differential Equations
[arXiv] 2026-08-05 | NSF-HRPT: Neural Semantic Field meets Hierarchical Risk Perception Tree for Safety-Critical Scenario Assessment
[arXiv] 2026-08-05 | Guideline-as-Oracle: Zero-Annotation Training of an Ophthalmic Telephone Triage Agent
[arXiv] 2026-08-05 | InsightEmb: Learning Action-Intent Embeddings for Agentic Insight Retrieval
[arXiv] 2026-08-05 | A proof of the Freiman-Lev conjecture
[arXiv] 2026-08-05 | "Allow" to Achieve, Over-Privileged Inadvertently: The Unintended Cost of Task-Completion-Driven Pop-up Decisions in Mobile GUI Agents
[arXiv] 2026-08-05 | Three results on extension dimensions of syzygy module categories
[arXiv] 2026-08-05 | Toward Integrating Adaptive Experience Replay and Online Uncertainty Estimation in Safe Actor-Critic Optimal Control
[arXiv] 2026-08-05 | Bernoulli--Strang--Fix Conditions: Approximation and Prediction by Sampling Kantorovich Operators
[arXiv] 2026-08-05 | When Prompts Become Pixels: Prompt-Region Grounding for Multimodal Reasoning
[arXiv] 2026-08-05 | Nanomechanics of MXene flakes at gold interfaces
[arXiv] 2026-08-05 | A GitOps-Driven Annotation Catalog for Fully Automatic Railway Operations
[arXiv] 2026-08-05 | Enabling Urgency-aware Robot Swarm Intralogistics using Smart IoT Tags
[arXiv] 2026-08-05 | YOLOv14:Unified Cross-Domain Real-Time Object Detectionwith Adaptive Multi-View Representation
[arXiv] 2026-08-05 | What We Observe as LLM Behavior Can Be a Side-effect of Inference Backend
[arXiv] 2026-08-05 | Freeform super-oscillatory optics for CMOS-integrated THz super-resolution imaging
[arXiv] 2026-08-05 | A 6G Integrated Sensing and Communication Framework for Railway Intrusion Detection and Collision Prediction
[arXiv] 2026-08-05 | EmpaAva: An Open-source Agentic 3D-Avatar Empathetic Live Chatbot
[arXiv] 2026-08-05 | Benchmarking Deep Learning Models for Dense Event Classification of Offshore Wind Infrastructure in Sentinel-1 Time Series
[arXiv] 2026-08-05 | Laser-Plasma Accelerator Beams in Light Sources: Femtosecond High-Brightness Radiation through Chirped Pulse Injection
[arXiv] 2026-08-05 | MOAT: Model-Agnostic Randomized Transformations for preventing Efficiency Degradation Attacks on ViTs
[arXiv] 2026-08-05 | Easy to Complete, Hard to Choose: Investigating LLM Performance on the ProverbIT Benchmark
[arXiv] 2026-08-05 | Calibrating Artificial Guilt: Neurally Grounded Reward Shaping for Prosocial Multi-Agent Reinforcement Learning
[arXiv] 2026-08-05 | Photo-ionization Compensation of Stray Electric Fields for Cold Rydberg Atoms
[arXiv] 2026-08-05 | MobileWAM: Bridging World Action Models to Mobile Manipulation with Chain-of-Foresight
[arXiv] 2026-08-05 | Tennenbaum-like theorems for cohesive powers
[arXiv] 2026-08-05 | Overcoming Statistical Bias in Action-Controllable World Models
[arXiv] 2026-08-05 | Nanosecond timescale plasticity in shock-compressed polycrystalline MgO: evidence for transition in mechanism above 100 GPa
[arXiv] 2026-08-05 | Towards Datalog on Quantum Annealers: Compiling Recursive Logic Programs with Bottom-up Semantics to 2-local Ising Models
[arXiv] 2026-08-05 | The IBVP for the Navier-Stokes equations in the half-space in a class of weighted Lebesgue spaces
[arXiv] 2026-08-05 | The Order Is the Guarantee: Verifier-Budgeted Code Deletion with Static-First Learned Proposals
[arXiv] 2026-08-05 | Solving Differential Equations Using Continuous-Variable Quantum Annealing
[arXiv] 2026-08-05 | Sun-Facing Diffractive Sail H-Reversal Trajectory: Theoretical Feasibility, Design Strategies, and Applications
[arXiv] 2026-08-05 | Joint UAV Flight and Opportunistic Routing under Reinforcement Learning for Delay-Tolerant Networks
[arXiv] 2026-08-05 | Variable Smoothing for Weakly Convex Problems with Non-Euclidean Directions
[arXiv] 2026-08-05 | A Separator-based Algorithm for the Graph Edit Distance Problem
[arXiv] 2026-08-05 | Causal Evidence Extraction and Triangulation in Crisis Reports using Large Language Models: A ReliefWeb-based Study
[arXiv] 2026-08-05 | When Memory Lies: An Empirical Study of Spatial Memory Staleness in VLM Agents
[arXiv] 2026-08-05 | Optimal minimization of an unknown function in a nonparametric multivariate regression model thanks to a dimension reduction approach
[arXiv] 2026-08-05 | What Is a Skill Worth? Structure-Aware Shapley Valuation of Agent Skills
[arXiv] 2026-08-05 | OutLangSplat: 3D Language Gaussian Splatting for UAV Outdoor Scenes
[arXiv] 2026-08-05 | Relational Response Fields: A General Theory of Black-Box LLM Response Consistency and Recovery
[arXiv] 2026-08-05 | $β$-$n$-sensitivity and other stronger forms of sensitivity in dynamical systems
[arXiv] 2026-08-05 | A Moser-spindle-free 5-chromatic unit distance graph on 2131 vertices in the plane
[arXiv] 2026-08-05 | BiHom-four-angle Hopf modules and BiHom-Yetter-Drinfel'd modules
[arXiv] 2026-08-05 | A matter of class and flare Flare productivity in solar active regions and power-law constraints on the flare frequency distribution
[arXiv] 2026-08-05 | From Research Questions to Columns: Operationalization-Aware Data Discovery
[arXiv] 2026-08-05 | A Remark on Static Animations
[arXiv] 2026-08-05 | Leak-Resistant Unlearning: A New Benchmark for Evaluating Multi-Hop Reasoning Consistency and Recovery Robustness
[arXiv] 2026-08-05 | A Formation-Stage Bottleneck for Exomoons around Close-in Rocky Planets
[arXiv] 2026-08-05 | Locally Solvable Radicals via Wilson Radical Sets and Subgroup Lattices
[arXiv] 2026-08-05 | DIVE: Dynamic Iterative Visual Evidence Construction for Efficient Vision-Language Models
[arXiv] 2026-08-05 | The generalized Griesmer and antiGriesmer bounds
[arXiv] 2026-08-05 | Dynamically suppressing cavity dephasing induced by frequency fluctuations of a coupled nonlinear mode
[arXiv] 2026-08-05 | Frobenius--Witt cotangent complex for derived rings
[arXiv] 2026-08-05 | Edge-spectra supersaturation for tripartite color-critical graphs
[arXiv] 2026-08-05 | Skills Know Their Neighbors: Cluster-Contrastive Capability Pages for Skill Retrieval
[arXiv] 2026-08-05 | REZE: Recognition-Based Zero-Shot Extraction for Video Temporal Grounding
[arXiv] 2026-08-05 | Local Violation Certification for Linear Predict-Then-Optimize Pipelines
[arXiv] 2026-08-05 | Generalized Impulse Responses of Portfolio Default Probabilities: A Modular Framework with an Application to Geopolitical Risk
[arXiv] 2026-08-05 | A smooth BTZ black bounce with an extremal null throat
[arXiv] 2026-08-05 | Eigenius: A Typed Knowledge-Graph DBMS with Epistemic Stratification and Institution-Mediated Reasoning
[arXiv] 2026-08-05 | TwinIR: Coordinated Invisible Dual-Point Attacks on Online HD Map Construction
[arXiv] 2026-08-05 | Large-time behavior and grow-up rates of inhomogeneous semilinear heat equations
[arXiv] 2026-08-05 | Probing the CP violation effects via the angular coefficients in Drell-Yan production
[arXiv] 2026-08-05 | Strong convergence for countable generalized Bregman nonexpansive-type mappings with equilibrium and variational inequality constraints
[arXiv] 2026-08-05 | Predict, Then Retrieve: Cross-Instance Future-State Retrieval from Video Prefixes
[arXiv] 2026-08-05 | Best for which estimand? A known-truth benchmark of longitudinal-matching and target-trial-emulation methods for time-varying treatments
[arXiv] 2026-08-05 | Training-Free Hashing-Based Attention via Binary Principal Components
[arXiv] 2026-08-05 | Faster-WAM: Efficient Inference-Time Future Conditioning for Robust World Action Models
[arXiv] 2026-08-05 | Tensor Network Formulation of $\mathcal{PT}$-Symmetric Quantum Field Theory
[arXiv] 2026-08-05 | Towards Trustworthy Hypergraph Neural Networks under Label Noise
[arXiv] 2026-08-05 | FIRST-PL: Commissioning the first visible photonic lantern spectrograph for sub-diffraction-limit astronomy on Subaru/SCExAO
[arXiv] 2026-08-05 | Cold Dark Matter and Self-Interacting Dark Matter Interpretations of Cloud-9
[arXiv] 2026-08-05 | RIS-Enabled Energy-Efficient ISAC for Vehicular Applications
[arXiv] 2026-08-05 | HyPASE: Hyperbolic Geometry for Parameter-Efficient Speech Emotion Fine-Tuning Framework for Large Audio-Language Models
[arXiv] 2026-08-05 | Quantized topological invariant of symmetry-projected Gibbs states
[arXiv] 2026-08-05 | From Cake-Cutting and Necklace-Splitting to Fair Division of Indivisible Items
[arXiv] 2026-08-05 | From Compensation Design to Budget-Feasible Mechanisms: A Constant Approximation for Subadditive Valuations
[arXiv] 2026-08-05 | COMPAS: Difficulty-Aware Joint Search for Optimizing Code Generation
[arXiv] 2026-08-05 | Right Reset: Chunking by Prefix Removal
[arXiv] 2026-08-05 | DataRx: Missingness-Aware Sampling for Safer Large Language Model Task-Specific Fine-Tuning
[arXiv] 2026-08-05 | Error estimates for vector field interpolation based on generalized matrix-valued kernels
[arXiv] 2026-08-05 | Achieving First-Order Statistical Improvements in Data-Driven Optimization: From No-Free-Lunch to Amplified Decision Perturbation
[arXiv] 2026-08-05 | Runge--Kutta Bias in Local Maximal-Canard Thresholds: A Chain-Tree Condition
[arXiv] 2026-08-05 | CLIP-CC-Bench: Evaluating Paragraph-Level Video Descriptions in Video-Language Models
[arXiv] 2026-08-05 | On homological Real trace methods
[arXiv] 2026-08-05 | Two absolutely bounded determinantal ratios
[arXiv] 2026-08-05 | Sparse Random Covers and Growth of Torsion in First Homology
[arXiv] 2026-08-05 | When Do PEFT Adaptations Leak Structure? Measuring Black-Box Structural Bounds in Public-Base Model Services
[arXiv] 2026-08-05 | On the Iterate Convergence of Bregman Projected Gradient Method
[arXiv] 2026-08-05 | CP Polarimetry with Linearly Polarized Photon Fusion and Double-Tagged Protons
[arXiv] 2026-08-05 | On bounds between all s-numbers and widths of convex sets
[arXiv] 2026-08-05 | Revealed Rationality: Label-Free Evaluation and Regularization from Representation Theorems
[arXiv] 2026-08-05 | RKKY interaction as a probe of spin splitting and odd-parity nature in Floquet collinear magnets
[arXiv] 2026-08-05 | Higher-dimensional Virasoro algebras
[arXiv] 2026-08-05 | SpecRoll: Fast-Slow Verifier-Feedback Adaptation for Speculative Reinforcement Learning Rollouts
[arXiv] 2026-08-05 | ContextMaster: Interactive Multi-Shot Video Creation via Fixed-Budget Sparse Context Routing
[arXiv] 2026-08-05 | Reply, Delete, or Ignore? Examining How Content Creators Perceive and Select Comment Moderation Strategies
[arXiv] 2026-08-05 | A plasma photocathode for spin-polarized electron beams using excited hydrogen halides
[arXiv] 2026-08-05 | Photonic-chip-based generation of sub-100-femtosecond optical frequency combs
[arXiv] 2026-08-05 | From Long to Short: How Interest Rates Shape Life Insurance Markets
[arXiv] 2026-08-05 | On the dimensions of correlated equilibrium polytopes of generic games
[arXiv] 2026-08-05 | On abelian complex structures on Nilpotent Lie Algebras
[arXiv] 2026-08-05 | A Design-Based Minimax Theory for Network Experiments
[arXiv] 2026-08-05 | On the absence of point defects in biaxial Landau--de Gennes models
[arXiv] 2026-08-05 | Visual Representation Matters: Exploiting Temporal Differences in Video-to-Audio Generation
[arXiv] 2026-08-05 | Theoretical Framework for Phase-space Local-Angle-Domain Waveform Inversion in Anisotropic Elastic Media
[arXiv] 2026-08-05 | Spherical Completeness, Coherence, and GCD Properties of Formal Power Series and Witt Vector Rings
[arXiv] 2026-08-05 | Exploring Fraction Comprehension and Interest in Elementary Education Through AI-Powered Personalized Learning
[arXiv] 2026-08-05 | Effects of Interfacial States and Strain on Tunnel Magnetoresistance in van der Waals Magnetic Tunnel Junctions
[arXiv] 2026-08-05 | STEP-OPD: Rethinking Output Targets and Internal Dynamics in On-Policy Distillation for Diffusion Models
[arXiv] 2026-08-05 | A Cost-Aware Probability Monad for Liquid Haskell
[arXiv] 2026-08-05 | Persistent Object Narratives for Token-Efficient Video Language Models
[arXiv] 2026-08-05 | Transforming Remanufacturing Automation with Large Language Models: A Forward-Looking Analysis with Case Studies
[arXiv] 2026-08-05 | Minimal-Norm Extensions of Stationary Kernels on Subgroups of Locally Compact Abelian Groups and Gaussian Conditioning
[arXiv] 2026-08-05 | Toward Blockage-Resilient 6G-V2X Connectivity: Semi-Distributed Bandit with Dynamic Arm Set for mmWave HetNets
[arXiv] 2026-08-05 | Towards a satellite image manipulation and deepfake localization benchmark dataset
[arXiv] 2026-08-05 | Intrinsic-Hybrid Latent Diffusion Models for Generative Modeling on Unknown Manifolds
[arXiv] 2026-08-05 | Quantum States Protection under Environmental Noise
[arXiv] 2026-08-05 | Global Attention-Fused Image Cropping with Attention-Guided and Global-Aligned Crop Evaluator
[arXiv] 2026-08-05 | Rethinking Pixel Mean Flows via Interval Denoiser
[arXiv] 2026-08-05 | Memristive Behavior and Mechanism in Solid-State Nanopores
[arXiv] 2026-08-05 | StaticSegFormer: An Efficient High-Performance Semantic Segmentation Based on Static Structured Pruning
[arXiv] 2026-08-05 | Scrouting: Cost-Aware Routing of Coding Agents by Scouting the Repository First
[arXiv] 2026-08-05 | Uniform High Order Factorial Moment Bounds for the Critical Erdős-Rényi Component Process
[arXiv] 2026-08-05 | Objects as Audio-Visual Modal Sound Fields
[arXiv] 2026-08-05 | OctoLong: Mid-Training On Cross-Repository Code Contexts Enhances Long-Context Modeling
[arXiv] 2026-08-05 | OPD-V: Visual On-Policy Self-Distillation with Modality Balance
[arXiv] 2026-08-05 | Large mass limits of $\mathrm{G}_2$ and Calabi--Yau monopoles: calibrated concentration, Higgs zeros, and abelianization
[arXiv] 2026-08-05 | CCAT: Design and Characterization of the 350 GHz Instrument Module
[arXiv] 2026-08-05 | Counterexamples to Schiffer's Conjecture
[arXiv] 2026-08-05 | BnBERT-iPET: Sparse Few-Shot Language Modeling for Bengali via Lottery Ticket Pruning
[arXiv] 2026-08-05 | Multimodal Spatiotemporal Atmospheric Data Assimilation with Latent Flow-matching
[arXiv] 2026-08-05 | HexMIL: Hierarchical Attention MIL for Ante-Hoc Explainable Detection of AI-Manipulated CT Volumes
[arXiv] 2026-08-05 | Item Response Theory for AI Safety
[arXiv] 2026-08-05 | Capability-Gated Planning: Cost-to-Goal Discovery and the Limits of Myopic Experiment Selection
[arXiv] 2026-08-05 | Nonparametric Estimation under General Nonlinear ODE Constraints: A Comparison with Parametric ODE-Fitting Methods
[arXiv] 2026-08-05 | Provable Limits and Certified Deferral for Verbalized Uncertainty in Small Language Models
[arXiv] 2026-08-05 | Hardware Design and Security in the Era of Chiplets and LLMs
[arXiv] 2026-08-05 | HPHT growth of centimeter-sized cubic boron nitride crystals
[arXiv] 2026-08-05 | Combinatorial and algebraic proofs of Keller's $A_2\square A_2$ $q$-dilogarithm identity
[arXiv] 2026-08-05 | X-ray Thermal diffuse scattering from real-space displacement correlations
[arXiv] 2026-08-05 | OmniEdit-Bench: A Comprehensive Benchmark for Instruction-based Video Editing
[arXiv] 2026-08-05 | Differential Homology
[arXiv] 2026-08-05 | Revisiting Channel Effectiveness: A Multi-Dimensional Evaluation with Primitive Visual Stimuli
[arXiv] 2026-08-05 | The two faces of tides: gravitational instability during galaxy mergers
[arXiv] 2026-08-05 | High energy probes of Higgs self-coupling via $W$ boson fusion at future lepton colliders
[arXiv] 2026-08-05 | Demonstrating advantages of dynamic quantum circuits on a hybrid superconducting qubit-cavity processor
[arXiv] 2026-08-05 | German parties shifted towards intuition-based rhetoric after the far right's parliamentary breakthrough
[arXiv] 2026-08-05 | Active Learning Guided Design Space Refinement for Scalable Multi-Objective Bayesian Optimization in Materials Discovery
[arXiv] 2026-08-05 | MIGHTEE-HI: Environmental effects of cosmic filaments on extragalactic HI detections in the COSMOS and XMM-LSS fields
[arXiv] 2026-08-05 | GASP: GPU-Accelerated Safe Planner for Real-Time Collision-Aware Motion Generation with Latent Trajectory Sampling
[arXiv] 2026-08-05 | Linear dependence of time-frequency shifts of a Schwartz function
[arXiv] 2026-08-05 | Ideal points, directed completion and the case of the maximally extended Schwarzschild spacetime
[arXiv] 2026-08-05 | Spectral evolution of two-photon emission in microresonators
[arXiv] 2026-08-05 | On the Effectiveness of Adaptation Strategies for VLM-Based Federated Learning in Remote Sensing
[arXiv] 2026-08-05 | In search of novel ductile superconductors
[arXiv] 2026-08-05 | Defensive Pessimism: Growth, Culture, and the Survival of Evidence
[arXiv] 2026-08-05 | A phase field model of coupled crack and dislocations: emission, blunting, and the necessity of dissipative toughening
[arXiv] 2026-08-05 | Embedding Large Language Models into Flow Controls: An Agentic Framework for Adaptive and Trustworthy Automated Cooking
[arXiv] 2026-08-05 | Is Dark Matter Really Matter?
[arXiv] 2026-08-05 | Non-Thermal Pressure due to Gas Motions in the Intracluster Medium: Confronting XRISM/Resolve with TNG-Cluster Simulations
[arXiv] 2026-08-05 | Revisiting Pose Sensitivity in Splat-based Computed Tomography under Sparse-view Reconstruction
[arXiv] 2026-08-05 | Computing Reaction and Activation Energies of Pericyclic Reactions using a Symmetry-Adapted VQE Algorithm
[arXiv] 2026-08-05 | Analytical Prediction of Voltage Collapse in Current-Limited Grid-Forming Inverters
[arXiv] 2026-08-05 | Swept-source heterodyne detection for interferometry in the H band
[arXiv] 2026-08-05 | Performance Analysis of Double Perovskite-Based Solar Cells Using SCAPS-1D Simulation: A brief review
[arXiv] 2026-08-05 | A Systolic Array Architecture for Nonlinear Activation Functions and Softmax Computation using Chebyshev Polynomials
[arXiv] 2026-08-05 | A new look at some aspects of one-dimensional random sequential adsorption and its continuum limit
[arXiv] 2026-08-05 | Diagnosing Tool-Selection Reasoning in LLM Agents with Canary Tools
[arXiv] 2026-08-05 | Quantization of Algebraic Varieties Defined by Casimir Polynomials via Matrix Regularization: Fuzzy $S^7$ and Beyond
[arXiv] 2026-08-05 | Benchmarking Multi-fidelity Neural Operators on Complex PDE Problems with Non-trivial Fidelity Differences
[arXiv] 2026-08-05 | IslamicTurathBench: A Multi-Task, Multi-Discipline Benchmark for Evaluating Large Language Models on the Islamic Scholarly Tradition (turath)
[arXiv] 2026-08-05 | Teaching MLLMs to Say No: Generalized Referring Expression Comprehension via Refusal Calibrated GRPO
[arXiv] 2026-08-05 | Personalized Federated Sparse Adaptation of Time-Series Foundation Models
[arXiv] 2026-08-05 | Fractal properties of the cosmic web
[arXiv] 2026-08-05 | Raman Signatures of Lithium Ion Dynamics in LLZO Garnet Electrolytes: Atomistic Insights from MD-Raman Calculations
[arXiv] 2026-08-05 | Quantum SWITCH-induced non-Markovianity is not entirely quantum
[arXiv] 2026-08-05 | On Tate cohomology and base change of representations of $D^\times$
[arXiv] 2026-08-05 | Differential 6-DOF Pose Estimation with Provable First-Order Immunity to Camera Calibration Errors
[arXiv] 2026-08-05 | Differentiating Through Dual Prices: End-to-End Policy Learning Under Capacity Constraints
[arXiv] 2026-08-05 | Soft-Noncrossing Bayesian Panel Quantile Regression for Measuring Climate Tail Risk
[arXiv] 2026-08-05 | An Exploratory Study of Agent Plans for Agentic AI Coding Tools in Open-Source Software
[arXiv] 2026-08-05 | Subdivided expanders and counterexamples to the Tree Product Conjecture
[arXiv] 2026-08-05 | CSGen: A Multi-Domain Curvilinear Structure Generation Model via Hierarchical Multimodal Diffusion
[arXiv] 2026-08-05 | Almost sure local well-posedness for the nonlinear Schrödinger equations on $\Bbb T^d$ with non-algebraic nonlinearity
[arXiv] 2026-08-05 | The fiber of multiparameter persistent homology for simplicial complexes
[arXiv] 2026-08-05 | The Frequency-Dependent Spin Contribution to the Magnetoelectric Tensor of Cr$_2$O$_3$: A First-Principles Study
[arXiv] 2026-08-05 | Stochastic Two-Species Chemotaxis Competition: Global Well Posedness and Continuous Dependence
[arXiv] 2026-08-05 | Efficient Depth--Ancilla Tradeoffs for Hamming Weight Computation and Symmetric Boolean Functions
[arXiv] 2026-08-05 | Sharp regularity for the periodic Camassa--Holm equation in critical Triebel--Lizorkin spaces
[arXiv] 2026-08-05 | Agreement Before Diversity: Verification-First Complementarity for Heterogeneous Language-Model Coordination
[arXiv] 2026-08-05 | Type I X-Ray Burst Models With Rotation
[arXiv] 2026-08-05 | TRCoRSurg: Temporal-Relational Co-Reasoning for Surgical Video Triplet Recognition
[arXiv] 2026-08-05 | COSMO: Consensus-Driven Shift Modulation for Source-Free Domain Adaptation
[arXiv] 2026-08-05 | Traveling fronts in a spatial epidemic model with slow loss of immunity
[arXiv] 2026-08-05 | ACA-GS: Adaptive-Capacity Anchored Gaussian Splatting for Compact Dynamic Radiance Fields
[arXiv] 2026-08-05 | The Personalization Mirage: How LLMs Fabricate User Profiles, and Why Self-Monitoring Misleads
[arXiv] 2026-08-05 | Breadcrumbing Search Agents
[arXiv] 2026-08-05 | Quantum annealers as programmable thermal machines
[arXiv] 2026-08-05 | ColorFD: A Finite-Difference Guided Black-Box Physical Adversarial Attack for Remote Sensing Object Detection
[arXiv] 2026-08-05 | VoxStruct3D: Structure-Leading Flow Matching for Voxel-Space 3D MRI Synthesis
[arXiv] 2026-08-05 | Representing Visual Evidence for Item Difficulty Prediction: Visual Textualization and Image-Native Modeling
[arXiv] 2026-08-05 | A Model Merging Approach for Continual MLLM Unlearning
[arXiv] 2026-08-05 | A large deviation principle for a class of weighted means of random variables which converges weakly to the Dickman distribution
[arXiv] 2026-08-05 | SparseDitto: Customizing GPU Kernels for Different Sparsity Patterns with LLM-Based Agentic System
[arXiv] 2026-08-05 | Scaling behavior in non-reciprocal and odd conserved dynamics near criticality
[arXiv] 2026-08-05 | ArtAnno: Annotating Implicit Semantics in Artworks through LLM Agent-Driven Bidirectional Human-AI Augmentation
[arXiv] 2026-08-05 | Canonical Joint Energy-Based Model on CIFAR-10: failure modes and practical indistinguishability of Predictor-Corrector and SGLD samplers
[arXiv] 2026-08-05 | Short-term load forecasting under EU-AI Act Requirements in Safety-Critical Environments: Results from a 41-day live challenge on the aggregated German transmission-grid load
[arXiv] 2026-08-05 | Nonlinear nanoelectromechanics of a movable Cooper-pair box
[arXiv] 2026-08-05 | Towards Decentralized Searcher Competition in MEV Markets
[arXiv] 2026-08-05 | Stochastic Emulation using Generalized Stratified Sampling for Performance-Based Risk Optimization of Structures
[arXiv] 2026-08-05 | A Tight Bound on Online Vertex Cover under Edge Arrivals
[arXiv] 2026-08-05 | A Counterexample to the Liu--Lou--Zhu $\mathcal Q_p$--Carleson Embedding Conjecture
[arXiv] 2026-08-05 | Quantifying the Availability of Synchronized and Non-Synchronized Generating Units When Needed
[arXiv] 2026-08-05 | Modified Hamiltonian-driven shortest-path ray tracing in dissipative anisotropic media
[arXiv] 2026-08-05 | Toward Practical Decentralized Proof-of-Location via Physical Witnessing Zones
[arXiv] 2026-08-05 | UG-UMRE: Uncertainty-Guided Modality Augmentation and Distributional Calibration for Unified Multimodal Relation Extraction
[arXiv] 2026-08-05 | A General Sufficient Condition for Rewriting Horn-ALCHI Atomic Queries into GQL
[arXiv] 2026-08-05 | Fitness and subfitness via interior and closure operators
[arXiv] 2026-08-05 | Reading Between the Frames: Interpreting Implicit and Non-literal Meaning in Social Media Videos
[arXiv] 2026-08-05 | Mean-Field Doubly Reflected Forward-Backward SDEs with Optional Barriers and $L^p$-Data
[arXiv] 2026-08-05 | Unleashing the Potential of Vision-Language Models for Generalizable AI-Generated Image Detection
[arXiv] 2026-08-05 | Does Out-of-Sight Equal Out-of-Mind in CoT Monitorability?
[arXiv] 2026-08-05 | Inverse probability weighting for auxiliary variable dependent sampling in observational studies of Long COVID
[arXiv] 2026-08-05 | Properties of granular light bridges
[arXiv] 2026-08-05 | Transition Techniques for Externally-Guided Multi-Scale Viewpoint Changes
[arXiv] 2026-08-05 | Enhancing Low Back Pain Assessment with Diffusion Models for Lumbar Spine MRI Segmentation
[arXiv] 2026-08-05 | A commutant gate for spectral fitting through symmetry forced degeneracy
[arXiv] 2026-08-05 | Evaluation Pitfalls and Sparsity Limitations in LLM-based Confidence Estimates for Classification
[arXiv] 2026-08-05 | Minimal Binary Linear Codes of Dimension n+4 from Partial Spreads and Their Dual Access Structures
[arXiv] 2026-08-05 | Evaluating the Diagnostic Robustness of Vision-Language Models Under Visual and Textual Perturbations
[arXiv] 2026-08-05 | Cluster Deletion is as Hard to Approximate as Vertex Cover
[arXiv] 2026-08-05 | Variational Bounds for Perceptron Learning from Structured Data
[arXiv] 2026-08-05 | Isometric Composition Operators on $BMOA$ for $0<p<\infty$
[arXiv] 2026-08-05 | Large nonlinear Hall effect in strained moiré structures hosting high-pseudospin fermions
[arXiv] 2026-08-05 | Universal Scaling of the Minimum Error Probability in Qualification of Quantum States
[arXiv] 2026-08-05 | Prior-Based Multi-Voltage Threshold Sampling as a Structured Inverse Problem
[arXiv] 2026-08-05 | On the sharpness of the $C^1$-norm threshold for perturbations in the normally hyperbolic invariant manifold theorem---a toy model perspective
[arXiv] 2026-08-05 | Extreme flows: where physics meets mathematically rigorous bounds
[arXiv] 2026-08-05 | Non-uniqueness of geodesic limits and a question of Grayson and Gage
[arXiv] 2026-08-05 | Two-dimensional Toda--Arnoldi correspondence: Holomorphic Krylov geometry and counterdiabatic transport
[arXiv] 2026-08-05 | Do Language Models Know Their Slang? Queer Slang Understanding in User-Generated Content
[arXiv] 2026-08-05 | Exchangeable Testing Against an Unknown Benchmark
[arXiv] 2026-08-05 | RegisterBridgeMM: A Register-Centric Framework for RGB-Infrared Object Detection
[arXiv] 2026-08-05 | Robust Control under Stationary Ambiguity
[arXiv] 2026-08-05 | Deliberate Before You Fly: Vision-Guided Spatial Deliberation for UAV See-and-Reach Navigation
[arXiv] 2026-08-05 | Laminar gaps mirror turbulent puffs in pipe flow
[arXiv] 2026-08-05 | When Diffusion Models Forget Who You Are: Identity Preservation in Face Inpainting under Large Occlusions
[arXiv] 2026-08-05 | Growth and characterization of GaN/Ga2O3 Nanowire Heterostructures for Ultraviolet Optoelectronics
[arXiv] 2026-08-05 | Isochrone fitting of Galactic globular clusters - IX. Tip of the red-giant branch for 27 clusters and constraints on new particle physics
[arXiv] 2026-08-05 | Debiasing the Lasso under Weaker Tail Assumptions
[arXiv] 2026-08-05 | High-cooperativity coupling and spin-resolved extinction of tin-vacancy centers in a diamond-like microcavity
[arXiv] 2026-08-05 | SceneBaker: Radio-Ready Scene Generation for Sionna Ray-Tracing
[arXiv] 2026-08-05 | Holographic light quark jet quenching in flavor resolved QCD plasmas
[arXiv] 2026-08-05 | Low-rank and graphon limits for dynamic threshold distress contagion in heterogeneous financial networks
[arXiv] 2026-08-05 | A Dual Evaluation for Music Transcription
[arXiv] 2026-08-05 | GUARD: Grounding Uncertainty and Ablation-Based Risk Detection for Diffusion-Based VLAs
[arXiv] 2026-08-05 | CARGO-VL: Counterfactual Arbitration with Risk-Constrained Group Optimization for Vision-Language Models
[arXiv] 2026-08-05 | Microscopic theory of the field-induced instability of the vortex-free state in superconducting thin-film strips
[arXiv] 2026-08-05 | Hidden Supersymmetry in Wigner-Yang Quantum Mechanics
[arXiv] 2026-08-05 | Privacy-Preserving Action Recognition: Taxonomy, Methods, and Privacy-Utility Trade-offs
[arXiv] 2026-08-05 | Energy Efficient AI-Enabled Wireless Sensor Networks for Mission Critical Environments: A Systematic Review across Smart Grid, AI, and Urban Infrastructure Applications
[arXiv] 2026-08-05 | Regularized Multitangent Functions and Reduction Theorem
