[2026-07-11 10:16:08] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-10
正在获取论文...
[ACM] 2026-7-10 | Privacy-Preserving GAN for Synthetic Data against Membership Inference Attack
[ACM] 2026-7-10 | The Energy-Oriented Centre of Excellence
[ACM] 2026-7-10 | Influence of Environmental Indicators Aggregation Methods for Eco-designing Integrated Circuits
[ACM] 2026-7-10 | TURANDOT - TUning Risc-V to Automotive Needs &amp; Different Other Theme
[ACM] 2026-7-10 | AdaptiveKV: Accelerating KV Cache Offloading with a Bandwidth-Adaptive Memory Allocation Mechanism
[ACM] 2026-7-10 | Inductive Dual-Polarity Modeling via Static–Dynamic Disentanglement for Dynamic Signed Networks
[ACM] 2026-7-10 | CURE: Adaptive Multi-Channel Fusion via Genetic Optimization for Chronic Wound Image Analysis
[ACM] 2026-7-10 | The CRA Practitioner-to-Professor (P2P) Survey: Toward Periodic Feedback from Industry to Academic Computing Programs
[IEEE] 2026-7-10 | A High-Sensitivity External Capillary Fiber SPR Sensor with a Wide Linear Range for Simultaneous Sensing of Magnetic Field and Temperature
[IEEE] 2026-7-10 | Deep Learning-Based Forecasting of Containerized Maritime Trade: A Decomposition and Attention Approach
[IEEE] 2026-7-10 | Multi-topic Opinion Dynamics in Multi-layer Networks
[IEEE] 2026-7-10 | A Pseudo-Anomaly Augmented Dual Adversarial Autoencoder Framework for Video Anomaly Detection in Bio-Manufacturing Systems
[IEEE] 2026-7-10 | A Genetic Algorithm–Based Global MPPT Strategy for PV-Assisted Electric Vehicle Charging Under Partial Shading Conditions
[IEEE] 2026-7-10 | Uncovering Kidney Health Patterns from the Effects of Ethanol Diet in Wistar Rats Using Deep Spatio-Temporal Data Mining
[IEEE] 2026-7-10 | Data-Driven Discovery of Governing Physical Laws Using Scientific Machine Learning
[IEEE] 2026-7-10 | A proposal of a Smart Readiness Indicator including Renewable Energy Community domain
[IEEE] 2026-7-10 | Stream Ciphers Used in Mobile Communications: Implementation and Comparative Analysis of the ZUC-256 and SNOW-V Algorithms
[IEEE] 2026-7-10 | The Development of Artificial Intelligence-Driven Requirement Management System
[IEEE] 2026-7-10 | A Data-Driven Leveraging Random Forest Framework for Credit Card Fraud Detection
[IEEE] 2026-7-10 | A Physics-Based Monitoring Framework for a Large-Scale Distributed Photovoltaic Portfolio
[IEEE] 2026-7-10 | Joint Beamforming and Active RIS Optimization for Integrated Sensing and Communication
[IEEE] 2026-7-10 | Advances in Electromagnetic Compatibility for Biomedical Wearable and Implantable Devices
[IEEE] 2026-7-10 | Optimization-Based Scheduling of Grid-Scale Li-Ion Battery Energy Storage System for Participation in Japan’s FCR Market
[IEEE] 2026-7-10 | Image-Transformation-Based Analysis of Transfer Impedance in Multi-Hollow-Shielded TWP Cable Configurations Over Ultrawide Frequency Ranges
[IEEE] 2026-7-10 | A Two-Stage Fine-Tuned Mask R-CNN Pipeline for UAV-Based Urban Tree Inventory
[IEEE] 2026-7-10 | An End-to-End Deep Learning Framework for Dense 3D Point Cloud Reconstruction from Partial Observations
[IEEE] 2026-7-10 | A real opportunity or still a promise? The current status of the RISC-V ecosystem
[IEEE] 2026-7-10 | Design and Validation of an Open TEM Cell for Electro-Optic Probe Calibration
[IEEE] 2026-7-10 | Dynamic Infrared Thermography for Quantitative Assessment of Melanocytic Lesions
[IEEE] 2026-7-10 | Machine Learning Based Prediction of Grooved Journal Bearing Performance
[IEEE] 2026-7-10 | Economic Value of Hydrogen Demand Forecasting for Rule-Based Operation of Green Hydrogen Hubs
[IEEE] 2026-7-10 | Bridging the Speed-Accuracy Gap: Layout-Aware Pre-Silicon Side-Channel Analysis
[IEEE] 2026-7-10 | Optimization and Validation of PCB Trace Pulse Fusing Characteristics via BPSO Algorithm
[IEEE] 2026-7-10 | Exploration of Reference Trimming Schemes for STT-MRAMs
[IEEE] 2026-7-10 | Design and ASIC Implementation of a Pipelined 64-Bit Vedic Multiplier
[IEEE] 2026-7-10 | An Improved Pattern-Based Analytical Method for Power Distribution Network Modeling
[IEEE] 2026-7-10 | Structural Testing Methodology for Deep Neural Networks based on RRAM
[IEEE] 2026-7-10 | Design and Optimization of a Fractional-Flux Transformer for LLC Resonant Converters
[IEEE] 2026-7-10 | Deep NH
                    <sup>+</sup>
                    <sub>4</sub>
                    Regression for Smartphone Colorimetric Test Strips: On the Need for Explicit Green-Border Normalization
[IEEE] 2026-7-10 | Evaluating Direct Load Control Contracts for Heat Pumps: A Swiss Case Study
[IEEE] 2026-7-10 | E-mobility potential assessment in SE Europe
[IEEE] 2026-7-10 | Federated Learning for Brain Tumor Classification in Distributed Healthcare Systems
[ACM] 2026-7-11 | Performance Analysis of Conveyors: Memory Dominates?
[IEEE] 2026-7-10 | A study of RF-Induced Heating in Implantable Stents with Insulation Defect at 1.5T MRI
[IEEE] 2026-7-10 | To Consume or Not to Consume? On the Behavioral Drivers of Household Energy Consumption
[IEEE] 2026-7-10 | Hardware Trojans Horses: Two Decades Later, What We Really Know
[IEEE] 2026-7-10 | A Clinically Oriented Hybrid CNN–Transformer Framework for Robust and Interpretable Lung Cancer Detection from CT Images
[IEEE] 2026-7-10 | Power/Ground Noise Characterization and Mitigation in Fully Integrated Voltage Regulator (FIVR)-Based UFS System with Embedded Inductor
[IEEE] 2026-7-10 | Understanding Internal Congestion in Germany: A Comparative Study of Zonal and Nodal Pricing with Future Grid Reinforcements
[IEEE] 2026-7-10 | Low-Harmonic Single-Phase to Three-Phase PFC Strategy Using Half/Full-Bridge Hybrid MMC With Diode Front-End
[IEEE] 2026-7-10 | Hybrid Transformer U-Net with Attention for Precise Brain Tumor Boundary Segmentation in MRI
[IEEE] 2026-7-10 | Decentralized Distribution Security Protocol for Multicast Screen Synchronization Over Real-Time Peer-to-Peer Networks
[ACM] 2026-7-11 | MagmaScope: Identifying Root-Cause Changes for Emergency Incident in Large-Scale Cloud Infrastructure
[ACM] 2026-7-11 | Finding the Needle in the Crash Stack: Industrial-Scale Crash Root Cause Localization with AutoCrashFL
[ACM] 2026-7-11 | Beyond the Commit: Developer Perspectives on Productivity with AI Coding Assistants
[ACM] 2026-7-10 | On the Analysis of Radiation-Induced Faults in FPGA-Based Optical Communication for Space Applications
[ACM] 2026-7-10 | Not All Faults Are Equal: Transient-Fault Sensitivity Characterization of an Open-Source RISC-V Vector Cluster
[ACM] 2026-7-10 | Faithful LLM-Assisted Question Answering for Technical and Academic Search
[ACM] 2026-7-10 | A Requirement-Based Framework for Engineering Adaptive Authentication
[ACM] 2026-7-10 | Advantage-Conditioned Flow Policy for Offline Reinforcement Learning in Recommendation
[ACM] 2026-7-10 | GraphSynthQA: Knowledge-Graph-Guided Query Synthesis and Step-Level Preference Optimization for Web Agents
[ACM] 2026-7-10 | Unified Entity Matching under Scarce Supervision via Meta-Rule Induction and Retrieval
[ACM] 2026-7-10 | RAD-DPO: Robust Adaptive Denoising Direct Preference Optimization for Generative Retrieval in E-commerce
[ACM] 2026-7-10 | Item-Targeting with Keyword Enhancement: A Hybrid Approach to Ads Targeting
[ACM] 2026-7-10 | XFoodRec: An Explainable Mobile Recommender for Personalized Healthy Eating
[ACM] 2026-7-10 | PatentMerit: A Holistic System for In-depth Technology Understanding
[ACM] 2026-7-10 | All the News That Fits in Bits: Learned Rotation-Aware Binary Projections for Efficient News Retrieval at NDTV
[ACM] 2026-7-10 | "A Watering Can That Never Runs Empty": A Case Study on Human-Robot Collaboration for Professional Gardeners
[IEEE] 2026-7-10 | From Distributed Eavesdroppers to a Virtual Eve: A Movable-Antenna-Assisted Tractable Framework for Physical Layer Security
[IEEE] 2026-7-10 | Optimal Connectivity of Multilayer Networks: Enhancing Robustness and Security
[IEEE] 2026-7-10 | Multi-Scenario Dynamic Security Assessment with Trajectory Sensitivity Tensors on Workstation GPUs
[IEEE] 2026-7-10 | Semi-Rate-Splitting Multiple Access (SRMA)
[IEEE] 2026-7-10 | Conference Committees
[IEEE] 2026-7-10 | New Explicit Constructions of MDS and NMDS Algebraic Geometry Codes
[IEEE] 2026-7-10 | Joint UE-BS Association and Resource Allocation for Multi-Cell Hierarchical Over-the-Air Federated Learning with Non-IID Data
[IEEE] 2026-7-10 | Advanced Control of Series-Resonant Voltage-Source Inverters for Ultrasonic Cleaners Using Enhanced Pulse-Density and Pulse-Frequency Modulations
[IEEE] 2026-7-10 | Saturation Function-Based Adaptive Control With Guaranteed Fixed/Preassigned-Time Containment for Heterogeneous Multiagent Systems
[IEEE] 2026-7-10 | A Three-Level Dual-Path Hybrid Buck Converter With Mitigated Capacitive Current and Seamless DVS Across a Wide Output Voltage Range
[IEEE] 2026-7-10 | DMCLR: Dual-Denoising Multimodal Contrastive Learning for Robust Recommendation
[IEEE] 2026-7-10 | IEEE Feedback
[IEEE] 2026-7-10 | ETS 2026 Contributor Page
[IEEE] 2026-7-10 | CoFi-Lite: Pushing the Limits of Ultra-Lightweight Speech Enhancement
[IEEE] 2026-7-10 | Data–Knowledge Collaborative Robust Modeling Method for Multivariable Nonlinear Industrial Processes With Time Delays
[ACM] 2026-7-10 | Many-Objective Multiple TSP in Path-Influenced Environments using Evolutionary Optimization
[ACM] 2026-7-10 | EvoBatch: A Mini-Batch, Compute-Constrained Evolutionary Algorithm Reduces the Generalization Gap in Deep Learning
[ACM] 2026-7-10 | Anisotropic Random-Feature Surrogate-Assisted Evolutionary Algorithm for High-Dimensional Risk-Based Energy Management Optimization
[ACM] 2026-7-10 | Evolutionary Algorithms for Generating Graphs Matching Desired Laplacian Spectra
[ACM] 2026-7-10 | THINKING ISSUES: Combining Practitioner and Academic Views: Planning a Multi-Vocal Literature Review
[ACM] 2026-7-10 | When Fitness Is Cheap: Pareto-Based Evolutionary Optimisation for Lightweight Neural Architectures
[ACM] 2026-7-10 | Robust Multi-Objective Optimization for Bicycle Rebalancing in Shared Mobility Systems
[ACM] 2026-7-11 | Stabilizing Grover Search via Density-Aware Phase Control
[ACM] 2026-7-11 | Beyond Fixed Budgets: Characterizing the Inelasticity and Limitations of Tree-of-Thought Reasoning Strategies
[ACM] 2026-7-11 | PowerQuant: Architecture-Agnostic GPU Power Estimation via Quantile Regression
[IEEE] 2026-7-10 | Smart E-Commerce Platform with AI Features
[IEEE] 2026-7-10 | Research on a Wearable Device-Based System for Classifying Toxic Gas Levels in Fire Environments for Firefighters
[IEEE] 2026-7-10 | Fault Location Scheme for DC Distribution Networks Utilizing the Switching Characteristics of a Dual Active Bridge Converter
[IEEE] 2026-7-10 | FLEL: Federated Ensemble Learning via Distillation under Model Heterogeneity
[IEEE] 2026-7-10 | A Novel IBDC topology and Its Quasi-Zero Switching-Loss Operation Strategy for DC Microgrid
[IEEE] 2026-7-10 | EEG Signal Processing for Assessing Mannitol Response in Stroke Patients
[IEEE] 2026-7-10 | Integrating 30 GW offshore wind in the Norwegian power system
[IEEE] 2026-7-10 | Future Power Market Analysis Addressing Challenges in Hydrogen Trajectories for Europe
[IEEE] 2026-7-10 | On the Applicability of IGCTs in LVDC and MVDC Protection Devices
[IEEE] 2026-7-10 | Research on the Evaluation of Wi-Fi Wireless Performance of Handheld Wireless Ultrasound Diagnostic Devices
[IEEE] 2026-7-10 | DAgger-Based Person-Following with LiDAR-Style Sensing in Dynamic Pedestrian Corridors
[IEEE] 2026-7-10 | Enabling Cold Storage Flexibility and Energy Storage for an Industrial Actor
[IEEE] 2026-7-10 | A Method for Assessing the Economic Impacts of Conditional Grid Connection Agreements
[IEEE] 2026-7-10 | AP-ProtoSAM: Enhancing ProtoSAM with Mask-Aware Prototypes and Adaptive Prompting for One-Shot Segmentation
[IEEE] 2026-7-10 | A Comparative Study on the Use of Generative AI Chatbots in Advising on User Experience and User Interface Design
[IEEE] 2026-7-10 | A Single-Cycle, Area-Efficient Calibration Method for TDC-based Timing Monitors
[IEEE] 2026-7-10 | Evaluating AI-Generated Code Quality across Prompting Strategies
[IEEE] 2026-7-10 | Power System Impact of Limiting Wind and Solar Deployment in Species-Rich Areas: Norwegian Case Study
[IEEE] 2026-7-10 | Analysis of High-Speed Signal Transmission Characteristics of Lightning Protection Devices Based on Small-Signal Modeling
[IEEE] 2026-7-10 | Comparative Environmental Life Cycle Assessment of LVDC and LVAC Architectures for EV Integration
[IEEE] 2026-7-10 | Simulation Analysis on Applicability and Measurement Accuracy of the Reverberation Chamber Method for Radiated Immunity Testing
[IEEE] 2026-7-10 | Integrating Renewable Energy Sources and Demand Response in Home Energy Management: A Mixed-Integer Linear Programming Model
[IEEE] 2026-7-10 | Oscillation-Based Test for mm-Wave Reflection-Type Phase Shifters
[IEEE] 2026-7-10 | Land-Then-Transport: A Flow Matching-Based Generative Decoder for Wireless Image Transmission
[IEEE] 2026-7-10 | Efficient Hash-to-Index via Rejection Sampling for Online Fault Detection with Bloom/Cuckoo Filters
[IEEE] 2026-7-10 | Clinical information extraction from echocardiography reports using domain-specific transformer models
[IEEE] 2026-7-10 | Modeling Student Study Space Occupancy Patterns through Passive Wi-Fi Sensing on a Smart Campus
[IEEE] 2026-7-10 | Challenges related to the potential binding alternatives of the AggregateEU mechanism
[IEEE] 2026-7-10 | Extending FPGA-based NRZ Test Signals Beyond 100 Gbps
[IEEE] 2026-7-10 | Rule-Based and Hybrid Machine Learning Approaches to Network Intrusion Detection
[IEEE] 2026-7-10 | PolyglotFakeFacts - A multilingual dataset for fake news detection across politics, security, and social domains
[IEEE] 2026-7-10 | Spatiotemporal Graph Convolutional Networks for Context-Aware Video Anomaly Detection
[IEEE] 2026-7-10 | Distributed Learning Control of Robot Manipulators via a Reduced Computation Approach: Distributed AILC via a reduced computation approach
[IEEE] 2026-7-10 | Two-Dimensional Linear Discrete Time-Varying Systems With Rank-Deficient Feedthrough: Unbiased Minimum Variance States and Unknown Input Estimation
[ACM] 2026-7-11 | Find My Code Twin: Improving SNIPPET SEARCH Performance Using LLMs in Practice
[IEEE] 2026-7-10 | COMM 2026 Copyright Page
[ACM] 2026-7-10 | A Boundary-Aware Multi-Objective Genetic Programming Classifier with Stacking-Based Integration
[ACM] 2026-7-10 | Constructing Streams of Optimization Instances for Benchmarking Algorithm Selection and Configuration Approaches in Streaming Scenarios
[IEEE] 2026-7-10 | A Single Element Antenna With Continuous Beam Steering Capabilities Inspired by FPMS
[IEEE] 2026-7-10 | Multi-Agent Reinforcement Learning for Diffusion-Based Token Communications in Robotic Networks
[IEEE] 2026-7-10 | IEEE Connecting
[ACM] 2026-7-10 | Analysis of the Relationship Between Carbon Footprint and Mineral Resource Depletion in the Life Cycle Assessment of Digital Systems
[ACM] 2026-7-10 | Towards Massively Parallel HyperDimensional Computing Architectures for Intelligent Satellite Links
[ACM] 2026-7-10 | Novel Hybrid Collaboration Tools in the Wild: A Living Lab in the Making
[ACM] 2026-7-10 | RecPFN: Prior-Fitted Networks for In-Context-Based Recommendations
[ACM] 2026-7-10 | PCANet: Price Change Aware Framework for Mitigating Inconsistencies in Large-Scale Ranking Systems
[ACM] 2026-7-10 | MECI: Multi-Element Collaborative Interaction for Multimodal Entity Linking
[ACM] 2026-7-10 | JFinTEB: Japanese Financial Text Embedding Benchmark
[ACM] 2026-7-10 | NumColBERT: Non-Intrusive Numeracy Injection for Late-Interaction Retrieval Models
[IEEE] 2026-7-10 | ASPIRE-VINS: Adaptive Spline-based Visual-inertial Navigation System With Robust 3D Measurement Residuals_supp1-3711842.mp4
[ACM] 2026-7-10 | Vehicle Routing Problem with Resource-Constrained Pickup and Delivery: A Heuristic-Informed BRKGA with Pattern-Based Analysis
[ACM] 2026-7-10 | Accelerating Black-Box Bilevel Optimization with Rank-Based Upper-Level Value Function Approximation
[IEEE] 2026-7-10 | Optimizing Existing Natural Gas Infrastructure for Hydrogen Blends: A Mixed-Integer Non-Linear Programming Approach
[IEEE] 2026-7-10 | Voltage-Aware Grid Aggregation: Expanding the European High-Voltage Network
[IEEE] 2026-7-10 | Effective Risk Assessment for Mitigating Product Safety Certification Roadblocks
[IEEE] 2026-7-10 | Unified Agentic AI Architecture for Data Lineage, Governance, and Predictive Workflow Automation in Enterprise Systems
[IEEE] 2026-7-10 | A Compact Cross-Symmetric UWB Textile Antenna for Breast Cancer Detection
[IEEE] 2026-7-10 | Gremlins in the Silicon: Why Faulty Chips are Escaping the Fab and Crashing in the Field
[IEEE] 2026-7-10 | Jovisp-Abf: a Low-Sidelobe Adaptive Beamforming Method Based on Joint Optimization of Virtual Interference Source Positions and Power
[IEEE] 2026-7-10 | Method of Digital Active EMI Filter Based on In-Circuit Identification of Noise Source Impedance for Switching Power Supply
[IEEE] 2026-7-10 | Iberian Electricity Market Performance under European Energy Transition Scenarios for 2050
[IEEE] 2026-7-10 | AI-Driven Threat and Incident Detection in Healthcare Cybersecurity: A Stacked Ensemble Model
[IEEE] 2026-7-10 | Use Cases and Technological Solutions for Distribution Grid Flexibility and Resilience
[IEEE] 2026-7-10 | An Adaptive Constraint Model for Magnetic Anomaly Inversion in Low-Magnetic Rocks
[IEEE] 2026-7-10 | Practical and Non-Intrusive Technique for Measuring Shielded Cable Transfer Impedance
[IEEE] 2026-7-10 | Positions and Influence of Interest Representatives on the Second Further Development of the German Greenhouse Gas Quota in 2025
[IEEE] 2026-7-10 | Bridging Scales in Energy System Modeling: Vertical Integration of European Energy Pathways and Spent Fuel Inventory Projections Using the Global Energy System Model (GENeSYS-MOD)
[ACM] 2026-7-11 | A New Era for the Open Science Data Federation: The Pelican Platform
[ACM] 2026-7-11 | I/O Optimisation at the Compiler Level: IOOpt
[ACM] 2026-7-11 | FAME: A Framework for Accelerating Independent Multi-Agent Reinforcement Learning on Heterogeneous Platforms
[ACM] 2026-7-11 | Hardware-based Kernel-Bypass Exceptions to Accelerate Floating Point Tracing and Virtualization
[IEEE] 2026-7-10 | Mitigating Phase Jumps in Coherent Optical Constant-Envelope OFDM Systems Using Derivative-Based Clipping
[IEEE] 2026-7-10 | Fusion of Emotion Recognition and Visual Attention Cues for Real-Time Classroom Engagement Analysis
[IEEE] 2026-7-10 | A 77 GHz Synthetic Aperture Radar Imaging System with Simultaneous Co- and Cross-Polarization Capability
[IEEE] 2026-7-10 | Collaborative Cyberattack Mitigation Framework for Energy Grids
[IEEE] 2026-7-10 | A Reflective EMC Teaching Framework: Bridging Theory and Practice
[IEEE] 2026-7-10 | Energy security from hydropower: The Rjukan system
[IEEE] 2026-7-10 | Active Thermal Control for Active Neutral-Point-Clamped Converters With Hybrid Modulation
[IEEE] 2026-7-10 | A Resource-Constrained Implementation and Characterization of Per-Pixel Motion Detection on Low-Power Embedded Vision Systems
[IEEE] 2026-7-10 | A Multi-Agent, Emotion-Aware and Real-Time Labour-Market Adaptive Career Guidance System Using Psychometric Deep Features and Federated Reinforcement Learning
[IEEE] 2026-7-10 | EMI Performance Analysis of Interleaved Boost PFC Converter in Electric Propulsion
[IEEE] 2026-7-10 | Techno-economic Analysis of PV Active Power Curtailment in Active Distribution Networks
[IEEE] 2026-7-10 | Progress in Lunar DC Microgrid Using Hardware-in-the-Loop Technique
[IEEE] 2026-7-10 | Single-Layer Wideband High-Gain Circularly-Polarized MIMO Antenna for WiFi 6
[IEEE] 2026-7-10 | Structural Analysis of Historical MILP Instances for Machine Learning-Based Warm Starts in Unit Commitment: a Brazilian Power System Application
[IEEE] 2026-7-10 | A MUX-based Active-Clamped Flyback Converter for Infrastructure-Integrated Power Delivery
[IEEE] 2026-7-10 | A Comparative Study of Two DAB-type Converters for Photovoltaic System
[IEEE] 2026-7-10 | Local Renewable Energy Community: Peer-to-Peer Trading and Dynamic Sharing versus Traditional Tariffs
[IEEE] 2026-7-10 | Latency, Reasoning, and Hallucination: A Logical DoS Benchmark for Open-Source LLMs
[IEEE] 2026-7-10 | A Protection Methodology for Multiport Hybrid DC Circuit Breakers: Fault Detection, Port Identification, and Interruption Control
[IEEE] 2026-7-10 | Optimal Membership for Anchor-Centric Renewable Energy Communities
[IEEE] 2026-7-10 | Assessing Market Efficiency with Flow-Based Market Coupling
[IEEE] 2026-7-10 | Design of A Compact Gate Driver Power Supply for Medium-Voltage SiC MOSFETs with Low Coupling Capacitance
[IEEE] 2026-7-10 | Deep Smartphone-Based Classification of NH
                    <sup>+</sup>
                    <sub>4</sub>
                    and NH
                    <sup>-</sup>
                    <sub>2</sub>
                    Colorimetric Strips: Revisiting the Role of Explicit Green-Border Calibration
[IEEE] 2026-7-10 | Adaptive Traffic Signal Control at Four-Way Intersections Using YOLOv8 Vehicle Detection: A Two-Stage Proportional Allocation Approach for Indian Urban Road Conditions
[IEEE] 2026-7-10 | Adaptive Dynamic Similarity Modeling for Enhanced Collaborative Filtering with Machine Learning Integration
[IEEE] 2026-7-10 | Deep Learning and Machine Learning Techniques for Sustainable Agriculture: A Comprehensive Review
[IEEE] 2026-7-10 | Agriculture Chatbot System: An Intelligent Aidriven Decision Support Framework for Modern Farming
[IEEE] 2026-7-10 | Broadband Transmissive Unit Cell Inverse Design Based on a Generative Adversarial Network with Equivalent Circuit Parameters as a Condition
[ACM] 2026-7-11 | HapCheck: DSL-Based Static Bug Detection Framework for OpenHarmony
[ACM] 2026-7-11 | Enterprise-Scale COBOL-to-Java Translation: LLMs Augmented with Program Analysis
[ACM] 2026-7-10 | An Embedded RISC-V Vector Extension for Edge-Oriented Acceleration
[ACM] 2026-7-10 | Certified Adversarial Robustness of End-to-End Malware Detectors via (De)Randomized Smoothing
[ACM] 2026-7-10 | Balanced Co-Clustering of Users and Items for Embedding Table Compression in Recommender Systems
[ACM] 2026-7-10 | Individual Turing Test: A Case Study of LLM-based Simulation Using Longitudinal Personal Data
[ACM] 2026-7-10 | AlpsBench: An LLM Personalization Benchmark for Real-Dialogue Memorization and Preference Alignment
[ACM] 2026-7-10 | Beyond Single Slot: Joint Optimization for Multi-Slot Guaranteed Display Advertising
[ACM] 2026-7-10 | Should I Hide My Duck in the Lake?
[ACM] 2026-7-10 | RedGR: Unified Generative Retrieval for Recommendation in REDnote
[ACM] 2026-7-10 | Trustworthy Personalized Retrieval in the LLM Era: Fairness, Bias Awareness, Privacy, and Multimodality
[ACM] 2026-7-10 | Semantic IDs for Recommender Systems at Snapchat: Use Cases, Technical Challenges, and Design Choices
[ACM] 2026-7-10 | Effective Offline LLM and DNN based Matching, Filtering and Ranking for Search Ads Retrieval in E-Commerce
[ACM] 2026-7-10 | Efficient Multi-Cohort Inference for Long-Term Effects and Lifetime Value in A/B Testing with User Learning
[ACM] 2026-7-10 | Constraint Persistence in Conversational Product Search
[IEEE] 2026-7-10 | COMM 2026 Committees
[IEEE] 2026-7-10 | MVDG++: A Unified Multi-view Framework for Domain Generalization_supp1-3710993.pdf
[IEEE] 2026-7-10 | PUMA: Perception-driven Unified Foothold Prior for Mobility Augmented Quadruped Parkour_supp1-3711844.mp4
[IEEE] 2026-7-10 | Design of a True-Time-Delay Circularly Polarized Transmitarray Antenna for Millimeter-Wave Applications
[IEEE] 2026-7-10 | Assessing Safety of Adaptive Cruise Control Systems Under CAN Denial-of-Service Attacks
[IEEE] 2026-7-10 | ELBO-T2IAlign: A Generic ELBO-Based Method for Calibrating Pixel-level Text-Image Alignment in Diffusion Models_supp1-3709461.pdf
[IEEE] 2026-7-10 | A 420–500-μW 0.2–2-MHz 32-Tap Complex Analog FIR Bandpass Filter with 45-dB IMRR
[IEEE] 2026-7-10 | aTi: A Framework for Quantifying Cultural Emergence for Responsible AI Systems
[IEEE] 2026-7-10 | Understanding the rheological performance of AlN-based natural ester nanofluid under large-amplitude oscillatory shear flow conditions
[IEEE] 2026-7-10 | Infrared-Guided Reconstruction of Visible Images Occluded by Localized Smoke
[IEEE] 2026-7-10 | Factor-Assisted Federated Learning for Personalized Optimization with Heterogeneous Data
[ACM] 2026-7-10 | On the Use of the "Mutate Large, But Inherit Small Principle" in Global and Noisy Optimization
[ACM] 2026-7-10 | Investigating Robustness in Vision-Language Models via Adversarial Prompt Illumination
[ACM] 2026-7-10 | QUIVER: Cost-Aware Adaptive Preference Querying in Surrogate-Assisted Evolutionary Multi-Objective Optimization
[ACM] 2026-7-10 | Should I Overtake? Cue Learning using Evolution for Accurate Recognition of Safe Autonomous Vehicle Maneuvers
[ACM] 2026-7-10 | Stable Normalization for Preference-based Subset Selection with an Unbounded External Archive
[ACM] 2026-7-11 | A Lock-Free Work-Stealing Algorithm for Bulk Operations
[IEEE] 2026-7-10 | 2-Port Dual-Band Dual-Circularly Polarized Patch Antenna for WiFi 6E Applications
[IEEE] 2026-7-10 | Assessing the Safety of AI-Based Products: An Evidence-Based Approach to AI Safety Compliance
[IEEE] 2026-7-10 | Attacks Exploiting On-Chip Instruments and IJTAG Protection
[IEEE] 2026-7-10 | Statistical Analysis of Random Boundary Conditions in a Reverberation Chamber
[IEEE] 2026-7-10 | Framework for Fusion of Generative Diffusion Models and Intelligent Algorithms for Computer Vision Tasks
[IEEE] 2026-7-10 | Integrating Solar PV into Energy, Capacity and Balancing Markets: An International Comparative Analysis of Market Design and Regulation
[IEEE] 2026-7-10 | Experimental Verification of Adaptive Multirate Model Predictive Control in Industrial Freezer
[IEEE] 2026-7-10 | Iterative LLM-Based Assertion Generation Using Syntax–Semantic Representations for Functional Coverage–Guided Verification
[IEEE] 2026-7-10 | Research on Path Planning Algorithms for USV in Complex Environments Based on Deep Reinforcement Learning
[IEEE] 2026-7-10 | Pelvic Tumor Segmentation from Multi-Modal MRI Using Three-Branch U-NET
[IEEE] 2026-7-10 | Distributed Delay-Based BIST for Mixed-Signal Circuits in Flexible Electronics
[IEEE] 2026-7-10 | Options for Data Center Energy Supply in Europe
[IEEE] 2026-7-10 | Confidence-Based Occlusion Detection in Human Pose Estimation
[IEEE] 2026-7-10 | Secure Financial Analytics Platforms for Regulatory Compliance and Risk Management
[IEEE] 2026-7-10 | Multi-Source Data Analysis System for Civil Engineering Construction Models Based on Machine Learning Prediction Algorithms
[IEEE] 2026-7-10 | TeaLeafAid: A Comparative Study of Modern Robust CNN Architectures for Tea Leaf Disease Detection with Grad-CAM Visualization
[IEEE] 2026-7-10 | The Boom of Power Purchase Agreements: A Review of Remaining Challenges
[IEEE] 2026-7-10 | A Synthetic Data-Driven Self-Healing Framework for Cloud Pipelines Using Reinforcement Learning
[IEEE] 2026-7-10 | Application of Multi-Sensor Fusion Technology Based on Improved Kalman Filter in Elderly Assistance Mobile Robots
[IEEE] 2026-7-10 | Development of an Intelligent Agent System for Generating Thai Herbal Articles to Support Modern Wellness Applications
[IEEE] 2026-7-10 | Lower Electricity Prices, Higher Demand? - The Effect of Introducing a Subsidized Flat Electricity Price to Norwegian Households
[IEEE] 2026-7-10 | Learning Voltage and Current Sensitivities for Marginal Cost Estimation in Active Distribution Networks
[IEEE] 2026-7-10 | PCAUSE: A Web-Based Machine Learning Tool for PCOS Pre-Assessment Using Non-Invasive Features
[IEEE] 2026-7-10 | From High-Dimensional Weather Data to Accurate Renewable Generation Forecasts: A Statistical Aggregation Method
[IEEE] 2026-7-10 | Quantum-Enhanced AI for Intelligent Enterprise Systems
[IEEE] 2026-7-10 | A Diagnostic Study on Model Failure in Burmese Extractive Question Answering
共写入 1000 条记录，保存到 papers/paper2026-07-10.json。
论文获取成功，文件路径: papers/paper2026-07-10.json
正在筛选、翻译并发送邮件...
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 1/1000 | Privacy-Preserving GAN for Synthetic Data against Membership Inference Attack
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 2/1000 | Poulpe: a software-hardware toolchain to clone legacy digital circuit boards
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
