[2025-11-25 09:12:46] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-24
正在获取论文...
[arXiv] 2025-11-24 | Defending Large Language Models Against Jailbreak Exploits with Responsible AI Considerations
[IEEE] 2025-11-24 | Enhancing Second-Life Battery Performance With Dynamic Equalization: A Residential Case Study
[IEEE] 2025-11-24 | Identification and Prediction of Multiple Intelligence Patterns among University Students using Machine Learning for Personalized Learning and Instruction_supp3-3635866.docx
[IEEE] 2025-11-24 | Committees
[IEEE] 2025-11-24 | 2025 International Conference on Intelligent Equipment and Industrial Design (IEID)
[IEEE] 2025-11-24 | Design and Validation of a Body-Powered Lower Extremity Exoskeleton Featuring Explosive Locomotion Augmentation
[IEEE] 2025-11-24 | Closed Form Theoretical Model for Magnetic Sensors to Measure Currents in Power Distribution Systems
[IEEE] 2025-11-24 | The Norwegian SISU Project: History and Long-term Impact of an Early MDD Effort
[IEEE] 2025-11-24 | SpInN: A Time Series Foundation Model for Spectral Indices Recommendation for Earth Observation Applications Using Satellite Data
[IEEE] 2025-11-24 | Prototype of a Web Platform that Identifies Levels of Critical Thinking in University Students, based on the PC-B Test &amp; PC-A Test1
[IEEE] 2025-11-24 | Strategic Foresight for University Curricula: Aligning Higher Education with Technological Labor Market Demands Towards 2035
[IEEE] 2025-11-24 | Design and Internal Flow Study Using CFD of an Elliptic Vortex Gripper with Variable Geometry for Polyethylene Bag Packaging
[IEEE] 2025-11-24 | Next-Generation Smart Cities: Harnessing AI for Enhanced Pedestrian Protection
[IEEE] 2025-11-24 | Efficient Fine-Tuning of Large Language Models for Medical Chatbot Applications
[IEEE] 2025-11-24 | Chiplets Everywhere!: Opportunities and challenges
[IEEE] 2025-11-24 | Smart Tourism Routes Based on Real-Time Data: A Case Study in Riobamba-Ecuador
[IEEE] 2025-11-24 | Toward Dependability Simulation for Intelligent Transportation Systems in Connected Vehicle Environments
[IEEE] 2025-11-24 | Machine Learning-Based Prediction of Customer Retention in Indian Banks Through AI Chatbot Interactions
[IEEE] 2025-11-24 | Predicting Liver Injury Risk from Chemical Properties and Drug Label Information Using Machine Learning Models
[IEEE] 2025-11-24 | Cultural Translation and Expression of Color Driven by Hybrid Kansei Engineering
[IEEE] 2025-11-24 | Combined Approach using Multiattention Graph Convolution Network towards prevention, detection and classification of Phishing attack
[IEEE] 2025-11-24 | Toward an Autonomous Purple Teaming Framework for Security and Safety in Large Language Models
[IEEE] 2025-11-24 | Diverse and Plausible Counterfactual Explanations for Time Series via Latent Space Optimization
[IEEE] 2025-11-24 | Design of a Seamlessly Integrated Dielectric Resonator Antenna Array with Self-Decoupling Property for Millimeter-Wave Applications
[IEEE] 2025-11-24 | Adversarial Attack Method Against SAR ATR Based on Superimposed Phase Modulation
[IEEE] 2025-11-24 | Automated System for the Sanding and Oiling Process of Cachimbo and Huayruro Wood in Dining Table Manufacturing
[IEEE] 2025-11-24 | Problem-Based Learning: A Study on Drone Trajectory Planning for Medical Logistics
[IEEE] 2025-11-24 | ML Aided Dental Diagnosis and Recommendation System
[IEEE] 2025-11-24 | Beyond the Pipeline: Analyzing Key Factors in End-to-End Deep Learning for Historical Writer Identification
[IEEE] 2025-11-24 | Investigation of Enhanced Large-Signal Impulse Amplification in a Wideband TWT_supp2-3633168.txt
[IEEE] 2025-11-24 | Unequal Content: search engine personalization influences exposure to information regarding the Israel-Palestine conflict_supp1-3635871.pdf
[IEEE] 2025-11-24 | Medical Vision-Language Modeling With Semantic Interaction and Adaptive Refinement Prompting for Bias Mitigation
[IEEE] 2025-11-24 | TD-SAM: Temporal and Distance-Guided Adaptations of SAM for Accurate Surgical Instrument Segmentation
[IEEE] 2025-11-24 | A unified approach to detect clouds, water and shadows in hyperspectral satellite images - a focus on PRISMA product enhancement_supp1-3635824.pdf
[IEEE] 2025-11-24 | Table of Contents
[IEEE] 2025-11-24 | Hierarchical Aggregation-Embedded Emergency Scheduling of Coupled Electricity-Watershed Networks With Heterogeneous Flexibility Resources Under Extreme Drought Events
[IEEE] 2025-11-24 | Learning Generalized Mapping Functions Via Deep-Unrolling for PET Image Reconstruction
[IEEE] 2025-11-24 | IEEE Transactions on Transportation Electrification Information for Authors
[IEEE] 2025-11-24 | A Novel Multi-Granularity Clustering Algorithm Based on Grid Partition and Fuzzy Quotient Space
[IEEE] 2025-11-24 | The influence of wavelet vanishing moment order on intelligent detection of voltage swell
[IEEE] 2025-11-24 | Condition Indicator Fusion and Machine Learning-Based Severity Assessment of Tooth Breakage Failures in Spur Gearboxes
[IEEE] 2025-11-24 | AI-Powered Smart Waste Management Systems Using Cloud Analytics
[IEEE] 2025-11-24 | Multi Head Attention based Convolution Neural Network towards Multi Stage Classification of Alzheimer Disease using Structural Magnetic Resonance Imaging
[IEEE] 2025-11-24 | Predictive Analysis of Consumer Dynamics and Its Strategic Implications for Modern Marketing Practices
[IEEE] 2025-11-24 | Stationary Wavelet Transforms with Binary Trees for Acoustic Emission
[IEEE] 2025-11-24 | Dermoscopic Image-Based Skin Cancer Detection Using a CNN-Driven U-Net Model
[IEEE] 2025-11-24 | Enhancing Touchless Sales Inventory and Operation Planning (SIOP) Using Machine Learning for Root Cause Analysis and Risk Mitigation
[IEEE] 2025-11-24 | Quantum-Inspired Computing for Breast Cancer Classification
[IEEE] 2025-11-24 | Comparison of Tuning Techniques for PID Controllers in Mobile Robots Using the Empirical Method and the Firefly Metaheuristic Algorithm
[IEEE] 2025-11-24 | An electric vehicle power battery SOH prediction method based on CEEMDAN-LSBoostELM
[IEEE] 2025-11-24 | Enhancing Cybersecurity: Classification and Prediction of Significant Cyber Incidents with an Optimized Seq2seq Model
[IEEE] 2025-11-24 | Development of an Edge Device for Active Distribution Network Protection in a Multifunctional Laboratory
[IEEE] 2025-11-24 | Evaluating the Effectiveness of Firewalls to Prevent DDoS Attacks
[IEEE] 2025-11-24 | Educational Robotics Practices and Progress in Brazil and Peru
[IEEE] 2025-11-24 | Early Detection and Analysis of Potato Leaf Diseases Using Deep Learning based CNN Models
[IEEE] 2025-11-24 | A Systematic Review of Ml in Its: a Taxonomy From Traditional Models to Federated Learning
[ACM] 2025-11-24 | Beyond Charts: A Conceptual Framework for Sketch-based Data Visualisations
[IEEE] 2025-11-24 | Super-Resolution Source Reconstruction Based on Time Reversal With High-Order Kurtosis
[IEEE] 2025-11-24 | Hyperspectral Sensors and Autonomous Driving: Technologies, Limitations, and Opportunities
[IEEE] 2025-11-24 | Optimal Feature Selection for Distributed Bearing Fault Detection Using Cost-Effective, High-Performance Machine Learning Algorithms
[IEEE] 2025-11-24 | A Reference-Free Broadband Characteristic Impedance Spectrum Method for Localization of Cable Minor Defects
[IEEE] 2025-11-24 | Asymptotically Optimal Lifelong Planning with Lazy Edge Evaluation under Expensive Collision Checks
[ACM] 2025-11-24 | Trust, Governance, and AI Decision Making
[IEEE] 2025-11-24 | Automated IER: Identification, Extraction, and Refurbishing of E-Waste
[IEEE] 2025-11-24 | A quantitative model of takeover request time budget for conditionally automated driving
[IEEE] 2025-11-24 | Absolute Distributed Temperature Measurement with $\upmu$K Noise Level and Fast Response via Raman/Rayleigh Backscattering DTS/DTGS Data Fusion
[IEEE] 2025-11-24 | Graph Attention Networks-Enabled Load Balancing for 6G Heterogeneous Networks with Parallel Transmission
[IEEE] 2025-11-24 | Operation and Design of Dirac-Source FETs Using Ab Initio Transport Simulations: Subthreshold Swing and Drive Current
[IEEE] 2025-11-24 | Electrochemical Non-Volatile Memory Based on MnO Electrochromic Windows_supp1-3635599.pdf
[IEEE] 2025-11-24 | A Tightly Coupled Adaptive EKF for Indoor 3D Positioning with Linear Acceleration Compensation
[IEEE] 2025-11-24 | Calli-VA: A Visual Analytics System for Analyzing and Comparing Chinese Calligraphic Styles_supp2-3634633.pdf
[IEEE] 2025-11-24 | Copyright Page
[IEEE] 2025-11-24 | Steering Committee
[IEEE] 2025-11-24 | SeqProFT: Sequence-only Protein Property Prediction with LoRA Finetuning
[IEEE] 2025-11-24 | Multi-Prior Fusion Transfer Plugin for Adapting In-Air Model to Underwater Image Enhancement and Detection
[IEEE] 2025-11-24 | Integrated Walk and Kick for a Humanoid Robot Using Model Predictive Control
[IEEE] 2025-11-24 | AI-Assisted Motion Planning for Autonomous Robots Using Reinforcement Learning
[IEEE] 2025-11-24 | Development and Control of a Quadruped Robot via SolidWorks and MATLAB/Simulink Modeling
[IEEE] 2025-11-24 | Optimizing Hyperparameter Tuning in Deep Learning Models for NLP
[IEEE] 2025-11-24 | VEDA CARE: A Digital Solution for Personalized Herbal Medicine
[IEEE] 2025-11-24 | Enhancing CCTV Surveillance with Hybrid Deep Learning for Face-Based Criminal Identification
[IEEE] 2025-11-24 | Promoting Low-Cost Educational Robotics: A Project-Based Learning Approach for Public High Schools Preparing for the Brazilian Robotics Olympiad
[IEEE] 2025-11-24 | Gesture Controlled Vehicle
[IEEE] 2025-11-24 | Adaptive Health Alert and Doctor Consultation System Based on Explainable Boosting Machine and IoT Signals
[IEEE] 2025-11-24 | Multi-Objective Quantum Power System Redispatch
[IEEE] 2025-11-24 | Multi-Criteria Decision-Making for Selecting Key Performance Indicators in Bus Rapid Transit Fleet Maintenance
[IEEE] 2025-11-24 | Auto-CEn: AutoML for Classifier Ensembles - Diversity-Based Classifier Selection and Decision Fusion Optimization
[IEEE] 2025-11-24 | Modified Field-Oriented Control Scheme for a 5-Level Knight Inverter in PMSM-Based Electric Vehicle Applications
[IEEE] 2025-11-24 | Whole-Body Impedance Coordinative Control for a Wheel-Legged Robot on Uncertain Terrain
[IEEE] 2025-11-24 | A-SPAM: A Novel Asynchronous Semantic Padding-and-Matching Integrated Framework for Dynamic Loop Closure Detection_supp1-3635446.mp4
[IEEE] 2025-11-24 | Risk Map as Middleware: Towards Interpretable Cooperative End-to-End Autonomous Driving for Risk-Aware Planning
[IEEE] 2025-11-24 | DQO-MAP: Real-Time Object-Level SLAM with Dual Quadrics and Gaussians
[IEEE] 2025-11-24 | Infant Cry Analysis: A Survey of Datasets, Features, and Machine Learning Techniques
[IEEE] 2025-11-24 | Generative Adversarial Pre-Training Enabled Spatial–Temporal Graph Modeling of Traffic Data
[IEEE] 2025-11-24 | EACE-DM: Environment-Aware Channel Estimation Via Transformer-Empowered Conditional Diffusion Model
[IEEE] 2025-11-24 | Table of Contents
[IEEE] 2025-11-24 | COMICS: Coconut Microphone Sensor and Stem Image based IOT Automation in Red Palm Weevil Infestation Detection
[IEEE] 2025-11-24 | Performance Analysis of Cooperative Integrated Sensing and Communications for 6G Networks
[IEEE] 2025-11-24 | Unveiling Non-Reproducibility in LiDAR-Inertial Odometry
[IEEE] 2025-11-24 | Dynamic Analysis and Slider Vibration Control of a Moving-Mass High-Speed Cruise Vehicle
[IEEE] 2025-11-24 | Radio Stripe Selection for Improved UE Position Estimation in CF-mMIMO Systems
[IEEE] 2025-11-24 | Call for Papers
[IEEE] 2025-11-24 | Networked Distributed Control for Interconnected Systems With Round-Robin Interacted Scheme: Application to Interconnected Vehicle Systems
[IEEE] 2025-11-24 | Acknowledgements
[ACM] 2025-11-24 | Flexible Reality: Can Pseudo-Haptics Enhance Vibration Intensity Perception in Co-Located AR Interaction?
[ACM] 2025-11-24 | How Do People Position Assistive Information During Physical Tasks? Insights for Designing Cross-Domain AR Systems
[ACM] 2025-11-24 | Observational Insights into Hybrid Transitions: Identification of Non-Verbal Signals for Maintaining Continuity in Distributed Collaborative Interactions
[IEEE] 2025-11-24 | Amcf-ResNet: High-Precision 3-D Defect Reconstruction in Magnetic Flux Leakage Inspection via Multimodal Adaptive Learning and Cross-Feedback
[IEEE] 2025-11-24 | Strategic Technology Surveillance for the Development of Quantum Technologies in Ict
[IEEE] 2025-11-24 | Robotics Education in Schools: Ac n Inclusive and Scalable Pedagogical Approach
[IEEE] 2025-11-24 | Adaptive Author Profiling-Based Model for Personalized Tourism Recommendations Using NLP
[IEEE] 2025-11-24 | Automated Timeline-Based Forensic Report Generation with Anomaly Detection and LLM-Based CTI Mapping
[IEEE] 2025-11-24 | Multi-Objective Optimization and Simulation for Enhancing Aerospace Supply Chain Efficiency.
[IEEE] 2025-11-24 | Utilizing Query Performance in NoSQL Databases for Applications Based on Big Data
[IEEE] 2025-11-24 | Employing Real-time Stream Process Utilising IoT Data Analytics
[IEEE] 2025-11-24 | Hybrid Controller with Voltage Hysteresis Control for Photovoltaic Systems with IoT Based Monitoring
[IEEE] 2025-11-24 | Deep Learning Techniques for Automated Speaker Recognition System
[IEEE] 2025-11-24 | Machine Learning-Based Weather Prediction for Agricultural Planning
[IEEE] 2025-11-24 | Analysis of Crop Health for Agricultural Optimization Using Multispectral Images and Machine Learning
[IEEE] 2025-11-24 | Adaptive Autonomous Landing System for Quadcopter Drones Through Descent Assisted by Visual Recognition
[IEEE] 2025-11-24 | Generalization in Audio Deepfake Detection: Evaluating ASR Encoder-Based Feature Extraction
[IEEE] 2025-11-24 | AI-Powered Cross-Platform Compliance Management System for CIS Benchmark Auditing
[IEEE] 2025-11-24 | Integrating On-Device AI for Intelligent Shopping: The Design and Deployment of Trendify
[IEEE] 2025-11-24 | SSMSS: A Model of Semantic Segmentation for Matching of Satellite and Sonar Images
[IEEE] 2025-11-24 | 3D Point Cloud Classification Using Graph Convolutional Network with Multi-Scale Pooling
[IEEE] 2025-11-24 | Design and Construction of a Wind Turbine for Households in Barranquilla
[IEEE] 2025-11-24 | Control and Communication of Electro-Optical Systems (EOS) for Naval Defense Systems
[IEEE] 2025-11-24 | PolicyLens: Leveraging Technology to Improve Customer Experience While Signing For Insurance
[IEEE] 2025-11-24 | Integration of Smart Maintenance and SMED to Improve Cutting Area Efficiency in Plastic Bag Production
[IEEE] 2025-11-24 | Establishing an Online Community of Practice for Robotics Educators
[IEEE] 2025-11-24 | Using LLM for Learning Objects Metadata Extraction on Educational Robotics Content
[IEEE] 2025-11-24 | DeepAquaMed: Spatial-Temporal Enhanced Underwater Imaging System with σ-Adaptive Vision for Remote Medical Diagnostics
[IEEE] 2025-11-24 | Electric Load Forecasting Using Deep Learning: A Model-Level Performance Benchmark
[IEEE] 2025-11-24 | Application of the Two-Color Spectrometric Method for Biomass and Fossil Fuel Combustion Diagnostics
[IEEE] 2025-11-24 | Vision: An Extensible Methodology for Formal Software Verification in Microservice Systems
[IEEE] 2025-11-24 | DyCAF-Net: Dynamic Class-Aware Fusion Network
[IEEE] 2025-11-24 | Plant Region Detection from Infield Images with Unconstrained Backgrounds using U-Net
[ACM] 2025-11-24 | Occlusion Reduction Techniques for the Selection of Physical Referents in Augmented Reality: Adaptation and Evaluation of Virtual Reality Techniques
[ACM] 2025-11-24 | Studying digitally supported collaboration through Artifact Ecologies: a State of art
[ACM] 2025-11-24 | The Postdiction as an approch to recommand commands based on interface state evolution
[ACM] 2025-11-24 | Low HP: Evaluating the Accuracy of Medicine in Video Games
[IEEE] 2025-11-24 | IEEE Power &amp; Energy Society Information
[IEEE] 2025-11-24 | OMP-LSTM: An Automated Method for Separation of Electrooculogram Artifacts From EEG Signal
[IEEE] 2025-11-24 | Foundation Model With Uncertainty Estimation-Based Active Learning for Retinal Image Classification
[IEEE] 2025-11-24 | FreeEdit: Mask-free Reference-based Image Editing with Multi-modal Instruction
[IEEE] 2025-11-24 | SceneLoom: Communicating Data with Scene Context
[IEEE] 2025-11-24 | MADGuard: A High-Performance Microservice Anomaly Detection System With Multidimensional Data Fusion and Temporal Causal Analysis
[IEEE] 2025-11-24 | A General and Lightweight Steganalysis Mechanism via Attention Misalignment Correction
[IEEE] 2025-11-24 | UTIDH: Unstable Transformer With Imbalanced Data Handling for UAV Multivariate Time Series Fault Diagnosis
[IEEE] 2025-11-24 | IEEE Transactions on Components, Packaging and Manufacturing Technology Publication Information
[IEEE] 2025-11-24 | A Systematic Review of State-of-the-Art TinyML Applications in Healthcare, Education, and Transportation
[IEEE] 2025-11-24 | An Information-Theoretic Analysis for Federated Learning under Concept Drift
[IEEE] 2025-11-24 | Multi-UAV and Hybrid NOMA-Enabled Edge Learning System: Joint Resource Allocation and 3D-UAV Placement Design
[IEEE] 2025-11-24 | The Software-Defined Vehicle: A Comprehensive Study on Current Trends and Challenges
[IEEE] 2025-11-24 | A Multi-Sensor Fusion Localization Method to Enhance Autonomous Navigation in Off-Road Environments_supp1-3634116.mp4
[IEEE] 2025-11-24 | Experimental Evaluation of DE-SPECT: A Hyperspectral SPECT System for Region-Selective 3-D Gamma-Ray Spectroscopy
[IEEE] 2025-11-24 | RDS-NeRF: Residual and Depth Supervision Neural Radiance Field for Multi-Scene 3D Reconstruction of Satellite Images
[IEEE] 2025-11-24 | Automated Detection and Classification of Complex Non –Compliance practices in digital Terms of Service using Multi Attention Convolution Neural Network
[IEEE] 2025-11-24 | YoloV10 based Graph Convolution Network towards Disease Stage Classification of Alzheimer Disease using Structural Magnetic Resonance Imaging
[IEEE] 2025-11-24 | Efficient Scheduling of Smart Contract Transactions via Conflict Graph Coloring
[IEEE] 2025-11-24 | Detection of Potato Crops in Advanced Vegetative Stage Using Sentinel 2 with Remote Sensing in the Peruvian Andes
[IEEE] 2025-11-24 | Eco-Friendly Thermal Panel for Low-Cost Housing in Cold Climates
[IEEE] 2025-11-24 | Analysis of the Automation of the Commercial and Distribution Process in the Footwear Sector of Ambato
[IEEE] 2025-11-24 | Novel Algorithm For Diverse Artist Recommendation Using Artificial Intelligence Techniques
[IEEE] 2025-11-24 | Business Project for the Creation of a Multivitamin Product for Children with Attention Deficit Hyperactivity Disorder Using Design Thinking, Lean Startup, and Scrum in Metropolitan Lima
[IEEE] 2025-11-24 | Transforming Engineering Education with Hands-On Robotics: The IEEE RAS-UNB Experience
[IEEE] 2025-11-24 | Agile Business Intelligence for Dynamic Market Conditions
[IEEE] 2025-11-24 | Support System for Creating Medical Incident and Accident Reports Utilizing Two Types of Medical Accident Databases
[IEEE] 2025-11-24 | Mini Autonomous Car Driving Based on 3D Convolutional Neural Networks
[IEEE] 2025-11-24 | A Theoretical Exploration of Explainable Artificial Intelligence (XAI) in E-Commerce Fraud Detection: Paradigms, Challenges, and Future Directions
[IEEE] 2025-11-24 | Solar PV: A Promising Solution to Meet Energy Demand in Isolated Communities
[IEEE] 2025-11-24 | Design of a Robotic Arm System for Pipetting and Sample Handling in Drug Susceptibility Experiments with Mycobacterium Tuberculosis Bacteria
[IEEE] 2025-11-24 | Data Science Framework for Evaluation of Entrance Exams and Identification of Academic Patterns
[IEEE] 2025-11-24 | A New Technology for Termite-Proof Underground Cables: Proposing Novel Solutions
[IEEE] 2025-11-24 | A high quality factor QCM humidity sensor based on liquid damping isolation strategy of silica supported GO film
[IEEE] 2025-11-24 | Table of Contents
[IEEE] 2025-11-24 | Evaluation of Self-Supervised Representation Learning for Mitosis Detection in Histopathological Images
[IEEE] 2025-11-24 | Experimental Evaluation of Trajectory Tracking With Nonlinear Model Predictive Control Enhanced by Physics-Informed Neural Network
[IEEE] 2025-11-24 | Convex Solutions to ST and NRSM under Algebraic Deformation Models_supp1-3635039.pdf
[IEEE] 2025-11-24 | Reflective Grating Linear Encoder Based on Moiré Signals Reconstruction and Arctangent Subdivision Method
[IEEE] 2025-11-24 | User driven land cover change prediction map tool for land conservation planning
[IEEE] 2025-11-24 | Numerical simulations of three-dimensional nonlinear elasticity using an ultraweak formulation and polyhedral finite elements
[IEEE] 2025-11-24 | Dependency-Aware CAV Task Scheduling Via Diffusion-Based Reinforcement Learning
[IEEE] 2025-11-24 | Location-Aware Deep Learning Models for Smartphone-Based Activity Recognition in Elderly Populations
[IEEE] 2025-11-24 | PPG-based biofeedback system on a smartphone for slow breathing training
[IEEE] 2025-11-24 | Cascaded Lyapunov-Based Hybrid Control of Multi-Phase Interleaving Converters for Power-to-Hydrogen in DC Microgrid
[IEEE] 2025-11-24 | Duty-Ratio Controlled Front-End for Thermistors with Broad Span
[IEEE] 2025-11-24 | Federated Aerial Video Captioning with Effective Temporal Adaptation
[IEEE] 2025-11-24 | Stability Analysis of Grid-Strengthening Geared Direct Grid-Connected Dual-Speed Slip-Synchronous Wind Turbines
[IEEE] 2025-11-24 | Exploiting Target Location Distribution in MIMO Radar: PCRB Vs. PSBP for Transmit Beampattern Design
[IEEE] 2025-11-24 | TiVy: Time Series Visual Summary for Scalable Visualization_supp1-3633882.mp4
[IEEE] 2025-11-24 | GNN101: Visual Learning of Graph Neural Networks in Your Web Browser_supp1-3634087.mp4
[ACM] 2025-11-24 | Expanding Perspectives to Improve Access to Visual Archives through Multimodal Image Enrichment
[IEEE] 2025-11-24 | Bridging Open Innovation and Sustainability: a Scoping Review
[IEEE] 2025-11-24 | Advanced Liver Tumor Detection Using 3D Scan Segmentation With Dense Convolutional Networks
[IEEE] 2025-11-24 | Research on Transformer-Based Prediction Model for Unsupported Melt-Pool State in WAAM
[IEEE] 2025-11-24 | Towards Secure Containerized Applications with Seccomp Profile Refinement
[IEEE] 2025-11-24 | Optimal Utility Bounds for Differentially Private Gradient Descent in Three-Layer Neural Networks
[IEEE] 2025-11-24 | Investigation of the Biocompatibility of Parylene-based Encpasulations for Medical Implants
[IEEE] 2025-11-24 | Freshness Analysis of Medicinal Plants through Image Processing Using Machine Learning Algorithms
[IEEE] 2025-11-24 | RD-GMM: A GMM-Based Framework for Robotic Dressing with a Single Fixed Robotic Arm Applied to T-Shirt Wearing
[IEEE] 2025-11-24 | Implementation of EspoCRM as a Digital Transformation Strategy for the Optimization of Business Processes in Technology Companies
[IEEE] 2025-11-24 | Classification of Hypertension Risk Using Machine Learning Based on Clinical Data
[IEEE] 2025-11-24 | Multiscale Convolution Neural Network Integrated Long Short Term Memory Model towards Early detection and classification of Human Monkey Pox Disease
[IEEE] 2025-11-24 | Intelligent Predictive Maintenance using IoT for Sustainable Transportation Fleets
[IEEE] 2025-11-24 | Predicting Crime Types and Occurrences Using Machine Learning Algorithms
[IEEE] 2025-11-24 | Integrating Threat Analysis and Formal Verification for Secure OTA Updates
[IEEE] 2025-11-24 | Precision Prognosis: Harnessing Artificial Intelligence for Early Detection and Prediction of Diseases in Healthcare
[IEEE] 2025-11-24 | Tensor Compression-Driven Higher-Order Propagator Method for Parameter Estimation in mmWave Polarized Massive MIMO Systems
[IEEE] 2025-11-24 | D-Band Silicon Micromachined Multibeam Antenna Based on Waveguide Butler Matrix
[IEEE] 2025-11-24 | Ultrathin Flexible Power Divider Based on Asymmetric Dual-Slot Design for Wideband and Stable Response Under Mechanical Deformation
[IEEE] 2025-11-24 | Multi-Parameter Estimation of DC-DC Boost Converter via TA-PINN without High-Frequency Measurements
[IEEE] 2025-11-24 | 2025 IEEE 30th Pacific Rim International Symposium on Dependable Computing (PRDC)
[IEEE] 2025-11-24 | Self-Correction Commutation Method of Position Sensorless BLDCM Using Back-EMF Adaptive Threshold Voltage Comparison Circuit
[IEEE] 2025-11-24 | A 56–66-GHz FMCW Radar Transceiver With Wide Chirp Bandwidth for Indoor Sensing Applications
[IEEE] 2025-11-24 | MLCvis: A Design Study of a Visual Analysis Tool for Multi-Label Classifier Evaluation and Comparison_supp1-3635918.pdf
[IEEE] 2025-11-24 | Distributed Control for PV-Fed CHB Converter Under Extreme Mismatch Condition
[IEEE] 2025-11-24 | SFTNet: Strip Fourier Transform Network for Motion Deblurring
[IEEE] 2025-11-24 | Task-Agnostic Semantic Communications Relying on Information Bottleneck and Federated Meta-Learning
[IEEE] 2025-11-24 | CPA-Net: Blind Joint Signal Parameter Estimation via Channel-wise Parameterized Attention and Heteroscedastic Loss
[IEEE] 2025-11-24 | Algorithmically-Assisted Schematic Transit Map Design: a System and Algorithmic Core for Fast Layout Iteration_supp2-3633910.pdf
[IEEE] 2025-11-24 | Prescribed-Time Control of a DC Microgrid With a Hybrid Energy Storage System
[IEEE] 2025-11-24 | A Hybrid Optimal Acceleration Evaluation Model for Automated Driving Based on Importance Sampling Method
[ACM] 2025-11-24 | Forecasting
[IEEE] 2025-11-24 | Proposed Model to Improve Efficiency in a Textile SME Through the Application of TPM Tools with an IoT-Based Approach
[IEEE] 2025-11-24 | Data Sharing Scheme in 6G VANET Along with Private Set Intersection for Privacy Protection
[IEEE] 2025-11-24 | Technological Surveillance for Sustainable Innovation in the Dairy Industry: Trends, Challenges, and Strategic Pathways Toward 2030
[IEEE] 2025-11-24 | Decarbonization of the Fertilizer Industry Through Process Innovation
[IEEE] 2025-11-24 | Modal Abstractions for Smart Contract Validation
[IEEE] 2025-11-24 | Operational Evaluation of Algorithms for Online Streaming Continual Multi-Label Classification
[IEEE] 2025-11-24 | Cyber Threat Intelligence Analytics: Leveraging Machine Learning
[IEEE] 2025-11-24 | Scaling CodeSourcerer: Cloud-Native Test Generation with Kubernetes and Helm
[IEEE] 2025-11-24 | Development of a Magnetic Climbing System in Ventilation Ducts for Internal Cleaning Purposes
[IEEE] 2025-11-24 | Robotics and AI as Resources for Teaching Geometry in Argentine Secondary Schools
[IEEE] 2025-11-24 | The Disruptive Impact of Artificial Intelligence in the Mexican Labor Market: Barriers and Opportunities
[IEEE] 2025-11-24 | Literature Review on Use of Chatbots as an Internal Work Tool in Organizations
[IEEE] 2025-11-24 | A Comparison of Different Architectures for AI-Powered Virtual Assistants
[IEEE] 2025-11-24 | UniNorte STEM Campus Experience: Practical Strategies to Foster Engineering Vocations
[IEEE] 2025-11-24 | An Integrated Anime Streaming and Merchandise Platform: Enhancing User Experience Through AI and Community Engagement
[IEEE] 2025-11-24 | Satellite-Connected Buoy for Environmental Monitoring in Remote Andean Reservoirs
[IEEE] 2025-11-24 | Travel Itinerary Generator: A Web Application for generating itinerary using ML
[IEEE] 2025-11-24 | Stock Movement Prediction with Artificial Intelligence-Based Cognitive Analysis
[IEEE] 2025-11-24 | Scalable Deep Subspace Clustering Network
[IEEE] 2025-11-24 | Data Extraction Techniques in Social Media to Detect Public Opinion on Forced Migration: A Systematic Literature Review
[ACM] 2025-11-24 | Impact of Primary Tasks on Soft Shape-Change Perception on a Smartwatch
[ACM] 2025-11-24 | From Supervision to Manual Operation: Towards Flexible Control of Drone Fleets for Search and Rescue
[IEEE] 2025-11-24 | Passive Intermodulation Prediction and Cancellation Based on Nonlinear Compensated LSTM
[IEEE] 2025-11-24 | CAFNet: Complementary Attention Fusion with Class-Level Alignment for Land Cover Classification
[IEEE] 2025-11-24 | Mutual Masking and Perceptual Simultaneity in Electrical Muscle Stimulation and Vibration Haptics_supp1-3635040.pdf
[IEEE] 2025-11-24 | Cover Page
[IEEE] 2025-11-24 | WgANet: A Wavelet-Guided Attention Network for Remote Sensing Image Semantic Segmentation
[IEEE] 2025-11-24 | Channel-Gated Transformers With Affinity CAM for Weakly Supervised Multi-Class Brain Tumor Segmentation
[IEEE] 2025-11-24 | Visibility Region-Aware NOMA in XL-MIMO Systems
[IEEE] 2025-11-24 | Cost-Efficient ADC Linearity Testing Based on Maximum Likelihood Partial Polynomial Segmentation Method
[IEEE] 2025-11-24 | PixelatedScatter: Arbitrary-level Visual Abstraction for Large-scale Multiclass Scatterplots
[IEEE] 2025-11-24 | BiKT: Unleashing the potential of GNNs via Bi-directional Knowledge Transfer
[IEEE] 2025-11-24 | Gear Tooth Crack Detection Method Using Bayesian Neural Network
[IEEE] 2025-11-24 | DeepBHMR: Learning Bidirectional Hybrid Mixture Models for Generalized Global Rigid Point Set Registration in Computer-assisted Orthopedic Surgery
[IEEE] 2025-11-24 | Interact, Instruct to Improve: A LLM-Driven Parallel Actor-Reasoner Framework for Enhancing Autonomous Vehicle Interactions
[IEEE] 2025-11-24 | Table of Contents
[IEEE] 2025-11-24 | High-Resolution Underwater Creature Segmentation
[IEEE] 2025-11-24 | Joint Trajectory Design and Power Optimization in Adversarial UAV Communications: A Game Theory Framework
[IEEE] 2025-11-24 | Deep Feature Prior-Guided Conditional Diffusion Model for Underwater Image Enhancement
