[2025-12-04 09:14:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-03
正在获取论文...
[arXiv] 2025-12-03 | SkillFactory: Self-Distillation For Learning Cognitive Behaviors
[IEEE] 2025-12-3 | FOVA: Offline Federated Reinforcement Learning With Mixed-Quality Data
[IEEE] 2025-12-3 | Organizing Committee
[IEEE] 2025-12-3 | 2025 3rd International Conference on Business Analytics for Technology and Security (ICBATS)
[IEEE] 2025-12-3 | Title Page III
[IEEE] 2025-12-3 | GenSoC: A Multi-Agent-Assisted SoC Generation Methodology Leveraging Open-Source Hardware
[IEEE] 2025-12-3 | Extracting Preserved Neural Latent Dynamics Across Tasks using Convolutional Transformer-based Variational Autoendecoder*
[IEEE] 2025-12-3 | A LSTM-NN-based Reference Trajectory Compensation Algorithm for the Maglev Planar Motor Control System
[IEEE] 2025-12-3 | Multi-dimensional Time-series GAN based Data Augmentation for UAV Agent Behavior Prediction
[IEEE] 2025-12-3 | Pesti-Gen: Unleashing a Generative Molecule Approach for Toxicity Aware Pesticide Design
[IEEE] 2025-12-3 | EEG-induced Effective Connectivity Analysis in Major Depressive Disorder
[IEEE] 2025-12-3 | EEG-Based Emotion Intensity Recognition using Machine-Learning and CNN-Ensemble Models
[IEEE] 2025-12-3 | The Impact of Digital Transformation on the Efficiency of Financial Operations in Jordanian Municipalities
[IEEE] 2025-12-3 | Prototype-Driven Class-Conditional Synthesis for High-Quality Chest X-ray Image Generation
[IEEE] 2025-12-3 | Management Decision-making Process: Research on the Associated Information Systems
[IEEE] 2025-12-3 | An Adaptive Oscillation Suppression Strategy Based on SOGI-FLL for Cascaded DC Systems
[IEEE] 2025-12-3 | Toward Robust Condition Monitoring of SiC MOSFETs using Switching Delay Measurements
[IEEE] 2025-12-3 | Mitigation of Nonlinear Distortions in Online Li-ion Battery Impedance Measurement
[IEEE] 2025-12-3 | Air Gap Induced Microstrip Antenna for 2×2 MIMO System for Non-Terrestrial UAV Communication at mm-wave Frequencies
[IEEE] 2025-12-3 | Impact of latency jitter correction on offline P300-based classification: a preliminary study for BCI applications in MCS patients *
[IEEE] 2025-12-3 | Fatigue Life Analysis and Optimization of Key Components of Certain Drag Parachute Lock System
[IEEE] 2025-12-3 | Low Voltage Circuit Breaker Controlled by Programmable Logic Controller
[IEEE] 2025-12-3 | A three-dimensional Spatially Precise Activation and Compliant Electrode (SPACE) to interface internally and externally with nerve
[IEEE] 2025-12-3 | Aligning Histological Images and Spatial Gene Expression Jointly Through Densenet and Graph Ordering Attention Network
[IEEE] 2025-12-3 | Automated Multi-Objective ER-rule ensemble model for Locoregional Recurrence Prediction in Head and Neck Cancer
[IEEE] 2025-12-3 | Distributed Fault Estimation of Additive Faults in Multi-Agent Systems with Strictly Metzler Agents
[IEEE] 2025-12-3 | Multifractal Analysis of H&amp;E Stained Nuclear Images for Differentiation of Early-Grade Renal Cell Carcinoma
[IEEE] 2025-12-3 | Motion-Aware Spatio-Temporal Fusion Memory Network for Semi-Supervised Echocardiography Video Segmentation
[IEEE] 2025-12-3 | Nasal Fluid Dynamics Visualization Using Particle Image Velocimetry in a 3D-Printed Nasal Replica Model
[IEEE] 2025-12-3 | An Investigation of Body-Coupled Power Transfer for Multiple Implants
[IEEE] 2025-12-3 | Time Series Glucose Level Detection in fuel-cell based sensors Using Machine Learning: A Comparative Study of K-NN with Dynamic Time Warping and XGBoost
[IEEE] 2025-12-3 | LoRASensE: Learnable Low-Rank Acquisition in Sensors for Efficient Edge Machine Vision
[IEEE] 2025-12-3 | Legal Retrieval Augmented Generation with Structured Retrieval and Iterative Refinement
[ACM] 2025-12-4 | Research on Financial Time Series Forecasting Model Based on Machine Learning
[ACM] 2025-12-4 | Tesla stock price dynamic prediction model based on monte carlo simulation and LSTM neural network
[IEEE] 2025-12-3 | Domain Adversarial Training for Mitigating Gender Bias in Speech-based Mental Health Detection
[ACM] 2025-12-4 | Evolution Path of Data Annotation Industry: An Empirical Study Based on Delphi Method and Technology Life Cycle Theory
[IEEE] 2025-12-3 | Neural Surrogate Model in an Extended Kalman Filter for Chlorine Concentration State Estimation in Water Distribution Systems
[IEEE] 2025-12-3 | Revisiting Reconfigurable Acceleration of Vision Transformer with Patch Pruning
[IEEE] 2025-12-3 | Forecasting the Impact of Electric Vehicle Charging Station Pitstop on the Power Grid by Strategic Location, Load Calculation, and Load Management: A Basis for Policy Making
[IEEE] 2025-12-3 | Explaining Multimodal Features for Screening of Cognitive Impairment Using Shapley Values
[IEEE] 2025-12-3 | Clinical Evaluation of PPG-Based Deep Learning Models for Sleep Staging in Patients with Suspected Sleep Apnea
[IEEE] 2025-12-3 | Stability Analysis of a Three-Input Three-Output Multi-Converters for Energy Management System
[IEEE] 2025-12-3 | Explainable Severity Ranking via Pairwise n-Hidden Comparison: Case Study of Glaucoma
[IEEE] 2025-12-3 | Model Predictive Control of Four-Switch Buck-Boost Converter for Fast Dynamics with Realization of ZVS Across Wide Load Range
[IEEE] 2025-12-3 | A Low-Loss Multipart Solid State Circuit Breaker Utilizing Bidirectional Common-Source SiC MOSFETs
[IEEE] 2025-12-3 | Priority Location and Enhancement in the p-Median Problem: A Modified Hybrid Binary PSO Approach
[IEEE] 2025-12-3 | Engineering a Mechanical Stimulation System for Inducing Shear Stress in Chondrocyte Cultures
[IEEE] 2025-12-3 | Verifying the Influence of Primary Accounting Course Reform on Students' Comprehensive Quality Through Machine Learning Algorithm
[IEEE] 2025-12-3 | Design of a Telerehabilitation Software Platform for a Compliant Upper-Limb Rehabilitation Orthosis
[IEEE] 2025-12-3 | Compressed Sensing of Acoustic Cardiopulmonary Signals Using a CNN-based Reconstruction Method
[IEEE] 2025-12-3 | Leveraging Eye-Tracking Signals for Neurodegenerative Disease Classification with Deep Learning Models
[IEEE] 2025-12-3 | Electric Security Fences for Power Substations: Electrical Safety of Induced Potentials
[IEEE] 2025-12-3 | DBN-based Reliability Evaluation for Lifeline Pipe Networks Considering Multi-Factor Coupling
[IEEE] 2025-12-3 | Fourier Synchrosqueezed Transform for Shear Wave Speed Estimation in Crawling Wave Sonoelastography Approach
[IEEE] 2025-12-3 | Electric Machine Torque Density Enhancement Using Spatial Harmonics
[IEEE] 2025-12-3 | AI-Based Performance Analysis for Track and Field Athletes
[IEEE] 2025-12-3 | Quantifying Phase Coupling between Fetal Heart Rate and Uterine Contractions
[IEEE] 2025-12-3 | An Optimization Method for EEG Visualization Based on Display Resolution
[IEEE] 2025-12-3 | Single-Stage DC-DC Converter for Battery Balancing and Power Transfer Operation for EVs
[IEEE] 2025-12-3 | Heartbeat Detection from Ballistocardiogram Signals Using a Transformer Network
[IEEE] 2025-12-3 | Multi-Port Extended-Duty-Ratio Boost Converter for Hybrid Power Sources
[IEEE] 2025-12-3 | Securing Cryptography in the Quantum Era: A Systematic Review of Post-Quantum Cryptography Solutions
[IEEE] 2025-12-3 | Multi-View 3D Reconstruction with Attention Mechanism and Dynamic Multi-Kernel Convolution
[IEEE] 2025-12-3 | Non-Invasive Detection of Coronary Artery Disease and Valvular Disorders Using a Multichannel PCG Vest
[IEEE] 2025-12-3 | Efficient Simultaneous Wireless Power Transfer and High-Data-Rate Full-Duplex Communication Circuit for Implantable Medical Devices
[IEEE] 2025-12-3 | A Deep Convolutional Network Based on Transformer for Disease Recognition Using Brain Connectivity
[IEEE] 2025-12-3 | An Improved Switching Signal Split PWM for Switching Loss Reduction in Single Current Sensor Based Inverters
[IEEE] 2025-12-3 | Predicting Sustainability According to Banks' Financial Performance by Regression Model and Bee Algorithm
[IEEE] 2025-12-3 | Classification of ECG Arrhythmia Types Using 2D Recurrence Polar Maps and Deep Learning Techniques
[IEEE] 2025-12-3 | Reinforcement Learning with Dynamic Experience Integration for Edge-Aware Microservice Deployment
[IEEE] 2025-12-3 | Precision Needle Localization Using Electromagnetic Tracking and AR Visualization in Ventricular Interventions
[IEEE] 2025-12-3 | A Novel EKF Optimization Algorithm Based on Nonlinear Compensation and Forgetting Factor
[IEEE] 2025-12-3 | Non-Invasive In-Vivo Detection of Random Blood Glucose using Photoacoustic Spectroscopy
[IEEE] 2025-12-3 | High-Fidelity Simulation Modeling of Dual Three-Phase PMSM Drive Based on Partially Linearized Flux Model
[IEEE] 2025-12-3 | A Novel Strain-based Dynamic Left Ventricle Model for Surgical Planning and Training
[IEEE] 2025-12-3 | Study of Wye-Delta Winding Topology for Permanent Magnet Synchronous Machines
[IEEE] 2025-12-3 | Neural network-based pose estimation and real-time tracking of ultrasound probes
[IEEE] 2025-12-3 | Smartphone Dual-Camera based Blood Pressure Screening Using Pulse Transit Time Between Ear and Finger
[IEEE] 2025-12-3 | Low-Complexity Triple-Vector Predictive Control for Five-Level Power Converters
[IEEE] 2025-12-3 | Topology and Control of a Hexagonal Hybrid Frequency Solid-State Transformer
[IEEE] 2025-12-3 | A Lightweight CNN-LSTM Approach for Accurate EEG Normal-Abnormal Classification
[IEEE] 2025-12-3 | Development of a simple softness measurement method using a wearable force sensor and depth camera for remote edema palpation
[IEEE] 2025-12-3 | How do Body Mass Index (BMI) and Gender Affect Time-Up-and-Go Measurements
[IEEE] 2025-12-3 | Microwave Imaging for Bone Regeneration Monitoring Using Magnetic Scaffolds: Preliminary Results
[IEEE] 2025-12-3 | Enhancing Segmentation Accuracy of the Common Iliac Vein in OLIF51 Surgery in Intraoperative Endoscopic Video through Gamma Correction: A Deep Learning Approach
[IEEE] 2025-12-3 | Preliminary Validation of a Cursive Handwriting Reconstruction Algorithm from a Sensorized Ink Pen
[IEEE] 2025-12-3 | Interpretable Multi-Attention Fusion Mechanisms for Early Detection of Transitional Phases in Alzheimer’s Disease
[IEEE] 2025-12-3 | Individual Difference Frequency Adaptive Adjustment Method for Magnetic Resonant Human Body Communication
[IEEE] 2025-12-3 | Spectral Differentiation of β-Carotene Accumulation Patterns in Skin Tissues with Distinct Levels of Constitutive Pigmentation
[IEEE] 2025-12-3 | A Multistate Network Approach for Resilience Analysis of Logistic System Based on Disjoint Minimal Path Vectors
[IEEE] 2025-12-3 | Initial Position and Speed Estimation for Flying Start of a Synchronous Reluctance Motor Using Stationary-Frame Current Control
[IEEE] 2025-12-3 | Patient-Specific Depth Error Correction in Dual-Sensor System for Image-Guided Minimally Invasive Facial Osteotomy
[IEEE] 2025-12-3 | Comparative study of HD-EMG electrode setups for Smart Mechatronic Ankle-Foot Orthoses development
[IEEE] 2025-12-3 | Simulation, Design and Prototyping of a Diaphragm for the Acquisition of Lung Sounds
[IEEE] 2025-12-3 | Intelligent Switching Optimization Using Quantum Differential Evolution in 13- Level Switched-Capacitor Inverter
[IEEE] 2025-12-3 | Safe Stabilization for Control-Affine Systems Using Non-Smooth Control Lyapunov Barrier Function
[IEEE] 2025-12-3 | Enhancing Automated Patient Detection and Tracking in Epilepsy Monitoring Unit Videos
[IEEE] 2025-12-3 | Bioimpedance monitoring of arrested myocardium during open-chest surgery: from coronary artery occlusion to cardiac resuscitation
[IEEE] 2025-12-3 | Proposal of High-Power Bearingless Machines for Flying Cars and eVTOLs
[IEEE] 2025-12-3 | An Implementation Of The Particle Swarm Optimization Algorithm To Maximize The Profits Of The Petrochemical Industries Company In Iraq
[IEEE] 2025-12-3 | Robotic Arm Surgery vs. Human Hand Surgery: A Comparative Analysis for Minimally Invasive Procedures
[IEEE] 2025-12-3 | A Proposed IoT-Cloud Framework for Archaeological Preservation: Preliminary Design and Case Study
[IEEE] 2025-12-3 | Navigating Severe Class Imbalance in Population Cohort Data
[IEEE] 2025-12-3 | Thermal Safety Management and Thermal Runaway Diffusion Test Cases Analysis of Lithium-Ion Power Battery Systems
[IEEE] 2025-12-3 | A New Method for Spacecraft Attitude Estimation Based on Prior Models and ISAR Images
[IEEE] 2025-12-3 | Factors Influencing the Proficiency of Second Year Bachelor of Secondary Education Students: a Case Study in Aldersgate College Inc., Philippines
[IEEE] 2025-12-3 | Technological and Biomechanical Advances in Handcycling: A Multidisciplinary Perspective on Inclusive Sport Engineering
[IEEE] 2025-12-3 | Tissue Individual Signatures through Machine Learning Analysis of Ultrasound Images
[IEEE] 2025-12-3 | Investigation of Multi-Tooth Dual-PM Machines Accounting for Different Cooling Strategies
[IEEE] 2025-12-3 | Univariate Electricity Demand Transfer Forecasting Framework Under Data Scarce Scenario in Selected Visayas Subgrids
[IEEE] 2025-12-3 | Leveraging Transfer Learning and Monte Carlo Dropout for Uncertainty Informed NIRS-based Detection of Systemic Sclerosis Hand Perfusion Patterns
[IEEE] 2025-12-3 | Multi-view Contrastive Learning for Cell Line-specific Synthetic Lethality Prediction
[IEEE] 2025-12-3 | Optimized Control of a CHB EV Charging Station with Integrated BES
[IEEE] 2025-12-3 | Grid Impedance Estimation for Single-Phase PFC Converter in OBC Based on Complex Coefficient Filter
[IEEE] 2025-12-3 | Novel Five-Axis Actively Positioned Multi-Monopole Bearingless Motor with Two Three-Phase Combined Windings
[IEEE] 2025-12-3 | Method of synthesizing and enhancing multiple auscultatory sounds for safe and efficient robotic auscultation *
[IEEE] 2025-12-3 | Transient Stability Study of IEEE 2800–2022 Standard Negative-Sequence Current Compliant Grid- Forming Inverter-Based Resources
[IEEE] 2025-12-3 | A Comprehensive Technoeconomic Evaluation of DC vs. AC-Coupled Fast Charging Solutions for Commercial Electric Vehicle Fleets
[IEEE] 2025-12-3 | Breast Cancer Detection and Sub-typing Using Subtraction of Temporally Sequential Mammograms and Machine Learning: Assessment of Invasiveness and Tumor Grade
[IEEE] 2025-12-3 | A Generic FSC Wind Park EMT Model with IEEE Std 2800-Compliant Fault Ride-Through Capability
[IEEE] 2025-12-3 | Passivity Enhancement Using Positive Active Damping for LCL-Type Grid-Connected Inverters with Inverter-Side Current Feedback
[IEEE] 2025-12-3 | HSA-UNet: A Lightweight Image Segmentation Network Based on Hybrid Synergistic Attention
[IEEE] 2025-12-3 | Attenuation in the neural tracking of auditory streams within the first 20 seconds of sound presentation
[IEEE] 2025-12-3 | An LLM-Powered Agent for Physiological Data Analysis: A Case Study on PPG-based Heart Rate Estimation
[IEEE] 2025-12-3 | Personalized Sleep Prediction via Deep Adaptive Spatiotemporal Modeling and Sparse Data
[IEEE] 2025-12-3 | Fundamental Study on the Measurement of Electrical Property of Biological Tissue Using a Coaxial Probe Method
[IEEE] 2025-12-3 | SAM-guided Cross Pseudo Supervision Learning for Semi-supervised Medical Image Segmentation
[IEEE] 2025-12-3 | Memory Forensics for Ransomware Analysis
[IEEE] 2025-12-3 | EEG Insights into Visual Attention and Affective Prosody Processing in Children with Autism Spectrum Disorder: Examining the Theta/Alpha Ratio*
[ACM] 2025-12-3 | Open-Vocabulary Object Detection with Driving-Aware Multi-Scale Feature Fusion for Autonomous Driving
[ACM] 2025-12-3 | BREV-RAG: Beyond Relevance-based EValuation of RAG systems: A SIGIR-AP 2025 Workshop Proposal
[IEEE] 2025-12-3 | ISLPED 2025 TOC
[IEEE] 2025-12-3 | Analysis of LDMOS Degradation Under Electromagnetic Pulse: Integrating Experiment, Simulation, and Neural Network-Based Modeling
[IEEE] 2025-12-3 | Adaptive Feedthrough Cancellation Method and Closed-Loop Controller for MEMS Electric Field Sensing System
[IEEE] 2025-12-3 | Binary-to-Decimal Encoding-Based Performance Predictor for Evolutionary Graph Fusion Architecture Search and Applications to Medical Data
[IEEE] 2025-12-3 | Development of a flexible magnetic catheter for urinary stone removal
[IEEE] 2025-12-3 | Author Index
[IEEE] 2025-12-3 | Collusion-Resistant and Time-Aware Co-Verification for Edge Data Integrity
[IEEE] 2025-12-3 | Sparse Transformer for Ultra-sparse Sampled Video Compressive Sensing
[IEEE] 2025-12-3 | Developing a Deep Learning Approach for Automated Body Composition Prediction in Newborns using Ultrasound Images
[IEEE] 2025-12-3 | A Three-Stage NSBM–NDEA Framework for Evaluating GPU-Oriented Collaborative Efficiency in Industrial Design Systems
[IEEE] 2025-12-3 | Interpretable CNN-LSTM Framework for Multiclass Neuromuscular Disorder Classification Using Clinically Relevant EMG Features
[IEEE] 2025-12-3 | ISMDNet: Multi-Material Decomposition Using Deep Learning and Inverse Transform Sampling in Spectral Photon Counting CT
[IEEE] 2025-12-3 | An Initial Study on Prompt Engineering for Automated Generation of Graphical Abstracts
[IEEE] 2025-12-3 | Thermal Performance of Two-Step Surgical Drill Bits: A Pilot Study
[IEEE] 2025-12-3 | Acquisition Envelopes of Circumferential Collagen Fibre Bundles of Meniscus from MicroCT Images
[IEEE] 2025-12-3 | Secret Sharing in 5G-MEC: Applicability for joint Security and Dependability
[IEEE] 2025-12-3 | Attitude Correction of UAV Agents under Anomalous States based on Deep Reinforcement Learning
[IEEE] 2025-12-3 | Prototype for Measuring Compression Location During Cardiopulmonary Resuscitation and how it Affects Blood Flow
[IEEE] 2025-12-3 | Application of Gramian Angular Field Images and Support Vector Machine for Computational Partial Discharge Event Detection in Transmission Lines
[IEEE] 2025-12-3 | Predicting Acute Ischemic Stroke Core in Multiphase CT Angiography Using a CT Perfusion-Trained Neural Network
[IEEE] 2025-12-3 | Improving Signal Quality for Remote Photoplethysmography by Suppression of Motion and Lighting Effects
[IEEE] 2025-12-3 | A Modeling and Static Analysis Approach for the Verification of Privacy and Safety Properties in Kotlin Android Apps
[IEEE] 2025-12-3 | Lung Nodule Malignancy Classification On 3D CT Images Using a Cosine Similarity-Enhanced Graph Attention Network
[IEEE] 2025-12-3 | Experimental and simulative characterization of the neuromuscular response to passive cycling with dynamically changing crank arm lenghts *
[IEEE] 2025-12-3 | Developing Lightweight Models with Data Optimization for Attending Speaker Identity from EEG without Spatial Information
[IEEE] 2025-12-3 | A MATLAB toolbox for computation of Speech Transmission Index (STI)
[IEEE] 2025-12-3 | Positional Embedding Comparison for Improved 1-D Convolutional Transformer Hybrid Neural Network Fault Diagnosis on Power Converters
[IEEE] 2025-12-3 | Leveraging Self-Supervised Learning Methods for Remote Screening of Subjects with Paroxysmal Atrial Fibrillation
[IEEE] 2025-12-3 | Gradient-Aware Data Augmentation for Federated Stress Detection under Data Incompleteness
[IEEE] 2025-12-3 | A Sparse Partial Correlation and DualAEMMD Fusion Framework for Identifying Major Depressive Disorder Using Resting-State fMRI
[IEEE] 2025-12-3 | Assessing the Utility of Audio Foundation Models for Heart and Respiratory Sound Analysis
[IEEE] 2025-12-3 | Symptom Monitoring in Oncological Patients Using Wrist-Worn Wearables: A Machine Learning Approach
[IEEE] 2025-12-3 | A Machine Learning Approach to Predictive Modeling of Cardiovascular Events
[IEEE] 2025-12-3 | Image reconstruction utilizing gradient magnetic fields with perturbed angular correlation of gamma-rays via radioactive tracer*
[IEEE] 2025-12-3 | Comparison of Three Novel Machine Learning Models for Photoplethysmography-based Cuffless Blood Pressure Prediction
[IEEE] 2025-12-3 | Optimization of Electric Field Distribution in Wide-Bandgap Semiconductor Power Modules via cBN-PI Composite Coating
[IEEE] 2025-12-3 | Synergy of Eye and Hand: Multimodal Biomarkers for Cognitive Assessment
[IEEE] 2025-12-3 | Impedance Spectroscopy-Based Detection of Internal Short Circuits in Sodium-Ion Batteries for Safer Transportation Systems
[IEEE] 2025-12-3 | Reward-based Evaluation of Odor Stimuli Impacts Functional Connectivity in Frontal and Temporal Areas: A Longitudinal EEG Study
[IEEE] 2025-12-3 | DC-Link Harmonic Suppression for Five-Phase Inverters Under Unbalanced Conditions Based on Carrier Phase Shift
[IEEE] 2025-12-3 | Enhancing Efficiency in CNN-Based Respiratory Sound Analysis through Temporal Self-Attention and Frequency Band Selection
[IEEE] 2025-12-3 | Full-Speed-Range Position Sensorless Control for Dual Three-Phase Motors with an Extended Electromotive Force Observer Configured on the VSD Coordinate
[IEEE] 2025-12-3 | Adaptive Online Variational Bayesian Method based on Normal-Generalized Inverse Gaussian Prior for Bioluminescence Tomography
[IEEE] 2025-12-3 | BEAM: Brainwave Empathy Assessment Model for Early Childhood
[IEEE] 2025-12-3 | Learning-based Pulmonary Disease Detection Using Weak Labels for Volume Sweep Lung Ultrasound Imaging
[IEEE] 2025-12-3 | An AI-Enabled Low-Cost Wearable to Support Musculoskeletal Rehabilitation: A Proof of Concept
[IEEE] 2025-12-3 | Stability Analysis of Multiphase $V^{2}$ COT Control with Phase Overlapping
[IEEE] 2025-12-3 | Multimodal analysis of postural control in adults at risk of falls
                    <sup>*</sup>
[IEEE] 2025-12-3 | ReLAC: A Transformation Methodology for Automated Optic Disc Tilt and Torsion Correction and Circularity Improvement in Fundus Images
[IEEE] 2025-12-3 | Real-Time Simulation Model of a Vanadium Redox Flow Battery Energy Storage System with Power Electronics Integration
[IEEE] 2025-12-3 | Pre-Synchronization Control Strategy for Parallel VSG-Controlled Converters in Island Operation Mode Based on DQ-Axis Voltage
[IEEE] 2025-12-3 | Multi-state reliability prediction for casing hangers at ultra-high pressure wellheads
[IEEE] 2025-12-3 | Simulating Public Transport Instability: A Novel VR and Stewart Platform-Based Balance Training Approach
[IEEE] 2025-12-3 | Gate Sizing for Leakage Power and Timing Optimization Using Deep Reinforcement Learning
[IEEE] 2025-12-3 | A Bayesian network approach for understanding causal dependencies in chronic patients’ medication non-adherence
[IEEE] 2025-12-3 | Forensic Investigation of DJI Mavic Air 2 Drone
[IEEE] 2025-12-3 | Speech Envelope Reconstruction From Stereo EEG in a Speech Production Task
[IEEE] 2025-12-3 | Predictive Control with Reduced Computational Burden in Cascaded H-Bridge Motor Drives
[IEEE] 2025-12-3 | Multiphysical Tumor Tissue Modeling for Improved Multimodal Sensor-Based Diagnostics
[IEEE] 2025-12-3 | Implementation of Distance Approximation Technique for Objects Using Yolo V5 Bounding Boxes and Trigonometry
[IEEE] 2025-12-3 | Discrete-Time Current Regulator with Virtual Impedance-Based Disturbance Rejection, Enhanced Noise Immunity, and Low Pulse Ratio Control
[IEEE] 2025-12-3 | Automated File Storage and Retrieval System with Robotic Arm for Cloud-Based Printing
[IEEE] 2025-12-3 | Context Informed Incremental Learning Improves Myoelectric Control Performance in Virtual Reality Object Manipulation Tasks
[IEEE] 2025-12-3 | Ultrafast Noise-Immune Short-Circuit Detection in Gallium Nitride Power Semiconductors via Drain-Source Voltage Pattern Recognition
[IEEE] 2025-12-3 | Cross-Domain Adaptation of AI Models for Customer Query Classification
[IEEE] 2025-12-3 | Balancing Cohort Size and Variability in Iterative Deep Brain Template Creation
[IEEE] 2025-12-3 | Development and Evaluation of an Automated Medicine Dispensing Machine with Integrated Monitoring System for Enhanced Medication Management
[IEEE] 2025-12-3 | Characterization and Analysis of Chip Parameter Dispersion for 3.3 kV SiC MOSFETs
[IEEE] 2025-12-3 | A Novel Integrated Charger Inverter Topology for EVs
[IEEE] 2025-12-3 | Induction of Gamma Oscillations via Transcranial Temporal Interference Stimulation: A Human Head Phantom Study
[IEEE] 2025-12-3 | Convolutional Feature Engineering for Cross-day Personal Identification using Wrist Electromyography
[IEEE] 2025-12-3 | Deep learning-Based Fit Level Detection for Industrial Respirators with Embedded Breath Sensors
[IEEE] 2025-12-3 | Robust Stability Analysis and Optimal Control Design Method of Grid-Forming Converter Considering Source-Grid Parameters Uncertainty
[IEEE] 2025-12-3 | Development of Adjusted Net Saving Index as the Special Indicator of Energy Security
[IEEE] 2025-12-3 | Self-Organizing Multi-Agent Collaborative Decision-Making System
[IEEE] 2025-12-3 | Analysis and Optimization of Technical Support Process for Complex Equipment
[IEEE] 2025-12-3 | 3D Gaussian Splatting in Face Reconstruction
[IEEE] 2025-12-3 | Design, Simulation and Analysis of a 1200 V 4H-SiC Lateral MOSFET
[IEEE] 2025-12-3 | Enhancing Stability of DC Cascaded System by Using Nonlinear Inductor and Virtual Inductor Resistance Control in Source-Interface Converter
[IEEE] 2025-12-3 | Edge-Enabled Predictive Maintenance of Wind Turbine Blades: Intelligent Embedded Approach
[IEEE] 2025-12-3 | Machine Learning for IoT Device Security in Smart Homes
[IEEE] 2025-12-3 | Utilizing Machine Learning Techniques for Water Quality Evaluation: A Comparative Analysis of Classifiers Efficiency
[IEEE] 2025-12-3 | GEN AI in Identity and Access Management: Transforming Security Solutions
[ACM] 2025-12-4 | Features And Value Analysis of the Industrial Internet Edge Computing
[ACM] 2025-12-4 | Cultural Tourism Scene Construction and Satisfaction Modeling in Traditional Villages: Integrating Multi-Stakeholder Theory and Machine Learning
[IEEE] 2025-12-3 | Consistency Model-Assisted Optimal Configuration of Integrated Energy Systems
[IEEE] 2025-12-3 | Using the SSEMGP – SEMI - STATE Equation Matrix Generation Program for Transfer Function Generation in Analog Circuits with Single Input – Single Output and Multiple Inputs - Multiple Outputs
[IEEE] 2025-12-3 | Hybrid CNN-Transformer Model for Accurate Classification of Human Attention Levels Using Workplace EEG Data
[IEEE] 2025-12-3 | Fairness-Aware Joint Optimization of Dynamic Service Caching and Base Station Clustering in User-Centric MEC Networks
[IEEE] 2025-12-3 | Enhanced SpO
                    <sub>2</sub>
                    and Heart Rate Estimation from Smartphone Facial Videos with Dynamic Selection of Optimal Region of Interest
[IEEE] 2025-12-3 | Improving Worker Fall Detection with Two Cameras: A Hybrid Model Integrating Pose Estimation and Fall Classification
[IEEE] 2025-12-3 | Calibration of Friction and Roughness in an Urban Water Distribution Network Using an LSTM Neural Network-Based Framework
[IEEE] 2025-12-3 | Ultra-Low Power EEG Headband Based on Gold Nanowire Foam Electrode
[IEEE] 2025-12-3 | Modeling of Kilohertz Wireless Power Transfer Systems with Transmitter-Side Low-Frequency Metamaterials
[IEEE] 2025-12-3 | In vitro rifampicin release and antimicrobial activity of biodegradable polymer coatings
                    <sup>*</sup>
[IEEE] 2025-12-3 | Reconfigurable Heterogeneous Multi-agent Network Modeling and Resilience analysis
[IEEE] 2025-12-3 | Detection of Bond Wire Lift-Off Using a Parallel Resonant Tank Circuit During Gate Turn-Off
[IEEE] 2025-12-3 | Burnout Risk Prediction through Wearable Devices: An Initial Assessment
[IEEE] 2025-12-3 | Quasi-Halbach Array Axial Flux Rotor for High Torque Applications
[IEEE] 2025-12-3 | ZVS Region Expansion for Three-Phase Dual Active Bridge Based on Design of Wye-Asymmetric Extended Delta Transformer
[IEEE] 2025-12-3 | TRAI: An AI-Driven Mobile Application to Reduce the Gap Between Triage and Care
[IEEE] 2025-12-3 | A Single-Channel EEG Approach for Sleep Stage-Independent Automatic Detection of REM Sleep Behavior Disorder
[IEEE] 2025-12-3 | Design and Implementation of a KNX Energy Management System for Optimizing Self-Consumption in Off-Grid Photovoltaic Systems
[IEEE] 2025-12-3 | Using Infinite Split Cores and Sub-Micrometer Coating to Push Resonant Frequency (f
                    <sub>R</sub>
                    ) to Beyond 50 MHz
[IEEE] 2025-12-3 | Using Reinforcement Learning to Investigate Neural Dynamics During Motor Learning
[IEEE] 2025-12-3 | eVTOL Propulsion Comparison Between Axial Flux and Radial Flux Motors
[IEEE] 2025-12-3 | Unsupervised Online Detection of Pipe Blockages and Leakages in Water Distribution Networks
[IEEE] 2025-12-3 | DCA-Former: Dual Channel Attention-Driven Multiscale Convolutional Transformer for P300 Speller
[IEEE] 2025-12-3 | Optimizing Machine Learning Performance with Word Frequency-Based Document Representation: A Comparative Analysis of Clustering Algorithms
[IEEE] 2025-12-3 | A Unified Approach to Dual-Mode Synchronous Overmodulation Regulation of PWM Inverters with Constant and Variable Fundamental Frequencies
[IEEE] 2025-12-3 | Evaluation of gait training based on the combination of TWIN exoskeleton and Functional Electrical Stimulation of tibialis anterior
[IEEE] 2025-12-3 | Training-Free Optical Identifier Recognition for Injection-Molded Components
[IEEE] 2025-12-3 | In silico Deployment Modeling of an Everolimus Coated Balloon
[IEEE] 2025-12-3 | A Deep Learning approach for Depressive Symptoms assessment in Parkinson’s disease patients using facial videos
[IEEE] 2025-12-3 | FairCauseSyn: Towards Causally Fair LLM-augmented Synthetic Data Generation
[IEEE] 2025-12-3 | Thermal Aware Design Methodologies for System On Chip Application Processor
