[2026-09-23 23:16:19] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-22
正在获取论文...
[arXiv] 2026-09-22 | SurgGraph: Quantitative Laparoscopic Video Understanding via Geometry-Grounded Scene Graphs
[IEEE] 2026-9-22 | A Multilayer Perceptron-Based Method for Predicting the Maximum Temperature of IGBTs Under Small-Sample Conditions
[IEEE] 2026-9-22 | Investigation on Flow Characteristics of Oil Injection at End Winding of Hairpin Winding Motors
[IEEE] 2026-9-22 | Community Detection and Benefit Allocation Method for Integrated Energy Systems Based on Game Theory
[IEEE] 2026-9-22 | A Hybrid Deep Learning Framework for SoC and SoH Estimation in Lithium-Ion Batteries with Capuchin Optimization Model
[IEEE] 2026-9-22 | Optimal Capacity Configuration of Off-Grid ALK-PEM Hydrogen Systems Considering Fluctuation Features and Lifespan Degradation
[IEEE] 2026-9-22 | Acoustic Binary Image Transmission with Adaptive RLE Compression and Hamming Error Correction: System Design and Performance Analysis
[IEEE] 2026-9-22 | Data-Driven Load Profile Inference and Grid Integration Planning for New Users at Electric Heavy-Duty Truck Charging Stations
[IEEE] 2026-9-22 | Stock-Out Distortion and Under-Forecasting: An Inventory-Aware Diagnosis of Demand-Signal Bias in Multi-SKU Sales Forecasting
[IEEE] 2026-9-22 | Hybrid Random–Directional RIS Phase Profile Design for Multi-Layer TN/NTN Positioning
[IEEE] 2026-9-22 | Machine Learning for GDP Forecasting: LightGBM and CatBoost Outperform ARIMA Across 20 Economies
[IEEE] 2026-9-22 | A Credible Schedulable Capacity Assessment Method for Large-Scale 5G Base Stations Based on Dimension-Reduction Virtual Power Plant Framework
[IEEE] 2026-9-22 | Research on a MOSFET-Based Fully Controlled DC Circuit Breaker and Smooth Commutation Strategy
[IEEE] 2026-9-22 | Research on Negative-Sequence Voltage Suppression in Distribution Networks Based on Magnetically Controlled Switch Stepped Compensation
[IEEE] 2026-9-22 | Voltage Margin Calibration for Wind Power Hosting Capacity Risk Boundary Assessment Under Source-Load Coupling
[IEEE] 2026-9-22 | Ultra-Short-Term Wind Power Prediction Model Based on Heterogeneous Transformer Expert Pool and Grey Relational Embedding
[IEEE] 2026-9-22 | Price Sensitivity Analysis of Adjustable Resources in Multi-Energy Flexible Systems of Public Buildings
[IEEE] 2026-9-22 | An Energy Efficient Unipolar Buck Assisted Linear Amplifier Drive System with Optimized Envelope Generation
[IEEE] 2026-9-22 | Optimization of Adjustable Resource Scheduling for Flexible Ramping in Power Systems
[IEEE] 2026-9-22 | Optimal Scheduling of Combined Heat and Power System Considering Renewable Energy Uncertainty: An Improved A3C Algorithm
[IEEE] 2026-9-22 | CIML 2026 Author Information Page
[IEEE] 2026-9-22 | Characterizing, Modeling, and Mitigating Radiation-Induced Noise on Event-Based Vision Sensors for Space Applications
[IEEE] 2026-9-22 | CryptoFormer: Multi-Currency Traffic Classification Via Two-Stage Transformer Architecture
[IEEE] 2026-9-22 | An IIoT-Enabled Multi-Order Graph Hierarchical Local-Global Network for Bearing Remaining Useful Life Prediction
[IEEE] 2026-9-22 | False Data Injection Attack Oriented Incremental Anomaly Detection from Dual Perspectives
[IEEE] 2026-9-22 | UrbanRAMF: Confidence-Guided Feature Interaction for Fine-Grained Urban Flow Inference From Incomplete Sensing Data
[IEEE] 2026-9-22 | Music-induced Emotion Oscillation Modeling
[IEEE] 2026-9-22 | Attack-defense-inspired Volt/var Control with Line Parameter Noise in Active Distribution Networks
[IEEE] 2026-9-22 | Radiation Hardened Latch Designs With FPGA-Based Verifications for Aerospace Applications
[IEEE] 2026-9-22 | TimeAgent: A Training-Free LLM Agent for Time Series Foundation Models
[IEEE] 2026-9-23 | Achieving Uniform Radial Compression: An In Vitro Intestinal Motility Simulator for the Evaluation of Intestinal Robots
[IEEE] 2026-9-23 | Efficient Invariant Representation Learning Based on Cauchy–Schwarz Divergence
[IEEE] 2026-9-23 | EEG-EMG Coupling Analysis of Interaction Force in Human-Robot Interaction
[IEEE] 2026-9-23 | Topology and Control of a Full-Arm Multiplexing Modular Multilevel Converter with Wide-Range Energy Balancing Capability
[IEEE] 2026-9-23 | ConsistVIS: A Consistency-Aware Weakly Supervised Video Instance Segmentation Method
[IEEE] 2026-9-23 | Open-Set-Guided JPDA for Association-Robust Radar–ESM Fusion in Dense Crossing Target Tracking
[IEEE] 2026-9-22 | Balancing Productivity and Flexibility in Lean Manufacturing for Complex Production Systems
[IEEE] 2026-9-23 | A Thin Embedded FBG Instrumented Wafer for In Situ Temperature Monitoring and Wafer-Scale Temperature Mapping
[IEEE] 2026-9-23 | PASTE: A Physical-Aware Surrogate for FPGA Pre-Routing Timing Estimation
[IEEE] 2026-9-22 | Distributed Pseudolinear Information Filtering Approach with Multisource Measurements for Heterogeneous Sensor Networks
[IEEE] 2026-9-23 | A System-Oriented Lightweight Vision-Based Framework for Real-Time UAV Aerial Surveillance
[IEEE] 2026-9-23 | Epidural Fibrosis Raises Thresholds but Preserves Recruitment in Conventional Spinal Cord Stimulation: Lateral Steering Is Fragile_supp1-3736127.docx
[IEEE] 2026-9-23 | Author Index
[IEEE] 2026-9-23 | Comparing a Vision Foundation Model (DINOv3) and a Task-Specific U-Net for Mapping Emergent Aquatic Vegetation From Fused UAV Multispectral and LiDAR Data
[IEEE] 2026-9-23 | 2026 IEEE 37th International Conference on Application-specific Systems, Architectures and Processors (ASAP)
[IEEE] 2026-9-23 | CoTrack-LIO: A Dual-Track LiDar-Inertial SLAM for Dynamic Environments
[IEEE] 2026-9-23 | TAP-SNet: Lightweight Few-Shot Modulation Recognition via Selective Mamba Mechanism
[IEEE] 2026-9-23 | Dynamic Modeling of Six-Degree-of-Freedom Underwater Robot
[IEEE] 2026-9-23 | Hierarchical Hybrid Deep Learning Framework for High-Performance Fiber Optic SPR Sensing_supp1-3736469.docx
[IEEE] 2026-9-22 | Exploring the Muscle-Tendon Biomechanics and Load Mitigation of a Passive Shoulder Exoskeleton During Overhead Work
[IEEE] 2026-9-23 | OppNDA: A Modular and Scalable Automation Framework for Streamlining DTN Research with the ONE Simulator
[IEEE] 2026-9-23 | Robust RSMA-OTFS Design in LEO Satellite Communications with Practical Delay-Doppler Impairments
[IEEE] 2026-9-23 | Composite Vibration Suppression of Active-Magnetic-Bearing-Supported Rigid Rotors Using I-NRBO-Based PID Tuning and Improved Adaptive Notch Filtering
[IEEE] 2026-9-23 | Symbolic Energy Analysis for Nested Loop Accelerators
[IEEE] 2026-9-23 | Efficient Neural Decoding of Multi-Finger Forces for Continuous Human–Robot Interaction Control
[IEEE] 2026-9-23 | Robust Multi-Agent Reinforcement Learning for Secure and Energy-Efficient IoT Communications Assisted by Aerial Active RIS
[IEEE] 2026-9-22 | Spaceborne Ultra-High-Resolution Sliding Spotlight SAR Imaging Algorithm Based on United Azimuth Time-Frequency Polynomial Compensation
[IEEE] 2026-9-23 | Design Approach for Resistor-Free Filtering Power Dividers Using a Cavity-Backed Slot and Its Equivalent Circuit
[IEEE] 2026-9-23 | Retraction Notice: Face Recognition system using Extreme Learning Machines
[IEEE] 2026-9-23 | Dynamic-Flooding Transformer Ensembles for Reinforcement-Learning-Based Equity Market Timing
[IEEE] 2026-9-23 | Lighting-Aware Adaptive Fusion for Short-Term Lighting-Load Forecasting in Smart-Building Lighting IoT
[IEEE] 2026-9-23 | Enhancing Throughput for Wi-Fi 7 MLO With Shared Block ACK in MLD-SLD Coexisting Networks: An Airtime Alignment Approach
[IEEE] 2026-9-23 | Design of a Medium-Frequency Electrical Stimulation System Based on FPGA
[IEEE] 2026-9-23 | Effectively Enhancing the Efficiency of Near-Infrared Organic Upconversion Devices by Introducing Intermediate Connecting Layer
[IEEE] 2026-9-23 | Scu: an Sfq Co-Design for Bit-Vector Approximate Matching in Genome Alignment
[IEEE] 2026-9-23 | Cooperative Teaching Optimization for Multi-Satellite Multi-Calibration-Satellite Mission Planning
[IEEE] 2026-9-23 | Privacy-Preserving Distributed Online Learning with Zeroth-Order Feedback over Directed Networks
[IEEE] 2026-9-23 | ReaguMark: A Resolution-Agnostic Unified Watermarking Framework for Screen-Camera Distortion Resistance_supp1-3729384.pdf
[IEEE] 2026-9-22 | HiS-CIM: A 72.65-TOPS/W Hetero-CIM-Based LLM Accelerator Exploiting Hierarchical Weight Compression and Multi-Granular Sparsity
[IEEE] 2026-9-22 | Credibility State Estimation Fusion Driven by Deep Learning for Low-Altitude Target Tracking
[IEEE] 2026-9-22 | Efficient Medical Image Analysis in the JPEG-AI Compressed Domain
[IEEE] 2026-9-23 | Global Motion-Based Adaptive Composite Long-Term Reference Design for Surveillance Video Coding
[IEEE] 2026-9-23 | Multi-Month mmWave Channel Characterization with NYUSIM: Frequency, Scenario, and Fading Model Analysis_supp1-3731631.xlsx
[IEEE] 2026-9-23 | Vehicle Electronics in the 90's: Proceedings of the International Congress on Transportation Electronics
[IEEE] 2026-9-23 | Author Index
[IEEE] 2026-9-23 | Site-Aware Applicability-Domain-Guided Selective Prediction for Atmospheric Corrosion Under Environmental Domain Shift
[IEEE] 2026-9-23 | A Compression Method and Analysis for Low-SNR SAR Images Based on Entropy Reduction and Rate-Distortion
[IEEE] 2026-9-23 | Static Strength Assessment of Aircraft Stiffened Panels Based on Graph Attention Network and Multiattribute Decision-Making
[IEEE] 2026-9-23 | Introduction to the September 2026 Issue
[IEEE] 2026-9-23 | MK-Transformer: A Combat Semantic Alignment Method for Heterogeneous Agents in Crewed-Uncrewed Teaming
[IEEE] 2026-9-23 | Learning Device-Agnostic Control Policy for Hip Exoskeletons via Sim-to-real Reinforcement Learning
[IEEE] 2026-9-23 | Zero-Shot Diagnosis of Gearboxes Based on Multi- View Feature Extraction and Heuristic Virtual Sample Generation
[IEEE] 2026-9-23 | Method of Optimization Design and Experimental Validation of an Underwater Robot for Cleaning Biofouling on Offshore Wind Turbine Foundations Based on Hydrodynamics
[IEEE] 2026-9-23 | Varnish–Oil Compatibility and Degradation Mechanisms for Enhanced High-Temperature Electrical Insulation Performance
[IEEE] 2026-9-23 | Multi-parameter Detection for Metal Cracks Based on Chipless RFID Technology and GA-BP Model
[ACM] 2026-9-23 | Toward the Development of Online Spiritual Care Communities: A Large-Scale Survey of Spiritual Care Stakeholders to Establish Initial Design Directions, Acceptability, and Feasibility
[IEEE] 2026-9-22 | Parametric Knowledge Cannot Overcome Instance Bias in LLM-Based Automated Algorithm Design
[ACM] 2026-9-22 | Beyond the HBM Wall: Coherent-Memory Oversubscription for AI Workloads on NVIDIA Grace Hopper
[ACM] 2026-9-22 | Adaptive GPU Sharing for Real-time LLM Serving with Best-effort Workloads
[ACM] 2026-9-22 | ZWAN: Leveraging Zone Random Write Area (ZRWA) for Avoiding WAL Tax in LSM-tree
[ACM] 2026-9-22 | GraceSSD: Per-File Reliability Hints for Error-Tolerant Machine Learning Storage
[IEEE] 2026-9-22 | PD Pattern Recognition in XLPE High-Voltage Cables Based on PC-DTF and Fanet
[ACM] 2026-9-22 | Caching with Calibrated Predictions
[IEEE] 2026-9-22 | Context-Aware Unified Transformer for Joint Speech Recognition and Semantic Dialogue Modeling
[IEEE] 2026-9-22 | A Secure Sdn-Blockchain Architecture for Controlled Medical Data Access in IoT Networks
[IEEE] 2026-9-22 | Experimental Evaluation of Geometry and Reciprocity-Based Beamforming with Large Arrays for RF Wireless Power Transfer
[IEEE] 2026-9-22 | MORAN-Enabled O-RAN Split 7.2 Based 5G Indoor Small Cell Using srsRAN and a Custom RF Front End
[IEEE] 2026-9-22 | Fuzzy Logic–Integrated Hybrid Machine Learning Model for Predicting Psychological Consumer Purchase Behavior in E-Commerce
[IEEE] 2026-9-22 | BacSense: A Cascaded Hybrid Deep Learning Framework for Waterborne Bacterial Identification
[IEEE] 2026-9-22 | Smudged Fingerprints: A Systematic Evaluation of the Robustness of AI Image Fingerprints
[IEEE] 2026-9-22 | Scalable Predictive Analytics for Project Risk Management Using Data-Driven Machine Learning Approach
[IEEE] 2026-9-22 | Short-Circuit Current Calculation for Photovoltaic Power Plants Considering the Entire Fault Ride-Through Process
[IEEE] 2026-9-22 | Deep Learning-Based Intelligent Recognition Method for Power Grid Station Wiring Diagram via Multi-Module Collaboration
[IEEE] 2026-9-22 | Conducted Emission Behaviour of a High-Power WPT System Fed by Balanced and Unbalanced Modular Converters Under Phase-Shift Modulation
[IEEE] 2026-9-22 | Multi-Spatiotemporal Collaborative Control and Hybrid Mechanism-Data Driven State Reconstruction for Active Distribution Networks
[IEEE] 2026-9-22 | Hybrid GRNN–NLIWPA Approach for Data-Driven Crop Yield Prediction and Decision Ranking
[IEEE] 2026-9-22 | Quantifying the Secure Regulation Region of a Thermal Power Unit Coupled with Battery and Thermal Energy Storage for Deep Peak Shaving
[IEEE] 2026-9-22 | Development of a Multi-Sensor Fusion Hardware Platform and Motion Accuracy Verification for Power Inspection Robots
[IEEE] 2026-9-22 | Bridging the Synthetic-to-Real Gap in Impulsive Sound Detection Using Audio Transfer Learning
[IEEE] 2026-9-22 | Spherical Three-Phase WPT System Using Multi-Coil Transmitter Optimal Control
[IEEE] 2026-9-22 | Adaptive Energy Compensation Control for High-Frequency Oscillation Suppression of Grid-Forming Converter Under Varying Operating Conditions
[IEEE] 2026-9-22 | Real-time tightly coupled GNSS and IMU integration via Factor Graph Optimization
                    <sup>∗</sup>
[IEEE] 2026-9-22 | A Novel Frequency Regulation Strategy for Aggregated Electric Vehicles Considering AGC Signal Uncertainty
[IEEE] 2026-9-22 | Carbon-Accountable Peer-to-Peer Energy Trading for Interconnected Multi-Microgrids Under Incomplete Information and Privacy Constraints
[IEEE] 2026-9-22 | Robust Computing-Power Coordinated Scheduling for a Multi-Data-Center Aggregator via Hierarchical DRL with State-Adversarial Training
[ACM] 2026-9-23 | Responsible LLM Integration in a Computing Capstone: An Interdisciplinary Case Study of an AI Patient Simulation Tool
[IEEE] 2026-9-23 | Janus Metasurface Breaking Polarization Symmetry: Surface-Modulated Electromagnetic Wave Radiation with Coexistent Linear and Circular Polarization
[IEEE] 2026-9-23 | Traffic-Balanced Clustering Configuration for Resource Allocation in LEO Beam Hopping Satellite Communication Systems
[ACM] 2026-9-23 | Characterizing an LLM-driven Social Network: The Case of Chirper.ai
[IEEE] 2026-9-23 | Jitter Distortion Correction for Spaceborne TDI CCD Images Using Rigorous Error Transfer Model Derived from Rolling-Shutter CMOS on the Shared Focal Plane
[ACM] 2026-9-23 | Young Adults' Experiences with Smartphone Apps for Spiritual Support
[IEEE] 2026-9-23 | iDynamics: A Configurable Emulation Framework for Evaluating Microservice Scheduling Policies under Controllable Cloud–Edge Dynamics
[IEEE] 2026-9-23 | A Cooperative Overtaking Control with Finite-State Switching and Task-Oriented High-Order Control Barrier Function
[IEEE] 2026-9-23 | MAP-Based Task-Oriented Precoding for Multiuser Communication
[IEEE] 2026-9-23 | When Bias Lives in the Label: Diagnosing and Correcting Label-Resident Group Gaps, with a Graduate-Employability Case Study
[IEEE] 2026-9-22 | A Portable LAMP Microdevice for SARS-CoV-2 Detection: Sensitivity, Specificity, and Point-of-Care Applications
[IEEE] 2026-9-23 | Knowledge-Activated Design: A Parametric Methodology for Automotive Park Distance Control Sensor Integration
[IEEE] 2026-9-23 | Booster Lab: A Data-Centric Pipeline for Learning Deployable Humanoid Locomotion Policies
[ACM] 2026-9-23 | Designing AI-Infused Interactive Systems for Online Communities: A Systematic Literature Review
[IEEE] 2026-9-23 | Analysis and Design of a 2–8 GHz Eight-Phase N-Path Passive Mixer-First Receiver With Overlapping LO Signals and Harmonic Loss Suppression
[IEEE] 2026-9-23 | Multiscale Multiple Instance Learning for Histopathological Subtype Classification of Non-Small Cell Lung Cancer
[IEEE] 2026-9-23 | Table of Contents
[IEEE] 2026-9-23 | How Tool-Error Signals Shape Recovery Route Selection in Information-Gathering LLM Agents: A Controlled Factorial Study_supp1-3736562.pdf
[IEEE] 2026-9-23 | A Dual-Domain Model Merging based Hybrid-Supervised Learning Framework for Computer-Aided Diagnosis
[IEEE] 2026-9-23 | A Single-Motor-Actuated Robotic Hand Based on Magnetorheological Transmission Modules
[IEEE] 2026-9-23 | A Hybrid Contention-Reservation MAC Protocol for Traffic-Aware Space-Air-Sea Maritime Networks
[IEEE] 2026-9-23 | DGDPANet: Deformable Alignment and Gated Injection for Bitemporal Remote Sensing Change Detection
[IEEE] 2026-9-23 | DiMoP: Diffusion-Driven Motion Representation Learning With Frame-Level Pseudo-Classification for Skeleton-Based Action Recognition
[ACM] 2026-9-23 | Algorithmic Disruptions to Expertise: The Impact of the Home Valuation Tool Zestimate on Real Estate Professionals’ Work
[IEEE] 2026-9-23 | Half Title Page
[IEEE] 2026-9-23 | Task-Resource Allocation in Multiagent Discrete-Event Systems Based on Extended NCES
[IEEE] 2026-9-23 | Taming Latency and Bandwidth: A Theoretical Framework and Adaptive Algorithm for Communication-Constrained Training
[IEEE] 2026-9-23 | A Vision-Guided System for Fully Automated Cyanoacrylate Application in Mouse Craniotomy
[IEEE] 2026-9-23 | Diffusion-aided Task-oriented Semantic Communications with Model Inversion Attack
[IEEE] 2026-9-23 | Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    -based Solar-Blind Deep-UV Detector With ~10
                    <sup>7</sup>
                    Rejection Ratio: Insights Into Temperature-Dependent Carrier Dynamics
[IEEE] 2026-9-23 | Computationally Efficient Construction of Safe Configuration Space for Reconfigurable Battery Systems
[IEEE] 2026-9-23 | Retraction Notice: Optimization of Crop Yield Using Machine Learning
[IEEE] 2026-9-23 | Research on the Progressive Construction Path of the Strongly Centralized TT&amp;C System
[IEEE] 2026-9-23 | SCD-Net: A Deep Semantic Contrastive Defense Network Against Prompt Injection in Power Grid LLMs
[IEEE] 2026-9-22 | A Design of SDR-based QRNG-Radar for Interference-Resilient Sensing Applications
[IEEE] 2026-9-23 | Multi-Frame Magnitude Decoupling with Complex-Domain Learning for Robust Radio-Frequency Fingerprint Identification
[IEEE] 2026-9-23 | Joint Optimization of Model Pruning and Bandwidth Allocation for Resource-Constrained Wireless Federated Learning
[IEEE] 2026-9-23 | A Low-Power
                    <i>G</i>
                    <sub>M</sub>
                    -C-Based Continuous-Time Δ
                    <i>Σ</i>
                    ADC With Capacitive Input Feedforward and Duty-Cycled
                    <i>G</i>
                    <sub>M</sub>
                    Technique
[IEEE] 2026-9-23 | Dynamic Model-aided Intelligent Fault Diagnosis Method for Brushless DC Motor-reducers
[IEEE] 2026-9-23 | A Near-Cache RISC-V Coprocessor for Efficient Posit Dot-Product Acceleration
[IEEE] 2026-9-23 | PFC-MS: A Peripheral-Foveal Multi-Scale Network with Star Operation for Vehicle Detection
[IEEE] 2026-9-23 | CRIF Multi-View: Counterfactual Retrieval Defense for Poison-Resilient Power-Domain RAG
[IEEE] 2026-9-23 | Optimization of a Crossed Four-Bar Mechanism Based on Personalized Knee ICR Trajectory
[IEEE] 2026-9-23 | State-Vector Driven Dynamic Adjustment for a Multi-Domain Cognitive Rehabilitation System
[IEEE] 2026-9-23 | Empowering Portable Raman Spectrometers with Edge Intelligence for RTV Coating Verification in Power Grids
[IEEE] 2026-9-23 | Sea-State Guided Pixel-Query Framework for Ocean SAR Panoptic Segmentation
[IEEE] 2026-9-23 | Retraction Notice: Underwater Image Detection using Laplacian and Gaussian Technique
[IEEE] 2026-9-23 | A Structure-Revealing Tensor Network Paradigm and Its Applications
[IEEE] 2026-9-23 | An Active Nonlinear Characteristics Synthesis Based Nonlinear-Fitting Time Delay Neural Network for the Power Amplifier Digital Pre-distortion
[IEEE] 2026-9-23 | Buried SiGe Layer to Boost the RF Performance of High-Resistivity Si Substrates
[ACM] 2026-9-23 | "The New Era of Tech-Enabled Traceability": Tensions between the FDA’s Data Governance Vision and the Lived Realities of Food Producers
[ACM] 2026-9-23 | The Relational Origins of Rules in Online Communities
[IEEE] 2026-9-23 | [1992] Record of Conference Papers Industry Applications Society 39th Annual Petroleum and Chemical Industry Conference
[IEEE] 2026-9-23 | Retraction Notice: Image processing based leukemia cancer cell detection
[ACM] 2026-9-23 | Interdependent Navigation and Pragmatic Disengagement: How Older Korean Immigrants Selectively Engage with Digital Technologies
[IEEE] 2026-9-23 | A Novel RIS-Enabled Nonlinear Modulation Scheme with Amplitude-Phase Decoupling
[IEEE] 2026-9-23 | A Photovoltaic Cell Defect Detection Method Based on Improved RT-DETR
[IEEE] 2026-9-22 | FiLMamba: A FiLM-Conditioned Mamba Architecture with an Energy-Efficient FPGA Accelerator for Generalizable Cuffless Blood Pressure Estimation
[IEEE] 2026-9-22 | Edge Perception Interface via Promptable IR– VIS Fusion: Stable Features for Industrial IoT Safety Inspection
[IEEE] 2026-9-22 | Decoupling of Communication and Sensing: Blind Parameter Estimation Robust to Array Deformations under IoT ISAC Systems
[IEEE] 2026-9-22 | Psychometric Validation of LLM-Generated Items: Equivalent Quality to Human-Authored Assessments via IRT and Learning Analytics
[IEEE] 2026-9-22 | Evaluating and Enhancing Ionospheric Models for LEO-PNT Simulation Applications: Towards a Machine Learning–Enhanced NeQuick2 Framework
[IEEE] 2026-9-22 | Equilibrium-Oriented Strategic Bidding for Generation Companies in Coupled Electricity and Carbon Markets
[IEEE] 2026-9-22 | Ultra-Short-Term Wind Speed Forecasting Integrating Multi-Scale Temporal Modeling and Wake-Effect Physical Constraints
[IEEE] 2026-9-22 | Photovoltaic Power Forecasting Based on Temporally Improved Deep Embedded Clustering and Dual State Control Soft Mixture of Experts
[IEEE] 2026-9-22 | Algorithms for Space GNSS Guaranteed Positioning: Integrity for the Space Corridor (ISCO) - Experimentation Results
[IEEE] 2026-9-22 | Lightweight Deep Learning Model Architecture for Affective State Recognition from Wearable Physiological Sensors
[IEEE] 2026-9-22 | Smartphone-Based Road Roughness Index Estimation Using MLP With Hard-Example Mining: A Vehicle-Specific Multi-Platform Study
[IEEE] 2026-9-22 | Dynamic-Consistency-Residual-Based Fault Detection Method for DC Ring-Bus Microgrids
[IEEE] 2026-9-22 | Artificial Intelligence-Enabled Feature Recognition and Prediction Model for the Development of Intangible Cultural Heritage Industries
[IEEE] 2026-9-22 | Dynamic Flood Limited Water Level Control for Hydropower-New Energy Complementarity
[IEEE] 2026-9-22 | Random Forest-Based Prediction of Brain Tumor Risk and Treatment Effectiveness
[IEEE] 2026-9-22 | Multimodal Urban Mobility Recommendation Using Graph-Based Routing and Dynamic Time Filtering
[IEEE] 2026-9-22 | Monostatic Radar Cross Section Study of a Low-Cost Composite Wing for Quasi-Stealth UAV
[IEEE] 2026-9-22 | Similarity-Aware ML Model Selection for Network-Device Collaboration
[IEEE] 2026-9-22 | An Object Detection Algorithm for River Pollutants Based on Indigenously Developed AI Modules and Slow-Speed, Miniature Aerial Platforms
[IEEE] 2026-9-22 | Can Open-Weight LLMs Detect Flawed Exam Questions? A Lecturer-in-the-Loop Benchmark for Technical Higher Education
[IEEE] 2026-9-22 | A Study of Power Electronic Topologies for High-Power Inductive Power Transfer System with Passive Rectification
[IEEE] 2026-9-22 | Enhanced Wireless Sensor Network Security Through Machine Learning-Based Data-Driven Intrusion Detection
[IEEE] 2026-9-22 | An Interactive AI-Copilot Platform for Power System Resilience Enhancement
[IEEE] 2026-9-22 | Zombie APIs: Detecting Runtime-Reachable but Deprecated Endpoints
[IEEE] 2026-9-22 | Secure Signal Design for Co-located Legitimate and Eavesdropping Nodes
[IEEE] 2026-9-22 | Robust Misalignment Tolerance Assessment of a Regulated EV WPT System Under Voltage and Current Constraints
[IEEE] 2026-9-22 | A Secure and Parallel IoT Automation Architecture for Centralized Control of Multiple Computers
[IEEE] 2026-9-22 | Multistage Distributed Generation Capacity Planning with an Explicit Reliability Formulation Considering Regional Islanded Restoration
[IEEE] 2026-9-22 | A Dataset Preparation and Augmentation Method for Improving Infrared Small-Object Detection Algorithms Based on Neural Networks
[IEEE] 2026-9-22 | Rectifier model for optimal Matching Network design in Wireless Power Transfer Systems
[IEEE] 2026-9-22 | Applicability Analysis of Model Scaling and CBAM for Insulator Detection in Power Inspection Scenarios
[IEEE] 2026-9-22 | A Spatio-Temporal Contribution Analysis-Based Identification of Key Meteorological Factors in Multi-Variable and Location for PV Power Generation
[IEEE] 2026-9-22 | A 180nm CMOS Rectifier with Adaptive Self- Biasing for High-Efficiency RF Energy Harvesting
[IEEE] 2026-9-22 | Influence of Processing Defects on Low-Resistance Stress Grading Tape Before and After Epoxy Resin Application
[IEEE] 2026-9-22 | Design and Implementation of a Testbed Network for IPswen Development
[IEEE] 2026-9-22 | Capacity Optimization of Shared Energy Storage in Industrial Parks Considering Extreme Weather Conditions: A Bi-Level Approach
[IEEE] 2026-9-22 | Design and Implementation of an Intelligent Compliance Risk Identification System for Emerging Power Industries
[IEEE] 2026-9-22 | Multi-Objective Optimal Dispatch of Microgrids Considering Demand Response: An Economic-Flexibility Tradeoff Approach
[IEEE] 2026-9-22 | Reasoning Introduces New Poisoning Attacks Yet Makes Them More Complicated
[ACM] 2026-9-22 | Gaussian Partially Observable Inventory Control
[ACM] 2026-9-22 | Optimization and Analysis of Resource Allocation in Quantum-Centric Supercomputing Environments
[ACM] 2026-9-23 | Assessing the Quality and Diversity of Student- and AI-Generated Programming Exercises from Limited Examples: Empirical Insights from a Large-Scale Blind Evaluation
[ACM] 2026-9-23 | Integration of 2D LiDAR Perception and a 6-DoF Robotic Arm on a Lunar Rover Prototype
[ACM] 2026-9-23 | An Aerial Manipulator for Perception-Driven Flower Targeting Toward Contactless Pollination in Vertical Farming
[ACM] 2026-9-22 | To Migrate or Not to Migrate: KOxI, an Evidence-Gated Pipeline for Rust-for-Linux Storage Drivers
[IEEE] 2026-9-22 | CIML 2026 Cover Page
[IEEE] 2026-9-22 | ICSSIP 2025 Content Announcement Page
[IEEE] 2026-9-22 | IEEE Antennas and Wireless Propagation Letters
[IEEE] 2026-9-22 | Preface
[IEEE] 2026-9-22 | Analysis of Total Ionizing Dose Effect on a Linear RF Power Amplifier
[IEEE] 2026-9-22 | Decoupling Physical and Statistical Shifts in Cross-domain Fault Diagnosis using a Wavelet Scale-Equivariant Network with Test-Time Adaptation
[IEEE] 2026-9-22 | FlexSnow: A flexible snow optics model framework integrating diverse snow microstructures and light-absorbing constituent mixtures in multiple layers
[IEEE] 2026-9-22 | Vascular Morphology Motivated Progressive Structure-Enhanced Restoration for Sparse-view 3D-DSA
[IEEE] 2026-9-23 | IEEE Transactions on Electron Devices Information for Authors
[IEEE] 2026-9-23 | Attack-Aware Deepfake Detection Under Counter-Forensic Manipulations
[IEEE] 2026-9-22 | Detecting Non-Optimal Decisions of Embodied Agents via Diversity-Guided Metamorphic Testing
[IEEE] 2026-9-22 | Worst-User End-to-End Delay Minimization for OFDMA-Based Mobile Edge Computing Systems
[IEEE] 2026-9-23 | Fast and Safe Path Planning for an Explosive-Charging Manipulator in Tunnel Drill-and-Blast Operations
[IEEE] 2026-9-23 | A 12-bit 1.25-GS/s 164.3-dB FoM
                    <sub>s</sub>
                    Pipelined SAR ADC Featuring a Split SAR Stage With Input-Independent Transfer Switch
[IEEE] 2026-9-23 | Lightweight Physics-Informed KAN: An Efficient Edge Intelligence Framework for Spatio-Temporal Traffic Forecasting
[IEEE] 2026-9-23 | Scalability of Vertical-Channel-Transistor DRAM Through Parameter Tradeoffs and Layout Optimization
[IEEE] 2026-9-23 | Early versus Late RGB–Infrared Fusion for Counter-UAV Detection: A Comparative Study
[IEEE] 2026-9-23 | Fault Detection for Tidal Stream Turbine Blades: A CVAE-SVDD Approach
[IEEE] 2026-9-23 | Error Shifting-Based Fuzzy Event-Triggered Control for Switched Interconnected Nonlinear Full-State Constrained Systems
[IEEE] 2026-9-23 | LPI-Based Joint TR Beam Selection and Multidimensional Resource Optimization Scheme for Multi-Target Tracking in Airborne Radar Networks
