[2026-08-23 21:10:20] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-22
正在获取论文...
[ACM] 2026-8-22 | Constructive characterisations of the
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 32/184 | Two-stage Electrode Shift Adaptive Correction Method for Electromyographic Hand Gesture Recognition
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 33/184 | DAF-Net: Dynamic Alignment and Filtering Network for Polyp Segmentation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 34/184 | From Standardization to Intelligence: The Evolution of Automated Genetic Circuit Design
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 35/184 | TFS-Diff-RED: Improved Tri-modal Medical Image Fusion and Super-Resolution via RDB, LCIF, and Edge-Aware Loss -- TFS-DIFF-RED: TRI-MODAL FUSION &amp; SUPER-RESOLUTION
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 36/184 | Against Political Polarization: A Unified Framework for Tracing Evolving Political Ideologies on Social Media
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 37/184 | How Does Gamification Affect Virtual Reality Nature Experience?
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 38/184 | scGraphPilot: Functionally Guided Graph Transfer for Robust Cross-Patient Cell Type Annotation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 39/184 | Readmission Prediction Based on Temporal Gout Treatment Data
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 40/184 | GBCN: 3D-Guided Brownian Bridge Diffusion for Clothed Human Reconstruction via Normal Integration
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 41/184 | Efficient, Accurate and Interpretable Drug-Drug Interaction Prediction Using Group Graph-Based Models
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 42/184 | SBPR-Net: Synchronous Bidirectional Pyramid Registration Network for Medical Image Registration
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 43/184 | Active Health ECG Monitoring System Using CNN-BiLSTM-SE and IoT
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 44/184 | Multi-Head Self-Attention Mechanism-Based Model for Predicting Lung Injury Risk in Pediatric One-Lung Ventilation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 45/184 | CFR-Net:Connection Filtering Refining Network for Retinal Vessel Segmentation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 46/184 | Evaluating Shrinking (Experience Report)
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 47/184 | ConvVM-Net: A Dual-Branch Network with ConvNeXt and VMamba for Liver Tumor Segmentation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 48/184 | GL-Mamba UNet: Global-to-Local Context-Guided Vision Mamba for Medical Image Segmentation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 49/184 | Machine Learning Ensemble Methods for Obesity Risk Prediction
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 50/184 | Proceedings of the 2026 6th International Conference on Bioinformatics and Intelligent Computing
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 51/184 | Physical Prior-Guided Diffusion Model for Surgical Smoke Removal
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 52/184 | Mechanism of Cucurbitacin B (CuB) Targeting BCL2 for Endometrial Carcinoma: Network Pharmacology and Molecular Dynamics Simulation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 53/184 | Research on Classification and Prediction of Biological Data Using Supervised and Semi-Supervised Machine Learning Algorithms
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 54/184 | Optimization of Testing Time and Identification of Fetal Abnormalities in Non-Invasive Prenatal Testing Based on a Generalized Additive Model
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 55/184 | A Multi-Omics Data Analysis Method for Cancer Susceptibility Genes Based on Graph Neural Networks
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 56/184 | Semantic Prior Embedding for Language-Guided Medical Image Reconstruction Quality Enhancement
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 57/184 | AI-Based Multimodal Data Fusion Analysis of Tumor Markers
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 58/184 | CSM-WNet: A Multi-modal Feature Fusion Network for MRI Brain Tumor Segmentation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 59/184 | Evolutionary Dynamics of the UAU-SIQRS Model with Higher-Order Interactions
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 60/184 | A Study on the Load Characteristics and Stability Coupling Mechanism of Knee and Ankle Joints during the Takeoff and Landing Phases of Volleyball Blocking
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 61/184 | S2GNN: Adaptive Structure-Semantic Gated Fusion via Common Metapaths for Biomedical Link Prediction
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 62/184 | Real-Time Prony Series Haptic Rendering for Viscoelastic Lung Modeling in Virtual Surgery
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 63/184 | SMOAgent: A Hierarchical Scientific Agent for Spatial Multi-Omics Integration with Agentic Optimization
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 64/184 | Construction of a Postoperative Recurrence Prediction Model for Thyroid Cancer Using Interpretable Machine Learning and Counterfactual Inference
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 65/184 | TCBASyn: a framework predicting synergistic drug combinations based on the Transformer and CNN-BiLSTM-Attention hybrid models
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 66/184 | Study on a PCA-Based Identification Method for Bioaerosols Using Fluorescence Spectroscopy
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 67/184 | Refining Gelfond’s Rationality Principle: Towards More Comprehensive Foundational Principles for Answer Set Semantics
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 68/184 | A Cost-Aware Probability Monad for Liquid Haskell
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 69/184 | Research on a mobile real-time detection system for rice pests and diseases based on ShuffleNetV2 optimized YOLOv5
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 70/184 | Cerebral Stroke Medical Image Classification System
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 71/184 | A Grape Leaf Disease Detection Method Based on Improved YOLOv10n
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 72/184 | A New Beginning of Rational Design in the Age of Large Language Models of Synthetic Biology
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 73/184 | Structure-Aware Inexact Entropic Proximal Gradient Method for Binary Linear Systems
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 74/184 | Ask, Then Perceive: Question-Guided Cross-Modal Perception for Audio-Visual Question Answering
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 75/184 | Imaging-guided radiotherapy with precise regulation based on radiobiological molecular characteristics
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 76/184 | Predicting the Adhesion Properties of Short Peptides on Different Surfaces Using Machine Learning and Umbrella Sampling
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 77/184 | Multi-Center Medical Data Collaborative Analysis Framework Based on Vertical Federated Learning and Differential Privacy Protection
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 78/184 | Lessons from a Culturally Sustaining and Revitalizing Computer Science Research–Practice Partnership for Teachers Across Disciplines in Indigenous-Serving Schools
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 79/184 | Enhancing Mirror-Image Peptide Bond Cleavage Prediction via Attention-Based Feature Fusion
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 80/184 | Research on an Artificial Intelligence-Based Auscultation System for Early Screening of Congenital Heart Disease in the Lishui Region
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 81/184 | ShapeLib: Designing a library of programmatic 3D shape abstractions with Large Language Models
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 82/184 | Interval Scheduling Games with Color-Based Concurrent Jobs
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 83/184 | A Survey on Centrality and Importance Measures in Hypergraphs: Categorization and Empirical Insights
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 84/184 | Multi-Bin Batching for Increasing LLM Inference Throughput
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 85/184 | Computational Neural Decoding of Auditory Spatial Decisions Using Choice Probability and Machine Learning
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 86/184 | SnakeMamba: A Lightweight CNN-Mamba Model for Interventional Device Segmentation in X-ray Fluoroscopy
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 87/184 | Machine Learning-Enabled Personalized Stroke Risk Estimation with Visual Interpretation for Middle-Aged and Older Adults in China
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 88/184 | YOLOv9-Based Anomaly Detection for Student Health-Related Behaviors Using Heterogeneous Campus Data
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 89/184 | Proximal Policy Optimization for Latency-Aware Service Function Chain Placement in Edge-Enabled Networks
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 90/184 | Bioinformatics in Viral Genome Research -- A Case Study of the Novel Coronavirus (SARS-CoV-2)
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 91/184 | BCellCLIP: Cross-modal representation learning of B cell receptor repertoires and single-cell transcriptomes
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 92/184 | A Simple SimNIBS-Compatible Mouse Head Model Construction Method and Its Application in TMS Simulation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 93/184 | Multi-scale Dilated Contrastive Feature Fusion Learning Based on Graph and Image Convolutions for Spatial Domain Identification in Spatial Transcriptomics (MFF)
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 94/184 | Deep Learning-Assisted Identification of Post-Translational Modification Regulatory Networks in Myocardial Fibrosis
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 95/184 | Research on stem cell-like embryonic models based on artificial intelligence: technical approach, applications and prospects
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 96/184 | A Survey on Human-AI Collaboration with Large Foundation Models
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 97/184 | HGFuzzer: Directed Greybox Fuzzing via Large Language Model
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 98/184 | Objective Major Depressive Disorder Classification from Multi-site Resting-State fMRI Using a Signed Dual-Branch Graph Convolutional Network
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 99/184 | Subtype-Specific Causal Brain Network Mechanisms in ADHD Using Directed Visibility Graphs
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 100/184 | Evidence-Based Study on Low-Burden Digital Phenotyping for Precision Screening of Oral Anti-Obesity Drug Efficacy
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 101/184 | Intelligent Computing-Based Prediction of Anatomy Course Learning Performance and Personalized Teaching
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 102/184 | Edge-Enhanced Graph Attention Networks for Interpretable Molecular Toxicity Prediction
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 103/184 | A Survey on Clustered Federated Learning: Taxonomy, Analysis and Applications
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 104/184 | Proceedings of the 19th ACM SIGPLAN International Haskell Symposium
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 105/184 | UMM: A Universal Medical Image Segmentation and Classification Model Integrating Spatial-Frequency Consistency Inpainting and Cross-Branch Feature Fusion
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 106/184 | A Visual Analysis of Research Trends and a Comparative Review of Algae Removal Methods
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 107/184 | DEM Simulation of Carrier Particle Delivery and Deposition in the Respiratory Tract
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 108/184 | A Data-Driven Computational Framework for Multi-Target Mechanism Discovery of the Xiakucao-Zhebeimu-Sanqi Herb Pair in Hyperthyroidism
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 109/184 | Automatic Sleep Staging Method Based on Cardiopulmonary Features
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 110/184 | Toward Explaining Large Language Models in Software Engineering Tasks
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 111/184 | Research on Gallstone Prediction and Management System Based on Explainable Machine Learning and Counterfactual Inference
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 112/184 | Cooperation Regulation in Coupled Populations via Dynamic Aspiration and Justice Strategy
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 113/184 | Visualization Analysis of Research Hotspots and Trends of TCM Constitution in Diabetic Patients Based on Clustering Algorithm
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 114/184 | Compliance Challenges in International Medical Data Collaboration Projects: Focusing on US-EU-China Standard Differences
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 115/184 | Pre-Exposure Prophylaxis Access Navigator: Creating a Comprehensive 'Application Cheat Sheet' for the Trillium Drug Program
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 116/184 | MPSAM: A Cardiac Ultrasound Four-Chamber Segmentation Model Based on the Fusion of MedSAM2 and Path Aggregation Network
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 117/184 | Protein Language Models for Synthetic Biology: Transformer Paradigms and DBTL-Oriented Engineering Workflows
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 118/184 | Clinical Prediction of Digestive System Diseases using Large Language Model Instruction Tuning
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 119/184 | Effects of Different Treatments with Ganoderma lucidum and Rhodococcus glutinis on the Fermentation of Stems: A PCA- and Clustering-Based Multivariate Analysis
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 120/184 | Coercive Subtyping for Implicit Functorial Programming
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 121/184 | What Needs Attention? Prioritizing Drivers of Developers’ Trust and Adoption of Generative AI
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 122/184 | The Next 700 Block-Based Editors (Keynote)
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 123/184 | TransE-MDTI: A Few-Shot Transfer Learning Framework for Mutation-Sensitive Drug-Target Interaction Prediction
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 124/184 | Structure-Based Optimization Strategies for Enhancing Targeting Specificity of Small-Molecule Immunomodulators
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 125/184 | A Cache Modeling Framework for Accelerator Systems
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 126/184 | Construction of an Exploratory Diagnostic Model for Long COVID Based on Single-cell Transcriptomics and Machine Learning
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 127/184 | Decoupling Spatial Appearance and Temporal Physiological Dynamics for Remote Photoplethysmography
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 128/184 | ProtMS: Multi-level Structural Representation Learning for Protein Inverse Folding via Selective Space Graph Networks
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 129/184 | Dynamic study of plant community adaptation to drought under nonlinear programming model
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 130/184 | Automatic Epileptic Seizure Detection Using a Non-overlapping Dilated Attention-based 1D Convolutional Neural Network
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 131/184 | Feature Generation and In-Context Learning for Incomplete Multimodal Survival Analysis
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 132/184 | CloudMicroHaskell
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 133/184 | AutoTRIBE: the integrated software for analysis of RNA edits
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 134/184 | A Study on Prognostic Evaluation Methods for Severe Pediatric Pneumonia Based on Retrospective Data Analysis
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 135/184 | Transformer Model-Driven Targeted Sequencing Data Mining for Pathogens in Childhood Community-Acquired Pneumonia (CAP)
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 136/184 | Comorbidity Recognition Research Based on Feature Selection
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 137/184 | DNA Logic Gates Based on the Strategy of Assembling DNAzyme Catalytic Core
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 138/184 | Unveiling the Link: A Comprehensive Bioinformatics Analysis of Shared Pathogenic Genes and Mechanisms Between Periodontitis and Depression
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 139/184 | What Have We Learned about Dependently Typed Programming from Haskell? (Keynote)
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 140/184 | Facing Yourself: A Proxemic Approach to Self-Dyadic Interactions in VR
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 141/184 | LAMDA: Leveraging Large Language Models for Better API Misuse Detection via Multi-Agent Collaboration
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 142/184 | Unveiling the Landscape of Biobank Usage in Academic research: A Comprehensive Text Analysis
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 143/184 | SGL-UNet: Pushing the Boundary of Extreme Lightweight Segmentation for Point-of-Care Biliary Atresia Screening
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 144/184 | Design of an Early Warning Model for Severe Sepsis Based on Temporal Feature Mining
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 145/184 | Optimizing the Timing of NIPT and Fetal Abnormality Assessment Based on Statistical Models
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 146/184 | Cross-Model Collaboration for Enhancing LLM-Based Code Generation
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 147/184 | From Explanations to Architecture: Explainability-Driven CNN Refinement for Brain Tumor Classification in MRI
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 148/184 | Site Selection for High-Grade Glioma Clinical Drug Trials Using Multi-Criteria Decision Analysis
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 149/184 | Quantifying and Filtering MDA-Introduced Chimeric Artifacts to Improve Structural Variation Detection in Single-Cell Genomics
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 150/184 | CEQ-IVA-Based Method for Artifact Suppression in Deep Sleep Stage EEG
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 151/184 | Transcriptomic and Immune Infiltration Analysis Reveals the Role of SPI1/CTSS Co-activation in Defining a Myeloid Inflammatory State and Its Associated IFN-γ-related Immune Modules in Lower-Grade Glioma
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 152/184 | A Genome-Wide Association Analysis of Resistant Starch and Related Traits in 383 Populations of Wheat (Triticum aestivum L.) from China and Pakistan
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 153/184 | Design and Application of an Intelligent Integrated Management Platform for Operating Rooms in Smart Hospitals
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 154/184 | Tri-Modal Transformer Network with Clinical-Guided Multi-Scale Fusion for Alzheimer' s Disease Classification
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 155/184 | Investigating the Specificity of Acupuncture on Jianshi and Zhigou: Evidence from a Resting-State fMRI Study on Functional Connectivity
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 156/184 | Memory-Safe Hierarchical Planning for Hybrid-Parallel Transformer Training
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 157/184 | Evaluation of Feature Selection Methods for High-Dimensional Gene Expression Data with Small Sample Sizes
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 158/184 | A Study on the Impact of Continuous Nursing Intervention Based on Risk Stratification Algorithm on Self-Care Ability of Stoma Patients
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 159/184 | Research of Electromyographic Signal Features during Upper Limb Movement in Post-Stroke Patients
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 160/184 | ZC3HAV1 as a Novel Prognostic Biomarker and Potential Therapeutic Target for Esophageal Cancer
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 161/184 | Single-Cell Transcriptomic Profiling Reveals Systemic Immune Dysregulation in Peripheral Blood Mononuclear Cells of Pancreatic Ductal Adenocarcinoma Patients
判定相关性时出错： Error code: 400 - {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
[NO] 162/184 | MultiGAI: Global Attention-Based Integration of Single-Cell Multi-Omics with Batch-Effects Correction
