[2026-09-22 23:20:24] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-21
正在获取论文...
[arXiv] 2026-09-21 | Jevons' Paradox and Fast Generative Simulation for HEP: Why Realistic Benchmarking is Essential
[arXiv] 2026-09-21 | Decoding enzyme-substrate interaction topology reveals principles underlying catalytic efficiency and mutational outcomes
[arXiv] 2026-09-21 | Exponential polynomials with Baker omitted value
[arXiv] 2026-09-21 | Quantifying Long-Range Dependence in Object-Valued Time Series
[arXiv] 2026-09-21 | Graded-Relevance Composed Multimodal Retrieval for E-commerce Visual Search at Scale
[arXiv] 2026-09-21 | The Fixed-$q$ Edge Limit of the $q$-Krawtchouk Ensemble
[arXiv] 2026-09-21 | MimicAgent: Quadruped Skills via Prompt-to-Trajectory Generation
[arXiv] 2026-09-21 | Pauli-resolved virtual distillation
[arXiv] 2026-09-21 | Self-Healing Harness for Runtime Oversight of Agent Self-Modification
[arXiv] 2026-09-21 | Action-Slot: Structured Action-Centric Representation Learning for Multi-Agent Atomic Activity Understanding
[arXiv] 2026-09-21 | Re:CAP - Auditing Retrieval Coverage in Production RAG Pipelines
[arXiv] 2026-09-21 | Sensing While Communicating: Active Online Spectrum Cartography via Air-Ground Cooperation
[arXiv] 2026-09-21 | Imaginary Non-CM Fields of $2$-Power Degree
[arXiv] 2026-09-21 | Local Derivations on Conformal Galilei Algebras and Their Central Extensions
[arXiv] 2026-09-21 | Hypervectors from Optical Disorder: Programmable Encoding and Optical Inference for Hyperdimensional Computing
[arXiv] 2026-09-21 | Explanation-Guided Federated Deep Reinforcement Learning for Joint Resource Allocation and Scheduling in 6G in-X Subnetworks
[arXiv] 2026-09-21 | FlashBoB: I/O-Efficient Exact Backward-over-Backward for Softmax Attention
[arXiv] 2026-09-21 | Intersections of Directed Graphs
[arXiv] 2026-09-21 | LeaseGuard: Incumbent-Preserving Admission Control for Privileged LLM Agents
[arXiv] 2026-09-21 | The design of an optomechanical microphone using a photonic waveguide interferometer
[arXiv] 2026-09-21 | The Implementation Cost of Fairness in Service Policy Selection
[arXiv] 2026-09-21 | Automatic Labelling for Bimanual Mobile Manipulation
[arXiv] 2026-09-21 | Reinforcement Learning in Operational Research: A Technical Review and Practical Roadmap
[arXiv] 2026-09-21 | World State Generator
[arXiv] 2026-09-21 | From harmonic to sound-like oscillations in a quantum gas confined in a gravity compensated shell trap
[arXiv] 2026-09-21 | High-order immersed boundary method for subsonic aeroacoustics and compressible Navier-Stokes equationsHigh-order immersed boundary method for subsonic aeroacoustics and compressible Navier-Stokes equations
[arXiv] 2026-09-21 | A Federated Artificial Intelligence Framework for Optimizing Pancreatic Cancer Treatment - Strategy Update
[arXiv] 2026-09-21 | Pendellösung length-scale neutron and X-ray interferometry
[arXiv] 2026-09-21 | On infinite families of $[P_n]$-irregular graphs
[arXiv] 2026-09-21 | AC-DC: Adaptive Communication for Scalable Dynamic Average Consensus in Multi-Robot Ergodic Search
[arXiv] 2026-09-21 | Exceptional maps and abelian points in backward orbits
[arXiv] 2026-09-21 | Adaptive sliding mode formation control for space interferometer missions
[arXiv] 2026-09-21 | Bypass transition under wall cooling over a flat plate with an elliptical leading edge
[arXiv] 2026-09-21 | Unified spatiotemporal quantum states and spatiotemporal entanglement from Kirkwood-Dirac phase space
[arXiv] 2026-09-21 | Symmetric Quantum Latin Squares with Maximal Cardinality
[arXiv] 2026-09-21 | Assessing Readability with LLMs: The Role of Reasoning and Few-Shot Prompting
[arXiv] 2026-09-21 | ABJM to BMN in a Double Scale Limit: Indices and Bubbling Geometries
[arXiv] 2026-09-21 | iSDFT: Information-Proximal Self-Distillation for Continual Learning in LLMs
[arXiv] 2026-09-21 | Annie, Are You Okay? How Style- and Context-Based Personalization Shape AI-Assisted Decision-Making
[arXiv] 2026-09-21 | Statistical Depth for Interval Data: A Closeness-Based Approach and Its Applications
[arXiv] 2026-09-21 | Physical conditions in PDRs revealed by IGRINS ro-vibrational H2 observations
[arXiv] 2026-09-21 | Augmented Hypothesis Testing with Persona-Based LLM Simulations
[arXiv] 2026-09-21 | Vertex Cover Interdiction in Bipartite Graphs
[arXiv] 2026-09-21 | Strict ground-level gaps on long-pendant generalized star graphs for nonlinear Dirac equations
[arXiv] 2026-09-21 | Explicit closed-form propagators for time-dependent gain-loss master equations
[arXiv] 2026-09-21 | Direction-Aware Masked Pretraining for 3D Seismic Representation Learning and Transfer to Cross-Area Acoustic Impedance Inversion
[arXiv] 2026-09-21 | UK-PRBENCH: A Paragraph-Level Precedent Retrieval Benchmark for United Kingdom Case Law
[arXiv] 2026-09-21 | Beyond Uniform Subspaces: Spectrum-Aware and Depth-Adaptive Fusion for Multi-Task Model Merging
[arXiv] 2026-09-21 | New theoretical model of the dynamic anomalies in HTc superconductors
[arXiv] 2026-09-21 | Composition-Dependent Self-Diffusion Coefficients in Liquid Mixtures from Hybrid Machine Learning
[arXiv] 2026-09-21 | Applications of Neural Cellular Automata: State of the Art, Challenges and Opportunities
[arXiv] 2026-09-21 | Formal Verification of Proofs from Automated Theorem Provers for Higher-Order Logic
[arXiv] 2026-09-21 | Optimal Allocation of Grid-Forming Frequency Shaping Control
[arXiv] 2026-09-21 | The Gaiotto-Kim Trace Formula and Line Defects
[arXiv] 2026-09-21 | Abstract regular polytopes of $G_2(q)$ in even characteristic
[arXiv] 2026-09-21 | Bounding the Risk Difference Bias Given Incomplete Parameters for Externally Adjusting Uncontrolled Confounding
[arXiv] 2026-09-21 | Who Does What in AI Auditing? Designing Human-AI Collaboration for Auditing Generative AI
[arXiv] 2026-09-21 | GAE: Learning a Geometry-Native Latent Space for 3D-Consistent World Generation
[arXiv] 2026-09-21 | DolphinBench: Mapping the Pareto Frontier of Agent Memory
[arXiv] 2026-09-21 | Elemental Abundances of Cool Stars: A Spectroscopic Framework Applied to Five Planet-Host Stars
[arXiv] 2026-09-21 | Perception-Aware Communication Middleware for Distributed Visual Perception in UAV Swarms
[arXiv] 2026-09-21 | Spectral Compactness and Critical Lorentz Defects for Maxwell--Ohm Evolution with Prescribed Velocity
[arXiv] 2026-09-21 | Global finite-energy weak solutions to the Navier--Stokes--Maxwell in 1D
[arXiv] 2026-09-21 | A quantitative inequality for general area-minimizing hypercones
[arXiv] 2026-09-21 | Towards All-Order Locality in the Higher-Spin Holomorphic Zero-Form Sector
[arXiv] 2026-09-21 | $\Kab$ has the Bogomolov property for canonical heights
[arXiv] 2026-09-21 | Whose Facts Count? A Culturally Responsive Audit of LLM Evaluation Benchmarks
[arXiv] 2026-09-21 | Et Tu, Brute? Economic Misalignment in Personal AI Agents
[arXiv] 2026-09-21 | SocioVerse2: A Longitudinal Dynamic Social Simulation Framework under a Human-AI Co-evolutionary Paradigm
[arXiv] 2026-09-21 | Visuomotor Robotic Pruning in Planar Orchards Using Hybrid Reinforcement Learning
[arXiv] 2026-09-21 | ToneCL: Contrastive Learning for Few-Shot Syllable-Level Tone Classification
[arXiv] 2026-09-21 | Explanation of the Observed Energy Exchange through the vacuum in Optomechanics
[arXiv] 2026-09-21 | Staged emergence of anomalous Hall transport in a correlated uranium Weyl semimetal
[arXiv] 2026-09-21 | Reducing False Positives in Strong-Lens Searches with Generalized-Mean Consensus of Machine-Learning Ensembles in the Kilo-Degree Survey
[arXiv] 2026-09-21 | Orbit Reduction and Learned Run Distributions for Finite-Blocklength Binary Deletion Channels
[arXiv] 2026-09-21 | Constraints for Physical Gauge Groups Coming from the Causal Action Principle
[arXiv] 2026-09-21 | The structure of almost symmetric almost complete intersection numerical semigroups
[arXiv] 2026-09-21 | Equilibrium Numbers in Non-Square Bimatrix Games
[arXiv] 2026-09-21 | SPHQuant: Efficient extreme low bit weight quantization for Vision-Language Models
[arXiv] 2026-09-21 | GradAgent: A Knowledge-Guided Multi-Agent System for Structure-Preserving Gradient-Flow Computation with an Application to Multicomponent Vesicle Dynamics
[arXiv] 2026-09-21 | Upside down: GJ3090 b the first retrograde exoplanet around an M dwarf detected with NIRPS
[arXiv] 2026-09-21 | Quantum inversion of the vacuum hierarchy and multi-kink unbinding in the non-degenerate double sine-Gordon model
[arXiv] 2026-09-21 | Small-world Networks of Agents Brainstorm AI Risks to Support Ideation
[arXiv] 2026-09-21 | Overcoming the Hong-Ou-Mandel interference limitation for the second photon from a two-photon cascade
[arXiv] 2026-09-21 | Quantum-interference-driven orbital density wave and high-temperature superconductivity in trilayer nickelates
[arXiv] 2026-09-21 | Scandium diboride: a semi-metallic, lattice, thermally matched substrate for vertical AlGaN power electronics
[arXiv] 2026-09-21 | MedRSI: Recursive Self-Improvement for Medical Agents via Clinically Aligned Self-Evolution
[arXiv] 2026-09-21 | When twist of a Leavitt path algebra is again a Leavitt path algebra
[arXiv] 2026-09-21 | CRiDiT: Instantiating a run-time testbed for trust calibration in AI-infused systems
[arXiv] 2026-09-21 | Constraining the geometry of rotating black holes with eikonal QNMs
[arXiv] 2026-09-21 | FPT Isomorphism Test for $F$-Free Tournaments
[arXiv] 2026-09-21 | Infinitary provability logic
[arXiv] 2026-09-21 | Positive Scalar Curvature on Foliations: Leafwise Band Width
[arXiv] 2026-09-21 | A high-order ghost-point immersed boundary method coupled with auxiliary differential equations for time-domain impedance walls
[arXiv] 2026-09-21 | Convex AI Compositionality and the Governance of AI System Populations
[arXiv] 2026-09-21 | Batalin-Vilkovisky algebras from Ševera bicomplexes
[arXiv] 2026-09-21 | On the inductive blockwise Alperin weight condition for type $\mathsf B$ and type $\mathsf C$
[arXiv] 2026-09-21 | Broadband Single-Particle Absorption Circular Dichroism Reveals Chiroptical Heterogeneity in Gold Helicoids
[arXiv] 2026-09-21 | Neural Kalman Filtering for Unknown Dynamics: Task-Aware Learning with a Koopman Backbone
[arXiv] 2026-09-21 | NPU Accelerator: Quantized Real-Time Vehicle Detection on PYNQ-Z1 Using FINN
[arXiv] 2026-09-21 | Carrier-mediated spin helices in low-dimensional systems: Josephson-interference features and correlation renormalization
[arXiv] 2026-09-21 | The Price of Covertness: Dual-Control Navigation in Uncertain Flows under Adversarial Sensing
[arXiv] 2026-09-21 | A Majorana Formulation of Time-Dependent Two-Particle Reduced-Density-Matrix Dynamics
[arXiv] 2026-09-21 | Spectral divide-and-conquer MCMC for long stationary time series
[arXiv] 2026-09-21 | Djinnlang: Higher-Level Programming by Unambiguous Specification with an LLM in the Compiler
[arXiv] 2026-09-21 | Learning to Drive on Mars: Visual Multimodal Traversability Estimation for Off-World Navigation
[arXiv] 2026-09-21 | Extremal subtrees of critical beta-splitting trees
[arXiv] 2026-09-21 | A purely metric characterization of supercritical Sobolev spaces
[arXiv] 2026-09-21 | Anomalously enhanced lifetimes of low angular momentum Rydberg states in singly charged alkaline-earth metal ions
[arXiv] 2026-09-21 | CAVITY: Calar Alto Void Integral-field Treasury surveY: II. Second public data release
[arXiv] 2026-09-21 | The Hadamard parametrix on globally hyperbolic spacetimes with Robin boundary conditions: Fundamental solutions and Hadamard states
[arXiv] 2026-09-21 | Decoding Guardrails: XAI-Guided Perturbation Analysis of Prompt Injection Detection
[arXiv] 2026-09-21 | Angular maps for visualizing rotational dynamics
[arXiv] 2026-09-21 | Experimental evidence of generalization in quantum machine learning in small-data regime
[arXiv] 2026-09-21 | Comparative Study of Color Glass Condensate and Collinear Frameworks for Large-Transverse-Momentum Semi-Inclusive Deep Inelastic Scattering
[arXiv] 2026-09-21 | Scalable Dynamic Pricing of Substitutable Products through Structure-Guided Policy Learning
[arXiv] 2026-09-21 | On absolutely Cesàro bounded operators
[arXiv] 2026-09-21 | Biases from Astrophysical Environmental Effects in Standard-Siren Cosmology
[arXiv] 2026-09-21 | Dirichlet--Neumann bracketing for nonlocal operators
[arXiv] 2026-09-21 | LATED: JWST integral field spectroscopy of a galaxy caught in chemical infancy at $z=4.8$ behind Abell 2744
[arXiv] 2026-09-21 | Lowest-known Energy Configuration of $N=100\,000$ Coulomb Charges in a Disk: Breaking the $10^{5}$ Barrier
[arXiv] 2026-09-21 | GraspTune: Tactile-Driven Execution Refinement for Robust Grasping
[arXiv] 2026-09-21 | Measuring correlations using local and nonlocal quenches
[arXiv] 2026-09-21 | Climate Variability Modulates the Impact of Price Spikes on Food Insecurity
[arXiv] 2026-09-21 | Ruling out nucleonic direct Urca cooling in low-mass neutron stars using nuclear data
[arXiv] 2026-09-21 | Unused power surge compromises U.S. road vehicles sustainability
[arXiv] 2026-09-21 | Holonomic techniques for massive 3-loop form factors: the gluonic case
[arXiv] 2026-09-21 | Beyond Visual Quality: A Study of Test-Time Planning with World Action Models
[arXiv] 2026-09-21 | Random-matrix and transport frequencies in eigenstate spectral functions
[arXiv] 2026-09-21 | MIRAGE: Full-Body Bystander Privacy for Smart Glasses with Consent-Based Restoration
[arXiv] 2026-09-21 | Adapting Boltz-2 with limited experimental activity data improves early enrichment in virtual screening
[arXiv] 2026-09-21 | Nonlinear Dynamic Modeling and Receding-Horizon NMPC of an Electric Unicycle on a Tensioned Cable
[arXiv] 2026-09-21 | A transform approach to the supercooled Stefan problem
[arXiv] 2026-09-21 | Vacancy aggregation enhances NV- spin coherence in diamond: a cluster-correlation-expansion study of multi-vacancy spin baths in semiconductors
[arXiv] 2026-09-21 | Subgame-Perfect Nash Equilibria of Plurality Voting with Abstention: a PSPACE-Completeness Result for Restricted Ballots
[arXiv] 2026-09-21 | Gas phase Elemental abundances in Molecular cloudS (GEMS) XII. First look into the para-to-ortho ratio of c-C3D2 towards prestellar cores
[arXiv] 2026-09-21 | Feasibility of the Phobos 1 Hypothesis for Dark Comet 1998 KY$_{26}$
[arXiv] 2026-09-21 | Quantum Computing Solution of the Bethe-Salpeter Equation for Relativistic Scalar Bound States via Tensor-Network VQE
[arXiv] 2026-09-21 | High-Dimensional Online Change Point Detection with Adaptive Thresholding and Interpretability
[arXiv] 2026-09-21 | On the Born rule in a new quantum approach
[arXiv] 2026-09-21 | StreamTN: A Low-Latency Streaming Chinese Text Normalization Model for Streaming TTS in Dialogue Systems
[arXiv] 2026-09-21 | Rigidity of Landau solution in the rotated self-similar class
[arXiv] 2026-09-21 | Geodesic Acoustic Modes in pair plasmas confined in tokamak magnetic fields
[arXiv] 2026-09-21 | Thermal Evolution and Disorder Dependence of the Bose-glass: Spatial, Spectral, and Localization Signatures
[arXiv] 2026-09-21 | Fast Radio Bursts Associated with Persistent Radio Sources Prefer Hydrogen-poor Superluminous Supernova Host Environments
[arXiv] 2026-09-21 | Audio-based UAV Localization with Adaptive Temporal Correspondence via Reinforcement Learning
[arXiv] 2026-09-21 | Asymptotically Autonomous Maps: Heteroclinic connections, Splitting and Phase-induced tipping
[arXiv] 2026-09-21 | Beyond Emotion Prompts: Fine-Grained Text-to-Image Generation Driven by Valence-Arousal-Dominance
[arXiv] 2026-09-21 | Universal Dynamics of a Spin-$3/2$ Fermi Gas in Traps with Distinct Spectra
[arXiv] 2026-09-21 | ChartJudgeBench: Evaluating LMM Judges for Chart-to-Code Generation
[arXiv] 2026-09-21 | SAFe: Segment-guided Aggregation of Feature Densities for Anomaly-aware Segmentation
[arXiv] 2026-09-21 | LoopCD: Loop-wise Contrastive Decoding for Improving Reasoning in Looped Language Models
[arXiv] 2026-09-21 | Ferroelectric switching of odd-parity magnon spin splitting
[arXiv] 2026-09-21 | The Same Ledger, Different Verdicts: How Measurement Specification Determines On-Chain Concentration
[arXiv] 2026-09-21 | Zero-Knowledge Remote Adversarial Attack against Wi-Fi-based Human Activity Recognition for Privacy Protection
[arXiv] 2026-09-21 | MCP-GRANITE Benchmark: GRANularity Interface TEsting for MCP-Based LLM Agents
[arXiv] 2026-09-21 | Mind or Message? Auditing Theory of Mind in Multi-Agent Social Simulation
[arXiv] 2026-09-21 | Sparse and weak-measurement certification of graph-edge entanglement in PXP scar wavepackets
[arXiv] 2026-09-21 | Model-Agnostic Feature Selection via LOCO-Guided Adaptive Minipatch Sampling
[arXiv] 2026-09-21 | Exact Common Information and Exact Channel Synthesis for Correlated Discrete Sources
[arXiv] 2026-09-21 | Patch-to-Global: Random Patch Diffusion for Globally Consistent Megapixel Artifact Inpainting in Whole Slide Images
[arXiv] 2026-09-21 | You Can Tell Who's Asking: What the Web's Questions Are Made Of, and Where They Come From
[arXiv] 2026-09-21 | Ask Before It Tells: Benchmark-to-Robot Body-Cue Transfer for a Question-First Bedside Robot
[arXiv] 2026-09-21 | Bridging Reconstruction and Generation: A Latent Distribution Perspective on Evaluation and Improvement
[arXiv] 2026-09-21 | Vision Transformers versus convolutional neural networks for fine-grained orchid genus identification in a species-rich, data-poor flora: a controlled benchmark on the Orchidaceae of New Guinea
[arXiv] 2026-09-21 | Safety Control of a Hyper-redundant Robot via Adaptive Weighted Control Barrier Functions
[arXiv] 2026-09-21 | Identifying Representational Biases in Datasets Using PCA: A Max-Disparity Partition Framework
[arXiv] 2026-09-21 | Knots and the Sierpinski Tetrahedron
[arXiv] 2026-09-21 | Premature re-entry of the FACSAT-2 nanosatellite: orbital decay and attribution to the maximum of solar cycle 25
[arXiv] 2026-09-21 | Finger-to-Ear ECG: Systematic Evaluation of an Earbud-Based Cardiac Monitoring Approach
[arXiv] 2026-09-21 | Beyond Point Prediction: Artificial Representative Trees with Uncertainty
[arXiv] 2026-09-21 | Convergence of Rotation-based Matrix Optimizers: A Unified Analysis of SOAP, Conda, and SPlus
[arXiv] 2026-09-21 | LLJ Cards: Best practices for the Use of LLMs as Judges
[arXiv] 2026-09-21 | $\aleph_m$-presented Gorenstein flat modules and Gorenstein dimensions of groups
[arXiv] 2026-09-21 | Proactive Incentive Regulation in Multi-Agent Systems with Environmental Feedback
[arXiv] 2026-09-21 | Development of a Photonically Generated Frequency Reference for Space VLBI
[arXiv] 2026-09-21 | Conformalized Safe Feasible Sets in Uncertain Decision Systems
[arXiv] 2026-09-21 | Stochastic optimisation method for estimating large deviations
[arXiv] 2026-09-21 | Spatial Action Review: A Visual Analytics Dashboard for Auditing Language-to-Action Hand-offs in Electron Microscopy
[arXiv] 2026-09-21 | RAILS: Retrieval-Augmented Incremental LLM Clustering at Scale
[arXiv] 2026-09-21 | Do LiDAR Language Models Really Understand Spatio-temporal Relationships?
[arXiv] 2026-09-21 | Non-equilibrium dynamics of drift-diffusion process under threshold resetting
[arXiv] 2026-09-21 | Categorical Message Passing Language (CaMPL): Syntax and Semantics
[arXiv] 2026-09-21 | 1% of Tokens Can Be Enough: On Gradient Estimation in On-Policy Distillation
[arXiv] 2026-09-21 | Anisotropic-Length-Preserving Weighted Anisotropic Curvature Flows
[arXiv] 2026-09-21 | What Makes a Good Semantic ID for Generative Recommendation? A Reproducibility Study
[arXiv] 2026-09-21 | Spin-Orbit Induced Confinement of Correlated Bound States in the Continuum
[arXiv] 2026-09-21 | Complexities of Weak Proximal Oracle Methods for Composite Convex Optimization
[arXiv] 2026-09-21 | Finiteness theorems for pseudo-coherent complexes on algebraic stacks
[arXiv] 2026-09-21 | Auditing Source Exposure in Baidu and Google AI Search
[arXiv] 2026-09-21 | Joule Thomson expansion of symmergent black holes in extended phase space
[arXiv] 2026-09-21 | Critical Data Studies in the Anthropocene
[arXiv] 2026-09-21 | Topographic Training Concentrates Causal Circuits Without Improving Neuron Monosemanticity
[arXiv] 2026-09-21 | URA-NER: A Unified Retrieval-Augmented Framework with Retrieval Alignment and Uncertainty Reduction for Low-Resource NER
[arXiv] 2026-09-21 | VNS Tokamak for Medical Isotope Production
[arXiv] 2026-09-21 | A closed-form solution for streaming and Lagrangian transport in a deforming circular cavity
[arXiv] 2026-09-21 | T-duality of string charge density/bit threads correspondence in type II supergravity
[arXiv] 2026-09-21 | Dissecting Agentic Forensics: The Role of Triage, Prompting, and Evidence Arbitration in Open-World Fake Image Detection
[arXiv] 2026-09-21 | Stellar flare detection and characterization in ZTF High-cadence light curves
[arXiv] 2026-09-21 | Gravity-driven Emergence of Multi-fractal Density Structure in the Orion A Integral Shaped Filament
[arXiv] 2026-09-21 | A Sharp Noise Threshold for Shor's Quantum Factoring and Discrete Log Algorithms
[arXiv] 2026-09-21 | Constraints on admissible behavior of GMRES applied to tridiagonal Toeplitz systems
[arXiv] 2026-09-21 | Enhancing Transformer Representations of Symbolic ODE Expressions
[arXiv] 2026-09-21 | Counterexamples to Grad's conjecture
[arXiv] 2026-09-21 | Ananke: Contractive Torus Attractor Networks
[arXiv] 2026-09-21 | Formalizing a unified dynamical system framework for $f(R)$ and $f(Q)$ gravity
[arXiv] 2026-09-21 | Phase fields in momentum space of photonic crystal slabs
[arXiv] 2026-09-21 | The phenomenology of Axion Relic Pockets
[arXiv] 2026-09-21 | Observation of Replica Symmetry Breaking in Filamentation and Multifilamentation
[arXiv] 2026-09-21 | Offline Reinforcement Learning for Distribution-Grid Protection
[arXiv] 2026-09-21 | Conormal Rank of Subvarieties of Grassmannians
[arXiv] 2026-09-21 | Understanding Hyperspherical Geometry of ECAPA-TDNN Embedding and Its Impact on Zero-Shot Voice Conversion
[arXiv] 2026-09-21 | Discrete Isoperimetric Inequalities via Curvature
[arXiv] 2026-09-21 | Recurrent Convolutional Neural Networks for LiDAR-Based Attitude Initialization of Rotating Spacecraft
[arXiv] 2026-09-21 | TimeLitmus: A Diagnostic Benchmark for Cross-Modal Understanding and Explanation Faithfulness in Event-Conditioned Time-Series Prediction
[arXiv] 2026-09-21 | Bayesian Calibration with Functional Outputs Using Elastic Partial Matching
[arXiv] 2026-09-21 | Exact Second-Order Asymptotics in Covert Communication Over Discrete Memoryless Channels
[arXiv] 2026-09-21 | Non-maximal quasi-isometric $\mathrm{PU}_{2,n+1}$-representations via alternating surfaces in complex pseudo-hyperbolic spaces
[arXiv] 2026-09-21 | Trust in Edge-Enabled IoT Security: Features, Challenges and Research Directions
[arXiv] 2026-09-21 | Ev-YOLO: Uncertainty-Aware Object Detection via a Unified Evidential Formulation
[arXiv] 2026-09-21 | On Normality Preserving Operations
[arXiv] 2026-09-21 | mkFit for track fitting with the CMS Phase-2 detector
[arXiv] 2026-09-21 | Transit timing variation
[arXiv] 2026-09-21 | Replica Symmetry Breaking in the Quasi Mode Locked Regime of Titanium Sapphire Lasers
[arXiv] 2026-09-21 | Besov and Triebel-Lizorkin Spaces on Filtered Lie Groups with Polynomial Growth, II: Interpolation, Localization, Pointwise Multiplication
[arXiv] 2026-09-21 | Phase space anatomy of dynamical quantum phase transitions
[arXiv] 2026-09-21 | Compactness of Toeplitz Operators on the Bergman Space
[arXiv] 2026-09-21 | GraphToolbox: A Configurable Python Framework for Graph Neural Network Forecasting
[arXiv] 2026-09-21 | Multi-Period Repetitive Control Design in a Time Delay Framework with Application to an Active Vibration Isolation System
[arXiv] 2026-09-21 | Vector Measurements Using Integrated Radio Frequency Atomic Magnetometers
[arXiv] 2026-09-21 | Taking a Second Look: Correcting Sea Ice Forecasts with Sparse Observations
[arXiv] 2026-09-21 | Geometric quantizazion and TYCZ coefficients of HyperKähler 4-manifolds
[arXiv] 2026-09-21 | Descent along flat composed with radicalization
[arXiv] 2026-09-21 | Single-Fragment Forensic Coding via Multidimensional Cyclically Permutable Codes
[arXiv] 2026-09-21 | Evaluating Decision Models for Text Annotation in Computational Social Science
[arXiv] 2026-09-21 | Filtering and Smoothing with Score-Driven Models
[arXiv] 2026-09-21 | Poisson Exchange Beyond Submodularity: Effective Approximation Algorithms for Offline and Online Subset Selection over Matroids
[arXiv] 2026-09-21 | Probing axion-like particle couplings to leptons via the $γγjj$ signal at the FCC-ee
[arXiv] 2026-09-21 | Askey--Wilson polynomials with ASEP parameters
[arXiv] 2026-09-21 | Analytical estimates of core optics stray light noise and design requirements for ground based gravitational wave detectors
[arXiv] 2026-09-21 | Learning Beyond What Humans Can Demonstrate
[arXiv] 2026-09-21 | Feedback Coding Enables Inference-Time Covert Agentic Communication
[arXiv] 2026-09-21 | onPanda: Efficient Annotation of On-Policy Alignment Data for LLMs and Agents via Token-Level Correction
[arXiv] 2026-09-21 | A closer look at the LZ 248 keV event through the lens of cosmic-ray boosted dark matter
[arXiv] 2026-09-21 | Accessing zero-point fluctuations in high-energy nuclear collisions
[arXiv] 2026-09-21 | Taming Reidemeister zeta functions on virtually polycyclic groups
[arXiv] 2026-09-21 | Linguistic Features for Interpretable Textual Entailment
[arXiv] 2026-09-21 | Galaxy evolution in the post-merger regime. V - Atomic gas evolution traced by ALFALFA stacks
[arXiv] 2026-09-21 | Bi-exact Wreath-like Product Groups
[arXiv] 2026-09-21 | A decision procedure for intuitionistic modal logic IS4 (and IK4)
[arXiv] 2026-09-21 | BackTrend: Evaluating Scientific Weak-Signal Prediction via Backward Reconstruction
[arXiv] 2026-09-21 | Abelian dynamical Galois groups over global function fields
[arXiv] 2026-09-21 | PixelDiT2: Representation-Grounded Pixel Diffusion Transformers
[arXiv] 2026-09-21 | Magic positivity of Snapper polynomials for matroids
[arXiv] 2026-09-21 | Modified Low-Temperature Scanning Tunneling Microscope for Ultrafast Pump-Probe Spectroscopy
[arXiv] 2026-09-21 | Channel concentration of critical quantum geometry
[arXiv] 2026-09-21 | Rayleigh-Residual Flow I: Normal Matrices
[arXiv] 2026-09-21 | EMooly: Supporting Autistic Children in Collaborative Social-Emotional Learning with Caregiver Participation through Interactive AI-infused and AR Activities
[arXiv] 2026-09-21 | Heat flow and repeated differentiation of polynomials with i.i.d. roots
[arXiv] 2026-09-21 | ATCion: Exploring the Design of Icon-based Visual Aids for Enhancing In-cockpit Air Traffic Control Communication
[arXiv] 2026-09-21 | When Tomorrow Becomes Today: Self-Evolving Policies for Agentic Time-Series Forecasting
[arXiv] 2026-09-21 | The Sun can flip the shielding effect of added spacecraft mass
[arXiv] 2026-09-21 | Optimal support and condensation in random allocations
[arXiv] 2026-09-21 | Navier-Stokes hydrodynamics near the critical point with out-of-equilibrium modes
[arXiv] 2026-09-21 | Electronic Reconstruction Towards Topological Superconductivity in FeTe
[arXiv] 2026-09-21 | CAST: Collision-Aware Assembly with Construction Robots using Simultaneous Trajectory Estimation and Planning
[arXiv] 2026-09-21 | Nonsmoothable Embedded Surfaces in 4-Manifolds That Become Smoothable after a Single Stabilization
[arXiv] 2026-09-21 | GRUET: Quantifying Uncertainty of Agentic Reasoning-and-Acting Processes
[arXiv] 2026-09-21 | Global well-posedness and scattering for the three-dimensional defocusing cubic Schrödinger equation in $H^s$, $s>\frac{1}{2}$
[arXiv] 2026-09-21 | ZVeC: A Zero-Shot Framework for Instance-Level Vehicle Extraction and Generative Point Cloud Completion
[arXiv] 2026-09-21 | MSI-Bench: Evaluating Multi-Speaker Voice Interaction for Collaborative AI Agents
[arXiv] 2026-09-21 | On Free and Nearly Free Conjecture of Rational Unibranched Projective Plane Curves
[arXiv] 2026-09-21 | Finite-Time Doppler Covariance Spectroscopy in the AdS/CFT correspondence
[arXiv] 2026-09-21 | Goodness-of-fit for multi-distribution neutrino cross-section measurements with shared events
[arXiv] 2026-09-21 | The wavelength of light as Thomas Young invented it
[arXiv] 2026-09-21 | Detecting Agitation Before Behavioral Escalation in Autistic Youth Through Multimodal Wearable Sensing
[arXiv] 2026-09-21 | Streaming Video Editing with Easy Adaptation
[arXiv] 2026-09-21 | Toward a foundation model for forest point clouds
[arXiv] 2026-09-21 | Notes on a strongly aperiodic monotile in $E^3$
[arXiv] 2026-09-21 | Impact of nuclear shell model uncertainties on silicon and germanium WIMP-nucleus limits
[arXiv] 2026-09-21 | Superconducting qubit based on altermagnets
[IEEE] 2026-9-21 | 2026 IEEE 1st International Conference on Artificial Intelligence Implementation &amp; Applications (ICAIIA)
[IEEE] 2026-9-21 | Copyright Notice
[ACM] 2026-9-21 | Predicting the Intention to Engage in Digital Citizen Participation Using Structural Equation Modeling
[ACM] 2026-9-21 | Fault Feature Extraction of Agricultural Machinery Bearings: A Method Integrating MCA and Improved ESPRIT
