[2026-07-24 11:04:19] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-23
正在获取论文...
[arXiv] 2026-07-23 | Structure theory of $BV$ functions and finite perimeter sets on Riemannian manifolds
[arXiv] 2026-07-23 | Investigating Codec-Internal Latent Audio Watermarking for Neural Codec Robustness
[arXiv] 2026-07-23 | Single event effects in the HCCStar ASICs for ITk strip upgrade
[arXiv] 2026-07-23 | Phase singularity enabled polarization switchable analog spatial differentiation in an atomic MoS$_2$ planar Fabry-Pérot cavity
[arXiv] 2026-07-23 | A One-Dimensional Integral Equation for a Porous Horizontal Disc under Water Waves
[arXiv] 2026-07-23 | Reassessment of line profile asymmetry in measurements of the 1s-2s energy interval in hydrogen
[arXiv] 2026-07-23 | Sender and Receiver Energy Consumption in a Sensor Network
[arXiv] 2026-07-23 | A Polynomial Architecture-Attribution Co-Design Framework for Exact Aumann-Shapley Attribution in GNNs
[arXiv] 2026-07-23 | Picosecond-resolved entanglement distribution over an urban free-space channel
[arXiv] 2026-07-23 | STLSat---An Improved Tableau for Satisfiability Checking of Signal Temporal Logic Formulas
[arXiv] 2026-07-23 | New generalization of the Barboza-Alcaniz parametrization of Dark energy
[arXiv] 2026-07-23 | MVEI & EmObserver: Empowering MLLM-Oriented Visual Emotional Intelligence via Emotion Statement Judgement
[arXiv] 2026-07-23 | Human-Inspired Framework for Robotic Craniotomy: Integrating Multimodal Fusion and Adaptive Trajectory Adjustment
[arXiv] 2026-07-23 | Shortest Paths with Linear Edge Weights
[arXiv] 2026-07-23 | Gauge-Theoretical Method in Solving Zero-curvature Equations III --Gauge Theoretical Method and the Bäcklund Transformations for Solitons--
[arXiv] 2026-07-23 | Complete Raman Tensor Determination in Birefringent $β$-Ga$_2$O$_3$ by Single-Stage Hyperspectral Analysis of Polarization Angle-Resolved Raman Spectra
[arXiv] 2026-07-23 | Faster IndexTTS-2: Accelerating and Streaming Autoregressive Zero-Shot Text-to-Speech Synthesis on GPUs
[arXiv] 2026-07-23 | Advanced Statistical Analysis of Linear and Nonlinear Regge Trajectories for Light Non-strange Mesons
[arXiv] 2026-07-23 | A RELHIC twin candidate near the galaxy M51
[arXiv] 2026-07-23 | Generic ordinarity for abelian coverings of the projective line
[arXiv] 2026-07-23 | Probing the nonlocality of Landau levels in GaAs quantum wells through modified Purcell factors, Lamb shifts and dipole emitted spectra
[arXiv] 2026-07-23 | Boosting Robustness for All-Weather Self-Supervised Depth Estimation in Autonomous Driving
[arXiv] 2026-07-23 | Diffusion Language Model for Recommendation
[arXiv] 2026-07-23 | Group boarding for airplanes: benchmarking static policies and optimizing dynamic assignment with deep reinforcement learning
[arXiv] 2026-07-23 | Aspects of Closed Matricial Worlds
[arXiv] 2026-07-23 | Adjacency-degree algebras and spectral determination of graphs
[arXiv] 2026-07-23 | An Optimal Analysis of the Product Test
[arXiv] 2026-07-23 | Error Certificates for KV-Cache Eviction via Randomized Design
[arXiv] 2026-07-23 | A universal scaling function for giant graviton OPE coefficients
[arXiv] 2026-07-23 | Morphing Graphs on Hyperbolic Surfaces
[arXiv] 2026-07-23 | White Box Evidence Packages for Policy Audit Reports
[arXiv] 2026-07-23 | The restricted Hitchin map of wobbly vector bundles
[arXiv] 2026-07-23 | Rack-integrated quantum dot-based source of single and entangled photons at telecom C-band
[arXiv] 2026-07-23 | Test-Time Scaling via Error Localization
[arXiv] 2026-07-23 | When Trivia Is Not Trivial: Everyday Knowledge Failures in Multilingual LLMs
[arXiv] 2026-07-23 | Revisiting Degree-Corrected Spectral Clustering: a Condition-Free Spectral Analysis and Extension
[arXiv] 2026-07-23 | Subcritical percolation and network archaeology on random recursive tree substrate networks
[arXiv] 2026-07-23 | Homotopy types of intervals in corank-three higher Bruhat orders
[arXiv] 2026-07-23 | Constellation Selection and Power Allocation for Multi-Cell OFDM-ISAC: Managing Inter-Cell Interference and Sensing Sidelobes
[arXiv] 2026-07-23 | Towards Privacy-Preserving Federated Prompt Tuning under Data Heterogeneity: A Subspace-Decomposed Expert Approach
[arXiv] 2026-07-23 | Logical Regression for Planning with Axioms
[arXiv] 2026-07-23 | A Diffusion-Model Subpopulation Digital Twin for Mobile Health Deployment: A Case Study on the HeartSteps Intervention
[arXiv] 2026-07-23 | VoLN: Vision-Only Long-Horizon Navigation---Paradigm, Benchmark, and Method
[arXiv] 2026-07-23 | Towards more accurate natural orbital functional approximations: including 4-index cumulant contributions
[arXiv] 2026-07-23 | Transverse-momentum resummation effects on angular coefficients in Z and W boson hadroproduction
[arXiv] 2026-07-23 | High-Order Pole-Skipping in Near-Extremal Holography
[arXiv] 2026-07-23 | A solution to 2-copy distillability of Werner states
[arXiv] 2026-07-23 | Hilbert Operator for Progressive Encoding (HOPE): A Mathematical Framework for Deconstructing Learned Representations in Deep Networks
[arXiv] 2026-07-23 | Solar axion searches with RES-NOVA: projected sensitivity and first prototype limit
[arXiv] 2026-07-23 | A Weighted Sum Formula for Double Eisenstein Series
[arXiv] 2026-07-23 | SPORD: A Simulation-Propose-then-OR-Dispose Approach for Supply Chain Planning
[arXiv] 2026-07-23 | Quality-Aware Multimodal Fusion Reveals Implicit Identity in Valence-Arousal Features
[arXiv] 2026-07-23 | SHIFT: Self-reconstruction Harnesses Implicit Fine-grained Thinking for Retrieval
[arXiv] 2026-07-23 | SlerpFlow: Spherical Trajectory Correction for Rectified Flow Inversion
[arXiv] 2026-07-23 | Toward cryptographically verifiable authorization for autonomous AI agents: A security hypothesis, preliminary formal model, and proof-of-concept implementation
[arXiv] 2026-07-23 | Uniformly Consistent Semi-nonparametric Demand Estimation with Micro-Data
[arXiv] 2026-07-23 | Spatiotemporal Vortex Rings Induced by Spatiotemporal Coupling
[arXiv] 2026-07-23 | A single length scale rules ballistic aggregation: travels of a droplet train
[arXiv] 2026-07-23 | AI Assistants Overassist
[arXiv] 2026-07-23 | Beyond Degree Four: Near-Orthogonal Planar Drawings
[arXiv] 2026-07-23 | PROVIDENCE: a ground station for space observation
[arXiv] 2026-07-23 | An LLM-Driven Workflow for Automated Process Control Strategy Generation and Tuning from Dynamic Process Models
[arXiv] 2026-07-23 | Mixed-Binary Quadratic Programming via QUBO Sampling without Continuous-Variable Binarization
[arXiv] 2026-07-23 | An $L^p$-theory for global weak solutions to the Navier-Stokes equations in exterior domains
[arXiv] 2026-07-23 | Multimmit: Extending Blocks for Faster Finality
[arXiv] 2026-07-23 | A characterization of compact open spectral sets in $\mathbb{Q}_p^d$
[arXiv] 2026-07-23 | Weak Private Information Retrieval for Graph-based Storage
[arXiv] 2026-07-23 | EmoAgent-R1: Towards Multimodal Emotion Understanding with Reinforcement Learning-based Dynamic Agent Specialization
[arXiv] 2026-07-23 | GCR Spectra Reconstructed with Neutron Monitor Yield Function and Artificial Neural Networks: Comparison of Two Methods
[arXiv] 2026-07-23 | Reviving the Affleck-Dine Curvaton Scenario with Compensated Isocurvature Perturbations
[arXiv] 2026-07-23 | Workflow-Localized Mechanism Learning: Attribution-Guided Repair and Knowledge Reuse for Structured Agent Skills
[arXiv] 2026-07-23 | A Quantum Interface Between Neutral-Atoms and Trapped-Ions Quantum Registers
[arXiv] 2026-07-23 | Beyond Point Targets: Experimental Analysis of Frequency Anisotropy for Multi-band ISAC in FR3
[arXiv] 2026-07-23 | GuardianAgentBench: Where Agents Fail and How to Guard Them
[arXiv] 2026-07-23 | Polarization vector conjugation in a photonic integrated circuit
[arXiv] 2026-07-23 | On the numerical reliability of nonadiabatic pulsation solutions in AGB envelopes
[arXiv] 2026-07-23 | Fractal Scaling of Moffatt Vortices in Triangular Cavity Flow
[arXiv] 2026-07-23 | Fibonacci, Dirichlet, and Gauss in a single sum
[arXiv] 2026-07-23 | The Weight of Silence: A Causal Case for Weights Over the Scratchpad in Latent Chess Reasoning
[arXiv] 2026-07-23 | Designed Vocalizations Dataset: Sound-Designed Human and Animal Voices for Non-human Voice Conversion
[arXiv] 2026-07-23 | Best-of-Evidence: Best-of-N Selection under Partial Verification
[arXiv] 2026-07-23 | Evolutionary Le Chatelier's Principle: Phenotypic Plasticity and Genetic Assimilation via Timescale Separation in the Price Equation
[arXiv] 2026-07-23 | Three-Pronged Spectral Control for Federated Parameter Efficient Fine Tuning
[arXiv] 2026-07-23 | Tencent WorkBuddy Bench: A Multi-Domain Coding-Agent Benchmark with Contamination-Resistant Task Construction
[arXiv] 2026-07-23 | Uni-XAS: Alignment-Driven Bidirectional Multimodal Learning for X-ray Absorption Spectroscopy
[arXiv] 2026-07-23 | HierarchicalDAEW: Domain-Aware Edge-Weighted Graph Convolution with Evidential Uncertainty for Multi-Section Spatial Gene Expression Prediction from H&E Histology
[arXiv] 2026-07-23 | TwistedMerge: Certified Higher-Order Diagnostics and Abstention for Model Merging
[arXiv] 2026-07-23 | Maximal topological complexity of monotone symplectic 4-manifolds
[arXiv] 2026-07-23 | Implicit Primal-Dual Guarantees in Unconstrained First-Order Minimization
[arXiv] 2026-07-23 | Machine Learning for Charge State Characterization of Isolated Double Quantum Dots
[arXiv] 2026-07-23 | A new method for evaluation of polynomial coefficients
[arXiv] 2026-07-23 | Exceptional Points in a Parallel Double-Quantum-Dot Josephson Junction Coupled to a Ferromagnetic Reservoir
[arXiv] 2026-07-23 | A Geometric Finiteness Theory for Essential Surfaces in Knot Exteriors
[arXiv] 2026-07-23 | Dark Monopoles, Bounds on Hidden Sectors, and Cosmological Implications
[arXiv] 2026-07-23 | Robust Adaptive Backup Control Barrier Functions
[arXiv] 2026-07-23 | SQUID Readout of a High-$Q$ Superconducting $LC$ Resonator
[arXiv] 2026-07-23 | High-Dimensional Change Point Analysis for Temporally Dependent Data
[arXiv] 2026-07-23 | The supernumerary $K(1690)$ signal from COMPASS as a strange hybrid state
[arXiv] 2026-07-23 | Robust Asynchronous Q-Learning under Reward and State Corruption via Batching
[arXiv] 2026-07-23 | Self-Balancing Sequential Sampling: Fast Convergence with Controlled Predictability
[arXiv] 2026-07-23 | Spectrogram-Based Joint Detection, Localization, and Classification of Events in Continuously Recorded IBR Waveforms
[arXiv] 2026-07-23 | Cofinite Zeros of High Derivatives
[arXiv] 2026-07-23 | Conditional scattering criteria for cylindrical threshold dynamics of the three-dimensional focusing energy-critical Schrödinger equation
[arXiv] 2026-07-23 | The Geometry of Personality: Activation Steering with Jungian Cognitive Functions
[arXiv] 2026-07-23 | Talking Ink: A Flow-Based Multi-Molecule Molecular Communication Testbed for Effective Channel Modeling and Detector Benchmarking
[arXiv] 2026-07-23 | AXIS: A Growable Community-Driven Data Engine for Scalable Robot Manipulation
[arXiv] 2026-07-23 | Gauge coupling beta functions and gauge field anomalous dimensions at four loops in the Standard Model
[arXiv] 2026-07-23 | Complexity transition in the Dicke model of light-matter interaction
[arXiv] 2026-07-23 | Scale Up Strategically: Learning Compositional Generalization via Bias-Aware Evaluation and Data Collection for Robotic Manipulation
[arXiv] 2026-07-23 | Barzilai-Borwein Fails Superlinear Convergence on an Open Set of Quadratics for Every Dimension $n\geq 4$
[arXiv] 2026-07-23 | On the integral algebraic K-theory of Morava K-theory
[arXiv] 2026-07-23 | Unsupervised Consensus-Based Anomaly Detection for Spatiotemporal Malaria Incidence in Ghana
[arXiv] 2026-07-23 | Bayesian evidence adaptive pursuit to identify neutron sources with scatter-based spectrometers
[arXiv] 2026-07-23 | The Faber-Krahn position of convex bodies and Gaussian measure inequalities
[arXiv] 2026-07-23 | Heavy neutral leptons from light scalar in fixed target and forward search experiments
[arXiv] 2026-07-23 | Directional telecom photons from a chirally coupled quantum dot
[arXiv] 2026-07-23 | Hardness and Complexity Transition of Noisy Random Circuit Sampling
[arXiv] 2026-07-23 | The Frankl--Tokushige product conjectures for $r$-cross-intersecting families
[arXiv] 2026-07-23 | Charged Higgs Search at Future Neutrino Telescope and Higgs Factory
[arXiv] 2026-07-23 | Entanglement asymmetry and quantum Mpemba effect for Kramers-Wannier duality
[arXiv] 2026-07-23 | The doctrinal Gödel's completeness theorem and the type space functor
[arXiv] 2026-07-23 | The Stability Landscape in Wave-Packet Scattering: Geometric Rigidity and Sharp Sobolev Thresholds
[arXiv] 2026-07-23 | Conformal Kähler rigidity of Einstein four-manifolds
[arXiv] 2026-07-23 | Agentic coding without the cloud: evaluating open-weight large language models on longitudinal data preparation tasks
[arXiv] 2026-07-23 | ALMA CO-CAVITY II. Resolved Scaling Relations in Void Galaxies
[arXiv] 2026-07-23 | Parallel Tempered Metadynamics for full QCD
[arXiv] 2026-07-23 | Commutator relators of one-relator groups do not force Hopficity, residual finiteness, or automaticity
[arXiv] 2026-07-23 | A Mixed Discrete Cosserat Rod Formulation
[arXiv] 2026-07-23 | A scalable and resource-efficient pipelined p-computer for probabilistic Ising machines
[arXiv] 2026-07-23 | yancc: A GPU-accelerated, differentiable solver for neoclassical transport in tokamaks and stellarators
[arXiv] 2026-07-23 | The critical KPZ scale for the Averaging Process
[arXiv] 2026-07-23 | Efficient classical simulation of large-scale unitary cluster Jastrow circuits
[arXiv] 2026-07-23 | pAI-Econ-claude: A Gated Human-in-the-Loop Multi-Agent Architecture for AI-Assisted Economic Theory Development
[arXiv] 2026-07-23 | Laser Remelting for Reduced Porosity on Additively Manufactured Aluminium Mirrors
[arXiv] 2026-07-23 | The $p$-rationality of $\mathbb{Q}\left(\sqrt{-(kp+m)}\right)$ and $\mathbb{Q}\left(\sqrt{p(p+1)}\right)$
[arXiv] 2026-07-23 | A Hyper-Reduced Neural Network-Augmented Semi-smooth Newton Method for Nonlinear Parametric Variational Inequalities
[arXiv] 2026-07-23 | Why Some Quantum States Cannot Be Recovered
[arXiv] 2026-07-23 | Direct Measurement of Exciton Dispersion in the Long-Wavelength Limit
[arXiv] 2026-07-23 | Driven criticality links universal computation and optimal representations
[arXiv] 2026-07-23 | A Kuramoto phase model to explore the synchronisation of a network of circadian clocks
[arXiv] 2026-07-23 | Determination of fundamental properties of nitrogen from first principles. II. Interaction potential and spectroscopic properties of N$_2$
[arXiv] 2026-07-23 | Global existence and boundedness for a degenerate chemotaxis system with indirect signal production via minimizing movement schemes
[arXiv] 2026-07-23 | Long-wavelength density response and momentum resolution in strange-metal charge spectroscopy
[arXiv] 2026-07-23 | Delayed Constraints in Narrowing for the Logic-Based Analyses of Real-Time Systems
[arXiv] 2026-07-23 | Transformer-based Diffusion models for Hydrological Time Series Probabilistic Imputation and Forecasting
[arXiv] 2026-07-23 | Case study: solving P-99 with LPTP and an LLM
[arXiv] 2026-07-23 | Puzzling superconductivity in strontium ruthenate: then and now
[arXiv] 2026-07-23 | Case study: proving sqrt(2) irrational with LPTP and an LLM
[arXiv] 2026-07-23 | Magneto-Caloric effect and Multiple magnetic phases in Al doped Ni2MnSn0.75Al0.25 Heusler Alloys
[arXiv] 2026-07-23 | Determination of fundamental properties of nitrogen from first principles. I. Atomic polarizabilities and long-range dispersion coefficients
[arXiv] 2026-07-23 | Differentiability of the operator norm on $\ell_p$ spaces
[arXiv] 2026-07-23 | Skeleton Chordalities
[arXiv] 2026-07-23 | Intrinsic coupling between transverse spherocity and elliptic flow in heavy-ion collisions
[arXiv] 2026-07-23 | Symplectic torus actions with non-contractible orbits
[arXiv] 2026-07-23 | H-covering Maps in Descriptive Function Theory
[arXiv] 2026-07-23 | Exceptional-Point Geometry of Weak Topological Boundary States
[arXiv] 2026-07-23 | Impact of Baryon anti-Baryon annihilation on hyperon ($Λ$, $\barΛ$) production and apparent strangeness enhancement in $\barΛ/\bar{p}$ in heavy ion collisions at SPS energy
[arXiv] 2026-07-23 | Deep Reinforcement Learning for Adaptive Gain Tuning in Control of Teleoperation Manipulators with Joint Flexibility and Time-Varying Delays
[arXiv] 2026-07-23 | Safety-oriented sidewalk and road segmentation for smartphone-based assistive navigation
[arXiv] 2026-07-23 | Quantifying Event-Related (De)Synchronization Variability for Brain-Computer Interface: A Unified and Interpretable Framework
[arXiv] 2026-07-23 | Enhancing Gender Equality Assessment through Object-Oriented Bayesian networks: the European Gender Equality Index Case
[arXiv] 2026-07-23 | HalluScope: Fine-grained Hallucination Diagnosis for Multimodal Large Language Models
[arXiv] 2026-07-23 | High-Order Exponential Integrators with Improved Uniform Accuracy for Charged-Particle in a Perpendicular Strong Magnetic Field
[arXiv] 2026-07-23 | Loss Landscape Topology Reveals Why Simple Baselines are Competitive at 3D Point Cloud Segmentation Under Class Imbalance
[arXiv] 2026-07-23 | Nipping the Butterfly Effect in the Bud: Self-Output Fine-Tuning for Autoregressive Weather Prediction
[arXiv] 2026-07-23 | The RealDefocus Benchmark for Defocus Deblurring
[arXiv] 2026-07-23 | Vacuum-induced interference in light scattering by multilevel atomic chains
[arXiv] 2026-07-23 | Show, Don't Tell: Evaluating Spatial Cognition in Generative Pixels Rather Than LLM Text
[arXiv] 2026-07-23 | Sample-Efficient Learning from Agent Experience
[arXiv] 2026-07-23 | HyperImageNet: A Large-Scale High-Spatial Resolution Hyperspectral Imagery Classification Benchmark
[arXiv] 2026-07-23 | Accelerating fossil gas independence in Europe
[arXiv] 2026-07-23 | Trust by Context, Not by Design? A Quantitative Study of Data Donation Willingness for Open-Source Civic AI in Switzerland
[arXiv] 2026-07-23 | A Real-Time Generalized Nash Equilibrium Framework for Interaction-Aware Autonomous Driving in Mixed Traffic
[arXiv] 2026-07-23 | Supervisory Control with Event Forcing Under Partial Observation
[arXiv] 2026-07-23 | Measuring Outflow Distances in NGC 5548 Using Absorption-Line Variability Diagnostics
[arXiv] 2026-07-23 | An Isodiametric Theorem and Lattice Diameter-Perfect Codes in $A_3$
[arXiv] 2026-07-23 | Symmetries of (3, 6)-Fullerenes
[arXiv] 2026-07-23 | Future Rendering $\neq$ Future Surface: A Benchmark and Dataset for Dynamic Surface Reconstruction Beyond the Observed Window
[arXiv] 2026-07-23 | Interlayer interactions reshape charge-density wave through electronic elasticity in 4H$_{\mathrm{b}}$-TaS$_2$
[arXiv] 2026-07-23 | Axel Dieter Becke: Not just the "B" in "B3LYP"
[arXiv] 2026-07-23 | The Evolution of Digital Search: From Blue Links to Delegated Decision-Making
[arXiv] 2026-07-23 | Detecting LLM-Generated Tokens in Human--LLM Coauthored Text
[arXiv] 2026-07-23 | Critical GJMS Equations on $\mathbb{H}^n \times \mathbb{S}^m$
[arXiv] 2026-07-23 | Model Theory for Operators Related to Square Roots of Normal Operators
[arXiv] 2026-07-23 | QuantumChain: Blockchain-Backed Quantum Federated Learning for Financial Fraud Detection
[arXiv] 2026-07-23 | RUMBA: Russian User Memory Benchmark
[arXiv] 2026-07-23 | Local intercellular coupling is sufficient for long-range calcium signaling
[arXiv] 2026-07-23 | DAPM: UAV Monocular Depth Estimation from Any Height, Pitch, Roll and FOV
[arXiv] 2026-07-23 | Adaptive Identity Anchoring: Closed-Loop Keyframe Placement for Synthetic Paired Supervision in Video Face Swapping
[arXiv] 2026-07-23 | Modeling Dependence Structures in Astronomical Multi-Band Time Series Data via Multi-Output Gaussian Processes
[arXiv] 2026-07-23 | Shiba duality and $η$-altermagnetism: Pairing and charge orders in bipartite attractive Hubbard models
[arXiv] 2026-07-23 | New conjectures on multiplicities of tensor eigenvalues
[arXiv] 2026-07-23 | A six-neuron counterexample to the target-free clique conjecture
[arXiv] 2026-07-23 | From Read Speech to Spoken Digits: A Task-Specific Evaluation of Speech Privacy With Informed Attackers
[arXiv] 2026-07-23 | DISCO: Distributed Spectrum Compliance and Orchestration for Scalable IoT Coexistence
[arXiv] 2026-07-23 | Jordan algebras, hemiplex numbers, and the Cholesky decomposition of arbitrary symmetric matrices
[arXiv] 2026-07-23 | Rapid Orbital Decay of Supersoft X-Ray Source WX Cen: a Surrounding Circumbinary Disk
[arXiv] 2026-07-23 | FedAgentKE: Federated Semantic Knowledge Evolution for Heterogeneous Agents
[arXiv] 2026-07-23 | Emergent Misalignment Recruits a Pre-existing Persona Subspace
[arXiv] 2026-07-23 | How Many Bits Can an Adapter Write? Measuring the Capacity and Memorization of Parameter-Efficient Fine-Tuning
[arXiv] 2026-07-23 | Web-Halo Model Peak-Background Split (WHM-PBS): halo bias as a distribution, not a number
[arXiv] 2026-07-23 | Quasiparticle-induced transitions in a fluxonium qubit
[arXiv] 2026-07-23 | Magnetic relaxation for the MHD equations via the stable manifold method
[arXiv] 2026-07-23 | PC-Edit: Prompt-Contrastive Region Discovery and Region-Guided Editing
[arXiv] 2026-07-23 | Diagonally gauged anomaly-free 6D supergravities and their vacua
[arXiv] 2026-07-23 | Scaling Up Formal Representation of Clinical Trial Protocols in Ensemble Logic Using LLMs: A Preliminary Study
[arXiv] 2026-07-23 | Planar contact 3-manifolds with infinitely many Stein fillings
[arXiv] 2026-07-23 | Classifying Topology via Edge-State Pure Thermalization
[arXiv] 2026-07-23 | Fokker-Planck-Kolmogorov inclusions of the mean field type
[arXiv] 2026-07-23 | GS-Agent: Creating 4D Physical Worlds With Generative Simulation
[arXiv] 2026-07-23 | A new recursive construction for large sets of Kirkman triple systems
[arXiv] 2026-07-23 | Improved lower bounds for the Shannon capacity of odd cycles
[arXiv] 2026-07-23 | Experimental realization of a rotating radio-frequency ion trap for precision metrology
[arXiv] 2026-07-23 | Interval Garside groups arising from involutions in finite reflection groups
[arXiv] 2026-07-23 | Chromatic symmetric functions of claw-free graphs are not Schur positive
[arXiv] 2026-07-23 | Supercurrent effect in a charge density wave intertwined superconductor
[arXiv] 2026-07-23 | Flow of local sensitivity in a spin chain coupled to a bosonic bath
[arXiv] 2026-07-23 | Isoparametric foliations of $S^n\times S^n$ of codimension $1$
[arXiv] 2026-07-23 | Toward Generalizable Cognitive Impairment Detection with Speech-Based Multimodal Large Language Models
[arXiv] 2026-07-23 | Top-down = Bottom-up: Sound and Complete Characterisations of Liveness by Multiparty Global Protocols
[arXiv] 2026-07-23 | Streaming Multi-Agent Autoregressive Diffusion Model with World State Registers
[arXiv] 2026-07-23 | Inference-Time Scaling of Diffusion Models via Progressive Seed Pruning
[arXiv] 2026-07-23 | Eigenfunctions, free boundaries, and time-frequency localization
[arXiv] 2026-07-23 | MedGame: Storytelling Gamification Empowered by Large Language Models for Medical Education
[arXiv] 2026-07-23 | A geometric framework for spin relaxation
[arXiv] 2026-07-23 | An integrated all-van der Waals nanobeam laser
[arXiv] 2026-07-23 | Graph Learning on Ensembles of Cyclic Peptides: An Investigation of Molecular Ensemble Modeling
[arXiv] 2026-07-23 | Visual Contrastive Self-Distillation
[arXiv] 2026-07-23 | Optimal use of a black-box learner in semiparametric estimation
[arXiv] 2026-07-23 | DONDO: Open w2v-BERT Speech-Recognition Base Models for African Languages
[arXiv] 2026-07-23 | Beyond Calabrese-Cardy Scaling: Exceptional-Point Sensitivity from the de Sitter RT Surface
[arXiv] 2026-07-23 | FORGE-plus: Force-Budgeted Recovery for Contact-Rich Assembly with a Frozen LLM Supervisor
[arXiv] 2026-07-23 | Semi-Explicit Solutions to the Prying-Pedestrian Surveillance-Evasion Differential Game and Extensions to Two Pursuers
[arXiv] 2026-07-23 | DINOde: Continuous Vision-Text Alignment for Open-Vocabulary Semantic Segmentation
[arXiv] 2026-07-23 | Quantum Mpemba effect in holography
[arXiv] 2026-07-23 | Texture++: Elevating 3D Asset Texture Resolution with a Region-Aware Diffusion Model
[arXiv] 2026-07-23 | Surjectivity of Engel Maps over trace zero matrices in $\mathrm{M}_2(\mathcal{O})$
[arXiv] 2026-07-23 | Deep Reinforcement-Learning-Guided Model Predictive Control for Preventing Overtakes in Autonomous Racing
[arXiv] 2026-07-23 | Adaptive Non-Linear Partition of Unity Methods for Scattered Data Interpolation with Discontinuities
[arXiv] 2026-07-23 | The Stellar Mass Function of Gas-Rich Galaxies and the Underlying $M_{\rm HI}-M_{\rm star}$ Scaling Relation in the Local Universe
[arXiv] 2026-07-23 | A new probabilistic approach for mean field games of optimal stopping
[arXiv] 2026-07-23 | Measurement of the reduced dipole matrix element in Ba$^+$
[arXiv] 2026-07-23 | Bridging the Structural Gap: Adapting Autoregressive Generation for Recommendation
[arXiv] 2026-07-23 | ProCap: Prominence-guided Object Rectification for Faithful and Comprehensive Video Captioning
[arXiv] 2026-07-23 | One residual set of Cantor graphs with dense conjugacy classes
[arXiv] 2026-07-23 | TableVerse: A Large-scale Tabletop Dataset with Real-world Grounded Layouts for Generalizable Manipulation
[arXiv] 2026-07-23 | CultureTalk-ID: A Multi-Task Dialogue Benchmark for Cultural Commonsense in Indonesian Local Languages
[arXiv] 2026-07-23 | Choosing optimal Strang splitting estimators of nonlinear stochastic differential equation models
[arXiv] 2026-07-23 | On-chip Radio Frequency Maser
[arXiv] 2026-07-23 | HARPS Abundances with Korg I: 22 Element Abundances for 426 Red Giant Stars
[arXiv] 2026-07-23 | HyWorldVLA: A Vision-Language-Action Model with Hybrid World Modeling for Autonomous Driving
[arXiv] 2026-07-23 | CmcMesh: a python implementation of the DPW method
[arXiv] 2026-07-23 | Accurate Extragalactic Magnetic Fields from Faraday Rotation with Optimal Dispersion Measure Estimators
[arXiv] 2026-07-23 | Distribution-Alignment Bridge for Uncertainty-Aware Text-to-Video Retrieval
[arXiv] 2026-07-23 | Lax pairs and $r$-matrices for some two-dimensional isotropic oscillators
[arXiv] 2026-07-23 | Delivery, Not Storage: Cue-Anchored Working Memory as a Harness Property for Coding Agents
[arXiv] 2026-07-23 | From Scalars to Time Series: Rethinking Implicit Neural Representations for Time-Varying Volumetric Data
[arXiv] 2026-07-23 | The primitive ideal space of the partial-isometric crossed product corresponding to an action induced by the multiplication on $p$-adic integers
[arXiv] 2026-07-23 | Monolithic Magneto-Optical Mach-Zehnder Isolator Using Laser-Annealed Iron Garnet on a Silicon Waveguide
[arXiv] 2026-07-23 | Large deviations in quantum dynamics and complexity
[arXiv] 2026-07-23 | Sharp moduli of continuity for Gaussian fields and stochastic PDEs via correlation bounds
[arXiv] 2026-07-23 | FSB-Net: Frequency-Spatial Boundary Network for Brain Stroke Lesion Segmentation in Non-Contrast CT
[arXiv] 2026-07-23 | New excluded minors for the class $\mathcal{M}_3$ of regular matroids
[arXiv] 2026-07-23 | A note on symmetric midpoint algebras, or scales
[arXiv] 2026-07-23 | Decoding Parkinsonian Tremor: An Explainable Framework Integrating Multi-Revolution Spatial and Spectral Dynamics of Spiral Drawings
[arXiv] 2026-07-23 | Exploring Physics beyond the Standard Model from kHz-Gravitational-Wave Signals of Core-Collapse Supernovae
[arXiv] 2026-07-23 | Degree Majorization and Laplacian Eigenvalue Sums for Simplicial Complexes
[arXiv] 2026-07-23 | Multicritical dissipative phase transitions manipulated by dipole--dipole interactions
[arXiv] 2026-07-23 | Visualizing Microwave-Driven Dynamics of Antiskyrmions and Surface Skyrmions
[arXiv] 2026-07-23 | Sidewalk Moments: Are Richer Representations Always More Human-Aligned? Evidence from City-Walk Videos
[arXiv] 2026-07-23 | Anti-Goal Reasoning: Rethinking the Theory of Goal Reasoning in Non-Axiomatic Logic
[arXiv] 2026-07-23 | Asymptotic Resurgence of Facet and Stanley-Reisner ideals of Matroids
[arXiv] 2026-07-23 | Is Deep Research Reliable? Misleading Knowledge Induces False Conclusions
[arXiv] 2026-07-23 | Information-Theoretically Secure Aggregation for Lightweight Federated Learning: Resilient to Dropouts and Adversaries
[arXiv] 2026-07-23 | Engine-Native Editable 3D World Reconstruction with Objects and Lighting
[arXiv] 2026-07-23 | MatDiffract: A Material-Informed Automated Analysis Platform for X-ray Powder Diffraction
[arXiv] 2026-07-23 | An Image--Kernel--Reconstruction Program for Essential-Surface Complexes of Knot Exteriors
[arXiv] 2026-07-23 | Probabilistic Residual Learning for Online Recommendations
[arXiv] 2026-07-23 | Harnack inequality for double-phase functionals with Muckenhoupt-type growth functions
[arXiv] 2026-07-23 | Structure-Preserving Spectral Dynamic Programming on Compact Lie Groups
[arXiv] 2026-07-23 | Code Monitor Red Teaming for Public-Test-Passing Code
