[2026-08-12 10:06:30] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608110000+TO+202608112359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-8-11 | VL-DNA: Enhance DNA Storage Capacity with Variable Payload/Strand Lengths
[ACM] 2026-8-11 | KVServe: Service-Aware KV Cache Compression for Communication-Efficient Disaggregated LLM Serving
[ACM] 2026-8-11 | Connex: Endpoint Mobility Primitives for Dynamic LLM Serving
[ACM] 2026-8-11 | The More We Measure, The Less We See: On the Replicability and Repeatability of Mobile Starlink Measurements
[IEEE] 2026-8-11 | Retraction Notice: Malware Identification using a set of Transparent Honeypot in Cyberspace
[IEEE] 2026-8-11 | Executable 3D Path Planning with Constrained Lazy Theta Star
[IEEE] 2026-8-11 | PhoBERT: Long-Document Sentiment Analysis in Vietnamese with Sparse Attention
[IEEE] 2026-8-11 | Flood Risk Forecasting Using Interpretable Machine Learning and Sentinel-1 SAR
[IEEE] 2026-8-11 | Smooth Robust Sliding-Mode Control Method for Ultra-Low-Frequency Oscillation Suppression in Hydropower Clusters
[IEEE] 2026-8-11 | Automatic Detection of Progression to Mild Cognitive Impairment Using MRI Data
[IEEE] 2026-8-11 | Analysis and Control of High Voltage in Provincial Power Grids with High Proportion Renewable Energy
[IEEE] 2026-8-11 | TinyStegoNet: Lightweight Deep Learning for Image Steganography on Edge Devices
[IEEE] 2026-8-11 | Bayesian Optimization-Based Adaptive Zero- Sequence Current Protection for Distribution Networks with High Renewable Energy Penetration
[IEEE] 2026-8-11 | Sparse Reconstruction for Radar Based Vital Sign Monitoring Using Orthogonal Matching Pursuit
[IEEE] 2026-8-11 | Air Quality Index and Health Impact Score Prediction for Public Health Monitoring
[IEEE] 2026-8-11 | Improving Audio Anti-Spoofing with FLA and Local-global Feature Fusion
[IEEE] 2026-8-11 | Compression and Client Importance with Stragglers in Vertical Federated Learning
[IEEE] 2026-8-11 | Student Success in the National Assessment System: Evidence from Positive Deviance and Supervised Learning for Achieving SDG 4 in Indonesia
[IEEE] 2026-8-11 | Adaptive IIR Filter Identification Using Artificial Protozoa Optimizer
[IEEE] 2026-8-11 | Yapay Arı Kolonisi Tabanlı Portföy Optimizasyonu ve Derin Pekiştirmeli Öğrenme ile Hibrit Risk Yönetimi
[IEEE] 2026-8-11 | Integrating Generative AI into Narrative-Based Character Education: The AAPA Framework
[IEEE] 2026-8-11 | An Xception-Based Deep Learning Framework for Microscopic Fungi Image Classification
[IEEE] 2026-8-11 | Generative AI-Driven Disaster Management and Alert System Leveraging Multi-Source Data Fusion
[IEEE] 2026-8-11 | A Pipeline for Source-Grounded Learning Object and Item Generation from PDF Materials Using Large Language Models
[IEEE] 2026-8-11 | An Integrated OPA-NFAD Approach for Evaluating Energy Storage Technologies in Renewable Energy Systems
[IEEE] 2026-8-11 | Research on a Precise Landing Algorithm for Delivery Drones Using Multi-Layer Aruco Markers
[IEEE] 2026-8-11 | A Dual-Timescale Coordinated Updating Method for Calculating the Dynamic Carbon Emission Factor of Wind Farms over the Full Life Cycle
[IEEE] 2026-8-11 | Time-Sequential Reliability Assessment of Distribution Systems with Multiple Distributed Energy Resources Considering Weather-Driven Time-Varying Failure Rates
[IEEE] 2026-8-11 | Finite-time Saturated Gain Prescribed Performance Control of QUAV
[IEEE] 2026-8-11 | First-Principles-Based Grand Unified Theory (GUT) for Micro-Macro Modal Quantization (MQ)—Part II: Heisenberg–Schrödinger-Dirac Pictures, Act 1
[IEEE] 2026-8-11 | TFT-Flood for Nationwide Flood Prediction in Turkey: A Three-Branch Hybrid Deep Learning Architecture
[IEEE] 2026-8-11 | Assessing Riverbank Land Use for Flood-Adaptive Urban Planning in Central South Vietnam
[IEEE] 2026-8-11 | Adaptive Backstepping Sliding Mode Control With Dual-Channel Slip-Gain Compensation for LawnMowing Robot Trajectory Tracking
[IEEE] 2026-8-11 | Structural Retinal Contour Analysis in Fundus Images for Automated Myopia Detection
[IEEE] 2026-8-11 | Data-Driven Climate Risk Forecasting Using Hybrid Machine Learning Models
[IEEE] 2026-8-11 | Layered Fuzzy Logic System for DUT Performance Evaluation Using ATE in Airborne Surveillance Applications
[IEEE] 2026-8-11 | A Variable-Delay Radix-4 Booth Multiplier for RISC-V Processors via LLM-Assisted RTL Design
[IEEE] 2026-8-11 | Research on Swelling Behavior and Failure Mechanism of Silicon-based Anode Lithium-ion Batteries under High-temperature External Short Circuit
[IEEE] 2026-8-11 | OFDM vs. SC-FDMA for Monostatic THz ISAC Sensing Under Beam Misalignment Fading
[IEEE] 2026-8-11 | Toward Elderly-Care-Oriented Smart Home HAR via Sensor-Aligned Activity Taxonomy
[IEEE] 2026-8-11 | Hierarchical Adaptive Control Architecture-Based Path Tracking Strategy for Autonomous Vehicles with Unknown Dynamic Parameters
[IEEE] 2026-8-11 | Anomaly Assessment of Time Series Data in Real-Time Using Consensus-Based Ensemble Validation
[ACM] 2026-8-11 | Fairness by Design: Rethinking Assessment, Procedural Justice, and AI Use in Large-Scale Computing Education
[ACM] 2026-8-11 | "It's Okay Sometimes": Insights into Students' Nuanced Evaluations of their Programming Abilities While Using LLMs
[IEEE] 2026-8-11 | Retraction Notice: A Hybrid Routing Algorithm for WBAN
[IEEE] 2026-8-11 | Nontrivial Audio-Visual Segmentation
[IEEE] 2026-8-11 | Reconfigurable Three-Phase NPC-DAB Converter for High Power and Wide Voltage Range Operation
[IEEE] 2026-8-11 | Reconfigurable microwave photonics filters on an Si
                    <sub>3</sub>
                    N
                    <sub>4</sub>
                    -based TriPleX PIC platform: design, realization and testing
[ACM] 2026-8-11 | Understanding Host Network Stack Latency
[ACM] 2026-8-11 | GGN: Experiences in Designing and Deploying the Next-Generation Google Global Network
[ACM] 2026-8-11 | Capybara: Dynamic Load Balancing with Microsecond-Scale TCP Migration
[ACM] 2026-8-11 | Poster: Improving Resource Usage with Self-MeNDing Sketches
[ACM] 2026-8-11 | CubeTrace: Microscopic Network Tracing for Heterogeneous Cloud Gateways
[ACM] 2026-8-11 | Aegis: Contract-Bounded Online Adaptation for Networked Accelerator Clusters
[ACM] 2026-8-11 | DualPath: Accelerating Agentic LLM Inference by Harvesting Disaggregated KV-Cache Storage I/O
[IEEE] 2026-8-11 | Constraint-Manifold Guided Diffusion and Mode-Aware Compliance for Bimanual Assembly
[IEEE] 2026-8-11 | ROI-Guided Echocardiographic Image Analysis and Case Aggregation for Differentiating Atrial and Ventricular Septal Defects
[IEEE] 2026-8-11 | LHC-CMOEA: Event-Triggered LLM-Guided Hybrid Co-Evolution for Constrained Multi-Objective Optimization
[ACM] 2026-8-11 | Beyond Monoliths: Enabling Flexible and Composable AI Systems via Memory Disaggregation
[IEEE] 2026-8-11 | VMSA: Vision Mamba with Spectral Attention for Hydrated Mineral Classification and Mapping from CRISM Hyperspectral Data
[IEEE] 2026-8-11 | An ω-k Migration Algorithm for Pseudo-Random-Coded Ground Penetrating Radar Considering Signal Nonlinear Phase and Bandwidth Properties
[IEEE] 2026-8-11 | HiFA-diff: A High-Frequency-Aware Diffusion Framework for Meteorological Downscaling to 1-km Resolution
[IEEE] 2026-8-11 | A K-Band Circularly Polarized SIW Phased Array with Wide-Angle Scanning
[IEEE] 2026-8-11 | HQ-FCLB: Hybrid Post-Quantum Access Control with Fog-Assisted Ciphertext Aggregation and Dynamic Load Balancing for Industrial IoT
[IEEE] 2026-8-11 | Aware Mahalanobis Convolution and Polygon Structure Enhancement-based Deep Network for Building Detection in Remote Sensing Images
[IEEE] 2026-8-11 | A Dual-rate Internal Model Current Controller for PMSM Drives
[IEEE] 2026-8-11 | Investigation of Rotor Holes on the Performance of Hybrid-Magnet Interior Permanent Magnet Synchronous Machines
[IEEE] 2026-8-11 | Class Token Fusion in Vision Transformers for Brain Cancer Classification
[IEEE] 2026-8-11 | Edge AI Integration Architecture for the Internet of Things
[IEEE] 2026-8-11 | Block-Based Autoregressive Approach for Long Horizon Time Series Forecasting
[IEEE] 2026-8-11 | AoA-Based Localization Method for Underwater Wireless Optical Communication Systems
[IEEE] 2026-8-11 | Horizon Profile Based Autonomous Positioning for Low-Altitude Unmanned Aerial Vehicles
[IEEE] 2026-8-11 | Retraction Notice: Analysis of IoT-Driven Machine Learning Algorithms for Predicting Respiratory Diseases
[IEEE] 2026-8-11 | Retraction Notice: Optimizing Power Distribution Grids Using Particle Swarm Optimization Algorithm
[IEEE] 2026-8-11 | Performance Analysis of Distributed Hybrid RIS-Assisted SSK Systems over THz Channels with Pointing Errors
[IEEE] 2026-8-11 | Machine Learning Analysis of Japanese Candlestick Patterns in Financial Data: An Empirical Application Based on 10 Years of Daily Data
[IEEE] 2026-8-11 | Brainwave Entrainment Rhythms Detection with Frequency Bands Classification in Hybrid Deep Networks
[IEEE] 2026-8-11 | A Mathematical Method for Detecting LPI Signals
[IEEE] 2026-8-11 | Risk Sensitive Semantic Flow Management in Capacity Constrained Wireless Systems
[IEEE] 2026-8-11 | S-Interleaving: A Deterministic Matrix-Based Separation-Optimized Interleaving Method
[IEEE] 2026-8-11 | EEG Signal Classification with a Novel Adaptive Quadratic Activation Function
[IEEE] 2026-8-11 | A New Energy and Spectrum Efficient Optical MIMO-OFDM System
[IEEE] 2026-8-11 | KA-MDN: Kolmogorov-Arnold Mixture Density Network for Uncertainty-Aware Molecular Property Prediction
[IEEE] 2026-8-11 | A Multimodal Biosignal-Based Early Prediction Framework for Trunk Muscle Motion Intentions
[IEEE] 2026-8-11 | Multi-frequency Impedance Mismatch UHF Antenna for Power Transformer Insulation Monitoring
[IEEE] 2026-8-11 | Low-Excitation-Aware Robust Online Parameter Identification for Lithium-Ion Battery Models
[IEEE] 2026-8-11 | A Multi-Microgrid Collaborative Scheduling Method Based on a Comfort Matrix
[IEEE] 2026-8-11 | Performance Improvement of CNN Models in Structural Vibration Response Prediction Using Variational Mode Decomposition
[IEEE] 2026-8-11 | A Faster-than-Real-Time Simulation Approach for Cluster Computing with Model as a Service
[IEEE] 2026-8-11 | TADA: Temporal Asynchrony-Aware Deformable Alignment for Hidden Emotion Recognition through Micro-Expression and EEG Fusion
[IEEE] 2026-8-11 | An Introspective Decentralized AI Schema for Privacy-Conscious and Accountability-Driven Cyber-Threat Analytics in IoT Systems
[IEEE] 2026-8-11 | Performance-Driven Adaptive Epsilon Scheduling Using Success Rate and Reward Feedback for Tabular Q-Learning
[IEEE] 2026-8-11 | A Convnext-Unet Architecture with Multi-Head Self-Attention for Automated Wound Segmentation
[IEEE] 2026-8-11 | Comparison of Model-Based Speed Estimation Methods for PMSM Drives
[IEEE] 2026-8-11 | An Anomaly Detection Method for Multi-index Data of Power Grid Based on the Improved TimesNet Architecture
[IEEE] 2026-8-11 | Fraudulant Transaction Detection Using Conditional Generative Adversarial Network
[IEEE] 2026-8-11 | Multi-Market Bidding Optimization for Co-located RES-BESS Systems Based on SAC-TCN and Flexible Arbitrage
[IEEE] 2026-8-11 | A Systematic Review of Historical Cartography of Da Nang (1764-1995): Establishing a Baseline Database for Sustainable Urban Morphology
[IEEE] 2026-8-11 | AI-Assisted Decision Support System for Strategic Human Resource Management
[IEEE] 2026-8-11 | Dynamic Bayesian Network Trajectory Prediction for Multi-Ship Encounters Based on Large Language Model Explanation
[IEEE] 2026-8-11 | Zero-Shot Skill Gap Forecasting: Generalizing LSTM Models Trained on Synthetic IT Sector Data to Unseen Healthcare and Manufacturing Domains
[IEEE] 2026-8-11 | Dynamic Analysis and Simulation of Curved-Track Operating Characteristics of a Rail-Suspended Phenotyping Robot
[IEEE] 2026-8-11 | Layout Optimization Using Discrete-Event Simulation and Genetic Algorithm for Sustainable Business
[IEEE] 2026-8-11 | Impact of Celebrity Endorsement on Purchase Intention in the Digital Era with the Role of Trust and Perceived Risk
[IEEE] 2026-8-11 | Analysing V2V &amp; V2I Collision Warning Systems at Intersections Under LOS/NLOS Conditions
[IEEE] 2026-8-11 | Semi-Supervised Classification of Building Facade Materials Using Satellite Imagery
[IEEE] 2026-8-11 | Trustworthy AI-Powered Security Operations: Mitigating Information Leakage and Privacy Risks in Machine Learning-Based Threat Detection
[IEEE] 2026-8-11 | Optical Flow-Based Flowability Quantification and Mix Proportion Optimization for Intelligent Concrete Production
[IEEE] 2026-8-11 | The Effect of RDF Moisture Content on ECC and ECG of the Gasifier
[IEEE] 2026-8-11 | Design of an electrostatic deflector of an ultra-compact superconducting cyclotron
[IEEE] 2026-8-11 | Ethics-Driven AI Innovation in Healthcare Supply Chains: Ethical Risks and Governance Frameworks
[IEEE] 2026-8-11 | High-Impedance Ground Fault Diagnosis in 10kV Cable Distribution Networks Using Multi-Dimensional Time-Domain Features and a Lightweight BP Neural Network
[IEEE] 2026-8-11 | Selection and Analysis of TPY-class Current Transformers under Breaker-Failure Conditions in Nuclear Power Plants
[IEEE] 2026-8-11 | Modelling and Scheduling of Distribution Networks with Water Electrolysis and Dynamic Line Rating for Improved Wind Penetration
[IEEE] 2026-8-11 | Parallel Algorithm for Large-Scale Space Target Collision Detection Simulation Based on GPU-Tensor Architecture
[IEEE] 2026-8-11 | Enhancing Pending-Interest-Based Cache Eviction in NDN, Using the Butterfly Optimization Algorithm (BOA)
[IEEE] 2026-8-11 | Fine-Tuning Large Language Model for Gene Prioritization in m9.2 Erythroid Module
[IEEE] 2026-8-11 | Efficient Gender Classification Using CNN and Pretrained VGG16 Deep Models
[IEEE] 2026-8-11 | Cyber Intelligence Driven Threat Detection for Military Networks Using Deep Learning
[IEEE] 2026-8-11 | Coordinated Control Strategy of Multi-time-scale Virtual Impedance for Grid-Forming Converters Under Weak Grid Conditions
[IEEE] 2026-8-11 | Research and Judgment Method of Power Outage in Distribution Network Based on Multi-source Data Fusion
[IEEE] 2026-8-11 | COMPLX-YOLO: A Novel YOLOv11-Based Framework for Mosquito Object Detection in Complex Backgrounds
[IEEE] 2026-8-11 | Distributed and Edge AI for Continuous and Context-Aware Healthcare Intelligence
[IEEE] 2026-8-11 | Stability Analysis of Receiving End Power System Considering VSC-HVDC Connection
[IEEE] 2026-8-11 | nnFormer-TCN based Multi-Scale Convolutional Network for Motor Imagery EEG Classification
[IEEE] 2026-8-11 | IoT Enabled Digital Twins for Smart Walkability Planning: A Policy-Oriented Framework
[ACM] 2026-8-11 | Rethinking Inclusion in Computer Science Education
[ACM] 2026-8-11 | Mapping Undergraduates’ Explanations of Data-Model Relationships in Open-Ended Projects
[IEEE] 2026-8-11 | Evaluating Compositional Generalization in Turkish Morphological Tagging via Controlled Data Splits
[IEEE] 2026-8-11 | Functional Sentence Classification in Legal Decision Summaries: Inter-Task Dependency and Label Derivation
[IEEE] 2026-8-11 | A Multifunctional LP/CP Dual-Polarized Wideband Dielectric Transmit-Reflect-Array Antenna
[IEEE] 2026-8-11 | Energy Storage System Installation Game Between Conventional and Renewable Generators_supp1-3721861.docx
[IEEE] 2026-8-11 | Speeding Up SPA-GPT: Efficient Automated Trace Segmentation for Simple Power Analysis with FFT-Based Downsampling
[IEEE] 2026-8-11 | Differential Fault Attack against the YuS Cipher for Secure Embedded Systems
[IEEE] 2026-8-11 | Efficient Multi-Query Optimization for Continuous Subgraph Matching over Streaming Graphs
[IEEE] 2026-8-11 | Retraction Notice: Intelligence Non-Invasive Blood Group Prediction using Thermography
[IEEE] 2026-8-11 | PRIMEdit: Probability Redistribution for Instance-Aware Multi-Object Video Editing With a New Benchmark Dataset
[IEEE] 2026-8-11 | RoLe-LIO: A Robust and Lightweight LiDAR-Inertial Odometry for Complex Environments_supp1-3716722.pdf
[IEEE] 2026-8-11 | Low-crosstalk and high-RCMF heterogeneous 7-core 5-LP mode fibers with low-index ring and differentiated air-hole array
[IEEE] 2026-8-11 | Disentangled Control of Multi-Agent Systems
[IEEE] 2026-8-11 | SFENet: A Shapelet-Based Facial Expression Interpretability Model for Depression Recognition
[IEEE] 2026-8-11 | Robust Direct Control of Voltage Amplitude and Phase Angle for Grid-Forming Inverters
[IEEE] 2026-8-11 | RoResp: Robust Acoustic Respiration Monitoring Under Body Motion via Path Coupling
[IEEE] 2026-8-11 | Ultralow ARW in Broadband Source-Driven Resonant Micro-Optic Gyroscope
[IEEE] 2026-8-11 | HERL: Hybrid Evolutionary and Reinforcement Learning Method for Macro Placement
[IEEE] 2026-8-11 | Historical-Data-Free and System-Independent Training: A Neural Network-assisted Improved Lagrangian Relaxation Method for Large-Scale Security-Constrained Unit Commitment
[IEEE] 2026-8-11 | New Approaches for TDOA Source Localization: Selection Based LS and Deep Learning
[ACM] 2026-8-11 | Plan With the Sky: Co-Planning Robotic Autonomy and Low Earth Orbit Edge
[ACM] 2026-8-11 | POSTER: CLEX: Contract-Bounded Local Execution for Device-Level Network Control
[ACM] 2026-8-11 | Efficient Remote KV Cache Reuse with GPU-native Video Codec
[ACM] 2026-8-11 | Tuning into the Web: A Low-Cost Access Solution for Developing Countries
[ACM] 2026-8-11 | Internet routing: characterization via an algebraic property of cycles and a polynomial-time algorithm
[IEEE] 2026-8-11 | Retraction Notice: A Review of Bigdata and Machine Learning Techniques in Healthcare
[IEEE] 2026-8-11 | Tracking Control of Electro-Conjugate Fluid Actuator Based on Hysteresis Compensation Controller and Self-Tuning PID Controller
[IEEE] 2026-8-11 | Retraction Notice: An Intrusion Detection in Internet of Things: A Systematic Study
[IEEE] 2026-8-11 | Deep Learning-Based Target Localization and Deghosting in Multistatic Radar
[IEEE] 2026-8-11 | Counterfactual Fairness Prediction on Missing Data_supp1-3717344.pdf
[IEEE] 2026-8-11 | Decoupling Constraints From Two Directions for Evolutionary Constrained Multiobjective Optimization
[IEEE] 2026-8-11 | Active Transmitter Sensing and Receiver Design in Multiple LED Environments
[IEEE] 2026-8-11 | Data Saturation in Low-Resource TTS Fine-Tuning
[IEEE] 2026-8-11 | Performance Analysis of Chebyshev Filters
[IEEE] 2026-8-11 | Extended State Observer Based Estimation of 2-DOF Gimbal Systems Under Disturbances
[IEEE] 2026-8-11 | Investigating the Relationship Between Workload and Performance Using Time-Frequency Analysis: An HRV-Based Approach
[IEEE] 2026-8-11 | AI-Based Detection, Analysis, and Classification of Aircraft Surface Defects Using Deep Learning
[IEEE] 2026-8-11 | Fragmentation Aware Training for Turkish Named Entity Recognition
[IEEE] 2026-8-11 | Physics-Guided Gradient Bias in Deep Attention Networks with Bayesian Optimization for Lithium-Ion Battery SOH Prediction
[IEEE] 2026-8-11 | iTransAPT: An iTransformer-Based Wind Power Forecasting Model with the Affine PrototypeTimestamp Mechanism
[IEEE] 2026-8-11 | Intelligent Reflecting Surface Enhanced ICAJ Systems via Passive Beamforming
[IEEE] 2026-8-11 | Türevlenebilir Radon Köprüleme ve Çapraz Dikkat Füzyonu ile Çift Alanlı Düşük Doz BT İyileştirme
[IEEE] 2026-8-11 | Analysis of PWM Frequency Effects on Efficiency and Current Quality in Small-Power PMSM Drives
[IEEE] 2026-8-11 | Dynamic Spectrum Access with Spectrally Efficient Modulation in Cognitive Radio: A Cooperative Relaying Perspective
[IEEE] 2026-8-11 | Boundary-Aware Dynamic Prototype Learning for Few-Shot Named Entity Recognition
[IEEE] 2026-8-11 | Environmental Effects on Defect Detection in the Bottom Plate by Higher Order Mode Clusters – Guided Wave
[IEEE] 2026-8-11 | Energy Management for Smart Green Buildings: A Data-Driven Approach for Integrated PV-Storage-EV Systems
[IEEE] 2026-8-11 | A Strategic Process Perspective on AI-Driven Digital Transformation: Evidence from a Social Media Startup
[IEEE] 2026-8-11 | Pinvestigation of the Effect of the Number of Sampling Points on CMM Measurement Errors in Evaluating Form and Positional Deviations of Prismatic Parts
[IEEE] 2026-8-11 | Research on Active Disturbance Rejection Control Technology for Inland River Ships Based on New Guidance Law and Parameter Adaptation
[IEEE] 2026-8-11 | Automated Detection and Classification of Keratoconus Using Deep Learning with ResNet-50
[IEEE] 2026-8-11 | A DCGAN-Augmented Framework for Robust PCOS Ultrasound Images
[IEEE] 2026-8-11 | Adaptive ADRC for a Hybrid Three-Port Energy Router in Flexible Distribution Networks
[IEEE] 2026-8-11 | Sustainable Conservation: Artificial Intelligence (AI) Driven Visualization of Heritage Wall Paintings in Tiruppudaimarudur Temple, Tamil Nadu
[IEEE] 2026-8-11 | Role of Digital Transformation in Strengthening the Sustainable Finance Practices
[IEEE] 2026-8-11 | Forensic Analysis Through Demographic Prediction Using CNNs and Sketch Synthesis Using Diffusion Models
[IEEE] 2026-8-11 | TagSphereXR: A Multimodal Interaction Framework for LLM-Augmented Annotation in XR
[IEEE] 2026-8-11 | An Equipment Tactical Scenario Agent Based on Multimodal Data Governance
[IEEE] 2026-8-11 | FHA-Based Power Mapping with Damped TDA Correction for Single-Stage Bidirectional AC/DC Converters
[IEEE] 2026-8-11 | Intelligent Ward Monitoring System Based on STM32 and Multimodal Fusion
[IEEE] 2026-8-11 | SKINTHESIS - A Hybrid ML Based Personalized Skincare Analysis and Product Recommendation Using Facial Images
[IEEE] 2026-8-11 | Deep Learning-Based Multiclass Segmentation of Breast Cancer Histopathology Images Using Advanced Neural Networks
[IEEE] 2026-8-11 | Data-Driven Comparison of Battery Electric and Plug-in Hybrid Vehicles in India: A KPI-Based Performance Analysis
[IEEE] 2026-8-11 | Machine Learning-Assisted Optimization of Partially Nested Tubes Under Impact
[IEEE] 2026-8-11 | A Secondary Decomposition and Denoising Method for Photovoltaic Power Signals Based on Adaptive Frequency Threshold Segmentation and Empirical Wavelet Transform
[IEEE] 2026-8-11 | Carbon Footprint of Relational and Hybrid Objectrelational Storage for Image-Based Time-Series Workloads
[IEEE] 2026-8-11 | DILI Prediction Using Molecular Fingerprints and ChemBERTa
[IEEE] 2026-8-11 | Advancing Cobalt-Based Supercapacitor Electrodes via Machine Learning: A Review of Predictive and Optimization Strategies
[IEEE] 2026-8-11 | Enhancing Water Potability Prediction Using Deep Learning Techniques
[IEEE] 2026-8-11 | A Mission-Oriented System Modeling Method Based on RMFLP and SysML
[IEEE] 2026-8-11 | Beyond Application Identification: Fine-Grained Activity Classification in Encrypted Mobile Traffic
[IEEE] 2026-8-11 | Grinding Simulation Study of Industrial Robots Based on Abb Robotstudio Software
[IEEE] 2026-8-11 | Obstacle Avoidance for Collaborative Robots Using Modulation Dynamical Systems Technique
[IEEE] 2026-8-11 | Masked Reconstruction-Based Self-Supervised Pretraining for GNSS Jamming Classification Using Digital Baseband Signals
[IEEE] 2026-8-11 | Enhanced Feature Fusion YOLOv8 for Accurate Tomato Leaf Disease Detection
[IEEE] 2026-8-11 | Large Language Model-Driven Automated Malware Detection and Reverse Engineering for Secure Software Systems
[IEEE] 2026-8-11 | Two-Legged Robot Design and System Identification with Deep Learning
[IEEE] 2026-8-11 | SHPNet: Semantic-Consistent Holistic Perception Network for Efficient Multi-Scale Feature Compression
[ACM] 2026-8-11 | A Cross-US View of Starlink's PoP and Satellite Assignment Strategy to Mobile Users
[ACM] 2026-8-11 | DeepSFU: Scalable Deepfake Detection for Video Conferencing
[ACM] 2026-8-11 | Don't Stall Me Now: Hiding Memory Latency in eBPF
[IEEE] 2026-8-11 | Wasserstein Graph Topological Learning for Brain Network Classification
[IEEE] 2026-8-11 | Computationally Efficient Analytical Models of Frequency and Voltage in Low-Inertia Systems
[IEEE] 2026-8-11 | When AI Breaks Reproducibility: A Deterministic Architecture for Scientific Integrity
[IEEE] 2026-8-11 | Hybrid Beamforming Based Multi-user mmWave Communications via Opportunistic Scheduling
[ACM] 2026-8-11 | GLENFINNAN: SmartNIC-Accelerated Data Processing for Efficient Vision AI Pipelines
[IEEE] 2026-8-11 | FedCRA: Federated Representation Alignment for Label-Skewed Video HAR
[IEEE] 2026-8-11 | A Comparative Analysis of Machine Learning and Deep Learning Methods for Malware Detection in Portable Executable Files
[IEEE] 2026-8-11 | A Novel Approach Mitigating the Doppler Effect in UAV-LoRa Networks: DQN-Based Dynamic Resource Management
[IEEE] 2026-8-11 | Structure-Aware Filtering for Real-Time Separation of Active-Sensing and Tracking Motions
[IEEE] 2026-8-11 | Enabling Scalable Real-time 3D Underwater Localization With Linear Computational Complexity
[IEEE] 2026-8-11 | RadarDiff: A Conditional Diffusion Model with Time-Aware Context and Mixed Attention for Radar Echo Extrapolation
[IEEE] 2026-8-11 | Retraction Notice: Detection of COVID-19 on Lung CT Images Using Semi Supervised Learning
[IEEE] 2026-8-11 | Real-Time Android Telemetry and Crowdsourcing-Based Multi-Criteria Electric Vehicle Charging Station Recommendation System
[IEEE] 2026-8-11 | Multimodal Machine Learning for Data-Driven Materials Selection: A Review of Foundations, Advances, and Future Directions
[IEEE] 2026-8-11 | Analysis of SAR Exposure for Different Age Groups and 6G Perspective
[IEEE] 2026-8-11 | Performance Evaluation of Deep Learning-Based Feature Detection and Matching Algorithms in GNSS/Visual-Inertial Navigation Systems
[IEEE] 2026-8-11 | FACTurk: Insights into the Turkish Fact-Checking Ecosystem via a New Dataset
[IEEE] 2026-8-11 | Dynamic Workflow Optimization and Resource Management with Machine Learning
[IEEE] 2026-8-11 | Automated Myocardial Infarction Detection from 3-Lead ECG via Temporal Convolutional Networks
[IEEE] 2026-8-11 | Variable Speed Drives on Mill Motors
[IEEE] 2026-8-11 | Retraction Notice: RGB Image Edge Detection Using Fuzzy Logic to Infer The Function Of Triangle And Trapezoidal Key Members
[IEEE] 2026-8-11 | UniWave: A Multiscale Wavelet Model for Long-Term Time Series Forecasting
[IEEE] 2026-8-11 | LoRA-MoE Fine-Tuning for Improved Speech Recognition in People with Parkinson’s Disease
[IEEE] 2026-8-11 | White smoke removal performance using electrostatic precipitator with hydrophilic membrane collection plates
[IEEE] 2026-8-11 | Joint Beamforming and Segmentation Optimization for Segmented RIS-Assisted Cell-Free mMIMO Systems Under Perfect and Imperfect CSI
[IEEE] 2026-8-11 | Retraction Notice: Automatic Stock Market Prediction using Novel Long Short Term Memory Algorithm compared with Logistic Regression for improved F1 score
[IEEE] 2026-8-11 | Retraction Notice: Fuzzy Logic-Based Control Algorithm for Smart Microgrid Energy Management
[IEEE] 2026-8-11 | Real-Time Video Transmission over an SDR Platform with Rotator-Based Doppler Compensation
[IEEE] 2026-8-11 | A Novel Portable Wireless Fiber-optic Dissolved Oxygen Sensor for Acute Kidney Injury (AKI) Assessment
[IEEE] 2026-8-11 | Structure Prior Anchoring and Symmetry Awareness for Oriented Object Detection in X-Ray Inspection of Compression Fittings
[IEEE] 2026-8-11 | Towards Zero-Shot Point Cloud Registration Across Diverse Scales, Scenes, and Sensor Setups
[IEEE] 2026-8-11 | DRONet: Fine Detection From Raw Radar Data in Sparse Domain Representations
[IEEE] 2026-8-11 | On Copernicus DEM - DTM and ICESat for height and biomass retrieval of tropical forests
[IEEE] 2026-8-11 | ADS-B Signal Separation with a Dual-Path Convolutional-Recurrent Neural Network
[IEEE] 2026-8-11 | Modeling Surface-Complexity-Based Readability Levels in Turkish via Part-of-Speech Profiles
[IEEE] 2026-8-11 | Time Series Classification via Enriched Visibility Graph Feature Extraction
[ACM] 2026-8-11 | Falcon Active Learning Open Network (FALCON) for Peer Instruction
[IEEE] 2026-8-11 | Dual-Branch Deep Feature Extraction with CosFace-Based Discriminative Learning for Skin Lesion Classification*
[IEEE] 2026-8-11 | Perpendicular Distance Based Linear Regression for Best Fit Line Estimation
[IEEE] 2026-8-11 | Assessment of Vehicle Dynamics of an ICE to EV Converted Vehicle Using Numerical Simulation Methods
[IEEE] 2026-8-11 | Toward Resilient and Sustainable Critical Infrastructure: An Interpretable Transformer for Multivariate Time-Series Anomaly Detection in Industrial Cyber-Physical Systems
