[2026-08-24 21:17:51] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-23
正在获取论文...
[ACM] 2026-8-24 | Real-World Clutter Improves Egocentric Distance Judgments in Optical See-Through Augmented Reality
[IEEE] 2026-8-24 | Comparative Analysis of Data-Level Imbalance Handling Strategies for Melanoma Detection on HAM10000
[IEEE] 2026-8-24 | Stochastic Modeling of Vegetation-Induced Radio Propagation in Greenhouse Environments[健平1]
[IEEE] 2026-8-24 | Lightweight ASCON Implementation Based on a Three-Stage Parallel Architecture with CPA Resistance Analysis
[IEEE] 2026-8-24 | IEEE Journal of Photovoltaics Information for Authors
[IEEE] 2026-8-24 | Evaluation of the Effects of Advertisement Insertion Position and Memorability on QoE in Video Streaming Services
[IEEE] 2026-8-24 | E2AM: A Controlled Evaluation Framework for Energy-Aware Training and Deployment of Deep Vision Models
[IEEE] 2026-8-24 | A Lightweight Levenberg-Marquardt Method for Real-Time Tracking of Time-Varying System Inertia Under Ambient Excitation
[IEEE] 2026-8-24 | A Method for Smart Grid Fault Diagnosis Based on Feature Fusion of Multimodal Heterogeneous Data
[IEEE] 2026-8-24 | Non-Intrusive Crowd State Awareness in Evacuation Shelters Using Multi-Modal Sensing
[IEEE] 2026-8-24 | Frequency-Adaptive Multi-Scale Context Enhancement for Real-Time UAV Object Detection
[IEEE] 2026-8-24 | Design and Validation of A Novel Charge-Pump Assisted Quadratic Boost Converter
[IEEE] 2026-8-24 | Priority-Aware Dynamic Resource Allocation Method for RCSA in Multi-Core Fiber Networks
[IEEE] 2026-8-24 | Challenges in Dynamic Modeling and Parameter Identification of a Catamaran
[IEEE] 2026-8-24 | A Dual-Band THz Receiver in 65-nm CMOS
[IEEE] 2026-8-24 | Abnormal Instruction Identification of AVC Based on Data-Driven Approach
[IEEE] 2026-8-24 | A novel viscosity sensor based on electromagnetic motor with suspended rotor
[IEEE] 2026-8-24 | Modeling the Nexus Between AI Adoption, Corporate Social Responsibility, Human Capital Formation, and Logistics in Global Value Chains: Implications for Economic Development
[IEEE] 2026-8-24 | Maximum Mean Discrepancy for Concept Drift Detection in Malware Classification Models
[IEEE] 2026-8-24 | A Self-Auditing Edge Framework for Trustworthy Schizophrenia Classification
[IEEE] 2026-8-24 | Decentralized Causal Agents with Sheaf-Theoretic Conflict Resolution for Glucose Forecasting in Type 1 Diabetes
[IEEE] 2026-8-24 | An Adaptive Cold-Aware Recommendation System for Sparse E-Commerce Data
[IEEE] 2026-8-24 | An 18–36.6-GHz Common-Gate LNA With Broadband Simultaneous Noise and Input Impedance Matching
[IEEE] 2026-8-24 | TV-Dialogue: Crafting Theme-Aware Video Dialogues by Decoupling Global Planning and Local Execution_supp1-3726245.pdf
[IEEE] 2026-8-24 | Effect of Inducing Point Selection Strategies on Digital Ink Compression via Sparse Gaussian Process Regression
[IEEE] 2026-8-24 | Open-Data-Assisted Standard-System Construction for 3D Forward Design of 220 kV-and-Below Transmission Lines
[IEEE] 2026-8-24 | The Methods for Improving Device Breakdown Voltages
[IEEE] 2026-8-24 | Electromagnetic Rough-Surface Scattering Characterization Using a Bayesian Latent Structural Uncertainty Framework
[IEEE] 2026-8-24 | Effects of Visual Greenness Levels on Psychological Responses in Immersive Virtual Exercise Systems
[IEEE] 2026-8-24 | Improving Cost Efficiency in Medical Retrieval-Augmented Generation via Adaptive Query Routing
[IEEE] 2026-8-24 | Prescribed-Time Fuzzy Tracking Control for Constrained Euler-Lagrange Systems via Reinforcement Learning: Theory and Experiment
[IEEE] 2026-8-24 | Parameter-Efficient Adaptation of Vision-Language Models for Technical VQA in User Manuals
[IEEE] 2026-8-24 | Adaptive Anomaly-Residual Early Warning System for Proactive Detection of Urban Traffic Congestion
[IEEE] 2026-8-24 | Deep Learning Based Co-Channel Interference Mitigation for Satellite Communication Systems
[IEEE] 2026-8-24 | Convolution Neural Network and Long Short-Term Memory Network to Mitigate High Power Ramp Rates in Utility Grid Integrated Wind–Solar System
[IEEE] 2026-8-24 | Author Index
[IEEE] 2026-8-24 | Learned Image Compression via Unevenly Grouped Channel Context Gaussian Mixture Entropy Modeling
[IEEE] 2026-8-24 | On the Analysis and Validation of a Multiparameter Analytical Loss Model for an IaaS Cloud Physical Infrastructure
[IEEE] 2026-8-24 | Multimodal Learning for Enhancing Context-Aware Recommendation Systems
[IEEE] 2026-8-24 | Performance Evaluation of Various GNSS-based TEC Gradient Measurement Techniques for Navigation Applications
[IEEE] 2026-8-24 | Performance of Transmit SNR Weighted K-Means Clustering in NOMA-Based FANETS
[IEEE] 2026-8-24 | AI-Powered Adaptive Learning Engine using Contextual Bandit Optimization Reduces Personalization Gaps and Improve Retention
[IEEE] 2026-8-24 | Unified Hybrid Deep Learning Framework for Multi-Modal Data Fusion in Plant Phenotyping and Soil Nutrient–Moisture Prediction using BiLSTM–Transformer Networks
[IEEE] 2026-8-24 | Integration of NIST PQC Round 2 Additional Digital Signatures into PKI and X. 509
[IEEE] 2026-8-24 | A Comprehensive Review of Radio Signal Classification Techniques
[IEEE] 2026-8-24 | Robustness-Preserving Network Topology Optimization Under Malicious Jamming
[IEEE] 2026-8-24 | AI-Enabled Autonomous Networking for Base Station Energy Saving: A Survey of Applications, Methods, and Research Trends
[IEEE] 2026-8-24 | Enhancing Digital Twin Model Fidelity Using Error Analysis and Parameter Fitting
[IEEE] 2026-8-24 | Modified Three-Component pBRDF Model Preserving Partially Polarized Multiple Reflections for Coated Fabric Surfaces
[IEEE] 2026-8-24 | LOSC: Optical-SAR Image Registration Based on Local Oriented Scale Contour Feature Descriptor
[IEEE] 2026-8-24 | Design and experiment of epoxy-impregnated no-insulation YBCO Insert coils
[IEEE] 2026-8-24 | Real-Time Rendering Method for Massive Substation Point Clouds
[IEEE] 2026-8-24 | Comparison of Maximum Loadability Method and Direct Approach Based Power Flow Analysis
[IEEE] 2026-8-24 | Introducing and Modeling a Soft Steerable Catheter Tip using Multiobjective Design Optimization_supp1-3726165.mp4
[IEEE] 2026-8-24 | IEEE Foundation
[IEEE] 2026-8-24 | ThemisRB: Revocation-Aware Redactable Blockchain with Asynchronous Resilience_supp1-3723814.pdf
[IEEE] 2026-8-24 | Authenticity, creativity, and art in the age of artificial intelligence [Student Editorial]
[IEEE] 2026-8-24 | Dynamic Metric Analytic Framework for Exemplar-Free Continuous Diagnosis Under Unsupervised Cross-Domain Class Incremental Learning Scenarios
[IEEE] 2026-8-24 | Federated Multi-Center Deep Support Vector Data Description with Lyapunov Convergence Guarantees for Anomaly Detection in IIoT Networks
[IEEE] 2026-8-24 | EMODet-YOLO: A Proactive Passenger Emotion Monitoring Algorithm on Railway Platforms Fusing GAM and Real-ESRGAN
[IEEE] 2026-8-24 | Spatio-Temporal Cab Demand Forecasting using Hybrid LSTM-CNN Models
[IEEE] 2026-8-24 | HiCB-Fusion: Hinglish CyberBullying Detection using MuRIL and Multi-Level Fallback Mechanism
[IEEE] 2026-8-24 | AMSche: Affinity-Aware Microservice Scheduling for Communication-Intensive Tasks
[IEEE] 2026-8-24 | An LSTM-Driven Model for Accurate Agricultural Pest Risk Prediction
[IEEE] 2026-8-24 | IoT-Embedded Smart Textiles with Real-Time Hazardous Gas Detection for Sewage Worker Safety: A Wearable Sensor Network Approach
[IEEE] 2026-8-24 | Multi Modal Data Fusion of Digital Twin Precision for Fatty Liver Disease based on Genomics and Microbiome Analysis
[IEEE] 2026-8-24 | A Layered SFU Architecture for Reproducible Multi-Party WebRTC Systems
[IEEE] 2026-8-24 | Fabric as Optical Diffuser for Wearable LEDs in Optical Camera Communications Systems
[IEEE] 2026-8-24 | Forest-Fire Response System using Deep-Learning-based Approaches with CCTV Images and Weather Data
[IEEE] 2026-8-24 | Machine Learning-based Predictive Analytics for Early Detection of Chronic Diseases
[IEEE] 2026-8-24 | $\mathrm{M}^{2}$ BD-FL: Multi-Metric and Multi-Dimensional Backdoor Detection in Federated Learning
[IEEE] 2026-8-24 | EmoStack-Net: A Hybrid Feature Learning Framework for EEG-based Emotion Recognition
[IEEE] 2026-8-24 | Joint Tx/Rx Antenna Selection and Beamforming Optimization for Multi-User Full-Duplex mMIMO
[IEEE] 2026-8-24 | Art as a Big-Data Climate Sensor: A 1,744-Scene Multi-Feature Analysis of Robert Smithson's Spiral Jetty with an Emergent CNN Climate Axis (1984-2025)
[ACM] 2026-8-24 | Comparing Ground-Anchored Augmented Reality Visualizations of Waste Heat Redistribution
[ACM] 2026-8-24 | Actively tracking ship heave for helicopter deck-landing
[IEEE] 2026-8-24 | On the equivalence between additive and linear codes
[IEEE] 2026-8-24 | Study on Evolution Law of Acoustic Signals of Surface Discharge in Oil-Paper Insulation Under Different Operating Conditions
[IEEE] 2026-8-24 | Integrated Control Method for Source-Grid-Load-Storage of New Energy Power Systems Based on GWO Algorithm
[IEEE] 2026-8-24 | The Enhanced Detection Technology of Underwater Weak Signal Based on Composite Sensor of Metamaterial and Fiber Laser Hydrophone
[IEEE] 2026-8-24 | Multimodal Perception for Underwater Hitchhiking of Robotic Remora: Integrating Semantic Vision and ToF Sensing
[IEEE] 2026-8-24 | An Explainable Pit Bull-Type Dog Breed Identification System Using Vision-Language Models and Official Breed Standards
[IEEE] 2026-8-24 | Action Recognition for Badminton Players Based on Spatial-Temporal Graph Convolutional Networks
[IEEE] 2026-8-24 | Deep Q-Network-Based White-Hat Bot Launcher with Action Masking via Ray Casting for Botnet Defense Systems
[IEEE] 2026-8-24 | EfficientNetV2-Based Skin Lesion Classification with Online Data Augmentation
[IEEE] 2026-8-24 | Uncertainty-Aware 3D Seismic Facies Segmentation Using Deep Learning
[IEEE] 2026-8-24 | Online Reinforcement Learning from Existing Heuristics for TCP Congestion Control
[IEEE] 2026-8-24 | 2026 3rd International Symposium on New Energy Technologies and Power Systems (NETPS)
[IEEE] 2026-8-24 | Maximizing the Downlink Sum Rate in Rotatable-Surface 6DMA-Assisted Multi-User Systems
[IEEE] 2026-8-24 | A Wideband 1-Bit Guided Wave Reconfigurable Intelligent Surface for Future 6G Wireless Network
[IEEE] 2026-8-24 | Elastic TDMA Overlay for Dense Wi-Fi Networks
[IEEE] 2026-8-24 | Quantum-Inspired Machine Learning for Secure and High-Dimensional IoT Data Processing
[IEEE] 2026-8-24 | Real-Time Visual Fatigue Monitoring System via Facial Landmark Analysis and Blink Rate Tracking
[IEEE] 2026-8-24 | Review of Cyber Threat Detection Techniques in Cloud Computing Environment
[IEEE] 2026-8-24 | Comparative Evaluation of Llama Guard 3 and GPT OSS Safeguard as LLM Guardrails for a University Administrative Chatbot
[IEEE] 2026-8-24 | TrustIoT-Chain: A Privacy-Preserving Sharded Blockchain Framework with Zero-Knowledge Auditing for Smart City IoT Monitoring
[IEEE] 2026-8-24 | Adaptive Carrier Phase Angle Correction Strategy in Decentralized Control of Cascaded Converters Under Voltage Sag Conditions
[IEEE] 2026-8-24 | Genetic Algorithm–Artificial Neural Network Hybrid Model for Optimal Energy Management in Hybrid Renewable Systems
[IEEE] 2026-8-24 | IEEE Recommended Practice for General Principles for Temperature Limits in the Rating of Electrical Equipment and for the Evaluation of Electrical Insulation
[IEEE] 2026-8-24 | Radiation Dose Variability in Temporal Bone CT: A Prospective Multicenter Comparison Across Moroccan Centers
[IEEE] 2026-8-24 | Magnitude-Phase Interaction Network for Wireless Interference Identification in Low-Altitude Networks
[IEEE] 2026-8-24 | Automatic 3D Ultrasound Parametric Modeling of Lumbar Spine - A Feasibility Study
[IEEE] 2026-8-24 | Improved Virtual Zero CMV SVPWM Method to Reduce Harmonic Distortion for Four-Level NNPC Inverters
[IEEE] 2026-8-24 | An Autonomous Rule-based Mini-SOAR Platform for Log-Driven Incident Detection and Response Orchestration
[IEEE] 2026-8-24 | A Machine Learning Approach for Grid Load Forecasting Based on Feature Optimization
[IEEE] 2026-8-24 | Federated Learning Security in E-Learning: A Clustering-Based Approach to Student Behavior Anomaly Detection and Data Poisoning Mitigation
[IEEE] 2026-8-24 | Crack Modeling and Vibration-Based Detection in Beams: A Review from Classical Mechanics to AI
[IEEE] 2026-8-24 | UAV Safe Flight Verification System Utilizing Zero-Knowledge Proofs
[IEEE] 2026-8-24 | Reachability-Envelope-Constrained Operational-Space Control for Soft Continuum Arms
[IEEE] 2026-8-24 | Ethical Challenges of AI in Recruitment: How HR Can Tackle Bias and Promote Fairness: Systematic Literature Review
[IEEE] 2026-8-24 | CoRe: A Collaborative and Reflective Language Model Framework for Flexible Job Shop Scheduling
[IEEE] 2026-8-24 | A Comparative Benchmark of Specialized Deep Learning Architectures and Fine-Tuned LLMs for Arabic Text Readability
[IEEE] 2026-8-24 | Research on Quantitative Detection Method of Non-Soluble Deposit Density and Equivalent Salt Deposit Density Based on LIBS
[IEEE] 2026-8-24 | Intelligent Clause-Level Information Extraction: Benchmarking Large Language Models for SFL-Informed Sentiment Analysis on Social Media
[IEEE] 2026-8-24 | Adversarial Malware Detection via LIME Explanation Stability
[IEEE] 2026-8-24 | Frequency-Domain Riesz–Gauss Operator for Geohazard-Boundary Delineation from Low-Coherence InSAR Phase
[IEEE] 2026-8-24 | A Hybrid Analytical-Genetic Approach for Accurate Parameter Extraction of Photovoltaic Modules Based on the Two-Diode Model
[IEEE] 2026-8-24 | Development of a Virtual Process PDK for KLayout with ChatGPT as an Auxiliary Tool
[IEEE] 2026-8-24 | An Investigation into the Application of Smart Grid Technology in the Stable Operation of Power Systems
[IEEE] 2026-8-24 | A Strategic Framework for AI Integration in Cybersecurity Governance: The Moroccan Case
[IEEE] 2026-8-24 | Multi-Delibration Enables Collaboration and Reasoning Improvement in Agentic AI Systems for Multimodal Medical Diagnosis
[IEEE] 2026-8-24 | Open-Circuit Fault Diagnosis Method for Three-Phase Inverters Based on Four-Channel Image Encoding and MISSA-XGBoost Fusion
[IEEE] 2026-8-24 | Learning-Based Techniques for Traffic Congestion Modeling and Optimization: A Survey
[IEEE] 2026-8-24 | Grounding the Phantom: Improving Physical Plausibility in Dance Generation via Biomechanical Constraints
[IEEE] 2026-8-24 | Adaptive Parameter Tuning for One-Handed Assistive Input Redirection on Android
[IEEE] 2026-8-24 | On the Insecurity of Graph-Isomorphism Tokens for IoT Authentication
[IEEE] 2026-8-24 | Toward the Development of Energy-Efficient Machine Learning Models for the Sustainable Verification of Embedded System Components
[IEEE] 2026-8-24 | PA-HydroPreNet: Multi-Task Spectral Enhancement and Bioacoustic Detection for Hydrophone-Array Monitoring
[IEEE] 2026-8-24 | A Multilevel Amplitude Reconfigurable Metasurface Via Laser-Induced Phase Change of GeTe
[IEEE] 2026-8-24 | Table of Contents
[IEEE] 2026-8-24 | Multimodal Context-Enriched Visual Representation Learning for Enhanced Vision–Language Image Captioning
[IEEE] 2026-8-24 | Employing LLMs for Improved Bots Detection
[IEEE] 2026-8-24 | 2026 International Conference on Circuit, Systems and Communication (ICCSC)
[IEEE] 2026-8-24 | Smart Fuel Station with Automatic Vehicle Identification
[IEEE] 2026-8-24 | Hardware Implementation of 8-Bit Gray to Binary Code Conversion
[IEEE] 2026-8-24 | Solar PV-Supported Unified Power Quality Conditioner with Mamdani Fuzzy Logic Control
[IEEE] 2026-8-24 | Explainable AI for Chronic Kidney Disease Prediction in Medical IoT: A Systematic Review
[IEEE] 2026-8-24 | Exploring Intelligent EEG Analytics for Early Alzheimer’s Disease Detection: A Review Study
[IEEE] 2026-8-24 | Robust Wavelet-First Preprocessing for IM/DD–OOK Under Drift and Impulsive Transients
[IEEE] 2026-8-24 | Multi-Criteria AI System for Crop and Fertilizer Prediction
[IEEE] 2026-8-24 | Early-Stage Lung Cancer Detection using Convolutional Autoencoder and Long Short-Term Memory Model
[IEEE] 2026-8-24 | Highly Insulating Optocoupler for 5 Gbps Full-Duplex Data Transmission
[IEEE] 2026-8-24 | EntityNav: an Entity-Centric Stepwise Planning Framework for Vision-Language Navigation
[IEEE] 2026-8-24 | A Comprehensive Review on Kidney Stone Detection using Machine Learning and Deep Learning Techniques
[ACM] 2026-8-24 | Effects of Audiovisual Environmental Stimuli on Humidity Perception Without Changing Actual Humidity
[ACM] 2026-8-24 | Multi-Channel Perception Control for Electrotactile Stimulation Using Waveform-Based Threshold Estimation and Adaptive Feedback
[IEEE] 2026-8-24 | Complexity-Guided Adaptive Encryption for Secure Image Transmission
[IEEE] 2026-8-24 | Label-Efficient Hyperspectral Image Change Detection via Multi-Scale Self-Distillation
[IEEE] 2026-8-24 | A Lightweight Deep Learning Model for Industrial Surface Defect Detection
[IEEE] 2026-8-24 | SAR Anti-Interrupted-Sampling-Repeater-Jamming Method Based on Subpulse Permutation Linear Frequency Modulation
[IEEE] 2026-8-24 | Circular Shifting-Based Secure Key Generation for FDD Wireless Systems
[IEEE] 2026-8-24 | MVKDM: A Multi-View K
                    <sub>i</sub>
                    Diffusion Model for Ultra-Short Total-Body Parametric PET Imaging Using Relative Patlak K
                    <sub>i</sub>
                    <sup>'</sup>
                    Inputs
[IEEE] 2026-8-24 | From Digital Twins to Generative Digital Twins in Healthcare: Architectures, Application Boundaries, and Hybrid Clinical Deployment
[IEEE] 2026-8-24 | Auditable LLM Safety-Judge Selection via Confidence-Interval Filtering on Unsafe Recall
[IEEE] 2026-8-24 | DPFNAS: Differential Privacy-Enhanced Federated Neural Architecture Search for 6G Edge Intelligence
[IEEE] 2026-8-24 | Improving the Generalization of Gait Recognition with Limited Datasets
[IEEE] 2026-8-24 | A Task-Aware Feature Decoupling Framework for End-to-End Person Search
[IEEE] 2026-8-24 | Consistency-Aware Policy Optimization for Zero-Variance Gradient Anomaly Understanding and Robust Reasoning
[IEEE] 2026-8-24 | Graph Design for Weather-Constrained Multi-Airport Delay Forecasting: Comparing Spatial, Functional, and Adaptive Connectivity
[IEEE] 2026-8-24 | What Drives MaaS Adoption? Comparing Perceived Usefulness, Trust, and Hedonic Motivation
[IEEE] 2026-8-24 | A Self-Supervised Framework for Unsupervised Clustering of High-Resolution UAV Soybean Imagery
[IEEE] 2026-8-24 | Open-circuit Fault Diagnosis of Five-Phase Permanent Magnet Fault-tolerant Motor System based on Model-Data Hybrid Drive
[IEEE] 2026-8-24 | Predicting Interview Performance with Structured Data: An Empirical Analysis of Limitations and Explainability
[IEEE] 2026-8-24 | Structured Cross-Modal Representation Alignment via Dual Mixing Blocks in Vision–Language Architectures
[IEEE] 2026-8-24 | Robust Quantum Control via a Model Predictive Control Strategy
[IEEE] 2026-8-24 | Node Optimization for Multi-Node Robust Integrated Sensing and Communications Networks
[IEEE] 2026-8-24 | A Landslide Detection Network Integrating Mamba and Deformable Sliding Window Attention
[IEEE] 2026-8-24 | Stabilizing High-Occupancy Parking Systems via Legally Constrained Dynamic Assignment
[IEEE] 2026-8-24 | Behaviourally Informed Adversarial Prompting for Evaluating Emergent Risk Behaviours in Foundation Models
[IEEE] 2026-8-24 | Ethnicity Identification from 3D Facial Point Clouds: A CNN-Pointnet Fusion Approach
[IEEE] 2026-8-24 | Data Quality Evaluation and Pricing of Edge Computing Device in Active Distribution Networks with Privacy Preserving
[IEEE] 2026-8-24 | Hand-Written Boolean Expression to LaTeX Conversion
[IEEE] 2026-8-24 | Efficient Deep Video Compression via Adaptive Training and Multi-Stage Probability Modeling
[IEEE] 2026-8-24 | Deep Learning-Based Automatic Detection of Pin Misalignment in Automotive Connectors Using Convolutional Neural Networks
[IEEE] 2026-8-24 | An LLM-Assisted Framework for Extracting Pinout Information of IC Components
[IEEE] 2026-8-24 | NLP-IoTLogSec: Natural Language Processing for Cybersecurity Threat Detection in IoT System Log
[IEEE] 2026-8-24 | Numerical Study of Wideband Semiconductor Optical Amplifiers for Fiber-to-Fiber Gain Based All Optical Logic Gates
[IEEE] 2026-8-24 | Research and Application on Theoretical Reliability Assessment of Power Grids with Wind-Solar-Storage Systems
[IEEE] 2026-8-24 | Design and Implementation of a Power-Efficient Deep TTFS-SNN Accelerator for Edge Computing
[IEEE] 2026-8-24 | A Hardware-Oriented Intrusion Detection Architecture for CAN Bus Networks Using DBSCAN Models
[IEEE] 2026-8-24 | Additively Manufactured Ferrite Permanent Magnet Rotor with 3D Flux for Efficient Utilization of the Overhang Volume and Enhanced Performance
[IEEE] 2026-8-24 | Beyond the Mean: Topology-Explicit and Logical-Dependency-Aware Tail Risk Analysis in Edge Collaborative Network
[IEEE] 2026-8-24 | Collaborative Task-Oriented Communication-Control Co-design for Wireless Networked Control Systems
[IEEE] 2026-8-24 | Machine Learning-Based Estimation and Bias Correction of Reference Evapotranspiration Using ERA5-Land Over Morocco: A 76-Year Climate Change Analysis
[IEEE] 2026-8-24 | Design, Implementation and Assessment of a Testbed for Scalable IoT Architectures for Smart Renewable Energies Systems
[IEEE] 2026-8-24 | TwinSync: Mission-Aware Synchronization of Digital Twins over Dynamic Cislunar Networks
[IEEE] 2026-8-24 | Automatic Test Case Generation Method by Structuring Specification Documents Using LLM
[IEEE] 2026-8-24 | A Geometric Kernel-Driven Model for Thermal Anisotropy Simulation by Accounting for Component Temperatures Over Sparse Tree-Covered Surfaces (GTTA-Sparse)
[IEEE] 2026-8-24 | TrustTrace: Provenance-Aware Tracing of Indirect Prompt Injection Propagation in LLM-Assisted Learning Workflows
[IEEE] 2026-8-24 | Efficient Consensus-Time-Free Decentralized Multi-Verifiers Auditing Based on Blockchain and Secret Sharing for Vehicle Digital Twins
[IEEE] 2026-8-24 | Large Language Model for Suicide Ideation Detection in Social Media: A QloRA-Based Optimization of Qwen2.5-7B
[IEEE] 2026-8-24 | Explainable Vision-Language Feature Learning for Autism Spectrum Disorder Screening
[IEEE] 2026-8-24 | Data-Driven Spectral Weight Estimation for Interpretable RGB Reconstruction from RCCG Sensors
[IEEE] 2026-8-24 | Lightweight Multi-Scale AI for Small Aerial Target Recognition Using Micro-Doppler Signatures
[IEEE] 2026-8-24 | A Study on Randomness of Sequences by Shuffle Operations for Logistic Map and Linear Congruential Generator
[IEEE] 2026-8-24 | Harnessing Dual-Role Context: A Noise-Suppressed Framework for Hybrid Human-AI Text Detection
[IEEE] 2026-8-24 | Message From General Chairs of CISOSE 2026
[IEEE] 2026-8-24 | Digital Transformation and Public Value Creation: A Bibliometric Analysis
[IEEE] 2026-8-24 | Photovoltaic Power Forecasting Based on a COA-CNN-iTransformer-LSTM Hybrid Model
[IEEE] 2026-8-24 | Upcoming Special Conference Issues
[IEEE] 2026-8-24 | Reconfigurable Microstrip Antenna with Switchable Materials for Biomedical Sensing Applications in Millimeter-Wave and Sub-Terahertz Bands
[IEEE] 2026-8-24 | Experimental Evaluation and Dataset Acquisition for Real-Time SLAM in Indoor and Outdoor Environments Using ROS 2
[IEEE] 2026-8-24 | Lightweight Stereo Depth Evaluation Under Small-Baseline Domain Shift for Indoor Robotics
[IEEE] 2026-8-24 | Deep Learning–Based Image Super-Resolution for Medical Imaging
[IEEE] 2026-8-24 | From Concepts to Meals: Personalized Dietary Recommendation Via Concept-Cognitive Learning and Multi-Objective Optimization
[IEEE] 2026-8-24 | A Machine Learning-Based Method for Open-Circuit Fault Detection in Modular Multilevel Converters Using Output Current Features
[IEEE] 2026-8-24 | Recent Developments in Space-Time-Coded Direct Antenna Modulation-Enabled Radar Sensing and Communications
[IEEE] 2026-8-24 | Modeling of a multi-section transformer for a modular high-voltage DC–DC converter
[IEEE] 2026-8-24 | A GIS and Machine Learning Based Framework for Flood Risk Prediction and Dynamic Evacuation Routing in Chennai
[IEEE] 2026-8-24 | Software Physics: Conservation Laws for Safe Agentic AI-Driven Code Evolution
[IEEE] 2026-8-24 | A CNN–Transformer Hybrid Model for Early Breast Cancer Detection from Mammograms
[IEEE] 2026-8-24 | Hybrid Navigation Framework with Computer Vision and GPS for Visually Impaired Users
[IEEE] 2026-8-24 | A Voltage-Control Architecture for 2-Bit Reconfigurable Intelligent Surfaces in the Sub-6 GHz Band
[IEEE] 2026-8-24 | Flat-Earth Model Accuracy for Turbulence Effects in Optical Space-Ground Links
[IEEE] 2026-8-24 | Open-Set Multi-Label Automatic Modulation Classification for Overlapping Radio Frequency Digital Communications
[IEEE] 2026-8-24 | Angular Free-Positioning Wireless Power Transfer Using Bipolar Diagonailized Transmitting Coil Structure
[IEEE] 2026-8-24 | FireSight: Low-False-Alarm RGB Forest-Fire Detection Via Dual-Stream Texture Cues and Consistency Regularization
[IEEE] 2026-8-24 | TLC-RAG: A Plain Text RAG Method Based on Triples and Logic Chains
[IEEE] 2026-8-24 | System Implementation of Driver Drowsiness Detection using Eye Tracking
[IEEE] 2026-8-24 | Whispers of Wealth: A Systematic Red-Teaming Study of the Agent Payments Protocol (AP2)
[IEEE] 2026-8-24 | High-Performance INT8 Deep SNN Hardware Accelerator for MS-ResNet
[IEEE] 2026-8-24 | A Low-Parameter Spike-Mechanism and Self-Attention Accelerator for Spiking Transformers on Edge Devices
[IEEE] 2026-8-24 | Neurodynamic Approach With Dissipation-Momentum Conservation for Distributed Optimization of Second-Order Multiagent Systems
[IEEE] 2026-8-24 | A Comparative Analysis of RNN, LSTM, and GRU for Text-Based Depression Detection
[IEEE] 2026-8-24 | A Local Middleware for Privacy-Preserving LLM Inference via Reversible Entity Substitution
[IEEE] 2026-8-24 | Practical Prescribed-Time Tracking Control for Jump Systems with Application to Noise Rejection in Secure Audio Communication
[IEEE] 2026-8-24 | 2026 International Conference on Intelligent Multimedia, Networking, and Security (IMNS)
[IEEE] 2026-8-24 | Trends Insights and Advanced AI Approaches for Delay Propagation and Status Transition in Aviation Networks
[IEEE] 2026-8-24 | MambaFloodLite: A Low-Parameter Mamba-Based Network for Flood Area Segmentation
[IEEE] 2026-8-24 | Cross-Institutional Validation of Lung Cancer Subtyping using Transfer Learning and UNI2-h-based Multiple Instance Learning
[IEEE] 2026-8-24 | A Dual-Teacher Knowledge Distillation Framework with Differentiable Rule Prior Integration for Automotive Cybersecurity Detection
[IEEE] 2026-8-24 | Dual-Prior Generative Augmentation for Few-Shot Specific Emitter Identification
[IEEE] 2026-8-24 | Evolutionary Algorithms for Dynamic Vehicle Routing in Last-Mile Delivery: A Survey of Real-Time Adaptation, Fleet Heterogeneity, and Multi-Depot Optimization
[IEEE] 2026-8-24 | Understanding Engineering Challenges in AI Agent Frameworks for Software Development: An Empirical Study of GitHub Issues
[IEEE] 2026-8-24 | LLM-supported 3D Modeling Tool for Radio Radiance Field Reconstruction
[IEEE] 2026-8-24 | Pedestrian Flow Design and Evaluation for Large-Scale Outdoor Events Using Location Data
[IEEE] 2026-8-24 | Frequency Nonlinearity Compensation of FM Lidar System Using Hilbert Transform and Interpolation Resampling
[IEEE] 2026-8-24 | Deep Learning-based Wearable IoT Health Monitoring System for Real-Time ECG and SpO
                    <sub>2</sub>
                    Abnormality Detection
[IEEE] 2026-8-24 | A Generalized Planar Winding Arrangement Method for CM Noise Suppression in LLC Converter
[ACM] 2026-8-24 | Do motion retargeting and AI-generated motion preserve anticipatory visual information in boxing animation?
[ACM] 2026-8-24 | Deictic and Communicative Behavior Changes with Switching-Based Multi-Hand Avatars in Collaborative VR
[ACM] 2026-8-24 | What Makes Virtual Experiences Meaningful? Individual and Experiential Factors in Virtual Heritage Experience
[IEEE] 2026-8-24 | Achievable Rates of Coded NOMA with Finite-Alphabet Inputs and Suboptimal Detection
[IEEE] 2026-8-24 | Constrained Stabilization on the n-Sphere with Conic and Star-shaped Constraints
[IEEE] 2026-8-24 | A Low-Cost Noncontact Vital Sign Monitoring and Fall Detection System Using mmWave Radar and YOLO-Based Edge Artificial Intelligence
[IEEE] 2026-8-24 | Structurally Optimal Sensing-Slot Placement for TD-ISAC in NR-V2X Mode 2
[IEEE] 2026-8-24 | Secure Decentralized Federated Learning: A Two-Layer Blockchain Framework with Economic Accountability
[IEEE] 2026-8-24 | ClockFed: A Decentralized Federated Learning Based on Chord Ring with Dominant Class Clustering
