[2026-07-01 12:09:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-30
正在获取论文...
[arXiv] 2026-06-30 | Contrastive Regularization of Machine Learning Potentials
[arXiv] 2026-06-30 | ACE: Pluggable Adaptive Context Elasticizer across Agents
[arXiv] 2026-06-30 | Spin-related transport in a polycrystalline NiCo2O4 film: Drastic current-induced change in resistivity-temperature characteristics via spin injection
[arXiv] 2026-06-30 | The Dynamics of Quantum Gravity: the Missing Piece in the Spacetime Emergentist Account
[arXiv] 2026-06-30 | Design Principles for Quasi-Isotropic Exchange in Rare-Earth Quantum Magnets
[arXiv] 2026-06-30 | AugSplat: Radiance Field-Informed Gaussian Splatting for Sparse-View Settings
[arXiv] 2026-06-30 | Improving multichannel speech enhancement through accurate room-acoustic simulations
[arXiv] 2026-06-30 | AutoTrainess: Teaching Language Models to Improve Language Models Autonomously
[arXiv] 2026-06-30 | Tracing Cold Gas in Absorption Across Cosmic Time with the SKA
[arXiv] 2026-06-30 | The classification of real quadratic fields which satisfy Hammarhjelm's condition
[arXiv] 2026-06-30 | The FAST All Sky HI Survey DR2: the FASHI Catalog and the HI Mass Function
[arXiv] 2026-06-30 | Machine Learning based Optimization of CV-QKD Under Practical Constraints
[arXiv] 2026-06-30 | Probing globular clusters parameters through gravitational wave lensing with stellar-mass black hole binaries
[arXiv] 2026-06-30 | Nonlinear Schrödinger equations: Symmetries, superposition, and classicality from a Bohmian perspective
[arXiv] 2026-06-30 | The metallicities of little red dot host galaxies: LRDs are metal poor, but not pristine
[arXiv] 2026-06-30 | Local Minimum of Spin-Sector Magic at the CP-Conserving Point in Low-Energy Neutron-Proton Scattering
[arXiv] 2026-06-30 | Non-Uniqueness for Nonlinear Fokker--Planck Equations and Their Associated Distribution-Dependent SDEs
[arXiv] 2026-06-30 | Latency-Sensitive 5G RAN Slicing for Deterministic Aperiodic Traffic in Smart Manufacturing
[arXiv] 2026-06-30 | Governance Gaps in Agent Interoperability Protocols: What MCP, A2A, and ACP Cannot Express
[arXiv] 2026-06-30 | HVPNet: A Bio-Inspired Network for General Salient and Camouflaged Object Detection
[arXiv] 2026-06-30 | Robustness of Robotic Manipulation: Foundations and Frontiers
[arXiv] 2026-06-30 | Scattering of wobbling vortices
[arXiv] 2026-06-30 | DrivingDepth: Sparse-Prompted Pixel-wise Scale Correction for Driving Depth Estimation
[arXiv] 2026-06-30 | Team MKC at CLPsych 2026: Capturing and Characterizing Mental Health Changes through Social Media Timeline Dynamics
[arXiv] 2026-06-30 | CSTrader: A Testbed for Language-Grounded Trading in a Community-Driven Virtual Asset Market
[arXiv] 2026-06-30 | Learning Fair Allocation of Indivisible Items from Limited Feedback
[arXiv] 2026-06-30 | Discrete time-multidimensional renewal theory and applications
[arXiv] 2026-06-30 | Towards a foundational model for recognising diastematic Gregorian notation
[arXiv] 2026-06-30 | Contextual Slate GLM Bandits with Limited Adaptivity
[arXiv] 2026-06-30 | Temporal Training Strategies for Left Atrium and Left Atrial Appendage Segmentation in Dynamic Contrast 4DCT
[arXiv] 2026-06-30 | Plasmonic-cavity Modulator for the Mid-IR with a Semi-transparent and Nonlinear Heavily-doped Semiconductor Mirror
[arXiv] 2026-06-30 | Strong Evidence for Three-$α$ Clustering in the Ground State of $^{12}\mathrm{C}$
[arXiv] 2026-06-30 | Exponential rate of convergence of relative value iteration algorithms for ergodic controls of diffusions
[arXiv] 2026-06-30 | The limits of erasure-based postselection for quantum error mitigation
[arXiv] 2026-06-30 | Critical Lin-Lunin-Maldacena geometries
[arXiv] 2026-06-30 | Ask the World Before Acting: Budgeted Environment Probing for World-Model Calibration
[arXiv] 2026-06-30 | Fully compensated ferrimagnetic triferroics and multistate transport in hidden-phase wurtzite MnSe monolayer
[arXiv] 2026-06-30 | When one protocol fits none: Self-organized network routing through evolutionary game dynamics
[arXiv] 2026-06-30 | ComplianceGate: Classifier-Gated Multi-Tier LLM Routing for Inference in Regulated Industries
[arXiv] 2026-06-30 | A consistent-splitting generalized scalar auxiliary variable scheme for the perturbed Boussinesq system
[arXiv] 2026-06-30 | Peak Sidelobe Suppression in Planar Fluid Antenna Array
[arXiv] 2026-06-30 | PruneGround: Plug-and-play Spatial Pruning for 3D Visual Grounding
[arXiv] 2026-06-30 | Augmenting airline networks using airside-to-airside buses to strengthen system resilience under disruptions
[arXiv] 2026-06-30 | Fluid-Antenna-Aided Active User Detection With 1D-CNN Channel Reconstruction for Unsourced Random Access
[arXiv] 2026-06-30 | FROST: Training-Free Few-Shot Segmentation with Frozen Features and Nonparametric Statistics
[arXiv] 2026-06-30 | MSNN-LINet: Cross-Modal Learning via Continuous Linear Integration
[arXiv] 2026-06-30 | Scenario Generation for Testing of Autonomous Driving Systems Using Real-World Failure Records
[arXiv] 2026-06-30 | SkillSpotter: Pose-Aware Multi-View Skilled Action Detection and Grading in Ego-Exo Videos
[arXiv] 2026-06-30 | Radical-Fragment Many-Body Expansion for Linear Alkane Quantum Chemistry
[arXiv] 2026-06-30 | On the Kalb-Ramond modified Lorentz violating hairy black holes and Thorne's hoop conjecture
[arXiv] 2026-06-30 | Nonclassicality of a delayed remote-controlled quantum computing model
[arXiv] 2026-06-30 | PiLoT v2: Pixel-to-Orthogonal Map Alignment for Free-view UAV Geo-localization
[arXiv] 2026-06-30 | Censored broken adaptive ridge rank regression via induced smoothing
[arXiv] 2026-06-30 | Anchoring on Reality: Breaking the Pseudo-Target Ceiling in Makeup Transfer
[arXiv] 2026-06-30 | Towards Flexible, Natural, Efficient Interaction for Conversational Talking Face Generation
[arXiv] 2026-06-30 | Accelerating Merge with Motion Vector Difference via Filter Difference Analysis for VVenC
[arXiv] 2026-06-30 | Beyond But-for Test: Counterfactual Explanation in Abstract Argumentation via Actual Causality (Extended Version)
[arXiv] 2026-06-30 | An overview of the geometry of Kottwitz-Viehmann varieties
[arXiv] 2026-06-30 | Secure-CHG: A Comprehensive Framework for Robust and Fair Federated Learning via Hybrid Defense and Contribution-Aware Trust
[arXiv] 2026-06-30 | Generalised quantum interference
[arXiv] 2026-06-30 | Phase space quantization of anisotropic cosmologies: Taub and Kantowski-Sachs models
[arXiv] 2026-06-30 | Hidden ordered compound-layer and its tailoring of the electronic/optical property in Ge2Sb2SexTe5-x alloys
[arXiv] 2026-06-30 | OpenLife: Toward Open-World Artificial Life with Autonomous LLM Agents
[arXiv] 2026-06-30 | Nonlinear Landau Collisions Without Collision Tensors
[arXiv] 2026-06-30 | Optimal-Time Contextual Pattern Matching in Compressed Space
[arXiv] 2026-06-30 | Tunable Extended Magnetic Non-Fermi Liquid in Graphene Moiré Heterostructures
[arXiv] 2026-06-30 | Formation and evolution pathways of planets. I. Comparison between theory and observations
[arXiv] 2026-06-30 | The invariance principle for inhomogeneous Diophantine approximations
[arXiv] 2026-06-30 | Auditing Generalization in AI-Generated Video Detection: A Six-Control Protocol and the VidAudit Toolkit
[arXiv] 2026-06-30 | Distributional results for the shortest distance between trajectories of different dynamics
[arXiv] 2026-06-30 | Multistage Defer Trees for Hybrid Interpretability: If at First You Can't Succeed, Tree Again
[arXiv] 2026-06-30 | Rate-Splitting Multiple Access Enabled Probabilistic Semantic Communication in UAV Networks
[arXiv] 2026-06-30 | EnclaveX: End-to-End Confidential AI with CPU/GPU TEEs
[arXiv] 2026-06-30 | On the trilinear and Ginzburg-Rallis models
[arXiv] 2026-06-30 | Boosting Water Maser Studies in AGN with the SKA
[arXiv] 2026-06-30 | World-Model Collapse as a Phase Transition
[arXiv] 2026-06-30 | Image of Regular Unipotent under a Representation of $\mathrm{GL}_3(\mathbb{C})$
[arXiv] 2026-06-30 | ReGRPO: Reflection-Augmented Policy Optimization for Tool-Using Agents
[arXiv] 2026-06-30 | Signature-Based Optimal Execution for Statistical Arbitrage with Path-Dependent Trading Signals
[arXiv] 2026-06-30 | Revisiting Parameter Redundancy in Vision-Language-Action Models: Insights from VLM-to-VLA Adaptation
[arXiv] 2026-06-30 | Measurement of $J/ψ$-jet correlations in $pp$ and Pb+Pb collisions at $\sqrt{s_{\text{NN}}}=5.02$ TeV with the ATLAS detector
[arXiv] 2026-06-30 | Witness Complexity of Short Descriptions: A Cryptographic Perspective
[arXiv] 2026-06-30 | Photon Statistics from Yb3+-Doped CsPbCl3 are Inconsistent with Quantum Cutting
[arXiv] 2026-06-30 | Ultrafast magnetization induced by linearly polarized pulses is widespread in nonmagnetic semiconductors
[arXiv] 2026-06-30 | On the Finiteness of Geometric Representations for Varieties over Finite Fields
[arXiv] 2026-06-30 | Beyond Binary Instrument QA: Probing Instrument Grounding in Music Audio-Language Models
[arXiv] 2026-06-30 | Bridging Video Understanding and Generation in a Unified Framework
[arXiv] 2026-06-30 | LOPA: Enhancing Spoken Language Assessment via Latent Ordinal Prototype Alignment
[arXiv] 2026-06-30 | A parametric signal plus noise inference framework for short duration non-Gaussian noise transients
[arXiv] 2026-06-30 | Phonon-induced pseudogap phase in TiSe$_2$
[arXiv] 2026-06-30 | Patch-PODiff-ViT: Structured Latent Diffusion with Patchwise POD for Super-Resolution and Uncertainty Quantification
[arXiv] 2026-06-30 | Spatial Reasoning via Modality Switching Between Language and Symbolic Representation
[arXiv] 2026-06-30 | Lagrangian velocity statistics of homogeneous isotropic turbulence in dilute polymer solutions
[arXiv] 2026-06-30 | The HST/WFC3 Transmission Spectrum of AU Mic b Part I: An Atmosphere Obscured by Contamination and Systematics
[arXiv] 2026-06-30 | Fragility of stealth solutions in mimetic gravity
[arXiv] 2026-06-30 | Boundaries in the Instantaneous Formulation of Field Theories
[arXiv] 2026-06-30 | Thermal rectification due to phonon confinement in nanoparticles
[arXiv] 2026-06-30 | Plan Right, Then Plan Tight: Symbolic RL for Efficient Embodied Reasoning
[arXiv] 2026-06-30 | Nonlinear subwavelength resonances and bound states in the continuum in metascreens
[arXiv] 2026-06-30 | Some closed manifolds that do not fibre over the circle
[arXiv] 2026-06-30 | Scaling Storm-Resolving Atmospheric AI Simulation to the Entire Planet
[arXiv] 2026-06-30 | Higher-order exponential Runge-Kutta Galerkin finite element method for semilinear parabolic problems with nonsmooth data
[arXiv] 2026-06-30 | ForgeDrive: Bidirectional Cross-Conditioning for Unified Visual-Action Generation in Autonomous Driving
[arXiv] 2026-06-30 | On the exponential Diophantine equation $(a^n+1)(b^n+1)=x^2$
[arXiv] 2026-06-30 | Generic dense free subgroups of the isometry group of the Urysohn space are NSS
[arXiv] 2026-06-30 | Efficient Computation Of Sensitivities For Derivatives In Energy Markets
[arXiv] 2026-06-30 | FeatX: Editing Software by Editing Features for Repository-Level Code Evolution
[arXiv] 2026-06-30 | Incentivizing Data Trading via Profit Reallocation
[arXiv] 2026-06-30 | Agentic RAG-VLM: Affordance-Aware Retrieval-Augmented Generation with Self-Reflective Planning for Robotic Grasping
[arXiv] 2026-06-30 | Diffusion-based 4D Trajectory Prediction and Distributed Control for UAV Swarms
[arXiv] 2026-06-30 | Formation and Eruption of Filament Channel in Solar Active Region 12975: Insights from Observations and Simulations of Magnetic Field Evolution
[arXiv] 2026-06-30 | Universal geometry as an organising principle for heterotic moduli
[arXiv] 2026-06-30 | ISM:Self-Improving Strategy Memory for Continual Mathematical Reasoning
[arXiv] 2026-06-30 | Learning to Deny: Action Denial in Multimodal Large Language Models
[arXiv] 2026-06-30 | Fock-Space Formulation of the Lifetime of a Unicellular Organism
[arXiv] 2026-06-30 | Cosmological Stealth fields and Non-Equilibrium thermodynamics
[arXiv] 2026-06-30 | GaussianMap: Learning Gaussian Representation for Multi-Sensor Online HD Map Construction
[arXiv] 2026-06-30 | Evidence for differential kinetic freeze-out of the $φ(1020)$ meson in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 2.76$ TeV
[arXiv] 2026-06-30 | RAISE: LLM-based Automated Heuristic Design with Robust Adversary Instance Search
[arXiv] 2026-06-30 | Test Management and Coordination During the Vera C. Rubin Observatory Commissioning and Early Operations Using Zephyr Scale
[arXiv] 2026-06-30 | Modeling of the diffuse background produced by the Vera C. Rubin Observatory M2 baffle scattered light
[arXiv] 2026-06-30 | Pressure for the space of average pseudo-orbits with block sub-additive potentials
[arXiv] 2026-06-30 | Kinetic derivation of thermal viscous models for nematic liquid crystal dynamics
[arXiv] 2026-06-30 | Emergent Local Phase-Space Scaling in Small-x Gluon Evolution
[arXiv] 2026-06-30 | Addressing Over-Refusal in LLMs with Competing Rewards
[arXiv] 2026-06-30 | A Conversational Agentic Interface to Physics-Based Household Digital Twins for Residential Energy Decision Support
[arXiv] 2026-06-30 | Spatially Coupled Sparse Code Multiple Access (SC-SCMA): A Spectral Graph Approach
[arXiv] 2026-06-30 | Electric Field Attenuation Techniques for Inductive Wireless Charging of Medical Implants
[arXiv] 2026-06-30 | Dynamic Scheduling for Flexible Manufacturing Systems Based on Multi-Agent Deep Reinforcement Learning and Petri Nets
[arXiv] 2026-06-30 | Prime spectrum and representations of the super Jordan plane
[arXiv] 2026-06-30 | Entangled photons from para-positronium decay: Do coincidences from scattered photons imply a Bell state?
[arXiv] 2026-06-30 | Boosted Optomechanics with a Fluid of Nonlinear Polaritons
[arXiv] 2026-06-30 | Chemo-dynamical Analysis of Eight UBC Open Clusters
[arXiv] 2026-06-30 | Collinearly Improved Balitsky-Kovchegov Evolution of the Gluon Wigner Distribution
[arXiv] 2026-06-30 | Notes from the Physics Teaching Lab: Rubidium Atomic Spectroscopy
[arXiv] 2026-06-30 | Intrinsically Stable Spiking Neural Networks: Overcoming the Performance Barrier in the Absence of Batch Normalization
[arXiv] 2026-06-30 | ScratchWorld: Evaluating If World Models Compute Executable Consequences
[arXiv] 2026-06-30 | Histogram-constrained Image Generation
[arXiv] 2026-06-30 | Existence of non-radial entire solutions for the Hénon equation beyond even exponents
[arXiv] 2026-06-30 | Sparsity-Inducing Divergence Losses for Biometric Verification
[arXiv] 2026-06-30 | FaceMoE: Mixture of Experts for Low-Resolution Face Recognition
[arXiv] 2026-06-30 | SpheRoPE: Zero-Shot Optimization-Free 360 Panorama Generation with Spherical RoPE
[arXiv] 2026-06-30 | When LLMs Read Tables Carelessly: Measuring and Reducing Data Referencing Errors
[arXiv] 2026-06-30 | Freeform Preference Learning for Robotic Manipulation
[arXiv] 2026-06-30 | CoMet: Context and Multiplicity Decomposition for Multimodal Uncertainty Estimation
[arXiv] 2026-06-30 | AxDafny: Agentic Verified Code Generation in Dafny
[arXiv] 2026-06-30 | Radiation-pressure instability is an artifact of constant-$α$ closure
[arXiv] 2026-06-30 | BMPV black hole at first order in $α'$
[arXiv] 2026-06-30 | Clean Me If You Can: A Large Collection of Real-World Addresses for Data Cleaning Benchmarking
[arXiv] 2026-06-30 | Planar-SfM: Camera Pose Estimation via Homography Graph Embeddings
[arXiv] 2026-06-30 | COSMOS-Web: does halo mass alone shape the clustering of star-forming and quiescent galaxies?
[arXiv] 2026-06-30 | Reheating in No-Scale Models of Inflation
[arXiv] 2026-06-30 | Payment Process Estimation in Aggregated Insurance Models
[arXiv] 2026-06-30 | LuxEmo: Expressive Text-to-Speech Corpus for Luxembourgish
[arXiv] 2026-06-30 | World Narrative Model for Highly Controllable Video Generation: A Paradigm Shift from Pixel Sampling to Physical World Orchestration
[arXiv] 2026-06-30 | EKOR and BT stratifications for basic unramified $\mathrm{GU}(1,n-1)$ Rapoport-Zink spaces
[arXiv] 2026-06-30 | InstanceControl: Controllable Complex Image Generation without Instance Labeling
[arXiv] 2026-06-30 | Unveiling the Cosmic Dawn with SHARP: Probing extended Lyman-$α$ nebulae in a Universe less than 600 Myr old
[arXiv] 2026-06-30 | Accelerating Conformal Prediction via Approximate Leave-One-Out
[arXiv] 2026-06-30 | Is There An Ideal Color Wheel?
[arXiv] 2026-06-30 | Non-finite Axiomatizability of Generalized Medvedev Logics
[arXiv] 2026-06-30 | Uniform Lyndon Interpolation via Non-wellfounded Proofs
[arXiv] 2026-06-30 | Improving path-tracking performance of an articulated tractor-trailer system using a non-linear kinematic model
[arXiv] 2026-06-30 | Uniform Interpolation of Basic Tense Logic
[arXiv] 2026-06-30 | Analytic Cut in Epistemic Logics with Distributed Knowledge
[arXiv] 2026-06-30 | Pointed Modal Abelian Logic, Algebraically
[arXiv] 2026-06-30 | Tight bounds for clique-packing parameterized by clique-width
[arXiv] 2026-06-30 | On Interpretations of Normal Modal Logics
[arXiv] 2026-06-30 | Eigenvalue optimization via a first-variation formula
[arXiv] 2026-06-30 | Labelled Sequents for Inquisitive First-Order Modal Logic
[arXiv] 2026-06-30 | Labelled Sequent Calculi for Propositional Team Logics
[arXiv] 2026-06-30 | Coequivalence Relations and Descent in Modal Logic
[arXiv] 2026-06-30 | Explicit Fuzzy Logic in the Feed-Forward Layer: Self-Forgetting Quantifiers Discover Legible Grammatical-Licensing Detectors
[arXiv] 2026-06-30 | Distance to Sh2-106 from Gaia DR3 and its embedded radio population: implications for a candidate explosive outflow
[arXiv] 2026-06-30 | A technical report on the surface-energy and morphology-based screening for electrode/electrolyte interface compatibility in SOFC/ReSOC materials
[arXiv] 2026-06-30 | Adaptive Cluster-First Route-Second Decomposition for Industrial-Scale Vehicle Routing
[arXiv] 2026-06-30 | Creating Intelligence: A Computational Foundation for AGI
[arXiv] 2026-06-30 | Design and Performance of the Carruthers Geocoronal Imager
[arXiv] 2026-06-30 | The exceptional origin of the strange metal and the LFL-HFL transition
[arXiv] 2026-06-30 | Prior-informed conditional Gaussian graphical models: an application to protein interaction network reconstruction
[arXiv] 2026-06-30 | Relational and Sequential Conformal Inference for Energy Time Series over Graphs via Foundation Models
[arXiv] 2026-06-30 | The sharp diagonal spectral correlation inequality on the discrete cube
[arXiv] 2026-06-30 | Adapting Generalist Robot Policies with Semantic Reinforcement Learning
[arXiv] 2026-06-30 | An error analysis of discrete Kirchhoff elements
[arXiv] 2026-06-30 | Plasmon-Enabled High-Precision Single Molecule Localization Microscopy over an Extended Field of View
[arXiv] 2026-06-30 | The Geometry of Statistical Feature Learning in Mean-Field Langevin Dynamics
[arXiv] 2026-06-30 | On the canonical degree of a Gorenstein minimal threefold of general type
[arXiv] 2026-06-30 | Energetics of non-Gaussianity in single mode cavities
[arXiv] 2026-06-30 | Complementary Probes of Light Higgsinos: Electroweak Precision Measurements and Dark Matter Direct Detection
[arXiv] 2026-06-30 | Investigation of the $J_1$-$J_2$ Heisenberg model on the triangular lattice: A study with projected entangled-pair states
[arXiv] 2026-06-30 | Online TT-ALS for Streaming Tensor Decomposition with Incremental Orthogonalization
[arXiv] 2026-06-30 | Random generation of the special linear Lie algebra over finite fields
[arXiv] 2026-06-30 | Think While You Map: Asynchronous Vision-Language Agents for Incremental 3D Scene Graphs
[arXiv] 2026-06-30 | An Empirical Study of Security Calibration in Large Language Models for Code
[arXiv] 2026-06-30 | FormIDEAble: Safe and Socially-aware Autonomous Systems
[arXiv] 2026-06-30 | CLOUDADV: Decision-Aligned Instance Sizing with Zero-Shot Foundation Models under Drift
[arXiv] 2026-06-30 | Recovery operators in quasi-Nelson logic: the prelinear case
[arXiv] 2026-06-30 | Unresolved-Sideband Optomechanics with Hexagonal Boron Nitride: Induced Transparency, Gain, and Frequency Combs
[arXiv] 2026-06-30 | PriorEye: Geospatial Visual Priors for End-to-End Autonomous Driving
[arXiv] 2026-06-30 | When Reranking Hurts: Uncertainty-Based Gating for Few-Shot Reranking
[arXiv] 2026-06-30 | The location of the upper edge of the pair-instability supernovae black hole mass gap
[arXiv] 2026-06-30 | A Quantum Collocation Approach to One-Dimensional Boundary Value Problems with Coherent Amplitude Amplification
[arXiv] 2026-06-30 | Resourcefulness without Resource: Geometric Origins and Robustness
[arXiv] 2026-06-30 | A Coalitional Stable and Fair Reward Allocation for Dynamic Virtual Power Plants
[arXiv] 2026-06-30 | Galaxy bias renormalization: Two-loop Power Spectrum, One-loop Trispectrum and Bispectrum
[arXiv] 2026-06-30 | Information-Aided DVL Calibration
[arXiv] 2026-06-30 | Ornstein--Uhlenbeck semigroup on rooted trees
[arXiv] 2026-06-30 | The sharp threshold for rainbow stackings of random edge-colourings
[arXiv] 2026-06-30 | Cosmological Viability of Exponential Infrared $f(T)$ Gravity
[arXiv] 2026-06-30 | Anomalous Hall Effect Driven by Chiral Superconductivity
[arXiv] 2026-06-30 | Pauli Weight Hamiltonian Term Selection for Optimized Machine Learning Based Quantum Error Mitigation
[arXiv] 2026-06-30 | Unveiling Radio Transients with SKAO Telescopes
[arXiv] 2026-06-30 | List-Coloring and Chromatic-Choosability -- A Dynamic Survey
[arXiv] 2026-06-30 | Can Tabular In-Context Learners Generalize to Biomolecular Property Prediction?
[arXiv] 2026-06-30 | Visual Semantic Entropy: Do Vision Language Models Recognize Visual Ambiguity?
[arXiv] 2026-06-30 | Wisdom Of The (AI) Crowd: Investigating Artificial Swarm Intelligence In Large Language Models
[arXiv] 2026-06-30 | Transformer-Hypernetwork-Controlled Deep-Unfolded Phase-Aware Channel Estimation Refinement for Phase-Drift-Robust Backscatter Links
[arXiv] 2026-06-30 | Radial Transform Extremality for the Siblings of the Coupon Collector
[arXiv] 2026-06-30 | One Video, One World: Turning Monocular Video into Physical 4D Scenes
[arXiv] 2026-06-30 | Charged pseudoscalar mesons in a strong magnetic field under the Weinberg model
[arXiv] 2026-06-30 | Continuous-Time Decentralized Online Estimation With Additive Noises
[arXiv] 2026-06-30 | MS-Resampler: Multi-Scope Visual Resampling for Efficient Multimodal LLMs
[arXiv] 2026-06-30 | Improving Efficiency of Regression Analyses by Integrating Data from Population-Representative Surveys: A Model-Assisted Calibration Approach
[arXiv] 2026-06-30 | Stage-Transition Dense Reward Modeling for Reinforcement Learning
[arXiv] 2026-06-30 | Ultrafast Fluence-Reversal Fingerprint of Fragile Kondo Hybridization in CePt$_2$In$_7$
[arXiv] 2026-06-30 | Mutating the "Immutable": A Large-Scale Study of Git Tag Alterations
[arXiv] 2026-06-30 | Dualformer: Efficient Feature Extractor for Complex-valued Blind Communication Signal Analysis
[arXiv] 2026-06-30 | A Quantum-Classical Surrogate Model for the Collision Operator of the Lattice Boltzmann Method
[arXiv] 2026-06-30 | Compactness Inference in Gravitational-Wave Mergers with PhenomDECO: Catalog Benchmarks and Robustness Diagnostics
[arXiv] 2026-06-30 | Automated High-Precision Extraction and Forensic Verification of Data-Bearing Vector Figures
[arXiv] 2026-06-30 | Scenario-conditioned flow matching for probabilistic generation of three-component ground-motion waveforms
[arXiv] 2026-06-30 | Fundamentals of Optical Fiber Sensing Schemes Based on Coherent Optical Time Domain Reflectometry: Signal Under Dynamic Temperature Conditions
[arXiv] 2026-06-30 | Optimization Algorithms for Joint OFDM Waveform Design and RIS Configuration in 6G Networks: From Convex Relaxation to Foundation Models
[arXiv] 2026-06-30 | Expected Gain-based Escalation in Vertical Federated Learning
[arXiv] 2026-06-30 | 3D HAMSTER: Bridging Planning and Control in Hierarchical Vision Language Action Models through 3D Trajectory Guidance
[arXiv] 2026-06-30 | Relativistic magnetohydrodynamics from kinetic theory
[arXiv] 2026-06-30 | HistoriQA-ThirdRepublic: Multi-Hop Question Answering Corpus for Historical Research, Parliamentary Debates from the French Third Republic (1870-1940)
[arXiv] 2026-06-30 | Analytic index theory and spectral flow in real Hilbert $C^*$-modules
[arXiv] 2026-06-30 | Full-Wave Green's-Function Modeling of Collective Single-Photon Emission in Non-Markovian Open-System QED with Finite-Bandwidth Compensation of Dispersive Interactions
[arXiv] 2026-06-30 | From Idea to Prototype in an Afternoon: Scaffolded, AI-Assisted Rapid VA Prototyping
[arXiv] 2026-06-30 | Non-linear Stegall's lemma and general Hamilton-Jacobi-Bellman equations on Wasserstein spaces
[arXiv] 2026-06-30 | Multivariate majorization of continuous statistical experiments
[arXiv] 2026-06-30 | Deep Spectral Models for Robust Dental Shape Generation
[arXiv] 2026-06-30 | AtomiMed: Hierarchical Atomic Fact-Checking for Universal Clinical-Aware Medical Report Evaluation
[arXiv] 2026-06-30 | Heat kernel lower bound estimates for symmetric pure jump processes via averaged jump kernels
[arXiv] 2026-06-30 | Revisiting the Volume Hypothesis
[arXiv] 2026-06-30 | CLIMB: Centroid-Based Hierarchical Memory for Online Continual Self-Supervised Learning
[arXiv] 2026-06-30 | Orientation-tunable correlated Chern insulating states in chiral twisted double bilayer graphene proximitized by WSe2
[arXiv] 2026-06-30 | Several classes of permutation pentanomials
[arXiv] 2026-06-30 | WarpHammer: Densifying Scene Warps with 3D Object Priors for Extreme View Synthesis
[arXiv] 2026-06-30 | Regime-Conditional Distributional Comparison of Trading Strategies: A GAMLSS/ZAGA Framework Applied to the S&P 500
[arXiv] 2026-06-30 | Probing Stylistic Appropriation using Large Language Models: An Evaluation Framework for Copyright Infringement under EU Law
[arXiv] 2026-06-30 | A lower bound for the Rouquier dimension of derived categories over commutative rings
[arXiv] 2026-06-30 | Quantitative description of cognitive fatigue in repetitive monotonous tasks
[arXiv] 2026-06-30 | Generic ill-posedness for Schrödinger equation with power-type nonlinearity on $\mathbb{S}^2$
[arXiv] 2026-06-30 | Can LLMs Imagine Moral Alternatives Beyond Binary Dilemmas?
[arXiv] 2026-06-30 | AC3S: Adaptive Conditioning for 3D-Aware Synthetic Data Generation
[arXiv] 2026-06-30 | Nonlinear modeling of the scaling law for the m/n=3/2 error field penetration threshold
[arXiv] 2026-06-30 | Exclusion of Infinite Spin for N-body problem in $\mathbb{R}^d$
[arXiv] 2026-06-30 | Semiparametric Efficiency in Sequential Experiments: Characterization and Design via Average Propensity
[arXiv] 2026-06-30 | Gated Multi-Graph Fusion via Graph Attention Networks for Alzheimer's Disease Detection
[arXiv] 2026-06-30 | Group Theoretic Constructions of Singular Set in a Long Range Segregation Model
[arXiv] 2026-06-30 | AETDICE: Unified Framework and Offline Optimization for Nonlinear Multi-Objective RL
[arXiv] 2026-06-30 | Cross-Domain Feature Expansion for Tabular Medical Data via Knowledge Graphs Injection
[arXiv] 2026-06-30 | Probe Choice Changes Canary-Memorization Verdicts: Three Post-Hoc Disagreement Case Studies in a Text-Dominant LoRA-Tuned Autoregressive Testbed
[arXiv] 2026-06-30 | MIRTH: Mutual-Information Reasoning with Temporal Hubs for Vision-Language-Action Agents
[arXiv] 2026-06-30 | LLM-Powered Interactive Robotic Action Synthesis from Multimodal Speech, Gestures, and Music
[arXiv] 2026-06-30 | Persistence, Thresholds, and Trait Composition in a Regulated Mutation-Selection Model
[arXiv] 2026-06-30 | A Modular Vision-Language-Action Robotics Framework for Indoor Environments
[arXiv] 2026-06-30 | A Bayesian Filtering Approach for Learning Lagrangian Dynamics from Noisy Measurements
[arXiv] 2026-06-30 | HOMFLY Polynomials of the Torus Links
[arXiv] 2026-06-30 | Cone Minimax Principles for Non-Selfadjoint Operator Pencils
[arXiv] 2026-06-30 | Generating Plausible Stress Scenarios via Large Deviations
[arXiv] 2026-06-30 | Photoionization of the Composite Nebula Surrounding NGC 5408 X-1: Implications for Beamed Emission
[arXiv] 2026-06-30 | Explaining Machine Learning and Memorization with Statistical Mechanics
[arXiv] 2026-06-30 | InfiniVerse: Occupancy Guided Unbounded Scene Generation for Autonomous Driving
[arXiv] 2026-06-30 | Translation Readiness Index: Measuring Patent-Paper Proximity from Scientific Publication Text
[arXiv] 2026-06-30 | Efficient Sim-to-Real Transfer of World-Action Models from Synthetic Priors
[arXiv] 2026-06-30 | Seeing Through Multiple Views: Parameter-Efficient Fine-Tuning via Selective Neurons for Consistent Radiology Report Generation
[arXiv] 2026-06-30 | Embedded minimal $S^1$-bundles in $\mathbb{S}^4$
[arXiv] 2026-06-30 | Fleet: Few Shots Lead Effective AI-generated Image Detection
[arXiv] 2026-06-30 | Andreev reflection mediated by topological corner states in a two-dimensional honeycomb lattice
[arXiv] 2026-06-30 | Quantum Derivative Pricing for SPDEs via BDSDE Representation
[arXiv] 2026-06-30 | Log Conifold Transitions
