[2025-11-22 09:08:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-21
正在获取论文...
[ACM] 2025-11-21 | Introduction to the Special Issue on Large Language Models for Recommender Systems
[IEEE] 2025-11-21 | Optimal Non-Adaptive Group Testing with One-Sided Error Guarantees
[IEEE] 2025-11-21 | A Converse For the Capacity of the Shotgun Sequencing Channel with Erasures
[IEEE] 2025-11-21 | Performance-Guaranteed Distributed Formation Control for Multiple UAVs Under Limited Transmission Resources
[IEEE] 2025-11-21 | Development and Prospect of Helicopter Hydraulic Tubes Assembly Precision
[IEEE] 2025-11-21 | The Key to Deobfuscation is Pattern of Life, not Overcoming Encryption
[IEEE] 2025-11-21 | Post-Processing Strategies for Detecting and Mitigating Adversarial Perturbations in Segmentation Networks
[IEEE] 2025-11-21 | A Systematic Review and Taxonomy for Privacy Breach Classification: Trends, Gaps, and Future Directions
[IEEE] 2025-11-21 | Analysis on Pressure Sensitivity of Solid Rocket Motor with High Loading Ratio During Pressure Curing Process
[IEEE] 2025-11-21 | Trustworthy AI-Driven Autonomous Underwater Vehicles for Port Infrastructure Inspection: Paradigm Conceptualization
[IEEE] 2025-11-21 | Efficient Algorithm for Sparse Fourier Transform of Generalized q-ary Functions
[IEEE] 2025-11-21 | Research on the Auto-Ignition Limits of a Full-Flow Staged Combustion Cycle Engine Using Liquid Oxygen and Methane
[IEEE] 2025-11-21 | Numerical Simulation and Optimization of Spoiler Configuration Effects on Solid Rocket Motor Thrust Vector Characteristics
[IEEE] 2025-11-21 | Peanut Allergy Classification using MLP of varying depth
[IEEE] 2025-11-21 | PEA Measurements on 525kV HVDC Cable: A Comprehensive Data Analysis
[IEEE] 2025-11-21 | Friction-robust autonomous racing using trajectory optimization over multiple models
[IEEE] 2025-11-21 | Carbon-Centric Hybrid-Game Robust Planning of Multiple Integrated Energy Systems Considering Higher-Order Uncertainty
[IEEE] 2025-11-21 | IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems publication information
[IEEE] 2025-11-21 | Rapid-response low humidity sensor based on ionic ladder-type poly(silsesquioxane)
[IEEE] 2025-11-21 | Smartwatch Accelerometer Step Counting That Rejects False Positives During Non-Walking Wrist Movement
[IEEE] 2025-11-21 | Multi-Port Converters: Evolving Architectures, Emerging Challenges and Innovations
[IEEE] 2025-11-21 | A Graph Isomorphism Network-Based Deep Learning Approach to Mitigate Smart Contract Vulnerabilities in Smart Grids
[IEEE] 2025-11-21 | Unlocking Potentials of RIS for Endogenous Anti-Jamming Communications in Internet of Energy: From Passive Defense to Active Immunity
[IEEE] 2025-11-21 | Polymer-coated Resonant Sensors for Monitoring Volatile Fatty Acids in the Cow Rumen
[IEEE] 2025-11-21 | Popularity-Aware Layer-Wise Caching and Function Scheduling for Dynamic Workflow At the Edge
[ACM] 2025-11-21 | Demo: HawkEye: Practical In-Flight Obstacle Avoidance with Event Camera and LiDAR Fusion
[ACM] 2025-11-21 | GPSoil: Towards low-cost soil moisture sensing using GNSS signals
[ACM] 2025-11-21 | Replication: Characterizing MPLS Tunnels over Internet Paths
[ACM] 2025-11-21 | Poster: Measurements of Residential Broadband in a Midwest Town: Discerning Wi-Fi Performance Factors
[ACM] 2025-11-21 | Canvassing the Fingerprinters: Characterizing Canvas Fingerprinting Use Across the Web
[ACM] 2025-11-21 | Unlocking Crowdsourced Propagation Measurements: Accuracy Guarantees for Mobile Phones
[IEEE] 2025-11-21 | Precise Rotor Position Detection for Skewed-PM Axial Flux Motors Using Orthogonal Third-Harmonic Hall Signals
[IEEE] 2025-11-21 | Optoelectronic and Reliability Analysis of OTFTs With Different Bottom Gate Insulators
[IEEE] 2025-11-21 | Conditional $(t,k)$-Diagnosis of Multiprocessor Systems Based on $g$-Good-Neighbor Fault Pattern
[IEEE] 2025-11-21 | A Novel High-Dynamic-Range Measurement Method for Complex Surfaces: A Chromatic Line Confocal Imaging Technique Integrating Diffuse–Specular Dual Reflections
[IEEE] 2025-11-21 | Stacked Intelligent Metasurface Assisted Multiuser Communications: From a Rate Fairness Perspective
[IEEE] 2025-11-21 | Loss and Temperature Distribution Characteristics of High-Frequency Transformers With Different Nanocrystalline Core Shapes
[IEEE] 2025-11-21 | EncQA: Benchmarking Vision-Language Models on Visual Encodings for Charts_supp2-3634249.pdf
[IEEE] 2025-11-21 | ScribbleSense: Generative Scribble-Based Texture Editing with Intent Prediction
[IEEE] 2025-11-21 | JTBot: A Flexible-Rigid Junction Tensegrity Robot for Unstructured Pipeline Inspection_supp6-3628682.mp4
[IEEE] 2025-11-21 | Handwritten Patterns in Children with Attention Deficit Hyperactivity Disorder: Hybrid Learning for Efficient Prediction
[IEEE] 2025-11-21 | Towards a Modulation Transfer Function for ShortRange K-Band Radar Systems: Preliminary Results
[IEEE] 2025-11-21 | Development of a Shallow-Water Bathymetry Estimation Method Using UAV-Derived RGB Imagery
[IEEE] 2025-11-21 | DUDe-Assisted Uplink Optimization in Dense IoT-Driven 5G Environments
[IEEE] 2025-11-21 | Research on Modeling and Simulation of Compressor Altitude Test Facility Based on Simulink
[IEEE] 2025-11-21 | Computational Study of Aero-Thermo-Structural Multi-Physics Coupling for Variable-Configuration Vehicle of the Wing-Body Combination
[IEEE] 2025-11-21 | Evaluation and Experimental Verification Methods of Combustion Instability in Single Chamber Dual Thrust Solid Rocket Motors
[IEEE] 2025-11-21 | Retrieval of the 3-D Deformation Field Through Advanced Synthetic Aperture Radar Satellite Systems: the Coastal Area Landslides Monitoring Application Scenario
[IEEE] 2025-11-21 | A Novel Approach for Aggregation of Teacher Ensembles with Secure Multi-Party Computation
[IEEE] 2025-11-21 | Learning-Based Surrogate-Assisted Modelling Strategy Selection for Expensive Constrained Multi-Objective Optimisation
[IEEE] 2025-11-21 | 2025 International Symposium on Networks, Computers and Communications (ISNCC)
[IEEE] 2025-11-21 | A Neural Field-Based Approach for View Computation &amp; Data Exploration in 3D Urban Environments
[IEEE] 2025-11-21 | An Analysis of Text Functions in Information Visualization
[IEEE] 2025-11-21 | MoE-INR: Implicit Neural Representation with Mixture-of-Experts for Time-Varying Volumetric Data Compression
[IEEE] 2025-11-21 | RewardRRT: Path Planning for Multi-Degree-of-Freedom Robots in Narrow Environments
[IEEE] 2025-11-21 | Masthead
[IEEE] 2025-11-21 | Robust Detection of Cyber-Attacks on Distribution System Volt-VAR Control via Adversarial and Uncertain Analysis
[IEEE] 2025-11-21 | Ultra-Efficient Compressed Phonocardiogram Classification on a Custom Embedded Neural Accelerator
[IEEE] 2025-11-21 | Analysis of the impact of foreign language learners emotional state on learning outcomes
[IEEE] 2025-11-21 | UWB RPT: Reference Point Transformation, a Joint Deployment method for 6-DoF Rigid Body Localization using Range Measurements
[IEEE] 2025-11-21 | Graph-Based Spatiotemporal RL Framework for Sequential Task Offloading in Multi-UAV Systems
[IEEE] 2025-11-21 | Learning to Match Prototype for Few-Shot Classification of Attacks and Faults in Smart Grids
[IEEE] 2025-11-21 | Nonexistence of Finite-Dimensional Estimation Algebras on Closed Smooth Manifolds
[ACM] 2025-11-21 | VeriSafe Agent: Safeguarding Mobile GUI Agent via Logic-based Action Verification
[ACM] 2025-11-21 | Demo: VI-Planning: Infrastructure-Assisted Real-Time Planning Optimization for Autonomous Driving
[ACM] 2025-11-21 | Satellite IoT in Practice: A First Measurement Study on Network Availability, Performance, and Costs
[ACM] 2025-11-21 | Poster: When Blocks Go Missing: The Timeliness and Trustworthiness of Blockchain RPC Providers
[ACM] 2025-11-21 | FocusX: All-in-Focus Image Synthesis for Dynamic Scenes on Mobile Devices
[ACM] 2025-11-21 | SeRadar: Embracing Secondary Reflections for Human Sensing with mmWave Radar
[ACM] 2025-11-21 | CGMM: Non-Invasive Continuous Glucose Monitoring in Wearables Using Metasurfaces
[ACM] 2025-11-21 | UrgenGo: Urgency-Aware Transparent GPU Kernel Launching for Autonomous Driving
[IEEE] 2025-11-21 | Improved Coded Caching Scheme for Multi-User Information Retrieval System
[IEEE] 2025-11-21 | The effects of sea level rise on Domitian coastal area around Volturno river mouth (Italy) in future scenarios
[IEEE] 2025-11-21 | A Study on the Improvement of Athena++ Solvers for HPC-AI Applications
[IEEE] 2025-11-21 | AI-based Plant Disease Detection: Development and Deployment of YOLO Models for Agricultural Innovation
[IEEE] 2025-11-21 | Research on Generalized Celestial Navigation Autonomous Positioning Method for Near-Space Vehicles
[IEEE] 2025-11-21 | Toward a Sustainable Estimation of Significant Wave Height Through Photogrammetry
[IEEE] 2025-11-21 | Empirical Coordination of Quantum Correlations
[IEEE] 2025-11-21 | Secrecy and Privacy in Multi-Access Coded Caching with Combinatorial Topology
[IEEE] 2025-11-21 | Real-Time Hyper-Heuristic Control for Decentralized Edge Logistics: A Reinforcement Learning Approach
[IEEE] 2025-11-21 | Prototyping an M-Plane Software for Zero-Touch O-RAN Provisioning
[IEEE] 2025-11-21 | Post-Quantum Signature Algorithm On Finite Matrix Algebras, Using Three Hidden Groups
[IEEE] 2025-11-21 | Turbulence Model Modification Method for Flow Separation in Rocket Engine Nozzles
[IEEE] 2025-11-21 | Wave-Induced Motion Response and Mooring Configuration Analysis of an X-Shaped Floating Structure
[IEEE] 2025-11-21 | Assessment of Marine Biofouling Coverage on Surfaces Using a Machine Learning-Based Image Recognition Software
[IEEE] 2025-11-21 | From Raw to Refined: A Data Preprocessing Pipeline for Robust Prediction
[IEEE] 2025-11-21 | Estimation Error: Distribution and Pointwise Limits
[IEEE] 2025-11-21 | CRYSTALS-Kyber KEM Decapsulation with Single-Point Pseudo-Random Cache Flushing
[IEEE] 2025-11-21 | Light as Trigger and Power: a VLC-Harvesting Hybrid Architecture for Marine Sensor Nodes
[IEEE] 2025-11-21 | Model Correction and Uncertainty Evaluation of Pressure Measurement for Liquid Rocket Engine
[IEEE] 2025-11-21 | Adversarial Robustness of Traffic Classification under Resource Constraints: Input Structure Matters
[IEEE] 2025-11-21 | An Intelligent Phishing Detection System Using Deep Learning and Explainable AI
[ACM] 2025-11-21 | D2MoE: Dual Routing and Dynamic Scheduling for Efficient On-Device MoE-based LLM Serving
[ACM] 2025-11-21 | Poster: A Real-Time Localization System for Visible and Invisible Fiducial Markers Under Variable Lighting Conditions
[ACM] 2025-11-21 | Fishing for Smishing: Understanding SMS Phishing Infrastructure and Strategies by Mining Public User Reports
[ACM] 2025-11-21 | Poster: Enabling Data-Driven Policymaking using the Broadband-Plan Querying Tool (BQT+)
[ACM] 2025-11-21 | The Decentralization Dilemma: Performance Trade-Offs in IPFS and Breakpoints
[ACM] 2025-11-21 | Mirror Mirror on the Wall, which APK Mirror Site is the Largest of Them All?
[ACM] 2025-11-21 | Congestion Patterns in a Large-scale RDMA Datacenter
[ACM] 2025-11-21 | Inside Certificate Chains Beyond Public Issuers: Structure and Usage Analysis from a Campus Network
[IEEE] 2025-11-21 | Optimal Pricing for Wireless Charging under Competition and Price Uncertainty from Charging Stations in Coupled Power-Transportation Networks
[IEEE] 2025-11-21 | Coordinated Model Free Adaptive Control for Multiple High-Speed Trains Against False Data Injection Attacks and Input Constraints
[IEEE] 2025-11-21 | Treasure Hunting: Embodied Contrastive Learning-Enhanced Coarse-to-Fine Object Seeking With Explorer and Discriminator Cooperation_supp1-3619968.pdf
[IEEE] 2025-11-21 | VSCode-V2: Dynamic Prompt Learning for General Visual Salient and Camouflaged Object Detection With Two-Stage Optimization
[IEEE] 2025-11-21 | Human-Inspired Scene Understanding: A Grounded Cognition Method for Unbiased Scene Graph Generation
[IEEE] 2025-11-21 | JTBot: A Flexible-Rigid Junction Tensegrity Robot for Unstructured Pipeline Inspection_supp4-3628682.mp4
[IEEE] 2025-11-21 | Multi-Agent Reinforcement Learning With Spatial Structure Awareness for Topological Map-Based Path-Finding
[IEEE] 2025-11-21 | From Modelling to Application: Exploring Quench Tolerance in High-Field HTS Magnets
[IEEE] 2025-11-21 | ICIP 2026
[IEEE] 2025-11-21 | Masthead
[IEEE] 2025-11-21 | Deep Representation Learning With Assisted Domain Adaptation for EEG-Based Cross-Subject Emotion Recognition
[IEEE] 2025-11-21 | Copyright Page
[IEEE] 2025-11-21 | ISNCC 2025 Authors Index
[IEEE] 2025-11-21 | ITW 2025 Index
[IEEE] 2025-11-21 | Experimental study on the stationarity of sea waves in the Mediterranean Sea
[IEEE] 2025-11-21 | Comparison between two mercury extraction methodologies: sequential extraction and methylmercury extraction
[IEEE] 2025-11-21 | Privacy-Preserving Federated Learning with Differential Privacy and Adaptive Knowledge Distillation for Dynamic Non-IID Data
[IEEE] 2025-11-21 | Ultrasonic Imaging for Internal Defects of Aerospace Irregular Surfaces Structures via CO-SAFT
[IEEE] 2025-11-21 | Cross Mutual Information
[IEEE] 2025-11-21 | Intrusion Detection in IoT Networks using a Hybrid Quantum-Classical Graph Neural Network
[IEEE] 2025-11-21 | Recovery of Cellulose Acetate from Spent Cigarette Filters by Green Solvents for Production of Polymer Films
[IEEE] 2025-11-21 | Optimized Usage of Multi-User Diversity to Enhance Spectral Efficiency in (5G) Wireless Networks
[IEEE] 2025-11-21 | Communication-Constrained Private Decentralized Online Personalized Mean Estimation
[IEEE] 2025-11-21 | Incomplete Multiview Learning via Wyner Common Information
[IEEE] 2025-11-21 | A cross-disciplinary approach for marine waste valorisation
[IEEE] 2025-11-21 | Exploring the temporal dynamics of cetaceans strandings in the Mediterranean Sea
[IEEE] 2025-11-21 | The Influence of Prediction Interval on Regression Model Accuracy in Energy Forecasting
[IEEE] 2025-11-21 | A Systematic Framework for Generative AI-Powered Curriculum Development: Integrating Industry Requirements with Agile Learning
[IEEE] 2025-11-21 | Numerical Simulation of the Internal Flow Field of a Water Ramjet Engine with a Porous Nozzle
[IEEE] 2025-11-21 | On Levenshtein’s Reconstruction Problem for Channels with Unique Insertion Error Patterns
[IEEE] 2025-11-21 | Research on Data-Driven Rapid Prediction Method for High-Pressure Turbine Flow Fields
[IEEE] 2025-11-21 | Optimal Rate Region for Lazy Secret Sharing
[IEEE] 2025-11-21 | NGT: A Retrieval-Augmented Language System for Telecoms Documentation Processing
[IEEE] 2025-11-21 | Hybrid Force-Position Control for Cable-Driven Parallel Robots Based on Tension Optimization Distribution
[IEEE] 2025-11-21 | Flexible Transparent Antenna for Sub-6 GHz 5G Applications
[IEEE] 2025-11-21 | Reversible data hiding in encrypted images using two-pass improved pixel value ordering on high-bit segments
[IEEE] 2025-11-21 | Marine Surface Analysis Using Monostatic and Bistatic SAR for Wind and Sea Surface Velocity Mapping: PLATiNO-1 mission Insights
[ACM] 2025-11-21 | Why Measure
[ACM] 2025-11-21 | Confidant: Customizing Transformer-based LLMs via Collaborative Training on Mobile Devices
[ACM] 2025-11-21 | GlucoSense: Non-Invasive Glucose Monitoring using Mobile Devices
[ACM] 2025-11-21 | Have you SYN What I See? Analyzing TCP SYN Payloads in the Wild
[ACM] 2025-11-21 | Demo: A Campus Scale Private 5G Open RAN Testbed
[ACM] 2025-11-21 | QuinID: Enabling FDMA-Based Fully Parallel RFID with Frequency-Selective Antenna
[IEEE] 2025-11-21 | Federated Incremental Subgradient Method for Convex Bilevel Optimization Problems
[IEEE] 2025-11-21 | MoSEEC: Sustainable and Trajectory Privacy-Preserving Edge Resource Management
[IEEE] 2025-11-21 | Conference Calendar [Dates Ahead]
[IEEE] 2025-11-21 | 2025 International Conference of Mechanical Engineering on Aerospace (CoMEA)
[IEEE] 2025-11-21 | Hierarchical Model Predictive Control for Energy-aware Scheduling of Digital Twin-based Batch Manufacturing Systems
[IEEE] 2025-11-21 | Leveraging Rich Mechanical Features and Long-Range Physical Constraints for Lumbar Spine Stress Analysis
[IEEE] 2025-11-21 | Table of Contents
[IEEE] 2025-11-21 | Performance Analysis of SM-OTFS Under Imperfect Channel Estimation
[IEEE] 2025-11-21 | Convex Solutions to S
                    <i>f</i>
                    T and NRS
                    <i>f</i>
                    M under Algebraic Deformation Models
[IEEE] 2025-11-21 | Deep Learning-based OTFS Channel Estimation and Symbol Detection with Plug-and-Play Framework
[IEEE] 2025-11-21 | VolMoVis: Real-Time Volume Generation and Motion Visualization with Dynamic Tomographic Reconstruction_supp1-3634648.mov
[IEEE] 2025-11-21 | Study on the Cavity Flow Field and Load Characteristics During the Closure and Collapse Stage of High-Speed Water Entry
[IEEE] 2025-11-21 | Accumulation of Heavy Metals in Petrosia ficiformis and Sarcotragus spinosulus (Porifera, Demospongiae): Insights from Two Apulian Sites in the Northern Ionian Sea
[IEEE] 2025-11-21 | Mechanisms and Applications of Conductive Wear Debris Motion Under Coupled Microgravity and Multi-Physics Electromagnetic Environments
[IEEE] 2025-11-21 | Understanding the Ratio of the Partition Sum to its Bethe Approximation via Double Covers
[IEEE] 2025-11-21 | Africa’s Coastline Long-Term Monitoring Using Remote Sensing and GIS Techniques
[IEEE] 2025-11-21 | Numerical Simulation of Rayleigh-Taylor Instability Based on WCNS Scheme
[IEEE] 2025-11-21 | A New Soft-Decision Decoding for Extended BCH Codes Based on Reed-Muller Decomposition
[IEEE] 2025-11-21 | AI-Powered Tutoring for Active Reading: A Pedagogical and Ethical Approach
[IEEE] 2025-11-21 | Ice Dynamic Observation with Remote Sensing
[IEEE] 2025-11-21 | Research on Residual Mechanical Properties of Composite Structure of Fiber Shell and Skirt of Solid Motor
[IEEE] 2025-11-21 | Application Prospects of Wind Tunnel Wind Resistance Testing Technology in the Development of Low Altitude Aircraft
[ACM] 2025-11-21 | Market Design for Capacity Sharing in Networks
[ACM] 2025-11-21 | Tracking Internet Disruptions in Ukraine: Insights from Three Years of Active Full Block Scans
[ACM] 2025-11-21 | Poster: Road to Tiny Reality: Digital Twins for Decentralized AI on Microcontrollers
[ACM] 2025-11-21 | Demo: Amodal Instance Segmentation Using MmWave Radar
[ACM] 2025-11-21 | OptSamp: Optimizing the Sampling Rate for LoRa Energy Efficiency Enhancement
[ACM] 2025-11-21 | How to Update Your 5G vRAN
[ACM] 2025-11-21 | Where in the World Are My Trackers? Mapping Web Tracking Flow Across Diverse Geographic Regions
[IEEE] 2025-11-21 | Belief Propagation Decoding of Primitive Rateless Codes
[IEEE] 2025-11-21 | Evolving Generalizable Parallel Algorithm Portfolios for Binary Optimization Problems via Domain-Agnostic Instance Generation_supp1-3635185.pdf
[IEEE] 2025-11-21 | MetroSea 2025 Copyright
[IEEE] 2025-11-21 | H-Plasma Treated ZrO
                    <sub>2</sub>
                    and HfO
                    <sub>2</sub>
                    RRAM Devices for Low Power In-Memory Computing
[IEEE] 2025-11-21 | Impact-Aware Dual-Arm Manipulation: A Framework for Fast Package Handling_supp1-3615262.mp4
[IEEE] 2025-11-21 | Time of Flight from Optical Communications Signals on the Optical to Orion Demonstration
[IEEE] 2025-11-21 | Reformulations of Quadratic Programs for Lipschitz Continuity
[IEEE] 2025-11-21 | Fully Distributed and Attack-Immune Consensus by Distributed Dual Observer Based Linear Time-Varying Output Feedback
[IEEE] 2025-11-21 | CMIP: Combining Constructive Model With Improvement Policy for Large-Scale Min-Max Multiple Traveling Salesman Problem
[IEEE] 2025-11-21 | Research on defect identification and feature extraction of molybdenum wire based on DBSCAN and pulsed eddy current technology
[IEEE] 2025-11-21 | A Hybrid Fault-Tolerant Workflow Scheduling With Performance Fluctuated Cloud Resources
[IEEE] 2025-11-21 | A Novel Annular-Dielectric-Layer-Structured TSV in Silicon Interposer for 2.5D/3D Integration
[IEEE] 2025-11-21 | Thermofluidic Visualization of the Capillary-driven Boiling for Design Optimization of Silicon Embedded Evaporators
[IEEE] 2025-11-21 | Adaptive Polyhedral Approximation for Enhancing the Distributionally Robust Optimization of Uncertain Power Systems
[IEEE] 2025-11-21 | A Hybrid PPO-GNN Framework for Adaptive Vehicle Routing under Uncertainty: Application to Fuel Delivery Logistics
[IEEE] 2025-11-21 | Joint Resource Allocation and Secure Beamforming for Active RIS aided mmWave-RSMA with Dual-Identity User
[IEEE] 2025-11-21 | The Effects of Log Noise in Process Mining
[IEEE] 2025-11-21 | Multi-factor Aging Weighted Analysis and Comprehensive Performance Evaluation of EPDM for Torsion-Resistant-Cable
[IEEE] 2025-11-21 | A Dichotomy for Distributed Detection With Limited Communication
[IEEE] 2025-11-21 | Automatic X-Ray Film Handler Alignment Control Using Position-Based Visual Servoing and Computational Intelligence
[IEEE] 2025-11-21 | Threshold Design for Undersampled Autocorrelation-Based OFDM Spectrum Sensing
[IEEE] 2025-11-21 | A Self-Adaptive Architecture for Predictive and Reinforcement-Based Optimization in Smart Environments
[IEEE] 2025-11-21 | Trustworthy Automatic Target Recognition via Variational Autoencoder-based Out-Of-Distribution Detection
[IEEE] 2025-11-21 | Investigation into the High-Speed Inclined Water Entry Destruction and Energy Absorption Characteristics of the Cushioning Structure
[IEEE] 2025-11-21 | Data Fusion Algorithm for Multi-Head Star Sensor Based on the Covariance of Measurement Star Vectors
[IEEE] 2025-11-21 | Evaluating Bagging Ensembles with DenseNet201 and Swin Transformer for Breast Cancer Detection: A Comparative Study on Ultrasound and Mammography Images
[IEEE] 2025-11-21 | Enhancing the Aerodynamic and Aeroacoustic Performance of a Cooling Fan Using Owl-Inspired Trailing Edge Serrations
[IEEE] 2025-11-21 | Analysis of Energy Use for A Higher Education Institution’s Data Center
[IEEE] 2025-11-21 | Edge-Enhanced Attention Mechanism for Dynamic UAV Formation Fault Detection
[IEEE] 2025-11-21 | A numerical tool for buoyant plastic debris transport prediction in the nearshore zone
[IEEE] 2025-11-21 | Vision-Language Models for Underwater Ecological Monitoring
[IEEE] 2025-11-21 | Data Transmission over a Bosonic Arbitrarily Varying Quantum Channel
[IEEE] 2025-11-21 | Eye-Tracking, Quality Assessment, and QoE Prediction Models for Point Cloud Videos: Extended Analysis of the ComPEQ-MR Dataset
[IEEE] 2025-11-21 | CNN-based approaches for various types of tabular data
[IEEE] 2025-11-21 | Multi-Task Contrastive Learning for Skin Lesion Classification and Segmentation
[IEEE] 2025-11-21 | Large (Vision) Language Models for Autonomous Vehicles: Current Trends and Future Directions
[IEEE] 2025-11-21 | Predefined-Time Adaptive Flight Control of a Coaxial Compound Helicopter Against Input Saturation and Perturbations
[IEEE] 2025-11-21 | Adaptive Learning-Based Quantized Parameter Identification of Nonlinear Sandwich-Like Systems With Memory Nonlinearity
[IEEE] 2025-11-21 | An Innovative Framework for Hourly Satellite Soil Moisture Retrieval via Integrated Spatio-Temporal Downscaling Techniques
[IEEE] 2025-11-21 | 2025 IEEE Information Theory Workshop (ITW)
[IEEE] 2025-11-21 | OW-CLIP: Data-Efficient Visual Supervision for Open-World Object Detection via Human-AI Collaboration
[IEEE] 2025-11-21 | PM-Assisted Double-Teeth C-Core Two-Phase SRMs: Design and Optimal Drive for Torque Density Enhancement
[ACM] 2025-11-21 | Poster: 5G-CriCo Vision for MCx on 5G Standalone}
[ACM] 2025-11-21 | Poster: Lightweight PUF-based Authentication and Key-exchange for Offline Smart Home IoT Devices
[ACM] 2025-11-21 | LLM-Explorer: Towards Efficient and Affordable LLM-based Exploration for Mobile Apps
[ACM] 2025-11-21 | Roam Without a Home: Unraveling the Airalo Ecosystem
[ACM] 2025-11-21 | $Poster:$ RMap: Uncovering Risky DNS Resolution Chains and Misconfigurations
[IEEE] 2025-11-21 | Capacity Region for Covert Secret Key Generation over Multiple Access Channels
[IEEE] 2025-11-21 | Electrode Configuration Effects on Ignition Dynamics of Electronically Controlled Solid Propellants
[IEEE] 2025-11-21 | Growth and Biomass Potential of Two Ascidian Species Cultured in a Novel Integrated Multi-Trophic Aquaculture (IMTA) System in the Ionian Sea (Mediterranean Sea, Italy)
[IEEE] 2025-11-21 | Towards Quantum Universal Hypothesis Testing
[IEEE] 2025-11-21 | ML-FSO: Enhancing UAV-Based Optical Communication Networks for Disaster Resilience
[IEEE] 2025-11-21 | Semi-Aerodynamic-Model-Aided Filtering Algorithm for Fixed-Wing Unmanned Aerial Vehicles
[IEEE] 2025-11-21 | Influence of Ice Accretion on Propeller-Wing Aerodynamic Interactions in eVTOL Aircraft
[IEEE] 2025-11-21 | On the inference of the Peak Wave Period using Satellite Altimetry measurements
[IEEE] 2025-11-21 | Experimental Investigation on Cavitation Dynamics During Water-Exit of Trans-Media Vehicle
[IEEE] 2025-11-21 | A Method For Dynamically Modifying Component Transformations in The AES Block Cipher Applied To Image Data Encryption
[IEEE] 2025-11-21 | Improving Smoothness in Huffman Coding: Canonical and Pre-allocated Variations
[IEEE] 2025-11-21 | SEAmPhonia: a 3D acoustic field approach to marine ecosystem modelling
[IEEE] 2025-11-21 | AI-based technology to monitor behavioural responses in marine invertebrates
[IEEE] 2025-11-21 | Dynamic Simulation and Control of an Amphibious Drone for Marine Measurements
[IEEE] 2025-11-21 | Fundamental Limits on Overflow Probability for Variable-Length Codes with Codeword Cost: A Smooth Rényi Entropy Approach
[IEEE] 2025-11-21 | Autonomous Stereo Camera Based Semantic Mapping of Underwater Posidonia Oceanica
[ACM] 2025-11-21 | AutoIOT: LLM-Driven Automated Natural Language Programming for AIoT Applications
[ACM] 2025-11-21 | Measuring the deployment of DNSSEC Bootstrapping Using Authenticated Signals
[ACM] 2025-11-21 | Attacks Come to Those Who Wait: Long-Term Observations in an SSH Honeynet
[ACM] 2025-11-21 | Demo: A Real-Time Multimodal Sensing and Feedback System for Closed-Loop Wearable Interaction Using OmniBuds
[ACM] 2025-11-21 | Poster: Enhancing Mobile Traffic Data Generation through Spatio-temporal Correlation Imaging
[ACM] 2025-11-21 | Demo: UAV Trajectory Generation from Sparse and Noisy 3D Point Clouds
[ACM] 2025-11-21 | Multi-Antenna Quantum Receiver: A Leap Beyond Angle Estimation Constraints
[ACM] 2025-11-21 | The Anatomy of Olympic Games: a Mobile Traffic Demand Perspective
[IEEE] 2025-11-21 | Net0AICloud: AIoT-Driven Sustainable Edge Cloud Computing Towards Net Zero Carbon Emissions
[IEEE] 2025-11-21 | On the Capability of Cascaded H-Bridge Converter-Based Energy Systems to Tolerate Intra-Phase Active Power Imbalance
[IEEE] 2025-11-21 | Collaborative Trust Evaluation With Relative Attention in Evolving Online Social Networks
[IEEE] 2025-11-21 | Fixed/Prescribed-Time Synchronization of Hybrid Delayed Fuzzy Inertial Memristive Neural Networks
[IEEE] 2025-11-21 | A Novel Monte-Carlo Compressed Sensing and Dictionary Learning Method for the Efficient Path Planning of Remote Sensing Robots
[IEEE] 2025-11-21 | From Clutter to Clarity: Enhancing Radar-Based Human Activity Recognition with Deep Attention and Feature Denoising
[IEEE] 2025-11-21 | A Knowledge-Driven Memetic Algorithm for Energy-Aware Distributed Assembly Blocking Permutation Flow Shop Scheduling Problem
[IEEE] 2025-11-21 | Enhancing Robotaxi Pick-Up Through Vision-Language-Model-Based Passenger Identification
[IEEE] 2025-11-21 | Performance Analysis of STAR-RIS-Aided Cell-Free Massive MIMO System over Aging Channel
[IEEE] 2025-11-21 | InterMamba: Efficient Human-Human Interaction Generation With Adaptive Spatio-Temporal Mamba
[IEEE] 2025-11-21 | GSCache: Real-Time Radiance Caching for Volume Path Tracing using 3D Gaussian Splatting_supp2-3634634.mp4
[IEEE] 2025-11-21 | Unified Intermittent Modulation Scheme for Light-Load Efficiency Improvement of a Three-Phase Dual-Active-Bridge Converter
[IEEE] 2025-11-21 | ITW 2025 Author Index
[IEEE] 2025-11-21 | Table of Contents
[IEEE] 2025-11-21 | UniFuzz: A Unified Fuzzing Framework for Smart Contract Vulnerability Detection with LLMs and Audit Reports
[IEEE] 2025-11-21 | Constructions of Binary Cooperative MSR Codes with Optimal Access Bandwidth
[IEEE] 2025-11-21 | Reveal-or-Obscure: A Differentially Private Sampling Algorithm for Discrete Distributions
[IEEE] 2025-11-21 | Uniquely-Decodable Coding for Network Function Computation
[IEEE] 2025-11-21 | On Design and Analysis of Asynchronous Repetition Slotted ALOHA for Massive Access
[IEEE] 2025-11-21 | Approximate Hypothesis Testing
