[2026-04-21 10:19:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-20
正在获取论文...
[arXiv] 2026-04-20 | Dust characterization of halos -- The extended emission in protoplanetary disks
[arXiv] 2026-04-20 | Reliability of AI Bots Footprints in GitHub Actions CI/CD Workflows
[arXiv] 2026-04-20 | Can Institutional Integration of Western Balkans Stock Exchanges Strengthen Monetary Transmission?
[arXiv] 2026-04-20 | FregeLogic at SemEval 2026 Task 11: A Hybrid Neuro-Symbolic Architecture for Content-Robust Syllogistic Validity Prediction
[arXiv] 2026-04-20 | OmniHuman: A Large-scale Dataset and Benchmark for Human-Centric Video Generation
[arXiv] 2026-04-20 | An Adaptive Smoothing Algorithm for Non-Lipschitz Optimization on Manifolds with Complexity Guarantees
[arXiv] 2026-04-20 | Predictive Modeling of Natural Medicinal Compounds for Alzheimer Disease Using Cheminformatics
[arXiv] 2026-04-20 | On Coble surfaces and their automorphisms
[arXiv] 2026-04-20 | Global Well-Posedness of Classical Solutions to the Multi-Dimensional Degenerate Compressible Navier-Stokes Equations with Large Spherically Symmetric Initial Data
[arXiv] 2026-04-20 | Circadian Phase Locking of Epilepsy Seizures in Wearable Data: A Single-Patient Case Study
[arXiv] 2026-04-20 | Lagrangian Mean Curvature Equations on exterior domains
[arXiv] 2026-04-20 | Data (in)equities in data science: Dissecting systemic and systematic biases in pulse oximetry
[arXiv] 2026-04-20 | Finite combinatorics and computability theory
[arXiv] 2026-04-20 | Dual formulations of geometric curvature flows and their discretizations
[arXiv] 2026-04-20 | Spike-NVPT: Learning Robust Visual Prompts via Bio-Inspired Temporal Filtering and Discretization
[arXiv] 2026-04-20 | Involutive Floer Invariants for Closed Four-Manifolds
[arXiv] 2026-04-20 | Impact of CSIR, SIC, and Hardware Impairments on the Ergodic Rate of Downlink RSMA
[arXiv] 2026-04-20 | LeGo-Code: Can Modular Curriculum Learning Advance Complex Code Generation? Insights from Text-to-SQL
[arXiv] 2026-04-20 | Medical Image Understanding Improves Survival Prediction via Visual Instruction Tuning
[arXiv] 2026-04-20 | Near-Codewords Aware Bit Flipping Decoding of QC-MDPC Codes
[arXiv] 2026-04-20 | COFFAIL: A Dataset of Successful and Anomalous Robot Skill Executions in the Context of Coffee Preparation
[arXiv] 2026-04-20 | WebCompass: Towards Multimodal Web Coding Evaluation for Code Language Models
[arXiv] 2026-04-20 | On the packing dimension of projected measures
[arXiv] 2026-04-20 | Autoregressive prediction of 2D MHD dynamics inferred from deep learning modeling
[arXiv] 2026-04-20 | Weak solutions and weak-strong uniqueness for a Cahn-Hilliard type model with chemotaxis
[arXiv] 2026-04-20 | TacticGen: Grounding Adaptable and Scalable Generation of Football Tactics
[arXiv] 2026-04-20 | A Novel Piecewise Atmospheric Attenuation Model for Free Space Optical Links in Vertical Heterogeneous Networks
[arXiv] 2026-04-20 | Linear-Time and Constant-Memory Text Embeddings Based on Recurrent Language Models
[arXiv] 2026-04-20 | How Do People Accept Robot in Public Space? A Cross-Cultural Study in Germany and Japan
[arXiv] 2026-04-20 | Large-$N$ Dynamics of a QCD-Inspired Unitary Matrix Model
[arXiv] 2026-04-20 | Spectral approximation for the separable covariance mixture model
[arXiv] 2026-04-20 | Alleviating Linguistic and Interactional Anxiety of Non-Native Speakers in Multilingual Communication
[arXiv] 2026-04-20 | Copy-as-Decode: Grammar-Constrained Parallel Prefill for LLM Editing
[arXiv] 2026-04-20 | Cramér-Rao Bound Optimization for Near-Field ISAC with Extended Targets
[arXiv] 2026-04-20 | Dynamics of one-dimensional Bose-Josephson Junction in a Box Trap: From Coherent Oscillations to Many-Body Dephasing and Dynamical Freezing
[arXiv] 2026-04-20 | Geometry-Aware Networking for Low-Altitude Economy: Movable Antennas in Space-Air-Ground Integrated Systems
[arXiv] 2026-04-20 | Enhanced Mid-Infrared Single-Photon Detection with Antenna-Coupled Superconducting Nanowires
[arXiv] 2026-04-20 | A Slow-Time Receiver Interface for Turbulent Free-Space Quantum Polarization Links
[arXiv] 2026-04-20 | Decisive: Guiding User Decisions with Optimal Preference Elicitation from Unstructured Documents
[arXiv] 2026-04-20 | On the frame-like multispinor formalism for massive higher spins in d=4
[arXiv] 2026-04-20 | User Experiences with MPI RMA and ULFM in a Resilient Key-Value Store Implementation
[arXiv] 2026-04-20 | Autonomous Unmanned Aircraft Systems for Enhanced Search and Rescue of Drowning Swimmers: Image-Based Localization and Mission Simulation
[arXiv] 2026-04-20 | Materials Informatics Across the Length Scales
[arXiv] 2026-04-20 | Predicting LLM Compression Degradation from Spectral Statistics
[arXiv] 2026-04-20 | Dynamic Risk Assessment by Bayesian Attack Graphs and Process Mining
[arXiv] 2026-04-20 | Architectural Design Decisions in AI Agent Harnesses
[arXiv] 2026-04-20 | A Type-I Seesaw Framework with Non-Holomorphic Modular Symmetry
[arXiv] 2026-04-20 | Modeling Human Perspectives with Socio-Demographic Representations
[arXiv] 2026-04-20 | Bounding relative entropy for non-unitary excitations in quantum field theory
[arXiv] 2026-04-20 | Scenario-Based Stochastic MPC for Energy Hubs with EV Fleets Under Persistent Grid Outages
[arXiv] 2026-04-20 | Trefftz methods with evanescent plane waves
[arXiv] 2026-04-20 | In-depth analysis of the clustering of dark matter particles around primordial black holes. Part III: CMB constraints
[arXiv] 2026-04-20 | AnyLift: Scaling Motion Reconstruction from Internet Videos via 2D Diffusion
[arXiv] 2026-04-20 | Heterogeneity in Formal Linguistic Competence of Language Models: Is Data the Real Bottleneck?
[arXiv] 2026-04-20 | Adiabatic continuity in a partially reduced twisted Eguchi-Kawai model with one adjoint Dirac fermion
[arXiv] 2026-04-20 | Efficient Federated RLHF via Zeroth-Order Policy Optimization
[arXiv] 2026-04-20 | SafeAnchor: Preventing Cumulative Safety Erosion in Continual Domain Adaptation of Large Language Models
[arXiv] 2026-04-20 | Detectability of minority communities in networks
[arXiv] 2026-04-20 | Random-State Generation and Preparation Complexity in Rydberg Atom Arrays
[arXiv] 2026-04-20 | Families of symplectic Galois representations over small parabolic eigenvarieties for Siegel cuspforms of genus $2$
[arXiv] 2026-04-20 | Effect of antibiotic spectrum on the abundance of resistant bacteria in multispecies communities
[arXiv] 2026-04-20 | Proxics: an efficient programming model for far memory accelerators
[arXiv] 2026-04-20 | EmbodiedLGR: Integrating Lightweight Graph Representation and Retrieval for Semantic-Spatial Memory in Robotic Agents
[arXiv] 2026-04-20 | Self-referentiality and asymmetric knowledge flows between journals. The case of economics
[arXiv] 2026-04-20 | Eikonal, nonlocality and regular black holes
[arXiv] 2026-04-20 | The effect of interstellar scattering on coherent radio emission from stars: the case of CU Vir
[arXiv] 2026-04-20 | Classical counterparts of shortcuts to adiabaticity in nonlinear dissipative Lagrangian systems
[ACM] 2026-4-20 | A Study on the Correlation between Cognitive Load Theory and APP Interface Icon Design: A Case Study of XX App
[ACM] 2026-4-20 | A Study on the Information Visualization Design of Zhuang “Momie” from the Perspective of Gestalt Visual Perception Principles
[ACM] 2026-4-20 | Routing Multipath for Multiple Objects by Utilizing Genetic Algorithm
[ACM] 2026-4-20 | Balancing Comfort and Growth: A Dual-Mode Theory of Human-AI Development
[IEEE] 2026-4-20 | Collaborative Neural Networks significantly Improve Global Aerosol Retrievals From Multi-Angle Polarimeters
[IEEE] 2026-4-20 | Dual-timescale Joint Optimization for Dynamic Edge Service Deployment and Task Scheduling in Space-air-ground Integrated Networks
[IEEE] 2026-4-20 | On the Systematic Design Framework for Intuitive Interfaces in Telerobotic Operations: A Case Study in Surgical Robotics_supp1-3684095.docx
[IEEE] 2026-4-20 | Calculation of the Impact of Overvoltage Transients in Hydroelectric Plants and the Electric Power Industry
[IEEE] 2026-4-20 | Techno-Economic Analysis of a Diesel-Windphotovoltaic Hybrid System With Battery Storage for an Off-Grid Household on Amantani Island, Peru
[IEEE] 2026-4-20 | Editor Preface
[IEEE] 2026-4-20 | Early Nutrient Deficiency Detection in Hydroponic Lettuce Via CNN-Based Image Analysis
[IEEE] 2026-4-20 | Bal-DGCN: A Hardware Acceleration Framework for Balanced Computational Efficiency in Dynamic Graph Convolutional Networks (DGCNs)
[IEEE] 2026-4-20 | Decentralized Federated Learning with Period Gradient Tracking over Time-Varying Networks
[IEEE] 2026-4-20 | Semantic-Aware Behavior Optimization With Safety Reinforcement Feedback for Language-Conditioned Manipulation
[IEEE] 2026-4-20 | Translating Community-Specific Factors into Engineering Solutions: An HCD Framework for Rural Technology Adoption
[IEEE] 2026-4-20 | A Framework for Measuring Trust as a Software Architecture Quality Attribute
[IEEE] 2026-4-20 | Graph Neural Network-Enhanced Multi-Objective Scheduling and Offloading for Hybrid Applications in Edge-Cloud Networks
[IEEE] 2026-4-20 | Towards AI-Native Ultra-Dense Networks: Cell Association via Multi-View Sensing
[IEEE] 2026-4-20 | CaptionPS: Benchmarking and Analyzing Worker-Centric Detailed Image Captioning in Power Scenarios
[IEEE] 2026-4-20 | Event-Driven Acoustic Event Detection Using Spiking Neural Networks for Edge Sensor Nodes
[IEEE] 2026-4-20 | Neural Demodulation for Anti-Eavesdropping Embedded Waveforms in IoT Networks
[IEEE] 2026-4-20 | Accelerated Transfer-Entropy-Weighted ADMM for Learning Causal Directed Acyclic Graphs
[IEEE] 2026-4-20 | Buffer Management for Timely Reconstruction: Lower Bounds and Near-Optimal Policies_supp1-3684353.pdf
[IEEE] 2026-4-20 | Monolithic 3-D Integration of IAZO/Si-based 2T0C DRAM with RRAM for Monte Carlo Dropconnect Neural Networks
[IEEE] 2026-4-20 | Multi-Cycle Optimal Trajectory Control (OTC) with ZVS for LCC Converters Under Wide Range Load Transition
[IEEE] 2026-4-20 | Nightlights for Older Adults: Enhancing Bedroom-to-Bathroom Transitions With Community Resident Feedback
[IEEE] 2026-4-20 | Copyright Page
[IEEE] 2026-4-20 | Data Science in Education: Analyzing and Mitigating Bias from an Intersectional Perspective
[IEEE] 2026-4-20 | OREO: Open RAN Energy Optimisation via Deep Reinforcement Learning for 6G Networks
[IEEE] 2026-4-20 | Bayesian Learning Aided Doubly-Selective Simultaneous Sparse CSI Estimation in Multi-User MIMO Systems Relying on Orthogonal Time Frequency Space Modulation
[IEEE] 2026-4-20 | Einstein from Noise: Statistical Analysis
[IEEE] 2026-4-20 | Learning Monocular Depth via Cascaded Iterative Refinement in Visual-Echo Scenes
[IEEE] 2026-4-20 | Map-Based Indoor Localization Framework Under Constraint Radio Channel Resource
[IEEE] 2026-4-20 | A Single-Layer Wideband CP Filtering Reflectarray With Wide Out-of-Band Rejection via Intrinsic Orthogonality of CMs
[IEEE] 2026-4-20 | DT-Empowered, Social-Aware Service Provisioning in Edge Computing
[IEEE] 2026-4-20 | A SAC-GHULSTM Algorithm for Consumer Robot Navigation in Complex Indoor Environments with Progressive Training
[IEEE] 2026-4-20 | 70 Years of the IEEE Transactions on Engineering Management: Trends and Patterns in Scholarly Publishing
[IEEE] 2026-4-20 | Deterministic Kinematic Synchronization for High-Speed Manipulation of Non-Rigid Substrates
[IEEE] 2026-4-20 | Human-Centered Explainable AI for Security Enhancement: A Deep Intrusion Detection Framework
[IEEE] 2026-4-20 | Data-Driven Insights &amp; Predictive Modeling in Fitness Tracking
[IEEE] 2026-4-20 | Semantic Segmentation for Pest Detection on Organic Banana Leaves
[IEEE] 2026-4-20 | Design of a Solar-Based Energy-Efficient IoT-PWM-Peltier Operated Advanced HVAC-AHU Cold Storage Without VFD Technique
[IEEE] 2026-4-20 | Design and Simulation of Terahertz Antennas for Biomedical Sensing: A Comprehensive Performance Analysis
[IEEE] 2026-4-20 | Emergency Department Forecasting: COVID-19 Impact on Machine Learning Models
[IEEE] 2026-4-20 | From Prototype to Production: A Checklist for Production-Ready AI Focused on Data Quality, Monitoring, and Human Oversight
[IEEE] 2026-4-20 | Cough Detection for Smart-Home Health Monitoring: Room-Scale Edge Acoustic Sensing with Mel-Spectrogram Classification
[IEEE] 2026-4-20 | A Virtual Braille Keyboard Prototype for Accessible Text Input on Smartphones
[IEEE] 2026-4-20 | Control-Aware Fault Propagation and Latency Analysis in Distributed Automotive Electrification Architectures for ADAS Applications
[IEEE] 2026-4-20 | MIRA: Mutual Information-Based Reconstruction Attacks on Split Learning
[IEEE] 2026-4-20 | Improving the Small Object Detection Algorithm for UAV Aerial Images Based on Yolov12n
[IEEE] 2026-4-20 | Research on an Improved SimpleNet-Based Algorithm for Detecting Surface Defects in High-Voltage Equipment on Train Roofs
[IEEE] 2026-4-20 | Remote Monitoring, Control, and Update Triggering Via LoRaWAN in an Edge-Based Vehicle Counting System
[IEEE] 2026-4-20 | Multi-Objective Optimization and Finite Element-Based Verification of High-Frequency Solid-State Transformer for Multi-Port Smart Grid Applications
[IEEE] 2026-4-20 | Unsupervised Telemetry Anomaly Detection for CubeSats Across OPSS-SAT and SatNOGS Data
[IEEE] 2026-4-20 | Analysis of the Cycling Performance of rSOC System Based on a Multi-Scale Model: Considering Electrochemical Performance Degradation
[IEEE] 2026-4-20 | Efficient CPU Burst Forecasting with Low-Latency Machine Learning Models
[IEEE] 2026-4-20 | Enhancing SNN Efficiency: Time-Step Compression with Plastic Threshold and Weighted Spike Optimization
[IEEE] 2026-4-20 | Classification of COVID-19 From Chest X-Rays Using Convolutional Neural Networks
[IEEE] 2026-4-20 | A Unified ML/RL Framework for Intraday Trading with Risk-Aware Evaluation and Explainability
[IEEE] 2026-4-20 | Technical Evaluation and Challenges of LoRa Technology Applied to Smart Agriculture 5.0
[IEEE] 2026-4-20 | IoT-Based Monitoring of Radio Base Stations: Design, Implementation, and Future Enhancements
[IEEE] 2026-4-20 | Data Science and Privacy in Secure Predictive Analysis with Homomorphic Encryption and Partial Anonymization
[IEEE] 2026-4-20 | An Engineered System Concept for Early Detection of Dry-Type Transformer Failures
[IEEE] 2026-4-20 | A $10-\text{Gb} / \mathrm{s}, 1.2-\text{pJ} /$ Bit Receiver for Optical Wireless Communication
[IEEE] 2026-4-20 | Linear Quadratic Integrator &amp;Sliding-Mode Control Comparison for a Transfemoral Prosthetic Knee
[IEEE] 2026-4-20 | A High-Performance 5G/6G Framework for Deep-Space Missions with Multi-Level AI
[IEEE] 2026-4-20 | End-to-End Virtual Try-on Via Latent Diffusion Model with Multi-Condition Controlnet
[IEEE] 2026-4-20 | T-GAT: Time-Aware Graph Attention Networks for Dynamic Shilling Attack Detection
[IEEE] 2026-4-20 | An Attention-Enhanced Modified CNN for Robust Sentiment Analysis in E-Commerce Recommendation
[IEEE] 2026-4-20 | DGLA-Net: Robust MRI-PET Fusion Method Based on Deep Global-Local Attention and Multi-Scale Supervision
[IEEE] 2026-4-20 | Flexible Graphene Tactile Sensors with Spider Web Designs for Human-Computer Interaction
[IEEE] 2026-4-20 | Domain-Adaptive Named Entity Recognition for Engineering Topology Texts
[IEEE] 2026-4-20 | MTSeg: Cascaded Mamba–Transformer Enhancement for Open-Vocabulary Semantic Segmentation
[IEEE] 2026-4-20 | Automated Testing in a Multi-Agent Systems Simulation Platform
[IEEE] 2026-4-20 | Mesdasd: A Medical Expert System for Diagnosing Autoimmune System Diseases
[IEEE] 2026-4-20 | Inflections Points in Quantum Computing as an Information Technology: A Thematic Analysis
[IEEE] 2026-4-20 | Generative Adversarial Network Based Anomaly Detection for Software Defect Prediction
[IEEE] 2026-4-20 | Accelerating Enterprise Application Development Through AI-Enhanced Low-Code Platforms: An Empirical Analysis of Oracle APEX with Generative AI Integration
[IEEE] 2026-4-20 | Self-Supervised Pretraining and Calibrated Fine-Tuning for Common and Rare Thoracic Findings on Chest Radiographs
[ACM] 2026-4-20 | StepOverflow: PMC Overflows on AMD SEV
[ACM] 2026-4-20 | Quantitative Analysis of Master-of-Nets Garden Spaces Based on Space Syntax and Research on Resilient Inheritance of Traditional Gardens
[ACM] 2026-4-20 | The Integration of Artificial Intelligence and Digital Skills in WorldSkills Competition: Current Landscape and Future Trends
[ACM] 2026-4-20 | Innovative Design of Traditional Chinese Fish Patterns Based on Extenics and Shape Grammar
[IEEE] 2026-4-20 | A Hybrid-Domain Detector for OTFS Signals
[IEEE] 2026-4-20 | Low-complexity Adaptive Fourier Integral Method for Large Aperture Horizontal Linear Arrays at Low Frequency and Low SNR Environments
[IEEE] 2026-4-20 | A Highly Reliable Drive Circuit for Solid-State High-Voltage Pulse Generators
[IEEE] 2026-4-20 | 3D Gaussian Splatting Texture Editing via Single Modified Image
[IEEE] 2026-4-20 | VTBSAE: Provably Secure Verifier-based Password Authenticated Key Exchange for IIoT
[IEEE] 2026-4-20 | Distributed Estimator-Based Adaptive Fuzzy Prescribed-Time Consensus Control for Nonlinear Multiagent Systems
[IEEE] 2026-4-20 | Prefrontal Hierarchical Control of Corticomuscular Coherence in Stroke
[IEEE] 2026-4-20 | Modeling and Capacity Analysis of UAV-Assisted Three-tier Heterogeneous Wireless Networks
[IEEE] 2026-4-20 | VTVC: Vignetting Correction Based on Variant Transformer and Spatial Self Attention
[IEEE] 2026-4-20 | GaussianFlow SLAM: Monocular Gaussian Splatting SLAM Guided by GaussianFlow
[IEEE] 2026-4-20 | A Water-Controlled Dielectric Resonator Antenna with Unilateral and Omnidirectional Pattern Reconfigurability
[IEEE] 2026-4-20 | Table of Contents
[IEEE] 2026-4-20 | Zr-Based Contacts to n-Type AlN with Improved Performance for Power and High-Temperature Electronics
[IEEE] 2026-4-20 | Deep Semantic-Attention Proxy Hashing With Coarse-to-Fine Representation for Multi-Label Remote Sensing Image Retrieval
[IEEE] 2026-4-20 | Pre-trained Invertible Neural Network Assisted High-Dimensional Bayesian Optimization Framework for Wind Farm Layout Design
[IEEE] 2026-4-20 | Proceedings
[IEEE] 2026-4-20 | Author Index
[IEEE] 2026-4-20 | Leveraging Llms for Functional Clustering of Microservices
[IEEE] 2026-4-20 | When Video Compression Meets Multimodal Large Language Models: A Unified Paradigm for Cross-Modality Video Compression_supp1-3673193.pdf
[IEEE] 2026-4-20 | A Novel Technique to Discriminate Interference in the Time-Frequency Plane and Localize Mode Crossing
[IEEE] 2026-4-20 | Sparsity-Constrained NMF Tokenization for Interpretable Medical Signal Classification
[IEEE] 2026-4-20 | A K-/Ka-Band mmWave Radio-Over-Fiber Transceiver Front-End With Co-Designed SiGe EIC and SiPh PIC for Intrasatellite Links
[IEEE] 2026-4-20 | Synergistic regulation of polar groups and weak conjugation: preparation of polyimide and improvement of high-temperature energy storage performance
[IEEE] 2026-4-20 | Towards Robust Classification of Non-Manual Signals in Korean Sign Language under Extreme Class Imbalance
[IEEE] 2026-4-20 | Towards a Large Language Model for Guarani-Jopara: Challenges, and Early Outcomes
[IEEE] 2026-4-20 | Copyright Page
[IEEE] 2026-4-20 | 2025 IEEE Women in Engineering (WIE) Forum USA East
[IEEE] 2026-4-20 | A Comprehensive Study on XAI: A User-Centric, Cognitive Workload, and Feasibility-Driven Analysis
[IEEE] 2026-4-20 | Explainable AI Techniques for Transparent Algorithmic Trading Decisions
[IEEE] 2026-4-20 | Residual-Constrained and Future-Aware Correlation Filter for UAV Object Tracking
[IEEE] 2026-4-20 | Research on Steel Surface Defect Detection Algorithm Based on Improved YOLOv11
[IEEE] 2026-4-20 | Cascaded H-Bridge-Based Battery Storage Systems: A Distributed Control Approach for SoC Equalization of Second-Life Batteries
[IEEE] 2026-4-20 | Performance Evaluation of Deep Learning Architectures for Flood Forecasting: Optimizing Sequential Pattern Recognition in Century-Scale Rainfall Series
[IEEE] 2026-4-20 | Modeling Income Declaration Behavior in Chilean Student Loans: A Dataset and Baseline Predictive Analysis of the FSCU Program
[IEEE] 2026-4-20 | Adaptive Codebook Design and Beam Training for RIS-Aided Communication Systems With Hardware Constraints
[IEEE] 2026-4-20 | Biosystems Engineering for the Digital Transformation of Agriculture: Integrating Hardware, Software, and Global Collaboration
[IEEE] 2026-4-20 | A Machine Learning-Based Multi-Dimensional Text Complexity Model for English Writing Assessment
[IEEE] 2026-4-20 | Energy Management Through Dynamic Tariff Schemes for the Green Energy and Battery Storage Systems
[IEEE] 2026-4-20 | SML-Net: A Novel Deep Learning Network for the Prediction of the SML Index
[IEEE] 2026-4-20 | A Hybrid VGG-ResNet Architecture for Fine-Grained Image Classification Enhancement
[IEEE] 2026-4-20 | MHDMC-Net: A Lightweight Hybrid Architecture with Multi-Head Dynamic Convolution and Adaptive Gating for Accurate Brain Tumor Classification
[IEEE] 2026-4-20 | Photovoltaic Power Forecasting and Mechanism Analysis Based on Interpretable Deep Learning
[IEEE] 2026-4-20 | Battery Degradation and Reuse WITH Quantum Optimization: A Data-Driven Approach for the Circular Economy
[IEEE] 2026-4-20 | MFND: A Multimodal Fusion Framework for Noise-Robust Fault Detection in Microservice Architectures
[IEEE] 2026-4-20 | TAQ: Task-Aligned Mixed-Precision Quantization for Object Detection
[IEEE] 2026-4-20 | Predictive Maintenance in Textile Manufacturing Using Artificial Intelligence
[IEEE] 2026-4-20 | Assessment of Driver Cognitive Load in Autonomous Driving Using Extended Reality Simulation
[IEEE] 2026-4-20 | A Software-Defined Testbed for Quantifying Deauthentication Resilience in Modern Wi-Fi Networks
[IEEE] 2026-4-20 | Availability Attacks without an Adversary: Evidence from Enterprise LANs
[IEEE] 2026-4-20 | Investigation into Mathematical Modeling of Collision Avoidance Zones Under the Detection and Avoidance Framework
[IEEE] 2026-4-20 | Rainfall Observation - A Comparison of Satellite and Ground-Based Remote Sensing
[IEEE] 2026-4-20 | Aquaculture Net Cage Breakage Detection Based on improved YOLOv8
[IEEE] 2026-4-20 | Automated Evaluation of Authentication Features of Web Pages from the Low Vision User Perspective
[IEEE] 2026-4-20 | EduCore: A Privacy-Aware LLM-Driven Education Framework with Intelligent Multi-Agent Support
[IEEE] 2026-4-20 | Enhanced MIT Coffee Can Radar with Integrated Infrared Imaging for Target Detection and Classification for Experiential Learning Platform
[IEEE] 2026-4-20 | Engineering Management for AI-Driven Software Quality Assurance: Practices, Challenges, and Future Direction
[IEEE] 2026-4-20 | Research on Post-Processing Methods for Object Detection in Electrical Secondary Drawings for Substation Engineering Applications
[IEEE] 2026-4-20 | Development of a Gomoku System Based on 2D Array Modeling and Algorithm Optimization
[IEEE] 2026-4-20 | A Power Load Forecasting Uncertainty Quantification Method Combining CNN-BiLSTM and Gaussian Process Regression
[IEEE] 2026-4-20 | Vision Transformer-Based Explainable Framework for Automated Lung Cancer Identification
[IEEE] 2026-4-20 | Enhancing Cross-Modal Person Re-Identification through Fine-Grained Feature Fusion
[IEEE] 2026-4-20 | Structural Re-Parameterization Enhanced Object Detection for High-Precision PCB Defect Inspection in Industrial Manufacturing
[IEEE] 2026-4-20 | A Proposed PV Generation System With Short-Term Prediction Integrated Battery Energy Storage System
[IEEE] 2026-4-20 | SCOPE: Satellite Communication Security Analysis and Mitigation Strategies Using STRIDE and Data Flow Diagrams
[IEEE] 2026-4-20 | Risk-Adaptive Authorization for Agentic AI Systems
[IEEE] 2026-4-20 | Enhancing OCT Image Classification of Macular Diseases Using a Self-Built Dataset and Advanced Neural Networks
[IEEE] 2026-4-20 | Governed Agentic AI for Software Platforms: A Reference Architecture for Safe Autonomy at Scale
[ACM] 2026-4-20 | An Immersive Intelligent Learning Environment for Traditional Architectural Heritage: Teaching Research Based on UE5 and GPT-5 Thinking
[ACM] 2026-4-20 | Bladder Cancer Detection Using Vision Transformer: A Survey
[ACM] 2026-4-20 | A Generate-then-Translate Framework for High-Fidelity Arabic Image Captioning
[ACM] 2026-4-20 | Performance Analysis of Precoding with Adaptive Modulation Based OFDM Schemes in Visible Light Communication
[IEEE] 2026-4-20 | Integrating Multi-Neural DAE Experts into Power System Dynamic Component Modeling for EMTP-Type Simulation
[IEEE] 2026-4-20 | Two-Stage Framework for Efficient UAV-Based Wildfire Video Analysis with Adaptive Compression and Fire Source Detection
[IEEE] 2026-4-20 | Software-Defined Reconfigurable Underwater Wireless Optical Communication System with Laser Array Modulation and Deep Learning Demodulation
[IEEE] 2026-4-20 | Energy-Closure Framework for Physics-Consistent Electric Vehicle Fleet Estimation
[IEEE] 2026-4-20 | IEEE Sensors Letters Publication Information
[IEEE] 2026-4-20 | A Fast Robust Adaptive Filter using Improved Data-Reuse Method
[IEEE] 2026-4-20 | A Large-dimensional Analysis of ESPRIT DoA Estimation: Inconsistency and a Correction via RMT_supp1-3683673.pdf
[IEEE] 2026-4-20 | Optically Navigated Surgical Robotic System for Automated In Situ Bioprinting in Confined Anatomical Spaces
[IEEE] 2026-4-20 | Efficient Volume-Hiding Encrypted Conjunctive Search with Leakage Suppression for Cloud-Assisted IoT
[IEEE] 2026-4-20 | Novel AI-empowered Memristive Biosensing Computational Approach for Biomarker Detection
[IEEE] 2026-4-20 | Information Freshness and Energy Efficiency Tradeoffs in IEEE 802.11: Age of Information Performance Analysis of Target Wake Time Mechanism
[IEEE] 2026-4-20 | RideAgent: An LLM-Enhanced Optimization Framework for Automated Taxi Fleet Operations
[IEEE] 2026-4-20 | MANR-Net: Morphology-Aware and Noise-Repair Network for 3D Object Detection
[IEEE] 2026-4-20 | DOA Estimation Exploiting Moving Sparse Uniform Linear Array With Coprime Frequencies
[IEEE] 2026-4-20 | Cavity-Enhanced Gas Raman Spectroscopy With Passively Locked Blue Laser Diodes
[IEEE] 2026-4-20 | Statistical Horizontal Squeezing Transform and Its Application in Reflection Interface Identification of Deep Carbonate Reservoirs
[IEEE] 2026-4-20 | Effect of Interpupillary Distance Mismatch on Distance and Orientation Perception in Action Space across HMDs
[IEEE] 2026-4-20 | Strategic Location and Generation Optimization in Radial Power Systems Using Voltage Stability Indices and Fuzzy Logic Optimization
[IEEE] 2026-4-20 | Spatial Fusion and Multivariate Analysis for Powdery Mildew in Vineyards: a Pca, Clustering, and Geostatistical Approach
[IEEE] 2026-4-20 | Continuous Mobile Audio Monitoring for Sleep Apnea Detection
[IEEE] 2026-4-20 | IEEE Power &amp; Energy Society Publication Information
[IEEE] 2026-4-20 | Experimental Verification of Adaptive Synchronization System under Grid Fault Conditions Using a 2 MW Wind Power Converter Test Bench
[IEEE] 2026-4-20 | Coupled PV Step-up Resonant Converter Modules with an Enhanced Efficiency Optimization Scheme for the Power Balancing Stage
[IEEE] 2026-4-20 | Linear Quadratic Integral Control with Double Integrator for Platooning System: A Numerical Study of String Stability
[IEEE] 2026-4-20 | Table of Contents
[IEEE] 2026-4-20 | Research on Image Classification Based on ResNeXt and Attention Mechanisms
[IEEE] 2026-4-20 | Graph Based Structural Anomaly Scoring and Hybrid Ranking for Audit Oriented Screening of Accounting Transaction
[IEEE] 2026-4-20 | Kalman-Augmented Estimation for Enhancing the Reliability Analysis of Power Electronic Converters via Sensor-Error Mitigation
[IEEE] 2026-4-20 | A Feature Space Maturity Model for ABM Frameworks: Definition and Experimentation
[IEEE] 2026-4-20 | DF-YOLOv11n: Dynamic Feature Fusion Lightweight Detector for Multi-Scale Targets in VisDrone Aerial Imagery
[IEEE] 2026-4-20 | Interpretable Machine Learning for Female Fetus Chromosome Abnormality Detection in NIPT: XGBoost with Cox Regression and SHAP Analysis
[IEEE] 2026-4-20 | Zoom-Aware UAV Deep Learning for Graded Bolt-Looseness Inspection of Communication Towers
[IEEE] 2026-4-20 | Interference Suppression and Detection Algorithm for MIMO-OTFS in High-Mobility Scenarios
[IEEE] 2026-4-20 | Performance Evaluation of Hardware Architectures for Convolutional Neural Networks
[IEEE] 2026-4-20 | Computer-Aided Innovative Design of “Tai Tai Hua” Motifs in Xiangxi Tujia Brocade
[IEEE] 2026-4-20 | Integrating Automated Accessibility Checks in Web and Mobile Workflows
[IEEE] 2026-4-20 | Filling the Gaps in System Monitoring – Zombie Exporter: A Prometheus Exporter for Zombie Process Detection
[IEEE] 2026-4-20 | Virtual Screening and Explainability Analysis of GAPDH-Siah1 Protein-Protein Interaction Inhibitors Using Ligand-Based Fingerprints and LightGBM
