[2026-07-17 10:48:02] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-16
正在获取论文...
[arXiv] 2026-07-16 | Immediate 3D Gaussian Splat Reconstruction of Unordered Input with Global Consistency
[arXiv] 2026-07-16 | Fast two-dimensional tensor-network contraction via subspace iteration
[arXiv] 2026-07-16 | Frequency Selection in Bayesian Spectral Modeling of Time Series Data with Applications to Wearable Device Measurements
[arXiv] 2026-07-16 | Modular-CAPA-Based Communication Systems: Joint Activation and Beamforming Design
[arXiv] 2026-07-16 | The majority of hot Jupiters formed beyond the water ice line
[arXiv] 2026-07-16 | Asymptotics for the Laplace transform of the Elephant Random Walk via Schwarz-Christoffel mappings
[arXiv] 2026-07-16 | A lower bound of 4 for online graph exploration
[arXiv] 2026-07-16 | Amplitude- and frequency-modulated combs from an actively locked metasurface external-cavity laser
[arXiv] 2026-07-16 | Learning in Infinitesimal Non-Compositional Sketches
[arXiv] 2026-07-16 | Inelastic Scattering Effects on Attenuation of Boosted Dark Matter
[arXiv] 2026-07-16 | DataShield: Uncovering Risky Fine-Tuning Data Across LLMs Through Consensus Subspace Alignment
[arXiv] 2026-07-16 | A Unital Banach Algebra Which Is Not a Calkin Algebra
[arXiv] 2026-07-16 | ESAR: Event-Based Synthetic Aperture Reconstruction
[arXiv] 2026-07-16 | Two problems on booksize and triangular edges in Nosal graphs
[arXiv] 2026-07-16 | Kernel weighted importance sampling for off-policy evaluation in contextual bandits
[arXiv] 2026-07-16 | Robust Optimal Control of Arbitrarily Switched Systems: A Path-Complete Framework
[arXiv] 2026-07-16 | Beyond Single Expert: Harmonizing Diverse Visual Priors in MLLMs for Spatial Understanding
[arXiv] 2026-07-16 | Radiative corrections in neutral-current (anti)neutrino elastic scattering at $\text{GeV}$ energies I: Nucleon targets
[arXiv] 2026-07-16 | RoGS: Adaptive Meshgrid Gaussian for Large-Scale Road Surface Mapping
[arXiv] 2026-07-16 | The $L^p$ Neumann problem for the Stokes system in nonsmooth domains
[arXiv] 2026-07-16 | Machine-Learning-Empowered Quantum Sensing of the Plaquette Phase in a Three-Level Delta System
[arXiv] 2026-07-16 | Learning Agile Navigation in Crowded Environments for Quadruped Robots
[arXiv] 2026-07-16 | Refining primordial black hole dark matter constraints with dust heating: the role of spin and halo profile dependence
[arXiv] 2026-07-16 | Topology-Informed Survival Analysis of Breast Cancer Patients Using the Mapper Algorithm
[arXiv] 2026-07-16 | Observers, local measurements, and topology
[arXiv] 2026-07-16 | Differentiable Routability-Driven Package Floorplanning with Pin Assignment
[arXiv] 2026-07-16 | LQCDMaster: Agentic Scientific Computing for Lattice Quantum Chromodynamics Research
[arXiv] 2026-07-16 | Verification of a DPLL Transition System in Rocq
[arXiv] 2026-07-16 | JADE-GS: Joint Alternating Deblurring Guided by Events in 3D Gaussian Splatting
[arXiv] 2026-07-16 | Demographically-Conditioned Synthetic Medical Images for Bias Mitigation and Bias Detection in Disease Classifiers
[arXiv] 2026-07-16 | Particle production from bubble collisions
[arXiv] 2026-07-16 | Hierarchical Denoising For Multi-Step Visual Reasoning
[arXiv] 2026-07-16 | SciDiagramEdit: Learning to Edit Scientific Diagrams from Paper Revisions
[arXiv] 2026-07-16 | Products of simplices are canonically Ramsey
[arXiv] 2026-07-16 | Beyond Success Rate: Cost-Aware Evaluation of Offensive and Defensive Security Agents
[arXiv] 2026-07-16 | Relativistic time-commutative dynamics with $κ$-plane noncommutativity
[arXiv] 2026-07-16 | Analytic finite-rank corrections for singularly weighted estimates in a computer-assisted proof of 3D Euler singularity
[arXiv] 2026-07-16 | New exact bispectrum shapes in multifield inflation
[arXiv] 2026-07-16 | Equivalence of the Compton and Bethe-Feynman Yield Formulas
[arXiv] 2026-07-16 | When will T Coronae Borealis next erupt as a nova? Constraints from recurrence, orbital phase, and accretion-state evolution
[arXiv] 2026-07-16 | Language Identification via Compositional Data Analysis: A Linear-Time Classifier Based on Log-Ratio Geometry
[arXiv] 2026-07-16 | "Goldfish'' equations for infinitely many particles
[arXiv] 2026-07-16 | Analytical and Numerical Study of Quartic Nonlinear Electrodynamics in Holographic Fermion Systems
[arXiv] 2026-07-16 | Magnetic Order in bilayer Ruddlesden-Popper Nickelates
[arXiv] 2026-07-16 | Spectral Characterizations of Schatten-class perturbations of Partial isometries
[arXiv] 2026-07-16 | Measuring Interaction-Induced Energy Shifts of Rydberg Atoms in Hot Vapor
[arXiv] 2026-07-16 | NeuronSoup: Evolving Asynchronous, Shared-Neuron Temporal Graphs without Backpropagation
[arXiv] 2026-07-16 | Asymptotic Brill-Noether Existence at the Half-Canonical Degree: Energy Pairing, Cheeger Inequality and Covering Radii
[arXiv] 2026-07-16 | A self-consistent Higgs-portal framework for dark matter--admixed neutron stars: Collider-motivated benchmarks meet multimessenger constraints
[arXiv] 2026-07-16 | Explaining Process Control Optimisation Recommendations via GradientSHAP and Implicit Differentiation
[arXiv] 2026-07-16 | U-shaped Multi-granularity Learning for Vision-Language Models
[arXiv] 2026-07-16 | Umbrella theorems for time-frequency representations
[arXiv] 2026-07-16 | On the Log-Concavity of the D'Arcais Polynomials for Normalised Functions
[arXiv] 2026-07-16 | Spatially multiplexed concentric discrete optical vortices: Complex topological structures and unconventional rotational dynamics
[arXiv] 2026-07-16 | LongStraw: Long-Context RL Beyond 2M Tokens under a Fixed GPU Budget
[arXiv] 2026-07-16 | Self-organized defect clustering and concentration-dependent vacancy diffusion in MoS$_2$
[arXiv] 2026-07-16 | Causal Inference for Sequential Settings under Interference and Latent Confounding
[arXiv] 2026-07-16 | Maximizing Core Entropy
[arXiv] 2026-07-16 | Benchmarking Face Recognition without Real Faces
[arXiv] 2026-07-16 | TanGO: Training-Free 3D Editing via Tangent-Space Guidance and Optimization
[arXiv] 2026-07-16 | Random Logit Scaling: Defending Deep Neural Networks Against Black-Box Score-Based Adversarial Example Attacks
[arXiv] 2026-07-16 | Human-Robot Interaction in GenAI Architectures via the Agent-Client Protocol
[arXiv] 2026-07-16 | Finite-Dimensional Feedback Stabilization of Nonautonomous Stochastic Parabolic Equations
[arXiv] 2026-07-16 | Kerr black holes without primary hairs
[arXiv] 2026-07-16 | Contraction versus Recurrence: An Exponential Separation in Observation-Based Prediction of Deterministic Dynamics
[arXiv] 2026-07-16 | Evolution-Level Quantum Optimal Control of Single-Qubit Gates with Physics-Informed Neural Networks
[arXiv] 2026-07-16 | Assing Preferential Sampling in Retail Survival Data: A Bayesian Joint LGCP and Spatial Probit Model for Mini-Supermarket Closure in Tokyo
[arXiv] 2026-07-16 | Dust masses of Upper Scorpius disks and their statistics
[arXiv] 2026-07-16 | Are we facing a reproducibility crises in materials synthesis? A systematic review of Turkevich AuNP synthesis and CVD MoS2 growth
[arXiv] 2026-07-16 | Discrepancies between Chandrasekhar's theory of relaxation and $N$-body simulations
[arXiv] 2026-07-16 | Covering Sequences and Covering-Sequences Codes
[arXiv] 2026-07-16 | A construction of Kakeya Sets in Arbitrary Dimension
[arXiv] 2026-07-16 | Large Language Models for Code Generation from Multilingual Prompts: A Curated Benchmark and a Study on Code Quality
[arXiv] 2026-07-16 | TAMF-VTON: Texture-Aware Mask-Free Virtual Try-On via High-Fidelity Image Synthesis
[arXiv] 2026-07-16 | MIRA: a data management and education platform connecting students to robotic telescopes
[arXiv] 2026-07-16 | Exploring 2D turbulent properties in anisotropic and disordered Fourier space: Insights into inverse cascades and universal superdiffusion from randomly sampled triadic interaction
[arXiv] 2026-07-16 | Computing binary alloy phase diagrams with explicit configurational and vibrational entropy
[arXiv] 2026-07-16 | Search for double-line spectroscopic binaries in RAVE survey
[arXiv] 2026-07-16 | Probing Graviton Mass with MeerKAT PTA and SKA--PTA Forecasts
[arXiv] 2026-07-16 | Photovoltaics beyond the panel: system-level net energy under grid and firming constraints
[arXiv] 2026-07-16 | Jacobi Elliptic Chirps for Sub-Nyquist Multi-Target Ranging
[arXiv] 2026-07-16 | Global Index on Responsible AI: 2026 Report
[arXiv] 2026-07-16 | Conditional Generative Learning Enabled Wireless UAV Sensing and Tracking via Point Cloud Imaging
[arXiv] 2026-07-16 | DUET: Design of a simultaneous InGaAs--CCD split-beam imager for ultra-cool dwarf exoplanet transit survey
[arXiv] 2026-07-16 | Mixed-Frequency Time Series Forecasting via Depth-Separable Neural Networks
[arXiv] 2026-07-16 | Moment Optimization in the Navascués-Pironio-Acín Hierarchy
[arXiv] 2026-07-16 | Large Audio Language Models for Spoofing-Aware Speaker Verification
[arXiv] 2026-07-16 | Discrete Einstein metrics on unicyclic graphs
[arXiv] 2026-07-16 | Quantifying the complexity of trajectory ensembles with clustering-weighted multivariate multiscale sample entropy
[arXiv] 2026-07-16 | Testing equivalence to binary generalized linear models with application to logistic regression
[arXiv] 2026-07-16 | Computational studies of giant edge islands and unpaired X-points in HSX and W7-X by manipulating coil currents
[arXiv] 2026-07-16 | Causal-Adversarial Probing of Clinical Covariates for Prostate MRI Grading
[arXiv] 2026-07-16 | Direct observation of anisotropic exciton dispersion in the 2D semiconductor CrSBr
[arXiv] 2026-07-16 | Variational Inference for Bird's Eye View Segmentation in Autonomous Driving
[arXiv] 2026-07-16 | Reinforcement Learning for the Full Strawberry Harvesting Process: Obstacle Separation, Detachment, and Placement
[arXiv] 2026-07-16 | High-rate continuous-variable quantum key distribution coexisting with Tb/s coherent classical transmission in hollow-core fiber
[arXiv] 2026-07-16 | Pretraining Multiple Instance Learning Networks with Multi-Teacher Distillation from Pathology Slide Foundation Models
[arXiv] 2026-07-16 | Lights, Camera, Malfunction: When Illumination Robustness Leaves VLA Models Blind to Color
[arXiv] 2026-07-16 | Reflex: Real-Time VLA Control through Streaming Inference
[arXiv] 2026-07-16 | Aperiodic tile sets from Sturmian lattices
[arXiv] 2026-07-16 | MIND-CAVs: Multi-Intelligence Negotiation and Decision System for CAVs based on Intent-Driven Autonomy
[arXiv] 2026-07-16 | InCarEmo: A Multimodal Dataset for In-Cabin Emotion Recognition and Driver State Monitoring
[arXiv] 2026-07-16 | Perturbation from symmetry for semiconvex lower-order partial-wave nonlinear Dirac equations
[arXiv] 2026-07-16 | TopoAgent: A Self-Evolving Topological Agent for Multimodal Scientific Reasoning
[arXiv] 2026-07-16 | Rethinking Issue Resolution for AI/ML Systems
[arXiv] 2026-07-16 | Semi-Streaming Matching in a Single Pass II: Greedy is Optimal
[arXiv] 2026-07-16 | Dendrite: A Real-Time Python Application for Online Brain-Computer Interface Research and Development
[arXiv] 2026-07-16 | Image-to-Point Cloud Registration Made Easy with Rectified Flow-based LiDAR Upsampling
[arXiv] 2026-07-16 | Cross-Layer Error Compensation and Finite-Sample Feature-Statistics Matching for Extreme Low-Bit Quantization of Large Language Models
[arXiv] 2026-07-16 | Machine Learning for Complex Instrument Design and Optimization
[arXiv] 2026-07-16 | Angular Gaussian Supervised Contrastive Learning for Long-Tailed Electrocardiogram Arrhythmia Diagnosis
[arXiv] 2026-07-16 | An Evidential Reasoning Approach for Aerial Target Classification and Intent Prediction
[arXiv] 2026-07-16 | Accelerating A/B-Tests with Counterfactual Estimation: Reducing Variance through Policy Overlap
[arXiv] 2026-07-16 | Exceptional groups and the s-arc-transitivity of vertex-primitive digraphs, II
[arXiv] 2026-07-16 | Quasi-Belief Propagation and Neural-Network Check Node Processing for BCH Codes
[arXiv] 2026-07-16 | MathCoPilot: An Interactive System for Human-AI Symbiotic Paradigm of Mathematical Research
[arXiv] 2026-07-16 | Beyond Implicit Force: Evaluating Explicit Force-Torque Proxies in Action Chunking with Transformers
[arXiv] 2026-07-16 | Penny: Transition Network Analysis of Learner-Chatbot Interactions in Scaffolded EFL Writing
[arXiv] 2026-07-16 | Gate-Zero Growth: A Geometric Framework for Function-Preserving Continual Learning
[arXiv] 2026-07-16 | No Finite NPA Level Characterizes the Complete Quantum Set in the Simplest Bell Scenario
[arXiv] 2026-07-16 | MARS: Multi-hop Adaptive Retrieval and SPARQL Generation for KGQA
[arXiv] 2026-07-16 | Seeing the End at Step Zero: Accelerating Diffusion MLLMs via MLP Sparsity-Aware Truncation
[arXiv] 2026-07-16 | Design and Development of a Lab Prototype of a Fiber-Based Integral Field Spectrograph
[arXiv] 2026-07-16 | 3D Geometric Tooth Alignment Planning via Deep Reinforcement Learning
[arXiv] 2026-07-16 | CityLLM: A framework for natural-language querying of semantic 3D city models
[arXiv] 2026-07-16 | MIDI-RAE-JEPA: Hierarchical Representation Learning and Generation for Symbolic Music
[arXiv] 2026-07-16 | Predicting Human Visual Attention on Words in Source Code
[arXiv] 2026-07-16 | Probabilistic "Copies" in Generative AI Models
[arXiv] 2026-07-16 | Riesz-Kernel Stein Variational Gradient Descent: Renormalized Entropy and Long-Time Particle Limits
[arXiv] 2026-07-16 | SLIPT-Enabled Ground-to-UAV FSO Systems with Optical Reconfigurable Intelligent Surfaces
[arXiv] 2026-07-16 | Moment-Resolved Readout and Reservoir Diversity in Nonequilibrium Langevin Computing
[arXiv] 2026-07-16 | Custom-made Gauss quadrature: an introduction for statisticians
[arXiv] 2026-07-16 | Manufactured Divisiveness: Decomposing the Hostile Content of Seven Social Media Influence Operations
[arXiv] 2026-07-16 | Emergence of polymorphism in stochastic evolutionary games
[arXiv] 2026-07-16 | Recognition of algebraic matroids is undecidable
[arXiv] 2026-07-16 | The Power of the Score Sequence of a Tournament
[arXiv] 2026-07-16 | Altermagnetic spin textures coupled to superconductors: Domain wall spin-triplet superconductivity and supercurrent-induced torques
[arXiv] 2026-07-16 | Quantum XYZ Stabilizer Codes
[arXiv] 2026-07-16 | Emergence of a monopole phase in the $J_1{-}J_2$ Heisenberg model on the triangular lattice for small magnetic fields
[arXiv] 2026-07-16 | Noncommutative black holes: Topological bulk-boundary correspondence and Binary Merger Bounds
[arXiv] 2026-07-16 | Bad Memory: Evaluating Prompt Injection Risks from Memory in Agentic Systems
[arXiv] 2026-07-16 | Delocalization of bias in unadjusted Hamiltonian Monte Carlo and underdamped Langevin
[arXiv] 2026-07-16 | Measuring Spatial Clustering via Metropolis-Hastings Diffusion Distance
[arXiv] 2026-07-16 | The Misclassification of Autistic Writing as AI-Generated
[arXiv] 2026-07-16 | Spectral Dual Fitting for $k$-Means
[arXiv] 2026-07-16 | A Differential Neutral-to-Charged Current Double-Proton Observable for Studying Short-Range Correlations in Neutrino--Argon Scattering
[arXiv] 2026-07-16 | On the entropy of the log-normal distribution
[arXiv] 2026-07-16 | Universal Properties of Near-Threshold Single-Neutron Resonances
[ACM] 2026-7-16 | Neuroscience Inspired Graph Operators Towards Edge-Deployable Virtual Sensing for Irregular Geometries
[ACM] 2026-7-16 | Sleep-Inspired Replay-Driven Online Temporal Learning with Memristive Neuromorphic Hardware for Edge Systems
[ACM] 2026-7-16 | Open-source asynchronous periphery for mixed-signal neuromorphic chips
[ACM] 2026-7-16 | 8DNA: 8D Neural Asset Light Transport by Distribution Learning
[ACM] 2026-7-16 | VidSplat: Gaussian Splatting Reconstruction with Geometry-Guided Video Diffusion Priors
[ACM] 2026-7-16 | Shellular Metamaterial Design via Compact Electric Potential Parametrization
[ACM] 2026-7-16 | Broadband Hyperspectral 3D Imaging using Dispersed Structured Light
[ACM] 2026-7-16 | <i>C</i>
                    <sup>0</sup>
                    Generalized Coons Volumes over Arbitrary Polyhedra
[ACM] 2026-7-16 | GauSmoke: Hybrid Physics-Optical Gaussian Splatting for Sparse Smoke Reconstruction
[ACM] 2026-7-16 | ViewWeaver: Geometry-Grounded Generative Rendering for 3D-Aware Image Customization
[ACM] 2026-7-16 | MAViD: A Multimodal Framework for Audio-Visual Dialogue Understanding and Generation
[ACM] 2026-7-16 | Computational Design of Terrestrial Robots with Anisotropic Friction
[ACM] 2026-7-16 | Autoregressive Modeling of Film with Applications in Video Montage
[IEEE] 2026-7-16 | Message from the AIST 2026 Chairs
[IEEE] 2026-7-16 | $\rm {M}^{2}\rm {C-EvDet}$: Multi-Domain Multi-Order Cross-Modal Knowledge Distillation for Event-based Object Detection
[IEEE] 2026-7-16 | Remote Catheter System with Enhanced Haptic Feedback for Use in Endovascular Procedures
[IEEE] 2026-7-16 | Secure Bandwidth Allocation in UASNs via Spatially Correlated Shadowing Compensation and Geometric-Consistency Constraints
[IEEE] 2026-7-16 | Enabling Service Monitoring in Industrial IoT: A Knowledge-Integrated Service Status Perception Framework
[IEEE] 2026-7-16 | Semantic-Driven Federated Multi-Task Learning for Low-Altitude UAV Networks
[IEEE] 2026-7-16 | Dual-Sphere Structured Fiber Optic Sensor Based on SPR and MZI Principles for Marine Parameter Detection
[IEEE] 2026-7-16 | The Expanding Influence of the PSMA Magnetics Workshop [PSMA Corner]
[IEEE] 2026-7-16 | A Unified On-Orbit Relative Radiometric Calibration Framework for Optical Remote Sensing Satellites Based on Side-Slither Observations
[IEEE] 2026-7-16 | Physics-based self-supervised learning of a deep network for single-shot in-line hologram reconstruction_supp1-3694142.pdf
[IEEE] 2026-7-16 | FLEAT: Energy-Accuracy Trade-off in Federated Learning over Heterogeneous Edge Devices_supp1-3710334.pdf
[IEEE] 2026-7-16 | Dual-Stream Autoencoder with Spatial and High-Frequency Feature Interaction for Contactless Fingerprint Presentation Attack Detection
[IEEE] 2026-7-16 | Two-Scale Spatial Deployment for Cost-Effective Wireless Networks via Cooperative IRSs and Movable Antennas
[IEEE] 2026-7-16 | 2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)
[IEEE] 2026-7-16 | Classification Iterative-Interpolated DFT Algorithm for Wideband Oscillation Detection
[IEEE] 2026-7-16 | Proceedings of the IEEE
[IEEE] 2026-7-16 | Agentic-VideoRAG: A Cost-Aware and Explainable Framework for Video Retrieval
[IEEE] 2026-7-16 | A Survey of ML Approaches for Anomaly Detection in cybersecurity With a Recommendation for Practical Deployment
[IEEE] 2026-7-16 | Lightweight Multi-Cue Fusion Network for Deepfake Audio Detection
[IEEE] 2026-7-16 | Topological Robustness in Formation Flight: A Sensitivity Study
                    <sup>*</sup>
[IEEE] 2026-7-16 | Assessing Vision–Language Models for Perception in Autonomous Underwater Robotic Software
[IEEE] 2026-7-16 | Temporal Defense: Early Detection of Blackhole Attacks in Wireless Sensor Networks using LSTM
[IEEE] 2026-7-16 | A Comprehensive Review on Machine Learning Approaches for Zero-Day Attack Detection
[IEEE] 2026-7-16 | XPJudge: Explanation-Aware Pairwise Judging for Cost-Effective Code LLM Selection
[IEEE] 2026-7-16 | Leveraging Large Language Models for Trustworthiness Assessment of Web Applications
[IEEE] 2026-7-16 | Improving Molecular Generation with SELFIES: A Variational Autoencoder Approach
[IEEE] 2026-7-16 | DroidCleaner: An Android Malware Detector
[IEEE] 2026-7-16 | Runtime and Memory Performance of Human-Written and LLM-Generated Code: An Empirical Study
[IEEE] 2026-7-16 | Isolating Feature Transition Errors in Dynamically Adaptive Systems
[IEEE] 2026-7-16 | A Comparative study of Lightweight Deep Learning Frameworks for Plant Disease Detection
[IEEE] 2026-7-16 | Hybrid Table-Assisted and RL-Based Dynamic Routing for NGSO Satellite Networks
[IEEE] 2026-7-16 | A Rapid Assessment Method for the Safe Load-Bearing Capacity of Pressure Vessels with Various Defect Types
[IEEE] 2026-7-16 | A Multimodal Approach for Alzheimer’s Disease Prediction Using Vision Transformer and CNN Models
[IEEE] 2026-7-16 | Diversity as a Security Primitive for ML-Based Network Intrusion Detection
[IEEE] 2026-7-16 | A Multidomain Survey of Biological Rhythm Analysis: Integrating Mathematical Modelling, Multiscale Complexity, and Data-Driven Methods
[IEEE] 2026-7-16 | M-wave Event Stream Transformer for Mechanical Anomaly Detection of GIS Circuit Breakers
[IEEE] 2026-7-16 | Interval observer for linear discrete-time system: An L
                    <sub>1</sub>
                    -gain characterization approach
[IEEE] 2026-7-16 | A Bilingual Hindi–English Speech Emotion Dataset with Benchmark Evaluation
[IEEE] 2026-7-16 | Early Warning of Performance Degradation in Object Detection Models via Explainable AI
[IEEE] 2026-7-16 | Event-Triggered Decentralized Distillation over Multiagent Networks
[IEEE] 2026-7-16 | Decentralized Machine Learning Frameworks for Agile Team Collaboration in Digital Workspaces
[IEEE] 2026-7-16 | Adversarial Robustness in Deep Learning-based Network Intrusion Detection Systems: A Defense-Centric Systematic Review
[IEEE] 2026-7-16 | PV-Integrated Dynamic Voltage Restorer for Disturbance Compensation
[IEEE] 2026-7-16 | Sampled Event-Triggered Distributed Secondary Frequency Control for Islanded Microgrids under Communication Delays
[IEEE] 2026-7-16 | SVN-NDT: Extending Stein Variational Newton to Probabilistic LiDAR Registration for Surface Vehicle Localization
[IEEE] 2026-7-16 | Geometry-Informed Maritime Anomaly Detection Using Probabilistic Roadmaps
[IEEE] 2026-7-16 | Adaptive Droop Control For Balanced Power Sharing In Islanded Microgrids Using Battery and Flywheel Energy Storage Systems
[IEEE] 2026-7-16 | PEARL - Platform for Expert Annotation of Robotics Learning
[IEEE] 2026-7-16 | Low Power VLSI Design using Clock Gating Techniques
[IEEE] 2026-7-16 | LLM-Powered Real-Time Voice Agent for Task-Guided Practice in Serious Games for ASD
[ACM] 2026-7-16 | See-through: Single-image Layer Decomposition for Anime Characters
[ACM] 2026-7-16 | MoonSplat: Monocular Online Gaussian Splatting with Sim(3) Global Optimization
[ACM] 2026-7-16 | Curvature Space Editing of Highly-Coiled Hair
[ACM] 2026-7-16 | Dichoptic Foveation
[ACM] 2026-7-16 | gCDT: A Highly Parallel GPU Algorithm for Large-Scale Constrained Delaunay Triangulation
[ACM] 2026-7-16 | Robust In-Engine Texture Optimization from Inconsistent Generative Targets
[ACM] 2026-7-16 | VFAvatar: Feed-Forward 3D Avatar Reconstruction from Casual Image Collections
[ACM] 2026-7-16 | The Effects of Early Socio-Technical Decisions on UXDebt
[IEEE] 2026-7-16 | IRS-assisted UAV Secure Communication via Agentic AI
[IEEE] 2026-7-16 | Long-Sequence Lower Limb Action Recognition via Action-Specific Attention and Logic Correction for Daily Rehabilitation
[IEEE] 2026-7-16 | Data-Driven Output-Based Approach to the Output Regulation Problem of Unknown Linear Systems via Value Iteration
[IEEE] 2026-7-16 | Pursuit Strategies for Reach-Avoid Games with Multiple Goal Subregions via Cartesian Ovals
[IEEE] 2026-7-16 | 2026 Fourth International Conference on Secure Cyber Computing and Communications (ICSCCC)
[IEEE] 2026-7-16 | CVFL-Pro: A Collusion-Resistant Verification Federated Learning Framework with Adaptive Communication Optimization
[IEEE] 2026-7-16 | Joint Optimization of User Association and Resource Allocation for Load Balancing With Heterogeneous Fairness
[IEEE] 2026-7-16 | Get Published in the IEEE Open Journal of Power Electronics
[IEEE] 2026-7-16 | Miniaturized Transition-Free Filters With Wide Stopband Rejection Using Integrated Stepped Impedance Slot Rectangular SSPPs
[IEEE] 2026-7-16 | Analysis and Mitigation of Measurement Errors in High Flux Tests of Generator Stator Cores via Optimized Trace Winding Arrangement
[IEEE] 2026-7-16 | Message from the Program Chairs
[IEEE] 2026-7-16 | The Ultimate Source of Knowledge
[IEEE] 2026-7-16 | IEEE Design &amp; Test Publication Information
[IEEE] 2026-7-16 | Analysing a AIML Model to maximize a electric energy efficiency with crop yield improvement to advance agricultural activities
[IEEE] 2026-7-16 | Model-Based Detection of Anomalous Events in Submarine Cables Using Distributed Deformation Sensing and Kalman Filtering
[IEEE] 2026-7-16 | Explainable Multi-Class Mental Health Classification from Social Media Using DistilBERT and Knowledge Graphs
[IEEE] 2026-7-16 | An Explainable Auto ML Framework for Detecting MQTT CONNECT Flooding Attacks in Healthcare 5.0 IoMT Systems
[IEEE] 2026-7-16 | ICST Tool Competition 2026 – UAV Testing Track
[IEEE] 2026-7-16 | Design and Evaluation of an ML-Based Anomaly Detection System
[IEEE] 2026-7-16 | Performance evaluation of ResNet50-Based Deep Learning Approach for Dark Spot Disease Detection in Mango Leaves
[IEEE] 2026-7-16 | Detection of Adulterated Pork Meat Using YOLOv7-Based Deep Learning and Image Processing Through Color and Texture Analysis
[IEEE] 2026-7-16 | Identity-Consistent Face Restoration from Masked Inputs Using Diffusion Models
[IEEE] 2026-7-16 | An Efficient Satellite Image Deblurring Model Integrating Deep Learning and Walrus Optimization Algorithm
[IEEE] 2026-7-16 | Koopman-Based Multi-Step Prediction of Nonlinear Body-Velocity Dynamics for an Underwater Vehicle
[IEEE] 2026-7-16 | LLM-Powered Framework for Real-World Exploit Prediction
[IEEE] 2026-7-16 | Empowering Autism Care through Conversational AI Agents: Leveraging Large Language Models for Personalized Support
[IEEE] 2026-7-16 | The Computation of Congruential Closures over the Max-Plus Semiring
[IEEE] 2026-7-16 | GIS Based Identification of Optimal Solar Plant Locations in Odisha, India
[IEEE] 2026-7-16 | Secure Automotive Intrusion Detection Using Federated GNNs and Explainable AI
[IEEE] 2026-7-16 | Teleoperated Driving via a Private 5G Network: Demonstration with Remotely-Driven Robots
[IEEE] 2026-7-16 | Federated Learning–Enabled Zero-Trust SDN Framework for Secure IoT Network Traffic Analysis
[IEEE] 2026-7-16 | TSV: Training Set Verification - Detection of Unauthorized Data Additions to the Training Set of Machine Learning Models Using Out-of-Distribution Technique
[IEEE] 2026-7-16 | Canine Skin Disease Classification using Convolutional Neural Networks through Limited Multispectral Imaging
[ACM] 2026-7-16 | Evaluating LLM-based Workflows for Switched-Mode Power Supply Design
[ACM] 2026-7-16 | MANA-RTD: A Structured Process for Managing Requirements Technical Debt in Real Projects
[ACM] 2026-7-16 | Synthetic Data Generation for Schema-Aware Query Interfaces: Benchmarking NL2GraphQL Systems
[ACM] 2026-7-16 | Proceedings of the Ninth International Workshop on Exploiting Artificial Intelligence Techniques for Data Management
[ACM] 2026-7-16 | Prox-E: Fine-Grained 3D Shape Editing via Primitive-Based Abstractions
[ACM] 2026-7-16 | Object-Space Analysis of Local Contrast Sensitivity for Hierarchical Representations of 3D Gaussians
[ACM] 2026-7-16 | NeuralSketch2Surf: Fast Neural Surfacing of Unoriented 3D Sketches
[ACM] 2026-7-16 | MV-S2V: Multi-View Subject-Consistent Video Generation
[ACM] 2026-7-16 | AGILE: Hand-object Interaction Reconstruction from Video via Agentic Generation
[ACM] 2026-7-16 | OmniRoam: World Wandering via Long-Horizon Panoramic Video Generation
[ACM] 2026-7-16 | UCM: Unified Modeling of Camera Control and Memory with Time-aware Positional Encoding Warping for World Models
[IEEE] 2026-7-16 | Differentially Privacy-Preserving Weighted Average Consensus via State-Related Dynamic Memory Event-Triggered Mechanism
[IEEE] 2026-7-16 | Analysis and design of multiphase interleaved CRM Buck converter with wide load range
[IEEE] 2026-7-16 | Robust Quantum Federated Learning Against Colluding and Non-colluding Byzantine Attacks
[IEEE] 2026-7-16 | TA-RNN-Medical-Hybrid: A Time-Aware and Interpretable Framework for Mortality Risk Prediction
[IEEE] 2026-7-16 | Maritime UAV MIMO Channel Prediction: A Propagation Environment-Constrained Dual-Stream Mamba Approach
[IEEE] 2026-7-16 | Pilot Allocation for OFDM Uplink ISAC under RF Imperfections: Analysis, Prototyping, and Tradeoffs
[IEEE] 2026-7-16 | A Segmented Metasurface Retroreflector for Ultra-Wideband and Wide-Angle Monostatic RCS Enhancement
[IEEE] 2026-7-16 | I2CACIS 2026 Copyright Page
[IEEE] 2026-7-16 | Keynotes
[IEEE] 2026-7-16 | Reassembled Sparsity Learning Approach for Downlink Massive MIMO-OFDM Channel Estimation
[IEEE] 2026-7-16 | Nerites Framework: An Open-Source ROS2 Gym Environment for Intelligent Underwater Robotics
[IEEE] 2026-7-16 | Pulse: AI - Based Heart Monitor with Risk Predictions and Smart Suggestions
[IEEE] 2026-7-16 | Modelling a consistent and open information model for control cabinets
[IEEE] 2026-7-16 | Ai Enabled echo meet-Video conferencing platform with live Transcription
[IEEE] 2026-7-16 | Sequential Data-Driven Design of a Complete Controller-Allocator Scheme for Strongly Input Redundant LPV Systems
[IEEE] 2026-7-16 | Real-World Reinforcement Learning for Energy-Efficient DL Power Management in Beyond 5G RAN
