[2026-08-27 00:19:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-26
正在获取论文...
[IEEE] 2026-8-26 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[IEEE] 2026-8-26 | Adaptive Cascaded Selection via Tensor-Accelerated Unbounded Archive for Multimodal Multi-objective Optimization_supp1-3727262.pdf
[IEEE] 2026-8-26 | Benchmarking Edge TSDBs for Multi-Tenant Network Workloads under Container Budgets: Tail Latency, Jitter, and Failure Frontiers
[IEEE] 2026-8-26 | Chain-Based Service Function Chain Placement: Optimizing Latency in Multi-Topology Networks
[IEEE] 2026-8-26 | Conversational AI for Safety-Critical Virtual and Extended Reality: Intelligent Agents Across Health Informatics, Navigation, and Urban Sensing
[IEEE] 2026-8-26 | Sentiment-Intensity-Aware Contrastive Learning with Hierarchical Information Bottleneck for Multimodal Sentiment Analysis
[IEEE] 2026-8-26 | Research on Multi-source Data Fusion Monitoring and Analysis System Based on GSM-R and 5G-R
[IEEE] 2026-8-26 | Obstacle-Aware Online Receiver Planning in Multistatic Ranging
[IEEE] 2026-8-26 | ACP-N: An Agentic Communication Protocol for Dynamic Resource Management in Next Generation Wireless Networks
[IEEE] 2026-8-26 | Parasitic Capacitance in Planar Transformers: Impact on Turn-off Switching Dynamics and Transformer Current Distortions in DAB Converters
[IEEE] 2026-8-26 | Optimize Surgical Triplet Recognition: A Knowledge-Driven Mixture-of-Experts Solution
[IEEE] 2026-8-26 | Sparse Principal Component Analysis with Energy Profile Dependent Sample Complexity
[IEEE] 2026-8-26 | A Multi-Level Combinatorial Optimization Method for Generating Corner Scenarios in Autonomous Vehicle Testing Based on Scenario Element Analysis
[IEEE] 2026-8-26 | A Multi-Strategy Improved Tree-Seed Algorithm and Its Application to Mobile Robot Path Planning
[IEEE] 2026-8-26 | Research on Application Technology of a Big Data Informatization System for Condition Monitoring of Liquid Rocket Engines
[IEEE] 2026-8-26 | StreamDuet: Bandwidth Efficient Multi-Drone Video Analytics with Iterative Streaming
[IEEE] 2026-8-26 | Automated Microscopy Video Object Detection of Motile Cells with Static-Dynamic Transformers_supp1-3726563.mp4
[IEEE] 2026-8-26 | Front Cover
[IEEE] 2026-8-26 | Two Epistemologies, One System: Building the Bridge Between Cybersecurity and Control Theory
[IEEE] 2026-8-26 | Integrated Fault-Tolerant Control Scheme for Steer-by-Wire Systems Based on Steering Motor and Steering Angle Sensor Fault Estimation
[IEEE] 2026-8-26 | Selective Tensor Freezing for Efficient Fine-Tuning in Resource-Constrained Federated Learning
[IEEE] 2026-8-26 | Hypersphere Memory Preservation Network: A Domain-Incremental Learning Method for Open-Circuit Fault Diagnosis in Power Converters
[IEEE] 2026-8-26 | Research on Power Allocation and Control Strategies of Multi-Port Space Energy Systems
[IEEE] 2026-8-26 | Flexible High-Density Thermopile Heat Flux Sensors Based on MEMS Technology and Their Performance Evaluation
[IEEE] 2026-8-26 | An FPGA-based MAC Acceleration Architecture with Coarse-Grained Encoding for Bit-Level Sparsity
[IEEE] 2026-8-26 | Communication-Efficient Satellite-Ground Federated Learning Over Intermittent LEO Satellite Networks
[IEEE] 2026-8-26 | Target-Region-Aware Refocusing of Moving Ship in SAR Image
[IEEE] 2026-8-26 | Biomedical Word Sense Disambiguation via Multi-Source Knowledge Fusion and Dynamic Enhancement
[IEEE] 2026-8-26 | AIoT-Enabled Dual-Phase Framework for Industrial Anomaly Detection and Recognition
[IEEE] 2026-8-26 | Author Index
[IEEE] 2026-8-26 | Distributed or Centralized: Edge-Cloud Collaborative Active Learning
[IEEE] 2026-8-26 | Fairness-Aware Power Allocation for Multi-Carrier IoT Systems via Mutual Information Approximation
[IEEE] 2026-8-26 | Program Committee
[IEEE] 2026-8-26 | AdaMoA: Enhancing Mixture-of-Agents via Task-Adaptive Architecture Optimization
[IEEE] 2026-8-26 | IRCS: A text information recording and reproducing system for interested texts from the first-person reading perspective based on hand-text interaction
[IEEE] 2026-8-26 | Performance Comparison of ZF and MMSE Linear Detectors in MIMO Systems Under Rayleigh Fading
[IEEE] 2026-8-26 | Mitigating Cold Starts in Container-Ephemeral Large Language Model Serving
[IEEE] 2026-8-26 | RFID-Integrated Framework for Early Identification of Lame Cows Through Gait Speed Analysis
[IEEE] 2026-8-26 | Scylla: Scheduling Multiple Latency-Sensitive Applications in the Edge-Cloud Continuum
[IEEE] 2026-8-26 | Congestion-Resilient Auditable V2X Alert Scheduling with Publicly Checkable Evidence
[IEEE] 2026-8-26 | CoInfer: Breaking the Resource Wall for Collaborative Edge Inference
[IEEE] 2026-8-26 | 2026 IEEE International Conference on Digital Health (ICDH)
[IEEE] 2026-8-26 | LARSS: A Hardware-Software Co-designed Framework for Load-Aware Receive Side Scaling
[IEEE] 2026-8-26 | Cloud Pipelines for Real-Time Anomaly Detection for Autonomous and Connected Vehicles
[IEEE] 2026-8-26 | Centralised Microwave-Photonic OCDM-IM-FMCW for Free-Space Optical ISAC Systems
[IEEE] 2026-8-26 | A Spatiotemporal Forward–Backward Complementary Framework for Online Dynamic Object Removal in LiDAR-Inertial Localization
[IEEE] 2026-8-26 | A Semantic Platform for the Management and Search of Digital Product Passports (DPPs)
[ACM] 2026-8-26 | Combining Tests and Proofs with Contracts for Better Software Verification
[ACM] 2026-8-26 | APKOS: Accurate and Privacy-Preserving Keyword Spotting for Intelligent Voice Assistant Systems
[IEEE] 2026-8-26 | RiCE: Precise Remote In-Network Congestion Elimination in Inter-Datacenter RDMA Networks
[IEEE] 2026-8-26 | WebAssembly on the Cloud Continuum: A Multi-Architecture Evaluation on Kubernetes
[IEEE] 2026-8-26 | Multi-Hop Localization and Hemisphere Ambiguity Resolution Framework for Magnetoquasistatic Fields in Unknown Environments
[IEEE] 2026-8-26 | Proactive Scaling and Energy Optimization for 5G O-RAN: Experimental Insights
[IEEE] 2026-8-26 | DP-MPC: Offloading Secure Multi-Party Computation to Programmable Data Planes
[IEEE] 2026-8-26 | Core Traffic Feature Identification and Cross-Model Validation for Lightweight DDoS Detection
[IEEE] 2026-8-26 | Enhancing Estimation of Leaf Nitrogen Content in Ginkgo Saplings Using Wavelet-based Indices Derived from UAV Hyperspectral Imagery
[IEEE] 2026-8-26 | An Anti-SSDF Cooperative Spectrum Sensing Method Based on Dempster–Shafer Evidence Theory and Multi-Dimensional Weight Fusion
[IEEE] 2026-8-26 | Context-Aware Predictive Optimization of Non-Functional Requirement Conflicts in DevOps Using Machine Learning
[IEEE] 2026-8-26 | Graph-Conditioned Active Sensing for Failure-Recovery Placement in Sparse Spatiotemporal Sensor Networks_supp1-3727127.docx
[IEEE] 2026-8-26 | Simultaneous Measurement of Liquid Level and Temperature using High-Sensitivity Sensor Based on Etched Four-Core Fiber
[IEEE] 2026-8-26 | Breaking the Accuracy-Latency Trade-Off in Sketch Compression for Network Measurement
[IEEE] 2026-8-26 | Research on Topological Structure and Robustness Analysis of North American Aviation Network
[IEEE] 2026-8-26 | Multimodal Smart Sleeve for Muscle Activation Assessment in Self-Coaching Fitness
[IEEE] 2026-8-26 | REACT: Toward Real-Time, End-to-End, Adaptive Cross-Layer Restoration for IP-Over-Optical Networks
[IEEE] 2026-8-26 | Multi-View Flow Representation and Relation Graph Modeling for Network Traffic Classification
[IEEE] 2026-8-26 | Multiscale Hypergraph Dynamic Autoencoders for Whole-Brain Activity Prediction
[IEEE] 2026-8-26 | An Intrusion Detection Algorithm Fusing Improved Feature Selection and Dynamic Feature Fusion
[IEEE] 2026-8-26 | Metamorphic Testing of Multi-Agent LLM Systems: A Trace-Based Behavioral Oracle Framework
[IEEE] 2026-8-26 | DisRnet: Semi Supervised Instance Segmentation Network based on Discrete Data Statistics
[IEEE] 2026-8-26 | FPGA-Efficient Weight-Aware DPD Precision Allocation for Digital Transmit Phased Arrays
[IEEE] 2026-8-26 | Design and Implementation of an AI-Driven Smart Campus Management System with Multi-Agent Collaboration and RAG-based Knowledge Retrieval
[IEEE] 2026-8-26 | Heterogeneous-Prior Bayesian Inference for Fault Localization in Software Product Lines
[IEEE] 2026-8-26 | K2-Think: A Comparative Performance Review Against GPT-5 and Perplexity
[IEEE] 2026-8-26 | Low-PAPR OFDM Waveform Design without Spectral Efficiency Loss for Underwater Acoustic Integrated Sensing and Communication
[IEEE] 2026-8-26 | Process-Deviation-Aware Multifidelity Surrogate Modeling for Rapid Beam-Optics Prediction of TWT Electron Guns
[IEEE] 2026-8-26 | An Elite Circuit Model-Enhanced Frequency Control for Self-Resonant PCB-Based Hybrid Wireless Power Transfer Systems
[IEEE] 2026-8-26 | PATHS: Pathfinding Through Transformer-Based Heuristic Search in Partially Dynamic Grid Mazes
[IEEE] 2026-8-26 | The Acceptance of Generative AI Tools Among Creative Arts Students
[ACM] 2026-8-26 | A Born-Accessible Approach to Technology Design
[ACM] 2026-8-26 | Defeating the Disembodiment of Design in the AI Age
[IEEE] 2026-8-26 | Message From the General Chairs AITest 2026
[IEEE] 2026-8-26 | Governance-Aware, Privacy-Preserving Retrieval-Augmented Large Language Models for Clinical Triage Decision Support
[IEEE] 2026-8-26 | Lang2Graph: Towards Leveraging Human Language for Indoor Topology Inference Using LLMs
[IEEE] 2026-8-26 | 2026 IEEE International Conference on Edge Computing and Communications (EDGE)
[IEEE] 2026-8-26 | Efficient Exploration With Diversity Guarantee Towards Evolutionary Critic Designs
[IEEE] 2026-8-26 | Coping with Silent Errors for Workflows of Moldable Tasks
[IEEE] 2026-8-26 | Building Smallsats from Consumer Electronics for Federated Earth Observation
[IEEE] 2026-8-26 | Shape2Animal: Creative Animal Generation from Natural Silhouettes
[IEEE] 2026-8-26 | IEEE Transactions on Big Data
[IEEE] 2026-8-26 | Dual-Channel Uncertainty Estimation-Based Residual-Augmented Preview MPC for Active Suspension Systems
[IEEE] 2026-8-26 | Text-IRSTD: Leveraging Fuzzy Text to Promote Infrared Small Target Detection in Complex Scenes
[IEEE] 2026-8-26 | Governing Children’s and Adolescents’ Exposure on Social Media: A Taxonomy of Risks and Harms
[IEEE] 2026-8-26 | Joint Spatial Spectrum Sensing and On-demand Communication Resource Allocation for Cognitive Beam Hopping NGSO Satellite Systems
[IEEE] 2026-8-26 | Explainable and Adaptive Intrusion Detection in Digital Twin Environments
[IEEE] 2026-8-26 | Bidirectional Six-Mode In-Band Full-Duplex Transmit-Reflect-Array Antenna With Independent Beams for High-Throughput IoT Communication
[IEEE] 2026-8-26 | IEEE Guide for Wireless Access in Vehicular Environments (WAVE)--Multi-Jurisdictional Interoperability Using Security Credentials Originating in Disparate Policy Domains
[IEEE] 2026-8-26 | Asymmetric-Aware Hybrid Granularity Load Balancing in RDMA-enabled Data Center Networks
[IEEE] 2026-8-26 | Cross-Edge-Validated Tool Condition Monitoring via Joint Natural-Frequency and Damping-Ratio Tracking of Cutting Vibration
[IEEE] 2026-8-26 | 5G Communication Channel Estimation and Interference Suppression Technology under Multi-scattering Environment
[IEEE] 2026-8-26 | Tomographic Grid Optimization for Spaceborne Multi-Angle D-InSAR Tropospheric Measurements
[IEEE] 2026-8-26 | Learning Graph Topology with Functional Priors via Bilevel Optimization
[IEEE] 2026-8-26 | SketchPlan: Full-Visibility Sketch-Based Telemetry with Limited Programmable Switch Coverage
[IEEE] 2026-8-26 | Socioeconomic Gradients in Chronic Disease for Digital Health Risk Stratification and Targeted Interventions
[IEEE] 2026-8-26 | Mapping App-Store Reviews to Nielsen Heuristics with Human-AI Agreement Analysis: Scalable Usability Assessment for Reliable Connected Mental Health Software Systems
[IEEE] 2026-8-26 | Design of a Digital FIR Filter Based on CPO-LSTM
[IEEE] 2026-8-26 | JudgEHR: LLM-Guided Cohort Inference for Clinical Decision Confidence Estimation
[IEEE] 2026-8-26 | Three-Dimensional Vector-Space Model Predictive Control Based on a Quadratic Cost Function for T-Type Three-Phase Three-Level Inverters
[IEEE] 2026-8-26 | Improved YOLOv11 Small Object Detection Method Based on Dual-backbone Network and Adaptive Feature Fusion
[IEEE] 2026-8-26 | An Efficient Multi-Level Visual Perception Framework for UAV-Based Tiny Object Detection and Tracking
[IEEE] 2026-8-26 | A Flexible-Topology Rack-Scale Interconnect Architecture for Heterogeneous LLM Workloads
[IEEE] 2026-8-26 | AITest 2026 Program Committee
[IEEE] 2026-8-26 | ClusterFi: Enabling Concurrent WiFi Backscatter Communication via Collided Signal Clustering
[IEEE] 2026-8-26 | IEEE 2026 World Congress on Services
[IEEE] 2026-8-26 | Energy-Optimized Lightweight DRL for Computational Offloading in UAV-IoV Systems
[IEEE] 2026-8-26 | A Data Fusion-Based IoT System for Sensing Fire Event in an Indoor Environment
[IEEE] 2026-8-26 | SpecOffload: Unlocking Latent GPU Capacity for LLM Inference on Resource-Constrained Devices
[IEEE] 2026-8-26 | Ontology Driven Agentic System for Automating Security Compliance in Medical Cyber-Physical WBANs
[IEEE] 2026-8-26 | FAWN: Multi-Encoder Fusion-Attention Wave Network for Integrated Sensing and Communication Indoor Scene Inference
[IEEE] 2026-8-26 | A Dual-Branch Vision-Sonar Fusion Detector for Underwater Robotic Object Detection
[IEEE] 2026-8-26 | A Disease and Pest Identification Method Based on Multi-feature Fusion
[IEEE] 2026-8-26 | KaaS-Edge: Resource-Aware Knowledge Distillation Service for Heterogeneous Wireless Edge Networks
[IEEE] 2026-8-26 | Copyright Page
[IEEE] 2026-8-26 | Physics-Informed CNN-BiLSTM Attention Network for Fault Diagnosis of Spacecraft Electrical Power Systems
[IEEE] 2026-8-26 | Friendly Jamming-Assisted Colluding Covert Communication Against MRT-Aware Statistical SNR-Based Weighted Cooperative Detection Method in IoT
[IEEE] 2026-8-26 | OrchNAS: Orchestrated Neural Architecture Search Service for Personalised Federated Edge Intelligence
[IEEE] 2026-8-26 | Title Page iii
[IEEE] 2026-8-26 | From Lived Experience to Digital Biomarkers: Methods for Scaling Narrative Data with Large Language Models in Mental Health
[IEEE] 2026-8-26 | Benchmarking Plant Disease Detection Models on Degraded Image Quality Running on the Edge Devices
[IEEE] 2026-8-26 | Maintenance, Evolution, and Preservation of Generative Artworks
[IEEE] 2026-8-26 | Efficient Domain Generalization in Wireless Networks with Scarce Multi-Modal Data
[IEEE] 2026-8-26 | Semi-Supervised and Self-Supervised Approaches to Handle Label Scarcity in the PlantVillage Corn Dataset
[IEEE] 2026-8-26 | CEINR: Critical Element-aware In-Network Recovery for Distributed Machine Learning
[IEEE] 2026-8-26 | Formal Modeling and GDPR-Aware Design for Internet of Medical Things Systems
[IEEE] 2026-8-26 | Frequency-Aware Wavelet-Guided Diffusion for Efficient Low-Dose PET Reconstruction
[IEEE] 2026-8-26 | The Imitation Game: Using Large Language Models to Disrupt Chinese Chat-Based Cybercrime
[IEEE] 2026-8-26 | Author Index
[IEEE] 2026-8-26 | Personalized Growth Modeling Using Local Polynomials
[IEEE] 2026-8-26 | Impact of Mg Doping on p-GaN Gate HEMTs Fabricated by CMOS-Compatible Process
[IEEE] 2026-8-26 | Curvature-Guided Dynamic Search for Imperceptible Adversarial Attacks on Point Clouds
[IEEE] 2026-8-26 | Synergistic Wavelet Decomposition and Stochastic Resonance Methods for Enhanced Thruster Fault Detection in Autonomous Underwater Vehicles
[IEEE] 2026-8-26 | TreeSemantic: An Online Module for Individual Tree Segmentation and Attributes Estimation
[IEEE] 2026-8-26 | Front Cover
[IEEE] 2026-8-26 | DramaFlow: A Visual DAG-Orchestrated Framework for AI-Driven Multimodal Content Generation
[IEEE] 2026-8-26 | Enhancing MoQ Resiliency With Implicit Failover Methods
[IEEE] 2026-8-26 | Enhancing Clinical Trust in Diabetic Retinopathy Screening: A Multi-Strategy Rule Extraction Framework from CNN
[IEEE] 2026-8-26 | Optimizing Cancer Classification in High-Dimensional Data by Integrating Generative AI with Feature Selection
[IEEE] 2026-8-26 | Systematic Cross-System Optimization of Parallel Hypergraph K-Core Decomposition: An Empirical Study
[IEEE] 2026-8-26 | Locally Optimal Detection for Spectrum Sensing under MA-Based Bernoulli-Gaussian Noise
[IEEE] 2026-8-26 | Direction-Level Degeneracy-Aware Continuous Soft-Compensation for LiDAR-Inertial Odometry
[IEEE] 2026-8-26 | Design of an Embedded IoT Multi-Parameter Detection System Based on Edge Intelligence
[IEEE] 2026-8-26 | IoT-Enabled ToD-Aware Pump Scheduling for Cost Reduction in IWS Systems
[IEEE] 2026-8-26 | A Lightweight Low-Complexity CSI Feedback Network for 6G Massive MIMO Systems
[IEEE] 2026-8-26 | Correction to “Clinical Validations on Effective Skin Clutter Rejection for Microwave Breast Cancer Diagnosis”
[IEEE] 2026-8-26 | Event-Triggered Control for Switched Systems Under DoS Attacks: A Mixed
                    <i>H</i>
                    <sub>∞</sub>
                    and Passive Strategy
[IEEE] 2026-8-26 | Accurate LoRaWAN Localization in Harbors: A Comparative Study of VMD-BiLSTM and VMD-GAT-BiLSTM for Spatiotemporal RSSI Forecasting
[IEEE] 2026-8-26 | Federated Learning-Based Privacy Protection and Secure Communication Method for Satellite Mobile Communication Terminals
[IEEE] 2026-8-26 | Purification and Routing for Makespan Minimization in Quantum Networks
[IEEE] 2026-8-26 | Improving Federated Learning under Non-IID Data through Clustered Ensembles and Adaptive Client Selection
[ACM] 2026-8-26 | Calendar
[IEEE] 2026-8-26 | GaLB: Gap-Aware Load Balancing for High-Performance AI Training in RDMA Networks
[IEEE] 2026-8-26 | Planar CELC Microstrip Sensor for Non-Invasive Dielectric Characterisation of Solids and Liquids
[IEEE] 2026-8-26 | It Takes Two: Embracing Sparsity and Speculative Decoding for Efficient LLM Inference
[IEEE] 2026-8-26 | A Power-Noise Fusion Method for LPDDR5 Statistical Eye Diagrams Based on SI/PI Cosimulation
[IEEE] 2026-8-26 | DSFFormer: A Road-Dependent Driving-Style-Aware Framework for Personalized Vehicle Speed Prediction in Car-Following Scenarios_supp1-3726982.docx
[IEEE] 2026-8-26 | Asynchronous Multi-Agent Reinforcement Learning Aided Packet-Routing for Space-Air-Ground Integrated Networks
[IEEE] 2026-8-26 | A Hierarchical Decision-Space Modeling and Local–Global Surrogate Coevolutionary Algorithm for Expensive Multiobjective Optimization
[IEEE] 2026-8-26 | Context as a Signal: Context-Aware Transformers for Fine-Grained Depression Emotions
[IEEE] 2026-8-26 | HawkEye: Hierarchical Intent Inference for Critical Targets on Edge-Cloud Co-Assisted UAVs
[IEEE] 2026-8-26 | Development of an Online Visibility Prediction System for Highways Based on RK3588
[IEEE] 2026-8-26 | LTS-ProtoNet: Local-Temporal-Semantic Prototype Network for Remote Sensing Change Detection
[IEEE] 2026-8-26 | Design and Preliminary Validation of CTQ-FPS: A Critical Thinking Measurement Instrument for FPSBased Educational Game Environments
[IEEE] 2026-8-26 | Evolutionary Influence Maximization for Weighted Directed Networks by Means of Deep Reinforcement Learning
[IEEE] 2026-8-26 | Bridging Optical Appearance and SAR Scattering With Vision-Language Prototypes for Zero-Shot Target Recognition
[IEEE] 2026-8-26 | Tremerity-Fi: Non-Contact Daily-Life Tremor Severity Assessment by Commercial mmWave Radar
[IEEE] 2026-8-26 | Exploring Energy Saving Opportunities for Data Center Cooling Systems
[IEEE] 2026-8-26 | SBA-Route: Domain-Based Routing for Scalable and Low-Latency 5G Distributed Control Planes
[IEEE] 2026-8-26 | To Encroach or not? When Smart Device Manufacturer Facing a Centralized or Decentralized E-Commerce-IoT Platform_supp1-3727052.pdf
[IEEE] 2026-8-26 | A Feature-Resource-Cooperative Scheduling Framework for Dynamic Task Offloading in SAGIN
[IEEE] 2026-8-26 | Joint Duty-Cycle and Load Optimization of a Broadband RF Rectifier under Pulsed Excitation
[IEEE] 2026-8-26 | HiPACS: A Mixed-Signal In-Memory Complete SAT Solver with Hierarchical Architecture and Parallel Boolean Constraint Propagation
[IEEE] 2026-8-26 | IEEE Computer Graphics and Applications
[IEEE] 2026-8-26 | Addressing the Combinatorial Explosion of Code-Based Visual Artifacts
[IEEE] 2026-8-26 | English for Aeronautical Communication: Anna P. Borowska: [Book Review]
[IEEE] 2026-8-26 | Design of Vacuum Interrupters for DC Circuit Breaker Topologies: A Comprehensive Review
[IEEE] 2026-8-26 | Flexible and Intelligent Latency Management Scheme for PTMP Fronthaul Networks via Joint Resource Optimization
[IEEE] 2026-8-26 | IEEE Professional Communication Society Publication Information
[IEEE] 2026-8-26 | A Hybrid Deep Learning Approach for Ransomware Detection Using 1D-CNN and DistilBERT
[IEEE] 2026-8-26 | Perovskite Solar Cell-Based Integrated Photovoltaic Antennas
[IEEE] 2026-8-26 | Dynamic Malicious Encrypted Traffic Detection via Temporal Knowledge Graph in Cloud-Edge Networks
[IEEE] 2026-8-26 | Designing Reliable LLM Systems for AI-Assisted Engineering Education
[ACM] 2026-8-26 | Building a generic cyber-physical model of a river: Case study of sampling point selection on Ergene River to identify pollution source zones
[IEEE] 2026-8-26 | Analysis and an Easily Implemented Power Enhancement Design of Trackside Magnetic Field Energy Harvester in Railway
[IEEE] 2026-8-26 | Securing Multi-Agent GIS Systems: Risk Evaluation and Prompt Hardening Optimization
[IEEE] 2026-8-26 | Lightweight deepfake detection technology in edge intelligent environment
[IEEE] 2026-8-26 | IEEE Career Center
[IEEE] 2026-8-26 | Hacking Art: Software Analysis as Artistic Practice
[IEEE] 2026-8-26 | A Deep-Learning Based Consumer Grade Smart Baseball Training System for Batting Performance Digitalization
[IEEE] 2026-8-26 | AGFI-Net: Adaptive Graph Feature Interaction Network for Event-Based Motion Recognition and Detection
[IEEE] 2026-8-26 | CBDDoSCLIP: A Lightweight Multimodal Framework for Carpet-Bombing DDoS Attack Detection
[IEEE] 2026-8-26 | ISP-Path Alignment Can Outweigh Protocol: An HTTP/3 Case Study in Suzhou, China
[IEEE] 2026-8-26 | A Hybrid Passive–Active Pipeline for On-Device Smart-TV Brand and Protocol Identification on iOS
[IEEE] 2026-8-26 | Gomonika: A Privacy-Preserving Cultural-Linguistic Authentication Framework for Autonomous Delivery in Low-Resource Environments
[IEEE] 2026-8-26 | An Improved Approach for Long-Tail Object Detection in UAV Images with DQ-DETR
[IEEE] 2026-8-26 | 2026 8th International Conference on Electronics and Communication, Network and Computer Technology (ECNCT)
[IEEE] 2026-8-26 | Joint Task Offloading Method Based on MEC in Internet of Vehicles
[IEEE] 2026-8-26 | Design and Laboratory Verification of Harmonic Filter for Civil Aircraft High-Frequency Transceiver
[IEEE] 2026-8-26 | A Multiplexing Topology for EV WPT Systems with Integrated PV and Storage
[IEEE] 2026-8-26 | Message from the EDGE 2026 Chairs
[IEEE] 2026-8-26 | Geometry-Informed Auxiliary Priors for Consistent 3D Content Generation_supp1-3726924.pdf
[IEEE] 2026-8-26 | Model Validation of DSCM Transceivers from B2B Characterization for Disaggregated Optical Networks
[IEEE] 2026-8-26 | Driving Institutional Digital Transformation Through Ethical AI-Enabled University Technology Transfer: Insights from ICCubeX
[IEEE] 2026-8-26 | Quantitative Assessment Model of Researchers' Innovation Capability Based on Multi-source Data Fusion and Text Semantic Mining
[IEEE] 2026-8-26 | Comprehensive Experimental Evaluation of SDR-Based C-RAN 5G-SA Networks: Coverage, Throughput, and Hardware Impact
[IEEE] 2026-8-26 | Research on EEG-Based Drowsy Driving Recognition Integrating Multi-Scale Temporal Features and Brain Functional Connectivity
[IEEE] 2026-8-26 | A Multi-Model Analysis of Non-Invasive Oxygen Saturation from Smartphone-Captured Fingertip Video
[IEEE] 2026-8-26 | Copyright and Reprint Permission
[IEEE] 2026-8-26 | Table of Contents
[IEEE] 2026-8-26 | Fully Distributed Prescribed-Time Leader–Follower Consensus for Networked Uncertain Second-Order Multi-Agent Systems: A Dual Dynamic Event-Triggered Hierarchical Approach
[ACM] 2026-8-26 | The Epistemic AI
[IEEE] 2026-8-26 | Pre-Layout Design Synthesis for Decap Placement in Multi-Power Domains Using Multi-Agent Reinforcement Learning
[IEEE] 2026-8-26 | Noah: Tile-Level Interval Analysis for NPU Performance Modeling
[IEEE] 2026-8-26 | Proceedings
[IEEE] 2026-8-26 | Unlock the Benefits - IEEE Computer Society
[IEEE] 2026-8-26 | DistSRE: Synthesizing Runtime Executions with Automated Co-Optimization for Distributed LLM Training
[IEEE] 2026-8-26 | Modeling, Analysis and Control of Two-Motor Series Type Multifunctional Converter System
[IEEE] 2026-8-26 | A Systematic Review of ENT Disease Diagnostic Methods Using Edge AI Devices
[IEEE] 2026-8-26 | IEEE Computer Society Information
[IEEE] 2026-8-26 | Persymmetric Rao, Wald, Gradient, and Durbin Detectors for FDA-MIMO Radar with Training Data in Gaussian Nois
[IEEE] 2026-8-26 | An Enhanced Super-Twisting Sliding Mode Control Strategy for Islanded Grid-Forming DFIGs With a Single Voltage Loop
[IEEE] 2026-8-26 | Robust Cuffless Blood Pressure Estimation via PPG-Conditioned Diffusion and Contrastive Transformer Fusion
[IEEE] 2026-8-26 | An ETO-Optimized Clustering Bayesian Weighting Method for Wi-Fi Fingerprint Indoor Positioning
[IEEE] 2026-8-26 | An Analysis of Artificial Intelligence Adoption in NIH-Funded Research
[IEEE] 2026-8-26 | Trust Toward Artificial Intelligence Integration for Internship Placement Systems in Higher Education
[IEEE] 2026-8-26 | Advancing Sustainable Electric Vehicle Charging Through Photovoltaic-Battery Integration: Design and Performance Evaluation
[IEEE] 2026-8-26 | Fourier-Probe Analysis of Residue-Class Derivative Sampling
[IEEE] 2026-8-26 | Energy-Efficient Hybrid-Modulated IoT Transceiver with Symbol-Aware Power Amplifier Control
[IEEE] 2026-8-26 | Biphasic Sketch: Multi-Attribute Stream Summarization for Arbitrary Attribute Combinations
[IEEE] 2026-8-26 | An Ai-Driven Technique for Timely Detection of Risks and Memory Lapses for Elderly Individuals
[IEEE] 2026-8-26 | Research on an Improved A* Path Planning Algorithm for Amphibious Environments
[IEEE] 2026-8-26 | Compact Wideband Filters With Flexible Notched Bands Using Integrated Slots and Blind Vias SSPPs
[IEEE] 2026-8-26 | SOKT-Based Range Walk Compensation for Hypersonic Radar Platforms
[IEEE] 2026-8-26 | A Unified Hybrid ECDHE–ML-KEM-768 Key Exchange Scheme for Quantum-Resilient Mobile Communication_supp1-3727264.pdf
[IEEE] 2026-8-26 | Localization and Tracking for Cooperative Users in Multi-RIS-Assisted Systems: Theoretical Analysis and Principles of Interpretations
[IEEE] 2026-8-26 | Multi-Resonator Coupled-Line Microstrip Bandpass Filter With Enhanced Out-of-Band Rejection for NV-Center ODMR
[IEEE] 2026-8-26 | Few-Packet Traffic Classification under Dynamic Network Conditions
[IEEE] 2026-8-26 | Sum Rate Maximization in Optical STAR-RIS and NOMA-Assisted VLC Systems with Hybrid Multicast-Unicast Transmission
[IEEE] 2026-8-26 | Efficient and High-Precision Online Backdoor Detection for Unknown Attack Domains
[IEEE] 2026-8-26 | A Resource-Aware Asynchronous PBT Framework with Dynamic LoRA for Heterogeneous Edge Clusters
[IEEE] 2026-8-26 | MAFlow: A Memory-access Optimized CNN Inference Dataflow for Large-sized Feature
[IEEE] 2026-8-26 | Optimization of LIFEPO4 Battery Pack for Electric Vehicles Application Using Active Balancer
[IEEE] 2026-8-26 | Adverse Drug Event Prediction in Pharmacovigilance Using KG-Augmented LLM
[IEEE] 2026-8-26 | Deep Reinforcement Learning for Joint Communication and Control Design in Wireless Networked Control Systems
[IEEE] 2026-8-26 | Research on Active Transmission Characteristics of High-Speed Serial Channels
[IEEE] 2026-8-26 | A Rotation-Aware Multi-Scale Fusion Network for Oriented Object Detection in Remote Sensing Images
[IEEE] 2026-8-26 | AgentDropout: Dynamic Redundancy Elimination for Multi-Agent Collaboration Efficiency
[IEEE] 2026-8-26 | Influence Operations in Social Networks
[IEEE] 2026-8-26 | SE-STGAE: A Shapelet-Enhanced Spatiotemporal Graph Autoencoder for Early Anomaly Detection
[IEEE] 2026-8-26 | Table of Contents
