[2025-12-09 09:13:34] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-08
正在获取论文...
[arXiv] 2025-12-08 | A quantitative dynamical Zhang fundamental inequality and Bogomolov-type problems
[arXiv] 2025-12-08 | Mid-infrared intraband transitions in InAs colloidal quantum dots
[arXiv] 2025-12-08 | Online Segment Any 3D Thing as Instance Tracking
[arXiv] 2025-12-08 | Left regular bands with symmetry
[arXiv] 2025-12-08 | Anomalous Wave-Packet Dynamics in One-Dimensional Non-Hermitian Lattices
[arXiv] 2025-12-08 | Quantum geometrical effects in non-Hermitian systems
[arXiv] 2025-12-08 | Improving the Throughput of Diffusion-based Large Language Models via a Training-Free Confidence-Aware Calibration
[arXiv] 2025-12-08 | Skein-valued mirror curves for toric CY3 strips
[arXiv] 2025-12-08 | Conserved quantities and integrability for massless spinning particles in general relativity
[arXiv] 2025-12-08 | E-PCN: Jet Tagging with Explainable Particle Chebyshev Networks Using Kinematic Features
[arXiv] 2025-12-08 | Copositivity, discriminants and nonseparable signed supports
[arXiv] 2025-12-08 | Voxify3D: Pixel Art Meets Volumetric Rendering
[arXiv] 2025-12-08 | Intralayer antiferromagnetism in two-dimensional van der Waals magnet Fe$_3$GeTe$_2$
[arXiv] 2025-12-08 | The Adoption and Usage of AI Agents: Early Evidence from Perplexity
[arXiv] 2025-12-08 | DESI Strong Lens Foundry V: A Sample of HST-Observed Strong Lenses Modeled with GIGA-Lens
[arXiv] 2025-12-08 | Graph-Based Learning of Spectro-Topographical EEG Representations with Gradient Alignment for Brain-Computer Interfaces
[arXiv] 2025-12-08 | Caustics in the spherically symmetric Einstein-dust system
[arXiv] 2025-12-08 | Auditing Games for Sandbagging
[arXiv] 2025-12-08 | Nonlinear Quantum Mechanics and Artificial Intelligence
[arXiv] 2025-12-08 | OneStory: Coherent Multi-Shot Video Generation with Adaptive Memory
[arXiv] 2025-12-08 | Collaborative Causal Sensemaking: Closing the Complementarity Gap in Human-AI Decision Support
[arXiv] 2025-12-08 | LLM Use for Mental Health: Crowdsourcing Users' Sentiment-based Perspectives and Values from Social Discussions
[arXiv] 2025-12-08 | The local homological structure of generalized splines
[arXiv] 2025-12-08 | GatedFWA: Linear Flash Windowed Attention with Gated Associative Memory
[arXiv] 2025-12-08 | Microquasar remnants as hidden PeVatrons
[arXiv] 2025-12-08 | The heartbeat of stellar halos: Insights from the stellar halo mass-metallicity relation
[arXiv] 2025-12-08 | Widefield pump-probe microscopy with coherent background subtraction by angle-compensated temporal shearing
[arXiv] 2025-12-08 | GorillaWatch: An Automated System for In-the-Wild Gorilla Re-Identification and Population Monitoring
[arXiv] 2025-12-08 | OptMap: Geometric Map Distillation via Submodular Maximization
[arXiv] 2025-12-08 | Log-concave functions and transformations thereof
[arXiv] 2025-12-08 | Toward Seamless Physical Human-Humanoid Interaction: Insights from Control, Intent, and Modeling with a Vision for What Comes Next
[arXiv] 2025-12-08 | Normal closure of finite subgroups of $\mathrm{Aut}(F_n)$ and $\mathrm{Out}(F_n)$
[arXiv] 2025-12-08 | Charge functions for high dimensional partitions
[arXiv] 2025-12-08 | Augmented Neural Ordinary Differential Equations for Power System Identification
[arXiv] 2025-12-08 | Physics-Informed Neural Networks for Source Inversion and Parameters Estimation in Atmospheric Dispersion
[arXiv] 2025-12-08 | Enumeration of maps with the Dumitriu-Edelman model
[arXiv] 2025-12-08 | A Performance Analyzer for a Public Cloud's ML-Augmented VM Allocator
[arXiv] 2025-12-08 | Real-time collisions of fractional charges in a trapped-ion Jackiw-Rebbi field theory
[arXiv] 2025-12-08 | HLTCOE Evaluation Team at TREC 2025: VQA Track
[arXiv] 2025-12-08 | Bounded oscillation operators on BMO spaces
[arXiv] 2025-12-08 | Index and nullity of minimal surface doublings, I
[arXiv] 2025-12-08 | Multi-Generator Continual Learning for Robust Delay Prediction in 6G
[arXiv] 2025-12-08 | Groupoid graded rings and their categories of graded modules
[arXiv] 2025-12-08 | Bounds on inequality with incomplete data
[arXiv] 2025-12-08 | In-Context and Few-Shots Learning for Forecasting Time Series Data based on Large Language Models
[arXiv] 2025-12-08 | PVeRA: Probabilistic Vector-Based Random Matrix Adaptation
[arXiv] 2025-12-08 | Automated Generation of Custom MedDRA Queries Using SafeTerm Medical Map
[arXiv] 2025-12-08 | Mapping Still Matters: Coarse-Graining with Machine Learning Potentials
[arXiv] 2025-12-08 | Prospects for measuring electroweak production of $Zγγ$ and 2 jets at the LHC
[arXiv] 2025-12-08 | Observability of eccentricity in a population of merging compact binaries
[arXiv] 2025-12-08 | When Large Language Models Do Not Work: Online Incivility Prediction through Graph Neural Networks
[arXiv] 2025-12-08 | Equidistant dimension of Cartesian product graphs
[arXiv] 2025-12-08 | Reliable agent engineering should integrate machine-compatible organizational principles
[arXiv] 2025-12-08 | Entropy--Smooth Structures on Topological Manifolds
[arXiv] 2025-12-08 | Systematic analysis of 3HDM symmetries
[arXiv] 2025-12-08 | Robustness of flat band superconductivity against disorder in a two-dimensional Lieb lattice model
[arXiv] 2025-12-08 | Energy-Aware Aggregation of Input Data for the Optimisation of Heat Supply of Municipal Districts
[arXiv] 2025-12-08 | On the singular elliptic problem involving the variable order fractional Musielak $g_{x,y}$-Laplacian
[arXiv] 2025-12-08 | Black Hole Scattering and Integrability: A Hyperboloidal Approach
[arXiv] 2025-12-08 | Optimization for growth condition of ultrathin hexagonal boron nitride on dielectric substrates via LPCVD
[arXiv] 2025-12-08 | Service Registration, Indexing, Discovery & Selection; An Architectural Survey Toward a GenAI-Driven Future
[arXiv] 2025-12-08 | The shape-velocity alignment of satellites forged by tidal locking and dynamical friction
[arXiv] 2025-12-08 | The Agent Capability Problem: Predicting Solvability Through Information-Theoretic Bounds
[arXiv] 2025-12-08 | Long- and short-time behavior of hypocoercive evolution equations with higher index via modal decompositions
[arXiv] 2025-12-08 | Chains of rotating boson stars with quartic or sextic self-interaction
[arXiv] 2025-12-08 | Diverse stages of star formation in the IRAS 18162-2048 region. Emergence of UV Feedback
[arXiv] 2025-12-08 | Determination of nuclear quadrupole moments of $^{25}$Mg, $^{87}$Sr, and $^{135,137}$Ba via configuration-interaction plus coupled-cluster approach
[arXiv] 2025-12-08 | Generalised Bohr Hamiltonian for Gogny interactions
[arXiv] 2025-12-08 | Microfluidic gratings for X-ray Phase Contrast Imaging
[arXiv] 2025-12-08 | A Reconfigurable Circuit Strategy and Its Application in Low-Power Rectifier for Ambient Energy Harvesting
[arXiv] 2025-12-08 | Critical Density-Wave Vestigial Phases of Commensurate Pair Density Wave
[arXiv] 2025-12-08 | Understanding Individual Decision-Making in Multi-Agent Reinforcement Learning: A Dynamical Systems Approach
[arXiv] 2025-12-08 | A note on proper asymptotic uniqueness for semifinite factors
[arXiv] 2025-12-08 | See Once, Then Act: Vision-Language-Action Model with Task Learning from One-Shot Video Demonstrations
[arXiv] 2025-12-08 | Dual-Stream Cross-Modal Representation Learning via Residual Semantic Decorrelation
[arXiv] 2025-12-08 | Renewal Hawkes Processes: Expectations and Applications
[arXiv] 2025-12-08 | Spin-Texture Spin-valve with a van der Waals Magnet
[arXiv] 2025-12-08 | Universal Hitchin moduli spaces
[arXiv] 2025-12-08 | Asymptotic evolution of bulk-viscous, spherically symmetric spacetimes
[arXiv] 2025-12-08 | RRAEDy: Adaptive Latent Linearization of Nonlinear Dynamical Systems
[arXiv] 2025-12-08 | Minimum Bayes Risk Decoding for Error Span Detection in Reference-Free Automatic Machine Translation Evaluation
[arXiv] 2025-12-08 | VulnLLM-R: Specialized Reasoning LLM with Agent Scaffold for Vulnerability Detection
[arXiv] 2025-12-08 | The Suicide Region: Option Games and the Race to Artificial General Intelligence
[arXiv] 2025-12-08 | A foliated viewpoint on homotopy Brouwer theory
[arXiv] 2025-12-08 | VP-AutoTest: A Virtual-Physical Fusion Autonomous Driving Testing Platform
[arXiv] 2025-12-08 | MultiMotion: Multi Subject Video Motion Transfer via Video Diffusion Transformer
[arXiv] 2025-12-08 | Materium: An Autoregressive Approach for Material Generation
[arXiv] 2025-12-08 | Interior $C^{1,α}$ regularity of mixed local-nonlocal $(p,q)$-energy minimizers for $p\leq sq$
[arXiv] 2025-12-08 | Enhancing Agentic RL with Progressive Reward Shaping and Value-based Sampling Policy Optimization
[arXiv] 2025-12-08 | An Analysis of Decision Problems for Relational Pattern Languages under Various Constraints
[arXiv] 2025-12-08 | RuleSet Generation Framework for Application Layer Integration in Quantum Internet
[arXiv] 2025-12-08 | Living the Novel: A System for Generating Self-Training Timeline-Aware Conversational Agents from Novels
[arXiv] 2025-12-08 | Absence of charged pion condensation in a magnetic field with parallel rotation
[arXiv] 2025-12-08 | On the Role of the Canonical Transformation in the Single-Channel Kondo Model
[arXiv] 2025-12-08 | Gait-Adaptive Perceptive Humanoid Locomotion with Real-Time Under-Base Terrain Reconstruction
[arXiv] 2025-12-08 | From Show Programmes to Data: Designing a Workflow to Make Performing Arts Ephemera Accessible Through Language Models
[arXiv] 2025-12-08 | Improving the Stability of Colloidal CsPbBr3 Nanocrystals with an Alkylphosphonium Bromide as Surface Ligand Pair
[arXiv] 2025-12-08 | Non-Hermitian off-diagonal disordered optical lattices
[arXiv] 2025-12-08 | Revisiting the Evolutionary Status of Massive Stars at the central parsec of the Milky Way
[arXiv] 2025-12-08 | Bridging CORDEX and CMIP6: Machine Learning Downscaling for Wind and Solar Energy Droughts in Central Europe
[arXiv] 2025-12-08 | Revolutionizing Mixed Precision Quantization: Towards Training-free Automatic Proxy Discovery via Large Language Models
[arXiv] 2025-12-08 | Adaptive Tuning of Parameterized Traffic Controllers via Multi-Agent Reinforcement Learning
[arXiv] 2025-12-08 | Determinations of angular stiffness in rotational optical tweezers
[arXiv] 2025-12-08 | Impact of RIS Orientation on Throughput in UAV-Assisted Wireless Systems
[arXiv] 2025-12-08 | Open qubit parameter identification with bounded pulses
[arXiv] 2025-12-08 | Multiplet structure of chromium(III) dopants in wide band gap materials
[arXiv] 2025-12-08 | A Tri-Band Shared-Aperture Base Station Antenna Array Covering 5G Mid-Band and 6G Centimetric Wave Band
[arXiv] 2025-12-08 | Control and Reinforcement Learning through the Lens of Optimization: An Algorithmic Perspective
[arXiv] 2025-12-08 | LUNE: Efficient LLM Unlearning via LoRA Fine-Tuning with Negative Examples
[arXiv] 2025-12-08 | ESPADA: Execution Speedup via Semantics Aware Demonstration Data Downsampling for Imitation Learning
[arXiv] 2025-12-08 | Alperin's weight conjecture, Galois automorphisms, alternating sums, and functorial equivalences
[arXiv] 2025-12-08 | Challenges in Developing Secure Software -- Results of an Interview Study in the German Software Industry
[arXiv] 2025-12-08 | Orbital dynamics and spin-precession around a circular chiral vorton
[arXiv] 2025-12-08 | An Asynchronous Mixed-Signal Resonate-and-Fire Neuron
[arXiv] 2025-12-08 | A Geometric Unification of Concept Learning with Concept Cones
[arXiv] 2025-12-08 | Dualities of dihedral and generalised quaternion codes and applications to quantum codes
[arXiv] 2025-12-08 | Venus: An Efficient Edge Memory-and-Retrieval System for VLM-based Online Video Understanding
[arXiv] 2025-12-08 | Linear codes over $\frac{\mathbb{F}_q[u]}{\langle u^2 \rangle}$ with mixed-alphabet defining sets and their Gray images: Constructions of projective few-weight, distance-optimal and minimal codes
[arXiv] 2025-12-08 | Machine learning in an expectation-maximisation framework for nowcasting
[arXiv] 2025-12-08 | Degenerate Complex Hessian type equations on compact Hermitian manifolds and Applications
[arXiv] 2025-12-08 | Big shells, bigger data: cohort analysis of Chesapeake Bay Crassostrea virginica reefs
[arXiv] 2025-12-08 | Timing quantum emission: coherence, superradiance, and entanglement in order
[arXiv] 2025-12-08 | Integrated Sensing, Communication, Computing, and Control Meets UAV Swarms in 6G
[arXiv] 2025-12-08 | IyaCare: An Integrated AI-IoT-Blockchain Platform for Maternal Health in Resource-Constrained Settings
[arXiv] 2025-12-08 | Two-dimensional RMSD projections for reaction path visualization and validation
[arXiv] 2025-12-08 | ContextAnyone: Context-Aware Diffusion for Character-Consistent Text-to-Video Generation
[arXiv] 2025-12-08 | DBMC-aNOMAly: Asynchronous NOMA with Pilot-Symbol Optimization Protocol for Diffusion-Based Molecular Communication Networks
[arXiv] 2025-12-08 | M-STAR: Multi-Scale Spatiotemporal Autoregression for Human Mobility Modeling
[arXiv] 2025-12-08 | Revisiting Quantum Supremacy: Simulating Sycamore-Class Circuits Using Hybrid CPU/GPU HPC Workloads
[arXiv] 2025-12-08 | Radiance-Field Reinforced Pretraining: Scaling Localization Models with Unlabeled Wireless Signals
[arXiv] 2025-12-08 | Towards Accurate UAV Image Perception: Guiding Vision-Language Models with Stronger Task Prompts
[arXiv] 2025-12-08 | Non-asymptotic convergence bounds of modified EM schemes for non-dissipative SDEs
[arXiv] 2025-12-08 | Diagnosing Interstellar Magnetic Turbulence with TeV Pulsar Halos
[arXiv] 2025-12-08 | Equivariant Diffusion for Crystal Structure Prediction
[arXiv] 2025-12-08 | Evaporation of Primordial Black Holes in a Thermal Universe: A Thermofield Dynamics Approach
[arXiv] 2025-12-08 | Rigidity of the gradient estimate for Einstein manifolds
[arXiv] 2025-12-08 | A remark on the Beurling-Malliavin theorem in several variables
[arXiv] 2025-12-08 | Non-weight modules over generalized Heisenberg-Virasoro algebra of rank two
[arXiv] 2025-12-08 | Ensembling LLM-Induced Decision Trees for Explainable and Robust Error Detection
[arXiv] 2025-12-08 | A Diagrammatic Basis for Computer Programming
[arXiv] 2025-12-08 | On $π_1$-injectivity of self-maps in low dimensions
[arXiv] 2025-12-08 | Inference of $B$-mode polarization in the presence of non-Gaussian foregrounds
[arXiv] 2025-12-08 | Isometric Embeddings of Conformally Compact Manifolds into Hyperbolic Spaces
[arXiv] 2025-12-08 | Disjointly almost trivial unbounded functionals
[arXiv] 2025-12-08 | Unsupervised Single-Channel Audio Separation with Diffusion Source Priors
[arXiv] 2025-12-08 | FEASTS Compared with Simulations: Abnormally Irregular and Extended HI Morphologies at a Column Density of $10^{18}\,\text{cm}^{-2}$ in TNG50 and Auriga
[arXiv] 2025-12-08 | Local Reversibility and Divergent Markov Length in 1+1-D Directed Percolation
[arXiv] 2025-12-08 | Systematic bias due to eccentricity in parameter estimation for merging binary neutron stars : spinning case
[arXiv] 2025-12-08 | MMRPT: MultiModal Reinforcement Pre-Training via Masked Vision-Dependent Reasoning
[arXiv] 2025-12-08 | Hitting Probabilities for Hypoelliptic Differential Equations Driven by Fractional Brownian Motion
[arXiv] 2025-12-08 | MASim: Multilingual Agent-Based Simulation for Social Science
[arXiv] 2025-12-08 | PIR-DSN: A Decentralized Storage Network Supporting Private Information Retrieval
[arXiv] 2025-12-08 | Analysing the factors affecting electric vehicle adoption using the extended theory of planned behaviour framework
[arXiv] 2025-12-08 | Coarse spaces for virtual element methods on irregular 3D subdomain decompositions
[arXiv] 2025-12-08 | Implementation of Honeynet and Honeypot in Network Infrastructure in Production Network
[arXiv] 2025-12-08 | Optimization of gain uniformity in thermal bonding Micromegas for the PandaX-III experiment
[arXiv] 2025-12-08 | Toeplitz operators on weighted Fock spaces with $A_{\infty}$-type weights
[arXiv] 2025-12-08 | Think-Reflect-Revise: A Policy-Guided Reflective Framework for Safety Alignment in Large Vision Language Models
[arXiv] 2025-12-08 | Superconducting Nanowire Single-Photon Detectors for Enhanced Biomedical Imaging
[arXiv] 2025-12-08 | GUMBridge: a Corpus for Varieties of Bridging Anaphora
[arXiv] 2025-12-08 | Mimir: Hierarchical Goal-Driven Diffusion with Uncertainty Propagation for End-to-End Autonomous Driving
[arXiv] 2025-12-08 | Vision Transformers for Cosmological Fields: Application to Weak Lensing Mass Maps
[arXiv] 2025-12-08 | Enhancing Urban Sensing Utility with Sensor-enabled Vehicles and Easily Accessible Data
[arXiv] 2025-12-08 | A revisit on the critical blow-up for semilinear wave equations in low space dimensions with slicing method
[arXiv] 2025-12-08 | MSN: Multi-directional Similarity Network for Hand-crafted and Deep-synthesized Copy-Move Forgery Detection
[arXiv] 2025-12-08 | A Neural Affinity Framework for Abstract Reasoning: Diagnosing the Compositional Gap in Transformer Architectures via Procedural Task Taxonomy
[arXiv] 2025-12-08 | Universal relation involving fundamental modes in two-fluid dark matter admixed neutron stars
[arXiv] 2025-12-08 | Dynamical Dark Energy in light of DESI BAO and Full-Shape Data
[arXiv] 2025-12-08 | Wigner's Frame
[arXiv] 2025-12-08 | TagLabel: RFID Based Orientation and Material Sensing for Automated Package Inspection
[arXiv] 2025-12-08 | Hidden Structural Variants in ALD NbN Superconducting Trilayers Revealed by Atomistic Analysis
[arXiv] 2025-12-08 | Simulating general noise nearly as cheaply as Pauli noise
[arXiv] 2025-12-08 | VIGIL: A Reflective Runtime for Self-Healing Agents
[arXiv] 2025-12-08 | A Flexible Funnel-Shaped Robotic Hand with an Integrated Single-Sheet Valve for Milligram-Scale Powder Handling
[arXiv] 2025-12-08 | An Accelerated Primal Dual Algorithm with Backtracking for Decentralized Constrained Optimization
[arXiv] 2025-12-08 | A dynamical order parameter for the transition to nonergodic dynamics in the discrete nonlinear Schrödinger equation
[arXiv] 2025-12-08 | Limits on Unintended Radio Emission from Geostationary and Geosynchronous Satellites in the SKA-Low Frequency Range
[arXiv] 2025-12-08 | STRinGS: Selective Text Refinement in Gaussian Splatting
[arXiv] 2025-12-08 | ClinNoteAgents: An LLM Multi-Agent System for Predicting and Interpreting Heart Failure 30-Day Readmission from Clinical Notes
[arXiv] 2025-12-08 | Persistent Homology-Guided Frequency Filtering for Image Compression
[arXiv] 2025-12-08 | How many coin tosses would you need until you get $n$ Heads or $m$ Tails?
[arXiv] 2025-12-08 | The topology of local quaternionic toric actions
[arXiv] 2025-12-08 | A Difference Formula for Tensor-power Multiplicities
[arXiv] 2025-12-08 | Convergence of weighted branching processes
[arXiv] 2025-12-08 | Studying the Role of Reusing Crowdsourcing Knowledge in Software Development
[arXiv] 2025-12-08 | Efficient and Compliant Control Framework for Versatile Human-Humanoid Collaborative Transportation
[arXiv] 2025-12-08 | Provable Long-Range Benefits of Next-Token Prediction
[arXiv] 2025-12-08 | Integral constraints on the linear instability of stratified flow with planar shear at an arbitrary angle to the vertical
[arXiv] 2025-12-08 | Universality of AMP via Tree Pairings
[arXiv] 2025-12-08 | Fast-feedback protocols for calibration and drift control in quantum computers
[arXiv] 2025-12-08 | LUNA: LUT-Based Neural Architecture for Fast and Low-Cost Qubit Readout
[arXiv] 2025-12-08 | Automating High Energy Physics Data Analysis with LLM-Powered Agents
[arXiv] 2025-12-08 | On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models
[arXiv] 2025-12-08 | Distribution Matching Variational AutoEncoder
[arXiv] 2025-12-08 | Universal bounds on entropy production from fluctuating coarse-grained trajectories
[arXiv] 2025-12-08 | Formalized Hopfield Networks and Boltzmann Machines
[arXiv] 2025-12-08 | Selection mechanisms in front invasion
[arXiv] 2025-12-08 | Exact supported co-degree bounds for Hamilton cycles
[arXiv] 2025-12-08 | Bifurcation from the Kurth solution in galactic dynamics
[arXiv] 2025-12-08 | DiffusionDriveV2: Reinforcement Learning-Constrained Truncated Diffusion Modeling in End-to-End Autonomous Driving
[arXiv] 2025-12-08 | ViSA: 3D-Aware Video Shading for Real-Time Upper-Body Avatar Creation
[arXiv] 2025-12-08 | A 43 day transiting Neptune and two 25 day Saturns from TESS, NGTS and ASTEP
[arXiv] 2025-12-08 | Grand Canonical vs Canonical Krylov Complexity in Double-Scaled Complex SYK Model
[arXiv] 2025-12-08 | Bootstrapping non-unitary CFTs
[arXiv] 2025-12-08 | Enhancing Channel Estimation for OTFS systems using Sparse Bayesian Learning with Adaptive Threshold
[arXiv] 2025-12-08 | Linear Quadratic Control with Non-Markovian and Non-Semimartingale Noise Models
[arXiv] 2025-12-08 | sim2art: Accurate Articulated Object Modeling from a Single Video using Synthetic Training Data Only
[arXiv] 2025-12-08 | ZTF-SEDm Type Ia supernova sample for Twins Embedding spectrophotometric standardisation
[arXiv] 2025-12-08 | JWST TRAPPIST-1 e/b Program: Motivation and first observations
[arXiv] 2025-12-08 | Enhanced active-sterile neutrino polarizability at the intensity frontier
[arXiv] 2025-12-08 | HalluShift++: Bridging Language and Vision through Internal Representation Shifts for Hierarchical Hallucinations in MLLMs
[arXiv] 2025-12-08 | Generalized Higman's Theorem and iterated ideals
[arXiv] 2025-12-08 | AMBER: Aerial deployable gripping crawler with compliant microspine for canopy manipulation
[arXiv] 2025-12-08 | A Bootstrap Perspective on Stochastic Gradient Descent
[arXiv] 2025-12-08 | Multi-Domain Motion Embedding: Expressive Real-Time Mimicry for Legged Robots
[arXiv] 2025-12-08 | EgoCampus: Egocentric Pedestrian Eye Gaze Model and Dataset
[arXiv] 2025-12-08 | Hirota-tau and Heun-function framework for Dirac vacuum polarization and quantum stabilization of kinks
[arXiv] 2025-12-08 | Single-Operation Rydberg Phase Gates via Dynamic Population Suppression
[arXiv] 2025-12-08 | $\mathcal{M}$-points of bounded height
[arXiv] 2025-12-08 | Exploring Test-time Scaling via Prediction Merging on Large-Scale Recommendation
[arXiv] 2025-12-08 | Fold catastrophe in breaking waves
[arXiv] 2025-12-08 | Computational Studies on O2-P2 Phase-Transition Dynamics in Layered-Oxide Sodium-Ion Cathode Materials
[arXiv] 2025-12-08 | Location and scatter halfspace median under α-symmetric distributions
[arXiv] 2025-12-08 | Chiral transition in a Non-Abelian Quasi-Particle Model with three quark flavours
[arXiv] 2025-12-08 | Limits on the diffractive mass in strong coherent $γ^*$-nucleus scattering
[arXiv] 2025-12-08 | Sustainable Exploitation Equilibria for Dynamic Games
[arXiv] 2025-12-08 | Enhanced charging power in nonreciprocal quantum battery by reservoir engineering
[arXiv] 2025-12-08 | Obstacle Avoidance of UAV in Dynamic Environments Using Direction and Velocity-Adaptive Artificial Potential Field
[arXiv] 2025-12-08 | Metric-Fair Prompting: Treating Similar Samples Similarly
[arXiv] 2025-12-08 | Decomposition Sampling for Efficient Region Annotations in Active Learning
[arXiv] 2025-12-08 | More than Segmentation: Benchmarking SAM 3 for Segmentation, 3D Perception, and Reconstruction in Robotic Surgery
[arXiv] 2025-12-08 | Specializing anti-unification for interaction models composition via gate connections
[arXiv] 2025-12-08 | Zero Carbon V2X Tariffs for Non-Domestic Customers
[arXiv] 2025-12-08 | Exact Synthetic Populations for Scalable Societal and Market Modeling
[arXiv] 2025-12-08 | Quantitative unique continuation for Neumann problem in planar $C^{1,α}$ domains
[arXiv] 2025-12-08 | Impact of Lattice Distortions on Magnetocrystalline Anisotropy and Magnetization in (Nd$_{1-x}$Pr$_x$)$_2$Fe$_{14}$B Alloys
[arXiv] 2025-12-08 | Reproducing Kernel Hilbert Spaces for Virtual Persistence Diagrams
[arXiv] 2025-12-08 | Dynamical Dark Energy and the Unresolved Hubble Tension: Multi-model Constraints from DESI 2025 and Other Probes
[arXiv] 2025-12-08 | ContinuumConductor : Decentralized Process Mining on the Edge-Cloud Continuum
[arXiv] 2025-12-08 | Geo3DVQA: Evaluating Vision-Language Models for 3D Geospatial Reasoning from Aerial Imagery
[arXiv] 2025-12-08 | Effective Attention-Guided Multi-Scale Medical Network for Skin Lesion Segmentation
[arXiv] 2025-12-08 | Novel coupling between charge order and time-reversal-symmetry-breaking superconductivity
[arXiv] 2025-12-08 | TeluguST-46: A Benchmark Corpus and Comprehensive Evaluation for Telugu-English Speech Translation
[arXiv] 2025-12-08 | Automatic Syntax Error Repair for Discrete Controller Synthesis using Large Language Model
[arXiv] 2025-12-08 | DGGAN: Degradation Guided Generative Adversarial Network for Real-time Endoscopic Video Enhancement
[arXiv] 2025-12-08 | Benchmarking Humanoid Imitation Learning with Motion Difficulty
[arXiv] 2025-12-08 | Function-Correcting Codes for Insertion-Deletion Channel
[arXiv] 2025-12-08 | Sterile Insect Technique in a n-patch system with Allee effect and mass trapping: modeling, analysis and simulations
[arXiv] 2025-12-08 | MUSE: A Simple Yet Effective Multimodal Search-Based Framework for Lifelong User Interest Modeling
[arXiv] 2025-12-08 | VFM-VLM: Vision Foundation Model and Vision Language Model based Visual Comparison for 3D Pose Estimation
[arXiv] 2025-12-08 | Iterative Switching Time Optimization for Mixed-integer Optimal Control Problems
[arXiv] 2025-12-08 | Sample from What You See: Visuomotor Policy Learning via Diffusion Bridge with Observation-Embedded Stochastic Differential Equation
[arXiv] 2025-12-08 | Understanding Diffusion Models via Code Execution
[arXiv] 2025-12-08 | Less is More: Non-uniform Road Segments are Efficient for Bus Arrival Prediction
[arXiv] 2025-12-08 | Generating Storytelling Images with Rich Chains-of-Reasoning
[arXiv] 2025-12-08 | Towards Benchmarking Design Pattern Detection Under Obfuscation: Reproducing and Evaluating Attention-Based Detection Method
[arXiv] 2025-12-08 | START: Spatial and Textual Learning for Chart Understanding
[arXiv] 2025-12-08 | Facilitating Conditions as an Enabler, Not a Direct Motivator: A Robustness and Mediation Analysis of E-Learning Adoption
[arXiv] 2025-12-08 | PICKT: Practical Interlinked Concept Knowledge Tracing for Personalized Learning using Knowledge Map Concept Relations
[arXiv] 2025-12-08 | Variational Regularized Bilevel Estimation for Exponential Random Graph Models
[arXiv] 2025-12-08 | SPACE: Noise Contrastive Estimation Stabilizes Self-Play Fine-Tuning for Large Language Models
[arXiv] 2025-12-08 | Stability for Strichartz inequalities: Existence of minimizers
[arXiv] 2025-12-08 | Towards Unified Semantic and Controllable Image Fusion: A Diffusion Transformer Approach
[arXiv] 2025-12-08 | Near Field Electric (NFE): Energy-efficient, High-speed Communication at Decimeter-range
[arXiv] 2025-12-08 | Nonreciprocal charge transport in an iron-based superconductor with broken inversion symmetry engineered by a hydrogen-concentration gradient
[arXiv] 2025-12-08 | Minimal lepton models with non-holomorphic modular $A_{4}$ symmetry
[arXiv] 2025-12-08 | CHIMERA: Adaptive Cache Injection and Semantic Anchor Prompting for Zero-shot Image Morphing with Morphing-oriented Metrics
[arXiv] 2025-12-08 | Higgs bundle, isomonodromic leaves and minimal surfaces
[arXiv] 2025-12-08 | Experimental Evidence of Néel-order-driven Magneto-optical Kerr Effect in an Altermagnetic Insulator
[arXiv] 2025-12-08 | A Theoretical Framework of Student Agency in AI- Assisted Learning: A Grounded Theory Approach
[arXiv] 2025-12-08 | Hyperflex: A SIMD-based DFA Model for Deep Packet Inspection
[arXiv] 2025-12-08 | The relationship between offline partisan geographical segregation and online partisan segregation
[arXiv] 2025-12-08 | Compactness of Extremals for Singular Anisotropic Trudinger-Moser functionals on bounded domain
[arXiv] 2025-12-08 | Structure-conditioned input-to-state stability for layer-by-layer molecular computations in parallel chemical reaction networks
[arXiv] 2025-12-08 | A Numerical Perspective on Moiré Superlattices: From Single-Particle Properties to Many-Body Physics
[arXiv] 2025-12-08 | Scheduling in Quantum Satellite Networks: Fairness and Performance Optimization
[arXiv] 2025-12-08 | Evidence for strong localization of orbital polarization
[arXiv] 2025-12-08 | Incompressible 2D Euler equations with non-decaying random initial vorticity
[arXiv] 2025-12-08 | Leveraging KV Similarity for Online Structured Pruning in LLMs
[arXiv] 2025-12-08 | The Equational Theories Project: Advancing Collaborative Mathematical Research at Scale
[arXiv] 2025-12-08 | Self-Supervised Learning on Molecular Graphs: A Systematic Investigation of Masking Design
[arXiv] 2025-12-08 | Alterations of brain tissue structural complexity and disorder in Alzheimer's disease (AD): Fractal, multifractal, fractal transformation, and disorder strength analyses
[arXiv] 2025-12-08 | Precise Liver Tumor Segmentation in CT Using a Hybrid Deep Learning-Radiomics Framework
[arXiv] 2025-12-08 | Systematic determination of dust properties for a sample of 133 spatially resolved debris discs
[arXiv] 2025-12-08 | Introduction to Ambisonics, Part 1: The Part With No Math
[arXiv] 2025-12-08 | Toward More Reliable Artificial Intelligence: Reducing Hallucinations in Vision-Language Models
[arXiv] 2025-12-08 | On the structure of increasing profits in a 1D general diffusion market with interest rates
[arXiv] 2025-12-08 | Synchronization of Weak Signals in Dynamic Systems
