[2026-07-10 11:52:49] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-09
正在获取论文...
[arXiv] 2026-07-09 | Infinitely many sign-changing solutions for critical Hamiltonian systems with linear perturbation
[IEEE] 2026-7-9 | Probabilistic-based Learning for Joint Light Field Image Compression and Enhancement under Low-Light Conditions
[IEEE] 2026-7-9 | Low Cross Sensitivity Fiber-Optic MEMS Pressure Sensor for Water Depth Measurement
[IEEE] 2026-7-9 | Proceedings
[IEEE] 2026-7-9 | Multiband Transmissive Terahertz Metasurface for High-Sensitivity Breast Cancer Detection
[IEEE] 2026-7-9 | Time, Frequency, and Complexity-Based Analysis of Error-Related Potentials in EEG-Based Brain Machine Interfaces
[IEEE] 2026-7-9 | Exploring Reach and Grasp Task Aftereffect in Resting-State EEG
[IEEE] 2026-7-9 | A High-Precision Transient Traveling Wave Head Extraction Method for Distributed Distribution Network Perception
[IEEE] 2026-7-9 | RTLS-Vision Fusion Framework for Safety Monitoring in Electromagnetically Challenging Power Worksites
[IEEE] 2026-7-9 | Reinforcement Learning-Based Voltage Dynamic Trajectory Optimization for DC Microgrids
[IEEE] 2026-7-9 | High-Density, Customizable Interconnect Integration on Cylindrical Neural Depth Arrays via Aerosol Jet Printing
[IEEE] 2026-7-9 | A MAPO-SOP-Based Real-Time PCC Voltage Control Method Using the Optimal Active–Reactive Power Ratio
[IEEE] 2026-7-9 | Using Decision Trees for Fast Error Identification in Physics-Based Modeling of PCB Structures
[IEEE] 2026-7-9 | Fractional-Order Virtual Synchronous Generator Control for MMC-Based MTDC Systems
[IEEE] 2026-7-9 | Peak-Shaving Optimization of a PV-Energy Storage Microgrid Based on an Improved HHDBO Algorithm
[IEEE] 2026-7-9 | A Real-Time Platform for Detection of Hypoxic Burst Dynamics in EEG using BCI2000
[IEEE] 2026-7-9 | Quality of Service-Oriented Trajectory Planning Model for Intelligent Transportation Systems
[IEEE] 2026-7-9 | An Amplifier-Integrated Antenna Sensor with a Simplified Architecture for Object Position Monitoring
[IEEE] 2026-7-9 | A Vector Fitting-Based Equivalent Circuit Modeling Method for Multi-Port RF Components
[IEEE] 2026-7-9 | Static Voltage Stability Limit Identification in Hybrid Grid-Forming and Grid-Following Wind Farms Considering Reactive Power Saturation
[IEEE] 2026-7-9 | A Reflective Curved Polarization-Twisting Metasurface Based on 3D Printing
[IEEE] 2026-7-9 | Smooth Transfer and Collaborative Control Strategy for Cascaded Hybrid Flexible Interconnected Switches Based on Virtual Shadow Matching
[IEEE] 2026-7-9 | Measurement and Signal Analysis of Electrostatic Discharge Radiation Fields of Aircraft During In-Cloud Flight
[IEEE] 2026-7-9 | Research on Non-intrusive Load Monitoring Integrating KAN and Attention-augmented U-Net
[IEEE] 2026-7-9 | Data-driven Short-term Reliability Evaluation Method for Power Systems Considering Wind Power and Demand Response Uncertainties
[IEEE] 2026-7-9 | Architecture Design and Implementation of a Dual-Mode Heterogeneous Communication System for UAVs in Complex Electromagnetic Environments
[IEEE] 2026-7-9 | Research on an LLC DC Adapter with Four-Leg Planar Matrix Transformer
[IEEE] 2026-7-9 | Rapid Fault Isolation and Energy Dissipation Analysis for Surge-Arrester-Assisted Hybrid MMC
[IEEE] 2026-7-9 | A Miniature Wireless Device for Closed-Loop Auditory Sleep Modulation
[IEEE] 2026-7-9 | Macromodeling of Electrically Long Structures Using a Delay-Aware Rational Szegő Kernel
[IEEE] 2026-7-9 | Rapid Braking Control of Inertia Flywheel System Based on Converter Reactive Power Compensation
[ACM] 2026-7-9 | Visualizing the Moon for Artemis II
[IEEE] 2026-7-9 | A Dispatchable Reserve Assessment Method Considering Intra-Provincial Reserve and Inter-Provincial Mutual Assistance
[IEEE] 2026-7-9 | A Two-Timescale Voltage Control Framework for Distribution Networks under Weather-Driven PV Variability
[IEEE] 2026-7-9 | Charge-Injection Comparison of SIROF-Coated Utah Electrode Arrays Across Stimulation Polarities, Configurations, and Patterns
[IEEE] 2026-7-9 | Quantitative Exploration of Sufficient Data Quantities for EEG Decomposition Using AMICA
[IEEE] 2026-7-9 | Research on Artificial Intelligence + High-Efficiency Separation and Purification Devices and Integration of Skid-Mounted Electrolysis Systems
[IEEE] 2026-7-9 | Sensorless Control of Aviation EMA Based on a Dual Adaptive Sliding Mode Observe
[IEEE] 2026-7-9 | Security Risk Analysis of Power Grids with High Penetration Renewable Energy based on Improved Importance Sampling and Severity Function
[IEEE] 2026-7-9 | Modeling High-Speed Serdes Links with Symbolic Regression
[ACM] 2026-7-10 | AdaptiveKV: Accelerating KV Cache Offloading with a Bandwidth-Adaptive Memory Allocation Mechanism
[ACM] 2026-7-10 | The Energy-Oriented Centre of Excellence
[ACM] 2026-7-10 | TURANDOT - TUning Risc-V to Automotive Needs &amp; Different Other Theme
[ACM] 2026-7-10 | Influence of Environmental Indicators Aggregation Methods for Eco-designing Integrated Circuits
[IEEE] 2026-7-9 | Inductive–Abductive Unseen-Node Reasoning on Fuzzy Event Graphs Via LLM Calibration
[IEEE] 2026-7-9 | An Integrated Early Warning and Decision Support Framework for Food Fraud Detection in Diary Supply Chains: The Case Study of PDO Feta Cheese_supp1-3703995.pdf
[ACM] 2026-7-9 | Governance in Practice: How Open Source Projects Define and Document Roles
[IEEE] 2026-7-9 | Reliable Sequenced Based Protein-Protein Interaction Prediction Using Lempel Ziv Complexity and Optimized Deep Learning Model_supp1-3711498.pdf
[IEEE] 2026-7-9 | Pretraining in Actor-Critic Reinforcement Learning for Locomotion
[IEEE] 2026-7-9 | Task-Aware Joint Source-Channel Coding for Robust Vibrotactile Transmission
[IEEE] 2026-7-9 | Arc Resistance Enhancement of Converter Transformer Tank Based on Honeycomb Structure
[IEEE] 2026-7-9 | Acquisition of DC Withstand Characteristics and Insulation Design Parameters for XLPE Cables Using Electrode-Embedded Specimens
[IEEE] 2026-7-9 | Additional Reviewers
[IEEE] 2026-7-9 | Privacy-Preserving Coordination of Heterogeneous Electrolyzers: A Federated Reinforcement Learning Approach with Safety Guarantees
[IEEE] 2026-7-9 | Enabling Remote Persistent Environmental Monitoring with Robotic Platforms using an Edge-to-Cloud IoT Architecture
[IEEE] 2026-7-9 | DyTSwiG-Mamba: Layer Normalization-Free CNN-Mamba Speech Enhancement Network With Dual-Branch Phase Prediction
[IEEE] 2026-7-9 | Multi-STAR-RIS-Assisted NOMA Networks: Optimal Design and Performance Analysis
[IEEE] 2026-7-9 | Along-Track Dual-Satellite D-InSAR for Multi-Dimensional Deformation and Troposphere Joint Measurement: Configuration Optimization and Performance Analysis
[IEEE] 2026-7-9 | The Finishing Touch: Thumbnail-Preserving Image Encryption Supporting Image Classification
[IEEE] 2026-7-9 | Comparing the Performance of Off-Policy Deep Reinforcement Learning and Neuroevolution in Stealth Game Problems
[IEEE] 2026-7-9 | UPForest: Enabling Random Forest Training on Real Processing-in-Memory Systems
[IEEE] 2026-7-9 | MHcast: Metadata-hiding Multicast with Resilience against Malicious Clients and Servers
[IEEE] 2026-7-9 | V-Band 2-D Multi-Beam Antenna Array Based on Butler Matrix
[IEEE] 2026-7-9 | Performance Evaluation of Dynamic LDPC Base Graph Selection Under Rayleigh and Rician Fading
[IEEE] 2026-7-9 | Feasibility of Upper Limb Motor Imagery BCI Control While Walking
[IEEE] 2026-7-9 | A Two-Feature Quantitative EEG Index of Pediatric Epilepsy Severity: External Pre-Validation on CHB-MIT and Roadmap to Dravet Cohorts
[IEEE] 2026-7-9 | Design of a Symmetric Beam-Splitter RIS for FR1 Band with Cross-Polarization Conversion
[IEEE] 2026-7-9 | Space-Ground Coordinated TT&amp;C Heterogeneous Networks Access Resource Scheduling Technology
[IEEE] 2026-7-9 | Spatial Distribution of Action Potentials in a Peripheral Nerve During Temporal Interference Stimulation
[IEEE] 2026-7-9 | Multi-timescale Optimal Scheduling of Hybrid EV Charging Stations with Γ-budget Robust Optimization
[IEEE] 2026-7-9 | An Optimization Method for Emergency Resource Pre-deployment in Distribution System under Rainstorm Disaster
[IEEE] 2026-7-9 | A Provably Stable Terminal Constraints Method for FDTD Analysis of Transmission Lines
[IEEE] 2026-7-9 | Low Profile and Ultra-Wideband FUSE Array on Isosceles Triangular Lattice with Dual-Slant Polarization
[IEEE] 2026-7-9 | On Building D-Stable Macromodels
[IEEE] 2026-7-9 | Design of a Compact Dual-Band Four-Port MIMO Antenna for 5G Sub-6 GHz Terminals
[IEEE] 2026-7-9 | Simplified Modeling of Apertures in Irregular Cavities
[IEEE] 2026-7-9 | Integrating Spatial-Temporal Channel Reliability with AI for Robust High-Frequency Oscillation Detection in Intracranial EEG*
[IEEE] 2026-7-9 | An Open-Source Solution for Prolonged Neural Streaming from Bidirectional Deep Brain Stimulation Devices
[IEEE] 2026-7-9 | Beam Pattern Prediction of Radome-Enclosed High-Power Phased Array Antenna Based on Deep Learning Method
[IEEE] 2026-7-9 | A Ka-Band In-Vehicle Antenna with Intelligent Beam Steering: Enabling Integrated Sensing-Computing-Communication for V2S Links
[IEEE] 2026-7-9 | Primary Frequency Regulation Control Strategy for Air Conditioning Load Clusters Considering Distribution Network Voltage Security and User Comfort
[IEEE] 2026-7-9 | Analysis of Electromagnetic Compatibility Test on Automotive System Basic Chip
[IEEE] 2026-7-9 | Strategies for Multi-Device Injection and Retrieval in the Brain*
[IEEE] 2026-7-9 | A Comparative Study of Microstrip Line Models Up to 500 GHz
[IEEE] 2026-7-9 | Strength-Duration Profiles of Endovascular Cerebellar Neurostimulation
[IEEE] 2026-7-9 | Multiphysics Coupled Simulation of $\text{CO}_{2}$ Dissociation in Microwave Plasma
[IEEE] 2026-7-9 | Multi-Stage Post-Disaster Restoration of Distribution Systems Coordinating Manual Inspection and Microgrid Formation
[IEEE] 2026-7-9 | Conductor Temperature Inversion Throughout the Entire De-icing Process of Power Distribution Lines
[IEEE] 2026-7-9 | Study on the Time-Frequency Domain Response Characteristics of Narrowband Antennas to Ultra-Wideband Electromagnetic Pulses
[IEEE] 2026-7-9 | Rapid and Energy-Efficient Computation of Selective Multipolar Stimulation Via Least Squares Projection
[IEEE] 2026-7-9 | Accelerated Electromagnetic Simulation Using The Laguerre-FDTD Method and Machine Learning
[IEEE] 2026-7-9 | Design of Low-Scattering Array Antenna Based on Antenna Mode Scattering Field Manipulation
[IEEE] 2026-7-9 | Brightness Temperature Analysis of Supercooled Clouds for Microwave Radiometer Detection
[ACM] 2026-7-10 | Not All Faults Are Equal: Transient-Fault Sensitivity Characterization of an Open-Source RISC-V Vector Cluster
[ACM] 2026-7-10 | On the Analysis of Radiation-Induced Faults in FPGA-Based Optical Communication for Space Applications
[IEEE] 2026-7-9 | Edge-AI Passenger Counting for Urban Bus Operations: Real-Time Doorway Sensing
[IEEE] 2026-7-9 | How We Got “Our” System of Units
[IEEE] 2026-7-9 | Enhanced Vision-Language Models for Diverse Sensor Understanding: Cost-Efficient Optimization and Benchmarking
[IEEE] 2026-7-9 | EPSIC 2026 Cover Page
[IEEE] 2026-7-9 | A 236-nW LFSR-Based Asymmetric Clonable PUF Group With Peer-to-Peer Response Equivalence
[IEEE] 2026-7-9 | Student Engagement Recognition from Facial Landmark Trajectories using Region-Aware Temporal Networks (RATE-Net)
[IEEE] 2026-7-9 | Towards Language-Aware Pharmaceutical Informatics: End-to-End ATC Code Classification from Regulatory Documents
[ACM] 2026-7-9 | Understanding npm Developers’ Practices, Challenges, and Recommendations for Secure Package Development
[ACM] 2026-7-9 | Silent Night
[ACM] 2026-7-9 | The Reality of Hope
[ACM] 2026-7-9 | Hello Maggie!
[ACM] 2026-7-9 | EXIT
[IEEE] 2026-7-9 | CrackNet-MR: Multi-Module Synergy for UAV-Based Mining Crack Segmentation
[IEEE] 2026-7-9 | Spectral Feature Extraction with Multispectral SiPM: Toward Partial Discharge Pattern Recognition in C
                    <sub>4</sub>
                    F
                    <sub>7</sub>
                    N Eco-Friendly Insulation
[IEEE] 2026-7-9 | Dual Attention Based Feature Integration Framework for Intelligent Fetal Ultrasound Anatomy Classification
[IEEE] 2026-7-9 | A Compact High-Isolation Dual-Polarized Patch Antenna With Mirror-Symmetric Feeding for Ku-Band Phased Arrays
[IEEE] 2026-7-9 | Share Your Thoughts: Send Comments to pem-eic@ieee.org {Letters to the Editor]
[IEEE] 2026-7-9 | Junction Temperature Monitoring for SiC MOSFETs Based on Parasitic Inductance Voltage During Quasi-Turn-on Transient
[IEEE] 2026-7-9 | PI-H2T: Enhancing Long-Tailed Visual Recognition with Permutation-Invariant and Head-to-Tail Feature Fusion
[ACM] 2026-7-9 | Asymptotic Properties of Random Monomial Ideals
[IEEE] 2026-7-9 | Sensing-Assisted Beam Prediction for mmWave UAV Communications in 6G Networks
[IEEE] 2026-7-9 | Identifying Neural Biomarkers of Risk-Taking from Intracranial EEG Recordings
[IEEE] 2026-7-9 | Joint Energy and Version Age Optimization for Wireless Powered Federated Learning Network
[IEEE] 2026-7-9 | A Feedback-Enhanced Multi-Modal Large Language Model Framework for Antenna 3D Parametric Modeling
[IEEE] 2026-7-9 | Method for Collaborative Adaptive Support of Power Quality for Load-Side Converters Based on Multi-Objective Collaborative Optimization
[IEEE] 2026-7-9 | Research on Short-Term Load Forecasting Based on Deep Learning
[IEEE] 2026-7-9 | Low-Cost Open-Source Trigger Box for EEG Recordings
[IEEE] 2026-7-9 | Interference Management for V2V ISAC–FMCW Coexistence via CAF Awareness
[IEEE] 2026-7-9 | In-Vivo Assessment of Muscle Fatigue in Rats Using Sinusoidal Low Frequency Alternating Currents
[IEEE] 2026-7-9 | Rolling Scheduling Strategy for Microgrids with Battery and Hydrogen Energy Storage Based on an Improved Sparrow Search Algorithm
[IEEE] 2026-7-9 | High-Gamma Electrocorticography Activity Represents Perceived Vibration Intensity in Human Somatosensory Cortex
[IEEE] 2026-7-9 | AI Optimized Energy Management Control for Liquid Hydrogen Powertrain of Low-Altitude Small Aircraft
[IEEE] 2026-7-9 | A Framework to Analyze Cervical Spinal Cord Potentials in Sensor and Source Space
[IEEE] 2026-7-9 | Design of a Shared-Aperture Wideband Antenna: Integration of Dual-Polarized Low-Frequency Base Station Antenna and High-Gain High-Frequency Antenna
[IEEE] 2026-7-9 | Multiphysics Modeling of Microwave Vacuum Freeze-Drying of Blueberries Based on Saturation-Dependent Dielectric Properties
[IEEE] 2026-7-9 | Transformer-Based Deep Equilibrium Model for Interconnects with Large Number of Coupled Lines
[IEEE] 2026-7-9 | A Wide-Angle Stable Transmissive Linear-to-Circular Polarization Converter
[IEEE] 2026-7-9 | Modeling and Experimental Validation of Crosstalk in High-Voltage Quench Detection Signal Lines for the Next-Generation Fusion Device of China
[IEEE] 2026-7-9 | Increased Involuntary Motor Threshold Stimulation in Patients with Degenerative Cervical Myelopathy*
[IEEE] 2026-7-9 | Research on an Empirical Platform for Dynamic Operation Simulation of Indirect Carbon Emission Metering in Power Systems
[IEEE] 2026-7-9 | Safety-Centric Resource Scheduling for Energy Efficiency Optimization in ISAC-Assisted V2X
[IEEE] 2026-7-9 | An Ultra-Wideband Reconfigurable Metasurface Based on Salisbury Screen
[IEEE] 2026-7-9 | Modular Motor Control of the Center of Mass Kinematic Patterns During Sit-To-Stand Tasks
[IEEE] 2026-7-9 | Finger Force Prediction from Spinal Signals: Machine Learning Pipeline for the Neural Drive
[IEEE] 2026-7-9 | Efficient Design of Lightweight Conformal Electromagnetic Wave Absorbing Structures
[IEEE] 2026-7-9 | A Reconfigurable Waveguide Coupler with Discrete Coupling Levels and Constant Frequency Response
[IEEE] 2026-7-9 | A Broadband 1-Bit Reconfigurable Circularly Polarized Reflectarray for K-Band Applications
[IEEE] 2026-7-9 | Twisted-Pair Low-Pass Filtering Cable Based on a Hilbert Fractal Structure
[IEEE] 2026-7-9 | A Fast Prediction Method for Electromagnetic Coupling Based on CNN-LSTM
[IEEE] 2026-7-9 | Measure of Consciousness with Deep Brain Stimulation Perturbed EEG
[IEEE] 2026-7-9 | Modeling of Multi-Time-Scale Adjustable Energy-Saving Capabilities in Data Centers with Electro-Computing-Heat Coupling
[IEEE] 2026-7-9 | Beam Tilting Design and Realization of a Vivaldi Antenna Based on AMC Loading
[ACM] 2026-7-10 | Analysis of the Relationship Between Carbon Footprint and Mineral Resource Depletion in the Life Cycle Assessment of Digital Systems
[ACM] 2026-7-10 | Towards Massively Parallel HyperDimensional Computing Architectures for Intelligent Satellite Links
[IEEE] 2026-7-9 | An Integrated Voltage Regulator in FCCSP With Ramp-Level-Adjusted Current Balance and Multiple-Trigger-Enabled Transient Enhancement
[IEEE] 2026-7-9 | Dielectric properties of polyimide-based composites with boron nitride surface covering under high-energy electron beam radiation
[IEEE] 2026-7-9 | Efficient Estimation of PRTF and ITD for HRTF Personalization in Headphone Systems
[IEEE] 2026-7-9 | Program Overview
[IEEE] 2026-7-9 | FRBAKA: Fault-tolerant and Round-efficient Batch Authentication and Key Agreement Protocol for UAV-Assisted IoT
[IEEE] 2026-7-9 | Beamforming Design for Pinching Antenna Systems with Multiple Receive Antennas
[IEEE] 2026-7-9 | TBN: An All-in-One Triplet Branch Network for Adverse Weather Cross-View Geo-Localization
[IEEE] 2026-7-9 | 3D Scene Graph Alignment Via Geometric-Consistent Correspondences
[IEEE] 2026-7-9 | Surface Discharge Mechanism of Epoxy/Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Composites in SF
                    <sub>6</sub>
                    Under Long-Term DC and AC Stresses
[IEEE] 2026-7-9 | Proceedings
[IEEE] 2026-7-9 | iHL-SC: A High-Likelihood–Constrained Spatial-Correlation Framework for Continuous GEOSC-SAR Imaging of Sea-Surface Waves
[IEEE] 2026-7-9 | Closed-Loop Adaptive Pulse Shaping for Flat-Top Electro-Optic Supercontinuum Generation
[IEEE] 2026-7-9 | Take a Deep Look at Network Traffic Analysis Based Internet of Things Device Fingerprinting
[IEEE] 2026-7-9 | IEEE/ASME Transactions on Mechatronics Information for Authors
[ACM] 2026-7-9 | Fast and Fleeting: Evaluating ChatGPT’s Impact on Students’ Computational Thinking Skills
[ACM] 2026-7-9 | Why Do We Code? A Theory on Motivations and Challenges in Software Engineering from Education to Practice
[ACM] 2026-7-9 | Monitor
[ACM] 2026-7-9 | Beyond Words
[ACM] 2026-7-9 | Complex to Rational Fast Matrix Multiplication
[ACM] 2026-7-9 | Towards Faster Feasible Matrix Multiplication by Trilinear Aggregation
[ACM] 2026-7-10 | An Embedded RISC-V Vector Extension for Edge-Oriented Acceleration
[ACM] 2026-7-10 | Certified Adversarial Robustness of End-to-End Malware Detectors via (De)Randomized Smoothing
[IEEE] 2026-7-9 | Design of a Metasurface in the Ku-Band Based on an NSGA-II Variant Algorithm
[IEEE] 2026-7-9 | Improved Grid-Forming Control for Synchronous Machine-Energy Storage Integrated System with Multi-Mode Adaptability
[IEEE] 2026-7-9 | Transnasal Functional Near-Infrared Spectroscopy for Deep-Brain Sensing
[IEEE] 2026-7-9 | Evolution Model of Source–Storage Function Characterization in New Power Systems Based on Automatic Piecewise Optimal Curve Fitting
[IEEE] 2026-7-9 | Bootstrapping Coding Agents: The Specification Is the Program
[IEEE] 2026-7-9 | Influence of Electrical Double Layer and Amplifier Impedance on Intracortical Neural Signals
[IEEE] 2026-7-9 | Design of Low-RCS Transmitarray with Integrated Radiation and Scattering Control
[IEEE] 2026-7-9 | A Wideband Polarization-Dependent Metallic Transmit-Reflect-Array Antenna for Ka-Band Applications
[IEEE] 2026-7-9 | An Additively Manufactured Wideband Bidirectional Antenna
[IEEE] 2026-7-9 | Frequency Evolution Analysis of Sub-Synchronous Oscillation in Wind Farm MMC-HVDC Systems Under Wind Power Fluctuations
[IEEE] 2026-7-9 | Control Strategy for VSC-MTDC Grid Connection of Offshore Wind Farms with Large-Scale Absorption of Renewables
[IEEE] 2026-7-9 | OpenNerve: An Open-Source Modular Platform for Bioelectronic Medicine
[IEEE] 2026-7-9 | sEMG-Driven Robotic Prosthesis and Analysis of Muscle Activation in Transfemoral Amputees and Able-Bodied Individuals
[IEEE] 2026-7-9 | Impact Analysis of the Time-Domain Method on SVSWR Measurement
[IEEE] 2026-7-9 | A Dual-Branch Attention ODE Graph Convolutional Network Based on EEG for Assessing Subjective VR Motion Sickness
[IEEE] 2026-7-9 | Modulation of Genioglossus EMG Responses by Pulse Frequency, Duration and Amplitude of Hypoglossal Nerve Stimulation: A Pilot Study
[IEEE] 2026-7-9 | Data Augmentation for Gape Cycle Type Detection and Classifications and Topological Exploration of Low Dimensional Manifolds of Primary Motor Cortex During Feeding Behavior
[IEEE] 2026-7-9 | Asymmetric Carrier Hybrid Frequency Modulation Strategy for Inertia Flywheel ANPC Converter
[IEEE] 2026-7-9 | Terahertz Metamaterial Sensor Based on a Composite Structure of Four-Slit Square Ring and Annular Ring
[IEEE] 2026-7-9 | Closed-Loop Control of Transcutaneous Direct Current Nerve Block May Produce Prolonged Partial Nerve Conduction
[IEEE] 2026-7-9 | Chronic 40 Hz Light Flicker Induces Cortical LTP-Like Plasticity and Gamma Oscillations Replay
[IEEE] 2026-7-9 | Power Flexibility Online Estimation for Residential Microgrid Based on Optimal Sensitivity
[IEEE] 2026-7-9 | High-Precision Non-Contact Detection Technology for Voltage Phase Used in OnLine Measurement of Dielectric Loss of Cable Main Insulation
[IEEE] 2026-7-9 | Adaptive Test Prioritization for Drone Communication Software: A Constrained Bayesian Contextual Bandit Approach*
[IEEE] 2026-7-9 | Full-Space Scanning Antenna Design Based on Odd-Mode Spoof Surface Plasmon Polariton Transmission Line
[IEEE] 2026-7-9 | Machine Learning-Enhanced High Density Near-Infrared Spectroscopy for Exercise Intensity Evaluation
[IEEE] 2026-7-9 | On the Stability of Kilosort4 Spike Sorting
[IEEE] 2026-7-9 | Privacy-Preserving Synthetic Data Generation Framework for Industrial Electric-Carbon Data
[IEEE] 2026-7-9 | Design of an EMI Filter Board for Conducted Interference Caused by Magnetron-Cavity Impedance Mismatch in Microwave Ovens
[IEEE] 2026-7-9 | Optimal Pressure Tracking Control for Nonzero Equilibrium Hydraulic Support System via Adaptive Dynamic Programming
[IEEE] 2026-7-9 | Implementation of Mur Absorbing Boundary Condition in the 3-D MS-FDTD Method
[IEEE] 2026-7-9 | A Methodology for Minimizing Driver Usage in High-Speed On-Chip Interconnects in Pre-Layout Phase
[IEEE] 2026-7-9 | A Switchable Polarization Rotating Miniaturized Frequency Selective Surface Based on SIW Cavity
[IEEE] 2026-7-9 | LITE: Lightweight Channel Gain Estimation with Reduced X-Haul CSI Signaling in O-RAN
[IEEE] 2026-7-9 | Optimizing QoS in Multi-Path Networks: Joint Server and Path Selection via SDN
[IEEE] 2026-7-9 | Power System Fault Diagnosis under Conditions of Circuit Breaker Warning Information Loss
[IEEE] 2026-7-9 | Novel Design of Aperture-Shared Base Station Antennas Based on Frequency Selective Surface
[IEEE] 2026-7-9 | Boundary Layer Adaptive Sliding Mode Observer for PMSM Sensorless Control
[IEEE] 2026-7-9 | Restoring Shoulder Abduction in Individuals with Tetraplegia Using an Intracortical Brain-Computer Interface and a Soft Wearable Robot
[IEEE] 2026-7-9 | Modeling Task-Related Neural Correlations with a Kernel Least Square Point Process Filter*
[IEEE] 2026-7-9 | Two-Stage Distributionally Robust Optimization for Capacity Planning and Operational Scheduling of a Wind and Photovoltaic Hydrogen Production System
[IEEE] 2026-7-9 | Physical Topology Identification Method for Transformer Districts Based on Hierarchical Perception
[IEEE] 2026-7-9 | Discharge Gap Detecting and Control Method for ESD Multiple-Factors Measurement Platform
[IEEE] 2026-7-9 | Design of Magnetoencephalography Testing Environment Based on Metamaterial Shielding
[IEEE] 2026-7-9 | Characterization of Periodic and Aperiodic Activity of Single-Channel in-Ear Electroencephalography
[IEEE] 2026-7-9 | Research on Signal Prediction of Mine Tunnel based on Back Propagation Neural Network of Bayesian Optimization and AdaBoost
[IEEE] 2026-7-9 | Design of a Partial Maxwell Fish-Eye Lens Antenna based on QTCO
[IEEE] 2026-7-9 | Real-Time Large-Scale Motion Cancellation Method for FMCW Radar Vital Sign Detection
[ACM] 2026-7-9 | Gauze
[IEEE] 2026-7-9 | UTFormer: An Ultra-lightweight Transformer for Traffic Classification
[IEEE] 2026-7-9 | On the Planar Endfire Circularly Polarized Antennas: Review and Prospection
[IEEE] 2026-7-9 | Deployment-Oriented Causal Decision Stabilization for Fixed-FPR Constrained Streaming Industrial Acoustic Anomaly Detection in IIoT
[IEEE] 2026-7-9 | Failure Analysis and Process Optimization for Airgap-Induced Yield Degradation in RF Process
[IEEE] 2026-7-9 | An Effective Quasi-Static Criterion Accounting for Non-TEM Dispersion in Microstrip Differential Pairs at High Data Rates
[IEEE] 2026-7-9 | Sampling-Based Motion Planning Using DMPs Under a Novel Scaling Approach
[IEEE] 2026-7-9 | Wideband Delta-Sigma Radio-over-Fiber Embedding a Sparse Nonlinear ISI Model Derived from Neural Networks
[IEEE] 2026-7-9 | <i>Nascap2k</i>
                    Simulation of Freja Satellite Charging
[IEEE] 2026-7-9 | Mitigating Voltage Setpoint Integrity Attacks in Cyber-Physical DC Microgrids
[IEEE] 2026-7-9 | ProtoTree: An Efficient and Generalizable Model for Individual Tree Point Clouds Analysis
[IEEE] 2026-7-9 | A Virtual Point of Common Coupling Method for Enhancing Transient Synchronization Stability of Parallel Grid-Following Converters
[ACM] 2026-7-9 | Global Curvature of Difference Operators
[ACM] 2026-7-9 | Mapping the Skills and Roles of Experimentation in Software Organizations: Evidence from 1,800 Job Postings
[IEEE] 2026-7-9 | Signal Integrity Microprobing Strategies for Managing Channel Loss and Dense Packaging in AI Infrastructure Interconnects
[IEEE] 2026-7-9 | Fast Calculation of Probability Distribution of Voltage Noise Based on Parameter Estimation
[IEEE] 2026-7-9 | Expedited Deep Reinforcement Learning for Muscle Activation Control of Musculoskeletal Models with Knowledge Transfer Across Motor Tasks
[IEEE] 2026-7-9 | Physics-Informed Spatiotemporal Learning for Forecasting-Aided State Estimation in Active Distribution Network
[IEEE] 2026-7-9 | Does PREOF Introduce More Problems Than Solutions in RPL Multipath Over CSMA/CA?
[IEEE] 2026-7-9 | Analysis and Computation Method of High-Frequency EMI via Slot Coupling for Large Radio Telescope Parabolic Antennas Based on Kirchhoff Diffraction Theory
[IEEE] 2026-7-9 | Dual-stage Regulation for Photovoltaic Systems and Smooth Control of Electrolyzers for Solar-Powered Hydrogen Production
[IEEE] 2026-7-9 | Supervised EEG-Based Vigilance State Classification in Preterm Infants
[IEEE] 2026-7-9 | An aggregation method of HVAC Loads Based on an Improved Polyhedral Inner Approximation
[IEEE] 2026-7-9 | Optimized Design of High-Isolation UWB MIMO Antenna Based on DGS Technology
[IEEE] 2026-7-9 | A Use Case Analysis for Identity Management in Industrial Systems
[ACM] 2026-7-10 | Deterministic Co-Simulation of Open RISC-V-Based Cyber-Physical Systems: A Regenerative Suspension Case Study
[ACM] 2026-7-10 | Distributed Deep Learning Inference on DPU-Based FPGA Systems for On-Board Earth Observation
[ACM] 2026-7-9 | "Dear Upstairs Neighbors": Artist-Centered, AI-Assisted Expressionistic Animation
[IEEE] 2026-7-9 | TPTAF: Task-Prior Tripartite Attention for Infrared and Visible Image Fusion
[IEEE] 2026-7-9 | Benchmarking Human and AI-Generated Writings in Higher Education: A Multilayered Study on Creativity, Coherence, and Student Perception across Linguistic, Semantic, and Evaluative Features
[IEEE] 2026-7-9 | ZIF-8@enzyme-based long range-surface plasmon resonance U-shaped fiber sensor for dual-channel cholesterol and glucose detection
[IEEE] 2026-7-9 | Engineering a Stable Ti
                    <sub>3</sub>
                    C
                    <sub>2</sub>
                    T
                    <sub>x</sub>
                    MXene/ZnPc Heterojunction for Selective Room-Temperature Ammonia Sensing
[IEEE] 2026-7-9 | PUMA: Perception-driven Unified Foothold Prior for Mobility Augmented Quadruped Parkour
