[2026-06-06 10:54:26] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-05
正在获取论文...
[ACM] 2026-6-5 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[IEEE] 2026-6-5 | (AI)-powered Applicant Tracking System (ATS) Resume Analyzer
[IEEE] 2026-6-5 | Optimizing Poultry Farming Through Environmental Data Analytics Using IoT, ERP Systems, and Machine Learning
[IEEE] 2026-6-5 | Adaptive Power-Timing Co-Optimization for CRYSTALS-Dilithium
[IEEE] 2026-6-5 | Referring Remote Sensing Image Segmentation with Positive-Incentive Visual Adaptation and Logical Reasoning
[IEEE] 2026-6-5 | IEEE Professional Communication Society Publication Information
[IEEE] 2026-6-5 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp8-3683248.mp4
[IEEE] 2026-6-5 | IEEE Control Systems Society 2025 [CSS Business]
[IEEE] 2026-6-5 | Cover 4
[IEEE] 2026-6-5 | <i>The Spy</i>
                    and
                    <i>Zen Forest</i>
                    Exergames as Sources of Digital Biomarkers for Psoriatic Arthritis: A Co-Design Paradigm
[IEEE] 2026-6-5 | Theoretical and Experimental Characterization of Cochlear-Implant Stimulation Artifacts in EEG Recordings
[IEEE] 2026-6-5 | Simulating the Real World: A Unified Survey of Multimodal Generative Models_supp1-3690925.pdf
[IEEE] 2026-6-5 | A Composite-Mode Pattern-Reconfigurable Antenna for Fluid Antenna System Enabled 6G Vehicular Multi-Scenario Connectivity
[IEEE] 2026-6-5 | Maintenance of Co-orbital Satellite Configurations with Minimal Control Inputs
[IEEE] 2026-6-5 | Engineering for a Better Tomorrow: SIGHT Initiatives at IEEE MAPCON 2025 [MTT Society News]
[IEEE] 2026-6-5 | A Novel and Compact Subnanosecond Pulse Generator Using Complementary RF BJTs
[ACM] 2026-6-6 | Color-Aware Re-Ranking for Fashion Image Retrieval
[ACM] 2026-6-6 | Urban Biometrics in Motion: A Longitudinal Sensor Fusion Framework for Quantifying Traffic-Induced Stress in Micromobility Environments
[IEEE] 2026-6-5 | 2026 International Conference on Artificial Intelligence and Data Engineering (AIDE)
[IEEE] 2026-6-5 | Contributors
[IEEE] 2026-6-5 | Semimetal Bi/MoS Memristor Exhibiting Ultrahigh Switching Ratio and Mechanistic Insights Into Transport via Low-Temperature Characterization_supp1-3698080.docx
[IEEE] 2026-6-5 | Observational entropy of quantum correlations and entanglement
[IEEE] 2026-6-5 | Laser-Induced Thermoelastic Spectroscopy forSequential Detection of Carbon Dioxide and Micron-Sized Solid Aerosols
[IEEE] 2026-6-5 | RLRC: Reinforcement Learning-based Recovery for Compressed Vision-Language-Action Models_supp1-3700379.mp4
[IEEE] 2026-6-5 | Upper Limb Movement Assistance through Model-Based Path Planning and Control of Hybrid FES-Exoskeleton Systems
[IEEE] 2026-6-5 | Short Courses
[IEEE] 2026-6-5 | MEGF-Net: Low-Light Image Enhancement via Adaptive Multi-Exposure Adjustment and Fusion
[IEEE] 2026-6-5 | Adaptive Coalition-Based Decision Fusion for Distributed Hydrophone Leak Classification
[IEEE] 2026-6-5 | A Hierarchical Mining-Based Approach to Storyline Generation
[IEEE] 2026-6-5 | AIDE 2026 Cover Page
[IEEE] 2026-6-5 | Multi-view Chest X-Ray Vision-Language Pre-training via Semantic-Aware Masked Language Modeling and High-order Alignment
[IEEE] 2026-6-5 | Multistatic Radar Observation of Anisotropic Bare Soil
[IEEE] 2026-6-5 | Fully Autonomous Z-Score-Based TinyML Anomaly Detection on Resource-Constrained MCUs using Power Side-Channel Data
[IEEE] 2026-6-5 | Hybrid Physics-Informed ML Framework for Lithium-Ion Battery Prognostics
[IEEE] 2026-6-5 | Mood Detection in Kannada Songs Using Audio Feature-Based Machine Learning and Hybrid Data Balancing Techniques
[IEEE] 2026-6-5 | Real-Time Emotion Classification Using TF-IDF with Logistic Regression, Naive Bayes, and SVM
[IEEE] 2026-6-5 | Blockchain-Based Document Verification System Using Ethereum Smart Contracts and Cryptographic Hashing
[IEEE] 2026-6-5 | Query-Free Adversarial Malware Generation Using Conditional Denoising Diffusion
[IEEE] 2026-6-5 | Leveraging Unsupervised K-Means Clustering to Identify Patterns and Seasonal Variations in Global Air Quality
[IEEE] 2026-6-5 | Development of Machine Learning based Model Predictive Controller for Flow process
[IEEE] 2026-6-5 | Model predictive controller design using machine learning models and implementation of parameter tuning
[IEEE] 2026-6-5 | A Composite Metric for Assessing Automated Testing Tool Effectiveness: Development and Validation of TCS
[IEEE] 2026-6-5 | Hardware-Level Emulation of Wi-Fi Clone Attacks with On-Device Intelligence using ESP32
[ACM] 2026-6-6 | Hard Disk Failure Prediction Under Small-Sample Conditions Using LSTM-Based Autoencoder
[IEEE] 2026-6-5 | IEEE Feedback
[IEEE] 2026-6-5 | Scalable Distributed Least-Squares Algorithm for Time-Varying Observation Vectors via Scheduling
[IEEE] 2026-6-5 | Achievable Secrecy Rate Analysis and Beamforming Optimization for MIMO-VLC Wiretap Channels
[IEEE] 2026-6-5 | WCIP-Based Modeling and Machine-Learning Optimization of a 2D-Material Terahertz Multigas Sensor for 6G Smart Agriculture
[IEEE] 2026-6-5 | 2026 IEEE 2nd International Conference on Secure IoT, Assured and Trusted Computing (SATC)
[IEEE] 2026-6-5 | Cover Page
[IEEE] 2026-6-5 | Modeling and Prediction of Post-Assembly Magnetization Characteristics in IPMSM Based on Nonlinear MEC Analysis
[IEEE] 2026-6-5 | Matrix-Inversion Free Tensor Decomposition for High-Dimensional Channel Estimation in Hybrid Beamforming Wideband Systems for Joint Communication and Sensing
[IEEE] 2026-6-5 | IEEE Professional Communication Society Information
[IEEE] 2026-6-5 | IEEE App
[IEEE] 2026-6-5 | Advertisement
[IEEE] 2026-6-5 | Adaptive LIF-Based Output Neuron Design for Improved Accuracy in Integer-Only Digital Spiking Neural Networks
[IEEE] 2026-6-5 | Machine Learning-Based Assessment of HTTP Security Header Deployment Across Top Web Domains
[IEEE] 2026-6-5 | A Universal Formulation for Path-Parametric Planning and Control: A Unified Framework, from Path following to Contouring Control and Progress Maximization
[IEEE] 2026-6-5 | AI-Powered Voice-Enabled Real-Time Product Ordering System
[IEEE] 2026-6-5 | A Comparative Study of Machine Learning and Ensemble Methods for YouTube Video Popularity Prediction
[IEEE] 2026-6-5 | AI-Augmented Manufacturing Execution Systems for Precision Healthcare: A Scalable Framework for Smart Genomic and Proteomic Production
[IEEE] 2026-6-5 | Temperature Prediction Using Meteorological Parameters with Machine Learning
[IEEE] 2026-6-5 | Spike Sorting and Event Detection Using Selected Machine and Deep Learning Models
[IEEE] 2026-6-5 | A BART-Enhanced Hybrid Framework for Multi-Document Summarization
[IEEE] 2026-6-5 | A SUMO–TraCI Based Rear-End Accident Detection Framework: Modeling, Statistical Evaluation, Visualization, and Reproducible Implementation
[IEEE] 2026-6-5 | Voice-Based Biometric System: One-Shot Learning for Unseen Speaker Generalization
[IEEE] 2026-6-5 | Outcome Uncertainty Analysis and Quorum Redesign in Probabilistic Consensus
[IEEE] 2026-6-5 | Enforcing Global Usage Constraints in Distributed Systems: A Formal Model of Directed Traceability
[IEEE] 2026-6-5 | MTT Society Awards Nomination Announcement
[IEEE] 2026-6-5 | RWW 2027 Call for Papers SiRF
[IEEE] 2026-6-5 | Optimum Load for Efficient Power Transfer [Enigmas, etc.]
[IEEE] 2026-6-5 | The Construction of Near-Optimal Universal Coding of Integers
[IEEE] 2026-6-5 | A 65 nm CMOS Readout Channel Based on a Charge Amplifier with DTMOS Feedback for Dynamic Signal Compression
[IEEE] 2026-6-5 | Wave-to-Watt Modeling of Cyclorotor Wave Energy Converters: From Waves to Annual Electrical Power Generation and Loss Analysis
[IEEE] 2026-6-5 | [People in Control]
[IEEE] 2026-6-5 | Deploying MARTe2 and MDSplus for Scalable Real-Time Control Systems: A Proof-of-Concept for the SMART Tokamak
[IEEE] 2026-6-5 | Evolutionary-Enhanced Ensemble Neural Networks for Maritime Wireless Channel Prediction
[IEEE] 2026-6-5 | Graph Drawing Stress Model with Resistance Distances
[IEEE] 2026-6-5 | An Efficient Cooperative Co-Evolutionary Multitask Optimization Framework for Large-Scale Optimization
[IEEE] 2026-6-5 | A Constant-Time Risk-Adaptive Scheduling Engine for V2X Cooperative Perception on Edge RSUs
[IEEE] 2026-6-5 | Bilateral Soft Pouch Matrix Actuation for Multimodal Intraluminal Locomotion of Liquid Sampling Robotics
[IEEE] 2026-6-5 | A Nested-Coaxial Quadrifilar Helix Antenna with Beam-Direction and Beam-Shaping Reconfigurability for Small-Satellite Platforms
[IEEE] 2026-6-5 | Secure, Smart, Automated, and Privacy-Preserving Cybersecurity Policy Compliance Framework for Sensitive Data Protection
[IEEE] 2026-6-5 | Accelerating Forward-Forward Learning on Hybrid Transfer Architectures via Adaptive Negative Sampling
[IEEE] 2026-6-5 | Agentic Code Review: A Multi-Agent Framework with Meta-Cognitive Reflection and Human-in-the-Loop Alignment
[IEEE] 2026-6-5 | An accurate and computationally efficient SOC estimation in EV batteries using enhanced Deep Neural Networks
[IEEE] 2026-6-5 | Defending Against Inference-Time Role Drift Attacks on Agentic AI in Healthcare
[IEEE] 2026-6-5 | Predicting Job Applicant Success Using Machine Learning: A Comparative Study Using Random Forest and SVM
[IEEE] 2026-6-5 | Saree-Drape: A Deep Learning Framework for Automatic Karnataka Saree Draping Style Classification Using MobileNetV2 and MediaPipe-Based Multi-Person Detection
[IEEE] 2026-6-5 | StressSnap: Data-Driven Modeling of Physiological Parameters for Wearable Stress Monitoring
[IEEE] 2026-6-5 | Strengthening Two-Way Multi-Relay Networks' Physical Layer Security
[ACM] 2026-6-6 | Proceedings of the 2026 International Symposium on Robotics, Automation, and Mechatronics
[ACM] 2026-6-5 | Unveiling Inclusiveness-Related User Feedback in Mobile Applications
[IEEE] 2026-6-5 | A Physics-Informed Neural Network Approach to Modeling Dielectric Response Data
[IEEE] 2026-6-5 | Bayesian multipath mitigation technique with fully digital phased-array radar
[IEEE] 2026-6-5 | Federated Driver Digital Twin (FDDT): Secure, Adaptive, and Deployment-Oriented Private Models for Connected Vehicles
[IEEE] 2026-6-5 | A Multi-agent Evacuation Model for High-Rise Building Fire Integrating Environmental Perception and Individual Heterogeneity
[IEEE] 2026-6-5 | Unifying Personalization and Generalization in Federated Few-Shot Learning via Complementary Collaboration
[IEEE] 2026-6-5 | LSTM autoencoder–based real-time anomaly detection for univariate hydraulic turbine time-series data
[IEEE] 2026-6-5 | Demonstration of a Compact Gyrotron with Nonuniform and High-Gradient Magnetic Field
[IEEE] 2026-6-5 | HypBench: Hyperbolic Benchmark for Graph Neural Network Performance
[IEEE] 2026-6-5 | Computing Scaled Relative Graphs of Discrete-time LTI Systems from Data
[IEEE] 2026-6-5 | AHFNet: An Adaptive Hybrid Fusion Network for Robust Multimodal Hand Biometrics under Unreliable Modalities
[IEEE] 2026-6-5 | Author Index
[IEEE] 2026-6-5 | Spatial-Frequency Enhancement and Scale-Decoupled Refinement Network for Salient Object Detection in ORSI
[IEEE] 2026-6-5 | A Tri-Stage LLM-Coordinated Framework for Order-Driven Scheduling of Earth Observation Satellite Tasks
[IEEE] 2026-6-5 | Investigation of Convective Updrafts (INCUS) Dynamic Microwave Radiometer (DMR) Receiver Design and Pre-Launch Characterization
[IEEE] 2026-6-5 | Digital Transformation with Metaverse-Based Services: An Exploratory Managerial Framework Using AI-Simulated Stakeholder Dialogues_supp1-3700448.docx
[IEEE] 2026-6-5 | IEEE CSS Control Education Committee [Technical Activities]
[IEEE] 2026-6-5 | Optimizing Server Placement for Vertical Federated Learning in Dynamic Edge/Fog Networks
[IEEE] 2026-6-5 | PL-FBF: A Partitioned Learned Functional Bloom Filter with Adaptive Memory Allocation for Key–Value Stores
[IEEE] 2026-6-5 | Cram´ er-Rao Bound Minimization for Flexible Intelligent Metasurface-Enabled ISAC Systems
[IEEE] 2026-6-5 | Dual-branch Single-Image Self-Supervised Denoising Network Based on Laplacian Non-Local Self-Similarity Sampling
[IEEE] 2026-6-5 | Linear-Threshold Network Models for Describing and Analyzing Brain Dynamics: Investigations at the Intersection of Neuroscience and Control Theory
[IEEE] 2026-6-5 | The IoMT Security Trilemma: A Systematic Review of Privacy, Utility, and Resource Efficiency in Federated Edge Learning
[IEEE] 2026-6-5 | Trojan Obfuscation vs. Detection: A Large-Scale Empirical Study of Evasion
[IEEE] 2026-6-5 | A Machine Learning Approach for Predicting Term and Preterm Births Using Maternal Data
[IEEE] 2026-6-5 | Optimizing Profit Scoring in P2P Lending Using Prepayment and IRR Analysis
[IEEE] 2026-6-5 | Grade-Specific LSTM-Based Approach for Data-Driven Forecasting of Adike and Patora Arecanut Market Prices
[IEEE] 2026-6-5 | Advanced Sleep Health Analyzer: A Machine Learning–Driven Approach for Personalized Sleep Quality Prediction and Health Intervention
[ACM] 2026-6-6 | CMEF-DSD: Collaborative Multi-Expert Forecasting with Differentiable Scale Decomposition
[ACM] 2026-6-6 | Light Fields Lossless Compression via Video Codecs
[ACM] 2026-6-6 | Proceedings of the 2026 12th International Conference on Computing and Data Engineering
[ACM] 2026-6-6 | Evaluation of Sliding-Mode Position Controllers on Multi-Axis Machine Tools with Compliant Mechanics
[IEEE] 2026-6-5 | AeroThreatModel: LLM-Empowered Spatiotemporal Fusion Dynamic Threat Modeling Framework for Air-Space-Ground Integrated Air Traffic Management Networks
[IEEE] 2026-6-5 | Multi-Frequency Resolution-Oriented Reconstruction for Single-Pixel Terahertz Imaging
[IEEE] 2026-6-5 | Beyond Static Prompts: Dynamic Token Fusion for Temporal-Align Visual-Language Tracking
[IEEE] 2026-6-5 | Communication-Pipelined Split Federated Learning for Foundation Model Fine-Tuning in UAV Networks_supp1-3697889.pdf
[IEEE] 2026-6-5 | Virtual Oscillator Control for Synthesising Virtual Inertia in a Smart Transformer-Based AC Microgrids
[IEEE] 2026-6-5 | A LiDAR-Inertial SLAM Algorithm for Robot Detection Tasks in Unknown Complex Environments
[IEEE] 2026-6-5 | Stability Optimization Oriented Real-Time Energy Management System for Turbo-Hybrid Electric Aircrafts
[IEEE] 2026-6-5 | MTT-S Africa Initiative Visit to South Africa [Around the Globe]
[IEEE] 2026-6-5 | Masterless Cooperative Control for Modular Parallel Inverters with Accurate Current Sharing and Seamless Fault Transition
[IEEE] 2026-6-5 | A Data-Driven Approach for EV Load Modeling and Multi-Objective approach for integration of EVCS and DG in Distribution Systems
[IEEE] 2026-6-5 | Enhanced Ship Routing Through Ensemble Wave Forecasting and Causality-Constrained Departure Windows
[IEEE] 2026-6-5 | MCPST: A Multi-Phase Consensus and Spatio-Temporal Learning for Few-Shot Traffic Forecasting via Physical Dynamics
[IEEE] 2026-6-5 | IEEE App
[IEEE] 2026-6-5 | A Millimeter-Wave Low Profile Dual-polarization Phased Array Operating Under Glass Enclosures with Beamforming Co-Design for 5G IoT Mobile Terminals
[IEEE] 2026-6-5 | Magnet Segmentation Strategy Considering Electromagnetic Force in Large-Scale Wind Generators with Surface-Mounted Magnets
[IEEE] 2026-6-5 | Data Visualization for Teenage Teaching: A Review of Current Applications, Pedagogical Strategies, and Impact on Learning
[IEEE] 2026-6-5 | Polar Code With Parity Check-Assisted Pruning for Error Correction in Modern Flash Memory
[IEEE] 2026-6-5 | Comparative Analysis of Traditional Machine Learning and Causal Inference Models for ICU Drug Treatment Outcomes
[IEEE] 2026-6-5 | Harnessing Vision Language Models for Negation Sensitivity in Visual Question Answering
[IEEE] 2026-6-5 | A Universal Machine-Learning-Based Framework for Detecting and Preventing File Inclusion Attacks in PHP Web Applications
[IEEE] 2026-6-5 | Pre-ISP Adversarial Patch Detection in RAW Bayer Space for Trustworthy IoT Vision
[IEEE] 2026-6-5 | Review of Antenna Engineering and Radio Wave Propagation With MATLAB [Book/Software Reviews]
[IEEE] 2026-6-5 | Toward Real-time High-fidelity Immersive Robotic Telepresence via Online 3D Gaussian Splatting_supp1-3700426.mp4
[IEEE] 2026-6-5 | Remembering Fred E. Gardiol [In Memoriam]
[IEEE] 2026-6-5 | Nonconvex Low-Rank Tensor Representation with Self-Enhanced Structure Penalty for Multi-View Subspace Clustering
[IEEE] 2026-6-5 | Hierarchical Channel-aware Optimization Graph Convolution with Contrastive Learning for Emotion Recognition from Body Motion
[IEEE] 2026-6-5 | Writing Science in the Twenty-First Century: Christopher Thaiss and Ashley Rose Mehlenbacher: [Book Review]
[IEEE] 2026-6-5 | Rank-based No-reference Quality Assessment for Face Swapping
[IEEE] 2026-6-5 | Cross-Modality Fourier Prompt Tuning for Generalizable Visual-Language Tracking
[IEEE] 2026-6-5 | ${\mathcal{L}}_{\infty}$ Control of Switched T–S Fuzzy Systems Under Relieved Asynchronous Switching: A Zonotope Analysis Strategy
[IEEE] 2026-6-5 | Regulating Effect of Asynchronous Interruption on Dynamic Voltage Distribution of Series Vacuum Circuit Breaker
[IEEE] 2026-6-5 | TileInspector-HRD-Net: Efficient Feature Pyramid and Dynamic Head for Real-time High-Resolution Tile Defect Detection
[IEEE] 2026-6-5 | Synergistic Pixel- and Object-Level Anomaly Detection for Robust Autonomous Driving
[IEEE] 2026-6-5 | Wideband Evanescent Mode Bandpass Filter Based on Double Ridge Rectangular Waveguide Partially Loaded With Broadside Printed Strips
[ACM] 2026-6-5 | A Study of Biases in LLM-Generated Musical Taste Profiles for Recommendation
[IEEE] 2026-6-5 | Physical Evaluation of Naturalistic Adversarial Patches for Camera-Based Traffic-Sign Detection
[IEEE] 2026-6-5 | PickyRTL: A Static Analysis Tool for Detecting Hardware CWEs at Register-Transfer Level
[IEEE] 2026-6-5 | Retrieval-Augmented AI Platform for Accessible Legal Support in India
[IEEE] 2026-6-5 | Identification of Sarcasm, Emoji Utilization, and Aspect Recognition in Feedback Using Sentiment Analysis
[IEEE] 2026-6-5 | Improving Rating Accuracy in a Comparative Study of Web and Android Platforms Using a Quantitative Survey of Chef Booking Applications
[IEEE] 2026-6-5 | Hybrid Ransomware Detection Model Using Dynamic Behavioral
[IEEE] 2026-6-5 | Fake News Detection Using Machine Learning Techniques
[IEEE] 2026-6-5 | A Scalable and Privacy-Preserving Sealed-Bid Auction Framework for IoT Data Marketplaces
[IEEE] 2026-6-5 | A Hybrid Deep Learning Framework for Brain Stroke Diagnosis Using MRI and CT Scans
[ACM] 2026-6-6 | Review on the Development of UAV Cluster Intelligent Cooperative Control
[IEEE] 2026-6-5 | AI-Assisted Forensic Triage of Multilingual Online Gaming Chats Using Large Language Models
[ACM] 2026-6-5 | PromptCanvas: Composable Prompting Workspaces Using Dynamic Widgets for Exploration and Iteration in Creative Writing
[ACM] 2026-6-5 | MultiFPT: Towards Multi-Attribute Fairness in Pre-Trained Graph Neural Networks via Prompt Tuning
[ACM] 2026-6-5 | Sense, Think, Act, Reflect: Distilling Fast and Interpretable Decision Functions from LLM-Driven Crowds
[IEEE] 2026-6-5 | Statistical Properties of Closure Phases in SAR Interferometry
[IEEE] 2026-6-5 | Full Speed Range Sensorless Drive of Nonsalient PMSMs Based on PLL-Type Speed and Position Estimator
[IEEE] 2026-6-5 | Semi-Supervised Semantic Segmentation of Remote Sensing Images with Foundation Model Distillation and Multi-Level Consistency
[IEEE] 2026-6-5 | Collaborative Voltage Harmonic Mitigation at a Remote Sensitive Node in Inverter-Based Islanded Microgrids
[IEEE] 2026-6-5 | Nonintrusive Current Inversion for Paralleled Chips in Press-Pack IGBTs With a Coil Matrix and Data-Driven Modeling
[IEEE] 2026-6-5 | Joint Beamforming and Position Optimization for IRS-Aided SWIPT with Movable Antennas
[IEEE] 2026-6-5 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp2-3683248.mp4
[IEEE] 2026-6-5 | Computable Knowledge Discovery in Soft Magnetic Materials via Large Language Model Driven Literature Meta-Analysis
[IEEE] 2026-6-5 | IEEE Transactions on Electron Devices Publication Information
[IEEE] 2026-6-5 | Report on Diversity, Outreach, and Development Activities [Diversity, Outreach, and Development Activities]
[IEEE] 2026-6-5 | News
[IEEE] 2026-6-5 | ICSHIve: A Framework for Measurable and High-Interactive Honeypots in Industrial Control Systems
[IEEE] 2026-6-5 | A Sandwich-like Dual-band Shared-aperture Dielectric Lens Antenna with Large Frequency Ratio and Wide Scanning Range
[IEEE] 2026-6-5 | Dynamic assessment of the competencies and systems-thinking skills of civil aviation personnel in an age of technological breakthroughs
[IEEE] 2026-6-5 | IEEE Journal of Biomedical and Health Informatics Information for Authors
[IEEE] 2026-6-5 | Secure Two-Party Matrix Multiplication from Lattices and Its Application to Encrypted Control
[IEEE] 2026-6-5 | Edge Coordinated 6G IoT System for Autonomous Biomechanical Analysis and Fatigue Perception Performance Optimization in Competitive Sports
[IEEE] 2026-6-5 | State of Power Prediction for Series-Connected Battery Packs Considering the Inconsistency in State of Health of Cells
[IEEE] 2026-6-5 | Focus on Tunable Multifunction Filters [From the Guest Editor’s Desk]
[IEEE] 2026-6-5 | IMWS-AMP 2025 Women in Microwaves: Microwave Convergence: Bridging Disciplines – Frontiers and Challenges [Women in Microwaves]
[IEEE] 2026-6-5 | IEEE Transactions on Circuits and Systems for Video Technology Publication Information
[IEEE] 2026-6-5 | Context-Aware Recipe Recommendations using NLP with Multilingual Support
[IEEE] 2026-6-5 | Multi-Year Upgrade of Pre-Existing Power System to Support SQKD for Increasing Key rates
[IEEE] 2026-6-5 | LLM-Assisted Side-Channel Leakage Analysis of AES Power Traces
[IEEE] 2026-6-5 | Assessment of Grid Voltage Fluctuations on the Performance of a Three-Phase Grid-Integrated Inverter
[IEEE] 2026-6-5 | Explainable AI Models for Transparent and Ethical Customer Relationship Management Decision
[IEEE] 2026-6-5 | Secure and Scalable IoT Data Sharing with Dynamic Group Management via Re-Encryption
[IEEE] 2026-6-5 | Vision Transformers for Accurate Inferior Alveolar Nerve Classification in Cone Beam Computed Tomography
[IEEE] 2026-6-5 | Real-Time Violence Detection Using Lightweight Deep Learning
[IEEE] 2026-6-5 | Human is the New Vinyl: Why Human Creativity Still Wins in the AI Revolution: Micah Voraritskul: [Book Review]
[IEEE] 2026-6-5 | Dog Activity Detection from Accelerometer–Gyroscope Signals Using an Integrated CNN–BiLSTM Model
[IEEE] 2026-6-5 | A Lightweight Security Framework for Stateless Communication in Low-Power IoT Systems
[IEEE] 2026-6-5 | Focused Region Exclusion Learning for Cross-View Geo-Localization
[IEEE] 2026-6-5 | The Lighter Side of Control Systems
[IEEE] 2026-6-5 | Text Prompt Controllable Image Exposure Correction
[IEEE] 2026-6-5 | Improved-PPO-based Adaptive Safety-Critical Control for Orbit-Attitude Takeover of Failed Spacecraft with Cellular Satellites
[IEEE] 2026-6-5 | Digitally-tunable Mixer Design and Simulation with Modulated Signals within an Adaptive Receiver Front-end and with FPGA-based Demodulation
[IEEE] 2026-6-5 | Beyond Surface Similarity: Evaluating Structured Output Consistency in Large Language Models
[IEEE] 2026-6-5 | Collision-Free Output Feedback Distributed Coordination of MASs Under Unreliable Communication Topologies
[IEEE] 2026-6-5 | Advertisement
[IEEE] 2026-6-5 | Masthead
[IEEE] 2026-6-5 | Enabling Multicasting Supports For O-RAN Virtual Function Deployment in Multi-Cloud Environment
[IEEE] 2026-6-5 | Physics-Data Fusion with FBG Sensing for In-Situ Solid Lubricant Coating Degradation Monitoring under Microgravity Emulation
[IEEE] 2026-6-5 | Breaking the Vicious Cycle: Coherent 3D Gaussian Splatting from Sparse and Motion-Blurred Views
[IEEE] 2026-6-5 | A Study of M-Ary Encoding Genetic Algorithm for Closely-Spaced Multipath Parameter Estimation
[IEEE] 2026-6-5 | Flow-Aware Diffusion for Real-Time VR Restoration: Mitigating Cybersickness with Enhanced Spatiotemporal Coherence_supp1-3697013.pdf
[IEEE] 2026-6-5 | Collaborative Orthogonal Learning for Constrained Multi-Objective Optimization
[IEEE] 2026-6-5 | Optimization Output Control of Distributed Lighting System Based on NSGA-II Method and MLP Network
[IEEE] 2026-6-5 | A Robust CLEAN-like Approach to ISAR Image Decomposition with Non-stationary Signal Components
[IEEE] 2026-6-5 | A 120° FOV Angular Diversity Receiver for Underwater Wireless Optical Communications
[IEEE] 2026-6-5 | MEETINGS AND SYMPOSIA
[IEEE] 2026-6-5 | Adaptive Resource Allocation and Semantic Priority Control for Multi-UAV-Aided Relaying Systems
[IEEE] 2026-6-5 | Cognera: An Intelligent Tool For Dyslexia Detection And Correction
[IEEE] 2026-6-5 | Macro-to-TWh: A Log-Stabilized Benchmark of 21 Supervised Regressors for Country-Level Primary Energy Consumption Prediction
[IEEE] 2026-6-5 | Hybrid Deep Learning Models for Detecting Anomalous Behavior in Peer-to-Peer Payment Systems
[IEEE] 2026-6-5 | CTGAN-Augmented Stacked Ensemble of Machine and Deep Learning Models for Diabetes Prediction
[IEEE] 2026-6-5 | Model Predictive Control: A Revisit [Histories of Control]
[IEEE] 2026-6-5 | Handloom Saree Classification Using Transfer Learning with MobileNetV2
[IEEE] 2026-6-5 | Zero-Trust Agentic Federated Learning for Secure Internet of Things (IoT) Defense Systems
[IEEE] 2026-6-5 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp7-3683248.mp4
[IEEE] 2026-6-5 | Focused ultrasound improves microcirculation to treat painful peripheral neuropathy in type 2 diabetic rats
[IEEE] 2026-6-5 | A Tightly Coupled EKF for Hardware-Trigger-Free Radar Inertial Odometry based on Dynamic State Retrodiction
[IEEE] 2026-6-5 | Performance Analysis of Full-Duplex Cooperative NOMA-Enabled ISAC in Heterogeneous Networks
[IEEE] 2026-6-5 | IEEE Feedback
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | Lay All Your Morph on UV: 3D Geometry-Aware Canonical UV Representations for Morphing Attack Detection
[IEEE] 2026-6-5 | FedGB: A Generator-Based Federated Learning Against Reconstruction Attacks
[IEEE] 2026-6-5 | LLM-guided Adaptive Compensator: Bringing Adaptivity to Robotic Feedback Control with Large Language Model
[IEEE] 2026-6-5 | Distribution Network Modeling, Parameters, and Metering Data: Test Systems
[IEEE] 2026-6-5 | Homography-Based Visual Servoing of a UAM for Payload Delivery Onto a Dynamic Target
[IEEE] 2026-6-5 | Field Evaluation of a MEMS-Based Silicon Resonant Pressure Sensor for Seafloor Pressure Observation
[IEEE] 2026-6-5 | Towards Secure and Reliable SAGIN: Learning-Driven Multi-Dimensional Resource Scheduling for Multi-RIS Assisted OTFS Transmission
[IEEE] 2026-6-5 | Uncertainty Quantification: Theory, Implementation, and Applications (Second Edition) [Book Review]
[IEEE] 2026-6-5 | Graph Neural Networks with Augmented Lagrangian Loss for Energy Efficiency Optimization in Spectrum-Sharing Wireless Networks
[IEEE] 2026-6-5 | Improving the Offline Dataset on Offline Reinforcement Learning
[IEEE] 2026-6-5 | Spatially Robust Near-Field SWIPT Using Pinching Antennas: Rate-Energy Tradeoff Bounds
[IEEE] 2026-6-5 | GaN Schottky Barrier Diodes with a Quasi-Depleted Layer for Ultra-Low Power Microwave Rectification
[IEEE] 2026-6-5 | MuCamp2: Generating Validated Cyber Campaign Variants via Constrained LLMs for Group Attribution
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | CondVS4: A Causal Generative Model for Online Imputation of Industrial Process Time-Series Data
[ACM] 2026-6-6 | Enhancing the Reliability of Sunspot Number Prediction Intervals Using MC Dropout and Isotropic Regression
[IEEE] 2026-6-5 | XAI-Driven Input Masking to Mitigating Model Inversion Attacks
[IEEE] 2026-6-5 | Student Feedback Sentiment Analysis on Textual Data: Comparing Machine Learning and Transfer Learning Approaches in Face-to-Face Courses
[IEEE] 2026-6-5 | Deepedge+Location: A Location-Based Task Orchestrator for Edge Computing
[IEEE] 2026-6-5 | Maintaining SDN Controller High Availability Through Heartbeat Links: A Multi-SDN Solution
[IEEE] 2026-6-5 | A Conceptual Framework for Multiplayer Mixed Reality Training with Biometric Feedback
[IEEE] 2026-6-5 | IEEE Feedback
