[2026-07-28 11:18:30] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-27
正在获取论文...
[arXiv] 2026-07-27 | KAI: A Kinematic-Aware Interface for Data-Efficient Articulated Object Manipulation
[IEEE] 2026-7-27 | 2026 5th International Conference on Computer Networks, Big Data and IoT (ICCBI)
[IEEE] 2026-7-27 | Computationally Efficient DOA Estimation for Beamforming in Moving Coprime Array Systems
[IEEE] 2026-7-27 | From Global to Local: Hierarchical Probabilistic Verification for Reachability Learning
[IEEE] 2026-7-27 | 2026 107th ARFTG Microwave Measurement Conference (ARFTG)
[IEEE] 2026-7-27 | Optimized Ensemble Learning with Metaheuristic Feature Selection for Early CKD Diagnosis
[IEEE] 2026-7-27 | Design and Simulation-Based Characterization of a Portable 16-Bit Optoelectronic Acquisition System for Luminescence Detection in Resource-Limited Environments
[IEEE] 2026-7-27 | Neutralization-Line Method of Isolation Enhancement for Duo-Port/Quad-Port MIMO Antenna in X-Band IoT Applications
[IEEE] 2026-7-27 | CAR-STRIP: Carotid Artery Segmentation from MRI Images using Pyramidal Dilated Strip Attention with Transformer Network
[IEEE] 2026-7-27 | A Multi-Scale Spatio-Temporal Network for Echocardiographic Video Analysis in Disease Assessment
[IEEE] 2026-7-27 | Parallel Dual-branch Attention Swin Transformer for Remote Sensing Scene Classification
[IEEE] 2026-7-27 | HOSA-Caps: A Hierarchical Spatial-Temporal Technique for Precise Detection and Severity Assessment of Obstructive Sleep Apnea via ECG signals
[IEEE] 2026-7-27 | Multi-Class Coffee Pest and Disease Detection in Field Conditions Using YOLO26
[IEEE] 2026-7-27 | Motion-Intensity-Guided Hierarchical Graph Convolution
[IEEE] 2026-7-27 | Research on Network Behavior Analysis and Intelligent Management Model for University Laboratories
[ACM] 2026-7-27 | Efficient Ciphertext-Policy Attribute-Based SearchableEncryption Supporting LSSS Access Structures
[ACM] 2026-7-27 | A Human-in-the-Loop LLM Agent Framework with LoRA Domain Adaptation for DO-330 TQL-1 Tool Qualification
[ACM] 2026-7-27 | Hierarchical Reinforcement Learning Approach for Joint Trajectory Planning and Task Offloading in Multi-UAV-Assisted MEC
[IEEE] 2026-7-27 | Adaptive Moving Target Detection for Multichannel SAR Via Riemannian Metric Optimization
[IEEE] 2026-7-27 | Statistical Characterization of Spark Length and Spark Resistance in ESD Air Discharges
[IEEE] 2026-7-27 | HGCNet: Hierarchical Global-Local Collaborative Network for Hyperspectral Image Classification
[IEEE] 2026-7-27 | Efficiency Enhanced Constant-Sampling Variable-Switching Duration MPC Based on Virtual Double-Vector Modulation for VSI
[IEEE] 2026-7-27 | Privacy-preserving conformance checking using quantum-safe fully homomorphic encryption
[IEEE] 2026-7-27 | Adaptive Hierarchical RAG-Empowered LLM for UAV Scheduling in Multi-Access Edge Computing
[IEEE] 2026-7-27 | A Multi-Scale Enhanced U-Net-based Diffusion Model for Precipitation Nowcasting
[IEEE] 2026-7-27 | CNN-Based Rain Attenuation Prediction for Terrestrial Millimetre-wave Links Considering Spatial Rainfall Distribution
[IEEE] 2026-7-27 | Evolutionary Algorithm-Based Ensemble of Aggregation Strategies in Federated Learning
[IEEE] 2026-7-27 | EEG-SPELL: Spectral-PhonEtic-Lexical aLignment network for EEG-based Covert Speech Decoding
[IEEE] 2026-7-27 | AI-T2I: Aggregating-and-Isolating Cross-Attention to Diffusion Models for Text-to-Image Synthesis
[IEEE] 2026-7-27 | CICSE 2026 Cover Page
[IEEE] 2026-7-27 | Low-Complexity Linear Optical Field Reconstruction Via Time-Domain Tri-Phase-Shift Self-Coherent Detection
[IEEE] 2026-7-27 | Channel-Adaptive Edge AI: Maximizing Inference Throughput by Adapting Computational Complexity to Channel States
[ACM] 2026-7-27 | CAPSULE: A Storage Prefetcher Harnessing Spatio-Temporal Locality for Cloud-Scale Workloads
[IEEE] 2026-7-27 | Short-Window Contactless Respiration Monitoring Using Low-Cost UWB: From Quasi-Monostatic Geometry to XGBoost Framework
[IEEE] 2026-7-27 | Generative Artificial Intelligence for Underground Utility Digital Twins: A Review and Task-Oriented Framework
[IEEE] 2026-7-27 | Evaluation and Trend Analysis of Satellite-Based Extreme Precipitation and Drought Indices Over Peninsular Spain and Balearic Islands
[IEEE] 2026-7-27 | ICCBI 2026 Cover Page
[IEEE] 2026-7-27 | A Novel Decentralized Disturbance Observer-based Terminal Sliding Mode Control for Networked DC Microgrids
[IEEE] 2026-7-27 | Self-Powered Monitoring Device for Aeolian Vibration of Transmission Lines Based on Triboelectric Nanogenerators
[IEEE] 2026-7-27 | A²DA: Alignment-Distillation Synergistic Data Augmentation for Multilingual Knowledge Graph Completion
[IEEE] 2026-7-27 | An FR3 CMOS SOI Power Amplifier With Triple-Cascode Cores and an Efficiency–Load-Transformation Co-Optimized Output Network
[IEEE] 2026-7-27 | BiLSTM-Driven Secure Federated Architecture for Intelligent Fault Monitoring in Smart Manufacturing
[IEEE] 2026-7-27 | 3D Facial Expression Transfer on Kendall Shape Spaces
[IEEE] 2026-7-27 | AI-Driven OEE Monitoring System for Industrial IoT: Design and Experimental Validation
[IEEE] 2026-7-27 | Scalability and Runtime Efficiency of Low-Code Platforms for Multi-Scenario Power Grid Operations
[IEEE] 2026-7-27 | Implementation and Security Analysis of Symmetric Cipher Communication Architecture
[IEEE] 2026-7-27 | Rapid 3D Reconstruction of Post-earthquake Scene Using Gaussian Splatting from UAV Imagery
[ACM] 2026-7-27 | ECCentric: An Empirical Analysis of Quantum Error Correction Codes
[ACM] 2026-7-27 | Learning to Allocate Reusable Resources under Stochastic Rewards and Durations
[IEEE] 2026-7-27 | Sequence Surrogate Model-Assisted Multiobjective Optimization of Permanent Magnet Guideway in HTS Maglev Systems
[IEEE] 2026-7-27 | Absorption Shift Keying in Molecular Communication: Optimized Channel Coding and Error-Flip Demodulation for Enhanced Reliability
[IEEE] 2026-7-27 | Online Energy Dispatch of Power Distribution System with Dynamic Traffic Flow Via Graph Deep Reinforcement Learning
[IEEE] 2026-7-27 | Application of Machine Learning for Correcting Defect-induced Neuromorphic Circuit Inference Errors
[IEEE] 2026-7-27 | Organizing Committees
[IEEE] 2026-7-27 | Offline Reinforcement Learning Using Distributional Representation for Autonomous Unmanned Surface Vehicles Navigation
[IEEE] 2026-7-27 | LGLP: A Timing Constraint-Aware Logic-Guided Library Pruning Framework for Efficient Exploration of the Synthesis Pareto Frontier
[IEEE] 2026-7-27 | IEEE Transactions on Very Large Scale Integration (VLSI) Systems Society Information
[IEEE] 2026-7-27 | A Lightweight Resonance Network for Small and Slender Ship Detection in SAR Images
[IEEE] 2026-7-27 | Feature-Level Aspect Augmentation Network for Sparse-View Radar HRRP Recognition
[ACM] 2026-7-27 | Information Design for Prosocial Behavior
[ACM] 2026-7-27 | Geographical Centralization Resilience in Ethereum's Block-Building Paradigms
[IEEE] 2026-7-27 | Research on the Application of AI Driven 3D Printing Intelligent Experiment Management System in University Teaching
[IEEE] 2026-7-27 | Decentralized Traffic Signal Control Using Multi-Agent Reinforcement Learning and Visible Light Communication
[IEEE] 2026-7-27 | VLMoE-Restore: A Vision-Language Model guided Mixture of Experts Framework for Degraded Infrared Image Restoration
[IEEE] 2026-7-27 | Building Scalable Microservices with Java, Spring Boot, Kafka, and Kubernetes on AWS
[IEEE] 2026-7-27 | Dielectric Waveguide-Based Test Probes for Millimeter-Wave Range Test and Measurement Instrumentation
[IEEE] 2026-7-27 | Automated Planarization of GSG Probes for on-Wafer RF Measurements Using a Nanorobotic Probe Station
[IEEE] 2026-7-27 | Enhancing Clinical Diagnosis and Patient Monitoring using Machine Learning Techniques: A Study on Random Forest and CNN-based Models
[IEEE] 2026-7-27 | Implementation of a Web Application for Document Management using Cybersecurity Techniques
[IEEE] 2026-7-27 | Hybrid Feature Representation for Hate Speech Detection: Integrating Semantic Embeddings with Lexical Signals for Robust Classification
[IEEE] 2026-7-27 | A Scalable Cross-Cloud Architecture for Enterprise AI Systems: Integrating Salesforce Platforms with AWS AI Services
[IEEE] 2026-7-27 | Dynamic Programming and Simulation of Laboratory Emergency Evacuation Routes based on Deep Reinforcement Learning and Digital Twins
[IEEE] 2026-7-27 | Research on Improved ResNet18-based Multi-level Classification and Recognition of Pain Expressions
[IEEE] 2026-7-27 | A Hybrid Time-Series and Generative AI Framework for Scenario-Aware Retail Demand Forecasting
[IEEE] 2026-7-27 | Deep Learning-Based Detection and Severity Classification of Diabetic Retinopathy using Fine-Tuned DenseNet with Grad-CAM
[IEEE] 2026-7-27 | Multi-Modal Brain Tumor Classification using MRI and Clinical Data with Hybrid AI Techniques
[IEEE] 2026-7-27 | Towards Reliable 5G-NR Networks: A Comprehensive Experimental Evaluation Under Jamming and Coexistence Conditions
[IEEE] 2026-7-27 | ICIGP 2026 Content Announcement Page
[IEEE] 2026-7-27 | Robust Power Flow Inverse Model Predictive Control for Multi Active Bridge Converters
[IEEE] 2026-7-27 | Class-Imbalance Aware Weighting Approach for Long-Tail Object Detection in Vision-Based IoT Systems
[IEEE] 2026-7-27 | Underwater Acoustic Reconfigurable Intelligent Surfaces: Practical Modeling, Operating Ranges, and Optimization—A Tutorial
[IEEE] 2026-7-27 | A Physics-guided Machine Learning Approach for Efficient Multi-parameter Retrieval of Overlapping Cloud Properties
[IEEE] 2026-7-27 | On the Statistical Consistency Between Event Counts and Relative Contrast Thresholds under Sinusoidal Stimulation
[IEEE] 2026-7-27 | Enhanced Model Predictive Voltage Control With Improved Dynamic Performance for SEPIC Converters
[IEEE] 2026-7-27 | Muscle Coordination during an Endurance Walking Task With Elbow Exosuit Assistance
[IEEE] 2026-7-27 | TECMO: Efficient
                    <u>Te</u>
                    mporal
                    <u>C</u>
                    ross-Interaction
                    <u>Mo</u>
                    dule for Long Synchronized Audio-Video Generation
[IEEE] 2026-7-27 | Systematic Analysis of Feature and Classifier Configurations for Wafer Defect Pattern Recognition
[IEEE] 2026-7-27 | Dielectric Strength Failure in a Gas-Filled Transmission Line with a Magnetic Insulation
[IEEE] 2026-7-27 | PC-DiffSAR: Physics-Constrained Controllable Diffusion Model for Complex-Valued SAR Target Data Augmentation
[IEEE] 2026-7-27 | Model-Aided Learning for Sparse Received Signal Strength Indicator Radio Map Prediction and Wireless Signal Management in Internet of Things Environments
[IEEE] 2026-7-27 | Mixed-Timescale Differential Coding for Downlink Model Broadcast in Wireless Federated Learning
[IEEE] 2026-7-27 | Counterfactual Fairness Prediction on Missing Data
[IEEE] 2026-7-27 | A Fully Distributed Superlinear Convergence Scheduling Method for Optimal Operation of Ship Energy Interconnected System
[IEEE] 2026-7-27 | Compact Tri-Band Self-Decoupled MIMO Antenna for 5G Smartphone Applications
[IEEE] 2026-7-27 | Harnessing Sky Image Prediction: An Integrated Multimodal Learning Framework for Short-Term Solar Irradiance Forecasting
[IEEE] 2026-7-27 | Analysis of Correlation-Aware Header Placement in LR-FHSS Under Unslotted ALOHA Access
[IEEE] 2026-7-27 | Advances and Research Prospects in Industry 4.0-Enabled Sustainable Manufacturing
[ACM] 2026-7-27 | The Multiserver-Job Stochastic Recurrence Equation for Cloud Computing Performance Evaluation
[IEEE] 2026-7-27 | A Study on Rule-Driven Energy Management and Scheduling Strategies for Microgrids Considering Time-of-Use Tariffs and Demand Charges
[IEEE] 2026-7-27 | Study on Image Recognition Algorithm for Key Patterns in Stock K-line Charts Based on Improved Deep Convolutional Neural Network
[IEEE] 2026-7-27 | HMA-Net: Hybrid Multi-Attention for Fine-Grained Recognition of Dense Herbal Pieces
[IEEE] 2026-7-27 | Geometry LoFTR: Semi-Dense Local Feature Transformer for RGB-D Images
[IEEE] 2026-7-27 | Quantum Information Processing 3DAV Agent Collaborative Computing Architecture
[IEEE] 2026-7-27 | Research on Edge Device Fault Prediction Based on Lightweight Improved GA-BP Neural Network
[IEEE] 2026-7-27 | Design of University Data Governance and Intelligent Analysis System Based on Microservice Architecture
[IEEE] 2026-7-27 | Computer Modeling and Strategy Optimization of UAV-Released Smoke Occlusion Payloads Using Geometric Constraints and Particle Swarm Optimization
[IEEE] 2026-7-27 | Self-Supervised Monocular Endoscopic Depth Estimation with Highlight Removal and Intrinsic Decomposition
[IEEE] 2026-7-27 | A Hybrid ML-LLM Cascade System for Cost-Efficient Phishing Webpage Detection
[IEEE] 2026-7-27 | Explainable AI for Creditworthiness: A Transparent Machine Learning Model Leveraging Distributed Ledger Insights
[ACM] 2026-7-27 | Intelligent Wheelchair LAN Communication Architecture Based on Multi-UnitCollaboration: Protocol Optimization and Outdoor Interference ResistanceVerification
[IEEE] 2026-7-27 | Performance Analysis of DevOps Processes in Modern Cloud Platforms
[IEEE] 2026-7-27 | Impact of Blockchain Technology and Digital Finance Platforms on Sustainable Performance
[IEEE] 2026-7-27 | MViT-StrokeGAN: Enhanced CycleGAN with Stroke Module for Unpaired Artistic Style Transfer
[IEEE] 2026-7-27 | Design and Implementation of an AIGC-based Cybersecurity Education Animation Generation and Recommendation System
[IEEE] 2026-7-27 | Generative Multi-Agent Cooperative Optimization and Adaptive Scheduling Algorithms under Multidimensional QoS Constraints for Digital Campuses
[IEEE] 2026-7-27 | AI-Driven ROVs for Automated Coral Restoration and Marine Ecosystem Monitoring in the UAE: A Sustainable Approach to Marine Conservation
[IEEE] 2026-7-27 | AI-Driven Zero Trust and PAM Architectures for Accessible, Inclusive, and Equitable Cybersecurity in Global Enterprise Environments
[IEEE] 2026-7-27 | A Comparative Analysis of Fake News Detection on the LIAR Dataset
[IEEE] 2026-7-27 | Design and Implementation of a Space-Based Calibration Simulation System Based on Cesium
[IEEE] 2026-7-27 | AI Driven RSA based Adaptive MFA Model for Detection in online Banking Systems
[IEEE] 2026-7-27 | Low-Light Video Frame Enhancement with High-Frequency Reflectance Boosting and Adaptive Illumination Adjustment
[IEEE] 2026-7-27 | Secure and Efficient Data-Sharing Using Trust-Based Consensus Blockchain and Federated Computing in D2D Communication
[IEEE] 2026-7-27 | Light-weight AI Enhanced Adaptive Sensor Fusion for Robot based 3D Mapping Applications
[IEEE] 2026-7-27 | Fast Multi-Key Fully Homomorphic Encryption for Privacy-Preserving Intelligent Predictions
[IEEE] 2026-7-27 | Finite-Time Robust Control for Bowden Cable-Driven Exoskeletons With Time-Varying Cable Configurations_supp1-3713361.pdf
[IEEE] 2026-7-27 | Haptic Interfaces for Accessible Audio Mixing_supp1-3716643.mp4
[IEEE] 2026-7-27 | Fine-Grained Power Allocation for Power-Tiered Pricing Based Wireless Charging Services
[IEEE] 2026-7-27 | Beyond Net Present Value: A Practical Framework for De-Risking Strategic Technology Investments_supp1-3716711.docx
[IEEE] 2026-7-27 | Global Daily XCO
                    <sub>2</sub>
                    Reconstruction at 0.05° Resolution for 2021–2024 Using Satellite and Reanalysis Data
[IEEE] 2026-7-27 | RRNS Arith Lib – Open-Source Redundant Residue Number System Arithmetics for Reliable Circuits
[IEEE] 2026-7-27 | CICSE 2026 Copyright Page
[IEEE] 2026-7-27 | ST-PINet: Spatiotemporal Physics-Informed Network for Moving Infrared Small Target Detection via Endogenous Decoupling
[IEEE] 2026-7-27 | On-Chip Self-Injection-Locked Gain-Switched Combs for Flexible RF Signal Generation Via Photon–Photon Resonance
[ACM] 2026-7-27 | SilentDNS: Acoustic Side-Channel-Assisted Inference for Device Fingerprinting and State Detection under Encrypted Network Traffic
[IEEE] 2026-7-27 | Hybrid Framework for Synthetic Transportation Network Generation: Combining Constraint-First Topology with Learned Geometry
[IEEE] 2026-7-27 | A Task-Label-Free Domain-Incremental Learning Framework for DDoS Detection in the Internet of Things
[IEEE] 2026-7-27 | Optimization-Driven Hierarchical Coordination for Sustainable Megaconstellation Operations
[IEEE] 2026-7-27 | Exploiting Label-Aware Channel Scoring for Adaptive Channel Pruning in Split Learning
[IEEE] 2026-7-27 | Unraveling Affective States From the Auriculomotor System
[IEEE] 2026-7-27 | Vertically excited first-order antisymmetric mode plate wave resonator using X-113°Y LiNbO
                    <sub>3</sub>
[IEEE] 2026-7-27 | Sensing and Characterization of Complex Dielectric Dispersion of Liquids in a Capillary Tube in the X-Band
[IEEE] 2026-7-27 | TR-RNP: An Adaptive Transmission-Reliable Relay Node Placement Strategy in Internet of Underwater Things
[IEEE] 2026-7-27 | Evolutionary AP Switch ON/OFF Techniques for Energy-efficient Cell-free Massive MIMO Networks
[IEEE] 2026-7-27 | ME-MoD: Algorithm-Hardware-Dataflow Co-Design for Memory Efficient Mixture-of-Depth-Based Vision Transformer Accelerator
[IEEE] 2026-7-27 | Influence of Synaptic Characteristics on Operating Regions of Charge-Trapping Thin-Film Transistors_supp1-3714371.pdf
[IEEE] 2026-7-27 | High-Performance 3D Trench Hf
                    <sub>0.4</sub>
                    Zr
                    <sub>0.6</sub>
                    O
                    <sub>2</sub>
                    -Based Ferroelectric Capacitors with Ultra-Low Coercive Field (0.69 MV/cm) via Phase Boundary Engineering
[ACM] 2026-7-27 | HealthServe: A Public Health-Aware Inference Framework
[ACM] 2026-7-28 | FOCAL: Focused Object-Centric Attention for Lifelog Retrieval
[IEEE] 2026-7-27 | DenseNet and ConvNeXt for Effective Early Wildfire Detection: A Comparative Approach of Dense and Modern CNN
[IEEE] 2026-7-27 | Evaluating Open-Text 3D Segmentation From 3D Reconstructed Point Clouds
[IEEE] 2026-7-27 | Secure and Transparent Cloud Data Sharing using Blockchain and Smart Contract Technology
[IEEE] 2026-7-27 | Energy-Efficient Smart Lighting Systems for Residential Environments: A Review
[IEEE] 2026-7-27 | Development of Functionally Graded Carbon Fabric-Reinforced Epoxy Composites Incorporating Hybrid Magnetic–Conductive Fillers for X-band EMI Shielding
[IEEE] 2026-7-27 | A Comprehensive Analysis of AI-based Acoustic Voice Biomarkers for Non-Invasive Detection of Diabetes and Multimorbidity
[IEEE] 2026-7-27 | Research of AL-YOLOv8 for Chip Surface Defect Detection
[IEEE] 2026-7-27 | Joint-level Occlusion-Aware Text Prompts for Robust Monocular Hand Mesh Reconstruction
[IEEE] 2026-7-27 | Explicit Progressive Optimization for Video frame Interpolation with Optical Flow Guidance
[IEEE] 2026-7-27 | Enhancing Diabetic Retinopathy Detection through Optic Disc-Aware Deep Learning on Retinal Fundus Images
[IEEE] 2026-7-27 | DiffRes-HDR: Physics-Guided Residual Diffusion for HDR Exposure Interpolation
[IEEE] 2026-7-27 | Deep Learning-based Few Shot Reverberation Estimation Algorithm and Hardware Co-optimization Framework for Real-time Live Music Signal Acquisition
[IEEE] 2026-7-27 | Performance-Bound Orchestration of AI-Enhanced Retail Microservices on Cloud
[ACM] 2026-7-27 | RELL-STC: An Efficient SpMM Extension of Sparse Tensor Core with Re-structured ELLPACK and Gustavson Dataflow
[ACM] 2026-7-27 | cuPTW: Leveraging Idle Compute Units for Massively Parallel GPU Page Table Walks
[IEEE] 2026-7-27 | A Multi-Domain Noise-Aware 2.5D UNet++ Framework With FiLM Conditioning and Spectral Gating for MRI Denoising
[IEEE] 2026-7-27 | FedAggVerify: Publicly Verifiable and Privacy-Preserving Aggregation With Ownership Protection for Federated Learning
[IEEE] 2026-7-27 | Effects of Charge Generation Layer Parameters on Luminance Balance Between Bottom and Top Emitting Units in Top Emitting Tandem Organic Light Emitting Diodes
[IEEE] 2026-7-27 | Physics-Informed Tensor Velocity Reconstruction from 2D Velocity Estimates using Row-Column Probes
[IEEE] 2026-7-27 | A 112GS/s 7b 64× Time-interleaved Hybrid ADC Achieving 43.1dB SFDR at 44.1GHz Input in 28nm CMOS
[IEEE] 2026-7-27 | Energy Saving in Cell-Free Massive MIMO ISAC for Ultra-Reliable Target-Aware Actuation
[IEEE] 2026-7-27 | Neural Operator-enabled Topology-informed Evolutionary Strategy for PDE-Constrained Optimization_supp1-3708401.pdf
[IEEE] 2026-7-27 | Stability analysis of asynchronously impulsive stochastic interconnected time-varying systems
[IEEE] 2026-7-27 | A 24–30 GHz GaN Front-End MMIC With ESD-Integrated Switch and Bond-Wire Co-Design
[IEEE] 2026-7-27 | Congestion-aware Channel Selection for ETSI ITS-G5
[IEEE] 2026-7-27 | NEO: NeRF It Once, Edit It Many Times for Continuous Object Manipulation
[IEEE] 2026-7-27 | NWaaS: A Non-Intrusive and Privacy-Preserving Watermarking-As-a-Service System With Adaptive Resource Scheduling
[IEEE] 2026-7-27 | Edge-Responsive Local-Repair Particle Swarm Optimisation for Dynamic Spatiotemporal Task Allocation of IoT-Connected UAV Swarms
[IEEE] 2026-7-27 | DSCAN: Structural Clustering on Directed Graphs
[IEEE] 2026-7-27 | Auditing the Reliability of Automated Risk Evaluators in Agentic Tutoring Systems under Pedagogical Style Variations_supp1-3716609.pdf
[IEEE] 2026-7-27 | ComSoc Technical and Emerging Technologies Committees
[IEEE] 2026-7-27 | Toward Trustworthy Digital Twins in AI Agent-Based Wireless Network Optimization: Challenges, Solutions, and Opportunities
[IEEE] 2026-7-27 | Cooperative Mitigation Against Learning-Based Reactive Jammers: Analysis and SDR Validation
[IEEE] 2026-7-27 | ReG-Net: Retrieval-Enhanced Graph Networks for Robust Multimodal Missing Data Recovery
[IEEE] 2026-7-27 | AI-based Enterprise Security Monitoring System using Machine Learning
[IEEE] 2026-7-27 | Architecture-Aware CI/CD Framework for Early Feedback and Resource Optimization
[IEEE] 2026-7-27 | Performance Analysis of Smart Grid Fault Diagnosis System Based on Edge Computing Architecture
[IEEE] 2026-7-27 | Towards a Smart Campus Inspection Robot: ROS - Gazebo Validation of Autonomous Corridor Navigation
[IEEE] 2026-7-27 | Analysis of Suspended Sediments in Water Using Satellite Imagery and Artificial Intelligence
[IEEE] 2026-7-27 | YOLO-Based Architectures for Grapevine Disease Detection
[IEEE] 2026-7-27 | An Experimental Framework for Networked Control Systems
[ACM] 2026-7-27 | Target Radar Cross Section Prediction Method Based on Improved Generative 3D Model
[ACM] 2026-7-27 | Higher-Order Approximations of Sojourn Times in M/G/1 Queues via Stein's Method
[IEEE] 2026-7-27 | Suppressing Ring Artifacts in Lamb-Wave Elliptical Imaging via Reliability-Aware Gating and CF–DMAS Fusion
[IEEE] 2026-7-27 | Nakamoto Consensus with Ruin Theory: A Comprehensive Framework for Theoretical Bounds and Empirical Estimates of Double-Spending
[IEEE] 2026-7-27 | Copyright Authentication Scheme for Vector Geographic Data via Graph Attention Networks Based Zero-watermarking and Blockchain
[IEEE] 2026-7-27 | Physics-Regularized Learning for Robust Sim-to-Real Tactile Friction Estimation
[IEEE] 2026-7-27 | DRL-based Joint Task Processing and Resource Allocation for Remote Sensing in Vehicle-Device-Edge Collaborative Networks_supp1-3714336.pdf
[IEEE] 2026-7-27 | Impact of Terrestrial Blockages on Coverage and SINR Meta Distribution in LEO Satellite Networks
[IEEE] 2026-7-27 | Numerical analysis of Magnetization Loss in No-Insulation Coils under High AC Magnetic Fields at Various Operating Temperatures
[IEEE] 2026-7-27 | PCDiffCR: A Cloud-Driven Diffusion Model with Fast Sampling for Single-Pair Optical Remote Sensing Image Cloud Removal
[IEEE] 2026-7-27 | Guest Editorial: Stacked Intelligent Metasurface-Empowered Advanced Signal Processing Paradigm for 6G and Beyond
[IEEE] 2026-7-27 | Deep Recurrent Architectures for EEG-Based Classification of Major Psychiatric Disorders: A Comparative Study of LSTM, BiLSTM, GRU, BiGRU, and Their Hybrids
[IEEE] 2026-7-27 | Nonlinearity Compensation for Coherent Optical Satellite Communications
[IEEE] 2026-7-27 | RoadPilot-LLM: A Collaborative Framework of Road Perception and Large Language Model Deployable on Intelligent Connected Vehicles
[IEEE] 2026-7-27 | The Advanced Microwave Scanning Radiometer 3 (AMSR3) Aboard GOSAT-GW
[IEEE] 2026-7-27 | Design of a Wearable FBG-Based Sensor with High Sensitivity for Radial Artery Pulse Waveform Measurement
[IEEE] 2026-7-27 | Fatigue Life Prediction and Fault Diagnosis Model for Mechanical Materials in Intelligent Manufacturing
[IEEE] 2026-7-27 | A Zero-Trust Supply Chain Security Framework for Model Context Protocol-based AI Systems
[IEEE] 2026-7-27 | Generative AI in Pega BPM Automating Business Processes with Diffusion Models and LlaMA
[IEEE] 2026-7-27 | Four-Dimensional Metrics for Interpretable Fault Localization in Distribution Networks
[IEEE] 2026-7-27 | A Data-Driven Predictive Framework for Land Rights Protection Assessment: An Empirical Analysis based on Remote Sensing Image Change Detection Algorithms
[IEEE] 2026-7-27 | Enhancing Power Grid Resilience Through Smart Grid Technologies and Predictive Maintenance Strategies
[IEEE] 2026-7-27 | Design and Experimental Study of a Few-Shot Handwritten Digit Recognition Model Based on Meta-Learning
[IEEE] 2026-7-27 | Parkinson’s Disease Classification using Serial Ensemble Deep Network
[IEEE] 2026-7-27 | CTF-Net: A Dual-Path CNN-Transformer Fusion Network for Single Image Dehazing
[IEEE] 2026-7-27 | Enhancing API Security in Spring Boot Microservices using AI-based Threat Detection
[IEEE] 2026-7-27 | Multispectral Image Compression Methods for High-precision Color Reproduction
[IEEE] 2026-7-27 | From Model to Agent: A Modular LLM-Based Framework for Multi-Agent Systems
[IEEE] 2026-7-27 | ASIA: an Autonomous System Identification Agent
[IEEE] 2026-7-27 | A Novel Stealthy CAN Attack Detection Method for the Internet of Vehicles via Traffic Prediction and Reconstruction-Error-Based Weighted Entropy
[IEEE] 2026-7-27 | Dielectric Window Design Based on Neural Network and Particle Swarm Optimization
[IEEE] 2026-7-27 | Haptic Interfaces for Accessible Audio Mixing_supp3-3716643.mp4
[IEEE] 2026-7-27 | Distributed Optical Fiber Sensing Technology in Stability Monitoring of High-Steep Slopes on Roadways: A Review
[IEEE] 2026-7-27 | Transregional Neural Prostheses: Applications and Computational Tools
[IEEE] 2026-7-27 | Near-Field Power and Data Networking via Meandered E-Textiles for Continuous, Large-Scale BodyNet
[IEEE] 2026-7-27 | ORIS Assisted Secure VLC against Eavesdropping: A Model-Driven Multi-Agent Reinforcement Learning Approach
[IEEE] 2026-7-27 | SRC-Net: Saliency-Guided Reconstruction and Cholesky Regression Network for Oriented SAR Object Detection
[IEEE] 2026-7-27 | Min-Max Regret Task Allocation and Planning of Heterogeneous Multi-Robot System in Partially Known Environments
[IEEE] 2026-7-27 | An Accelerated Training Framework for Physics-Informed Neural Networks: Applications in Ultrafast Ultrasound Blood Flow Imaging_supp4-3714831.mp4
[IEEE] 2026-7-27 | Pilot Scheduling on Demand: Adaptive Channel Estimation Scheme for TDD Massive MIMO With Diverse Coherence Times
[IEEE] 2026-7-27 | Table of Contents
[IEEE] 2026-7-27 | IEEE Transactions on Very Large Scale Integration (VLSI) Systems Publication Information
[IEEE] 2026-7-27 | Exploiting Beamforming and Aerial RIS Design for Secure Transmission in Two-Way Relay Systems Against Multiple Eavesdroppers
[IEEE] 2026-7-27 | A –20 °C to 140 °C, 10.2-nA CMOS-Only Voltage Reference With 80-μA Load-Driving Capability
[IEEE] 2026-7-27 | A Systematic Machine Learning-Based Benchmark Framework for $\rm{PM}_{2.5}$ Prediction Using Meteorological Sensed Inputs
[IEEE] 2026-7-27 | Online Compensation for Rank Deficiency Repair in Target Controllability of Time-Varying Nonlinear Multi-Agent Systems
[ACM] 2026-7-27 | Guiding the Recommender: Information-Aware Auto-Bidding for Content Promotion
[ACM] 2026-7-27 | Horizon: Understanding and Predicting Global Starlink Performance
[ACM] 2026-7-27 | Robustness of the 2-Choices Dynamics to Node Failures
[IEEE] 2026-7-27 | Federated and Privacy-Preserving Artificial Intelligence Models for Secure Cyber Risk Assessment in Smart Infrastructure Systems
[IEEE] 2026-7-27 | Efficient Deep Neural Networks for Embedded Animal Sound Classification
[IEEE] 2026-7-27 | Generative AI-Driven Enterprise Content Management: A Microservices Framework Leveraging Reinforcement Learning for Scalable and Resilient Financial Systems
[IEEE] 2026-7-27 | Back Support Exoskeletons for Agricultural Workers: A Comprehensive Engineering Review of Mechanisms, Biomechanics, and Design Frameworks for Farm Deployment
[IEEE] 2026-7-27 | Edge-AI Enabled IoT Networks for Ultra-Low Latency Decision Making
