[2026-09-11 22:51:11] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-10
正在获取论文...
[arXiv] 2026-09-10 | Qubit-Qutrit Quantum Tomography of hadronic $Λφ$ and $ΛK^{\ast 0}$ systems
[arXiv] 2026-09-10 | An analysis of the relationship of input metrics
[arXiv] 2026-09-10 | Constrained Deep Inventory Management Using Forward-Backward SDEs
[arXiv] 2026-09-10 | Generalized Frobenius Partitions Modulo Powers of $2$
[arXiv] 2026-09-10 | Block entropy area based non-local fermionic mode optimization with gradient disentanglers
[arXiv] 2026-09-10 | Symplectic Surface Summing and Negative Spheres
[arXiv] 2026-09-10 | The uniform Turán density of the tetrahedron
[arXiv] 2026-09-10 | A closed signature formula for the Katz-Long-Moody Hermitian form
[arXiv] 2026-09-10 | Predicting Privacy Leakage from Weight Spectral Density
[arXiv] 2026-09-10 | Differentially Private EEG Feature Anonymization: A Privacy-Utility Case Study in Clinical Neurophysiology
[arXiv] 2026-09-10 | Circular Rearrangement Inequality and Optimal Cyclic Birth and Death Chains
[arXiv] 2026-09-10 | Device Engineering and Performance Optimization of Cu2NiGeS4 Thin-Film Solar Cells with In2S3/MoTe2 Charge-Selective Layers: A Computational Study
[arXiv] 2026-09-10 | Sparsity Regularized and Robust Mean Variance Portfolio Selection Under Ellipsoidal Uncertainty
[arXiv] 2026-09-10 | Utility-Level-Dependent Ambiguity
[arXiv] 2026-09-10 | Construction of Control Lyapunov-Barrier Functions from CLF-CBF Pairs
[arXiv] 2026-09-10 | From Good Starts to Optimal Inference: Generalized Latent Factor Models with Missingness and Implicit Regularization
[arXiv] 2026-09-10 | Hilbert-space selected switch of helical edges in an artificial quantum Hall insulator
[arXiv] 2026-09-10 | Spectral bipartiteness in generalized odd graphs of diameter three
[arXiv] 2026-09-10 | Reproducibility in the Age of Agentic AI: Context Engineering at the Timescale of a Codebase
[arXiv] 2026-09-10 | The Eloquence submission for Task 2 of the Interspeech 2026 MLC-SLM challenge
[arXiv] 2026-09-10 | Lifted surgery: Fast processing with QLDPC codes
[arXiv] 2026-09-10 | The Rigidity of the closed three dimensional regular Landsberg metrics
[arXiv] 2026-09-10 | MC-DeTra: Motion-Consistent Joint Object Detection and Socially-Aware Trajectory Forecasting in Bird's-Eye-View Images
[arXiv] 2026-09-10 | Generalization Analysis of Distributed Kernel-based Robust Gradient Descent Algorithms
[arXiv] 2026-09-10 | ACIM instability of piecewise expanding maps through the lens of metastability
[arXiv] 2026-09-10 | Geospatial Foundation Models Capture Health-Relevant Dimensions of Place Beyond Conventional Social Risk Indices
[arXiv] 2026-09-10 | Out-of-equilibrium relaxation dynamics of the superconducting order parameter in CsV$_3$Sb$_5$
[arXiv] 2026-09-10 | Bayesian Superiority in On/Off analysis
[arXiv] 2026-09-10 | COBRA-Skills: Contextual Bandit-Guided Evolution for Agent Skill Optimization
[arXiv] 2026-09-10 | On weak dominance of t-conorms over t-norms
[arXiv] 2026-09-10 | Rubric-Aligned Disentangled Evaluation of Human Simultaneous Interpreting
[arXiv] 2026-09-10 | Overview of the NLPCC 2026 Shared Task 11: Agent-Based Experiment Reproduction from Scientific Papers
[arXiv] 2026-09-10 | Scattering-robust Imaging of Azimuthal Features with Enhanced Resolution
[arXiv] 2026-09-10 | Low-Latency State Space Voice Activity Detection with Robust Onset Time Evaluation
[arXiv] 2026-09-10 | How AI Coders Discuss, Disagree, and Reach Consensus: Challenges and Opportunities for LLM-Based Qualitative Coding
[arXiv] 2026-09-10 | Nitrogen-Loud Quasars from the Dark Energy Spectroscopic Instrument. I. Sample Selection and Basic Properties
[arXiv] 2026-09-10 | Classification of fission modes in $^{236}$U using a six-dimensional Langevin approach
[arXiv] 2026-09-10 | SPURS: An Ultra-deep View Inside the Compact, Nitrogen-Enriched Nuclei of Little Red Dots
[arXiv] 2026-09-10 | Is the Linear Threshold Good Enough? A Scale-Free Parameter and Adequacy Test for Curvature-Induced Threshold Displacement
[arXiv] 2026-09-10 | Bargmann Invariants Are Insufficient for Complete Local-Unitary Orbit Discrimination
[arXiv] 2026-09-10 | A bi-Lipschitz characterization of strong minimum-attainment for Lipschitz maps
[arXiv] 2026-09-10 | SaltBench: A Referee-Gated Protocol for Measuring Method Effects in Machine-Checked Software Work
[arXiv] 2026-09-10 | Coherent Floquet quantum reservoirs for molecular property prediction
[arXiv] 2026-09-10 | Fork Where the Model Changes Its Mind: Belief-Shift Branching for Tree-Structured Reinforcement Learning
[arXiv] 2026-09-10 | Tensor Decomposition Based Mixed-Field Sensing for XL-MIMO AFDM Systems
[arXiv] 2026-09-10 | Recurrence and transience of random walks with drift $ρx^α/t^β$
[arXiv] 2026-09-10 | Meta-Learning for Classifier Selection in Image Datasets: A Feature-Driven Framework for Accuracy Prediction
[arXiv] 2026-09-10 | Bayesian Variable Selection for High-Dimensional Predictors with Missing Psychometric Outcomes
[arXiv] 2026-09-10 | Defining AI Agents: A Compendium of Criteria, Metrics, and Benchmarks
[arXiv] 2026-09-10 | Topological Necessities: Mechanism-Invariant Strategic Subgoals for Cross-Embodiment Goal-Conditioned Control
[arXiv] 2026-09-10 | Averaging principles for nonautonomous multiscale stochastic Burgers equations with reflection
[arXiv] 2026-09-10 | A model of grain growth in UN integrating molecular dynamics, phase-field modeling, and uncertainty quantification
[arXiv] 2026-09-10 | Phases in a class of associative memories via hidden neurons
[arXiv] 2026-09-10 | Quasi-Whittaker supermodules over Lie superalgebras
[arXiv] 2026-09-10 | Eclipse Properties and Superhump Evolution in the SU UMa-Type Dwarf Nova Z Cha
[arXiv] 2026-09-10 | Irrationality Measure Controls Long-Wavelength Charge Fluctuations in Quasiperiodic Systems
[arXiv] 2026-09-10 | Generalized Ridge Refitting for the Lasso and Prediction Improvement Bounds
[arXiv] 2026-09-10 | AUC Maximization from Biased Positive-unlabeled Data with Confidence
[arXiv] 2026-09-10 | Structurally Speaking: Motif-Oriented Graph Captioning through Bidirectional Graph-Text Translation
[arXiv] 2026-09-10 | Quasi-Monte Carlo Beyond Hardy-Krause II: $(1 + \varepsilon)n$ Samples Suffice
[arXiv] 2026-09-10 | Windowed Envelope Statistics for Time-Domain Significant Wave Height Estimation From HF Radar
[arXiv] 2026-09-10 | ObstaDiff: Generalizable Diffusion Policy Learning via Obstacle-aware Representations
[arXiv] 2026-09-10 | A Chip-scale Space-time Multiplexed Gaussian Boson Sampling Processor Beyond 10,000 Photons
[arXiv] 2026-09-10 | Analytic Construction of Rational Curves on Fano Manifolds
[arXiv] 2026-09-10 | Computational Trade-Offs Between Newton and Picard Solvers for Mean Field Game PDE Systems
[arXiv] 2026-09-10 | Correlative effects of induced magnetic field-buoyancy on reactive solute dispersion dynamics in couple-stress fluids
[arXiv] 2026-09-10 | Optimal Recursive Composition and Dyadic Phase Laws for Gradient Descent with Predetermined Stepsizes
[arXiv] 2026-09-10 | Collinear fragmentation of pseudoscalar quarkonia from NLO NRQCD
[arXiv] 2026-09-10 | On Identifying Sound Conditions for Frontrunning Resistance
[arXiv] 2026-09-10 | Evidence for plasmoid formation related to a hot UV burst in the solar atmosphere
[arXiv] 2026-09-10 | Antimony for broadband nanophotonics across the ultraviolet, visible and infrared
[arXiv] 2026-09-10 | 3D Euler-Angle Orientation Control for Two-Ray Fading Mitigation in Maritime Air-to-Sea Communications
[arXiv] 2026-09-10 | Cartesian PML truncation for the Helmholtz equation is exponentially accurate at high frequency
[arXiv] 2026-09-10 | Hierarchy of Rényi Coherent Information in Stabilizer Codes
[arXiv] 2026-09-10 | Chowla's non-vanishing conjecture over $\mathbb{F}_q(T)$
[arXiv] 2026-09-10 | Quantum models of interaction Hamiltonian and their paradoxes
[arXiv] 2026-09-10 | From Analytic Structure to Quantum Complexity: Walsh-Pauli Representations of Continuum Operators
[arXiv] 2026-09-10 | The generalised semi-Clifford conjecture is false
[arXiv] 2026-09-10 | Spike Estimation from Heteroscedastic Noise via Random Splitting
[arXiv] 2026-09-10 | Existence of the Core in Approval-Based Committee Elections
[arXiv] 2026-09-10 | Conjugator length in finitely generated groups
[arXiv] 2026-09-10 | Electrovacuum Black Hole Uniqueness
[arXiv] 2026-09-10 | Birth and Death of Entanglement in Hamiltonian-Driven Quantum Games under Decoherence
[arXiv] 2026-09-10 | Characterizing Bluesky Content Moderation Service: From Automation of Service to Landscape of Harms
[arXiv] 2026-09-10 | Improving Faint Object Detection for Space Situational Awareness with Variational Autoencoders
[ACM] 2026-9-10 | Research on Intelligent Logistics Information Sensing Method Based on RFID Anti-interference Coding
[IEEE] 2026-9-10 | Differentiated Prototype Guided Weakly Supervised Semantic Segmentation
[IEEE] 2026-9-10 | DRCMDA: A Dual-View Drug Repositioning Framework with Cluster-Aware Structured Masked Reconstruction and Diffusion-Based Metapath-Graph Augmentation
[IEEE] 2026-9-10 | A Systematic Review of Non-Invasive Methods for Utility-Side Harmonic Impedance Determination
[IEEE] 2026-9-10 | Achieving a 155× Speedup in a LiDAR Data Processing Pipeline
[IEEE] 2026-9-10 | Continual Deterministic Learning and Control of Unknown Nonlinear Systems With Knowledge Reuse
[IEEE] 2026-9-10 | SP-VoxelDet: Channel-Efficient Fully Sparse 3D Object Detection Via Partial Convolution
[IEEE] 2026-9-10 | Joint Hierarchical Image Encryption and Compression Based on Diffusion Models
[IEEE] 2026-9-10 | A Power-Decoupled Three-Phase Current Source Inverter for Low-Voltage-Ride-Through of Wind Power Generators
[IEEE] 2026-9-10 | Joint Trajectory and Fluid Antenna Design for Secure UAV-Enabled ISAC
[IEEE] 2026-9-10 | Non-Stationary THz Channel Characterization for S2A Communications: A Trajectory-Aware Doppler Analysis
[IEEE] 2026-9-10 | Ultra-Wideband 2-Bit Reconfigurable Phased Array Antenna with Improved Side Lobe Level
[IEEE] 2026-9-10 | Adaptive Genetic Optimization of Sparse Arrays for Millimetre-Wave MIMO Radar
[IEEE] 2026-9-10 | A Small-Sample Learning Method for Risk Management Evaluation of Power Grid Engineering Investment Execution
[IEEE] 2026-9-10 | Millimeter-Wave Wideband Large-Spacing Wide-Angle Scanning Magnetoelectric Dipole Phased Array Antenna
[IEEE] 2026-9-10 | Arabic Text Detection and Classification in News Video Based on Vision Transformer
[IEEE] 2026-9-10 | Research on Staged Single-Image Deraining Algorithm
[IEEE] 2026-9-10 | Design of a Ka-band Three-Way Power Combining Structure in Rectangular Waveguide
[IEEE] 2026-9-10 | Experimental Study on Electromagnetic Susceptibility of ZigBee-Based Cabin Internet of Things Systems under Radiated Interference
[IEEE] 2026-9-10 | Integrating Active Problem-Based Learning through Generative AI to Enhance Students’ Understanding of AI Ethics
[IEEE] 2026-9-10 | Design of High-Efficiency and Boardband Concurrent Dual-Band Power Amplifier
[IEEE] 2026-9-10 | The Study of Learning Outcomes using the Role-Play Method of Human Augmentation Simulation Learning System to Enhance Digital Content Creator
[IEEE] 2026-9-10 | FDFD Solution for the Crosstalk of Multi-Conductor Transmission Lines
[IEEE] 2026-9-10 | Parametric Optimization Design of Microwave Sensor Based on Interdigitated Spoof Plasmons
[IEEE] 2026-9-10 | A Comparative Study of AI Models for EEG-Based Cognitive Confusion Detection
[IEEE] 2026-9-10 | Machine Learning for Inflation Forecasting: Can High-Dimensional Macro Indicators Beat the Phillips Curve?
[IEEE] 2026-9-10 | A Method for Design of Heterogeneous Arrays With Broadband Circular Polarization
[IEEE] 2026-9-10 | A Five-Beam Fresnel Lens Antenna with High Gain for mmWave Wind Profile Radar
[IEEE] 2026-9-10 | Social CRM for Stakeholder Engagement and Social Innovation in the Circular Economy
[IEEE] 2026-9-10 | A Fast Update Method for Calibration Data of Phased Array Antennas
[IEEE] 2026-9-10 | Design of C-band High-Efficiency Relativistic Klystron Oscillator with a Low-magnetic Field
[IEEE] 2026-9-10 | MGF-PEFT: Multi-Granularity Feature Fusion for Efficient Large Language Model Tuning
[IEEE] 2026-9-10 | Optically Transparent Millimeter-Wave Wideband Reflective Metasurface Antenna
[IEEE] 2026-9-10 | A YOLO11 Object Detection Algorithm Based on ResNet18 Backbone Optimization for UAV Small Targets
[IEEE] 2026-9-10 | High-Efficiency Bilateral Cosecant-Squared Beamforming Antenna Based on Substrate Integrated Coaxial Line
[IEEE] 2026-9-10 | Bi-Level Routing and Sparse Spatial Attention based Multi-View BEV 3D Object Detection for Autonomous Driving
[IEEE] 2026-9-10 | Multi-Scale Time-Frequency Collaborative Attention Network for Speech Emotion Recognition
[IEEE] 2026-9-10 | Conformal Tapered Periodic Sheet for Edge Scattering Suppression
[IEEE] 2026-9-10 | Two-Stage Delay-Doppler Estimation for OTFS Systems via Off-Grid Sparse Bayesian Learning
[IEEE] 2026-9-10 | H-GRPO: An Asymmetric Hierarchical Group Relative Policy Optimization Framework for Constrained Multi-Objective Control
[IEEE] 2026-9-10 | Cognitive Offloading in the Age of AI: Investigating the Influence of AI Dependence on Students' Critical Thinking Skills
[IEEE] 2026-9-10 | A Simplified Design Method for 27-30 GHz GaN MMIC Load-Modulated Balanced Amplifier
[IEEE] 2026-9-10 | An Improved Schiffman Phase Shifter Based on an L-Shaped Network
[IEEE] 2026-9-10 | Delay-Consistent Cross-Traffic Generation for Extending Network Digital Twins to Unidentified Networks
[IEEE] 2026-9-10 | The Future of Integrated Bidirectional Energy and Transport Systems [From the Editor]
[IEEE] 2026-9-10 | 2026 7th International Conference on Big Data Analytics and Practices (IBDAP)
[ACM] 2026-9-11 | Distance-Guided Search in Program Synthesis with Imperfect LLM Solutions
[ACM] 2026-9-11 | SustainDiffusion: Optimising the Social and Environmental Sustainability of Stable Diffusion Models
[ACM] 2026-9-11 | Energy-Efficient Software Development: A Multi-dimensional Empirical Analysis of Stack Overflow
[ACM] 2026-9-11 | Demystifying the CVE Ecosystem: Community-Perceived Impacts and Problems
[ACM] 2026-9-11 | RealityCraft: Automated Synthesis of Extended Reality Device Interaction Scripts from Natural Language Instructions
[ACM] 2026-9-11 | From Code to Correctness: Closing the Last Mile of Code Generation with Hierarchical Debugging
[ACM] 2026-9-11 | Remediating Superfluous Re-Rendering in React Applications
[IEEE] 2026-9-11 | An 80-Year Trajectory of Stuart A. Long - His Mentors, Colleagues, Students, Friends, and Family
[ACM] 2026-9-11 | Introduction to the Special Issue on “Blockchain Research and Applications for Innovative Networks and Services (BRAINS 2024)”
[IEEE] 2026-9-11 | HATFI-Net: A Hybrid Attention Time-Frequency Interpolation Network for Channel Estimation
[IEEE] 2026-9-11 | Performance Comparison of Planar, Cylindrical, and Spherical Fabry-PéRot Cavity Antennas for mmWave Applications
[IEEE] 2026-9-11 | ADC-Free Compute-in-Memory for Error-Resilient and Energy-Efficient AI Accelerators
[IEEE] 2026-9-11 | Distributed Safety-Aware Motion Planning for Dual-Arm Systems Via Gaussian Belief Propagation With Application to Catenary Dropper Assembly_supp1-3732969.mp4
[IEEE] 2026-9-11 | Additively Manufactured Multilayer Fan-Out Interposer
[IEEE] 2026-9-11 | An Improved YOLOv8 Object Detection Method With Dual Attention and Adaptive Weighting
[IEEE] 2026-9-11 | Surface Integral Equation Simulation of Acoustic Metasurfaces with Willis Impedance Boundary Conditions
[IEEE] 2026-9-11 | Orbital-Aware S-Band Payload-Data Downlink and Antenna Integration Assessment for USMSpace-1
[IEEE] 2026-9-11 | Spatial-Only Representations for Multi-Channel Speaker Diarization
[IEEE] 2026-9-11 | Localization of Distributed Phased Array Antennas in Partially Connected Networks Using Matrix Completion
[IEEE] 2026-9-11 | Physics-Anchored Unsupervised Domain Adaptation for Radio Environment Mapping in Indoor Industrial Environments
[IEEE] 2026-9-11 | Intrinsic Cylindrical Lensing: Turning Curvature Into Gain in Flexible Antipodal Vivaldi Antennas
[IEEE] 2026-9-11 | Efficient Wideband Beamforming for Full-Duplex Fixed-Subarray Massive MIMO Systems
[IEEE] 2026-9-11 | Deep Learning Surrogate Modeling of Body-Area Networks via Equivalent Electromagnetic Sources
[IEEE] 2026-9-11 | A GNSS Record-and-Replay Channel Emulator Using an AMD $4 \times 2$ RFSoC
[IEEE] 2026-9-11 | Spatiotemporal Prediction of Strong Earthquake Risk in the Sichuan-Yunnan Region Using a GAN-RNN Fusion Model
[IEEE] 2026-9-11 | ISSET 2026 TOC
[IEEE] 2026-9-11 | Table of Contents
[IEEE] 2026-9-11 | HVDC-Enabled Smart Grid Architecture for Long-Distance Renewable Power Transfer and Wide-Area Grid Interconnection
[IEEE] 2026-9-11 | Integrating Live Sensor Data and Machine Learning in Digital Twin Simulations
[IEEE] 2026-9-11 | A 500-MHz BW Beamforming Chiplet Pair with Analog Approximate-DFT and Dual 10-Gb/s Links
[IEEE] 2026-9-11 | A Study on the Prediction of Deformation in Steep Slopes Using an ARIMA-LSTM Hybrid Model with Residual Correction
[IEEE] 2026-9-11 | Source-Free Few-Shot Soil Recognition via Vision-Language Token Recalibration
[IEEE] 2026-9-11 | Compensation of Platform Magnetic Interference via Coil-Calibrated Physical Model and Attention Network
[IEEE] 2026-9-11 | Multi-Bit Based RCS Reduction for Circularly Polarized Phased Array
[IEEE] 2026-9-11 | Motion-Aware Kalman Filtering Based Adaptive Beam Tracking for Mmwave Communications in High-Speed Moving Scenarios
[IEEE] 2026-9-11 | Design of a Circularly Polarized Crossed-Dipole Antenna with Polarization Agility
[IEEE] 2026-9-11 | A Compact SDR Approach for RF Near-Field Wearable Vital Sign Sensing in Non-Contact Healthcare Applications
[IEEE] 2026-9-11 | Experimental Verification of an X-band Data Downlink Phased Array Antenna Using Infrared Thermography
[IEEE] 2026-9-11 | Transient Modeling of Electromagnetic Interactions with Homogeneous Penetrable Bodies of Revolution Based on Temporal-Domain Electric Field Integral Equations
[IEEE] 2026-9-11 | Chirp Signal Controlled Reconfigurable Leaky Wave Antennas Array by Adding Varactors
[IEEE] 2026-9-11 | The Effect of Oxygen Exchange Layer on the Switching Properties of Tantalum Oxide RRAMs for In-Memory Computing
[IEEE] 2026-9-11 | Genetic Algorithm-Based Optimization of Sparse Phased Array Antennas for Direct-To-Vehicle Satellite Communication
[IEEE] 2026-9-11 | Efficient Reconstruction of Homogeneous Penetrable Objects Based on Augmented Surface Integral Equations
[IEEE] 2026-9-10 | Before the First Token: Characterizing Affective Modality Conflict through Pre-generation State Patterns
[IEEE] 2026-9-11 | Impact of Feed Location on Reflector Integrated Wideband Metasurface Antenna
[IEEE] 2026-9-11 | High-Gain Beamforming-Capable Bi-Directional D-Band Transmitarray for FMCW Radar via Integrated Packaging-Aware Multi-Channel AoP
[IEEE] 2026-9-11 | A Time-domain Computing-in-memory with twin Bit-cell Array for Efficient Multi-bit Analog MAC Operation
[IEEE] 2026-9-11 | Recent AI-Driven Design Advancements in EM Components and Systems of Smart EM Environments
[IEEE] 2026-9-11 | Simple Frequency- and Pattern-Reconfigurable Liquid-Metal Antenna with Zero Static Power
[IEEE] 2026-9-11 | 2026 International Conference on Unmanned System and Intelligent Technology (USIT)
[IEEE] 2026-9-11 | Investigation of the Effects of Photovoltaic Panel Cooling Using Hydroelectric Power Plant Discharge Water on Energy Production and System Efficiency
[IEEE] 2026-9-11 | Improved Active Power Tracking Scheme of Hybrid-Synchronization-Controlled Energy Storage Converters
[IEEE] 2026-9-11 | Multi-Source Feature Integration for Short-Term Load Forecasting in Off-Grid Residential Microgrids Using Stacked LSTM Networks
[IEEE] 2026-9-11 | Resilient Dynamic Event-Triggered Containment Control for Second-Order Nonlinear Multi-Agent Systems Under Hybrid Cyber-Attacks
[IEEE] 2026-9-11 | Sstdr-Based Microwave Imaging for Inflammatory Veterinary Disease Detection: a Staged Path Toward Breast Cancer Screening
[IEEE] 2026-9-10 | Deep Tactile Learning for Tumor Detection and Depth Classification in Robot-Assisted Surgery
[IEEE] 2026-9-11 | A Synchronized Phase-Shifted Time-Multiplexed Uplink Wireless Power and Data Transfer System for Implantable Voltammetry
[IEEE] 2026-9-11 | Terramechanics-Aware Adaptive Quadrupedal Locomotion Via Foot-Terrain Interaction Model_supp1-3732903.mp4
[IEEE] 2026-9-11 | Compact Dual-Port Self-Duplexing Antenna for Head-Implantable Wireless Medical Devices
[IEEE] 2026-9-10 | A Low-Complexity Joint Fractional Delay and Doppler Frequency Estimator for AFDM-Enabled Vehicular LEO-ICAN Systems
[IEEE] 2026-9-11 | Gradient-Based PSLL Minimization for Uniformly Excited Sparse Linear Arrays
[IEEE] 2026-9-11 | A Hardware-Efficient TinyML-Based Fault Detection Framework for Reliable AI Accelerators
[IEEE] 2026-9-11 | Computing Without Learning: An Information-Theoretically Secure Multiparty Evaluation of Deterministic Pushdown Automata
[IEEE] 2026-9-11 | Scaling LLMs Via Collaboration: Efficient LLM Inference Across Resource-Constrained Devices
[IEEE] 2026-9-11 | Investigating OAM Scattered Fields Using a Scaled Terahertz Time-Domain Spectroscopy Radar System
[IEEE] 2026-9-11 | A Practical ULF/VLF Transmitter Based on Earth's Magnetic Field Modulation
[ACM] 2026-9-11 | Json-SysML: A Bidirectional JSON-Based Representation for SysML Models Enabling LLM-Augmented Model-Based Systems Engineering
[ACM] 2026-9-11 | Not All Differences Matter: Variability Exploration of Domain Models via Agentic AI
[IEEE] 2026-9-10 | A Language Model-Based Method for Malicious Threat Analysis in Industrial Control Networks
[IEEE] 2026-9-10 | CMT-Net: Cross-Modal Multi-Task Learning for Automated Inspection of Integrated Circuits in Printed Circuit Boards
[IEEE] 2026-9-10 | Physical Reservoir Computing with Electric Double Layer Transistors for Anomaly Detection using Power Analysis
[IEEE] 2026-9-10 | Experimental Evaluation of Polarization-Graded AlGaN/GaN HEMTs With Electric Field Management and Improved Breakdown Performance
[IEEE] 2026-9-10 | Characterization of Beam-Squint and Beam-Split Effects in RIS-assisted Multi-Frequency Networks
[IEEE] 2026-9-10 | Adaptive Radar for Uncooperative Spectrum Sharing: GLRT Asymptotic Performance
[IEEE] 2026-9-10 | A Physics-Guided Message Passing Neural Network for Mesh Smoothing in Moving Conductor Eddy Current Simulations
[IEEE] 2026-9-10 | Prescribed-Time Tracking Control of Linear Motors with Guaranteed Performance under Uncertainties
[IEEE] 2026-9-10 | Phase-Shifted DR Based HVDC Link Dedicated to Filter-Free Distant Offshore Wind Farms
[IEEE] 2026-9-10 | AutoNet: A Two-Stage Router Configuration Recommendation Framework Integrating Structured Semantic Modeling and Constraint Solving
[IEEE] 2026-9-10 | Efficient Electro-Thermal Co-Analysis of GaN HEMTs Based on Neural Network
[IEEE] 2026-9-10 | Design and Implementation of System-Independent Data Encryption Software: Case Study of Exploration and Development Data Lake
[IEEE] 2026-9-10 | A Wide Dynamic Range Efficiency-Enhanced Class-D Power Amplifier Using Hybrid Power Control Techniques for LPWAN Applications
[IEEE] 2026-9-10 | Physics-Informed Generative Beamforming for Terahertz Holographic Metasurface Antennas
[IEEE] 2026-9-10 | WVES: A Weighted Ensemble Framework for Student Mental Health Assessment
[IEEE] 2026-9-10 | Design of Ultrawideband Dual-Polarized Base Station Antenna for 2/3/4/5G
[IEEE] 2026-9-10 | A Highly Integrated Quantum Wide- field Microscope Based on NV Centers
[IEEE] 2026-9-10 | An Accelerated MUSIC Algorithm for GTD Scattering Center Parameter Estimation
[IEEE] 2026-9-10 | Long-Horizon Load Stability Testing and Degradation Forecasting for High-Concurrency Cloud Storage
[IEEE] 2026-9-10 | A Voltage-Mode Schmitt Trigger Based on A Single VCII and Its Application to A Square/Triangular Wave Generator
[IEEE] 2026-9-10 | A 2D Inverse Scattering Method for Metallic Targets Based on the Finite-Difference Frequency-Domain
[IEEE] 2026-9-10 | Design of Ku-band Microwave Driver Amplifier for Microwave Photonic Radar Imaging
[IEEE] 2026-9-10 | LFFN: A Locality-Aware Feed-Forward Network for Efficient Transformer Architectures
[IEEE] 2026-9-10 | GS-YOLO: Lightweight Weed Detection via a Shared Convolutional Detection Head
[IEEE] 2026-9-10 | Compact Broadband 2×2 MIMO Array Based on Multi-Mode Resonance for Wireless Communication Systems
[IEEE] 2026-9-10 | A Resistorless Electronically Tunable Grounded Inductance Simulator Using Voltage Conveyor Transconductance Amplifiers
[IEEE] 2026-9-10 | Texture Attribute-Based Classification of GPR Data Recorded Along Railway Tracks
[IEEE] 2026-9-10 | Optimizing Structural MRI for Alzheimer's Diagnosis: A Preprocessing Approach Using FSL
[IEEE] 2026-9-10 | Factors Influencing the Success of Instructional Management in the Metaverse: A Structural Equation Modeling Approach
[IEEE] 2026-9-10 | Design of a Dual-Band Bandpass Filter Based on Spoof Surface Plasmon Polaritons
[IEEE] 2026-9-10 | An ultra-wideband tightly coupled phased array antenna with low-profile and wide-angle scanning
[IEEE] 2026-9-10 | A Miniaturized Atomic Clock with Low-Power Mode and Adjustable-Precision 1PPS Synchronization
[IEEE] 2026-9-10 | An Ultra-Wideband LDMOS Power Amplifier Based on Filter Network Synthesis Technology
[IEEE] 2026-9-10 | Tighter Security Proof for IBE from MP-LWE Assumption in the Random Oracle Model
[IEEE] 2026-9-10 | VeriRAG-Agent: A Retrieval-Augmented Agent Framework with Dynamic Tool Calling for Smart Contract Auditing
[IEEE] 2026-9-10 | A High Frequency-Selectivity Polarization Converter for X-Band Applications
[IEEE] 2026-9-10 | Agentic AI and LLMs for Dynamic Content Generation: an Architectural and Communication Framework for Carbon Footprint Management
[IEEE] 2026-9-10 | Multi-Objective Optimization Using LSTM and Genetic Algorithm with Multi-Agent Simulation: Application to Glacier Conservation Planning
[IEEE] 2026-9-10 | A Simplified Multi-Port Calibration Method Based on 2-N Switch Matrix De-embedding Using a Single Thru Standard
[IEEE] 2026-9-10 | Design of an STM32-Based Smoke Monitoring System Using Dual-Threshold Hysteresis Control
[IEEE] 2026-9-10 | A Decoupling Structure Based on Reconfigurable Elements for Wideband Patch Antennas
[IEEE] 2026-9-10 | Design of 3-Bit Reconfigurable Intelligent Surface with Wide-Angle Continuous Steering Beams
[IEEE] 2026-9-10 | Compact Dual-Band Bandpass Filter With Adjustable Frequency Ratio Using Novel Folded Substrate-Integrated Waveguide Cavities
[IEEE] 2026-9-10 | Single-Layer SIW Cavity-Backed Slot Antenna Array Using High-Order Mode
[IEEE] 2026-9-10 | Human Respiration Sensing Using 24 GHz Coupled-Resonator Frequency-Scanning Antenna
[IEEE] 2026-9-10 | A Low-Profile Shared-Aperture Antenna for High-Performance Base Station Applications
[IEEE] 2026-9-10 | GPR Missing Data Reconstruction via Curvelet-Domain Optimization
[IEEE] 2026-9-10 | Optimizing Loop Inductance via Strategic Decap Placement and Fast Assessment
[ACM] 2026-9-10 | Design of a Multimodal Intelligent Analysis and Generation System for University Brand Communication Videos
[ACM] 2026-9-10 | Q-DRFormer: Query-Position Mapping Flow Prediction with Progressive Refinement for Document Rectification
[IEEE] 2026-9-11 | Integrated Machine Learning–Based SOC Prediction, Regenerative Energy Optimization, and Battery Health Assessment for Urban Logistics Electric Vehicles
[IEEE] 2026-9-11 | Reducing RF Front-End Capacitance Effects on Antenna-Integrated SAR Proximity Sensing
[IEEE] 2026-9-11 | Ultrawideband Electromagnetic Interference Shielding Using a Frequency Selective Surface
[IEEE] 2026-9-11 | A Cross-Domain Survey of Medical and Remote Sensing Image Registration Methods_supp1-3732595.pdf
[IEEE] 2026-9-11 | Beyond UHF RFID: Broadband Characterization of Passive RFID ICs for Application in Reconfigurable Electromagnetic Systems
[IEEE] 2026-9-10 | FlowVLA: Visual Chain of Thought-Based Motion Reasoning for Vision-Language-Action Models
[IEEE] 2026-9-11 | Women in Antennas and Propagation: A European Perspective
[IEEE] 2026-9-11 | A Technology Difference Identification Method Based on BERTopic and Cosine Similarity
[IEEE] 2026-9-11 | Design and Analysis of an Ultrawideband Probe-Fed Conformal Array Antenna for High-Power RF Applications
[IEEE] 2026-9-11 | A Novel Dual-Polarization, Ultra-Thin, Air-Gap-Free Energy-Selective Surface
[IEEE] 2026-9-11 | Optimized Ensemble Deep Learning for User Load Forecasting and Residual-Based Anomaly Detection
