[2026-06-04 11:55:28] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-03
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202606030000+TO+202606032359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-6-3 | IEEE Antennas and Wireless Propagation Letters Publication Information
[IEEE] 2026-6-3 | Hybrid Deep Learning Models for Comparing Teacher Effectiveness and Student Engagement Across Schools
[IEEE] 2026-6-3 | An Integrated Framework for Real-Time Phishing Website Detection using XGBoost and BERT
[IEEE] 2026-6-3 | Federated Reinforcement Learning with Blockchain-Integrated Trust for Secure Routing in 5G-Enabled Vehicular Networks
[IEEE] 2026-6-3 | A Machine Learning Approach Based on Combined Feature Ranking and Targeted Ablation in Early-Stage Diabetes Risk Prediction
[IEEE] 2026-6-3 | Revenue Management and Operational Efficiency in Aviation Enterprises: A Categorical Analysis of Contemporary Literature (2023-2026)
[IEEE] 2026-6-3 | AI-Driven Data Analysis Pipelines for Enterprise Data Engineering
[IEEE] 2026-6-3 | Spatio-Temporal Machine Learning Framework for Dengue Incidence Rate Forecasting Using National Health Surveillance Data
[IEEE] 2026-6-3 | SNR Prediction and SNR-Aware Optimization based on Artificial Neural Networks in Wireless Communications: A Review
[IEEE] 2026-6-3 | Two-Stage Nonlinear Torque Observer-Based Robust Backstepping Speed Control for IPMSM Drives
[IEEE] 2026-6-3 | Large Language Model Guided Reinforcement Learning for Heat Pump Control in Smart Buildings
[IEEE] 2026-6-3 | A Sustainable Embedded Monitoring Architecture of Real-Time Electric Leakage Detection and Automated Subchannel Remote Alerts
[ACM] 2026-6-3 | Conference Reports - April 2026
[IEEE] 2026-6-3 | Unregistered Spectral Image Fusion: Unmixing, Adversarial Learning, and Recoverability_supp1-3698775.pdf
[IEEE] 2026-6-3 | Non-Invasive Broad-Timescale Harmonic Impedance Identification for Train-Network Systems Considering Harmonic Lateral Propagation
[IEEE] 2026-6-3 | E-CaTCH: Event-Centric Cross-Modal Attention With Temporal Consistency and Class-Imbalance Handling for Misinformation Detection
[IEEE] 2026-6-3 | Experimental Model-Free Trim Control of a Planing Hull With Interceptor
[IEEE] 2026-6-3 | A plug-and-play new fault detection method based on deep compressed sensing and contrastive learning
[IEEE] 2026-6-3 | Influence of Reverse Pumping Time on Semiconductor Opening Switch Cut-Off Characteristics
[IEEE] 2026-6-3 | Integrated GaAs Fiber-Optic Fabry-Perot Sensor for Temperature and Pressure Simultaneous Measurement
[IEEE] 2026-6-3 | Joint Optimization for UAV-assisted Mobile Crowdsensing Networks With Heterogeneous Multi-agent Collaboration
[IEEE] 2026-6-3 | A Constrained Formulation for Simultaneous Line Parameter Estimation and Instrument Transformer Calibration
[IEEE] 2026-6-3 | IEEE Access
[ACM] 2026-6-3 | Participatory Workshops in Design for Transitions as Affordances for Desired Futures
[ACM] 2026-6-3 | Designing for Co-Existence: Exploring AI as a More-Than-Human Actor in Participatory Design
[ACM] 2026-6-3 | From Hermeneutical Injustice to Collective Imagining: Troubling Feminist Co-Design in Women's Health
[ACM] 2026-6-3 | MoonPoly: Bridging Code Generation and Adaptive Execution via Micro-Kernel Polymerization for Optimizing Dynamic-Shape Tensor Operators
[ACM] 2026-6-4 | Causality-Aware Recommender Systems (CARS): A Fairness- Centered Approach for Robust and Transparent Recommendations
[IEEE] 2026-6-3 | Collaborating with AI in Programming Education: A Qualitative Study of Student Experiences with a Chatbot-Supported Learning Environment
[ACM] 2026-6-3 | Research on Intelligent Language Output and Learning Behavior Data Analysis System for Physical Education Instruction
[ACM] 2026-6-3 | Construction of a Retrieval-Augmented LLM Agent for Health Education and a Multi-dimensional Evaluation Framework: A Comparative Study of Chinese Large Language Models
[ACM] 2026-6-3 | Short-term Prediction and Evacuation Optimization of Subway Mass Passenger Flow Based on Multi-source Data Fusion
[ACM] 2026-6-3 | Application of Artificial Intelligence in Educational Assessment: A Case Study of Student Performance Prediction
[ACM] 2026-6-3 | Construction of an Intelligent Evaluation System for Language Service Talent Cultivation in Higher Vocational Colleges from the Perspective of Industry-Education Integration
[ACM] 2026-6-3 | A Model-Driven Tiered Instructional Intervention for International Students: An MLP-Based Reform of Chinese Culture Courses
[ACM] 2026-6-3 | Research on the Prediction of Ideological and Political Education Trend of College Students Based on LDA Topic Model
[ACM] 2026-6-3 | Fine-grained Rubric-Aware Automated Scoring of Programming Short Answer Questions via Large Language Models in Vocational Education
[ACM] 2026-6-3 | An Exploratory Framework for Applying Machine Learning Proxy Models in Quantitative Finance Education: A Project-Based Learning Approach
[ACM] 2026-6-3 | A Semantic Alignment Method for Large-Scale Human-Computer Communication Integrating Affective Computation and Simulation Validation
[ACM] 2026-6-3 | What Can We Do about It? Regeneration, “Design”, and Creativity
[IEEE] 2026-6-3 | Robust Wideband Spectrum Sensing in Low-SNR Environments with a Dynamic Convolution-Augmented Transformer
[IEEE] 2026-6-3 | Reliability-Oriented In-Situ Characterization of Thermal Interface Materials under Harsh Conditions for Power Electronics
[IEEE] 2026-6-3 | A High Efficiency and High Precision PMU for Neural Stimulation Applications
[IEEE] 2026-6-3 | MLGA-Mamba: Multiscale Locally Gated Attention and Dual-Stream Decoder Guided Vision Mamba for Change Detection of Fast-Growing Urban Regions
[IEEE] 2026-6-3 | Spectral Decomposition and Responsive Scaling: A Dual-Pattern Approach for Efficient Serverless Auto-Scaling
[IEEE] 2026-6-3 | Impedance modeling and sensitivity analysis of fully differential inductive displacement sensor
[IEEE] 2026-6-3 | Monocular Images based Freeboard Measurement of Inland Ships
[IEEE] 2026-6-3 | 6D Tip Wrench Estimation for Continuum Robots: A Koopman-UKF-Wrench Decomposition Approach_supp2-3697156.mp4
[IEEE] 2026-6-3 | Design and Evaluation of a Compact, MR-Compatible Origami Continuum Robot with Variable Length_supp1-3699218.mp4
[IEEE] 2026-6-3 | Deep Reinforcement Learning Enabled Persistent Surveillance with Energy-Aware UAV-UGV Systems for Disaster Management Applications_supp5-3696943.mp4
[IEEE] 2026-6-3 | A Millimeter-Wave Notched Mirror-Grid Dielectric Waveguide Resonator Antenna
[IEEE] 2026-6-3 | Super-Aligned Carbon Nanotube-Based Resistor Array for High-Speed and Polarization Infrared Scene Simulation_supp1-3694063.avi
[IEEE] 2026-6-3 | Journal of Microelectromechanical Systems Publication Information
[IEEE] 2026-6-3 | Effects of ultrafast phase modulation on dynamics and stability criteria of passive mode-locking
[IEEE] 2026-6-3 | Adaptive Duty-Ratio-Modulated Direct Torque Control Based on Extended Virtual Voltage Vectors for PMSM Drives
[IEEE] 2026-6-3 | An OMO Learning Analytics Workflow Linking Facial-Expression-Based Emotions to Learning Outcomes
[IEEE] 2026-6-3 | Modeling Electric Vehicle Adoption at the ZIP Code Level: A Bass Diffusion and Machine Learning Approach
[IEEE] 2026-6-3 | Interference-Aware Complex Phasor Message Passing Network for Joint Beamforming Optimization in Multi-User IRS-Assisted 6G Systems
[IEEE] 2026-6-3 | An Integrated Fuzzy-Entropy and Fuzzy-Improved-MULTIMOORA Approach for the Selection of Energy Storage Technologies
[IEEE] 2026-6-3 | Exploration and Practice of AI-Based Full Lifecycle Management for Teaching Equipment
[IEEE] 2026-6-3 | A Structured Checkpoint Framework for Early Integration and Validation of Schedule and Cost Baselines in Construction Planning
[IEEE] 2026-6-3 | Enhanced YOLOv8n for Vehicle and Road Object Detection
[IEEE] 2026-6-3 | AI-Driven Real-Time Intrusion Detection and Automated Mitigation for Industrial IoT Process Control Sensors
[IEEE] 2026-6-3 | A Smart Healthcare Solution for Medication Adherence and Expiry Monitoring
[IEEE] 2026-6-3 | Early Detection of Parkinson's Disease via Spiral Drawings and MRI Images with Deep Transfer Learning and Genetic Feature Optimization
[IEEE] 2026-6-3 | Intelligent Detection of Bank Transaction Fraud Using Multilayer Perceptron Model
[IEEE] 2026-6-3 | A Computer Vision Approach for Identifying Chemically Ripened Fruits to Ensure Public Health
[IEEE] 2026-6-3 | An End-To-End on-Prem Vulnerability Assessment Framework Using Hybrid CPE Matching and Structured Mitigation Generation
[IEEE] 2026-6-3 | A Deep Q-Network-Based Opportunistic Routing Protocol for Energy-Efficient Wireless Sensor Networks
[IEEE] 2026-6-3 | An Intelligent Decision Support System Using Explainable Machine Learning for Sustainable Treatment of Liquid Household Hazardous Waste
[IEEE] 2026-6-3 | Predictive Task Scheduling for Latency Minimization in Vehicular Fog Computing using Optimized Deep Belief Learning
[IEEE] 2026-6-3 | Impact of High vs. Low Agile Process Maturity on Cross-Functional Collaboration and Project Success in Enterprise Software Development
[IEEE] 2026-6-3 | Measuring Cloud Misconfigurations in the Wild: An Empirical Multi-Cloud Study
[IEEE] 2026-6-3 | XFMA-Net: Explainable Forensic Multi-Scale Attention Framework for Image Forgery Detection
[IEEE] 2026-6-3 | 5G-Enabled Digital Twin and AI-Driven Autonomous Energy Management Architecture for Predictive and Vehicle-to-Grid Optimization in Next-Generation Electric Vehicles
[IEEE] 2026-6-3 | Information Sufficiency Limits in Metaheuristicbased IIR System Identification Under Multi-Level Observation Reduction
[IEEE] 2026-6-3 | A Machine Learning–based Framework for Indian Domestic Flight Ticket Price Prediction using Real-World Aviation Data
[IEEE] 2026-6-3 | From Pixels to Policies: An AI-Driven Workflow for Quantifying Agricultural Drought Impact on Food Security
[IEEE] 2026-6-3 | Non-Contact Electrostatic Cleaning of Photovoltaic Panels Using Corona-Induced Charge Transfer
[IEEE] 2026-6-3 | A Modular Graph Coloring Abstraction for Register Allocation in LLVM: Design and Evaluation
[IEEE] 2026-6-3 | A Retrieval-Augmented Agent for Context-Aware Waste Classification Across National Systems
[IEEE] 2026-6-3 | Resource Efficiency Software Index (RESI): Towards Software Product Comparability
[IEEE] 2026-6-3 | Synergy Model of Threats in Defi Smart Contracts
[IEEE] 2026-6-3 | LLM Enhanced Policy Gradient Approach for Cold Start and Diversity Aware News Recommendation
[IEEE] 2026-6-3 | A Review on the Security Challenges of Industrial Internet of Things
[IEEE] 2026-6-3 | LeafNet: CNN-Based Approach for Tree Species Recognition from Leaf Images
[IEEE] 2026-6-3 | Ultra-Low Power VLSI Architecture for Edge AI-based Biomedical Signal Processing
[IEEE] 2026-6-3 | Knowledge Distillation for Large Language Models: A Survey with a Case Study for Human-Robot Interaction and Edge Deployment
[IEEE] 2026-6-3 | Evaluating COMPASS for Socially-Aware Robot Navigation in Dynamic Indoor Environments
[ACM] 2026-6-4 | Proceedings of the 2026 International Conference on AI, Computer Security and Trusted Data
[ACM] 2026-6-4 | Alzhiemers Prediction using Hybrid Machine Learning Algorithms
[ACM] 2026-6-4 | Blockchain - Enabled IoT Applications in Global Retail: Adoption Trends, Market Forecasts. and Strategic Implications.
[ACM] 2026-6-4 | AI-Enabled Diagnostic Framework for Diabetes Detection Based on Patient Health Records
[ACM] 2026-6-3 | Innovative Research on the Quality Evaluation System for Industry-Academy Collaboration in Vocational Undergraduate Institutions
[ACM] 2026-6-3 | Research on an Early Warning System for Students' Academic Risks Based on Multi-source Time-series Data and LSTM Model
[ACM] 2026-6-3 | Situated Intermediation for Socio-technical Transitions: Understanding the Role and Practices of an ‘Urban Curator’ in Rotterdam
[ACM] 2026-6-3 | Unsettling and Re-learning Participation: Toward Sovereignty-Centered Collaboration for Indigenous Climate Resilience
[ACM] 2026-6-3 | Algorithmic Bias and Governance Pathways in Affective Computing for Higher Education: A Fairness-based Study
[ACM] 2026-6-3 | Prompt Engineering as Pedagogical Interface: A Computational Study of Generative AI Systems for Enhancing Creative Thinking in Teacher Education
[ACM] 2026-6-3 | SATYA: An Automated Framework for Keyboard Navigation and Focus-Indicator Detection for Accessibility Testing Using Computer Vision
[IEEE] 2026-6-3 | SusTech 2026 Keynotes and Plenary Speakers
[IEEE] 2026-6-3 | NO-IGS: Nonlinear Oversampling Based on Informed Granular-ball Space for Imbalanced Regression_supp1-3698843.pdf
[IEEE] 2026-6-3 | Stabilizing Distributed Financial Control Loops in Industry 4.0 via Deterministic Wireless Digital Twins
[IEEE] 2026-6-3 | Electromagnetic and Thermal Characterization of a 3 GHz TEM Cell for Observing Microwave-Induced Thermoelastic Expansion of Tissue
[IEEE] 2026-6-3 | A Bitmap-Guided Collision Tree Anti-collision Protocol for Large-Scale RFID Tags Identification_supp2-3696454.pdf
[IEEE] 2026-6-3 | Effect of Atomic Layer Etching on n-GaN MOS Capacitors
[IEEE] 2026-6-3 | ND-Net: Neighborhood Description Network for Large-scale Point Cloud Semantic Segmentation
[IEEE] 2026-6-3 | A typical CNN-induced network and solid-phase fraction computation in solid-liquid two-phase flow
[IEEE] 2026-6-3 | A Review of DC-DC Converters for Modular Solid-State Transformers: Challenges, Comparative Analysis, and Design
[IEEE] 2026-6-3 | SquareTrack: A Novel Approach for Tracking Pigs in Commercial Swine Farming
[IEEE] 2026-6-3 | Lite-SignVLM: An Efficiency-Oriented Framework for Sign Language Recognition with Temporal Storyboards
[ACM] 2026-6-4 | Summary of the First International Workshop on DevOps for Sustainability (DevOpsSustain 2025)
[IEEE] 2026-6-3 | Low-Power VLSI Design for Edge AI Accelerators in IoT Devices
[IEEE] 2026-6-3 | Beyond Silicon Area: Co-Product Allocation for a Binning-Aware Carbon Footprint of Processors
[IEEE] 2026-6-3 | Global Careers, Local Belonging: Digital Technologies and Place-Belongingness in Professional Sport
[IEEE] 2026-6-3 | Smart Access Hub for Urban Mobility – A Unified Quick Response (QR) Code-based Urban Service Platform
[IEEE] 2026-6-3 | An EOQ Optimal Ordering Policy with Varying Generalised Time-Dependent Demand Allowing Shortages
[IEEE] 2026-6-3 | A Sentiment Analysis of Financial News for Stock Price Prediction
[IEEE] 2026-6-3 | A Deep Parallel Learning Framework for Accurate Plant Leaf Disease Detection in Real-World Field Conditions
[IEEE] 2026-6-3 | Auditory EEG-based Biometric Identification using an SE-Enhanced CNN Model
[IEEE] 2026-6-3 | Deep Spatial-Temporal Representation Learning for Reliable Gesture-to-Speech Conversion using Capsule Networks and Attention-Enhanced Temporal Convolution
[IEEE] 2026-6-3 | Random Forest Model for Ensuring Integrity of Blockchain-Based Electronic Health Records
[IEEE] 2026-6-3 | Cooperative Secondary Control for Negative Sequence Voltage Suppression and Optimal Power Sharing in Islanded Microgrids
[IEEE] 2026-6-3 | Akura: Dyslexia Aware Sinhala Essay Grading System
[IEEE] 2026-6-3 | Development and Deployment of a Secure AI-Enabled Edge Computing Framework for Healthcare Data Analytics
[IEEE] 2026-6-3 | Context-Aware Machine and Deep Learning Framework for Intrusion Detection and Prevention in Industrial Wireless Sensor Networks
[IEEE] 2026-6-3 | WhisperNet: An On-Device TinyML Architecture for Real-Time Anomaly Detection in Industrial Machinery
[IEEE] 2026-6-3 | Sustainable Smart Retail Ecosystem Through IoT and Big Data Integration
[IEEE] 2026-6-3 | Optimizing Cruise Ship Itineraries: A Sustainable Perspective
[IEEE] 2026-6-3 | A Vision-Based Real-Time Navigation Assistance System for Visually Impaired Individuals Using Deep Learning
[ACM] 2026-6-4 | Unveiling DeepSeek-R1: An Open-Source Approach to Next-Generation Language
[ACM] 2026-6-4 | A Decentralized Approach to Legal Case Transfers in India
[ACM] 2026-6-4 | Enhancing Privacy-Preserving UPI Fraud Detection Using Federated and Centralized Gradient Boosting Models
[IEEE] 2026-6-3 | Digital Griot: An Emotion-Adaptive Generative AI Framework for Interactive Storytelling
[IEEE] 2026-6-3 | IoT based Employee Monitoring System
[IEEE] 2026-6-3 | Hybrid CNN–Transformer Framework for Behavior-Based Ransomware Detection Using System Call Traces
[IEEE] 2026-6-3 | A Conceptual Framework for an Intelligent Generative System for Spatial Design Based on Affective Computing and Design Thinking
[IEEE] 2026-6-3 | MDCR-Net: Multi-Scale Dilation Channel Refiner Network for Chinese Cuisine
[IEEE] 2026-6-3 | Dew Computing-based Healthcare Framework for Latency-Sensitive Medical Applications
[IEEE] 2026-6-3 | A Microbial Fuel Cell Biosensor With Deep Learning-Enabled High Selectivity
[IEEE] 2026-6-3 | Enhancing Brinjal Leaf Disease Detection: A Comparative Analysis of Convolutional Neural Network Architectures
[IEEE] 2026-6-3 | Web-Based Comparative Analysis Framework for Metaheuristic Optimization Algorithms: A Unified Educational Approach
[IEEE] 2026-6-3 | Feynman Explanation Prompting: A Pedagogically Grounded Framework for Large Language Models
[IEEE] 2026-6-3 | Transforming Power Infrastructure Monitoring with Medical Imaging-Inspired AI
[IEEE] 2026-6-3 | Multi-Modal Coordinated Sensing for Spatially-Aware Marine Monitoring
[IEEE] 2026-6-3 | Power Optimization for Sustainable Smart Speakers: Echo Pop Case Study
[ACM] 2026-6-4 | Infrared Image Recognition of Substation Equipment Based on an Improved YOLOv5 Algorithm
[ACM] 2026-6-3 | Generated Inaccessible: Measuring WCAG Violations in AI UI Design Tools
[ACM] 2026-6-3 | Shifting Accessibility Left: Embedding Inclusive Design into Frontend Developer Workflows
[ACM] 2026-6-3 | Predicting Public Support for an Industry-Education Integrated Cultivation Model of Intelligent Connected Vehicle Engineers
[ACM] 2026-6-3 | Generative Artificial Intelligence Empowering Poetry Teaching Research
[ACM] 2026-6-3 | Staging Futures-in-use
[ACM] 2026-6-3 | Atmospheric Belonging
[ACM] 2026-6-3 | Holding Space for Coexistence: Trauma-Informed and Futures-Oriented Participatory Design in Post-Conflict Northern Ireland
[ACM] 2026-6-3 | Design for Community Building in Villages
[IEEE] 2026-6-3 | Enhanced Hamiltonian Control Law with Speed Tracking Control and Lyapunov Observer for DC Bus Stabilization in LC Filter-Equipped PMSM Drives
[IEEE] 2026-6-3 | A Lightweight Multimodal Data-Driven Method for Automatic Modulation Recognition
[IEEE] 2026-6-3 | Whole-Body Coordination and Spinopelvic Alignment during Yoga Standing Maneuvers: Comparing Practitioners with Non-Practitioners_supp3-3697342.docx
[IEEE] 2026-6-3 | A Hybrid ACO-DQN Approach for Wireless Power Transfer-Based Task Offloading in Mobile Edge Computing
[IEEE] 2026-6-3 | Automated and Near-Flawless Micropipette PIH Assembly to MEMS Nanoforce Sensor With A Robotic Microscopy System_supp8-3672876.mp4
[IEEE] 2026-6-3 | Channel Attention Enhanced CNN for Large-Range SpO
                    <sub>2</sub>
                    Measurement with a Smartphone
[IEEE] 2026-6-3 | ComSoc Education
[IEEE] 2026-6-3 | A Lightweight and Efficient Backtracking SINS in-motion Alignment Algorithm Aided by GNSS
[IEEE] 2026-6-3 | A Ka-Band Time-Modulated Phase-Invariant Variable-Gain Amplifier With 30-dB Gain Tuning Based on Duty-Cycle Control
[IEEE] 2026-6-3 | BrainMergeEEG: An Open EEG Microstate Dataset for Studying Developers’ Brain Network Dynamics
[IEEE] 2026-6-3 | 2026 IEEE Conference on Technologies for Sustainability (SusTech)
[IEEE] 2026-6-3 | SRViT: A Robust Online Encrypted Traffic Classification Based On Vision Transformer
[IEEE] 2026-6-3 | Cross-Force Generalization in Myoelectric Gesture Recognition: A Comparative Study of Data Augmentation and Generalized Models
[IEEE] 2026-6-3 | TVFI-GST: From Regime-Level Importance to Fusion-Aware Traffic Forecasting
[IEEE] 2026-6-3 | Environmental Adaptation Enabled by an Amplitude-Tunable Traveling Wave Robot with a Soft Corkscrew (ATWBot)_supp2-3697245.mp4
[ACM] 2026-6-3 | HeapKV: Enabling Efficient Garbage Collection for KV-Separated LSM Stores on Modern SSDs
[ACM] 2026-6-4 | ACM Risks Forum Quarterly Summary
[ACM] 2026-6-4 | Optimizing Crop Yield Predictions through Machine Learning Models
[ACM] 2026-6-4 | Machine Learning Systems Based Forecasting and Risk Estimation of Diabetes as Chronic Diseas
[ACM] 2026-6-4 | The Atmospheric Link Between Carbon Emissions and Criteria Air Pollutants
[IEEE] 2026-6-3 | Electroporation Parameters Based Survival Rate Prediction for Bile Duct Cancer: A Comparative Artificial Intelligence Study
[IEEE] 2026-6-3 | Zero-trust Conceptual Architecture for Secure Integration of Large Language Models and Autonomous AI Agents
[ACM] 2026-6-4 | Proceedings of the 7th International Conference on Information Management &amp; Machine Intelligence
[IEEE] 2026-6-3 | Liver Semantic Segmentation: Enhancing Medical Image Accuracy
[IEEE] 2026-6-3 | GNN-VoidGuard: Void-Aware Topology Control in Underwater Acoustic Sensor Networks
[IEEE] 2026-6-3 | Comparative Analysis of XGBoost and Multi Layer Perceptron Neural Network Using TensorFlow Keras for Stress Level Prediction
[IEEE] 2026-6-3 | RecycleSense: Machine Learning Visual Recognition for Waste Sorting and Recycling Optimization
[IEEE] 2026-6-3 | Transformer-based Multimodal Learning for Neurological Disease Diagnosis using EEG and MRI Fusion
[IEEE] 2026-6-3 | A Novel Hybrid Geospatial-Temporal Deep Neural Network for Real-Time Environmental Air Quality Prediction using Multi-Source Sensor Fusion
[IEEE] 2026-6-3 | Application of Quantum Computing Gates for Enhanced Task Scheduling in Cloud Environments
[IEEE] 2026-6-3 | Reverse-Engineering Commercial Microwave Link Data for Extracting Environmental Information
[IEEE] 2026-6-3 | Multimodal Transformer Model for Depression Prediction from Psychosocial and Lifestyle Indicators
[IEEE] 2026-6-3 | Seasonal Tourism Demand Forecasting using Box-Jenkins ARIMA Time-Series Modeling
[IEEE] 2026-6-3 | Hybrid CNN–LSTM-based Vibroarthrography Signal Analysis for Automated Osteoarthritis Detection and Stage Classification
[IEEE] 2026-6-3 | HiFi-Attention Generative Adversarial Network-Based Speech Enhancement
[IEEE] 2026-6-3 | Eco-Friendly Carbon Dots Synthesized From Ipomoea Aquatica and Typha Angustifolia for Bioimaging and Sensing Applications
[IEEE] 2026-6-3 | Low-Latency FPGA Design of Multi-Channel Pipelined FFT Architecture
[IEEE] 2026-6-3 | Edge–IoT Fabric for Zero-Downtime Predictive Fault Analytics in Sustainable and Resilient Manufacturing Systems
[IEEE] 2026-6-3 | Comparison of Backpropagation Neural Networks and Gradient Boosting Algorithm in Accuracy Using Heart Disease Classification
[IEEE] 2026-6-3 | CognitiveShield-IoT: A Self-Evolving AI-Agent Driven Security Architecture for Adaptive and Resilient IoT Ecosystems
[IEEE] 2026-6-3 | Wildlife Detection and Classification using Spiking Neural Networks (SNN)
[IEEE] 2026-6-3 | A Circular Canvas for Manufacturing MSMEs to Support the Transition Toward the Circular Economy
[IEEE] 2026-6-3 | Deep Learning-Based ECG Retrieval for Scalable Clinical Decision Support
[IEEE] 2026-6-3 | Credit Card Fraud Detection Using Lightgbm and Smote: A Machine Learning Approach
[IEEE] 2026-6-3 | IoT based Smart Water Distribution System for Equitable Supply in Rural Areas
[IEEE] 2026-6-3 | A Real-Time Explainable Cybersecurity Framework for Detecting Known and Unknown Attacks in Wireless Sensor Network
[IEEE] 2026-6-3 | A Real-Time Product Usage and Smart Reporting Platform Based on XGBoost and Transformer Models
[IEEE] 2026-6-3 | A Refined Ensemble–Neural Network Architecture for Robust QRS Detection in Noisy ECG Signals: A Hybrid Signal Processing and Deep Learning Approach
[IEEE] 2026-6-3 | SenseAI: A Hybrid, Age-Stratified Cognitive Flexibility and Auditory Response Screening System for Early Autism Risk Detection
[IEEE] 2026-6-3 | Enhanced Power Conversion using a Reduced Switch Multilevel Inverter for Renewable Energy Integration
[IEEE] 2026-6-3 | Fusion-Based Deep Learning Framework for Brain Tumor Classification
[IEEE] 2026-6-3 | A Power-Optimized 9T SRAM Design Using CNTFET 32nm Scale Technology
[IEEE] 2026-6-3 | An Advanced Data-Driven Framework for Reliable Wind Energy Prediction
[IEEE] 2026-6-3 | Multimodal Emotion Recognition using Facial Expression and Hand Gesture Analysis for Safety Applications
[IEEE] 2026-6-3 | Towards Intelligent Network Security: An AI-Based Intrusion Detection System
[ACM] 2026-6-3 | Research on Design Practice of Scene Activation of Ancient Poetry Based on Generative Artificial Intelligence Technology
[ACM] 2026-6-3 | Construction of Learning Anomaly Detection and Intervention Model Based on Isolation Forest-LSTM in Massive Online Education
[ACM] 2026-6-3 | DeInFed: A Decentralized Incentive Framework for Blockchain-based Federated Learning
[IEEE] 2026-6-3 | Next-Generation MIMO Transceivers for Integrated Sensing and Communications: Unique Security Vulnerabilities and Solutions
[IEEE] 2026-6-3 | Electrokinetic and Antibiofilm Effects of Silver Nanoparticles Combined with Imipenem Against multidrug-resistant of Klebsiella pneumoniae
[IEEE] 2026-6-3 | High-Frequency Harmonic Suppression of Low-Inductance PMSM Based on Adaptive Bus Voltage Modulation Using Extremum Seeking and Predictive Control
[IEEE] 2026-6-3 | Low Scan Loss Metalens Antenna by On- and Off-Axis Phase Distribution Correction
[IEEE] 2026-6-3 | PVCA: Privacy-Preserving and Verifiable Cross-System Authorization for Platoon Communications in VANETs_supp1-3697662.pdf
[IEEE] 2026-6-3 | Machine Learning Unveils System-Level Signatures of Integrated Motor&amp;#x2013;Non-Motor Dysfunction in Parkinson&amp;#x2019;s Disease during Telerehabilitation_supp5-3697696.xlsx
[ACM] 2026-6-3 | Creating a Library Environment for Teenagers in Denmark: Exploration in Participatory Design Methods
[ACM] 2026-6-3 | Exploring Authenticity in Participatory Design (APD)
[IEEE] 2026-6-3 | Front Cover Page
[IEEE] 2026-6-3 | Active Momentum Control for Spinal In-Pipe Robots in Microgravity: On-Orbit Validation
[IEEE] 2026-6-3 | Improved Remote Error Estimation Method for Smart Meters with Advances in Loss Calculation, Measurement Synchronization, and Solution Stability
[IEEE] 2026-6-3 | A Single-pass Multistatic SAR Satellites Formation Design Method for TomoSAR Data Acquisition
[IEEE] 2026-6-3 | Design and Fabrication of a Compact Waterjet Thruster for Deep-Sea Applications
[IEEE] 2026-6-3 | Multimodal Patient-Specific Identification of Atrial Flutter Circuits From ECG Time Series Using Explainable Machine Learning_supp2-3694616.mp4
[IEEE] 2026-6-3 | Cover 4
[IEEE] 2026-6-3 | AG-STDF: Anatomy-Guided ECG Spatiotemporal Dynamical Fusion for Screening Coronary Microvascular Dysfunction_supp1-3698945.docx
[IEEE] 2026-6-3 | Phoneme-Based Accent-Adaptive Speech Recognition for Accurate and Mispronunciation Feedback
[IEEE] 2026-6-3 | Dual-Channel LLM-Guided Semantic Feature Extraction with Zero-Shot Classification for Zero-Day Malware Detection
[IEEE] 2026-6-3 | Design of an Asymmetric Converter for 6/4 Switched Reluctance Motor
[IEEE] 2026-6-3 | Automated Brain Tumor Segmentation in Multi-Parametric MRI using nnU-Net
[IEEE] 2026-6-3 | When to Fly: A Passenger Decision-Support System Based on Climate-Sensitive Flight Disruption Likelihood
[IEEE] 2026-6-3 | Low-Altitude UAV Tracking via Sensing-Assisted Predictive Beamforming
[IEEE] 2026-6-3 | IEEE Standard for the Qualification of Switchgear Assemblies for Class 1E Applications in Nuclear Power Generating Stations
[IEEE] 2026-6-3 | Performance Evaluation of Machine Learning, Deep Learning and Ensemble Approaches in Diabetes Prediction
[IEEE] 2026-6-3 | Speech-to-Sign Language Translator
[IEEE] 2026-6-3 | A Predictive Analytics Framework for Healthcare Resource Optimization using Hospital Operational Data
[IEEE] 2026-6-3 | Visualization Beyond Summarization: An AI-Infused Context-Aware Method to Make Sustainability Content Digestible
[IEEE] 2026-6-3 | A Learning-Based Fault Detection Approach for Unmanned Aerial Systems Using Inertial Sensor Data
[IEEE] 2026-6-3 | Design of an Ultra-Wide Stopband CSRR Microstrip Bandpass Filter for L-Band Applications
[IEEE] 2026-6-3 | YOLOv11-FD: A Hybrid Approach Integrating Mamba and Frequency Analysis for Wind Turbine Blade Damage Detection
[IEEE] 2026-6-3 | Framework for Privacy-Preserving Synthetic Medical Image and Report Generation
[IEEE] 2026-6-3 | A Hybrid Residual-CNN-BiLSTM-Attention Model for Lake Water Level Forecasting
[IEEE] 2026-6-3 | Temperature Monitoring and Adaptive DVFS for System-on-Chip Architecture
[IEEE] 2026-6-3 | IoT-Enabled Soil Condition Analysis for Efficient Farm Management
