[2026-08-11 10:01:27] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-10
正在获取论文...
[arXiv] 2026-08-10 | A pre-triangulated category which is not triangulated
[arXiv] 2026-08-10 | Bidirectional Context Self-Distillation for Reinforcement Learning of Skill-Based LLM Agents
[arXiv] 2026-08-10 | Direct Laser Interference Patterning of Functional Metal Surfaces: From Written Geometry to Functional Interfaces
[arXiv] 2026-08-10 | MusicLayout: Explicit Structural Planning for Controllable Text-to-Music Generation
[arXiv] 2026-08-10 | Physically Constrained Agentic AI for Energy Scheduling
[arXiv] 2026-08-10 | Context Is Not Authority: Structured Runtime Governance for Financial Market Agents
[arXiv] 2026-08-10 | Prediction of BaBiO$_3$-like superconducting perovskites in K-doped SrAsO$_3$
[arXiv] 2026-08-10 | The Magic Scroll: Leveraging biased noise to improve magic state cultivation in register-based architectures
[arXiv] 2026-08-10 | Superselected ghost theory: perturbation theory
[arXiv] 2026-08-10 | Personalized Lower-limb Exoskeleton Assistance via Preference-based Bayesian Optimization
[arXiv] 2026-08-10 | SignLlama: Enhancing Gloss-free Sign Language Translation by Prioritizing Visual Features for LLMs
[arXiv] 2026-08-10 | A Tight Lower Bound for Smooth Nonconvex Stochastic Optimization with Bounded Gradient Noise
[arXiv] 2026-08-10 | Mind the Hook: Source-Level Auditing of Privacy Defenses in Retrieval-Augmented Generation
[arXiv] 2026-08-10 | DeepFreqMark: End-To-End Learnable Frequency-Domain Watermarking with Spherical Attack Simulation for Latent Diffusion Models
[arXiv] 2026-08-10 | LU Factorization of Discrete Random Matrices
[arXiv] 2026-08-10 | A proof of the cyclotomic conjecture and the non-existence of almost Moore digraphs
[arXiv] 2026-08-10 | Optimization of the Repumping Parameters for a Sodium Laser Guide Star Magnetometer
[arXiv] 2026-08-10 | GALA: Graph-Augmented LLM Agents for Root Cause Analysis and Incident Response in Microservices
[arXiv] 2026-08-10 | DocPure: Prompt-Free Unified Document Restoration via Degradation-Aware Structure-Guided Wavelet Modulation
[arXiv] 2026-08-10 | Spin Polarization of a Two-Dimensional Electron Liquid
[arXiv] 2026-08-10 | RangeFactory: Scalable Construction of Multi-Hop Cyber Ranges
[arXiv] 2026-08-10 | Dynamical Barbero--Immirzi field coupled to quintessence: gravitational-wave propagation constraints and next-generation forecasts
[arXiv] 2026-08-10 | ActBench: Self-Evolving Benchmark of Behavioral Safety in Cowork Agents
[arXiv] 2026-08-10 | Algorithmics for Safe Bicycle Network Design with Bounded Detours in Rural Areas
[arXiv] 2026-08-10 | RecoverFly: A Failure-Aware Reinforcement Learning Post-Training Framework for Aerial Vision-Language Navigation
[arXiv] 2026-08-10 | Automated Signal Integrity Analysis Framework for High-Speed Interconnects in the PPCB-1347-MuPix11 Probe Card
[arXiv] 2026-08-10 | WDL-OPD: Weak-Driven On-Policy Distillation via Mixture-Constrained Co-Training
[arXiv] 2026-08-10 | Depth-adaptive Inference of Looped Language Models via Continuous Depth Batching
[arXiv] 2026-08-10 | Coupled Graph--Policy Distillation for Personalized Medication Safety in Older Adults with Multimorbidity
[arXiv] 2026-08-10 | From Rating Factors to Crash Mechanisms: A Multiscale Causal DAG Framework Linking Motor Insurance and Road Safety
[arXiv] 2026-08-10 | MetaStrategy: Generative Ranking with Executable LLM Strategies
[arXiv] 2026-08-10 | On the circle-equivariant cellular Tate filtration
[arXiv] 2026-08-10 | LITEWAY: LIghtweight HAR via Temporal Efficient highWAY
[arXiv] 2026-08-10 | poly_rust: a domain-specific language for polytopal methods with a Rust interpreter
[arXiv] 2026-08-10 | Skills in Weights, Memory in Code: Hybrid Learning for Memory-Dependent Robot Manipulation
[arXiv] 2026-08-10 | DREAM Technical Report
[arXiv] 2026-08-10 | Beyond the Plane: Coupling Planar Vehicle Dynamics with Three-Dimensional Road Geometry
[arXiv] 2026-08-10 | Boundedness of Erdélyi--Kober Integrals and Mellin Fractional Integrals on Weighted Lebesgue Spaces
[arXiv] 2026-08-10 | Sign Language Recognition Using Original and Synthetic Depth Image Based Point Cloud Data Models
[arXiv] 2026-08-10 | A sharp extension of Halin's removable-edge theorem to matchings
[arXiv] 2026-08-10 | Temporal Misgrounding in Legal RAG: A Versioned-Corpus Benchmark for French Tax Law
[arXiv] 2026-08-10 | CoInS-Net: A Continuous Position-Aware Network for Joint Medical Image Interpolation and Segmentation
[arXiv] 2026-08-10 | Long-lived opposite-parity states and the onset of octupole collectivity in atomic nuclei
[arXiv] 2026-08-10 | Impact of Terminal Noise on Polarization Rotation Vector for Sensing Applications
[arXiv] 2026-08-10 | JEPA-WAM: Learning Vision-Language-Action Policies with Joint-Embedding World Modeling
[arXiv] 2026-08-10 | Effective one-body interactions due to the presence of a liquid-vapor interface
[arXiv] 2026-08-10 | A nonlocal nonlinear Schr{ö}dinger model:well-posedness, local limit, and structure-preservingasymptotically compatible Fourier approximations
[arXiv] 2026-08-10 | On minimal noncommutative rings
[arXiv] 2026-08-10 | Deep Learning based Detection of Fishing Vessels and Fishing Monitoring using Nightlight Images
[arXiv] 2026-08-10 | ControlRadio: Prompt-Driven Controllable Diffusion for Cross-Modal Radio Map Generation
[arXiv] 2026-08-10 | Revisiting the Current Frame: Physical-Trace-Guided Network Output Correction for Video Restoration
[arXiv] 2026-08-10 | Rapid Orbital Decay in the Ultracompact Double-degenerate Binary eRASSU J060839.5$-$704014
[arXiv] 2026-08-10 | Hallucinations and Constraints : Regulating surgical workflow recognition beyond accuracy
[arXiv] 2026-08-10 | High-order fully discrete multi-entropy-stable and bound-preserving schemes for relativistic Euler equations
[arXiv] 2026-08-10 | Warp-free Cross-view Geo-localization via Feature-space Consensus Mining
[arXiv] 2026-08-10 | Linearized 2-Simplicial Attention
[arXiv] 2026-08-10 | Dilatations of categories, via their lean formalization
[arXiv] 2026-08-10 | UnionSparse: An Index-Efficient Sparsity Framework for Low-Bit Sparse LLM Inference on Edge
[arXiv] 2026-08-10 | GLocFM: A Geometry-Aware Foundation Model for 3D Indoor Wireless Localization
[arXiv] 2026-08-10 | ComboShoppingBench: Evaluating LLM Agents for Budget-Constrained Basket Shopping with Coupons
[arXiv] 2026-08-10 | Task-Adaptive 3D Cross-Field MRI Translation via Field-Conditioned Content-Style Pretraining
[arXiv] 2026-08-10 | Quantum uncertainty in a macroscopic domain
[arXiv] 2026-08-10 | FEAST: Federated Shared-Space Training for Resource-Heterogeneous Clients
[arXiv] 2026-08-10 | Label Granularity Skew in Federated Learning with Hierarchical Image Classification
[arXiv] 2026-08-10 | DreOPD: Degraded-Reference Extrapolative On-Policy Distillation for Flow-matching Models
[arXiv] 2026-08-10 | BAG: Budget-Aware Gating for Diffusion Caching
[arXiv] 2026-08-10 | The Diffusive Exchange Driven Growth Model with unbounded kernels
[arXiv] 2026-08-10 | Governing the KV Cache: Preventing Timing Side-Channel Leakage in Multi-Tenant LLM Inference
[arXiv] 2026-08-10 | All-Electron Single-Atom Reference Correction for Absolute Transition Energies in Fixed-Reference PAW-XCH Calculations
[arXiv] 2026-08-10 | SparsePilot: Belief-Guided Network Planning under Sparse Wireless Measurements
[arXiv] 2026-08-10 | A Proof of the Imbalance Conjecture
[arXiv] 2026-08-10 | RAGMesh with FaME-G2E: Long-Form Text-Driven 3D Face Generation and Editing
[arXiv] 2026-08-10 | Degrees of Maps and Cohomological Rigidity of Partial Flag Manifolds
[arXiv] 2026-08-10 | Modeling and Performance Analysis for Fluid Antenna System Enabled UAV Near-Field Communications
[arXiv] 2026-08-10 | Beyond Fast Contractions: Attenuation and Recovery of Matrix-Engine Speedups in High-Order Finite Elements
[arXiv] 2026-08-10 | Intuitive Hand Positional Guidance Using McKibben-Based Surface Tactile Sensations to Shoulder and Elbow
[arXiv] 2026-08-10 | TRACE: TRajectory Attribution for Automated Context Engineering
[arXiv] 2026-08-10 | Global Dynamics of a Pharmacokinetic Compartment Model for Human Ethanol Metabolism and Its Generalization
[arXiv] 2026-08-10 | Multi-Submap Implicit Neural SLAM with Local-to-Global Loop Closure for Large-Scale Scene Reconstruction
[arXiv] 2026-08-10 | Right Answer, Wrong Heat: Explanation-Aware Evaluation and Thermal-Grounded Feedback for MLLMs on Infrared Images
[arXiv] 2026-08-10 | How Roadside Units Enhance Intersection Safety? Cooperative Autonomous Driving System Design and A Proof of Concept
[arXiv] 2026-08-10 | A simple second-order nonstandard numerical method for a general class of dynamical systems and its applications
[arXiv] 2026-08-10 | CodecArena: Codec Quality Assessment via Visual Reinforcement Learning
[arXiv] 2026-08-10 | Permutation Ploynomials over $\mathbb{Z}_{n}$ and T-quaternion Rings
[arXiv] 2026-08-10 | Foreground Subtraction with a Tensor-Based Oriented Singular Value Decomposition Method for HI Experiments
[arXiv] 2026-08-10 | CatPAL: Task-Aware Learning for Categorical Palette Recommendation
[arXiv] 2026-08-10 | Multitask Scanning Probe Microscopy
[arXiv] 2026-08-10 | Bayesian ACCESS for Understanding Latent Epidemic Trajectories from Publicly Released Suppressed Data: Application to U.S. Opioid-related Overdose Mortality
[arXiv] 2026-08-10 | Efficient Multigrid Methods for Semi-implicit Landau-Lifshitz Schemes in Micromagnetic Simulations
[arXiv] 2026-08-10 | Contrastive Mask Fidelity: Reference-Free Auditing of Ground-Truth Masks in Remote Sensing Semantic Segmentation
[arXiv] 2026-08-10 | TLDChoiceNet: Quantitatively Choosing a Transfer Learning Dataset
[arXiv] 2026-08-10 | Extreme Value Alpha and Crash Risk: Separating Structural Tails from Lottery Tails with LLM-Extracted Disclosure Networks
[arXiv] 2026-08-10 | Scalene Yang--Baxter triples as a source of hidden symmetries beyond the ordinary Yang--Baxter equation
[arXiv] 2026-08-10 | A Unified Issue Resolution Benchmark for Requirement Clarification, Planning, and Code Generation for Coding Agents
[arXiv] 2026-08-10 | Telemetry and Concealment in Self-Adapting Generative AI: Logging Architecture, Adversarial Model Hiding, and the Limits of Detection
[arXiv] 2026-08-10 | Unveiling Metal Mixing in a Grand-Design Spiral: A UV-optical multiphase spatially resolved study of M83
[arXiv] 2026-08-10 | When Can Text Embeddings Replace Item Calibration? A Geometric Diagnostic for Semantic Loadings in Multidimensional Adaptive Testing
[arXiv] 2026-08-10 | Electronic conductivity in anharmonic crystals: Phonon dephasing in the electron-phonon interaction
[arXiv] 2026-08-10 | Universally optimal (wiretap) codes
[arXiv] 2026-08-10 | Learning How the World Evolves: Extrapolative Video World Models via Latent Dynamics Reasoning
[arXiv] 2026-08-10 | Unrolling a Graph-Laplacian Denoiser Realizes Only Compositions of Polynomial Graph Filters
[arXiv] 2026-08-10 | Overcoming Data Scarcity and Confidentiality in Hardware Assurance via Synthetic Generation
[arXiv] 2026-08-10 | From Nonlinear Stochastic Differential Equations to Quantum Channels: The Kolmogorov--Lindblad Mapping
[arXiv] 2026-08-10 | DSLE: A Learning Environment for Dark Souls Boss Encounters
[arXiv] 2026-08-10 | Fusion Training for Mathematical Generalization in Large Language Models
[arXiv] 2026-08-10 | BDH-CQ: In-Context Learning with Recurrent Latent Reasoning
[arXiv] 2026-08-10 | SHE: Trajectory-driven Safety Harness Evolution for LLM Agents
[arXiv] 2026-08-10 | Effective Results about Foliations on Smooth Projective Complete Intersection Surfaces
[arXiv] 2026-08-10 | Fourier restriction to hyperbolic rectangles and an application
[arXiv] 2026-08-10 | Agentic Harnesses: LLM-Driven Verification Layers for Robot Autonomy
[arXiv] 2026-08-10 | Generative AI for Encrypted Traffic Analysis: Synthetic Dataset Generation and Classifier Evaluation
[arXiv] 2026-08-10 | CEAA: A Cognitive Embodied Agents Architecture for Interactive Computing Systems
[arXiv] 2026-08-10 | Clustering Informed Inverse Probability Weighting Strategies for Causal Effect Estimation in Observational Studies
[arXiv] 2026-08-10 | Bias-robust causal inference for panel data
[arXiv] 2026-08-10 | Schwarzian Residue of the Samuelson Obstruction in Tangent Lagrangian 2-Webs
[arXiv] 2026-08-10 | Quantum Information Flow under String-Diagram Rewriting
[arXiv] 2026-08-10 | Performance and Cost-Aware Cache Provisioning
[arXiv] 2026-08-10 | Optimal Experimental Design and Estimation when Potential Outcomes are Bounded
[arXiv] 2026-08-10 | Probing ultralight bosons with LISA observations of spinning black hole mergers and follow-up searches of merger remnants
[arXiv] 2026-08-10 | An analogue of Hirose's relation for finite multiple harmonic $q$-series at roots of unity
[arXiv] 2026-08-10 | SWE-Bench ProMax: Benchmarking Agents on Large-Scale Multilingual Code Refactoring
[arXiv] 2026-08-10 | Modern Backbones Improve Multi-task DETR for Mammography Classification and Lesion Localization
[arXiv] 2026-08-10 | ADOPD: Reference-Privileged On-Policy Distillation for MLLM-Based Industrial Anomaly Detection
[arXiv] 2026-08-10 | Preferential Attachment as a Simpliciality-Enforcing Mechanism in Hypergraphs
[arXiv] 2026-08-10 | Algorithmic Asymmetry in Zero-Sum Games: Unilateral Recovery of Fast Convergence Against a Slow Opponent
[arXiv] 2026-08-10 | Foliated Minimal Models and Flops
[arXiv] 2026-08-10 | Muscle Memory for Agents: Compile not Merely Retrieve
[arXiv] 2026-08-10 | Curvature estimate for the heteroclinical solution to a Bose-Einstein condensation system
[arXiv] 2026-08-10 | Row pathwidth of complete binary trees
[arXiv] 2026-08-10 | White paper: A perspective on civilian-to-defence research transfer to SDD
[arXiv] 2026-08-10 | A Collective Propagation Law of Optical Vortex Constellations and Longitudinal Sensing
[arXiv] 2026-08-10 | The quadratic growth of Krylov spread complexity in the BTZ black hole
[arXiv] 2026-08-10 | On stochastic stability of systems driven by red noise
[arXiv] 2026-08-10 | Buried germanium quantum well proximitised by magnetic field-resilient superconducting platinum iridium germanosilicide
[IEEE] 2026-8-10 | EITCE 2026 Content Announcement Page
[IEEE] 2026-8-10 | MISA: Multi-Frame Infrared Spatiotemporal Aggregation for Small Target Detection under Imperfect Inter-Frame Correspondence
[IEEE] 2026-8-10 | Different Adaptive Bandwidth Extended State Observers for Stability Control of Hybrid Aquatic-Aerial Robot
[IEEE] 2026-8-10 | Energy-Carbon Synergistic Configuration of Hydrogen-Ammonia Storage in Renewable Energy Bases: A Variable Time-Scale Decoupling Approach
[ACM] 2026-8-10 | Application-Driven System Technology Co-Optimization for 2.5D Edge AI Platforms
[ACM] 2026-8-10 | FM-CAC: Carbon-Aware Control for Battery-Buffered Edge AI via Time-Series Foundation Models
[IEEE] 2026-8-10 | Consensus-Driven Distillation for Trustworthy Explanations in Self-Interpretable GNNs
[IEEE] 2026-8-10 | Fine-Grained Semantic-Guided Image Super-Resolution
[IEEE] 2026-8-10 | A Multimodal Driver Fitness Assessment System using Vision-Based Ocular Monitoring, Thermal Imaging, and Speech Analysis
[IEEE] 2026-8-10 | An STM32-Based Portable Platform for Black-Box Circuit Frequency-Response Identification and Waveform Reconstruction
[IEEE] 2026-8-10 | A Chopper-Stabilized Twin Double-Sampling Sigma-Delta Modulator
[IEEE] 2026-8-10 | Vibration optimization of permanent magnet DC brushless motor for automotive actuators based on extreme radius coefficient
[IEEE] 2026-8-10 | Research and Deployment of 5G/5G-A Private Network for Industry
[IEEE] 2026-8-10 | 190VPP High-Voltage Capacitive Piezoelectric Ceramic Drive Circuit Design
[IEEE] 2026-8-10 | CHARACTER: Clothed Human Animatable Reconstructions viA Cross-view TExture TransfeR
[IEEE] 2026-8-10 | Optimization and Application of 5G-A Typical Scenarios Based on AI/ML
[IEEE] 2026-8-10 | Dynamic Gated Cross-Scale Feature Enhancement for Small Dataset Image Classification
[IEEE] 2026-8-10 | A Review of Advanced Decoupling Structures for High-Isolation 5G MIMO Antennas
[IEEE] 2026-8-10 | Unleashing the Power of Social Media: A Comprehensive Review of Event Detection Methods
[IEEE] 2026-8-10 | GINS: Graph-Based Informative Negative Sampling for Imbalanced Telecom Fraud Detection
[IEEE] 2026-8-10 | Sentient XR: Zero-Install Browser-Based Urban Digital Twins with Live Environmental Sensing
[IEEE] 2026-8-10 | Motor Health State Prediction Based on Temperature Signals Driven by Digital Twins
[IEEE] 2026-8-10 | A Perception-Aware Seeding and Deep Memetic Discrete Particle Swarm Algorithm for Cloud Task Scheduling
[IEEE] 2026-8-10 | Four-Class Chinese Phishing Text Detection Using BERT: Source Identification and Risk Assessment in Unified Classification
[IEEE] 2026-8-10 | Robust SINS/DVL Integrated Navigation Algorithm Assisted by Single-Scale CNN and State-Prior Transformer in Complex Underwater Environments
[IEEE] 2026-8-10 | A PINN-ConvLSTM Method for Two-Dimensional Transient Magnetic Diffusion Prediction in Rail–Armature Systems
[IEEE] 2026-8-10 | Efficient Knowledge Base Construction and Intelligent Retrieval Based on an Improved Retrieval Algorithm
[IEEE] 2026-8-10 | Quantitative Prediction of Postoperative Disease-Free Survival for Liver Cancer Based on Machine Learning Algorithms
[IEEE] 2026-8-10 | iSeeWeeds: Smart Solar-Powered Sonar and Bioacoustic Fish Repellent for Protecting Eucheumatoid Seaweed Cultivation using Random Forest
[IEEE] 2026-8-10 | Research on Optimization Method of Intelligent Decision Support System Based on Machine Learning
[IEEE] 2026-8-10 | MRIS-Assisted Wireless Powered Communication System: Physical Layer Security and Reliability Performance Analysis
[IEEE] 2026-8-10 | Efficient Modeling of RF Transmitters Integrating Physics-Based Feature Engineering and Deep Learning
[ACM] 2026-8-11 | DWasm: Portable Debugging for the Web
[ACM] 2026-8-10 | BB-CIM: A Back-Bias Tuned Analog Compute In-Memory in 22nm FD-SOI for Improved Power-efficiency
[ACM] 2026-8-10 | Nest: Adaptive Tree-Graph Vector Database for Energy-Constrained Edge Devices
[ACM] 2026-8-10 | Exploiting Data Truncation for Lifetime Extension in ORB Accelerators
[IEEE] 2026-8-10 | Vertical GaN Trench MOSFET at Cryogenic Temperatures: Interface Engineering and Physics-Based Modeling
[IEEE] 2026-8-10 | Simulation and Characterization of Cooled Silicon Bolometers for the B-BOP SPICA Polarimetric Camera Instrument
[IEEE] 2026-8-10 | Table of Contents
[IEEE] 2026-8-10 | HGKAN: Hypergraph Kolmogorov-Arnold Networks for Interpretable Prediction of Herb–Symptom Associations
[IEEE] 2026-8-10 | High Frame Rate iToF-Flow-Based Depth Imaging Enabled by Local Linear Transfer
[IEEE] 2026-8-10 | CPAD: Cross-Modal Physics-Aware Disentanglement for Robust Acoustic Sensing in Gesture Recognition
[IEEE] 2026-8-10 | Drone Sound Source Localization Using Distributed Microphone Arrays
[IEEE] 2026-8-10 | Simultaneous State and ZMP Tracking Model Predictive Control for Balanced Quadrupedal Gaits
[IEEE] 2026-8-10 | Geo-Distributed Workload Scheduling of Cloud Data Centers through Consensus-Based Asynchronous Decentralized Algorithm_supp1-3721771.pdf
[ACM] 2026-8-10 | Open Challenges for Secure and Scalable Wi-Fi Connectivity in Rural Areas
[IEEE] 2026-8-10 | GCR-RL: Gradient Control Reward Shaping for Reinforcement Learning
[IEEE] 2026-8-10 | Physics-Guided FE Surrogate CDNN with Grouped Attention and Monotonicity Constraints for Solder Joint Thermal Fatigue Life Prediction
[IEEE] 2026-8-10 | On Asynchronous Bipartite Consensus Over Quasi-Structurally Balanced Signed Networks
[IEEE] 2026-8-10 | Copyright Page
[IEEE] 2026-8-10 | Understanding the Behavioral Intention of Generative AI among Art and Design Students: An Integrated Framework of Self-Determination Theory and Technology Acceptance Model
[IEEE] 2026-8-10 | A Model Predictive PI Control Strategy for CC/CV Charging in a LCC-LCC Compensated EV Static Wireless Power Transfer System
[IEEE] 2026-8-10 | DACT: A Dual-Attention Encoder with Calendar Tokens for Microgrid Load and Import Forecasting
[IEEE] 2026-8-10 | Real-Time Water-Surface Floating Object Detection on RV1126
[IEEE] 2026-8-10 | PGFDepth: Prompt-guided Gated Fusion for Robust Depth Estimation
[IEEE] 2026-8-10 | Designing an Optimized Metaverse for Immersive Johor Cultural Heritage Tourism
[IEEE] 2026-8-10 | A Coverage Path Planning Algorithm Intergrated with Reinforcement Learning
[IEEE] 2026-8-10 | Research and design of multimodal data-driven AI Intelligent diagnosis system for tongue diagnosis of traditional Chinese Medicine
[IEEE] 2026-8-10 | ML approach for predicting the properties of ceramic products
[IEEE] 2026-8-10 | An Adaptive VMD Method for Single-Channel Underdetermined Blind Source Separation Guided by K-Means Clustering
[IEEE] 2026-8-10 | Query Optimization: Lightweight Reinforcement Learning for SQL Join Optimization
[IEEE] 2026-8-10 | A Data-Driven State-Derivative-Aware Neural Controlled Differential Equation Framework for Multi-Sensor Bearing Fault Diagnosis
[IEEE] 2026-8-10 | A Method for Automatic Recommendation of AI Course Inquiry Templates on the Power Grid PC Platform Based on Multimodal Semantic Parsing
[IEEE] 2026-8-10 | Real-Time Traffic Data Acquisition, Transmission, and Visualization Test System Based on Physical-Virtual Integration
[IEEE] 2026-8-10 | An Alternating Iterative Optimization Method for Sparse Arrays in Distributed Arrays
[IEEE] 2026-8-10 | Conditional Denoising Diffusion Probabilistic Models for Indoor Scene Generation: A Comparative Study on the Habitat Dataset
[IEEE] 2026-8-10 | Research on vehicle safety early warning technology in intelligent transportation system
[IEEE] 2026-8-10 | Scan-Specific Hash-Based Parallel MRI Reconstruction Network
[IEEE] 2026-8-10 | Data Augmentation and Vision-Language Pre-trained Model Transfer for Data-Scarce Disaster Scene Image Classification
[IEEE] 2026-8-10 | Methodology and Case Study of Energy Efficiency Retrofit Measurement and Verification (M&amp;V) for Data Centers Based on Standard Framework
[IEEE] 2026-8-10 | Zero-Output Temperature Compensation Method for a MEMS Electric-Field Sensor Based on GA-LSSVM
[IEEE] 2026-8-10 | A fault detection and location method for HVDC transmission lines based on distributed multi-pulse sources
[IEEE] 2026-8-10 | Design and Implementation of a Cloud-Based Remote Monitoring and Prediction System for Greenhouse Environments
[IEEE] 2026-8-10 | p-Type Sensing in Sulfur-Doped SnO
                    <sub>2</sub>
                    Quantum Dot Films for Sensitive and Selective NH
                    <sub>3</sub>
                    Detection at Room Temperature
[ACM] 2026-8-10 | From Trust to Lock-In: Human-Centered AI for Understanding Investment Fraud Narratives in Indian Digital Communities
[IEEE] 2026-8-10 | An Adaptive Dead-Time Control Strategy for Soft-Switching Three-Phase Inverter Based on SiC MOSFET Turn-Off Transient Model
[IEEE] 2026-8-10 | Lightweight Convolutional Neural Networks for Wheat Disease Detection and Classification: A Review and Comparative Study from Field to Storage
[IEEE] 2026-8-10 | Non-Reciprocal RIS-Aided Self-Interference Cancellation in Full-Duplex Communications
[IEEE] 2026-8-10 | Steering Committee
[IEEE] 2026-8-10 | Event-Triggered Output Feedback Lyapunov-Based Distributed Model Predictive Control for Large-Scale Nonlinear Systems
[IEEE] 2026-8-10 | Pathfinder: Efficient Snow Depth, Stratigraphy and Uncertainty Determination From Radar Measurements
[IEEE] 2026-8-10 | Bidirectional Resonance Wireless Power Transfer Module for Portable Devices
[IEEE] 2026-8-10 | AI-Assisted Radio-Frequency and mm-Wave Layout Using Electromagnetic Surrogates and Frequency-Adaptive Rules
[IEEE] 2026-8-10 | Extending the Linear Modulation Range of a Nine-Level Inverter Drive Fed From a Quasi-Square Wave Inverter and a Switched Capacitor Sourced Inverter From the Other End as a Harmonic Filter
[IEEE] 2026-8-10 | Derivative-Free Emergent Optimization via Local Rules and Cellular Automata
[IEEE] 2026-8-10 | Single-Phase Power Electronics Transformer with Wide Input Range Voltage Regulation and High Power Density Capability
[ACM] 2026-8-10 | Vector-Space Projection and Unified Complex-Valued Acceleration for Scaling Matrix-Based Brain-Inspired Representations
[ACM] 2026-8-10 | Demo Abstract: An Energy-Efficient Crossbar-Free Oscillatory Neural Network Accelerator for Near-Sensor Edge AI
[IEEE] 2026-8-10 | Low-Profile Circularly Polarized Dielectric Patch Antenna and Array for Millimeter-Wave Bands
[IEEE] 2026-8-10 | Guest Editorial: T-ED Special Issue on Reliability of Advanced Nodes
[IEEE] 2026-8-10 | IEEE Open Access Publishing
[IEEE] 2026-8-10 | Three-Dimensional Surrogate Modeling and Extrapolation Based on Physics-Aware Machine Learning
[IEEE] 2026-8-10 | DeepBSS++: A Hybrid Framework Integrating Transfer Learning, Spatiotemporal Transformers, and Graph Neural Networks for Blind Source Separation of Electroencephalogram Signals
[IEEE] 2026-8-10 | EDRIC: Embracing 1D Autoencoder for Real-time Lossy LiDAR Reflectance Compression_supp1-3719469.pdf
[IEEE] 2026-8-10 | Compact High Turns Ratio Superconducting Transformer: Comparison between Cu and REBCO winding materials
[IEEE] 2026-8-10 | Slant-Precoded OTFS-Like Waveform for PAPR Reduction under Affine Doppler Drift
[IEEE] 2026-8-10 | Quantitative synthetic aperture radar inversion
[ACM] 2026-8-10 | Steering AI Tutors Through System Prompts: A Crossover Study on Self-Regulated Learning and Cognitive Engagement Scaffolds in CS1
[ACM] 2026-8-10 | Recursion vs Iteration: Activity-Sensitive differences across Use–Modify–Create Tasks in CS1
[IEEE] 2026-8-10 | TriPST-Net: Phase-Aware Lightweight Tri-Branch Spatio-Temporal Graph Neural Networks for Traffic Sequence Forecasting
[IEEE] 2026-8-10 | Automated Heuristic Generation with Large Language Models for 3D UAV Inspection Routing
[IEEE] 2026-8-10 | Skeleton-Based Action Recognition for Complex Dance Motion Using Graph Neural Networks
[IEEE] 2026-8-10 | Alert: An Augmented Reality Intelligent Learning System for Environmental Robotics Education
[IEEE] 2026-8-10 | Industrial Big Data-Oriented Missing-Aware Intelligent Fault Diagnosis Under Incomplete Vibration Signals
[IEEE] 2026-8-10 | TGFS-YOLONet: Frequency–Spatial Dual-Enhancement Network for Tea Geometrid Detection in Complex Tea Plantation Backgrounds
[IEEE] 2026-8-10 | TinyCAN-LLM: A Lightweight Language Model Framework for CAN Bus Intrusion Detection in Internet of Vehicles
[IEEE] 2026-8-10 | YOLOv11s-ARC: A Lightweight Detector for Insulators and Anomalies on Transmission Lines
[IEEE] 2026-8-10 | Distilling Domain Knowledge into Smaller LLMs using RAG-Assisted Fine-Tuning
[IEEE] 2026-8-10 | MoneyQuest: A Gamified Life-Scale Personal Finance Platform with AI Driven Coaching and Embedded Tax Compliance
[IEEE] 2026-8-10 | An Optimal Configuration Method of the Hybrid Energy Storage System for Zero-Carbon Power Systems Based on Improved Particle Swarm Optimization Algorithm
[IEEE] 2026-8-10 | Intellectual Smart Hybrid AI System for Real-Time Threat Intelligence in the Internet
[IEEE] 2026-8-10 | Data-Driven Collaborative Perception and Predictive Control for Humanoid Robot Swarms in Unstructured Environments
[IEEE] 2026-8-10 | Design of an 80-Channel High-Precision Frequency Meter Based on FPGA Quadrature Phase Interpolation
[IEEE] 2026-8-10 | Free Component Analysis-Based Non-Invasive Power Decomposition for Enhanced Grid Situation Awareness
[IEEE] 2026-8-10 | A DSL-Based Agent Framework for Reliable LLM Arithmetic using Model Context Protocol
[IEEE] 2026-8-10 | A Study on the Optimization of the XGBoost Model for Short-Term Traffic Flow Forecasting
[IEEE] 2026-8-10 | A Knowledge Distillation Framework for Edge-Aware Optimization of Intelligent Data
[IEEE] 2026-8-10 | DCE: Dual Clustering for Temporal Heterogeneity and Channel Correlation in Multivariate Time Series Forecasting
[IEEE] 2026-8-10 | Towards Breathable Distributed Systems: An Architecture for Cross-Platform Task Migration
[IEEE] 2026-8-10 | Knowledge Distillation and Improved ViT Based Disease Recognition of Apple Leaf
[IEEE] 2026-8-10 | Adapting FlexLLMGen to Qwen3 Dense and Mixture-of-Experts Models
[IEEE] 2026-8-10 | Self-Supervised Hybrid Vision Transformer with Adaptive Token Selection for Early Lung and Colon Cancer Detection
[IEEE] 2026-8-10 | Federated Learning Computational Cost Analysis
[IEEE] 2026-8-10 | A multi-modal missing bearing fault diagnosis method based on missing proxy and multi-constraint learning
[IEEE] 2026-8-10 | Lifecycle Energy Reduction for Spatio Temporal GNNs via Sparse Aware Training and Continual Learning
[IEEE] 2026-8-10 | Explainability-Driven Decision Gating for Risk-Controlled Algorithmic Trading
[IEEE] 2026-8-10 | Gain Improvement of Antenna-Radome System Based on Phase Compensation Scheme Using Transmissive Metasurface
