[2026-07-29 11:26:57] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-28
正在获取论文...
[arXiv] 2026-07-28 | CW-Ghost: Search-Free Granularity Selection for Helper-Thread Prefetching via Capacity Windows
[arXiv] 2026-07-28 | DRIFT: Direct-Recursive Intervention-Conditioned Forecasting of ICU Physiological Trajectories
[arXiv] 2026-07-28 | A Two-Regime Statistical Framework for Wind-Power Distributions: From Wind-Speed Fluctuations to Turbine Control
[arXiv] 2026-07-28 | The Endpoint Eigenfunction Bound for the Hermite Operator in Two Dimensions
[arXiv] 2026-07-28 | Nuclear matter equation of state and astrophysics
[arXiv] 2026-07-28 | Rethinking Training Data for Generating Code Review Comments
[arXiv] 2026-07-28 | Laser power transmission in space: Plasma-based power cell
[arXiv] 2026-07-28 | Compiling the largest multiwavelength database of known changing-look AGN: Prospects in the Rubin era
[arXiv] 2026-07-28 | Curved momentum space and finite Landau spectrum in $κ$-Minkowski spacetime
[arXiv] 2026-07-28 | Scott Function Spaces under One-Sided FS Assumptions: Counterexamples, Positive Results, and New Directions
[arXiv] 2026-07-28 | Solar Wind Proton Heating and its Effect on Temperature Anisotropy Evolution between 0.05 and 1 au
[arXiv] 2026-07-28 | SepPrune:A Separator-based Pruning Framework for Efficient Multimodal Large Language Models
[arXiv] 2026-07-28 | Performance Evaluation of RF-powered IoT in Rural Areas: The Wireless Power Digital Divide
[arXiv] 2026-07-28 | Revisiting-Aware In-Orbit Edge Computing for Earth Observation
[arXiv] 2026-07-28 | Programmable Bulk Topological Channels via Strain Engineering
[arXiv] 2026-07-28 | Horizon Selection in Physics-Enhanced Neural ODEs: Theoretical Insights and Flux Linkage Application
[arXiv] 2026-07-28 | Explicit Layer Modeling for Video Object Insertion and Layer Decomposition
[arXiv] 2026-07-28 | Fine-Grained Food Image Understanding via Target-Aware Data Alignment
[arXiv] 2026-07-28 | Unmasking (44) Nysa: Evidence for a trilobate structure
[arXiv] 2026-07-28 | A Unified Benchmark and Modality-Adaptive Network for Day-and-Night Drone-View Geo-Localization
[arXiv] 2026-07-28 | Orbital counting for relatively Anosov groups
[arXiv] 2026-07-28 | Contact Surgery Numbers of the 3-torus
[arXiv] 2026-07-28 | Critical Ripples and Dirac Fermions in Crystalline Membranes
[arXiv] 2026-07-28 | Pair luminosity and cooling of newborn strange star: Color-flavor-locked and two-flavor color superconducting quarks
[arXiv] 2026-07-28 | WorkSurface-Bench: Benchmarking Enterprise Agents on Multi-Surface Knowledge Routing
[arXiv] 2026-07-28 | RAISE: A Low-Frequency Space-Based Payload for Solar Radio and RFI Measurements on the SMiLE Mission
[arXiv] 2026-07-28 | Low-Metallicity Star Formation Survey in Sh2-284 (LZ-STAR): The Core Mass Function
[arXiv] 2026-07-28 | An Embarrassingly Simple Rule-based Visiting Circulation Approach to Trip Destination Prediction
[arXiv] 2026-07-28 | Joint identification of permanent magnet synchronous machine and inverter
[arXiv] 2026-07-28 | Nonparametric Bayesian inference for the Gini-Simpson index
[arXiv] 2026-07-28 | A Structuration Approach to Theorizing Cybersecurity Practice: The STARC Model
[arXiv] 2026-07-28 | A systematic evaluation of machine learning classifiers for event-by-event background rejection in LAFOV PET scanners
[arXiv] 2026-07-28 | Herbig AeBe Star AS442A as a UXOR-type system
[arXiv] 2026-07-28 | SKAO-ALMA Synergies in Star Formation Science
[arXiv] 2026-07-28 | The answers to two problems on dcpo models
[arXiv] 2026-07-28 | Spherical orthogonal ring patterns on surfaces and modified combinatorial total geodesic curvatures
[arXiv] 2026-07-28 | Simulation-based tension quantification of the cosmic dipole
[arXiv] 2026-07-28 | DecoEvo: Score-Decoupled Co-Evolution of Solver and Rubric-Generator Skills in Text Space
[arXiv] 2026-07-28 | Toward the Structure Constants of $\mathcal{N}=2$ Liouville Theory
[arXiv] 2026-07-28 | Aharonov-Casher phase in twisted bilayer graphene
[arXiv] 2026-07-28 | CoRT: Counterfactual Replay for Token-Level Rubric-Guided Policy Optimization
[arXiv] 2026-07-28 | Demystifying Deep Learning Compiler Frontend Bugs: An LLM-Aided Empirical Study
[arXiv] 2026-07-28 | PowerScale: Energy-Efficient Geo-Distributed Model Training with Federated Datacenter Power
[arXiv] 2026-07-28 | Nonlocal Magnonic Cat States in Hybrid Magnon-Qubit Architectures
[arXiv] 2026-07-28 | Construction-Driven Injection: Linguistically-Grounded Edit-Based Code-Mixing Fingerprints for Large Language Models
[arXiv] 2026-07-28 | On the Realizability of Edge-Girth Sequences
[arXiv] 2026-07-28 | Kernel-Checked Exclusions for the Erdős-Selfridge Odd Covering Problem: Any Odd Covering of $\mathbb{Z}$ Has lcm Exceeding 10000
[arXiv] 2026-07-28 | Joint Text-Audio Alignment for EEG-to-Text Decoding in Chinese Speech Production and Perception
[arXiv] 2026-07-28 | From simulations to observations of cool plasma: What we can learn from synthetic spectra
[arXiv] 2026-07-28 | Computational Extraction of Legal Causes via al-Sabr wa al-Taqsim: A Set-Theoretic Formalization for Closed Fiqh Chapters
[arXiv] 2026-07-28 | A Density-Matrix Framework for Electronic-Structure Analysis of Functional-Group and Salt Effects in Lithium-Metal Electrolytes
[arXiv] 2026-07-28 | Tau functions of the constrained matrix KP hierarchy
[arXiv] 2026-07-28 | When Does Legacy Data Start to Help? Emergent Transfer in Cross-Configuration Robot Learning
[arXiv] 2026-07-28 | A Study of the $\ell$-Extension to the Results of Classical Calculus
[arXiv] 2026-07-28 | Forensic Reproducibility Audit of a Radiology Vision-Language Model Benchmark: From Intended Protocol to Released Artifact
[arXiv] 2026-07-28 | Global Dynamics of Trait-Structured Generalised Lotka-Volterra Systems with Trait-Independent Interactions
[arXiv] 2026-07-28 | HIR: A collisional-radiative model for hydrogen ionization in plasma with anisotropic fast ions
[arXiv] 2026-07-28 | Kemeny Rank Aggregation is NP-Hard for Three Voters
[arXiv] 2026-07-28 | I2VShield: An Efficient Proactive Defense Framework against DiT-based Image-to-Video Models
[arXiv] 2026-07-28 | Pseudoscalar Yukawa Coupling Induced Helical Asymmetry in Fermionic Preheating
[arXiv] 2026-07-28 | Asymmetric information scrambling and eigenstate thermalization in inhomogeneous XXZ spin chains
[arXiv] 2026-07-28 | Gravitational Baryogenesis in Rainbow Gauss-Bonnet gravity
[arXiv] 2026-07-28 | Agentic AI in medicine: architectures, applications, evaluation, and challenges for clinical translation
[arXiv] 2026-07-28 | Spectra of high-dimensional Spearman correlation matrices under scale-mixture dependence
[arXiv] 2026-07-28 | Finding Optimal Cost-Bounded Plan Reductions: Refined Model
[arXiv] 2026-07-28 | TRWH: A Text-Driven Random Walk Heterogeneous GNN for Semantic-Aware Sparse Recommendation
[arXiv] 2026-07-28 | DensFiLM: Density-Conditioned Video Saliency for Crowd Scenes
[arXiv] 2026-07-28 | Covariance Geometry of Basis-Resolved Low-Energy Wavefunctions in the Spin-$1/2$ Kitaev--Heisenberg Model
[arXiv] 2026-07-28 | PIcsC: Partitioning-Induced Covariate Shift Correction
[arXiv] 2026-07-28 | Liver Metastasis Detection at Reduced Radiation Dose: Diagnostic Evaluation of a Novel Organ-Level Tube Current Modulation Method
[arXiv] 2026-07-28 | Oriented Minimum spanning tree looks like the Uniform spanning tree on the complete graph (at least locally)
[arXiv] 2026-07-28 | A General First- and Second-Order Numerical Solver for Non-Markovian Quantum State Diffusion
[arXiv] 2026-07-28 | The Disruptive Impact of Large Language Models on Capture the Flag Competitions and the Path Toward Fair Play
[arXiv] 2026-07-28 | From Dyad to Triad: Eliciting XAI Requirements in Stroke Rehabilitation
[arXiv] 2026-07-28 | MARS: Multi-Agent Re-ranking for Repeat-Order Food Delivery Recommendation
[arXiv] 2026-07-28 | Context Assembly as the Controlled Variable: A Control-Theoretic View of Harness Policies for Frozen LLM Agents
[arXiv] 2026-07-28 | Singly heavy tetraquarks
[arXiv] 2026-07-28 | Quantum Teleportation toward the Quantum Internet: A Concise Review
[arXiv] 2026-07-28 | Towards Reliable Stain Transfer: An Iterative Data-Model Co-Optimization Framework Based on Multimodal Expert-Guided Assessment
[arXiv] 2026-07-28 | Gaussian Volumetric Representation for Efficient Shear-Warp Visualization
[arXiv] 2026-07-28 | Critical slowing down for predicting controller induced loss of control in quadrotors
[arXiv] 2026-07-28 | ODYSSE: Episode-wise Policy Optimization for Personalized Agentic Reasoning
[arXiv] 2026-07-28 | Leak-Free Cross-Validated Stacking with Per-Architecture Calibration for Sand-Boil Segmentation in Earthen Levees
[arXiv] 2026-07-28 | Sharpness-aware Model Merging with Salience Recovery for LLM-based Cross-Domain Sequential Recommendation
[arXiv] 2026-07-28 | Medical world models in healthcare: foundations, applications, and challenges for trustworthy clinical translation
[arXiv] 2026-07-28 | WHTMix: Efficient Stereo Depth Estimation via Walsh-Hadamard Token Mixing
[arXiv] 2026-07-28 | Quiver data of representations of Hecke algebras and Coxeter groups
[arXiv] 2026-07-28 | Visibility graph-based characterization of extreme values in time series
[arXiv] 2026-07-28 | A Cross-lingual Comparison of Human and Classification Model Entrainment Behavior in Code-switched Speech Settings
[arXiv] 2026-07-28 | Algorithmic Separation between Constant-Depth and Logarithmic-Depth Neural Networks
[arXiv] 2026-07-28 | Distributed Nonlinear Equality-Constrained Optimization via Feedback Linearization and Singular Perturbation
[arXiv] 2026-07-28 | The Birman--Craggs--Johnson homomorphism and the handlebody Torelli group
[arXiv] 2026-07-28 | Long-memory GARCH via a two-dimensional Markov chain
[arXiv] 2026-07-28 | A quark-diquark model for parity doublet structure of baryons
[arXiv] 2026-07-28 | A Convex Splitting Spectral Method for the Phase Field Crystal Equation: Energy Stability, Computational Stability Maps, and Three-Dimensional GPU Simulations
[arXiv] 2026-07-28 | Agentic AI-enabled discovery across large-scale sleep physiology
[arXiv] 2026-07-28 | Quantum Transformer BSDE Solver via Multi-Layer Fully-Connected Variational Quantum Circuits
[arXiv] 2026-07-28 | Accurate structural modeling of chemically diverse molecular interfaces with Vilya-2
[arXiv] 2026-07-28 | Van Hove singularity-driven giant Nernst signal in twisted double bilayer graphene
[arXiv] 2026-07-28 | QCOEM: Quantum Cloud Orchestration with Evolutionary Multi-Objective Optimization
[arXiv] 2026-07-28 | faster-enhancer.c: A Dependency-Free int8 Runtime for Streaming Speech Enhancement on Commodity CPUs
[arXiv] 2026-07-28 | Topological Stability in Paired Dynamical Systems
[arXiv] 2026-07-28 | GRaTer-JAX: An Accelerated Package for Debris Disk Modeling
[arXiv] 2026-07-28 | Balanced Soft mixture-of-expert model for Glaucoma Detection
[arXiv] 2026-07-28 | Physics-Grounded Fluid Video Generation with a Simulation Dataset and Dual-Stream Optical-Flow Supervision
[arXiv] 2026-07-28 | Penalized likelihood inference for beta-binomial meta-analysis of proportions of rare events
[arXiv] 2026-07-28 | Sense it with your eyes: Sensation Generation and Understanding for Advertisements
[arXiv] 2026-07-28 | Achieving 100$\,$MHz Instantaneous Bandwidth in a Broadband Rydberg Microwave Sensor
[arXiv] 2026-07-28 | CAST: Game Solvers as Turn-Level Teachers for LLM Agents
[arXiv] 2026-07-28 | Many-body Tipping Dynamics of ChatGPT-like AIs
[arXiv] 2026-07-28 | On weird numbers with high abundancy index
[arXiv] 2026-07-28 | Tuning Density and Spin Ordering of Degenerate Fermi Gases in an Optical Cavity
[arXiv] 2026-07-28 | Monolithic Multifocal Diamond Metalens for High-Power Laser Systems
[arXiv] 2026-07-28 | Linear Programming Bounds for Fibered Sphere Packings
[arXiv] 2026-07-28 | Completing the Arakawa--Moreau Conjecture on Maximal Ideals of Affine Vertex Algebras
[arXiv] 2026-07-28 | MODUS: Decoder-Only Any-to-Any Modeling of Diverse Modalities
[arXiv] 2026-07-28 | A Cost-Effective Multimodal LLM Reasoning Framework for Question Answering over Irregular Clinical Time Series
[arXiv] 2026-07-28 | Algebraic concordance groups for links
[arXiv] 2026-07-28 | Sharp shifted reciprocal sums of Neumann eigenvalues on space forms
[arXiv] 2026-07-28 | Faster, Higher, Stronger? The Impact of GenAI on Knowledge Work Productivity - Evidence from the Field
[arXiv] 2026-07-28 | Evaluating VLMs for Autonomous Agent-Driven Geometry Clipping Detection in Video Game QA
[arXiv] 2026-07-28 | Variational approach to Yukawa fluids. I. Thermodynamics
[arXiv] 2026-07-28 | CARE: A Multimodal Corpus for Studying Speech and Non-Verbal Communication Across Multiple Medical Conditions
[arXiv] 2026-07-28 | Effect-valued measurement models and contextuality
[arXiv] 2026-07-28 | Pressure-Induced Irreversible Disorder in $β^{\prime}$-Mn$_3$(PO$_4$)$_2$: A High-Pressure X-ray Diffraction and Density-Functional Theory Study
[arXiv] 2026-07-28 | TIGA: Trajectory-Injected Generative Attack against Black-box AIGC Detectors
[arXiv] 2026-07-28 | Distributing Security Controls Through Harness Engineering
[arXiv] 2026-07-28 | Depression Markers in Speech: An Approach based on Tract Variables Dynamics
[arXiv] 2026-07-28 | Device Invariance using Domain Adaptation on Acoustic Scene Classification
[arXiv] 2026-07-28 | A survey on permutable transcendental entire functions and their dynamics
[arXiv] 2026-07-28 | Many-point tropical relaxation and the Monge--Ampère equation
[arXiv] 2026-07-28 | TailVis: Expressive Chart Refinement Preserving Data-Binding Integrity
[arXiv] 2026-07-28 | INTACT: Isomorphic Intent-to-Action Learning for Search-Free World Models
[arXiv] 2026-07-28 | Uniqueness of shrinking Kähler-Ricci solitons on resolutions of Kähler cones
[arXiv] 2026-07-28 | Isotropic Decompositions via Inverse Eigenvectors
[arXiv] 2026-07-28 | Re-thinking Mammography Transfer Learning: The Dataset-Informed Transfer Learning (DITL) Framework for Breast Cancer Screening and Lesion Diagnosis
[arXiv] 2026-07-28 | Wonder: Video World Model Done Better
[arXiv] 2026-07-28 | Non-normal amplification in multitype Hawkes-ETAS models of earthquake triggering
[arXiv] 2026-07-28 | Quantum Gravity from Fractal Entanglement Geometry
[arXiv] 2026-07-28 | Optimization under Persistent State-Dependent Bias: Gradient-based Method and Complexity Analysis
[arXiv] 2026-07-28 | CHARM: A Multimodal Graph Foundation Model with Hierarchical Context Modeling for Zero-Shot Transfer
[arXiv] 2026-07-28 | Extracting Atomic Environments for Machine Learning Interatomic Potentials
[arXiv] 2026-07-28 | Anisotropic Secondary Bias of Dark Matter Haloes in a $Λ$CDM Universe
[arXiv] 2026-07-28 | Understanding the Travel-time Asymmetry of Acoustic Waves in Sunspots With Time-distance Helioseismology
[arXiv] 2026-07-28 | Accurate Computation of Activated Volume in Electromagnetic Heating
[arXiv] 2026-07-28 | Free versions of the strong Szegő limit theorem
[arXiv] 2026-07-28 | Effort Matters in Score-Based Admissions: How Retaking and Aggregation Shape Test Scores
[arXiv] 2026-07-28 | k-Coloring is Faster than Computing the Chromatic Number
[arXiv] 2026-07-28 | SplatStream: Fine Granular Scalable Gaussian Splatting for Adaptive 3D Scene Streaming
[arXiv] 2026-07-28 | Is ChatGPT as reliable as individual reviewers assessing the quality of published journal articles from PDFs or titles and abstracts?
[arXiv] 2026-07-28 | LaP-Forensics: Latent-Pixel Consistency Guided Multimodal Reasoning for Deepfake Detection
[arXiv] 2026-07-28 | Detecting Knowledge Inconsistencies Across Text, Tables, and Knowledge Graphs
[arXiv] 2026-07-28 | Pólya's Conjecture for the Neumann Laplacian on Euclidean Balls
[arXiv] 2026-07-28 | An antichain approach to a conjecture of Zygmund
[arXiv] 2026-07-28 | Distributed Constraint Optimization via Online Learning and Iterative Pricing with Application to Large-Scale Satellite Scheduling
[arXiv] 2026-07-28 | Physics-Guided Interpretable Machine Learning Framework for Anomalous Transport in Crowded Media with Tunable Flexibility
[arXiv] 2026-07-28 | Weighted Webs: Morphology-Informed Marked Fields
[arXiv] 2026-07-28 | Constraining the lives and times of exoplanets through evolutionary Bayesian retrievals
[arXiv] 2026-07-28 | An Empirical Study of Model Context Protocol Applications
[arXiv] 2026-07-28 | On the emergence of dead cores in elliptic systems with sublinear competitive interactions
[arXiv] 2026-07-28 | Massively parallel numerical simulations with Julia
[arXiv] 2026-07-28 | Insensitivity of Khovanov homology under rim surgery
[arXiv] 2026-07-28 | FunnelAL: Retrieve-then-Rank Active Learning for Single-Class Discovery
[arXiv] 2026-07-28 | Timing and Spectral Analysis of the 2024 Outburst of 2S 1553$-$542 with NuSTAR and NICER
[arXiv] 2026-07-28 | From compact jets to extended lobes: radio morphologies of distant quasars at z > 4
[arXiv] 2026-07-28 | Extremal Families for the Erdős--Kleitman Problem: The Missing Constructions
[ACM] 2026-7-28 | Exploring Lifelog Memories in VR: The Impact of Map-View Perspectives on Spatial Recall
[ACM] 2026-7-28 | Foundations of Machine Learning: Models, Methods, and Evaluation
[IEEE] 2026-7-28 | Synergistic Authentication in Beam Alignment for Secure MmWave Communications_supp1-3714802.pdf
[IEEE] 2026-7-28 | 2026 11th International Conference on Computer and Communication Systems (ICCCS)
[IEEE] 2026-7-28 | AST-LO: Enhanced LiDAR Odometry With Alternant Long-Term Spatiotemporal Ground Constraint
[IEEE] 2026-7-28 | IEEE Power Electronics Society Publication Information
[IEEE] 2026-7-28 | Aerial IRS Deployment-Aided Secure Computation Offloading Against DISCO Jamming Attacks
[IEEE] 2026-7-28 | Adaptive Fuzzy Tactile Servoing on Soft Surfaces With a Multimodal Tactile Sensor_supp1-3717172.mp4
[IEEE] 2026-7-28 | BERT-HemoPep60: Transformer-based Deep Learning Method with Domain-Adaptive Pretraining for Quantitative Hemolytic Activity Prediction of Peptides
[IEEE] 2026-7-28 | GCDance: Genre-Controlled Music-Driven 3D Full Body Dance Generation_supp1-3710113.pdf
[IEEE] 2026-7-28 | Optimal Sizing of Electric Truck Fleet Considering Energy-Logistics Coupling
[IEEE] 2026-7-28 | IEEE Computer Society: Computer Science &amp; Engineering Awards
[IEEE] 2026-7-28 | Table of Contents
[IEEE] 2026-7-28 | IEEE Magnetics Society Information
[IEEE] 2026-7-28 | Robust Dynamic Topology Tracking for Active Distribution Networks Under Missing Measurements and Data Distribution Shifts
[IEEE] 2026-7-28 | Front Cover
[IEEE] 2026-7-28 | Introducing IEEE Collabratec
[IEEE] 2026-7-28 | Table of Contents
[IEEE] 2026-7-28 | Review for "Performance Assessment of the Vertical Wind Profile from Doppler Lidar Using Accumulated Spectra"
[ACM] 2026-7-29 | Probing the Intrinsic Effectiveness of Large Language Models for Medical Classifications
[IEEE] 2026-7-28 | Adversarial Training-Based Lightweight DRL Authorization Control Method with User Identity Management
[IEEE] 2026-7-28 | GraphLawPH: Benchmarking GNN Architectures for Task-Specific Knowledge Discovery in Philippine Statutes
[IEEE] 2026-7-28 | Employing Artificial Intelligence Technologies to Enhance National Identity among First Cycle Students
[IEEE] 2026-7-28 | An Intelligent Feature Fusion Approach for Accurate Mental Health Disorder Prediction Using Machine Learning
[IEEE] 2026-7-28 | Kernel PCA-Assisted Compressed Sensing for Underwater Acoustic Channel Estimation Under Weak Non-Gaussian Noise
[IEEE] 2026-7-28 | A Lightweight CNN-Based Digit Recognition System from Video Frames
[IEEE] 2026-7-28 | A Comparative Study of LDA and BERT-Based Topic Modeling on Indonesian YouTube Protest Discourse
[IEEE] 2026-7-28 | Symmetry Breaking for Parallel Machine Scheduling with Compressing Processing Times
[IEEE] 2026-7-28 | ResQTank: An Embedded LiDAR-SLAM System for Real-Time Indoor Mapping and Navigation
[IEEE] 2026-7-28 | Adaptive 3DGS via Geometric Priors
[IEEE] 2026-7-28 | Point-of-Care Prostate Cancer Diagnostics: Fabrication and Performance of a Paper-Based Electrochemical Sensor
[IEEE] 2026-7-28 | TP-D3QN: A Topology-Aware Intelligent Network Slicing Framework for Heterogeneous Immersive Applications
[IEEE] 2026-7-28 | High-Precise Time Synchronization in Edge Computing Platforms: Experience and Implementation
[IEEE] 2026-7-28 | Cross-Silo Federated Diffusion Models for Robust Multi-Institutional Medical Image Augmentation and Domain Generalization
[IEEE] 2026-7-28 | Toward AI-Governed Smart Educational Networks: A Policy-Based Firewall for User and Device Control
[IEEE] 2026-7-28 | Book Online Recommendation Based on BERT Semantic Feature Extraction and Transformer Temporal Modeling
[IEEE] 2026-7-28 | UANet: Unified Prompt and Adaptive Threshold for Few-Shot Semantic Segmentation
[IEEE] 2026-7-28 | Understanding Optical and SAR Feature Interactions through Explainable Transformer-Based Fusion Models*
[IEEE] 2026-7-28 | IG-Guided Synonym Substitution Attacks on IndoBERT AI Detection Across Domains
[IEEE] 2026-7-28 | A Hybrid Machine Learning Framework for Accurate Sales Demand Forecasting
[IEEE] 2026-7-28 | URD-YOLO: An Improved YOLO Framework for Underwater Object Detection
[IEEE] 2026-7-28 | Design and Implementation of a Low power Phase Locked Loop in 45nm CMOS Technology
[IEEE] 2026-7-28 | A Legal Relation Identification Model for Ecological and Environmental Violation Cases Integrating Legal Rule Constraints and Graph Contrastive Learning
[IEEE] 2026-7-28 | Hardware-Aware TinyML for Energy-Efficient Cataract Detection in Ophthalmology on Edge Devices
[IEEE] 2026-7-28 | Machine Learning Detection of Multiple Cancers Using 5hmC at Mutation Hotspots
[IEEE] 2026-7-28 | Federated Cloud Learning Model for Privacy-Preserving Skin Cancer Detection Using Image Processing
[IEEE] 2026-7-28 | Reliability Evaluation Framework for Adversarial Defense Methods in Industrial Intelligent Models
[IEEE] 2026-7-28 | A Method for Accuracy Detection of Filter Rod Transmitter and Receiver Data Considering Time Series
[ACM] 2026-7-29 | An application of genomic language models for antimicrobial resistance prediction in S. pneumoniae
[ACM] 2026-7-29 | A Computational Framework for Deep Phenotyping of Maternal Autonomic Resilience Using 65 Months of Continuous Wearable Biometric Data
[ACM] 2026-7-28 | Make or Take: How Students Navigate Self-Created and Instructor-Provided Cheat Sheets
[ACM] 2026-7-29 | Research on Heterogeneous-Standard Simulation Scenario Conversion Based on Large Models
[IEEE] 2026-7-28 | A Packaging Scheme Enabling Resonant Frequency Tuning and Magnetic Shielding for Electromagnetic Vibration Energy Harvesters Toward Industrial Applications_supp1-3548075.pdf
[IEEE] 2026-7-28 | A Unified Automated Synthesis Framework for On-Chip Lumped-Element RF Broadband Bandpass Filters
[IEEE] 2026-7-28 | Two-Stage Deep Learning for Hybrid Beamforming in UCA Near-Field With Imperfect CSI
[IEEE] 2026-7-28 | Power-Optimal Scheduling in URLLC with Statistical Delay and Reliability Constraints
[IEEE] 2026-7-28 | A Survey for LLM Agent Trajectory Analysis: From Failure Attribution to Enhancement
[IEEE] 2026-7-28 | Keynote Speaker
[IEEE] 2026-7-28 | Intensity Noise Coupling Analysis and Suppression in Ellipse-Fitting-Assisted 3×3 Demodulation for Fiber-Optic Interferometric Sensors
[IEEE] 2026-7-28 | Descriptor: Two Years Multivariate Power System State Monitoring Dataset (TY-MPSSMD)
[IEEE] 2026-7-28 | Explainable and Trustworthy AI in Oncology: A Systematic Review Across Major Organ Systems
[IEEE] 2026-7-28 | Transformer-Based In-Context Learning for Distributed Channel Access Optimization_supp1-3713842.pdf
[IEEE] 2026-7-28 | A Physical Information-Guided Masked Contrastive Learning Network for Defect Detection in Intelligent Pipeline Systems with MFL Signals
[IEEE] 2026-7-28 | Channel Estimation for OTFS Systems with Overspread Doppler Shifts
[IEEE] 2026-7-28 | A New Adaptive Multifrequency Resonance Matching System for Grounded Frequency-Domain Electromagnetic Detection Transmitter
[IEEE] 2026-7-28 | WeakLoc: Low-Rank Attention and Adaptive Pseudo-Label Learning for Weakly Supervised Image Forgery Localization
[IEEE] 2026-7-28 | Interactive Visualizations in Semiconductor Physics: Mixed-Methods Evidence for Affective Engagement and Qualitative Insights into Conceptual Learning
[IEEE] 2026-7-28 | Fisher-Information-Enhanced BOTDR Using Beat Spectral Reshaping
[IEEE] 2026-7-28 | Explainable Machine Learning with Rule-Based Recommendation System for Smart Contract Reentrancy Vulnerability Detection
[IEEE] 2026-7-28 | A PSO-Optimized Coherent Integration Framework for Moving Targets in CF-ISAC Systems with Experimental Validation
[IEEE] 2026-7-28 | Dynamic Governance Technology for Power Knowledge Warehouse Based on Multi-System Data Collaboration under Microservice Architecture
[IEEE] 2026-7-28 | Autonomous Financial Intelligence: A Systematic Synthesis of Agentic AI Paradigms in Banking and Capital Markets
[IEEE] 2026-7-28 | Explainable Stacking Ensemble with Nonlinear Meta-Learners for MSME Performance Prediction in Emerging Markets
[IEEE] 2026-7-28 | GAFNet: A Graph-Augmented Fusion Transformer for Cross-Dataset ADHD Detection Using EEG Signals
[IEEE] 2026-7-28 | Dynamic Route Optimization for High-Volume Logistics Using Risk-Aware Multi-Objective Path Reassignment
[IEEE] 2026-7-28 | Performance Analysis of Variational Quantum Classifiers for Classification Tasks in the NISQ Era
[IEEE] 2026-7-28 | NLP-Based Multilingual Retrieval-Augmented Generation System for Government Welfare Scheme Recommendation
[IEEE] 2026-7-28 | A Lightweight Context-Aware Access Control and Key Management Protocol for IoT-Driven Smart Farming
[IEEE] 2026-7-28 | Research on Evaluation Methods for Human-Machine Interaction Scenarios of In-Vehicle Large Language Models
[IEEE] 2026-7-28 | Research on Multi-Task Path Planning Algorithm for USV Swarm Based on Improved Genetic Algorithm
[IEEE] 2026-7-28 | Fault Injection and Out-of-Bound Access Detection in the SPI Protocol Using UVM
[IEEE] 2026-7-28 | Lightweight YOLOv8-ViT for Real-time Mangrove Species Detection in UAV Aerial Imagery
[IEEE] 2026-7-28 | Hybrid Machine Learning and Deep Learning Approach for Minimum Airfare Prediction
[IEEE] 2026-7-28 | Random Forest Analysis of Lifestyle and Synthetic Data for Prostate Cancer Risk Assessment
[IEEE] 2026-7-28 | LP-SAC: A Temporal Reinforcement Learning Optimization Framework for Unmanned Aerial Vehicle Task Offloading
[IEEE] 2026-7-28 | Prediction of Vehicle Acceleration Response Based on XGBoost
[IEEE] 2026-7-28 | Accelerating TSXor Using CUDA GPUs
[IEEE] 2026-7-28 | DIVA: Differential Integrity Verification Architecture for Containerized Supply Chains
[IEEE] 2026-7-28 | AS-FL: Accumulator and Signature-Based Federated Learning with Weight Aggregation
[IEEE] 2026-7-28 | From RLHF to DPO and Beyond: A Review of Preference Optimization Methods for Aligning Large Language Models
[IEEE] 2026-7-28 | Research on a Multi-Model Adaptive Weighted Fusion Algorithm for Subjective Question Scoring
[IEEE] 2026-7-28 | Urban Rainfall Monitoring via Commercial Microwave Links: A Low-Complexity Approach Validated by Long-Term Experiments
[IEEE] 2026-7-28 | Fraudulent Credit Card Transaction Detection Using a Hybrid Ensemble-Anomaly Detection Framework
[IEEE] 2026-7-28 | Securing Smart Implantable Cardioverter Defibrillators Against DDOS Attacks : A SIEM &amp; IAM Framework
[IEEE] 2026-7-28 | Hybrid AI Techniques for Enhancing Power System Stability
[IEEE] 2026-7-28 | Multi-Objective Genetic Algorithm-Based Joint Routing and Scheduling for Time-Sensitive Traffic in Satellite Formations
[IEEE] 2026-7-28 | Radar Track-to-Measurement Association Fusing Echo and Kinematic Features via Cross-Attention
[IEEE] 2026-7-28 | DLTformer: A Global–Local Collaborative Transformer Framework for Remote Sensing Change Detection
[IEEE] 2026-7-28 | Estimating the Number of Rare Events with Applications to Large Alphabet Inference
[IEEE] 2026-7-28 | Hamiltonian Grid-Forming: Methodology and Applications for IBR-Rich Grid Operations
[IEEE] 2026-7-28 | Changes to the Editorial Board
[IEEE] 2026-7-28 | Detection and Localization of Spectrum Anomaly with Multi-Sensors: A Memory-Augmented Reverse Distillation Method
[IEEE] 2026-7-28 | Enhancement in Dynamic Performance of Multi-Converter Architecture
[IEEE] 2026-7-28 | PELS Corporate Engagement Program
[IEEE] 2026-7-28 | A Compact Dual-Mode SAR ADC With Mismatch Error Shaping Using Prediction-Error-Free 3-Level Analog Prediction and 1-bit Barrel-Shift Dithering
[IEEE] 2026-7-28 | Post-Processing for Bridging the Simulated-to-Real Domain Gap in Multi-Image Super-Resolution
[IEEE] 2026-7-28 | Secure State Estimation for Systems With Silent Packet Loss and Its Application to Controller Design
[IEEE] 2026-7-28 | Stay Connected
