[2026-06-10 12:22:12] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-09
正在获取论文...
[arXiv] 2026-06-09 | Dynamic inverse problems: Single-loop online algorithms
[ACM] 2026-6-9 | Lower Estimates for L₁-Distortion of Transportation Cost Spaces
[ACM] 2026-6-9 | Monotone Circuit Complexity of Matching
[ACM] 2026-6-9 | Near Optimal Hardness of Approximating 𝑘-CSP
[ACM] 2026-6-9 | From Solo Issuing to an Orchestra: Design and Seamless Augmentation of Self-Sovereign Identity for Multi-Signature Verifiable Credentials
[IEEE] 2026-6-9 | Geometry-Prior Guided Coarse-to-Fine Stabilization of Full-Disk Solar EUV Image Sequences
[IEEE] 2026-6-9 | LAWNs Meet SWIPT: Beamforming and Power Splitting Optimization for Predictive Control
[IEEE] 2026-6-9 | Hybrid-CMLP: Hybrid CNN-MLP Networks for Low-to-standard-dose PET Synthesis
[IEEE] 2026-6-9 | Control-Integrated Pipeline for Diseasome Analysis: A Case Study on Hypertension Comorbidities in U.S. Veterans_supp2-3698948.csv
[IEEE] 2026-6-9 | DyGIN: Modality-Unified Dynamic Graph Inception Network for Context-Aware Emotion Recognition
[IEEE] 2026-6-9 | Mechanisms of Central Erosion on the Contact Interface With Convex Rail Structure
[IEEE] 2026-6-9 | Analysis and Optimization Framework for STAR-RIS-aided Short-Packet Systems with Covert Rate-Splitting Signaling
[IEEE] 2026-6-9 | Signal-Compensated PI Control Based on Concurrent-Learning-Driven Optimal Tuning Parameters for Complex Ore Feeding Processes
[IEEE] 2026-6-9 | DEFI 2025 Cover Page
[IEEE] 2026-6-9 | 2025 International Conference on Intelligent &amp;amp; Innovative Practices in Engineering &amp;amp; Management (IIPEM)
[ACM] 2026-6-9 | A Fine Balance: Understanding Anti-Technosolutionist Strategies of Environmental Justice Advocates
[ACM] 2026-6-9 | PredComp: Predicting Compiler Optimization Options with Multi-stage Learning
[IEEE] 2026-6-9 | Lung Nodule Detection and Segmentation using Linear Karnal SVM
[IEEE] 2026-6-9 | Optimization and Simulation of a High-Speed Data and Power Transmission System Based on Partial Coil Coupling and DQPSK
[IEEE] 2026-6-9 | A Practical Methodology for Implementing and Tuning Analog PID-Based PWM Controllers
[IEEE] 2026-6-9 | The Autonomous Battlefield: AI Arms Race in Cybersecurity, Offensive Tactics, and the Need for a Global Framework
[IEEE] 2026-6-9 | An Improved Multi-Target Tracking Algorithm for Intelligent Transportation Perception Based on Adaptive Association and Trajectory Smoothing
[IEEE] 2026-6-9 | The CRISP Framework: Enhancing AI Explainability Through Context-Aware Prompts for Clearer and More Interpretable Responses
[IEEE] 2026-6-9 | Leveraging NLP and AI for Optimizing Energy Efficiency in Smart Cities: A Green Technology Perspective
[IEEE] 2026-6-9 | The Impact of Short Video Content on TikTok on Gen Z's Purchasing Behavior
[IEEE] 2026-6-9 | Transport Protocol Switching Mechanism for Throughput Optimization in Ad Hoc Networks
[IEEE] 2026-6-9 | Toxicological Impact of Heavy Metals During Sustainable Brick Production from Bagasse, Fly Ash, and Cement
[IEEE] 2026-6-9 | SYNE: A Biologically-Inspired Decision Neural Network via Stochastic Delay Differential Equations
[IEEE] 2026-6-9 | Coordinated Optimization Strategy for Distributed PV Distribution Networks Based on Hierarchical Power Allocation
[IEEE] 2026-6-9 | ANN–GA–PSO Hybrid Optimization for Enhanced DV-HOP Localization in Wireless Sensor Networks
[IEEE] 2026-6-9 | Mechanism and Suppression of Low-Frequency Oscillations in Lightly Loaded V/f-Controlled Induction Motors
[IEEE] 2026-6-9 | A Novel LLM-RAG Approach for Risk-Aware Anti-Money Laundering Compliance
[IEEE] 2026-6-9 | Omni-Tracker: An IoT-Based AI Companion for Emergency Alert and Geo-Localization System
[IEEE] 2026-6-9 | Neural Network-Based Black Box Modelling for Real-Time Super Capacitor Health Monitoring
[IEEE] 2026-6-9 | Detection of Credit Card Fraud: An Analytical Accounting Perspective Using Classification Algorithms
[IEEE] 2026-6-9 | Corporate Governance’s Impact on Financial Performance of Banks
[IEEE] 2026-6-9 | Multimodal Transformer-Based Framework for Predicting Student Engagement, Achievement and Creativity
[IEEE] 2026-6-9 | Explainable AI Engine for Cross-Platform Transaction Trust Evaluation
[IEEE] 2026-6-9 | Modular Robot-Assisted Haptic Simulation of a Shoulder Exoskeleton
[IEEE] 2026-6-9 | Structural damage identification through PCA and subspace comparison
[IEEE] 2026-6-9 | Real-Time Analytics and Scalable Orchestration for Multi-Tenant Personalization Systems
[IEEE] 2026-6-9 | AI-Driven Marketing Transformation: Insights from Bibliometric Mapping and Network Analysis
[IEEE] 2026-6-9 | AI-Powered Personalization for Enhancing Student Engagement in E-Learning
[IEEE] 2026-6-9 | AI-Driven Security In Cloud Networks
[IEEE] 2026-6-9 | Self-Supervised Anomaly Detection Models for Continuous Data Quality Monitoring in Enterprise Platforms
[IEEE] 2026-6-9 | Fixed-Time Synchronization of Delayed Chaotic Memristive Neural Networks Modeling in Terms of Voltage-Charge-Time
[IEEE] 2026-6-9 | MERIT: Multimodal Enhanced Retrieval through Instruction-level Transformer-based Chunking in Product Manuals
[IEEE] 2026-6-9 | Trajectory Tracking Control for Inspection Robots via Tube-Based Linear Model Predictive Control
[IEEE] 2026-6-9 | Momentum-Based Cryptocurrency Trading Strategy : Data Synthesis and Machine Learning for Predictive Signal Classification
[IEEE] 2026-6-9 | Two-Stage Variable-Decoupling Framework for Trajectory Optimization of Industrial Manipulators
[IEEE] 2026-6-9 | Explainable Deep Learning Pipeline for Multimodal Biomedical Signal Interpretation
[IEEE] 2026-6-9 | Decoding Automation Narratives in Heritage Education and Tourism: A Google Trends Inquiry into Optimization Dynamics
[IEEE] 2026-6-9 | Dynamic Topology Control Strategies for Enhanced Connectivity in Mobile Wireless Sensor Networks
[IEEE] 2026-6-9 | How Does the Decoy Effect Enhance Consumers' Purchasing Decisions?
[IEEE] 2026-6-9 | Integrated Digital Advisory System for Real-Time Agricultural Decision Support in Rural India
[IEEE] 2026-6-9 | Collaborative Optimal Scheduling Method for Microgrid Clusters Based on Multi-Agent Deep Deterministic Policy Gradient
[IEEE] 2026-6-9 | Data-Driven Modeling of Soil Moisture in Irrigated Fields
[IEEE] 2026-6-9 | Impact of Service Efficiency Factors on Buying Behaviour and Satisfaction on Digital Platform
[IEEE] 2026-6-9 | A Bias-Resistant Framework for Misinformation Detection in Code-Mixed Telugu Using Semantic Graph Neural Networks
[IEEE] 2026-6-9 | Prediction of Underwater Sound Speed Distribution Based on Liquid Neural Networks
[IEEE] 2026-6-9 | A Temperature Compensation Method for MSR Monitoring under In-Service Condition using EMAT
[IEEE] 2026-6-9 | Machine learning potential and applications in manufacturing sectors
[IEEE] 2026-6-9 | CloudChain: Decentralized Marketplace for AI Compute Resources
[IEEE] 2026-6-9 | Signal Time-Advance Measurement with LP-NGD Circuit
[IEEE] 2026-6-9 | Dynamic Neuro-Fuzzy Fusion with Attention-Aware Learning for Robust Cardiovascular Disease Prediction
[IEEE] 2026-6-9 | AI-Powered Analysis of Machine Learning Techniques for Fake News Classification
[IEEE] 2026-6-9 | State-Aware Multi-Service Scheduling for VLC/WiFi Heterogeneous Networks Based on Reinforcement Learning(SAMSS-QL)
[IEEE] 2026-6-9 | Resilient Smart Grids: Digital Twin-Driven Predictive Control for Renewable Energy Integration
[IEEE] 2026-6-9 | Physics-Informed Neural and Graph Learning Framework for Operational Amplifier Performance Prediction and Sizing
[IEEE] 2026-6-9 | Advancing Eigenvalue Computation: Numerical Techniques and Cross-Disciplinary Applications
[IEEE] 2026-6-9 | Memristor-Based Spiking Neural Network Accelerator for Bio-Inspired Interception Task
[IEEE] 2026-6-9 | Reassessing Venture Capital’s Role in IPO Outcomes: A Hybrid Machine Learning and Analytical Framework Using Evidence from India
[IEEE] 2026-6-9 | Comparative Analysis of Supervised Machine Learning Techniques for Predicting Student Academic Performance
[IEEE] 2026-6-9 | Sophisticated Geolocation Based Attendance Tracking Mobile Application
[IEEE] 2026-6-9 | A Transfer Learning Approach for Detecting Buds of Posterior Teeth
[IEEE] 2026-6-9 | Cloud-Driven Deep Learning Applications in Smart Cities
[IEEE] 2026-6-9 | Role of AI in Refugees Status Determination with Challenges of Human Dignity
[IEEE] 2026-6-9 | Quantum Safe AI Pipelines Securing Next Generation Data Flows Against Post Quantum Threats
[IEEE] 2026-6-9 | Activity concentration measurements of radon gas in indoor environment of Benevento city, Campania region - South Italy
[IEEE] 2026-6-9 | The Role of Time-Sensitive Networking in Enhancing Real-Time Clock Synchronization for Power Monitoring Devices
[IEEE] 2026-6-9 | Design and Implementation of Energy-Efficient Protocols for Underwater Wireless Sensor Networks
[IEEE] 2026-6-9 | Early Warning System for Systemic Financial Risk in Indian Financial Markets Using Artificial Neural Networks
[IEEE] 2026-6-9 | A Hybrid ML Framework Integrating CAI and EFRI Metrics for Smart Predictive Maintenance of Power Transformers
[IEEE] 2026-6-9 | An Ensemble Machine Learning Model for Thwarting Impact of Vampire Nodes in WSNs
[IEEE] 2026-6-9 | MIGformer: A Multivariate Time Series Forecasting Model Based on Multi-scale Interaction and Gating Mechanism
[IEEE] 2026-6-9 | Next-Generation Network Architectures: Exploring 6G, VANETs, and Heterogeneous Communication Systems
[IEEE] 2026-6-9 | Machine Learning for Clinical Text Classification in Electronic Medical Records: A Review
[IEEE] 2026-6-9 | Autonomous Edge AI Solution for Post-Harvest Mango Tommy Classification
[IEEE] 2026-6-9 | Ensemble-Based Learning Algorithm for Multi-Morbidity Prediction
[IEEE] 2026-6-9 | Cloud-Enabled Chatbots and Virtual Assistants: Redefining Digital Marketing Strategies
[ACM] 2026-6-9 | Large Language Models for Analyzing Enterprise Architecture Debt in Unstructured Documentation
[ACM] 2026-6-9 | Recommending Test Cases in Agile Software Development with a Taxonomy-Guided KNN Approach
[ACM] 2026-6-9 | An Analysis of Quality Assessment Methods for Knowledge Graphs
[ACM] 2026-6-9 | An Approach to Promote Responsible Artificial Intelligence Systems
[ACM] 2026-6-9 | A Hybrid Approach Combining Information Retrieval and Large Language Models for Traceability Link Recovery
[ACM] 2026-6-9 | Extracting Money Laundering Transactions from Quasi-Temporal Graph Representation
[ACM] 2026-6-9 | A Polylogarithmic Approximation for Buy-at-Bulk Network Design with Protection
[ACM] 2026-6-9 | Eyes on the Road, AI on the Edge: A Field-Tested Multimodal System for Predicting and Explaining Near-Miss Accidents with Federated Learning
[ACM] 2026-6-9 | A Large-Scale Study of Vulnerable Dependency Remediation in Java Projects
[ACM] 2026-6-9 | Automated Bilateral Negotiation Framework for Multi-Issue Data Sharing Contracts in Data Spaces
[ACM] 2026-6-9 | DIVA: An Ontology-based Approach to Model User Activity within Visualization Systems
[ACM] 2026-6-9 | Approximate Orthogonal Vectors and Diameter via Regularity Lemma
[ACM] 2026-6-9 | Boolean Function Monotonicity Testing Requires (Almost) &lt;i&gt;n&lt;sup&gt;1/2&lt;/sup&gt;&lt;/i&gt; Queries
[ACM] 2026-6-9 | The Price of Competitive Information Disclosure
[ACM] 2026-6-9 | Additive One Approximation for Minimum Degree Spanning Tree: Breaking the O(mn) Time Barrier
[IEEE] 2026-6-9 | Bidirectional Covertness and Security Enhancement in FD-ISAC Systems
[IEEE] 2026-6-9 | The electric field distortion characteristics and failure analysis of vehicle-mounted cable terminals under overvoltage impulses
[IEEE] 2026-6-9 | Federated Learning–Enabled Collaborative Beamforming for NGSO Direct-to-Vehicle Systems
[IEEE] 2026-6-9 | BliChain: A Blockchain-Assisted and Lightweight Cross-Domain Authentication Scheme for 6G-Enabled VANET
[IEEE] 2026-6-9 | Radio-Coverage-Aware Path Planning for Cooperative Autonomous Vehicles
[IEEE] 2026-6-9 | Integrated Planning of Virtual Coupling Train Convoy Formation Schemes and Timetables With Dynamic Coupling&amp;#x2013;Decoupling_supp1-3698131.docx
[IEEE] 2026-6-9 | Machine Learning and AI Applied to fNIRS Data Reveals Novel Brain Activity Biomarkers in Stable Subclinical Multiple Sclerosis_supp1-3700987.pdf
[ACM] 2026-6-9 | Corrigendum: Rethinking Teaching Evaluation Reports: Designing AI-transformed Student Feedback for Instructor Engagement
[IEEE] 2026-6-9 | Modeling Cable-Suspended Multidrone Manipulation Using Grasping Theory_supp2-3694490.pdf
[IEEE] 2026-6-9 | Multi-Scale Symmetric Difference Attention-Based Transformer for Panchromatic and Multispectral Classification
[IEEE] 2026-6-9 | BMS-MFZS: A Background Modeling and Suppression Method based on Multi-Feature Generalized Zero-Shot in Remote Sensing
[IEEE] 2026-6-9 | Generalized Signal Design for RF and Optical SWIPT in Space-Air-Ground Integrated Networks
[IEEE] 2026-6-9 | Blockchain-Enabled Digital Credentialing: An Interoperable Hybrid Architecture for Academic Integrity and Verification
[IEEE] 2026-6-9 | Deep Reinforcement Learning for Voltage Control in Active Distribution Networks
[IEEE] 2026-6-9 | EAS-PQC: Analyzing Post Quantum Cryptography Algorithm Selection for IoT Device Classes
[IEEE] 2026-6-9 | Hybrid Frequency Regulation in Multi-Area Power Systems with Renewable Energy Sources, Electric Vehicles, and Cyber-Attack Mitigation: a MATLAB/Simulink Implementation Study
[IEEE] 2026-6-9 | Temperature Compensation in RF Reflectometry for Crop Quality Assessment
[IEEE] 2026-6-9 | Trustworthy Big Data Pipelines: Fairness-Aware and Privacy-Preserving Knowledge Discovery Framework
[IEEE] 2026-6-9 | Enhancing Manifold Convexity in Deep MRI Image Clustering Using Adversarial Learning
[IEEE] 2026-6-9 | Opacity-Informed UAV Navigation with 3D Gaussian Splatting and Model Predictive Control
[IEEE] 2026-6-9 | Research on Leak Source Localization in Complex Pipelines Based on Acoustic Emission Technology
[IEEE] 2026-6-9 | Performance Evaluation of Non-Invasive Attention Classification Using Physiological and Ocular Metrics
[IEEE] 2026-6-9 | Multi-Agent Paradigms for Privacy Preservation in Federated Learning: A Review
[IEEE] 2026-6-9 | A Scalable Agentic Artificial Intelligence Architecture for Autonomous Decision-Making and Self-Optimization in Complex Cyberphysical Systems
[IEEE] 2026-6-9 | SMS Spam Detection Using Hybrid BERT + XGBoost Model
[IEEE] 2026-6-9 | Synthetic Twins: Toward Sustainable, Tunable 3D Printed Models of Human Tissues
[IEEE] 2026-6-9 | Cyber Physical System Based Distributed Real Time Draining System for Smart Cities
[IEEE] 2026-6-9 | Incorporating Edge Computing in Wireless Sensor Networks for Efficient Data Processing
[IEEE] 2026-6-9 | Low-Power Wide-Area Networks (LPWAN) for IoT Applications: Engineering the Innovative Practices
[IEEE] 2026-6-9 | Identification of vulnerable lines in power system considering the randomness of wind power
[IEEE] 2026-6-9 | TAC-DHER: Tactical-Consistency-Aware Confidence-Gated Dynamic Hindsight Experience Replay for Cooperative UAV Air Combat
[IEEE] 2026-6-9 | Architecture of an IoT–AI Digital Ecosystem for Air Quality Monitoring and Environmental Assessment
[IEEE] 2026-6-9 | Propagation Characteristics and Parameters Optimization of Laser Ultrasonic Waves in C130 Post Insulators
[IEEE] 2026-6-9 | A Unified AI-Based Approach for Performance Optimization and Threat Detection in Telecommunication Systems
[IEEE] 2026-6-9 | CS-MSENet: Centered Linear Attention and Edge Enhancement for UAV Detection
[IEEE] 2026-6-9 | Hyperparameter-Invariant Deep Spiking Neural Networks: A Triple Synergy Approach
[IEEE] 2026-6-9 | Neuro-Symbolic AI for Cognitive Interaction in Humanitarian Voice-Based Interfaces
[IEEE] 2026-6-9 | Lightweight Thermal Fault Diagnosis in Induction Motors: A Comparative Study of CNNs and Depthwise-Separable CNNs
[IEEE] 2026-6-9 | When Inertia Drives Transparency: The Role of Business Environmental Uncertainty in Inert and Alert Firms’ Sustainability Disclosure
[IEEE] 2026-6-9 | Co-Designing Quantum Codes with Transversal Diagonal Gates via Multi-Agent Systems
[IEEE] 2026-6-9 | Predicting Waterborne Related Diseases in Rural Jharkhand Using Machine Learning Until 2030
[IEEE] 2026-6-9 | Design and Performance Evaluation of a Compact UWB Antenna for Breast Tumor Detection
[IEEE] 2026-6-9 | Enhancing Reliability in Luxury Marketing Using AI, Big Data, and Financial Analytics: Infocom Technologies and Computational Strategies in the Digital Age
[IEEE] 2026-6-9 | Generalized Semi-analytical Modelling for Eddy Current Testing Based on Reflection and Transmission Coefficients at Heterogeneous Interfaces
[IEEE] 2026-6-9 | Hybrid Deep Learning and Explainable AI Framework for Predicting Customer Churn in Telecom Networks
[IEEE] 2026-6-9 | Optimization of Low-Cost Flex Sensor Performance Using Machine Learning
[IEEE] 2026-6-9 | Hybrid Lexical-Topic Feature Framework for Machine Learning-Based Suicidal Ideation Prediction
[IEEE] 2026-6-9 | Research on Early Fault Detection Method of 10kV Cable Based on Adaptive Fusion of Multimodal Features
[IEEE] 2026-6-9 | Automated Solar Cell Surface Defect Detection Using Deep Learning
[IEEE] 2026-6-9 | Optimisation of Phase Processing And Noise Reduction In Speech Enhancement Using CSM and Adaptive Filters
[IEEE] 2026-6-9 | News Under the Microscope: Exposing Fakes with Classic Machine Learning
[IEEE] 2026-6-9 | Shapley-Driven Federated Edge Intelligence for Fair and Secure Model Aggregation in Industry 4.0 Cyber-Physical Systems
[IEEE] 2026-6-9 | Dynamic Trust AI: Uncertainty-Driven Decision Adaptation for Trustworthy Human–AI Collaboration in High-Risk Imbalanced Systems
[IEEE] 2026-6-9 | VaST-Conv: Variable-Strided Tiled Convolution Framework for Resource-Efficient CNN Acceleration
[IEEE] 2026-6-9 | LLM-Enhanced Braille-to-Speech Learning Assistant for Visually Impaired Users Using AraT5
[IEEE] 2026-6-9 | Efficient and Secure Watermarking for Encrypted Images Using LHE and DWT
[IEEE] 2026-6-9 | Green Goals Toning Fintech: A Literature Review
[IEEE] 2026-6-9 | An Intelligent AI-Based Multimodal Platform for Adaptive Interview Simulation and Candidate Assessment
[IEEE] 2026-6-9 | Cross-Dataset Performance Evaluation of Multiple Faster R-CNN Models for Generalized Pothole Detection Application
[IEEE] 2026-6-9 | A Bibliometric Analysis of Artificial Intelligence enabled Predictive Analytics in Customer Retention and Credit Risk Management
[IEEE] 2026-6-9 | Hybrid Deep Learning and Handcrafted Feature - Based Ensemble Machine Learning Model for Automated Mango Grading
[IEEE] 2026-6-9 | PosePart-MLP: 3D Human Pose Estimation via Hierarchical MLP and Cross-Part Attention
[IEEE] 2026-6-9 | Unsteady Motion Parameter Extraction for Shipborne High-Frequency Surface Wave Radar Using Distributed Reference Sources
[IEEE] 2026-6-9 | Adaptive Power Electronics: Neuromorphic Control of Converters for Renewable Microgrids
[IEEE] 2026-6-9 | Smart Control System with NodeMCU-Controlled Relays and MobileNet-SSD for Person Detection
[IEEE] 2026-6-9 | Hardware-Aware Dynamic Range Calibration for Post-Training Quantization on FPGAs
[IEEE] 2026-6-9 | Detecting Ovarian Cancer Early using a State-of-the-Art Machine Learning Approach
[ACM] 2026-6-9 | Sparse Linear Regression Is Easy on Random Supports
[IEEE] 2026-6-9 | Front Cover Page
[IEEE] 2026-6-9 | Secure Link Scheduling for UAV Swarms: From Perspective of Covert Communication
[IEEE] 2026-6-9 | Deduplication-while-Storage: A New Encrypted Deduplication Storage Paradigm
[IEEE] 2026-6-9 | Wireless Electromagnetic Tracking Using Ultra-Low Frequency Fields for Hardware-Constrained Medical Devices_supp2-3694425.mp4
[IEEE] 2026-6-9 | Enhanced meta-transfer learning for few-shot recognition of communication interference signals
[IEEE] 2026-6-9 | Reliable Power Management for DCMG Clusters Based on Adaptive Droop Curve and DESO Under Line Impedance and Cyber Attacks
[IEEE] 2026-6-9 | LlymX: Multimodal LLM-Augmented XR for Context-Aware Information Access
[IEEE] 2026-6-9 | DGPDT: Detection-Guided and Prompt-Driven Transformers for Automated and Generalizable Cobb Angle Estimation
[IEEE] 2026-6-9 | CaUCD: Causal Unsupervised Change Detection
[IEEE] 2026-6-9 | IEEE Copyright and Consent Form
[IEEE] 2026-6-9 | IEEE Copyright and Consent Form
[IEEE] 2026-6-9 | 2026 6th International Symposium on Intelligent Robotics and Systems (ISoIRS)
[IEEE] 2026-6-9 | 2026 12th International Conference on Control, Automation and Robotics (ICCAR)
[IEEE] 2026-6-9 | Cross-Modality Anatomy Knowledge Distillation for Retinal OCT Layer Segmentation with Limited Labels
[IEEE] 2026-6-9 | Post-Quantum Security for 6G–Opportunities and Challenges
[IEEE] 2026-6-9 | A Frequency-Domain Vision Accelerator for High-Resolution Object Detection on RAW Data
[IEEE] 2026-6-9 | FreMotion: A Frequency-Motion Synergy Framework for Imitation Learning in Robust Robotic Fine Manipulation
[IEEE] 2026-6-9 | Fast and Scalable Newton-Raphson Power Flow Analysis via Hierarchical Parallelism and Graph Node-based Hash Storage
[IEEE] 2026-6-9 | Back-to-Back Multiport Converter for Wind and Battery Integrated System With Reduced Power Conversion Stage
[ACM] 2026-6-9 | Advancing Normal Tissue Complication Probability Modeling with Supervised Contrastive Learning for Predicting Osteoradionecrosis
[ACM] 2026-6-9 | Hull-Fence: Online Multi-Robot Safe Coverage in Unknown Environments with Convex-Hull Hazard Cordoning
[ACM] 2026-6-9 | Do small and medium-sized LLMs simulate embodied cognition? A preliminary analysis for enhancing ITS with embodied cognition capabilities
[ACM] 2026-6-9 | LLM-Upgraded Graph Reinforcement Learning for Carbon-Aware Job Shop Scheduling in Smart Manufacturing
[ACM] 2026-6-9 | Do LLMs Agree on Microservice Decompositions? A Multi–Model Study from Textual Requirements
[ACM] 2026-6-9 | A Business and Organizational Maturity Model for Data Spaces derived from the DSSC Blueprint
[ACM] 2026-6-9 | MT-GaitFormer: An Integrative Transformer for Adaptive Control and User Authorization in Assistive Walking Robots
[ACM] 2026-6-9 | Supporting Agility at Scale Through an Organization-wide Software Engineering Community of Practice: Insights from a Large Software Development Organization
[ACM] 2026-6-9 | MP-Former: Transformer-Based Online Multi-Task Anomaly Detection
[ACM] 2026-6-9 | P2W: From Power Traces to Weights Matrix - An Unconventional Transfer Learning Approach
[ACM] 2026-6-9 | Evaluating the Accuracy of Monocular 3D Pose Estimation for Gait Analysis
[ACM] 2026-6-9 | Optimal Phylogenetic Reconstruction from Sampled Quartets
[ACM] 2026-6-9 | Lower Bounds in Algebraic Complexity via Symmetry and Homomorphism Polynomials
[ACM] 2026-6-9 | High-Accuracy List-Decodable Mean Estimation
[ACM] 2026-6-9 | Fourier Spectrum of Noisy Quantum Algorithms
[ACM] 2026-6-9 | Nonuniform Graph Partitioning with Just a Little Flex
[IEEE] 2026-6-9 | Smart Water Management System for Multi-Storey Residential Buildings
[IEEE] 2026-6-9 | Analysis of Multiple-Output Integrated Receivers for Wireless Power Transfer in Biomedical Implants
[IEEE] 2026-6-9 | Architecting Ethical and Scalable Artificial Intelligence Systems: A Secure Deployment Model with Real-World Benchmarking
[IEEE] 2026-6-9 | A 12.5mW Deep Neural Network Accelerator for Continuous Seizure Forecasting in Edge Devices
[IEEE] 2026-6-9 | Mindfulness Meditation in Workplace: Satisfaction and Harmonious Employee-Employer Relationships
[IEEE] 2026-6-9 | Designing Adaptive User Interfaces for Elderly Users in Smart Homes: A Systematic Literature Review
[IEEE] 2026-6-9 | A Detecting Method For Line-Spectrum Target Based on Time-Frequency Signal Presence Probability Sensing
[IEEE] 2026-6-9 | Design and Launch of Solid Propellant Reusable Rocket
[IEEE] 2026-6-9 | AI-Based Daily Heart Risk Guardian (DHRG) Using XGBoost Algorithm
[IEEE] 2026-6-9 | Skin Lesion Classification for Skin Cancer Using MobileNetV2
[IEEE] 2026-6-9 | Latency-Budgeted Terminal–Edge Collaborative Video Analytics with Adaptive Masking and Content-Aware Encoding
[IEEE] 2026-6-9 | Enhancing Credit Scoring Accuracy Using Machine Learning and Alternative Data Sources in a Credit Card Company in Bahrain
[IEEE] 2026-6-9 | Data-Driven Insights in Consumer and Workforce Analytics Using AI and Natural Language Processing
[IEEE] 2026-6-9 | Fuzzy Controller Assisted DVR for Grid-Connected PV Nanogrid Under Severe Grid Faults
[IEEE] 2026-6-9 | Web-Based Platform for Efficient User-Vendor Interaction and Marketplace Integration
[IEEE] 2026-6-9 | AI-Powered Predictive Analytics Framework for Urban Heat Island (UHI) Mitigation
[IEEE] 2026-6-9 | A CNN Framework for Accurate Fatty Liver Disease Prediction Using EfficientNetB3 and DenseNet121
[IEEE] 2026-6-9 | Integrated Power Line Fault Detection Using Arduino With GSM
[IEEE] 2026-6-9 | Research on PCB Defect Detection Algorithm Based on YOLOv5
[IEEE] 2026-6-9 | FarmSense Pro: A Data-Driven Approach to Crop Yield and Price Estimation
[IEEE] 2026-6-9 | Adoption of Artificial Intelligence (AI) by Workers: Extending Theory of Planned Behaviour (TPB) with IT Knowledge and Price Value
[IEEE] 2026-6-9 | AI Based Engineering Framework Addressing Total Quality Management Based on Workplace Management
[IEEE] 2026-6-9 | Reinforcement Learning with Dynamic State Abstractions
[IEEE] 2026-6-9 | A Machine Learning Framework for Predictive Maintenance of Power Transformers Using CAI and EFRI Metrics
[IEEE] 2026-6-9 | Evaluating the Impact of Work-Life Balance on Job Performance Among Women Police Personnel in Chennai City
[IEEE] 2026-6-9 | FedAADC: Model Similarity-based Base Station Clustering for Federated Wireless Traffic Prediction
[IEEE] 2026-6-9 | A Compact Population-Activity Detector for Event-Driven Gating in Neuromorphic Pipelines
[IEEE] 2026-6-9 | Technological Analysis on Exploring Emotional Intelligence Through Cultural Lenses
[IEEE] 2026-6-9 | A Big Data Architecture for Smart Bus System
[IEEE] 2026-6-9 | Patchwork-Based Audio-Visual Watermarking Using ADPCM and Adaptive Embedding
[IEEE] 2026-6-9 | An Intelligent Ventilation Constant-Pressure Control Method Based on State Awareness and a Hybrid Optimization Algorithm
[IEEE] 2026-6-9 | Prakriti: Human Body-Type Identification to Recommend Lifestyle Using IoT and ML
[IEEE] 2026-6-9 | IoT Data Analytics with Deep Neural Networks: Trends and Future Directions
[IEEE] 2026-6-9 | Leveraging Generative AI to Advance Technology-Based Startup Incubation and Societal Progress
[IEEE] 2026-6-9 | Blockchain for Secure Management of International Student Exchange Records: Opportunities, Challenges, and Future Directions
[IEEE] 2026-6-9 | Computational Engineering Based on the Intersection of Data Protection and Cybersecurity
[IEEE] 2026-6-9 | Enhancing Healthcare Waste Management Through Deep Learning-Based Classification
[IEEE] 2026-6-9 | Autonomous Agent-Based Intelligence for Continuous Learning and Adaptation in Cyberphysical Systems
[IEEE] 2026-6-9 | Study of Dynamic behaviour of the Linear Susceptibility on Pulse Propagation in Fiber Optics Communication
[IEEE] 2026-6-9 | Enhancing Employee Data Security with Blockchain Solutions
[IEEE] 2026-6-9 | Location-Based Adaptive Grouping Algorithm for Federated Learning
[IEEE] 2026-6-9 | Preserving What, Removing Where: Dual-Stream Beneficial Feature Pre-Debiasing for HOI Detection
[IEEE] 2026-6-9 | Space Motion Modeling and Control System Optimization Design of Unmanned Underwater Vehicles Based on Comprehensive Simulation
[IEEE] 2026-6-9 | Blockchain Technology for Enhancing Transparency and Security in Financial Management Systems
[IEEE] 2026-6-9 | Design and Development of 8 - Legged Robot Using Theo Jansen Mechanism
[IEEE] 2026-6-9 | Apple Grading Based on Bagging Ensemble of Ordinal Evidential Neural Network
[IEEE] 2026-6-9 | Enhanced Smart Retail Decision Through Sentiment Analysis Using Machine Learning
[IEEE] 2026-6-9 | Quantum Computing-Powered Error Correction System for Secure Satellite Communication
[IEEE] 2026-6-9 | Research on Human-Following Control of a Smart Walker Based on IMU and Pressure Sensor Fusion
[IEEE] 2026-6-9 | WayWaker: A Location-Based Alarm System for Travelers Using Transformer-Based Context-Aware Travel Recommendation
[ACM] 2026-6-9 | Towards Autonomous I/O Redirection and File Relocation in Tiered Storage Systems
[ACM] 2026-6-9 | Exponentially-Weighted Test Case Prioritization Based on an Enhanced Graph Representation of Software
[ACM] 2026-6-9 | From Static Data to Dynamic Mobility: A Spatio-Temporal Method for Student Mobility Estimation
[IEEE] 2026-6-9 | Person-in-WiFi 3D: Unified Model for 3D WiFi Perception
