[2026-04-23 10:22:15] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-04-22
正在获取论文...
[arXiv] 2026-04-22 | From Scene to Object: Text-Guided Dual-Gaze Prediction
[ACM] 2026-4-23 | A Virtual Simulation and Intelligent Feedback System for Erhu Performance Teaching
[ACM] 2026-4-23 | AI-Powered Automated Feedback for ESL Writing: A Large-Scale Quality and Cost Analysis Toward SDG 4
[ACM] 2026-4-23 | Gesture Recognition for Human-Machine Interaction in Intelligent Cockpits Based on RGB-D Images
[ACM] 2026-4-23 | Research on Safety Behavior Recognition of Laboratory Personnel in Chemical Laboratories Based on YOLOv11
[ACM] 2026-4-23 | AI Adoption in Chinese Art Education: A Study Using the Technology Acceptance Model and Agglomerative Clustering
[ACM] 2026-4-23 | Reform of CAE Software Practical Courses Based on RAG Knowledge Bases
[ACM] 2026-4-23 | Determinants of Design Students' Continuance Intention for Online Education Platforms: An Integrated TAM-TPB Investigation
[IEEE] 2026-4-22 | IEEE Transactions on Smart Grid Information for Authors
[IEEE] 2026-4-22 | Pruned and Quantized Hybrid Models for Edge-Based Automatic Modulation Recognition
[IEEE] 2026-4-22 | Decoding kinematic parameters of the whole arm using spikes from area 2 of primary somatosensory cortex
[IEEE] 2026-4-22 | Analyzing and Characterizing the Split-Transformer LLC Converters
[IEEE] 2026-4-22 | Reparameterization-Driven Depthwise Separable Large-Kernel Network for Lightweight Salient Object Detection of Strip Steel Surface Defects
[IEEE] 2026-4-22 | A Hybrid Heuristic Spectral Efficient Chunk Allocation, Relay Selection, and Deep Learning-Empowered Energy-Efficient Power Control in Multi-user OFDMA-PNC
[IEEE] 2026-4-22 | IEEE Transactions on Dielectrics and Electrical Insulation Feb 2026 Table of Contents Reprint
[IEEE] 2026-4-22 | GOSPA and T-GOSPA quasi-metrics for evaluation of multi-object tracking algorithms
[IEEE] 2026-4-22 | LearningFlow: Automated Policy Learning Workflow for Urban Driving with Large Language Models
[IEEE] 2026-4-22 | Optimizing Incoming Quality Control with a Dynamic Set Covering Strategy for Zero-Defect Inspection
[IEEE] 2026-4-22 | Modulation-Agnostic Interference Cancellation Using Approximate Message Passing Driven by Empirical Bayes
[IEEE] 2026-4-22 | Compressed Sensing for Efficient Near-Field Scanning of Embedded Systems
[IEEE] 2026-4-22 | Impact of TSV Quantity Scaling on TDDB Reliability and Failure Mechanisms in TSV Interposers
[IEEE] 2026-4-22 | 2026 International Conference on AI x Data and Knowledge Engineering (AIxDKE)
[IEEE] 2026-4-22 | FairCLIP: Bridging Visual Diversity and Linguistic Representation for Equitable Image Synthesis
[ACM] 2026-4-23 | Dynamic Evaluation Model for Learning Outcomes in Business Industry-Education Integrated Courses Based on Bidirectional Long Short-Term Memory Networks and Transformer
[ACM] 2026-4-23 | The Impact of Digital Resource Inputs on Manufacturing Corporate Performance - The Moderating Role of Servitization Level and Technological Turbulence
[ACM] 2026-4-23 | The Impact of Artificial Intelligence Technology Usage on College Students' Academic Performance: A Computational Analysis with Structural Equation Modeling
[ACM] 2026-4-23 | Research on a Student Classroom Engagement Detection Model Based on Visual-Speech Cross-Modal Attention Mechanism
[ACM] 2026-4-23 | Construction and Empirical Research of Adaptive Learning System Empowered by Artificial Intelligence
[ACM] 2026-4-23 | Leveraging Optimized Dual-Algorithm Synergy (Adaptive DBSCAN and Enhanced Random Forest) for Analyzing Engineering Students' Time-Study Performance Linkage
[ACM] 2026-4-23 | Construction of College English Blended Learning Model in the Context of Artificial Intelligence
[ACM] 2026-4-22 | Introduction to the Special Issue on LLM Empowered Internet of Things Part 2
[IEEE] 2026-4-22 | Young Professionals: Learning to Learn: Reflections from ISDEIV 2025 and a Career in Science
[IEEE] 2026-4-22 | CF-LRDM: An Efficient Channel Fingerprint Construction Approach Assisted by Latent Residual-based Diffusion Model
[IEEE] 2026-4-22 | IGBT Open-Circuit Fault Detection and Localization Method for Cascaded H-Bridge Stage of Power Electronic Transformer
[IEEE] 2026-4-22 | Detecting Abnormal Vehicle Behavior with a Diffusion-Transformer Generation Framework
[IEEE] 2026-4-22 | An Explainable Multimodal Vision–Language Framework with Adaptive Mixture of Experts and Optimized Learning for Remote Sensing Image Captioning and Visual Question Answering
[IEEE] 2026-4-22 | NASchecker: Automatically Identifying the Performance, Security, and Privacy Issues of NAS Devices
[IEEE] 2026-4-22 | Collaborative Design of Conductor Plate and Switching Pattern for SiC Three-Level ANPC Inverter in PMSM Drives
[IEEE] 2026-4-22 | CaMT-iTire: Context-aware Multi-Task Learning for intelligent Tire Framework
[IEEE] 2026-4-22 | STPNet: A Dual-Channel Spatiotemporal Network for Reweighting-Based Smartphone Positioning in Complex Urban Environments
[IEEE] 2026-4-22 | Multi-Scale Residual Denoising Network for Robust InSAR Phase Reconstruction
[IEEE] 2026-4-22 | A Physics Parameter-Guided Metalearning Framework for Temperature Prediction of Double-Sided Double-Glass TopCon Photovoltaic Modules
[IEEE] 2026-4-22 | Towards adaptive optimal personalization control of robotic hip exoskeleton assistance for individuals with paretic stroke_supp2-3685273.mp4
[IEEE] 2026-4-22 | On the Study of Integrated Sensing and Communication: From an Information Timeliness Perspective
[IEEE] 2026-4-22 | Multipath Component Power Delay Profile Based Joint Range and Doppler Estimation for AFDM-ISAC Systems
[IEEE] 2026-4-22 | Entropy Injection in Fused Market Networks: HSBM–MDL Quantification of News-Driven Structural Reconfiguration
[IEEE] 2026-4-22 | Contrastive Learning for Terrain Identification of Earthworm-Like Robots with Limited Labeled Proprioceptive Data
[IEEE] 2026-4-22 | IRKAN: Wavelet-based Kolmogorov–Arnold Networks for Infrared Small Target Detection
[IEEE] 2026-4-22 | A High Gain and Fully Metallic Ku-Band Antenna Design based on High-Order Mode Method
[IEEE] 2026-4-22 | Sub-30 nm Silicon Nanopatterning: Toward Reduced Reflectance and Enhanced Sensitivity in CMOS Image Sensors
[IEEE] 2026-4-22 | High Gain Observer Based Simultaneous Identification of Stator Resistance and Rotor Speed for Sensorless Induction Motor Drives
[ACM] 2026-4-23 | PosePilot-GOM: A Web-based application for dexterity analysis of human movement
[ACM] 2026-4-23 | DVF-Generator: A Physics-Aware Conditional Generative Model for Respiratory Motion Synthesis in Liver SPECT
[ACM] 2026-4-23 | AI-Enabled Integration of Chang'an-Themed Tang Poetry into French Language Teaching: Path Model Construction and Competency Cultivation Effect Analysis
[ACM] 2026-4-23 | An Empirical Study on the Effectiveness Evaluation of AI-Assisted Teaching Based on a Novel Teaching Model
[ACM] 2026-4-23 | Exploring a Coherent Talent Development Model for Computer-Related Vocational Education under the Emerging Engineering Education Initiative
[ACM] 2026-4-23 | Mining and Optimization of Teaching Behavior Patterns in Physical Education Classes Based on GSEQ Technology
[ACM] 2026-4-23 | Research on Inverse Matrix Teaching Design Based on Case-Driven and Values-Integrated Education: An Empirical Analysis Using Machine Learning
[ACM] 2026-4-23 | Research on the Legalization Path and Global Governance of Intelligent Education Ethics
[ACM] 2026-4-23 | How roles emerging and distribution during the SSRL Process in AI supported collaborative learning?
[ACM] 2026-4-23 | Research on a bridge construction simulation teaching system based on virtual reality and artificial intelligence
[IEEE] 2026-4-22 | D2VAuth: Efficient Drone-to-Vehicle Authentication Using Blockchain and Hyperelliptic Curve Cryptography
[IEEE] 2026-4-22 | A Constant Current and Constant Voltage Hybrid Wireless Battery Charging With Dual Frequency Data Transfer System
[IEEE] 2026-4-22 | LEO Satellites Cooperative Channel Estimation for Space-MIMO OFDM Uplink
[IEEE] 2026-4-22 | Domain Dropout-driven Prototype Enhancement Network for Cross-Domain Few-Shot Hyperspectral Change Detection
[IEEE] 2026-4-22 | LMF-Net: Lightweight Multi-dimensional Feature Fusion Network for Floating Debris Detection on Water Surfaces
[IEEE] 2026-4-22 | Polarimetric Analysis and Dielectric Constant Retrieval of Lunar Regolith Using Mini-RF Compact-Pol SAR Data
[IEEE] 2026-4-22 | Cryogenic-Refined MOSFET Modeling for Oscillator, Frequency Divider, and Amplifier Designs Below 4 K
[IEEE] 2026-4-22 | Digital and Hybrid Precoding and RF Chain Selection Designs for Energy-Efficient Multi-User MIMO-OFDM ISAC Systems
[IEEE] 2026-4-22 | Enhancement and Regulation of Mono-Mode Bandwidth in a Slab Folded SIW
[IEEE] 2026-4-22 | Harnessing Vision-Language Pretrained Models with Temporal-Aware Adaptation for Referring Video Object Segmentation
[IEEE] 2026-4-22 | A Measurement-Calibrated Vegetation Propagation Model via Leaf-Wood Mesh Reconstruction and Ray Tracing Inversion
[IEEE] 2026-4-22 | A Multidimensional Assessment of Embodied Interaction in Large-Scale Full-Body Interactive Environments_supp1-3682920.pdf
[IEEE] 2026-4-22 | Characterizing Block Acknowledgment Window Reordering in Multi-Link Wi-Fi
[ACM] 2026-4-22 | A Policy-Based Conjunctive Scheme for Digital Forgetting of Co-Owned Data
[IEEE] 2026-4-22 | News from Japan: TEPCO Power Grid Builds Japan's First Extra-High-Voltage Digital Substation
[ACM] 2026-4-23 | IMU-Based Detection of Load Carriage for Ergonomic Risk Assessment
[ACM] 2026-4-23 | Laban Inspired Visual Effects Influence Perception and Movement
[ACM] 2026-4-23 | Moving Through Volume
[ACM] 2026-4-23 | A Framework for Human–AI Dance Creation
[ACM] 2026-4-23 | Dynamical 2D-DFA for movement analysis in obstetrics
[ACM] 2026-4-23 | Cross-Domain Data Mining on Learning Outcomes in Mazu-Inspired Sports Events: Marathons and Blessing Runs
[ACM] 2026-4-23 | Student Entrepreneurial Intention Prediction: A Machine Learning-Based Entrepreneurial Mindset Dimension Analysis Method
[ACM] 2026-4-23 | Student classroom behavior detection method based on SCB-DETR
[ACM] 2026-4-23 | A Data-Driven Decision Support System for Vocational Education Based on Improved K-means Clustering and Random Forest Prediction
[ACM] 2026-4-23 | Practical Pathways and Insights of Generative AI Empowering University Teaching:A Text Mining Study Based on LDA Topic Modeling and Content Analysis
[ACM] 2026-4-23 | Practice of Laboratory Extracurricular Open Management Based on Mobile Internet Technology
[ACM] 2026-4-23 | Research on the Interactive Design of an Emotional Language-Learning APP for Deaf and Hard-of-Hearing Children Based on Dynamic Visual Feedback
[ACM] 2026-4-23 | Research on AI-Enhanced Training for Engineers in the Industrial Vision Field
[IEEE] 2026-4-22 | PACA: 3D Physical Adversarial Camouflage for Aircraft in Remote Sensing under Multi-View and Varying Weather Conditions
[IEEE] 2026-4-22 | IEEE Standard for Geometry Point Cloud Compression
[IEEE] 2026-4-22 | Bio-Inspired Flower Robot for Emotional Human-Robot Interaction
[IEEE] 2026-4-22 | FI-StackNet: An Optimized Feature-Interaction Stacking Network for Advanced Fraud Detection
[ACM] 2026-4-23 | Generative AI–Driven Development and Evaluation of Teaching Resources: Building a Resource Repository for the Course Intercultural Communication
[ACM] 2026-4-23 | Research on the Application of Web Front-End Technologies in Sight-Singing and Ear Training Software
[ACM] 2026-4-23 | Construction of Students 'Professional ability Growth Graph Based on multimodal Data Fusion
[IEEE] 2026-4-22 | A Control Architecture for Energy Management and Battery Integration in a Stand-Alone Heaving Wave Energy Converter
[IEEE] 2026-4-22 | Planar Transformer with Integrated Direct Liquid Cooling
[IEEE] 2026-4-22 | DHCNet: Dynamic Hierarchical Collaborative Learning for Change Detection in High-Resolution Remote Sensing Images
[IEEE] 2026-4-22 | A New NB-LDPC Code Construction Method with Arbitrary Generalized Girth
[IEEE] 2026-4-22 | Spectral and Energy Efficiency Tradeoff for Pinching-Antenna Systems
[IEEE] 2026-4-22 | Hybrid Filters for High-Current Power Supplies Using Deadbeat and Repetitive Control
[IEEE] 2026-4-22 | An Improved Swin Transformer-Based Method for Electric Spark Detection in Distribution Network Lines
[IEEE] 2026-4-22 | BO-CLAHE-Based Contrast Optimization for Tuberculosis Classification Using EfficientNet Variants and Their Ensembles
[IEEE] 2026-4-22 | Erratum to “magnetodynamic H-$\phi$ Formulation for Improving the Convergence and Speed of Numerical Simulations of Superconducting Materials”
[IEEE] 2026-4-22 | Autoregressive Stochastic Clock Jitter Compensation in Analog-to-Digital Converters
[IEEE] 2026-4-22 | LSPC-LA: Local Structure Preserving Clustering with Learnable Anchors
[ACM] 2026-4-23 | Blow based collaboration in a digital art virtual environment
[ACM] 2026-4-23 | Construction of Teachers' AI Competence Framework — A New Dimension of Empowerment in Mental Health Education
[ACM] 2026-4-23 | A Digital Intelligence-Empowered Framework for Fundamental Information Systems Courses
[ACM] 2026-4-23 | An Intelligent Visualization Framework for Enhancing Data-Driven Creativity in Urban and Rural Planning Education
[ACM] 2026-4-23 | HMA: A Hierarchical Multi-Agent System for Document Question Answering
[ACM] 2026-4-23 | MAFR-Net: A Multimodal Multi-scale Attention Fusion Network for College Student Micro-expression Recognition in Smart Education
[ACM] 2026-4-23 | Research on the design method of Yangliuqing woodblock print production technology based on artificial intelligence diffusion modeling
[ACM] 2026-4-23 | Data-Driven and Intelligent Estimation of Aircraft Aerodynamic Parameters via a Transformer-BiLSTM Network
[IEEE] 2026-4-22 | Power Consumption and Energy Efficiency of Mid-Band XL-MIMO: Modeling, Scaling Laws, and Performance Insights
[IEEE] 2026-4-22 | Learning Physics-Aware Sensorimotor Model With Visual–Tactile Sensing for DLO Manipulation_supp2-3678745.pdf
[IEEE] 2026-4-22 | Retrieval of Ocean Surface and Atmospheric Parameters from K- and Ka-Band Data Using a Physics-Informed Coupled Neural Network
[IEEE] 2026-4-22 | Reconfigurable Series-Resonant ANPC-DAB Converter With Wide Voltage-Conversion Ratio
[IEEE] 2026-4-22 | An All-Fiber MMI Based Transmitter Head for Performance Improvement over Turbulent FSO-FC Channels
[IEEE] 2026-4-22 | DSSM: Dynamic Streaming Pipeline with Spatiotemporal Model toward Remote Sensing Object Detection
[IEEE] 2026-4-22 | A Wearable Shoulder Skin-Deformation Device Generating Illusory Forces for Posture Correction
[IEEE] 2026-4-22 | Embedded Artificial Intelligence for Predictive Maintenance of Jet Engines A Hardware-Aware Deployment on FPGA-Based Edge Platforms
[IEEE] 2026-4-22 | Seamless Bridging Between Secret Shares and HE Ciphertexts for IoT Data Processing
[IEEE] 2026-4-22 | ObliviGate: Towards Architecture-Oblivious Privacy-Preserving Inference for Malicious Security
[IEEE] 2026-4-22 | Polarization-Aware DoA Detection Relying on a Single Rydberg Atomic Receiver
[IEEE] 2026-4-22 | Linear Program Witness for Network Nonlocality in Arbitrary Networks
[IEEE] 2026-4-22 | An Adaptive interval-constrained Tucker Decomposi-tion for Efficient Multilevel Fast Multipole Algorithm
[IEEE] 2026-4-22 | When Steganography Meets Semantic Communication: An Authorizable Data Transmission Paradigm
[IEEE] 2026-4-22 | Multi-illumination Nail Analysis with Uncertainty-Aware Deep Learning: A Comprehensive Approach to Automated Fungal Detection
[IEEE] 2026-4-22 | Using Dynamic Safety Margins as Control Barrier Functions
[IEEE] 2026-4-22 | Genetic Optimization of ±800 kV GIL Spacers for Metal Particle Expulsion
[IEEE] 2026-4-22 | A 32-Gb/s Continuous Time Linear Equalizer With Programmable Active Inductors Technique for Wide Channel Loss Compensation
[ACM] 2026-4-23 | Research on Optimizing Ideological and Political Classroom Teaching Processes Based on Data Mining
[ACM] 2026-4-23 | An Empirical Investigation of Factors Affecting Subscription to Udemy Accounting Courses Using XGBoost and Sobol Sensitivity Analysis
[ACM] 2026-4-23 | Research on Automation of Scaled User Management and Teaching Resource Scheduling for Online Education Platforms
[ACM] 2026-4-23 | Public Safety Science Education for College Students in the Era of Artificial Intelli-gence: Operational Mechanisms, Innovative Practices and Reform Directions
[ACM] 2026-4-23 | Proceedings of the 2025 4th International Conference on Artificial Intelligence and Education
[ACM] 2026-4-23 | When Bodies Resonate in Sound: Sonifying Interpersonal Movement Dynamics in Dance
[ACM] 2026-4-23 | Practical Application of Blended Learning in English Translation Instruction
[ACM] 2026-4-23 | Deep Learning-Driven Personalized Dance Therapy Plan Generation System Research
[ACM] 2026-4-23 | A Study on the Path of AI Empowering College Curriculum Teaching Based on PCA and K-means Clustering
[ACM] 2026-4-23 | Factor-Graph-Based Contact Force Pre-integration Estimation for Humanoid Robots
[ACM] 2026-4-23 | Towards a CDIO Teaching Model for Software Testing Courses under the Bidirectional Empowerment of Artificial Intelligence
[ACM] 2026-4-22 | Course Allocation with Credits via Stable Matching
[IEEE] 2026-4-22 | Optimized Triple Phase Shift Variable Frequency Modulation for Single Stage SR-DAB based DC-AC Converters with Wide ZVS Range Operation
[IEEE] 2026-4-22 | Prioritizing Feature Requests from App Reviews in Agile Mobile Software Development: A Mixed-Methods Empirical Study of Practitioners’ Perspectives
[IEEE] 2026-4-22 | DistShield: Distribution Preserving Model Obfuscation for Real-Time TEE-Shielded Secure Inference on IoT devices
[IEEE] 2026-4-22 | Prompt-Free Efficient Adaptation of Segment Anything Model for Remote Sensing Landslide Detection
[IEEE] 2026-4-22 | HITE: A Hierarchical Intrinsically Interpretable Trust Evaluation Framework for Industrial IoT
[IEEE] 2026-4-22 | LPM-Aug: Latent Pathology-Informed Multimodal Augmentation for Generalized Cognitive Decline Detection Via Speech
[IEEE] 2026-4-22 | Multi-Carrier Modulation: An Evolution from Time-Frequency Domain to Delay-Doppler Domain
[ACM] 2026-4-23 | Interactive Machine Learning can recognise complex movements but does it make us happy?
[ACM] 2026-4-23 | Beyond Deterministic Mappings: Audiovisual Correspondence in Movement-Controlled Generative Music
[ACM] 2026-4-23 | Moving Contexts: How Culture, Context, and Movement Histories Shape Whole-Body Interaction in Aesthetic Environments
[ACM] 2026-4-23 | Teams of Sport Science and Computer Engineering Students Learning Together
[ACM] 2026-4-23 | Research on the English Teaching Evaluation Algorithm Based on Data Mining Technology
[ACM] 2026-4-23 | AI-Enhanced Digital Logic Teaching: A Case Study of Large Model-Assisted Practice Courses
[ACM] 2026-4-23 | Research on Risk Level Prediction and Analysis of Enterprise Security Hidden Dangers Based on Machine Learning
[ACM] 2026-4-23 | A Study of Factors Influencing College Students' Online Cramming for Finals: An Emerging Norm in the IT-Enabled Learning Context with Random Forest Analysis
[ACM] 2026-4-23 | AI-Empowered Innovation and Entrepreneurship Education in Universities: A Development Path and Ecosystem Framework
[ACM] 2026-4-23 | Knowledge Graph-Enabled Digital and Intelligent Construction of Electromagnetic Field and Microwave Courses
[ACM] 2026-4-23 | Evaluation and Feedback of Generative AI in College English Writing Teaching
[ACM] 2026-4-23 | Design and Implementation of a Digital Opera Teaching Platform Based on Virtual Reality Technology
[ACM] 2026-4-23 | Artificial Intelligence Empowering College Counselors in Precision Education: Logical Framework and Practical Approach
[ACM] 2026-4-23 | LEGEND: An LLM-Driven Soft-Constraint Adaptive Heuristic Search Framework
[IEEE] 2026-4-22 | A Synchronization Solution for Bi-static ISAC under NLOS with Rich Multipaths
[IEEE] 2026-4-22 | Magnetically Actuated Composite Vocal Fold Phantom for CT/TA Muscle Mimicry
[IEEE] 2026-4-22 | MIMO Extension of ATSC 3.0: System Design
[IEEE] 2026-4-22 | A GPU-enabled multi-frame reconstruction for 3D electrical tomography using Tensor cores
[IEEE] 2026-4-22 | An Adaptive Inverse-Free Robust DZNN for Solving Future Linear Equation and Inequality Systems With Manipulator Application
[IEEE] 2026-4-22 | Language-Guided Adaptive Spatial-Frequency-Aware Network for Remote Sensing Change Detection
[IEEE] 2026-4-22 | Egocentric Online Action Segmentation via Evidential Temporal Contextualization
[IEEE] 2026-4-22 | Eight-Switch Nine-Level Common-ground Inverter with Four-fold Voltage Gain for PV Systems
[ACM] 2026-4-23 | ChatGPT as an Intelligent Scaffolding Tool in Project-Based Learning for Junior Secondary EFL Students
[ACM] 2026-4-23 | A Comparative Study of Translating Cultural Classics in the Age of Large Language Models: A Case Study of Shan Hai Jing
[ACM] 2026-4-23 | Generation of Adaptive Resources for Hierarchical Progressive Teaching Scenarios in Ideological and Political Resource Library via Generative AI
[ACM] 2026-4-23 | An Empirical Study on Policy Attitudes Toward Generative Artificial Intelligence in Teaching Assessment at Asian Universities Based on the Random Forest Algorithm
[ACM] 2026-4-23 | An Analysis of the Mediating Role of Narrative Teaching Based on Machine Learning—A Case Study of College Students' Learning Emotions Driving Learning Effects
[ACM] 2026-4-23 | Research on the Teaching Mode of Dynamically Constructing an Introduction to Foreign-Related Policing Case Library with Generative AI
[ACM] 2026-4-23 | Deep Semantic Representation Learning of Translator Subjectivity in Cross-Lingual Children's Narratives
[IEEE] 2026-4-22 | A Compact Hybrid-Ring Circuit With Signal-Routing for Simultaneous 0° and 180° Phase-Difference Outputs
[ACM] 2026-4-23 | Studying Embodied Expression in Drumming for Virtual Systems
[ACM] 2026-4-22 | Human-Centric and Socio-Technical Design Support for Cyber-Physical Systems: A Systematic Investigation
[IEEE] 2026-4-22 | Impact of Modular Non-Metallic Cryostats in the Performance of Superconducting AC Windings
[IEEE] 2026-4-22 | Non-contact Respiratory Measurement of Wombats Using Millimeter-Wave Radar
[IEEE] 2026-4-22 | Photocurable Polysiloxane-Based Microfluidic Chip for Convenient Sample Partitioning and Digital Nucleic Acid Assay_supp3-3682335.mp4
[IEEE] 2026-4-22 | Relevance-Guided Audio Visual Fusion for Video Saliency Prediction
[IEEE] 2026-4-22 | Mitigating Temporal Domain Disparities for Cross-Temporal Remote Sensing Semantic Change Detection Using Vector Parcel Data and Contrastive Learning
[IEEE] 2026-4-22 | IEEE Standard for Local and Metropolitan Area Networks--Frame Replication and Elimination for Reliability Corrigendum 1: Technical and Editorial Corrections
[IEEE] 2026-4-22 | Self-ensemble Learning Based on Energy Attention and Dual Branch Guidance for Hyperspectral Image Classification
[IEEE] 2026-4-22 | Domain-Adapted SAM Meets Unsupervised Learning: A Novel Solution for Farmland Change Detection in High-Resolution Imagery
[IEEE] 2026-4-22 | Uncertainty Quantification in Detection Transformers: Object-Level Calibration and Image-Level Reliability
[IEEE] 2026-4-22 | Meetings Calendar
[IEEE] 2026-4-22 | Active Cross-Task Knowledge Transfer Learning Framework for Semi-supervised Joint 3D Grounding and Captioning
[IEEE] 2026-4-22 | Computing Node Failure Prediction Based on Continuous-Time Dynamic Graph
[IEEE] 2026-4-22 | Age-of-Information Aware Mobility-Based Vehicular-Fog Formation Using Deep Reinforcement Learning
[IEEE] 2026-4-22 | Consistency-Aware Local Path Planning for Maritime Autonomous Surface Ships Under Perception Uncertainty: A Field-Validated Framework_supp2-3677261.mp4
[IEEE] 2026-4-22 | Consistency-Aware Local Path Planning for Maritime Autonomous Surface Ships Under Perception Uncertainty: A Field-Validated Framework_supp1-3677261.mp4
[IEEE] 2026-4-22 | Decoupled Heuristic Multi-Vehicle Emergency Trajectory Planning for Sudden Obstacles
[IEEE] 2026-4-22 | A Gradual-Steepness Recurrent Neural Network for Rust Removal Motion Planning of Multiple Mobile Manipulators on Curved Surfaces
[IEEE] 2026-4-22 | Fusing Interval Type-2 Fuzzy Logic with Bidirectional RNNs for Uncertainty-Aware Time Series Forecasting
[IEEE] 2026-4-22 | Surface Electric Field Distribution Characteristics of Stator Slots in High-Voltage Generators
[IEEE] 2026-4-22 | Revisiting Linear Distinguishing Attacks on SNOW 2.0 Stream Cipher
[IEEE] 2026-4-22 | Explainable Adaptive Path Reconfiguration for Obstacle Avoidance in UAV Networks Using Transformer-based Predictive Modeling and Bio-Inspired Optimization
[ACM] 2026-4-23 | Exploration of Blended Teaching Mode for the “Financial Statement Analysis” Course in Application-Oriented Undergraduate Universities
[ACM] 2026-4-23 | A Machine Learning-Based Study on Predicting University Students' Mental Health Status: An Analysis of Survey Data from 12 Institutions in Hubei Province
[ACM] 2026-4-23 | Enhancing Frontend Learning Efficiency by Building a Personalized Knowledge Graph with AI and Large Language Models
[ACM] 2026-4-23 | Research on terrain classification method of quadruped robot based on deep learning and SVM
[ACM] 2026-4-23 | Design and Teaching Application Research of a Python-Based Accounting Simulation Training System for Higher Education Institutions
[ACM] 2026-4-23 | Research on optimization of personalized legal course learning path for medical students based on recommendation algorithm
[IEEE] 2026-4-22 | Robust Hybrid Beamforming for Wideband mmWave MIMO ISAC With Hardware Impairments
[ACM] 2026-4-23 | Optimization of LightGBM via Bayesian Optimization for Small Sample Educational Forecasting
[ACM] 2026-4-23 | SensualMap 2.0 Meets The Source
[ACM] 2026-4-23 | Mixed Method Audio-Video Analyses of Felt Togetherness in a Networked Music-Dance Performance
[ACM] 2026-4-23 | Designing Generative AI for Real-Time Multi-User Interaction in Co-Creative Dance
[ACM] 2026-4-23 | Automatic and perceptual assessment of motion coordination in dyadic dance
[IEEE] 2026-4-22 | Design of a High-Contrast Cogging Torque Outer Rotor PM Machine with Continuous Adjustability for Integrated Robot Joint Drive
[IEEE] 2026-4-22 | Performance Enhancement of Drowning Detection Using Synthetic Data
[IEEE] 2026-4-22 | A Transformer-Enhanced Hybrid Physics-Informed Neural Network for Aircraft Aerodynamic Parameter Identification
[IEEE] 2026-4-22 | Dual-Population Cooperative Algorithm Integrating an LLM and an Evolutionary Algorithm for AUV Path Planning in Three-Dimensional Marine Environments
[IEEE] 2026-4-22 | Photocurable Polysiloxane-Based Microfluidic Chip for Convenient Sample Partitioning and Digital Nucleic Acid Assay_supp2-3682335.mp4
[IEEE] 2026-4-22 | IEEE Electrical Insulation Magazine May/June 2026 Back Cover
[IEEE] 2026-4-22 | A Novel DFT-Based Flexible RSMA Scheme for 6G Networks
[IEEE] 2026-4-22 | A Dynamic Frequency Selection Module for Geometry-Aware Building Extraction in VHR Remote Sensing Image
[IEEE] 2026-4-22 | A Multi-Axis Convolution Network for Small and High-Aspect-Ratio Object Detection in Remote Sensing
[IEEE] 2026-4-22 | Receding Horizon Optimization for Network-Balanced Placement of Multiple Stratospheric Airships in Dynamic Environments
[IEEE] 2026-4-22 | An Efficient Motion Parameters Estimation Method for Ground Maneuvering Targets in Wide-Swath MIMO-SAR
[IEEE] 2026-4-22 | Digital Twin Framework for Interpretable Aero-Engine RUL Prediction via Multi-Branch LSTM and Unity Visualization
[IEEE] 2026-4-22 | IEEE Transactions on Information Theory Information for Authors
[ACM] 2026-4-23 | Construction and Evaluation of Industry-Academia Integration Colleges in Equipment Manufacturing Using PCA, K-means Clustering, and Random Forest
[ACM] 2026-4-23 | An Approach of Chinese Braille Character Recognition Based on ResNet
[ACM] 2026-4-23 | Construction and Application of a Personalized Interactive Teaching Network Platform for Ideological and Political Courses
[ACM] 2026-4-23 | Enabling Basic Pathology Experiment Teaching with Artificial Intelligence -- Thoughts and Practices
[ACM] 2026-4-23 | Research on Establishing a Digital Conservation System for Architectural cultural heritage Using AI Agents on the “Coze” Platform
[ACM] 2026-4-23 | Comparative Analysis of Readability in Intermediate-Level Chinese Reading Texts Generated by Large Language Models
[ACM] 2026-4-23 | Research on Learning Behavior Prediction and Personalized Teaching in Smart Education Based on Big Data Analysis
[ACM] 2026-4-23 | The Formation Pathways of AI Anxiety from a Resource Conservation Theory Perspective: The Mediating Role of Self-Depletion and Machine Learning Validation
[ACM] 2026-4-23 | Generative AI Empowering Ideological and Political Education: Logical Mechanisms, Practical Challenges, and Implementation Approaches
[ACM] 2026-4-23 | News Classification and Sentiment Analysis Based on Natural Language Processing
[ACM] 2026-4-23 | Long-tail Relation Recognition in Knowledge Base Question Answering with Dual Learning
[ACM] 2026-4-23 | Research on the Digital-Intelligent Construction of Digital Communication Teaching Based on the EduCoder Platform
[ACM] 2026-4-23 | Slow Mood Aesthetic Resonance and Embodied Interaction: Design Principles for Art-Aided Rehabilitation
[ACM] 2026-4-23 | Deep Learning for Physical Load Estimation: Insights from ViLoad Video Dataset
[IEEE] 2026-4-22 | MFAD: A Multimodal Feature Fusion-Enhanced Time Series Anomaly Detection Framework in Industrial Cyber-Physical Systems
[IEEE] 2026-4-22 | A Selective Reprocessing Mechanism to Achieve End-to-End Data Consistency in Streaming Systems
[IEEE] 2026-4-22 | Reciprocity-Based Sensing for Bistatic ISAC
[ACM] 2026-4-23 | Mask Work and Performance Techniques for VR Embodiment
