[2026-09-24 23:37:03] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-23
正在获取论文...
[arXiv] 2026-09-23 | Bergman barycentric extensions of boundary homeomorphisms of the complex ball
[arXiv] 2026-09-23 | Fate of average symmetry-protected topological states under symmetry-preserving quantum operations
[arXiv] 2026-09-23 | An Operational Leakage Metric for Eavesdropping in Joint Sensing and Communications Systems
[arXiv] 2026-09-23 | NavProbe: Evidence-Grounded Reasoning with Active Memory Retrieval for Zero-Shot Navigation
[arXiv] 2026-09-23 | M3D-Net: Hierarchical Coordination of Spatial Context, Feature Reuse, and Differential Attention for Mammography Classification
[arXiv] 2026-09-23 | kicad-pycbnew: A Python Framework for Automated, High-Precision PCB Design in Particle Detector Instrumentation
[arXiv] 2026-09-23 | Not What You Meant: Can LLMs Follow a Specified Negation Semantics?
[arXiv] 2026-09-23 | Functional Causal Discovery via Conditional Covariance Ordering
[arXiv] 2026-09-23 | Mesoscopic redundancy for dynamical frames generated by atomic singular model operators
[arXiv] 2026-09-23 | Bounded joins of biclosed sets
[arXiv] 2026-09-23 | From Variational Optimization to Flow-Based Transport: Posterior-Geometry Regularization for Ill-Conditioned Data Assimilation
[arXiv] 2026-09-23 | On the Sample Complexity of Active Learning with Membership Queries
[arXiv] 2026-09-23 | Deep Generative Markov State Models with Experimental Restraints
[arXiv] 2026-09-23 | Discover, Falsify, Revise: Auditing Input-Use Claims from Source Code to Predictive Contribution in Agent-Discovered Cell Models
[arXiv] 2026-09-23 | A Scaling Study for fMRI Foundation Models
[arXiv] 2026-09-23 | Measurement of Nanoscale Surface Disturbances on Liquid Jets Using the Mie Scattering Method
[arXiv] 2026-09-23 | Surgical Kinematics from Monocular Video with Learned Articulated Motion Constraints
[arXiv] 2026-09-23 | KATOsuper: Surrogate-accelerated neural topology optimization with sensitivity-consistent Fourier neural operators
[arXiv] 2026-09-23 | High-power visible laser via injection locking to a photonic integrated circuit optical parametric oscillator
[arXiv] 2026-09-23 | Definability and undecidability via the torsion subgroup of units
[arXiv] 2026-09-23 | Scalable Subgraph Sampling via Resistance Curvature
[arXiv] 2026-09-23 | Cosets with constant characteristic polynomial
[arXiv] 2026-09-23 | Enhancing Small Language Models for Power Outage Report Generation via Minimum Risk Training
[arXiv] 2026-09-23 | Phantom categories on 3-vertex directed DG quivers
[arXiv] 2026-09-23 | Do Audio Representations Compose Additively?
[arXiv] 2026-09-23 | Model Specification Test for Stationary Functional Time Series
[arXiv] 2026-09-23 | An exposition of the proof of the Komlós conjecture
[arXiv] 2026-09-23 | GCN-Based Model for Fault Classification in Distribution Networks under Harmonic Distortion
[arXiv] 2026-09-23 | Conformalized Kalman Filters for State Estimation with Trustworthy Confidence Regions
[arXiv] 2026-09-23 | Spurious spin nutation modes arising from truncated memory effects
[arXiv] 2026-09-23 | On the structure of stable constant anisotropic mean curvature hypersurfaces
[arXiv] 2026-09-23 | Kelvin-Helmholtz vortices in the Martian +E hemisphere downstream of crustal magnetic anomalies
[arXiv] 2026-09-23 | Dynamical gluon effects in proton transversity and off-forward parton distributions from a light-front Hamiltonian approach
[arXiv] 2026-09-23 | Invisible in Space, Visible in Time: Motion Vision CAPTCHA against GUI Agents
[arXiv] 2026-09-23 | Precision and resource scaling of real-time flux distortion compensation for superconducting quantum control
[arXiv] 2026-09-23 | ALP photo-production in the parton and hadron cascade model PACIAE
[arXiv] 2026-09-23 | A 75-mL intrinsically stable atom-filtered laser enabling deployable quantum devices
[arXiv] 2026-09-23 | Counterfactual Constraint-Conditioned On-Policy Distillation for Multi-Constraint Instruction Following
[arXiv] 2026-09-23 | S2A:Semantic-to-Spatial Alignment for Alignment-Free RGB-T Salient Object Detection
[arXiv] 2026-09-23 | Antiblockade Quantum Batteries
[arXiv] 2026-09-23 | Physics-guided inverse design of Co-based superalloys using machine learning and multi-objective optimization for enhanced $γ'$ solvus temperature
[arXiv] 2026-09-23 | When Parallel Drafter Meets Parallel Speculative Decoding
[arXiv] 2026-09-23 | Psychoacoustically Aligned Latent Smoothing for Adversarial Robustness of Full-Duplex Speech-to-Speech Dialogue Models
[arXiv] 2026-09-23 | Orbits in stability manifolds and categorical entropy: applications to varieties with finite Albanese morphisms
[arXiv] 2026-09-23 | Neither Silence nor Overlap Is Failure: Intent-Conditioned Evaluation of Turn-Taking in Full-Duplex Spoken Dialogue Models
[arXiv] 2026-09-23 | Spectral-NFP: Certified Low-Rank Curvature Majorization for Accelerating WMMSE
[arXiv] 2026-09-23 | SAGEGAN: Style-Based Anomaly Detection with Gaussian Embeddings using Generative Adversarial Networks
[arXiv] 2026-09-23 | Dynamic Sensor Pairing for TDOA-Based Target Tracking via mixed-integer Second-Order Cone Programming
[arXiv] 2026-09-23 | Parallel Multi-Fidelity Expected Improvement Method for Efficient Global Optimization
[arXiv] 2026-09-23 | Dimensions of permanental varieties in arbitrary size
[arXiv] 2026-09-23 | Minimal representations of topology-preserving quantum-like states
[arXiv] 2026-09-23 | Breaking Weather-Content Coupling: Type-Severity Guided Progressive Disentanglement for All-in-One Infrared Restoration
[arXiv] 2026-09-23 | CoRe-WAM: Correspondence-Aligned Temporal Residuals for World Action Models
[arXiv] 2026-09-23 | Lengths of Hodge characters in Fermat varieties
[arXiv] 2026-09-23 | StateComp: Learning When to Compress History in Long Horizon Agents
[arXiv] 2026-09-23 | PotARCin: Multi-Dimensional Evaluation of Skill Acquisition in Abstract Reasoning Tasks
[arXiv] 2026-09-23 | SR-Fraud: An Outcome-Supervised Reflective LLM Agent Framework for Non-Stationary Payment Fraud Detection
[arXiv] 2026-09-23 | Hunyuan-A13B Technical Report
[arXiv] 2026-09-23 | A multi-telescope fit to the FRB population, allowing for FRB repetition
[arXiv] 2026-09-23 | Rigid and obstructed tangent bundles on Calabi--Yau threefolds
[arXiv] 2026-09-23 | Long-time behavior of McKean--Vlasov stochastic systems with singular coefficients
[arXiv] 2026-09-23 | Active control of THz plasmon propagation in a one-dimensional electronic waveguide
[arXiv] 2026-09-23 | Geometries of Quantum Field Theories
[arXiv] 2026-09-23 | GUIAuditor: Enabling Post-hoc Child Safety Forensics via Action-Guided GUI Provenance on Mobile Devices
[arXiv] 2026-09-23 | Study of the properties of sustainable materials for shielding against ionizing radiations
[arXiv] 2026-09-23 | Capacity Analysis and Joint Gaussian Beam Pattern Optimization for Positioning-Assisted Communications
[arXiv] 2026-09-23 | A Reverse War of Attrition
[arXiv] 2026-09-23 | Interplay between decoupling and non-decoupling effective field theories in electroweak phase transitions
[arXiv] 2026-09-23 | Depth-Guided Contrastive Learning for 2D Representations with 3D Spatial Awareness
[arXiv] 2026-09-23 | Biorthogonality of Guided Modes in Non-Hermitian Electromagnetism
[arXiv] 2026-09-23 | RL Starts before RL: On Policy Distillation for Better Reinforcement Learning
[arXiv] 2026-09-23 | Sharp Bounds for Kulli-Basava Indices of Graphs
[arXiv] 2026-09-23 | Sub-Doppler cooling of trapped ions using optical tweezers
[arXiv] 2026-09-23 | Bifurcation and Multistability in a Collective-Risk Public Goods Game with Quorum-Activated Protection
[arXiv] 2026-09-23 | Position-dependent friction in protein folding from a GLE derived with a non-stationary localized projection distribution
[arXiv] 2026-09-23 | Field-of-View Extension in Dental Cone-Beam CT via Implicit Neural Representations and Diffusion Model-Based Refinement
[arXiv] 2026-09-23 | Diagnosing the Refuted Mismatched Decoding Converse for Binary-Input Channels
[arXiv] 2026-09-23 | Fed-ReMasker: Federated Tabular Imputation under Feature-Level Missingness
[arXiv] 2026-09-23 | Biplanar graphs with independence number two are 9-colorable
[arXiv] 2026-09-23 | Visual Tripwires: Anticipating Failure in Deep Vision Systems
[arXiv] 2026-09-23 | Weighted bilinear identities and supercongruences for Apéry-like polynomials
[arXiv] 2026-09-23 | Achieving 5-angstrom-resolution diffraction contrast with an uncorrected electron probe and nanosized defect characterizations
[arXiv] 2026-09-23 | Curriculum Learning with GNN-based Reinforcement Learning for Job Shop Scheduling
[arXiv] 2026-09-23 | An Exact Algorithm for the Max-Min Covering Location Blocker Problem
[arXiv] 2026-09-23 | Exact Average Consensus under Noisy Communication Links: A Decentralized Gradient Perspective
[arXiv] 2026-09-23 | Recursive Uncertainty-Gated Image Registration for Learning-based Algorithms
[arXiv] 2026-09-23 | First X-ray detection of symbiotic nova CN Cha with eROSITA/SRG
[arXiv] 2026-09-23 | Spectral Asymptotics of a Singular Harmonic Oscillator with Aharonov--Bohm Flux
[arXiv] 2026-09-23 | A General Upper Bound on Multicolor Ordered Ramsey Numbers
[arXiv] 2026-09-23 | Mean-$p_T$ fluctuations in Au+Au collisions at $\sqrt{s_{\rm NN}}=3.0$--$19.6$ GeV within JAM2
[arXiv] 2026-09-23 | Strangeness Production in Heavy-Ion Collisions: Color Ropes or Hydrodynamic Evolution?
[arXiv] 2026-09-23 | A Native-Reference Coordinate Geometry for L2 Pronunciation Deviation Using Self-Supervised Speech Models
[arXiv] 2026-09-23 | Abelian maximal pattern complexity and extremal words
[arXiv] 2026-09-23 | Quantum Advantage in Topological Data Analysis via Mayer Homology
[arXiv] 2026-09-23 | The planar Calderón problem for $L^p$ potentials
[arXiv] 2026-09-23 | Enhanced track reconstruction at the HL-LHC
[arXiv] 2026-09-23 | How Much Were You Told? Measuring External Information in Peer Reviews
[arXiv] 2026-09-23 | Substantive Agency and Computational Non-Anticipability: An Axiomatic Route to a Conditional Separation of P and N P
[arXiv] 2026-09-23 | Relational background field formulation of discrete quantum gravity models: The case of $O(N)$ vector models in zero dimensions
[arXiv] 2026-09-23 | Global bifurcation of water-wave fronts generated by surface pressure
[arXiv] 2026-09-23 | Contrastive Learning for Authorship Verification
[arXiv] 2026-09-23 | Market Completeness and Optional Projections under Restricted Information
[arXiv] 2026-09-23 | Detecting Structural Changes in High-Dimensional Multivariate Regression Models
[arXiv] 2026-09-23 | Purely-logarithmic-time- and constant-space-overhead fault-tolerant quantum computation
[arXiv] 2026-09-23 | Even Sharper Bounds for Transductive Learning and Its Applications
[arXiv] 2026-09-23 | Global well-posedness and scattering for mass-critical Hartree equation
[arXiv] 2026-09-23 | Altermagnetism and generalised tensorial properties in the exchange multiplet framework
[arXiv] 2026-09-23 | Can LLMs Reason About Runtime Behavior? A Repository-Level Dynamic Benchmark
[arXiv] 2026-09-23 | HaRP: High Dynamic Range Photosequencing through Dual Reversed Shutter Scanning
[arXiv] 2026-09-23 | MultiVENT-Raw: A Benchmark for Retrieval and Reasoning over Raw Videos
[arXiv] 2026-09-23 | Transfer Dynamics and Spectral Cascades in Graph-Coupled Kuramoto Networks
[arXiv] 2026-09-23 | Cross-Scale Transfer Learning for Depression Severity Prediction: From PHQ-8 to HAMD-17 Across Languages and Clinical Paradigms
[arXiv] 2026-09-23 | Context-Continuous Preference Learning for Exoskeleton Personalization
[arXiv] 2026-09-23 | Shape matters: DEM investigation of geometry-controlled mechanical response in irregular rock fragments under static and dynamic loading
[arXiv] 2026-09-23 | Fermionic cosmic strings in dynamical Chern-Simons gravity
[arXiv] 2026-09-23 | Intrinsic anomalous Hall effect in the surface conduction regime of non-magnetic narrow-gap insulator FeSi
[arXiv] 2026-09-23 | Learning Collective Dynamics with Differentiable Gaussian Representations
[arXiv] 2026-09-23 | Empirical Analysis of Near-Field Beam Shaping for Blockage Events
[arXiv] 2026-09-23 | OranSim: Simulating Social Media Marketing
[arXiv] 2026-09-23 | Image Compression Using Quantum Wavelet Transform and Quantum Convolutional Networks
[arXiv] 2026-09-23 | Beyond a Scalar: Distributional Serving Interfaces for Watch-Time Prediction
[arXiv] 2026-09-23 | ForgetMimic: Motion Unlearning for Reinforcement Learning Humanoid Control
[arXiv] 2026-09-23 | Amplify: A Lightweight Library for Reproducible Nonlinear Programming Problems in Robotics
[arXiv] 2026-09-23 | Field independence of the first seven Betti numbers of flag complexes
[arXiv] 2026-09-23 | Interpreting Hierarchical Composite Endpoints with Survival and Longitudinal Outcomes: Application to Amyotrophic Lateral Sclerosis Trials
[arXiv] 2026-09-23 | Almost subtractive submonoids of additive monoids and related quadratic forms
[arXiv] 2026-09-23 | Benchmarking Curvature-Domain Signaling for Continuous-Aperture Wireless Communications: Capacity, Robustness, Detection, and Conditioning Against Legacy Modal Bases
[arXiv] 2026-09-23 | Big Bang Nucleosynthesis as a Probe of First-Order Phase Transitions
[arXiv] 2026-09-23 | Neural Field-of-View for Binaural Signal Matching with Wearable Microphone Arrays
[arXiv] 2026-09-23 | Zero-Shot Object Removal via Attention Masking, Latent Anchoring, and Refinement
[arXiv] 2026-09-23 | Beyond Future Prediction: Denoising as Generative Adaptation for Robot Control
[arXiv] 2026-09-23 | Local Geometric Mixing via Dobrushin Contraction with Applications to Diffusion Path Monte Carlo and the Proximal Sampler
[arXiv] 2026-09-23 | Simultaneous comparison of the predictive values of two binary diagnostic tests in the presence of categorical covariates
[arXiv] 2026-09-23 | A multi-resolution spectrogram approach for estimating the physical parameters of a plate reverb
[arXiv] 2026-09-23 | Envy-Free Allocation of Indivisible Goods under Leontief Preferences
[arXiv] 2026-09-23 | Single-Orbit Recovery of Groups via an Optimization Principle
[arXiv] 2026-09-23 | Decoherence Tuning in Voltage-Driven Plasmonic Cavities
[arXiv] 2026-09-23 | Counting $k$-tuples of positive integers such that the values of several polynomials of $k$ variables are relatively prime
[arXiv] 2026-09-23 | Benchmarking Hyperspectral Foundation Models for Hyperspectral Unmixing
[arXiv] 2026-09-23 | Study of blazar variability through their flux distribution for CTAO long-term monitoring
[arXiv] 2026-09-23 | Broadband Quantum Optical Storage with Chemically Engineered Molecular Eu$^\text{3+}$ Complex
[arXiv] 2026-09-23 | Doubly critical mixed-order quasilinear equations: existence, multiplicity and regularity
[arXiv] 2026-09-23 | Fission Evaluation Tools and Analytics (FETA)
[arXiv] 2026-09-23 | Generalizable Robotic Insertion with World Models
[arXiv] 2026-09-23 | Controlling Collectives of AI Agents in Reasoning Space with Spatial Transformers
[arXiv] 2026-09-23 | Optimal limits on weak integrability breaking and protected thermal memory near qutrit exchange
[arXiv] 2026-09-23 | Convergence of a fully discrete finite element method for the Beris-Edwards system of liquid crystal dynamics
[arXiv] 2026-09-23 | The topological non-Abelian string in the extended ${\rm SU}(N) \otimes {\rm U}(1)$ gauge sector
[arXiv] 2026-09-23 | Backstitch: Restoring Request Causality Across a Production Microservice Fleet
[arXiv] 2026-09-23 | High-Probability Sampled-Data Stabilization of General Nonlinear Stochastic Systems
[arXiv] 2026-09-23 | A Spectral Proof of Khachiyan's Ellipsoid Conjecture
[arXiv] 2026-09-23 | X2Real: an eXtensive simulation benchmark for real-world generalist policies
[arXiv] 2026-09-23 | Isolated singularities of solutions to the Yamabe equation in higher dimensions I
[arXiv] 2026-09-23 | Characterizing the breakdown of the maximum principle in a class of nonlocal elliptic problems
[arXiv] 2026-09-23 | Anomaly-Free Self-Optimization via AUC Bounds
[arXiv] 2026-09-23 | Optimising Cryogenic Wiring for Microwave-frequency Millikelvin Quantum Processors
[arXiv] 2026-09-23 | Concentration of Stationary Measures onto Large Scales in the Fast-Advection Limit of the Stochastically Forced Two-Dimensional Navier-Stokes Equations
[arXiv] 2026-09-23 | Uncheatable Eval: Dynamic Compression-Based Evaluation of Language Models
[arXiv] 2026-09-23 | Observable symmetry for spacetime observability of wave equations on the interval
[arXiv] 2026-09-23 | Codebook-Based Effective CSI Feedback for Precoding Design in MIMO Systems
[arXiv] 2026-09-23 | Chromatic Extremal Thresholds and the Multipartite $K_4$-Free Problem
[arXiv] 2026-09-23 | H_alpha observations of the Be/X-ray binary MWC 656
[arXiv] 2026-09-23 | Distributed Stochastic Approximation Algorithms and Heavy-Tailed Age of Information
[arXiv] 2026-09-23 | Spectral Lock-in Detection for High-Sensitivity Spectroscopy
[arXiv] 2026-09-23 | Information Capacity of Generative Video Compression: Quantifying the Rate-Compute Exchange at Identical Quality
[arXiv] 2026-09-23 | A two-step log-linear procedure for graphical representation and inference of associations in cross-classified data for disease diagnosis
[arXiv] 2026-09-23 | Active Learning for Low-Altitude Radio Map Construction via Plug-and-Play Flow Matching
[arXiv] 2026-09-23 | CerebroSim: Scalable Whole-Brain Simulator at 100-Trillion-Synapse Scale on the LineShine Supercomputer
[arXiv] 2026-09-23 | Hidden Markov Model-Based Remaining Useful Life Estimation of Rolling Bearings Using Vibration Signals: A feasibility study
[arXiv] 2026-09-23 | Partial factorization and reflexivity of operator algebras
[arXiv] 2026-09-23 | Large-time asymptotics for general cross-diffusion systems and novel convex Sobolev inequalities
[arXiv] 2026-09-23 | DeltaS: Reading the Gated Linear Attention State for KV Cache Eviction in Streaming Video
[arXiv] 2026-09-23 | CereVLA: Cerebellum-Inspired Consequence-Aware Residual Governance for Efficient Vision-Language-Action Execution
[arXiv] 2026-09-23 | Investigation of Hopping Conduction and Its Impact on the Subthreshold and Transition Region Transport in Oxide Semiconductor Transistors by Magneto-Transport Measurements
[arXiv] 2026-09-23 | Iterates of Ritt operators close to the identity
[arXiv] 2026-09-23 | A Positive Mass Type Theorem for a Singular Toroidal Static Model
[arXiv] 2026-09-23 | Sampling Line-Graph Colorings with Constant Extra Colors
[arXiv] 2026-09-23 | Mamba-Family State-Space Model Kernels on a Programmable CGLA
[arXiv] 2026-09-23 | Infinite families of pairs of real quadratic fields whose class numbers are divisible by a given integer
[arXiv] 2026-09-23 | An Unbounded Archive-based Transfer Strategy for Dynamic Multi-Objective Optimization with a Changing Number of Objectives
[arXiv] 2026-09-23 | Uphill and downhill first passage of an active Brownian particle: Asymmetry and exact path reweighting
[arXiv] 2026-09-23 | EVAGE: Autonomous MEV Generation and Adaptation via Multi-Agent Harness
[arXiv] 2026-09-23 | RAMP: Reversing Adversarial Perturbations to Strengthen Clean-Label Backdoor Attacks against Malware Detectors
[arXiv] 2026-09-23 | Maximal Monotone Differential Inclusions with Volterra and One-Sided Lipschitz Perturbations under Nonlocal Initial Conditions and Applications
[arXiv] 2026-09-23 | When Labels Are Scarce: An Oscillatory State Space Model for Vibration Diagnosis
[arXiv] 2026-09-23 | Only Pay What You Must Spend: On-Demand Privacy Budget Payment for Differentially Private RAG
[arXiv] 2026-09-23 | Linear convergence rate analysis of Proximal-Tracking for nonsmooth distributed optimization
[arXiv] 2026-09-23 | PRISM-VLM: A Multi-Axis Discriminative Benchmark for Compact Vision-Language Models
[arXiv] 2026-09-23 | Some results on weighted p-harmonic $\ell$-forms on weighted manifolds
[arXiv] 2026-09-23 | EvoAudio: Recursive Self-Improvement for Audio Understanding
[arXiv] 2026-09-23 | From Intents to Algorithms: Verified Algorithm Discovery for Transport Networks
[arXiv] 2026-09-23 | Forecast Workflow Bench: Evaluating Language-Model Decisions with Budgeted Forecast Tools
[arXiv] 2026-09-23 | Quasinormal-mode redshifts of black holes in galactic halos with radial pressures
[arXiv] 2026-09-23 | Cross-Lingual Legal QA for Vietnamese Labour Law: Retrieval, Translation, and Verifier-Guided Correction
[arXiv] 2026-09-23 | Planned Test-Time Scaling with Coordinated Reasoning Paths
[arXiv] 2026-09-23 | Attention Routing Stabilizes Early: Working-Set Inference for Recurrent Language Models
[arXiv] 2026-09-23 | Anchor and Perturb: Lazy Agent Remediation by Exploration Injection
[arXiv] 2026-09-23 | Beyond Mean Foils: Auditing Worst-Foil Specificity in Frozen CLIP Region Explanations
[arXiv] 2026-09-23 | MolDesignBench: Evaluating LLM-based Agent for Scenario-grounded Molecular Design
[arXiv] 2026-09-23 | Relative Primal--Dual Gap Certificates for Operator-Composite Trust-Region Methods
[arXiv] 2026-09-23 | BladeMaster: Real-Time Robotic Cutting Simulation with Online-Generated Persistent Discontinuities
[arXiv] 2026-09-23 | Spatial and Semantic Reasoning for LLM-Driven Robot Navigation via MCP
[arXiv] 2026-09-23 | DUGM-R: Uncertainty-Aware Dynamic Grid Mapping and Risk-Triggered Recovery for Learned Local Navigation
[arXiv] 2026-09-23 | Evolving Inspectable O-RAN Slicing xApps with LLMs
[arXiv] 2026-09-23 | Polynomial Decay in Absorbing Continuous-Time Markov Chains
[arXiv] 2026-09-23 | A Hybrid Iterative Deep Ritz Method for Elliptic Interface Problems
[arXiv] 2026-09-23 | Geometric lifting and Freiman's $3k-4$ theorem in compact connected abelian groups
[arXiv] 2026-09-23 | A strict amplitude lower bound for the van der Pol equation and extensions to symmetric Liénard systems
[arXiv] 2026-09-23 | Live Assistant: Learning Whether, When, and Whom to Assist in Real-World Live Social Streams
[arXiv] 2026-09-23 | Beyond the Illusion of Power: Calibrating Quasi-Experiments in Observational IS
[arXiv] 2026-09-23 | Transition from a weak-elastic to an elastic-activated regime in two-dimensional polymeric turbulence
[arXiv] 2026-09-23 | Ruby-ASR: Evidence-Preserving Supervision for Joint Orthographic and Lexical-Reading Recognition
[arXiv] 2026-09-23 | Memory Control Signals Emerge Before Action in Long Horizon Agents
[arXiv] 2026-09-23 | Pacing Equilibria in Abstract Mechanisms
[arXiv] 2026-09-23 | Bayesian calibration of adaptive-behavior SIR models for multi-wave COVID-19 incidence in New York City
[arXiv] 2026-09-23 | Low Mach number limit around the planar diffusion wave for 3D Navier-Stokes-Fourier equations
[arXiv] 2026-09-23 | Multitask Regression with Pairwise Fusion
[arXiv] 2026-09-23 | DRSR: Learning Set-Level Deletion Risk for Efficient Long-Horizon Agents
[arXiv] 2026-09-23 | A note on bistability of a two-gene competitive system
[arXiv] 2026-09-23 | Evaluating Open-Weight LLMs for Turkish Domain Documents Under Retrieval and Hardware Constraints
[arXiv] 2026-09-23 | Controlled Attribute-Specific Summarization of Interrogative Dialogues
[arXiv] 2026-09-23 | Inverse-Designed Chiral Metasurfaces for Enhanced Helical Dichroism
[arXiv] 2026-09-23 | A Flexible Recommendation System for Individuals and Groups
[arXiv] 2026-09-23 | Compliant with Local Controls, Collectively Discriminatory. A Governance Architecture for Multi-Agent AI in Regulated Finance
[arXiv] 2026-09-23 | Spectral Gap of the Hexagonal AKLT Model via Boundary-State Factorization
[arXiv] 2026-09-23 | Flavorful Lepton-Number-Violating SMEFT: Loop Mixing, $0νββ$ and Rare Meson Decays
[arXiv] 2026-09-23 | A Multidimensional Birkhoff Theorem for some $C^0$ Lagrangians
[arXiv] 2026-09-23 | Shopping by algorithm: How agentic AI deploys human heuristics as a surrogate consumer
[arXiv] 2026-09-23 | Memory-Conditioned Diffusion Model for Generalized Langevin Dynamics
[arXiv] 2026-09-23 | AnchorReasoning: A Visual Grounding and Causal Reasoning Dataset in Long-Tail Autonomous Driving Scenarios
[arXiv] 2026-09-23 | Privacy-Preserving Semantic Segmentation from High-Resolution Depth and Ultra-Low-Resolution RGB
[arXiv] 2026-09-23 | MicroQonv: Reshaping Convolution Tensors for Efficient Microscaling in Training and Inference
[arXiv] 2026-09-23 | On the monomials of Poincaré Series of negative index
[arXiv] 2026-09-23 | On asymptotically conical curve shortening flows with convex projections
[arXiv] 2026-09-23 | Besicovitch Compression and a Quantitative Failure of Endpoint Fourier Restriction
[arXiv] 2026-09-23 | BronchoTop: Bronchoscopy Navigation via RGB-Only Topological Localization
[arXiv] 2026-09-23 | Motoneuron-Inspired Sampling for Model Predictive Path Integral Control
[arXiv] 2026-09-23 | Effective curvature dimension in smooth DC optimization
[arXiv] 2026-09-23 | VGM-VS: Rethinking Visual Geometry Model for High-Precision Visual Servoing
[arXiv] 2026-09-23 | Comparing critical regions in Polyakov-quark-meson models: Effects of flavor (two versus 2+1) under on-shell renormalization, and on-shell versus curvature-mass parameter fixing for the two-flavor case
[arXiv] 2026-09-23 | Improved convergence radius of the Fer expansion for Hermitian generators
[arXiv] 2026-09-23 | Contact-Implicit Stein Projected ADMM for Discovery of Diverse Contact-Rich Manipulation Strategies
[arXiv] 2026-09-23 | Dynamic moiré-like band modulation in Dirac materials via multi-beam optical interference
[arXiv] 2026-09-23 | Cohomogeneity one solutions of the IIB system
[arXiv] 2026-09-23 | PaperAtlas: an automatically constructed atlas of computational methods and software from 6.4 million open-access articles
[arXiv] 2026-09-23 | Critical quasilinear elliptic systems with convex subcritical perturbations
[arXiv] 2026-09-23 | RAMP: Robust Adaptive Mixed-Precision Quantization for Edge CPU Vision Models
[arXiv] 2026-09-23 | Circadian Derived Features for Early Discrimination Across Insomnia Severity Levels: At Least 8 Weeks of Monitoring Are Needed for Clinically Meaningful Assessment
[arXiv] 2026-09-23 | Solid-State Dealloying Enables Local Symmetry Breaking in Ternary Intermetallic Thin Films
[arXiv] 2026-09-23 | Near-Optimal Higher-Order Oracle Complexity for Convex--Concave Minimax Optimization
[arXiv] 2026-09-23 | Compressed Permutation Oracles Revisited
[arXiv] 2026-09-23 | The Past Frames the Future: Memory for Autoregressive Video Generation
[arXiv] 2026-09-23 | The Spectra of the Henze-Zirkler and Henze-Wagner Operators for BHEP Tests
[arXiv] 2026-09-23 | Angular Modulations in Magnetic Torque Induced by Phase Transitions in the Triangular Supersolid $2H$-AgNiO$_2$
[arXiv] 2026-09-23 | Analog neutral-atom for in-memory processing in quantum reservoir computing
[arXiv] 2026-09-23 | LiMA: Bridging Long-term Imagination to Real-time Dexterous Manipulation via Asynchronous Diffusion
[arXiv] 2026-09-23 | Watch, Recall, Act: Always-On Robots in Concurrent Embodied Streams
[arXiv] 2026-09-23 | A Search For Stellar-mass Black Holes Via Astrometric Microlensing II: 2012-2015 Keck Candidates
[arXiv] 2026-09-23 | Multivariate Continuous-Time Autoregressive Moving Average Processes for Astronomical Multiband Time Series
[arXiv] 2026-09-23 | Agent-Editing World Model: Rethinking World Modeling for LLM Agents
[arXiv] 2026-09-23 | Inelastic dark matter mediated by natural dark photon
[arXiv] 2026-09-23 | Two-impulse Rendezvous Planning about Thrusting Spacecraft on $\mathrm{SE}_2(3)$
[arXiv] 2026-09-23 | The J-equation at the birational minimal slope
[arXiv] 2026-09-23 | Strange Quark Stars and Spontaneous Scalarization
[arXiv] 2026-09-23 | Interstellar extinction of classical Cepheids from neighboring stars I. Methodology and application to 16 Galactic Cepheids
[arXiv] 2026-09-23 | Robustness Guarantees for Optimal RIS Placement in Self-Localization Under Placement Errors
[arXiv] 2026-09-23 | PointCast: One World Model for Rigid, Articulated, and Deformable Object Manipulation
[arXiv] 2026-09-23 | The Lumina Project: Morphology of Ionized Bubbles and Neutral Islands
[arXiv] 2026-09-23 | What Converges in the Platonic Representation Hypothesis? Structure over Geometry
[arXiv] 2026-09-23 | From PyTorch to the NPU: LLM-Agent-Driven Model Conversion Across Heterogeneous Inference Runtimes
[arXiv] 2026-09-23 | Listening and Mirroring: The Effects of Verbal Attunement and Behavioral Mimicry on Social and Empathic Perceptions of Embodied AI Agents in VR
[arXiv] 2026-09-23 | Combining LLMs and Genetic Search for ARC-AGI-2
[arXiv] 2026-09-23 | A Quasi-Direct-Drive Underactuated Asymmetric Hand for Dexterous and Efficient Grasping and Manipulation
[arXiv] 2026-09-23 | Positioning a Movable Antenna Without CSI: A Kernelized Bandit Under Costly Movement
[arXiv] 2026-09-23 | Reshaping Converter-Network Interactions in Microgrids: From Virtual Impedance to Virtual Two-Port Control
[arXiv] 2026-09-23 | Physiologically Informed Digital Auscultation for Pneumonia Detection in Long-term Care Residents
[arXiv] 2026-09-23 | LOCKR: A Hidden-State Trajectory-Guided Planner for Detecting and Repairing Stable-but-Wrong Lock-In in Diffusion Language Models
[arXiv] 2026-09-23 | Vision-Based Control of a Tether-Suspended Aerial Radiation Sensing Payload
[arXiv] 2026-09-23 | BoundaryMORPH: Budgeted Reranking via Active Set Selection for Diffuse Retrieval
[arXiv] 2026-09-23 | Benchmarking Active Spot Selection for Cost-Efficient Spatial Transcriptomics
[arXiv] 2026-09-23 | BreCol: Benchmarking Classical and Deep-Learning Methods for Microbiome-Based Cancer Detection
[arXiv] 2026-09-23 | Reliable Federated TinyML Deployment for IoT Security
