[2026-07-06 12:48:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-05
正在获取论文...
[ACM] 2026-7-5 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[ACM] 2026-7-6 | Understanding Student Learning in Introductory Programming in the Age of AI: Misconceptions, AI Use, and Socio-Cultural Influences
[ACM] 2026-7-6 | DREAM: Educating Future App Developers with a Child Rights Approach
[ACM] 2026-7-6 | SYNAPTICON
[ACM] 2026-7-5 | Understanding Conversational Patterns in Multi-agent Programming: A Case Study on Fibonacci Game Development
[ACM] 2026-7-5 | HEJ-Robust: A Robustness Benchmark for LLM-Based Automated Program Repair
[ACM] 2026-7-6 | VR immersion: An Experiential approach to teach Accessibility and Inclusion in Computing Education
[ACM] 2026-7-6 | Training CS Students to Elicit Requirements Using a GenAI-based ChatBot - An Experience Report
[ACM] 2026-7-6 | Integration of Virtual Reality into Computing Education
[ACM] 2026-7-6 | Anti-remedial Interventions Indicate Future CS Success
[ACM] 2026-7-6 | Confounding Components: Problems with Cognitive Load Surveys in Introductory Computer Science
[ACM] 2026-7-6 | Digital Product Passports for Advancing the Circular Economy: A Research Agenda
共写入 304 条记录，保存到 papers/paper2026-07-05.json。
论文获取成功，文件路径: papers/paper2026-07-05.json
正在筛选、翻译并发送邮件...
[NO] 1/304 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[NO] 2/304 | Diagnosing Debugging: The ECDM Framework for Designing Diagnostic Cases in Simulation-Based Teacher Training
[NO] 3/304 | Assessing Computing Teachers' Self-efficacy to Teach about Neural Networks in Schools in Ghana: A Quantitative Study
[NO] 4/304 | Exploring the AI Principles-to-Practices Gap with an Interactive AI Alignment Lab
[NO] 5/304 | Agency for Whom and To What Ends: A Plan for Investigating Impacts of Agentic AI in Computing Education
[NO] 6/304 | A Systematic Literature Mapping of Gender Bias Towards Instructors in Computer Science Education
[NO] 7/304 | A Longitudinal Study of Students in a Work-Based Learning Program
[NO] 8/304 | Deterministic vs. LLM-Controlled Orchestration for COBOL-to-Python Modernization
[NO] 9/304 | Towards Improving CS Students' Generative AI Literacy
[NO] 10/304 | LiveC: A Living Curricula Framework for Agile and Responsive Computing Education
[NO] 11/304 | Exploring Workforce-Informed Competency Pathways in Computing Education
[NO] 12/304 | Tikka: An Interpreter and Debugger for a Pedagogical Subset of Haskell
[NO] 13/304 | Multimodal Analogies for Learning Programming Concepts with Vision-Language Models
[NO] 14/304 | Club Zero: A Comprehensive Cybersecurity and Networking Fundamentals Simulator
[NO] 15/304 | Teaching Rendering and Modeling with AR/XR in Computer Graphics Courses
[NO] 16/304 | Empirical Studies on UML Sequence Diagrams in Education: A Systematic Literature Review
[NO] 17/304 | The Process of Collaboratively Creating a Global Computing Education Terminology Resource with GenAI-in-the-Loop
[NO] 18/304 | Using the Potential of GenAI Tools for Accessibility
[NO] 19/304 | Caliber: AI-Assisted Infrastructure for Mastery-Based Computer Science Education at Scale
[NO] 20/304 | MiLLy: Embedding Pedagogical Agents inside Assignments
[NO] 21/304 | Executable but Unlearnable: Designing Code That Resists LLM-Based Learning
[NO] 22/304 | Do Agents Dream of Root Shells? Partial-Credit Evaluation of LLM Agents in Capture the Flag Challenges
[NO] 23/304 | Diagram-Based Learning in Computing Education with Multimodal Language Models
[NO] 24/304 | Re-Engaging Near-Completion Informatics Students
[NO] 25/304 | A Framework for Integrating Generative AI in CS Courses
[NO] 26/304 | Oral Examinations in CS - A Systematic Literature Map
[NO] 27/304 | Why Near-Completion Informatics Students Do not Graduate: A Mixed-Methods Study
[NO] 28/304 | 3DGS in Web Gaming: The Shadow of the Czar
[NO] 29/304 | AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests on GitHub
[NO] 30/304 | Neural-Symbolic Multi-objective Optimization for Performance-Aware ORM Database Design
[NO] 31/304 | How Robustly Do LLMs Understand Execution Semantics?
[NO] 32/304 | AI-Generated Traces for Novice Programmers: Learning Effects and Learner Differences in a Multi-Institutional Study
[NO] 33/304 | Q-Aware: A Lightweight Crosscutting Track for Preparing Quantum-Aware Software Developers
[NO] 34/304 | Effects of Mastery-Inspired Checkpoint Quizzes in a Large Introductory CS Course: A Mixed Methods Study
[NO] 35/304 | Assessing Best Practices Adherence in Software Engineering Education Through Data-Driven Compliance Analytics
[NO] 36/304 | Investigating Alignment Between Computing Students' Self-Reported and Verbalized Self-Regulated Learning Behaviors
[NO] 37/304 | LLM-led Socratic Dialogues on Ethics in Computing
[NO] 38/304 | Smells Like Memory: Reconstructing Virtual Autobiographical Spaces Through Scent in VR
[NO] 39/304 | Accountable Agents in Software Engineering: An Analysis of Terms of Service and a Research Roadmap
[NO] 40/304 | Zombie Agents: Detecting Semantic Livelock in Long-Horizon Autonomous Software
[NO] 41/304 | VeriTrans: Fine-Tuned LLM-Assisted NL→PL Translation via a Deterministic Neuro-symbolic Pipeline
[NO] 42/304 | Exploring Upper Elementary Students' Debugging Strategies in Scratch
[NO] 43/304 | Programming is on Fire: Can CS Education Handle the Heat?
[NO] 44/304 | Replicating the Prerequisite-Outcome Correlation Patterns
[NO] 45/304 | Preliminary Reflections on a Situated View of Socio-Ethical Competences in Computer Science Education
[NO] 46/304 | Investigating the Impact of Student Usage of Generative AI Tools in Computing Courses
[NO] 47/304 | Community-Centered AI Integration with Students as Co-Designers and Co-Builders
[NO] 48/304 | Visual Instruments for Live Cinema: Turning Process into Performance
[NO] 49/304 | AI WAR CLOUD DATABASE
[YES] 50/304 | Fixpad++: Automated Bug Fix Verification using LLM Agents
[NO] 51/304 | Artifact Readiness Gates with Saturation Stop Rules and Host-Parity Admissibility for FM Release Evaluation
[NO] 52/304 | The Role of Calculus I in Computer Science Education
[NO] 53/304 | Java vs. Kotlin in Introductory OOP: Effects on Student Performance and Motivation
[NO] 54/304 | Ethical Compliance Audit of LLMs Used as Computing Education Tools: An Evaluation Under ACM Standards
[NO] 55/304 | Towards a Scoping Review of Interpretivism in Computer Science Education.
[NO] 56/304 | Enhancing Computer Science Transfer Pathways with an AI Chatbot in Program Pathways Mapper
[NO] 57/304 | The Neural Bridge: From Haptic Cords to Python Code  A Multi-Abstraction Instructional Sequence for Teaching Neural Networks in K-12
[NO] 58/304 | Artifact-Based Computing Ethics Education: Bridging Analysis and Practice
[NO] 59/304 | Ancestral Craft and Emerging Technologies: Designing Futures from Place
[NO] 60/304 | Which Story Mode Works Best? Measuring Preference and Switching in a Quest-Based Course
[NO] 61/304 | Student-developed Collective Coding Guides in Disciplinary Computing
[NO] 62/304 | Data Systems Education in Finland: Aligning Higher Education with Industry Expectations
[NO] 63/304 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Spatial Storytelling
[NO] 64/304 | Beyond One-Size-Fits-All Exercises: Personalizing Computer Science Worksheets with Large Language Models
[NO] 65/304 | AI-Assisted Programming Learning
[NO] 66/304 | Epistemic Programming as a Scientific Field: Building a Community of Practice and an Interaction-Based Framework
[NO] 67/304 | Documenting K-12 CS Education Around The World
[NO] 68/304 | Mapping the Research on Collaboration in Computing Courses
[NO] 69/304 | To Tab or Not to Tab: Measuring Critical Engagement in AI Code Completion Tools Using Behavioral Signals and Attention Checks
[YES] 70/304 | SecMutBench: Evaluating LLM-Generated Security Tests via Mutation-Based Vulnerability Detection
[NO] 71/304 | REfact: Growing with Movement – A Hybrid Performance
[NO] 72/304 | Virtual Theatre: Producing Live Theatre on Virtual Stages
[NO] 73/304 | Beyond Make-and-Model: Simplifying IoT Network Management with Behavioral Metaclasses
[NO] 74/304 | Chemistry Context Programming Activities for CS1
[NO] 75/304 | A Dataset of Agentic AI Coding Tool Configurations
[NO] 76/304 | A Good Rubber Duck Does Not Quack: Designing Socratic Scaffolding in AI Tutors
[NO] 77/304 | Pre-Recorded 'Vivas' for Assessing Code Understanding Amidst AI-Assisted Programming
[NO] 78/304 | From Fragmentation to Architecture: A Spiral Curriculum Model for Integrating Data Science into K-12 Education
[NO] 79/304 | Student Misconceptions and Strategies in Git/GitHub Processes
[NO] 80/304 | Co-creating Course Expectations with Students in a Computer Science Course
[NO] 81/304 | Using LLM to Autograde Diagrams
[NO] 82/304 | Gendered Perceptions of Success in Computer Science
[NO] 83/304 | Failure is an Option: Growing Student Metacognition and Resilience in Undergraduate CS
[NO] 84/304 | A Virtual Lab for Learning AI Security and Adversarial Prompt Engineering
[NO] 85/304 | CS Undergraduate Women's Experiences in the First Year of Study
[NO] 86/304 | Gender Gaps in CS1 Exams: The Role of Biased Question Framing
[NO] 87/304 | Non-functional requirements: The issues online forum users are discussing about
[NO] 88/304 | Scale, Concentration, and Entry Timing in the Shopify App Ecosystem
[NO] 89/304 | COSETO: An Evidence-based AI Approach for Software Component Comparison
[NO] 90/304 | Kubernetes Misconfigurations in the Wild: Taxonomy, Evolution, and Automated Repair with Large Language Models
[NO] 91/304 | When Performance is Not Learning: Evidence from Generative AI Use in Operating Systems Education
[NO] 92/304 | Hands-On Demonstration of Information Retrieval and Word Embeddings Using a Harry Potter Theme
[NO] 93/304 | Enabling Student Ownership of LLM-Use through Team Contracts
[NO] 94/304 | Virtual Reality, Real Challenges: Lessons Learnt from a VR Deployment In-the-Wild
[NO] 95/304 | Teaching Theory of Computation in the STEM K-12 Curricula Through Impossibility and Undecidability Problems
[NO] 96/304 | Impact of Instructor Gender on Student Perceptions of Coding Demonstration Videos
[NO] 97/304 | Not Yet for Students: What Current Educator Prompting Practices Reveal About Pedagogical Gaps in LLM-Generated Feedback
[NO] 98/304 | Learning to Assess Software Quality: A Metric-Guided Peer Code Review Tool for Large-Scale Software
[NO] 99/304 | VR Biosecurity Surveillance Training for Indigenous Rangers
[NO] 100/304 | SOSecure: The Wisdom of the Crowd for Safer AI-Generated Code
[NO] 101/304 | AgentTelemetry: A Fault Detection Benchmark and Toolkit for LLM Agent Observability
[NO] 102/304 | REBench: A Procedural, Fair-by-Construction Benchmark for LLMs on Stripped-Binary Types and Names
[NO] 103/304 | Collaborator or Assistant? How AI Coding Agents Partition Work across Pull Request Lifecycles
[NO] 104/304 | Enhancing Engagement and Efficiency: A Co-authoring Thesis Writing Pilot in Undergraduate Education
[NO] 105/304 | ChomskyTrainer: An Interactive Learning Environment for Exercising Chomsky Normal Form Transformations
[NO] 106/304 | Instant Feedback for SQL Assignments using Clause-Driven Automated Grading
[NO] 107/304 | Visualizing Deterministic Finite-State Automata Minimization
[NO] 108/304 | Can We Have Both? Achieving ABET Compliance with Reduced Curricular Complexity in Computer Science Programs
[NO] 109/304 | Building Digital Credential Ecosystems for Computer Science Education: Digital Credentials, Employability, and Social Impact
[NO] 110/304 | Rust Web Programming in Laboratory Sessions: A Controlled Study of an IDE Plugin for Novice Programmers
[NO] 111/304 | Toward Automated Curriculum Design: Ensuring Alignment Among LLM-generated Course Components
[NO] 112/304 | Designing Responsible AI: a Pedagogical Blueprint for Interdisciplinary Reflection and Applied Ethics Competencies
[NO] 113/304 | Criminal Minds: A Plagiarism Study about Getting Away With It (for Science)
[NO] 114/304 | Authentic Assessment in Discrete Mathematics: Real-World Modelling Using Logic and Set Theory
[NO] 115/304 | Bridging Academia and Industry: A Structured Model for Running a Successful Computer Engineering Capstone Program
[NO] 116/304 | GenAI as a Learning Companion: Interactive Patterns for Supporting Higher-Order Thinking in Computer Science Education
[NO] 117/304 | Flashover: Spatial Storytelling of Wildfire from Memory to Spatial Experience
[NO] 118/304 | Ideation Driven Teaching of Software Engineering in an Industry-Integrated Learning Environment
[NO] 119/304 | Exploring Satisfiability -- Bringing Theoretical Informatics to Schools
[NO] 120/304 | Collaborative Peer-Review Workshops with Paired Student Teams in Software Metrics Education
[NO] 121/304 | Accessible Keyboard Controls for Block Ordering Problems
[NO] 122/304 | Board Games for Blockchain: The Right Time to Unplug
[NO] 123/304 | Exploring the Impact of Gen-AI on Team-Based Computing Capstone Projects
[NO] 124/304 | Improving Effectiveness of Automata Theory Teaching Using Computational Thinking
[NO] 125/304 | Mapping Research on Student Self-Efficacy in Computer Science
[NO] 126/304 | Genius-Coin: A Deployable Crypto Reward System for Student Engagement
[NO] 127/304 | Ask, Code, Review: A Three-Module Framework for AI in Programming Labs
[NO] 128/304 | Accessible AI Literacy for Adult Learners: An Unplugged Collaborative Learning Experience to Teach Clustering
[NO] 129/304 | Behind the Scenes at The New York Times R&amp;D: Spatial Storytelling
[NO] 130/304 | SWE-Bench+: Enhanced LLM Coding Benchmark
[NO] 131/304 | Museum Game Jams as Community-Engaged Design and Computer Science Education
[NO] 132/304 | 'Let's learn together!': Developing PCK for Physical Computing in Primary Schools
[NO] 133/304 | Transforming Code Patterns into Procedural Abstractions: An Empirical Study of De-com-po-si-tion
[NO] 134/304 | Trustworthy AI and Discretion-Based Decision Making in Case Processing: Perceptions for the Future
[NO] 135/304 | Understanding Cross-Language Programming Knowledge Transfer as a Regulated Learning Process
[NO] 136/304 | Verification and Ownership: How Professional Engineers Navigate the GenAI Coding Frontier
[NO] 137/304 | From Assistance to Agency: Rethinking Autonomy and Control in CI/CD Pipelines
[NO] 138/304 | VISOR: A Vision-Language Model-Based Test Oracle for Testing Robots
[NO] 139/304 | Co-located Tests, Better AI Code: How Test Syntax Structure Affects Foundation Model Code Generation
[NO] 140/304 | Detecting Unsoundness in Neural Network Verifiers via Concrete–Abstract Consistency
[NO] 141/304 | Using Mutation-Analysis to Examine an LLM's Ability to Summarize Code
[NO] 142/304 | QueryPRIMM: A PRIMM-Based Tool for Learning SQL
[NO] 143/304 | Doing the Work? Student Perspectives on AI Tools in Computing Education
[NO] 144/304 | Say What? Examining Text and Voice Input Modalities for Prompt-Based Programming in Computing Education
[NO] 145/304 | Proposing Threshold Concepts in Machine Learning
[NO] 146/304 | Inside the Show: A Live VR Performance and the Backstage Systems Behind It
[NO] 147/304 | Beyond Translation Accuracy: Addressing False Failures in LLM-Based Code Translation
[NO] 148/304 | Quantifying Student Mistakes and Misconceptions of the Run-Time Memory Layout of Java Programs
[NO] 149/304 | Interaction Patterns With Data Science AI Tutor In Project-Based Learning
[NO] 150/304 | Teaching Debugging in Cloud-Native Application Development: A Course Intervention Study
[NO] 151/304 | Exploring Fairness Perceptions in AI Grading Policies
[NO] 152/304 | Exploring AI for Golden Agers: From Mystery to Mastery
[NO] 153/304 | Using Small Explanatory Interpreters Inspired by Programming Language Education to Teach Operating Systems
[NO] 154/304 | Confidence Outpaces Interest: Upper Elementary AI Attitudes in a Science-Integrated Unit
[NO] 155/304 | A no-code Machine Learning Dashboard for Practice-based Personalized Learning
[NO] 156/304 | Non-Native English Speakers in CS1: Expectancy, Value, and Belonging
[NO] 157/304 | Make a Wish: Culturally-Responsive Contexts for Programming Tasks
[NO] 158/304 | Bridging the Gap: Understanding the Structure and Scope of Bridge-to-Computing Master's Programs
[NO] 159/304 | Supporting
                    <i>Problem Solvers:</i>
                    An Oral Problem-Solving Assessment Track in Large Undergraduate CS Courses
[NO] 160/304 | How Students Focus their Studying when Offered Exam Re-takes
[NO] 161/304 | ClassEval-Pro: A Cross-Domain Benchmark for Class-Level Code Generation
[NO] 162/304 | Towards AI as a Collaborative Partner: A Taxonomy of AI Agent Behavior in Software Engineering
[NO] 163/304 | Towards Migrating Neural Network Implementations
[NO] 164/304 | Connecting Calculus to Computing Education A Conceptual Mapping Tool to Support Disciplinary Applications
[NO] 165/304 | Brachetti's Restaurant: An Operating Systems Unplugged Activity
[NO] 166/304 | From SQL Struggles to Visual Insights: Revealing Transformations for Data Science Education
[NO] 167/304 | Simulation-First Probability for Computing Students: A Giant-Waves Case Study
[NO] 168/304 | From Students Struggles to Teachers Insights: A Dashboard of Student-AI Interactions in ML Practical Assignments
[NO] 169/304 | Interleaving Natural Language Prompting with Code Editing for Solving Programming Tasks with Generative AI Models
[NO] 170/304 | Blockchain Education Demystified: Blended Learning as an Equity Lever in Computer Science Education
[NO] 171/304 | SSDVis: Teaching Students Modern OS Concepts in a Flash
[NO] 172/304 | A National Competency Framework for AI Skills across Education and the Workforce
[NO] 173/304 | RustBuildEq: A Benchmark for Binary Equivalence under Build Variability
[YES] 174/304 | Testing AIware Systems: A Software Engineering Survey
[NO] 175/304 | CrossCommitVuln-Bench: A Dataset of Multi-commit Python Vulnerabilities Invisible to Per-Commit Static Analysis
[NO] 176/304 | How Can Accessibility in Computing Education Be Improved Through HCI Research?
[NO] 177/304 | Teaching Data Science without the Programming Barrier: Design and Evaluation of an Integrated Learning Platform
[NO] 178/304 | SQL Beyond Querying: Enhancing SQL Learning with Schema and Data Management
[NO] 179/304 | Correcting Transcripts: Student Interactions with VLM Graders
[NO] 180/304 | Constructing 3D-Models and Utilizing Workbooks to Teach Hardware: A Mixed-Media Approach
[NO] 181/304 | When There Is No Right Answer: How Computing Students Navigate Open-Ended Problems through Collaborative Discussion and Peer Evaluation
[NO] 182/304 | Configuring Agentic AI Coding Tools: An Exploratory Study
[NO] 183/304 | Is Artificial Intelligence an Elixir to the Software Engineering Community? An Empirical Study among Managers
[NO] 184/304 | When Code Authors Are Agents: A Large-Scale Study of Human–Agent Collaboration in Pull Requests
[NO] 185/304 | Co-creation of Real-World Educational Technologies as a Constructionist AI Literacy Curriculum
[NO] 186/304 | Challenges and Opportunities in Introductory Computer Science Education
[NO] 187/304 | Towards a Comprehensive Understanding of Replication in Computing Education
[NO] 188/304 | Towards Prioritized and Actionable Programming Misconceptions
[NO] 189/304 | Writing Blog Posts Helps Students Connect Experiential Learning to the Workplace
[NO] 190/304 | Erratum: Navigating Posit Arithmetic: A Comprehensive Survey of Principles, Hardware, and Applications
[NO] 191/304 | A Preliminary Study on Explaining Risk of Code Changes using LLM-Based Prediction Models
[NO] 192/304 | 'I can't read your mind': A Study of Neurodivergent Computing Students' Experiences with Collaborative Active Learning
[NO] 193/304 | Towards a Shared Framework for Selection, Design, and Evaluation of Mastery Learning Models in Computing Education
[NO] 194/304 | Multi-sensory Learning of Data Structures for Blind Students Using 3D Printing
[NO] 195/304 | Participatory Design of Educational Tools with Teachers to Address Children's AI Misconceptions
[NO] 196/304 | Relational Thinking Meets NoSQL: Challenges in Learning MongoDB and Cassandra
[NO] 197/304 | Cheap and Cheerful: Low-Fidelity Prototyping for Spatial Stories
[NO] 198/304 | Operationalizing Ethics for AI Agents: How Developers Encode Values into Repository Context Files
[NO] 199/304 | When AI Coding Assistants Leak Training Data: A Study of LLM Memorization in Code Generation
[NO] 200/304 | Voice-Controlled S
                    <scp>cratch</scp>
                    for Children with (Motor) Disabilities
[NO] 201/304 | Designing Scalable, Context-Adapted CS Placement Exams: An IRT-Based Approach
[NO] 202/304 | Does This Even Matter in the Real World? Real World Problems in Foundational Theory Courses
[NO] 203/304 | Play, Explore, Reward: Introducing Reinforcement Learning Concepts through Game-Based Learning in Middle School
[NO] 204/304 | A Large-scale Analysis of Workplace Discussions on StackExchange
[NO] 205/304 | Proceedings of the 9th ACM/IEEE International Workshop on Software-intensive Business
[NO] 206/304 | Collaborative Sensemaking of Unplugged AI in K-2 Language Arts: A Teacher Case Study
[NO] 207/304 | Social Media and the Construction of Computer Science Occupational Identity
[NO] 208/304 | A Configurable Gomoku Framework for Learning Heuristics
[NO] 209/304 | Pedagogical Content Knowledge in Database Education
[NO] 210/304 | Purplex: An Integrated Platform for Natural Language Programming and Code Comprehension Activities
[NO] 211/304 | Global-Scale Photorealism with Google Immersive View XR
[NO] 212/304 | Dog Walk: Narrating Human-AI Alignment through Companion Robots
[NO] 213/304 | Auditing Who Appears to Belong: A Large-Scale Empirical Study of Bias in Deployed Text-to-Image Systems for Software Engineering
[NO] 214/304 | Perfecting Partnerships: Employers' Impact through Situated Learning During Computing Internships
[NO] 215/304 | From Alienation and Culturally-relevant Context to Empowerment: Harnessing Adversarial Thinking Through a Sense of Belonging and Culturally-relevant Contexts
[NO] 216/304 | Surveying Dropouts from a Finnish CS Bachelor's Programme
[NO] 217/304 | Beyond Understandability: Which Code Quality Defects Do Instructors Identify Frequently in Novice Programs?
[NO] 218/304 | Integrating a CS+Linguistics Project into High School English
[NO] 219/304 | Boundary Crossing in Computing: Investigating Students' Internship Experiences and Role of Industry Mentors
[NO] 220/304 | TriORM: Workload-Aware Neural-Symbolic Multi-objective Optimization for ORM Mapping Design
[NO] 221/304 | Wink: Recovering from Misbehaviors in Coding Agents
[NO] 222/304 | From Gamification to Insights: Predicting Student Success in an Introductory Programming Course
[NO] 223/304 | Hopfield Networks in CS1
[NO] 224/304 | The Algorithmic Thinking Gap: Teachers' Self-Assessed Competence in Programming and Algorithms
[NO] 225/304 | Beyond the Classroom: Designing an Interdisciplinary AI Innovation Challenge at a Minority-Serving Institution
[NO] 226/304 | From Correctness to Consistency: Redefining Reliability for the Agentware Era
[NO] 227/304 | Beginning, Now, Ever More: Thirty years: ITiCSE and Computing Education
[NO] 228/304 | From Global Models to Local Realities: AI Literacy, Education Policy, and Governance in Ghana
[NO] 229/304 | Nudging Better Version Control Behavior
[NO] 230/304 | Do Students Plan to Improve What They Struggle With? An Analysis of Programming Reflections
[NO] 231/304 | Sustainability as an Integral Aspect of Computing Education
[NO] 232/304 | PyGuide: A Visual Studio Code Extension Providing Diagnostics for Possible Misconceptions
[NO] 233/304 | When to Check In?: Identifying Early Signs of Student Struggle at Various Cut-Points in CS1 Course Data
[NO] 234/304 | Creative Exploration Meets Time Constraints: Academic and Professional Approaches to Adversarial Thinking
[NO] 235/304 | An Empirical Study of Reasoning Steps in Thinking Code LLMs
[NO] 236/304 | Finding Waldo: The Hidden Curriculum of Computing Education
[NO] 237/304 | Biology Context Programming Activities for CS1
[NO] 238/304 | Student Perceptions of Alternative Evaluation in an Introductory Programming Course
[NO] 239/304 | A Qualitative Examination of Undergraduate CS Students' Self-Regulated Learning
[NO] 240/304 | Spatial Skills Training Effects Throughout a Computer Science Degree
[NO] 241/304 | BREAK-IT: Understanding Novice Approaches to an Attack Challenge Task
[NO] 242/304 | Proceedings of the 31st ACM Conference on Innovation and Technology in Computer Science Education V. 1
[NO] 243/304 | Perceived Product Management Priorities in Software Startups.
[NO] 244/304 | Beyond the Pipeline: Understanding Women's Pathways into Doctoral Education
[NO] 245/304 | Understanding and Supporting Computing Education in the Digital Humanities
[NO] 246/304 | Quality and Security Signals in AI-Generated Python Refactoring Pull Requests
[NO] 247/304 | OUT OF THE ASHES: A Work-In-Progress Immersive Documentary about the Human Cost of Climate Change
[NO] 248/304 | Pre-Service Computer Science Teachers' Perspectives on AI Education in a Teaching-Learning Lab
[NO] 249/304 | Google's Original Secret Sauce: The PageRank Algorithm
[NO] 250/304 | Designing a Hardware Reverse Engineering Course: Lessons from Eight Years in a Rapidly Evolving Tech Domain
[NO] 251/304 | A Competitive Platform for Automated Evaluation of Optimization Algorithms in Computing Education
[NO] 252/304 | Using Peer Code Reviews to Scale a Brownfield Software Engineering Course
[NO] 253/304 | Naming Variables is Hard – Assessing Names Need Not Be: An Inductive Taxonomy for Grading Variable Names
[NO] 254/304 | Teaching Responsible AI From the Borders of Computer Science: An Experience Report
[NO] 255/304 | SecVulEval: Context-Aware Benchmarking of LLMs for Vulnerability Detection
[NO] 256/304 | C/x86 Emulator: A Web-Based Interactive Tool for Understanding x86-64 Assembly and Visualizing C Program State
[NO] 257/304 | App-solutely Vulnerable: Learning Mobile Security through Build, Fortify, and Attack
[NO] 258/304 | Impacts of Stress During CS Learning: Physiological Insights for Adaptive Education
[NO] 259/304 | Applying the Traffic Light Assessment Framework to an AI-Integrated Coursework
[NO] 260/304 | Teamwork in Computing Education: Skills, Values, and Virtues
[NO] 261/304 | ACM2Y: Supporting Computing Educators in Two-Year Programs
[NO] 262/304 | Embedding External Partner Code Reviews into Mobile Application Development Coursework
[NO] 263/304 | The Ghost in the Machine: AI in Software Ecosystems
[NO] 264/304 | Towards a Readiness Framework for Agentic AI in 6G Software Businesses: Challenges and Adoption Pathways
[NO] 265/304 | Public IS procurement stakeholders' views on success – A Delphi study
[NO] 266/304 | An Experience Report: What Students Say Could be Done to Promote Dispositions
[NO] 267/304 | Oral Exams at Scale in Introductory Computing: Student Outcomes and Perceptions
[NO] 268/304 | Self-Regulated Personal Contracts as a Harm Reduction Approach to Generative AI in Undergraduate Programming Education
[YES] 269/304 | TOGBench: A Developer-Written Multi-variant Dataset and Benchmark Suite for Test Oracle Generation
[NO] 270/304 | Can LLMs Really Reason about Code? Studying How Well LLMs Understand the Relation between Input, Code, and Output
[NO] 271/304 | Interactive Cybersecurity Education for Upper Secondary School
[NO] 272/304 | Work-Integrated Learning Meets Program Outcomes and Student Needs
[NO] 273/304 | Perspectives on Progression within Engineering and Computer Science Degrees
[NO] 274/304 | Fostering Cybersecurity Awareness in a Diverse Primary School
[NO] 275/304 | Personalized and Representational Scaffolding to Foster Teachers' Diagnostic and Intervention Skills in Debugging
[NO] 276/304 | Effective Use of Large Language Models for Social Constructivism in Computer Science Education
[NO] 277/304 | The Electrified Black Box—Children's Preconceptions About Hardware Components and Their Functions
[NO] 278/304 | C
                    <scp>onjuror</scp>
                    : A GenAI-Powered Tool to Support Teachers Customizing a Scratch Curriculum
[NO] 279/304 | A Correctness-First Introduction to Computer Science
[NO] 280/304 | Proceedings of the 31st ACM Conference on Innovation and Technology in Computer Science Education V. 2
[NO] 281/304 | Computing Science Education on the AI Innovation Landscape
[NO] 282/304 | Introducing Undergraduate Students to Computing Education
[NO] 283/304 | Exploring Language-Based Differences in Student Reflection
[NO] 284/304 | A Simple Interactive Tool for Bridging Discrete Math and Computer Science
[NO] 285/304 | What a Middle Grades Concept Inventory Reveals about Programming Understanding in Pre-Service Teachers: Error Prevalence, Misconceptions, and Psychometric Validity
[NO] 286/304 | The Instrument Is the Story: Ten Years of Spatial Music-Making with Paradiddle
[NO] 287/304 | Code Quality Catalog for Embedded-Systems (Doctoral Consortium)
[NO] 288/304 | A Glossary-Based Learning Platform to Support Novice Learners in IT Literacy
[NO] 289/304 | 'If You Don't Know, Just Ask': How New Graduates Demonstrate Non-Technical Skills and Behaviours in the Workplace
[NO] 290/304 | Peer Networks and Instructor Resources as Complementary Support Systems in Six CS Classrooms
[NO] 291/304 | Teamwork for Computer Scientists in Education and Practice
[NO] 292/304 | Proceedings of the 3rd ACM International Conference on AI-Powered Software
[NO] 293/304 | From Code Review to Spec-Driven Contracts: A Vision for Auditable AIWare Systems
[NO] 294/304 | Understanding Student Learning in Introductory Programming in the Age of AI: Misconceptions, AI Use, and Socio-Cultural Influences
[NO] 295/304 | DREAM: Educating Future App Developers with a Child Rights Approach
[NO] 296/304 | SYNAPTICON
[NO] 297/304 | Understanding Conversational Patterns in Multi-agent Programming: A Case Study on Fibonacci Game Development
[NO] 298/304 | HEJ-Robust: A Robustness Benchmark for LLM-Based Automated Program Repair
[NO] 299/304 | VR immersion: An Experiential approach to teach Accessibility and Inclusion in Computing Education
[NO] 300/304 | Training CS Students to Elicit Requirements Using a GenAI-based ChatBot - An Experience Report
[NO] 301/304 | Integration of Virtual Reality into Computing Education
[NO] 302/304 | Anti-remedial Interventions Indicate Future CS Success
[NO] 303/304 | Confounding Components: Problems with Cognitive Load Surveys in Introductory Computer Science
[NO] 304/304 | Digital Product Passports for Advancing the Circular Economy: A Research Agenda
筛选完成：共 304 篇；Yes = 4 篇；已保存到 papers/select_paper2026-07-05.json。
邮件发送成功！
[2026-07-06 13:21:33] 任务执行成功！
