[2026-09-14 23:33:16] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-09-13
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609130000+TO+202609132359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-9-13 | AsymFlow: Enabling Long-Context LLM Serving via CPU-GPU Prefill-Decode Disaggregation
[ACM] 2026-9-13 | Heterogeneous SLO Guaranteed Multi-Resource-Aware Batching in LLM Serving
[ACM] 2026-9-13 | Scalable RL-Based Online Scheduling Framework for Modular Process Systems
[ACM] 2026-9-14 | Faults that Persist: Fault-Injection Attacks and ASCON-Based Defense in Multi-Tenant FPGAs
[ACM] 2026-9-14 | Hackalysis: Detecting Hackathon-Origin Software Through Temporal and Structural Repository Traces
[ACM] 2026-9-14 | Context Matters: Expanding the Potential of eBPF
[ACM] 2026-9-14 | All Your Assembly Belongs to Rust: Automated Lifting for Uniform Testing and Verification
[ACM] 2026-9-14 | Topology-aware TLB Shootdown Protocols: It's more complicated than you think
[IEEE] 2026-9-14 | Resilient Control and Leader Switching for Autonomous Vehicle Platoons Under DoS Attacks
[IEEE] 2026-9-14 | Full-Dynamics Real-Time Nonlinear Model Predictive Control of Heavy-Duty Hydraulic Manipulator for Trajectory Tracking Tasks
[IEEE] 2026-9-14 | Virtual-Energy Homotopy for Simultaneous Trajectory and Stiffness Co-Design in Flexible-Joint Robotic Arms
[IEEE] 2026-9-14 | Thermal-Fluid Field Simulation and Characteristic Analysis of 110kV Oil-Immersed Transformer
[IEEE] 2026-9-14 | Predictive Allocation of Computational Resources for Model Predictive Controllers
[IEEE] 2026-9-14 | A Semiotics-Driven Evaluation of Cultural Fidelity in AI-Generated Visualization of Miao Traditional Festival Costumes
[IEEE] 2026-9-14 | LASSO-Based Data Reduction for Frequency-Domain Predictive Control of an Electromagnetic Molding Machine
[IEEE] 2026-9-14 | Power-on Downshift with Clutch Kissing Point Detection utilizing Ball-Ramp Dual Clutch Transmission Asymmetry
[IEEE] 2026-9-14 | Learning Behavior-Consistent Control Parameters from Real-World Driving Data: An Adaptive Cruise Control Study
[IEEE] 2026-9-14 | Sparse Autoencoder Generative Model in Noise Filtering
[IEEE] 2026-9-14 | A Hierarchical Deep Learning Framework for Automated Rock and Stone Classification: Architecture, Deployment, and Evaluation
[IEEE] 2026-9-14 | The Complexity Bottleneck: Experimental Evaluation of 3-Qubit and 5-Qubit Error Correction Codes in the NISQ Era
[IEEE] 2026-9-14 | Transformer-Based Earthquake Magnitude Forecasting Through Spatiotemporal Feature Analysis in Urban Disaster Management Systems
[IEEE] 2026-9-14 | Optimization Configuration of Power Sources in Desert-Gobi-Wasteland New Energy Base Supported by Gas-Fired Power
[IEEE] 2026-9-14 | A Degradation-Aware Fusion Network for SAR–Optical Remote Sensing Images
[ACM] 2026-9-14 | When AI Answers Too Soon: The Displacement of Reflective Inquiry in Design
[IEEE] 2026-9-14 | CityAI-Resilience: Privacy-Aware Multi-Objective Optimization for Sustainable Urban Management
[IEEE] 2026-9-14 | Smart Moisture Detection in Buildings: A Conceptual IoT-Based Solution
[IEEE] 2026-9-14 | Comparative Analysis of CNN and Transformer Models for Date Palm Classification Using Hyperspectral Data
[ACM] 2026-9-14 | LLM-empowered remanufacturing: A novel human-AI interaction under the lens of a scoping review
[ACM] 2026-9-14 | Adaptive exposure therapy for Social Anxiety Disorder: a preliminary validation in virtual reality
[ACM] 2026-9-13 | Accelerating Long-Tail Generation in Synchronous RLHF Training via Adaptive Tensor Parallelism
[ACM] 2026-9-13 | DyGMIS: Fast and Scalable Fully Dynamic MIS Maintenance on Large Evolving Graphs
[ACM] 2026-9-13 | Chapel for Parallel AND Distributed GPU Computing: A Case Study with Jaccard Similarity
[ACM] 2026-9-13 | PipeTree: Decision Tree Partitioning for Efficient Inference on Programmable Switches
[ACM] 2026-9-13 | DdlRT: A deterministic data layout for efficient redundancy transitioning in erasure-coded systems
[ACM] 2026-9-14 | ML-assisted Design Technology Co-Optimization Framework for Advanced Process Nodes: Analysis and Exploration of DTCO Parameters using PPA of Digital Blocks
[ACM] 2026-9-14 | Netkit: Specializing Linux Packet Delivery for Container Networks
[IEEE] 2026-9-14 | Transient Stability Analysis and Enhanced Control Strategy of Grid-Following Converters Based on Simple Harmonic Motion Model
[IEEE] 2026-9-14 | Data Driven Bilevel Pricing for EV Charging Stations in Coupled Transportation and Power Networks
[IEEE] 2026-9-14 | Quantum-Resilient and Privacy-Preserving Offline Digital Payments: A Secure Element Architecture
[IEEE] 2026-9-14 | Vulnerability Assessment and Weak Point Identification Methods for Distribution Networks under Extreme Freezing Weather Conditions
[IEEE] 2026-9-14 | The Electro-hydrogen Coupled Integrated Energy System Participates in the Low-carbon Economic Scheduling of the Electricity Market
[IEEE] 2026-9-14 | Energy-Efficient Model Predictive Control for Electric Inland Surface Vessels
[IEEE] 2026-9-14 | Enhanced Multi-Scale Feature Extraction for Small Vehicle Detection from UAV Perspective
[IEEE] 2026-9-14 | Volumetric Proxy-Risk Guided Sampling and Re-Ranking for Contact-Field Dexterous Grasp Candidates
[IEEE] 2026-9-14 | Inference of Latent Task Models in Human–AI Collaboration Under Uncertainty
[IEEE] 2026-9-14 | Deviation Correction of Photovoltaic Cable Quantity Estimation in Multi-Terrain Scenarios
[IEEE] 2026-9-14 | Fast Stability-Domain Control for Three-Vehicle Cooperative Transport: High-COG Load Balancing and Connection-Force Suppression
[IEEE] 2026-9-14 | Model Predictive Control and Deep Reinforcement Learning in the House
[IEEE] 2026-9-14 | PB-EMD Method for Dynamic Load Energy Metering in New Power Systems
[IEEE] 2026-9-14 | Study on Hierarchical Control Architecture and Its Implementation for Hydraulic Excavators
[IEEE] 2026-9-14 | A Lightweight 2D-LiConvFormer for SPP Imagebased Bearing Fault Diagnosis
[IEEE] 2026-9-14 | Decision-Aware Short-Term Load Forecasting for Power Retailers Under Asymmetric Imbalance Penalties
[IEEE] 2026-9-14 | Adaptive Dwell-Time Switching for Mode Transitions in Hybrid Electric Vehicle Powertrains
[IEEE] 2026-9-14 | Machine Learning Based Prediction of Sickle Cell Disease: A Comparative Evaluation of Clinical and Hematologic Features
[IEEE] 2026-9-14 | Smart Wastewater Gas and Flood Detection System Using Artificial Neural Network
[IEEE] 2026-9-14 | Numerical Simulation of Micro-Channel Flow and Heat Transfer in Supercritical LNG High-Pressure Vaporizer
[IEEE] 2026-9-14 | Blockchain and its Integration with BIM in the Construction Industry: Opportunities, Challenges, and Implementation in Supply Chain Management
[ACM] 2026-9-14 | Human vs. Device Mediation in gamified selection: fairness perceptions and technology acceptance
[ACM] 2026-9-13 | MServerSim: A Modular Design based Simulation Technique for Modern AI Servers
[ACM] 2026-9-13 | MEDO: Adaptive Multi-Stream Data Offloading for Efficient Management of Disaggregated Memory Pool
[ACM] 2026-9-13 | From 2^N to N^2: Tree-Free Scalable Sparse Symmetric Tucker Decomposition
[ACM] 2026-9-14 | Identifying Broadly Effective Approaches for Users with Different Abilities
[IEEE] 2026-9-14 | Sustainable Smart Healthcare with Advanced Data Analytics and Artificial Intelligence: A Review of the Singapore Model and a Roadmap to Oman
[IEEE] 2026-9-14 | Intelligent Recipe Recommendation System for Personalized Cooking and Resource Optimization
[IEEE] 2026-9-14 | Design and Development of an Automated Blood Sorting and Real-Time Monitoring System for Enhanced Blood Supply Chain Management
[IEEE] 2026-9-14 | A Comparative Analysis of Explainable AI Methods for Vision Transformer-Based Thyroid Ultrasound Diagnosis
[IEEE] 2026-9-14 | IEEE Transactions on Biometrics, Behavior, and Identity Science Information for Authors
[IEEE] 2026-9-14 | Fault-Tolerant Trajectory Tracking Control for Corner-Module Electric Vehicle with Single-Wheel Failure
[IEEE] 2026-9-14 | Analysis of a 220kV Optical Fiber Cable Breakage Fault Caused by Lightning
[IEEE] 2026-9-14 | Scalable EM via Banded Covariance and Krylov Methods for High-Dimensional State Space Models
[IEEE] 2026-9-14 | Shape-Adaptive Multi-Scale Feature Enhancement Network for Object Detection in Underwater Vehicle
[IEEE] 2026-9-14 | Nonlinear Extended Two-State Observer-Based Elastic Prescribed Performance Control for Turntable Servo System With Time-Varying Parameters
[IEEE] 2026-9-14 | IEEE Connect
[IEEE] 2026-9-14 | Data Analytics for Customer Churn Prediction in Telecommunications: A Comparative Study of Ensemble Learning Approaches
[IEEE] 2026-9-14 | An Operational Governance Framework for Ai-Based Smart Healthcare Systems in Smart City Contexts
[IEEE] 2026-9-14 | Attention-Based Set Aggregation for Retrieving 3D Gaussian Splatting Models Using Appearance
[IEEE] 2026-9-14 | Copyright Page
[IEEE] 2026-9-14 | A Voltage Amplitude Regulation Based Current Limit Strategy for GFM Devices
[IEEE] 2026-9-14 | Assessing the Build Accessibility of Open-Source Game Engines for Independent Game Development
[IEEE] 2026-9-14 | Comparative Evaluation of Desktop and Immersive Virtual Reality for Tower-Crane Operation Using Objective Performance Logs: A Pilot Study
[ACM] 2026-9-14 | Quantifying the Code-Size Overhead of eBPF JIT Compilation
[ACM] 2026-9-13 | Hierarchical Shared Memory-Aware Optimization for TRSM on GPU Platforms
[IEEE] 2026-9-14 | Reliable Smart City Monitoring Communications Using Cooperative UAV Relay Networks
[IEEE] 2026-9-14 | Modeling and Analysis of Different Types of Fault Mechanisms in PMSM
[ACM] 2026-9-14 | ACF: Infrastructure for Debugging Long-Running Systems with Tracing and Unit Test Execution
[ACM] 2026-9-14 | hDAGs: A Directed Acyclic Graph Representation for Scheduling Tasks on Heterogeneous Hardware
[IEEE] 2026-9-14 | A Reduced-Order Framework for Stochastic Mean-Field Incentive Stackelberg Games with Delays and Its Application to CACC Platoons
[IEEE] 2026-9-14 | Privacy-Preserving IoT Authentication using Federated Gradient Boosting Intelligence
[IEEE] 2026-9-14 | Unsupervised Structural Anomaly Detection in Fetal MRI Using Graph Convolutional Network Autoencoder
[IEEE] 2026-9-14 | Meta-Learning Control Barrier Functions under Input Constraints
[IEEE] 2026-9-14 | Forcasting Type 1 Diabetes Personalized Essential Parameters Using Neural Network
[IEEE] 2026-9-14 | Median-Consensus-Based Deception-Tolerant Secondary Frequency Control for Distributed Generators
[IEEE] 2026-9-14 | Kernel Design for Efficient Bayesian Optimization in an LPV Framework
[IEEE] 2026-9-14 | Research on Vertical Optimization Design of Large-Scale Photovoltaic Power Stations Under Sandy, Gobi and Desert Terrain Conditions
[IEEE] 2026-9-14 | Model-Based Assisted Domain-Randomized Reinforcement Learning for Robust Powertrain Vibration Control
[IEEE] 2026-9-14 | Study on the Performance of Medium-Sized Double-Axis Tracking Solar Concentrating Fecal Water Heating System in Alpine Region
[IEEE] 2026-9-14 | A Two Layer Reinforcement Learning Approach for V2G Scheduling under Dynamic Electricity Pricing
[IEEE] 2026-9-14 | 2026 3rd International Conference on Intelligent Systems and Robotics (CISR)
[IEEE] 2026-9-14 | A Reinforcement Learning Tuned Hybrid Type-3 Fuzzy Logic Controller for Exercise and Meal Aware Blood Glucose Regulation in Type 1 Diabetics for Artificial Pancreas
[IEEE] 2026-9-14 | Recent Advancements on the Development of Sliding Mode Algorithms for Wave Energy Systems
[IEEE] 2026-9-14 | Applying Ai to Improve Iot Communication in Smart Industry Environments
[IEEE] 2026-9-14 | The CNN Model for Accurate Agro-Grain Classification on Edge Devices
[IEEE] 2026-9-14 | Classifying Breast Cancer Ultrasound Images Using Artificial Intelligence Techniques
[ACM] 2026-9-14 | Disentangling Threads: Exploring the Potential of LLM-Supported Discussion Forum Analysis for Community Insight
[ACM] 2026-9-14 | Assessing the Cognitive and Operational Impacts of AI in Airspace Configuration for Flow Management Positions
[ACM] 2026-9-13 | NeuroPrefetcher: Storage-Aware Sparse LLM Inference via Delta Prefetching
[ACM] 2026-9-13 | Bit-Efficient Tensor Core Acceleration for High-Order Shallow-Water Dynamical Core
[ACM] 2026-9-13 | RODIS: Accelerating Sparse Matrix Multiplication on GPU via Row-Orchestration and Dynamic Instruction Scheduling
[ACM] 2026-9-13 | FaaSHive: Addressing Limited Visibility in Function-as-a-Service via Worker-driven Scheduling
[ACM] 2026-9-13 | Duet: Orchestrating Full-Duplex-Aware Proactive Demotion in CXL Tiered Memory
[ACM] 2026-9-13 | MX-KMeans: Accelerating K-Means Clustering through Microscaling Quantization
[ACM] 2026-9-13 | ReliefServe: Relieving GPU Pressure in Multi-Model Serving via Selective CPU Escape
[ACM] 2026-9-14 | Generative AI Makes Creative Output More Homogeneous
[ACM] 2026-9-14 | Lost Bytes At The Crossroads Between User-And Kernel-Level Memory Management
[IEEE] 2026-9-14 | Front Cover
[IEEE] 2026-9-14 | A Semantic Computer Vision Framework for Automated Sports Kinematics and Corrective Response
[IEEE] 2026-9-14 | Advanced Deep Neural Network Framework for Scene Text Recognition
[IEEE] 2026-9-14 | Re-Engineering and 3D Modeling of a Wireless Remote-Control Car: A CAD Approach
[IEEE] 2026-9-14 | A Conceptual Framework of Integration of Data Science and Iot for Progressive Smart City
[IEEE] 2026-9-14 | Explicit MPC for Parameter Dependent Linear Systems
[IEEE] 2026-9-14 | 2026 International Conference on Smart Energy and Clean Energy Power Generation Technology (SECP)
[IEEE] 2026-9-14 | Multi-class Hierarchical Early-Warning for the Safety of Public Electrical Facilities in High-Rise Buildings
[IEEE] 2026-9-14 | ICGSP 2026 Cover Page
[IEEE] 2026-9-14 | A Two-Stage Multi-Source Collaborative Strategy for Distribution Network Resilience Enhancement Considering Power-Transportation Coupling
[IEEE] 2026-9-14 | Robust Subsystem-based Impedance Control of Flexible Manipulator
[IEEE] 2026-9-14 | Sensorless External Force Estimation for Robotic Arms via a Confidence-Aware Soft-Switching Hybrid Filter
[IEEE] 2026-9-14 | Virtual-Real Fusion Based IGBT Open-Circuit Fault Diagnosis for Photovoltaic Inverters
[IEEE] 2026-9-14 | 2026 IEEE Conference on Control Technology and Applications (CCTA)
[IEEE] 2026-9-14 | WSES 2026 Content Announcement Page
[IEEE] 2026-9-14 | Circling Flight in Papilio Xuthus as an Embodied Intelligent System: Coordinated Wing Motion, Body Attitude, Vortex Dynamics, and Aerodynamic Forces
[IEEE] 2026-9-14 | Multi-Time-Scale Reactive Power and Voltage Optimization for Distribution Networks Considering Multi-State Reactive Power Regulation of DGs
[ACM] 2026-9-13 | Decentralized Learning with Communication-Efficient Learned Gradient Sketches
[ACM] 2026-9-13 | Tensos: Fast and Accurate Federated GBDT Training via Tentative Feature Shrinking on Stragglers
[ACM] 2026-9-13 | Contraction Hierarchies for Parallel Sequence-to-Graph Alignment
[ACM] 2026-9-14 | “Stop talking to me like we’re friends.” Analysis of online discussions between users on the conversational style of ChatGPT
[ACM] 2026-9-14 | Towards Urban Air Mobility: Exploring how to support collaborative planning and communication in drone projects
[ACM] 2026-9-14 | Early Neural Responses to Robot, Human, and Doll Faces: N170 and EPN Evidence
[ACM] 2026-9-14 | From Psychological Need Satisfaction to AI Dependency: The Divergent Roles of Basic and AI-Specific Needs
[ACM] 2026-9-14 | TMSO: Task Merging Strategies Based Optimized Scheduling for Energy-Constrained Parallel Applications in Heterogeneous Distributed Systems
[IEEE] 2026-9-14 | Low-Latency ANN Models for Lithium-Ion Battery Cell Health Detection in Multi-Cloud AI Pipelines
[IEEE] 2026-9-14 | Wind and State Estimation on SE(3): Comparative Evaluation of EKF and UKF with Continuous and Discrete Quadrotor Models
[IEEE] 2026-9-14 | Evaluation of Uncertainty in Data Center Power Usage Effectiveness Based on the Monte Carlo Method
[IEEE] 2026-9-14 | Table of Contents
[IEEE] 2026-9-14 | Balancing Clinical Safety and Operational Efficiency in AI-Assisted Wound Care Triage: A Simulation-Based Optimization Approach
[IEEE] 2026-9-14 | Role of Gesture-Based Interaction Models for AR Glasses
[IEEE] 2026-9-14 | Transitioning from Urban to Social Digital Twins Through AI and Social Media Analytics
[IEEE] 2026-9-14 | A Hybrid Machine Learning Platform for Securing Edge Computing Environments: A Review
[IEEE] 2026-9-14 | Comparitive Analysis of Transfer Function-Based PI Tuning for Mathematical Electric Vehicle Model
[IEEE] 2026-9-14 | Knowledge-Supervised LLM Decision Making for Intelligent Driving Systems in Long-Tail Scenarios
[IEEE] 2026-9-14 | FAITH-Manip: A Benchmark for Offline-to-Closed-Loop Evaluation of Imitation-Learning Robotic Manipulation Policies
[IEEE] 2026-9-14 | Power Flow Calculations Based on Complementary Condition for Converter-Connected Power Systems with Mode Switching
[IEEE] 2026-9-14 | Reactive Power Optimization in Distribution Networks Based on an Adaptive Fick's Law Algorithm
[IEEE] 2026-9-14 | Structure-Aware and Learning-Based Branching for Mixed-Integer Model Predictive Control
[IEEE] 2026-9-14 | Holomorphic-Embedded Affine Modeling for Interval Carbon Emission Flow Analysis in Power Systems
[ACM] 2026-9-14 | NCCLbpf: Verified, Composable Policy Execution for GPU Collective Communication
[ACM] 2026-9-14 | Kunai: Toward a Verifier-Safe Layered DSL for Nested Encapsulation Packet Filtering on eBPF
[ACM] 2026-9-14 | Unifying eBPF across Platforms: Formal Semantics, Conformance Testing, and Specifications
[ACM] 2026-9-14 | Communication Heterogeneity and Collective Consensus in Neural Cellular Automata
[ACM] 2026-9-13 | IHS-LM: Intra-batch Hybrid Scheduling and Layer Migration for VLM Pipeline Inference Acceleration on Edge Devices
[ACM] 2026-9-13 | GCL-Sampler: Discovering Kernel Similarity for Sampled GPU Simulation via Graph Contrastive Learning
[ACM] 2026-9-13 | MiTDM: Eliminating False Conflicts in Scalable MVCC in Disaggregated Memory
[IEEE] 2026-9-14 | Secure and Trust-Aware Federated Digital Twin Framework for Next-Generation Healthcare Systems
[IEEE] 2026-9-14 | Interpretable, Fair, and Robust Machine Learning for Diabetes Screening and Staging on Real-World Tabular Health Data
[ACM] 2026-9-14 | Blink and you miss it — VMM-OS Co-Design for Millisecond Boot of Isolated Serverless Applications
[ACM] 2026-9-14 | Towards Tractable Hardware Model Validation Against Real Hardware
[IEEE] 2026-9-14 | Reduced-Order Modeling and Convex Model Predictive Control for Rocket Engine Thrust Regulation
[IEEE] 2026-9-14 | Author Index
[IEEE] 2026-9-14 | Sensors Magazine Masthead
[IEEE] 2026-9-14 | Table of Contents
[IEEE] 2026-9-14 | The IEEE Sensors Council Educational Activities Ecosystem [Educational Activities]
[IEEE] 2026-9-14 | Vulnerability of Electrical Distribution Networks Against Cyber Attacks on Embedded PV Systems
[IEEE] 2026-9-14 | The Thermodynamic Costs of Simple Linear Regression_supp1-3732971.pdf
[ACM] 2026-9-13 | Cross-Layer Performance Analysis of Single-GPU Large Language Model Inference
[ACM] 2026-9-13 | CrossServe: Cross-Layer Scheduling for SLO Optimization in Multi-Tenant LLM Serving
[ACM] 2026-9-13 | Offline Signal Reconstruction and Time-dependent Roofline analysis for Always-on Monitoring
[IEEE] 2026-9-14 | A Deep Learning-Based Multi-Channel Convolutional Neural Network Framework for Automated and Early Detection of Thyroid Cancer Using Computed Tomography Imaging Data: An AI-Driven Approach for Enhanced Clinical Diagnosis and Precision Image Analysis
[IEEE] 2026-9-14 | Low-Voltage Electrical Fault Identification Method Based on CNN-LSTM-CAM
[IEEE] 2026-9-14 | AR Aspects-Based User Sentiment Analysis on Google Translate
[IEEE] 2026-9-14 | Nonlinear Predictive Cost Adaptive Control of Pseudo-Linear Input-Output Models Using Polynomial, Fourier, and Cubic Spline Observables
[IEEE] 2026-9-14 | Preface
[IEEE] 2026-9-14 | Spatiotemporal Barrier and Gap-Guided APF for Deadlock-Resilient UAV Collision Avoidance
[IEEE] 2026-9-14 | Method for State of Health Estimation of Retired Lead-Acid Batteries Based on Lasso Regression
[IEEE] 2026-9-14 | In-Context System Identification for Nonlinear Dynamics Using Large Language Models
                    <sup>*</sup>
[IEEE] 2026-9-14 | Bayesian Optimization-Based Tuning of Feedforward Controller for Feed Drives
[IEEE] 2026-9-14 | H
                    <sub>2</sub>
                    Purity-Aware Model-free Predictive Control of High-Pressure Alkaline Electrolyzers
[IEEE] 2026-9-14 | CNN-Enhanced and Bayesian-Optimized Support Vector Regression for Accurate Lithium-Ion Battery SOH Estimation
[IEEE] 2026-9-14 | Resilience-Oriented Optimal Operation of Ice-Storage Air-Conditioning Systems Considering Phase Change
[IEEE] 2026-9-14 | Distributed State Estimation for Active Distribution Grids With Integrated Battery Energy Storage
[ACM] 2026-9-14 | Pinning Isn't Enough: Gang-Scheduling Memory-Model Litmus Tests with sched_ext
[IEEE] 2026-9-14 | An NLP-Based Framework for Sentiment and Emotion Analytics in Customer Service Systems
[IEEE] 2026-9-14 | Social Robotics for Safer School Routes: An Exploratory Study With a Humanoid Robot and Children
[IEEE] 2026-9-14 | Next Generation Self-Centering Seismic Isolation: A Review of SMA–LRB Hybrid Systems for Resilient Infrastructure
[IEEE] 2026-9-14 | A Comprehensive Review of Advanced Driving Assistance Systems: Challenges, Technologies, and Future Directions
[IEEE] 2026-9-14 | Numerical Simulation on Combustion and NOx Emission Characteristics of Large-Ratio Ammonia Co-Firing in a 660 MW Opposed-Firing Coal Boiler
[IEEE] 2026-9-14 | RBF Network for CHB-MPC Prediction Correction: Accuracy Enhancement and Real-Time Constraint Analysis
[ACM] 2026-9-13 | Governing Global ASID/PCID Management for QoS Isolation in Shared-Kernel Mixed-Priority Systems
[ACM] 2026-9-13 | PG-Tune: Prediction-Guided Distributed Storage System Tuning without Repeated Online Benchmarking
[ACM] 2026-9-13 | High-Performance Star-M SVD for Big Data Compression
[ACM] 2026-9-14 | The Eyes Don’t Lie: Detecting Cognitive Load in VR Assembly Training using Built-in Pupillometry
[IEEE] 2026-9-14 | Amorphous Halide Solid-State Electrolytes: Synthesis Strategies, Ion Transport Mechanisms, and Application Progress
[IEEE] 2026-9-14 | Research on DC Bias Suppression Measures of Three-Phase Five-Column Transformer
[IEEE] 2026-9-14 | Editorial for the TBIOM Special Issue on The Best Reviewed Papers From IJCB 2025
[ACM] 2026-9-14 | Exploring the Design Space of Isolation Mechanisms
[IEEE] 2026-9-14 | Synergistic Effects of Cross-linking Network and α-Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Nanoparticles on Thermal Transport and Stability of XLPE: A Molecular Dynamics Simulation
[IEEE] 2026-9-14 | Marine Navigation under Compromised Inertial and Magnetic Sensing
[IEEE] 2026-9-14 | A maneuver-based parameter identification framework for inland vessels
[IEEE] 2026-9-14 | Optimal Iterative Learning-Based Fault-Tolerant Control for Vehicle-Manipulator Systems with Actuator Failures
[IEEE] 2026-9-14 | IEEE Transactions on Biometrics, Behavior, and Identity Science Publication Information
[IEEE] 2026-9-14 | IEEE Power &amp; Energy Society Information
[IEEE] 2026-9-14 | Deep Semantic Matching of Academic Courses Using BERT Based Embeddings with Siamese Network
[IEEE] 2026-9-14 | Aggregated Configuration and Design of Industrial Alarm Systems Using Voting Mechanisms
[IEEE] 2026-9-14 | Zero-Shot Affordance Exposure for Robotic Manipulation Via Object Repositioning
[IEEE] 2026-9-14 | Robust Learning for Structural Vibration Mitigation under Excitation Uncertainty
[IEEE] 2026-9-14 | A Novel MPPT Control Strategy for PV-Thermal Hybrid Systems
[IEEE] 2026-9-14 | Implementing Dynamic Virtual Power Plants with Model Predictive Control
[IEEE] 2026-9-14 | Physiological and Performance Evaluation of an Underwater Wearable Robotic Exoskeleton
[ACM] 2026-9-13 | QMScaler: A QoS-Constrained Resource-Efficient Microservice Autoscaling Framework for Edge Environments
[ACM] 2026-9-13 | BAG: Faster Matrix Multiplication on a Single GPU
[IEEE] 2026-9-14 | Protocol-Aware Iot Intrusion Detection Using Random Forest and CorrAUC
[IEEE] 2026-9-14 | Adaptive Healthcare Monitoring System Using Edge AI for Personalized Patient Care
[IEEE] 2026-9-14 | Research on Distribution Network Operation and Maintenance Model Based on Load Data and Artificial Intelligence Algorithm
[IEEE] 2026-9-14 | Data-Driven Real-Time Scheduling Method Based on Deep Reinforcement Learning for IIoT-Enabled Discrete Manufacturing Workshop
[IEEE] 2026-9-14 | Economic Analysis and Harmonic Mitigation of Offshore wind Power via Low Frequency Transmission System Based on DRU-MMC
[IEEE] 2026-9-14 | Point Cloud Registration in 3D Reconstruction: A Survey of Traditional Geometric Methods, Deep Learning, and System-Level Integration
[IEEE] 2026-9-14 | Centralized control in mixed traffic: Energy efficiency and robustness under partial controllability
[IEEE] 2026-9-14 | Stability Analysis of VSG Grid-Connected System Based on Equivalent RLC Circuit
[IEEE] 2026-9-14 | Grid Intelligent Verification System Based on Digital Twin and Deep Learning
[IEEE] 2026-9-14 | Reinforcement Learning-Based Youla Q-Parameter Tuning for Nanopositioning Flexible System
                    <sup>*</sup>
[IEEE] 2026-9-14 | Assignment-Free Real-time Tracking Control for Large-Scale Multi-Agent Systems
[IEEE] 2026-9-14 | Control-Aware Radio Resource Allocation for Wireless Estimation Using Lyapunov-Based Priority Scheduling
[IEEE] 2026-9-14 | Research on Optimal Decision Model of Distribution Network Project Based on Marginal Investment Efficiency
[IEEE] 2026-9-14 | Energy Efficient Cloud Computing using Hybrid LSTM and Deep Reinforcement Learning
[IEEE] 2026-9-14 | Integrating Active Damping with Shaping-Filtered Reset Control for Piezo-Actuated Nanopositioning
[IEEE] 2026-9-14 | Feasibility-Robust MPC for Self-Powered Control of Nonlinear Systems
[IEEE] 2026-9-14 | Cooperative Multi-Horizon Model Predictive Control for Energy-Efficient Train Operation with Inter-Vehicle Energy Exchange
[ACM] 2026-9-14 | Formal Specification of Linux eBPF Instruction Set Architecture in Sail
[IEEE] 2026-9-14 | Technology-Based Integrated Framework and Model for Sustainable Procurement and Logistics for the Oman Construction Industry
[IEEE] 2026-9-14 | AI-Driven Management and Data Analytics Frameworks for Renewable Energy Integration in Oman's Smart Infrastructure Ecosystem
[ACM] 2026-9-14 | "AI will figure it out": System Compensation and Intent Deferral in Open-Ended Generative AI Interfaces
[ACM] 2026-9-14 | Clean or simplistic? Testing a lower granularity algorithmic explainer for users’ comprehension, trust, and preference
[ACM] 2026-9-13 | Algorithm--Hardware Co-Design of Spiking Transformers for In-Memory Neuromorphic Edge Vision
[ACM] 2026-9-13 | Large-Scale Quantum Circuit Simulation on HPC Cluster via Cache Blocking, Boosting, and Gate Fusion Optimization
[IEEE] 2026-9-14 | A Software-Driven Hardware/Software Co-Design Framework for Efficient RISC-V Customization and Early-Stage Architectural Optimization
[IEEE] 2026-9-14 | Elastic Pod CPU Auto-Scaler (EPCAS): An Open-Source Kubernetes Operator for Restart-Free Vertical CPU Scaling with Typed-Refusal Semantics
[IEEE] 2026-9-14 | A Systematic Review of Urban Waste Management Strategies and Technologies: Toward Cleaner Cities in Oman Through Integrated Smart Solutions
[ACM] 2026-9-14 | Designing Growth Mindset-Inspired Feedback Messages Tailored to Learning Behaviors Using LLM and Persuasive Strategies
[IEEE] 2026-9-14 | Multi-regional Electricity Price Joint Forecasting Based on the Hybrid DCC-GCN-LSTM Model
[IEEE] 2026-9-14 | Supporting Sustainable Urban Design Using Contrastive Learning and Large Language Models
[IEEE] 2026-9-14 | Remaining useful life prediction of rotors with aerodynamic anomalies via multi-scale attention enhancement and auxiliary supervision
[IEEE] 2026-9-14 | Ontology Guided Crime Prediction Framework Using Feature-Cost Aware Random Forest
[IEEE] 2026-9-14 | Typographic Space, Learned: A Transformer-CVAE for Designer-Grade Layouts
[IEEE] 2026-9-14 | Efficient Machine Learning for Financial Systems: Algorithmic and Architectural Principles for Production Deployment
[IEEE] 2026-9-14 | A Method for Detecting Electricity Theft Based on Multi-Feature Fusion of User Behavior
[IEEE] 2026-9-14 | Blank Page
[IEEE] 2026-9-14 | Lightweight AI Model for Rice Grain Classification in Resource-ConstrainedSystems
[IEEE] 2026-9-14 | Fine-Grained Detection of Forceps Tips and Joints in Laparoscopic Videos for Surgical Skill Analysis
