[2026-07-03 11:33:31] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[arXiv] 2026-07-02 | Securing People and their Machines Against Major Faults
[arXiv] 2026-07-02 | Spatial Speech Perception Systems: A Survey of Sound Source Localization, Directional Enhancement, and Speech Recognition
[arXiv] 2026-07-02 | A convexity-type invariant for the critical coagulation--fragmentation Hamilton--Jacobi equation
[arXiv] 2026-07-02 | Neural-Network Inverse Design of SRF Cavities and Transmons for Bosonic Quantum Computation
[arXiv] 2026-07-02 | A novel time-domain iterative method for a three-dimensional inverse acoustic obstacle scattering problem
[arXiv] 2026-07-02 | Goodness of Fit Tests Based on Joint Densities of Multiple Sample Statistics
[arXiv] 2026-07-02 | Velocity and force autocorrelations in Brownian dynamics with a Lorentz force
[arXiv] 2026-07-02 | NEUROSYMLAND: Neuro-Symbolic Landing-Site Assessment for Robust and Edge-Deployable UAV Autonomy
[arXiv] 2026-07-02 | Cadence: Extreme Pipelining with Multiple Concurrent Proposers
[arXiv] 2026-07-02 | Localization and Topological Properties of SU(3) Fermions in non-Abelian Gauge Fields: Color-Orbit Coupling and Color-Flip Fields
[arXiv] 2026-07-02 | Towards the Overfull Conjecture II
[arXiv] 2026-07-02 | Global well--posedness for the mass--critical nonlinear Schr{ö}dinger equation on $\mathbb{T}$
[arXiv] 2026-07-02 | Aggregation with Exponential Weights is Optimal in Expectation
[arXiv] 2026-07-02 | Patagium and tail morphology shape aerodynamic performance and control authority in gliding-mammal-inspired wings
[arXiv] 2026-07-02 | Computable measures of fermionic non-Gaussianity from the covariance matrix
[arXiv] 2026-07-02 | When Token Compression Breaks: Structural Pruning vs. Token Reduction for Robust ViT Segmentation under High Compression
[arXiv] 2026-07-02 | Sideband Structure of Axion Electrodynamics
[arXiv] 2026-07-02 | Characterizing finite posets whose probabilistic powerdomain are RB-domains
[arXiv] 2026-07-02 | Alternative routes to universal diversity scaling in component systems: from proteomes to large language models
[arXiv] 2026-07-02 | MedSaab-US: A Backpropagation-Free Multi-Scale Wavelet-Saab Framework for Thyroid Nodule Segmentation in Ultrasound Images
[arXiv] 2026-07-02 | Self-explainable Operator Learning for Discovering Spatial Patterns in Functional Data
[arXiv] 2026-07-02 | Bridge-WA: Predicting Where and How the World Changes for Robotic Action
[arXiv] 2026-07-02 | On a Theorem of Wang for Complex Homogeneous Manifolds
[arXiv] 2026-07-02 | Privacy-Preserving and Verifiable Approximate Distributed Coded Computing
[arXiv] 2026-07-02 | $l$-forbidden $\mathbf{M1}$ strengths near $^{100}$Sn from knockout reactions in Cd and Sn
[arXiv] 2026-07-02 | A density matrix renormalization group approach to quantum point contacts
[arXiv] 2026-07-02 | Searching for single production of a vector-like $Y$ quark decaying into $bW$ at the FCC-eh
[arXiv] 2026-07-02 | Uniform bounds on the Dunkl kernel
[arXiv] 2026-07-02 | A rubric-based controlled comparison of frontier language models on expert-authored clinical reasoning tasks
[arXiv] 2026-07-02 | Dynamic Neural Graph Encoding of Inference Processes in Deep Weight Space
[arXiv] 2026-07-02 | A Structure Theorem for Phase-Space Representations of Continuous-Variable Quantum Error-Correcting Codes
[arXiv] 2026-07-02 | Mathematical Exploration of Earth Gravitational Field Impact on Seasonal Wind Flux in a Tropical Region
[arXiv] 2026-07-02 | Supersymmetric twists in twistor space and holography
[arXiv] 2026-07-02 | AdaCount: Training-Free Similarity-Guided Spatial and Feature Adaptation for Zero-Shot Object Counting
[arXiv] 2026-07-02 | Phonon spectral function of Holstein polaron: Investigation of many-body effects with self-energy and vertex correction
[arXiv] 2026-07-02 | Quantum Convolutional Autoencoders for Reconstruction-Based Anomaly Detection
[arXiv] 2026-07-02 | Coding-agents can replicate scientific machine learning papers
[arXiv] 2026-07-02 | Scaling Laws for Three-Body Nuclear Contacts
[arXiv] 2026-07-02 | Enhancing Fitness Intelligence through Domain-Specific LLM Post-Training
[arXiv] 2026-07-02 | Unconventional Mixed-Parity Magnetism in Rare-Earth Tetraborides
[arXiv] 2026-07-02 | A 2048-spin bulk acoustic wave Ising machine for number partitioning and Sudoku
[arXiv] 2026-07-02 | A Two-Color Lift of the Shifted $t$-Schur Measure
[arXiv] 2026-07-02 | Ask the Right Comparison:Bias-Aware Bayesian Active Top-$k$ Ranking with LLM Judges
[arXiv] 2026-07-02 | X-Splat: Gaussian Splatting for 3D CBCT Generation from Single Panoramic Radiograph
[arXiv] 2026-07-02 | Granular Instrumental Variables in Large Panels: Identification and Inference Across Strong, Nearly Weak, and Weak GIV
[arXiv] 2026-07-02 | Non-synchronism in Global Usage of Research Methods in Library and Information Science from 1990 to 2019
[arXiv] 2026-07-02 | C2E: Boosting Ego-Only 3D Object Detection via Multi-Teacher Contrastive Knowledge Distillation
[arXiv] 2026-07-02 | Fundamental racks of braid spaces of complex reflection groups
[arXiv] 2026-07-02 | Rethinking Conditional Generation for Underwater Salient Object Detection
[arXiv] 2026-07-02 | MMIR-TCM: Memory-Integrated Multimodal Inference and Retrieval for TCM Clinical Decision Support
[arXiv] 2026-07-02 | A Social Norms Approach to Youth Social Media Design
[arXiv] 2026-07-02 | PixGS: Pixel-Space Diffusion for Direct 3D Gaussian Splat Generation
[arXiv] 2026-07-02 | On the Limits of Steering Vectors for Preference-Aligned Generation
[arXiv] 2026-07-02 | Expander Sparse Autoencoders: Parameter-Efficient Dictionaries for Mechanistic Interpretability
[arXiv] 2026-07-02 | Hybrid Residual Correction of VMC Charmonium Masses with a Screened Funnel Interaction
[arXiv] 2026-07-02 | Interferometric characterization of the relative phase between two X-ray free-electron laser pulses using long-lived Mössbauer resonances
[arXiv] 2026-07-02 | Lightweight Safe Reinforcement Learning for End-to-End UAV Navigation
[arXiv] 2026-07-02 | MERLIN-SUITE: Probabilistic modular GRN inference from multi-omics data integrating regulatory priors and transcription factor activity
[arXiv] 2026-07-02 | EPnG: Adaptive Expert Prune-and-Grow for Parameter-Efficient MoE Fine-tuning
[arXiv] 2026-07-02 | Performance of a two-mode coherent superposed channel in continuous-variable quantum teleportation
[arXiv] 2026-07-02 | Lattice study of primordial black hole formation in bumpy axion inflation
[arXiv] 2026-07-02 | AI Virtue: What is "Good" Knowledge in the Age of Artificial Intelligence?
[arXiv] 2026-07-02 | LLM-Empowered Multimodal Fusion Framework for Autonomous Driving: Semantic Enhancement and Channel-Adaptive Design
[arXiv] 2026-07-02 | A Cap-Axis Integral Diagnostic of Factor Models
[arXiv] 2026-07-02 | Decentralized Stochastic Subgradient-type Methods with Communication Compression for Nonsmooth Nonconvex Optimization
[arXiv] 2026-07-02 | Path-level Hindsight Instructions for Semantic Exploration in Vision-Language Navigation
[arXiv] 2026-07-02 | MedStreamBench: A Time-Aware Benchmark for Streaming and Proactive Medical Video Understanding
[arXiv] 2026-07-02 | Finite-Lag Operator Geometry of Recurrent Representations
[arXiv] 2026-07-02 | InterCMDM: Block-Causal Diffusion for Autoregressive Human Interaction Generation
[arXiv] 2026-07-02 | Development and Identification of a Linear Low-Speed Ship Maneuvering Model from Full-Scale Data
[arXiv] 2026-07-02 | A note on long nontrivial cycle in Hamiltonian graphs
[arXiv] 2026-07-02 | Kuranishi chart categories and higher cocycle conditions
[arXiv] 2026-07-02 | DRL-CLBA: A Clean Label Backdoor Attack for Speech Classification via DDPG Reinforcement Learning
[arXiv] 2026-07-02 | Particle dynamics and quasi-periodic oscillations of a Reissner--Nordström-like black hole in Kalb--Ramond gravity under an external magnetic test field
[arXiv] 2026-07-02 | Ultrasonic Observation of Slowing Down of Multipole Fluctuations in Sr$_2$RuO$_4$
[arXiv] 2026-07-02 | Hypergraph Minority Game with Local Hyperedge Payoffs
[arXiv] 2026-07-02 | COMFYCLAW: Self-Evolving Skill Harnesses for Image Generation Workflows
[arXiv] 2026-07-02 | A Mathematical Introduction to Diffusion Models
[arXiv] 2026-07-02 | From Answer Generators to Reasoning Facilitators: Designing AI Tutors for Mathematical Reasoning in High-Stakes Environments
[arXiv] 2026-07-02 | Beyond Gradient-Based Attacks: Adversarial Robustness and Explainability Stability in Cybersecurity Classifiers
[arXiv] 2026-07-02 | A Deep Learning Earth System Model Simulation of Indian Monsoon Intraseasonal and Interannual Variability
[arXiv] 2026-07-02 | Separating Expert Retention from Autonomous Source Inference in Raw-ECG-Replay-Free Continual ECG Deployment
[arXiv] 2026-07-02 | Development of a Retrieval-Augmented Generation Virtual Assistant for Enhanced Information Discovery at Rubin Observatory
[arXiv] 2026-07-02 | Computed emissivity of carbon dioxide, water vapor, and their mixtures for a wide range of temperatures and pressure-pathlengths
[arXiv] 2026-07-02 | AgenticDataBench: A Comprehensive Benchmark for Data Agents
[arXiv] 2026-07-02 | Path planning for unmanned naval surface vehicles
[arXiv] 2026-07-02 | Phase-selective orbital-charge conversion in $\mathrm{MoTe_2}$
[arXiv] 2026-07-02 | Post-Processing Reduced-Order Models for Transport-Dominated Problems by Gegenbauer Reconstruction
[arXiv] 2026-07-02 | Multi-Domain Matrix Framework for Human Resource Decision Support
[arXiv] 2026-07-02 | ProWAFT: A ROMA-LPD Instance for Workload-Aware and Dynamic Fault Tolerance in FPGA-Based CNN Accelerators
[arXiv] 2026-07-02 | SemHash-LLM: A Multi-Granularity Semantic Hashing Framework for Document Deduplication
[arXiv] 2026-07-02 | Efficient high-order explicit symplectic splitting methods for post-Newtonian Hamiltonian systems
[arXiv] 2026-07-02 | MVFusion-GS: Motion-Variance Guided Temporal Attention for High-Quality Dynamic Gaussian Splatting
[arXiv] 2026-07-02 | Geometric Signatures of Reasoning: A Spectral Perspective on Task Hardness
[arXiv] 2026-07-02 | Complete Integrability for Piecewise-Smooth Distributions
[arXiv] 2026-07-02 | Decomposing Wage Stagnation: Employment Reallocation, Wage Structure,and Demographics
[arXiv] 2026-07-02 | CHEOPS observations of V1298 Tau: updated planetary densities and implications on the early evolution of the young system
[arXiv] 2026-07-02 | Mind the Gap: Standard 3DGS Evaluation Primarily Measures Near-Trajectory Interpolation
[arXiv] 2026-07-02 | Evolutionary Wave Function Collapse
[arXiv] 2026-07-02 | Revision of the Detached Eclipsing System IR Cas from TESS Observations, Ground-Based Photometry and Spectroscopy
[arXiv] 2026-07-02 | HandsOnWorld: Unconstrained Egocentric Video Generation with Camera-Disentangled Hand Control
[arXiv] 2026-07-02 | SA-HGNN: Sample-Adaptive Hyperbolic Graph Neural Network for EEG-Based Depression Recognition
[arXiv] 2026-07-02 | Lower Bounds for Anytime Acceleration of Gradient Descent
[arXiv] 2026-07-02 | PACE: A Proxy for Agentic Capability Evaluation
[arXiv] 2026-07-02 | Benchmarking Quantum Software Testing with Scalable Quantum Programs
[arXiv] 2026-07-02 | UnderOneFacade: Worldwide Facade Semantic Segmentation Benchmark Dataset
[arXiv] 2026-07-02 | Iwasawa-Type Spectral Resultant Growth Laws for Grover Walks on Graph Towers
[arXiv] 2026-07-02 | Quantum sensing of aging transitions
[arXiv] 2026-07-02 | Convergence fragility in probit Bayesian kernel machine regression implemented in the bkmr R package for binary-outcome environmental mixture analyses: a simulation study
[arXiv] 2026-07-02 | Open-Weather Robust 3D Detection via Dual-Critic Diffusion Alignment
[arXiv] 2026-07-02 | Pulsar Backend for 21 CentiMeter Array: Implementation of Data Acquisition and Initial Results
[arXiv] 2026-07-02 | Autorelevance function and other feature relevance measures for univariate time series
[arXiv] 2026-07-02 | Personalized 4D Whole-Heart Mesh Reconstruction from Cine MRI via Multi-Scale Temporal Modeling and Differentiable Contour Rendering
[arXiv] 2026-07-02 | Simple restricted modules over the deformative Schrödinger-Virasoro algebra
[arXiv] 2026-07-02 | Atomic Task Graph: A Unified Framework for Agentic Planning and Execution
[arXiv] 2026-07-02 | McLean resonances and $3d$ spectral instability of Stokes waves
[arXiv] 2026-07-02 | Mapping Source-Resolved Phase-Noise Transfer in Soliton Microcombs
[arXiv] 2026-07-02 | Analysis of the asymptotic density of endogamous diploid cellular automata
[arXiv] 2026-07-02 | Growth of Schrödinger cats in particle-number measurement schemes
[arXiv] 2026-07-02 | Population-Based Multi-Objective Training of Discriminators for Semi-Supervised GANs
[arXiv] 2026-07-02 | Regularized Variational and Spectral Log-Density-Ratio Estimation in the Gaussian Location Model
[arXiv] 2026-07-02 | Spec-AUF: Accept-Until-Fail Training under Train-Inference Misalignment for Masked Block Drafters
[arXiv] 2026-07-02 | Predicting Heterogeneous Treatment Effects Of Building Energy Saving Retrofits Using Causal Machine Learning
[arXiv] 2026-07-02 | Lubkin-Page typicality bounds for Type~II von~Neumann factors
[arXiv] 2026-07-02 | Descriptor: LYNRED Mobility Dataset Multimodal Detection Subset (LYNRED-MDS)
[arXiv] 2026-07-02 | Safety Targeted Embedding Exploit via Refinement
[arXiv] 2026-07-02 | On the algebraic analysis of runtime distribution of probabilistic programs
[arXiv] 2026-07-02 | Revisiting atmospheric Roche lobe overflow in symbiotic binaries
[arXiv] 2026-07-02 | Actual causality in fault trees
[arXiv] 2026-07-02 | A Shifted $t$-Schur Weight from the Modified Odd Operator
[arXiv] 2026-07-02 | An overlap-free morphism is a k-power-free morphism for any integer k $\ge$ 3
[arXiv] 2026-07-02 | Beyond Skepticism: Evaluating LLMs Pedagogical Intent Reasoning with the Adaptive Pedagogical Vigilance Framework
[arXiv] 2026-07-02 | Conceptual completeness for subgeometric logics
[arXiv] 2026-07-02 | Colour evolution in the radio afterglow of GRB 241025A
[arXiv] 2026-07-02 | Quantifying angular momentum of coherently driven circular phonons
[arXiv] 2026-07-02 | WorldDirector: Building Controllable World Simulators with Persistent Dynamic Memory
[arXiv] 2026-07-02 | Distributed Attacks in Persistent-State AI Control
[arXiv] 2026-07-02 | Program-as-Weights: A Programming Paradigm for Fuzzy Functions
[arXiv] 2026-07-02 | DemoPSD: Disagreement-Modulated Policy Self-Distillation
[arXiv] 2026-07-02 | Embodied.cpp: A Portable Inference Runtime of Embodied AI Models on Heterogeneous Robots
[arXiv] 2026-07-02 | Beyond Adam: SOAP and Muon for Faster, Label-Efficient Training of Machine Learning Interatomic Potentials
[arXiv] 2026-07-02 | BRST-BV approach to fields in Poincare patch of AdS
[arXiv] 2026-07-02 | Building the Ipseome: Large, Free, Open, Human Identity Data
[arXiv] 2026-07-02 | Automated logical Clifford gadgets for heterogeneous architectures via chain maps
[arXiv] 2026-07-02 | The Merger-Driven Origin of the Vast Extended Stellar Disc Around the Andromeda Galaxy
[arXiv] 2026-07-02 | Interpretation-Oriented Cloud Removal via Observation-Anchored Residual Flow with Geo-Contextual Alignment
[arXiv] 2026-07-02 | Learning to Move Before Learning to Do: Task-Agnostic pretraining for VLAs
[arXiv] 2026-07-02 | AgentsCAD: Automated Design for Manufacturing of FDM Parts via Multi-Agent LLM Reasoning and Geometric Feature Recognition
[arXiv] 2026-07-02 | Curvature-induced host-mediated polarization of active particles
[arXiv] 2026-07-02 | Improved Approximation Algorithms for n-Pairs Shortest Paths
[arXiv] 2026-07-02 | Reasoning effort, not tool access, buys first-try reliability in agentic code generation: an observational study
[arXiv] 2026-07-02 | A Topological Formula for Potts Lattice Gauge Theory Correlations
[arXiv] 2026-07-02 | Instrumented difference-in-differences under case-control sampling
[arXiv] 2026-07-02 | How wrong is too wrong: A numerical study on the relevance of positional memory in the generalized Langevin equation
[arXiv] 2026-07-02 | On the growth spectrum of hyperbolic groups
[arXiv] 2026-07-02 | Refined Sensitivity Estimates for Single-Molecule Magnet Dark Matter Detectors
[arXiv] 2026-07-02 | Quantum-geometric shift of quasiequilibrium: Origin of nonreciprocal current driven by quantum-metric dipole
[arXiv] 2026-07-02 | Polarization Architecture of Steady GRMHD Jets from the Horizon to Infinity
[arXiv] 2026-07-02 | Part bounds for the Sylow permutation characters of $S_n$
[arXiv] 2026-07-02 | Self-Auditing Residual Drifting for Pathology-Preserving Accelerated Knee MRI
[arXiv] 2026-07-02 | QFedAgent: Quantum-Enhanced Personalized Federated Learning for Multi-Agent Activity Recognition
[arXiv] 2026-07-02 | Q-GAIN: A Python Package for Machine Learning and Physically Informed Analysis Applications
[arXiv] 2026-07-02 | Copying Quantum States
[arXiv] 2026-07-02 | Text-Driven 3D Indoor Scene Synthesis in Non-Manhattan Environments
[arXiv] 2026-07-02 | Object-centric LeJEPA
[arXiv] 2026-07-02 | FlintKV: A Fast Durable Storage Engine for Modern Databases
[arXiv] 2026-07-02 | Transformer Geometry Observatory TGO-II: Representational Similarity Observatory
[arXiv] 2026-07-02 | Representation Distribution Matching for One-Step Visual Generation
[arXiv] 2026-07-02 | Learning Spectral and Polarimetric Clues for One-to-Multimodal Novel View Synthesis
[arXiv] 2026-07-02 | Deterministic Polynomial-time Exact-root Computation for Sparse Polynomials with Bounded Total Degree
[arXiv] 2026-07-02 | GAP-GDRNet: Geometry-Aware Monocular Visual Pose Sensing on a Single-Target Synthetic Spacecraft Dataset
[arXiv] 2026-07-02 | Cloak and Detonate: Scanner Evasion and Dynamic Detection of Agent Skill Malware
[arXiv] 2026-07-02 | Tracing grain growth in the forming prestellar core L1506C with 3D modeling of Herschel, IRAM, and CFHT observations
[arXiv] 2026-07-02 | Kardar-Parisi-Zhang dynamics in an open integrable system: beyond the spontaneous-symmetry-breaking ansatz
[arXiv] 2026-07-02 | Sensitivity Analysis and Robust Optimal Control for Coupled Evolution Inclusions with State-Dependent Maximal Monotone Operators
[arXiv] 2026-07-02 | SoK: A Taxonomy for Cybersecurity Incident Response Influence Factors
[arXiv] 2026-07-02 | Probing Chemical Language Models: Effects of Pre-training and Fine-tuning
[arXiv] 2026-07-02 | Partially-Blind Single-Qubit Classification over a Prototype Hybrid Quantum Network
[arXiv] 2026-07-02 | Tuning nonlinear waves in nonreciprocal active filaments
[arXiv] 2026-07-02 | Mixing times of spin systems on dynamical percolation
[arXiv] 2026-07-02 | Stable Self-Modulating Quantum Fast-Weight Programmers with Bounded Memory Gates
[arXiv] 2026-07-02 | HCMS: Head-Chunked Multi-Stream Pipeline for Communication-Computation Overlap in Long-Sequence Parallel Attention
[ACM] 2026-7-2 | Autonomous Mobile Robot Navigation Using Double Deep Q-Network: Efficient Goal-Seeking and Obstacle Avoidance
[ACM] 2026-7-2 | RL to Control Agile Dynamics of a Single Legged Hopping Robot
[ACM] 2026-7-2 | TO-SoFiT: Topology Optimization of Hydraulic Soft Fish Tail Design for programmable undulating locomotion
[IEEE] 2026-7-2 | Welcome from the Workshops Chairs
[IEEE] 2026-7-2 | A Fault Diagnosis Method for Surge Arresters Based on Distributed In-situ Measurement Technology
[IEEE] 2026-7-2 | An Interferometric Phase Map Segmentation Algorithm Based on an Adaptive Optimization Tolerance Granularity Space Model
[ACM] 2026-7-2 | WindStencil: Unleashing GPU Potential for High-Order Stencil Computation in High-Performance Inviscid CFD Simulations
[ACM] 2026-7-2 | S2VEC: Compiler-Driven Stream Specialization for Linearized Vectorization
[ACM] 2026-7-2 | SVSIG: Incremental Streaming Graph Processing with Source Vertex Suppression
[ACM] 2026-7-2 | Leveraging Large Language Models for Generating Research Topic Ontologies: A Multi-Disciplinary Study
[ACM] 2026-7-2 | Disentangled Multimodal Tuning and Interaction for Human Perception Understanding
[ACM] 2026-7-2 | CORE-BFS: Communication-Optimized REctangular-partitioned BFS Achieving 160.845 TeraTEPS on Frontier Supercomputer
[IEEE] 2026-7-2 | Pseudo-Label Comprehensive Filtering and Edge Refinement for Semi-Supervised Instance Segmentation in Remote Sensing Imagery
[IEEE] 2026-7-2 | Deep Learning for Intrusion Detection in Satellite Networks: A Survey of Ground Station Internal Traffic and Satellite-Ground Link Security
[IEEE] 2026-7-2 | GPECOM 2026 Panel Discussion
[IEEE] 2026-7-2 | Learning Event Perturbation Field for Continuous Event Stream-Based Object Tracking
[IEEE] 2026-7-2 | Real-Time Location/Mobility-Aware Resource Allocation in D2D Communications—A Deep Reinforcement Learning Approach
[IEEE] 2026-7-2 | Spatio-temporal Traffic Prediction-Assisted Interruption-Tolerant Backup Routing Algorithm for Large-Scale LEO Satellite Networks
[IEEE] 2026-7-2 | Congratulations on 10 Years of Power Electronics
[IEEE] 2026-7-2 | Model and Data-Driven Off-Grid Sparse Bayesian Learning Network for DOA Estimation
[IEEE] 2026-7-2 | Mobile Charging Stations in Iov: Joint Optimization of Order Service and Energy Replenishment_supp1-3709175.pdf
[IEEE] 2026-7-2 | SDNAS: Neural Architecture Search for Self-Supervised Single-Image Denoising Using Genetic Algorithm with Modular Encoding
[IEEE] 2026-7-2 | Optimization of a Magnetic Field Modulated Magnetic Lead Screw for Wave Energy Conversion Based on Axial Flux-Concentrating PMs
[IEEE] 2026-7-2 | Magnetic Force Calculation for Toroidal Inductor Wound With Rectangular Cross Section Wire
[IEEE] 2026-7-2 | Crip Haptic Jam: Vibrotactile Composition for Disability-Centered Dance
[IEEE] 2026-7-2 | AP-FrontierNav: Scene-Transition-Driven Frontier Reasoning With Viewpoint-Aware Verification for ObjectNav
[IEEE] 2026-7-2 | Predictive Current Control of H8-CSI-Fed High-Speed PMSM with Reduced Sensor Count and Low DC-Link Inductance
[ACM] 2026-7-2 | Energy-Efficient LLM-Based Decompilation via a Two-Stage Pipeline on Constrained Hardware
[ACM] 2026-7-2 | Information Asymmetry and Governance Failure: Insider Trading in Family Firms and the Implications for Disclosure Systems
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[ACM] 2026-7-2 | Design, Development and Testing of a DTx Tool for Pediatric Chronic Pain: Lessons Learned from Early-Testing with Healthy Children
[IEEE] 2026-7-2 | Lightweight Models and Representations for Efficient and Robust Video Copy Detection
[IEEE] 2026-7-2 | Quantum-Assisted Secure Nano-Network Traffic Framework for Real-Time Medical Data Transmission in Smart Hospitals
[IEEE] 2026-7-2 | Fault analysis in a 10 MW wind farm with
[IEEE] 2026-7-2 | LiTransNet: LiDAR Point Cloud Transmission for Autonomous Vehicles Using Deep Learning
[IEEE] 2026-7-2 | Edge-Enhanced XR Teleoperation for Humanoid Robots using Jetson and Real-Time Digital Twin
[IEEE] 2026-7-2 | Automated Harbour Craft Identification and Tracking System
[IEEE] 2026-7-2 | Green Digital Transitions in Engineering Education and the Role of AI in Teaching Ecology for Sustainable Thinking
[IEEE] 2026-7-2 | The AI-Enabled Agile University: A Conceptual Model for Responsive, Data Driven Higher Education
[IEEE] 2026-7-2 | AI-Driven Proctoring Framework for Online Examinations Using Computer Vision and Behavioral Analytics
[IEEE] 2026-7-2 | BlipART: A Multimodal Approach To Detect Aggressive Meme In Low-Resource Language
[IEEE] 2026-7-2 | The Effect of AI on the Exam Cheating Threat: Comparing On-Site and Remote Exams
[IEEE] 2026-7-2 | FRAIT: Framework for Resilient Autonomic IoT
[IEEE] 2026-7-2 | Causal Models Improve Reinforcement Learning for Pervasive and Robotic Tasks
[IEEE] 2026-7-2 | What Drives Issue Resolution Speed? An Empirical Study of Scientific Workflow Systems on GitHub
[IEEE] 2026-7-2 | Online Uplink Scheduling for Multi-User LEO Satellite IoT Networks
[IEEE] 2026-7-2 | Research on the Relationship Between Road Alignment and Accident Types in Accident-Prone Sections
[IEEE] 2026-7-2 | A Comparative Analysis of Latency, Security, and Scalability in Heterogeneous Distributed Architectures for Autonomous Vehicles
[IEEE] 2026-7-2 | Towards Practical SDN Adoption in Resource-Constrained E-Learning Environments: The Challenges, Readiness, and Deployment Pathways
[IEEE] 2026-7-2 | AI-Assisted Learning in Theoretical Electrical Engineering - A Conversational Support Tool for Conceptual Understanding
[IEEE] 2026-7-2 | LLMs Explain’t: A Post-Mortem on Semantic Interpretability in Transformer Models
[IEEE] 2026-7-2 | Resource-Efficient Streaming Feature Extraction for Real-Time IoT DDoS Detection
[IEEE] 2026-7-2 | Beyond Inrush Current: Experimental Study of Wound-Rotor Starting and Simulation-Based Analysis of VFD-Controlled Induction Motors
[IEEE] 2026-7-2 | Efficient Framework for Predicting Renewable Energy using Transformer Model and Dynamic Feature Learning
[IEEE] 2026-7-2 | Thermodynamic Performance of a PTSC-LHTES-ORC-HTHP Hybrid Energy System for Combined Power and Process Heat Production
[IEEE] 2026-7-2 | AGU-Net: An Attention and Gating-aided U-Net Model for Breast Ultrasound Lesion Segmentation
[IEEE] 2026-7-2 | Integrating Learnable Spatial Embeddings into Transformers for Traffic Flow Forecasting
[IEEE] 2026-7-2 | IoT-Based Liquid Tank Monitoring-Comparative Evaluation of Lightweight Statistical Anomaly Detection Techniques
[IEEE] 2026-7-2 | Technical Debt Approach and Consciousness in Startups Transitioning to the Growth Phase: A Four-Facet Model
[IEEE] 2026-7-2 | AI-Assisted Semantic Modeling of Languages for Symbolic Execution Driven Unit Test Generation
[IEEE] 2026-7-2 | Strategic Collaborative Uplink for Information Freshness in Rechargeable IoT Devices
[IEEE] 2026-7-2 | Lightweight and Adaptive Gear Defect Detection for Embodied Industrial Edge Deployment
[IEEE] 2026-7-2 | Design and Multiphysics Analysis of a Compact Air-Cooled Heatsink for GaN/SiC TType Power Converters in Electric Vehicle Applications
[IEEE] 2026-7-2 | Adaptive Energy-Aware Cooperative Micro Drone Swarms for Efficient Large Scale Aerial Mapping
[IEEE] 2026-7-2 | Network Temperature Driven Equilibrium Optimization for Enhanced Intrusion Detection
[IEEE] 2026-7-2 | Design and Analysis of Chirp-Layered Superposition Coding for LoRa
[IEEE] 2026-7-2 | Energy-Efficient INT8 Quantized LeNet Accelerator Using Systolic Arrays for Handwritten English-Arabic Digits Recognition
[IEEE] 2026-7-2 | Optimizing Neural Networks: Contexts Where Involution Surpasses Convolution
[IEEE] 2026-7-2 | Electric Vehicles and Urban Air Quality in India: A Review of Smart Energy and Lifecycle Impacts
[IEEE] 2026-7-2 | Multimodal Emotion Recognition Using Hierarchical Bottleneck Fusion of Audio, Text, and Video
[IEEE] 2026-7-2 | From Vision-Based to Multimodal Remote Physiological Monitoring: A Survey of Methods and Evaluation Challenges
[IEEE] 2026-7-2 | Execution-free Performance Modeling for Apache Spark
[IEEE] 2026-7-2 | Impact of Traction Motors Bearings Degradation in Common Mode Current
[IEEE] 2026-7-2 | Closed-Form AOA/TDOA Hybrid Target Localization Method under Distance-Dependent Noise
[IEEE] 2026-7-2 | Advanced Deep Learning Techniques for Accurate and Interpretable Monkeypox Diagnosis
[IEEE] 2026-7-2 | Decoding-Dependent Uncertainty in Large Language Models: Cross-Architecture Sensitivity and Calibration Analysis
[IEEE] 2026-7-2 | Stability Analysis of Networked Control of Generator Excitation Control System
[IEEE] 2026-7-2 | Robust Movement Detection via Wi-Fi Channel State Information: Real-World Long-Term Validation and Cross-Dataset Generalisation
[IEEE] 2026-7-2 | Application of Genetic Algorithm and Step-wise Evaluation of Multi-Objectives to Optimize Location of Normally Open Points within Meshed Distribution Networks
[IEEE] 2026-7-2 | DWTN: Need-Driven Presence Detection for Multiplexed Encrypted Traffic
[IEEE] 2026-7-2 | Post-Disaster Home Energy Management System for Residential Communities Using EV-Based Energy Transportation and Home Battery Coordination
[IEEE] 2026-7-2 | Visual Insights into Agentic Optimization of Pervasive Stream Processing Services
[IEEE] 2026-7-2 | Evaluating Machine and Deep Learning Models for Stroke Prediction with Class Imbalance Handling
[IEEE] 2026-7-2 | Performance Evaluation of Multi-Architecture Deep Learning Models for Real-Time Fire Detection on Resource-Constrained Devices
[IEEE] 2026-7-2 | Artificial Intelligence for Modeling Security and Privacy in IoT Networks: Concepts, Frameworks, and Applications
[IEEE] 2026-7-2 | Microcontroller Implementation of Combined MTPA and LUT Correction of BLDC Motors with Large Stator Inductance and Hall Sensors Misalignment
[IEEE] 2026-7-2 | Self Supervised Contrastive Learning Based Framework for Rare Disease Medical Image Diagnosis
[IEEE] 2026-7-2 | Oh, Be Safe: A Field Study for Crowdsensed Cycling Safety Maps
[IEEE] 2026-7-2 | Secure Biometric Authentication for Resource-Constrained IoT Devices
