[2026-08-20 09:35:37] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-19
正在获取论文...
[arXiv] 2026-08-19 | Realizing Logical Diagonal Gates via Transversal Physical $Z$-Rotations in CSS Codes
[arXiv] 2026-08-19 | An Improved Degree Condition for Connectivity-Preserving Spanning $(u,v)$-Paths
[arXiv] 2026-08-19 | Kinematics and Dynamics of the Open Cluster NGC 2302
[arXiv] 2026-08-19 | Measuring Proof Burden in Public Bounty Listings: A RentAHuman Case Study
[arXiv] 2026-08-19 | Shared Circuits for Shared Grammar: Tracing Subject-Verb Agreement Across Languages
[arXiv] 2026-08-19 | Three-temperature atomistic spin-lattice dynamics in LAMMPS: a moment-consistent, fluctuation-dissipation-correct extension and its validation on ultrafast demagnetization and all-optical switching of GdFeCo
[arXiv] 2026-08-19 | Evaluating and Explaining Prompt Sensitivity of LLMs Using Interactions
[arXiv] 2026-08-19 | High-field fate of the Kitaev quantum spin liquid in $α$-RuCl$_3$
[arXiv] 2026-08-19 | Particle-Wall Alignment Interaction and Active Brownian Diffusion Through Narrow Channels
[arXiv] 2026-08-19 | Prior-Conditioned Gaussian Discriminants for Generalizable AI-generated Image Detection
[arXiv] 2026-08-19 | The radial derivative on the graded Möbius algebra
[arXiv] 2026-08-19 | OptiModNet: A UNet-Transformer Hybrid with Grouped-Query and Channel Attention for Optic Disc and Cup Segmentation
[arXiv] 2026-08-19 | Characterization of Minimal Degenerate Zero-One Reaction Networks
[arXiv] 2026-08-19 | An Experimental Study of Downwash Effects on a Continuum Manipulator Integrated with a Multirotor UAV
[arXiv] 2026-08-19 | LLM-Powered Predictive Decision-Making for Sustainable Data Center Operations
[arXiv] 2026-08-19 | Rigidity of bounded $Γ$-equivariant holomorphic maps for $π_1$ of irreducible Shimura varieties of rank $\ge 2$ via Kähler geometry, harmonic analysis and ergodic theory
[arXiv] 2026-08-19 | Tianmu-TC: Physics-constraints Generative Artificial Intelligence for Global Tropical Cyclone Forecasting
[arXiv] 2026-08-19 | Asymptotics of Hecke polynomial coefficients on the Atkin-Lehner eigenspaces
[arXiv] 2026-08-19 | Bayesian Partner Modelling enables Adaptive Replanning for LLM Coordination
[arXiv] 2026-08-19 | Multicast quantum network coding as optimal symmetric universal cloning over a quantum network
[arXiv] 2026-08-19 | Reducing Technician Search Burden: A Multimodal RAG for Cessna 172 Maintenance Manual
[arXiv] 2026-08-19 | Room-Temperature Polarity Control of the Anomalous Nernst Effect in a High-Magnetic-Anisotropy Topological Nodal-Line MnAlGe
[arXiv] 2026-08-19 | Isomorphisms between symmetric spaces over infinite and finite von Neumann algebras
[arXiv] 2026-08-19 | Convex Reparameterization and Self-Concordant Algorithms for Multivariate Regression with Covariance Estimation
[arXiv] 2026-08-19 | Pedagogical AI in Mental Health: A Tri-Stream Fine-Tuned LLM Framework for Automated Clinical Supervision and Risk Triage
[arXiv] 2026-08-19 | Bounds on the Lyapunov Exponent of Circular Null Orbits in $n$-Dimensional Black-Hole Spacetimes
[arXiv] 2026-08-19 | The Embodiment Gap in Robot Foundation Models
[arXiv] 2026-08-19 | Process Optimization Under Uncertainty for Improving the Bond Quality of Polymer Filaments in Fused Filament Fabrication
[arXiv] 2026-08-19 | A Relative Variational Principle for Expanding Iterated Function Systems
[arXiv] 2026-08-19 | Vesicle-surface-templated catalytic polymers drive differential growth in synthetic minimal cell variants
[arXiv] 2026-08-19 | Centroid-Referenced Mahalanobis Matching (CRM): A Scalable, Representation-Based Framework for Causal Inference in Large Observational Studies
[arXiv] 2026-08-19 | Global existence of weak solutions to chemotaxis models with porous medium diffusion, linear production, and logistic source on $\mathbb{R}^N$
[arXiv] 2026-08-19 | V-numbers of powers of cover ideals of unimodular hypergraphs
[arXiv] 2026-08-19 | The nonseparable case of Kadison's problem on orthonormal bases of unitaries for type $\mathrm{II}_1$ factors
[arXiv] 2026-08-19 | Vector Symbolic Policy Gradient
[arXiv] 2026-08-19 | Multimodal Rapport Estimation in Real-World HRI
[arXiv] 2026-08-19 | What Does Attention Transfer Transfer? Attention Structure and Robustness in Vision Transformers
[arXiv] 2026-08-19 | LEDGER: Claim-to-Evidence Trace Graphs for Auditing LLM Agents
[arXiv] 2026-08-19 | Quantum Speedups Require Structure or Depth
[arXiv] 2026-08-19 | Lower Bounds for Domination-Type Problems Parameterized by Rank-Width
[arXiv] 2026-08-19 | Superfast hole spin qubits enabled by uniaxial strain-boosted spin-orbit coupling
[arXiv] 2026-08-19 | Pre-Compiled Pipeline Shards for Distributed LLM Inference on Intel AI PC Fleets
[arXiv] 2026-08-19 | Tangut Word Segmentation under Extreme Resource Scarcity: Integrating Traditional Lexicons and Unlabeled Text
[arXiv] 2026-08-19 | Buffered Shading-Compatible Multiplicity Factoring in Four Dimensions
[arXiv] 2026-08-19 | Activated switching between coexisting limit cycles
[arXiv] 2026-08-19 | AlphaClifford: Efficient Clifford Synthesis and Transpilation with Model-based RL
[arXiv] 2026-08-19 | A Composite Divergence Approach to Robust Multivariate Estimation under Cellwise and Casewise Contamination
[arXiv] 2026-08-19 | MediaGraph: A Content-Aware Data Model and Query Framework for Multimodal Knowledge Graphs
[arXiv] 2026-08-19 | Ultrafast order-selective electron imaging and spectroscopy
[arXiv] 2026-08-19 | Multi-scattering processes and spectral properties of low-energy QCD
[ACM] 2026-8-19 | Image-Based Domain Adaptive Vulnerability Detection via Graph Centrality Representation
[ACM] 2026-8-19 | Explosive Yield Inversion Based on Transformer Model with Blast Wave Physical Constraints
[ACM] 2026-8-19 | Rapid Deployment of Nodal Seismometers Based on a Stepwise Optimization Model
[IEEE] 2026-8-19 | Introduction to PAISE 2026
[IEEE] 2026-8-19 | 2026 Fifth International Conference on Power, Control and Computing Technologies (ICPC2T)
[IEEE] 2026-8-19 | A Continuously Reconfigurable Linear Polarization Antenna for Aerial IoT Platforms
[IEEE] 2026-8-19 | IEEE Systems, Man, and Cybernetics Society Information
[IEEE] 2026-8-19 | Semiconductor Education, Empowerment, and Industry Development in Colombia [Education Corner]
[ACM] 2026-8-19 | Construction at Application of a College Students’ Physical Fitness and Health Monitoring Model Based on Wearable Device Data
[ACM] 2026-8-19 | Multi-task deep learning for discovery and evaluation of therapeutic peptides against atopic dermatitis
[ACM] 2026-8-19 | DANCE-ESI: Discriminative Structure-Aware Contrastive Learning with Hard Negative Mining for Enzyme-Substrate Interaction Prediction
[ACM] 2026-8-19 | Weighting Analysis of Blood Pressure Estimation Based on Multi-Channel Pulse Signals from the Cun, Guan, and Chi Positions
[ACM] 2026-8-19 | Coverage-Aware Windowed mdBG Assembly
[ACM] 2026-8-19 | Matrix-free Neural Preconditioner for the Dirac Operator in Lattice Gauge Theory
[ACM] 2026-8-19 | <scp>VeRe</scp>
                    : Verification Guided Fault Localization and Repair Synthesis of Deep Neural Networks
[IEEE] 2026-8-19 | Introduction to MxP4S 2026
[IEEE] 2026-8-19 | MxP4S 2026 Invited Speaker 6
[IEEE] 2026-8-19 | Cross-modal Inconsistent Information-based Network for Fake News Detection
[IEEE] 2026-8-19 | Evaluation of Surface EMG Signal Quality in Patients with Lower Limb Osteoarthritis
[IEEE] 2026-8-19 | Optimizing Multiobjective Genetic Algorithms For High-Order Epistasis Detection
[ACM] 2026-8-20 | Beyond Manipulation: How Users Perceive Harmful AI Chatbot Interactions
[ACM] 2026-8-20 | From Interview to Persona: A Transparent Workflow for Learner-Centered Educational Technology Design
[ACM] 2026-8-20 | Intent-Aware Backchanneling for Active Listening in Human-Robot Interaction
[ACM] 2026-8-20 | “Let Me Take That Back”: Designing and Testing Deletion Interfaces for Human-AI Interaction
[IEEE] 2026-8-19 | Machine Learning enhanced e-tongue for the characterization of a new paracetamol-based formulation for pediatric delivery
[IEEE] 2026-8-19 | Single-node low-cost IoT sensor to measure indoor environmental quality with high spatial resolution
[IEEE] 2026-8-19 | Real-Time Steady-State Performance Analysis of Classical Solar MPPT Techniques for Fixed Step-Size Perturbations Via Converter Duty Ratio
[IEEE] 2026-8-19 | Aerosol-Jet Printed and Photonically Cured Sensors Embedded in 3D Printed Smart Orthoses: A Preliminary Study
[IEEE] 2026-8-19 | A 6X Boost Enhanced 13-Level Switched Capacitor Inverter with Minimal Switch Design
[IEEE] 2026-8-19 | Experimental Validation of a Wearable Textile with Integrated FBG Sensors for Simultaneous HR and RR Monitoring
[IEEE] 2026-8-19 | Drift Compensation for Electrochemical Sensors: a Preliminary TinyML Study
[IEEE] 2026-8-19 | AI-Enhanced Ultrasonic Obstacle Detection and One Touch Fold for Next Generation Wheelchairs
[IEEE] 2026-8-19 | Extracting data from invoices as part of the ETL process
[IEEE] 2026-8-19 | Attribute-Based Perceptual Mapping of Private Hospitals in India
[IEEE] 2026-8-19 | Fault-Tolerant Cooperative Control for High-Order Uncertain Nonlinear Multi-Agent Systems
[IEEE] 2026-8-19 | A Systematic review of various Alzheimer’s Disease Detection and prediction techniques using AI, ML and DL
[ACM] 2026-8-19 | Construction of a Risk Prediction Model for MCI-to-AD Progression Based on Longitudinal Atrophy Trajectories of Structural MRI
[ACM] 2026-8-19 | Shallow Water Delta Oil and Gas Reservoir Prediction
[ACM] 2026-8-19 | A Comparative Study of Policy-Based Reinforcement Learning Algorithms for Chinese Single-Stock Trading
[ACM] 2026-8-19 | Visualization Analysis of Research Hotspots and Trends of Chemistry Education Based on CiteSpace
[ACM] 2026-8-19 | SMT-Based Traffic Scheduling for Time-Sensitive Networking
[ACM] 2026-8-19 | Design of Intelligent Path of “Walking Ideological and Political Course” + Red Archives Collaborative Education Based on Knowledge Map Construction Algorithm
[ACM] 2026-8-19 | A Quantum-inspired Language Model Based on Transformer and Unitary Evolution for Question-answering
[ACM] 2026-8-19 | Source-Free Domain Adaptive Fundus Image Segmentation with Disagreement-Guided Mask Consistency and Boundary Curvature Regularization
[IEEE] 2026-8-19 | An Ultrawideband Magnetoelectric Dipole Antenna With Gain Improvement and Its Application in Array Design for Sub-6G Intelligent IoT Communication
[IEEE] 2026-8-19 | Generalizing Universal Image Segmentation to Online Video Segmentation via a Bridging Matcher
[IEEE] 2026-8-19 | Robust Visibility-Aware Target Tracking for Micro Aerial Vehicles in Unknown Complex Environments
[IEEE] 2026-8-19 | A Collaborative Cislunar Computing Architecture for Task Scheduling and Resource Coordination Via Multi-Agent Reinforcement Learning
[IEEE] 2026-8-19 | Panel - AI and Robotaxi: Inside and Out
[IEEE] 2026-8-19 | IEEE Access
[IEEE] 2026-8-19 | Table of Contents
[IEEE] 2026-8-19 | Quad-Band Polarization-Insensitive THz Absorber for Sensing Applications
[IEEE] 2026-8-19 | CGAD: A Cross-Granularity Aware Framework for Time Series Anomaly Detection
[IEEE] 2026-8-19 | Preface
[IEEE] 2026-8-19 | Title Page
[IEEE] 2026-8-19 | Prof. Ming-Yan Fan Receives Multiple Honors for Research Excellence and Industry–Academia Collaboration [Chapters]
[ACM] 2026-8-19 | Evaluating Monotonic Functions using Binary Search
[ACM] 2026-8-19 | Based on Cross-Sample Entropy Analysis: A New Perspective on Revealing the Mechanism of Transcutaneous Auricular Vagus Nerve Stimulation in Regulating Brain Networks
[ACM] 2026-8-19 | Diabetic Retinopathy Classification Network Based on Cosine Similarity Multi-scale Decomposition and Cross-attention
[IEEE] 2026-8-19 | A Comparative Analysis of Electrocardiogram, Phonocardiogram and Retinal Oculomics Using a Hybrid Deep Learning Model for Cardiovascular Diagnosis
[IEEE] 2026-8-19 | Non-Intrusive Sensor-Based Sleep Monitoring and Machine Learning Classification for Individuals with Disabilities in Residential Facilities: A Case Study from the MetaSalute Project
[IEEE] 2026-8-19 | Numerical Study of a High-Voltage Pulse Transformer for Klystron Modulator
[IEEE] 2026-8-19 | A Survey of Multimodal Human Emotion Detection Techniques Using Deep Models and Transfer Learning
[IEEE] 2026-8-19 | VLSI Architecture of Adaptive FIR Filter Using Distributed Arithmetic for Low-Power DSP Applications
[IEEE] 2026-8-19 | A Preliminary Study of LLM Inferencing on Sandboxed Environments for Jetson Edge Platforms
[IEEE] 2026-8-19 | Raiders of the Lost Log: Synchronous Parallel In-Place Models and Algorithms
[IEEE] 2026-8-19 | Machine Learning-Based Modeling of Large-Scale Climate Data for Long-Term Trend Analysis
[IEEE] 2026-8-19 | Evaluation of an Ankle Exoskeleton System Based on Additive Manufacturing Technology
[IEEE] 2026-8-19 | Single-Phase Active LED Driver with Common Anode DC-DC Boost Cell, Reduced Power Processing, and Electrolytic Capacitor-Less Design
[ACM] 2026-8-20 | Combining Thinking Aloud and Eye Tracking
[IEEE] 2026-8-19 | A Multimodal Smart Wearable Garment for Continuous Monitoring of Human Motor Tasks: A Multi-User Feasibility Study
[IEEE] 2026-8-19 | LiteNet-CXR v2: A Lightweight and Interpretable CNN for Lung Tumor Detection in Chest X-Rays
[IEEE] 2026-8-19 | Hybrid AI Models for Predicting Housing Market Trends
[IEEE] 2026-8-19 | From Pixels to Perception: Transforming Images Across Domains Using Deep Generative Models
[IEEE] 2026-8-19 | Physics-Guided Spatio-Temporal Transformers to Predict Urban Wind Fields with Accuracy and Adaptive Optimization of Wind Power
[IEEE] 2026-8-19 | PulmoAI: AI-Driven Prediction for Lung Health
[IEEE] 2026-8-19 | ANN-Based Power Transformer Diagnosis on Datasets with Rogers DGA and IEC
[IEEE] 2026-8-19 | Intelligent Matter: Leveraging AI/ML to Enhance Interoperability, Efficiency, and Security in Matter-Based Smart Homes
[IEEE] 2026-8-19 | Performance Analysis of DTC with SVM Scheme for Low-Ripple BLDC Motor Operation
[IEEE] 2026-8-19 | Alternative Decomposed Message Passing for Efficient Geometric GNNs
[ACM] 2026-8-19 | Research of Smart Helmets for Delivery Personnel
[ACM] 2026-8-19 | An AI-Driven Framework for Dance Movement Generation Based on Motion Capture and Affective Computing
[ACM] 2026-8-19 | A Multimodal Recommendation System Based on Transformer And Dimensionality Reduction Clustering Algorithm for Clothing Similarity Retrieval
[IEEE] 2026-8-19 | Key Reconciliation with RC-LDPC/Error Estimation for Satellite-based FSO/QKD Systems
[IEEE] 2026-8-19 | Ultra-high Frequency Sensor for Multi-source Partial Discharge Detection
[IEEE] 2026-8-19 | Controllability Analysis for Vision State Space Models: A Structural Interpretability Framework_supp1-3718747.pdf
[IEEE] 2026-8-19 | Introduction to JSSPP 2026
[IEEE] 2026-8-19 | FedALAQ: Federated Adaptive Layer-wise Aggregation with Quantization
[IEEE] 2026-8-19 | Fast Communication-less Remote Bus Backup Protection algorithm in HVDC Grids with In-Depth Analysis
[IEEE] 2026-8-19 | Physics-Informed Reinforcement Learning for Coordinated Real-Time Frequency Control of Grid-Forming Energy Storage in Low-Inertia Microgrids
[IEEE] 2026-8-19 | IEEE Connect
[IEEE] 2026-8-19 | Crowdsensing From a Distance: A Contract Mechanism Design
[ACM] 2026-8-19 | Residential Arrangements and Elderly Survival: A Supervised Learning Approach to Mortality Risk Prediction
[ACM] 2026-8-19 | Analysis of Dual-Task Gait Characteristics Based on Electrostatic Detection
[IEEE] 2026-8-19 | IEEE Sensors Letters Subject Categories for Article Numbering Information
[IEEE] 2026-8-19 | An Intelligent Protection Scheme for Radial DC Microgrid Considering Critical Pole-to-Ground Fault Scenarios
[ACM] 2026-8-20 | Under Pressure: How Autonomy and Competence Shape AI Adoption in Citizen Broadcasting
[IEEE] 2026-8-19 | Feature Fusion Dual-Branch CNNs for Superior Fish Pathology Recognition
[ACM] 2026-8-20 | CollARborate or Compete? Investigating User Experience and Motivation through Social Context and System Modalities of a Serious Math Game
[IEEE] 2026-8-19 | An Antiquated Discourse Upon Direct Carriage-to-Carriage Energy Bestowal Employing on-Board Converters
[IEEE] 2026-8-19 | Classification of Lower Limb Movements Based on Surface Electromyography Signals and Cross-Channel Mutual Information Features
[ACM] 2026-8-20 | From Prototype to Handover-Ready Artifact: Hardening a Color-Picking Device for Early Intervention
[ACM] 2026-8-20 | Exploring LLM-generated hints for students’ Error Recovery in programming
[IEEE] 2026-8-19 | AI based Crowd Surveillance and Anomaly Detection System
[IEEE] 2026-8-19 | AI-Enhanced Prediction of Green Bond Performance
[IEEE] 2026-8-19 | A Robust Finite-Time Fault-Tolerant Control Strategy for Quadrotor UAVs
[IEEE] 2026-8-19 | Layout and Exploration of a 5-Level Switched-Capacitor Inverter Network Topology
[IEEE] 2026-8-19 | Evaluating LLM-Generated Instructional Content for Parallel Computing Education
[IEEE] 2026-8-19 | AI Driven Workload Management for Multi-Cloud and Edge Computing Environments
[IEEE] 2026-8-19 | Evaluating Deployment Trade-offs of Compact Vision-Language Models on Edge Systems
[IEEE] 2026-8-19 | Solar Powered Air Refinement for Rural Organic Wellbeing
[IEEE] 2026-8-19 | Performance Enhancement of Vehicle-to-Vehicle Power Transfer Using Model Predictive Control
[IEEE] 2026-8-19 | Systematic Vision-Based Experimental Validation of Liquid Sloshing Modeling in Robotic Industrial Manipulation
[IEEE] 2026-8-19 | Research on the Application of Visual Anomaly Detection Technology in Semiconductor Wafer Inspection
[IEEE] 2026-8-19 | A Multi-Queue Design for High-Performance GPU Priority Queues
[IEEE] 2026-8-19 | Comparative Analysis of Graph Centrality Measures for Extractive Text Summarization
[IEEE] 2026-8-19 | VibeCodeHPC: A Multi LLM Agent System for HPC Code Auto-Tuning
[IEEE] 2026-8-19 | A Novel Hybrid Methodology for Defect Detection through the Combination of Sensing Technologies and Artificial Intelligence
[IEEE] 2026-8-19 | Infrared Point Target Dataset Generation and its validation through Deep Learning Methods
[IEEE] 2026-8-19 | Trajectory-Based Evaluation of Driving Behavior with Gradient-Boosted Decision Trees
[IEEE] 2026-8-19 | A Unified Maximum Sensitivity-Driven Resilient Controller Design for Boost Converter Feeding Constant Power Load Incorporating the Mixed DS-RL Approach
[IEEE] 2026-8-19 | A Field Case Study of Power Transformers Operating in Parallel from 220kV NRS Doddaballapura Substation Karnataka
[IEEE] 2026-8-19 | A Data-Driven Assessment of Robust Machine Learning Frameworks for High-Variance Industrial Environments
[IEEE] 2026-8-19 | A Novel Three-Phase Three-Level Transformerless Inverter with Reduced Components and Single-Source Voltage Boosting Capability
[ACM] 2026-8-19 | A Study on the Challenges Faced by Women with Gestational Diabetes in Self-Management Based on Web Crawler Data
[ACM] 2026-8-19 | Adaptive Computational-Intelligence Framework for Rhythmic Motor-Cognitive Assessment Using Generative AI
[ACM] 2026-8-19 | Resilience Evaluation of Eco-Cultural Space in Guangxi Ethnic Villages Based on Deep Learning
[ACM] 2026-8-19 | A Lightweight YOLOv8-Based Camera Backbone for Efficient BEVFusion
[ACM] 2026-8-19 | Software Engineering for Self-Adaptive Robotics: A Research Agenda
[ACM] 2026-8-19 | IIMedGPT-M: A Mental Health Oriented LLM via a Staged Training Pipeline
[ACM] 2026-8-19 | Research on a Locality-Sensitive Hashing-Based Clustering Optimization Method for DNA Storage Targeting Hard-to-Correct Errors
[ACM] 2026-8-19 | Prediction of Multifunctional Therapeutic Peptides Using a Hybrid Spatiotemporal Network and Asymmetric-Dice Joint Loss
[IEEE] 2026-8-19 | Power Pattern Evaluation and Array Synthesis with Element Position Error using Successive Convex Approximation
[IEEE] 2026-8-19 | IEEE Transactions on Systems, Man, and Cybernetics: Systems Information for Authors
[IEEE] 2026-8-19 | Transcending Memory Constraints in Federated Learning Via Sequential Block-Wise Training
[IEEE] 2026-8-19 | Multi-Scale Spatio-Temporal Transformers with Prompt Learning for Traffic Prediction
[IEEE] 2026-8-19 | A Hybrid Robust Zero-Watermarking Scheme Based on Reparameterized Efficient Attention Network for Internet of Medical Things
[IEEE] 2026-8-19 | Delay-Tolerant Beam Hopping With Contrastive Service Representation in Low Earth Orbit Satellites
[IEEE] 2026-8-19 | Towards Wearable High-Density MEG: A Compact, Low-Power, and Scalable OPM-MEG System with Automated Control_supp1-3724753.pdf
[IEEE] 2026-8-19 | A Blind Recovery Algorithm for Multicoset Sampling via Graph Spectral Support Identification
[IEEE] 2026-8-19 | Introduction to iWAPT 2026
[IEEE] 2026-8-19 | 2026 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)
[IEEE] 2026-8-19 | DVFS-Aware Energy-Efficient Implementation of DNNs on Heterogeneous Hybrid Parallel Computers_supp1-3725140.pdf
[IEEE] 2026-8-19 | Cover
[IEEE] 2026-8-19 | Introduction to CGRA4HPCA 2026
[IEEE] 2026-8-19 | Women in Engineering
[IEEE] 2026-8-19 | Deep Reinforcement Learning for Communication-Free Distributed Control of Autonomous Vehicles in Unstructured Intersection
[IEEE] 2026-8-19 | A Bio-Inspired Hierarchical Federated Learning Framework with Joint Computing Communication Control Optimization for Green UAV Inspection
[IEEE] 2026-8-19 | Extremely Isolated Magnetic Suspension Thermogravimetric Analytical Balance Based on Differential Hall Arrays
[IEEE] 2026-8-19 | Learning-Based LLM-Enhanced UAV Routing Against Jamming and Gray-Hole Attacks
[IEEE] 2026-8-19 | IEEE Computer Society Information
[IEEE] 2026-8-19 | Table of Content
[IEEE] 2026-8-19 | Implementation and Evaluation of Cell Balancing Methods in Li-Ion Battery Management Systems
[IEEE] 2026-8-19 | API Security with JWT Authentication and Reputation Based Monitoring System
[IEEE] 2026-8-19 | Evaluating Post-Quantum TLS Performance for the Internet of Things Using Raspberry Pi Devices
[IEEE] 2026-8-19 | An Accelerated Neural Network Framework for Facial Emotion Recognition
[IEEE] 2026-8-19 | Empirical Investigation of Adaptive Machine Learning Pipelines for Resource-Constrained Applications
[IEEE] 2026-8-19 | AdaptFlow: A Self-Optimizing AI-Driven Data Pipeline Architecture for Real-Time Inference at Scale
[IEEE] 2026-8-19 | State Machine Based Programming of an Elevator Simulator by zPLC – a Virtual PLC Software
[IEEE] 2026-8-19 | Quantitative Assessment of Consumer Perceptions and Post-Adoption Behaviour toward Electric Vehicles in Bengaluru
[IEEE] 2026-8-19 | Adaptive Step Size PSO–P&amp;O MPPT for Standalone PV Systems: A Comparative Study of Cuk and SEPIC Converters
[IEEE] 2026-8-19 | Observability and Self Healing of Quantum Secure V2X communication in Edge-Cloud Systems
[IEEE] 2026-8-19 | Enhanced Power Quality in EV Charging Stations Using ALMS-Based Reduced-Switch UPQC and Bidirectional Converter
[IEEE] 2026-8-19 | Intelligent Field-Oriented Control of a PV-Fed Submersible Pump Without Voltage and Current Sensor
[IEEE] 2026-8-19 | Reconfigurable ESP32-Based IoMT Architecture with End-to-End Latency Analysis over Wi-Fi with 5G Backhaul
[IEEE] 2026-8-19 | High-Fidelity Modeling and Curriculum Learning for Dexterous in-Hand Manipulation
[IEEE] 2026-8-19 | Adaptive Q-Learning-Based Energy Management of Grid-Connected Solar Battery Systems Under Dynamic Tariff Conditions
[IEEE] 2026-8-19 | Generalizing Scaling Laws for Dense and Sparse Large Language Models
[IEEE] 2026-8-19 | A Robust Blind Color Image Watermarking Using CNN and Lifting Wavelet Transform
[IEEE] 2026-8-19 | Automated Generation of Microservice Authorization Tests Using Large Language Models
[IEEE] 2026-8-19 | Language-Dependent and Language-Independent Acoustic Cues in Speech Emotion Recognition
[IEEE] 2026-8-19 | Emergency Assistance System to Improve Access to Nearby Hospitals Using Symptom Analysis and Geolocation
[IEEE] 2026-8-19 | A Hybrid Memory Framework for Mitigating Contextual Amnesia in Conversational AI
[IEEE] 2026-8-19 | Transforming Emission Prediction into Compliance Intelligence: A Governance-Focused Machine Learning Strategy
[IEEE] 2026-8-19 | Exploring C++ Standard Parallelism for GPU Programming in a Particle-In-Cell Application
[IEEE] 2026-8-19 | Efficient Degree-3 HUBO Formulation with Auxiliary-Variable-Minimum QUBO Reduction for the Angular Distance Traveling Salesman Problem
[ACM] 2026-8-20 | AI for Science Communication: Evaluating the Visual and Linguistic Representation of Intelligent Virtual Agents on Credibility and Persuasiveness
[IEEE] 2026-8-19 | Inkjet-Printed IDC sensor Integrated in a Microfluidic Platform
[ACM] 2026-8-20 | User-Centered Requirements for an Authoring Tool in XR Cultural Heritage
[IEEE] 2026-8-19 | Predictive Maintenance of Financial Infrastructure Using IoT and AI
[IEEE] 2026-8-19 | Doherty Power Amplifiers: Fundamentals and recent advances
[IEEE] 2026-8-19 | Improved Embedded Structural Health Monitoring via High-Resolution Spectral Analysis Using a MEMCF-based Algorithm
[IEEE] 2026-8-19 | A Hybrid Optical Sensing and Data Network for Smart City Infrastructure Monitoring: A Feasibility Study
[IEEE] 2026-8-19 | Decoupled Loop-Shaping Current Control of Magnetically Coupled SIDO Boost Converters via Capacitor Current Feedback
[IEEE] 2026-8-19 | Identifying and Addressing HMM Data Migration Overhead on NVIDIA GPUs
[IEEE] 2026-8-19 | Battery Cell Faults and Detection Methods
[ACM] 2026-8-20 | Experiencing the Twin Transition: A Virtual Reality Application Showcasing Facets of the Circular Economy
[IEEE] 2026-8-19 | Usability Assessment of a 2-DoF Wearable Wrist Robot in Activities of Daily Living
[ACM] 2026-8-19 | The Application of the Improved YOLOV11 in Insulator Detection
[ACM] 2026-8-19 | Integration of School-Based Red Resources into Ideological and Political Education Practice of Engineering Cost Course Based on BERT Model
[ACM] 2026-8-19 | A Multi-omics Framework Integrating GLIMS Prediction and Bidirectional Mendelian Randomization for Causal Driver Gene Identification
[ACM] 2026-8-19 | Harmony-UMAP-Leiden Integrated Single-Cell and Spatial Transcriptomics Analysis Reveals Treg Heterogeneity and Spatial Remodeling in ESCC
[ACM] 2026-8-19 | Study on an Intelligent Analytical System for Prognosis Assessment of Respiratory Infectious Diseases Based on Multi-Source Information Fusion
[ACM] 2026-8-19 | Computer Vision-Based Recognition of Physical Fitness Training Movements and Teaching Evaluation in Sports Education
[IEEE] 2026-8-19 | Author Index
[IEEE] 2026-8-19 | DKP: Semantic Consistency Distillation via Key-layer Pre-alignment with Large Vision-language Models for Cross-Modal Retrieval_supp1-3724739.pdf
[IEEE] 2026-8-19 | Composite Learning Hybrid Vision-Force Control for Redundant Robots With Surface Contact Tasks
[IEEE] 2026-8-19 | Crossing Obstacles during Walking through Self-adaptive Volitional Control of a Powered Knee Prosthesis_supp3-3724857.mp4
[IEEE] 2026-8-19 | IEEE Transactions on Cybernetics Information for Authors
[IEEE] 2026-8-19 | Copyright Page
[IEEE] 2026-8-19 | A Self-Calibrated NPN-Based Temperature Sensor With ±0.05 °C (3
                    <i>σ</i>
                    ) Inaccuracy From −70 °C to 125 °C and 100fJ ${\cdot}$ K
                    <sup>2</sup>
                    Resolution FoM
[IEEE] 2026-8-19 | A 31.5–36-GHz Low-Spur Digitally Assisted Gain-Boosting Charge-Sharing Locking PLL Achieving 54-fs RMS Jitter
[IEEE] 2026-8-19 | Fast-Recovery X-Band High-Power GaN SBD Limiter MMIC Using a Short-Circuited-Stub Resonator
[IEEE] 2026-8-19 | SSCS Chapter Inspires Future Engineers Through Community Science, Technology, Engineering, and Mathematics Outreach [Chapters]
[IEEE] 2026-8-19 | IEEE Member Discounts
[IEEE] 2026-8-19 | Title Page i
[IEEE] 2026-8-19 | Predicting Firm-Specific Risk in Emerging Markets via Localized Sentiment and Industrial ‘Activity Gaps’: A Hybrid ML Approach
[IEEE] 2026-8-19 | Research on Vision-Based Predictive Methods for Robotic Target Manipulation
[IEEE] 2026-8-19 | Minimal IMU Configuration for Hip Moment Estimation: A Feasibility Study Using Temporal Convolutional Networks
[IEEE] 2026-8-19 | Teleoperated and Height-Adaptive Shared Control strategies for a Supernumerary Robotic Arm in Physically Interactive Trimanual Tasks
[IEEE] 2026-8-19 | Stable Approximants for Wind Turbine Generator Systems
[IEEE] 2026-8-19 | HHO-SVM-Based Hip Wearable Exoskeleton Intent Recognition
[IEEE] 2026-8-19 | Dynamic Envelope Protection in Extreme Evasion: A Friction-Coupled PR-CBF for Safe Reinforcement Learning
[IEEE] 2026-8-19 | Optimizing Stock Market Predictions: A Comparative Analysis of Gradient Boosting &amp; Random Forest Regression
[ACM] 2026-8-20 | What Makes Usability Smells Detectable? On the Role of Representation in Interaction Log Analysis
