[2026-07-16 11:01:24] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-15
正在获取论文...
[arXiv] 2026-07-15 | Do Agent Optimizers Compound? A Continual-Learning Evaluation on Terminal-Bench 2.0
[IEEE] 2026-7-15 | Automatic Synthesis of Greenhouse Supervisory Climate Control with Integrated Crop Growth Models
[IEEE] 2026-7-15 | Planar Ferrite Isolator Combining Edge-Guided Mode and Gyro-Resonance Absorption
[IEEE] 2026-7-15 | Bistatic Passive Tracking via CSI Power
[IEEE] 2026-7-15 | Load Balancing MPTCP Traffic in Reactive SDN with Multi-Agent Reinforcement Learning
[IEEE] 2026-7-15 | Latency-Centric RAN Orchestration with World Model for Satellite-Assisted Mobile Edge Computing
[IEEE] 2026-7-15 | A 15.5-46.0 GHz Broadband Power Amplifier with 19.0-22.0 dBm P
                    <sub>sat</sub>
                    and 30.0% Peak PAE
                    <sub>max</sub>
                    in 28-nm Bulk CMOS
[IEEE] 2026-7-15 | MTL-Based Framework for Sentiment Analysis, Toxicity Detection, and Bias Identification in Threads App
[IEEE] 2026-7-15 | A Novel Compact 200 MHz GaN DC/DC Converter Module for Highly-Efficient PoL Supply
[IEEE] 2026-7-15 | Composite Index Modulation for Pinching Antenna Systems
[IEEE] 2026-7-15 | A Broadband G-Band Frequency Doubler in $130-\text{nm} \text{SiGe} \text{Technology}$
[IEEE] 2026-7-15 | Wideband Bandpass Filter Cell Using a Hybrid BAW-Assisted Topology
[IEEE] 2026-7-15 | Detecting Image Splicing Forgery Using a CNN with LIME-Based Explainability
[IEEE] 2026-7-15 | From Uncertainty to Insight: Exploring Circuit-Level Privacy Preservation for Healthcare Applications
[IEEE] 2026-7-15 | Lending a Hand: Cooperative Active–Passive Uplink Offloading for Low-Power MEC Networks
[IEEE] 2026-7-15 | Physical Human-Robot Interaction: A Review From the Guide Robot Perspective
[IEEE] 2026-7-15 | Blind-Scan Angle Estimation for Surface-Mounted Antenna Arrays Using a Quasi-Analytical Approach
[IEEE] 2026-7-15 | Waveform Design for DCO-OFDM with Null-space Sensing Signal in Optical Wireless ISAC
[IEEE] 2026-7-15 | Cloud File Optimizer
[IEEE] 2026-7-15 | A Hybrid Electromagnetic Induction and Machine Learning Framework for Digital Transformation
[IEEE] 2026-7-15 | Implementation of discrete event systems controllers and supervisors via Statecharts
[IEEE] 2026-7-15 | A Hybrid QWOA Optimized PAFPN-SE Framework for Multiclass Structural Defect Segmentation
[IEEE] 2026-7-15 | A Compact 4-Bit PCM-Based Hybrid Phase Shifter in $0.18-\mu \mathrm{m}$ SiGe BiCMOS for 28 GHz Phased Arrays
[IEEE] 2026-7-15 | State of Charge Estimation in Li-Ion Batteries Using Data-Driven Techniques for EVs
[IEEE] 2026-7-15 | A $1-\mathrm{V}, 19.2-\text{mW}, 308-\text{GHz}$ Push–Push Balanced Colpitts Oscillator in $70-\text{nm}$ GaAs pHEMT Technology
[IEEE] 2026-7-15 | Hybrid DRL and QUBO-based Optimization Framework for High-Performance Computing
[IEEE] 2026-7-15 | A 16 – 50 GHz Cryogenic LNA MMIC with 11.2 K Average Noise Temperature for Radio Astronomy
[IEEE] 2026-7-15 | A Ultrawideband Phase-Invariant VGA with Core-Matching Network Co-Design Achieving $&lt;1.38^{\circ}$ RMS Phase Error
[IEEE] 2026-7-15 | Smart Object Detection with Audible Navigation for the Visually Impaired
[IEEE] 2026-7-15 | Design and Simulation of Security Algorithm (ECC) Using Verilog for IoT Applications
[IEEE] 2026-7-15 | Under Water Object Detection Using Deep Learning
[IEEE] 2026-7-15 | Sleep Disorders Prediction Using Machine Learning and Deep Learning
[IEEE] 2026-7-15 | Influence of Stray Light on Photometric Measurements – a Case Study
[IEEE] 2026-7-15 | Intelligent LED Lighting System with Variable Spectral Characteristics for Controlled Indoor Climate Environments
[IEEE] 2026-7-15 | Hybrid CNN-BiLSTM Deep Learning Algorithm Based Power Consumption Prediction for Accuracy
[IEEE] 2026-7-15 | Fully-Activated GSSK with LFM Waveform for Integrated Sensing and Communication
[IEEE] 2026-7-15 | UCB-VG: Virtual-Grid-Based Decentralized Learning for Link Management in LEO Networks
[IEEE] 2026-7-15 | A 10-15 GHz BiCMOS Power Amplifier for 6G NR FR3 Band with 27.3 dBm $\mathrm{P}_{\text {SAT }}$ and 33% PAE
[IEEE] 2026-7-15 | Intelligent Greenhouse With Control Of Microclimate And Artificial Lighting Parameters
[ACM] 2026-7-15 | Transient Polarimetry
[ACM] 2026-7-15 | Extending Thread Display with XY Blower Actuation for Controllable Passive Aerial Imaging
[ACM] 2026-7-15 | Clustering Attentional Types in Conditional Automated Driving for Adaptive Take-Over Request Design
[ACM] 2026-7-15 | Unfolding Myth in Motion: A Multi-Screen Installation
[ACM] 2026-7-15 | Improving Convergence of Fourier Optical Shading for Nanostructural Diffraction
[ACM] 2026-7-15 | Deep Learning Framework Testing via Heuristic Guidance Based on Multiple Model Measurements
[ACM] 2026-7-15 | Exploring Attention States and Narrative Engagement in an Interactive VR Experience
[ACM] 2026-7-15 | Temporal-Weighted Transfer Network for Knowledge Graph Extrapolation
[ACM] 2026-7-15 | ZIPBid: Hierarchical Zero-shot Incremental Spend Planning for Auto-bidding
[ACM] 2026-7-15 | FACE: A Fine-Grained Reference-Free Evaluator for Conversational Information Access
[ACM] 2026-7-15 | FedMosaic: Federated Retrieval-Augmented Generation via Parametric Adapters
[ACM] 2026-7-15 | Differentiable Semantic ID for Generative Recommendation
[ACM] 2026-7-15 | Deletion Isn't Enough: Auditing RAG for Selective Forgetting
[ACM] 2026-7-15 | GeoSearch: Augmenting Worldwide Geolocalization with Web-Scale Reverse Image Search and Image Matching
[ACM] 2026-7-15 | A Multi-Granularity Game-Theoretic Approach to Weakly Supervised Temporal Article Grounding
[ACM] 2026-7-15 | A Taxonomy and Catalog of SERP Elements Across Web Search Engines
[ACM] 2026-7-15 | MMRM: A Multiplex Multimodal Representation Model for Product Ranking in E-commerce Search
[ACM] 2026-7-15 | Latent Retrieval Augmented Generation
[IEEE] 2026-7-15 | Retraction Notice: Setup of Digital Health Care Mechanism for the Smart IPD Booking
[IEEE] 2026-7-15 | Retraction Notice: Anomaly Detection in Cardiac Related Datasets
[IEEE] 2026-7-15 | Retraction Notice: Exploratory Application of Deep Learning in Pharmaceutical Drug Discovery
[IEEE] 2026-7-15 | Retraction Notice: Music Genre Recognition Using Short Time Fourier Tranform And CNN
[IEEE] 2026-7-15 | Retraction Notice: Optimized Construction Project Management Using Ai And Machine Learning
[IEEE] 2026-7-15 | Retraction Notice: Block Chain Based Identity Authentication System for a Wireless Sensor Networks
[IEEE] 2026-7-15 | Retraction Notice: Comparative Analysis for Prediction and Classification of Mental Health Issues and Challenges Using Hybrid Learning Techniques
[IEEE] 2026-7-15 | Retraction Notice: Design and Implementation of Block Chain with Cybersecurity Scheme for Fog Based Internet of Things
[IEEE] 2026-7-15 | Retraction Notice: Identification of Plant Species by Embedded Technology Using MatLab
[IEEE] 2026-7-15 | Geometry-Consistent Sim-to-Real Transfer for Visuo-Tactile Sensing via TacyGAN
[IEEE] 2026-7-15 | Learning What to Solve: Efficient Feature Acquisition with Classifier Dependencies_supp1-3712713.pdf
[IEEE] 2026-7-15 | Difficulties in Developing a Global Standard for Liquid-Filled Power Transformers: Generating Global Standards
[IEEE] 2026-7-15 | MonoGlass3D: Monocular 3-D Glass Detection With Plane Regression and Adaptive Feature Fusion
[IEEE] 2026-7-15 | DC-Based Superposition Signaling for Low-Power IoT Receivers
[IEEE] 2026-7-15 | 2026 IEEE MTT-S Radio Frequency Technology and Techniques Symposium (IMS RFTT)
[IEEE] 2026-7-15 | Investigation on the Transient Electro-Thermal Characteristics and Overcurrent Capability of Multichip Parallel SiC MOSFET Modules under Pulsed High Current Excitation
[IEEE] 2026-7-15 | ARISE-GNN: Graph Neural Representation Learning for Discovering Potential Rising-Star Candidates in Scholarly Collaboration Networks
[IEEE] 2026-7-15 | A Contemporary Ontology-Based Approach to Geotechnical Knowledge Formalization and Regulatory Compliance_supp1-3713229.docx
[IEEE] 2026-7-15 | A 480-530 GHz Balanced Frequency Quadrupler Based on Schottky Varactor Diodes Integrated on a Micromachined Silicon Membrane
[IEEE] 2026-7-15 | An Enhanced AI-Powered Cybersecurity Framework for Secure Data Transmission in IoT Networks using Federated Learning and Blockchain Integration
[IEEE] 2026-7-15 | Service-Oriented Dynamic Computing Resource Allocation in Software-Defined B5G/6G Systems
[IEEE] 2026-7-15 | Forecasting and Interpreting Inflation Trends: A Machine Learning Framework for Consumer Price Index Analysis
[IEEE] 2026-7-15 | Stuck Fault Diagnosis Method in Probabilistic Discrete Event Systems
[IEEE] 2026-7-15 | Statistical Modeling of Tamil Vowel Usage for Human-AI Collaborative Language Education: A Comparative Study of LDA and Regularized Logistic Regression
[IEEE] 2026-7-15 | Application of Network Monitoring Protocols to Evaluate the Availability and Operability of Connectivity Equipment
[IEEE] 2026-7-15 | Artificial Intelligence-Based Exam Proctoring Device Using Transformers
[IEEE] 2026-7-15 | Doppler-Resilient LEO Satellite OFDM Transmission with Affine Frequency Domain Pilot
[IEEE] 2026-7-15 | Energy-Efficient Federated Learning in Cooperative Communication within Factory Subnetworks
[IEEE] 2026-7-15 | SustainFlow: AI-Driven Behavioral Evolution for Sustainability
[IEEE] 2026-7-15 | DustIQ: Smart Micro Nodes with AI Insights
[IEEE] 2026-7-15 | Nifty Movement Prediction Using Comprehensive Data Model Based on Nifty Option Chain Data
[IEEE] 2026-7-15 | A Calibration-Free 55-to-70 dBc H1 Rejection, 13.8 % Efficiency, 102-to-120 GHz CMOS Frequency Tripler using Phase-Alignment Technique for Harmonic Recombination
[IEEE] 2026-7-15 | Methodology for Vibration Analysis Produced by Heavy Machinery and its Effect on the Human Body
[IEEE] 2026-7-15 | Towards Responsible Ai in Safety-Critical Human-Machine Systems: a Literature-Based Governance Framework
[IEEE] 2026-7-15 | System Level Analysis for Monostatic V2X ISAC
[IEEE] 2026-7-15 | Compact D-Band Differential Single-Inductor Power Divider with 0.0059 mm
                    <sup>2</sup>
                    Silicon Area and 0.35-dB Minimum Insertion Loss
[IEEE] 2026-7-15 | A 6.2-GHz Reference-Feedthrough-Suppressed Type-I Sampling PLL with a Bottom-Plate-Sampling PD Scoring 18.2 fs
                    <sub>rms</sub>
                    Jitter, –258.7-dB FoM and –80.6dBc Reference Spur
[IEEE] 2026-7-15 | Enhancing User Fairness in Pinching-Antenna Systems-Enabled Multi-User Communications
[IEEE] 2026-7-15 | Automated Image Splicing Detection and Localization Using Mask R-CNN
[IEEE] 2026-7-15 | Digital Twin-Enabled Proactive Resource Management for Connected Robotics
[IEEE] 2026-7-15 | Beamforming Design for Pinching-Antenna-Based Integrated Sensing and Communications
[IEEE] 2026-7-15 | A 4-Channel Self-Synchronizing Receiver Array Without LO Distribution with Angle-of-Arrival Estimation
[IEEE] 2026-7-15 | A 286-GHz CMOS Amplifier Achieving 56-GHz BW
                    <sub>3dB</sub>
                    via $f_{\max}$-Boosting and Gain-Staggering
[IEEE] 2026-7-15 | Latency Minimization in AirComp-Assisted Split Federated Learning with Layer-Wise Aggregation
[IEEE] 2026-7-15 | From Waves to Graphs: A Ray-Tracing-Inspired Neural Radio Propagation Model
[IEEE] 2026-7-15 | Switch-DFT: Adaptive Waveform and MIMO Switching for Energy-Efficient Base Stations
[IEEE] 2026-7-15 | QoS-Aware Multi-Rate SWIPT for Reliable and Sustainable Industrial IoT Communication
[IEEE] 2026-7-15 | Latency-Aware Task-Oriented Multi-Drone Communication for Small Object Detection
[IEEE] 2026-7-15 | Sensing Performance Analysis for Meta-Backscatter Systems: How Much Information Can It Deliver?
[IEEE] 2026-7-15 | Design and Simulation of a Reconfigurable Fault-Tolerant Multi-Valued Logic ALU with Power Management
[IEEE] 2026-7-15 | GAN-LSTM Model for Recommendation and Prediction in Fashion Apparel
[IEEE] 2026-7-15 | Optimal Renewable DG Placement for Loss Reduction and Sustainable Distribution System Development
[IEEE] 2026-7-15 | AI-Based Plant Disease Detection and Recommendation Using Sparse Dual-Level Graph Contextual Convolutional Attention Neural Network with Mountaineering Team-Based Optimization
[IEEE] 2026-7-15 | Retraction Notice: A Systematic BPCLSTM Algorithm for Concept Drift Detection Incorporated Sentiment Mining
[IEEE] 2026-7-15 | Generalized Orthogonal Approximate Message-Passing for Sublinear Sparsity
[IEEE] 2026-7-15 | On the Characterization and Limits of 4D Radar for Aided Inertial Navigation_supp1-3690584.m4v
[IEEE] 2026-7-15 | ComSoc Technical and Emerging Technologies Committees
[IEEE] 2026-7-15 | Proceedings of the IEEE: Stay Informed. Become Inspired.
[IEEE] 2026-7-15 | Retraction Notice: A Comparative Analysis of Machine Learning and Deep Learning Algorithms for Image Classification
[IEEE] 2026-7-15 | Retraction Notice: Smart Energy Management in Buildings with Machine Learning Techniques
[IEEE] 2026-7-15 | Retraction Notice: Machine Learning For Fault Detection And Diagnosis In Mechanical Systems
[IEEE] 2026-7-15 | Table of Contents
[IEEE] 2026-7-15 | Table of Content
[IEEE] 2026-7-15 | Retraction Notice: Application of Smart Collaborative 5G Networking For Enhancement of Vehicular Communication
[IEEE] 2026-7-15 | Table of Contents
[IEEE] 2026-7-15 | Retraction Notice: Enhancing Network Security in IoT Using Machine Learning- Based Anomaly Detection
[IEEE] 2026-7-15 | Retraction Notice: Induction Motor Speed Variations and Control Using–Learning Algorithms
[IEEE] 2026-7-15 | GeoFusion: Geometric Consensus Learning and Anchored Feature Fusion for Multi-View Depth Estimation
[IEEE] 2026-7-15 | Adaptive Predefined-Time Stabilization: An Integrated Approach
[IEEE] 2026-7-15 | Performance Analysis of FD C-NOMA With Intelligent TS and Battery Management in Non-Linear Energy Harvesting Networks
[IEEE] 2026-7-15 | Evolution of Ensemble Learning in Software Defect Prediction: A Systematic Literature Review
[IEEE] 2026-7-15 | An Optimization Framework for Spiking Neuron Models: Parameter Estimation, Network Validation, and Pattern Separation_supp1-3713432.mp4
[IEEE] 2026-7-15 | A Framework for Enablement of Augmented Reality in Railway Maintenance
[ACM] 2026-7-15 | A Novel Post-Quantum Cryptography-Based Authentication and Secret Key Establishment Protocol for Smart Grid
[ACM] 2026-7-15 | Agentic Spatio-Temporal Grounding via Collaborative Reasoning
[ACM] 2026-7-15 | Cognitive Style Shapes Search Behaviours: An fNIRS Study of Exploratory Search
[ACM] 2026-7-15 | Cross-Domain Preference Transfer for Promoting Engagement with Built-in Chatbots
[ACM] 2026-7-15 | When Search Is Not Enough: Ranking Content for Query-Less Browse Surfaces
[ACM] 2026-7-15 | The Powerless Noise: How Experimental Settings Shape the Reported Power of Noise
[ACM] 2026-7-15 | GenRec: A Preference-Oriented Generative Framework for Large-Scale Recommendation
[ACM] 2026-7-15 | Exploration-and-Thinking: Agentic Reasoning over Knowledge Graphs via an LLM-RL Synergized Framework
[ACM] 2026-7-15 | R&amp;F-Inventory: A Large-Scale Dataset for Monotonic Inventory Estimation in Reach and Frequency Advertising
[ACM] 2026-7-15 | CT
                    <sub>
                      <i>CL</i>
                    </sub>
                    : A Cross-Language Benchmark for Matching Patients to Clinical Trials
[ACM] 2026-7-15 | From Unstructured to Structured: LLM-Guided Attribute Graphs for Entity Search and Ranking
[ACM] 2026-7-15 | Temporal User-Agnostic Ranking: Detecting Preference Evolution while Preserving Ethical Principles
[ACM] 2026-7-15 | Decision-Theoretic Stopping Rules for Document Screening
[ACM] 2026-7-15 | SkillForge: Forging Domain-Specific, Self-Evolving Agent Skills in Cloud Technical Support
[ACM] 2026-7-15 | The Wikidata Query Logs Dataset
[ACM] 2026-7-15 | How Trendyol Enables Trustworthy A/B Testing at E-Commerce Scale Through Integrated Statistical Methodologies
[IEEE] 2026-7-15 | Flexible Coupler Antenna Enhanced Wireless Communication: Modeling and Coupler Position Optimization
[IEEE] 2026-7-15 | Automated Classification of Alzheimer's Disease Based on Structural MRI Using Vision Transformer
[ACM] 2026-7-16 | Phase State Space Models: Parallel, Surrogate-Free Training of Spiking Networks
[IEEE] 2026-7-15 | Performance and Efficiency Analysis of Lightweight Encryption Algorithms on Low-Power Embedded Systems
[IEEE] 2026-7-15 | Analysis of Frequency Selective Surface for 5G IRS
[IEEE] 2026-7-15 | Unlocking High-Fidelity Analog Joint Source-Channel Coding on Standard Digital Transceivers
[IEEE] 2026-7-15 | Learning-Based Joint Communication and Control Design for Wireless Networked Control Systems
[IEEE] 2026-7-15 | Adaptive DTN Routing Using Spiking Neural Networks for Services over NTNs
[IEEE] 2026-7-15 | Spectral and Energy Efficiency Trade-off: A Pinching Antenna Perspective
[IEEE] 2026-7-15 | A 76-81 GHz FMCW MIMO Coded Transceiver for Automotive Radar
[IEEE] 2026-7-15 | IoT-Based Relay Protection in Decentralized Power Systems: Necessity, Challenges, and Benefits
[IEEE] 2026-7-15 | A Revolutionary Next Generation Video Conferencing Application
[IEEE] 2026-7-15 | Effect of Varying Turbulence Intensity on Biodynamic Feedthrough During Pointing
[IEEE] 2026-7-15 | Multi-User Semantic and Data Communications with Adaptive Source-Channel Coding
[IEEE] 2026-7-15 | NeedSign: Empowering Communication for Patients with Stroke, Paralysis, and Neuromuscular Disorders Through Finger Movements
[IEEE] 2026-7-15 | Coordination of Physical AI in a Wireless-Connected Smart Factory
[IEEE] 2026-7-15 | Deep Learning-Based Waveform Learning for Superimposed Pilot Systems
[IEEE] 2026-7-15 | WiRD-Gest: Gesture Recognition In The Real World Using Range-Doppler Wi-Fi Sensing on COTS Hardware
[IEEE] 2026-7-15 | Tomato Diseases Identifcation Using Convolution Neural Network
[IEEE] 2026-7-15 | An Experimental Evaluation of Resilience and Scalability in Hybrid Quantum AI Architectures
[IEEE] 2026-7-15 | Load-Modulated Hexagonal-Coupler-Based Power Amplifier (LMHA) for Extended Power-Back-Off Range
[IEEE] 2026-7-15 | Dust-Induced Light Loss (DILL): An IoT System for Monitoring PV Panel Dust
[IEEE] 2026-7-15 | Toward a Humanoid Conductor: Beat-Pattern Gesture Synthesis and Evaluation on the unitree G1
[IEEE] 2026-7-15 | Enhancing Heart Disease Risk Prediction Through Robust Statistical Validation and Interpretability
[IEEE] 2026-7-15 | A Lightweight Post-Quantum Secure Knapsack Cryptosystem Using Tree Parity Machine Synchronization
[IEEE] 2026-7-15 | AI-Driven Multi-Modal Adaptive Handover Control Optimization for O-RAN
[IEEE] 2026-7-15 | Over-the-Air Synchronization of Large-Scale Cooperative ISAC Networks
[IEEE] 2026-7-15 | Towards Intelligent Resource Orchestration in 5G Networks: A Multi-Layer Optimization Approach
[IEEE] 2026-7-15 | BitFlipScope: Scalable Fault Localization and Recovery for Bit-Flip Corruptions in LLMs
[IEEE] 2026-7-15 | Ergodic Rate Analysis of Two-State Pinching-Antenna Systems
[IEEE] 2026-7-15 | Adaptive Document Rectification and Illumination Normalization via Hybrid Cascade Detection
[IEEE] 2026-7-15 | Compact Tune-Free Dual-Band Filter Using Metal Insert
[IEEE] 2026-7-15 | Joint AMC and Power Control for HARQ-Enabled Uplink SCMA in LEO Satellite Communications
[IEEE] 2026-7-15 | On Selecting Chatbots Utilized by Small and Medium-Sized Enterprises: Evaluation of a New Taxonomy-Based Selection Metric for Generative AI Based on a Think-Aloud Study with Decision-Makers
[IEEE] 2026-7-15 | Hetero-Net: An Energy-Efficient Resource Allocation and 3D Placement in Heterogeneous LoRa Networks via Multi-Agent Optimization
[IEEE] 2026-7-15 | Virtual Voice Assistance for Partially Dumb People Using Audio Processing with Deep Learning
[IEEE] 2026-7-15 | Outage Probability Analysis of NOMA-Enabled Hierarchical UAV Networks with Non-Linear Energy Harvesting
[IEEE] 2026-7-15 | MADRL-Based Edge Offloading and Resource Allocation for Vehicular LLM Inference
[IEEE] 2026-7-15 | Energy-Efficient End-to-End Resource Allocation, Computing, and Pairing for UAV-Assisted Mobile Crowdsensing Networks
[IEEE] 2026-7-15 | CareCrypt: A Secure Blockchain-Enabled IoT Framework for Privacy-Preserving Patient Monitoring
[IEEE] 2026-7-15 | Towards Edge Intelligence via Autonomous Navigation: A Robot-Assisted Data Collection Approach
[IEEE] 2026-7-15 | Retraction Notice: Emotion recognition from speech using Gaussian Mixture Model and vector quantization
[IEEE] 2026-7-15 | WS20: IEEE ICC Workshop on Generative AI and Large Model Empowered Next Generation Networks
[IEEE] 2026-7-15 | Retraction Notice: Comparative analysis of web-mining approaches for efficient mining of server log formats
[ACM] 2026-7-15 | CheerleadAR: Pretraining Support for Cheerleading Stunts using Augmented Reality
[ACM] 2026-7-15 | Tessera: Participation as Cultural Reconstruction Through Confidence-Aware Temporal Rendering
[ACM] 2026-7-15 | BlendAnything: A Blender Plugin for Cross-Topology Motion Blending
[ACM] 2026-7-15 | On the Robustness of LLM Re-Rankings
[ACM] 2026-7-15 | What Gets Cited: Competitive GEO in AI Answer Engines
[ACM] 2026-7-15 | PrepRet: Automated Data Preparation Pipeline Selection for Neural Retrieval
[IEEE] 2026-7-15 | Prioritized Min-Max Fair Cyclic Physician Scheduling for Eye Outpatient Clinics Using the Weighted Direct Progressive-Filling Algorithm with Warm Start
[IEEE] 2026-7-15 | MvtText: A Multistage Latent Diffusion Framework for Text-Driven Human Motion Generation
[IEEE] 2026-7-15 | Retraction Notice: GUI Testing Android Application
[ACM] 2026-7-15 | When LLM Judges Inflate Scores: Exploring Overrating in Relevance Assessment
[ACM] 2026-7-15 | Towards Emotional Intelligence in Conversational AI: How Well Can LLMs Recognise Emotion in Conversations?
[ACM] 2026-7-15 | Lost in
                    <i>Decoding?</i>
                    Reproducing and Stress-Testing the Look-Ahead Prior in Generative Retrieval
[ACM] 2026-7-15 | Answer First, Evidence Second? Uncovering Hidden Risks in Well-Structured AI Search Summaries
[ACM] 2026-7-15 | From Continuous Pretraining to Domain-Adaptive Reranking via Task Vector Adaptation
[IEEE] 2026-7-15 | Frequency-Pulse Width Anti-Jamming Game for Distributed Radar Systems Against UAV Swarm
[IEEE] 2026-7-15 | Free-Structure based Efficient NIR-II FMT: A Solution for Human Hepatocellular Carcinoma Detection_supp1-3712729.docx
[IEEE] 2026-7-15 | Retraction Notice: Comparative Analysis of Deepfake Video Detection Using Inception Net and Efficient Net
[IEEE] 2026-7-15 | Retraction Notice: Biomedical Lung Image Segmentation Using CNN
[IEEE] 2026-7-15 | Retraction Notice: Autonomous Heterogeneous Network for Mixed Strategy Analysis in Defence Attack Game Model Based on 5G in Machine Learning Environment
[IEEE] 2026-7-15 | Retraction Notice: A Review on Machine Learning Classification Technique for Bank Loan Approval
[IEEE] 2026-7-15 | Retraction Notice: Solution for Agri Disaster Using Climate Changes Adaptation by Ml
[IEEE] 2026-7-15 | Retraction Notice: Skin Disease Detection using Deep Learning
[IEEE] 2026-7-15 | Front Cover Page
[IEEE] 2026-7-15 | Retraction Notice: Artificial Intelligence-Enabled Protein-Protein Interaction Prediction: Insights into Cellular Signalling Networks
[IEEE] 2026-7-15 | RFIC 2026 Abstract Cards
[IEEE] 2026-7-15 | Social Engineering Attacks: Detection and User Awareness
[IEEE] 2026-7-15 | Pronounce Pro- Automatic Pronunciation Mistake Detection System
[IEEE] 2026-7-15 | Secure IoT-Cloud Architecture Using Hybrid Cryptography and Machine Learning for Threat Prediction and Data Protection
[IEEE] 2026-7-15 | Impact of UAV 3D Posture and Wobbles on the Non-Stationary Air-to-Ground Channels
[IEEE] 2026-7-15 | LyMARL: Lyapunov-Guided MARL for Energy-Constrained User Association
[IEEE] 2026-7-15 | LiDAR Spoofing for Compromising SLAM on ROS2 Using Statistical Beam Adjustment &amp; Temporal Modeling
[IEEE] 2026-7-15 | Design Methodology and Verification of Standard Cell Libraries for Scalable ASIC Implementation of Inverter and Inverter Delay Circuit
[IEEE] 2026-7-15 | A CMOS E/W-Band Power Amplifier with 53% Bandwidth Using an Over-Neutralized Active Core for Dielectric Waveguide Interconnects
[IEEE] 2026-7-15 | MMFCyberDetector: A Multimodal Skeleton-Based Framework for Cyberbullying Action Detection
[IEEE] 2026-7-15 | Smart Healthcare Wearable: A Jacket for Continuous Vital Sign Monitoring and Emergency Alerting - A Novel Approach
[IEEE] 2026-7-15 | A Framework for Evaluation and Comparison of 6G Use Cases and Network Solutions
[IEEE] 2026-7-15 | BST Based Continuously Tunable Delay Line for Full-Duplex Applications
[IEEE] 2026-7-15 | Joint Optimization of Role Switching and Trajectory Planning for Multi-UAV Assisted Uplink Secure Communications
[IEEE] 2026-7-15 | Boosting Near-Field User Tracking via Channel Map-Aided Movable Antenna Optimization
[IEEE] 2026-7-15 | Real Time Object Detection using R-CNN and Faster R-CNN
[IEEE] 2026-7-15 | A Comparative Analysis of XGBoost and LSTM for Traffic Congestion Prediction
[IEEE] 2026-7-15 | Distributed Deep Reinforcement Learning for Hybrid Beamforming in Cooperative UAV-ISAC Networks
[IEEE] 2026-7-15 | ECAM-Fabricated Low-Loss 3D Feed Network and Antenna for 6G Backhaul
[IEEE] 2026-7-15 | Performance and Applicability of State Estimation Methods for Timed Automata
[IEEE] 2026-7-15 | Convolutional Code Aided Index Modulation for Dual Mode Orthogonal Frequency Division Multiplexing
[IEEE] 2026-7-15 | DoA Estimation Based on Deep Learning-MUSIC Hybrid Algorithm with Fluid Antenna for Closely Spaced Signals
[IEEE] 2026-7-15 | Advanced Cyber Attack Analysis with DNS: A Machine Learning Approach for Threat Detection and Classification
[IEEE] 2026-7-15 | A Fully Differential Ultra-Compact Broadband Rat-Race Coupler Using Folded Inverted Coupled-Lines in 180-nm CMOS
[IEEE] 2026-7-15 | Buffer-Guided Online Intrusion Detection under Dynamic Wireless Traffic
[IEEE] 2026-7-15 | Secure NOMA-Enabled Aerial RIS Networks via Multi-Agent Multi-Stage Curriculum Learning
[IEEE] 2026-7-15 | A 4 W Heterogeneous Power Amplifier With Gan-On-Si Dielets in Single-Crystal Diamond Interposer for 6G Fr3 Applications
[IEEE] 2026-7-15 | RIS Phase Optimization for Secure Localization Against Passive Eavesdroppers
[IEEE] 2026-7-15 | Dynamic DoF Allocation for Energy-Efficient ISAC via Element-Grouping Extremely Large-Scale IRS
[IEEE] 2026-7-15 | An MTE-Based Handling Quality Assessment Framework for SVO Fixed-Wing VTOL Aircraft
[IEEE] 2026-7-15 | Leveraging Quantum Computing for Scalable Fraud Detection in Digital-to-Cash Conversions
[IEEE] 2026-7-15 | MilletsGAI: An LLM for the Indian Millet Ecosystem
[IEEE] 2026-7-15 | Simulation-Based Study for Detection of Leukemia Cells Using Piezoelectric Microstructures
[IEEE] 2026-7-15 | Deep Learning Models for Stroke Identification through Neuroimage Analysis
[IEEE] 2026-7-15 | Embodiment Matters in LLM-Driven Interactive Storytelling: Comparing a Physical Robot and a Virtual Agent
[IEEE] 2026-7-15 | Graph Neural Network Based Federated Wideband Spectrum Sensing with Sub-Nyquist Sampling
[IEEE] 2026-7-15 | Machine Learning-Based Diagnostic Strategies for Early-Stage Chronic Kidney Disease
[IEEE] 2026-7-15 | Early Detection of Sepsis Using ML and DL
[IEEE] 2026-7-15 | Face Recognition Based Interest Identification Using LSTM Approach for Enterprise Communication Platform Video Grade
[IEEE] 2026-7-15 | Dynamic Cross-Domain Network Slicing for Teleoperation: A Real-World Proof-of-Concept
[IEEE] 2026-7-15 | Deep Reinforcement Learning-Based Joint Network and Computing Load Balancing for Industrial Networks
[IEEE] 2026-7-15 | Protected-Area LED Lighting Characterization Using an Insect-Photopic Spectral Index
[IEEE] 2026-7-15 | A Digital Twin-enabled Swarm Intelligence Approach to Distributed Processing in IoT Networks
[IEEE] 2026-7-15 | AI-Enhanced Tactical Congestion Management Framework for Human-in-the-Loop Decision Support
[IEEE] 2026-7-15 | Explicit LEO Satellite Constellation Design and Coverage Analysis of Clustered Space SDN
[IEEE] 2026-7-15 | Improved Twisted Convolution Precoding for Zak-OTFS
