[2026-07-04 10:54:39] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[IEEE] 2026-7-3 | UAF-LIVO: Uncertainty-Aware Feature-Based LiDAR-Inertial-Visual Odometry Robust to Cross-Modal Geometric Inconsistency
[IEEE] 2026-7-3 | CHIME: Cost-Constrained Hybrid Popularity-Aware Intelligent Service Caching Framework for MEC
[IEEE] 2026-7-3 | Across-Track Tilt Concept for Sun Glint Mitigation in Future Earth-Observing Missions
[IEEE] 2026-7-3 | Partial Multi-label Learning with Decorrelated Label Encoding and Class Prototype Decoding
[IEEE] 2026-7-3 | Failure Mechanisms in IGBT Modules Under AC Repetitive Stresses at the Converter Level
[IEEE] 2026-7-3 | Physics-Preserving Neural Network (P
                    <sup>2</sup>
                    NN) Methods for Elliptic Partial Differential Equations
[IEEE] 2026-7-3 | A Novel Method for Generating Small-Sample Data of the Satellite Power Subsystem with InCoTimeGAN Integrating Self-Checking and Information Enhancement
[IEEE] 2026-7-3 | Ppin: Anomaly-based Intrusion Detection on Provenance Graph via Behavior Pattern Mining
[IEEE] 2026-7-3 | Game-Guided Multi-Agent Reinforcement Learning Approach for Vehicle Decision-Making in Narrow-Road Meeting With Hybrid Interaction
[IEEE] 2026-7-3 | Conflict-Based Lazy Search for Fast Multimanipulator Planning
[IEEE] 2026-7-3 | Call for Papers
[IEEE] 2026-7-3 | FAT-KD: A Lightweight Federated Adversarial Knowledge Distillation Framework for Intrusion Detection in IoT
[IEEE] 2026-7-3 | BirdEye: An Affordable, Plug-and-Play Solution for Scalable Bird Logging
[IEEE] 2026-7-3 | A Subarray-Based Dual-Polarized Array Antenna with Grating Lobe Suppression for 4G/5G systems
[IEEE] 2026-7-3 | UzbNERCorpus: Developing An Annotation Scheme For NER Corpus In The Uzbek Language
[IEEE] 2026-7-3 | Multimodal Transformer-Based Malware Classification Using Binary Visualization and Opcode Sequences
[IEEE] 2026-7-3 | An Adaptive Multi-Agent System for Fair and Dynamic Resource Allocation in Remote Laboratory Platforms
[IEEE] 2026-7-3 | Multi-Objective Policy Design using Reinforcement Learning in 6G Networks
[IEEE] 2026-7-3 | Frequency Control of an Islanded Microgrid Using Arctic Puffin Optimization Based Cascade PI-PDF Controller
[IEEE] 2026-7-3 | Synthesized Signal for Modeling Biological Processes for Laboratory Tasks using the Example of Human Forced Exhalation Sounds
[IEEE] 2026-7-3 | A Koopman-Based Equivalent-Input-Disturbance Tremor-Suppressing Strategy
[IEEE] 2026-7-3 | A Hybrid Machine Learning Model for Smart Monitoring and Predictive Maintenance of Solar Panels
[IEEE] 2026-7-3 | OpenClaw in the Wild: Security Analysis of Autonomous Agents
[IEEE] 2026-7-3 | Sharing and Compatibility Analysis Between Mobile Satellite Service and IMT Systems in the 7-8 GHz Band: A Monte-Carlo Simulation Approach
[IEEE] 2026-7-3 | Pragmatic Possibilities of Nonverbal Means in Digital Communication
[IEEE] 2026-7-3 | A 256-Channel, 32-Interconnect, 1.25-NEF, in Vitro and In Vivo Neural Interface With Auto-Calibrated Input Impedance Boosting and on-Chip Spike Detection for Flexible Capacitive Microelectrode Array
[IEEE] 2026-7-3 | In-Network Intelligence for Secure 6G SDN Leveraging Programmable Data Plane: Taxonomy, Limitations, and Opportunities
[IEEE] 2026-7-3 | A Reinforcement Learning Framework for Smart Urban Traffic Management: Simulation-Based Evaluation of Sustainability and Efficiency Metrics
[IEEE] 2026-7-3 | A Hybrid Neuro-Purification Framework Defending Against Backdoor Attacks
[IEEE] 2026-7-3 | Development of an Independent Polarimetric Payload Module for Terrain Analysis using UAV Platforms
[IEEE] 2026-7-3 | When Behavior Becomes the Signal: Sequence-Aware Deep Anomaly Detection for Elderly Activity Monitoring
[IEEE] 2026-7-3 | Explainable Federated Deep Reinforcement Learning for Distributed Trading Agents over 6G-Enabled Wireless Edge Networks
[IEEE] 2026-7-3 | Artificial Intelligence Methods in Knowledge Testing
[IEEE] 2026-7-3 | Agentic IBN-Based Intent-Driven Autonomous Networking for Internet of Vehicles
[IEEE] 2026-7-3 | Cyber-Physical Layer Security Framework Using Hybrid RIS and Artificial Noise in Next-Generation 6G Wireless Networks
[IEEE] 2026-7-3 | Constructing an Inter-Turkic Koine via Medoid Selection and Iterative Self-Distillation
[IEEE] 2026-7-3 | Radio Drone Sensing for Future B5G Networks
[IEEE] 2026-7-3 | Tubular Three-Stator Transverse Linear-Rotary Switched Reluctance Generator for Wave-Current Hybrid Energy Conversion System
[IEEE] 2026-7-3 | Coverage Maximization Topology Control for UAV-Swarm Networks with Robust Connectivity Maintenance
[IEEE] 2026-7-3 | Analysis of Low-Frequency Noise Mechanisms in MOSFETs Using TCAD Modeling
[ACM] 2026-7-3 | Anomaly Detection using Knowledge Graphs: A Survey for Network Management and Cybersecurity Application
[IEEE] 2026-7-3 | STAPT: Spatio-Temporal Semantic Modeling for Advanced Persistent Threat Detection
[IEEE] 2026-7-3 | A Broadband Linear GaN Doherty PA Architecture for Energy-Efficient MIMO IoT Systems in NB-IoT/ LTE-M Bands
[IEEE] 2026-7-3 | Multi-UAV Aided Data Collection in Complex 3D Urban Environments: A MADRL Approach Enhanced with Pheromone-Reward Shaping
[IEEE] 2026-7-3 | SNR-Adaptive Deep Compressed Sensing for Industrial Semantic Communications in IIoT Networks
[IEEE] 2026-7-3 | Choreographing Collaboration: Creative Processes and Technologies in Live Human–Robot Performance
[IEEE] 2026-7-3 | Benchmarking the Robustness of Autonomous Driving to Environmental Illusions: A Lane Perception Perspective
[IEEE] 2026-7-3 | Edge Computing-Oriented Demagnetization Fault Diagnosis of PMSLM Using Multiscale Feature Fusion Network
[IEEE] 2026-7-3 | LiRS: Linear Relative Scale Constraints for Compact Parameterization of Monocular Visual-Inertial Initialization
[IEEE] 2026-7-3 | A Closed-Form 4-DoF Inter-Robot Pose Estimator Using Bearing-Only Measurements
[IEEE] 2026-7-3 | Adaptive Graph Construction Learning for Automotive Radar Object Detection
[IEEE] 2026-7-3 | A BER-Driven Approach for Designing Energy-Efficient Directional Modulation Schemes
[IEEE] 2026-7-3 | Establishing ${\mathcal {D}}$-Stability via LMI-Based Nonsingularity Detection
[IEEE] 2026-7-3 | QoE-Centric Approaches to Anomaly Detection in Future Networks: A Survey and Comparative Analysis
[ACM] 2026-7-3 | ACT: A Unified Framework for Rigging and Animating Characters with Arbitrary Topologies
[ACM] 2026-7-3 | ATGS: Anchored Temporal Gaussian Splatting for Long Volumetric Video Representation
[ACM] 2026-7-3 | ReActor: Reinforcement Learning for Physics-Aware Motion Retargeting
[ACM] 2026-7-3 | StyleID: A Perception-Aware Dataset and Metric for Stylization-Agnostic Facial Identity Recognition
[ACM] 2026-7-3 | LayerInbetween: Occlusion-Aware Stroke Correspondence and Inbetweening with Automatic Layering
[ACM] 2026-7-3 | Go With the Flow: Improving the Precision of Static Data Flow Analysis with Context-Sensitive Sinks
[IEEE] 2026-7-3 | IoT-ML Hybrid Framework for Dust Accumulation Prediction for the Performance Optimization of Photovoltaic Panels
[IEEE] 2026-7-3 | From Prototype to Operational Deployment: A Three-Phase Framework for AI-Enhanced Digital Twins in Energy Infrastructure
[IEEE] 2026-7-3 | Machine Learning Models in an Ecological Monitoring System for Disturbed Tundra Lands
[IEEE] 2026-7-3 | An Artificial Neural Network–Based Droop Control Strategy for Efficient Power Management and Power Quality Enhancement in DC Hybrid Microgrids Using Interleaved High-Gain DC–DC Converters
[IEEE] 2026-7-3 | Towards Real-World Implementation of SDR-Based Radar Platform for UAV Collision Detection
[IEEE] 2026-7-3 | Optivro-Net: A Hybridized Densenet Encoder and Attention-Guided Residual Decoder for Multistructure ROP Segmentation
[IEEE] 2026-7-3 | Benchmarking Machine Learning and Deep Learning Models for Multiclass Wind Turbine Fault Diagnosis Using SCADA Data
[IEEE] 2026-7-3 | A 16.8-33.6 Gb/s, 0.93pJ/b Direct-Frequency-Tracking Digital CDR with an SSC Profile Replicator for Per-Lane Data-Rate Variation and High Jitter Tolerance Under Deep SSC
[IEEE] 2026-7-3 | A Two-Timescale Neurodynamic Approach to Sharpness-Aware Minimization in Deep Learning
[IEEE] 2026-7-3 | Enhanced Discrimination of Olive and Citrus Orchards in Semi-Arid Regions Using Sentinel-1/2 Data Fusion and Hybrid Texture Phenology Features
[IEEE] 2026-7-3 | Monolithic Photonic BiCMOS Technology with 400-GHz SiGe-HBTs and Germanium-Fin Photodiodes
[IEEE] 2026-7-3 | Cross-Layer Access Link Optimization Between VLEO and LEO Satellites
[IEEE] 2026-7-3 | Tensor-Train Neural Network for External PIM Cancellation in Massive MIMO
[IEEE] 2026-7-3 | A New Reduced Switch Seven-Level Inverter for Grid-Connected Applications
[IEEE] 2026-7-3 | Explainable Ensemble Learning Framework for Surface Soil Moisture Retrieval in Sunflower Fields Using Sentinel-1 SAR and Sentinel-2 Fusion
[IEEE] 2026-7-3 | Edge-Based Anomaly Detection in IoT Networks: A Comparative Study of Deep Learning Models
[IEEE] 2026-7-3 | A $\mathbf{3 2 G b} / \mathbf{s}$ Optical Receiver Utilizing a Differential TIA with $- 1 7. 3 d B m$ Sensitivity in a 3D-Stacked Silicon Photonics Platform
[IEEE] 2026-7-3 | A 2D-Extendable $\mathbf{4 8 V}$-1V Ladder-Series-Capacitor Buck Converter for Computing Power Delivery
[IEEE] 2026-7-3 | A Floating-Inverter Integrator LDO Achieving Near-Zero Line Regulation via Parasitic-Synthesized Supply-Tracking Offset
[IEEE] 2026-7-3 | A 25.3% Area-Efficient 1CPP Mask ROM with Robust Power Mesh on 2-nm NanoSheet Logic CMOS
[IEEE] 2026-7-3 | CPU Cores in GAA with Backside Power: Silicon-Validated Design Insights
[IEEE] 2026-7-3 | Prototype-Enhanced Multi-View Learning for Thyroid Nodule Ultrasound Classification
[IEEE] 2026-7-3 | Creation of an Annotated Syntactic Corpus for Sentence Constituents in the Uzbek Language and Evaluation of Models
[ACM] 2026-7-4 | Accessing Web3 Onboarding and Trust via Vipps
[ACM] 2026-7-3 | ALIAS: An Open-Ended Adaptively Learnable Intelligent AI System for Efficient Domain Adaptation
[ACM] 2026-7-3 | A Comprehensive Blueprint for Australian Tertiary ICT Curriculum Indigenisation
[ACM] 2026-7-3 | BodyReLux: Temporally Consistent Full-Body Video Relighting
[ACM] 2026-7-3 | Physics-Inspired Procedural Texturing of Extremely Deformable Surfaces
[ACM] 2026-7-3 | Manifold k-NN: Accelerated k-NN Queries for Manifold Point Clouds
[ACM] 2026-7-3 | A Two-Millisecond Passthrough Headset for Perceptual Studies
[ACM] 2026-7-3 | Research on the Design of an Ancient Opera Learning System Based on Knowledge Graph and Recommendation Algorithm
[ACM] 2026-7-3 | Research on technology empowerment dilemma, ethical risk and collaborative governance path of AI education application -- a critical analysis based on philosophy of technology and system dynamics
[ACM] 2026-7-3 | Lucky High Dynamic Range Smartphone Imaging
[ACM] 2026-7-3 | MeshFEM: A Block-accelerated Solver for Nonlinear Finite Elements
[IEEE] 2026-7-3 | A Scalable and High-Performance Architecture for Data Center Networks
[IEEE] 2026-7-3 | Author Index
[IEEE] 2026-7-3 | HiT-HGR: A Multi-Scale Oriented Hierarchical Transformer for Hand-Gesture Recognition
[IEEE] 2026-7-3 | A Low-Spur Fractional-N DPLL With Analog Pre-Distortion DTC Implementing Second-/Third-Order Calibration
[IEEE] 2026-7-3 | Grid-Aware Smart Homes Energy Management in Unbalanced Low Voltage Distribution Network
[IEEE] 2026-7-3 | Model Predictive Control Using Linearized Neural Network-Based NARX Modeling for Antagonistic Pneumatic Artificial Muscle Systems
[IEEE] 2026-7-3 | Coordinating AI Agents for Proactive Covert Communications: A Storage and Timing Knowledge-Driven Approach
[IEEE] 2026-7-3 | Back cover
[IEEE] 2026-7-3 | Dynamic Spectrum Aggregation and Resource Allocation for Embodied-Enhanced Cognitive UAV Networks Using Hybrid Action Space DRL
[IEEE] 2026-7-3 | Motion Capture from Inertial and Vision Sensors
[IEEE] 2026-7-3 | Pollutants detection system with sparse reconstruction-encoding strategy based on 3D fluorescence spectra
[IEEE] 2026-7-3 | On-Load Tap-Changer and Flexibility for Local Ancillary Services
[IEEE] 2026-7-3 | MR Safe Pneumatic Piston Step Motor (PneuStep-P)
[IEEE] 2026-7-3 | CrossDiffAE: Cross-Modal Masked Diffusion Autoencoding for Zero-Shot Skeleton Action Recognition
[IEEE] 2026-7-3 | Light Weight Convolutional Gated Recurrent Network for Automatic Modulation Recognition
[IEEE] 2026-7-3 | A Path-Switchable Multicoupled-Resonator 180° MMIC Phase Shifter With 0.09-dB Amplitude Imbalance and 0.6° Phase Error
[ACM] 2026-7-3 | FP-Predictor – False Positive Prediction for Static Analysis Reports
[ACM] 2026-7-4 | Challenge: What Does Context Mean for Research Software?
[ACM] 2026-7-4 | Evaluating ML Methods for Classifying RSE Personas on GitHub
[IEEE] 2026-7-3 | In-silico Evaluation of Pacing Modalities in Cardiac Resynchronization Therapy: Modern Left Bundle Branch Area Pacing Against Conventional Biventricular Pacing
[IEEE] 2026-7-3 | Performance Analysis Graphene Enabled Circular Patch Antenna for Biomedical and Biochemical Applications
[IEEE] 2026-7-3 | Fault Detection and Diagnosis Using Binary and Multi-Class Classification in Industry 4.0
[IEEE] 2026-7-3 | A Deep Learning Framework for UAV-Assisted Search and Rescue of Missing Persons
[IEEE] 2026-7-3 | WiSNA: Edge-Assisted Nonce-Safe Lightweight Authenticated Encryption for Lossy IEEE 802.15.4 IoT Networks
[IEEE] 2026-7-3 | Pattern-Based Representation of Actions in Robot-Assisted Endovascular Surgery
[IEEE] 2026-7-3 | Decentralized Multi-Agent Reinforcement Learning for Real-Time EV Charging in Community Energy Systems
[IEEE] 2026-7-3 | Performance Analysis of INS-2B Nano-MX and Cloud Cover Assessment Over Mauritius in Campaign Mode
[IEEE] 2026-7-3 | SmartEstateGPT: A Cost-Efficient Autonomous AI Agent for Real Estate Operations using RAG, Tool Calling, and TurboQuant Optimization
[IEEE] 2026-7-3 | End-to-End Deep Learning Framework for Accurate Arrhythmia Recognition from 12-Lead ECG Signals
[IEEE] 2026-7-3 | A Modified FSV Procedure for Robust Comparison of Data in the Presence of Incompleteness
[IEEE] 2026-7-3 | Optimized Deep Learning Model for Precise Epileptic Seizure Detection from Electroencephalogram Signals Enhancing Accuracy Performance and Classification
[IEEE] 2026-7-3 | Load Frequency Control in Renewable Energy Sources Integrated Single-Area Power System
[IEEE] 2026-7-3 | Image Quality Restoration Using Gans for Robust Object Detection in Projection-Based Vision Systems
[IEEE] 2026-7-3 | A Multimodal Framework for Parkinson's Disease Detection Using Image, Audio, and Clinical Data
[IEEE] 2026-7-3 | A Scalable Distributed Digital LDO Achieving Fast and Accurate Current Balancing
[IEEE] 2026-7-3 | Voltage Stability Enhancement in Power Systems Using Thevenin-Based D-VAR Placement
[IEEE] 2026-7-3 | SkinNetFusion-Attn: A Hybrid Deep Learning Framework with Attention-Guided Feature Fusion for Accurate Skin Cancer Diagnosis
[IEEE] 2026-7-3 | GDA-LLM: Graph-based Difficulty-Adaptive Large Language Model with Cross-Encoder Re-ranking
[IEEE] 2026-7-3 | SVAN: Static Analysis System for SystemVerilog Hardware Descriptions
[IEEE] 2026-7-3 | AI-Based Framework for Comprehensive Monitoring of Forest Degradation in the Sundarban Region Using Multi-Temporal Remote Sensing Data
[IEEE] 2026-7-3 | Modeling, Analysis and Control of Totem-Pole PFC-Based Onboard EV Charger for Third Harmonic Mitigation
[IEEE] 2026-7-3 | A Class Topper Optimization with Regrouping Strategy Based PI-Controlled Shunt Active Power Filter for Power Quality Improvement
[IEEE] 2026-7-3 | A Systematic Literature Review on Automata–Driven and ML-Augmented Frameworks for Testing in Web Applications
[IEEE] 2026-7-3 | Quality-Aware Dynamic Client-Rank Selection for Resource-Constrained Federated LoRA
[IEEE] 2026-7-3 | An 800 Gbps/Fiber Silicon Photonic Microring-Based DWDM Transceiver in an Open-Cavity Package
[IEEE] 2026-7-3 | High Yield Sub 20 nm Ru Direct Metal Etch Enabled by Single-Exposure 0.55NA EUV and dry MOR Technology
[IEEE] 2026-7-3 | Impact of Image Fusion of Optical and Microwave Satellite Imagery Under Cloudy Conditions
[IEEE] 2026-7-3 | An innovative solution to improve academic performance and student well-being
[IEEE] 2026-7-3 | AI-based Task Offloading in Vehicular Edge Computing Scenarios
[IEEE] 2026-7-3 | A 3.25-Gb/S 0.74-pJ/bit IR-UWB Transmitter Using Edge-Reference Differential Phase Shift Keying (ER-DPSK)
[IEEE] 2026-7-3 | Study of Oculomotor Control Under Optokinetic Load in Virtual Reality
[IEEE] 2026-7-3 | Unit Sizing and Techno-Economical Analysis of a Hybrid PV-Wind-Battery-DG System
[IEEE] 2026-7-3 | High-Temperature Resilient SiGe Nanosheet PFET RMG Towards Multi-Tiered Sequential Integration
[IEEE] 2026-7-3 | Robust Rule-based Heuristic Assistance Strategy for a Semi-Active Shoulder Exoskeleton Used in Overhead Work
[IEEE] 2026-7-3 | Multi-Objective Deep Reinforcement Learning for Dimensional Optimization of Parallel Robots_supp1-3709074.mp4
[IEEE] 2026-7-3 | An Enhanced Three-Cornered Hat Method for Uncertainty Analysis of Soil Moisture Products: Optimization Based on Error Model Improvement
[IEEE] 2026-7-3 | ComSoc CTN
[IEEE] 2026-7-3 | Low-Latency Spatial-Provenance Recovery Methods for Privacy-Constrained Vehicular Networks
[IEEE] 2026-7-3 | Enhancing Volumetric Imaging in Linear-Array Photoacoustic Tomography: multiview fusion with deep learning
[IEEE] 2026-7-3 | A Collaborative Evolutionary GVAE-Based Dispatch Framework for Partition Power Balance of Microgrid Clusters
[IEEE] 2026-7-3 | CDC-VSR: Unifying Cross-Domain Continuity for High-Quality Video Super-Resolution_supp1-3709223.pdf
[IEEE] 2026-7-3 | A Closed-form Expression for the Point Spread Function in Synthetic Transmit Aperture Ultrasound Imaging
[IEEE] 2026-7-3 | Driver-Perception-Aware Shared Steering Control for Automated Vehicles: Balancing Safety and Comfort
[IEEE] 2026-7-3 | Optimization of Single Photon Avalanche Diode Design using Surrogate-Reinforcement Learning
[IEEE] 2026-7-3 | Tuning-Free Latent Diffusion Models for Ultrahigh-Resolution Image Editing_supp1-3707463.pdf
[ACM] 2026-7-3 | AI-Driven Restructuring of Employment in the Education Sector and Beyond: A Multi-Model Empirical Analysis
[ACM] 2026-7-3 | Untangling Surfaces via Shape and Mesh Repulsion
[ACM] 2026-7-3 | GenPIE: A Time-Resolved Plenoptic Imager
[ACM] 2026-7-3 | Coding Wagara: Fostering Motivation through Generating Japanese Patterns using SF Symbols
[ACM] 2026-7-3 | Bridging Artistic Expression and Game Design through Cross-Cultural Collaboration: An Educational Framework from a Seven-Year Japan–U.S. Program
[ACM] 2026-7-3 | Animating Engagement: Connecting Technology, Artistry, and Purpose in a Small Public University
[ACM] 2026-7-3 | Tangible Topics: Designing Technology to Enrich the Social Interactions of Older Adults in Community-Based Programs
[ACM] 2026-7-4 | Proceedings of the 2026 1st International Workshop on Software Engineering and Research Software
[IEEE] 2026-7-3 | DVB-T Opportunistic Bistatic Radar Experiment Using a PXIe Receiver Platform
[IEEE] 2026-7-3 | Real-Time Modulation Classification for Radio Signal Using Spectrograms with YOLOv8
[IEEE] 2026-7-3 | SLID: Mitigating Unauthorized Covert Communications via Self-Locking Identification
[IEEE] 2026-7-3 | First Demonstration of Heterogeneous n-IGZO/p-WSe
                    <sub>2</sub>
                    Integration as a Power-Performance Area Booster for BEOL Complementary Gain-Cell Memory
[IEEE] 2026-7-3 | Deep Reinforcement Learning for Latency and QoS Optimization in Hierarchical V2X Edge Networks
[IEEE] 2026-7-3 | Universal Dependencies as a unifying mechanism for the electronic corpus “Tugan Tel” and the linguistic portal “Turkic Morpheme”
[IEEE] 2026-7-3 | Experimental Evaluation of NB-IoT Uplink Limits over GEO
[IEEE] 2026-7-3 | Safe-EI: Safety-Constrained Offloading for Edge Intelligence in Mixed-Criticality Systems
[IEEE] 2026-7-3 | Performance of RISC-V SoCs for Secure Edge Applications: A Benchmark-Driven Analysis
[IEEE] 2026-7-3 | Design and Development of Modified DC-DC Converter for Renewable Energy Applications
[IEEE] 2026-7-3 | A Wireless Pressure Sensor Implant with MRI-Encoded Data Uplink
[IEEE] 2026-7-3 | Joint Beamforming and Trajectory Design for Sensing-Centric UAV-Enabled ISAC Systems
[IEEE] 2026-7-3 | Ensemble Cluster Analysis for Multidimensional Profiling of Engineering Applicants
[IEEE] 2026-7-3 | Vertically Stacked Five-Word-Line IGZO FeFETs with Dual-Gate-Enabled Stable Erase Toward High-Bandwidth Storage
[IEEE] 2026-7-3 | Time-Series Forecasting of Household Global Active Power Using Gradient Boosting Algorithms with Explainable AI Interpretation
[IEEE] 2026-7-3 | Coupling Surface and Deep Electromagnetic Investigations Using Inversion Modeling to Assess Soil Salinization Risk in a Semi-Arid Region: A Case Study from Tunisia
[IEEE] 2026-7-3 | Record-Performance In
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    FETs with Ultra-Scaled Contacted Gate Pitch: Enabled by Higher-$\boldsymbol{k}$ HZO Linear Dielectric and Novel Ti-Seeded Contact
[IEEE] 2026-7-3 | Depletion-Mode Iii-V/Si SISCAP Mach-Zehnder Modulator Breaking the Efficiency-Bandwidth Trade-off for Co-Packaged Optics
[IEEE] 2026-7-3 | Graph Enhanced Multi-Agent DRL for STAR-RIS Assisted ISAC in SAGIN
[IEEE] 2026-7-3 | Optimal Sizing and Placement of Distributed Generators in Modern Power Distribution Networks Using Multi-Objective Hybrid Optimization Approach
[IEEE] 2026-7-3 | Energy-Efficient Joint Offloading and Resource Allocation Using Meta Learning in Low-Altitude Edge IoT Networks
[IEEE] 2026-7-3 | Power Quality Improvement in Distribution System Minimising Harmonics Distortion
[IEEE] 2026-7-3 | A Novel Five-Level Inverter for Grid-Connected Applications
[IEEE] 2026-7-3 | Optimization of MPPT in PV System: Effect of Windspeed and Humidity GA-Based Approach
[IEEE] 2026-7-3 | Performance Analysis of on-Board Charger for Electric Vehicles
[IEEE] 2026-7-3 | A Comparative Study of Nickel Manganese Cobalt and Lithium Iron Phosphate Batteries in Electric Vehicles
[IEEE] 2026-7-3 | Dynamic Neural Networks for Manipulability Optimization of Omnidirectional Mobile Redundant Manipulator Under Anti-Input Disturbance
[IEEE] 2026-7-3 | Directivity Maximization for FAS Antenna Systems
[IEEE] 2026-7-3 | Backside Power: Enabling Energy-Efficient Performance on Advanced Node Designs
[IEEE] 2026-7-3 | ANN-Based EV Charging Demand Forecasting in Renewable Microgrids
[ACM] 2026-7-4 | Reverse Engineering and Control-Aware Security Analysis of the ArduPilot UAV Framework
[ACM] 2026-7-4 | Quantum Machine Learning: Bridging Quantum Computing &amp; Machine Learning
[ACM] 2026-7-3 | MUSIC: Learning Muscle-Driven Dexterous Hand Control
[ACM] 2026-7-3 | ToF ReSTIR: Time-of-Flight Rendering with Spatio-temporal Reservoir Resampling
[ACM] 2026-7-3 | Rolling Through the Pipeline: A Course Model for Virtual Production Education
[ACM] 2026-7-3 | Engineering Empathy: A Blueprint for Interdisciplinary Art and Engineering in K-12 Education
[ACM] 2026-7-3 | Asiagraphics Workshop on Neural Graphics Processing
[ACM] 2026-7-3 | What Do Competitive Players Do With Their Settings? A Multi-Game Esports Configuration Survey
[IEEE] 2026-7-3 | Three-Level Boost Converters for Solar PV Integration with Bigrid System in EV Charging Applications
[IEEE] 2026-7-3 | Geomorphometry–Based Mapping and Assessment of Viewpoint Geosites for Geo-Education in Arid Landscapes: Zagora Region (Southeast Morocco)
[IEEE] 2026-7-3 | Augmenting SPICE Behavioral Models for Simulating Emerging Concepts The Force Extraction IGBT
[IEEE] 2026-7-3 | Reduced-Order Model Based Design of PID Controller for Zeta Power Converter Using Jaya Optimization Algorithm
[IEEE] 2026-7-3 | A 28nm 2GS/s Remote-Sensing On-Chip Oscilloscope Using Charge-Redistributing Voltage Transfer and Time-Domain Stochastic ADC with 1.6mV Resolution
[IEEE] 2026-7-3 | Design and Implementation of Ultra-Capacitor Assisted Hybrid Cell Balancing System Connected DC-DC Converter for Electric Vehicle Applications
[IEEE] 2026-7-3 | Artificial Intelligence in Groundwater and Water Quality Assessment: A Survey
[IEEE] 2026-7-3 | Design of Fault Visualization and Intelligent Scheduling System for BIER Multicast Networks
[IEEE] 2026-7-3 | Covert Communications in High-Mobility Environments Using Pre-Chirp Spreading Index Modulation for AFDM
[IEEE] 2026-7-3 | Offline Disaster Communication Platform for Reliable Emergency Coordination in Network Deprived Environments
[IEEE] 2026-7-3 | A Cross-Band Wi-Fi/BLE Passive Tag Demonstrating Battery-Free Standard-Mask Communication with Smartphones and Battery-Free AoA Localization
[IEEE] 2026-7-3 | An Innovative DTCO for 2 nm GAA Technology with Hyper-Cells in an Extremely High-Density Library for AI/HPC and Mobile SoC Applications
[IEEE] 2026-7-3 | Performance Evaluation of Thermal Noise-Based Covert Communication for Multi-Scenarios
[IEEE] 2026-7-3 | A 64-Channel, Low-Power End-to-End Transformer-Based BCI SoC for Efficient Motion Intention Decoding
[IEEE] 2026-7-3 | THD Analysis of 5-Level Cascaded H-Bridge and Diode Clamped Inverters Driving PMSM and Asynchronous Motors using Different LS-PWM Techniques
[IEEE] 2026-7-3 | Hydrogen Overflow as a Novel Negative V
                    <sub>th</sub>
                    Shift Mechanism in PBTI Universal to Planar and Vertical IGZO FETs
[IEEE] 2026-7-3 | A Comprehensive Review of Machine Learning Driven Speech Recognition Techniques and Emerging Research Themes
[IEEE] 2026-7-3 | The Horizon Europe “Expert” Project for Capacity Building between Space Agencies in Earth Observation Hyperspectral Remote Sensing
[IEEE] 2026-7-3 | SMART-LEA: Scalable Multipath-Aware Localization Enhancement for IoT and 6G Sensor Networks
[IEEE] 2026-7-3 | Morphological Complexity and Neural Machine Translation Quality in Kyrgyz: a Genre-Stratified Evaluation Using chrF
[IEEE] 2026-7-3 | Adaptive AI-Assisted Model Predictive Control of a Modular Multilevel Active Power Filter for Renewable-Integrated Grids
[IEEE] 2026-7-3 | Performance Analysis of Vertical Grounding Rods Under Lightning Current Excitation in Wind Turbine Installations
[IEEE] 2026-7-3 | A 3-nm FinFET CMOS PAM-4 Retimer for $\mathbf{8 0 0 - Gb} / \mathbf{s}$ and $\mathbf{1. 6 - T b} / \mathbf{s}$ Optical Modules
[IEEE] 2026-7-3 | µAgent: A 7nm 404.3mJ/Action Edge SoC for Agentic AI Reasoning with Adaptive Block-Wise Mixed-Format 4-Bit Quantization and Decoupled Access-Execute
[IEEE] 2026-7-3 | Automated Evaluation of University Student Reports Using Large Language Models
[IEEE] 2026-7-3 | AI-Driven Earth Observation for Monitoring Archaeological Looting: Advances, Opportunities, and Future Directions
[IEEE] 2026-7-3 | Hybrid Evolutionary–Machine Learning Framework for Context-Aware Optimal Route Selection in Dynamic Wireless Sensor Networks
[IEEE] 2026-7-3 | Attention-Based Spatio-Temporal Feature Fusion for Efficient RGB Face Presentation Attack Detection
[IEEE] 2026-7-3 | MPUrge-MAP: A White-Box Multipath-Assisted Positioning for Indoor Localization in 6G Networks
[IEEE] 2026-7-3 | SmartBinX: AI-Driven Intelligent Waste Disposal System
[IEEE] 2026-7-3 | Enhancing Resource Diversification in Next-Generation Networks: An Integrated Service-Oriented Approach
[IEEE] 2026-7-3 | Semantic Segmentation of 15 Retinal Biomarkers Using SegFormer with Rare-Class Aware Patch Sampling
[IEEE] 2026-7-3 | Research on the Demonstration of Intent-Driven Manned-Unmanned Cooperative Communication Networks
[ACM] 2026-7-4 | Trusted Execution Environments in Systems-of-Systems: A Systematic Mapping Study
[IEEE] 2026-7-3 | Dynamics of energy costs and emissions in operations: analysis for decision support_supp1-3709537.docx
