[2026-05-07 11:10:01] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-06
正在获取论文...
[arXiv] 2026-05-06 | Emergence of Localized Surface Plasmons in Unpatterned Hyperdoped Polycrystalline Silicon
[IEEE] 2026-5-6 | MedViT: A Vision Transformer-Based Model for Kidney Disease Detection
[IEEE] 2026-5-6 | Real Time Sinhala Lecture Transcription for Political Science
[IEEE] 2026-5-6 | A Hybrid Machine-Learning-Based Framework for Geometry-Temperature-Aware General Compact Model Parameter Extraction
[IEEE] 2026-5-6 | MQTT Routing Optimizing based Intrusion Detection for Internet of Things Leveraging Hybrid Deep Learning Model
[IEEE] 2026-5-6 | Designing an Intelligent Protection Scheme for Solar Power Plants Based on Power Prediction and Asymmetrical Fault Detection
[IEEE] 2026-5-6 | AI-Assisted IoT Framework for Water Quality Monitoring with Real-Time WQI Prediction and Cleaning Forecasting
[IEEE] 2026-5-6 | Personalized Tabular Transformer with Explainable AI for Mental Health Assessment
[IEEE] 2026-5-6 | Electronic Nose-Driven Classification of Sri Lankan Teas: An Ensemble Learning Approach Based on Aroma Profiles
[IEEE] 2026-5-6 | Dataset for DDoS Detection in 5G-Enabled Connected and Autonomous Vehicle Systems
[IEEE] 2026-5-6 | DABBiT: A Drift-Adaptive Behavioral Biometrics Framework for Continuous Authentication in Tanzanian Internet Banking
[IEEE] 2026-5-6 | Benchmarking ML and DL Models for Bangla Sentiment Analysis in Student Movement
[IEEE] 2026-5-6 | Explainable Fake News Detection in Bengali via LLM-Guided Hybrid Representations
[IEEE] 2026-5-6 | Investigation of Coupled RRAM and MOSFET Degradation in 1T1R Memory Cell
[IEEE] 2026-5-6 | Beyond Binary Alerts: A Multi-Faceted Framework for Clinically Actionable Sepsis Prediction
[IEEE] 2026-5-6 | Dual-Band Slot-Loaded Microstrip Patch Antenna for 5G mmWave and Ka-Band Applications
[IEEE] 2026-5-6 | On the Energy Consumption of Continuous Integration in Open-Source Java Projects
[IEEE] 2026-5-6 | Position-Aware Beam Steering and Antenna Adaptation Using LiDAR Sensing for 6G Wireless Links
[IEEE] 2026-5-6 | Classifying Lemon Leaf Diseases Using MobileNetV3-Large for Better Crop Health Monitoring
[IEEE] 2026-5-6 | Steering the Beam of Smallest Aperture Horn Using Metallic Metasurfaces
[IEEE] 2026-5-6 | Resilient Communication Hubs Over LEO Satellite Networks
[IEEE] 2026-5-6 | Comparative Analysis of Configurable Logic Block Using Static CMOS, Transmission Gate and Gate Diffusion Input Techniques
[IEEE] 2026-5-6 | Team Synergy-Aware Workforce Scheduling: Integrating Interpersonal Compatibility and Endogenous Turnover Dynamics
[IEEE] 2026-5-6 | Cyber Physical Hardening of BLE Microsensor Systems Through Systematic VAPT and IDS Based Mitigation
[IEEE] 2026-5-6 | Unveiling Gate Leakage Dynamics in Nanosheet FETs at Cryogenic Temperature: A TCAD Study
[IEEE] 2026-5-6 | Proposed Framework of Sustainable Value Co-Creation in Agricultural Supply Chain: A Bibliometric Perspective
[IEEE] 2026-5-6 | The Role of Artificial Intelligence in Enhancing Decision-Making Processes
[IEEE] 2026-5-6 | Anomaly Detection Approach for Remote Beehive Health Assessment via Environmental Patterns
[IEEE] 2026-5-6 | LED-Tuned HR-Si Monopole Antenna for K-Band Reconfiguration
[IEEE] 2026-5-6 | A scalable neuromorphic platform with four neural motifs featuring &lt;1 ms Per-Neuron Latency
[IEEE] 2026-5-6 | Rain Streak Removal: A Streamlined Hierarchical CNN-Based Approach for Image Enhancement
[IEEE] 2026-5-6 | Dual-Band Dual-Polarized Shared Aperture Traveling-Wave Antenna Using Hybrid Dual-Mode Floquet Excitation for Satellite ISAC Systems
[IEEE] 2026-5-6 | Approximation and Implementation of the Lung Bio-Heat Transfer Electrical Model
[IEEE] 2026-5-6 | Automated Cooked Rice Dispenser with Weight Accuracy and Spoilage Monitoring
[IEEE] 2026-5-6 | Investigating Feature Selection Techniques to Enhance the Performance of Parkinson's Disease Detection Using Tablet Data
[IEEE] 2026-5-6 | Real-Time Breast Cancer Classification Employing GMM-HMRF Segmentation and PCA-Optimized Machine Learning Algorithms
[IEEE] 2026-5-6 | A Comprehensive Study of AI in Engineering Organizations’ Decision-Making: Capabilities, Ethics, and Performance
[IEEE] 2026-5-6 | A Capacitor-Less 22nm FDSOI-Based Event-Driven Pixel Utilizing Tunable Photoresponse Speed
[IEEE] 2026-5-6 | Graphene Inversion Layer for Enhanced Photoresponse in MXene-Si Schottky Photodiodes
[IEEE] 2026-5-6 | SDNet: Interpretable Transformer-Based Captioning for Yield-Aware Nanoscale Defect Diagnosis
[IEEE] 2026-5-6 | Comparative Analysis of Machine Learning Models for Accurate Solar Energy Forecasting
[IEEE] 2026-5-6 | A Transformer-Based Aspect-Level Sentiment Analysis Framework for Analyzing Public Discourse on Generative AI
[IEEE] 2026-5-6 | An Effective Cardiovascular Risk Prediction Using PCA and mRMR Feature Selection with Multi-Model Explainable AI Framework
[IEEE] 2026-5-6 | Non-Volatile Polarization-Reconfigurable SSPP Antenna
[IEEE] 2026-5-6 | CodeScent: A Deep Ensemble and LLM-Based Framework for Python and Java Code Smell Detection with Android Integration
[IEEE] 2026-5-6 | Hybrid Vision Transformer Framework for Brain Tumor Detection and Classification
[IEEE] 2026-5-6 | Tomato Leaf Disease Classification Using RHN-EfficientNet: A Regularized Deep Learning Architecture
[IEEE] 2026-5-6 | Multi-Band Patch Antenna Array for Out-of-Band Aided Millimeter Wave Communication
[IEEE] 2026-5-6 | Compact Transparent Dual-Band Antenna with Artificial Magnetic Conductor for Wearable Devices
[IEEE] 2026-5-6 | E80: An Open-Source 8-bit CPU and Toolchain based on Textbook Digital Design Theory
[IEEE] 2026-5-6 | Unlocking AI Adoption in Future Accounting Professionals: The Mediating Influence of User Perceptions
[IEEE] 2026-5-6 | Freelancer-Client Matching System with AI-Based Skill Assessment
[IEEE] 2026-5-6 | A Novel Dopant-Segregated Si FeFET with a Superlattice Gate Stack Featuring Low-Temperature Gate-First Compatibility and Enhanced Memory Window
[IEEE] 2026-5-6 | Balancing Accuracy and Efficiency: CNN Fusion Models for Diabetic Retinopathy Screening
[IEEE] 2026-5-6 | DC bias-tunning strategy to optimize Sc
                    <sub>0.3</sub>
                    Al
                    <sub>0.7</sub>
                    N cantilever-type MEMS Speakers performance and wafer-level uniformity
[IEEE] 2026-5-6 | WGB-VM: Uncertainty-Aware Virtual Metrology Framework for Semiconductor Manufacturing
[IEEE] 2026-5-6 | Resonance Stability and Bandwidth Variation in Fabricated X-Band Microstrip Resonator
[IEEE] 2026-5-6 | XGBoost and Temporal Feature Engineering for Precise Co Emission Forecasting in Dhaka
[IEEE] 2026-5-6 | A BSIM4-based SPICE Model for MoS
                    <sub>2</sub>
                    Transistors Incorporating Trap Effects for Integrated Circuit Applications
[IEEE] 2026-5-6 | Educational Data Mining of VLE Interaction Logs for Explaining Student Assessment Outcomes: A K-Means Clustering Study
[IEEE] 2026-5-6 | Harmonizing Nature: Real-Time Plant Signal Analysis for Music Generation, Interactive Sound, and Moisture Monitoring
[IEEE] 2026-5-6 | Zinc Oxide Thin Film Piezoelectric Devices on Silicon and PDMS Substrates: Structural and Electrical Characterisation
[ACM] 2026-5-7 | Research on Intelligent Support System for Enterprise Financial and Tax Decision-making
[ACM] 2026-5-7 | Research on Multi-period Emergency Material Allocation Model Considering Residents' Risk Perception
[ACM] 2026-5-7 | Research on the Measurement, Obstacle Diagnosis, and Countermeasure Suggestions for the Integrated Development of Agriculture and Tourism in Northeast China under the Background of Digital Transformation
[ACM] 2026-5-6 | Seeing and Understanding: A Human-Centric Evaluation of Multimodal Language Models in Chinese Contexts
[ACM] 2026-5-6 | Virtual Reality Forest Relaxation Experience: Design and Evaluation
[ACM] 2026-5-6 | EchoBell: Designing Physical–Digital Narratives to Enhance Emotional Resonance in Site Museums
[ACM] 2026-5-6 | Autonomy or guidance: What users want from AI versus human advisors
[IEEE] 2026-5-6 | Exponential-type variable parameter finite-time ZNN for solving joint-drift-free inverse kinematics of redundant robots
[IEEE] 2026-5-6 | Author Index
[IEEE] 2026-5-6 | STAR-RIS Aided Fluid Antenna System: A Joint Optimization with Discrete Positions and Phases
[IEEE] 2026-5-6 | FaceLiVTv2: An Improved Hybrid Architecture for Efficient Mobile Face Recognition_supp1-3690540.pdf
[IEEE] 2026-5-6 | A Compensated Mini-Permeameter for Localized Magnetic Loss Measurements on Magnetic Laminations
[IEEE] 2026-5-6 | Low-Frequency Shock Dynamics in a Self-Gravitating Opposite-Polarity Complex Plasmas
[IEEE] 2026-5-6 | Day-Ahead Scheduling of Distributed Energy Resources in Net-Zero Energy Houses with Multi-Day Operation Using Soft Actor-Critic
[IEEE] 2026-5-6 | A multi-task learning embedded parameterization method for downward shortwave radiation estimation under cloudy-sky conditions_supp1-3690513.docx
[IEEE] 2026-5-6 | DSRF-SAR: Neural Radiance Field Representation Based on a Dual SAR Scattering Mechanism
[IEEE] 2026-5-6 | Training-Free Vision-Language Model for Substrate Glass Defect Detection
[IEEE] 2026-5-6 | Front Cover Page
[ACM] 2026-5-6 | Chapters Corner: From Finding Community to Building It: Supporting ACM SIGCHI Chapters Committee
[IEEE] 2026-5-6 | Lightweight Deep Learning Framework for Pothole Detection and Classification Using CNNs and YOLO Models
[IEEE] 2026-5-6 | Orientation Dependent Global Stress Analysis for Nanosheet based CMOS Device Technology
[IEEE] 2026-5-6 | Comparing the Performance of Serverless vs. Traditional Cloud Models for AI-Powered Tasks
[IEEE] 2026-5-6 | An Integrated Socio-Technical Framework for Antifragile Project Organizations: A New Paradigm for Decision-Making Under Uncertainty
[IEEE] 2026-5-6 | Optimized YOLOv12 for Robust Object Detection in Complex Satellite Scenes
[IEEE] 2026-5-6 | A Wearable Inertial Sensing Platform for Personalized Health and Motion Monitoring
[IEEE] 2026-5-6 | Developing a Decision Support Framework to Minimize Loss Mileage and Its Impact on Sri Lanka's FMCG Transportation Sector: Delphi-ISM Approach
[IEEE] 2026-5-6 | Pre-Implementation Readiness for AI in the Success of ERP Implementation: A Systematic Literature Review
[IEEE] 2026-5-6 | Optimization and Benchmarking of Distribution Costs in a Sri Lankan Paint Manufacturing Company Using Vehicle Routing Problem Method
[IEEE] 2026-5-6 | Generative Rickshaw Art: Stylistic Fine-Tuning of Diffusion Models with Low-Rank Adaptation
[IEEE] 2026-5-6 | Privacy-Preserving Real-Time Crowd Counting on IoT Enabled Edge Devices Using YOLOv8n and Norfair
[IEEE] 2026-5-6 | Monitoring Mental Stress Using Multimodal Physiological Signals from Wearable Device
[IEEE] 2026-5-6 | DMX: A Weighted Softmax Fusion of Heterogeneous CNNs for Burmese Leaf Disease Classification
[IEEE] 2026-5-6 | Securing Underwater Wireless Sensor Networks Using Quantum Sensing: Open Issues, Challenges and Future Directions
[IEEE] 2026-5-6 | Exploring Key Drivers of User Satisfaction in Mobile E-Grocery Applications: A Comprehensive Analysis
[IEEE] 2026-5-6 | Nile Tilapia Pathogens Detection Using CNN Model Infused with Efficient Channel Attention Mechanism
[IEEE] 2026-5-6 | Electrohysterogram-Based Identification of Gestational Period Variations in Uterine Electrical Activity
[IEEE] 2026-5-6 | Design of a Cost-Effective Analog Solar Charge Controller Based on LM358 for Off-Grid Applications with Integrated Battery Protection
[IEEE] 2026-5-6 | Analysis of Double Gate AlGaN/GaN HEMT with Increasing Quantum Wells for Emerging Electronics Applications
[IEEE] 2026-5-6 | Innovative Technologies, Smart Manufacturing, and Machine Learning in Semiconductor Supply Chain
[IEEE] 2026-5-6 | Design and Analysis of Button Shaped Microstrip Patch Antenna for Wireless Capsule Endoscopy in Biotelemetry
[IEEE] 2026-5-6 | Reviewing Model Collapse and Countermeasures
[IEEE] 2026-5-6 | Investigation of Switching Characteristics of Ferroelectric Tunnel Junctions by TCAD Simulation
[IEEE] 2026-5-6 | AI-Based Flight Trajectory Optimization Using Reinforcement Learning
[IEEE] 2026-5-6 | Hierarchical Vision-Controlled Quadruped Robot for Autonomous Human Detection and Localization in Disaster Response
[IEEE] 2026-5-6 | Deep Learning-Based Blood Cell Classification for Cancer Detection Using ResNet50
[IEEE] 2026-5-6 | Requirement-Aware ATS Optimization through an LLM-Driven Approach
[IEEE] 2026-5-6 | Investigation of Oxidative Doping in Multilayer WSe
                    <sub>2</sub>
                    FETs
[IEEE] 2026-5-6 | Towards Real-Time Anomaly Detection in Robotic Manipulators Through Multi-Sensor Fusion with Machine Learning
[IEEE] 2026-5-6 | Acceptance of Artificial Intelligence and Future Italian Physicians’ Perspectives: a cross-sectional descriptive survey
[IEEE] 2026-5-6 | Enhancing Network Security with a Two-Layered Machine Learning-Based Intrusion Detection Framework
[IEEE] 2026-5-6 | From Sensors to Decisions: A Distributed Software-Hardware Stack for Hydroponic Cultivation
[IEEE] 2026-5-6 | Gate-All-Around Nanosheet Oxide Semiconductor Transistor with Crystalline InGaOx
[IEEE] 2026-5-6 | DTKD: A Distance-Based Framework for Efficient Maintenance of Top-k Dominating Queries on Incomplete Data
[IEEE] 2026-5-6 | Development of Quantum Computers with Electron Spins in Silicon Quantum Dots
[IEEE] 2026-5-6 | Flexible electrochemical devices integrating zinc-manganese oxide battery with symmetric supercapacitor
[IEEE] 2026-5-6 | AMAF: An Adaptive and Coupling-Sensitive Framework for Cross-Language Software Maintainability Analysis
[IEEE] 2026-5-6 | A Slope Calibration Technique for Time-mode Delay Tap Accuracy Improvement
[IEEE] 2026-5-6 | Location Allocation for Parcel Lockers with P-Median Model: A Case Study from Türkiye
[IEEE] 2026-5-6 | Design and Performance Analysis of a Slotted Dual-Band MIMO Antenna for X-Band Satellite Communication
[IEEE] 2026-5-6 | Depolarization Field Induced Threshold Voltage Variability in Junctionless Non-Volatile Memory Devices
[IEEE] 2026-5-6 | Malaria Detection from RBC Images Using Multi-Functional CNN with Explainable AI
[IEEE] 2026-5-6 | Forecasting India's Exports to the United States Under Exchange Rate Fluctuations Using VECM and LSTM Models
[IEEE] 2026-5-6 | An Improved End-to-End Deep Learning-Based Approach to Steering Angle Prediction for Autonomous Vehicles
[IEEE] 2026-5-6 | Robust Dual-Domain ANN-Based Compact MOSFET Modeling Across Technology Nodes
[IEEE] 2026-5-6 | An Efficient Algorithmic Approach to Modernize Photo Negatives to Digital Images
[IEEE] 2026-5-6 | Detecting AI-Generated Paraphrases in Bengali: A Comparative Study of Zero-Shot and Fine-Tuned Transformers
[IEEE] 2026-5-6 | AI Adoption and Organizational Agility: Rethinking Business Development for the Digital Era
[IEEE] 2026-5-6 | DynBrainNet: A Dynamic Lightweight Residual Network with Grad-CAM for Brain Tumor Classification
[IEEE] 2026-5-6 | Real-World Detection of Full and Partial Bangladeshi Banknotes: A Deep Learning Based Comparative Analysis
[IEEE] 2026-5-6 | High-Efficient Theta-Slotted Patch Antenna with Low SAR for Early Breast Tumor Detection
[IEEE] 2026-5-6 | The Museum That Feels: AI-Driven Affective Computing for Emotion-Adaptive AR Experiences
[IEEE] 2026-5-6 | Sentiment Prediction for Market Volatility
[IEEE] 2026-5-6 | Benchmarking AI Models for Automated Code Generation and Testing Using HumanEval
[IEEE] 2026-5-6 | A Novel Shallow-Trench Structure SiC power MOSFET for Trade-off Among Performance, Reliability and Process Complexity
[IEEE] 2026-5-6 | Mel-XNet: A Dual-Architecture Ensemble for High-Accuracy Melanoma Detection with Integrated Explainability
[IEEE] 2026-5-6 | Multi-Task Deep Learning Framework for Leukemia Cell Classification and Segmentation: A Joint Learning Approach
[IEEE] 2026-5-6 | Deep Learning Based Crack Detection MLOps Pipeline using Incremental Learning
[IEEE] 2026-5-6 | Profit-Optimal Machine Learning for Purchase Intent Prediction: Calibration, Temporal Validation, and Economic Constraints
[IEEE] 2026-5-6 | The Effect of Halal Label on the Purchase Intentions of Thai Rice among Non-Muslim Consumers in Thailand
[IEEE] 2026-5-6 | I Will Try to Fix You: Large Language Models for Mobile GUI Test Repair
[IEEE] 2026-5-6 | The Role of Supplier Diversification and Supplier Rationalisation in Mitigating Supplier Risk: a Study of Large-Scale Manufacturing Firms in Sri Lanka
[IEEE] 2026-5-6 | Blockchain-Enabled Framework for Secure and Transparent Land Administration in Bangladesh
[IEEE] 2026-5-6 | Grammar-Aware Coverage-Guided Fuzzing with Grammarinator and AFL++
[IEEE] 2026-5-6 | A Multifaceted Approach to Bangla Speech Emotion Recognition Using Hybrid Feature Fusion and Dimensionality Reduction
[IEEE] 2026-5-6 | Multi-bit Programming Scheme of 2T Gain Cell with Near-Ideal Linearity
[IEEE] 2026-5-6 | Front-End Readout Circuit Design for DEPFET Pixel Detectors in 65-nm CMOS
[IEEE] 2026-5-6 | Fuzzy Decision Tree Framework for Hospital Mortality Prediction: Integrating ADASYN Balancing and Explainable AI
[IEEE] 2026-5-6 | Miniaturized Antenna Structure Supporting C and X Band Resonances for Integrated Wireless System
[IEEE] 2026-5-6 | Multiplexers based on Quantum Neural Networks
[IEEE] 2026-5-6 | Enhanced Grid Integration of PV, Wind, and Battery Systems: Leveraging UPQC and Intelligent Control for Power Quality Improvement
[IEEE] 2026-5-6 | Tellurium Nanowire Transistors as Ion Sensors with Near-Nernstian Sensitivity
[IEEE] 2026-5-6 | Effect of Fermentation Time on Bioethanol Production from Coconut Milk Waste for Sustainable Biofuel Development
[IEEE] 2026-5-6 | Pricing Transport Infrastructure in Thailand: Evidence from Multifactor Asset Pricing Models
[IEEE] 2026-5-6 | Towards Climate-Resilient Farming: A Critical Review of Adaptive Decision Support Systems and User-Centered Design Approaches
[IEEE] 2026-5-6 | Transparent Quality Assurance for Low-Code/No-Code Workflows via Explainable AI and Automated Test Generation
[IEEE] 2026-5-6 | From Threat Reports to Security Knowledge: Building an LLM-Based Pipeline for AI Systems
[IEEE] 2026-5-6 | Social Media Analytics for Sustainable Educational Decision-Making: A Case Study of TikTok’s Impact on Student Learning Behavior
[IEEE] 2026-5-6 | A Hybrid Deep Learning and Handcrafted Feature Fusion Framework for Tea Leaf Disease Classification with Explainable AI
[IEEE] 2026-5-6 | Annealing Activation Effect of Pt Electrodes on SAW Devices with Langasite Substrate and the Mechanism Analysis
[IEEE] 2026-5-6 | XGception: Unveiling Mosquito Larvae Patterns with XAI
[IEEE] 2026-5-6 | Urban Sustainability in Bangladesh: Satellite-Based Analysis of Land Use and Air Pollution Trends in Major Bangladeshi Cities
[IEEE] 2026-5-6 | Low Crosstalk Hollow-Cladding Multicore Fiber for Wideband 600+ OAM Modes Transmission
[IEEE] 2026-5-6 | Hybrid Framework for Tomato Leaf Disease Detection Employing Densenet121 and Ensemble Learning Techniques
[IEEE] 2026-5-6 | Advancements in Image Captioning: A Comprehensive Survey on Techniques, Modalities, and Applications
[IEEE] 2026-5-6 | Generative AI Meets Responsible AI and Affective Computing
[IEEE] 2026-5-6 | Electricity Theft Protection Plan Using Advanced Metering Infrastructure (AMI)
[ACM] 2026-5-7 | TCMC: A Multi-Community Social Network Generation Algorithm with Controllable Clustering Coefficients
[ACM] 2026-5-6 | DanceInspector: An Interactive Visualization Tool for Enhanced Learning of Dance Movements
[ACM] 2026-5-6 | CGM-Led Multimodal Tracking with Chatbot Support: An Autoethnography in Sub-Health
[ACM] 2026-5-6 | Exploring Engagement, Interaction, and Community-Building Among Content Creators and Viewers in RedNote’s Autism-Related Content
[IEEE] 2026-5-6 | Expanded Deep Embedding Clustering With Adversarial Learning and Adaptive Graph Constraint
[IEEE] 2026-5-6 | Performance of an IRS-Assisted Underwater Optical Communication System With Energy Harvesting
[IEEE] 2026-5-6 | Decoupling Axial Strain and Torsional Twist in Polarimetric Optical Fiber Sensors through Stokes Parameter Analysis
[IEEE] 2026-5-6 | A detailed analysis and design of a 1kV piezo-driver with precise fast-time response for hydraulic system
[IEEE] 2026-5-6 | Automated Mode Locking in an All-Normal-Dispersion Fiber Laser Using Polarization Feedback.
[IEEE] 2026-5-6 | Preface
[IEEE] 2026-5-6 | Enhancing TV APPs Authoring With LLM Agents
[IEEE] 2026-5-6 | Robust Variational Identification of LPV Systems With Asymmetric Measurement Noise
[IEEE] 2026-5-6 | Design and Analysis of a Novel Permanent-Magnet Vernier Machine as an Electromagnetic Damper
[IEEE] 2026-5-6 | El Niño/La Niña-driven spatiotemporal heterogeneity of the Eastern Tropical South Pacific Oxygen Minimum Zone with satellite-based long-term records
[IEEE] 2026-5-6 | Improving phase difference estimation by optimizing the condition number
[IEEE] 2026-5-6 | SelfBlending: Artificial Intelligence-driven Augmentation with Hand Interactions for Seamless Reality Blending in Virtual Environments
[IEEE] 2026-5-6 | THz Transistor Design and Applications
[IEEE] 2026-5-6 | Critical End-Effect at Sea-to-Land Transition of Three Core Submarine Cables
[IEEE] 2026-5-6 | Cryosphere Remote Sensing Using Multisource Satellite Data: Sensor Technologies, Current Status, Challenges, and Opportunities_supp1-3690565.pdf
[IEEE] 2026-5-6 | Table of Contents
[IEEE] 2026-5-6 | Development of a Bespoke Hybrid Electron Paramagnetic Resonance (EPR) Spectrometer for Simultaneous In Situ Neutron Diffraction Studies
[IEEE] 2026-5-6 | EDTM 2026 Cover Page
[IEEE] 2026-5-6 | AI-Driven Multimodal Framework for Environmental Monitoring and Conservation
[IEEE] 2026-5-6 | Wind Power Forecasting Using Deep LSTM and Hybrid Quantum Neural Networks
[IEEE] 2026-5-6 | BERTopic for Disaster Response Needs Assessment: Insights from Twitter(X) Data
[IEEE] 2026-5-6 | Prompt, Assert, Repeat: Test-Driven Prompting as a Quality Assurance Strategy for Code-Generating LLMs
[IEEE] 2026-5-6 | NextSeed: An IoT Based Precision Agriculture System for Soil Analysis and Crop Recommendation
[IEEE] 2026-5-6 | MOOD-TUNES: A Music &amp; Movie Recommendation System Based on People's Facial Expressions and Hand Gestures
[IEEE] 2026-5-6 | A Performance Comparison of Machine Learning Techniques for Cholesterol Prediction
[IEEE] 2026-5-6 | Class-Wise Streaming for Detecting Minority Class Drift in Machine Learning Classifiers
[IEEE] 2026-5-6 | An LLM-Based Framework for Generating Synthetic Legal Contract Benchmark Datasets: A LowResource Language Case Study
[IEEE] 2026-5-6 | Word Sense Disambiguation: Resolving Lexical Ambiguity in Word-Level Translation - Tamil-to-English
[IEEE] 2026-5-6 | Secure Searchable Attribute-Based Encryption Scheme for Multimodal Data in Satellite Internet
[IEEE] 2026-5-6 | Design and Development of an IoT-Integrated Automated Liquid and Pill Dispensing System for Real-Time Remote Supervision by Doctors and Caregivers
[IEEE] 2026-5-6 | AutiScan: A Multimodal Deep Learning Framework for Early Autism Spectrum Disorder Detection
[IEEE] 2026-5-6 | Chip-to-Package Level Thermal Analysis of GaN HEMT with Thermally Conductive Epoxy Integration
[IEEE] 2026-5-6 | An Ease and Expedite Decision Support System for Optimized Fertilizers Application - The Case Study of a Blueberry Farm
[IEEE] 2026-5-6 | Smart Computing Approaches for Pulmonary Tuberculosis Diagnosis: A Decision Support Perspective
[IEEE] 2026-5-6 | Integrating Employer Branding Strategies To Attract Job Applications Through Company Reputation In The Healthcare Industry Among Generation Z
[IEEE] 2026-5-6 | Accurately Allocating Network Slice in 5G Networks with Explainability Analysis
[IEEE] 2026-5-6 | Transformer-Based Multimodal Fusion Technique for Bengali Aggressive Meme Classification
[IEEE] 2026-5-6 | A Commercial-Grade Reliable 40nm eRRAM Macro Featuring a Dual-Oxide Resistive Switching Layer
[IEEE] 2026-5-6 | Robust Epileptic Seizure Detection via Multi-Artifact EEG Denoising and SE-CNN
[IEEE] 2026-5-6 | Bengali Cyberbullying Detection in Social Media Comments Using Machine Learning Algorithms
[IEEE] 2026-5-6 | A Transparent Conformal Miniaturized Slot Antenna for Wi-Fi 6E Applications
[IEEE] 2026-5-6 | Ensemble Machine Learning Models for Treatment Response Prediction and Adaptive Patient Allocation in Cancer Clinical Trials
[IEEE] 2026-5-6 | Proactive VLSI Congestion Prediction Using a Hybrid Residual U-Net with Squeeze-and-Excitation Blocks
[IEEE] 2026-5-6 | A New Localization Algorithm for a Two-Layer Magnetic Sensor Array in Capsule Endoscopy
[IEEE] 2026-5-6 | Study on the Fluid–Structure Interaction at Different Layout in Wafer Mold Encapsulation Process
[IEEE] 2026-5-6 | Federated Edge Learning MAC Cross-Layer Optimization in 6G Networks : The Case for Radial Basis Functions Optimization
[IEEE] 2026-5-6 | Decision Analytics in Climate Diplomacy: Pathways Toward Global Sustainability
[IEEE] 2026-5-6 | Tea Leaf Disease Detection and Classification Using Modified InceptionV3 with Transfer Learning Approach
[IEEE] 2026-5-6 | CertiChain: A Cryptographic Ledger for Immutable Academic Credential Verification
[IEEE] 2026-5-6 | Assessment of YOLO Models for Real-Time Vehicle Detection in the Complex Urban Settings of Bangladesh
[IEEE] 2026-5-6 | First-Principles DFT+U Study of Orthorhombic Rivalry in Ferroelectric Hafnia–Zirconia
[IEEE] 2026-5-6 | Post-Disaster Damage Assessment using Deep Learning Techniques
[IEEE] 2026-5-6 | Breaking the Trade-Off: A Floating-Gate Field-Plated Split-Gate MOSFET for High-Frequency and High-Reliability Power Conversion
[IEEE] 2026-5-6 | AI-Based Urban Risk Modeling: Leveraging Physics-Informed Neural Networks for Real-Time Structural Stress Simulation of a Structure
[IEEE] 2026-5-6 | Automated Carotid Intima-Media Complex Segmentation Using Multi-Stage Deep Learning with Attention-Guided Feature Fusion
[IEEE] 2026-5-6 | On the Limited Availability Group Model for Multirate Poisson Traffic
[IEEE] 2026-5-6 | Analysis of the Impact of Large-Scale Solar Power Plant Integration on Protection, Stability, and Short-Circuit Dynamics in the National Transmission Grid
[IEEE] 2026-5-6 | Artificial Intelligence in Business: A Systematic Review of Applications in Leadership, Sales, and Management
[IEEE] 2026-5-6 | Extending UTAUT for Blockchain Adoption in Power Plant Asset Management: Towards UTAUT4-BPP
[IEEE] 2026-5-6 | A Multi-Criteria Decision Framework for Selecting Sustainable Local Materials in Post-Crisis Reconstruction
[IEEE] 2026-5-6 | Enhancing Bangla Sentiment Analysis Through Data Balancing and Preprocessing: A Comparative Insight from Classical and Deep Learning Approaches
[IEEE] 2026-5-6 | Attention-Guided Invariant Feature Learning for Clothes-Changing Person Re-Identification
[IEEE] 2026-5-6 | Big Data Genomic Analysis and Understanding the Pathogenicity of Protozoan Naegleria Genome Through Insilico Approach (Karachi Strain)
[IEEE] 2026-5-6 | Benchmarking GAN-Based Synthetic Data Augmentation for Task-Driven Handwritten Digit Recognition
[IEEE] 2026-5-6 | EfficientNet with Channel-Spatial Attention for Accurate Brain Tumor Detection
[IEEE] 2026-5-6 | AI-Driven RF-DETR Decision System for Real-Time PPE Monitoring in Yemen’s Development Projects
[IEEE] 2026-5-6 | The Impact of Adherence to Corporate Governance Principles on Enhancing the Quality of Financial Reports : Applied Study on Non-Financial Sector Companies Listed on the Bahrain Bourse
[IEEE] 2026-5-6 | Deep Learning and Ensemble Techniques in Fake Image Detection
[IEEE] 2026-5-6 | HPSO-GO: A Hybrid Meta-Heuristic Approach for Multi-Objective Real-Time Cloud Resource Scheduling
[IEEE] 2026-5-6 | Detecting Fresh &amp; Rotten Fruits: A Comprehensive Study Using Deep &amp; Machine Learning Techniques
[IEEE] 2026-5-6 | High-Performance Brain Tumor Classification from MRI Using Transfer Learning with Feature Fusion and Attention
[IEEE] 2026-5-6 | Big Data-Driven Approach to Customer Churn Prediction in the Telecom Industry
[IEEE] 2026-5-6 | Development of a Flip-Chip Bonding Process for Scalable Silicon-Based Quantum Processors
[IEEE] 2026-5-6 | Predicting Enhancer DNA Utilizing $k$-mer Features and Multi-Headed CNN
[IEEE] 2026-5-6 | A Comparative Analysis of Deep Learning Methods with Enhanced Feature Extraction to Detect Deepfake Images
[IEEE] 2026-5-6 | Trustworthy Smishing Detection in Code-Mixed Bangla-English SMS: Dual-View XLM-R With Calibration, Selective Classification, and Open-Set Detection
