[2026-08-08 09:38:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-07
正在获取论文...
[IEEE] 2026-8-7 | Improved IQC covers for sample-and-hold
[IEEE] 2026-8-7 | Bio-Inspired Fuzzy Logic–Based Passive Vision Coordination for UAVs
[IEEE] 2026-8-7 | Analysis of the Applicability and Lightweight Improvements of Classic Classifiers for Resource-Constrained Scenarios
[IEEE] 2026-8-7 | Real-Time Fraud Detection Using Machine Learning and Secure Ledgerization with Blockchain Technology
[IEEE] 2026-8-7 | Two-Stage Input Signal Handling in Symbolic Regression
[IEEE] 2026-8-7 | Interpretable and Low-Compute Multimodal Glaucoma Screening Using Optic Disc Biomarkers and Clinical Data
[IEEE] 2026-8-7 | Behavioral Embedding Learning for Travel Companion Recommendation Using Graph Neural Networks
[IEEE] 2026-8-7 | A Study on the Sustainable Development of Cultural Heritage in Museums
[IEEE] 2026-8-7 | Intelligent Feedback-Driven Speech Therapy Assistant Using Wav2Vec2 for Continuous Child Learning with Regional Language Support
[IEEE] 2026-8-7 | Load Disaggregation Using ABC Optimization Technique in NILM Based Smart Energy Meter Towards Better Distribution Management
[IEEE] 2026-8-7 | Cloud-Enabled Deep Learning Framework for Real- Time Demand Forecasting and Inventory Optimization in E-Commerce
[IEEE] 2026-8-7 | SOFARRIS: Enabling Efficient Wide-Area Deep-Sea Networks via Near-Field Acoustic Energy Pinching
[IEEE] 2026-8-7 | The RoboREACH Project: Advancing Inclusive STEM Education through Remote Underwater Robotics
[IEEE] 2026-8-7 | Exploration of Design and Aesthetic Culture in the Metaverse Era
[IEEE] 2026-8-7 | Consumer Social Responsibility and the Solar Rebound Effect: A Behavioral Perspective on Sustainable Energy Use
[IEEE] 2026-8-7 | PMFA-Net: Adaptive Parallel Multi-Branch Fusion for Efficient CPU Fruit and Vegetable Classification
[IEEE] 2026-8-7 | -Combining Liveness Detection and Fusion Method for Multimodal Face and Voice Biometrics Recognition
[IEEE] 2026-8-7 | Multi-Dimensional Benchmarking of Text Classification Models
[IEEE] 2026-8-7 | Contemporary Transformation of Traditional Customs: Feasibility Study of the Design of Burning Paper for Tomb Sacrifice
[IEEE] 2026-8-7 | Learning Style Prediction for Adaptive Learning in MOOCs: A Machine Learning Based Approach
[IEEE] 2026-8-7 | An Intelligent Framework for Network Attack Detection Using Residual Encoder-Based Learning
[IEEE] 2026-8-7 | Human Ecology and Emotional Design: Research on Aging-Friendly Bathing Chair Based on AHP-Multidimensional Evaluation Model
[IEEE] 2026-8-7 | Optimal Inventory Pressure Control for the High-Frequency Market Making
[IEEE] 2026-8-7 | A Methodological Framework for Event Signal Reconstruction in Net Condition/Event Systems
[IEEE] 2026-8-7 | Human-Aware Task Scheduling in Human–Robot Collaboration via Deep Reinforcement Learning
[IEEE] 2026-8-7 | Value Assessment and Development of Ecotourism in Wanggezhuang, Qingdao, China: Design of Tourism Mini Program Based on QFD Analysis
[IEEE] 2026-8-7 | Dual-Probe-Calibrated Endoscopic Vision for Full-Field Burden Surface Descent Velocity Detection in Blast Furnaces
[IEEE] 2026-8-7 | Hydrodynamic Characteristics of Underwater Vehicles with Different Hull Configurations Near the Free Surface
[IEEE] 2026-8-7 | Global Peak Power Tracking of Variable Speed DFIG Wind Turbine Using Chef-Based Optimization Algorithm (CBOA)
[IEEE] 2026-8-7 | Dynamic Secret Protection in Discrete Event Systems via Reinforcement Learning
[IEEE] 2026-8-7 | Thermal Localization in Microfluidic Devices Using Auxiliary Heating/Cooling Channels
[IEEE] 2026-8-7 | Reinforcement Learning for Ballbot Balancing
[IEEE] 2026-8-7 | The Price of Oblivion: On the Non-Validity of Classical Hamilton-Jacobi-Bellman in Mean-Field-Type Control
                    <sup>*</sup>
[IEEE] 2026-8-7 | A Conformal Array-Based Acoustic Detection System for Unmanned Sailboats: Design and Experimental Trials
[IEEE] 2026-8-7 | Application of Uncertainty-Driven Bayesian Optimization in CRI Phosphorus Removal Parameter Optimization
[IEEE] 2026-8-7 | Extraction of Cultural Factors of “Jinshi Qi” Font: Analysis Using AHP Method
[IEEE] 2026-8-7 | Construction of Cinematherapy Efficacy Assessment System Based on Multimodal Affective Computing
[IEEE] 2026-8-7 | Energy Self-Sufficiency Feasibility of an Unmanned Underwater Vehicle Driven by Renewable Energies
[IEEE] 2026-8-7 | Experimental Validation of a Pressure Variation Model for State Estimation Performance of an Autonomous Underwater Vehicleaper
[IEEE] 2026-8-7 | Radar-Based CNN Recognition of Gesture Primitives for SignWriting Educational Feedback
[IEEE] 2026-8-7 | EduVoice: AI-Powered Reading Support for Dyslexia
[IEEE] 2026-8-7 | A Comparative Study of Vision Transformers and Convolutional Neural Networks for Deepfake Detection
[IEEE] 2026-8-7 | Research on Cultural and Creative Product Design Based on Emotional Design
[IEEE] 2026-8-7 | Strategic capacity management in big-size, engineer-to-order supply chains
                    <sup>*</sup>
[IEEE] 2026-8-7 | Robust nonlinear cascade control strategy for permanent magnet synchronous motor drives
[IEEE] 2026-8-7 | SMART SAFE: AI-Powered Flood Prediction Early Warning System
[IEEE] 2026-8-7 | Research on the Construction of Historical Street District Landscapes Based on User Photography Preferences and AI Image Generation Technology—A Case Study of Zhongshan Square in Dalian
[IEEE] 2026-8-7 | Low-loss ferroelectric electro-optic waveguide modulator using remnant polarization doped graphene electrodes
[IEEE] 2026-8-7 | A Method for AI-Assisted Re-Editing of Cultural Heritage Documentaries
[IEEE] 2026-8-7 | Hybrid Riccati–IMC Based Motor Control on InstaSPIN-FOC Platform: A Geometric Control Approach
[IEEE] 2026-8-7 | Semantic Person Search via Language-Driven Descriptions generated from CCTV cameras
[IEEE] 2026-8-7 | Revisiting robust model predictive control of renewable energy communities - a centralized intraday implicit tube formulation
[IEEE] 2026-8-7 | An Integrated Flexible Dual-Channel Strain–Pressure Sensor for Fetal Movement Monitoring
[ACM] 2026-8-7 | PinEqualizer: Full Funnel Content Exploration and Debiasing System at Pinterest
[ACM] 2026-8-7 | The Forgetting-Learning Trade-off: Making Reinforcement Learning Work for Protein Language Models
[ACM] 2026-8-7 | Learning to Forget: Emotional Salience as a Compression Mechanism for Long-Term AI Memory
[ACM] 2026-8-7 | MLaGA: Multimodal Large Language and Graph Assistant
[ACM] 2026-8-7 | End-to-End Learning for Partially-Observed Time Series with PyPOTS
[ACM] 2026-8-7 | Expand More, Shrink Less: Shaping Effective-Rank Dynamics for Dense Scaling in Recommendation
[ACM] 2026-8-7 | Agentic LLMs for Social Network Generation using Explainable Adversarial Re-prompting
[ACM] 2026-8-7 | Is Fairness Truly Fair? Towards Reliable Lipschitz Fairness in Multi-Task Learning via Fixed-δ Alignment
[ACM] 2026-8-7 | The 5th Workshop on Ethical Artificial Intelligence: Methods and Applications (EAI)
[ACM] 2026-8-7 | DREAM: LLM-based Dynamic Role-playing via Event-Aware Memory Graph
[ACM] 2026-8-7 | Beyond Instance-Level Alignment and Uniformity: Semantic Factor Learning for Collaborative Filtering
[ACM] 2026-8-7 | VideoExplorer: Advancing Long-Horizon Video Understanding via Hierarchical Orchestration
[IEEE] 2026-8-7 | A Dual-Path Optical Clip for Bubble-Aware Continuous Monitoring in Surgical Drainage Tubing
[IEEE] 2026-8-7 | Partially View-Aligned Multi-View Clustering based on Progressive Global Consensus Learning_supp1-3720618.pdf
[IEEE] 2026-8-7 | Trustworthy and Temporally Robust Web Attack Detection for Autonomous Edge Network Security
[IEEE] 2026-8-7 | DIBNet: Discrepancy-Invariant Boundary-Guided Network for Remote Sensing Change Detection
[IEEE] 2026-8-7 | Spatiotemporal Aggregation Parking Data Outsourcing Query Privacy-preserving Scheme in the Blockchain-enhanced Electric Vehicles
[IEEE] 2026-8-7 | ArborDorp: An Area Efficient CKKS Accelerator
[IEEE] 2026-8-7 | A Reinforcement Learning-Based Cooperative Adaptive Cruise Control Under False Data Injection Attacks
[IEEE] 2026-8-7 | Efficient Distributed Mini-batch GNN Training with Decentralized Batch Processing
[IEEE] 2026-8-7 | Object-Centric LiDAR-to-Radar Distillation for 3D Object Detection
[IEEE] 2026-8-7 | Enhancing SWOT Geoid Resolution in Regions Characterized by Complex Oceanic Dynamics via the mrCOSTS Method
[IEEE] 2026-8-7 | Hybrid Voltage Regulation Framework Using Deep Q-Network Reinforcement Learning for DC–DC Buck Converters Supplying Constant Power Loads
[IEEE] 2026-8-7 | 5 Questions: Stephan Schlamminger: Why One of Physics'Most Elusive Numbers Remains so Difficult to Measure
[IEEE] 2026-8-7 | Digital Empowerment: An Innovative Approach to the Protection and Inheritance of Xibe Cultural Heritage
[IEEE] 2026-8-7 | Research on the Impact of Art Therapy Interventions on Negative Psychological States and Game Performance in eSports Audiences
[IEEE] 2026-8-7 | Visual Reconstruction of Red Cultural IP Based on Generative AI: A Case of the Long March Red Army IP Design
[IEEE] 2026-8-7 | Application of an Improved Q-learning Algorithm Integrating Self-Tuning and Dynamic Exploration in University Course Agents
[IEEE] 2026-8-7 | A Study on the Reconstruction Design of Narrative Space in Historical and Cultural Blocks: A Case Study of the Renovation of Liulichang Street in Beijing
[IEEE] 2026-8-7 | Performance-Constrained Adaptive Neural Network Control for Trajectory Tracking of Underactuated Hovercraft Under Arbitrary Initial Conditions
[IEEE] 2026-8-7 | Toward Auditable Multi-Agent AI: a Deterministic Framework for End-to-End Execution Traceability
[IEEE] 2026-8-7 | Comparative Study of Denoising Methods for 3D Scanning Point Cloud Data of Artificial Dental Crowns
[IEEE] 2026-8-7 | Tensor Network Methods for Advection–Diffusion–Reaction Systems Using Quantum-Inspired Representations
[IEEE] 2026-8-7 | Delay-Oriented Computation Offloading Strategy for SAGIN-enabled Vehicular Networks
[IEEE] 2026-8-7 | Research on Ecological Sustainability Optimization of Street Park Green Spaces in Longtang Community Based on POI Data and Smart Design
[IEEE] 2026-8-7 | Few-Shot SAR Target Recognition with Low-Rank Adapted Vision Transformers
[IEEE] 2026-8-7 | Art Intervention in Rural Idle Spaces: A Research on Spatial Design-With Xinlian Village in Meizhou City as an Instance
[IEEE] 2026-8-7 | Visual Analysis of Ecological Design Research in China Based on VOSviewer
[IEEE] 2026-8-7 | Sequence-to-Sequence Modeling of Hysteresis in Magnetorheological Elastomers Using Bidirectional LSTM Networks
[IEEE] 2026-8-7 | Lightweight Spiking Neural Networks (SNN) for Energy-Efficient IoT Anomaly Detection
[IEEE] 2026-8-7 | Risk-Constrained Hierarchical Reinforcement Learning for Safe Decision-Making and Control in Autonomous Driving
[IEEE] 2026-8-7 | An Empirical Study on Power Grid Enterprises' Enhancement of Power Supply Guarantee Capacity for Major Projects in the Free Trade Port Driven by Intelligent Data Analysis
[IEEE] 2026-8-7 | Tensile Interlocking Mechanical Metamaterials Enabled by Grayscale DLP Printing
[IEEE] 2026-8-7 | Design Optimization of AIGC Sports Shoe Outsole Pattern Based on Low-Rank Adaptation of Large Models
[IEEE] 2026-8-7 | A Deep Spatio-Temporal Model for Decoding Simultaneous and Continuous Hand Movements from Surface Electromyography
[IEEE] 2026-8-7 | LowLightEye: an Android Mobile Framework for Robust Object Detection in Dim Environments
[IEEE] 2026-8-7 | An End-to-End Network for Enhanced Underwater Acoustic Target Recognition
[IEEE] 2026-8-7 | Intergenerational Community Spaces as Social Infrastructure for Reducing Loneliness and Digital Exclusion in Ageing Smart Cities
[IEEE] 2026-8-7 | Automatic Timetable Generation System
[IEEE] 2026-8-7 | Innovative Practices of Ai-Based Planning Methods in Agricultural Tourism Planning: A Case Study of Kaoshan Market Planning Practices in Pinggu District, Beijing
[IEEE] 2026-8-7 | Youth Perspectives on AI Ethics: An Exploratory Study within the VERFISUM Project
[IEEE] 2026-8-7 | A Lightweight RK4-Based Wheel Odometry Integration for OpenVINS
[IEEE] 2026-8-7 | Warpage Deformation Prediction and Optimization in Fused Deposition Modeling Using a Hybrid FFNN and PSO Approach
[IEEE] 2026-8-7 | A Novel Continuum Marine Robot for Accessing Complex Underwater Environments
[IEEE] 2026-8-7 | Deep Learning-Driven Application of Sustainable Materials in Fashionable Furniture Design
[IEEE] 2026-8-7 | AI and ML in Marketing: Enhancing Consumer Engagement and Personalization
[IEEE] 2026-8-7 | Research on cattle body condition scoring technology based on EfficientNetB4-Star-EMA model
[IEEE] 2026-8-7 | Deep VGG-16 Ensemble for Pneumonia Detection in Chest X-ray Images
[IEEE] 2026-8-7 | Standard Conformant Prompting (SCP): A Reproducible Framework for Compiler-Ready PLC Code Generation with Large Language Models : From Post-Hoc Verification to Standard-Driven Code Synthesis in Industrial Automation
[IEEE] 2026-8-7 | Generative Design System for Traditional Pattern in Cultural Heritage Application: Case Study of Nanyue Kingdom
[IEEE] 2026-8-7 | Evaluation of Economic and Green Logistics Performance of African Countries Through Fuzzy Linear Regression and MCDM Approaches
[IEEE] 2026-8-7 | Flexible Piezoresistive Pressure Sensor based on Axially Stiffness-graded Microcone Arrays
[IEEE] 2026-8-7 | Energy Signatures and Production Process Information
[IEEE] 2026-8-7 | Shaping a “Third Space” Like Home: A Study of Japan House London and Its Traditional Craft Exhibitions
[IEEE] 2026-8-7 | Trust-Based Adaptive LQR Control for Autonomous Multi-Tenant Network Management
[IEEE] 2026-8-7 | Research on Concrete Strength Prediction and Durability Assessment Algorithm Based on Deep Feature Extraction
[IEEE] 2026-8-7 | Elderly Rehabilitation Training System Based on Artificial Intelligence and Virtual Reality Technology
[IEEE] 2026-8-7 | Gender Sensing and Personalized Fragrance Diffusion Design of Intelligent Ceramic Fragrance
[IEEE] 2026-8-7 | Distributed Global Fixed-Time Cooperative Dynamic Avoidance Control for Multiple Surface Vessels
[IEEE] 2026-8-7 | Effect Evaluation and Ethical Challenges of Intelligent Advertising Delivery in the Context of Data
[IEEE] 2026-8-7 | An Explainable Deep Learning Approach for Multi-Region Bone Fracture Detection in X-Ray Images
[IEEE] 2026-8-7 | TRI-FusionNet: AI-Generated Video Detection Based on Temporal Alignment
[IEEE] 2026-8-7 | Annotation Quality Reward: A Closed-Loop Reinforcement Learning Architecture for Autonomous Coffee Plantation Inspection and Synthetic Dataset Generation
[IEEE] 2026-8-7 | FGDWI: An Online Feasibility-Gated Dynamic Waypoint Insertion Policy for Value-Aware ASV Navigation in Forecast Flows
[IEEE] 2026-8-7 | Design and Implementation of a Digital Pressure Sensor Evaluation System
[IEEE] 2026-8-7 | A Study of Real-Time Synchronisation of Cross-Dimensional Interactions
[IEEE] 2026-8-7 | An Explainable Model for ROP Disease Diagnosis from Multi-Centered Infant Fundus Images
[IEEE] 2026-8-7 | Generating Synthetic Datasets for the Financial Industry: A CT-GAN Based Approach
[IEEE] 2026-8-7 | Integrating Large Language Models and Ontologies for Legal Text Impact Extraction and Classification: an Application to Regulatory Impact Assessment
[IEEE] 2026-8-7 | Fabrication of High-Quality Nanogap Electrodes via Structurally Optimized Atomic Layer Lithography
[IEEE] 2026-8-7 | An Urban Dashboard Supporting Situation Awareness for City Branding
[IEEE] 2026-8-7 | GroupTrack: A Feature-aware Enhanced Group Tracking Method
[IEEE] 2026-8-7 | System-Level Risk Modeling for Critical Infrastructure in Data-Limited Regions
[IEEE] 2026-8-7 | Study on Meeting Space Design Based on Aesthetic Density
[IEEE] 2026-8-7 | Synthetic Media Detection
[ACM] 2026-8-7 | Optimus: A Generic Operator-Level PyTorch Model Transformation Framework
[ACM] 2026-8-7 | From Structure to Function: Preference Alignment for Function-aware Protein Inverse Folding
[ACM] 2026-8-7 | PROBE: VLM-Guided Discrete Structural Reconfiguration for Customized and Efficient Video Retrieval
[ACM] 2026-8-7 | Towards Quantum Program Bug Datasets and Benchmarking
[ACM] 2026-8-7 | RuleTwin: Physics-Constrained Rule Induction for Anomaly Detection in Industrial Multivariate Time Serie
[ACM] 2026-8-7 | Unifying Behavior Modeling and Semantic Generation for Generative Recommendation
[ACM] 2026-8-7 | AgentsKG: A Hierarchical Multi-Agent Framework for Open-Domain Knowledge Graph Construction
[ACM] 2026-8-7 | HRKT: Hierarchical Recurrent Knowledge Tracing for Efficient Transformer-Based Long-Sequence Modeling
[ACM] 2026-8-7 | GPR: Towards a Generative Pre-trained One-Model Paradigm for Large-Scale Advertising Recommendation
[ACM] 2026-8-7 | RiskBound: Risk-Aware Boundary-Guided Portfolio Optimization via Action Space Reshaping
[IEEE] 2026-8-7 | Research on the Application of Nonlinear Narrative in Chinese Original Picture Book Design from the Perspective of Symbolic Reproduction Theory
[IEEE] 2026-8-7 | Green Design and the Innovative Inheritance of Traditional Festival Culture: A Case Study of the “Bai Qiao” Craftwork in the Qixi Festival of Guangzhou
[IEEE] 2026-8-7 | A Systematic Literature Review Combined with Empirical Machine Learning Experiments on the Use of Artificial Intelligence Tools in Digital Marketing
[IEEE] 2026-8-7 | Picture Books: A New Engine for the Digital Inheritance of Intangible Cultural Heritage
[IEEE] 2026-8-7 | Dual-View Vision Transformer with Cross-Modal Memory for Radiology Report Generation
[IEEE] 2026-8-7 | Emotional Color Customization System for Clothing Fabrics Based on Interactive Genetic Algorithm
[IEEE] 2026-8-7 | Coupled-beam Coupled Type Constant-temperature MEMS Resonator
[IEEE] 2026-8-7 | Geometric Influence on Slamming Forces During Vertical Water Entry: Validation of a Second-Order Modified Logvinovich Model Using CFD
[IEEE] 2026-8-7 | Simultaneous and Efficient Filtration Performance of PM2.5 and VOC Based on Ceramic Materials with Multilevel Pore Structure
[IEEE] 2026-8-7 | HostelHub: Architectural Design of a Modular Web Framework for Academic Hostel Administration
[IEEE] 2026-8-7 | Multi-degree-of-freedom potential barrier adaptive bistable vibration energy harvester
[IEEE] 2026-8-7 | VLA-AST: Toward Spatially-Precise and Physically-Smooth Robotic Manipulation
[IEEE] 2026-8-7 | A Comparison of AI Models for Viewport Prediction in Immersive 360° Video Streaming
[IEEE] 2026-8-7 | Optimized Broad Learning System with Tree Structure for Combustion State Classification in WtE Systems
[IEEE] 2026-8-7 | Effect of Bender Beam on Z-structured Piezoelectric Transducer
[IEEE] 2026-8-7 | Hierarchical Track Initiation Using Probabilistic Reasoning for Compact HFSWR
[IEEE] 2026-8-7 | LLM-Guided Bi-Objective Planning for Energy-Constrained AUV Fleets
[IEEE] 2026-8-7 | Underwater Source Localization Using Transfer and Contrastive Learning
[IEEE] 2026-8-7 | Considerations on operator behavior modeling in I&amp;C system model checking
[IEEE] 2026-8-7 | Semantic Watermark for Detecting Thesis Title Reuse in Academic Repositories
[IEEE] 2026-8-7 | Digitalization of Plankton Groups in a Marine Holographic Experiment
[IEEE] 2026-8-7 | Optimized Model-Free Extremum Seeking Control for Morphing Rotor Systems
[IEEE] 2026-8-7 | Design and Development of a Low-Cost Grey Water Filtration System for Domestic Reuse
[IEEE] 2026-8-7 | SDRAM-YOLO: Safe Degradation-Aware Residual Modulation for Adverse Weather Object Detection
[IEEE] 2026-8-7 | A Data-driven quasi inverse static model of a parallel continuum robot
[IEEE] 2026-8-7 | Robust Time-Synchronized NMPC for 3-D AUV Trajectory Tracking with Optimal LOS Guidance
[IEEE] 2026-8-7 | Cross-Domain Wavelet Augmentation and Domain Knowledge-Guided Conditional Decoding for Domain-Generalized Breast Ultrasound Segmentation
[IEEE] 2026-8-7 | Communication Logic and Strategies Empowered by AIGC in Cultural Heritage
[IEEE] 2026-8-7 | AKansei Engineering Study on the Frontfascia Design of Electric Sedans in the Chinese Market
[IEEE] 2026-8-7 | Intelligent Generation Method for Cultural Tourism Short Videos Based on Deep Feature Learning
[IEEE] 2026-8-7 | Strategic Site Selection for Renewable Solar Energy in Telangana—A GIS and MCDA-Based ML Approach
[IEEE] 2026-8-7 | Research on the Digital Design of Dalian Sea Lantern Festival from the Perspective of Intangible Cultural Heritage
[IEEE] 2026-8-7 | Empowering Chinese Woodblock Prints as Intangible Cultural Heritage: A Study on Digital Preservation and Cultural Transmission Through Augmented Reality
[IEEE] 2026-8-7 | Construction of Intelligent Analysis Algorithm for Financial Forecasting Data and Risk Monitoring System
[IEEE] 2026-8-7 | A Lyapunov-Guided Post-Action Shield for Stability-Aware Deep Reinforcement Learning
[IEEE] 2026-8-7 | Magnetically Actuated Sub-Millimeter Squeezing Soft Robot Toward Targeted Therapy
[IEEE] 2026-8-7 | MultiTransConv: CNN-Transformer Architecture for Intrusion Detection in Wireless Sensor Networks
[IEEE] 2026-8-7 | Design and Analysis of a Dual-Terminal Differential-Electrode Piezoelectric Micromachined Ultrasonic Transducer Based on Pzt Thin Film
[IEEE] 2026-8-7 | Attribute-Guided Zero-Shot Species Recognition: Integrating Generative Priors for Next-Generation Biodiversity Intelligence
[IEEE] 2026-8-7 | DPML: Derivative-Based EEG Preprocessing for Enhanced Epileptic Seizure Detection Using Machine Learning
[IEEE] 2026-8-7 | A Service Design Framework for New Retail Scenes: Methodologies and Applications
[IEEE] 2026-8-7 | Research on Gamification Design of Intangible Cultural Heritage Sugar Pagoda App Based on User Experience
[IEEE] 2026-8-7 | Algorithm for Extracting Time-Series Features of Power from Distributed Sources and Loads and Identifying Typical Scenarios
[IEEE] 2026-8-7 | Orchestrator Armor: Empirical Assessment and Unified Monitoring of Cluster Security Posture
[IEEE] 2026-8-7 | Study on the Formal Characteristics of Ming-Style Rohan Bed Based on AIGC Technology
[IEEE] 2026-8-7 | The Relationship Between Cultural Intelligence and Product Design Ability: an Empirical Study Using the CQS in Design Education
[IEEE] 2026-8-7 | Occlusion Removal from Sequential Street View Panoramic Images
[IEEE] 2026-8-7 | Physics-Based Modeling of Water-Surface Disturbances Induced by Subsurface Objects for Maritime Sensing
[IEEE] 2026-8-7 | Balancing Novelty and Realism: A Convolutional Conditional GAN for Underwater Acoustic Channel Generation
[IEEE] 2026-8-7 | MambaMER: Exploring State Space Models for Micro-Expression Recognition
[IEEE] 2026-8-7 | Research on the Innovative Design Method of AIGC for the Phoenix Pattern of Chu Lacquerware
[IEEE] 2026-8-7 | Low-Rank Reparameterization of CLIP-Derived HOI Text Prototypes for HOI Detection
[IEEE] 2026-8-7 | A Low-power, Large-comb-spacing, High-integration RF Frequency Comb Generator Based on Parametric Excitation
[IEEE] 2026-8-7 | Machine Learning Model for Solar Energy Forecasting and Management
[IEEE] 2026-8-7 | Convolutional Imaging: A Training Path for Neural Networks to Extract Visual Elements
[IEEE] 2026-8-7 | Tilt Correction Algorithm for Single Chinese Character Images
[IEEE] 2026-8-7 | A High-Accuracy Resonant Pressure Microsensor Packaged with a Thick Glass Base
[IEEE] 2026-8-7 | Low Probability of Detection Underwater Acoustic Communication Based on Ship Noise Masking
[IEEE] 2026-8-7 | Distributed Control of Multi-AUV Formation via MPPI with Enhanced Virtual Spring
[IEEE] 2026-8-7 | Capturing Fragment Dependencies in Real Marine Organism Mass Spectrometry with Boosted Effective Receptive Field
[IEEE] 2026-8-7 | Advanced Artificial Intelligence Techniques for Automated Identification of Anomalous Events in Log Data
[IEEE] 2026-8-7 | Applying Reinforcement Learning to Dissolved Oxygen Control in a Fed-Batch Fermentation using a Digital Twin
[IEEE] 2026-8-7 | Beyond Clean Pixels: Robustness of AI Video Detectors Under Social-Media Degradation
[IEEE] 2026-8-7 | Analysis of Data Security and Privacy Protection Technologies in an Information-Based Environment
[IEEE] 2026-8-7 | Constrained Trajectory Planning for Wheeled Ground Robots in Unstructured Environments Modeled by B-Spline Approximation
[IEEE] 2026-8-7 | The Cost of Quality in Circular Economy: Balancing AI Investment and Profitability in CRD Waste Management
[IEEE] 2026-8-7 | CViTRNN: A Lightweight Recurrent Network with an Embedded Channel-Aware Vision Transformer for Multidimensional Wind Power Forecasting
[IEEE] 2026-8-7 | An Information-aware Reconstruction Model for Multi-category 3D Anomaly Detection
[IEEE] 2026-8-7 | SCVCD-5K: The First Large Scale Screen Content Video Dataset for Compression
[IEEE] 2026-8-7 | Front Cover
[IEEE] 2026-8-7 | FlowBoat: Learning USV Dynamics Model With Flow Matching for Adaptive Model Predictive Trajectory Tracking_supp1-3706892.mp4
[IEEE] 2026-8-7 | Coverage and Energy Efficiency Analysis in Cache-Aided Terahertz Clustered HetNets
[IEEE] 2026-8-7 | MARFI: Missingness-Aware Rectified-Flow Imputation for MNAR Data in Predictive Maintenance
[IEEE] 2026-8-7 | High-Responsivity ReMoS
                    <sub>2</sub>
                    Photodetector on Gallium Nitride Patterned Substrate for Visible-Light Image Sensing and Communication Applications
[IEEE] 2026-8-7 | Vortex Electromagnetic Imaging: A Review_supp1-3718140.pdf
[IEEE] 2026-8-7 | A Learning-Enhanced Method for the Multi-Visit Vehicle-Drone Routing Problem With Continuous Locations
[IEEE] 2026-8-7 | Efficient Representation of New Ship Dynamics Through Reuse of Existing Maneuvering Models
[IEEE] 2026-8-7 | 3D Ultrasonic Imaging Method for Composite Materials Based on Fusion of Visible Light Image and Depth Maps
[ACM] 2026-8-7 | Extracting Explainable Temporal Features in Multivariate Time Series Classification Pipelines
[ACM] 2026-8-7 | EARTH: Accelerating Spatiotemporal Network K-function-based Analytics
[ACM] 2026-8-7 | Domain-Specific Data Synthesis for LLMs through Minimal Sufficient Representation Learning
[ACM] 2026-8-7 | The Sim-to-Real Gap of Foundation Model Agents: A Unified MDP Perspective
[ACM] 2026-8-7 | Agent-Didactic Spaces: Mining Multi-Stakeholder Trade-Offs in Educational Pathway Data
[ACM] 2026-8-7 | IPO-Mine: A Toolkit and Dataset for Section-Structured Analysis of Long, Multimodal IPO Documents
[ACM] 2026-8-7 | Local Rules, Global Efficiency: Emergent Coordination on Large-Scale Road Networks
[IEEE] 2026-8-7 | Organizing Committee
[IEEE] 2026-8-7 | DLCV 2026 Cover Page
[IEEE] 2026-8-7 | Title Page
[IEEE] 2026-8-7 | Enhanced Target Sensing for OFDM ISAC With L-Shaped Arrays Using Coupled Tensor Decomposition
[IEEE] 2026-8-7 | AIGC and IoT-driven Gamified Digital Therapy
[IEEE] 2026-8-7 | Shared-Partition Multi-Output Hinge Regression Trees for Explicit MPC Distillation in Chassis Control
[IEEE] 2026-8-7 | How I Turned AI to the Dark Side: I Hijacked the Biggest AI Models. No One Cared
[IEEE] 2026-8-7 | Joint Pattern, Data and Channel Estimation for Unsourced Random Access in GMAC and MIMO Systems
[IEEE] 2026-8-7 | Dynamic Data Center Power Load Control via Risk Constrained Reinforcement Learning
[IEEE] 2026-8-7 | Center-Fed Pinching Antenna System (C-PASS): Modeling, Analysis, and Beamforming Design
[IEEE] 2026-8-7 | Optimal Binary Power Control and Passive Beamforming for RIS-Assisted Spectrum Sharing
[IEEE] 2026-8-7 | A flexible fiber-sponge composite stress sensor for mechanical - strain - gated logic device and artificial intelligence tactile perception_supp2-3719155.mp4
[IEEE] 2026-8-7 | Simultaneous Force and High-Fidelity Texture Reconstruction via a Spring-based Visuotactile Sensor
[IEEE] 2026-8-7 | Physically Motivated Knowledge Distillation for Blind Geometric Correction of Side-Scan Sonar Imagery_supp1-3720594.pdf
[IEEE] 2026-8-7 | A T-type Three-Level DC-DC Converter with Input Capacitor Current Balance
[IEEE] 2026-8-7 | Quantitative Study on the Factors Influencing the Visual Attraction of Historical Commercial Streets: A Case Study of Jimo Ancient City
[IEEE] 2026-8-7 | From Digital Reproduction to Cultural Symbiosis: A Pathway of Integration and Co-Creation in the Digitization of Cultural Artifacts
[IEEE] 2026-8-7 | Geoacoustic Inversion in Shallow Water via Differentiable Modeling
[IEEE] 2026-8-7 | Machine Learning-Based Delivery Time Prediction for Low-Carbon Food Delivery
[IEEE] 2026-8-7 | AI-Driven Decision Support Systems for Lifestyle Modification in Cancer Prevention: Personalisation, Technologies and Ethical Challenges*
[IEEE] 2026-8-7 | High Resolution ACS-Based DWT Data Acquisition System for Employee Health Monitoring System
[IEEE] 2026-8-7 | Decoupled Initialization-Based Distributed Tube Model Predictive Control for Multi-Robot Systems Coordination
[IEEE] 2026-8-7 | A Study on Multi-Dimensional Evaluation of Product Design Based on AI Agent and Multi-Criteria Decision-Making - A Case Study of Red Dot and If Design Award Winners
