[2026-08-18 09:34:34] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-17
正在获取论文...
[arXiv] 2026-08-17 | Graph Neural Assisted Actor-Critic for Latency-Efficient Edge Vision System
[IEEE] 2026-8-17 | Implementation of Ant Colony Optimization for UAV Waypoint Ordering Optimization with CoppeliaSim Simulation Validation
[IEEE] 2026-8-17 | Step Wear Analysis Based on Improved Computer Vision and Mathematical Modeling for Infrastructure Condition Assessment
[IEEE] 2026-8-17 | YOLO-EA: A Railway Clearance Foreign Object Intrusion Detection Method Based on YOLO11n
[IEEE] 2026-8-17 | Evaluating AI Implementation in Government Agencies: A Project Management Approach
[IEEE] 2026-8-17 | Self-Triggered Model Predictive Control for a 6-DOF Robotic Manipulator: Niryo NED-2
[IEEE] 2026-8-17 | Comparative Reliability of Chip-Off and Logical Methods in SSD Forensic Analysis
[IEEE] 2026-8-17 | Trusted Collaborative Method for Multi-Agent Semantic Strategy Based on Reversible Data Hiding
[IEEE] 2026-8-17 | A Three-Objective Optimization for Fuel Cell-Metal Hydride System Cold Start Using MOPSO Algorithm
[IEEE] 2026-8-17 | Artificial Intelligence Integration as a Catalyst for SMEs Transformation: Determinants and Performance Impact
[IEEE] 2026-8-17 | Model-Based Fault-Tolerant Control for Automotive Traction Motors
[IEEE] 2026-8-17 | Path Planning for Mobile Robots Based on the Integration of Improved A* and DWA
[IEEE] 2026-8-17 | A Group Denoising Capsule Network for Mechanical Fault Diagnosis
[IEEE] 2026-8-17 | Hydrodynamic Study of a Coaxial Propulsion System with a Cycloidal-Helical Twin-Screw Configuration
[IEEE] 2026-8-17 | A Hybrid DenseNet–Vision Transformer Framework for Diabetic Retinopathy Classification
[IEEE] 2026-8-17 | Structural Adaptation Risk in AI-Enabled Security Systems: Framework for Architecture-Centric Control
[IEEE] 2026-8-17 | A Multimodal Model for Classifying Thyroid Nodules by Integrating Ultrasound Images and Clinical Data
[IEEE] 2026-8-17 | Development and Evaluation of a Posture Monitoring and Feedback System for Improving Posture Awareness and Reducing Sedentary Behavior
[IEEE] 2026-8-17 | FAST-TCN: A Frequency-Aware Spatio-Temporal Network for sEMG-Based Continuous Motion Prediction in Upper Limb Rehabilitation Robotics
[IEEE] 2026-8-17 | Anomaly Detection in Engineering Systems Using Unsupervised Machine Learning Approaches: A Systematic Comparative Study
[IEEE] 2026-8-17 | CoPL: Counterfactual Offline Policy Learning via Large Language Models
[IEEE] 2026-8-17 | Open-Source Intrusion Detection and Prevention System for Small Home and Office Networks Using Suricata and OpenCanary on Raspberry Pi
[IEEE] 2026-8-17 | Local Stiffness Modeling Method for Thin-Walled Blades Based on Abaqus Secondary Development
[IEEE] 2026-8-17 | Ergonomics-Oriented Optimization of Master Console Layout and Manipulator Configuration for Minimally Invasive Surgical Robots
[IEEE] 2026-8-17 | An Energy-efficient TSO dual-V
                    <sub>dd</sub>
                    22 nm 8T MSD XOR Gate for Gray-to-Binary Encoder Design
[IEEE] 2026-8-17 | 2026 22nd International Conference on Synthesis, Modeling, Analysis and Simulation Methods, and Applications to Circuits Design (SMACD)
[IEEE] 2026-8-17 | Author Index
[IEEE] 2026-8-17 | Object-Consistent Distillation for Text-to-3D Generation
[IEEE] 2026-8-17 | Loss Reduction and Excitation Optimization of High-Power Wound Rotor Synchronous Machine with Profiled Magnetic Slot Wedges
[IEEE] 2026-8-17 | Wavelength-Invariant E-band Nanolasers Enabled by Area-Compensated Quasi-Bound States in the Continuum Metasurfaces
[IEEE] 2026-8-17 | The Digital Twin as a Mechanism for Continuous Cybersecurity Policy Verification: A Functional Analysis of the Policy-to-Practice Translation
[IEEE] 2026-8-17 | Dissipative Feedback and Hybrid Lyapunov-Reinforcement Learning Control for NV-Center Quantum Sensing
[IEEE] 2026-8-17 | Fast Design of Fuel-optimal Maneuver Trajectories for Satellite Constellations via a Hybrid Binary Classification and Physics-regularized Neural Network
[IEEE] 2026-8-17 | Direction-Constrained Control for Efficient Physical Human–Robot Interaction Under Hierarchical Tasks
[IEEE] 2026-8-17 | Spatiotemporal Characteristics of Compound Hot-Dry Events and Lagged Impacts on Vegetation Productivity in Central Asia
[IEEE] 2026-8-17 | Author Index
[IEEE] 2026-8-17 | A Hybrid Graph Reinforcement Learning Approach for Resilience Planning Under Dynamic Uncertainty in Import Fertilizer Supply Chains
[ACM] 2026-8-17 | Demand-on-Demand Control-Flow Analysis
[IEEE] 2026-8-17 | Modeling of the Longitudinal Dynamic Braking System for a High-Speed Train
[IEEE] 2026-8-17 | A Frequency-Aware Multi-Stream CNN Approach for Diabetic Foot Ulcer Detection
[IEEE] 2026-8-17 | KAN-FND: Global-Local Attention for Interpretable Multi-Domain Fake News Detection
[IEEE] 2026-8-17 | UAV-Enabled Covert ISAC with Hardware Impairments and Imperfect CSI
[IEEE] 2026-8-17 | Development of ML model for triboelectric nanogenerator based sign language detection system
[IEEE] 2026-8-17 | Pre-Silicon Side-Channel Leakage Detection and Localization in ECC-Based ECDH Hardware
[IEEE] 2026-8-17 | Design of a Conveyor-Based Material Handling System for Extruder-to-Molding Transfer in Roof Tile Manufacturing
[IEEE] 2026-8-17 | A Comparative Preliminary Study of HGS, PSO and GWO for ECG Feature Selection in Arrhythmia Classification
[IEEE] 2026-8-17 | Human–Machine Interface Design for Smart Modular Fitness Systems: A User-Centered Approach Integrating Usability, Interaction, and Adoption
[IEEE] 2026-8-17 | A Novel Approach Based on Transformer Autoencoder for Multivariate SCADA Sensor Reconstruction in Wind Turbines
[IEEE] 2026-8-17 | Trie Based Spell-Checker for English, Hindi, Bengali and Manipuri
[IEEE] 2026-8-17 | DRISHTIKON-P: A Multilingual Dataset for Evaluating Semantic Consistency in Indic Vision Language Models
[IEEE] 2026-8-17 | Conditioned Hybrid-Action Reinforcement Learning for Joint Task Offloading and Resource Allocation in MEC
[IEEE] 2026-8-17 | Cross-Modal Feature Enhancement Based DIBR 3D Image Watermarking
[IEEE] 2026-8-17 | Stress Identification from Facial Thermal Images using FTS-Net
[IEEE] 2026-8-17 | Preserving Forensic Indicators in Mobile Text Preprocessing: An Android 15 Case Study
[IEEE] 2026-8-17 | RailSC-YOLO: Lightweight Surface Defect Detection for Railway Metal Components
[IEEE] 2026-8-17 | Radio Map Construction Using Graph Neural Network with Adaptive Sampling
[IEEE] 2026-8-17 | A Study of API Security Attacks, Vulnerabilities, and Mitigation Techniques
[IEEE] 2026-8-17 | Energy-Aware Control Optimization Strategies for Multimodal Collaborative Robotic Platforms
[IEEE] 2026-8-17 | Short-term electric load forecasting based on improved black-winged kite algorithm
[IEEE] 2026-8-17 | Stanza-Level Sentiment Analysis with Poem-Level Aggregation for Menglongshi
[IEEE] 2026-8-17 | Air-to-Ground Channel Measurement and Analysis in Low-Rise Building Obstructed Scenarios
[IEEE] 2026-8-17 | Obstacle Modeling and State Estimation for Mobile Robots Toward Real-World Deployment of Non-Reciprocal ORCA
[IEEE] 2026-8-17 | Self-Supervised Deep Learning for Early Detection of Voice Pathologies
[IEEE] 2026-8-17 | An Optimized DenseNet-121 Framework for Highly Sensitive and Interpretable Pneumonia Detection from Chest X-Rays
[IEEE] 2026-8-17 | 3D Radio Environment Map Reconstruction Under Sparse Sampling Scenario via Bayesian Neural Fields
[IEEE] 2026-8-17 | Design of Fractional-Order Sliding Mode Control Optimized by Genetic Algorithms for Tracking Error Minimization
[IEEE] 2026-8-17 | A Low-Cost Open-Source Private 5G Lab Testbed Design
[IEEE] 2026-8-17 | Elastic Constrained Decision Transformer for Energy-Efficient UAV-Assisted Communications
[IEEE] 2026-8-17 | Real-time Dense 3D Reconstruction of Non-rigid Objects for Robotic Manipulation: A Mask-constrained Two-stage Fast Upsampling Framework from a Single RGB-D Stream
[IEEE] 2026-8-17 | Automation Design flow of Analog Circuits
[IEEE] 2026-8-17 | Research on Health Assessment of Nuclear Power RCV Pumps Based on Physics-Informed NTKAN
[IEEE] 2026-8-17 | Motor Imagery Eeg Classification Based on Sub- Band Common Spatio-Spectral Patterns and Adaptive Feature Ranking
[IEEE] 2026-8-17 | FJID: Fast Joint Intra-Channel and Inter-Channel Variation Demosaicing for Bayer Pattern
[IEEE] 2026-8-17 | Towards Predictive Maintenance 5.0: Life Cycle Sustainability Assessment of Enabling Technologies
[IEEE] 2026-8-17 | Predicting Particulate Matter 2.5 Concentration in Beijing Using Weather and Pollution Indicators With Machine Learning
[IEEE] 2026-8-17 | Tiny Impurity Detection in Baijiu Bottles using YOLOv8s-P2 and Dark-Field Imaging
[IEEE] 2026-8-17 | Early Forest Fire and Smoke Detection: Comparative Study of YOLO Framework
[IEEE] 2026-8-17 | Pavement Marking Damage Assessment Method Based on Oriented Object Detection
[IEEE] 2026-8-17 | The Impact of Agent-Inspired Rule Layers on ML Intrusion Detection
[IEEE] 2026-8-17 | A Deterministic PDE Backstepping Observer for Visual Delay Compensation in Optoelectronic Tracking
[IEEE] 2026-8-17 | Road Defect Detection with Transformer Using Contrastive Learning and Adaptive Computing
[IEEE] 2026-8-17 | Deep Learning for Mobility Management in Next-Generation Wireless Networks: Models, Applications, and Challenges
[IEEE] 2026-8-17 | Bring Your Own Encryption (BYOE) in Government and Enterprise Systems: Architecture, Benefits, and Challenges
[IEEE] 2026-8-17 | Design and Evaluation of an AI-Based Journaling and Emotional Support Prototype
[IEEE] 2026-8-17 | Keynote Speaker
[IEEE] 2026-8-17 | Influence of Strike Locations on Transient Responses of Buried Cables from Rocket-Triggered Lightning
[IEEE] 2026-8-17 | Blank Page
[IEEE] 2026-8-17 | A Synergistic Framework Integrating EDGAN and RAD-KAN for PQD Recognition Under Incomplete Data
[IEEE] 2026-8-17 | A Minimally-Stateful PAM Fallback for Self-Service Lockout Recovery in Legacy Services
[IEEE] 2026-8-17 | DuS-Net: Spatial-Semantic Dual-Collaborative Architecture for MRI Glioma Segmentation
[IEEE] 2026-8-17 | The Watermark Shortcut: How Provenance Marking Sabotages Audio Deepfake Detection
[IEEE] 2026-8-17 | An Information-Theoretic Framework for Quantifying Intelligence in Household Appliances
[IEEE] 2026-8-17 | AS-GHM-Based Expected Error Probability Evaluation and Minimization for SPC over Rayleigh Fading
[IEEE] 2026-8-17 | Stability-Aware Coordinated Control Framework for Active Rear Steering and Direct Yaw Moment Control for Independent Drive Electric Vehicles
[IEEE] 2026-8-17 | High-speed Microwave Photonic Directional Modulation for Wideband QPSK Physical-Layer Secure Communications
[IEEE] 2026-8-17 | Symbolic Regression based Mining of Fractional-order Dynamics with Industrial Implementation
[IEEE] 2026-8-17 | NEKC: Few-shot Anomaly Knowledge Completion for Intelligent Network Management
[IEEE] 2026-8-17 | Development of a Position-Sensitive Monolithic Planar Scintillator for Gamma-Ray Imaging
[IEEE] 2026-8-17 | Miniaturized High-Gain Superstrate Antenna Using In-House Fabricated High-Permittivity Dielectric Material for C-Band Downlink Satellite Communications
[IEEE] 2026-8-17 | Decision letter for "A Current-Sourced Switched-Capacitor Converter (i-SCC) for Integrated Power Conversion with Discrete Inductors and Reduced Package Current"
[ACM] 2026-8-17 | Misquoted No More: Securely Extracting F* Programs with IO
[ACM] 2026-8-17 | Imprecise Probabilistic Programming, Precisely: Credal Sets via Graded Monads, BDDs, and Semiring-Parametric Inference (Functional Pearl)
[ACM] 2026-8-17 | Proofs Promptly: Proof-Oriented Programming with AI Agents (Experience Report)
[ACM] 2026-8-17 | Safety First: How to Safely Disregard Unsafe Behaviour in Compiler Calculations
[IEEE] 2026-8-17 | Real-Time Yoga Pose Detection and Correction Using Deep Learning and Machine Learning
[IEEE] 2026-8-17 | Dynamic Cycle Mapping and Burst-Aware Scheduling for Multi-Domain Deterministic Networks
[IEEE] 2026-8-17 | Filter Bank Multicarrier System Analysis in the Presence of IQ Mismatch
[IEEE] 2026-8-17 | Failure Mechanism Analysis of Key Rotor Components in High-Speed Permanent Magnet Generators
[IEEE] 2026-8-17 | Yaw Pitch and Roll Prediction Using Tiny Regression Models with Loss Analysis
[IEEE] 2026-8-17 | Multimodal Analysis of Voice, Gait and Handwriting Signals for Parkinson Disease Detection
[IEEE] 2026-8-17 | A Spatial-Frequency Enhanced U-Net With Residual Gated Fusion for Hyperspectral Image Denoising
[IEEE] 2026-8-17 | R-T-OLSR: A Hybrid Routing Protocol for UAV Emergency Networks with Routing Repair Mechanism
[IEEE] 2026-8-17 | Performance Evaluation of Bird Sound Classification Models in Realistic Acoustic Environments
[IEEE] 2026-8-17 | Predictive Analysis of Soil Nutrient Levels Using Machine Learning Algorithms for Sustainable Agriculture
[IEEE] 2026-8-17 | An Explainable Multi-Modal AI Framework for Automated Crime Scene Analysis and Forensic Reporting
[IEEE] 2026-8-17 | Deepfakes and identity theft in the age of AI
[IEEE] 2026-8-17 | EnclavePatch: Automated Vulnerability Patching for SGX Applications
[IEEE] 2026-8-17 | A Context-Based Keyframe Extraction Method for Action Videos
[IEEE] 2026-8-17 | Improving Next-Best View Discrete Network with Continuous Coverage Gains for Object Reconstruction
[IEEE] 2026-8-17 | A Novel Adaptive Dual Phase Hybrid Time Switching-Power Splitting Protocol for IoT Networks
[IEEE] 2026-8-17 | Comparative Study of Fault Detection and Classification in EHV Transmission Line using Support Vector Machine and Random Forest
[IEEE] 2026-8-17 | The Design of Internet of Things Control Box for Smart Greenhouses in Cold Regions
[IEEE] 2026-8-17 | SKC2PSA-SimLite: A Lightweight Tail Semantic Enhancement for YOLOv11n in Shore-Based Water-Surface Floating Object Detection
[IEEE] 2026-8-17 | Mass Sensor equipped with Electrochemical cell for Metal Ions Analysis through Unsupervised Learning Algorithm
[IEEE] 2026-8-17 | ECG Signal Processing: From Conventional Methods to AI-Driven Approaches
[IEEE] 2026-8-17 | Geometric Characterization of Dynamic Control Errors in Five-Axis Machine Tools via Mini S-Shaped RTCP Test
[IEEE] 2026-8-17 | Temporal Drift in Enterprise Truth Systems: Detecting and Correcting Financial Semantics Decay Across Master Data, Billing, and Analytics Layers
[IEEE] 2026-8-17 | Enhancing Motor Imagery Performance with Real-time Augmented Reality Feedback
[IEEE] 2026-8-17 | A Hybrid Transformer Network with Pyramid Attention and Content-Aware Upsampling for Breast Lesion Segmentation
[IEEE] 2026-8-17 | A Semantic-Consistent Privacy Middleware for MCP-Driven Penetration Testing
[IEEE] 2026-8-17 | Development of Large Language Model for Intelligent Root Cause Failure Analysis in Induced Draft Fan Systems
[IEEE] 2026-8-17 | Adaptive AI Malware: The Rise of Self-Evolving Threats That Learn to Evade Defenses
[IEEE] 2026-8-17 | Path Planning and Control Strategy of Offshore Photovoltaic Cleaning Robot
[IEEE] 2026-8-17 | A Lightweight Upper Limb Intention Recognition Method Based on sEMG-IMU Fusion and PCA
[IEEE] 2026-8-17 | Enhanced Nonlinear Energy Harvesting and Energy Storage-Aware Beamforming Optimization for RIS-Assisted Communications
[IEEE] 2026-8-17 | ST-BrailleNet: An Attention-Guided Spatiotemporal Network for Dynamic Tactile Braille Recognition
[IEEE] 2026-8-17 | Design and Implementation of a PID-Based Automated Fan–Mist Control System for Thermal Comfort in Open-Space Restaurants
[IEEE] 2026-8-17 | Toward a Digital Twin Framework for Environmental Surveillance
[IEEE] 2026-8-17 | Kinematic Modeling and Performance Analysis of a Parallel Waist Rehabilitation Mechanism
[IEEE] 2026-8-17 | Reliability Aware Gaussian Splatting for Dynamic Sensor Platform SLAM
[IEEE] 2026-8-17 | Spatially Adaptive Expert Routing and Multi-Scale Semantic Alignment for Cross-View Geo-Localization
[IEEE] 2026-8-17 | Efficient Autonomous Target Search for AUV in Unknown Environments Based on a Hierarchical Planning Architecture
[IEEE] 2026-8-17 | A Reinforcement Learning Framework for Shear Wave Velocity Map Reconstruction in Ultrasound Elastography
[IEEE] 2026-8-17 | A Joint Feature Space Based Visualization Platform for Amplitude Estimation Results of Mixed Signal
[ACM] 2026-8-17 | LoCalMem: Type-Directed Adaptive Serialization for Location- and Content-Addressable Memory
[ACM] 2026-8-17 | The Carrier Pigeon Internet Protocol: An Algorithmic (and Lighthearted) Perspective
[ACM] 2026-8-17 | From robots.txt to ai.txt: Mapping the Evolution of Web Permissions in the Age of AI
[ACM] 2026-8-17 | Editorial Message
[IEEE] 2026-8-17 | An Absorptive/Transmissive Frequency Selective Surface With Scattering Compensation-Enabled Broadband RCS Reduction for Ultra-Wideband Electromagnetic Shielding
[IEEE] 2026-8-17 | Enhancement of magnetic properties in (Sm, Dy, Gd, Er)(Co, Fe, Cu, Zr)z magnets by prolonging the drying time of ball-milled powders
[IEEE] 2026-8-17 | Compact GaAs-Based Bandpass Filter Using Symmetric Multi-Stub Resonator
[IEEE] 2026-8-17 | Adversarial Purification by Consistency-aware Latent Space Optimization on Data Manifolds_supp1-3720823.pdf
[IEEE] 2026-8-17 | Lightweight Low-Rank Spatio-Temporal Fusion for mmWave Radar-Based Aquatic Human Activity Recognition
[IEEE] 2026-8-17 | Character Transformation Artifact: Perception, Prediction, and Representative Application in Image Quality Assessment
[IEEE] 2026-8-17 | Table of Contents
[IEEE] 2026-8-17 | Deadline-Aware SRPT Scheduling for Paxos Consensus
[IEEE] 2026-8-17 | Lightweight Mamba-Based Frequency Decomposition-Reconstruction Network for V-D-T Salient Object Detection
[IEEE] 2026-8-17 | Toward Harmless Ownership Verification for Automatic Speech Recognition via Synthetic Lexical Domains
[IEEE] 2026-8-17 | Terahertz Imaging for Everyone: Uncooled CMOS Direct Detectors for Scalable Sensing
[IEEE] 2026-8-17 | Cover Page
[IEEE] 2026-8-17 | Information-Driven Performance Analysis of Autonomous Underwater Vehicle Navigation Aided by Diverse Measurements
[IEEE] 2026-8-17 | A DWC-Based Parallel Wi-Fi Simulation Method for Large-Scale UAV Networking
[IEEE] 2026-8-17 | Identification of Schizophrenia Biomarkers in EEG Spectrograms via XAI
[IEEE] 2026-8-17 | Robust Unified Anomaly Detection Via Spatially Gated Semantic Priors
[IEEE] 2026-8-17 | Near-Field Covert Communication with Rotatable Antennas Using DSAC
[IEEE] 2026-8-17 | Performance Analysis of Near-Field Wireless Network Enhanced by Active IRS with Discrete Phase Shifters
[IEEE] 2026-8-17 | AS-GAN and Mff-Fanet: A Synergistic Framework for Data-Augmented Ancient Script Recognition
[IEEE] 2026-8-17 | Multi-Domain Transcription-Free Acoustic Analysis of Nyishi Speech
[IEEE] 2026-8-17 | Time Series Prediction with Multi-Scale Convolutional Attention Mechanisms
[IEEE] 2026-8-17 | Conversational Emotion Recognition Based on Pre- Extracted Features, Attention-Based Temporal Pooling and Contrastive Learning
[IEEE] 2026-8-17 | Design and Validation of a Hybrid PLA-TPU Tendon-Driven Finger Exoskeleton for Rehabilitation Applications
[IEEE] 2026-8-17 | Proactive Cyber Threat Intelligence and Detection in Penetration Testing Using Machine Learning Techniques
[IEEE] 2026-8-17 | A Static-Base Astronomical-Inertial Integrated Navigation Algorithm in the Earth Frame
[IEEE] 2026-8-17 | Structural Design of an Assistive Training Mechanism for Ankle Rehabilitation
[IEEE] 2026-8-17 | Multi-Beam Forward-Looking Sonar Target Detection Based on RHDWT-YOLOv11
[IEEE] 2026-8-17 | A Wearable IMU System for Real-Time Skiing Posture Monitoring and Motion Feedback
[IEEE] 2026-8-17 | Linear Stability Analysis of an INDI Pitch-Rate Controller Under Model Mismatch for a Tilt-Rotor VTOL UAV
[IEEE] 2026-8-17 | Reconfigurable Intelligent Surfaces for 3GPP n78 Band: Design, Fabrication, and Testing
[IEEE] 2026-8-17 | Toward Minimal-Sensor Spatiotemporal Gait Analysis: A Dual-FSR Insole Design and Validation
[IEEE] 2026-8-17 | Design and Analysis of Multi-Source FusionSystem for Helicopter Obstacle Detection and Identification
[IEEE] 2026-8-17 | BC-SEL: A Bounded-Cost Successive Elimination Algorithm for Quantum Networks
[IEEE] 2026-8-17 | Automated Channel Testing System for Process Control Systems on Offshore Platforms-Design, Implementation, and Performance Evaluation
[IEEE] 2026-8-17 | Design and Analysis of a Bio-Inspired Manta Ray Pectoral-Fin Flapping Mechanism
[IEEE] 2026-8-17 | Scenario-Aware Model Selection for Fraud Detection Via Cost-Sensitive Contextual Bandits
[IEEE] 2026-8-17 | Development of a Method of protection against cyber attacks on the payment system
[IEEE] 2026-8-17 | A Baseline Simulation Framework for DDoS Detection in IoMT Networks: Design and Critical Analysis
[IEEE] 2026-8-17 | DPFE-Net: Dual-Pathway Feature Extraction with Class-Balanced Focal Loss for Alzheimer's Disease Staging on Brain MRI
[IEEE] 2026-8-17 | Intelligent Medical Image Privacy-Preserving Framework Using Federated Learning
[IEEE] 2026-8-17 | Evaluating Password Security Habits and Cybersecurity Awareness Among Students of Astana IT University: A Quantitative Case Study
[IEEE] 2026-8-17 | Neural Texture 4D Gaussian Splatting: Enhancing Expressive Dynamic Scene Rendering
[IEEE] 2026-8-17 | Modeling and Simulation of a Fixed-Body AUV-Integrated Hydraulic PTO Wave-Energy Harvester With Generator Load Matching
[IEEE] 2026-8-17 | Mission-Level Battery State-of-Charge Prediction for Uncertainty-Aware Task Feasibility Assessment of Wheeled Mobile Robot
[IEEE] 2026-8-17 | Human-Machine Collaborative Adaptive Labeling for Concrete Cracks in Zero-Shot Scenarios
[IEEE] 2026-8-17 | Digital Twin Full-Process Visualization and Assurance System for Aerial Bombs
[IEEE] 2026-8-17 | Chaos-Enhanced Microwave Photonic Link for Secure High-Speed Communications
[IEEE] 2026-8-17 | Research on Trans-medium Strategies for Quadrotor Aerial-underwater Vehicles Based on immersion ratio and Active Attitude Adjustment
[IEEE] 2026-8-17 | A Behavior Tree-Based Autonomous Operation Strategy Model for Assembly Robots
[IEEE] 2026-8-17 | SOHI: A Dataset Of Offline Handwritten Assamese Signatures
[IEEE] 2026-8-17 | A Dynamic Magnetic Haptic Sensor and Its Evaluation Under Varying Surface Patterns and Stroking Velocities
[IEEE] 2026-8-17 | Development of a Private LTE/5G Experimental Platform for Attack Simulation and Security Hardening with Open-Source Solutions
[IEEE] 2026-8-17 | Noise-Aware Lightweight 1D CNN for Robust Inter-Patient ECG Beat Classification Under Controlled Noise Stress
[IEEE] 2026-8-17 | A Dual-Network-Based Deep Neural Network for Permanent Magnet Magnetic Field Prediction
[IEEE] 2026-8-17 | Long-term Social Engineering in Corporate Environments: Dedicated Risk Assessment Tool
[IEEE] 2026-8-17 | Research on Object Servo Grasping for Robotic Arms Based on IBVS-SAC
[IEEE] 2026-8-17 | Piecewise Constant Curvature-Based Kinematics of a Tendon-Driven Continuum Robot with a Thermoplastic Polyurethane Backbone
[IEEE] 2026-8-17 | Robust Fuzzy-Based Navigation and Path Planning for Autonomous Search Unmanned Surface Vehicles in Dynamic Environments
[IEEE] 2026-8-17 | CAIP-Pentest: A Causal and Interpretable Agent Framework for Autonomous Web Vulnerability Exploration
[IEEE] 2026-8-17 | FFT-Based Frequency-Domain Guided Anomaly Transformer: An Improved Method for Multivariate Time Series Anomaly Detection
[IEEE] 2026-8-17 | A Trajectory-Mapping-Based Evaluation Method for Quadruped Robot Knee Transmission Schemes
[IEEE] 2026-8-17 | RLMD-Based Deep Learning Framework for Automated Rotor Electrical Unbalance Detection and Severity Classification in DFIG Wind Turbines
[IEEE] 2026-8-17 | EVA-NAS: Energy Variance Aware Neural Architecture Search for Resource Constrained Embedded Systems
[IEEE] 2026-8-17 | Table of Contents
[IEEE] 2026-8-17 | A Two-Stage Framework for Efficient Wavelength Interrogation of Overlapping Spectra in FBG Sensing Networks
[IEEE] 2026-8-17 | PSTTS: A Plug-and-Play Token Selector for Efficient Event-Based Spatio-Temporal Representation Modeling
[IEEE] 2026-8-17 | Gesture Recognition Using Tapered Double C-Shaped Polymer Optical Fiber for Multi-Scenario Human-Computer Interaction_supp3-3724049.mp4
[IEEE] 2026-8-17 | A Two-level Attention Deep Network for Hard Landing Risk Localization and Attribution Analysis
[IEEE] 2026-8-17 | Rapid Continuously-Scanning Substrate Integrated Leaky Slow-Wave Antenna Loaded With Compact Wide-Angle Lens
[IEEE] 2026-8-17 | Domain Generalized State of Health Estimation without Target Domain Data Based on Feature Disentanglement_supp1-3723920.docx
[IEEE] 2026-8-17 | Physics-Based Data-Driven Modeling of a PEM Electrolyzer Stack for Hydrogen Production
[IEEE] 2026-8-17 | Cyber–Physical Security Challenges in Hybrid Energy Storage for Renewable–EV Microgrids
[IEEE] 2026-8-17 | An Improved YOLOv8n-Based Method for UAV Small Object Detection
[IEEE] 2026-8-17 | Signal Scrambling-Aided ODMA for Pilot-Free Unsourced Random Access Over Fading Channel
[IEEE] 2026-8-17 | Design and Implementation of an IoT-Enabled Smart Rotary Vial Filling and Capping System with Real-Time Monitoring and Control
[IEEE] 2026-8-17 | Fault-Predictive and Load-Aware Ultra-Multi-Hop Chain Network for Mine Communication
[IEEE] 2026-8-17 | From Local Convolution to Global Attention: An Architectural Comparison for Medical Image Segmentation
[IEEE] 2026-8-17 | AI-Enabled Voice Cloning and Spoofing Risks in Speaker Verification Systems: A Comparative Analysis of Empirical Evidence
[IEEE] 2026-8-17 | An Integrated Machine Learning and Agent-Based Modelling Pipeline for Socio-Environmental Forecasting
[IEEE] 2026-8-17 | A Systematic Review of Load Forecasting and Energy Management Studies in Electrical Power Systems
[IEEE] 2026-8-17 | COLREG Compliant Collision Avoidance Using CBFs and Distributed Cooperative NMPC
[IEEE] 2026-8-17 | Real-Time GUI and UDP Communication Framework for Dual Capacitive Smart Insole Gait Acquisition
[IEEE] 2026-8-17 | Identity and Access Management for Agentic AI: A Zero-Trust Security Framework
[IEEE] 2026-8-17 | Resource-Aware Asymmetric Event-Triggered Resilient Cooperative Control for Heterogeneous Multi-Agent Systems
[IEEE] 2026-8-17 | FPGA Implementation of CNN for Digit Recognition
[IEEE] 2026-8-17 | Federated Learning-Based Paddy Leaf Disease Classification Using the Flower Framework
[IEEE] 2026-8-17 | A Dual-Path Heterogeneous Graph Neural Network Framework for Identity Linkage and Anomaly Detection in Enterprise Systems
[IEEE] 2026-8-17 | Design and Implementation of a Handheld Multi-Joint Surgical Instrument based on U-joint Transmission
[IEEE] 2026-8-17 | A Resource-aware Adaptive Threshold Algorithm for Cooperative Spectrum Sensing in Coal Mine Communication
[IEEE] 2026-8-17 | TESA-LLM: A Temporal Knowledge Graph Reasoning Method Integrating Symbolic Alignment and LLM Generation
[IEEE] 2026-8-17 | Evaluation of Ride Comfort Decoupled Modal PID-Based Skyhook Control Design Model for Active Suspension of Railway Vehicles Under Payload and Track Irregularities
[IEEE] 2026-8-17 | Development of an Infrared Point Source Rotating Target Simulator and Its Associated Algorithm
[IEEE] 2026-8-17 | Enhancing the Resilience of Organizational Information Systems through an Adaptive and Self-Recovering SDN-Based DDoS Protection Framework
[IEEE] 2026-8-17 | JFSNet: Frequency-Constrained Joint Multi-Modality Image Fusion and Super-Resolution
[IEEE] 2026-8-17 | A Hybrid Simulated Annealing Approach for the Sustainable Cold Chain Vehicle Routing Problem
[IEEE] 2026-8-17 | Uncertainty-Weighted Optimisation for Model-Based Reinforcement Learning
[IEEE] 2026-8-17 | Design and optimize a highly efficient novel inorganic ZrS
                    <sub>2</sub>
                    eco-friendly perovskite solar cell
[IEEE] 2026-8-17 | Feasibility Analysis of Deep Learning Models for CHD Screening Using Synthetic Supervision
[IEEE] 2026-8-17 | Chippenwolf: Fully Programmatic and Open-source Mixed-mode System-on-Chip Implementation Framework
[IEEE] 2026-8-17 | Features of intelligent cryptographic protection for IoT devices
[IEEE] 2026-8-17 | Internal Impedance Prediction for Triboelectric Nanogenerators Using Artificial Neural Networks
[IEEE] 2026-8-17 | Integrated Sliding Mode Backstepping and IEID Compensation for a Servo-Driven Shipborne Stewart Platform Under Wave and External-Load Disturbances
[IEEE] 2026-8-17 | Scenario-Based Decision Support for Renewable Energy and Green Transportation in Moroccan Environmental Impact Assessment: A Screening Framework for Construction-Phase Logistics and Temporary Power in Electrical Substation Projects
