[2026-06-08 13:08:03] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-07
正在获取论文...
[ACM] 2026-6-8 | The Impact of Haptics on User Presence in Virtual Reality
[NO] 122/163 | Exploring Equity in Artificial Intelligence: Programs and Resources for Critical AI Teaching Fellows
[NO] 123/163 | Cracking the Case, Missing the Data: Design Tensions in Community-Led Critical Data Literacy Instruction
[NO] 124/163 | Making Voice AI Strange: Reflective Design Interventions in a Real-Time Voice AI Experience
[NO] 125/163 | MovieMetaViewer: Extending TV Movie Browsing Interfaces to Visualise and Filter Based on Hidden or Unlinked Metadata using Augmented Reality Overlays
[NO] 126/163 | Review for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 127/163 | VROOM: Evaluating Role-Based Collaboration for Immersive Ontology Manipulation
[NO] 128/163 | Why Do People Turn on Subtitles?
[NO] 129/163 | Parent Cultural Wealth: How Beliefs, Curriculum Familiarity, and Community Awareness Facilitate CS Conversations
[NO] 130/163 | Monologue in VR: Translating Samuel Beckett’s Not I into an Immersive Virtual Reality Experience
[NO] 131/163 | Examining Teachers’ Values for Inclusive Learning
[NO] 132/163 | Designing Through Feedback: Evolving a Wearable Interactive System from Rural Fieldwork
[NO] 133/163 | Sensory Perception of Audiovisual Congruence in Immersive Virtual Environments
[NO] 134/163 | Physiological Responses to Musical Stimuli - an Initial Investigation
[NO] 135/163 | What do Incarcerated Adult College Students Most Look Forward to about taking CS1?
[NO] 136/163 | Reorienting Critical AI Literacy
[NO] 137/163 | Building Belonging and Self-Efficacy Through a Bridge Program
[NO] 138/163 | Preparing for Compliance or Critical Participation? Ethics and AI Literacy in Computing Education
[NO] 139/163 | Fostering Computational Thinking within Elementary Classrooms through a Research-Practice Partnership
[NO] 140/163 | Exploring Computer Science Education in Rural and Urban Regions
[NO] 141/163 | Inclusion, Identity, and Institutional Experience: A Comparative Analysis of CS Department Satisfaction among Disabled Students of Color and White Disabled Students at MSIs.
[NO] 142/163 | Supporting Holistic Teacher Learning Journeys
[NO] 143/163 | Skuarewave: Play Music With Holograms
[NO] 144/163 | Flyrun: A Running Style Tracker Mobile Application with Interactive Gamified Experiences
[NO] 145/163 | Exploration of the Effect of Automatic Camera Tracking for Teleconferencing
[NO] 146/163 | Beyond Digital Replication: Designing an Interactive and Multisensory VR Museum Experience
[NO] 147/163 | Interaction Onset Strategies for Conversational AI Agents in VR
[NO] 148/163 | School Implementation Planning to Support Access and Success in AP CSP
[NO] 149/163 | Beyond the Campus Gates: Toward a Distance-Inclusive Broadening Participation Agenda
[NO] 150/163 | A Pattern Language for Head-Mounted AR in Museums: Parameterized, Composable, and Reproducible
[NO] 151/163 | Understanding User Behavior and Preferences in Avatar Authoring with Search and Customization
[NO] 152/163 | Multimodal Haptics for Realistic Texture Rendering in Extended Reality
[NO] 153/163 | From Prototypes to Comparable Evidence: A Design–Mechanism–Measurement View of AR Gamified Rehabilitation
[NO] 154/163 | Exploring Mediated Communication with Older Adults: Comparing AR Avatars, Telepresence Robots, and Face-to-Face Interaction
[NO] 155/163 | The Most Important Feature Is Inclusion: Adding A Focus in Accessibility to an E-commerce Course for Novices
[NO] 156/163 | Creating Counterspaces for Black Women in Computing
[NO] 157/163 | Immersive remote learning for individuals with intellectual disabilities
[NO] 158/163 | Empathetic Storytelling in Interactive Extended Reality
[NO] 159/163 | Promoting Ocean Stewardship by Embedding an Ocean Literacy VR Experience in a Traditional Topnaar Narrative
[NO] 160/163 | Author response for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 161/163 | From High School to “The House”: Pathways into CS for Black Men at an HBCU
[NO] 162/163 | Exploring the Relationship Between Quality of Experience and Quality of Service in Collaborative Mixed Reality
[NO] 163/163 | Virtual Sauna – Evaluating an Immersive Thermal Motion Experience
筛选完成：共 163 篇；Yes = 0 篇；已保存到 papers/select_paper2026-06-07.json。
邮件发送成功！
[2026-06-08 13:26:39] 任务执行成功！
