[2026-05-23 10:27:05] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-22
正在获取论文...
[ACM] 2026-5-22 | Agent-Aided Design for Dynamic CAD Models
[IEEE] 2026-5-22 | Coordinated Optimization of Delivery Routes and Charging Strategies for Electric Logistics Vehicles
[IEEE] 2026-5-22 | Grey Wolf Optimization Enhanced Random Forest Framework for LLM Software Defect Prediction
[IEEE] 2026-5-22 | AI-Driven Adaptive Cooling Control for Thermal Management of Electric Vehicle Power Electronics
[IEEE] 2026-5-22 | Assessment of Grail Radio Science Signal Noise Patterns in Support of Lunar Radio Occultation
[IEEE] 2026-5-22 | A Focused Review of Multimodal CTR Prediction for Cold-Start Recommendation
[IEEE] 2026-5-22 | Long Run Effects of Feed-In Premiums and Carbon Taxes on Generation Investment and Social Surplus
[IEEE] 2026-5-22 | Continuing Development and Enabling of Exploration Mission Systems Software
[IEEE] 2026-5-22 | A Generative Modeling Approach to Resource-Efficient Early Mission Concept Formulation
[IEEE] 2026-5-22 | Customer Perception of Digital Banking Applications: A Sentiment Analysis and Topic Modelling Analysis of Google Play Store Reviews
[IEEE] 2026-5-22 | Integrating Neurosymbolic AI for Pneumonia Diagnosis Using Chest X-Rays: A Synergistic Approach
[IEEE] 2026-5-22 | The Self-Healing Software Organism: an Evolutionary Runtime Defense Framework for Autonomous Regeneration
[IEEE] 2026-5-22 | Numerical Investigation of a Lead-Free GaAs/$\text{CH}_{3} \text{NH}_{3} \text{SnI}_{3}$/RGO Perovskite Solar Cell Using SCAPS-1D
[IEEE] 2026-5-22 | Arrhenius Normal Life Stress Modeling for Multilayer Ceramic Capacitors Lifetime Prediction
[ACM] 2026-5-22 | Trace-Level Analysis of Information Contamination in Multi-Agent Systems
[ACM] 2026-5-22 | optimize_anything: A Universal API for Optimizing any Text Parameter
[ACM] 2026-5-22 | Verifying E-discovery Classifiers with Limited Disclosure
[ACM] 2026-5-22 | AI Suppression: E-Discovery Software and
                    <i>Brady</i>
[ACM] 2026-5-22 | Benchmarking Legal RAG: The Promise and Limits of AI Statutory Surveys
[ACM] 2026-5-22 | Response: Intersection as a Continuum
[IEEE] 2026-5-22 | An FPGA-Based Hybrid Wave Union Time-to-Digital Converter with Iterative Z-Type Code Calibration Algorithm
[IEEE] 2026-5-22 | Dual-Mode Multiplexed Micro-Ring Resonator on Thin-Film Lithium Tantalate with High Tuning Efficiency and Large Free Spectral Range
[IEEE] 2026-5-22 | Safe from Prying Eyes
[IEEE] 2026-5-22 | Multimodal Patient-Specific Identification of Atrial Flutter Circuits from ECG Time Series Using Explainable Machine Learning_supp3-3694616.mp4
[IEEE] 2026-5-22 | Multimodal Patient-Specific Identification of Atrial Flutter Circuits from ECG Time Series Using Explainable Machine Learning_supp2-3694616.mp4
[IEEE] 2026-5-22 | 2026 International Conference on Current Research in Artificial Intelligence and Data Science (ICCRAIDS)
[IEEE] 2026-5-22 | Modeling and Evaluation of Single Event Effects on Hafnia-Based FeRAM
[IEEE] 2026-5-22 | Cancellable Iris Recognition Scheme Based on Positive-Negative Mapping and Negative Selection
[IEEE] 2026-5-22 | Kinematically-Constrained Marching for Optimal Reeds-Shepp Nonholonomic Path Planning on 2D Cartesian Grids
[ACM] 2026-5-22 | Simulation Approaches for Supporting Microservice Architectures: A Systematic Review
[IEEE] 2026-5-22 | Accelerating the Pre-Silicon Functional Verification Value Ramp Using Aspect Oriented Development
[IEEE] 2026-5-22 | DermAI: A High-Accuracy Ensemble Deep Learning Framework for Multi-Class Skin Lesion Classification
[IEEE] 2026-5-22 | Study on the Influence Range of DC Grounding Electrodes on DC Bias in AC Power Grids
[IEEE] 2026-5-22 | Energy-Efficient UAV Water Sampling Under Wind Uncertainty Using Reinforcement Learning
[IEEE] 2026-5-22 | Mapping Political Ideologies on Social Media Using Text Mining and Deep Learning
[IEEE] 2026-5-22 | Development of a Microgrid Simulator for Analyzing Frequency Regulation Performance of Grid-Forming Inverters
[IEEE] 2026-5-22 | Adaptive Shell Scripting with Quine Programs and Large Language Models
[IEEE] 2026-5-22 | Photovoltaic Power Forecasting Based on Pretrained TimeGPT and Few-Shot Adaptation
[IEEE] 2026-5-22 | Demonstrating Digital Twin Interoperability Between Heterogeneous Platforms Via Spatial Web
[IEEE] 2026-5-22 | A Forensic-Based Prevention Framework for Web Defacement Attacks via WordPress REST API and Social Engineering
[IEEE] 2026-5-22 | Development of a Ground Test Protocol for Human-in-the-Loop Evaluations of Drivable Lunar Terrain Vehicle Engineering Development Units
[IEEE] 2026-5-22 | Hybrid-Constrained Multi-Agent Reinforcement Learning for Collaborative Dual-Aircraft Scenarios
[IEEE] 2026-5-22 | An Adaptive Algorithm Selection and Load Forecasting Framework for New Power Systems Integrating Task Profiling and MATD3
[IEEE] 2026-5-22 | Analysis of Physical Transmission Delay Effect in District Heating Networks Based on Security Region
[IEEE] 2026-5-22 | Research on Oil Level Detection Technology and Application for Oil-Filled Terminations of High-Voltage Cables Based on Terahertz Echoes
[IEEE] 2026-5-22 | Agentic AI for Modern HR Operations
[IEEE] 2026-5-22 | Smart Placement Assistance: A Retrieval-Augmented Generation Framework with Dynamic Visual Analytics for Career Guidance
[IEEE] 2026-5-22 | Research on Wide-band Oscillation Suppression Strategy of LCL Three-phase Grid-connected Inverters Based on Frequency-selective Feedforward Compensation
[IEEE] 2026-5-22 | Influence of Solvents on Spray-Coated Catalyst for Direct Methanol Fuel Cells
[IEEE] 2026-5-22 | Lightweight Deep Learning Models for Retinal Disease Classification: A Survey
[IEEE] 2026-5-22 | Exploring the Cinderella Complex in Digital Narratives: An Unsupervised Text Mining Study
[IEEE] 2026-5-22 | A Study on Heat Generation Estimation Based on Cell Balancing Data and Resulting Cell Temperature Estimation Through Thermal Analysis
[IEEE] 2026-5-22 | PIKAN: Physics-Inspired Kolmogorov-Arnold Networks for Explainable UAV Channel Modelling
[IEEE] 2026-5-22 | A Frequency-Constrained AC-OPF Integrating Spinning Reserves for Generator Contingencies
[IEEE] 2026-5-22 | Bridging Standards and Experience: Digital Service Accessibility for People with Disabilities
[IEEE] 2026-5-22 | Origami-Inspired Soft Actuator Utilizing a Low-Melting-Point Alloy for Multi-Modal Motion and Shape Locking
[IEEE] 2026-5-22 | Proprioceptive Origami Sleeves Using Embedded Fold Sensors
[IEEE] 2026-5-22 | Human as an Actuator Dynamic Model Identification
[IEEE] 2026-5-22 | Robust and Interpretable Deep Learning for Type 2 Diabetes Prediction Using Spatial, Hybrid, and Attention-Based Models
[IEEE] 2026-5-22 | FPGA-Based UART Temperature and Humidity Monitoring System Using Microblaze Architecture
[IEEE] 2026-5-22 | Derma Nutri: An AI-Powered Multilingual Recommendation System for Affordable Skincare and Nutrition
[IEEE] 2026-5-22 | Accurate Analysis of Power Marketing Policy Risk Based on Policy Interpretation Agent
[IEEE] 2026-5-22 | Snow Accumulation Sounding Using C3 Class Hexacopter Integrated with FMCW Radar
[IEEE] 2026-5-22 | A Comparative Study of Deep Learning and Classical Image Segmentation Methods for Damaged Flower Image Analysis
[IEEE] 2026-5-22 | Push-Pull Class E Converter with ZVS in Wide Load Range
[IEEE] 2026-5-22 | Caterpillar-Inspired Spring-Based Compressive Continuum Robot for Bristle-based Exploration
[IEEE] 2026-5-22 | Exploring Rapid-Response Flyby Reconnaissance Mission Architectures Enabling Asteroid Mass Estimation
[IEEE] 2026-5-22 | Domain-Robust AI for Dental Disease Detection: Integrating Adversarial Feature Alignment, Adaptive Attention Fusion, and Class-Balanced Loss
[IEEE] 2026-5-22 | Analysis of the Effect of Salt Pollutants on Insulator Degradation and Evaluation of the Effectiveness of Epoxy Resin and RTV Sir Based Protective Coatings
[IEEE] 2026-5-22 | IoT-Integrated EEG Microstate Analytics for Ultraprecise Sleep and Cognitive Health Monitoring Using Multi-Scale Quantum-Phase and Graph-Convolutional Frameworks
[IEEE] 2026-5-22 | Motorcycle Parking Slot Estimation in Unmarked Environments Using YOLOv8n and Empirically Calibrated Dynamic Gap Analysis
[IEEE] 2026-5-22 | Real-Time Probabilistic Enemy Decision Making in Survival Games using Bayesian Networks and Behavior Trees
[IEEE] 2026-5-22 | EduSync: DSP-Based Engagement Modeling and Vision Analytics in an Edge-Deployed LMS
[IEEE] 2026-5-22 | A Comparative Review of Liveness Detection Methods for Hand Vein Identification
[IEEE] 2026-5-22 | Multiphysics Analysis and Experimental Study of a Novel Waterproof Material for Distribution Cable Joints
[ACM] 2026-5-22 | Vista: Verifier-in-the-Loop Agentic Reinforcement Learning for Quantum Program Synthesis
[ACM] 2026-5-22 | Universal Time-Series Representation Learning: A Survey
[ACM] 2026-5-22 | Accelerating HQC Key Encapsulation Mechanism with AVX-512
[IEEE] 2026-5-22 | Table of Contents
[IEEE] 2026-5-22 | A Fully Integrated Dual-Mode Control Switched-Capacitor DC-DC Converter With Fast Transient Response
[IEEE] 2026-5-22 | Ride-Hailing Assignment in Heterogeneous Networks Based on Graph Convolutional Neural Networks
[IEEE] 2026-5-22 | Selective Deployment of Post-Quantum Edge–Device Authentication for IIoT: A Lifecycle-Oriented SDAKA Protocol
[IEEE] 2026-5-22 | Dual-Trust Graph Attention Network for Malicious Device Detection in Internet of Things
[IEEE] 2026-5-22 | Development of an Embedded System for Agricultural Sensors Based on IoT Technology: A Simulated Electronic Corn Ear
[IEEE] 2026-5-22 | CROP: Conservative Reward for Model-Based Offline Policy Optimization
[IEEE] 2026-5-22 | Simpler is Better: Feature Guard and Interaction for Semantic Correspondence_supp3-3693144.mp4
[IEEE] 2026-5-22 | From Simulation to Production: Few-Shot Learning for ID Card Presentation Attack Detection
[IEEE] 2026-5-22 | 2026 IEEE Aerospace Conference
[IEEE] 2026-5-22 | 2026 International Conference on AI Innovations and Industry (ICAIII)
[IEEE] 2026-5-22 | Pseudo Sentences Evaluation and Quality-aware Robust Learning for Unsupervised Text-based Person Search
[IEEE] 2026-5-22 | CAMformer: Binary Associative Memory Is All You Need
[IEEE] 2026-5-22 | A 100–140-GHz Differential LNA Using Stacked-Transistor Neutralized Cascode Topology
[IEEE] 2026-5-22 | Low-Complexity Hybrid-Field Channel Estimation for XL-MIMO Systems With Asymmetrical Uplink and Downlink Transceivers
[IEEE] 2026-5-22 | Online Fault Diagnosis of Dual Active Bridge Based on R-RVFL Neural Network
[IEEE] 2026-5-22 | Resonance Stability Analysis Method for Power Systems with High Proportion of Renewable Energy
[ACM] 2026-5-22 | Algorithmic UDAP
[ACM] 2026-5-22 | Quantifying the Benefits of Securities Regulation
[ACM] 2026-5-22 | Keynote: Fragile Links, Resilient Systems: Toward Trusted Autonomy at Swarm-Scale
[ACM] 2026-5-23 | Improving Reproducibility in Crowdsourced Labeling Across Platforms
[IEEE] 2026-5-22 | ReFDrone: One-Shot Indoor Drone 4DoF Estimation via Rolling-Shutter AoA from Floor-Reflected Light
[IEEE] 2026-5-22 | A Prototype Low-Cost Hybrid-Actuated Mobile Spherical Terrain Exploration Rover
[IEEE] 2026-5-22 | A Multi-Objective Optimization Framework for Chemical Synthesis Planning Using a Retrievalaugmented Language Model
[IEEE] 2026-5-22 | Load Signature Modeling and Charging Guidance for Electric Vehicles Based on Virtual Features Labelling
[IEEE] 2026-5-22 | TATERS (Tool for Autonomous Terrain Exploration of Remote Spaces)
[IEEE] 2026-5-22 | Ai-Feedback Carton Packaging Customization and Circular Remanufacturing From Thresholding to Recovery Grading
[IEEE] 2026-5-22 | A multi-Degrees-of-Freedom Soft Robotic Chamber that Mimics Muscles to Stimulate Myoblasts
[IEEE] 2026-5-22 | Federated Reinforcement Learning for PV Inverters Enabled Voltage Regulation of Medium-Low Voltage Unbalanced Distribution Grids
[IEEE] 2026-5-22 | Surface-Tension-Controlled Molding of Large Suction Cup Arrays for Adaptive Adhesion
[IEEE] 2026-5-22 | Case Studies Surveying with Augmented Reality Adopting Technical and Employer Based Data for Maintenance and Performance at Diversified Areas
[IEEE] 2026-5-22 | Real-Time Simulation of Deformable Tactile Sensors and Objects in Robotic Grasping using Graph Neural Networks with Inductive Biases
[IEEE] 2026-5-22 | Cooperative Dynamic Positioning for Multiple Uncrewed Surface Vehicles Under Switching-Edge Deception Attacks
[IEEE] 2026-5-22 | From Twitter to Reddit: Cross-Domain Indonesian Sarcasm Detection with Pretrained Transformers
[IEEE] 2026-5-22 | Ethical, Social, and Political Implications of AI Surpassing Human Cognitive Capacities
[IEEE] 2026-5-22 | Mechanism-Driven Surrogate-Assisted Dynamic Reactive Power Capacity Optimization for Converter-Dominated Systems
[IEEE] 2026-5-22 | Overcoming Challenges of Realism in Competitive Space-Based Reinforcement Learning with AstroCraft
[IEEE] 2026-5-22 | Development of an Agile Mission Concept Formulation Framework
[IEEE] 2026-5-22 | A Machine-Learning-Based Thermal Run Risk Assessment Model for Transformer Under Distribution Systems
[IEEE] 2026-5-22 | Mission-Specific Trajectory Dispersions for T-SCVx Landing Guidance
[IEEE] 2026-5-22 | Surface-based Manipulation Using Tunable Compliant Porous-Elastic Soft Sensing
[IEEE] 2026-5-22 | Torsion Resistant Strain Limiting Layers Enable High Grip Strength of Electrically-Driven Handed Shearing Auxetic Grippers
[IEEE] 2026-5-22 | Towards miniaturisation of dielectrophoretic liquid zipping actuators with series-elastic fabric electrodes
[IEEE] 2026-5-22 | Enhancing Subway Waterlogging Management: An Iot-Based Solution with AI-Assisted Weather Forecasting
[IEEE] 2026-5-22 | FlexSeal: Passive Pinhole Valve Suction for PneuNet Gripper with One-way Flow Object Attachment and Release
[IEEE] 2026-5-22 | Atmospheric Corrosion-induced Interturn Short Circuit in a 21 kV Dry-type Air-core Shunt Reactor
[IEEE] 2026-5-22 | DRESS: Distributed Robotic Enhanced Soft System for Non-Uniform Object Transportation
[IEEE] 2026-5-22 | Small Signal Stability Analysis of Grid-Connected New Energy System with High Inertia Energy Storage Type Doubly-Fed Condenser
[IEEE] 2026-5-22 | A New Geometric Configuration of Metallic Terminals in On-board Components for Terahertz-Era EMC
[IEEE] 2026-5-22 | Synthetic Data Generation with GANs to Boost CNN Accuracy in Plasmodium Species and Lifecycle Stage Detection
[IEEE] 2026-5-22 | Electromagnetic Field and Mechanical Forces Analysis of a Direct-Drive Generator in Wind Turbines
[IEEE] 2026-5-22 | Wearable Non-Invasive System for Gestational Diabetes Mellitus Monitoring
[IEEE] 2026-5-22 | Evaluating AI-Powered Chatbot Acceptance in Indonesian Skincare E-Commerce: An Extended Technology Acceptance Model Approach
[IEEE] 2026-5-22 | Load Characteristic Analysis of eVTOL Propulsion Motors Based on Data-Model Hybrid-Driven Approach
[IEEE] 2026-5-22 | Distobee: Design and System Review of a Mobile Platform for Lunar Regolith Excavation
[IEEE] 2026-5-22 | A Stochastic Approach to Terrain Maps for Safe Lunar Landing
[IEEE] 2026-5-22 | BOOST Converter Performance Optimization for Microsatellite Power Systems Using MPPT Fuzzy Control
[IEEE] 2026-5-22 | Impact of Artificial Intelligence on Faculty Performance in Delhi-NCR
[IEEE] 2026-5-22 | TAM, Memorable Tourism Experience, Museum Virtual Tour, Visit Intention Cultural Heritage Virtual Tour (CVHT): Evaluating the Impact of Technology Acceptance on Intention to Visit in Museum
[IEEE] 2026-5-22 | Linearized UC1875 PWM Controller in Phase-Shifted Full-Bridge Current-Doubler-Output Converters
[IEEE] 2026-5-22 | An Edge-Enabled Deep Learning Framework for PV Generation and Load Forecasting in Microgrids
[IEEE] 2026-5-22 | Design Considerations for Wide-Temperature Analog LVRs with Emitter-Follower SIGe HBT Pass Devices
[IEEE] 2026-5-22 | Comparative Evaluation of SARIMA, FB Prophet, and LSTM for Hourly Demand Forecasting in Saudagar Kopi
[IEEE] 2026-5-22 | Explainable Artificial Intelligence (XAI) and Human Cognitive Factors: A Systematic Literature Review of Domains, Techniques, and Impacts
[IEEE] 2026-5-22 | Onboard Transformer-Based Lossless Neural Compression on Satellite Imagery
[IEEE] 2026-5-22 | Federated Big Data Analytics for Student Performance Under Data Locality and Privacy Constraints
[IEEE] 2026-5-22 | A Closed-Loop System for Measuring Music Therapy Effectiveness Through Longitudinal Emotion Tracking
[IEEE] 2026-5-22 | Classification of Wheat Disease Using Model-Level Graph Network with Parrot Optimizer
[IEEE] 2026-5-22 | Phasor Measurement Unit with Particle Filtering Estimation
[IEEE] 2026-5-22 | Dimensions of the E-Commerce System Success (ESS) Model and Augmented Reality (AR) That Affect User Satisfaction and Repeat Usage Intent on the Shopee App in Indonesia
[ACM] 2026-5-22 | An Adaptive Modulation Method for UAC Based on Multi-Dimensional Channel Awareness
[ACM] 2026-5-22 | StigmergyRouter: A Fault-Aware Adaptive Routing Demo for Multi-Agent AI Systems
[ACM] 2026-5-22 | Reasoning-Intensive Regression
[ACM] 2026-5-22 | AI Collaboration and the Decentering of Human Creativity
[IEEE] 2026-5-22 | Leveraging Space-Time Synchronization for Ultra-Spot Detection in mmWave/THz UAV-to-UAV Communications
[IEEE] 2026-5-22 | Interface Management in the Development of the DTT Remote Handling Facility—REMHAT
[IEEE] 2026-5-22 | A Systematic Review of Load Parameter Identification and Power Management Techniques in Domestic Induction Heating Appliances
[IEEE] 2026-5-22 | Robots in Inclusive Education of Students with Autism Spectrum Disorder
[IEEE] 2026-5-22 | Unsupervised Building Change Detection in Remote Sensing Images via Joint Structural and Non-Structural Variation Generation
[IEEE] 2026-5-22 | BER Analysis of Rate Compatible Gaussian Modulation
[IEEE] 2026-5-22 | Hyperspectral Weak Object Detection Using Homogeneous-Unique Feature Fusion
[IEEE] 2026-5-22 | Resilient State and Input Estimation for Complex Network Subject to Cyber Attack: A Set-Membership Method
[IEEE] 2026-5-22 | An Edge-Enabled Two-Stage Framework for Automated Anomaly Detection and Classification in Metal Coils Using Ensemble Learning
[IEEE] 2026-5-22 | Enhancing Indoor Three-Dimensional Localization through the Integration of Visible Light Communication and Particle Swarm Optimization
[IEEE] 2026-5-22 | A Single-Layer Wideband Differential Filtering Patch Antenna for 5G IoT Applications
[IEEE] 2026-5-22 | Performance Bounds for Priority-Based Stochastic Coflow Scheduling_supp1-3690856.pdf
[IEEE] 2026-5-22 | TTACO: Trusted Time-Aware Computing Offloading in Air-Ground Integrated Networks
[IEEE] 2026-5-22 | Reconfigurable Dual-Band Millimeter-Wave Filter Based on GaAs Technology
[IEEE] 2026-5-22 | Optimal Dispatch of Offshore Wind-Hydrogen-Ammonia System Considering Three-tier Ammonia Reserve Mechanism
[IEEE] 2026-5-22 | Optimal Planning of Embedded VSC-HVDC for Urban Power Grids with High Load Density
[IEEE] 2026-5-22 | Resource Allocation for Resilient Distribution Systems Based on Multisource Data-Driven Failure Scenario Generation
[IEEE] 2026-5-22 | Epidemics in Orbit: Modeling Space Debris Dynamics to Alleviate the Orbital Traffic Jam
[IEEE] 2026-5-22 | Crowd Management During Hajj and Umrah Using Machine Learning
[IEEE] 2026-5-22 | Fluid-structure interaction dynamics and feedback control of multiple flexible bioinspired swimmers
[IEEE] 2026-5-22 | Smart Logistics Preventing Fruit Spoilage Using IOT
[IEEE] 2026-5-22 | Design and Development of an Intelligent Anti-Tremor Glove for Parkinson's Patients Using Pneumatic Air Cuff Mechanism
[IEEE] 2026-5-22 | Digital Regenerative Ranging Implementation with Accelerated Acquisition for Testbeds and Next-Gen Spacecraft
[IEEE] 2026-5-22 | Plastic Waste Detection and Removal System in College Campus
[IEEE] 2026-5-22 | Reconfigurable VLSI Architectures for Resource-Constrained Edge AI
[IEEE] 2026-5-22 | Limb Compliance for Underactuated Propulsion in Resistive Media
[IEEE] 2026-5-22 | A Wearable Human–Machine Interface (HMI) System Based on Colocated sEMG-cFMG Sensing for Hand Gesture Recognition
[IEEE] 2026-5-22 | A Hybrid Classification and Clustering Approach for Multi-Class Student Performance Prediction and Profiling
[IEEE] 2026-5-22 | A Micro-Vibration-Based Spinal Health Analyzer for Wearable Biomechanical Assessment
[IEEE] 2026-5-22 | Radioisotope Power Systems (RPS) Deployment and Integration Into Future Missions
[IEEE] 2026-5-22 | Linear Approximation of Optimal Reactive Power Flow Model for Inverter-based Power Systems
[IEEE] 2026-5-22 | Segmentation-Guided YOLO-Based Framework for Accurate Multi-Class Skin Cancer Classification with Improved Melanoma Detection
[IEEE] 2026-5-22 | A Comparative Study of Deep Learning Algorithm Performance for Drowsiness Detection While Driving
[IEEE] 2026-5-22 | An Artificial Intelligence-Based Decision Support System for Personalized Immunosuppressive Treatment in Kidney Transplant Recipients
[IEEE] 2026-5-22 | A Teaching Assistant for Teacher-Student Learning: Knowledge Transfer from Skeleton to Inertial Sensing for Activity Recognition in Industrial Domains
[IEEE] 2026-5-22 | Building Footprint Extraction from High-Resolution Satellite Imagery: Evaluating SAM and Lightweight Segmentation Models on xBD Dataset
[IEEE] 2026-5-22 | Whole-Body Proprioceptive Morphing: A Modular Soft Gripper for Robust Cross-Scale Grasping
[IEEE] 2026-5-22 | Printed helicoids with embedded air channels make sensorized segments for soft continuum robots
[IEEE] 2026-5-22 | AutoScaleDL: An Automated Framework for Scalable Distributed Training in Deep Learning Systems
[IEEE] 2026-5-22 | A New Protection and Operational Boundary for AC Transmission Lines in the New Type Power System
[IEEE] 2026-5-22 | Exploratory Design of an Extended Reality UAV Path Planning Tool
[IEEE] 2026-5-22 | Vision-Language Model Informed Relative Navigation for GPS-Denied Environments
[IEEE] 2026-5-22 | The S3LI Vulcano Dataset: A Dataset for Multi-Modal SLAM in Unstructured Planetary Environments
[IEEE] 2026-5-22 | Common Ground: Standardizing Granular Media Characteristics for Burrowing Robots
[IEEE] 2026-5-22 | High-Power Radio Frequency Anti-Satellite (ASAT) Weapons - Technical Aspects of an Emerging Threat
[IEEE] 2026-5-22 | AI-Powered Agriculture Rover for Fertilizer Optimization
[IEEE] 2026-5-22 | Constant-Envelope Multicarrier Modulations vs. Multicarrier Modulations in Non-Terrestrial Network Scenarios
[IEEE] 2026-5-22 | Dynamic Characteristics and Enhanced Renewable Energy Control For Large-Scale Hydro–PV And Grid-Forming VSC-HVDC Sending System Following DC Pole-Blocking Fault
[ACM] 2026-5-22 | SLVR: Securely Leveraging Client Validation for Robust Federated Learning
[ACM] 2026-5-22 | Steering Agent Behavior via a Domain Expert-Driven Alignment-to-Optimization Bridge
[ACM] 2026-5-22 | L.A.K.E.: Logic Agent for Knowledge Extraction in Data Planning
[ACM] 2026-5-22 | SQLsaber: Agentic SQL Assistant for Efficient and High-Accuracy Natural Language Database Exploration
[ACM] 2026-5-22 | How to Steer Your Multi-Agent System: Human-LLM Collaborative Planning
[ACM] 2026-5-22 | Supervisory Control Theory for LLM Revision
[IEEE] 2026-5-22 | Keynotes
[IEEE] 2026-5-22 | 2026 11th Asia Conference on Power and Electrical Engineering (ACPEE)
[IEEE] 2026-5-22 | Organizer and Sponsors
[IEEE] 2026-5-22 | Fast and Adaptive Near-field Scanning Measurement Based on Complete Meshing Algorithm and Field Spatial Fluctuation Criterion
[IEEE] 2026-5-22 | Table of Contents
[IEEE] 2026-5-22 | Performance Analysis of RIS-Aided NOMA-Based Backscatter Communication with Imperfect CSI and SIC
[IEEE] 2026-5-22 | LLM-Meta-SR: In-Context Learning for Evolving Selection Operators in Symbolic Regression
[IEEE] 2026-5-22 | Result Identification and Error Repair Method for Generator Stator Ground Fault Active Arc Suppression
[IEEE] 2026-5-22 | IEEE App
[IEEE] 2026-5-22 | IEEE Membership
[IEEE] 2026-5-22 | An ENS-Based Three-Channel Receiver for Null-Free Power Pickup in Multipolar UAV-IPT Systems
[IEEE] 2026-5-22 | GRAFT: Grad-CAM and FFT-based Sampling for Feedback-Efficient Reinforcement Learning_supp1-3695672.docx
[IEEE] 2026-5-22 | A Behavioral Drift-Aware Feature Extraction Method for Transaction Fraud Detection
[ACM] 2026-5-22 | Operationalising Extended Cognition: Formal Metrics for Corporate Knowledge and Legal Accountability
[IEEE] 2026-5-22 | Miniaturized 28-GHz Bandpass Filter Using Self-Coupled Structure in IPD Process
[IEEE] 2026-5-22 | O-DINO: An Optimized DINO for Accurate Oriented Object Detection in Remote Sensing Imagery
[IEEE] 2026-5-22 | Smart E-Vehicle Using Inductive Wireless Charging System
[IEEE] 2026-5-22 | 3D-Printed Kresling-Origami Soft Actuators Facilitate Drag Reduction by Rotational Penetration for Burrowing
[IEEE] 2026-5-22 | Two-Stage Stochastic Scheduling of Grid-connected Wind-Hydrogen-Storage Systems with Electrolyser Clusters under Wind Power Uncertainties
[IEEE] 2026-5-22 | Emergency Vehicle Recognition: a Cnn Approach for Efficient Classification
[IEEE] 2026-5-22 | Feasibility of Renewable Energy Solutions for Residential EV Charging in India: A Techno-Economic Perspective
[IEEE] 2026-5-22 | A Comprehensive Machine Learning Framework for Stroke Risk Prediction
[IEEE] 2026-5-22 | An Enhanced Short-Circuit Calculation Approach for Multigrounded Distribution Networks
[IEEE] 2026-5-22 | Bilateral Force-Feedback Control of Tendon-Driven Flexible Manipulators with Tension Sensors: Minimal-Configuration Evaluation with Internal-Force Compensation
[IEEE] 2026-5-22 | A Lightweight MobileVit Framework for Realtime Plant Leaf Disease Classification in Precision Agriculture
[IEEE] 2026-5-22 | Optimization Control Strategy for Power Sharing of PV-VSG Grid-Connected Optimizer
[IEEE] 2026-5-22 | Effect of Heuristic Bias on Crypto Asset Trading Decision Mediated by Risk Tolerance
[IEEE] 2026-5-22 | Label-Efficient Self-Supervised Representation Learning for Chest X-Ray Pathology Classification
[IEEE] 2026-5-22 | Enabling Reliable, Fault-Tolerant Autonomous Lunar Habitats with High-Performance Spaceflight Computing
[IEEE] 2026-5-22 | Considering Transmission System Vulnerability to Extreme Weather Events in Resilience Assessment of Distribution Systems
[IEEE] 2026-5-22 | Data-driven Modeling and Feedforward Control of Millimeter-Scale Vine Robots
[IEEE] 2026-5-22 | A Quantitative Comparison of Centralised and Distributed Reinforcement Learning-Based Control for Soft Robotic Arms
[IEEE] 2026-5-22 | VMD-GRU Based Ultra-Short-Term Wind Speed Forecasting System
[IEEE] 2026-5-22 | When Usefulness Meets Emotion: Explaining Post-Adoption Engagement in Social Media
[IEEE] 2026-5-22 | Cardiac Arrhythmia Detection Using IoT and Machine Learning
[IEEE] 2026-5-22 | A Method for Constructing Parameter Security Domains of Grid-Connected Converters Considering Control Interactions
[IEEE] 2026-5-22 | Quantifying Risk Propagation in Agentic AI Networks: A Simulation Framework and Singularity Index Approach
[IEEE] 2026-5-22 | A Multi-Objective Unit Commitment Model for Enhancing Operational Flexibility in Power Systems
[IEEE] 2026-5-22 | Probabilistic Connectivity Analysis of Recursive Satellite Release for Formation Initialization
[IEEE] 2026-5-22 | Personality-Driven Consequence Reasoning (PDCR): A Five-Layer Deliberative Architecture for Consequence-Aware Household Robotics
[IEEE] 2026-5-22 | Application of Machine Learning in the Predictive Maintenance of Distribution Substations Aimed at Reducing Failures
[IEEE] 2026-5-22 | Beyond the Bid: Unpleasant Surprises in Firm Fixed Price Spacecraft Contracts on NASA Missions
[IEEE] 2026-5-22 | Side-Looking SAR Using 12-18 GHz FMCW Radar Integrated with C3 Class Hexacopter
[IEEE] 2026-5-22 | Bridging Local Interpretability: Analyzing SHAP Importance and Counterfactual Sensitivity for Model Transparency
[IEEE] 2026-5-22 | Observability Analysis of Simultaneous Localization &amp; Calibration for Cooperative Radio Navigation
[IEEE] 2026-5-22 | Developing a Computer-Aided Diagnosis System for Breast Cancer Detection
[IEEE] 2026-5-22 | Replacing Subspace Tracking Methods With Dynamic Mode Decomposition
[IEEE] 2026-5-22 | Security Challenges in Space-Based Delay Tolerant Networks
[IEEE] 2026-5-22 | Pediatric Pneumonia Detection From Chest X-Rays Using Ensemble Deep Learning and Explainable AI
[IEEE] 2026-5-22 | Uncertainty in Orbit: Bayesian Spatiotemporal Modeling of Orbital Debris Proliferation
