[2026-07-15 10:51:19] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-14
正在获取论文...
[arXiv] 2026-07-14 | Virtual Chromoendscopy with Tunable Visibility Enhancement
[arXiv] 2026-07-14 | Space-Time Modulated vs 2-Bit Reflect-Arrays: A Comparison of Main Beam Gain and Sidelobe Level Performance
[arXiv] 2026-07-14 | Evaluating Health Misinformation in Low-Resource Languages: Integrating Small Language Models with a Culturally-Sensitive Responsible NLP Framework (Bangla as a Case Study)
[arXiv] 2026-07-14 | How Many Interviews Are Enough in a Software Engineering Study? Preliminary Findings on Sample Size and Saturation
[arXiv] 2026-07-14 | Second-order topological insulator induced by compensated altermagnetism without bulk spin splitting
[arXiv] 2026-07-14 | Demonstration of tripartite cat states in two distinct classes of entanglement
[arXiv] 2026-07-14 | Marginal Stationary Distributions and Convergence Rates of Higher Order Markov Chains
[arXiv] 2026-07-14 | Solomon zeta functions over arithmetic orders
[arXiv] 2026-07-14 | XScientist: A Git-Like Research Protocol for Long-Running Autonomous Scientific Discovery
[arXiv] 2026-07-14 | A Comparative Analysis of Institutional and Course Generative AI Policies within Higher Education: Implications for Instruction in Computing Education
[arXiv] 2026-07-14 | Full-Path Nonlinear Modeling of Microwave Power Transmission Through Ionospheric Plasma for Space Solar Power Station
[arXiv] 2026-07-14 | The Sound of Absence: Audio-Language Embedding Models Struggle with Negation
[arXiv] 2026-07-14 | $\mathrm{P}^{3}$CDA: Privacy-Preserving and Provably Secure Cross Domain Authentication Scheme for Internet of Drones
[arXiv] 2026-07-14 | Structured Preconditioning in Affine-Invariant Geometry: Projection, Certificates, and Kronecker Separation
[arXiv] 2026-07-14 | Testing the Direction of Dark Sector Interaction Using Late-Time Datasets
[arXiv] 2026-07-14 | Dynamics of potential-free warm $\mathbf{k}$-inflation with nonminimal derivative coupling
[arXiv] 2026-07-14 | Stable Limit DAHA of type $(C^{\vee},C)$ and Stable Limit Koornwinder Polynomials
[arXiv] 2026-07-14 | Flatness-Preserving Residual Learning for Real-Time Tight Quadrotor Formation Flight
[arXiv] 2026-07-14 | Code-MUE: Measuring Code LLMs' Uncertainty through Execution-based Semantic Interaction Graphs
[arXiv] 2026-07-14 | Contour-count indicator fields for visible pole clusters in meromorphic continuation
[arXiv] 2026-07-14 | Parallelizing Legacy Mesh Generation Software: Lessons Learned from a Pseudo-Constrained Parallel Data Refinement Approach for Advancing Front Local Reconnection
[arXiv] 2026-07-14 | Contractions and applications of crystal skeletons: Young quasisymmetric and Stanley symmetric functions
[arXiv] 2026-07-14 | Non-intrusive MEMS microphone sensing of acoustic field state in resonant acoustic levitators
[arXiv] 2026-07-14 | The Balanced Four-Color Theorem
[arXiv] 2026-07-14 | A posteriori error analysis for the Navier-Stokes equations with non-smooth data
[arXiv] 2026-07-14 | DermDepth: Toward Monocular Metric Scale 3D Reconstruction Models for Dermatology
[arXiv] 2026-07-14 | Dynamic Resource Allocation for Ensemble Determinization MCTS
[arXiv] 2026-07-14 | picoMUX: microcontroller based time-domain multiplexing readout for kilopixel TES arrays
[arXiv] 2026-07-14 | The Infraparticle Edge
[arXiv] 2026-07-14 | Surface Phase-Field-Crystal-Helfrich model for out-of-plane deformations in thin crystalline sheets with lattice mismatch
[arXiv] 2026-07-14 | ChunkFlow: Towards Continuity-Consistent Chunked Policy Learning
[arXiv] 2026-07-14 | Win by Silence: Deletion Non-Monotonicity, Autonomous Exploitation, and Typed-State Gating in LLM Plan Evaluation
[arXiv] 2026-07-14 | High-Resolution Numerical Calculations of GRB Afterglow Plateaus arising from Stratified Ejecta
[arXiv] 2026-07-14 | The Illusion of Robustness: Aggregate Accuracy Hides Prediction Flips under Task-Irrelevant Context
[arXiv] 2026-07-14 | Fast and accurate bandpass integration of complex SEDs with neural networks
[arXiv] 2026-07-14 | SMA Observations of the Archetypal Compact Steep-spectrum Radio Source 3C 303.1
[arXiv] 2026-07-14 | Optimal Assembly of Repurposed Lithium-Ion Battery Packs under Cell Heterogeneity and Screening Uncertainty
[arXiv] 2026-07-14 | A Unified Gradient Theory for Frame-Indifferent Rates of Tensorial Internal Variables
[arXiv] 2026-07-14 | ExToken: Structured Exploration for Efficient Vision-Language-Action Reinforcement Fine-tuning
[arXiv] 2026-07-14 | Optimal photostimulation selection for iterative activity maps
[arXiv] 2026-07-14 | Knowledge- and Gradient-Guided Reinforcement Learning for Parametrized Action Markov Decision Processes
[arXiv] 2026-07-14 | LatentFlow: A General Framework for Conditioning Stochastic Processes
[arXiv] 2026-07-14 | Pokrovsky--Talapov and Berezinskii--Kosterlitz--Thouless Phase Transitions in Bilayer Superconducting Films under an In-Plane Magnetic Field
[arXiv] 2026-07-14 | SinCoTrap: A High-Order Locally Corrected Trapezoidal Rule for Periodic Singular Integrals in Arbitrary Dimensions
[arXiv] 2026-07-14 | Hadronic vacuum polarization contribution to $a_μ$ from functional methods with strong and electromagnetic isospin breaking
[arXiv] 2026-07-14 | Accelerated Mixing Time of Randomized Hamiltonian Monte Carlo
[arXiv] 2026-07-14 | Symmetric 2-rigs: coexponentiability and cartesian closure
[arXiv] 2026-07-14 | Collective-State Preparation in a Subwavelength Triangular Trimer Using SUPER Excitation
[arXiv] 2026-07-14 | Boundary Characterizations of Little Bloch and $\mathrm{VMOA}$ Functions on the Half-Plane
[arXiv] 2026-07-14 | Same Loss, Same Noise, Opposite Schedules: Noise Structure and Optimizer Normalization Jointly Determine Whether Learning-Rate Cooldown Helps
[arXiv] 2026-07-14 | Microscopic Spin-1 Parent Hamiltonians for Emergent Valence-Bond Loop Manifolds
[arXiv] 2026-07-14 | The entropy of dynamical black holes deviating from electrovacuum in second order
[arXiv] 2026-07-14 | High-Frequency Gravitational Wave Constraints from Precision Spectroscopy
[arXiv] 2026-07-14 | Directional Constraints for Efficient Exploration in Safe Reinforcement Learning
[arXiv] 2026-07-14 | From Observation to Insight: Mechanistic World Models and the Quest for Autonomous Discovery
[arXiv] 2026-07-14 | Do AI Agents Know When a Task Is Simple? Toward Complexity-Aware Reasoning and Execution
[arXiv] 2026-07-14 | Computing Cox rings via the cone conjecture
[arXiv] 2026-07-14 | The Seriality Gap in Video Diffusion Models
[arXiv] 2026-07-14 | On the Detectability of Volcanic Exo-Ios That May Fuel Auroras on Super-Jupiters
[arXiv] 2026-07-14 | PalmClaw: A Native On-Device Agent Framework for Mobile Phones
[arXiv] 2026-07-14 | A Shortcut to Statistically Steady-State Turbulence with Flow Matching
[arXiv] 2026-07-14 | Software Supply Chains are Dead: Use-Case-Oriented Regeneration
[arXiv] 2026-07-14 | The Carbon-Dependent Binary Frequency of CEMP-no Stars
[arXiv] 2026-07-14 | FlowWAM: Optical Flow as a Unified Action Representation for World Action Models
[arXiv] 2026-07-14 | Testing the Independent Set Property in Hypergraphs
[arXiv] 2026-07-14 | Spin Chain Quantum Communication on a Trapped-Ion Processor
[arXiv] 2026-07-14 | Expressibility and trainability of a two-dimensional pairwise quantum-circuit ansatz
[arXiv] 2026-07-14 | One Shot, Twenty-One Balls: Existence and Rarity of a Total Clearance in a Single Stroke of Snooker
[arXiv] 2026-07-14 | Factorial clinical trials in the presence and absence of plausible statistical interactions between treatment factors. A historical review of the methodological literature
[arXiv] 2026-07-14 | Enhanced Correlations in Hawking Radiation from Near-Extremal Collapse
[arXiv] 2026-07-14 | A cryogenic neutral-atom platform with full optical access and 2-hour trap lifetime
[arXiv] 2026-07-14 | Resist and Update: Counterfactual Report Coordinates for Incentive-Compatible LLMs
[arXiv] 2026-07-14 | Models with Non-minimal Coupling in Primordial Universe and Cosmological Observations
[arXiv] 2026-07-14 | When Stabilizing Feedbacks Wreak Havoc in Habitable Planets: Chaos at the Freezing Point in a Four-Feedback Climate Model
[arXiv] 2026-07-14 | MAMMOTH: A Multi-Modal End-to-End Policy for Off-Road Mobility Robust to Missing Modality
[arXiv] 2026-07-14 | CD-MED: Cross-Domain Multimodal Emotion Descriptor for Visual Comparison of Digital Objects
[arXiv] 2026-07-14 | ViHoRec: A Quality-Controlled Vietnamese Hotel Recommendation Dataset and Cold-Start Benchmark
[arXiv] 2026-07-14 | Salesforce Messaging Architecture: Platform Events, Async Sends, and Multi-Tenancy at Scale
[arXiv] 2026-07-14 | Point Tracking in Surgery--The 2025 Surgical Tattoos in Infrared Challenge (STIRC2025)
[arXiv] 2026-07-14 | Exact and Calibrated Diffusion Reconstruction for Digital Breast Tomosynthesis
[arXiv] 2026-07-14 | Measurement and assignment of $\it{J}$ $\geq$ 10 rotational energy levels in the 9510 to 9810 cm$^{-1}$ and 6590 to 6900 cm$^{-1}$ ranges of methane using optical frequency comb double-resonance spectroscopy
[arXiv] 2026-07-14 | The MAGPI survey: Stellar populations radial trends and mass assembly in star-forming galaxies at z~0.3
[arXiv] 2026-07-14 | EVOQUANT: Self-Evolving Verifier-Guided Strategy Optimization for Robust Quantitative Trading
[arXiv] 2026-07-14 | Parallel Hadamard Test
[arXiv] 2026-07-14 | Harmonic-dependent geometry-to-flow transfer in AMPT Ru+Ru and Zr+Zr isobar collisions
[arXiv] 2026-07-14 | Work-in-Progress: A Tactic for Pattern Matching in Autosubst
[arXiv] 2026-07-14 | Isomorphism classes of multi Danielewski varieties
[arXiv] 2026-07-14 | Spatially-Aligned Chroma from Luma Prediction for Lossless JPEG XS Raw Image Compression
[arXiv] 2026-07-14 | Can Induced Emotion Bias LLM Behaviors in Sequential Decision Making?
[arXiv] 2026-07-14 | Bivariate Isotonic Regression by Dynamic Programming
[arXiv] 2026-07-14 | Contour integral methods and structured perturbations for linear differential-algebraic equations
[arXiv] 2026-07-14 | Gradient-free learning of a closed-loop wall controller for turbulent drag reduction
[arXiv] 2026-07-14 | Algebraic Maximal Numerical Range and its preservers of Triple Products on $C^*$-Algebras
[arXiv] 2026-07-14 | Agentic Service-Oriented Computing: A Manifesto for the Next Frontier of Service-Oriented Computing
[arXiv] 2026-07-14 | Direct Retrieval of Protoplanetary Disk Dust Properties using Auto-differentiable Gaussian Processes and Its Application to the HD 169142 Disk
[arXiv] 2026-07-14 | Tensor-Based Reduced-Order Modeling for Optimization-Based Inverse Problems
[arXiv] 2026-07-14 | Multi-Perspective Agentic Program Repair via Code Property Graphs and Temporal Execution Graphs
[arXiv] 2026-07-14 | What is a Musical Scale? Regularity and Convention in the Organization of Pitch
[arXiv] 2026-07-14 | Aerosol generation by the splashing of low viscosity drops impacting liquid layers
[arXiv] 2026-07-14 | WanToFight: Real-Time Generative Game Engine for Multi-Player Combat Interaction
[arXiv] 2026-07-14 | Explainable-by-Design Audio Deepfake Detection via Wiener-Hopf Linear Prediction
[arXiv] 2026-07-14 | A 2.5D NURBS-Trace Infinite-Element Method for Moving-Load Wave Propagation and Soil--Structure Interaction in Semi-Infinite Ground
[arXiv] 2026-07-14 | IceCAPA: patterning particles and microorganisms at a freezing front
[arXiv] 2026-07-14 | Forked Physics-Informed Neural Networks for Non-Markovian Open Quantum Dynamics and Control
[arXiv] 2026-07-14 | The Quantum Polariton Hamiltonian that Reproduces the Same High-Harmonic Generation Spectra as the Classical Hamiltonian in Strong Laser Fields
[arXiv] 2026-07-14 | High Energy Evolution of Dipole Gluon Distribution Beyond Eikonal Approximation
[arXiv] 2026-07-14 | Semismooth Newton methods for degenerate polyhedral projection
[arXiv] 2026-07-14 | A JoLT for the KV Cache: Near-Lossless KV Cache Compression via Joint Tucker and JL-Residual Allocation for LLMs
[arXiv] 2026-07-14 | Online Preemptive Matching Revisited
[arXiv] 2026-07-14 | Continuous Cross Approximation of Matrices Arising Out of Kernel Functions
[arXiv] 2026-07-14 | Research on topological materials using ultrafast spectroscopy
[arXiv] 2026-07-14 | A canonical two-scale Sonine fractional calculus induced by the Tricomi function
[arXiv] 2026-07-14 | Optically Derived Radio-Frequency Benchmark in Methanol: A Sub-kHz Reference for Astrophysical Tests of Fundamental Physics
[arXiv] 2026-07-14 | On the invariance of irregular Hodge numbers under crepant birational equivalences
[arXiv] 2026-07-14 | Algebraic structures on non-Archimedean Urysohn universal metric spaces
[arXiv] 2026-07-14 | Photometric and Spectroscopic Studies of Type Ic Supernovae SN 2020akf and SN 2021mxx
[arXiv] 2026-07-14 | Open-Source Intelligence and Music Information Retrieval for Geographic Attribution of Musical Affect and the Ecological Limits of Population Inference
[arXiv] 2026-07-14 | When Binaries Talk Back: Representation-Confusion Attacks on LLM-Assisted Reverse Engineering
[arXiv] 2026-07-14 | What Does Goodness Measure? A Likelihood-Ratio Account of Forward-Forward Learning
[arXiv] 2026-07-14 | Adversarial Attacks on Online Handwriting using Salience-based Temporal Editing
[arXiv] 2026-07-14 | RealSkin: Spatio-Spectral Partial Neural Adjoint Maps for Image-to-3D Attribute Transfer
[arXiv] 2026-07-14 | Infra-Swarm: Robust Vision-Based Multi-Robot Swarming via Near-Infrared Spectral Vision
[arXiv] 2026-07-14 | Role of spin-curvature and magnetic interactions on circular orbits of particles with magnetic monopole around Bardeen black holes
[arXiv] 2026-07-14 | Particle decay and energy conservation in the Kerr-Newman black hole
[arXiv] 2026-07-14 | Variable-Lattice-Density Optimization of Pin-Fin Heat Sinks under High-Reynolds-Number Flow Conditions
[arXiv] 2026-07-14 | On a two-species Keller-Segel model with degenerate diffusion and two stimuli
[arXiv] 2026-07-14 | Understanding before Naming! Enhancing LLM-based Method Name Prediction with Code Summarization
[arXiv] 2026-07-14 | Exploring Zero-Shot Foundation Models for Multivariate Time Series Anomaly Detection
[arXiv] 2026-07-14 | Strain-Induced Detuning of a Dressed Nitrogen-Vacancy Qubit: Effective Two-Level Theory and Its Validity
[arXiv] 2026-07-14 | The Computational Basis of Confidence in Large Language Models
[arXiv] 2026-07-14 | Does a Developed Comorbidity Index Really Add Value? A Selection-Aware Bootstrap for Post-Selection Concordance
[arXiv] 2026-07-14 | Q2NSViz: An Open-source Standalone Visualizer for Quantum Network Simulations
[arXiv] 2026-07-14 | Approximation Algorithms for Norm-Budgeted Packing Problems
[arXiv] 2026-07-14 | The Lightspeed project: high-speed, ultra-low read noise imaging and polarimetry for the Magellan telescopes
[arXiv] 2026-07-14 | Where Reasoning Matters: Rethinking Latent Reasoning in Semantic ID-based Generative Recommendation
[arXiv] 2026-07-14 | Control and homogenization of a coupled hyperbolic system with an oscillating coefficient
[arXiv] 2026-07-14 | Statistical Properties and Power Analysis of Divergence Measures for Credit Risk Model Monitoring
[arXiv] 2026-07-14 | Structured Fluctuations and the Information Dynamics of Self-Maintenance in Growing Neural Cellular Automata
[arXiv] 2026-07-14 | A Fourier-Aware Projection-Based Periodic Parareal Method for Time-Periodic Problems
[arXiv] 2026-07-14 | Gaussian fluctuation for spatial average of the space--time fractional stochastic heat equation
[arXiv] 2026-07-14 | Differentiable Clone-Structured Causal Graphs for End-to-End Cognitive Map Learning from Image Sequences
[arXiv] 2026-07-14 | Odd Parts of Derivative Period Polynomials and a Logarithmic Transition Scale
[arXiv] 2026-07-14 | ArchSim: Computer Architecture Simulation as a Service
[arXiv] 2026-07-14 | ACID: Adaptive Caching for vIDeo generation
[arXiv] 2026-07-14 | VistaVLA: Geometry- and Semantic-Aware 3D Gaussian-Grounded VLA for Robotic Manipulation
[arXiv] 2026-07-14 | Reducing information dependency does not cause training data privacy. Adversarially non-robust features do
[arXiv] 2026-07-14 | Domain wall motion in ferromagnetic nanowires driven by a localized Gaussian thermal gradient
[arXiv] 2026-07-14 | Policy-Conditioned Constrained Decoding for Column-Level Access Control in Text-to-SQL
[arXiv] 2026-07-14 | QUBO-Optimized Evidence Selection for Retrieval-Augmented Question Answering with Unconventional Solvers
[arXiv] 2026-07-14 | ETH-Hardness of Learning Monotone Circuits and Approximating Their Size
[arXiv] 2026-07-14 | EMO: Energy Efficiency Modeling and Optimization for AI Workloads
[arXiv] 2026-07-14 | Quantum anomalous Hall effect with tunable Chern numbers induced by d-wave sublattice-staggered altermagnetism
[arXiv] 2026-07-14 | Pulsation harmonics reveal the origin of the century-old Blazhko effect
[arXiv] 2026-07-14 | Mystra: Declarative Dynamic Taint Analysis via Shadow Virtual Machine
[arXiv] 2026-07-14 | Hypergraph Turan with bounded matching number
[arXiv] 2026-07-14 | Semantic-Edge Response Decoding of SAM3 for Zero-Shot Crack Segmentation
[arXiv] 2026-07-14 | Reducing Temporal Redundancy for Efficient Vision-Language-Action Inference
[arXiv] 2026-07-14 | Verifying Probabilistic Programs in Rust
[arXiv] 2026-07-14 | A Collocated Boris Integrator in Flux Coordinates: Balancing Accuracy, Conservation, Cost and Robustness
[arXiv] 2026-07-14 | Back-to-back dijet production in DIS at arbitrary Bjorken-x: TMD quark distributions to twist-3 accuracy
[arXiv] 2026-07-14 | Random sets are close to low-discrepancy sets
[arXiv] 2026-07-14 | Giant magnetocaloric effect at low fields in triangular-lattice NdMgAl$_{11}$O$_{19}$
[arXiv] 2026-07-14 | From Many to Meaningful: Feature-Guided Zero-Shot Chronic Kidney Disease Screening Using Large Language Models
[arXiv] 2026-07-14 | WIP: Software Engineering Competencies in the Age of AI
[arXiv] 2026-07-14 | On-Device Deep Research at 4B: Exposure Bounds Faithfulness, Retrieval Bounds Coverage
[arXiv] 2026-07-14 | How to Realize Recursively Self-Improving Agents and Personal Singularity: A Goal-, Scope-, Tool-, and Benchmark-Driven Multi-Agent Architecture
[arXiv] 2026-07-14 | Proximity Features: Privacy-Compliant Cold-Start Personalization at Airbnb
[arXiv] 2026-07-14 | On nontrivial cross-2-intersecting families
[arXiv] 2026-07-14 | Analytical penetration probability including the centrifugal potential: An improved Buck--Merchant--Perez model for alpha-decay half-lives
[arXiv] 2026-07-14 | Rethinking the Evaluation of Harness Evolution for Agents
[arXiv] 2026-07-14 | Simulation of Custom-Precision OCP MX Block Floating-Point Formats and Arithmetic
[arXiv] 2026-07-14 | Discrete-time generalized canonical transformations for non-autonomous systems
[arXiv] 2026-07-14 | The chromatic number of 3-stable Kneser graphs
[arXiv] 2026-07-14 | A new model for runaway electron transport based on chaotic Hamiltonian systems
[arXiv] 2026-07-14 | Establishing baseline model performances for optical turbulence forecasting
[arXiv] 2026-07-14 | Astra: an open-source fully autonomous robotic observatory control software
[arXiv] 2026-07-14 | Host-Parasitoid Dynamics and Biological Control of the Sugarcane Borer
[arXiv] 2026-07-14 | Deep4ge: DNN Training Trajectories for Fault Detection and Diagnosis
[arXiv] 2026-07-14 | Metrics on triangulated categories and their enhancements
[arXiv] 2026-07-14 | Unveiling Complex Collective Behaviors from Simple Rewards
[arXiv] 2026-07-14 | ChartGenEval: Corruption-Tested Multi-Dimensional Feedback for Rhythm-Game Chart Generation
[arXiv] 2026-07-14 | Phase Angle and Effective Second-Harmonic Generation Coefficient in Uniaxial Crystal
[arXiv] 2026-07-14 | Angular distribution of $Λ_c^+ \to Λ^*_{1405/1520}(\toΣπ)\ell^+ν_\ell$ and implications for form factors
[arXiv] 2026-07-14 | Inferring 3D Coronal Magnetic Fields Through Seismology Assisted Inversions of $IQU$-only Spectropolarimetric Observations
[arXiv] 2026-07-14 | The exact region determined by Kendall's tau, Spearman's footrule and Blomqvist's beta
[arXiv] 2026-07-14 | Reproducible Reservoir Computing with Thermally Driven Superparamagnets: Controlling Temperature Sensitivity
[arXiv] 2026-07-14 | Breaking Déjà Vu: Independent Auditing of Visual Place Recognition through Vision-Language Reasoning
[arXiv] 2026-07-14 | A Note on Iterated Beatty Sequences
[arXiv] 2026-07-14 | PixelLoop: Shortcut Topological Navigation with Pixel-Level Loops
[arXiv] 2026-07-14 | Accounting for Preferential Sampling Using a Constructed Covariate
[arXiv] 2026-07-14 | UniVR: Thinking in Visual Space for Unified Visual Reasoning
[arXiv] 2026-07-14 | Strain-Tunable Shift Current and Magneto-Optical Kerr Effect in Multiferroic Altermagnet Fe2Mo3O8
[arXiv] 2026-07-14 | Semi-open boundary for random walking shocks
[arXiv] 2026-07-14 | On Agreement Subtrees in Multiple Pylogenetic Trees
[arXiv] 2026-07-14 | HSEmotion Team at the 11th ABAW Challenge: Multi-Task Learning and Ambivalence/Hesitancy Video Recognition
[arXiv] 2026-07-14 | A genetic algorithm for peer-review panel composition
[arXiv] 2026-07-14 | Practical Judgment, Virtue, and Intuition in the Use of Opaque AI-Enabled Systems
[arXiv] 2026-07-14 | Twist Engineering for Reconfigurable Optical and Optoelectronic Devices
[arXiv] 2026-07-14 | Hallo4D: Multi-Modal Hallucination Mitigation for Consistent Spatio-Temporal Generation
[arXiv] 2026-07-14 | Traceable In Situ Microwave Power Measurement at the Cryogenic Device Plane in a Dilution Refrigerator
[arXiv] 2026-07-14 | Positional Attention-based Graph Neural Network for Learning Permutation Non-equivariant Wireless Policies
[arXiv] 2026-07-14 | Magnetic field-driven phase switching in the antiferromagnetic Mott insulator Ca$_3$(Ru$_{0.99}$Ti$_{0.01}$)$_2$O$_7$
[arXiv] 2026-07-14 | Aïra: Rethinking AI Research Assistants for Interdisciplinary Science
[arXiv] 2026-07-14 | High-Precision Hybrid FA-PSO Based Inversion of Building Material Parameters for Fundamental Wireless Performance Evaluation
[arXiv] 2026-07-14 | Standard basis operator method for ground-state and temperature properties of single and two-component Bose-Hubbard model
[arXiv] 2026-07-14 | Learning to Forget: Satiation-Aware Long-Sequence Transducers for Mitigating Post-Purchase Redundancy
[arXiv] 2026-07-14 | Are gate-all-around 2D CFETs the optimal architecture for the A2 node and beyond?
[arXiv] 2026-07-14 | AutoSIFT: Automatic Style Sifting for Controllable Speech Generation with Arbitrary Style Infilling
[arXiv] 2026-07-14 | Label-Decoupled Style Augmentation for Domain Generalization in Multi-Label Remote Sensing Scene Classification
[arXiv] 2026-07-14 | Audio Diarization: A New Paradigm for Exploring Audio Recordings with Unknown Event Classes
[arXiv] 2026-07-14 | Shock solutions for the one-dimensional information geometric regularization of compressible flow
[arXiv] 2026-07-14 | Signatures of $X_{17}$ through Coherent Elastic Solar Neutrino-Nucleus Scattering in Direct Detection Searches
[arXiv] 2026-07-14 | High-frequency magnetotransport in LaMnO3 samples synthesized by microwave irradiation versus conventional heating
[arXiv] 2026-07-14 | Entanglement and Optical Nonreciprocity in spontaneous Raman Scattering
[arXiv] 2026-07-14 | Emergent exchange bias in ultra-thin La0.67Sr0.33MnO3 films driven by ferro-antiferromagnetic phase coexistence
[arXiv] 2026-07-14 | Towards Vision-Free CIR: Attribute-Augmented Scoring and LLM-Based Reranking for Zero-Shot Composed Image Retrieval
[arXiv] 2026-07-14 | From stable periodic orbits to many-body chaos: doubly tunable prethermalization via engineering of an emergent band structure
[arXiv] 2026-07-14 | Alignment of the Milky Way and M31 with their cosmic environment. New insights from constrained Local Group simulations
[arXiv] 2026-07-14 | Neutrino superradiance constraint on asteroid-mass PBH Dark Matter and beyond
[arXiv] 2026-07-14 | A FLASH HI absorption search in compact sources in the pilot ASKAP interplanetary scintillation field
[arXiv] 2026-07-14 | Inclusive P-wave Quarkonium Decay Widths from Lattice QCD and pNRQCD
[arXiv] 2026-07-14 | Deep Learning-based Surrogate Modelling of the LOD Method for Multiscale Problems
[arXiv] 2026-07-14 | Fractionalized Fermi liquids with the ghost-Gutzwiller Ansatz
[arXiv] 2026-07-14 | Antiproof: Synthesizing Vulnerability Detectors and Proofs of Exploitability
[arXiv] 2026-07-14 | Foundational Constraint Solving for Expressive Refinement Typing
[arXiv] 2026-07-14 | Constraining the High-Density Equation of State with Present and Future NICER Observations Using Physics-Informed Regularized Machine Learning
[arXiv] 2026-07-14 | Unitary Synthesis with Near-Optimal T-Count for Near-Clifford Unitaries
[ACM] 2026-7-14 | Assets in Motion (AIM) - Injecting life into a static and linear asset building process
[ACM] 2026-7-14 | Pashboard: Modernizing Rez for Animation
[ACM] 2026-7-14 | RAMP: Robust Ad Recommendation Under Limited Personalized-Feature Availability via Masking and Alignment Pathways
[IEEE] 2026-7-14 | Author Index
[IEEE] 2026-7-14 | 2026 IEEE 6th International Conference on Smart Information Systems and Technologies (SIST)
[IEEE] 2026-7-14 | Ka-Band Rectangular Micro-Coaxial-Line Bandpass Filters With CT Coupling Topologies for Satcom Application
[IEEE] 2026-7-14 | Modulation of Carbon-Doped Buffer on the DC and Small-Signal Characteristics of AlGaN/GaN HEMTs on Si
[IEEE] 2026-7-14 | Crystal-Face-Dependent Electron Mobility Due to Distinct Interface Trap Distributions in SiC n-Channel MOSFETs
[IEEE] 2026-7-14 | Finite Element Analysis of Core Loss Under High-Low Frequency Composite Wave Excitation
[IEEE] 2026-7-14 | Physically Informed Generalized Graph Signal Reconstruction for DoA Estimation in Switch-Based Hybrid Arrays
[IEEE] 2026-7-14 | From Virtual Live Entertainment to Real-Time Telepresence: Interoperable and Latency-Aware End-to-End Avatar Pipelines
[IEEE] 2026-7-14 | Generalized Udwadia–Kalaba-Based Robust Control for Humanoid Robot Lower Limbs Under Comprehensive Constraints
[IEEE] 2026-7-14 | SMP-RCR: A Sparse Multipoint Moment Matching Method for RC Reduction
[IEEE] 2026-7-14 | Beyond Carving: Deterministic Deleted File Recovery in Btrfs
[IEEE] 2026-7-14 | A series pulse multiplication circuit to reduce the autotransformer rectifier input current THD of electric-powered aircraft
[IEEE] 2026-7-14 | A Coupling Matrix Assisted Multi-Objective Optimization Scheme for Filters With Arbitrary Topology
[IEEE] 2026-7-14 | Bias correction of satellite precipitation products near the data-scarce region of Al-Ahsa, Saudi Arabia_supp1-3708749.docx
[IEEE] 2026-7-14 | Optimal Techno-Economic Assessment of Battery–Hydrogen Hybrid Energy Systems Using Genetic Algorithms and LSTM-Based Solar Forecasting
[IEEE] 2026-7-14 | Interference in Spectrum-Sharing Integrated Terrestrial and Satellite Networks: Modeling, Approximation, and Robust Transmit Beamforming
[IEEE] 2026-7-14 | An Autonomous Flight System for Small-Sized Drones Using Circular Buffered Hash Data Structure
[IEEE] 2026-7-14 | Environment-Aware Path Loss Prediction Using Panoramic Images for Vehicular Communications
[IEEE] 2026-7-14 | Evaluation on the AC Copper Loss of an Axial Flux Vernier Machine with Different Winding Layouts
[IEEE] 2026-7-14 | Multimodal Fusion of EIS and Fiber-Optic Features for Cross-Chemistry SOC Estimation
[IEEE] 2026-7-14 | Universal Framework for Integrating New Concepts Into Ontologies Across Multiple Domains
[IEEE] 2026-7-14 | Design and Performance Assessment of Intermediary Coils for Misalignment Tolerance Improvement in Wireless Power Transfer Systems
[IEEE] 2026-7-14 | Electric Engine Technology Review in eVTOL Aircraft for Transportation Electrification
[IEEE] 2026-7-14 | Scalable User Admission Control in Large-Scale Cell-Free Massive MIMO
[IEEE] 2026-7-14 | A Deep Learning Model for Anomaly Detection in Video Using Object Segmentation and Localization
[IEEE] 2026-7-14 | Simulation and Optimization of a Hybridized Solar PV-CHP-Biomass Energy System using the Differential Evolution Algorithm
[IEEE] 2026-7-14 | Asymmetric Reliability-Enhanced Scheduler Based on Heterogeneous Cellular Networks in Remote Driving Scenarios
[IEEE] 2026-7-14 | Flying-Wing UAS Multi-Objective Design Optimization via Cross-Entropy Method
[IEEE] 2026-7-14 | Contribution-Aware Coalition Federated Learning in Edge-Assisted Healthcare Monitoring Systems
[IEEE] 2026-7-14 | A Single-Phase Eleven-Level Inverter with Asymmetrical T-Type Structure
[IEEE] 2026-7-14 | Analyzing Discovery Dynamics in Zigbee IoT Networks
[IEEE] 2026-7-14 | Design of a Low-Frequency Enclosed Differential Driver-Pickup Eddy-Current Sensor for Surface Defect Detection in Reformer Tubes
[IEEE] 2026-7-14 | Q-Learning for 3D Coverage in VCSEL-based Optical Wireless Systems
[IEEE] 2026-7-14 | VN-Dict: Lightweight Authenticated Spatial Queries over Hybrid-Storage Blockchain
[IEEE] 2026-7-14 | E-Health: AI based Stroke Prediction with Optimized Active Learning using Fog Computing
[IEEE] 2026-7-14 | Correlation between Magnetism and Stacking in Sr Hexaferrites
[IEEE] 2026-7-14 | Trajectory Tracking Control Design for Autonomous Helicopters with Guaranteed Error Bounds
