[2026-05-16 10:17:45] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-15
正在获取论文...
[IEEE] 2026-5-15 | Bio-Inspired Hybrid Antenna Synthesis for Optimizing 5G Network Slicing in Tripoli’s mmWave HetNet
[IEEE] 2026-5-15 | Edge AI-Powered Real-Time Speed Estimation and License Plate Recognition for Urban Road Safety
[IEEE] 2026-5-15 | Towards Quieter and More Efficient Wind Farms: Multi-Objective Layout Optimization
[IEEE] 2026-5-15 | Enhanced Kidney Disease Classification using a Fine-tuned VGG16 Model for CT Image Analysis
[IEEE] 2026-5-15 | MPPT-Assisted Multilevel Space Vector Modulation for a Three-Phase Switched Capacitor Boost Inverter in Photovoltaic Pumping Systems
[IEEE] 2026-5-15 | Event-Driven Reinforcement Learning Frameworks for Proactive Customer Friction Detection in Large-Scale Digital Platforms
[IEEE] 2026-5-15 | A 0.6V 976nW 93.5dB-SNDR Charge-Pump ADC with 183.6dB-FoMs Using Passive-Reference Boost and NS-Assisted Charge-Balance-Calibration
[IEEE] 2026-5-15 | Portable OpenMP Offloading Across Clusters
[ACM] 2026-5-15 | Research on Information Engine Algorithm for Official Document Approval System
[ACM] 2026-5-15 | Forecasting Global Gold Price Fluctuations Based on ARIMA Time Series Analysis and Neural Network Machine Learning
[ACM] 2026-5-15 | Application research of meteorological data desensitization technology based on differential privacy in Western Big Data Center
[ACM] 2026-5-15 | Research on Intelligent fault diagnosis system of electric Vehicle based on transfer learning
[ACM] 2026-5-15 | Attention-Driven Keyword Extraction for Conversational Retrieval-Augmented Generation
[ACM] 2026-5-15 | Design and Experimental Research on Biped-Wheeled Robots for Complex Environments
[ACM] 2026-5-15 | Hierarchical Perception for Large-Scale Networks: Aligning Topology and Dynamics via Dual-View Contrastive Sampling
[ACM] 2026-5-15 | OccMALA: An Efficient 3D Semantic Occupancy Prediction Method with Linear Complexity for Perception on Autonomous Ground Platforms
[ACM] 2026-5-15 | Visual Multi-Object Tracking in Sports Based on Historical Information Mining
[ACM] 2026-5-15 | PAIR: A Zero-Training Post-Processing Framework for Pose-Adaptive Identity Refinement in Human Animation Generation
[ACM] 2026-5-15 | Soil Image Recognition: Co-Attention and Multimodal Fusion Network
[ACM] 2026-5-15 | Rich Text to Video Generation: Towards Region-Controllable Synthesis with Spatio-Temporal Coherence
[ACM] 2026-5-15 | Classification of Natural and Non-natural Seismic Events Based on Convolutional Neural Network
[ACM] 2026-5-15 | LightPillarNet: Light Pillar Encoding Network for LiDAR 3D Object Detection at the Edge
[IEEE] 2026-5-15 | Performance Comparison of a Dynamic Voltage Restorer Using DQ and PQ Control Methods
[IEEE] 2026-5-15 | Evolution of Deep Learning Techniques and Challenges for Vehicle Trajectory Prediction
[IEEE] 2026-5-15 | Self-Referenced Terahertz Sheet Conductance Determination of Thin Semiconductor Layers in Reflection and Transmission Geometry
[IEEE] 2026-5-15 | Anticipating Human Hand Grasps for Enhanced Interaction: A Bayesian Approach to Negative Latency in Human-Machine Interfaces
[IEEE] 2026-5-15 | BurnDC: A Progressive Propagation Framework for Low Coverage Depth Completion
[IEEE] 2026-5-15 | An Automated CNN–BiLSTM Pipeline for Online Detection of Partial Discharge Pulses from HFCT Measurements with PRPD-Based Experimental Validation
[IEEE] 2026-5-15 | Matching Magneto-Inductive Waves at Discontinuities in One- and Two-Dimensional Structures
[IEEE] 2026-5-15 | A
                    <i>D</i>
                    -Band Planar 2-D Multibeam Modulated Metasurface Antenna Based on Gaussian Non-uniform Modulation
[IEEE] 2026-5-15 | IMRA 2025 Copyright Page
[ACM] 2026-5-15 | An Acoustic Feature Analysis Framework for Predicting Consumer Behavior in E-commerce Live Streaming
[ACM] 2026-5-15 | Research on the Evaluation System of High-Level S&amp;T Self-Reliance and Strength in Large-scale Power Grid Corporation Based on Index Retrieval and OPA
[ACM] 2026-5-15 | A Technology-Driven PLS-SEM Analysis of Platform Quality and Behavioral Intention in Vietnamese Higher Education
[ACM] 2026-5-15 | Dynamic Ontology-Enabled Hybrid Reasoning Framework for Multi-Source Construction Data Integration: A Graph Neural Network Approach
[IEEE] 2026-5-15 | Secondary-Level State-of-Charge Balancing Control for Accurate Power Sharing Among Battery Energy Storage Systems in Microgrids
[IEEE] 2026-5-15 | Experimental Evaluation and Analysis of the Impacts of Soiling on Polar-Mounted Photovoltaic (PV) Systems in Denton, Texas
[IEEE] 2026-5-15 | Where AI Load is Located Matters- Economic Impacts and Planning Challenges of Large Loads on Deregulated Wholesale Markets
[IEEE] 2026-5-15 | Interventional Security: A Novel Cyber-Physical Threat-Mitigation Framework for Power-Control Networks
[IEEE] 2026-5-15 | Techno-Economic Comparison of Feeder Capacity Upgrades and Battery Energy Storage System Integration in EV Fast Charging Stations
[IEEE] 2026-5-15 | LP-Based Optimal Scheduling and Closed-Loop Control of Battery Energy Storage Systems
[IEEE] 2026-5-15 | CRB-Based Resource Allocation in Multi-User Uplink Transmissions
[IEEE] 2026-5-15 | Security Enhancement of PKI-Based OTA Update Mechanisms in Software-Defined Vehicles (SDVs)
[IEEE] 2026-5-15 | Design and Development of a Smart Aquaponics System Using IoT
[IEEE] 2026-5-15 | Cardinality-Constrained Portfolio Optimization Using Rao-2 and Grey Wolf Optimizer
[IEEE] 2026-5-15 | Multimodal Classification of Sense-of-Direction in Healthy Individuals Using Trajectory and Head Motion During a Walking-Based Spatial Task
[IEEE] 2026-5-15 | Sonic Sanctuary: An AI-Driven Personalized Music Therapy System for Migrant Mental Health Care
[IEEE] 2026-5-15 | Design and Simulation of Rectangular and Circular Microstrip Patch Antennas and Antenna Arrays at 2.45 Ghz
[IEEE] 2026-5-15 | A New Framework for Model Order Reduction in SISO and MIMO Systems
[IEEE] 2026-5-15 | AI-Augmented Pedagogies: Measuring the Impact of Artificial Intelligence on Cognitive Growth in Secondary STEM Classrooms
[IEEE] 2026-5-15 | Advanced Feature Selection Approach for Accurate Power Transformer Fault Identification
[ACM] 2026-5-15 | Hybrid SRv6 and Reinforcement Learning Routing for Dynamic LEO Satellite Networks
[ACM] 2026-5-15 | Ultrasound Scan line Density Super-Resolution in IQ-Domain with Deep Learning
[ACM] 2026-5-15 | Zero- and Few-Shot Defect Detection in CFRP Manufacturing with Vision-Language Large Models
[ACM] 2026-5-15 | Lightweight Aerial Object Detection Based on an Improved YOLO Framework
[ACM] 2026-5-15 | Precision Bottlenecks and Sensitivity Analysis in LLM QuantizationLLM QUANTIZATION BOTTLENECKS
[ACM] 2026-5-15 | Cost-Aware Ensemble Learning for EuroSAT-Based Land Use and Land Cover Classification
[ACM] 2026-5-15 | Event-Triggered State-Transition Collaborative Continuous Human Learning Optimization
[IEEE] 2026-5-15 | Review for "MARSIM: An End-to-End Clutter Simulation System for Global Mars Subsurface Sounding"
[IEEE] 2026-5-15 | Review for "MARSIM: An End-to-End Clutter Simulation System for Global Mars Subsurface Sounding"
[IEEE] 2026-5-15 | Multi-Modal Multivariate Forecasting of Recoverable LDG in Steelmaking: A Comparative Study of LSTM and Ensemble GBDT Strategies
[IEEE] 2026-5-15 | High-Sensitivity Hydrogen Detection with Tantalum Metal Hydride-Coated Tilted Fibre Bragg Gratings
[IEEE] 2026-5-15 | A Systematic Literature Review of Machine Learning Methods to Forecast Chlorophyll-a in Lakes
[IEEE] 2026-5-15 | Demonstration of Integrated Sensing and Communications in an ARoF-based Radar System Utilizing Pulse Position Modulation
[IEEE] 2026-5-15 | Zeolitic Imidazolate Frameworks-Modified Plasmonic Sensor with Enhanced Performance for Selectively Detecting Tetracyclines
[IEEE] 2026-5-15 | Table of Contents
[IEEE] 2026-5-15 | CPG-DIL-Based Locomotion Control for Quadruped Robots on Unstructured Terrain
[IEEE] 2026-5-15 | Prompt-Optimization with Contextual Mining for Cross-Modal Image Compression
[IEEE] 2026-5-15 | EEG Analysis with Power Spectral Density, Spectral Entropy, and Alpha/Beta Ratio for Brain State Classification
[IEEE] 2026-5-15 | Research on Active Control of Vehicle Wind Noise Based on Reference Signal Reconstruction
[IEEE] 2026-5-15 | Precision Harvesting Control System for Intelligent Cherry Picking Drones Based on Neural Networks and Visual Servoing
[IEEE] 2026-5-15 | Assessing operative parameters of four different machines for weed management in vineyard
[IEEE] 2026-5-15 | FNNS-EC: Federated Non-performing-node-resilient Neural Selector with Energy Constraints
[IEEE] 2026-5-15 | Network Traffic Anomaly Detection Based on Echo State Network and Support Vector Machine Algorithm
[IEEE] 2026-5-15 | Early Warning of Standby Transitions from Weather and Power Logs
[IEEE] 2026-5-15 | Optimizing Thermal Comfort and Energy Efficiency in Tropical Houses: A Case Study on Low-Enthalpy Geothermal Pre-cooling Systems
[IEEE] 2026-5-15 | MEEGET 2025 Author Index
[IEEE] 2026-5-15 | Real-Time Monitoring of Supraharmonic Emissions in Low-Voltage Electric Equipment up to 150 kHz Frequency Range
[IEEE] 2026-5-15 | Analysis of Convolutional Neural Networks on Real-Time Multi-Core Embedded Platforms
[IEEE] 2026-5-15 | Explaining Arabic Sign Language Recognition: A YOLOv11 and Transformer Hybrid Model with Grad-CAM Visualizations
[IEEE] 2026-5-15 | Contribution to the methodology of representing discontinuities: ideal and realistic approaches
[IEEE] 2026-5-15 | A 63.9-aF 17.6-bit Adaptive-Load and Configurable Zoom Capacitance-to-Digital Converter with 43.3-pF Range
[IEEE] 2026-5-15 | Design and Simulation of Thermal Management Systems for Charging Piles of New Energy Vessels under Inland Waterway Conditions
[IEEE] 2026-5-15 | Research on the Application of Speech Recognition in Marine Engine Room Simulator
[IEEE] 2026-5-15 | Transformer Online Parallel Fault Diagnosis Method Based on Restricted Boltzmann Machine
[IEEE] 2026-5-15 | Deep Learning for Skin Disease Classification Using CNNs and Transfer Learning
[IEEE] 2026-5-15 | Automated Lung Cancer Diagnosis using a ResNet-50 based Deep Learning Framework
[IEEE] 2026-5-15 | Air Quality Prediction Using Communication-Efficient Federated Learning with Compressed Deep Learning Models
[IEEE] 2026-5-15 | 50-GBaud+ VCSEL-Based Co-Packaged Optical Links: An Overview of Circuits and Systems
[IEEE] 2026-5-15 | A 25GS/s Single Track and Hold with 65GHz Bandwidth Featuring 38.8dB SNDR and 50.6dBc SFDR at 50.7GHz Input in 22nm CMOS
[IEEE] 2026-5-15 | An Online Trajectory Modulation Control Method Based on Interaction Intention Recognition
[IEEE] 2026-5-15 | A Dynamic-Active Static-Sleep 18T Flip-Flop Supporting Retentive Clock Gating in 28nm CMOS
[IEEE] 2026-5-15 | LRCF-UNet: A Dual-Encoder Photovoltaic Panel Segmentation Network Based on Hybrid Edge Priors
共写入 1000 条记录，保存到 papers/paper2026-05-15.json。
论文获取成功，文件路径: papers/paper2026-05-15.json
正在筛选、翻译并发送邮件...
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 1/1000 | Bio-Inspired Hybrid Antenna Synthesis for Optimizing 5G Network Slicing in Tripoli’s mmWave HetNet
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 2/1000 | Flow-Guided ConvLSTM with Quality-Aware Reconstruction for Learned Video Compression
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 3/1000 | P-MEE: A Prompt-Guided Multimodal Dynamic Early Exiting Method for Intent Recognition
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 4/1000 | Trend-Aware Time Series Forecasting via Frequency-Enhanced Inverted Architecture
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 5/1000 | The Optimal Solution of the Economic Load Dispatch Problem Using an Improved Gradient-Based Optimization Algorithm
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 6/1000 | Personnel Intelligent Control in Pumped Storage Power Station Construction Based on Digital Twin Technology
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 7/1000 | Litchi-PestDet: An Efficient Litchi Disease and Pest Detection Algorithm Based on Deep Learning
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 8/1000 | Synergistic Copper Sequestration by SA/PEI/GO Hydrogels: Chemisorption-Driven Langmuir Kinetics
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 9/1000 | Design and Implementation of Cloud-Ground-End Collaborative Zero-Trust Security Architecture for Industrial Drones
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 10/1000 | IoT-Integrated Smart Monitoring of Buck-Boost Converter Performance in Multi-Voltage Battery Systems
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 11/1000 | Design of a Compact Diamond-Shaped MIMO Antenna with Enhanced Isolation Characteristics Using Hybrid DGS and EBG Techniques
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 12/1000 | Research on Pipeline Risk Event Recognition Algorithm Based on CNN-Swin Transformer
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 13/1000 | Indian Currency Recognition with Audio Feedback for Visually Impaired People Using YOLOv5
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 14/1000 | AI Based Irrigation and Weather Forecasting System Using Lorawan
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 15/1000 | Fault Diagnosis of TRD Machine Based on TimeGAN-LSTM-LightGBM
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 16/1000 | An Improved DEIM-Based Algorithm for X-Ray Prohibited Item Detection
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 17/1000 | Robust Trajectory Tracking Control for Quadrotor UAV Based on Adaptive Dynamic Programming and Finite-Time Observer
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 18/1000 | CNC-MIND: An Explainable Multi-Task Digital Twin for CNC Machining
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 19/1000 | A Framework for Deep Reinforcement Learning-Based Assembly Sequence Planning of Aircraft Tube
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 20/1000 | A Highly Sensitive and Robust Electrochemical Biosensor with Anti-Adhesion Property for BK Virus Detection
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 21/1000 | Objective No-Reference Error Estimation at the Macroblock Level for Compressed Videos
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 22/1000 | Aphrophoridae Foam Detection using YOLOv11 for Sustainable Management of Xylella Fastidiosa Vectors
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 23/1000 | Multi-Index Vegetation Monitoring and Stress Detection for Smallholder Rice Farms in Telangana Using Sentinel-2
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 24/1000 | Non-Invasive Thermal Monitoring of Dairy Cows’ Core Body Temperature with Multi-Modal Sensing
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 25/1000 | Synergistic Component Engineering and Surface Modification to Regulate the Crystallization Kinetics and Photovoltaic Performance of Perovskite Materials
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 26/1000 | Lab-on-Chip Acoustic Detection Platform: Design, Fabrication and Performance Evaluation
判定相关性时出错： Error code: 401 - {'error': {'message': "Team not allowed to access model. Team=AI_PRD_SELF-qYEvLWAiLZhGpqUYkxAfgwRdAW22qBiHBelvsHGZmI0, Model=Qwen3-235B-A22B-Instruct-2507. Allowed team models = ['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash']", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 27/1000 | A Data-Driven Clustering Analysis of Multi-Energy Load Profiles for Typical Scenario Extraction in Renewable Energy Systems
