[2026-07-14 10:47:47] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-13
正在获取论文...
[arXiv] 2026-07-13 | Fundamental Limitations of Fixed-Budget Best-Arm Identification
[arXiv] 2026-07-13 | Beyond Semantic IDs: Encoding Business-Value Ranking into Document Identifiers for Generative Retrieval
[arXiv] 2026-07-13 | Performance evaluation of branch-free fused multiply-add algorithms for multi-component-type multiple-precision floating-point arithmetic
[arXiv] 2026-07-13 | TerraRepair: A Tool-Grounded LLM Agent for Infrastructure-as-Code Repair
[arXiv] 2026-07-13 | Stabilize-then-optimize: Feedback transformations as preconditioners in optimal control
[arXiv] 2026-07-13 | Computing Tools for Translation-Invariant Total Orders
[arXiv] 2026-07-13 | Extending Decision Maps for Sustainable Safety and Security in Self-Adaptive Systems
[arXiv] 2026-07-13 | Phase synchronization dynamics of two mutually coupled InP lasers in a quantum entropy source
[arXiv] 2026-07-13 | Can third- and fourth-order multipoles plus radial variation of iso-density ellipses explain the observed flux ratios in B1422$+$231? YES, and a lesson learned from a TNG100 lensing galaxy sample
[arXiv] 2026-07-13 | Extending the infrastructure of the BAM code towards resistive general-relativistic magnetohydrodynamics: tests and first applications
[arXiv] 2026-07-13 | Adaptive Krylov Methods for Low-Rank Exponential Integrators
[arXiv] 2026-07-13 | Experimental Observation of Anomalous Complementary Weak Values from Correlated Pairwise Two-State Vectors
[arXiv] 2026-07-13 | Randomization Helps in Online Graph Exploration: Breaking the Deterministic Lower Bound on Cycles
[arXiv] 2026-07-13 | WALOP-South: a four camera one shot imaging polarimeter for the PASIPHAE survey. Paper III -- PSF modelling
[arXiv] 2026-07-13 | Zonal-flow generation and saturation of electromagnetic ion-scale turbulence in tokamaks
[arXiv] 2026-07-13 | Maharam-Pollicott-Ruelle resonances and self-similar translation flows on abelian covers
[arXiv] 2026-07-13 | Cosmic-ray anisotropy: sensitivity of methods and implications for KASCADE data
[arXiv] 2026-07-13 | Sonic black holes with thick horizons in BECs
[arXiv] 2026-07-13 | Many-Body Physics with Rydberg Atoms: Quantum Simulation and Non-equilibrium Dynamics
[arXiv] 2026-07-13 | Multi-Agent Reinforcement Learning for C-V2X RAT Selection
[arXiv] 2026-07-13 | Eigenvalues on spheres
[arXiv] 2026-07-13 | Beyond Sally-Anne: Evaluating Theory of Mind in LLMs using Epistemic Schelling Points
[arXiv] 2026-07-13 | Latent-Identity Tuning in Text-to-Image Personalization Models
[arXiv] 2026-07-13 | Higher-derivative gravitational effective field theories are generically weakly hyperbolic
[arXiv] 2026-07-13 | Decision problem for Hamilton $2$-cycles in $4$-graphs
[arXiv] 2026-07-13 | Reconstructing the kinematics of Laniakea using Type Ia Supernovae
[arXiv] 2026-07-13 | Around Kalikow's theorem on multiple mixing
[arXiv] 2026-07-13 | Optimal operating temperature for industry-compatible silicon spin quantum computing: colder is not necessarily better
[arXiv] 2026-07-13 | Input-Aware Dynamic Backdoor Attack Against Quantum Neural Networks
[arXiv] 2026-07-13 | Anisotropic Dirac-Born-Infeld Inflation with Non-Vacuum Initial States: Primordial Perturbations, Non-Gaussianity, and Observational Constraints
[arXiv] 2026-07-13 | Cycle-World: Mitigating Error Accumulation in Long-term Video World Models via Reverse-Prediction Cycle Consistency
[arXiv] 2026-07-13 | Active Noise Floor Estimation for Reliability-Optimal POMDPs: A Value-of-Noise-Information Approach
[arXiv] 2026-07-13 | Tutorial for Bayesian Factor Models
[arXiv] 2026-07-13 | Lifting Symplectomorphism Group Actions on Bi-Lagrangian Structures to the Whitney Sum
[arXiv] 2026-07-13 | Quantum Latin Squares of Order Six with Cardinalities Nineteen, Twenty-One, and Twenty-Three
[arXiv] 2026-07-13 | StoryTeller: Training-Free Narrative Grounding for Long-Form Audio Description
[arXiv] 2026-07-13 | Unconventional Spin Valve Based on Normal Metal/Chiral Molecule/Altermagnet Junctions
[arXiv] 2026-07-13 | A Torsion-free Supersoluble Group with Trivial Outer Automorphism Group
[arXiv] 2026-07-13 | Existence and vanishing noise limit of measure attractors for McKean-Vlasov $p$-Laplacian lattice systems with delay driven by Lévy noise
[arXiv] 2026-07-13 | Synchronized Three-Dimensional Vocal-Tract Motion for Speech Synchronization via Joint-Embedding Predictive Architecture Alignment
[arXiv] 2026-07-13 | Evaluating RE Practices for Explainability: Synthesizing Insights from Daimler Truck into an Explainable RE Framework Proposal
[arXiv] 2026-07-13 | AutoSLO: Practical Latency SLOs on Cloud Data Warehouses -- Extended Version
[arXiv] 2026-07-13 | Higher-Order Cell Tracking Transformer
[arXiv] 2026-07-13 | Paradoxes of Game Theoretic Equilibria and Price of Anarchy
[arXiv] 2026-07-13 | Denjoy examples of class $C^1$ with affine dynamics outside the invariant Cantor set
[arXiv] 2026-07-13 | Near-Optimal Embeddings of Constant-Dimensional Subspaces of $L^p$ into $\ell_p^N$
[arXiv] 2026-07-13 | DeepRT Engine: A Unified GPU-Parallel Ray-Tracing Framework with Hybrid SBR-IM Path Search for 6G Digital Twin Channel
[arXiv] 2026-07-13 | Robust nuclear hyperpolarization of small molecules through intermolecular transfer of parahydrogen-derived polarization
[arXiv] 2026-07-13 | Thermodynamic bound on the Fano factor of a coherent thermoelectric heat engine
[arXiv] 2026-07-13 | Agent Hacks Agent: Autoresearch for Production-Agent Red-Teaming
[arXiv] 2026-07-13 | Calibrated Horizon-Weighted Local Projection Designs for Markov Switchbacks
[arXiv] 2026-07-13 | From World Action Models to Embodied Brains: A Roadmap for Open-World Physical Intelligence
[arXiv] 2026-07-13 | Automated Synthesis of Facial Mechanisms for Conversational Animatronic Robots
[arXiv] 2026-07-13 | A stochastic Fokker--Planck equation for the mean-field limit of a population of noisy integrate-and-fire neurons
[arXiv] 2026-07-13 | From Prompt Engineering to Epistemic Prompting: Prompt Trajectories as AI-Mediated Problem Framing in Science Education
[arXiv] 2026-07-13 | ABot-3DWorld 0: A Universal World Model to Explore Any 3D Space
[arXiv] 2026-07-13 | Multi-Stage Mamba-Based Architecture for Fast and Scalable Superconducting Qubit Readout
[arXiv] 2026-07-13 | Trajectory Planning and Certification for 3-DOF Robot Manipulators Using Real Quantifier Elimination Based on Comprehensive Gröbner Systems
[arXiv] 2026-07-13 | Feature-Space Guided Diffusion for Realistic Ultrasound Image Synthesis
[arXiv] 2026-07-13 | Notes on the bootstrap of four-point conformal integrals
[arXiv] 2026-07-13 | Holographic Timelike Entanglement and Subregion Complexity in Localized AdS3*S3*T4 Black Holes
[arXiv] 2026-07-13 | From Circuits to Hardware: Benchmarking Standard and Qubit-Efficient Quantum Optimization on Real Hardware
[arXiv] 2026-07-13 | Markov Chain Monte Carlo with Diffusion Paths
[arXiv] 2026-07-13 | Photoconductive nonpolar liquids based on azobenzene
[arXiv] 2026-07-13 | Dense-codense expansions of quasiminimal pregeometry structures
[arXiv] 2026-07-13 | Mizzle: A Complete Concurrent Incorrectness Logic for Preventing False Alarms in Agentic Bug Finding
[arXiv] 2026-07-13 | Sectional Curvature and Structural Functions of a Two-Dimensional or Three-Dimensional Lorentzian Manifold
[arXiv] 2026-07-13 | Multi-rotating black holes with non-aligned angular momenta in 5D Kaluza-Klein theory
[arXiv] 2026-07-13 | Auditing the Risk Claims of Distributional Reinforcement Learning
[arXiv] 2026-07-13 | WarpMPC: Large-Batch MPC on GPU via ADMM with Unrolled $LDL^\top$ Factorization
[arXiv] 2026-07-13 | Linearity, Nonlinearity and Universality of Regge Trajectories in Light Mesons: a Statistical Approach
[arXiv] 2026-07-13 | TRSMScans
[arXiv] 2026-07-13 | ERR@HRI 3.0 Challenge: Multimodal Detection of Errors and Anticipation in Human-Robot Interactions
[arXiv] 2026-07-13 | Heuristic Learning for Active Flow Control Using Coding Agents
[arXiv] 2026-07-13 | Linux disk encryption and self-encrypting drives -- A case study on Opal2 drives security
[arXiv] 2026-07-13 | MonkeyOCRv2: A Visual-Text Foundation Model for Document AI
[arXiv] 2026-07-13 | Ray and end spaces: characterizations and classification up to homeomorphism
[arXiv] 2026-07-13 | Drill-bit-inspired dynamic focal fields for augmented laser materials processing
[arXiv] 2026-07-13 | AT2019ijn: a fast-rising, slow-decaying blue optical transient with exceptionally bright radio emission
[arXiv] 2026-07-13 | An improved moment QCD sum rule
[arXiv] 2026-07-13 | Introducing entropy measures to PK/PD models in propofol anesthesia as a replacement of BIS
[arXiv] 2026-07-13 | Stripe-Ordered Altermagnetism Emerging from Correlation-Driven Spin-Density-Wave Instability
[arXiv] 2026-07-13 | HermesHFL: Incentive-Compatible Hierarchical Federated Unlearning for Dynamic LLM Fine-Tuning
[arXiv] 2026-07-13 | Capturing the calendering U-shape in lithium-ion electrode thermal conductivity
[arXiv] 2026-07-13 | Dynamics and observational signatures of warm Dirac-Born-Infeld inflation with nonminimal derivative coupling
[arXiv] 2026-07-13 | On Inverse scattering for the nonlocal nonlinear Schrodinger equation with slowly decaying data
[arXiv] 2026-07-13 | Agentic Skill Optimization over Lie Algebroids
[arXiv] 2026-07-13 | AtomFlow: An End-to-End FPGA-Based Control Architecture for Neutral Atom Quantum Computers
[arXiv] 2026-07-13 | Surface charge density of current-carrying conductors: An exact analytical solution for infinitely thin wires of arbitrary shape
[arXiv] 2026-07-13 | Superconformal mechanics from N-extended Euler-Calogero-Moser and Calogero models
[arXiv] 2026-07-13 | Feature-based manifold model of actuated wakes
[arXiv] 2026-07-13 | First-Order Methods for Distributionally Robust Constrained Optimization
[arXiv] 2026-07-13 | Ab initio study of $β$-decay and pairing in $N=Z$ nuclei
[arXiv] 2026-07-13 | Comparative Study of ECG Denoising Methods for Wearable Applications
[arXiv] 2026-07-13 | Robust sensor coverage in the presence of spatial obstacles and exclusion zones
[arXiv] 2026-07-13 | UMoE:Unlocking Every Expert in Domain-Specific Training
[arXiv] 2026-07-13 | Direct Primary Beam Correction: Untangling Mutual Coupling in 21-cm Cosmological Experiments
[arXiv] 2026-07-13 | Relational Positioning as a Measurable Risk Object: History-Carried Lock-in and Self-Confabulation in Multi-Turn Human-AI Dialogue
[arXiv] 2026-07-13 | The Ebb and Flow of Multimodal Focus: Scheduling Visual Relay Windows for Grounded VLM Reasoning
[arXiv] 2026-07-13 | Omni-Decision: A Progressive Evidence-State Agent System for Omni-Modal QA
[arXiv] 2026-07-13 | Physics-Aware Conditional SetGAN for Spatially Consistent Multi-User TR 38.901 Channel Generation
[arXiv] 2026-07-13 | Video Transformer for Remote Identity Document Hologram Detection
[arXiv] 2026-07-13 | Efficient, direct calculation of reaction rate coefficients based on a partially rearranged rovibrational Hamiltonian. A full-dimensional case study of the H$_2$ + D $\rightarrow$ HD + H reaction
[arXiv] 2026-07-13 | Quantum algorithms for second-order boundary value problems
[arXiv] 2026-07-13 | Computable Ergodic Optimisation
[arXiv] 2026-07-13 | From Leaves to Clusters: Depth-Efficient SAT-Oracle Synthesis Based on the HRSE Model
[arXiv] 2026-07-13 | Agentic Routing: The Harness-Native Data Flywheel
[arXiv] 2026-07-13 | Xema: Efficient Diffusion Serving through Fine-Grained Memory Management and Auto-Configuration
[arXiv] 2026-07-13 | A refined blow-up analysis of the Brezis-Nirenberg equation and its application: The one-bubble case for $N\geq4$
[arXiv] 2026-07-13 | ToolAtlas: Learning Once, Reusing Everywhere with Tool-Side Memory
[arXiv] 2026-07-13 | Strain-Tuned Nodal Superconductivity in the Charge-Ordered Kagome Metal CsV$_3$Sb$_5$
[arXiv] 2026-07-13 | CA-DGCL: Dynamic Graph Continual Learning via Condensation and Attachment
[arXiv] 2026-07-13 | Desc++: Efficient Descriptor Enhancement for Data Association in Existing Visual SLAM Systems
[arXiv] 2026-07-13 | AgentCheck: A Reproduce-Intervene-Mitigate Workbench for LLM Agents over MCP
[arXiv] 2026-07-13 | When cheap gradients fail: the measurement cost of attacking quantum classifiers
[arXiv] 2026-07-13 | CUST: Clustered Unit-level Similarity Transformer for Lightweight Image Super-Resolution
[arXiv] 2026-07-13 | Energy Calculus: A Compositional Algebra of Energy in Computational Systems
[arXiv] 2026-07-13 | Distance Estimates to Five Bok Globules Using Gaia DR3 Parallaxes and Near-Infrared Photometry: Validation with 3D Dust Maps
[arXiv] 2026-07-13 | Are LLMs Ready for Scientific Discovery? A Capability-Oriented Benchmark for AI Scientists
[arXiv] 2026-07-13 | Neural-network-based reconstruction of spin and orbital angular momentum from X-ray magnetic circular dichroism spectra
[arXiv] 2026-07-13 | Threshold Rounding and Bounded-Degree Boolean MAX 2-CSP
[arXiv] 2026-07-13 | Spectroscopy of low-lying valley states in hot Si/SiGe quantum dots
[arXiv] 2026-07-13 | RetroHolmes: When Semantic Plausibility Fails Retrospective Physical Process Reasoning
[arXiv] 2026-07-13 | BackendForge: Benchmarking Agentic End-to-End Code Generation with Backend Services
[arXiv] 2026-07-13 | PAKE: Learning Whole-Body Loco-Manipulation with Partial Kinematic Embeddings
[arXiv] 2026-07-13 | FSFVE: Few Shot Compressed Face Video Enhancement
[arXiv] 2026-07-13 | GraspGraphNet: Graph-Structured Multi-Embodiment Dexterous Grasp Generation
[arXiv] 2026-07-13 | Learning to Navigate Efficiently with Only 0.58M Trainable Parameters
[arXiv] 2026-07-13 | Investigating $J/ψ$ spin alignment in heavy-ion collisions within a two-component transport model
[arXiv] 2026-07-13 | Reference-Based Face Super-Resolution Using the Spatial Transformer
[arXiv] 2026-07-13 | Wall-scaled eddies and embedded shear layers in high-Reynolds-number moderate adverse-pressure-gradient boundary layers
[arXiv] 2026-07-13 | Domain Extension of Lock-Freedom and Wait-Freedom for Group Computations
[arXiv] 2026-07-13 | Ferroelectric--Superconducting Interaction in Epitaxial YBa2Cu3O7-δ/BaTiO3 Films
[arXiv] 2026-07-13 | Ubiquity of counterexamples to the Smith-Ward problem
[arXiv] 2026-07-13 | Non-Abelian holonomic transformations in digitally coupled acoustic waveguides guided by the global adiabatic criterion
[arXiv] 2026-07-13 | TreeSoc: Tree-Structured Dynamic Reasoning and Tool Synergy for Soccer Video Understanding
[arXiv] 2026-07-13 | Fast(er)PM and Moving Mesh: JAX-native Geometric Multigrid Methods
[arXiv] 2026-07-13 | A Space Mission to Earth's Nearest Black Hole: Reality or Science Fiction?
[arXiv] 2026-07-13 | A tight single-change covering design with block size 6
[arXiv] 2026-07-13 | What Causes the Asymmetry of Conjugate Hard X-Ray Footpoints in Solar Flares?
[arXiv] 2026-07-13 | Lattice point counting in Cygan--Korányi balls on Heisenberg groups
[arXiv] 2026-07-13 | Positivity and tails of Jacobi theta series
[arXiv] 2026-07-13 | How a minimal length scale modifies thermodynamics of RN AdS Black Holes?
[arXiv] 2026-07-13 | Efficient Online Proportional Sampling with Applications to Smoothed Online Learning
[arXiv] 2026-07-13 | Classification of some cohomologically $C^0$-stable continuous group actions on metric spaces
[arXiv] 2026-07-13 | TC-MAF: Train-Calibrated Bounded Multi-Evidence Fusion for Multimodal Industrial Anomaly Detection
[arXiv] 2026-07-13 | Finite time blow-up for an inhomogeneous parabolic equation
[arXiv] 2026-07-13 | Group action-stabilizer graph of group actions of a group on a set
[arXiv] 2026-07-13 | NGM-RAG: Neural Graph Matching based Retrieval-Augmented Generation
[arXiv] 2026-07-13 | Construction of Reproducing Kernel Hilbert Spaces Associated with the Laplace--Bessel Operator
[arXiv] 2026-07-13 | AMT-X: Phase-Structured Multi-Turn Red-Teaming with Checklist-Gated Evaluation
[arXiv] 2026-07-13 | Spectra of averages of unitary representations of LCA groups
[arXiv] 2026-07-13 | O5 dark-siren forecasts for modified GW propagation: background robustness of the $Ξ$ posterior
[arXiv] 2026-07-13 | Anysynth:Zero-Shot Instrument Cloning via In-Context Learning and Asymmetric Hierarchical Guidance
[arXiv] 2026-07-13 | A Multiscaling Fingerprint of Earthquake Diffusion in Seismic Swarms
[arXiv] 2026-07-13 | NextFund: A Unified Performance Tracking Platform for Agentic Portfolio Management
[arXiv] 2026-07-13 | Antineutron reconstruction in electromagnetic calorimeters with mixed-representation learning
[arXiv] 2026-07-13 | Optimal tomography of bosonic and fermionic Gaussian states
[arXiv] 2026-07-13 | Representing the Non-dominated Set of Multi-objective Network Problems by Supported Non-dominated Points
[arXiv] 2026-07-13 | Completeness of Logical Atomicity for Linearizability in Concurrent Separation Logic
[arXiv] 2026-07-13 | An Operator-Theoretic Analysis of Nonlinear Filtering under Model Misspecification
[arXiv] 2026-07-13 | EquiFusion: Kinematics-Agnostic Human Motion Prediction via Equivariant Latent Diffusion
[arXiv] 2026-07-13 | Mackeyfication of equivariant categories I
[arXiv] 2026-07-13 | SKooP: Symmetric Koopman Predictions for Faster and More Generalizable Legged Robot Locomotion with Reinforcement Learning
[arXiv] 2026-07-13 | Evolution and Observable Properties of Rocky Planet Atmospheres
[arXiv] 2026-07-13 | TreeThink: A Modular Tree Search Library for Mathematical Reasoning with LLMs
[arXiv] 2026-07-13 | CGS: Configurable Graph Summarization with Bounded Neighborhood Loss and Query Support
[arXiv] 2026-07-13 | Unified Gradient Projection: Language-Balanced Continual Learning for Multilingual Low-Resource ASR
[arXiv] 2026-07-13 | The Environmental Dependence of Halo Intrinsic Alignments: Stronger Signals in Underdense Regions
[arXiv] 2026-07-13 | Real sutured Heegaard Floer homology
[arXiv] 2026-07-13 | Adjoint Bloch--Kato Selmer groups of regular algebraic automorphic Galois representations
[arXiv] 2026-07-13 | Predicting Program Comprehension with Foundation Models of Human Cognition
[arXiv] 2026-07-13 | Wronskian curvature positivity is equivalent to the existence of a holomorphic projective connection
[arXiv] 2026-07-13 | Asymmetry-aided measurement-based quantum repeaters and distributed quantum computing with a decoder-free client
[arXiv] 2026-07-13 | Metacognition in LLMs: Foundations, Progress, and Opportunities
[arXiv] 2026-07-13 | Dynamics of two interacting dipolar two-level systems in a multi-mode electromagnetic cavity: sudden death and revival of the concurrence within the Born-Markov approximation
[arXiv] 2026-07-13 | AeroMELD: A Linear Embedding of Aerosol Populations for Diagnostics and Latent Dynamics
[arXiv] 2026-07-13 | A Psychometric and Practical Comparison of Standard Moodle-Based and STACK-Based Step-by-Step Tests in University Calculus
[arXiv] 2026-07-13 | Splitting the Goldman-Turaev Lie bialgebra along a simple separating curve
[arXiv] 2026-07-13 | Moment-based PPT criteria for random bipartite states
[arXiv] 2026-07-13 | Decomposing Runtime, Kernel, and Quantization Speedups via a Matched FP16 Intermediate: A Hardware-Conditioned Case Study on Four NVIDIA RTX A5000 GPUs
[arXiv] 2026-07-13 | Renormalized Area of Catenoids in the Hyperbolic Space
[arXiv] 2026-07-13 | BackgroundMellow: A Multi-Modal Cohesive Framework for Narrative-Driven Rich Cinematic Soundscape Generation
[arXiv] 2026-07-13 | Boolean queries are all you need?
[arXiv] 2026-07-13 | OpsMem: Dual-Memory Reasoning with Cross-Memory Resonance for Failure Diagnosis
[arXiv] 2026-07-13 | User Preference Induction with LLMs for Offline Top-N Recommendation Evaluation
[arXiv] 2026-07-13 | An asymptotic Sidon basis of order $3-η$
[arXiv] 2026-07-13 | Inter-Stop Energy Prediction and Causal Driver Quantification for Dual-Source Trolleybuses via a Time-Aware Tabular Deep Learning Architecture
[arXiv] 2026-07-13 | From Neural Network Decisions to Training Cases: An Exact Account via Case-Based Decision Theory
[arXiv] 2026-07-13 | Longitudinal Multi-View Breast Cancer Risk Prediction
[arXiv] 2026-07-13 | Fail-Aware and Explainable Test Oracle Prediction
[arXiv] 2026-07-13 | CR-Solver: GPU-Accelerated Kinematics Solver for Tendon-driven Continuum Robots
[arXiv] 2026-07-13 | Low latency data-flow graphs for simultaneous modular inversion of many inputs
[arXiv] 2026-07-13 | Higher degree obstructions to quasiconformal equivalence
[arXiv] 2026-07-13 | PRISM Edit: One Vector for All Temporal Answers
[arXiv] 2026-07-13 | Proximity Measures for Classes of Phylogenetic Networks
[arXiv] 2026-07-13 | Bayesian Inference of Stellar r-Process Abundances
[arXiv] 2026-07-13 | Direct detections of white dwarfs in four WD+dM post-common envelope binaries within 20 pc
[arXiv] 2026-07-13 | Optimal chain density, entropy, and space-time tradeoffs for the TSP
[arXiv] 2026-07-13 | The white dwarf population of open clusters and their tidal tails. Tracers of contamination and stellar interactions
[arXiv] 2026-07-13 | PAC Studio Machine Learning: Human-in-the-Loop Analysis of TDPAC Spectra
[arXiv] 2026-07-13 | A Unified Framework for Comprehensive Cardiac CT Segmentation and Phenotyping: Human-in-the-Loop Data Annotation, Vision Foundation Model Development, Multicenter Evaluation and Clinical Validation
[arXiv] 2026-07-13 | Determination of the Odderon amplitude in elastic cross-sections at high energies from scaling and analyticity
[arXiv] 2026-07-13 | Markov Properties of $k$-Record Processes via Order Statistics
[arXiv] 2026-07-13 | FAD-SA-GRU: Enhancing Hate Speech Detection in Algerian Dialect Through Feature-Augmented Self-Attention GRU Networks
[arXiv] 2026-07-13 | OptFSST: Optimized FSST String Compression
[arXiv] 2026-07-13 | Towards Predictive, Aligned, and Scalable Robot Learning
[arXiv] 2026-07-13 | Trustworthy synthetic data for campaign decision support: strategy simulation fidelity and the PolicySynth framework
[arXiv] 2026-07-13 | Bringing Back Rule Induction to Fluid Intelligence Research? An Initial Validation of the ARC-AGI Benchmark in Humans
[arXiv] 2026-07-13 | GPU-Tile-Sim: A Tile-Centric GPU Simulation Framework for LLM Hardware-Software Co-Design
[arXiv] 2026-07-13 | Collinearly complete sets and finite subgroups from configurations of skew $n$-planes in $\mathbb P^{2n+1}_K$
[arXiv] 2026-07-13 | Deployment of Entanglement-Based QKD in Financial Infrastructure
[arXiv] 2026-07-13 | Pore pressure change during nucleation and slip along experimental faults
[arXiv] 2026-07-13 | Formation of Trapped Surfaces from Spacelike Initial Data
[arXiv] 2026-07-13 | Modular Autonomous Transit: From Vehicle Modularity to Deployment-Ready Transit Operations
[arXiv] 2026-07-13 | SAIL: Perceptual Quality-Aware Rate Control for Cloud Gaming
[arXiv] 2026-07-13 | Courcelle's Theorem in Truly Linear FPT
[arXiv] 2026-07-13 | Anomalous Transverse Response and Multi-Field Ferrialtermagnetic-Ferroelectric Valve with CrSb Flakes
[arXiv] 2026-07-13 | Typhoon intensity ReAnalysis (TyRA)
[arXiv] 2026-07-13 | Quantum Multiscale Modeling: A Hierarchy of Algorithms for Complex Chemical Systems
[arXiv] 2026-07-13 | A Novel Method to Evaluate Models on Unreliable, Noisy and Inconsistent Labels: Adaptive Resolution Label Aggregation (ARLA)
[arXiv] 2026-07-13 | Stop to Decide: Latency-Aware Proprioceptive Navigation Primitives for Mapping-Free Quadruped Inspection
[arXiv] 2026-07-13 | Comparative folding-model study of low-energy elastic scattering and fusion of the $^{12}$C+$^{12}$C and $^{16}$O+$^{16}$O systems
[arXiv] 2026-07-13 | SCALECUA: Scaling Computer Use Agents with Verifiable Task Synthesis and Efficient Online RL
[arXiv] 2026-07-13 | Zero-one laws for uniform approximation via Gaussian and Eisenstein integers
[arXiv] 2026-07-13 | NeuroMem-FHP: A Likelihood-Free Deep Learning Framework for Parameter Estimation of Fractional Hawkes Process
[arXiv] 2026-07-13 | The Path to Self-Evolving Clinical Systems: Scaling Medical Agents from Assistance to Autonomy
[ACM] 2026-7-13 | MORPHEUS: A Multidimensional Framework for Modeling, Measuring, and Mitigating Human Factors in Cybersecurity
[ACM] 2026-7-13 | Beyond Rendering Generation: A Production-Aware AI Co-creation System for Suzhou Ming-Style Furniture Cultural Heritage
[ACM] 2026-7-13 | Hyphae of Kindness
[ACM] 2026-7-13 | Performance Evaluation of a Lightweight Threshold-Based Distributed Encryption Architecture for IoT Data Offloading
[IEEE] 2026-7-13 | Laser-Induced Gettering Enables Substrate-Free 4H-SiC Radiation Detectors
[IEEE] 2026-7-13 | Knowledge Base Identification and Adaptation for End-to-end Semantic Communication
[IEEE] 2026-7-13 | Topology Optimization of Magnetocardiographic Array Based on Cardiac Electromagnetic Simulation Model
[IEEE] 2026-7-13 | NAS-HPO-Bench-II-Plus: A Surrogate Benchmark Dataset toward Practical Scenarios in Joint Neural Architecture Search and Hyperparameter Optimization
[IEEE] 2026-7-13 | iFEMG-Based Muscle Function Assessment for Rehabilitation Monitoring after Knee Anterior Cruciate Ligament Repair Surgery
[IEEE] 2026-7-13 | Calling the Shots: Constraint-Aware Honeypoint Orchestration for Cloud-Native Anomaly Response
[IEEE] 2026-7-13 | LLM-Empowered Agentic MAC Protocols: A Dynamic Stackelberg Game Approach
[IEEE] 2026-7-13 | A Rigid-Flexible Integrated Ankle Dorsiflexion Exoskeleton for Gait Assistance: Design, Control, and Characterization
[IEEE] 2026-7-13 | Design and Sensing Mechanism of Flexible Sensors for Lithium-Ion Battery Energy Storage Safety
[IEEE] 2026-7-13 | A Risk-Based Stochastic Two-Stage Optimization Framework for Virtual Power Plants: The Role of Energy Storage Systems and Demand Response
[IEEE] 2026-7-13 | Bridging Stochastic Interference and Deterministic Scheduling: An Automated Design Framework for Heterogeneous Embedded Systems
[IEEE] 2026-7-13 | A Shank Angle-Based Control System Enables Soft Exoskeleton to Assist Human Non-Steady Locomotion_supp1-3710825.pdf
[IEEE] 2026-7-13 | GLCT: A Novel Global-Local Constraint for Unpaired Image-to-Image Translation
[IEEE] 2026-7-13 | Study of Gas Formation in Essential Oil Mixtures under the Influence of Electrical Discharges
[IEEE] 2026-7-13 | TrustCardio: A Multimodal Large Language Model with Chain-of-Thought Explainability for Personalized Vascular Age Prediction via Edge-Enabled Wearable Devices
[IEEE] 2026-7-13 | Online Force Sharing Function for Radial Force Ripple Suppression of Switched Reluctance Machines
[IEEE] 2026-7-13 | Unsupervised Anomaly Detection in Hospital Financial Statements: A Multi-Algorithm Consensus Approach with Explainable AI
[IEEE] 2026-7-13 | An SIC-Free Dual-Domain RSMA Strategy via AFDM-OFDM Coexistence for 6G Networks
[IEEE] 2026-7-13 | A High Efficiency Twin-Bus Type Quasi-Single-Stage ICPT System for 800V Input, Low Voltage and High Output Current Applications
[IEEE] 2026-7-13 | Enhancing Precision in Light Exposure Monitoring: A Novel Neural Networks-based Spectral Reconstruction Method for Wearable Light Sensors
[IEEE] 2026-7-13 | Low-Complexity Channel Estimation Based on CAZAC Sequence for OTFS Modulation
[IEEE] 2026-7-13 | Real-Time Demonstration of 228.48 Pb/s·km Transmission over 5×80-km 7-Core Fiber with 1.2-Tb/s/λ Transceivers across 12-THz C+L Band
[IEEE] 2026-7-13 | A spectral upsampled optical coherence tomography for a high signal-to-noise ratio at deeper range
[IEEE] 2026-7-13 | Design of a Compact Deuteron RFQ Accelerator for BNCT based on D-
                    <sup>13</sup>
                    C reaction
[IEEE] 2026-7-13 | SymBOL: A General-Purpose Symbolic Learner for Scientific Discovery Using Bayesian Optimization-Enhanced Large Language Models
[IEEE] 2026-7-13 | A Self-Calibrated Magnetic-Field Detection System Based on AM/FM Dual-Mode Lorentz Force Magnetometer
[IEEE] 2026-7-13 | SeHID: Semantics-enhanced Heartbeat Identification for Robust BCG Monitoring in Arrhythmia Patients
[IEEE] 2026-7-13 | IEEE Magnetics Society Information
[IEEE] 2026-7-13 | Smart City Routing with RPL: Advances in Computational Intelligence and IoT Connectivity
[IEEE] 2026-7-13 | Scaling Vehicle-to-Grid Services in Europe: A Smart Grid Architecture Model
[IEEE] 2026-7-13 | BlackSeaCom 2026 Index Page
[IEEE] 2026-7-13 | Scalable, Secure and Persistent Natural Language Interfaces for SQL Databases
[IEEE] 2026-7-13 | CNN-based classification model for Detecting and differentiation of pneumonia
[IEEE] 2026-7-13 | Fundus Image-Based Diabetic Retinopathy Detection and Grading
[IEEE] 2026-7-13 | Design and Implementation of a Dual Antenna Switching System Based on Signal Quality Estimation Using Software Defined Radio
[IEEE] 2026-7-13 | Robust Automatic Modulation Classification Using RGB Density-Based Constellation Diagram Decomposition
[IEEE] 2026-7-13 | Model Predictive Control Framework of Low-Power DC-DC Boost Converters: Discrete Time Modeling, Predictive Switching, and Performance Analysis
