[2026-07-30 11:08:47] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-07-29
正在获取论文...
[arXiv] 2026-07-29 | ClockRoPE: Random Fourier Rotations for Temporal Routine Modeling
[IEEE] 2026-7-29 | Research on Dynamic Prediction of Construction Schedule Based on TCN-BiGRU-Transformer
[IEEE] 2026-7-29 | Impact of Interaction-Induced Body Movement on Cybersickness in Interactive Virtual Reality Environments
[IEEE] 2026-7-29 | Query-Based Hierarchical Fusion of Multi-Level Visual Features for AIGC Image Quality Assessment
[IEEE] 2026-7-29 | Lightweight Hybrid CNN-based Models for Real-Time ECG Beat Classification in Wearable Devices
[IEEE] 2026-7-29 | AgCl based Optically Transparent and Flexible Beam Forming Reflectarray for Millimeter-Wave Applications
[IEEE] 2026-7-29 | Intelligent Waste Segregation System Leveraging Deep Learning for Smart Urban Sustainability
[IEEE] 2026-7-29 | SACoaL-κ: A Semantic-Driven Coalition Consensus Algorithm for Decentralized Federated Learning
[IEEE] 2026-7-29 | The Curse of Dimensionality: What Lies Beyond the Capabilities of Physics-Informed Neural Networks
[IEEE] 2026-7-29 | Precision Detection of Gastric Cancer Using MCSCN
[IEEE] 2026-7-29 | LEIQ-Assessor: Multi-Dimensional Quality Assessment of Low-Light Enhanced Images via Multi-Task Learning
[IEEE] 2026-7-29 | Adaptive Three-Tier Federated Intelligence for Real-Time Anomaly Detection and Threat Prediction in Resource-Constrained IoT Systems
[IEEE] 2026-7-29 | PVM-UNet3+: Full-Scale Skip Connections Enhanced by Parallel Vision Mamba for Stroke Lesion Segmentation
[IEEE] 2026-7-29 | Comparative Analysis of Machine Learning, Deep Learning, and Transformer Models for Boulder Classification: Insights from a Novel Balanced and Imbalanced Sonar Image Dataset
[IEEE] 2026-7-29 | Asymmetry-Aware No-Reference Video Quality Assessment via Dual-Region Temporal Modeling
[IEEE] 2026-7-29 | Software Defect Prediction and Test Optimization Based on an Improved BiLSTM Network
[IEEE] 2026-7-29 | AccTS: Co-Design of OS Scheduling and System Architecture for Accelerator-Rich SoC
[IEEE] 2026-7-29 | A Machine Learning-Based Method for Retrieving Atmospheric Temperature and Humidity Profiles from FY4B-GIIRS Data
[IEEE] 2026-7-29 | Passive Reduction of Phase Rotation and Doppler Shift on Moving Communication Systems by using Kramers-Kronig Receivers
[IEEE] 2026-7-29 | FLAM: Evaluating Model Performance with Aggregatable Measures in Federated Learning
[IEEE] 2026-7-29 | Invited Industry Session: How to Use QoE in Industry? Experiences and Open Problems
[ACM] 2026-7-30 | Optimal Computation in Anonymous Dynamic Networks
[ACM] 2026-7-30 | 6G-Enabled Real-Time Multimodal Learning Analysis for Remote Education Optimization
[ACM] 2026-7-29 | Network Security Assessment of Automatic Fire Alarm Systems
[ACM] 2026-7-29 | AR-RN: Attentive Residual Relation Network for Few-Shot Automatic Modulation Classification
[ACM] 2026-7-29 | MoCo-DRG: Patch and Image-Level Self-Supervision for Generalizable Diabetic Retinopathy Grading
[ACM] 2026-7-29 | Adaptive State-Dependent Integration for Efficient And Scalable Simulation of the Izhikevich Neuron Model
[ACM] 2026-7-29 | Med-HEAL: Analyzing and Mitigating Hallucinations in Medical LLMs with Hallucination-Aware In-Context Learning
[ACM] 2026-7-29 | Efficient Imputation for Patch-Based Missing Single-Cell Data via Cluster-Regularized Optimal Transport
[ACM] 2026-7-29 | From Generation to Reasoning: Chain-of-Thought Guided Merge Conflict Resolution
[ACM] 2026-7-30 | High Dimensional Procedural Content Generation
[ACM] 2026-7-30 | An Exploration of Collision-based Enemy Morphology Generation
[ACM] 2026-7-30 | Performance Of Large Language Models As Hearthstone Agents
[IEEE] 2026-7-29 | A Bootstrap Estimator for Stirring Bandwidth of a Frequency-Stirred Reverberation Chamber
[IEEE] 2026-7-29 | A Tightly Coupled LiDAR-Inertial Localization Method for High-Speed Trains
[IEEE] 2026-7-29 | An Efficient Visual Measurement Method for Integrated Circuit Surface Text via Lightweight Spatial Modeling
[IEEE] 2026-7-29 | Untangling Intricate Dependencies: Characterizing and Resolving Software Package Dependencies
[IEEE] 2026-7-29 | Consistent Hashing and Mahalanobis Distance-Based Swarm Learning for Collaborative Caching in Digital Twin Industrial IoT_supp1-3717315.docx
[IEEE] 2026-7-29 | Vis2Touch: Perceptually Grounded 3D Printing of Visual Art With AI-Driven Depth and Texture Estimation
[IEEE] 2026-7-29 | Multi-Frame Track-Before-Detect Algorithm for Radar Range Spread Targets_supp1-3717767.pdf
[IEEE] 2026-7-29 | SPA-Net: Skeletal-to-Whole Point Cloud Completion Via Progressive Off-attention Neighboring Feature Aggregation
[IEEE] 2026-7-29 | LLM-Enabled Low-Altitude UAV Natural Language Navigation via Signal Temporal Logic Specification Translation and Repair
[IEEE] 2026-7-29 | Asynchronous Random Committee Election for Preprocessing in Asynchronous Distributed Key Generation
[IEEE] 2026-7-29 | LLM-Empowered MAPPO for Embodied Cognitive Satellite-Terrestrial Networks with RSMA
[IEEE] 2026-7-29 | A Diagnostic Stress-Test Framework for Exogenous Variable Reliability in Transformer-based Time Series Forecasting
[IEEE] 2026-7-29 | Federated Inter-Bank Default Prediction: Enabling Secure Credit Risk Assessment Without Data Sharing
[IEEE] 2026-7-29 | Unitary-Orbit Collapse and Operator Reproducibility in Bispectral Neural Networks
[IEEE] 2026-7-29 | A Tomato Leaf Disease Recognition Method Based on Parameterized Wavelet-Enhanced MobileNetV3-Small
[IEEE] 2026-7-29 | ConvNeXt-Tiny Powered Deep Learning Framework for Automatic Grading of Handwritten Exams
[IEEE] 2026-7-29 | A Digital Twin–Driven IoT Framework for Human Movement Recognition
[IEEE] 2026-7-29 | Comparative Multi-Model Crop Advisory Framework with Explainability for Precision Agriculture
[IEEE] 2026-7-29 | Enhanced Residual Learning Framework with Grad-CAM-Based Interpretability for Multi-Stage Alzheimer’s Disease Classification
[IEEE] 2026-7-29 | An Efficient Blockchain-based Framework for Secure Electronic Health Record Sharing
[IEEE] 2026-7-29 | PABFL: Secure and Privacy-Aware Framework for Electronic Health Record Sharing in IoMT
[IEEE] 2026-7-29 | Prompt2Point: A Reference-Based Dataset for Dynamic Volumetric Quality Assessment
[IEEE] 2026-7-29 | LLM-based Multilingual Fake News Detection using Cross-Lingual Semantic Alignment and Contextual Reasoning
[IEEE] 2026-7-29 | Technical Implementation of Generative AI-Assisted Programming Course
[IEEE] 2026-7-29 | Manta Ray Optimization based Data Collection Point Selection with Mobile Sink for Secure Routing in WSN
[IEEE] 2026-7-29 | An In-Depth Control of Blockchain Enabled and AI based Security Mechanisms in Distributed WSN-IoT Environments
[IEEE] 2026-7-29 | Crowdsourced Assessment of the Impact of Overlays on Short-Form Video Quality Perception
[IEEE] 2026-7-29 | Design of a Low-Cost IoT-Based Fire-Extinguisher Cylinder Leakage Monitoring System
[IEEE] 2026-7-29 | UVG-GS: Human-Centric Gaussian Splats Dataset for Visual Volumetric Compression
[IEEE] 2026-7-29 | Lightweight Audio–Visual Emotion Recognition with Cross-Modal Gated Attention
[IEEE] 2026-7-29 | A Review of Deep Learning Methods for Morphological Analysis of Hematopoietic Stem Cells in Leukaemia Toward Sustainable Healthcare
[IEEE] 2026-7-29 | Highly Localized Delivery of Microwaves to Quantum Bits with a Scanning Loop Micro-Antenna
[IEEE] 2026-7-29 | Incremental Risk Assessment of Progressive Elder Financial Scams via Instruction-Tuned Small Language Models
[IEEE] 2026-7-29 | A D-Band GaAs pHEMT 2T1R Super-Regenerative Oscillator-Based Sensor Array Using Quench-Controlled Phase-Shifting Technique for Multi-Target Vital Sign Detection
[IEEE] 2026-7-29 | An Explainable Multi-Model Perception Framework for Traffc Signal Warning Systems using YOLOv8
[IEEE] 2026-7-29 | IoT and RFID based Smart Bag for Essential Item Monitoring and Real Time Alerts with Customization for Visually and Hearing Impaired
[IEEE] 2026-7-29 | An Efficient Privacy Amplification Scheme Based on SQH-L
[IEEE] 2026-7-29 | Deep Learning based Lightweight Knowledge Distillation Approach for Diagnosis of Alzheimer’s Disease
[IEEE] 2026-7-29 | A 200-to-257GHz Autodyne FMCW Phased-Array Radar with 2D Beam-Steering in 55nm BiCMOS
[IEEE] 2026-7-29 | A Subjective Quality Database for Human-AI Co-Created Images
[ACM] 2026-7-29 | Research on Federated Learning Algorithms for Perceptual-Semantic Communication in Edge Computing Environments
[IEEE] 2026-7-29 | Millimeter-wave 3D Radar and IR Multimodal Sensing System Enabling AI-based Event Recognition with Enhanced Privacy
[IEEE] 2026-7-29 | Adaptive Malware Detection using Reinforcement Learning
[IEEE] 2026-7-29 | Self-Cooling GaN Power Amplifier Enabled by Harmonic Injection for Scalable High-Density Array Integration
[IEEE] 2026-7-29 | Acoustic Features as Potential Vocal Biomarkers for Multiple Sclerosis
[IEEE] 2026-7-29 | Explainable Graph Neural Network Framework for Digital Transaction Fraud Detection
[IEEE] 2026-7-29 | A Clustered Distribution Based Adaptive Weight MOEA/D for Constrained Multi-Objective Optimization
[IEEE] 2026-7-29 | A Collaborative Version-Controlled Framework for Evolutionary Optimization of AI Prompts
[IEEE] 2026-7-29 | Highly Sensitive Microwave Sensor Based on SIW Using an Axial Capacitive Extension (ACE) with IDC Loaded CSRR for Wrist Pulse Detection
[IEEE] 2026-7-29 | Graph Neural Network-Based Anomaly Detection and Behavioral Modeling for Dynamic Large-Scale Data Streams
[IEEE] 2026-7-29 | Non-Functional Requirements (NFRs) Classification Based on Transformer and RNN Models
[IEEE] 2026-7-29 | Applying federated population-based hyperparameter optimization to server aggregation methods
[IEEE] 2026-7-29 | Selection and Comparative Evaluation of Collaborative Imputation Techniques for Missing Harmonic Data in 10 kV Distribution Areas under Heterogeneous Communication Conditions
[IEEE] 2026-7-29 | Defensive-Pressure-Aware Expected Goals Estimation via Feature-Embedded Feed-Forward Neural Network
[IEEE] 2026-7-29 | DEF-YOLO for Dual-Enhancement Fusion in Road Crack Detection
[IEEE] 2026-7-29 | Guest Editorial: Introduction to the Special Section on Vehicular Digital Twins: Architectures, Communication Protocols, and Applications for Internet of Vehicles Systems
[IEEE] 2026-7-29 | Breast Cancer Detection using Convolutional Approach-based Student-Teacher Model
[IEEE] 2026-7-29 | Automatic Road Damage Detection System and Location Indicator to Government Portal for Immediate Maintenance
[IEEE] 2026-7-29 | Cloud-Native Distributed Data Layer for the Computing Continuum with Integrated Location-Aware Workflows
[IEEE] 2026-7-29 | Few-Shot Meta-Learning for Hallucination-Free Cross-Lingual Prompt Optimization in Low-Resource Indic Languages
[IEEE] 2026-7-29 | Federated Learning for ICU Mortality Prediction: Balancing Accuracy and Privacy in a Multi-Hospital Setting
[IEEE] 2026-7-29 | A Self-Powered Antenna Monitoring System for DAS
[IEEE] 2026-7-29 | 360-FORGE: A CGI Foundry for Omnidirectional Reference Ground-Truth in 360° Annotation Studies
[IEEE] 2026-7-29 | EEG-Driven Implicit Interaction for In-Vehicle Auditory Alerts
[IEEE] 2026-7-29 | Deep Ensemble Framework for Malnutrition Detection using YOLO Feature Extraction and Rf–XGBoost Classification
[IEEE] 2026-7-29 | Accurate Liver Disease Prediction using a Hierarchical Two-Level Ensemble Stacking Model
[IEEE] 2026-7-29 | Design and Performance Analysis of a SRR-Loaded Hexagonal Microstrip Patch Antenna for 12.5 GHz Ku-Band Satellite Communication
[IEEE] 2026-7-29 | Image Rejection and Interference Sensitivity Testing via BER Degradation of Digital Transceivers
[IEEE] 2026-7-29 | Enhancing Cloud Network Security: Utilizing Blockchain for Attack Detection Systems
[IEEE] 2026-7-29 | AI-Powered Product Prediction and Price Comparison System using BERT and LSTM for High Accuracy
[IEEE] 2026-7-29 | Smart Contract Vulnerability Detection using Salp Swarm Optimized Hybrid Attention-Enabled Deep Learning Model
[IEEE] 2026-7-29 | LiDAR-Augmented Wi-Fi Signal Strength Prediction: A Use-Case Study on Industrial AGVs
[IEEE] 2026-7-29 | A Comprehensive Review of Spectrum Sensing Techniques in Cognitive Radio Networks: Recent Advances, Datasets, Challenges and Future Research Directions
[ACM] 2026-7-30 | Adventures in Morphing a Cross-Platform Educational Game
[ACM] 2026-7-30 | Christianity in Horror Videogames: A Qualitative Content Analysis
[ACM] 2026-7-30 | Adaptive Time Delay for Improving Player Experience and Fairness in First-Person Shooter Games with Network Latency
[ACM] 2026-7-30 | "Several Hundred Freaks and No One Else": Practitioner Perspectives on Alternative Controller Design and Development in the MAGFest Indie Arcade Community
[ACM] 2026-7-29 | The Role of Analytics Orientation on Advanced Analytics Adoption in SMEs (Small and Medium-Sized Enterprises)
[ACM] 2026-7-29 | LuaReSym: Recovering Variable Liveness Ranges in Stripped Lua Bytecode via Multi-Stage Static Analysis
[ACM] 2026-7-29 | SQL-Commenter: Aligning Large Language Models for SQL Comment Generation with Direct Preference Optimization
[ACM] 2026-7-29 | Put The “Code” Back in “Code Comprehension Study”
[ACM] 2026-7-29 | CPPJoules: An Energy Measurement Tool for C++
[IEEE] 2026-7-29 | Table of Contents
[IEEE] 2026-7-29 | Privacy-Preserving Attribute-Based Bilateral Access Control with Zero-Knowledge Pre-Verification for IIoT
[IEEE] 2026-7-29 | Sparse Threats, Focused Defense: Criticality-Aware Robust Reinforcement Learning for Safe Autonomous Driving_supp1-3717687.pdf
[IEEE] 2026-7-29 | An Energy-Based Personalized Gait Adjustment Approach for Individuals with Gait Abnormalities During Walking
[IEEE] 2026-7-29 | GPS/BDS continuous network time transfer with estimated satellite clocks
[IEEE] 2026-7-29 | IEEE Control Systems Society Publication Information
[IEEE] 2026-7-29 | IEEE Transactions on Circuits and Systems--I: Regular Papers Publication Information
[IEEE] 2026-7-29 | Provably Secure and Robust Training-Free GIF Steganography
[IEEE] 2026-7-29 | Double-Error Correction With Dual-Stage Hamming Code for On-Die ECCs in High-Speed Memories
[IEEE] 2026-7-29 | ICCMC 2026 Committees
[IEEE] 2026-7-29 | Human Activity Recognition with UWB Radar-Integrated UAV in Cluttered Low-Attitude Space: a Video Swin-Transformer Approach
[IEEE] 2026-7-29 | Table of Contents
[IEEE] 2026-7-29 | IMS RFSA 2026 Author Information Page
[IEEE] 2026-7-29 | MILES: Metric Learning with Expandable Subspace for Pre-Trained Model-Based Class-Incremental Learning
[IEEE] 2026-7-29 | A Three-Mode Low-Voltage-Stress Hybrid Buck-Boost Converter With Continuous Output Current Delivery Applied to Lithium Batteries
[IEEE] 2026-7-29 | Active Movable-Element RIS Assisted Vehicular Semantic Communications: Modeling and Optimization
[IEEE] 2026-7-29 | Enhancing DevSecOps Practices for Secure AI Platforms Using SABSA
[ACM] 2026-7-29 | MkAtt-SDN2GO: A Preliminary Multi-Modal Attention Framework for Human Protein Function Prediction
[ACM] 2026-7-29 | Weakly Supervised Representation Learning for Cross-Ontology Mapping
[ACM] 2026-7-29 | N3C Data Analytics for Attribute Importance and Prediction Tasks
[ACM] 2026-7-29 | PRECISION-Connect: AI-Ready Multimorbidity and SDOH Risk Vectors for Explainable 30-Day Readmission and County-Level Disparity Modeling
[ACM] 2026-7-29 | CACL: Context-Aware Contrastive Learning for Semantic Modeling of Anomalies in EHR Data
[ACM] 2026-7-29 | Quantifying Memorization and Privacy Risks in Genomic Language Models
[ACM] 2026-7-30 | Privacy-Preserving Data Governance and AI Empowerment Platform for Universities Based on 6G Federated Learning
[ACM] 2026-7-29 | Establishing a Baseline of Software Supply Chain Security Task Adoption by Software Organizations
[ACM] 2026-7-29 | RepoMind: Enhancing Repository-Level Code Generation via LLM Reasoning over Structured Repository Documentation
[ACM] 2026-7-29 | Hyalinos: From Type Inference to Community Knowledge
[ACM] 2026-7-29 | Hierarchical Enzyme Classification with Integrated Sequence and Folding‑Derived Representations
[ACM] 2026-7-29 | PNEA-MIL: Interpretable Multiple-Instance Learning for Whole-Slide Images through Positive-Negative Evidence Analysis
[ACM] 2026-7-29 | Robustness and Energy-Aware ECG Classification under Input and Model Compression
[ACM] 2026-7-29 | Exploring User Perspectives on Security and Privacy of Genetic Home Testing
[IEEE] 2026-7-29 | Logical Scalability in Big Data Architectures: Impact of Data Modeling on the Database Layer
[IEEE] 2026-7-29 | Insights into Emerging Blockchain Scalability Approaches Through Layer-2 Solutions and Sharding Mechanisms for High Throughput Decentralised Systems
[IEEE] 2026-7-29 | Design and research on lightweighting Strategies for CLIP-Based Cross-Modal Model
[IEEE] 2026-7-29 | Comparative Study on Sentiment Classification of Chinese Hotel Reviews by Prompt BERT vs. ERNIE
[IEEE] 2026-7-29 | A Multi-Scale Enhanced YOLOv8 Framework for Fine-Grained Agricultural Pest Detection
[IEEE] 2026-7-29 | ChronoMind: A Neural Framework for Logical and Temporal Consistency Verification in Short Stories
[IEEE] 2026-7-29 | DFA-YOLO: Multi-Scale Dilated Fusion Attention for Improved Document Layout Analysis Based on Improved YOLO11
[IEEE] 2026-7-29 | An Efficient Detection Transformer with Discriminative Attention-based Res-Senet Model for Early Plant Disease Detection and Classification
[IEEE] 2026-7-29 | High Accuracy AI Powered Smart Waste Segregation Embedded Systems
[IEEE] 2026-7-29 | InfiTRON: An LLM-Powered Infrastructure for Monitoring, Intervention, and Technology Repair Operations Network
[IEEE] 2026-7-29 | Agent-Driven Customer Retention using Reinforcement Learning and Behavioral Analytics
[IEEE] 2026-7-29 | Application and Research of Gated Loop Unit Based on Arduino Sensors in Plant Prediction
[IEEE] 2026-7-29 | A Multimodal Attention-based Ensemble Approach for Lung Cancer Detection using CT Images and Clinical Data
[IEEE] 2026-7-29 | Edge-based Safety Optimization: Lightweight Fuzzy Integrated Model for Trustworthy AGV Braking
[IEEE] 2026-7-29 | Advancing Cryptographic Implementation Security through Expert-Driven CoT-RAG Architecture
[IEEE] 2026-7-29 | SK-DDI: Structure-Knowledge Dual-Perspective Approach for Drug-Drug Interaction Prediction
[IEEE] 2026-7-29 | Research on the Design of Foam Aluminum Night Lights Driven by Human Factors Data
[IEEE] 2026-7-29 | LungNet++: An Enhanced Deep Learning Framework for Tumor Segmentation
[IEEE] 2026-7-29 | Verifiable Semantic Consensus for AI Agents in Embedding Space
[IEEE] 2026-7-29 | Deep Reinforcement Learning for Dynamic Spectrum Allocation in Cognitive Radio Network
[IEEE] 2026-7-29 | Quantora: A Quantum-Aware Machine Learning Simulator for Enterprise-Scale AI Experimentation
[IEEE] 2026-7-29 | Exam-based Image-Text Logic Consistency Verification via Feature-wise Modulation and Residual Fusion
[IEEE] 2026-7-29 | Prediction of Olympic Event Elimination Based on Machine Learning: Key Indicators and Model Comparison
[IEEE] 2026-7-29 | A Hybrid RP-IoMin based Cancelable Biometric Framework for Secure Authentication
[IEEE] 2026-7-29 | Port Electric Load Forecasting Based on SARIMAX-BiLSTM-CPSO-XGBoost Stacked Ensemble Model
[IEEE] 2026-7-29 | Deepfake Detection using Deep Learning
[IEEE] 2026-7-29 | Sap Ariba vs. Oracle Procurement Cloud for Supplier Audits
[IEEE] 2026-7-29 | Research on Greenhouse Bell Pepper Disease Detection System Based on Edge Computing and Dual-Engine Dynamic Inference
[IEEE] 2026-7-29 | Integrated Energy Prediction, Adaptive Duty Cycling, and Clustering Framework for Solar Energy Harvesting Wireless Sensor Networks
[IEEE] 2026-7-29 | Adaptive Deep Learning Ensemble Framework for Real-Time Network Anomaly Detection
[IEEE] 2026-7-29 | FL-EHDS: A Privacy-Preserving Multimodal Federated Learning Framework for the European Health Data Space
[IEEE] 2026-7-29 | Research on Cross-Domain Integrated Verification and Validation Technologies for Nuclear Safety- Level Data Processing Software
[IEEE] 2026-7-29 | Assessing Personality Consistency in Large Language Models: A Psychometric Framework for Human-Centric Quality of Experience
[IEEE] 2026-7-29 | A Comparative Analysis of Malware Detection Techniques in Encrypted Network Traffic
[IEEE] 2026-7-29 | 2026 IEEE 26th International Symposium on Cluster, Cloud and Internet Computing Workshops (CCGridW)
[IEEE] 2026-7-29 | Environment-Aware Generalized Wireless Localization via Transformer
[IEEE] 2026-7-29 | Socially-Aware Collaborative Task Allocation Algorithms for Mobile Crowdsensing
[IEEE] 2026-7-29 | 90° Broadband Phase Shifter on Weakly Coupled Line Loaded With L-Shaped Networks
[IEEE] 2026-7-29 | CEE-NeRF: Dynamic Neural Radiance Fields With Contrastive Enhanced Expression Representation for 4-D Face Reconstruction
[IEEE] 2026-7-29 | A Multi-Modal Cyclic Peptide Representation Learning Framework for Membrane Permeability Prediction
[IEEE] 2026-7-29 | The Interface Charge Accumulation Characteristics of Factory Joints for Cable under DC Voltage
[IEEE] 2026-7-29 | BERT-HemoPep60: Transformer-based Deep Learning Method with Domain-Adaptive Pretraining for Quantitative Hemolytic Activity Prediction of Peptides_supp1-3717818.pdf
[IEEE] 2026-7-29 | Structure-Aware Attention Prototype Network for Cross-Modality Few-Shot Brain Tumor Segmentation
[IEEE] 2026-7-29 | EffSCG: An Efficient Framework for Real-Time Seismocardiogram Denoising on Resource-Constrained Edge Devices
[IEEE] 2026-7-29 | High Capacity Bitrate-Preserving Video Steganography for HEVC Via Codeword Mapping of CABAC Bypass-Coded Sign Flags
[IEEE] 2026-7-29 | Explainable Rider Behavior Analysis for Powered Two-Wheelers Using Fusion of Physiological and Mobility Data
[IEEE] 2026-7-29 | High-Speed Synchronous Transmission Technology for Three-Phase Three-Channel Wireless Power and Reverse Signal
[IEEE] 2026-7-29 | Investigating Mask-Aware Prototype Learning for Tabular Anomaly Detection
[IEEE] 2026-7-29 | Event-triggered Practical Prescribed-time Consensus Tracking of Second-order Nonlinear Multiagent Systems-A Novel Edge-based Dynamic Memory Approach_supp1-3717665.pdf
[IEEE] 2026-7-29 | IEEE Journal of Quantum Electronics Information for Authors
[IEEE] 2026-7-29 | An Integrated GUM-MCM Framework for Estimating CMCs for Anemometer Calibration in Wind Tunnel
[IEEE] 2026-7-29 | An Embedded Depthwise-Separable Convolutional Network for Surface Tilt Prediction in Space Robotics Using Capacitive Proximity Sensors
[IEEE] 2026-7-29 | Quantum Sensing for Systems-Level Technologies and Applications
[ACM] 2026-7-30 | Friction-Driven Design: A Paradigm for Games for Bildung
[ACM] 2026-7-30 | Vertical Mix Index: A Novel Metric for Vertical Land Use Mix in Procedural City Generation
[ACM] 2026-7-30 | (Re)constructing and (Re)Imagining Archaeological Sites: The Talos Principle's Egypt
[ACM] 2026-7-30 | Deciphering the Hunter's Note: How Digital Game Cultures Cultivate Rituals and Shared Ideologies in Paratextual Spaces
[ACM] 2026-7-30 | Post-Thinking in NPC Dialogue: A Paradigm for Reflective Character Models
[IEEE] 2026-7-29 | Table of Contents
[IEEE] 2026-7-29 | Exploratory Q-Network: A DRL Framework for MOP-based GB-SAR Deployment in Open-Pit Coal Mine Slope Monitoring
[IEEE] 2026-7-29 | Feature Selection Approach Based on Stacked Density Granulation With Principle of Justifiable Granularity
[IEEE] 2026-7-29 | Length-Based Dispatching of Small Language Models On Heterogeneous On-Device Platforms
[IEEE] 2026-7-29 | Multi-scale Spectral Local Contrast Meets 3–D Residual Saliency for Hyperspectral Anomaly Detection
[IEEE] 2026-7-29 | Multi-Platform Bias-Mitigation Pseudolinear Kalman Filter for Bearings-Only Target Tracking under Measurement Constraints
[IEEE] 2026-7-29 | Approximate Analytical Method of Streamer Discharge: Corona Equation and Its State Function
[IEEE] 2026-7-29 | Centimeter-Accurate Tunnel Positioning Using an LCX-Based Multimodal Fusion Method
[IEEE] 2026-7-29 | Spatiotemporal Feature Alignment and Weighted Fusion in Collaborative Perception Enabled by Network Synchronization and Age of Information
[IEEE] 2026-7-29 | IMS RFSA 2026 Index
[IEEE] 2026-7-29 | TMESurv: a Tumor Microenvironment-informed Interpretable Neural Network for Survival Analysis across Multiple Cancer Types
[IEEE] 2026-7-29 | Research on Smart Rural Security Governance System Based on Multi-Modal Perception: A Case Study of Longtou Community in Shantou City
[IEEE] 2026-7-29 | E-Band 2×2 Unit Phased Array with Die-to-Die Stitching Scalability for Wafer-Scale Phased Array Systems
[IEEE] 2026-7-29 | Financial Risk Prediction using LASSO-GBDT Hybrid Modeling with TOPSIS-based Multi-Criteria Evaluation
[IEEE] 2026-7-29 | Automatic Image Captioning for Project Documentation at the ITE
[IEEE] 2026-7-29 | A 4.7 mW, 57–64 GHz Mixer-First Receiver in 22 nm FDSOI for Green Cognitive Radios
[ACM] 2026-7-29 | LLMs for Qualitative Data Analysis Fail on Security-specific Comments in Human Experiments
[ACM] 2026-7-29 | Federated Synthetic Data Generation for Hepatology Research: A UNOS based Evaluation
[ACM] 2026-7-29 | SLAMR: LLM-Augmented Multimodal Learning for Cold-Start Synthetic Lethality Recommendation in Cancer Cell Lines
[ACM] 2026-7-29 | ppLM-CO: Parameter-Efficient Codon Optimization with Frozen Pre-trained Protein Language Model and Guaranteed Translation Fidelity
[IEEE] 2026-7-29 | Autonomous Generative AI Agent for Stock Market Trend Forecasting in Retail Investment Systems
[IEEE] 2026-7-29 | Research on SSVEP Signal Classification Based on CNN-Mamba
[IEEE] 2026-7-29 | Energy-Efficient Federated Learning Approaches for Orbital Edge Computing
[IEEE] 2026-7-29 | EduAI: An Multimodel AI Powered Adaptive Tutoring Platform for Personalized and Inclusive Learning
[IEEE] 2026-7-29 | AI Video Summarization and Content Moderation using Deep Learning
[IEEE] 2026-7-29 | SABER: A Novel Hybrid Model to Detect Stress in Youngsters
[IEEE] 2026-7-29 | Secure and Adaptive Task Offloading in Mobile Cloud Computing: A Blockchain-Enabled Federated Deep Learning Framework with hybrid Optimization
[ACM] 2026-7-30 | Toward a Standardized Collation Sequence for Arabic Words with Special Characters: A Comparative Study of Digital Sorting Systems
[IEEE] 2026-7-29 | Optimized Parallel Computing Framework for Real-Time IoT Data Processing
[IEEE] 2026-7-29 | Attention-Driven Deep Learning Approach for Autism Spectrum Disorder Detection using Eye-Tracking Scanpath Representation
[IEEE] 2026-7-29 | Growing Domain-Specific LLMs Through Federated Split-Phase Learning: System Design and Analysis
[IEEE] 2026-7-29 | Merit-based Club Management Platform: A Transparent System for Student Club Administration
[IEEE] 2026-7-29 | A Lightweight Detection Model of Defect Detection of Wind turbine blades
[IEEE] 2026-7-29 | From Factory of the World to Innovation Powerhouse: A Computational Linguistics Analysis of China’s Manufacturing Policy Attention
[IEEE] 2026-7-29 | Streaming Video QoE Prediction using Key Quality Indicators from Screen Recordings
[IEEE] 2026-7-29 | Low-Latency Hybrid Post-Quantum Secure Access Protocol for Resource-Constrained Terminals
[IEEE] 2026-7-29 | Graph-Enhanced Mamba for Multivariate Time Series Anomaly Detection
[IEEE] 2026-7-29 | Iteratively Calibrated S
                    <sub>11</sub>
                    Thermometry for Microsecond-Scale Intra-Pulse Heating in 96-Well Plates
[IEEE] 2026-7-29 | Robust and Stable Multipath Transmission in Large-Scale LEO Satellite Networks: An Agentic AI-Driven Approach
[IEEE] 2026-7-29 | ICBASE 2026 Breaker Page
[IEEE] 2026-7-29 | Online Li-ion Battery State of Health Estimation during Electric Vehicles Fast Charging: A Comparative Analysis of Advanced Data-Driven Techniques
[IEEE] 2026-7-29 | Category-Level Positive–Negative Prompting for Open-Set Cross-Scene Remote Sensing Image Classification
[IEEE] 2026-7-29 | CMMS-DETR: Cross-Modal Multi-Scale Feature Fusion Network for UAV Remote Sensing Detection
[IEEE] 2026-7-29 | Robust 6-DoF Absolute Visual Localization for UAVs via Deep Homography Estimation
[IEEE] 2026-7-29 | Hierarchical collaborative robust control of fuzzy human-machine systems with optimal human decision
[IEEE] 2026-7-29 | A Novel End-to-End Low-Light Image Segmentation Method and Its Application to Robotic Perception
[IEEE] 2026-7-29 | SparseVLM+: Visual Token Sparsification With Improved Text-Visual Attention Pattern
[IEEE] 2026-7-29 | A Latent Diffusion for Stable Frame Interpolation
[IEEE] 2026-7-29 | Design, Verification and Motion Detection of a Fingerlike 3-DOF Piezoelectric Nanopositioner
[IEEE] 2026-7-29 | Hybrid Honeycomb Piezoresistive Tactile Sensor with Wide Range and High Sensitivity
