[2026-08-07 10:02:11] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-06
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608060000+TO+202608062359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-8-6 | BAGAS: Blockchain-Assisted Group Authentication Scheme for Internet of Drones
[IEEE] 2026-8-6 | Multistatic J-Band Radar TX/RX Chipset in SiGe BiCMOS With Integrated ×16 Frequency Multiplier Chain and High EIRP
[IEEE] 2026-8-6 | A Low-Power Single-Slope ADC Featuring an LSB-Error-Suppressed Double-Data-Rate Counter for CMOS Image Sensors
[IEEE] 2026-8-6 | Detection of metal debris in lubricating oil based on a microstrip resonant sensor
[IEEE] 2026-8-6 | ACSM: Attention-Conditioned Spectral Modulation for Airborne Small Human Detection over Dynamic Water Surfaces
[IEEE] 2026-8-6 | Can event-triggered control improve the $\ell _{2}$ gain of $H_\infty$ optimal periodic control and transmit at a lower average rate?
[IEEE] 2026-8-6 | RWW2027 Call for Space Night Presenters
[IEEE] 2026-8-6 | A single-frequency approach for crack dimension estimation using ECT based on classification and regression fusion
[IEEE] 2026-8-6 | MTT-S Without Borders: Building a Truly Global Microwave Community [President’s Column]
[ACM] 2026-8-7 | Extracting Explainable Temporal Features in Multivariate Time Series Classification Pipelines
[ACM] 2026-8-6 | Modality-Agnostic Zeroth-Order LoRA Fine-Tuning for Black-Box Prompt Optimization
[ACM] 2026-8-6 | EPMD: A Framework for LLM-Enhanced Ad Auctions
[ACM] 2026-8-6 | DeMIC: Decentralized Meta In-Context Learning with Refiner-Guided Adaptation
[ACM] 2026-8-6 | BRP: Query-Efficient Block Revert Patch for Decision-Based Black-Box Adversarial Attack
[ACM] 2026-8-7 | EARTH: Accelerating Spatiotemporal Network K-function-based Analytics
[ACM] 2026-8-6 | Towards Stable, Globally Expressive Graph Representations with Laplacian Eigenvectors
[ACM] 2026-8-6 | Don't Just Encode But See: A Data-Centric Paradigm for Visual Molecular Understanding in Large Language Models
[ACM] 2026-8-6 | Agentic Software Engineering (SE 3.0): The Rise of AI Teammates
[ACM] 2026-8-6 | SWE-Bench Mobile: Can Large Language Model Agents Develop Industry-Level Mobile Applications?
[ACM] 2026-8-7 | Domain-Specific Data Synthesis for LLMs through Minimal Sufficient Representation Learning
[ACM] 2026-8-6 | When to Trust, How to Distill: Multi-Foundation Model Guidance for Lightweight, Robust Scientific Time Series Forecasting
[ACM] 2026-8-6 | Learned Lossless Image Compression with Interleaved Parallel Inference and Irregular Causal Reasoning
[ACM] 2026-8-7 | The Sim-to-Real Gap of Foundation Model Agents: A Unified MDP Perspective
[ACM] 2026-8-6 | Explainable AI for Cancer Drug Response Prediction: Beyond Univariate Feature Attributions
[ACM] 2026-8-6 | Empowering Credit Risk Detection in Weixin Pay with Billion-Scale Deep Graph Learning
[ACM] 2026-8-6 | LC-ERD: Mining Latent Logic for Self-Evolving Reasoning via Consistency-Regulated Reward Decomposition
[ACM] 2026-8-6 | BindCLIP: A Unified Contrastive-Generative Representation Learning Framework for Virtual Screening
[ACM] 2026-8-7 | Agent-Didactic Spaces: Mining Multi-Stakeholder Trade-Offs in Educational Pathway Data
[ACM] 2026-8-6 | GODM: Graph Orthogonal Diffusion Models for Spatio-Temporal Forecasting
[ACM] 2026-8-7 | IPO-Mine: A Toolkit and Dataset for Section-Structured Analysis of Long, Multimodal IPO Documents
[ACM] 2026-8-6 | Formalizing and Mitigating Structural Distortion in LLM Attention for Graph Reasoning
[ACM] 2026-8-6 | Taming Update Drift in Asynchronous Federated Learning via Orthogonal Calibration
[ACM] 2026-8-6 | MUGO: Differentiable Combinatorial Optimization for Causal Variant Discovery in the Non-coding Genome
[ACM] 2026-8-6 | StepFinder: A Temporal Semantic Framework for Failure Attribution in Multi-Agent Systems
[ACM] 2026-8-6 | TRACE: Discovering Task-Specific Parameter via Adaptation-Aware Probing for Continual Fine-Tuning
[ACM] 2026-8-6 | LingxiDiagBench: A Multi-Agent Framework for Benchmarking LLMs in Chinese Psychiatric Consultation and Diagnosis
[ACM] 2026-8-6 | Beyond Isolated Products: Vision-Language Reasoning for Aesthetic Product Recommendation
[ACM] 2026-8-7 | Local Rules, Global Efficiency: Emergent Coordination on Large-Scale Road Networks
[ACM] 2026-8-6 | OmniPhys: Knowledge-Graph-Driven Benchmarking and Collective Optimization for Physical Commonsense in Text-to-Image Generation
[ACM] 2026-8-6 | RepoMod-Bench: A Benchmark for Code Repository Modernization via Implementation-Agnostic Testing
[IEEE] 2026-8-6 | HEVC Video Steganography: A Review
[IEEE] 2026-8-6 | ComSoc Education
[IEEE] 2026-8-6 | Kernel Based Simplex Projection for Multiclass Dimension Reduction
[IEEE] 2026-8-6 | Can We Explain What We Anonymize? On the Impact of Data Anonymization on Post-hoc Model Explanations
[IEEE] 2026-8-6 | EMC Testing Configuration and Performance Assessment for In-Vehicle Cellular Communication Systems
[IEEE] 2026-8-6 | Bluestein-Based DAFT Implementation on FPGA for AFDM Modulation
[IEEE] 2026-8-6 | Minke Whale Whistle Generation for Underwater Biomimetic Communication Using Flow Matching
[IEEE] 2026-8-6 | Applying ML-DSA’s NTT to SMAUG-T Polynomial Multiplication: Feasibility Analysis and Performance Comparison
[IEEE] 2026-8-6 | Network Tomography for O-RAN: Inferring Per-UE Metrics from Aggregate Telemetry
[IEEE] 2026-8-6 | Predictive maintenance for a hydraulic system on a vehicle using LSTM-based autoencoder
[IEEE] 2026-8-6 | A Fast and Accurate Two-Stage Sketch Framework for Heavy Hitter Detection
[IEEE] 2026-8-6 | Channel Estimation for Multi-RIS Wireless Systems: A Brief Taxonomy and Near-Field Perspective
[IEEE] 2026-8-6 | A Model-Free Redundant Manipulator Control Scheme Based on Tikhonov Regularization Cerebellar-Inspired Network
[IEEE] 2026-8-6 | Convergence of Dynamic Regression Extension and Mixing Estimator Under Noisy Measurements
[IEEE] 2026-8-6 | GT²D: Unifying Temporal Dynamics and Spatial Topology for Encrypted Traffic Anomaly Detection_supp1-3711089.pdf
[IEEE] 2026-8-6 | Cross-Modal Temporal Alignment for Action Grounding in Videos
[IEEE] 2026-8-6 | Towards a Neural Foundation Model: A Probabilistic Spike Representation Model to Mitigate Neural Variability
[IEEE] 2026-8-6 | A-LOAF: A Real-Time Acoustic Localization Framework Based on AOA-FMCW Estimation
[IEEE] 2026-8-6 | Message from the Editor-in-Chief
[IEEE] 2026-8-6 | On-Chain Heuristic Dynamic Swarm-based Bi-directional Stacked MLP Framework for Smart Industrial Pollution Mitigation
[IEEE] 2026-8-6 | Intermittency and Persistence of Switching Modes in HfO.-Based Memristors
[IEEE] 2026-8-6 | A 60-V High-Linearity Shunt-Based In-Line Current Sensor With DLL-Assisted Dynamic Body-Biasing and High dV/dt PWM Rejection Up to 2MHz
[IEEE] 2026-8-6 | In-situ coaxial 3D monitoring of LPBF melt pool by a compact biprism-enabled stereo imaging system
[IEEE] 2026-8-6 | RS-Claw: Progressive Active Tool Exploration via Hierarchical Skill Trees for Remote Sensing Agents
[IEEE] 2026-8-6 | Data-driven Maturity Models Development Framework: An Item Response Theory Approach with Digital Transformation Case
[IEEE] 2026-8-6 | DocPure: Prompt-Free Unified Document Restoration via Degradation-Aware Structure-Guided Wavelet Modulation_supp1-3720433.pdf
[IEEE] 2026-8-6 | Global Maximum Power Point Tracking for Photovoltaic Systems under Partial Shading with Minimal Measurement Sets
[IEEE] 2026-8-6 | High-Order Tensorized Across-View Representation for Hyperspectral Image Classification
[IEEE] 2026-8-6 | A Channel Knowledge Map-Driven Two-Stage Coordinated User Scheduling in Multi-Cell Massive MIMO Systems
[IEEE] 2026-8-6 | Topological Optimization of Nanophotonic Devices Based on Gaussian Basis Function Parameterization
[IEEE] 2026-8-6 | Single-Phase Single-Stage Multi-channel PV DC-AC Inverter and Independent MPPT Control Based on AC Power Ripple
[ACM] 2026-8-6 | Global Scheduling of Transient Parameter Materialization for Sharded Training
[ACM] 2026-8-6 | Beyond Holistic Models: Systematic Component-level Benchmarking of Deep Multivariate Time-Series Forecasting
[ACM] 2026-8-6 | A Practical Upper Bound on Selection Bias Effects in Medical Prediction Models
[ACM] 2026-8-6 | Generating Graph-Like Logical Rules for Knowledge Graph Reasoning via Diffusion Models
[ACM] 2026-8-6 | CEDAR: Controlled and Event-Driven Demand Forecasting via Residual Decomposition
[ACM] 2026-8-6 | Prior-Guided Multi-Omic Transformers for Single-Cell Gene Regulatory Network Inference
[ACM] 2026-8-6 | HyperEdit: Mitigating Hallucinations of Large Language Models via Hyperbolic Representation Editing
[ACM] 2026-8-6 | KGA-LM: Representation-Level Grounding for Conversational Search over Knowledge Graphs
[ACM] 2026-8-7 | Decoding Intent from Fragments: Structure-Aware Late Interaction for Concept-Level EEG-to-Text Retrieval
[ACM] 2026-8-6 | Label Annotation for Tabular Anomaly Detection with Large Language Models
[ACM] 2026-8-6 | Large Language Model (LLM) as an Excellent Reinforcement Learning Researcher in both Single-Agent and Multi-Agent Scenarios
[ACM] 2026-8-6 | ManCAR: Manifold-Constrained Latent Reasoning with Adaptive Test-Time Computation for Sequential Recommendation
[ACM] 2026-8-6 | ReAU: A Global-to-Local Perspective for Refining Alignment and Uniformity in Collaborative Filtering
[ACM] 2026-8-6 | DynaTree: Dynamic Agentic Retrieval Tree for Time-Sensitive News Retrieval
[ACM] 2026-8-6 | PhotoBench: Beyond Visual Matching Towards Personalized Intent-Driven Photo Retrieval
[ACM] 2026-8-7 | Beyond Linear Dynamics: Neural Bilinear Dynamical Models for Time Series Forecasting
[ACM] 2026-8-6 | Dynamic Spectral Denoising with Global-Context Attention for Multi-Behavior Recommendation
[ACM] 2026-8-7 | APEX-SQL: Talking to the data via Agentic Exploration for Text-to-SQL
[ACM] 2026-8-7 | Towards Sustainable Growth: A Multi-Value-Aware Retrieval Framework for E-Commerce Search
[ACM] 2026-8-7 | Generative Recommendation for Large-Scale Advertising
[ACM] 2026-8-6 | OceanVerse: Evaluable 4D Ocean Element Reconstruction Dataset under Realistic Sparsity
[ACM] 2026-8-6 | HyMAGE: Semantic-Aware Dynamic Hypergraph Generation
[ACM] 2026-8-6 | EqCollide: Equivariant and Collision-Aware Deformable Objects Neural Simulator
[ACM] 2026-8-6 | Learning Robust Hypergraph Embeddings for Distribution-Free Uncertainty Quantification
[ACM] 2026-8-7 | NSR-Boost: A Neuro-Symbolic Residual Boosting Framework for Industrial Legacy Models
[ACM] 2026-8-6 | Regime-Adaptive Continual Learning for Portfolio Management
[ACM] 2026-8-7 | Attention Heads Hold the Key to Understanding Safety Mechanisms in Large Language Models
[ACM] 2026-8-6 | Representational Alignment with Chemical Induced Fit for Molecular Relational Learning
[IEEE] 2026-8-6 | Topology Optimization of Static Apparatus Based on Density Method with Grid Point for Smooth Geometry
[IEEE] 2026-8-6 | Two-Stage Evolution for Large-Scale Binary Optimization: Feature-to-Score Transformation and Guided Refinement_supp1-3717974.pdf
[IEEE] 2026-8-6 | Configuration Optimization of the Inserted Integrated CMV Filter for PMSMs with Distributed Parasitic Capacitances
[IEEE] 2026-8-6 | SeRIM 2026 Keynote
[IEEE] 2026-8-6 | CyberGuardEV: Interoperable Non-Intrusive IDS for Electric Vehicle Charging Stations
[IEEE] 2026-8-6 | 3-Total Hyperedge Sum Cordial Labeling for Hypertrees and Its Application in VANET Clustering
[IEEE] 2026-8-6 | Carbon-Aware Traffic Steering for TN-NTN Scenario via Graph Attention Reinforcement Learning
[IEEE] 2026-8-6 | Augmenting PID Control with Deep Reinforcement Learning: A Hybrid Approach to the Industrial Benchmark
[IEEE] 2026-8-6 | Improving TTP Mapping Accuracy in CTI Reports Using Structured RAG Query Configuration
[IEEE] 2026-8-6 | Poster: Fundamental Limits of Network Sensing Using CommSense
[IEEE] 2026-8-6 | A Resilience-Enhancing Approach to Reducing Traffic Downtime Under Consecutive Failures in Backbone Networks
[IEEE] 2026-8-6 | Synthetic Data Generation for Bias Mitigation
[IEEE] 2026-8-6 | IRIS: Invisible Laser Injection for Stealthy Backdoor Attacks
[IEEE] 2026-8-6 | A Geometric Approach to the Smith Chart [Educator’s Corner]
[IEEE] 2026-8-6 | Urban Travel Hotspot Identification Based on Multi-Density Adaptive Trajectory Clustering
[IEEE] 2026-8-6 | NFT Price-Prediction-Based Frontrunning Attack in Ethereum
[IEEE] 2026-8-6 | Real Time Food Vision Inspection on Raspberry Pi 5 and Jetson Orin Nano with Throughput Comparison
[IEEE] 2026-8-6 | Detecting Deepfakes through Visual Property Analysis and Classical Machine Learning Models
[IEEE] 2026-8-6 | Natural Language-Driven Active AI Agent Camera System: LLM-Guided Semantic Anchor Modulation for Real-Time Edge Deployment
[IEEE] 2026-8-6 | Query-Based Fingerprinting of Text-to-Image Large Language Models
[IEEE] 2026-8-6 | Maximum Likelihood Finite Memory Structure Filter Based Target Tracking Using Finite Nonlinear Measurements
[IEEE] 2026-8-6 | Homogeneous vs. Heterogeneous UAV Fleets for Critical Infrastructure Surveillance: an Event-Driven Monte Carlo Simulation under Environmental Network Stress
[IEEE] 2026-8-6 | Automated Multimodal Radiology Assistant: Learning Human-like Diagnostic Gaze and Dictation from Expert Eye Gaze and Audio Data
[IEEE] 2026-8-6 | Programmable Data Plane-Based TCP Multi-Queue Scheduling Scheme Using RTT and CCA Classification
[IEEE] 2026-8-6 | BigQuery-Native Agentic AI Framework for Retail Engagement: From Clickstream to Gamification, Segmentation, and Predictive Insights
[IEEE] 2026-8-6 | Quantum-Enhanced Secure Data Handling: A Hybrid Architecture with BB84-Based Encryption and Cloud-Native Orchestration
[IEEE] 2026-8-6 | Adaptive Energy-Aware Machine Learning Framework for Fault Monitoring in Network-on-Chip Architectures
[IEEE] 2026-8-6 | Design of an On-Device AI-Based Autonomous Manufacturing System for Machining Processes
[IEEE] 2026-8-6 | Practical Comparison Between PID Control and Fuzzy Logic in a Line-Following Robot
[IEEE] 2026-8-6 | Uncertainty-Aware Underwater Image Enhancement via Bayesian Deep Learning
[IEEE] 2026-8-6 | SynTrade: A Hybrid Multi-Agent Trading System Combining Sentiment Analysis and Technical Indicators
[IEEE] 2026-8-6 | Revisiting Bluetooth Vulnerabilities in Automotive Infotainment Systems: A Remote Code Execution Case Study
[IEEE] 2026-8-6 | Knowledge Graph-Based Propagation for Failure Localization in 5G Core Networks
[IEEE] 2026-8-6 | Analysis of Total Ionizing Dose Effects in Buried Channel Array Transistors with Scaled Word-Line-Direction STI/Side-Gate Thickness
[IEEE] 2026-8-6 | Latency in Real-Time 3D Volumetric Streaming: A Comprehensive Study
[IEEE] 2026-8-6 | Hybrid Modulation and Generalized Internal Model Control for Wide Input Voltage Range LLC Resonant Converters
[IEEE] 2026-8-6 | Feature Selection via Graph Topology Inference for Soundscape Emotion Recognition
[IEEE] 2026-8-6 | Detection Method of Vehicle Wheel Alignment Parameters Based on Over Constrained Feature Tetrahedra in Optical Field
[IEEE] 2026-8-6 | Grid-Orch: An LLM-Powered Orchestrator for Distribution Grid Simulation and Analytics
[IEEE] 2026-8-6 | Dynamic Information Fusion for Personalized Federated Learning
[IEEE] 2026-8-6 | Flip-Chip Bonding of 3D Copper Compressible Microinterconnects for Cryogenic Electronic Packaging
[IEEE] 2026-8-6 | Quantitative Privacy Evaluation and Lightweight Edge Blockchain-based Application Architecture for Intelligent Home Environments
[IEEE] 2026-8-6 | 2026 IEEE 12th Conference on Big Data Security on Cloud (BigDataSecurity)
[IEEE] 2026-8-6 | Hierarchical Disentanglement Guided Diffusion for Multimodal Brain Tumor Segmentation
[IEEE] 2026-8-6 | From Pixels to Images: A Structural Survey of Deep Learning Paradigms in Remote Sensing Image Semantic Segmentation
[IEEE] 2026-8-6 | Self-Supervised Indoor Tracking with Radio Error Map Generation for Zero-Shot Adaptation
[IEEE] 2026-8-6 | Three-Dimensional ISAR Imaging of Maneuvering Targets Based on Signal Separation in the Monopulse Radar
[IEEE] 2026-8-6 | IEEE Access
[IEEE] 2026-8-6 | 2026 IEEE 32nd International Symposium on Local and Metropolitan Area Networks (LANMAN)
[IEEE] 2026-8-6 | G-Quadruplex-Driven Potassium Ion (K
                    <sup>+</sup>
                    ) Sensing at the MoS
                    <sub>2</sub>
                    –Aptamer Biointerface for Wearable Electrochemical Diagnostics
[IEEE] 2026-8-6 | Virtual Impedance-Based Power Management in Islanded DC Microgrid With Hybrid Electrolyzer-Based Hydrogen Production System
[ACM] 2026-8-6 | Causality for Tabular Data Synthesis: A High-Order Structure Causal Benchmark Framework
[ACM] 2026-8-6 | Node4All: Learning Node Representation Beyond Datasets
[ACM] 2026-8-6 | AlphaMaster: Dual-Chain Feedback for Scalable and Diverse Alpha Factor Discovery
[ACM] 2026-8-6 | Generative AI and Large Language Models for Financial Markets: From Behavioral Prediction to Autonomous Trading
[ACM] 2026-8-6 | SGS-GNN: A Supervised Graph Sparsifier for Graph Neural Networks
[ACM] 2026-8-7 | MSR-PP: Modular Symbolic Regression with Physics Priors for PDE Discovery
[ACM] 2026-8-7 | Graph Adversarial Defense with Virtual Spectral Anchor Injection
[ACM] 2026-8-7 | JourneyFormer: Encoding Airbnb Guest Journey with Sequence Modeling
[ACM] 2026-8-6 | Learning Emergent Modular Representations in Multi-modality Medical Vision Foundation Models
[ACM] 2026-8-6 | CanniUplift: A Holistic Framework for Mitigating Seller and Incentive Cannibalization in E-commerce Uplift Modeling
[IEEE] 2026-8-6 | Enhanced GCD through ORBGRAND-AI: Exploiting Partial and Total Correlation in Noise
[ACM] 2026-8-6 | ARIA: A Causal-Aware Framework for Rescuing LLM Reasoning in Trustworthy Materials Discovery
[ACM] 2026-8-6 | UrbanFM: Scaling Urban Spatio-Temporal Foundation Models
[ACM] 2026-8-6 | Find Tailored Step Example for Next Step: a Targeted Step-wise Retrieval Framework for Guiding LLM Reasoning
[ACM] 2026-8-7 | Continuous Causal Component and Structure Discovery from Time Series
[ACM] 2026-8-6 | CluBS: Clustering Behavioural Similarity
[ACM] 2026-8-7 | Benchmarking on Tasks That Matter: Dataset Selection for Preserving Model Rankings
[ACM] 2026-8-6 | SigFJProp: Lightweight and Scalable Signed Graph Learning via Opinion Dynamics
[ACM] 2026-8-7 | BRIDGE: Block-Wise Speculative Coordination for Cloud-Edge Retrieval-Augmented Generation
[ACM] 2026-8-7 | Training Dense Retrievers with Multiple Positive Passages
[ACM] 2026-8-6 | CRAG-MM: Multi-modal Multi-turn Comprehensive RAG Benchmark
[ACM] 2026-8-7 | GraphARC: A Comprehensive Benchmark for Graph-Based Abstract Reasoning
[ACM] 2026-8-6 | Adaptive Momentum by Momentum for Deep Neural Network Training
[ACM] 2026-8-6 | DeepTaxon: An Interpretable Retrieval-Augmented Multimodal Framework for Unified Species Identification and Discovery
[ACM] 2026-8-6 | Causal Estimation of Share-Induced Engagement with Flywheel Effects
[ACM] 2026-8-6 | PaperRepro: Automated Computational Reproducibility Assessment for Social Science Papers
[ACM] 2026-8-6 | Out-of-Distribution Robust Explainer for Graph Neural Networks
[ACM] 2026-8-7 | Mapping LLM Capability Frontiers via Formalized and Calibrated Probes
[ACM] 2026-8-6 | DEFINED: A Data-Efficient Computational Framework for Fine-Grained Creativity Assessment in Debate Scenarios
[ACM] 2026-8-7 | CryptoAnalystBench: Failures in Multi-Tool Long-Form LLM Analysis
[ACM] 2026-8-6 | Bridging the Gap: Real-Time Cost Control for Autobidding
[ACM] 2026-8-7 | VIVID: Backbone Training-Free Text-to-Image Video Editing via Variational Latent Anchors
[ACM] 2026-8-7 | Black-Box Embedding Inversion Attack on Vector Databases
[ACM] 2026-8-6 | USBD: Universal Structural Basis Distillation for Source-Free Graph Domain Adaptation
[ACM] 2026-8-6 | <scp>EvoFEND:</scp>
                    Dual Memory-Driven Self-Evolving Fake News Detection
[ACM] 2026-8-6 | Estimate Level Adjustment For Inference With Proxies Under Random Distribution Shifts
[ACM] 2026-8-7 | Hierarchical Long-Term Semantic Memory for LinkedIn's Hiring Agent
[ACM] 2026-8-6 | MASS: A Complexity-Optimal Solution for Product Kernel Density Visualization
[ACM] 2026-8-6 | LTSV: Layered Type-Constrained Shapley Value for Heterogeneous Graph Data Valuation
[ACM] 2026-8-6 | From Hype to Strategy: Using Extensional Representation Encoding to Evaluate Quantum Computing's Business Value
[ACM] 2026-8-6 | mmVibFlow: Gauging the Airflow of Air Conditioning Using mmWave Signal
[IEEE] 2026-8-6 | Dynamic Weapon-Target Assignment via HJI Reachability and Marginal-Return Column Enumeration
[IEEE] 2026-8-6 | Learning to Beamform for RIS-Aided ISAC: An Edge-Enhanced Soft-Sparse Heterogeneous Graph Neural Network Approach_supp1-3720612.pdf
[IEEE] 2026-8-6 | Guest Editorial: Net-Zero 6G Networks: Enabling Technologies and Pathways to Sustainable Operation
[IEEE] 2026-8-6 | Bayesian Wideband Signal Detection via Source Signal Marginalization and RJMCMC
[IEEE] 2026-8-6 | Residual-Driven Multi-UAV Fusion Localization for Dynamic Multipath Environments
[IEEE] 2026-8-6 | Q-TOP: Queue-Aware Task Offloading and Path Planning for Multi-UAV Assisted Vehicular Edge Computing Networks
[IEEE] 2026-8-6 | Harnessing Channel Physics: A Fiber-Optic Kernel for Integrated Computation and Communication
[IEEE] 2026-8-6 | A Novel Graph Transformer Framework for Predicting Drug-Disease Associations with Structural Awareness
[IEEE] 2026-8-6 | Extraction of Inertia and Damping Parameters in Inverter-Based Sources via Controlled Frequency Ramp Disturbances
[IEEE] 2026-8-6 | ICUFN 2026 Cover Page
[IEEE] 2026-8-6 | IEEE Open Journal of Antennas and Propagation Instructions for authors
[IEEE] 2026-8-6 | Feature-Sensitivity-Aware Quantization and Joint Multi-Streaming Design for Latency-Constrained Multi-Task Semantic Communications
[IEEE] 2026-8-6 | J. Microwaves Special 75th MTT Anniversary CFP
[IEEE] 2026-8-6 | AGSM: Anchor-Guided Spatial-Semantic Modeling for Remote Sensing Image Captioning
[IEEE] 2026-8-6 | Design of Multiport Converters for Distribution Grids: Sizing, Topologies and Control for Low and Medium Voltage Applications
[IEEE] 2026-8-6 | ICUFN 2026 Cover Page
[IEEE] 2026-8-6 | A Multi-Scale Dictionary Learning Deep Unfolding Network for Radio Map Reconstruction
[IEEE] 2026-8-6 | A Two-Stage Nonlinear Model Predictive Control for Navigation-Driven Power Allocation in Autonomous Naval Ships
[IEEE] 2026-8-6 | An Improved Active-Clamp Resonant Forward Three-Port Converter With Voltage Coupling and Structural Simplification
[ACM] 2026-8-6 | ZeroRel: Relational Reasoning via Graph-guided Large Language Models
[ACM] 2026-8-6 | CES: Combinatorial Experts Selection via Contextual Linear Bandits
[ACM] 2026-8-6 | Net-Ev
                    <sup>2</sup>
                    : A Generative Simulator for Network Event Evolution
[ACM] 2026-8-7 | Personalizing Large Language Models with User Profile Memory
[ACM] 2026-8-6 | TaoSR1: The Thinking Model for E-commerce Relevance Search
[ACM] 2026-8-6 | Unified Multi-Domain Graph Pre-training for Homogeneous and Heterogeneous Graphs via Domain-Specific Expert Encoding
[ACM] 2026-8-6 | SEA-FGT: Frequency-Guided Transformer with Semantic Expert Augment for Time Series Anomaly Detection
[ACM] 2026-8-6 | Rethinking Federated Unlearning via the Lens of Memorization
[ACM] 2026-8-6 | AGDN: Learning to Solve Traveling Salesman Problem with Anisotropic Graph Diffusion Network
[ACM] 2026-8-6 | Where to Go Next: Enhancing Zero-Shot Capability for Cross-City Mobility Prediction
[ACM] 2026-8-6 | Intuition-Guided Latent Reasoning for LLM-Based Recommendation
[ACM] 2026-8-6 | Graph Navier-Stokes Networks
[ACM] 2026-8-6 | From Surface to Depth: Diagnosing Ocean Vertical Velocity with 3D Frequency Operator
[ACM] 2026-8-6 | ViroBench: Benchmarking Nucleotide Foundation Models on Viral Genomics Tasks
[ACM] 2026-8-7 | HiTF: A Hippocampal-Thalamic Function-Inspired Framework for Robust Multimodal Sentiment Analysis with Incomplete Data
[ACM] 2026-8-7 | NCCDA: Neuron-wise Class-Conditional Distribution Alignment for Deep Neural Network Repair
[ACM] 2026-8-7 | CausalT5k: Diagnosing Refusal and Failure Modes in Trustworthy Causal Reasoning Across Causal Rungs
[ACM] 2026-8-7 | Enterprise AI Agents: From Prototypes to Production
[ACM] 2026-8-6 | Benchmarking Multimodal LLMs on Recognition and Understanding over Chemical Tables
[ACM] 2026-8-7 | CoFE: Collaborative Feature Engineering via Semantically-Guided Exploration and Diagnostic-Driven Refinement
[ACM] 2026-8-7 | On the Push-Based Asynchronous Federated Learning: A Bias-Correction Aggregation Approach
[ACM] 2026-8-6 | <scp>ReplicatorBench:</scp>
                    Benchmarking LLM Agents for Replicability in Social and Behavioral Sciences
[ACM] 2026-8-6 | Realistic Simulation and Evaluation of E-CNY Lifecycle Transactions for Anti-Money Laundering
[ACM] 2026-8-6 | Ordering-based Causal Discovery via Generalized Score Matching
[ACM] 2026-8-6 | RekindleSketch: Time-Aware Detection of Recent Persistent Flows via Arrival-Driven Rewards
[ACM] 2026-8-6 | Controlling Prediction Dynamics for Reliable Intraoperative Segmentation
[ACM] 2026-8-7 | Differential-Integral Neural Operator for Long-Term Turbulence Forecasting
[ACM] 2026-8-7 | RELATE: A Reinforcement-Learning-Enhanced LLM Framework for Advertising Text Generation
[ACM] 2026-8-6 | NumCache: KV Cache Compression and Retrieval for Financial Document QA
[ACM] 2026-8-7 | Learn to Coordinate City-Scale Virtual Power Plants: A Reasoning-Guided Evolutionary Framework for Hierarchical Heterogeneous Device Scheduling
[ACM] 2026-8-7 | Temporal Graph Prototype-conditioned Conformal Prediction for Fraud Detection
[ACM] 2026-8-6 | Ensembling LLM-Induced Decision Trees for Explainable and Robust Error Detection
[ACM] 2026-8-6 | SciChart: Visual Question Answering and Reasoning for Scientific Spectral Chart
[ACM] 2026-8-6 | Two-Stage Auctions with Bid Refinement for Online Advertising
[ACM] 2026-8-7 | Personalizing Marketplace Policies with Competing Objectives and Constrained Experiments: Evidence from a Job Marketplace
[ACM] 2026-8-6 | CityWeave: Weaving User Needs and World Constraints for Personalized and Reliable Mobility Planning
[ACM] 2026-8-6 | LLMSynthor: Macro-Aligned Micro-Records Synthesis with Large Language Models
[IEEE] 2026-8-6 | Evaluating Digital Forensic Readiness of Charging Station Management Systems Implementing OCPP
[IEEE] 2026-8-6 | A Survey on Caching in Semantic Communication
[IEEE] 2026-8-6 | IoV-Assisted Semantic Communication for Occlusion-Aware Edge Autonomous Driving
[IEEE] 2026-8-6 | A Stability Testing Framework for Machine Learning in Honeypot Traffic Classification
[IEEE] 2026-8-6 | WTM-Aware Shift Direction Selection for Low Power Bidirectional Scan Testing
[IEEE] 2026-8-6 | Adaptive Registration Procedure for Roaming Scenarios in IP Multimedia Subsystem
[IEEE] 2026-8-6 | Scene-based spectral characterization of spaceborne imaging spectrometers in different spectral windows_supp1-3720505.pdf
[IEEE] 2026-8-6 | A Unified Approach for Pinching-Antenna Assisted Non-Orthogonal Multiple Access with Integrated Sensing and Communication
[IEEE] 2026-8-6 | On Mode-Independent Switching Control Strategy for Stabilizing Continuous-Time Linear Switching Systems
[IEEE] 2026-8-6 | DFF-Net: An efficient target detection network with deep feature extraction for underwater sonar images
[IEEE] 2026-8-6 | ICUFN 2026 Cover Page
[IEEE] 2026-8-6 | ContrastGrid: Grid-Aware Contrastive Dense Retrieval for Operational Knowledge Access in Power Grid Control Centers
[IEEE] 2026-8-6 | M²GCN: A Multi-adjacency Mamba-enhanced Graph Convolutional Network for Hyperspectral Image Classification
[IEEE] 2026-8-6 | LLM-Guided Multi-agent Joint Velocity and Spectrum Optimization in Advanced Air Mobility
[IEEE] 2026-8-6 | Message from the General Chairs
